	great location lovely staff but needs double glazing	Arrived early for check in but staff kindly let us in to our room early since we had been travelling from early morning. Room nicely decorated but bathroom very small. The main problem with the room was a very bad draught coming through the window very cold. Think double glazing would solve the problem of the cold and the road noise which kept us awake.Area lovely but not much to do in the immediate area not a great choice of entertainment. Taxis very expensive took one to west end cost us twenty five pounds each way. All said we enjoyed our stay needs a few minor adjustments.	
Mar 31 2008 	Very nice hotel	I looked long and hard for a nice '5 star' type hotel in central london with a budget of £100 for a nights stay for my boyfriends birhday. I finally came across the Corus Hotel which met my budget nicely and although it wasn't a 5 star hotel the pictures I'd seen of it lead me to believe it was going to be more than suitable for a nights stay. I was a little nervous though as it was slighly cheaper compared to many other hotels in that location and some reviews I'd read were quite negative however as soon as I arrived there my worries disappeared. The staff were very friendly on arrival and when I mentioned it was my boyfriends birthday our room was upgraded to a room on the sixth room. The room was comfortable, clean and tidy. The deco was alittle dated in the sleeping area but the bathroom was quite modern. The shower was great - very powerful! The rate included continental breakfast which can be served in your room for no extra cost.The location of the hotel for us was alittle away from the west end - 10 min taxi ride or approx 35 mins walk - not great if you're a lady wearing heals. However the views of hyde park from our room were enough for us not to worry about paying extra for taxis to take us everywhere. I would definitely recommend this hotel for a nights stay! Not sure if the room size would be big enough for a full weeks stay but certainly fine for a night or two.	
Mar 29 2008 	modern but small	the decor in this hotel is lovely but the rooms are small, the bathrooms are the worst, the baths have high sides so hard to climb in and there is a big ledge above your head which makes showering uncomfortable as its possible to keep hitting your head on the ledge whilst washing your hair, the staff are nice and friendly and the food is excellent, its right next to a tube station so getting around is easy. the only thing that lets this hotel down is the bathrooms, and i would say for what you get its a little overpriced, next time i will pay the litttle extra for a marriot hotel which are by far the best	
Mar 28 2008 	reasonable and pleasant	I had a single room on the eighth floor for an overnight stay this week. The rate (£80) was as good as you get in London unless you are in a Travelodge or Travel Inn, and the location is great - 2 mins from Lancaster Gate tube stop on the Central (red) line. It's across the road from Kensington Gardens/ Hyde Park and a pleasant stroll to Marble Arch and the shops if you prefer walking to the Tube. 10 minutes walk to Paddington Station too.The rate included continental breakfast which they will serve in your room for no extra cost, quite nice for a single traveller.The room had an iron and small ironing board, a very compact but pleasant bathroom, wall mounted flat screen TV. It was all rather spare but not unpleasantly so, and both clean and comfortable.	
Mar 24 2008 	Corus Hotel an Excellent choice for all!	We arrived on 15 mar 08 and stayed for 3 nights.The address of the hotel is lancaster gate, so get off at this tube station and not paddington it will save you a lot of time!The hotel was very clean, staff friendly, continental breakfast was nice and plentiful! Located in an upmarket area facing hyde park!Cannot fault this hotel.	
Mar 12 2008 	More like a ships cabin	Just returned from 2 nights at Corus Hyde Park. My daughter had a single room that was no larger than a cross channel ferry cabin. It was also next to the lift which kept my daughter awake and the sound of drunks leaving the lift in the early hours was not acceptable. We had a double room with a bathroom that was smaller than our toilet at home. This hotel could not be compared to other 4 star London hotels we have stayed in.	
Mar 11 2008	Small rooms good staff	We have just returned from 2 nights at The Corus Hyde . The hotel is right next to Hyde Park and 10 minutes from Paddington station. The Hotel itself was clean but the room a standard was too small for a 4 stars hotel in centrale london. However the service we received was very good (Daniel the porter in particular and the check in staff). We enjoyed our time at The Corus Hyde but its not really worth a second visit.Dave and Karen	
Mar 10 2008 	Great Location	Excellent location, but only for a short stay.The room was the smallest room i have ever stayed in!Breakfast was good, nothing that special though! Service and decor were excellent and the views over Hyde Park amazing!Beautifuly designed hotel in a classy area!Stroll through Hyde Park to end up either to Buckingham Palace or West End and the Lancaster Gate tube is only seconds away.I didn't eat at the hotel in the evenings, but I had a fantasticaly tasty vegetable soup there!	
Mar 8 2008 	All true	Just returned from this hotel having booked it after reading reviews on tripadviser. Could not agree more with the praise it received. When we arrived we were given an immediate room upgrade free of charge.The room was small but planned to work well with two occupants.Did intend to eat out but gave the Olio Brasserie a try and booked for the following evening as well as the food was excellent.Our only criticism was that the continental breakfast was rather limited more choice of meat and some fresh fruit would have been nice.The position was excellent too with being so close to Lancaster Gate Tube,all the major attractions were within easy reach.A journey to the Maritime museum at Greenwich was only 45 minutes using the Central line and DLR and cost £2 using an Oyster Card. These cards are a must for anyone intending to use the Underground to get around saves all the hastle of buying tickets etc.	
Mar 4 2008 	Very nice hotel	We booked this hotel as part of a British Airways package. It has a gorgeous lobby, the staff are very friendly and professional. The rooms are quite small by American standards, but I understand this is a typical room in Europe. Nevertheless, it is clean, tidy and attractive; I didn't come to London to hang out in the room anyway. Hotel is located in a beautiful neighborhood full of other small hotels catering to foreign tourists of all nationalities. Close to a variety of restaurants and takeaway shops if you're too tired after a hard day of sightseeing. Within walking distance of Paddington Station (approx 5 mins) and a block from the Lancaster Gate tube.Wireless access in room for a fee, in-room hair dryer, iron and laptop size safe.	
Mar 4 2008	Great location and hotel	We have just returned from a one night stay at the Corus hotel.The hotel was superb and ideally situated opposite Hyde Park. Lancaster Gate tube station was easy access about 5 minutes walk from hotel.Staff were very friendly and rooms were contemporary and clean.Breakfast was excellent, would definitely book this hotel again.	
Feb 27 2008 	great place for short stays	We loved this hotel. Rooms are small but clean and bright. Breakfast was fine. You could eat in the sunroom overlooking Hyde Park.. Lancaster Gate underground 1/2 block away to your left. Paddington Station about a 5 min. walk. The on and off bus tours one exit down at Marble Arch. The hotel staff was very helpful and funny and friendly. We ate next door at Swan once. A small store next door to the hotel you can buy water and etc. We ate at Khan's a wonderful Indian Rest. that we took a 4 pound cab ride from the hotel. The area around the hotel was safe.	
Feb 25 2008 	Small but convenient	My wife, daughter and I stayed here for two nights (weekend) and found the location to be ideal, buses and tube nearby and park opposite for pleasant stroll. The reception, and dining area is ideal and the service and staff very helpful and pleasant and breakfast (english) was plentiful and well presented.The accommodation for two persons is poor. My daughter had the same, a double room, and found for one person it was quite adequate.The rooms are small, no access to both sides of the bed and only one dining type chair between two persons and the lack of double glazing made the traffic noise seem louder, no drawer space so smaller items need to be kept in your suitcase The bathroom is also quite small with height restriction in the shower and hardly any space to put out your toiletries etc. The whole room gave the impression of &quot;student&quot; accommodation .If i need more than two days then this would not be the place i would chose	
Feb 22 2008 	Good Hotel	I stayed for one night at the Corus Hyde Park with my two daughters, 15 and 11 having gone to London to do shopping/theatre. As I was travelling on my own with them for the first time (ie minus husband), I spent ages searching the internet beforehand for a suitable hotel and I was careful to also read any available reviews. This hotel was well situated to walk into Oxford Street for shopping, not too far from Paddington for the Heathrow Express and in a quiet area right next to Hyde Park. It was lovely to have a doorman open the door of our taxi and show us into the hotel. The hotel's reception is very grand and you felt like it was going to be a good hotel. Everybody polite and helpful. I was a bit disappointed about the size of the room but it was good quality and had everything we could possibly want for an overnight stay. We had an executive double room with a fold out bed for my youngest daughter who slept like a log. Personally, I found the bed a little soft for my liking but that's just me.The breakfast was good and it was lovely to walk through Hyde Park down to Oxford Street. Overall a good experience and I would use it again.	
Feb 19 2008 	Small but perfectly formed	We stayed here on Saturday and had a very pleasant night. Our double room was small but had everything we needed including hairdryer, trouser press and iron, which are often not found in other London hotels. The staff were friendly and helpful, and check in and check out went very smoothly. The location is perfect for a night out in London, it is easy to get to by public transport, we had no trouble getting a cab in front of the hotel and on returning in the early hours of the morning the area was quiet and safe. A continental breakfast (included in our booking) was served in our room at no extra cost. It is worth noting if you are staying on the weekend and driving to the hotel, although the hotel itself has no parking there are several roads nearby with no parking restrictions on Saturday and Sunday and we were able to park our car free of charge.	
Feb 6 2008 	A Fine Hotel	The hotel is conveniently located very near the underground and several bus routes as well as being across the street from Hyde Park for wonderful walks. My standard single room and bathroom were small but beautifully designed to maximize space and efficiency . There was a flat screen TV on the wall across from the bed and there were attractive sliding shutters on the window. The sound proofing was good as I was not disturbed with noise from neighboring rooms. The continental breakfast was entirely adequate with a selection of fruit juices, tea, coffee, hot chocolate, croissants, hard rolls, sliced ham, grapefruit and orange slices and packaged cheeses and jams. A selection of local newspapers were piled in the lobby and could be taken for free. There are two computers in the lobby and one in the business center and can be used at a cost of 1 pound per 10 minutes. There are internet cafes nearby on Craven Street which are considerably less expensive - 1 pound for one hour's use. I must add that there were several steps leading down to my room which might be a hindrance for anyone with mobility problems but i saw other rooms without steps. Obviously I was very pleased with my six days at the Corus and plan to stay there again.	
Jan 30 2008 	Very pleased!	Me and my boyfriend stayed at the Corus hotel Hyde Park in London for 4 nights. The location is perfect; right next to Hyde Park, 2 minutes to the Underground (Lancaster Gate) and within walking distance from Oxford Street.The room was small, but very clean and nicely decorated. We didn't spend much time there anyway, since we were exploring London for the first time.The continental breakfast was included in the price and was good, although it was the same everyday. The coffee was surprisingly good! Our last morning we upgrated to an english breakfast just to try it out and it was good as well.The staff was friendly and I would definitely recommend this hotel to my friends and anyone who is going to London!	
Jan 27 2008 	Great Location - Tiny Rooms - Friendly Staff	I stayed at this Hotel in the witer and was happy that the windows would open as it got quite warm at times...I am hot blooded so it just could be me!. The hotel feels like it is in a neighborhood rather than a tourist area. It is right in next to Hyde Park, Bus Lines, and a Tube station is a short walk. The furniture and bedding appear'd to be new and the staff was friendly and helpful. I would stay here again with no hesitation. Good Value.	
Jan 14 2008	Functional but small room	The hotel was ideally situated only 4 tube stops (on the Central line) from the heart of London. The reasonably priced room we stayed in was SMALL (only 7' x 20' ) but it did have everything you needed except for a comfy bed and air-conditioning (just a noisy fan. AC being rolled out to all rooms currently and the window did open). TV, Wifi, private WC/shower, hair-dryer, iron+board, loads of light especially some freaky green light in the bathroom.The hotel staff were all freindly and helpfull especially when we got locked out of our room on the 2nd day, when the card wouldn't open the door.If what your looking for is a place to lay your head after doing the whole tourist thing, then this would suit but not for more than a couple of days.AB, Bedfordshire.	
Jan 14 2008 	Good overnight choice but not for longer stay	Stayed here because I had a pre-Christmas dinner in London. The room was 'compact' but somehow surprisingly spacious, thanks to clever design (like the curved worksurface somebody else has written about). So, okay for one or two nights but probably would get claustrophic for any longer.Nice lobby area and comfortable bar. Early serving for breakfast. Good rates if you book Late Room through well know internet site. Would probably use again	
Jan 7 2008	Good Location hotel needs improvement!	Just spent 2 nights at the corus hyde park, the hotel being in a good area. Car parking is a slight issue as it is abit of walk from the hotel, we made the mistake of not dropping the bags off rather than lugging them around. Once at the hotel 3 members of concierge watched us with our bags.. helpful! Check-in staff were pleasant. We had upgraded to an Executive room and wish we hadn'd botthered and actually feel robbed! The room was sooo small and bed took up the whole room, the carpets were filthy dirty, bed linen was all ripped, stains on the bottom of the bed where the mattress sits, I could go on and on but I think you get the picture. The hotel, needs a complete overhaul, and also needs to be more honest with the standard of accommodation on there website, when I booked I wondered why there only had a small picture of a bedroom this is obvious now because they are not proud of there rooms! If you get a really really good rate, then this hotel is good dont expect anything special as you wont get it. Try to call ahead and see if you can get a Laura Ashley room, as these are the newest refurbed rooms. It is worth paying extra to have a full english rather then the continential, however there are many a cafe and bistro type places around to get Breakfast also. Nearest car park: Queensway £22 per night Tube: QueenswayBoth of which are about 20-25 mins walk.	
Jan 6 2008 	tiny rooms	Visiting London with my parents for a graduation ceremony. Hotel rated as 4 * and clearly had good location so we were looking forward to our visit. Positives: When we arrived we were initailly impressed with the foyer and bar area. We had 2 rooms and were given them next door to each other. Breakfast was delicious a hot buffet. Staff were friendly and helpful. Negatives: Both rooms were very small. I managed okay in the single but expected more from the hotel, but my parents who aren't as young as they used to be had a very small double room. The bed was in the corner with one side against the wall as it would not have fit in the middle of the room. There was no storage space at all save for a couple of coat hangers and a rail, no where to sit except one desk chair and it all felt a bit claustrophobic. The bathroom was also tiny and you had to climb into a very high sided bath to have a shower. I agree with another review in that they seem to have divided 1 larger room into 2 small ones to fit as many guests in as possible. Its a shame as it is a nice hotel	
Jan 3 2008 	Fabulous location opposite Hyde Park	After a killer 26 hour flight from Australia, we were very impressed with this hotel and in particular the location - such a stylish, upmarket part of London! The staff were quite pleasant, and the rooms, although neat and tidy, were very small. We were thrilled that an iron and ironing board were supplied, as this wasn't the case in other hotels throughout Europe. There is a fabulous pub next door which I can recommend, and the proximity to Paddington and Lancaster Gate tube was a real bonus. The Continental breakfast leaves much to be desired - although we later realised that you can upgrade to an English breakfast, and take this into the restaurant downstairs which was fantastic. We stayed in this hotel in early October 07, and found the room to be very hot and needed to keep the window open. Only problem was, the window wouldn't stay open so we needed to use the tea tin to keep it wedged open! But besides that minor glitch, we were happy with this hotel, and would certainly stay again.	
Dec 18 2007 	Very good hotel with only minor flaws	Stayed here for 6 nights. Overall, a very good hotel and would likely stay there again. Excellent location - right across from Kensington Gardens and Hyde Park, near the Lancaster Gate tube station, not far from Paddington Station (trains) and close to a lot of good dining options. The hotel is is in very good shape, especially the lobby and lounge area. The rooms are small but clean and well-appointed. Great customer service. Has some minor areas that need improvement, but is a recommended hotel.The areas for improvement: the continental breakfast is decent, but there was no change during the entire stay - even mixing it up with a different fruit or selection or rolls or cereal would help for those staying multiple nights. The TV in our room was a very small set mounted at 90 degree angle to the bed (ever watch TV sideways?). Lastly, the lack of free wireless internet is a drawback for those who live in a connected world (isn't that most of us now?) The charge is excessive (5 GBP for 10 minutes), so if access is important there are numerous internet cafes and stores within walking distance that offer reasonable rates (99p for 1 hour).	
Dec 3 2007	Great Room - Great Location	This is a great hotel in an excellent location, the exterior is really nice, very old building just at the entrance to Hyde Park. The Lancaster gate underground is literally a 2minute walk from the hotel. we had a really nice twin bedroom. it was on the 8th floor. Granted - the room was small but it was exceptionally clean and the decor very modern. I would definetely recommend this to my friends and family who will be visiting london. Overall Great Hotel for the price.	
Dec 3 2007 	OK but some problems	OK, but had a few issues that I wouldn't expect of a 4 star hotel.Got to the hotel and went to check into our triple room at 5.30pm. Was told the room wasn't ready even though check in time was 2pm and we could leave our bags and come back later. We had theatre tickets and wanted to get to our room and freshen up, so was not happy with this - we agreed we could go drop our bags off while housekeeping were still cleaning. The beds weren't even made.The room was clearly not a triple - it was a double room they had squashed in a small metal spring bed in - this was very uncomfortable for an adult. We were not told this at time of booking. When we got back to hotel later on after our evening out, it was very hard to try and get drinks at the bar. You couldn't pay cash and unless you had put your credit card with reception, you couldn't get drinks unless you went back to reception and gave them the credit card and then went back to the bar. What a performance for a couple of orange juices! Not impressed.Continental breakfast was included - croissants, rolls and cereal. Not a huge selection.	
Nov 30 2007 	Awful	Staff were pleasant - the only saving grace. The room, with its laughingly called designer workspace (a 'desk' which was curved!!) was so small that one side of the double bed (which only just fits the description) was aginst the wall. I can only assume that that the rooms have been made by dividing one former room into two. The bathroom.........new and clean...but equally tiny, with a brand new shower (tepid) that gets you wet, as long as you are prepared to move around. In a word - awful	
Nov 27 2007 	A Safe Bet...	Nicely located across from Hyde Park, the hotel is clean and efficient. the rooms are typically small, but you're probably not spending much time in them anyway. Relatively good value for London.Minuses -- the conceirges must be 'on the take' for restaurant recommendations, and they didn't know how much it cost to ride the Tube! Take what they say with a grain of salt. Also, the staff at the bar is less then efficient -- you'll have to basically wait on your own table. Overall, decent mid-grade biz class hotel -- it won't knock your socks off but you won't be disappointed either.	
Nov 21 2007 	Functional...	Upon arrival we were informed by the efficient and polite reception staff that we had been &quot;upgraded&quot; to a &quot;Viceroy&quot; room. We were very pleased having had a less than smooth journey to the hotel. Unfortunately, our 7th floor upgrade (room 704) turned out to be the tiniest hotel room we have ever had. The double bed was almost too big (I did hit my head on the corner bedside table during my sleep which was a painful awakening at 4am). The room was clean and functional. The bathroom was minute and the bath panel was warped and worn (clearly water had seeped into the MDF and it had swelled - not a good look) Info about the hotel etc provided was minimal and the room &quot;reading material&quot; was a copy of the latest Laura Ashley mail order catalogue which seemed to be an unusual choice. Tea and coffee provision could be improved.The hotel overall is ok. The public areas were uninspiring production line interior design. The bar was ok (although it felt a bit yobby at midnight!), breakfast was fair, concierge was good.The best bit about the hotel for our purpose was the location as it is an easy walk to Hyde Park/Kensington, Paddington and the West End.I would not stay here again as I know that there is better on offer in London of a comparable class.	
Oct 27 2007 	Excellent!!	After reading some of the reviews, I was nervous about this hotel. However, I should'nt have been. It was excellent. The hotel is set in a fab location, just a few minutes work from Lancaster Gate tube and from the gates of Hyde Park. The reception is lovely as were the staff. Our room, a twin, was on the fourth floor. It was lovely. The room was exceptionally clean and was well decorated. The bathroom had a great shower and the towels were huge. The room was a good size. The only negative thing to comment on was the lack of drawers - the aren't any!!! I would definitely go back to this hotel.	
Oct 23 2007 	Can London Hotel rooms get any smaller?	Used this hotel on a couple of warm late September evenings. Car parking is bad with the nearest car park being a good 1/2 mile a way at Queensway. After the check in I discovered that the room I had been given was one of the smallest I had ever stayed in! Very well furnished and equipped, but the heat was incredible. They have safety catches on the window which only allowed you to open it 2 inches, so the fan stayed on all night. I complained to the receptionist on checkout who informed me that all the rooms were having aircon fitted in the future.The second visit a week or so later I asked about upgrading to an airconned executive room which was advertised at £40 extra! This was waived for me, but the exec rooms I think are almost smaller than the standard rooms, although, again I have to say well fitted apart from the fact that the standard room had a built in trouser press and iron which the exec room didn't - try figuiring that out.Breakfast was fair, but service poor and the breakfast room reminds one of a canteen! All in all a typical London hotel which if you have to use it is OK	
Sep 30 2007 	Need to try harder given the choice in London	I stayed at the Corus Hyde Park for a couple of nights while on a business trip this September. I stayed in one of the &quot;Executive&quot; rooms which was on the 10th floor, having the luxury of Air Conditioning!!Upon arrival, the check-in desk were reasonably efficient with two people serving customers. However, there were two people behind the desk doing other jobs, and I felt that during a busy period they could have helped to get the queue down a bit.Once checked in, I was greeted by a modern room which was of a reasonable size. The decor was typical of a newer style hotel, but nothing exceptional. The room had both a shower and bath, a small desk and a TV with a small selection of channels. As an executive room I would have expected to see a Minibar and something better than nescafe to make coffee with. Free wifi would have also been a nice extra to have.Checkout was again slow, and the staff were not as polite or engaging with customers compared with other hotels I have experienced. I would rate the customer service in this hotel as below average overall.For the price of the &quot;Executive&quot; room I was very disappointed with the overall package, I have seen so much better in other hotels at equal or lesser price. Given that I stayed in a room that is supposed to be better than the majority of rooms in the hotel, I would not rate this above a Travelodge, and avoid in the future as there are many better hotels around for the money.	
Sep 22 2007 	Give it a miss	Went to London for a business trip, scoured the hotels on website and this one seemed okay and near the place I was going.Easily accessible from the tube station and good location overlooking Hyde Park, overall first impression was hey, Ive picked a good one here. Bright and spacious inside and very clean and welcoming. Imagine our delight being told we had been automatically upgraded, what a result! Expecting a nice room to go with the nice hotel, we were directed downstairs to the ground floor level, our room was overlooking a side street and passers by going past our window, not nice!To add insult to injury the room was obviously intended for little people, my husband and I, being strapping six footers were not far from headbutting the overhead air con, it was a very small room with little space to manoevre in. the bathroom was of course tiny, and very awkward to shower in. If this was an upgrade I would hate to see the one below it!The bar however was nice, run by east europeans, no surprizes there! The resturant was excellent and the full english absolutely magnificent.	
Sep 18 2007 	We went back	We have used this hotel before and went back, so this is the first good point. The rooms are small and we certainly would not advise staying there for more than a couple of nights. There is no draw space at-all and little hanging space, so you do end up living out of your suitcase. We did not find this any problem for the single night we were there.The room is clean and the tiny bathroom is clean also. The staff are friendly, and while the breakfast was not like home cooking it was plentyfull and totally self service except for the coffee. The meals in the bar area are really best avoided and the pub next door has a good menu and is reccomended.The position of the hotel is a big selling point - an easy walk to the Tube and right on the park that we walked across to get to Buckingham Pallace, (due to a Tube strike)As long as you don't need masses of room and won't spend a lot of time in your room this is an ideal hotel in London for short stays	
Sep 8 2007 	No air con!!	this hotel was ok - not worth the money it was sooooo HOT no air con at all, unbearable at night !! rooms were nothing like the pics i saw online...old fashioned decor but clean.	
Aug 28 2007 	Good Location but no air con	Location for the hotel is excellent a few minutes walk from lancaster Gate station. The rooms were very small but were modern and clean, the real problem was the lack of air conditioning. We were there in July and whilst it was not the warmest summer on record(!!!!) it was quite muggy which made the one fan in the room not much use at combating the heat.I think you can pay to upgrade rooms to executive level which does have air con but the hotel was fully booked whilst we were there.Lobby and bar of the hotel are good, our rate had continenatl breakfast included but we never made it down in time for this preferring to get a more leisurely brunch at some of the local cafes.The hotel is within walking distance of Oxford street and the walk down is very pleasant alongside the park.We found an excellent restaurant called the island about a block away from the corus down towards lancaster gate, could not rate highly enough the food was excellent.overall good stay would go back but only if they added air con!!!	
Aug 27 2007 	Hot Rooms But Clean!	I have stayed at this hotel once before at the end of June and forgot to write a review. I was lucky to get a room at all because it was Wimbledon week! I had to pay £150 for a standard room as it was booked on the same day and it looks like this might be the &quot;walk in&quot; price. I stayed here again in August and paid £80 through Lastminute.com (for the same room).The hotel is very central to Lancaster Gate - just a few minutes walk. This is very convenient as it is only 10 minutes or less on the tube to Oxford Street, and not far from Paddington either.The hotel is nice and the reception staff friendly. My room was clean, a nice size, and comfortable. My only complaint (like everyone else) was the heat! You walk into the room and start sweating! There isn't any air conditioning. It is ok if you put the fan on and go out for a while. However, I have found the fan is rather noisy and switched it off when I went to sleep...only to wake up very hot! I knew it would be like this after my previous stay, however, it was the cheapest hotel, with clean rooms, close to Paddington and central that I could find with less than a week to book and not hugely put down on TripAdvisor.	
Aug 25 2007 	Modern comfort	OutlineThe hotel stay was for 4 nights mid week, booked by my company due to the central locationTravelThe hotel is on the block next to Lancaster Gate underground station so litterally 60 seconds walk from there. If you are travelling by car to london, you can avoid the congestion charge getting there but parking is limited to a single yellow line outside the hotel where you can only park between 6:30pm and 8:30am. Nearest car park is 10mins walk away and costs £22 for 24 hours.ArrivalThe hotel's entrance is perfectly acceptable and gives a good impression of the hotel. It is clean, modern and stylish. On the ground floor there is a concierge service, reception, bar, lounge and restaurant. Once you check in, you are expected to make your own way to your room. Thats ok as it's simple to find your room and I prefer not to tip a porter for carring my wheeled suitcase 50 yards.RoomRoom are generally small, but very well maintained and styled. They have 7 coat hangers, but more are available on request. The rooms are made up everyday for you. Tea and coffee facilities are provided in the room. There is plently of plug sockets, handy if you have a mobile phone, laptop, hairdryer, straightners ect. There is a fan mounted to the ceiling as they don't have air conditioning. The fan is slightly noisy for a fan, but acceptable is you adjust the angle of the fan slightly.FoodA full english breakfast is provided on the lower ground floor and continental breakfast on the ground floor. I always had the full english breakfast. I found the scrambled egg particularly nice as they were not microwaved, rather made in a pan with milk. The bacon was the only downside being rather dry. At night there is a English or Malaysian choice of food in the restaurant where is the service is brilliant and attentive. Alternatively you can eat in the lounge and choose from english favourites such as beef burger and chips. If you do choose from this you wont be disappointed as it's no McDonalds burger, but a prime beef steak on a toasted bun with stilton cheese. Delicious.Value for moneyThe hotel room is an average value considering the prime location of the hotel, however I found the cost of food and drinks quite expensive considering the pub next door offers drinks and food similar in quality but at a much lower cost. Overall experienceI found the hotel modern, clean, stylish and worth the money. The staff would endeavour to acheive any request you made and the concierge service splendid. I would reccomend this hotel to people who are looking for a place to stay whilst on a short trip for business or pleasure to central London	
Aug 24 2007 	Not as good as last year!	We stayed at the Corus last year, and as everything went fine, we decided to use it again. However, despite booking two doubles, we were informed that none were available except for in the basement which sounded like the overspill! So we were given twins instead. The notice on the side advertising Double's with AC left me with the distinct impression there were double's still available, but as I had an hour to get over to Wembley. I didn't have time to argue.The room was as expected, but the en-suite was tiny, and you had to shower sideways! It was also a smoking floor (fifth) but I can't remember if the website we used gives you an option so I won't hold it against the hotel!Finally, a good point - the breakfast, as last year, was a big plus - plenty to eat setting you up for a manic day in our fine capital!	
Aug 24 2007 	Good hotel with flaws	I stayed at the Corus Hyde Park hotel from the 16th to the 19th of August for an extended weekend trip with my wife. We had a good stay in the hotel but there were some flaws.First of all: The location of the hotel is close to perfect. Very near to Lancaster Gate tube station on Central Line that in a few minutes will bring you to Oxford Circus which is in the heart of London. The hotel itself is pretty decent for a short stay. I found the staff in the reception to be courteous and efficient and the lobby/bar area to be quite well. My room was a different matter. The first thing that welcomed us when we opened the door was a distinct odeur of sewer!! As other reviewers have told the the room was also cramped and hot. Most of these problems were solved by opening the window (there was no A/C).The breakfast included in our room was a joke: Bread, butter, ham, cornflakes and some canned fruit. I don't think I have forgotten anything. The breakfast was clearly designed to get clients to pay (approx. 8 £) to upgrade to the english breakfast downstairs (which we did). I saw some pictures of the executive rooms that looked much better than our room. Maybe the english breakfast is also included when you book those rooms?	
Aug 23 2007 	Not much space	The Corus Hotel Hyde Park is in a nice section of London. Having been to London several times I realize that rooms are small but for $200 I expected something larger than 15' x 18'. The room was quite hot and stuffy with no air conditioning.	
Aug 11 2007 	Skip the continental breakfast	My husband and I stayed at the Corus for 5 nights in May, 2007. The location is fantastic; right near the tube and across the street from the park. The room is small. I knew this going in, but was still suprised by just how small it was. The bed was ok, but the pillows are a bit like mini futons cushions (very firm and dense). I've since heard this is how pillows are in Britain. The continental breakfast was included in our price, but I would skip it if staying there again. They had the same spread daily (cheese, ham, stale croissant, bad coffee, juices, cereal), and it was a bit tiring after several days. On the upside, the room was clean, the temperature was fine (we were not in an air conditioned room), and it was generally pretty quiet.	
Aug 1 2007 	Great for a weekend	I stayed here early in the month. The room was very compact but had everything you need and was clean and nicely decorated. Location is great with lots of bars and restaurants near by.This hotel is great for a weekend hotel when you wont spend much time in. Great Value if this is what your after. Only downside was the room got really hot with only a little fan which didnt help much	
Jul 30 2007 	great hotel	after reading some of the reviews on here we were a little worried what we would get we arrive at 4pm checked straight into the room and was happy with the outcome the lobby and staff were very pleasant and helpful. the breakfast (full english ) was lovely plenty of food and choice and quick service nice pleasant dining room. our room was an excutive i would recommend these rooms for the extra money you can upgrade when you arrive for £30 which would be worth doing the other rooms are small and cramped we had air conditioning in ours tea /coffee ahairdryer trouser press and iron + board. bathroom a decent size with bath and shower. would definately stay at this hotel again ! location is brilliant 2 minute walk to lancaster gate underground and hyde park straight opposite the hotel. nice pub to the side of the hotel called the swan nice food and beer. all in all a good weekend break !	
Jul 20 2007 	Hated the Bed	I stayed at the Corus twice in March and April 2007. They must have been under booked as they gave me a big roomy room with a roomy bathroom, an air conditioning with a heating option (came very much in handy) and a TV that was close enough to the bed to watch it from there. Only gripe is the bed itself - the side of the matteress which apparantly everybody used to get up from (as the other side was close to a wall) was lower and sloping from over-use (and must be a cheap mattress as well) - I had to be careful not to accidetally slide right off the bed in the middle of the night!Nice thing was that they gave away me entire two adapters for my electronics at reception at no charge - apparently some tourists must have left them behind.One other gripe is that when I did not feel like paying for and eating a big breakfast, and just wanted a cappuchino and a muffin, there aren't any coffee shops like Starbucks or Nero around unless you walk 20 minutes or take the bus or tube into Oxford Street or Notting Hill.	
Jul 18 2007 	Trendy interior	We flew into London from the USA, requiring to stay one night before moving on to the rest of the UK. As we arrived early, after an overnight flight, we were allowed to go straight into our room. The room was as the photos had showed, modern headboard and space saving furniture. The bathroom was small, but immaculate, compactly presented. We travel a lot and have learned how to read between the lines of a hotel description. The hotel was exactly as we expected, light, modern decor, excellent dinner served by Polish staff, and very friendly receptionists. We would recommend it to anyone coming to London for mainly sight-seeing purposes.	
Jul 10 2007 	Convenient hotel	We stayed two nights at the Corus Hyde Park in late May. It was part of a buy the flight-get two nights accomodation package with British Airways. Check-in was handled smoothly and we were allowed to check-in before the official time--wonderful for us, since we had flown all night and gotten to London in the early morning. The staff was polite and helpful; the room small but clean and adequate. Location could not have been better, with quick access to the tube and buses. A pleasant surprise was the on-site restaurant where we ate one night (we were just too exhausted to look for anywhere else). The food was great; the service excellent and the price moderate. We would likely stay here again, depending on the price and the date of our trip. The lack of air conditioning did not bother us this trip since it was cold and raining when we were there.	
Jul 9 2007 	Worse hotel experience. Stay away!!!	Booked a double-room through the Corus hotel website but when I got there they told me they did not have anymore double-room left!!?? They did have my reservation but somehow they told me they didn't have the double-room I booked and I thought that was ridiculous. They finally found me a twin room but the room was horrible. The bathroom stinks, the water on both the sink and bathtub did not go down and the shower did not work. Don't be deceived by the grand lobby. The room is old and disgusting. I would not recommend this hotel to anyone. The only good thing about this hotel is that it is just 3 mins walk to the Lancaster Gate subway stop and that's about it.	
