	Just ordinary	I stayed in an individual room at the Meliá White House for one night. I found the hotel just ordinary. The decoration and furnishing are pretentious and a bit dated.The staff at the reception desk were nice and both the chek-in and the check-out were fast. The room was small, if not too much for London standards; however there wasn't even one chair and the only &quot;table&quot; in the room was more of a ledge with legs, barely 25cm deep and placed in a narrow, poorly-lit, aisle-like space (which is awkward for a four-star hotel that claims to be ideal for business travelers; but of course with a chair and a desk the room would have appeared crammed). The TV was big and a bit old. The closet looked a bit shabby. The bed was comfortable. The bathroom was up-to-date but really tiny; not even a shelf for the toilet bag, just the small counter around the sink. Everything was clean enough. There is a coffee and tea kit (inside the closet, as there is no other place to put it).There is something odd about the use of the in-room minibar: an note advises that if the customer uses the minibar to cool his own stuff then he will be charged 15 pounds.No free internet at any area of the hotel. Rate is 15 pounds per 24h.I didn't have breakfast at the hotel; I don'd remember the price but it was in the region of 20 pounds, so I had a good breakfast somewhere nearby (Great Portland St. is just across the street).The hotel is well located but you can find plenty of well located hotels in London at similar or cheaper rates and this one does't add any special value.In brief, it was just fine but there's nothing special about it. I've stayed at nicer hotels in London and would recommend this one only if you get a cheap rate.	
May 11 2007 	Wow!	What a change! Stayed here 14 years ago and now it will soon be a 5 star hotel. THE best breakfast we have ever had in Europe(30+ trips) Rooms are about the same size-bathrooms marble-great location for both the bus and the tube. We booked through American Airlines with out tickets. My wife loved the wine and chanpagne for breakfast(included)everything you could think of was served. Loved it.	
May 10 2007	Good Value business class hotel	About 10 to 15 mins walk from Euston Station and 2 mins to Regents Park. The hotel was clean, neat and tidy and clearly professionally run. I found the settings cosmetically nice and decorated to a high, although some might say slightly old fashion standard. The hotel was taken over in 1999 by a Spanish group and they seem to have improved the place. The bedroom was, as expected, clean net and a good size with 6 pillows!!! Two restaurants offering catering to appeal to most people – the ‘posh’ restaurant did seem to be a bit expensive but one has to expect that. I found the décor in the main lobby and bar area very appealing and done to a high standard. Staff were professional and a pleasure to deal with. You need to book ahead to get the standard rooms – after this the price goes up a lot.	
May 7 2007 	Go on- treat yourself!	We booked The Melia White House on a “Top Secret” deal with last minute dot com which saved us a fortune. We were so impressed with this hotel the first time we stayed, we booked another visit on our return. Lovely reception –marble floors and chandeliers, staff reasonably friendly, courteous and well turned out. Tough on one occasion we waited for forty minutes to check in as our room wasn’t yet prepared despite arriving after 4 pm. Whilst waiting in the bar we ordered drinks - a small bottle .of beer and baileys which totalled an extortionate £14.00!!!Standard rooms are quite small, but of a high standard. Ours was tastefully decorated and immaculately clean throughout. Fixtures and fitting were all good quality as were beds, towels and bathroom products.Our superior room was very spacious and had good facilities: internet, well stocked mini bar, etc and a HUGE comfortable bed. Nice bathroom lots of extras immaculately clean with great view over Regents Park. Easy to commute to – fairly central. Lots of things to treat yourself to during your stay.Piano bar with entertainment, some evenings, though as I mentioned before – drinks were expensive.Breakfast was fantastic; if you stay there yourself I would recommend you try it at least once. Continental or full English, selection of yogurts, cheese and cured meats. Extensive range of fruits fresh and dried, DIY muesli, champagne and strawberries. It was all excellent and I regret not eating in the restaurant in the evening.Would definitely recommend this hotel, comfortable with a degree of luxury. Well located. Lovely rooms. A real treat -Get the upgrade!	
May 4 2007 	Expensive but excellent location	Booked this hotel as a Top Secret Hotel on lastminute knowing beforehand which one it was, and was much cheaper than the usual rate, of which I am glad.Upon check in I was told that my partner, who was arriving later would have to sign the form, even though it was me who was paying for everything! Room was very small, and the furniture was a bit on the shabby side. Having seen the room it then made sense why they advertise throughout the hotel about upgrades from £25, in my opinion if you can afford it go for the upgrade. Food in the restaurant was lovely, and be warned, the portions are enormous! Staff in the restaurant however, are a bit pushy and kept trying to get us to order extra things we really didn't want or need. Particularly another coffee when i was still halfway through the first. Cannot fault the cleanliness of the hotel throughout, but staff are not the most attentive, and it took speaking to 2 different people to obtain a bucket with ice, and despite asking for an additional wine glass it never appeared and i ended up using a tumbler for the champagne.	
Apr 26 2007 	Expensive but quality	This is a large hotel in central London. I have stayed here twice. Once in a standard room and later in a suite. The quality of the standard room was only just above average but comfortable.The suite was very good with a very large double bed. Nice bath room. All staff encountered were very friendly and helpful.Breakfast was extensive, but the hot food could have been hotter! The bar area is very comfortable with lots of sofa's.The hotel does not have any direct car parking and local parking is expensive.There is also a gym and sauna, but I did not use them.I would stay here again.	
Apr 23 2007 	Excellent hotel tiny standard rooms	This hotel was booked through Hotwire for a vastly discounted rate even compared to the Melia website weekend rates. On arrival I asked about an upgrade but was told they were full so they weren't able to oblige. I went up to the room, only to spend about 5 minutes in it and decide to go back and ask for a room change. The room was immediately behind the lifts, the mechanics and bells could clearly be heard, as well as it being very dark and small. Seriously the standard rooms are so small and the bathrooms possibly the smallest I have ever seen in a four star hotel. Reception were perfectly pleasant and found me a junior suite on the top floor, at the end of the corridor overlooking Regents Park. The room was lovely and bright thanks to the west facing aspect and was clean, tidy and smelt beautiful. The rest of our stay was superb including the service received from the staff (no language issues at all) to the excellent singer in the bar of an evening. I would certainly return to the Melia again, fingers crossed for another great Hotwire rate!	
Apr 16 2007 	Excellent and flexible	Agree with most everything in other reviews. The place has a luxury, marbled, serving-your-every-whim kind of feel to it and the standard room was weighing in at £105/night, booked on the morning of the stay.The A/c in our room wasn't working which we only realised when we got back around 10.30pm. Who'd have thought you'd need it in London in April? But we did and after checking at the desk and getting someone to come up and say that the cold air wasn't blowing, they happily moved us and upgraded us which would have been worth the £25 that would othersie have been payable. Checkout smooth and well-handled. Will definitely be staying there again - suits our needs and location requirements.	
Apr 15 2007 	A real gem	Booked this hotel through [--] at a great rate which included a superior room and full breakfast. We had a great room with lovely furniture. The bathroom, although a little small had everything we needed. This hotel is very well situated for getting around London. We drove up from the West Country and, unsure where to park, asked the advice of the doorman who was happy for us to park outside the hotel for £10! The hotel has a lovely bar where, after a night out we enjoyed some exceptional jazz piano. This was a real bonus! The staff in the hotel are very friendly and efficient. There are plenty of them and the level of service was the equal of any hotel we have stayed in before in London. Our advice is: get a good deal and you won't go wrong with this hotel. We will be back!!	
Apr 3 2007 	Excellent value very Spanish	Booked the day before through lastminute.com (&quot;secret hotel&quot; but easy to identify from the description) for £98 per night with an excellent buffet breakfast (although there was some mix up when an officious staff member said this included only one breakfast despite clearly booking 2 adults per room - after discussion with a manager they apologised and common-sense prevailed). Otherwise staff - mostly Spanish - were very friendly and helpful. The hotel has a very Spanish feel, and is familiar if you have stayed in Melia hotels in Spain, with widespread marble and opulent fittings. We were not able to try the main restaurant but the menu looked intriguing. Very pleasant bar with piano. Excellent location with 3 tube stations nearby, next door to Regents Park and 10 to 15 minutes walk to Oxford Street / Soho.Would definitely recommend this hotel for a weekend in London if you can get a good deal on the price.	
Mar 23 2007 	Fan-Tab-Ulous Darling!!	Stayed here after being stranded in London unexpectedly. At that point only something superior could ease my stress from my nightmare travel experience and believe me this Hotel certainly did!! The nice folks at Disney put me up in a suite, and can I just say one word: STELLAR. The room was just fantastic- neat, well presented and clean! I loved the design- understated and not too old fashioned. I have stayed in some of the best and the worst hotels in the world and certainly in our nations capital- and this ranks for me in my top 3!  It really is superb and so well located if you are on the Tube. The breakfast buffett alone makes it worth the trip - yummmmmmy! ha! I wouldnt hestitate to recommend it- well worth the money and not too expensive considering its excellence!!	
Mar 12 2007	Nice enough-but with some drawbacks	Much of what the other reviewers have said I would agree with...I had originally booked a deluxe room but I had an offer from Airmiles for a standard room which meant I could get a free stay rather than paying a little under £300 for 2 nights for the upgraded room, in hindsight I would rather have had the better room.The standard rooms are very small, there is just enough space to get past the bed (about 18 inches from the foot of the bed to the ajoining wall). The bathroom could be a struggle for a person of 'generous' proportions getting in and out of the shower (over bath) will be a problem if you are elderly and the floors are very slippery if you have wet feet.Noise from your neighbours and the traffic are very noticable, one night I had to leave my tv on (to get to sleep) to stop me hearing the people in the next room, not that they were over noisy, its just the walls are not soundproof and you hear lots!! One of the selling points of the deluxe rooms is they are soundproofed, something you may want to think about.The chain, I believe, is a Spanish one and consequently attracts a large number of guests from Spain and Portugal where smoking is more common, so I was not surprised to see the number of smokers puffing away in the public areas. Its funny how you get used to a smoke free atmosphere and how you notice when its not.Getting there can be easy if you are coming from Heathrow, tubes and trains make it a simple journey, from Gatwick is a bit more complicated so study the tube maps carefully. London underground can be very expensive for one way travel, buy a day pass it's a much better deal.Breakfast was included with the room and there is plenty of choice, you can have full English or you can have European style meats cheese pastries etc. However the English food was often cold by the time you got to eat it.The cleanliness of the rooms and the friendliness of the staff is second to none, they always had a smile for you and always spoke to you when you passed.I liked the lifts (once you get used to them).Walking time to the shops (Oxford Street) is about 15 minutes, but the tube is not on a convienent line for most attractions so you either need to walk to Warren Street (about 10 mins) or change once you are on the system). Oxford street is like any other high street in the UK all the brands are there so it may not be you choice if you want to see something different, it is close to Liberty's and Carnaby Street however.All in all I may stay at this hotel again but definately not in a standard room, you can ask at the desk for an upgrade they sell them from £25 (wether that is per room or person I do not know) I wish I had. But it is clean it is very friendly and it is a short walk away from lots of the touristy bits and it is right next to a tube station, and it is a good price for a central London hotel.	
Mar 11 2007 	Excellent location lovely hotel.	We bought tickets to go and see the musical Billy Ellliot for Saturday 10th March and wanted to stay in a hotel that was better than a budget hotel without being charged a fortune.This hotel certainly filled the criteria. We paid £96.35 for their standard double room, which was beautiful.We were offered an upgrade but figured that this wasn't necessary for the amount of time we were going to spend in the room.The decor of the room was very tasteful with a 6 foot bed (2 singles together). Fantastic, lots of room to stretch out. although the bathroom wasn't large, it was well fitted and the shower was powerful. Just what you need after walking round London for the day!The location is perfect with Great Portland Street tube station 2 minutes away.Breakfast was too expensive, approximately £20 per head ,but a short walk to Marylebone High Street has many patisseries and lovely cafes serving high quality food at reasonable prices.We would not hesitate to stay at this hotel again.	
Feb 24 2007	birthday stay	we booked through super breaks, for my birthday in Jan, myself and boyfriend was very impressed with hotel. when we arrived we got offered a upgrade, the room was really nice. staff were very pleasent and helpful. would definatly stay again, my boyfriend did actually comment that he only wants stay there when come london. And the breakfast and meals in the hotel are must.	
Feb 23 2007	Exceeded expectations	Since we got such a good deal online for this hotel, I thought it may be a little run down, but I was happily surprised. It is newly renovated, classically decorated, clean and cozy. It's right across the street from an underground stop, a bus stop, and right out the door is Regents Park, which is great for running or just strolling. There is a pull-up driveway, door men, bell hops -- the works. When you enter the rather grand lobby, it is always full of smoke, but remember that is somewhat the norm in London. Once we were in our room, we did not hear a thing from neighboring rooms or outside. It helps that the hotel is set back a little bit from the major street it is on. And room darkening shades do a good job keeping out the street lights. One glitch upon arrival was that I had emailed ahead to guarantee a non-smoking room, to which they replied it was all set, but once we got there they said they had no non-smoking rooms. They arranged for one within about 20 min., but we consider ourselves lucky with that one.If you're looking for a place that is not right in the center of action (which would also be much more expensive), this is a great place. From here, you can walk to shopping on Oxford Street and the tourist spots on Baker Street and in Mayfair. Great for exploring by foot - and to go beyond, it's easy to catch a train or bus. We had a great experience on our brief trip to London and were able to fit it all in, with this hotel as our base. There are even quite a few great restaurants in the neighborhood - couple of pubs, one with music, and a couple of Italian places. Just remember - EVERYthing's expensive!	
Feb 22 2007	Small rooms but very well maintained	An excellent hotel which I used for one night when on business. The room was exactly as shown on the website. The room and especially the bathroom was 'compact' but very well maintained and cleaned. The beds were very comfortable and plenty of channels on the TV. Safe in the room as well which is not a standard in many hotel rooms even today.The bar had live jazz and a nice selection of bard food. Would happily stay here again though would love to be able to afford a suite. Prices are cheaper online so look around. Bit of a wait for breakfast so went elsewhere as was short of time.Nice place and a good atmosphere, a hotel where you are welcome and encouraged to spend the evening in the hotel, rare these days.	
Feb 19 2007 	Lovely hotel	We stayed in this hotel for two nights in February 07, having booked it with AirMiles points. What a pleasant surprise! It was a lovely hotel, with very charming and attentive staff. Check in was good, we waited about five minutes and although there were people smoking in the lobby, it was definitely not smoke filled as suggested in previous reviewsThe lifts were easy to use, you just enter the floor number of your room and it tells you which car to take.The (standard)room was somewhat small, but perfectly adequate for our needs, with lovely finishes and furnishing throughout. The bathroom was lovely, finished in black &amp; gold with a really good selection of toiletries. The beds were comfortable too!The buffet breakfast was yummy...plenty of cereal, fruit, bread, cheeses, toast &amp; croissants for even the fussiest of eaters!We especially loved the doormen, resplendant in their uniforms and hats, who always held the door open for us!Overall, a charming, well run hotel in a great area with lovely staff- highly recommended.	
Feb 18 2007 	Neat enough but be ready to wrestle the lifts	This was a quick jaunt down to London for a romantic treat, and the White House provided a lovely backdrop - I suspect the management are hoping the place is jaw-dropping, and on that basis it falls short, but it's tidy, clean and (mostly) well-staffed, although it was a bit surprising to have to wait five minutes for the four members of reception to finish tapping at their keyboards to be acknowledged. To be fair, they did apologise for keeping us waiting.The lift service is, frankly, bizarre - you tell the system where you're going through a central control panel, which then assigns you a lift. Once you've entered your floor, that's it - there's no way to punch in a different number once it arrives. I suspect the idea is meant to be efficient, to stop several lifts heading for the same floor at the same time, which might make sense in a skyscraper. In a seven story building, it doesn't work - it's slow, glitchy, and created a knot of confused people stood around trying to work out how to get up and down. In fact, going down for breakfast there were so many people stood hoping for a lift to show up on our floor that we decided to go down the stairs instead. We were already on our cereals before the others made it into the breakfast room.The room was clean, in good condition (some slight damp coming through from the shower, a bit of ripped wallpaper, but nothing seriously wrong) but the bath is very high, very deep and very narrow - wouldn't recommend it for people who have mobility problems, and not for people who like baths. There's a list of relaxing bath salts available, but how relaxing a bath would be if you had to take it on your side, I'm not sure.We had to fix our TV - we got no picture - the aerial had come out the back. (I'm aware some TA users mark down on this sort of thing.) And why a one hundred quid a night hotel feels it can get away with providing standard Nescafe in the rooms - a drink that bears only a passing relationship with coffee - I'll never understand.Although just off Marleybone Road, the double glazing keeps the sound out, but not, unfortunately, the noise of the couple in the next room having sex. That didn't last that long - good for us, slightly disappointing for them, I fear.Breakfast had a wide selection of foods on the buffet, although the scrambled eggs were so liquid as to count as a drink and the range of jams was limited to a choice of two; they served up until 10.30 which is pretty good by UK standards. (This might be a Saturday only time, though.)All in all, a great stay, and a great location - bang opposite Great Portland Street tube and walking distance of Regents Park and Euston Station.	
Feb 14 2007 	Service was COMPLETELY AWFUL	Hotwire messed up my hotel booking for this hotel and switched the month from march to february. When I called the hotel to get a change in the dates, the absolutely refused and wouldn't even let me pay a fine or fee or anything to change the date. They said I would need to pay for the entire room for the entire stay all over again. We weren't even in London and absolutely did not check in, and they couldn't even call or email to check about the &quot;no show&quot;. Completely awful service in trying to deal with the problem and refused to even credit me one cent. Unbudgeable and awful service.	
Feb 9 2007	Convienient and comfortable	We booked this trip through Priceline and got a nightly rate of $115 per night for 14 nights. We were given a king bed room on the 3rd floor - no smoking. It was the room adjacent to the elevators. Caution if the sound of elevator cables is likely to disturb your sleep - change rooms as it is noisy in the mornings particularly.The king bed was extremely comfortable. Duvet rather than blankets. Plenty of space to store luggage underneath which is a plus as there really isnt adequate closet space and virtually no useful drawer space. The bathroom was a closet size room. Adequate for one person at a time. Room service was a bit hit and miss. While the room was cleaned and linen changed the room person left the window in the room open all day on three occasions! These were on the three coldest nights in Feb when it had snowed. After 2 calls to Room service and eventually spoke to the Duty manager - this didnt happen again. We requested ice one evening and when it hadnt arrived after 45mins, cancelled it. Apologies were offered but it wasnt great service as this hotel does not have floor ice machines.Internet service is outrageously expensive at 9.99 gbp ($20) per hour or 30 gbp ($60 which covers internet and inhouse movies) for a 24 hour period.The room does have a mini bar at the usual inflated prices if you want the minibar cleared for your own use it costs 15 gbp ($30) per day. The window sill worked well as a place to keep drinks/yogurts during our stay in Feb.The tube station - Gt Portland Street is 2 blocks from the hotel. The bus stop outside this station has three buses to Baker Street station. Get an Oyster card if you plan to use tube and buses as it is double the cost if you dont use one. They are available in tube stations and some Newsagents shops. When topping up buy the Weekly Oyster pass as it will save you a lot of money.Tescos metro store is close by Gt Portland St Station open 7am to midnight. A Pret a manger is a few stores down. Both are excellent for breakfast supplies.Check in and check out was very efficient and quick. We had arrived at 8am and were given a room immediately.Coffee shop - Davidoff Cafe produced excellent coffee 1.80gbp per cup. There is no other inhouse shop here. The bar was lively and well used - no noise issues. Many of the staff and guests here are Spanish which made not one iota of difference apart from the lobby being full of smokers in the morning and evening, this will change from June/July 2007 when smoking will be banned in all public places. A nice stay overall with a couple of minor issues. We would stay again.	
Feb 8 2007 	Very nice hotel	Enjoyed my first stay here (6th February 2007).Nice, comfortable hotel, plush (traditional) decor.Good check in and out.Very helpful concierge.Very nice bedroom. Extremely comfortable bed and pillows. Seem to remember the website saying something about sound-proofed rooms - not true - I could clearly hear the tv next door!Good breakfast - lots of choice - full English, eggs cooked to order, cereals, yoghurts, breads, pastries, fresh fruit etc.....Short taxi ride from Euston Station. Very close to Great Portland Street tube.	
Feb 7 2007	Nice hotel	We stayed here for 5 nights, just before New Years. Unlike other reviews, check-in was very smooth and very fast. At most it took 10 minutes from the time we walked in till we were in our room.Rooms are very small, even by European standards, but very well furnished. Bed and pillows were very comfortable. Ample closet space. Bathroom was a little dark, and tub is difficult to get out of without slipping. We did not use the bar or room service since there are so many pubs very close by. Tube stop is literally a 2 minute walk. Very convenient. The concierge was very helpful, and all of his suggestions were wonderful.I got a fantastic deal on Priceline for this hotel, and would stay here again if the price was similar.	
Jan 31 2007 	Not sure really!!	I will try and keep things brief:I have stayed in other properties within their portfolio which have been great, hence the reason for booking direct but unfortunately felt a bit let down by Oxford.Postives:* Great location* Impressive impact upon entering* Great bar for an evening drink* Modern - quirkyNegatives:* Staff - reception staff seemed untrained and dis-interested in helping or giving basic information, lack of attention detail. I actually wondered if one of the young guys was suffering from a hangover! Sorry bit presumptious....Restaurant staff were fine but generally a lack of customer service in other areas - a smile would of been nice!* Booked a suite and extras due to a special occassion which had been totally overlooked* Rooms - avarage even within the suites and the air conditioning was a problem, had to request a floor heater* Drinks were expensiveI do not think I would return which is a shame as it does have potential!	
Jan 31 2007 	Friendly but slowest check-in ever experienced	As others have noted, check-in is an issue here. This was my first stay at a Sol Melia hotel, and having to stand in a queue in a smoke-filled reception for 20+ minutes is far from a good first impression. There were 3 staff on the concierge desk doing nothing, and 3 on reception dealing with a laborious procedure surely unnecessary when I (and doubtless others) had provided all the information when booking online.I have to say that the staff were very friendly throughout, which helped - but I was in a hurry, and had lots of bags, and that is my abiding memory of the stay.I should say that the room, whilst small (went for their basic option), was better maintained than most large hotels I've stayed in, and was spotless.The location is good, but the tube station right across is not easy to get to from some mainline stations, so plan your journey with this in mind.	
Jan 30 2007 	Great love it;)	Me &amp; my friend stayed there for 5 days in january 2007. We booked the royal service (because we read some great reviews about it here), which is very great:) You get free breakfest, drinks &amp; snacks during the day. And free internet in the lounge. (too expensive if you use it in you're room)The rooms were smaller than we thought but ok. Bathroom clean and nice. But hairdryer awful, bring you're own. But this trip overall was great, would stay there again. ;)	
Jan 24 2007 	Perfect for a Posher City Break	We stopped here in December for 1 night and were really pleased we'd picked this hotel. Location wise, it was spot on for our needs, equi-distance from Euston and Marylebone and several tube stations and yet still felt like a retreat from the city hub-bub. We were heading to the Jazz Cafe in Camden which was only a cheap taxi drive away. The rooms were perfectly adequate; quiet, really comfy bed, nice interior design but somewhat pokey bathroom. Can't comment on the food as, to be honest, we were a little put off by the £18 price tag but, hey ho, that's London for you! If you're having a couple of nights in London and are looking for accessible, clean, comfy accommodation that's a bit posher than the typical travel tavern feel, this place will really please you.	
Jan 24 2007 	Very pleasant stay would stay here again	We booked a deluxe room which had a 6ft bed, double glazing and was slightly bigger and nicer decorated than the standard rooms. The room was very stuffy and the aircon didnt appear to work so we had to have the windows open all the time which did tend to get a bit cold at times, but not long after you closed them the room was too stuffy again.The bathroom was not very well lit, no light over the shower or toilet the only light was above the sink.The food in the hotel I thought was disappointing, we ate in both of the restaurants and didnt really enjoy the food and thought it was expensive for what it was.The hotel itself was very clean, staff were courteous and friendly, most of them were Spanish or other foreign nationality and the only time there was a language problem was with one of the waitresses in the restaurant.I would definitely stay here again, location is good and overall cost of hotel room is very competitive against other hotels of the same standard.	
Jan 22 2007	Watch the VAT!!!	Arrived early afternoon to find a small queue at reception so expected not to be too long but waited at least 20-30 mins to get served by a member of staff, the staff were quite slow checking in people and didn't seem concerned about people waiting. The majority if not all were spanish so the language barrier was quite difficult. The hotel itself was very nicely decorated and presented and the lifts were very high tech so that was interesting! When we finally arrived at our room we found it to be quite small but very clean and well presented! Don't touch anything in the minibar because it will automatically be charged to your account, a small can of coke would cost you up to over £2 and £4 for a bottle of water. Certain standard rooms including ours needed NEW windows as they were very shabby and very drafty while others had double glazing. Overall the room was very nice, however theres no movie channels on the tv. Room service- check at the bottom of the menu because VAT at 17.5% is added to everything that you order. Our time came to check out and we were VERY surprised to learn that VAT was added to the total amount that we were to pay for the room itself, this wasn't stated beforehand and especially as the confirmation email stated that the TOTAL amount due didn't include the VAT. Good position in London, directly opposite Great Portland st station and not far from London Zoo. And theres a nice little pub across the street called the Green man, very friendly!!! Overall an enjoyable trip, but turned out to be more expensive than originally thought. 7/10	
Jan 15 2007 	Surprisingly good	We stayed here for one night in a Junior Suite, booking via the hotel's own website. When upgrading, you get your own check in under what's known as the Royal Service - well worth the money! The room was spacious, well furnished and had one of the most comfy beds we've ever stayed in. With the Royal Service you also get a pillow menu which was great, and complimentary drinks (including bubbly) in the private Royal Lounge between 6pm and 10.30pm along with free tapas. House-keeping was prompt, the waitresses were lovely and breakfast was scrummy. All in all well recommended.	
Jan 12 2007 	Very Surprised!	I booked the Melia White House for my wife and me after a long search online. Some of the reviews seemed spotty but overall good. When we arrived, we were very surprised. It certainly exceeded the expectations we had based on the reviews. The staff was friendly an courteous, the room was a good size, clean and well appointed, and the location of the hotel was terrific. There is a subway stop one block away and (being from NYC) we found that we were within walking distance to many locations. I would stay here again in a heartbeat.	
Jan 2 2007 	Fantastic!!	We have just returned from a romantic trip to London and the Melia White House Hotel. I had booked this hotel after extensive research on the Web as it was a special stay because I was going to propose to my girlfriend. Before booking I had had some contact with upper management to see what arrangements could be made. Staff was more than helpful and made some fine suggestions. They were more than happy to help me out.We stayed for three nights and it turned out to be exactly what I hoped it would be. My girlfriend (or fiancee now) is always very critical of hotels (as am I) but neither of us could find any fault. The lobby is impressive enough with its gold and marble. It is spacious and breaths a nice and luxurious atmosphere. As I had booked the Royal Service room, we had the express check in and check out and the deluxe room. A bouquet of flowers had been set up in the room as I had previously asked and the room itself was big, clean and had all the services one hoped to find. The interior decoration appealed to us especially and there was the great big bed!I had booked a private dining suite for 2 hours, of which one hour was complimentary. When you are a Royal Service guest you can use a business meeting room for free for one hour but that is hardly the appropiate place to propose so the hotel made me this offer. I had also booked a sax player and the hotel was fine with him playing while we were having dinner.The actual evening was more than perfect!!! It was highly romantic with excellent food and service. The manner in which the hotel staff helped out was simply amazing!All in all we had a wonderful stay. We felt sad to leave. I do not know what the standard rooms are like but it seems to me that if you can afford the extra pounds, get Royal Service and you will feel like a 5 star gueat in a 4 star hotel.	
Dec 11 2006 	Good stay in London	Good stay close to Regent's Park.Spanish staff are more friendly than most london hotel staff.Gym is larger than it appears, with around 20 excercise machines (albeit no weight machines) and free weights ranging from 2 - 10 kgs (around 4 to 22 lbs).Room: small, but this is typical of any London hotel. Comfortable (medium) bed with down pillows. In-room electronic safe provided. Internet access is a pay as you go service, it is far cheaper to use a cybercafe on Oxford Street. Minibar is also provided (though do not plan on using it as a personal fridge, an electronic sensor detects this and charges 15 pounds a day). My only major complaint is that there are only 2 electical outlets with easy access.Bathroom equipped with hairdryer. Bathtubs are deeper than average (a plus) though it is fairly difficult to get in and out without slipping. Lotion, shampoo and bath gel (generic Melia brand) are provided. Also available (for 4 pounds and up) is a menu of bath salts from the dead sea.Breakfast (19 pounds) has the widest selection I've ever seen at a London restaurant, and seating was quick.Tip: Join the loyalty program, breakfast becomes BOGO, and you get a newspaper in the morning.Recommended: Yes	
Dec 5 2006 	Top Service	Stayed here with family several years ago. Had a wonderful experience. The service was excellent and the room was clean, cozy and large. The staff were knowledgeable and friendly. Room service was perfect.Close to Regents Park and steps to Great Portland St tube station. You are a ten minute walk to Oxford St shopping. Overall, we had a pleasant stay with no problems.	
Dec 5 2006 	Overall very good	Stayed here for 2 nights in November 2006, room was very nice, very clean and nicely decorated. It was was quite small, but more than adequate. I followed the advice from other reviews on here and used the Tesco Express opposite for breakfast! Definately a good tip and saves the queues/crowds in the restaurant. Theres also a tube station opposite (Great Portland Street), and Regent's Park is a few minutes walk. Pub across the road (between Tesco and the tube station) was also ok, they serve food also, so its another alternative to the eating at the hotel. Overall I was very pleased with the Melia White, although I cannot comment on the Restaurant and Bar because I did not use them...	
Dec 5 2006 	Very Good Hotel	We stayed here for a Saturday night using Mas points. We checked in early at 11:30am and were given our room straight away. We were given a Royal Service Room which was very nice with a huge King Size bed. The bathroom was tiny but it did contain very nice toiletries. The hotel itself was very quiet considering it was so busy. I agree with the previous review in that the majority of guests are Spanish. Breakfast the following morning was very busy however there was no queue. The 2 dining rooms used are very large and the selection of breakfast foods is substantial. Using my Mas card, one breakfst was free of charge.Overall a very good stay and my total bill on checkout was £18.95.	
Nov 21 2006 	Relaxing warm and friendly	This hotel has fairly recently been refurbished at great expense after being taken over by a Spanish company. Which was why the hotel was about 80% full of Spanish guests I assume! At first sight I found the decor rather overbearing and old fashioned, but by the end of my stay (3 nights) I had changed my mind. It felt lived in and comfortable, and yet it was all new. The bedroom was a good size (we had the deluxe), the bed was massive and very comfortable and it was very quiet despite being in Central London. The breakfasts had a fantastic choice of food, something for everyone and the food in the award winning Spanish restaurant we went to one evening, was superb. The service was again, old fashioned, but very charming and totally won us over. Apart from the fact that the keys didn't work a couple of times and it took ages to check out - ok it was a Sunday morning, I can't complain.	
Nov 19 2006 	Excellent location good service	This hotel is situated a few yards from a tube station, you can also walk to regents park &amp; London Zoo.It is definately worth up grading to a Royal Service room as the guest lounge is excellent, free breakfast, snacks and drinks.	
Nov 6 2006 	Great deal for three girlfriends	I stayed at this hotel together with my sister-in-law and a friend of ours. We were very happy with the hotel. Since there were three of us we booked a junior suite and this was really a great deal. Altogether we paid £160 for three nights which included a very big breakfast buffet and free drinks and tapas in the lounge in the evening. As you know, London is very expensive and by eating and drinking in the lounge we could put all that money in our shopping accounts instead!The hotel itself was fine, the room quite big and the bathroom very clean. We all liked the area and that it was so close to the Regent's Park.The only thing we can complain about was that the Underground station Great Portland Street was closed during the weekend and it was a real hassle getting from and to the hotel because of this. ;-)	
Nov 5 2006 	Experiences from other point of view	I stay with my daughter for 5 days. The Staff is careless. But for the price and a metro station almost in the front is okay. Rooms are small. Very nice neighborhood. I eat all nights at a nice italian restaurant in the street great portland, I think call de martino. Nice price, very good food and nice staff. I have breakfast out all days. The hotel location is very good. Is an area of a lot of hospital, Business and you have three or four mini markets 24 hours. You have also a lot of mini fast food places like au bon pain in ny. the metro station very easy to move. I get a week pass and my 9 year old and me go all the way around london without problem. I never feel insecure. I repeat London I love it, the people.	
Oct 29 2006	Great hotel fantastic breakfast!	Stayed there for two nights in the middle of October. Clean hotel, the breakfast was fantastic, and the location is great: 10 min walk to Oxford Circus (shopping), 1 min walk to the tube, 4 min walk to another tube station (with other transfer options).Only minus would be that there was always a line at the reception, even when they had 8 people behind the desk (!). Also, their carpet-cleaning left a weird smell in the hallways.The rooms were clean and decent size compared to other London hotels, but still smaller than what Americans (or Scandinavians) usually expect.Worth a 4 star, and about £130 a night for a double.	
