	Great location for traveling out of the capital	Recently spent the night at Premier Inn Euston, i must say that the location of this hotel for both Euston Station and Kings Cross was great, i go to visit my Parents in Berwick upon Tweed quiet regularly so having a good hotel close to the station has been great . If you need to get an early morning train ,then i would recomend this Hotel, the staff are were very polite and rooms very clean, breakfast was reasonable as it was a buffet and you could eat whatever you liked and even started at 6.30am.I hope this helps anyone planning to stay in London.	
Mar 19 2008	Great Location 	Stayed 2 nights for a London break. Great location, good sized clean room,and quiet. Bathroom very clean, plenty of towels etc'  Breakfast was probably one of the best for the price paid,anywhere in London. Overall a good stay, with a good price.	
Feb 8 2008 	Great location surprisingly quiet	I've stayed at this hotel about a dozen times over the last 3 years (business and pleasure) and I've only had 1 bad night's sleep (noisy people in the room next door, who kept running about the corridors...) Even if you get a room facing Euston road it's amazingly quiet, you hear faint traffic noise - if you can't stand even that level of noise, ask for a room at the back.The rooms are always really neat and clean, you know what you're going to get every time. The flat screen tvs have Freeview channels. Tea &amp; coffee making facilities, plus a hairdryer.The staff are always helpful, I've never had any problems with check in/out/bookings, and it's such a reasonable price for such a central location in London, a short walk to British Library, British Museum, Wellcome Museum (fascinating!) and of course King's Cross tube station etc.I didn't hear any building work, though they are renovating the bar/restaurant at the moment.	
Jan 4 2008 	My Favourite Hotel in London	I've used this hotel quite a few times now over the years, and it has always been my first choice due to its central location, literally across the road from Euston railway station and a 10 minute walk from St Pancras/King's Cross. The rooms have always been clean, roomy and my experience of the staff there has always been excellent. At the back end of 2007 they have just completed a huge renovation project to bring the hotel back up to scratch again, because at my next-to-last visit in late '06 the fixtures and fittings were starting to get a bit tired. But the whole place looks a lot more upmarket now, and up to the same standard as Premier Inn's other establishment just up the road at York Way, King's Cross. The new beds are supremely comfortable - top marks! I do hope that they also refurbish the lobby areas and lifts - which are showing their age a bit.At my last stay extra towels were brought up the minute I discovered that the room service had forgot to provide them. On an earlier visit in the year, they staff also went out of their way to give me the last room after I took a chance on a budget hotel and got my fingers burnt (that's another story....).The only thing that has always let this hotel down is the food and drink which is quite frankly overpriced and average - the food is basically pub standard - good enough perhaps for the much cheaper (Premier) Travel Inns found next to motorways (which are usually next to a Whitbread Brewers' Fayre), but in Central London absolutely not. You'd be far better off trunding down to Soho or Covent Garden (about 20 minutes walk or a short Tube journey) and grabbing breakfast or a meal down at one of the myriad of little bistros and restuarants which can offer far better food which is often cheaper. Same goes for the drink - I was relieved of nearly £9 just for two spirit mixers. £4.30 each???? That's a rip-off even by London standards!!!One other slight gripe is that the hotel is directly across the road from Euston fire station and you may hear the odd extra siren or two; but this is the centre of London and you will hear plenty of them anyway!Overall this is a great hotel and I'd recommend it to anyone visiting London for the first time and wants to stay centrally - you can't really go wrong with this one.	
Jan 1 2008 	Very comfy beds!	Booked a family room at this hotel just a couple of days in advance for New years eve.Payed £136 pounds which is fairly pricey, but i guess this was because it was new years eve.We arrived at the hotel a couple of hours early to see if it would be ok to leave our bags there.We were pleasantly surprised to be told that we could have our room there and then which was much welcome.Check in was quick and freindly.Our room was lovely. Small but very cosy. Spotlessly clean and obviously very newly renovated.The bed was unbelievably comfy, again very new. Bathroom was great with lovely powerful shower and plenty of fresh white towels. Room was very peaceful and comfortable could not fault a thing.Would have loved to give this hotel excellent had it not been for a small incident in the morning.We had been told on check in that we would be entitled to a complimentary breakfast box in the morning as the hotel does not have a restaurant at the moment. When i called reception at 10.30 in the morning to find out where we collected this from i was told by an off-hand member of staff that this was over at 10am. (thought that maybe they could be a little bit lenient as it was New years day!).My husband then popped downstairs to get some more tea bags so that at least we could have a drink. He asked if it would be ok to have another of the tiny packs of complimentary biscuits as i needed to take medication which had to be taken with food. He was given the tea bags but refused the biscuit! This resulted in me having to take my medication late. I do think however that this incident was down to one or two badly trained individuals.However it is a shame as it does reflect badly on the hotel.Location was very good and pretty easy to get to most places,We went to watch the fireworks and were pleased that we were able to walk back to the hotel rather than attempt to get on the tube.	
Dec 19 2007 	Enjoyed the Premier Inn	Me and my husband stayed that the Premier Inn Euston in late October 2007. There were renovations taking place and it was a bit noise, but for a good cause!The room was not big, but very cousy and had everything. Lovely bed and lots of pillows. Very clean a very good hotel. Service was also perfect.The hotel is in a very good location for Euston Station and St Pancras Station. A bit expensive, but good quality for money when comparing prices for the London area.	
Dec 14 2007 	Excellent hotel	This hotel suited my needs perfectly. A 2 night business stay in London. The rooms were spotless and the shower was excellent. Very comfortable large bed. What more do you need really. The restaurant was closed for restoration so the staff offered a complimentary breakfast if required. Overall reasonable value for a hotel in London.	
Nov 27 2007 	I liked it! would defo stop there again...!	Really liked this place...Glad we stopped here and not the one in kings cross..as that looked quite a dingier area.staff were nice, room nice, bathroom nice :). really liked it.. would definitely stop again as is so close to everywhere like the train station, underground. liked it v.much..we also went to the hilton euston where are friends were staying and too b honest..i liked it better at premier inn.. and hilton was like £50 more a night than the inn..lauren xx	
Nov 26 2007 	It'll be nice when its finished	My wife and I stayed for a few nights in early November. We have stayed here ofetn before. The hotel is nearing the end of a very long refurbishment. The fire alarm was set off one evening due to dust from workers on the third floor.We were in a newly refurbished room on the top floor which was OK except that they were still painting and completing other rooms on the same corridor.The staff were very helpful but obviously a bit frazzled by the pressure of running a hotel in a building site.Traffic noise is high in the rooms, especially those on Euston Road. If you are a light sleeper this is not the hotel for you.	
Nov 26 2007 	Great hotel	We loved our stay at Premier Inn London Euston - the location is great, close to St.Pancras, Kings Cross and Euston. We walked everywhere - it takes about 20 min to walk to Westend and Oxford street. The room is quite big and clean, with a tea kettle. We asked for a room in the back, so there was no noice from the street. The breakfast is very good, too, with a lot of choices, and kids under 16 eat free with a paying adult. Would definitely stay again.	
Nov 5 2007 	Must Try Harder	Most hotel owners worth their salt are busy upgrading or building hotels in this part of London thanks to the opening of the new Eurostar St Pancras terminal just up the road from this hotel.Whilst our room was newly refurbished and clean, our room directly faced the Euston Road - one of London's busiest arteries. The sound proofing was practically non-existent. Oh, and there's a noisy pub right across the street which adds to the decibels. I would try getting a room that isn't facing this way.It is in a great location for Euston Station, Euston Square, Warren Street, Kings Cross and St Pancras public transport links.Just one other thing I didn't like about the refurb - the rooms have horrible fluorescent lighting everywhere. This isn't a deal breaker I know, but it did make the room feel clinical.We can't comment on the hotel food, but we came across the &quot;Bree Louise&quot; pub in nearby Cobourg Street, close to Euston Station. Amazing pies (we had the Magners &amp; Pork and 3 Cheese Veggie) and beautiful real ale for well under £10 a head. A good little find away from the tourist traps!	
Oct 11 2007 	Work in progress	Overall a good stay, friendly staff, very clean hotel with above average service both in the bar and the cafe, sometimes thought i had been transported to eastern europe as i didnt meet anyone English but thats probably why the service was so good!Very noisy at the front of the hotel so a good tip would be to request a room at the rear, there is building work taking place but it didnt bother me at all, drinks in the bar are average for London (£3.26 for a Guiness), if you are arriving in to Euston it is an ideal place as it is right across the road, it also is just a short walk from Kingscross, would i stay here again.... no, but thats just due to there being so much more choice here.The food here was fine, i had the sea bass and ceaser salad, both were tasty and the all you can eat breakfast was great, the staff really are fantastic, this is a budget hotel and for less than £100.00 per night i really cant complain.	
Sep 9 2007 	Perfect for short stays in London	Whilst the Premier Travel Inn at Euston will never win any awards for style, glamour or charm, if you are on a budget (less than £90 a night) as a clean comfortable place to stay for a few nights in central London it takes some beating.We stayed there for just one night and apart from a rather self important check in clerk, the hotel delivered exactly what it said on the tin. Whilst possessing all the charm of a Ford Mondeo, the room itself was relatively spacious, had a clean bathroom, TV, kettle etc and most importantly a comfortable bed with a great snuggly duvet and good pillows. Attached to the hotel is a perfectly adequate restaurant which did us a lovely &quot;all you can eat&quot; breakfast for £7.50 and although we didnt partake, the dinner menu looked ok as well.Location wise, the hotel is five mins walk from Euston, St Pancras or Kings Cross mainline &amp; underground stations, on several bus routes and within 30 mins stroll from the West End.Whilst the hotel is completely devoid of character and the decor is slightly faded for a clean comfortable night in central London on a budget I think anyone woudl have trouble beating it.	
Aug 7 2007 	Worst Hotel in London	Chose this hotel because of the convenient location - what a mistake.It's a chain so I wasn't expecting much and in terms of facilities and got the boring standard fare.But, every morning I was woken up - sometimes as early as half seven - by the building work, which went on till about seven at night.When I tried to complain about this because the website has said this would only happen between 9 and 5 I was met with a receptionist who was obviously getting bored of hearing about it. She said that the management had told them to stop doing it but the builders ignored them.I understand that businesses need to do improvements from time to time but what I can't understand is a hotel manager who doesn't seem to care about ensuring his guests' comfort.I won't be staying in another Travel Inn.	
Jul 21 2007 	I'm afraid I hated it	I was just browsing hotels that I'd previously stayed in and was surprised that this place did so well. I had to stay here for a week whilst working in London at short notice as nothing else was available.The lift button to my floor didn't work unless it was kept held in and there were security cameras in the corridors which made it feel like a prison. The room was clean but basic to the point of being spartan - to be fair though, you don't expect luxury from a Premier Travel Inn . Unfortunately there was no way of cooling the room down and the thermometer read at least 24 degress all night. If I opened the window I couldn't sleep due to the noise from the Euston Road (the hotel is also opposite a fire station). When I took a shower, water from a mysterious source dripped down through the ceiling on to me.The location is good and as long as you don't stay during the summer you might even get some sleep. Personally, I'd rather take my chances in a cardboard box under Waterloo Bridge than stay here again though.	
Jun 19 2007 	We loved it	We ended up here after checking out of the budget Alhambra Hotel after a bad experience there. We just came upon it as we were walking around looking for a place. We had been trying to avoid the chain type hotel, but boy were glad we found this place. It was more money than the budget hotel we had planned on, but it was still reasonable by London standards and it was extremely comfortable. The room and bathroom were good sized - similar to an American chain type hotel. The bed was good sized and comfortable - I especially liked the crisp white bedding and comforter. The best part for us (this was last July 2006 and it was HOT), was that it had AC and it worked well. Very easy access to the Tube to get anywhere you want. The front desk people were friendly and helpful. We found them generally quite young, and not necessarily very knowledgeable regarding city/tourist information, but still pleasant to deal with. It seems they are more geared toward European business travelers than tourists. We especially appreciated their kindness when we were robbed, and they let us use the phone at the front desk to call our banks, credit card companies, etc. We also enjoyed the bar/lounge that is tucked away behind the front lobby. Nice for a nightcap when you return from a long day of sightseeing.	
Jun 9 2007	Good Value 	We stayed at the Premier Travel Inn Euston at the end of April, 2007 based, in part, on other Trip Advisor reviews. We were completely satisfed and would definitely return.The location is very convenient to two tube stops (Euston &amp; King's Cross/St. Pancras) which offers easy connections to many of the London Underground lines. The West End/Theatre district is an easy trip via King's Cross on the Piccadilly line.The room was very clean and sufficiently large (by London standards). The price we paid was extremely reasonable for central London. The staff was friendly.On our trip, we started and ended in London. At the end of our trip, we stayed at another Premier Travel Inn location. Our experience was the same. Based on our two stays, I would again stay at any location of the Premier Travel Inn without hesitation.	
Jun 2 2007	Good value	Stayed for one night 31st May - staff very helpful and friendly.The room was bigger than expected and clean. Excellent value for money and would stay here again. Breakfast was excellent - good selection and standard for £7.50.Recommended	
May 10 2007 	Good Value 2007 renovation works	200 yards from Euston station, the room I had was a reasonable size and clean. I enjoyed my stay there and would go back. The hotel is under going renovation work for most of 2007 so there is a bit of banging about the place after 09:00am. Also, the hotel is on a busy road so ear plugs might be an idea. Restaurant is advisable to book ahead. Reasonable bar with reasonable prices.	
May 9 2007 	good value at travel inn	Booked Travel Inn after reading reviews on tripadvisor. Stayed Thursday and Friday night 26th, 27th April. Couldnt bring myself to pay £200 plus for a Thursday night that some other places were charging. My daughter and I were in London to see Sound of Music , to do some shopping and sight seeing. Travelled into Kings Cross and hotel is at the most 10 min walk from there,check in was quick , room of a fair size ,one large double and a sofa made up as bed as well. Bathroom had full size bath(stayed in a far more expensive hotel before christmas and its bath wasnt long enough to lay down in) all very clean and not worn or shabby. Pre paid for breakfast £7.50 each ,choice was excellent and standard of food very good. Must mention lady in charge of restaurant very nice and efficient. Would stay again as there was a good standard of accommodation, hotel was well placed and staff very pleasant. Euston tube over road, we also walked to covent Garden from hotel ,may be to far for some but nice to do if not pushed for time. Total bill for two nights and breakfasts for two was £206.	
May 8 2007 	Good location	Five minutes walk from Euston station. Good location for walking and tube/bus. Reception staff very friendly. Room comfortable. What you'd expect really. Stayed there on business and they have a policy for single women so I felt perfectly safe. Breakfast very good value. Only downside - bar full of men watching football.	
Apr 20 2007 	A most convenient location for visiting London	On a corner of the busy Euston Road this PTI might not be the most obvious place for a family weekend getaway to London, but its only and a couple of minutes stroll from Euston Station and Underground and turned out to be ideal. We had a one night stay booked, with much sightseeing to pack into our two days. To make the most of our time, we stepped out of Euston Station and headed straight for the Premier Travel Inn - it was a little after 10am and I already knew that the hotel would be happy to book our luggage into storage well before we would be allowed to book into our room. The next morning when we checked out of the hotel, we did the same thing and left our luggage at the hotel to be collected at the end of our sightseeing. No charge was made for this service and the staff at reception were a delight to deal with.The Hotel reminds me of an anonymous office block, but we were there to see London, and were more than happy with the room, cleanliness and service there - we had a room at the back which was nice and quiet. The bar/lounge looked a little worn, but I imagine they won't be wanting to give it a lick of paint until the smoking ban kicks in in July 2007. The lifts were operated by a keycard that also opened the door to your room - nice touch that helped us feel secure.Just along from the hotel are some lovely areas like Bloomsbury and the British Museum. We ate at a very good Italian Restaurant called Prezzo which we discovered on our walk to the Hotel from Euston Station. The station itself was very convenient for picking up breakfast on-the-go and had great food concessions just outside with plenty of picnic tables. It was a great place to get breakfast alfresco on such a hot sunny April morning and the Marks and Spencer Simply Food was also a much welcome sight.The Euston Premier Travel Inn might not have as stunning a location as the PTI County Hall, but the whole of London is very easily accessible from it, and I would definitely recommend it as a great place to base yourselves.  It was a treat to be able to return to the hotel mid afternoon and have a rest before heading out to the West End for the evening - not always easy with budget hotels that are often placed in inconvenient locations.	
Mar 25 2007 	Great location great price and great room!	We stayed at this hotel at the beginning of May 2006. The hotel is located within walking distance of King's Cross station (roughly 15 minutes), and is across the street from the Euston Tube station and train station. We arrived early, and the front desk staff allowed us to store our luggage while we grabbed lunch before check-in time. The British Library is also very close by, along with a number of small cafes and restaurants. The hotel is also within walking distance of the British Museum. The room was very bright, and spacious. The bed was comfortable as well. The washroom was clean, and a fair size. No hair dryer was provided, so if you require one pack it yourself. Our room was facing a nearby church, so we did hear its bell clang at the top and bottom of each hour; however we did eventually get used to the noise. Despite being off of Euston, a main street, we did not hear much traffic noise when the windows were closed. If you leave the windows open at night, you may be disturbed by the traffic (depending of course where your window faces, and if you are used to living on a busy street or not). Our only problem we encountered was we were in London during a very rare May heatwave. The city was very hot, stuffy, and humid, and as a result so was our room. If you are accustomed to hotel rooms with adjustable A/C controls you may find this room uncomfortable if you find yourself in a similar situation (I do not know if the rooms are cooler in the summer time when such weather is expected). We did find that if the windows stayed open during the day, it would be more comfortable at night. However, there were a couple times when the cleaning staff closed the window. When the heatwave began to subside, the room did become more comfortable at night. The hotel staff were all very friendly, and the hotel is kept clean. The location is excellent for using the Tube; Euston is a connecting station for many of London's underground tube lines, so it is easy to travel to and from many of the top tourist destinations. The hotel restaurant was also good; along with the service. If you do not wish to have the hotel's breakfast, Euston station does have a number of food kiosks open in the morning. The area is also fairly lit at night, when crossing the road from Euston station to the hotel. Overall, this was a great hotel to start our vacation in. Despite the humidity, the room itself was very comfortable, and clean. A great bargain for downtown London, with its access to the downtown core and train stations.	
Mar 20 2007 	Convenient affordable clean friendly staff	This is the second time I have stayed here. So many other hotels in central London are overpriced, or dirty, or have an incovenient location or unfriendly staff. But the Travel Inn at Euston scores extremely well in all these areas.Convenient for Euston, Kings Cross and Paddington, it's also only a short Tube journey on the Piccadilly Tube Line to the West End. The rooms are clean, tidy, and quiet at night, the restaurant is surprisingly cheap for an evening meal, and the bar is pleasant though smoky (but this of course will no longer be an issue when smoking in public places is banned in England in July). The 'all you can eat' breakfast is appetising and very efficiently organised, whilst not that cheap at £7.50 - though kids eat free. However the best thing about the place is how friendly the staff are. Both times I have stayed I have frequently been asked if everything was OK, and all the staff without exception have been pleasant, informative and helpful.	
Mar 17 2007	Clean fresh and great	This is a great hotel for its price, its clean and has good breakfast. Excellent location too. (just inside zone 1) its not noisy despite what was said in a review. The staff are quite helpful.	
Mar 4 2007 	Good location and Value for money	I have stayed at this hotel a number of times with just my wife, and with kids in tow. The latest stay was the same as the previous ones, Great value for money. When I am staying in London and with so much to see and do. All I am really looking for is a hotel that has a good location, decent bed, shower and is value for money. PTI euston fits the bill perfectely. I travel down via St Pancras. Turn right out of the station and the hotel is an easy 5min walk. You pass some decent pubs and a pizza express (which I have ate in all of) on your way. At £7.50 the all you can eat breakfast is a bargain. Shame the free newspaper has gone though.	
Feb 23 2007	Great family rooms	This hotel is great for families. The family rooms have a double bed and a couch with a pull out bed - much better than a standard sofa bed with two teenage boys! The breakfast is now free for up to 4 children 15 and under - which meant we paid £7.50 for 3 large breakfasts. The food is also good quality with a good choice - full english breakfast, cereals, fresh fruit, yoghurts etc etc. Rooms are always very clean and having a bath and a shower is great. We had a room at the back and didn't notice any traffic noise at all - in fact it was quieter than at home. Very convenient for Euston train station meaning we could make it door to door entirely on public transport.	
Feb 8 2007 	very misleading on room type	We stayed for a night at this hotel and found it a very frustrating experience. Our main complaint is that the room descriptions are very misleading. We booked a Twin room and were given a double bed plus a converted sofa (we expected two double beds). We were first sent to a smoking room despite having a 3 month old child. when we then asked for a king size bed we were told that the double bed was a king size bed and that all rooms were like that. This was not true. We learned later that there are indeed rooms with king beds. Also the price you pay does not include parking (15 pounds extra) and if you have a car you have to pay congestion charge to park in the car park. premier travel inn claim to have a good night gaurentee where they will refund you your money if your are not satisfied - this seems to be a lie -we were very unhappy with our room but had no refund.	
Jan 21 2007	Great base for a London break!	I stayed at the Premier Travel Inn, Euston, for a weekend break with my mum. We had a family room, booked as a twin room, and stayed for two nights.As we had travelled by train from Liverpool Lime Street to London Euston, the location of this hotel was perfect - almost directly opposite Euston station. The staff at the front desk were friendly, polite and helpful. Our room was clean and comfortable, even in the uncomfortably hot weather. The hotel bar, although expensive (it is London after all), was, again, clean and comfortable, with a friendly atmosphere.The hotel proved a fabulous location. As it was in easy reach of both Euston and Kings Cross stations, we had easy access to the tube, which was fantastic for shopping and visiting the theatre. The little street of cafes round the corner from the hotel is also worth a look for a good cuppa at a very reasonable price!The only downside was the breakfast buffet. Although it was edible and filling, it was a bit overpriced and wasn't particularly tasty. It did, however, fill you up and set you up for the day.On a final note, I would recommend the Italian restaurant just down the road from the hotel. Lovely food and reasonably priced.	
Jan 9 2007	Mostly very good	I stay in Premier Travel Inns fairly regularly, and on the whole do not have any problems. The Euston Road hotel was very clean and the staff were friendly. The room was slightly smaller than other PTIs I have stayed in, but it was still sufficient. It is close to the tube and train which is very handy. I did not use the restaurant or bar. Along the lines of other reviews though, the only real downside was the noise from the road - the glazing seemed to make it louder than it should have been! It really was loud, and although it didn't disturb me too much once asleep, it did keep my mother awake. They do warn about it on the website, however the hotel address is not Euston Road, and the map could be interpreted as the hotel being further from the Euston Road than it actually is. I would stay again, but would perhaps ask for a room at the back.	
Jan 1 2007 	Pleasantly Surprised	I stayed at the Premier Travel Inn for 2 nights in November on business. I was actually booked here by our company's travel agency when the other chain hotel closer to Euston Station had no availability. Thank goodness they didn't because I was pleasantly surprised. The front desk staff were friendly, polite and quite helpful. The room was clean, nicely appointed and the bed was good. Even though I was travelling alone, it was good to have a full (queen?) size bed - - - something to remember if I ever go to London with my partner as I simply hate it when hotels put 2 twin beds together and pass it off for a queen.If you're looking for a reasonable, clean and comfy hotel specifically in the Euston Road area - opt for Premier and not the one on Cardington Rd. Our London office is quite nearby and with easy access to bus, the tube and trains, I will definitely stay here again.	
Nov 26 2006 	excellent!	As someone who is very critical of the hotel/hospitality industry as a whole- having worked in it for 15 years I was pleasantly surprised by this hotel. From the minute we checked in to the minute we checked out the staff were friendly, polite- an even looked like they enjoyed their job! For the value and the price i would most definately stay here again- I have received worse service at 5 star establishments. The breakfast was great value and the restaurant exceptionally clean- this was exactly the type of hotel 1 wanted and got staying just one night- can't fault it at all.	
Oct 12 2006 	Good Location Great Value for money.	My husband and I returned today from a two night trip to London, had originally booked a 4 star hotel, which I later cancelled after reading the reviews on this site. Booked this travel Inn, because I know they are all of a certain standard..clean, basic and good size rooms. Im really glad I did, as it exceeded my expectations. We arrived at reception one hour early with the hope of them keeping our bags, however we were able to check in as our room was ready. We asked for a quiet room, away from the busy Euston Road, which they happily provided. The reception staff were plentiful appx 6 of them, extremely pleasant and knowledgeable, explaining everything about the hotel in full. I guess most of the staff in the hotel were Polish..certainly Eastern European but spoke good English and very, very friendly. The room did not disappoint, reasonable size with a comfortable double bed and sofa, nice size bathroom with a powerful/hot shower and air conditioning that worked . Our room was very quiet (339) no noise from the corridor, although we had to close the window at night, as it was a bit noisy from quite frequent siren's (think there was a hospital nearby), The house keeping throughout the hotel was very clean. Dinner in the 'Slice' restaurant was good, although could have been a bit warmer. Plates were cold when served and the air conditioning cooled the food quickly. The £7.50 breakfast was good value. Geographically it was in the middle of two main line and Tube stations - 5 mins walk to Euson and 5 mins walk to Kings Cross/St Pancreas. The buses which take you just about anywhere you may want to go stops right outside the hotel. All in all I would thouroughly recommend this hotel, no frills but very good value for money. I will definately use it next time Im in London. Also when you exit the front door of the hotel onto Dukes Road, if you turn left walk appx. one hundred yards and turn right, there are several nice little cafe's for day time snacks.	
Sep 28 2006 	Decent hotel close to centre attractions	Stayed for 2 nights whilst in London to watch Arsenal and night at theatre.Room was clean, and bed was comfortable if edging towards soft.Quickly booked in, but obvious that all staff were of eastern european origin, on the front desk at least.Allocated room 122 which was on the back of the hotel and as such was quiet. Glad we did not have the front.Few minute walk to Euston station and tube station.About half hour walk from oxford Street.At £75 a night reasonable for clean hotel, basically as you would expect a travel inn to be.	
Sep 15 2006 	What a noisy hotel!	This hotel is fine for its genre - in fact a good example of a Travel Inn. The restaurant is good and the position is good for tourism and business. The problem is the 'highway from hell' that runs alongside it! The Euston Road is so big and busy day and night that the attempts made by the hotel to dim the sound are overwhelmed. We had a back room, and used the air-cond to keep the windows tight shut, yet the noise was terrific!	
Sep 5 2006 	Good for short stay	My family stayed at the Premier Travel Inn for 8 nights in mid-August of 2006. The room was sufficient...double bed and a sofa that converted into a twin bed for our child. Air conditioning worked very well and there was a heated towel rack...bonus! The bathtub was a decent size and no problem with hot water or water pressure in the shower. The hotel is in a good location, one block from Euston underground &amp; rail station and buses pass by frequently. Also, one block from the British Library.Downsides: the bed was a bit soft, and there is nowhere to sit in the room if the sofa is used as a third bed. Result...sore back from sitting up in softish bed to read, watch TV etc. Room is stark...bare white walls, no pictures. Closet is just a hanging rail without any doors.If we'd stayed 3 or 4 nights, it would have been fine but after more than a week I really regret I didn't just spend a bit more and get a more comfortable room.	
Aug 16 2006 	good hotel ..good price	stay for 3 nights..... very easy check in / out. staff very friendly and helpful .....room basic but everything you expect ..very clean good sized room and bathroom. breakfast £7.50 buffet eat all you can food good quality . dined in the resturant food good but long waits between courses. all in all a very good place to stop especialy if you have young kids as 4 kids can eat breakfast free for every adult .	
Jul 25 2006 	good for all reasons	stayed 2 adualts + 2 kids.big family room, very clean, good air cooling system, quick check-inn and out, close to the tube which is very important.marks and spencer simply food is near tube. near british museum.resturant service very slow.had 4 nights for a good price.	
Jul 16 2006	Average 3 star hotel		
Jun 9 2006	good hotel for business		
Apr 10 2006	Great value		
Sep 12 2005 	A Good Budget Choice		
Oct 3 2004	good value for money		
Aug 24 2004	Great location basic hotel has everything you need		
Jul 16 2004	Very good experience		
Nov 17 2003	Excellent value for money		
Aug 7 2003	Never again!!!!!		
Jul 27 2003	Steer clear		
Sep 20 2009 	Confortable		
Jul 17 2009 	Buon hotel per londra		
Jun 2 2009 	Primavera a Londra		
Aug 28 2008 	Un hotel para repetir		
May 21 2008 	Eramos 8 adultos y 3 niños y nos encantó.		
