	Super views reasonably priced	Stayed at the Tower for one night on business due to an overnight function in London.The view from some of the rooms or the front of the hotel over Tower Bridge, especially at night, is something to see. Room was comfortable if not a little small but for the rate paid that was fine. Breakfast in the morning was plentiful with a good selection of hot and cold.Check-out was quick on this occasion - have known it to be slower.	
Oct 9 2007 	Good hotel	I stayed here when on business and my room had a nice view of Tower Bridge. The location of this hotel is remarkable - right at the Tower of London and Tower Bridge. Service was very good in my experience. On the negative side the room was a little shabby for the price and the bed was uncomfortable. £1 charge for free-phone calls from your room. I had room service one night and I didn't think much of the quality of the food (very fast though).	
Oct 6 2007 	Not worth the money hotel very dated	I stayed in this hotel on business in Sep 2007. It was a business trip so I was not paying the GBP 330 plus VAT for the room. The total price for one night of over EUR 590 for one night including breakfast.The hotel and London were full so had to pay the highest rate.I was upgraded to an Exec Room which to me looked to a normal hotel room.The bathroom was a bit dated and the soap tray was falling off the wall. There was a rust stain on the tile.The breakfast room on the 1st floor has the smallest tables I have ever seen. Similar to all hotels in London the cost of breakfast was very high approx. GBP 20.I have stayed at the Hilton on the other side of the river since staying at the Tower and it is a much better hotel.I will definitely try never stay at this hotel again.	
Oct 2 2007 	They can lock me up in the Tower anytime	Having read all the negative publicity about this place I didn't know what to expect but what a wonderful surprise I got. The staff could not have been more attentive and my room was just perfect, on the 9th floor with a stunning view. The room itself was all I could have wanted with every need catered for, and talking of catering the breakfasts were great too with something for everyone. I'll definely be back	
Oct 1 2007 	Sept 28th Fantastic hotel. No problems! Would go back tomorrow!	I booked this hotel through Expedia a couple of days prior to going. I then read the reviews on Trip Adisor. I was mortified. However, i thought i shall make up my own mind.We caught the train to Euston, then caught the underground to Towerhill. A 5 minute walk out of the underground and we were at Tower Bridge. The hotel is directly next to Tower Bridge. The hotel entrance is grand. We went straight to reception to be greeted and sorted straight out. I had previously emailed the hotel and asked for a room overlooking the river and Tower Bridge. The receptionist did just this. They were very friendly. The hotel looked very clean and modern. All of the lifts were in working order. We found our room, No 348. It was a very large room with double bed, sofa, table and chairs, TV, plenty of wardrobes, and a dressing table. The bathroom was lovely and clean and adequete too.We didnt have breakfast in the hotel as it was quite expensive (18 quid each), so we went for a 2 minute stroll every morning to St katherine docks and had a full english breakfast on the docks for less than 5 quid each!But overall, we had a splendid holiday, and i think that this hotel is just perfect! It is clean and friendly and in a great location. What more could you want?!	
Oct 1 2007 	Fabulouse hotel	I love this hotel. The views are unsurpassable, the rooms large and clean, the atmosphere excellent.Can be pricey if you don't get a good deal, but I would gladly pay a little more for this quality of accommodation.Position is superb for the city, southbank and Shad Thames.I stay at this hotel regularly, and would certainly reccommend it to anyone.Friendly staff, pleasant bar and restaurant, and a bar overlooking Tower Bridge makes this the perfect hotel for anyone wanting to experience the real London.	
Oct 1 2007 	Poor dreadful shocking - you have been warned	This was my 3rd stay here, all because my company prefered this hotel. Never again. Great location. And there the good points end. Bad points ? Where do I start ? Long wait to check in, to then be greeted by surly, harassed staff who struggle to speak english. This was a consistent theme. The concept of service is clearly lost on these people and the management.The rooms are simply dreadful. I reached new levels of mediocrity with a single room and single bed. The aircon was broken and took 3 hours and 5 calls to get anyone to assist. No drinks in the minibar - but this could be filled providing I pay about 60 pounds !The bed was appallingly hard, very noisy from nearby pub, the room smelt and was generally of a poor standard of cleanliness. The corridors are dark and were lined with dirty plates and trays.The hotel is also incredibly busy and hectic.Breakfast was, surprise surprise, very poor. The best part was checking out, knowing I would never need to return. Stay here at your peril.	
Sep 28 2007 	Fab hotel	What a fab hotel. I found for such a big hotel it had this amazing eye for detail. It was spotlessly clean and I found the foodservice and friendliness wonderful for a city centre hotel. I have to say I LOVE IT.	
Sep 28 2007	Poor	everything from check in to check out was substandard- rooms are ave at best, breakfast ran out! and parking is £20!	
Sep 27 2007	Horrible Place	Check in was efficient but room very shabby. Had left my car in a temporary parking bay and when asked the concierge for directions to the car park he replied very curtly 'it's full', when I asked where I could park he just shrugged his shoulders.After complaining to the reception desk staff I was re directed to the undeground car park which was far from full. Our room was upgraded but the quality of the furnishings was only a slight improvement from the original room.IMy further enquiry at the concierge desk for directions to the O2 Arena was met with another unhelpful reply.Breakfast was at best adequate, the breakfast area is very shabby.This hotel needs a complete make over to warrant its 4stars and the concierge staff would benefit from customer care training.	
Sep 26 2007 	Great location desperate for renovation	Good location near the tower and St. Katharine Docks, with a great quay area and decent outdoor seating. From there, it gets weird. The lobby has been nicely renovated, but the hallways and rooms are hard-worn, tatty and smelly. Windows are painted shut, doors and floors are battered, fabrics are stained, and the hotel's apparent focus on group tours means that lifts and breakfast service are unpleasantly overcrowded. I found this hotel as a website deal but still paid £120 (including upgrade to &quot;deluxe&quot; - see room description above). Perhaps Guoman (whoever this chain is) will complete the renovation and realize the property's potential. Until then, no thanks.	
Sep 25 2007 	Believe the Reviews	Why didn't I listen to all your advice? The location - great. 5 mins to tube or Tower of London.The public spaces - great. Very modern, nicely done.The views - great. Actually, pretty remarkable. This is what you are paying for.The room - caught in a 1980's time warp. Where did they get the furnishings? It's like something I'd see if several college dorm room buddies got together to 'run a hotel'. So dismal and depressing. It was clean though, so it gets 2 stars. The check-in service was good. Conciege okay although their dinner advice was not-so-great. But the bar and the restaurant were really terribly sad and well, I don't know what could be the problem there. Would NOT recommend, would NOT stay again unless they completely refurbed and dropped the price.	
Sep 25 2007 	Faulty Tower!!!	This hotel is a joke surely. I paid £330 a night for a single room and it was terrible. They used the lowest wattage bulbs possible to give it a real dark and depressing feeling but also probably to make it harder to notice that the decor is in desparate need of overhaul. The furniture is so old that all the varnish is flaking off. It really felt like travelling back to the 80'sOn arrival I went to get the iron from the wardrobe only to find it wasn't there. So I got the phone to call reception and found that that didn't work so had to go back down to reception to report both failings.The carvery restaurant wasn't much better. I wanted a really quick meal as I had work to do so thought a carvery would be a quick option. Alas no, I was told that I couldn't just have a main course as it was a fixed price for 3 courses and they didn't have a price for just a main course.The second night I decided to take some frustration out in the gym. I got up there and my card didn't open the door. So back to reception to be told that there was an extra charge for that and it was only free for &quot;executive&quot; rooms. After speaking to the manager and pointing out that I'd paid £330 a night for a dump of a room they begrudgingly let me use it free.This hotel has only one thing going for it - the view and it is charging outlandish prices as a result. This has to be the worst I've stayed in in London and really feels like a step down from Tavel Inns. ONE TO AVOID!!!	
Sep 23 2007	Great Location 	We booked a double non-smoking room, but upon arrival, were only offered a double smoking, or a non-smoking twin. Or we could pay £40 for an exec upgrade. As only staying one night, we went for the twin. The room was shabby to say the least - the furniture was really worn. The beds moved across the floor as soon as you sat on them! The bathroom was the worst - somebody's old contact lenses were left around the sink, and old shower gel left hanging in the bath. Breakfast was a joke - two restaurants are available for full breakfast (part of our 'package'), but both had the longest queues I'd ever seen for that time of morning (9.30). We HATE queuing, and by pure chance, spotted a separate dining room serving continental breakfast only. We went for that, but the cups on the table were stained from previous use, the bread was stale, the meat was the weirdest colour we'd ever seen . .. the list goes on. Don't waste your money!!!	
Sep 21 2007 	Terrible	I stayed at this hotel for 3 days whilst on a business trip to London. Room price was relatively expensive at GBP180 per night. The room itself was very small, very worn, ac did not function properly, tiles hanging off the wall in the bathroom, only a small worn single bed, TV was ancient and barely working.Dinner in the restaurant was just ok - with the waiter bringing food we had not ordered and mixing up the courses. When I arrived for breakfast on the first morning at 7:00 - quite late for me - I was amazed to find that the restaurant did not open until 7:30 - useless for most business people who need to get away to meetings.I was very unimpressed by this hotel and would not recommend it to anyone. Much better hotels at lower prices exist in central London.	
Sep 3 2007	red hat no knickers as we say up north.	I agree with some of the other reviewers about the tired furniture and fittings etc.The location is great, the public rooms very smart ( red hat) .However the rooms were very tired and battered.( no knickers).They were pretty clean though and the views were outstanding.We had a bit of a deal, I would have been peeved if we had paid anything like the full normal tariff.So, ok if you can get a cheap deal, but don't pay full price.	
Sep 3 2007 	Good Location Slightly dated	The location of this hotel is great for sightseeing, rooms can be booked with a view of the themes and tower bridge (and as the hotel is situated next to it, you really do get a great view). The only problem is that you feel like your in a 1960's hotel room, it does need refurbishing to give a fresher feel. The third floor used to be the smoking rooms floor and you can tell - as soon as you walk into a hotel room it smells of stale smoke - we complained and stuck to our complaint, until eventually they moved us to a different floor.	
Sep 1 2007 	Loved it!	I stayed at this hotel when it was 'Thistle Tower' and loved it! The staff were really friendly and when we asked if we could have a room overlooking tower bridge they happily did so! Room was a great size and the bed was huge, with fantastic views. We went to the hotel bar for a couple of drinks and have to say that it had the best views of any bar I've been to in London. Really enjoyed our stay and recommend it to anyone!	
Aug 30 2007 	Dilapidated and Defiled	This hotel is run down and dirty. I could not envision walking on the carpet without shoes in the scarred up paint peeling room. I called the manager immediately upon seeing the room and demanded to leave without penalty. He agreed and I was out of there within 10 minutes, but a charge for a night's lodging has appeared on my credit card bill. Do not expect integrity or cleanliness. If a view of Tower Bridge is worth this, then by all means go for it.	
Aug 30 2007 	Great Location incredible views!	Stayed here for a couple of nights for our 2nd year wedding anniversary. First impressions are great! The views are stunning and the location is fantastic. The lobby has been done up and is nice and trendy and the bars are also stunning with great views.This doesn’t continue to the rooms sadly! We got a upgraded room which was bigger (Especially the bed). But could do with being done up! I have heard that some rooms have been done up! But not many by the sounds of it! All in all rooms were a bit drab but as I got a great deal I wouldn’t complain about what we got! Worst point of my stay was the wake up call we got on our first night at 4am in the morning.. when I complained I got – “don’t know why that happened? Did you ask for one” – not much of an apology! All in all a average hotel overpriced like all London hotels. Would stay there again only if I got a good deal!	
Aug 27 2007	Not fantastic but.....	I booked the Tower at the last minute -direct with the hotel 99£ for a double with breakfast...for London not bad at all.Some good points/some bad.Good location, rooms OK. Although the hotel has been updated from its days as a Thistle hotel, it is still a bit dated. Staff so so...slow check in/out. The hotel tries to be a business hotel but it seemed to be full of coach parties. Insufficient lifts so long waits ....Breakfast - terrible. Long queues for both restaurants and even when you finally got seated, very poor quality and choice - particularly if you were paying 18£ (!) for the pleasure (thankfully I wasnt).In comparison with what else is on offer in London the Tower is OK but.....you can find better elsewhere	
Aug 21 2007 	Nasty place - surly staff	This is the ugliest hotel in a major capital city - and working in such an ugly environment has obviously mentally damaged the staff who are unhelpful and surly.Check in takes forever as the mostly eastern european check in girls try to cope with what seems to be the most long winded computer system ever designed. This is quite good as it delays the moment when you have to go on a three day hike around a rabbit warren of corridors to find you cell (sorry - executive room). You may be lucky and get a tower view room - but most likely you will be looking into some fat midle aged sales reps accomodation and can be entertained by the free show of him picking his nose.You need to rise by 5am or there will be no hot water.Breakfast is served (as in Tennis) &quot;School diners style&quot; and you can scrum and fight over the concrete scrambled eggs, congealed pig scraps and various other forms of unrecognisable grease morsels on offer.In the evening the &quot;Pub&quot; is open, so you can take on plenty of fluids before returning to your room where the A/C will be on max heat no matter what you do with the thermostatThe queue for Checkout is about 45 mins.The &quot;conceirge&quot; will tell you that a cab to Heathrow will only cost you 20 pounds - make sure you vists the ATM round the corner as it is likely to be more that 70.	
Aug 20 2007	What a view!	As far as I can tell, booking directly via guoman.com is the cheapest way of reserving a room, they even threw in breakfast which is really unusual for London hotels in my experience.They could do with a few more reception staff, a few times I came by to see a frustrated queue of guests waiting for assistance. Luckily when we arrived we were checked in quickly and efficiently, plus free upgrade to an executive room on 7th floor. Very nice! And then we walked in to be greeted by Tower Bridge at night, right outside the window!The exec room is a decent size for a London hotel, includes trouser press, iron and safe, as well as tea/coffee making facility. One problem if arriving by car is that the entrance to the ramp leading to the hotel isn't that well signposted, if you miss it you're on Tower Bridge and that's a huge hassle. Also the car park rate is £20 for 24hrs which adds a fair amount to the bill if you're staying a while. Saying that, the receptionist validated my ticket on the spot without my paying a penny. Also no problems extending check-out by 30mins. Very impressed with the level of service.Overall a very positive experience and highly recommended	
Aug 17 2007 	What a view!!	We love this hotel!!! Fantastic views over the river, perfect for all the south bank galleries etc and one of the nicest hotel bar's I've ever seen. We stayed with our 11 month old baby who was spoilt rotten by all the staff (especially at breakfast!) and the dinner in the ground floor restaurant was lovely.We stayed on the 5th floor but think they might have had a refurbishment? The room we stayed in felt very new, but the corridor was very dated.Not cheap, but London never is!! And the views make it worth every penny!!	
Aug 11 2007 	Book directly with hotel!!!!	The Tower Hotel ex Thistle and now owned by Guoman Hotels, the hotel can not be situated in a nicer area, we arrived about half an hour early for check in and enquired if our room would be ready, we were told to wait a while in the bar and come back. Sitting outside on the terrace bar is out of this world the bar directly over looks tower bridge an the Thames.The reception area is cool and modern and all was going great, until we checked into our room on the 5th Floor - I have read some reviews about this hotel but as a frequent traveller I know that some people will never ever be happy, so decided to keep an open mind. But unfortunately everything said about the 5th floor in the reviews are correct. As soon as the lift doors opened it looked like a totally different hotel, dirty carpets, flaky paint and very battered hotel room doors. Upon entering the room I was very disapointed, although fairly clean the room was dated and nearly everything in the room had seen much better days. There was no aerial connected to the tv, he hairdryer was broken, there were 2 holes in the wall which rubble/brick fell out of if you went to near to it, the bed had a severe dip in the middle - which was awful to sleep on, not many 4 star hotels provide blankets these days but this one did.We did complain to reception but as the hotel was fully booked and it was the weekend of community shield at wembley there was no where else to go.Floor 5 is the only floor in the hotel which has not been refurbished, when the lift doors open at all other levels the floors are clean and contain drinks and ice machines. I have been advised that booking directly with the hotel is the only way of guaranteeing you will not be placed on floor 5, but booking agencies and websites (where we booked) are given the lower priced rooms. However we did still pay £106 for a double room and the direct hotel price I later found out is the same.I cannot fault any other area of the hotel, it is a massive hotel so expect queues for checking in, reception, conceirge, breakfast (queued for 20 mins waiting for a table) but staff are pleasant and friendly.The bar on the 2nd floor is lovely and over looks the thames and tower bridge which is a great place to sit in the evening before or after dinner, drinks prices in the hotel bar are expensive 2 beers and 2 bacardis came to £26.40.The area surrounding the hotel is very nice, we walked accross the tower bridge and had a meal by the thames.I would recommend this hotel and I would be sure to go there again-but only if I had written confirmation I would not be on floor 5 and worst of all in room 514 !!!	
Aug 1 2007 	Good but pricey	My son and I stayed at the Guoman Tower hotel in June of this year. I was in town for a convention so did not spend a lot of time there but overall found our stay pretty good, best of the three hotels we stayed at on our trip but also the most pricey, especially with the US exchange on the dollar! If you want to be close to Tower Bridge and the trendy docklands this is the place to stay. We had a view of the Thames and Tower Bridge, which was breathtaking day or night. The front desk staff were not well organized but then the hotel was sold out the entire time I was there due to a convention. You would have thought they would bring on extra staff to handle the summer demand but they clearly hadn't. If you have a car you will pay through the nose for parking! $60/day for guests, which unfortunately is not uncommon in this area.The buffet in the Carvery was nothing to write home about and overall I found the restuarant staff pretty surly. The room service food was some of the best I've ever had though and reasonably priced as well! There are several good restaurants within walking distance of the hotel so I'd recommend eating out. Our room was well appointed and comfortable though typically small as British rooms are. This was also the only hotel room we had in England where the AC actually worked. We seemed to have a great deal of burnt out light bulbs, but I could never get through to reception or housekeeping to ask them to fix the situation so we just lived with it. The ice machine on our floor was broken and there was no vending machine, that I could find, so if you wanted snacks you had to buy them from the gift shop at outrageous prices.The hotel is quite a walk from The Tube and Train stations, especially if you're dragging luggage so beware. I'd stay there again, if it was low season and I was only there for a few days as it is very, very pricey.	
Jul 27 2007 	Nice Staff....but..	I have spent a few weeks in this hotel and its two redeeming features are its location and very pleasent staff.On the less positive side...it seems to have a problem with its fire alarm. I had 3 alarms whilst i was there and two full evacutions (in the small hours). Others i have spoken to have reported similar. A member of staff told me that it happens nearly every week. I can't vouch for that, but it did interupt my sleep!The rooms are ok if a little dated. The dining staff did manage to spray me with coffee (accidents happen) but the most annoying thing was the total lack of getting a grip of sorting out of the mess - let alone an apology or offer of dry cleaning.If you want a good location - its hard to beat, but be aware there are some wrinkles	
Jul 26 2007	No Complaints	A tour group booked our hotels and I was a bit concerned about what I would find in London. However, I was quite satisfied. The room was modern, clean and of course the view was incredible. Breakfast was also a nice surprise. It was in a great location, right on the Thames, a skip to the Tower of London and Tower Bridge, easy access by bus and tube to get around London. I would recommend it to anyone.	
Jul 26 2007 	Good enough	I did not have this many problems as other guests had with this hotel. I doubted between 3 or 4 stars. I did choose 3. I even got an free upgrade of my room to business class. Service in the restaurant (breakfast) was not so good. Ofcourse I did not had a room with view at the tower bridge, but we did had a good view at the dock.A photo of the room and a view a the dock is included.	
Jul 17 2007 	Wonderful view but!!!	I booked through superbreak.com the hotel had wonderful reviews on thier site. When I check tripadvisor I started to get a bit worried. We had 2 rooms a twin and a double for 2 nights Both on the 5th floor and both very very tired indeed. We had not been advised we had any specail rate due to the conditions but actually the view was so fantastic the room faded into insignificates although the shower covered the whole bathroom when switched on. The staff were very helpful, breakfast was good and I was delighted when I checked out that the lady at reception waved the parking charge. What seemed really sad was this hotel was in a stunning location and could be a first class hotel with a little TLC. It was advertised as a 4 star hotel but unfortunately the rooms fell far short of this.	
Jul 14 2007 	Terrible Customer Service!	This hotel were hosting a Crime Mapping conference during the second week in May (8-10th May) and my organisation had naturally reserved a room for me at this hotel. On arrival, I was asked for my credit card to confirm payment of the reservation. I explained that the room had been reserved but they insisted they had not received any confirmatory fax from my organisation! The receptionist (Claudia) insisted I provide my credit card details before I could take my room! Therefore, they elicited my credit card details from me on the pretence that they had not received a fax from my organisation which had, in fact, been sent to them weeks before! The following day (9th May), I contacted my organisation who assured me they had sent the reservation fax with company credit card details to this hotel many weeks before. On departure and on trying to check out they tried to charge my credit card because they claimed they had still not received a fax from my organisation! Far from happy, I demanded to see the manager and they referred me to a Customer Services advisor who I explained I was furious with being continuously asked for my credit card details against my will. This advisor went into the main office behind reception and explained that they had in fact now received confirmation from my organisation (even though it was re-sent the previous morning!) and that the matter was resolved. The administration systems within this hotel are a complete shambles as are the management themselves. On the second day of my stay (9th May), I specifically placed a 'Do not disturb' sign on my room door only to return at midday to find that my room had been entered and the bedding replaced! Do these people not understand basic English such as 'Do not disturb'!? All in all, this is an extremely expensive hotel which has the unofficial tag as one of the most ugly looking buildings within London and one which overprices travellers based solely on its location and close proximity to London bridge. I do not recommend anyone staying at this hotel and have articulated my points to my organisation who will not be booking rooms at this hotel ever again!	
Jul 13 2007	Great location/views management needs sacking.	The location of this hotel is idyllic right next to Tower Bridge - and we were afforded a great view of the start of the Tour de France from our 7 floor room. Ask for a tower view (if you stay here), but our initial placement was a first floor room where the view of the bridge was across a dirty roof with air conditioning and other engineering equipment, bad enough, but the cigarette butts, papers, and other trash made the view disgusting. We were moved from that room when the toilet backed up spewing sewage on to the bathroom floor-and there was not maintenance available in the evening to fix it. Typical of the service at the hotel which is substandard across the board, long lines at check in, long lines at breakfast, etc. Maid service was ok, but the supervisors were intrusive. Breakfast was marginal, a lunchin the Brasserie was better. The Hotel is now a Guomon hotel and their management is apparently inept. The rooms are dark, poorly maintained with holes in the rugs, walls, sheets. The whole place needs attention. Too bad such a wonderful location has such a poor property. Hotel needs to be totally remodeled (if possible, it is really ugly and very dated structurally) and cleaned, or perhaps all new management to tear it down and build a new hotel to upgrade standards in this part of London.	
Jul 12 2007	Beware of the awful 5th floor	Booked in at smart reception area, staff friendly and apologetic for slow computer. Went to 5th floor, twin room was disgustingly scruffy and should not be let out to paying guests. I returned to reception who appeared embarassed when I said I understood that the 5th floor had not been reburbished therefore the rooms were at a reduced price (£173), but that did not excuse advertising without warning. I would not have accepted the room at £1 per night. I was given a double room (as ordered) on the same floor but less scruffy and very much cleaner. I did need to beware of splinters from some some of the broken wooden furniture. The bathroom sink was cracked and could have done with a plunger.The continental breakfast was excellent but the cooked buffet was poor quality and not heated well. On the plus side the staff were really very good and the immediate location and room views are wonderful. The 5th floor could be used as a creepy film set until refurbished.	
Jul 9 2007 	Terrible stay at overrated hotel	Going for work I spent 300 pounds per night to stay at the Tower and it was the most miserable stay I have had in a long time. I was put in a room on the 5th floor that had scuffed furniture, dirty carpets, old blankets and the worst type of spring mattress bed you can imagine. The bathroom was not much better. After having complained (to a not very friendly person at the check-in desk) I was given another room that proved to be as bad as the first one, which really annoyed me. There was absolutely no recognition of the fact that both those rooms were of terrible quality (looked like a ratty old guesthouse) ands the only excuse given was &quot;we have not refurbished floor 5&quot;. Well, then they should not pust guests paying 300 pounds a night there was my reply. In the end I got an upgrade (but only by being very insistent) and that room was decent, but certainly not more.. I do not need to add that despite all this and the very high price per night breakfast was not included...Terrible stay, expensive and unhelpful staff, don't go!	
Jul 5 2007 	Top Tip: Knock off a star when booking London hotels they never deliver!!	By star I am of course referring to the star rating, not the Brad Pitt variety!! Should have known better to think that 4 star actually came up to 4 Star standards. Silly me!!!Booked this hotel thru Superbreaks as gave us the best deal. Booked a deluxe room which was £20 more as wanted a nicer room.Very put off at check-in - long queues stretched accross the foyer so we went for a drink at the bar. Came back £10 lighter after consuming a v stingy - small glass of chardonnay each, to an even bigger queue!Eventually checked-in and what a disappointment.The room (102) was v small and the furnishings etc were so tired with a big crack in the basin (in the tiny bathroom). There was also a big stain on the carpet.Pretty stressed by this time, so headed out to Wimbledon for the tennis.That night, we ate in the Indian Restaurant within St Katherines Dock-even bigger disappointment than the hotel!!It looked really upmarket from the outside but the service was dire, it took the waiter 3 attempts to open the bottle of wine (which was the best part of the meal) The food itself was awful - poor quality meat swimming in what can only be described as slop. Needless to say, we didn't hang around for dessert (which was a good job because no-one asked us anyway) And paid the bill - less the service charge as the meal was so crap - first time we have never left a good tip. They didn't seem bothered that we had such a rubbish meal, I guess they know that their average customer is only in town for the night - ditto the hotel.Are all London hotels and restaurants like this??	
Jun 18 2007 	Bedbugs horror! Definitely not worthy of 4*	I booked this hotel through Lastminute.com and paid £109 for a standard room. Having stayed in the luxurious Hilton London Bridge a few weeks previously, I expected a similar standard. What a shock! The room (on the 5th floor) was really shabby, 2 old single beds that wouldn't have looked out of place at my Grandma's house! All the furniture looked worn, there was no safe, nothing to say it was a 4* hotel.  I slept badly, waking in the night scratching. Was woken at 8 am by Housekeeping knocking on my door! Really irritating after a bad night's sleep. When I woke up I realise I had been bitten all over my legs, over 10 bites. I don't know whether they were bedbugs or fleas but I have never had this awful experience before. I spent the next few days itching and ended up with red marks all over my legs.As soon as I got back I emailed the hotel to complain, I have had no response. I have resent the email 3 times and still no response. I am really shocked that a 4* hotel treats its customers in this way. The only positive thing about this hotel is its location. I presume that the deluxe rooms are better but I would definitely recommend that travellers book other hotels in favour of this one. I wouldn't stay here again regardless of the room. You have been warned!	
Jun 16 2007 	Not too bad!	We stayed at the Tower Hotel for an evening on 9th June 2007 for a birthday celebration.We booked through superbreaks website and found this easy and problem free!Upon our arrival at the hotel we were greeted by the staff at the check in desk. We didn’t have much to do with them throughout our stay but the clerk gave us all the information we needed for the duration of our visit. We used the Information desk near to one of the entrances for directions and they supplied us with a very good map of London and the attractions. The underground was messed up again so we mainly used taxis as our mode of transport. Taxis were frequently passing the front of the hotel and were easy to call and stop.Room – The room was nice. It had all that we needed. You are given a key card to get into your room. There was an ironing board and iron, electronic code safe, television with pay per view and hairdryer. In a small coffee table there was a kettle and tea and coffee making facilities. On the working area there was a manual about the Hotels facilities and a telephone for room service ect. The bed was fine and comfortable – no springs digging into us in our bed. The bathroom was clean and everything worked fine. Food – We stayed at the hotel for breakfast. There are two areas which offer breakfast and these are the Carvery, on the upper ground level, and the Brasserie which is on the lower floor. We ate at the Brasserie as it was open longer for breakfast. The breakfast is in a buffet style offering a full English, Continental and a selection of fruit juices. All of the food which we had was hot and of a very good quality. We have nothing bad to say about my experience at this restaurant. The breakfast was in as part of the room so I am not sure how much the breakfast would cost on its own. We have in the past dined at the Carvery for lunch at the hotel. Each time I have eaten here I have found the food to be good quality with a lot of choice. You can have as much or as little as you want. There were also about three options for vegetarians.The X bar offers very good views of the Thames and TOWER BRIDGE. The first time I went in there is was god smacked by the view. We spent a long time in there just watching the world go by. The drinks are reasonably priced apart from a small glass of mineral water which was bloody expensive at £3.50!!!!!	
Jun 11 2007	Good if you find at a discount not for full price	We booked The Tower through Lastminute.com as one of their “Top Secret” hotels (very easy to work out, it is very close to Tower Bridge station!) for £138 for two nights – so £69 per night. Sadly, things did not get off to a good start.Despite receiving confirmation from Lastminute that we had one room for two nights, I decided to play safe and check with the hotel – just as well, as they thought we had two rooms for two nights! A farcical game of “It isn’t our fault, it is theirs” now took place. We went from two rooms… to NO rooms, then back to what we actually wanted, with each side blaming the other all the way, and our having to play piggy in the middle and calling up each side before this was sorted.During this process, one of the people I spoke to offered us a free upgrade (see below). When my wife mentioned this – and the name and extension number of the person in Customer Services – the response from reception was “I don’t know who that is”! One phone call would have sorted that out – a poor response I feel.While we were sorting out the mess, another couple were booking in, who had also booked their room via Lastminute – and they booked in with no problems whatsoever. That said, we did hear the receptionist saying “If you have any problems with your room, just let me know” – hardly encouraging!To apologise, The Tower offered us a free upgrade to a Deluxe King. We were situated on the first floor (room 142) and cannot complain at the room… at the price we paid. The bed was huge and would comfortably sleep three people (if that is your lifestyle preference). That said, if we had paid full price (I understand it is £150 a night) for a room of that size, we would have been distinctly unimpressed.That said, the bed was very comfortable and the features (speaker in bathroom so you could hear TV/Radio if you wished, trouser press and ironing board and combination safe) were appreciated. The room was also clean and of decent condition. Our view was onto part of The Thames and across to the Yacht Club and entrance to St Katharine’s Dock – so great for watching the vessels coming in and leaving the dock.We ate at The Carvery on our first evening – the food was excellent and good value at £22 a head, excluding drinks. On our last evening, we had a snack in The Gallery bar – and again the standard of food was excellent, if expensive (£8.50 for a steak sandwich and £3.95 for a bowl of fries). If you want alternative places to eat, St Katharine’s Dock will provide options.Checkout looked like it would be a long wait as there was quite a queue when we came down, but it was dealt with quickly and efficiently.Verdict: If you book the hotel on some kind of discount rate, then it is value for money. But I would want much more for my money for the full price.	
Jun 7 2007 	The Luxury Arm of Thistle Hotels - um!	The hotel with the best views in London but be careful! Inside it is tired out and the rooms are very small. Nothing works in the room - heated towel rail? - broken - wall safe? broken. etc etc.I have stayed in this hotel many times because my company puts me up there because it is near the office so I know the rooms are consistently bad.The restaurants are also expensive and the food is of very poor quality, with the exception of the carvery.The harassed reception staff do a reasonable jon of check in/out but the management, when approached on the problems faced, couldn't care less, knowing fully that they will be booked out the next day with tourists regardless of quality because of its location.One to avoid if possible - only say there is you want the view and do not care about hotel quality.	
Jun 5 2007 	OK for tourists	We stayed in the Tower for one Friday night while we 'did the town'. We got a cheap deal from lastminute so the price was reasonable for a room in London, but I would never pay 'full' price for this standard.The fittings in the room and particularly the bathroom are very tired and I felt the whole hotel now needs an unlift inside and out. We enjoyed the location (between Tower Bridge and St Katherines Dock) as there is a lot to do and see right on the door step. The Thames area has improved in the last few years and it's a nice place to be.We found the staff were very polite and helpful, but to be honest we were only in the hotel a few hours.	
Jun 4 2007 	last minute stay	Was looking for a hotel for stay after a concert on [--] This one came up as a &quot;top secret hotel&quot; and we were sure it was the hotel by the Tower Bridge which indeed it was. At a good price we plumped for it and hoped that it would be OK.This was the former Thistle Tower, and some has undergone renovation. The re-name to Guoman is a Thistle &quot;luxury hotel&quot; brand. However, but the floor we stayed on (5th) was awaiting renovation and the room furniture was very old and tired. To be fair, the room had a great view of the Bridge and as it looked out over the river it was nice and quiet for a London location Would be a great base for exploring some historic parts of London (Tower of London, Tower Bridge, HMS Belfast, the London Dungeons), St Katharine's Docks and the financial district but if you plan to spend a reasonable sum and expect good things make sure you ask for a renovated floor / room (and with a river/bridge view!).	
