	Fantastic Value/location	Stayed at the hotel Nov. 24 - 26 in room #8. Fantastic location for the hotel, the room was spotless and what really impressed my wife was the cleanliness of the washroom. The room was quite small by North American standards but all we did was sleep there. Special thanks to the guys at the front desk, you made our stay very enjoyable. We will be back...	
Sep 6 2008 	Fantastic stay great people.	We staid here for 6 days and it was fantastic. The rooms were super-clean, the shower was great, the beds really comfy and the location perfect. Surrounded by a huge variety of nice restaurants and only about 5 minutes walk from Victoria Coach station where you can get a bus, coach, underground or taxi.	
Sep 6 2008 	I Love this Hotel but just a couple of catches	It's great value for money: cleanliness, warm and friendly hospitality, nice service; proximity to the Victoria Station; bus at door. It fully met my expectations.Area for improvement: mattress a bit worn out, particular on the sides; need to be replaced. Rooms a bit too small for 2 adults.Travelers should be aware that there is no elevator in the hotel. Carrying heavy luggages to 2nd or 3rd floor could be a challenge. Hotel staff was kind enough to help out with a couple of pieces of luggage out of the 4 that we brought for the family.	
Sep 3 2008 	Great hotel with lovely restaurant nearby	My husband and I stayed here with friends on August Bank Holiday. We were all delighted with the standard of cleanliness and the great showers at the hotel. Admittedly the rooms are not huge but they are big enough. Breakfast choice is limited but what you get is sufficient and nicely cooked. All in all this hotel is really good vale for money and the reception staff are friendly too! There is only one draw back and that is the lack of a lift so if you think climbing up to the third floor will be too much for you make sure you get a room on one of the lower floors. The location is great, with a stop for the bus which goes directly to Trafalgar Square etc right outside the door and it is within a few minutes walk of Victoria Station. There is also a very nice restaurant in Churton Street, which is just a few metres away. It's called 'Grumbles' but we certainly didn't have any grumbles about our meal there, it was delicious. Unfortunately the same cannot be said for the restarant diagonally opposite called 'Chimes'. They claim to serve traditional English food but if the beer battered cod and frozen chips is an example of what they consider traditional English cooking it's easy to see why it's got such a bad reputation. At £9.50 per person this dish was hardly cheap and the fish was disgusting. Give this one a miss.	
Aug 23 2008 	lovely lovely luna	We had a fantastic 10-day stay at the Luna. From the moment we arrived, we were impressed with the friendliness of the staff and the immaculate condition of the hotel. The twins are a real hoot, especially at breakfast, which was more than enough to keep us going for several hours.The location was perfect...two underground stops near by, and a bus stop right outside the door. What more could tourists ask for?Our room had twin beds, which we pushed together at night to create a king. The bathroom had one of the best showers we've ever used while traveling. Had it been around several hundred years ago, the water pressure probably could have put out the great fire!The only down side of our trip--we had to return home after our ten days in London. We hope to be back in 2009.	
Aug 20 2008 	Luna Simone-Our New Favorite Hotel in London!!	After staying in several different types of hotels in London over the past few years (from chains like Novotel, Sofitel, and The Cumberland among others), our family has decided that the Luna Simone is our favorite London hotel. We travel often with our two older teenagers and they are picky about their accommodations...the Luna Simone received a rousing &quot;thumbs up&quot; from them as well. We stayed for 5 nights (second week of June 2008) in a quad room on the ground floor with one double bed and two twins. The room was spacious for London, clean, &amp; comfortable. The bathroom was also surprisingly spacious and looked new. The Luna and Simone is a very safe hotel in a quiet section of Belgrave Rd....you have to be buzzed in by the staff and after check in are given your own key to the front door...very convenient. One of the things that really made the difference for us, however, was the accommodating staff (including the wonderful twin owners). We were 3 hours earlier in arriving than planned and the hotel staff not only kept our luggage safe while we did some sightseeing but they placed our luggage in the room as soon as it was available. On two different days when I was feeling ill and had to stay in the room (thus asking for no maid service) the staff still made sure we had fresh towels, soap, and etc.. One evening when we decided to bring back some delicious Indian &quot;takeaway&quot; to enjoy in our room, we discovered to our chagrin that we had no utensils to eat with (silly us). My husband inquired at the front desk if they might know where we might locate some and the staff member at the front desk very kindly loaned us not only utensils but plates, etc. from the dining room. These things may all seem trivial but it is this sort of personal touch that made the difference for us. Some reviewers here have questioned the high ratings this hotel has received in the past , complaining about what I believe to be trivial matters, including: Lack of TV channels (are you really in London to watch TV?) to not enough variety on the breakfast menu (we found the breakfasts to be fresh, plentiful, and served with a smile). This hotel is an amazing value: you get a spotlessly clean, safe, hotel room, located conveniently within walking distance of Victoria and Pimlico Tube stations, bus service nearly at your doorstep, a full English breakfast, all at an unbelievably affordable price for a London hotel. We have stayed in more posh hotels in London but none can beat the Luna Simone for cleanliness, value, and above all: owners and staff who truly care about their guests and their hotel. We are planning another trip to the UK for Fall 2009 and will absolutely be staying at the Luna Simone.	
Aug 19 2008 	This hotel should be #1	Fabulous! We stayed here 3 nights and returned for 1 more.Every morning I'd come down to breakfast and kid the twins, wives, kids...family all over the place! I'm not a fan of London, but I'm a BIG fan of this hotel and everything around it. (And the young man on the front desk, if you're reading this, you are a 10! You are SO personable and kind. Are you smiling? You are always smiling.) Lots, and lots of small restaurants a few steps away, (ate at Solo Mio - twice), plus laundry, super-stores, nails and hair; everything within reach. Go to Luna and Simone. You'll love the place (small, but very, very clean) and tease the twins...they love it. Such fun we had in July! Mary-Margaret and Douglas Porrey	
Aug 19 2008	nice place and good value for money	My wife and I recently stayed at the Luna &amp; Simone Hotel as part of a two day visit to London. We found the hotel to be very clean and friendly, and was perfect for our needs. The location is excellent, and we were very happy with our stay. This is a family run hotel and it shows as all the staff are very helpful. Would recommend this hotel to all my family and friends.	
Aug 15 2008 	Decent but not fantastic	I booked this Guesthouse (that would be a more accurate description than calling it a hotel) due to it at the time being ranked 10th most popular in London on Tripadvisor.It is ok and decent value I suppose but I chose this over what was described as a luxurious 4star because the 4star was ranked just over 300th most popular. I feel I may have made the wrong decision as the price difference was only about €10 per night.It's in a good location approx 10 minutes walk from Victoria station. The rooms were cleaned everyday and the two men that run the place were very helpful and pleasant.The rooms are very very basic and the breakfast is also very basic. The satellite TV is 7 maybe 8 channels and if you have trouble getting up stairs this place is most definitely not for you.I wouldnt warn people to steer clear of the place but for a small amount of extra money you would probably get something much nicer.	
Jul 27 2008 	good value for money in London and a note for 1st time travelers to the UK	My husband and I stayed for 3 days at the Luna &amp; Simone and thought it was quite good value for money in London; a good breakfast, very good and quiet location easily accessible by tube or bus. First time travelers to the UK (or Europe for that matter); please bear in mind that room sizes and usual amenities (air conditioning for example) North Americans are used to are usually not found here. This will go a long way in ensuring satisfaction from your stay. I would ask for a room giving onto the backyard and not on the main floor for more peace. All in all, quite enjoyable.	
Jul 27 2008 	Great Location	We had a fine stay at the Luna and Simone. The staff was always available and very friendly.A couple of caveats, the rooms are small but quite adequate. The beds are on the hard side. While the staff is friendly and available, most rooms are upstairs and you'll need to carry your own, so pack light!Now, I thought the rates were great for such a clean nice propety in London. There is coffee and tea in the room. Also, we were able to hook up to free wireless. It was ad supported, and you had to relink every hour.....but did I mention it was FREE!The location is outstanding. Just around the corner are lots of great restaurants. Our first night there, we were walking along reading menus and a gentleman crossed the street and advised us on every restaurant in the area. Two of his area recommendations, Chimes (for English fare) and Cyprus Mangal(we like Greek food too) were absolutely excellent.Just up the street a bit, you will find Victoria Station, from which you can take the tube to pretty much any place in London. Several times, we just walked over to Westminster, the London Eye, Buckingham Palace, and Trafalgar Square. It was a bit of a walk, but quite doable.Also, just across from Victoria Station, on the same street as the hotel, is St George's Tavern, an outstanding example of an english pub which specializes in a vast array of sausages, but the fish and chips was the best we found. Their french fries should get an award. That said, stay away from their hamburgers!One last thing, if you've ever had any interest in Shakespeare, get tickets to the Globe Theatre. We saw 'A Midsummer Night's Dream' and it was one of those experiences of a lifetime. If interested, get your tickets early as they sell out. I ended up getting our tickets thru a broker, Albemarle.	
Jul 25 2008 	Fabulous hotel!!!	My son and I stayed at the Luna and Simone Hotel in July, 2008 and had a fabulous time. The location was perfect, within an easy walking distance to Buckingham Palace, The Eye, Westminster Abby and more. The hotel itself was extremely clean and well kept. Breakfast was delightful and customer service outstanding. We had requested a room with a balcony when we made the reservation, and we were pleasantly surprised to get just that upon our arrival.The balcony rooms face the street and are probably a little more noisy than the back rooms, but the view was worth it to us. The bus stopped right across the street from the hotel, and Victoria Train station was just a short walk away.The rooms are small, but well-layed out. It has a personal safe, a well-designed bathroom which was spotless, and comfortable beds.I would highly recommend this hotel!!	
Jul 25 2008 	Safe and Friendly	Stayed here in July with my family. It is in an excellent location for sight seeing . The rooms were safe, clean and comfy and the English breakfast provided was terrific. We found Peter, Rita and Mark to be very friendly and helpful and wouldn't hesitate to stay here again.	
Jul 25 2008 	Great friendly hotel in convenient location	This is a lovely, family run hotel in a very convenient location near Victoria Station in London. The people that run this hotel are friendly and very helpful and welcoming and it reasonably priced accommodation. We spent 5 nights there and the hotel was full the whole time and we had to book 6 months ahead. I would have no hesitation in recommending this hotel.	
Jul 24 2008 	Little gem right in the heart of London	This little gem right in the heart of London was a great find. The ultra friendly staff, clean, tidy, spacious rooms, wonderful breakfast and excellent service were all included in the very reasonable price. I was travelling with 2 other friends and we all enjoyed our experiance here at Luna &amp; Simone. We would all stay here again should we return to London and have no reservations in recommending it to everyone else. Thank you for such a wonderful stay in the UK.	
Jul 22 2008 	Friendly Clean 	Great location in Victoria with a #24 bus stop directly in front of the doors. Quick walk to the station to catch a tube or a tour with it's central location. Excellent food and service, breakfast was cooked for us individually every morning. The owners take pride in serving their customers. Our room was clean and had a private bathroom and it was quiet at night. Great place to stay for business or pleasure. The free internet kiosk was a nice priviledge.	
Jul 9 2008 	gem in london	Spent 7 days at the Luna &amp; simone, great little hotel,close to everything. Bus at door and underground station 10 minutes away. Plenty of pubs and restuarants in area. Laundromat just arround the corner, Owners and staff are excellent. Rooms are small but this is to be expected in London, good beds, great showers.	
Jul 8 2008 	Wonderful and clean hotel with great staff!	An absolutely wonderful little hotel. I've been to London four times before this visit and I've always stayed in the Bayswater area. Read about Luna and Simone on tripadvisor and gave it a try. I can just say no regrets to that decision. Can only give high recommendations to this little establishment. The staff are friendly, everything is clean and a surprisingly nice breakfast. Don't miss out!	
Jul 8 2008 	Charming family-run hotel	We stayed at the Luna-Simone for 2 nights. The hotel is about a 10 minute walk from Victoria Station and is family-run. The price was 95 GBP/night and breakfast was included. Now, for the specifics. The family that runs the hotel is very nice and really keep the property up. Various members of the family gave us helpful advice on several occasions and they really made our stay pleasant. We stayed in a room with a double bed, two night stands, a decent-sized wardrobe, small TV and dresser. The bathroom had a shower. Both the room and the bathroom were very clean (the bathroom nearly sparkling). Our room faced the street, but we were not disturbed by noise at all. The hallways, dining area and reception area of the hotel were also well-kept. There is a small room with a computer terminal for internet access available from 7:00AM-11:00 PM. However, as a courtesy, you should only expect to use it for 5-10 minutes at a time, since other guests were usually milling about or checking in to take a quick surf, too. One of the best touches of our stay was the complimentary breakfast. With the dollar continuing to struggle against the pound, the free breakfast was much welcomed by our family of four. It was quite filling (we left food on the table both times) and good. Overall, we had a really nice stay here and would return.	
Jul 5 2008 	What a BRILLIANT hotel!!	For our four days/three nights (1st July-4th July 2008) in London we were looking for somewhere reasonably priced; fairly central and clean and comfortable. As the Luna-Simone hotel came highly rated on Tripadvisor we took the plunge and booked via the hotel website. The hotel was easy to find being only a short 5 minute stroll from Pimlico Tube Station. Pimlico, on the Victoria tube line is a bit closer to the hotel than Victoria Tube Station and has the welcome advantage of being a whole lot less frantic. Tip:- From Liverpool Street take the Central line (West Bound) to Oxford Circus then change to the Victoria line (South Bound) to Pimlico exiting Pimlico station via the Rampayne St exit. Hotel is about five minute walk from here. NB Due to engineering work until End Nov 2008 no service on Victoria line after 2200h - but you can use alternative lines (Circle or District) to get you to Victoria tube station and then walk to the hotel in 10 mins or so from there.We arrived at the Hotel at 10.30 am and the friendly receptionist checked us in speedily and with no fuss. She made a short internal phone call and then gave us the good news that our room had just been freshly cleaned and was ready for us. Handing us our keys (one for the room door and one for the Hotel entrance door) she gave us clear directions as to where our room was. We occupied room number nine at the rear of the building on the 'Luna' side. We liked this as it was quiet - well away from any possibility of road noise. We were impressed with the general level of cleanliness throughout the Hotel - especially the room. I am a bit picky when it comes to hygiene and I can honestly say i found nothing to cause me any concern. No matter where I looked everything was gleaming - all credit to the cleaner; they do a great job. The maid came in each morning and made our bed; tidied up and left us fresh towels for our return. The shower was very good - we thought it was like a power shower - this was welcome after a sticky day spent amongst the throngs of fellow sightseers in London at the height of the summer heat. The shower cubicle was gleamingly clean with no mould or soap scum. Although the room overall was on the small side it was adequate for us and lets face it - how long do you spend in the room anyway?Breakfast, which is included in the price, is served form 7.00 am to 8.30 am. To be honest, this suited us as we like to get up early and make the most of our days and try to fit in as many sightseeing activities as we can. Breakfast is served in the sparkling clean basement 'breakfast room.' Service is quick and the food is fresh. Nothing was too much trouble. For instance, I asked for scrambled eggs in place of the fried eggs and it wasn't a problem. You have a choice of cereal or juice to start with. After that you have a choice of boiled eggs or bacon-egg-beans complete with toast and tea or coffee. We found this to be ample and kept us going until lunch time no problem.I needed to iron a pair of trousers - reception lent me an iron and board free of charge. We found the staff - who were mostly family members (the hotel is family run) to be very helpful. We were glad of the free internet access to check emails etc. There is a desktop computer available for use free of charge - we thought this was a nice touch. There is a wireless network but i am unsure if there is a charge for this.Our stay at the Luna-Simone hotel was enjoyable and we will be returning there the next time we are in London.Steven Milloy and Sandra McSkimming	
Jul 2 2008 	We loved LS!	We stayed at LS for 4 nights, 10-14 June. We love this hotel and would stay here again. The staff were very friendly and helpful and accommodating. The room was small, but great shower. And we loved having the #24 bus right outside the door. We got the Oyster Card and got our money's worth, taking the bus and tube everywhere. I love this neighborhood, it's a little off the tourist track, but everything you need is nearby -- including a nice Italian restaurant, O Sole Mio, down the street. Highly recommended.	
Jul 2 2008	Great for central London	Enjoyed our stay here immensely, especially compared to other experiences in London. Good clean room with decent space for London. The hosts were helpful and friendly, and we were able to have en suite bathroom access for less than a lot of other places. Great value, given London prices!	
Jun 30 2008 	Good value	The hotel was exactly what I expected. The rooms were clean, showers were hot, and breakfast was decent. The location is great; within walking distance to Buckingham Palace. Overall, this hotel was a great value.	
Jun 29 2008 	Very nice and the price is right	We stayed here on the last part of our European tour June 13-19th. I was traveling with my kids aged 22 &amp; 24 so we were very pleased to have room #1 (a triple) The room was very big for us and the beds were quite comfortable. There was another bathroom right outside our room so it was almost like having 2 bathrooms! Breakfast was good and the staff was very accommodating. Transportation is convenient by bus or tube. Do get the oyster card it will save you $$$. The only problem we had was with internet access downstairs. We had to at times put our laptop outside the window on the ledge to connect quickly! It was hilarious, (see picture) It was free though. We would stay here again.	
Jun 23 2008 	Stop searching...this is the place!	I am picky, and L &amp; S satisfied. I spent hours and hours researching every place in London and finally decided to stay here. We're so glad we did. It is a nice family owned and operated hotel. They are very kind and helpful. Peter and his twin brother will serve you breakfast and his son, Mark, works the front desk. We stayed in room #2 on the first floor. There are double doors to give more privacy and as a sound barrier. I recommend this non smoking room.	
Jun 19 2008 	Nice cosy hotel	Luna &amp; Simone Hotel is a little, nice, clean, cosy hotel in an elegant quiet street of Belgravia; Victoria Station and Pimlico tube station are at 10 minutes walking distance. More, just in front of the hotel there's a bus stop: bus 24 goes 24h/24 to Victoria, Westminster, Trafalgar, Piccadilly.The English breakfast is maybe not hudge but completely satisfiyng; there's an internet point.According to me and to my wife, the quality/price ratio of this hotel is very very good. Next time we'll go to London we'll choose Luna &amp; Simone again.	
Jun 11 2008 	excellent value in London	This hotel is certainly the best valued accommodation in London. WE had a change of plans when we arrived and required 4 more nights which they were very willing to provide us even though it meant switching around other reservations. Our stay was terrific , Our room was quite spacious for London, the bathroom was small but entirely adequate for our needs. The cleanliness of this hotel is superior and the staff is the best I have encountered. The breakfasts were everything you could ask for and if you wanted something different the staff were only too pleased tp offer. This was our first time to London and the Luna &amp; Simone hotel made it much more special. It is convenient to all bus lines, the train station and subway.There are also several excellent restaurants nearby and the St George Pub is only 5 min away and is super for meals and winding down after a long day of sightseeing. The brothers are only too willing to make your stay as comfortable as possible and we loved every single day and were very sad to leave. The computer access proved invaluable to us. We would certainly return and would also not hesitate to recommend it to friends.LorraineVancouver, Canada	
Jun 9 2008 	Decent hotel nice stay	I was in London for a 4 days trip, just to see a few of the city attractions. I read a few review of the hotel and I decided that is a good choice for my trip. The location is OK, 10 minutes walking to Victoria station from where you can go everywhere. Also, 10 minutes from the nearest subway. Neighborhood was OK, not very noisy and quiet in the evening. We came back later at night and had no problem. A few shops closer to the hotel and even some nice restaurants. The room was little but clean, with TV. Bathroom with shower OK, also clean. We did not have any complains about it. The breakfast was enough, just a few choices but tasty. The staff was helpfull and the owners very nice people. I would stay here for my next trip especially if I will go as a tourist and not spent more than the nights in the hotel room.	
Jun 7 2008	terrific place	I stayed in this hotel in April for 5 nights. I thought about writting a review here, although did not want to repeat what the other people already said, e. clean, excellent location, friendly staff, etc.After reading some of the negative reviews, I could not keep it to myself. This hotel is of a great quality for the type of place. If you expect 5 star quality , then go to a 5 star hotel, and pay the 5 star price. This hotel is considered a Bed and Breakfast with a 5 star guest's service. I know the rooms are not big, but you are not paying £300 - 500 per night, as you would pay for a large room in a larger hotel. If you are looking for luxury, look or somewhere else, but if you are looking for a home away from home, then Luna Simone is the place to stay.	
Jun 5 2008	American dollar stretcher clean and convenient!	We agonized over picking a place to stay in London because like every big city, London is expensive! Then add in a bad time to be using American dollars and it gets downright depressing. This place is clean, nice and a perfect operating base. We spent about $250 dollars for a room with 4 beds. We brought our 20 yr old daughter along.This hotel should be an insider's secret: it is on the 24 bus line which we used every day. Pick up and drop off in front of the hotel! Add in a very accomodating dual hosts at breakfast - you don't drink coffee or tea - have some hot chocolate, you don't eat sunnyside up eggs - how about scrambled eggs. The breakfast was a good way to start our day and it was included! The security was very good and they have an internet nook to use for free! Nice soaps and shampoo and above all clean,beautiful bathroom and comfortable beds. There are grocery stores close by and even some restaurants. We had our requirements met to have a nice place to sleep and start the day because we were out all day and caught some shows at night. We will be going back and reccommending this to our friends - just don't tell everybody!	
Jun 4 2008 	Good budget hotel	We recently stayed at the Luna and Simone for 4 nights. The property is pretty much as advertised. It is a small, basic hotel. The rooms are clean, although showing a little wear. Scuffs on the wall, stain on the desk chair. The bathroom was a comfortable size and very clean. Linens are spotless, but of a very basic quality. The breakfast was basic, as well. A fried egg, toast and tea does become a little boring after a few days. There are high spots to the Luna and Simone. The staff was very friendly and helpful. The price is definitely bargain rate for London. It was in a nice neighborhood. Access to transportation was fantastic. If you are looking for any type of luxury, you will be disappointed. If, however, you are looking for a great price and do not mind basic but clean accommodations, then the Luna and Simone is for you.	
May 28 2008 	Great little hotel	We really enjoyed our stay at the Luna and Simone! The staff was friendly, the room was small but cute, cozy and clean and the perfect amount of space for the two of us, the breakfast was delicious and an awesome start to the day:) The hotel is within walking distance to everything and if you don't want to walk the bus stops right outside the door or Victoria tube station is just a bit of a walk up the road! We would definitely go back and highly recommend for anyone travelling to London!	
May 26 2008 	Excellent Value and Very Welcoming	Brilliant stay at this hotel. We booked last minute direct with the hotel. Me, my sister and my mum went stayed for one night in London for a girly get away.At £110 for a triple room including a full english breakfast, it was excellent value. Is located near to Victoria Station. Good for bus travel but a bit of a trek to the Station and back. Room big with french doors to a patio area which was really nice. Shampoo etc a nice touch for shower room. Everything very clean and fresh.Breakfast lovely although started as early as 7am I think (and our room was right next to dining room) and as it was full, it was a bit noisy. But then you don't really go to London for a lie in!Owners and staff all very helpful and so friendly. Would definitely stay again.	
May 25 2008 	Perfect little place	We stayed in this nice little hotel for four nights in early May. The room was very clean and nice. Nothing fancy, but it was perfect for what we needed. Our room (#9) had one of the smallest bathrooms (the owner said they were hoping to make it bigger soon). There was an in-room tea kettle which was a nice touch. The breakfast was also delicious and the perfect way to start the day. We booked directly through their website, which worked out quite nicely. There were lots of restaurants close by and the street was nice and quiet. We felt very safe there. And it really was just a short walk from both Pimlico and Victoria Stations. Overall, it was a very pleasant stay and I would recommend if you are looking for a small, quiet. lovely little hotel!	
May 24 2008 	Great Value!Great Location!	This was my first experience using a budget hotel in London and I was pleasantly surprised. With the exchange rate as it is with the US dollar, I could not afford to stay in the 4 star hotels I have stayed in before. Compared to the high-priced hotels this hotel was a great bargain! The Luna and Simone is in a great semi-residential area with great shops and restaurants close by. I highly recommend Mekong, a Vietnamese/Thai restaurant around the corner on Denbigh St. The Pimlico tube is a 5-minute walk away and the #24 bus stops right across the street. We stayed in room #1 on the basement level (where the breakfast room is) and it was very quiet and clean. There was plenty of room for 3 people and the bathroom was a good size. It was kept very clean. The free breakfast is a great perk given the high cost of dining in London! All in all, I would definitely stay here again. It is not a luxury hotel so if that is what you are looking for you will be disappointed but at $210 a night for 3 people this was a GREAT bargain!	
May 18 2008	Over-rated	My husband and I just returned from a 2 week vacation in Europe, the last two nights in London at the Luna &amp; Simone.We travel extensively and while I don't think this hotel is horrible, I can't believe it's in the top 10 of all the hotels in London.Yes, hotels in Europe are small. The bathroom was fine and almost as big as the double room. The room was tiny with very old furniture. While it appeared clean, my husband and I were covered with bites that we noticed on the flight home. Bed bugs?There's also no lift so you should be prepared for that.The owners and staff were friendly and the location very convenient. After 2 weeks in Europe with a weak dollar, we were trying to save some money. You get what you pay for. I wouldn't stay there again.	
May 18 2008 	Deserving of its high rating	The breakfast dining room is located at the lowest level of the terrace building.The styling is contemporary minimalist, with everything clean, neat and in place. Fellow travellers are enjoying their bacon and eggs and planning their day's adventures.The friendly owner takes your breakfast order and walks back into one of the two entrances to the kitchen. Before you have a chance to blink he comes out of the other entrance with the breakfast order for the table behind you. This is quick service. Where does he get the energy ? No sooner have you asked the question of yourself, then he returns to go back in the ktichen and is out again serving another meal. This is extraordinary.Suddenly he is at your side with your order and as you look up and thank him, you notice out of the corner of your eye that he is also walking up the stairs on your right. How many ales did I really have the night before?Yes there are two of them - twins - although one is ten minutes older than the other so they insist they weren't born at the same time. It makes for some interesting times at breakfast, trying to tell them apart.We enjoyed three mornings here, and each time the breakfasts were consistently good ( although the same each day - but that is not a criticism).The hotel itself is well maintained and although the rooms are small, they and the bathrooms are kept clean and refreshed each day. Let's face it - when you are in London you should be out sightseeing or taking in shows etc rather than being in your room for any longer than you need to sleep and to get ready.The hotel has a bus stop directly outside the front door and another directly across the road for heading in the opposite direction. Victoria Station is a 10 to 15 minute walk away. We found it an ideal base from which to see the sights of London, on this our 5th trip to the capital.One block around the corner is a cluster of various small shops where you can get food and basics as well as a laundromat if needed.Luna and Simone is not a luxury hotel, but what it offers is excellent value - clean, equipped with essentials, friendly and efficient staff, good location, and based on our experience and what we have read a wonderful consistency in what it provides. On our next trip to London, we would automatically make this our choice for accommodation.Plus, where else can you play the Which Twin is Which Guessing Game?	
May 13 2008 	A great place to stay in London	I am a budget traveler and stayed at Luna &amp; Simone Hotel during my 7-days in London. I picked this hotel because of its high ranking and relatively low price. I stayed in a single-room with shared bathroom on the first floor. The room is small but comfy (with tv, safe, kettle, tea, and a light switch right beside the bed). Bathroom is very cleaned and which is even better is I am only sharing that with another person. Breakfast is good and keep me energized for the rest of the days. Since this hotel is very close to the Victoria station and have a bus stop right in front of the entrance, it is very handy to get to any attraction sites or areas in London. I would definitely recommend this hotel to my friends.	
May 12 2008	Great choice central safe clean and friendly	Great little hotel. A double and twin with a balcony and bathroom which I have stayed in are great value for the location at anything under £80. Also stayed in a small single with shared bathroom for £50. It was actually fine also, with a bathroom right outside the door only shared with one other single room. It's a basic little hotel but you can't beat it for cleanliness and friendliness. It's clearly a family business which explains why they take care in cleaning the hotel and dealing with customers. Excellent safe central area to stay in within easy reach of all London sites and nice breakfast. Having stayed in other similarly priced hotels in London I think this one deservese 5* in comparison.	
May 10 2008 	`Will definitely be back!!!!	Having spent weeks searching the internet for a hotel in London, we settled on the Luna Simone on the Belgrave Road. We were looking for a place with good links to the city centre, with breakfast included and value for money (in a city where hotels are way over priced!). I found the Luna Simone thanks to the Tripadvisor website and was very happy with my choice.We travelled from Stansted airport with the Terravision bus to Victoria station and from there the hotel was a short walk over Eccleston Bridge and down Belgrave Road.Our room was on the ground floor nearest tot he reception desk so thankfully we didn't have to haul our bags up the stairs! We never heard any noise form the street in front either. The room was on the small side but immaculately clean with the most comfortable bed I've slept in while on holidays. There was a much needed fan over the bed (weather was roasting!) and a good sized safe in the wardrobe. Breakfast was great and filled us up for the day.Free internet access was a bonus too.Number 24 bus stops outside the hotel and goes in the direction of Westminister, Trafalgar Square and beyond so that was handy but we mainly used the Tube from Pimlico station and got a day ticket each day.Belgrave seemed to be a very quiet area, lots of lovely local bars and restaurants and plenty of nearby shops for bottled water etc.Overall we had a very pleasant experience at the Luna Simone. For location and value it is top notch. I like to travel and have been abroad 5 times in the past 11 months and so I feel that I have alot to compare this hotel to.I would definitely recommend it and will be back again before the end of the year.	
May 8 2008	Always a good stay at Luna 	This was our second stay at the Luna &amp; Simone and we were not disappointed.The bedrooms and bathrooms are always spotless. Crisp, clean linen on the beds, fresh towels everyday and a sparkling shower (with water pressure!! Not found everywhere in the UK)We were on the top floor which gave us lots of exercise, but we didn't mind. It was quiet and the bed, comfortably firm.Breakfasts are always good at Luna &amp; Simone, with the staff/owners friendly and always have time for their customers.The location is perfect for walking, busing and tubing around London.This is my choice in London!	
May 5 2008 	Like our friends home	I stayed at Luna &amp; Simone for 3 nights and I subscribe everything that was said on the other reviews.It's true rooms are small, but enough for what you need (You don't go to London to stay in the hotel room, so...), but everything was clean, what's for me the most important thing.Rooms are warm, have TV, tea and coffee, hair dryer, free safe box and it's possible to borough an adaptor plug for electricity.English Breakfast was wonderful, tasty and served with sympathy between 7:00h and 8:30h, which is good to wake you up to London activity.The neighbourhood seemed to me very peaceful and easy to reach from Pimlico tube station, even at night.I recommend	
May 3 2008 	Nice but in the top 10 hotels in London???!	We stayed at this hotel while stopping through London. I have had experience with various hotels in London and lived there for a brief time so I know what to expect when it comes to room size, etc. Maybe my hopes were too high from these reviews. For 90 pounds a night, we got a clean tiny room with a clean tiny bathroom. I asked for a quiet room and we were put under the stairs for the 1st night. It sounded like a herd of elephants were stomping constantly until midnight and then started up at 6 am. Nevertheless, I slept very little. I complained and was nicely put on the top floor. After moving, the experience was much better. This room was even smaller, but at least quiet. On the pro side, the breakfast was excellent and very fast. The location was also great off of Pimlico tube stop. The hotel also offers free internet. Overall, good experience but this hotel definitely doesnt need to be in the top ten. I dont know if I stay there again.	
Apr 20 2008 	The cleanest hotel anywhere!	This was a first for us - not booking into a large chain or recognisable name. However, we were far from disappointed.Ok the room wasn't the largest and the breakfast wasn't a plush buffet but for the price it was all excellent. The owners were friendly and very helpful. Good central location cut the cost of travel whilst in London. We would definitely recommend this hotel.	
Apr 13 2008 	Had a great stay!	After 1 night at a terrible, non service minded place, we checked out and moved to Luna&amp;Simone Hotel. Coming here was a haven. A bit small(but, hey it's London) but very clean room with a great bathroom(tiled). The staff is super friendly and even stored some kimchi for us in their fridge, even though they knew it's really smelly (I'm sure they put it in some air tight container). People at the reception were always smiling and helpful. Breakfast was great and it was possible tho choose full english breakfast or continental. The place is centrally located....close to Victoria station.	
Apr 10 2008 	A gem of a hotel	This is an excellent value for a pleasure or business stay in London. I had already stayed in London in an equally priced hotel in Notting Hill--filthy and delapidated--and was prepared for the worst. Much to my surprise, the HLS is a spotless and charming property in a convenient area, well served by taxis and buses.My room (no. 8) was light and airy, with a large balcony. My business partner, an elderly man, stayed in no. 17, as we thought it would be nicer being on an upper floor. Though adequate and clean, it was, by comparison, less appealing.Great showers, excellent breakfast and a very helpful staff. In particular, Peter, one of the two owners (twin brothers, by the way), was always attentive and seemed interested in us as people, an unusual occurence. One small flaw: no elevator, so you must take your luggage upstairs on your own. All in all, a superb place to stay for the money and the service included.	
Apr 8 2008 	Spotless and well maintained	This was my first stay at the Luna Simone. I used the TripAdvisor reviews to select it, and later found out that a friend has been staying here for 30 years. The room was small, but well appointed. I shared a spotless bath, but what impressed me most was how well maintained everything was. It almost looked like new construction.The staff was friendly and helpful. Making a reservation was not stressful, and my request for a low floor room was honored. All in all, great value for the money.	
