	Great place	Stayed here on weekend of 28th Nov, with 3 other ladies. Was brilliant room, great value for money. Cant knock anything, it was fab. Would definitely recommend. The location is ideal and the tube is right outside the door. The staff couldnt do enough, it deserves its 4 stars. Kensington is a lovely place, very quiet and safe.	
Nov 29 2007 	Fab Location	We really loved this Holiday Inn for one major reason: the location. Kensington is THE place to see how the fabulously wealthy live their lives in London (because who else could afford a flat or home in that area?!) The best for us was just exploring the area around the hotel - we did this every day of our stay, just checking out the neighborhood with all the trendy restaurants, cafes and shops. If you like exploring a city by foot, this hotel is an ideal place to stay. As for the rooms, they were comfortable and tastefully decorated. Our room was a bit bigger than the Holiday Inn room we had at Russell Square. This might have been just luck, or the rooms might be a bit bigger in general - I don't know. The only drawback to staying here was the facade of the hotel itself - it's a huge skyscraper that in a posh neighborhood like Kensington sticks out a bit like an eyesore. The hotel really is quite big with 27 floors of rooms - one of the biggest I've ever stayed in. But hey - at least you can always figure out which direction to walk back!	
Nov 10 2007 	Good location for the kids half term break	Modern interior, nice...Parking £26.50 per day...Traffic wardens are hovering everywhere. Reception team were bubbly!Breakfast was manic lots of half term families and saw management working on the floor!! The breakfast room did not seem big enough for the capacity...q's were evident!!Seemed a well run hotel!!!Clean rooms, expensive internet connections......	
Nov 5 2007 	Handy for the Albert Hall	Stayed for a couple of nights when going to a concert at the Albert Hall.Fairly anonymous in many ways, but there is a reasonable lounge/bar and a little garden, which is quite unusual.I agree with what many have said about the concierge service. They don't go out of their way to help, but were certainly ok when asked for help with storing cases etc.We had a double executive room with two massive beds so we could accommodate an extra guest. The room was fair sized and the bathroom was good.Our room faced the main road, but the double glazing was highly efficient in keeping out the noise.One of the main attractions is that it is on the doorstep of a tube station, which makes transport around London really straightforward. The Albert Hall and the Kensington museums are just a stroll away and there are quite a few eating places nearby, as well as a range of convenience shops.Nothing exciting as hotels go, but worth considering if you want to be handy for the surrounding attractions.	
Oct 23 2007 	Great location - lovely hotel!	We stayed here for 3 nights on a long weekend, October 18-21 2007. It is located right across the street from the Gloucester Road tube stop, on the direct line from Heathrow, the Picadilly Line. The room was spacious and clean with space for 2 double beds, and a small table with 2 chairs. It had everything we needed - a fridge, a TV, a coffee maker, a safe, a hairdryer, and a nicely sized bathroom with a tub/shower combination.The English Breakfast was very good and also included some healthy choices, which we appreciated. The service and staff were very friendly and accomodating. There is a nice bar area with an outside garden, not too big but very nicely kept and next to an old church. Beautiful! .The best part of this hotel is the location, and the number of great pubs and restaurants nearby, as well as a Starbucks, Boots pharmacy and Waitrose grocery store right across the street! It is within walking distance to the Victoria and Albert Museum, the British Museum of Natural History, Harrods, and Kensington Palace.	
Oct 19 2007 	Love this hotel!!!	This hotel was wonderful!! We used Holiday Inn Priority Club points to book our stay. I wanted to stay near Green Park or Mayfair but they weren't available. So after looking at reviews on this website, I decided to try the Holiday Inn Kensington and I'm so glad I did! We arrived bleary-eyed from Chicago at 7:00am and the concierge very graciously stored our luggage so that we could begin sightseeing. When we returned later in the afternoon, check-in was effortless and the staff were very friendly and helpful.My husband and I had never been to London or the UK before so I was just hoping for a room that was clean. I expected it and the bathroom to be small. But our room was beautiful and generously sized and the bathroom was great! We asked for a garden view and got it. There were french doors which opened up to a lovely view of the fall foliage and a churchyard behind the hotel. We slept with the doors open each night.The Gloucester Tube station is right across the street and accesses three of the major lines so we were able to get around the city very easily. There were also a lot of restaurants and places to buy snacks right outside the front door of the hotel. A Big Bus Sightseeing Tour stop is also nearby.After seeing the city, I was so glad that I hadn't stayed in Mayfair or Green Park. The HI Kensington is in a lovely residential neighborhood as opposed to a busy tourist area. After napping in the afternoon, my husband and I decided to take a short stroll up Cromwell Road. We ended up walking all the way through Picadilly and down to Trafalgar Square. It was 11:00pm on a Friday night and we didn't feel unsafe at any time. (And that's saying something for me!)Don't confuse this hotel with the Holiday Inn Forum just up the street. I didn't visit it but it is a high rise that , from the outside anyway, totally lacks the charm that this hotel has. The next time that we visit London, we will definitely stay at the Holiday Inn Kensington.	
Oct 18 2007 	Good value for London	For a European hotel, this Holiday Inn has fairly large rooms and you can get two double beds. I found it to be modern and the staff was friendly and approachable. Nothing is cheap in London, but this hotel offers alot for the value, and the location is good. There is a tube station across the street and lots of nice restaurants within walking distance. Don't confuse this Holiday Inn with the Holiday Inn tower across the street. You will find that one a big disappointment. Make sure you book the one at 100 Cromwell Rd. Another piece of advice, don't put alot of faith in the concierge. I don't think we got good advice a single time and I don't think they are from the area or know it very well.	
Oct 12 2007 	Decent value and great location	We went to London to see the start of the Tour de France and catch up with friends having lived in Kensington for six years. The hotel's clients include tour groups such as Viking cruises and others. Check-in and check-out can at times be a bit of a wait despite the number of staff on hand but they do make an effort to make it as quick as possible. Despite the double glazed windows, I would recommend requesting a room away from the Cromwell Road side at the time of booking and also repeating the request at check-in, otherwise you will have some street noise from one of the main routes into the city from the West.The rooms are small but well equipped with telly, broadband, mini-bar, tea kettle, etc. and adequate storage space. We only ate breakfast and had included this in our booking, full cooked brekkie versus continental. The food was very good and included black pudding but unfortunately for the cholesteral busters, no fried bread. Ha ha, full English is great! There are also plenty of restaurants and pubs in the area. There is also a market across the street so you can stock up on nibbles and beverages to avoid the usual mini-bar markup.The hotel is one block from the South Kensington tube station which gives you access to both the Circle and District lines. I highly recommend getting a one week, Zone 1 underground card and this should take care of most of your sightseeing/visiting needs. Black cabs are quite expensive on the global scale, perhaps only topped by those in Tokyo.The last time I stayed in London for pleasure it was at the Milestone, a great hotel with a fine location but quite pricey. Despite my trepidation about Holiday Inns, primarily based on my US business trips over a 20 year period, I was pleasantly surprised with my stay. That being said, I will likely be staying at a smaller, local hotel in Kensington the next time I visit.	
Oct 4 2007 	Good Value for London!	Finding hotels in London with 2 double beds is sometimes tricky...but this hotel has this feature along with decent bathrooms! Have never booked with breakfast so cannot comment on that. Across the street is a supermarket where we pick up juice, yogurt and muffins. Tube is across the street as well. Many muesums are within walking distance Ask for a room on the garden side for better views and quiet! ( There is another H.I. Forum nearby not to be confused with this location!)	
Sep 30 2007 	Great for Families!	I give this hotel 5 stars for the price-quality ratio.... It is an honest, clean place to stay in central London for a good price.It is NOT a 5 star luxury hotel!! But for 200£ a night for 4 people in a split-level duplex in Kensington, I challenge anyone to find a better deal (please send me a message if you do!)Here is the good and the bad:GOOD:+ This hotel is great for families.+ They have duplex family rooms - HUGE space for London standards... Clean &amp; fresh bedding, etc... I was able to book for 4 people less than 200 £ a night on the hotel website.+ We found the concierge and front desk service absolutely charming and helpful: concierge coming out to the street to hail a taxi, agreable, ready to reserve restaurants etc....+ Hotel service was also good: when a second duvet was requested it arrived at the room within 20 minutes; when a 2nd sheet was requested another day ditto.+ Location is terrific: next to Goucester tube station; bus stops right outside the door; walk to Science museum &amp; Natural History museum, V&amp;A., Harrods....+ safe neighborhood with plenty of local restaurants to choose from without taking a cab.... but a 15£ cab ride from the theater district (depending on the traffic). Ask pizzeria across the street is indeed very nice, not a big chain, with lovely thin crust pizzas &amp; banquettes that tired kids can fall asleep on!+ Very good sound-proofing; we were on the 1st and 2nd floor on the street side, but not bothered by the very busy traffic whatsoever.+ sporty Moms &amp; Dads: very close to Kensington park, great for morning jogs before the kiddies &amp; spouse wake up!+ Adequate ventilation in the rooms; I usually can't sleep without a window that opens but the adjustable fan in the room provided adequate air.+ very correct English breakfast buffet, with the typical eggs, cumberland sausage, ham cheese, yoghurt, fresh cooked mushrooms, (canned) beans, but also lovely fresh fruit and melon, and a large selection of cereal.and the BAD:- Busy street = &gt; hold hands with kiddies outside the door! (But once inside the hotel we did not hear the noise; if you were on the garden side you would be in another universe entirely).- Windows in the suite didn't open (maybe just as well since busy noisy street).- You are PROBABLY NOT GOING TO GET THE EXACT ROOM YOU REQUESTED garden facing =&gt; overbooked, good luck!; Single bed, Double bed, Twin... not guaranteed! If you are picky=&gt; BOOK A FLEXIBLE tariff, arrive before 4 pm, and threaten to cancel &amp; walk out if they don't give you the room you want... (Have another flexible tariff at a different hotel in your pocket just in case they are really overbooked!)- A bit far from the theatre district (but close to the tube and the bus route stops right in front of the hotel too).- Fitness room was under construction - no sauna!- Sense of humor needed for the bathrooms &amp; plumbing.... Once you have learned the pump &amp; hold technique of the toilets all is OK.- Rooms are not all created equal.... ours had very old plumbing and felt just a bit seedy (peeling paint, dust around the windows, and grime in the corners of the bathroom, older fixtures and creaky drawers...) But the bedding was fresh crisp and clean. Overall: totally recommended as a great place to stay in London, especially with kids if you are planning a trip to see the south Kensington museums....Tip: booking thru the Holiday Inn website was great and we got a price that was less than half that posted at the reception deskTip: week-end stays are highly discounted compared to weeknights.	
Sep 27 2007 	Average stay. There are better hotels in London.	Check in is 2pm so we arrived on time only to be told that the previous occupants of our room had had a late check out and our room would not be ready for another hour. This seems to be a recurring theme for this hotel from reading other reviews.We stored our luggage and went across the road for lunch. When we arrived back our room was ready. I had booked a 2 bedded duplex apartment and had asked for the sofa bed to be made up. On arrival at the room we found that the sofa bed had NOT been made up. I called housekeeping and it was quickly rectified. My daughter lay on the sofa only to find that it was very uncomfortable and sank in the middle. I reported this to housekeeping and they offered to change the mattress but this didn't happen. The rooms were clean and the rest of the apartment quite attractive except for a rather nasty stain on the sofa. The upstairs apartment had a lovely little balcony that you could sit on and look out at the London skyline. The airconditioning worked upstairs but not downstairs and we had to call maintenance to fix it which was done quickly.We stayed for 2 nights. When we needed some information about store opening times and locations staff did not seem to know and those who gave us info proved to be wrong.The breakfast was average fare and for the price of the weekend away i would chose somewhere else next time. It just didn't live up to expectations. However the location is convenient for the museums and Harrods.	
Sep 26 2007	So-so but what did you expect? This is London.	Good location. Cheap for London. Clean enough. Bland. The staff were not super competent or friendly but not bad either.	
Sep 25 2007 	Outrageous and very small postage stamp size room....	Don't stay here unless you want lousey service anda dinky room with no where it sit or move around the bed.I was shocked at the minerature appointments in the room.You could not wheel a bag past the bed. the door openingwas only door wide. Its simply a sham for 200Lbs pernight. The breakfast was simply plain and simple.Would not let you check in before 3pm.There are better places to stay in London.	
Aug 23 2007	Worst Service  Not Recommended	Read all the reviews for this hotel and thought it would be great for my husband, myself and 17 month old daughter. We got to the hotel and room wasn't ready, which is typical for a London hotel. Check in was 2:00, we never got our room for over 1 1/2 hours, although they kept saying they were currently cleaning it. We were told to go to the bar for a complementary beverage. We ordered beers, and then told beers weren't included in the &quot;comp beverage&quot;, OK then we ordered a Coke and glass of milk for our daughter. We got our bill and had to argue with the bar staff that these were supposed to be complementary. They begrudgingly took them off our bill. The room was OK, wasn't the cleanest, I don't know what they were doing for 1 1/2 hours to clean it. There were articles left from the previous guest in the room. During our stay they never vacuumed the floors when they cleaned each day. Traveling with a 17 month old the floors were filthy. The dust on the lampI could write &quot;Please dust me&quot; on it, I sure it will be there for weeks to come.We took some baby food to the bar area to ask them to heat with their microwave and they refused to heat it. Against hotel policy.The room we had was a duplex, upstairs and downstairs, which was the primary reason we booked the hotel. This suited our needs traveling with our baby, however the staff were the worst I have encountered in along time, and both my husband and myself travel extensively.The bell staff just stands there and offers no assistance with baggage, or help open doors when you are struggling to get a stroller in through the narrow front door. They never move from their bell desk.I would not stay at this hotel again and wouldn't recommend it.	
Aug 22 2007	a great hotel in a great location	This hotel was great. It is in a very convenient location, right across the street from the tube. It is also near two grocery stores, great for picking up cheap breakfast food. (tesco's and waitrose).The room was immaculate, and a good size (unusual for london). It has a/c, which was appreciated in august.The room also has a safe, tea/coffeemaker, comfortable beds.We had a room with a garden view on the fifth floor- very quiet!The staff was very friendly. The hotel also has a restaurant and lounge, and a garden restaurant. It is near to a few Italian restaurants, fast food places. It is only about a 15 minute tube ride to central london. The area is safe and convenient.We would definitely stay here again.	
Aug 6 2007 	Great price great location great all around	I wanted a hotel that had two queen beds, which seems virtually impossible to find in London (maybe I didn't look hard enough!). Expecting a teeny-tiny room based on my U.S. standards, I was pleasantly surprised to find the room good sized for 3 people. Also, as read in previous reviews, I requested a room that overlooked the garden and I was not disappointed! I don't know if road noise would have been a problem, but the garden view was a tranquil sight.Check-in was very efficient. Conceirge held our bags after we checked out for free.Tube stop is RIGHT across the street. Totally worth it not to have to haul luggage all over town. Also a grocery across the street (Waitrose I think) and got lots of good English snacks instead of opting for the hotel restaurant.Room was clean, but the shower seemed to be growing a little mold. Also, the tub was QUITE a step up. It was a stretch for someone who was average height.Couldn't find the hairdryer at first. It was hidden under the desk. Strange.Overall, I was very happy with the location and hotel. I loved how the exterior was English quaint.	
Jul 25 2007 	Perfect hotel experience in every way	I stayed here for one night during my recent overnight trip to London and had chosen it based on the location, price and positive reviews. The Holiday Inn Kensington (not to be confused with the H.I. Kensington Forum high-rise monstrosity nearby) did not disappoint! I can honestly say that everything, from my check-in up until my check-out the next day, was excellent. The employees I encountered were very polite, helpful and friendly. I had requested a quiet room at the back of the hotel when I made my on-line reservation via the hotel's own website. Even though I did not have a garden view, the room was certainly extremely quiet. Other great things: the room was very clean, very BIG for a London hotel room and reasonably priced (I definitely recommend using the &quot;advance purchase&quot; option when booking). I really loved the location - across the street from the Gloucester Road tube station, so I was able to come here directly from Heathrow via the Piccadilly line. It is surrounded by wonderful restaurants and shops (Boots, Tesco, Starbucks and Waitrose were especially appreciated!). The hotel is only one tube stop away from all the great shopping at High Street Kensington. The minibar was well-stocked and not overpriced, and the breakfast, although a bit pricey at £15, was satisfying.All in all, a great hotel experience and I would definitely stay there again when in London.	
Jul 10 2007 	Fabulous hotel for families	We stayed at the Holiday Inn, Kensington for one night in July 2007. The hotel is in a fabulous location, just across the road from Gloucester Road tube station. The Natural History Museum (free entry) and the V &amp; A are just a short stroll down Cromwell Road.We arrived slightly early so enjoyed a nice cool drink in the enclosed private garden at the rear of the property.The family room was situated on the sixth floor and had two double beds plus the usual amenities. The room and hotel was extremely clean. The beds were comfortable with a pillow menu available if required. We had an early start the following day so organised breakfast in our room ... a less stressful option when travelling with two small children! The food was good but unfortunately the staff had forgotton the butter ... this is such a minor complaint for a hotel that I recommend very highly and will definitely use again when visiting the capital.	
Jul 1 2007 	Great Location	Super easy to reach this Holiday Inn by metro from Heathrow Airport! The Gloucester metro stop is literally across the street. This makes the hotel a convenient location from which to embark on one’s journey exploring London if willing to do so using the metro.The room was clean and comfortable though quite small – which is typical for a big city hotel. My husband and I traveled with our 13-year-old and, although there was certainly no “extra space”, it was adequate. There is a nice grocery across the street. The food at the hotel is wonderful – but expensive – as is just about everything in London (during our trip it was 2.1 dollars to the pound!!). Kids under 12 do get breakfast free at the hotel. Breakfast is especially tasty and filling as it is an all-you-can-eat buffet with a variety of choices.There is a lovely garden / courtyard off the back of the hotel – an especially nice treat in the big city. Meals can also be taken there.The staff is multilingual and eager to be helpful. Internet access is available in the hotel’s “Business Center” – but it is expensive.If staying in this hotel we recommend traveling via Heathrow rather than Gatwick because transportation to Gatwick is either by taxi, private car hire, or express train from Victoria Station – all of which are costly (it was approximately $78.00 for our family of three to travel on the train to Gatwick one way when we left London – and that was the least expensive means of travel. When we arrived in London we came in at Heathrow and took the metro for under $12.00 US!).	
Jun 16 2007 	Great for Girly Weekend!	Stayed at the Holiday Inn Kensington for a girly weekend. We did try to book into the Kensington Forum hotel first, not realising it was the wrong one! Location was great, only a few seconds walk from the tube and 10 mins walk to the Victoria &amp; Albert museum and approx 20mins to Harrods. There were a few shops, bars and restaurants in the immediate area, which were great to grab a drink and food after a few hours travelling.We checked in very quickly and were directed to our rooms, we had booked rooms for four people (two double beds). There were eight of us and we were given adjoining rooms, which were ideal. Staff were very friendly and assisted with everything we needed, we ordered room service in the early hours which was sent quickly with no problems.We didn't go to the bar or restaurant, so could not comment on those areas but the general service we experienced was great. We were able to leave our bags with concierge after checking out, so that we could go and explore the city.Rooms were very clean, comfortable and tidy. Overall I would recommend this hotel, its a good price compared to others in the area and its easy to access all nearby facilities.	
May 19 2007 	nice hotel nice place	this is a nice hotel, close to the town center, close to the tube, nice rooms, nice staff, nothing to say, I always stay there when I have to do in London, the rooms could be a little bit newer, but it is very english like, carpets, old england.	
May 18 2007 	Nice Hotel	Needed a hotel that accomodated a family of four. Their own website offered the best deal and allowed booking for 2 children. We also required a babysitting service and was able to sort this via emailing their housekeeping department, who were most helpful. The location was superb as it was just across the road from the Gloucester Tube station and only a short work from Natural History Muesum, Science Muesum and the V &amp; A. It was only one stop from Earls Court too. On arrival I was impressed with the lobby area and the staff served us very quickly.The room was very clean and smart though slightly smaller than I had anticipated. We had 2 large double beds and a nice view of the gardens. Housekeeping had left all the details of the babysitting service which was booked through an agency. One reason we choose the hotel was the very nice enclosed garden which can be reached via the excellent bar. I was slightly disappointed that we could not sit outside after 10pm.Beds were comfortable and the bathroom in excellent order offering shower and bath. Breakfast was superb and the choice of hot and cold food very good. All staff throughout our stay were friendly and helpful.Overall a pleasant stay.	
May 15 2007 	Great Location - Avoid the Bar!	My wife and I stayed here for two nights just before Christmas. Not really a lot to say - it is a typical, European, Holiday Inn. We had a standard, no smoking room, which was clean and comfortable although the room was initially cold due to the fact that the heat does not work without the room key in the &quot;activation&quot; slot near the door! Once we realised this, it was not a proble.Breakfast was included in our package and was fine.The only &quot;bad&quot; point was the bar - it has absolutely ZERO atmosphere, and the prices were the highest we paid in London - bordering on daylight robbery! Fortunately, it is a short walk to some very good pubs!	
May 6 2007 	Good hotel but some flaws	Stayed for a wedding anniversary weekend. Good facilities and generally well kept hotel. Reading between the lines of other reviews perhaps we were a bit picky but we had too many similar problems. Arriving late on Friday we had booked a smoking room but found ourselves in a smelly smoking room. Hungry and tired we just wanted to settle in so it wasn't a good start. We woke up next morning ready for cup of tea but found the kettle didn't work. The TV was also not working - we later found it worked if you wiggled it around a bit but I'm sure the receptionist didn't believe us. The wedding in the restaurant had unreasonably loud music and they offered to move us to another room - bit daft at 11.30pm at night! As we left three people complained about their room cards not working. Still - if all goes well you will probably have a great stay. Lots of decent restaurants nearby and convenient for the bus and tube. The rooms are tidy and clean. Breakfast was fine. We went to see Hound of the Baskervilles - that cheered us up no end - well recommended.	
Apr 29 2007	Good hotel pleasant stay	Stayed here in April 2007 for one night, for an event at the Royal Albert Hall – Very conveniently situated for this (about 15-20 minutes walk).We had booked an ‘executive room’ through the Holiday Inn website, and requested a room overlooking the garden. However, on arrival we found we had been ‘upgraded’ to a duplex suite on the 1st/2nd floor, overlooking the road. This was fine - although I think I might have been a bit happier with what we had actually booked! Although we had said three people would be in the room when we booked, we had to ask for the sofa-bed to be made up (and for an extra bath towel) when we arrived.I can see that the suite would be nice if you are staying a while and spending some time in the room. However, as we were not in the room much, we didn’t find it was an advantage. The upstairs area was relatively small, but this is where we spent most time because this is where the main bed, wardrobe, bathroom &amp; tea/coffee facilities are located. We had a teenage child with us, but I think I might have been a bit worried about very young children on the spiral staircase between the two floors.The room and bathroom were clean and in a fairly good state of decoration, and well equipped.Although we were on the road side, we weren’t too bothered by road noise, as it is double-glazed. The air conditioning was a bit noisy (more so than the traffic), but effective. The lounge-bar is nice, overlooking the very pleasant garden at the back of the hotel, and serves good, reasonably-priced (for central London!) light meals. We used the hotel restaurant only for breakfast, which was excellent – very nicely presented, and a high quality buffet. (I would also recommend the 'Ask' pizza restaurant opposite, where we had our evening meal - great pizzas, good value and friendly and very quick service.)Check-in time is 2pm, and check-out is 1pm, which we appreciated. (However, when we returned to the room at 12.30 to do our final packing, the chambermaid had already started to service the room – despite the fact that all our things were still there!) The concierge was helpful with keeping the bags until we were ready to leave later in the afternoon.Overall, however, a good hotel and pleasant stay – I would be very happy to book here again.	
Apr 29 2007 	Highly recommended	We stayed here for two nights over the weekend 20-22 April with our 4 year old son. It was great. We asked for a quiet room on booking, and we got one - a first floor room overlooking a lovely garden. We checked in earlier than recommended - no problem, the room was ready. The family room was large and comfortable with two double beds (allowed little un to sleep sideways on it!), well stocked minibar, table and two chairs. The bathroom was a nice size and the shower was excellent. The cleaners were efficient and silent. On the second night we ordered room service and it was very good with quick delivery.The staff were all courteous, and efficient. The food at breakfast was excellent and plenty of choice, from cold meat and cheese buffet, lots of fruit, cereals, cooked choices. The attention by the staff also excellent - discreet but attentive in terms of clearing tables. On the second morning (like an earlier reviewer) we were given a table overlooking the garden which was a nice way to enjoy breakfast.I must say that the service by the concierges was excellent too - especially Karim who made a special point of smiling and asking us how our day went, striking up a lively banter with our son too, when we returned each day - remembering what we had planned to do.The location of the hotel is very good for Kensington Gardens and the excellent Natural History Museum (both of which are about a 10 minute walk away). Lots of bistros/restaurants nearby and Gloucester Road tube is across the road.Only one thing stops this getting the full five out of five and that is in the early hours of our last morning our non-smoking room suddenly became filled with the overwhelming smell of cigarette smoke which woke us up. We figured that something was whirring through the aircon system or it could have been that we were above the bar which (although there was no noise whatsoever) allowed smoking (something which has quickly come to feel terribly uncivilised for those of us coming from countries where smoking in enclosed public places is now banned!). So the recommendation here is to ask for a quiet room but not one above the bar until the hotel bans smoking in its public areas.However, this place comes across as a smart, well run and well maintained establishment, with well trained and friendly staff. We will definitely book this hotel again on returning to London, which hopefully won't be too far in the future!	
Apr 28 2007	very nice hotel	We just returned from 6 nights at Holiday Inn Kensington. We arrived at 10 am and were offered a street side room immediately or we could wait until the afternoon for a garden room. Since we were exhausted we opted for the street side room which was ok. Some road noise but not bad. The next day we requested a garden room and they were happy to move us. Some rooms seem to have smaller windows, especially upper floors. If possible request a room with small balcony because they have double doors. Our room was on the 4th floor and had a smaller window but it was a nice view. The rooms are very quiet without any noise from neighboring rooms. Lots of restaurants in the area but not too much shopping. One stop on tube to High Street there are tons of stores. Next door to the hotel their is a post office with maps and some souveniers. We had a good meal at Prince Regent Pub on Gloucester and Ask Pizza across the street. Waitrose has everything including a salad bar. Hotel had good buffet breakfast which was free for my 11 year old. Beds are very comfortable, lots of water pressure in shower, no clock in room but there is a hairdryer. Desk clerks and concierge were very nice and helpful. We loved this hotel and would go back. Check your bill because we were billed for lots of mini bar drinks we never touched. They were happy to credit us. There is a comfortable lounge with a flat screen tv if you do get stuck waiting for your room.	
Apr 22 2007 	location location location	We stayed 2 nights at the Holiday inn Kensington for a shopping/football weekendWe have stayed in several parts of Kensington before in hotels in the Kensington High Street and Holland Park areas, and love the proximity to the West End whilst staying in a good area of LondonWe drove down from the North East and found the hotel quite easily, though after a long hold up at Shepherds Bush/White City where a new shopping centre is being built . Although the hotel is in the extended congestion zone charging area, this does not apply from Friday evening to Monday morning so we did not have to worry about thatWe left the car in a bay around the corner whilst we checked in, and the very helpful concierge issued us with a pass to park in a secure underground car park at a block of apartments over the road, and even gave us a map to explain how to negotiate the 1 way system around the hotel. Parking was £25 per day, not cheap but less than we have paid previously in the same area. Check in was fine and quick, and we were fortunate to be given a complimentary upgrade to a split level suite. This was a standard size double room with a spiral staircase leading to a lounge area with sofa, table and a 2nd TV downstairs. This had satellite channels as well as terrestial ones. There was also a selection of magazines. Whilst the facade of the hotel is traditional in style the rooms are fairly modern in design.The bathroom was good with decent toiletries, 1 bathrobe and pair of slippers ( always wonder why there is only ever 1 in a double room). The power shower was excellent.Our room was at the front of the hotel and traffic noise was unavoidable from Cromwell Road outside, though we slept well anyway ( the back of the hotel overlooks a small hotel garden so is probably much quieter)The location is superb, with Gloucester Road tube 2 minutes walk just over the road, and a good selection of supermarkets, pubs and restaurants in the immediate vicinity ( would recommend Pizza Organic where we ate on our first night). Harrods/the Knightsbridge shopping area is 2 stops away by tube and is probably a reasonably short walk. The V &amp; A museum is also just up the road. On driving home we discovered another small area of shops and restaurants in Gloucester Road in the direction of Kensington High Street, again within 5 minutes walk of the hotel.The breakfasts were very good from a buffet selection, with a choice of cooked items and fresh fruit. This is served in a function room, though on the 2nd day we were given a gardenside table in a smarter, more &quot;restauranty&quot; area just off the main room. There were plenty of staff and tables were cleared very quickly, and requests for hot water etc were dealt with immediately.The hotel staff were very helpful and gave us tube and street maps, and we used the hotel bar looking out over the small rear garden which was very nice.On the 2nd night there was a Karaoke night in the function room, which made some noise ( the lower bit of our room was on the first floor above) , but after a couple of glasses of wine in the bar we slept anyway.Our only regret was that we didn't stay longer, and we would definitely stay in the area again and probably in the same hotel.	
Apr 12 2007	Very Nice Place to Stay	My son and I arrived at the hotel around 10:30 a.m. and were offered a smoking room (I reserved a non-smoking room) if we wanted to check in immediately. They offered to allow me to go up to the room to see if the room smelled like smoke and if I wanted to keep the room. Not only did the room not smell like smoke, we didn't smell any smoke in the hallway during the 3 days we were there.We were on the 6th floor and faced the garden and church. Unfortunately, our window was rather small so I couldn't enjoy looking out at the garden and not much light was let in. If we stay there again, I would ask for a room on another floor.The beds were very comfortable. The rooms were also very clean. The toilet was a bit tempermental, however. Sometimes it would flush after one try and sometimes it would take 4 or 5 tries. The caulking around the top of the tub also needs to be replaced. There is an ice machine on the 6th floor, but it was broken during our stay. There was a working ice machine on the 5th floor.The hotel is in a wonderful location. There is a post office next door (to the left) to the hotel. There is an ASK pizza and Garfunkel's restaurant directly across the street. An internet cafe and ATM machines are just around the corner. Turn left out of the hotel, go to the corner and turn left. The internet cafe is on your left in a basement store. The ATMs are also on the left.At that corner, if you cross Cromwell (the road the hotel is on), there is a Waitrose grocery store Arcade to your right. ASK pizza and Garfunkel's and a coffee place are in that arcade, also. If you walk past Waitrose, you'll find Gloucester Rd. tube station. Directly across the street from the tube station and Waitrose are restaurants and stores. These include Organic Pizza, Burger King, Starbucks, Paul's (pastries and cakes), a pasterrie (where we had breakfast each morning), a Tesco Express (with ATM outside) and other restaurants farther down the street.We took a taxi to and from the hotel and Victoria Station. The cost was £10 which included the tip. We had no problem getting a taxi at 5:50 a.m. outside of the hotel to take us to the station.Overall, this is a very nice, comfortable hotel with a couple of minor cosmetic problems in our room.	
Apr 8 2007 	Great Hotel great location recommend for families	We stayed in the Holiday Inn Kensington (100 Cromwell Rd) for 4 nights in early April 2007. We are a family of 5 with kids aged 7, 5 and 2. After trawling through the limited amount of hotels that can accommodate a family of 5 we came across this one. They offered us a suite which is split levelled and was perfect for our needs. We entered into a standard sized double room with ensuite which had a spiral staircase leading down to a further room below which had a sofa bed, t.v., table and chairs etc., this transformed into the kids sleeping area at night. It allowed us all have our own space and meant we were not lip reading the T.V. after 8 p.m. with our sleeping children in a bed beside us which has happened in previous hotels!The hotel is excellently located opposite Gloucester Road tube station and just down the road from National History Museum. It has a lovely garden at the back which was brilliant for the kids to run off steam straight after breakfast in the morning. Breakfast was great with anything you wanted on tap all self service - even down to making your own toast in toaster which I found a bit tedious! We didn't eat any other meals in the hotel but did witness people who did and it looked acceptable fare. Had an Ice machine outside the lift on each floor which was handy. There was a leisure centre in the basement. T.V. was good with all usual channels and kids had a choice of CBBC and CBeebees. Movies could have been more up to date but they did have a choice of kids movies you could order too which I was impressed by. There is a Waitrose across road open til 9 each evening and a small tesco around corner which is open 24 hours. Also a starbucks and illy across street. There was a few Pizza places a burger king and a garfunkels within walking distance. I would definetely recommend this hotel to families. We were there the week before Easter and there seemed to be lots of families staying there in addition to ourselves. The suite worked out at 300 euro per night for all 5 of us and that included breakfast. Given the great location and use of garden I think it was worth every penny. We would definetely use this hotel again when we are next in London.	
