	Very nice would certainly revisit	I visited this hotel for 7 nights this November, and I was very pleased with the service that we received relative to the good price that we paid for our stay. The hotel is in a relatively central location, just minutes away from the tube. The room was basic but had whatever was necessary to make our stay a good one, cleaned and having fresh towels provided on a daily basis. Breakfast was a good one, with fresh fruit being really fresh, whilst the hotel environment and staff were extremely helpful. This hotel is ideal for anyone looking for a centrally located budget hotel in london for a very good price, and we'd recommend this hotel to anyone.	
Oct 31 2006 	Rooms Not The Same As The Pictures	Checked in to this hotel. Went to the room. Came right back out and checked out.Only a few of their rooms are remodeled. I stayed in hostels as a college student that looked better than the rooms that are not remodeled. The beds sagged several inches before laying on them. I could feel the springs poking through the mattress cover. The carpets were shredded and pulling apart at the seams. I would have had to leave my socks on to enter the bathroom and to take a shower.Ended up paying 2x as much for another last minute reservation at another hotel.	
Oct 19 2006	Ok for some but not others	When I first stayed here, I was new to London (only stayed at another hotel the first night). I was expecting the worse (as I did not book and was not paying for the hotel). The first thing I saw was the small and quiet square it sets on. I entered the lobby and found the reception to be fairly fast and accomodating. The lobby and public rooms were quite modern and chic (on the budget side) looking. The only problem I first saw was the very tiny and slow elevator, which you could out run on the stairs without actually running. Overall, I can overlook that part. The parts I cannot overlook are:1. Smelly halls and room: not terribly smelly, but they could have a redo of old and warn carpet and that would do the job. 2. Stale cigarette smelling sheets: The bed smelled still of someone's smoke. 3. The creaking floor: The floor made ALOT of noise when you walked in the room or the hall. 4. Terrible bathroom: No washcloths and constantly smelled slightly like urine.5. Prowlers: Someone went into my luggage while I was out at least two times, perhaps three times. I could not find several of my things after I left (which I could have left behind, like foot power).The parts that are worth mentioning are:1. Good location: very nice area of Bayswater, near the Bayswater, Queensway and Notting Hill Gate stations (a walk though).2. Quiet: Other than a few loud voice in the hall, the hotel and neighborhood seemed quiet. 3. Breakfast: The breakfast was not bad, but free, mainly continental, with a selection of bread/roll, cereal/yohgurt, milk/juice/bottled water, and tea/coffee/chocolate.Overall, it think this place is dumpy by my standards, but for the price and its location in London, a slightly below average place. I stayed here three nights and that was enough. It would be okay for maybe only one night, but I would not push it any longer than that. I figured that the place was about £90-£100 a night. My first night I stayed at the Holiday Inn Kensington, which was a full service hotel for about the same price. However, that hotel had some short falls as well, but was a more comfortable stay, a more central location and about he same price.	
Oct 16 2006	Cosy hotel	We stayed there for 3 nights and had a lovely time. The staff at the front desk was so nice and helpful and ve also got very clean and spacious room, bathrobes, big choice of Tv canals, free daily papers, honestly, it was much nicer than we expected. The location of the hotel is also very convenient, just about 15minutes by tube to town centre and the whole area of Bayswater is also very nice - plenty of shops, restaurants, pubs and not too noisy.The breakfast may some people find poor, but for us it what great, you get a choice of sweet pastry, choice of yoghurt, cereal of fruit salad, everything is organic and high quality - great start of a day. I highly recommend this hotel and would definitely stay there again. Young couple from Czech R.	
Oct 10 2006 	I would stay here again!	I read and read and read all the online reviews and basicly nothing in London had a very nice rating least of all in my price rage (less then $120 USD per night, peanuts!) So I must iterate that when staying in London A) rooms will be smaller then Americana B) Bathrooms and toilets are 2 different things, may not be in your room unless specified, and will again be SMALLER C) the climate here is usually cold and although they do have an occasional heat wave it doesn't last long enough to warrant the expense of AC systems. Get Over IT! The sooner one lets go of such Hotel criteria and expectations for London, the better off one will be.That being said, I was pleasantly surprised by the Westminster Hotel and so were several friends who picked me up there (based on thier knowledge of hotels in this area being Hostel-esque.) I did get the &quot;Groove Room&quot; which is thier recently renovated rooms &amp; a few pounds more. I highly recommend the upgrade. I was quite happy with the plain white linens (yeah!) and simple beige decor! I don't think I could have handled the londonesque seemingly addiction to flower wallpaper and likewise printed bedding for 5 days. The room was small by American standards, but larger for London standards. There was an &quot;ensuite&quot; bathroom/wc and yes it was small, but we are letting that go remember? I had a &quot;single&quot; but that had a double bed (yeah!) There was an internet cafe in the lobby, an expresso bar, a regular bar and breakfast was included. The lobby and room furnishings were contemporary, new and well done.The staff was hit and miss. I had a good experience but a fellow traveler did not.... guess it depends on who you get... remember this is London where a &quot;thank you very much&quot; can actually sound contemptuous... I stack it up there with regional seasonal effective disorder....	
Oct 9 2006 	A great bargain	Just back from several nights at the Westminster. I'd reserved a double &quot;Grove&quot; room for my husband and I, and it was fine - definitely one of the rooms that HAS been recently refurbished, and very quiet both day and night. It was a bargain at 69pds per night. All furniture and fixtures were new, the bed was very comfortable with plenty of pillows and a great new comforter/duvet, and the bathroom was newly redone as well, with plenty of hot water and good water pressure. The size of the room was perfectly adequate - certainly not huge but I've had smaller rooms for much higher prices both in London and the continent. It's true that the staff wasn't very personable but they dealt adequately with what few issues we had. For example- the computers they have for guests to use (for a small fee...1hr for 3 pounds) were not hooked up to printers. When I needed to print something the staff let me email my documents to them, and they printed them right out, with no extra charge. Apparently the breakfast has recently changed from some sort of continental buffet to ordering off of a limited continental menu, still included in the price. We never attempted the cooked breakfast as the cereal, fruit, juice, coffee and croissants were enough to hold us until lunchtime. The location was excellent and we didn't experience any of the problems with the neighborhood mentioned by others. Close enough to the Bayswater, Queensway and Nottinghill Gate underground to get anywhere you want to go, but away from traffic and clubbing noise. Lots of good restaurants all around, from pubs to any kind of ethnic you want to try. All in all, we would stay at the Westminster again, it was a real value for the price.	
Oct 7 2006 	Loved the location but the room was like a cell	I stayed at this hotel with three friends. We chose the hotel based on the location mainly, and the website made it look great for the price. It was also a bonus that they provided quad rooms, which made it even cheaper (£26 each for two nights).However, I would not recommend the quad room at all - it was like a cell! It was hot and stuffy, the window would hardly open (and was difficult to access due to the bunk beds anyway!) and it goes without saying for the price that there was no AC! The bathroom was ok though, so if you're not spending much time in the room it's not a problem and has everything you need. To be honest, the price and the location really made up for the shortcomings of the room. You're only a few minutes away from Bayswater and Queensway tube stations, so you've got access to the Central and Circle and District lines, and you're a few minutes from the lively Queensway too, lots of shops, restaurants, pubs. It makes it really easy to get around and to find what you need.We were able to pop to and from the hotel a number of times, knowing it wouldn't take us too long to get where we were going, whether it was only out to eat on the Queensway or into central London.The reception staff were lovely, but we were concerned when we asked about the left luggage room and were just handed the key to go and let ourselves in - we could have helped ourselves to anyone's luggage, and seeing as they must let anyone who asks into that room, it's not actually terribly secure. Bit worrying.Our main problem was with the breakfast. The breakfast room staff were rude and unhelpful and the cooked breakfast was like nothing i've ever experienced! The meat just tasted awful (I'm a fussy eater but even my less discerning friends were disgusted), the scrambled eggs were watery etc. The continental breakfast is ok though (average, nothing to rave about, but much more edible than the cooked one and as it's included in the price, it's worth eating to keep you going until lunchtime!)Overall - this is definitely worth considering if you're on a budget, but go for a twin/double room (although I wouldn't recommend for a romantic getaway!) and avoid the cooked breakfast like the plague.	
Oct 6 2006 	Don't Even Think About Staying Here	When I pulled up in the taxi, I immediately knew I didn't think much of the area. A bit seedy and rundown. The &quot;hotels&quot; in the area more resemble hostels. This was true of the Westminster which Expedia had rated as a 3* Hotel. The reception was very basic. Hotel needed MAJOR refurbishment. There was a damp and musty smell throughout. No room service, no restaurant, there was a cafe which doubled as a bar. Service was mixed. The manager was rude and ignorant. I heard another guest complaining but she got no joy from him. The barman was rude but most of the other staff were fine. When people turned up at the hotel, the look on their face just said it all. The girl on reception told us our room was one of the &quot;nice ones&quot; on the top floor with a &quot;great view&quot; so I hoped the rooms were better. NOT. The room was poky, unbelievably claustrophobic, damp, musty, cheaply decorated, way beyond what I'd call basic. The only thing I can say is that it wasn't dirty, but nor would you call it very clean. Breakfast was not included in a twin room rate of £172 PER NIGHT and cost £5 each for a continental breakfast - no English breakfast available.!!!The location was good in terms of access to Tube (Queensway) and it was about 5 minutes from Paddington Station, but bad in terms of walking around at nighttime - youths hanging about in hostels &amp; flats blaring music and shouting things at passersby.London, however, is a great spot. Would definitely recommend visiting the Tower of London, Madame Tussauds &amp; Westminster Abbey - try for the guided tours! Great eateries &amp; pubs in Soho, Leicester Square &amp; Covent Garden.Was very disappointed in Expedia for their representation of this hotel.This hotel is more of a hostel with some added facilities - ie a cafe and internet access. It was completely NOT value for money, which was the main problem as well as the fact that the quality was just SO poor.	
Aug 31 2006 	Good hotel for the price	This weekend I spend 2 nights in this hotel. I stayed in many hotels in London and this hotel was a real surprise when I arrived !The hotel is located in the lively neighbourhood Bayswater, few minutes walk from Starbucks, all kinds of restaurants, shops, supermarkets, the Whiteley mall and 2 undergroundstations Bayswater and Queensway.The hotel is located in a quiet street so no noise from the busy streets. The hotel reception and lobby were really nice and all the staff was friendly. Breakfast was very good too ! Buffet style but with lots of things to choose from !The hotel has 2 elevators and the hallways are ok. My room no. 222 (twin room) was small but clean and everything you need. Coffee and tea making facilities and iron bord and iron. Good small room.Overall this hotel is a great hotel for this price !!(I booked through the hotelwebsite 49 GBP per night for a twin room).	
Aug 21 2006 	Great Hotel for the Price	Yes, the Westminster is an old building (originally 18th Century, if I'm not mistaken), the rooms are small, the elevator is tiny and all of you Americans will have to put up with only a few channels on the small TV. On the other hand, the price, for what you get, is great so long as you book online and not when the hotel is almost full and the prices rocket up. The service is excellent and the breakfast is wonderful. I've stayed in several hotels in the Bayswater area and this was easily the best one I found.	
Aug 20 2006 	no need to go there	When we checked-in in the hotel the first thing that suprised us was the staff. No friendly at all. Only a young man was courteous but the other members (a receptionist and an housekeeper) were quite rude and certainly do not know what smiling means. We didn't feel welcome!The room was disappointing. We paid more than 100£ a night for this 3 star hotel but we should have stay in a 1 star as the standard would not have been THAT different! We have stayed at few 1 star hotels and wanted to treat ourself for this stay but it wasn't that special. The room was small. Very difficult to open our suitcases (we had to put them on the bed to do so!). There was some stains on the blanket. The screen TV was quite big but so close to the bed that it was painful to watch the TV.The ceiling is pretty low, you feel like in a cage. The bathroom is fine, nothing exceptional but clean and clear.I don't recommand this hotel. Staff is rude, rooms are small. Spend your money somewhere else if you can. The area is nice thought, close to central London, shops, restaurants.	
Jul 24 2006 	Keep Looking	This hotel was a big dissapointment. The room that I was given was shabby. Stained rugs....baseboard pulling away from the wall...buckled wallpaper. Overall appearance was grim. The staff was nice enough but the accomodations were below expectations. No blankets on the beds....only sheets. The door was an old fashioned wooden dooe with a bolt lock that felt unsafe. Basically I stayed there as I had no other choice at the time I arrived but would not recommend or stay again.	
Jul 17 2006	Simple and Great Value	Very simple but clean rooms. The service was excellent as was the breakfast. I would stay again as overall great value for money.	
Jul 16 2006	Good area good price good stay	We stayed at the Westminster Hotel for four days in May 2006. I had also stayed there in 2005, and found this time that the rooms had been remodeled. They are smallish, but decent if you are not coming to London solely for the hotel. It is in the Bayswater neighborhood, close to 2 tube stations, and a five minute walk to Hyde Park. There are also some neat little restaurants and pubs very close by. It is close to a shopping center, and the walk to the shopping center is more noisy and hustle and bustle. However, the hotel itself is by a quiet little garden. There are some youth hostels close by, so it can get louder on the weekends. But we enjoyed it very much. The hotel is clean, and the people are friendly. They can even book theatre tickets for you, and were able to get us a discount. The area feels very safe, and it definitley helped us enjoy our stay. Also fits most budgets.	
Jul 6 2006	Never stay there again	A friend and I stayed at the Westminster for five nights in February. The hotel is ideally located in Bayswater very near Notting Hill and Portobello Road and many other attractions like restaurants, shops (Whiteley shopping centre is five minutes walking), Hyde Park... When we entered the reception, the first impression was good but when we were given the key to our room and the receptionist told us that we were on the fifth floor and that the lift only got to the fourth our &quot;nightmare&quot; began. After the landing of stairs to the fifth floor and the narrow wooden doors we had to pass in we got to our room. How freezing!! The room wasn't well insulated and, althouf¡gh the heating was on, it was really cold. At night we had to sleep with sweaters and socks on our pyjamas. The next morning we asked for a chjange but they told us that it was impossible because they were full, so we asked for extra blankets and all that we got were extra sheets; they told us they had run out of blankets. So, I wouldn't stay at the Westminster again. Its web page is great but my room wasn't similar to the ones that appear in it.	
Jul 5 2006	Avoid if you aren't a backpacker!	I booked a room at this hotel for two nights as I was staying in London on my way to and from the continent. It is rated as three-star, but one would seem more appropriate. It is actually a row of houses knocked into one. The first stay was uneventful but the hotel rooms looked very tired. I quote &quot;All rooms are quietly located and comfortably furnished to a high standard&quot;. Mine wasn't but it was OK for a one-night stay so I left in the booking for the following week. Unfortunately I asked the hotel to call a cab. It turned out to be a private car and I was charged £20.00 to Waterloo - a journey which in an official cab would be £10 to £15 at most (I came back in a black cab the next week to check). A nasty little surprise for strangers and one wonders who pockets the extra money? Also, I thought it was illegal for hire cars without meters to take people without quoting a price first? But I may be wromg about this.Second visit. &quot;Your room is XXX on the fifth floor. Take the lift and then walk up one flight of stairs.&quot; Hold on a minute, I am partly disabled and cannot manage stairs AND my luggage. A porter was summoned and my bag taken up. I could not believe my eyes! The tiny room contained two metal double-deck bunk beds, of the sort used in youth hostels 40 years ago!! I said there must be some mistake and rang reception. They said it was the only room they had left but eventually found me a room with four beds on the fourth floor. There was hardly room to move around, it was stiflingly hot, and the windows would hardly open. As it was 10pm by then I stayed, but how come when I booked several weeks before they did not tell my travel agent they only had a room with bunk beds on the fifth floor? Then I could have booked somewhere else. Again, are bunk beds for four people allowed on the fifth floor - if so I suggest the fire people should look at the dangers. Sadly, I was too shaken to take photos!Incidentally, the website claims they have trouser press and Iron &amp; board in all rooms. Not in mine they didn't.To be fair, the breakfast was excellent, with a good choice and all very fresh.But, don't stay there unless you are a back-packing dwarf. If that was an example of the room I got having booked well in advance, I shudder to think what they offer to anyone who walks in off the street.	
May 23 2006	Great value	Stayed in this hotel for 2 nights recently with my mother and thought that at £40 per night each it was great value for money. Short walking distance from Bayswater tube station. We stayed in 2 single rooms which were clean with lovely decor and a good shower. Buffet breakfast which was included in the price (£3 extra if you wanted a cooked breakfast) was really nice and plentiful. If I had to pick a fault it would be that the decor of the reception area was not as nice as the rooms and leaves you with perhaps not a great first impression. Overall I thought it was great value for money.	
May 19 2006	Mediocre at best	The Westminster in itself is not a bad hotel, but is nowhere near as good as its website suggests and overpriced for the services and facilities offered - this is a one star hotel with three star prices.The rooms are in dire need of refurbishing, with both wallpaper and paintwork peeling. The bathroom was small and poorly lit, with water pressure from the shower suffering badly. Although we were offered another room after the first night, the customer service was a little unenthusiastic. None of these problems were the end of the world, of course, but if the Westminster didn't portray itself with such high regard, it would probably have far fewer disappointed customers!	
Apr 14 2006	Enjoyed my stay	I stayed at the Westminster Hotel with my mother in November 2005 for 5 nights. The location of the hotel is excellent, near Whiteley's shopping centre on Queensway and a short walk from Bayswater tube station. Although the room was pretty small, which is to be expected in London, the room was clean and the beds were comfortable. Having been in England during wintertime before, I was afraid that the room would be very cold, but the room was warm.The continental breakfast, which was included in the price, was good, with quite a wide range of selection. It gave us a good start for the day! The staff was pretty young, maybe a little unexperienced, but very friendly. I would definitely stay here again!	
Apr 5 2006	Won't go back	This was a disappointing hotel. The room was tiny, the beds were the most uncomfortable I have slept in for a long time. My young daughter and I swapped beds after the first night as neither of us could sleep - we had both hoped to find some respite in the opposite bed but unfortunately both beds were equally bad. The mattresses were hard and lumpy and the beds were really very small. I was disturbed by noise from the adjoining rooms at night which made matters worse. The whole place is looking very tired although I have to say it was very clean although the carpet in our room was so thread-bare it was hard to imagine it would ever be really clean again. The breakfast room needs a thorough re-fit, and the selection of food was not at all inviting. The staff seemed to be young and inexperienced although they all did their best at being professional. I definitely would say this hotel is over-priced and I won't be going back.	
Apr 3 2006	Not bad but...	I stayed 4 night at his hotel. I liked the beautiful building and the location is excellent: very near Notting Hill and metro stations nearby. However, the room was very small and the WC miniscule. As I was alone and I only wanted a place to sleep with average conditions and a good location (the area is very quiet) it was ok. However I think it's overpriced comparing to others. The breakfast was ok but nothing fancy and the personnel friendly. You'll probably get the same for less money elsewhere.	
Mar 16 2006	A good little place	I have stayed at the Westminster several times. I felt moved to write a few lines here because of the review below by the lady from Bermuda. I think she may have gotten her hotels mixed up. The Westminster is no where near Victoria Station, so if that's what you want in a location this is NOT the hotel for you.The rest of her description sounded pretty close to the Westminster, except I don't recall airconditioning. At least not in my room. Another may have it, I don't know. Also, regarding the breakfast, the Continental is included in the room price. I don't know if the Westminster offers a L13 cooked breakfast, because I have their coffee and croissants and go! (The do have a nice Continental breakfast spread with fruit, cereal, yoghurt, cheese, salad, cottage cheese, croissants, juice, rolls, coffee and tea.)Anyway, I don't want to criticize the lady, but I wanted to make sure no one books at Westminster on the strength of it being near Victoria Station (again, it is not).It is near Queensway (closed until Mid-May 2006) and Bayswater Road Stations.	
Mar 9 2006	Very good deal	Good deal. If you are searching for a relatively cheap accomodation, not at all pretentious, but at the same time cosy and confortable and in an excellent position to visit the city, this is the best solution for you!Not at all expensive (we paid 298 pounds for 4 nights in a double) considering that we are in London!We had an executive double room (3d floor), no-smoking. The staff is kind and helpful, desk service is available 24 hours a day, rooms (at least the one we had - 306) are big and very clean. Good shower.Wonderful location, walking distance from Bayswater tube station, adiacent to the pretty and cosy Notting Hill area, good pubs around to go and eat/drink. Very good breakfast.Only weakness: rooms are probably a little to hot, even in winter, but not as such to complain that much about! And you may find the view from the window not that exciting (particularly if the room faces the backyard - as room 306 does).	
Feb 18 2006	Not bad for money	Decent hotel but not worth full price. Ok if found cheaper. Breakfast good in mornings and rooms clean if not a little small. Would consider stopping again. Very quiet location and easily accessed from tube. Staff were polite. Had a grove room which wasn't bad.	
Jan 19 2006	Can't really compare it to other hotels in London	Because it was my first visit and the only hotel that I've stayed at in London.The staff were nothing but friendly - and I mean every hour of the day. Even the maid was pleasant and gave me extra towels. (By the way they don't supply washcloths). They would smile and acknowledge me every time I walked in the door.I had a single room, being that it was only me. They placed me in a room that was midway between two levels so there weren't any rooms on either side of me. I arrived at 7:30am and they immediately had a room for me. Likewise for my parents who had arrived at the same time 3 days earlier. Neither of us had booked an extra night for this, they just gave it to us.The single room is very, very small. Compare it to an elongated cubicle. There was a single bed with a down comforter and a fleece blanket for the cover. No top sheet, but the comforter was to die for! Pillows were feather but hard as brick and flat &amp; small. Reverse cycle airconditioner along with a separate furnace heater, so I could run the airconditioner at night - which I did every night. The rooms were at a comfortable temperature, but it did become a bit stuffy due to the size. TV has seven local stations. And it was clean - something that I check at every hotel. They don't vacuum daily though.Bathroom is extremely small and you sort of have to rotate the handle on the toilet almost 360 degrees to flush. That was amusing but time consuming. There's a shower stall, but you can't bend down to pick up your soap. I'd say if you're bigger than a US size 12, then you'd have trouble navigating around the bathroom. I kept hitting my elbows and I'm not a size 12. My parents' room had a bathtub that was so deep that my able-bodied dad needed help getting out. In other words, you need a step ladder.Two workstations with internet access in the lobby. Payment by credit card.My stay there overall was quite pleasant until New Year's night when they put someone in the room above me at 4:30am. The floors must be wooden because the footsteps came through loud and clear. Smoking was another issue for me and it was a constant annoyance every night. My parents ate at the continental breakfast most mornings and was surprised at the end to be presented with a bill for 13 pounds for each breakfast (that's for each person). Location is about two blocks from Victoria Station (providing you come out at the right entrance) and I felt extremely safe walking back and forth alone both night and day. Victoria Station is nice to shop and eat. The Station has KFC, McDonalds (I think I counted 3 altogether), Burger King (don't forget to ask for condiments though), Pizza place, steak restaurant and other eateries. Has nice dress shops for men and women, grocery market, electronic store, record store, several small pharmacy type stores, health store, hair accessory (Claire's I think), jewelery store, Avon, book store and many many more.Pick up the bus tour (Big Bus was better than Original) right at the Station. A hint; if you're going to the London Eye, buy your tickets on the internet first. Then when you get there go directly to the machines and insert your card, and print your tickets. It will save you a LOT of time waiting in two long, slow lines (one to buy the tickets, the other to actually board the Eye). I've stayed at various hotel chains and Vegas Bellagio, Venetian etc, and I'd put the Quality Westminster as comfortable for the price. The next time though, I'll stay closer to Picadilly Circus mostly for the evening functions.Enjoy your trip!	
Jan 12 2006 	Cheap and not so cheerful	Its very typical of a lot of hotels in bayswater, in fact it's possibly better than most. Having said that though it's by no means a good hotel.Rude non english staff, who struggled to speak english add to the charm!The breakfast is very basic but at the price what do you expect.I'd advise American guests to stay away as it really isn't up to the standards you would expect. (try hilton paddington if you want a quality hotel)However its cheap, clean and in a great location.I'd stay there again as for business meetings in the area it can't be beaten on price.	
Jan 7 2006	Excellent value! We would definitely stay here again!	I stayed here with my boyfriend two days before Christmas. I found the hotel to be in a very nice neighborhood (only a couple of blocks from the Bayswater tube, and 1 block away from a cute street with nice shops - try the gourmet burger place - GREAT!). After a very long flight from California, we were able to check in early - at 1pm (just remember to email the hotel and ask if early check-in is possible). Our room was on the 4th floor and I was a bit concerned initially because it was right next to the lift. But, we had no problems with noise and although our room was very small, everything was very clean and well-maintained. We paid 44 pounds for the night, so I can't complain about the room size! Mattress was very comfortable and the breakfast was very good (good selection - as many of you have mentioned). The hotel staff were all very nice, friendly, and helpful. I'll definitely stay here again whenever I am in London. And, I should also add, too many people on this site complain about insignificant items (IE. The reception area being a bit older/frayed). If you want the Hilton, then pay the Hilton prices! :)	
Jan 4 2006	Worst Hotel I have ever stayed in!	I have to agree with the majority of people. This hotel is the worst hotel I have ever stayed in. The rooms are really small, staff have really bad attitude, you can hear the people walking from the floor above, the bathroom is small and claustrophobic and the list can go on. So in a nut shell....Dont bother.	
Nov 11 2005 	best London Hotel I have stayed in	I was not looking forward to staying here after some of the other reviews but at £35 a night I thought I could bear it. What a pleasant surprise! Staff very helpful and friendly, excellent breakfast with fruit, yoghurts, cornflakes, meats, cheese, croissants and English option ( £3 more). Room spacious with flat screen TV, desk and clean. Even more amazing was an iron and ironing board in wardrobe - I was there on business and this was great. I checked at reception and they said only some rooms had the ironing board.Internet access downstairs and a bar. Locally there are loads of restaurants from chains like Subway to ethnic. Single woman may feel a bit nervous is some of the surrounding streets which have budget hostels so stick to main road and access hotel from there. There was never a problem but my wife gets nervous as we are not used to the big city.	
Oct 21 2005	Do Not Stay At the Westminster	I stayed at the Westminster with a friend over the summer and would never recommend this hotel to anyone. When we first arrived our room was not yet ready so we decided to walk around a bit (even though we were both exhausted from our long flight) when we got back to the hotel the room was still not ready so they then gave us a room on the fifth floor. Their elevator only goes to the fourth and we had a lot of luggage with us and they had no one there who could bring our luggage up so we refused to take the room and opted to wait until our room was available. Next they gave us a room on the second floor but it just so happened that our room was the only one on the floor that had a flight of stairs leading down to it. I especially did not find this funny because I had made it clear that we did not want to lug our luggage up and down a flight of stairs. Finally we were able to get a room but I will never again return to this hotel. Not only because of the rude staff but because the rooms were awful. I understand that in Europe rooms are smaller and old but that wasn’t the problem, the room was dirty and the bathroom was worse, the bed was uncomfortable, you could hear everything from the streets at night, and you could hear people on the floor above walking around. London is wonderful city filled with plenty of decent places to stay. Do yourself a favor and do not stay here.	
Oct 9 2005	Good budget hotel	This hotel was very nice for what it is...a budget hotel. It is conveniently located near two tube stops (about 5 minutes walking from Bayswater or 10 minutes walking from Paddington). The breakfast buffet was large and diverse. The single room was small, but was better furnished than many rooms I've stayed in in Europe: TV, desk, wardrobe, even a balcony. The staff was helpful and friendly.With that said, I agree with some of the complaints of other reviewers: I could only get warm water out of the sink, there was no A/C, and I could hear other guests walking up and down the hallways. But for 40 pounds a night in central London, you really can't be that picky. The hostel I stayed in earlier in the week cost more than that!All things considered, I thought this was a very good value for the money, and would stay there again.	
Oct 2 2005 	Only good for the location	Do not be persuaded by the attractive website, the only reason to stay here is be close to Notting Hill for a reasonable price. The staff was sweet but incompetent, the non-smoking “grove rooms” were tiny and still smelled of smoke, the beds were lumpy, the shower very small with little water pressure... There are much better places to stay in London.	
Sep 29 2005	Excellent Location	We were looking for an older English hotel in a great location with friendly staff and we certainly found it with the Westminster Hotel.The Hotel is older so there was a musty odor in the stairwells, but it has elevators that can be used to avoid this. There is a trick to flushing the toilet but the bathrooms are very clean and if you're on the fifth floor, they are very large and have a tub. The bathrooms on the second floor were small and only had a shower.The staff was VERY friendly and eager to help us with directions, bus tours, etc. There is a breakfast room downstairs that served cereal, breads, fruit, yogurt, and coffee. There is a small bar upstairs.The Bayswater Tube Station is a very short walk away and the neighborhood is surprisingly quiet for being in such a great location. We went exploring the first day and ended up in Kensington Gardens... and eventually Oxford Street. It was a nice walk, although we just took the tube back to Bayswater from Bond Street.There is a mall just around the corner, complete with Starbucks, Burberry and a movie theater. There are many cafe's and restaurants all within a couple of blocks. Lots of souvenier shops and many western fast food places like KFC, Pizza Hut, McDonalds, etc. all within a few blocks.As I said... Excellent Location.	
Aug 25 2005	Sub Standard	Warm water runs from the cold topRooms are hot with no air conditioningNoise from the surrounding streets is appauling (loud music from residents to the early hours)Poor maintenance of roomsShowers run at a trickleNo mineral water provided in rooms even though the website indicates this is provided - perhaps it evaporated in the heat!Cleaning staff make to much noise and have no consideration for guests or do not disturb signs.Walls are not very thick between rooms you can sometimes hear next doors TV!!All the rooms are in serious need of some updating.	
Aug 5 2005 	Average	This hotel looks ok when you get there but like most hotels they always try to make the reception area look good in a hope that when you arrive the rooms will be the same but they are not. The rooms are pretty average and in somerespects are very dated however there are a few signs that the management is endevouring to update partd of it.The corridors are really outdated and they look it, the wiring isnt hidden in any way its just clipped to the calls and painted over a number of times.The floor boards creek no matter where you step and the floors can be uneven in places.The Staff on reception are really friendly and helpful and deserve top marks.The housekeeping staff however barge into your room after one knock on the door and dont give you time to respond, they also make as much noise as possible for some unknown reason as they go from room to room, moving equipment shouting to their colleagues in some cases and totally ignoring the do not disturb sign, if in fact later in the day the sign is still on the door they will still knock and when they cant get in they will strat ringing your telephone - this is really stupid.The hotel say they face a quite garden area in bayswater, however the gardens and parking next to it cannot be used by the hotel, in addition the residents round about will play lots of loud music till the early hours depending on the weather conditions outside and the time of year. This can be further problematic when there is no air conditioning in the rooms (which get very hot) and you have to open the windows permanantly to try and get the air moving. The windows are the original sash type and often drop when u least expect it. There is no double glazing either.The bathroom if you could call it that is a cupboard contaning a shower and a toilet. If your a big person you havnt a hope in hell of getting in there. The cupboard is that small there is no room for a sink so that has been placed in the main bedroom area.The wardrobe is small, an ok size but contains only 4 hangers not exactly enough for todays traveller. There is an ironing board and iron provided which is really useful.There is an extra charge for using the inroom safe deposit box which is a bit naff, that should be a service within the daily rate not an addition.The internet access for laptop users is £7.5 for a 24 hour period however be warned that the 24 hour period runs from mid day to mid day and mid day to this hotel is 11.00 so if you buy it at 10.00 you will only get an hour - - pathetic.Overall the hotel is good but as previous users have said you get what you pay for however with this hotel you should get alot more for the price.	
May 3 2005	Decent	The Westminster is not a dump, but it is not the Ritz either. Basically, you are getting what you pay for.The rooms are on the small side, but they are comfortable and fairly clean. My only complaint was a weird odor, I wouldn't doubt it if the furnaces were rather moldy. The complimentary breakfast was a nice bonus. Although it was nothing special, (just juice, bread, milk, cereal, coffee, tea, yogurt) it was a nice start to the morning.The staff was friendly and helpful, and the location is great in a quiet area of Notting Hill Gate overlooking a courtyard. Comfortable, nice-looking, does the job.Thanks, Westminster Hotel!	
May 3 2005 	GVFM!	OK, this is no five star hotel but it does not advertise itself as one. I got a great rate on my room for a one night stay on a bank holiday weekend (paid just over 40 pounds for a single room). The room was pretty basic to say the least and could have benefitted from some refurb but having paid alot more for London accomodation I was happy enough. There was an en suite with shower facility, again pretty basic but all clean.The location is pretty good with Bayswater tube station a few minutes walk away and some good place to eat very close to the hotel. The hotel itself is set in a quiet square with gardens in the middle making it very quiet.One word of warning though...... this is not the place to be making international phone calls. A quick flick through the hotel brochure brought to light that a three minute call to Australia costs over 23 pounds in this hotel!!!!! No excuse for this nowadays when you get low cost call companies that only charge 3p a minute to Oz!!I would stay here again if I needed a bed for the night in London and did not want to be seriously out of pocket. The staff were pretty friendly and all in all it was good value for money.	
