	Great location	Just returned from 2nights stay at this hotel. About 10minute walk from London Bridge and Southwark Underground stations. We visited the O2 arena and a London theatre during our stay and found it a great central location which was very easy to get to.We arrived early on the day of check in and had hoped to leave our bags so that we could go on to our destination but check-in staff were really helpful and found a room available for us to check into immediately (at 10.30am). The room itself was great. Not the biggest but the bed was comfortable with fabulous black out blinds. Road outside was fairly busy so would suggest bringing along ear plugs unless you're used to city traffic. Continental breakfast was great with plenty of variety-we didn't find it necessary to upgrade to the full english but this is an option if you want. Also had an evening meal at the hotel-great value food and drink especially for London. Plenty of main courses for under £10 and very nice too. Other reviews have said that there isn't much nearby but Bourough market has plenty of lunch options while there is a high street about a 5minute walk away with plenty of different restaurant options. Staff were very friendly and helpful during stay. Would definitely stay there again and would recomend it especially for anyone arriving into London via Waterloo or Kings Cross national rail stations due to convenience. Kepp an eye out on their website as they are running offers for weekend stays!	
Aug 1 2005	Excellent Hotel For A Great Price	My family of four stayed for 1 week at the Southwark Rose Hotel in London. This is an excellent hotel in a great location, south of the Thames River and near the Southwark Bridge and London Bridge. We stayed in a family suite which included 2 rooms with a queen size bed in one room and a sofa bed in the other. Both rooms were equipped with their own television, telephone, large window, closets, tables, chairs and shelves. The rooms are good sized and our family suite also included a small kitchen with a refrigerator, microwave, sink and dishes which was perfect for breakfast and eating a light supper. There was also a bathroom which consisted of 2 rooms with a toliet in one and the other had a big beautiful shower and sink. Toiletries and hair dryers were provided by the hotel. The room was immaculate, cleaned every day, dishes washed, fresh towels, beds made, just an excellent value for the $$. The rooms are also very, very quiet. We never heard sounds from the hallways or other guest rooms and the best thing was we never heard the noise of the tv or radio from our teenage daughter's connecting room at night. The hotel is in an excellent location. The nearest tube is the London Bridge stop on the new Jubilee line and is a 5 minute walk. Ask at the desk for a shortcut to the tube. (If you go out the back door of the hotel through the parking lot it's a short walk.) We didn't figure it out until the 3rd or 4th day of our stay. Many London attractions are within walking distance. You can easily walk to the Tate Modern, Shakespeare's Globe Theater, St. Paul's Cathedral and the Tower of London. We even walked along the Jubilee Promenade (on the south side of the Thames River) to the House of Parliament, Big Ben, Westminster Abbey and Buckingham Palace. This is a longer walk but beautiful scenery if you take your time. There are many restaurants along the river near the hotel and even grocery stores.Another plus is the Borough Market which is under the London Bridge and sells fresh produce and baked goods. The hotel also provides free internet/e-mail access on a computer in the restaurant. This we really appreciated because we were in London during the terrorist attacks and could e-mail family. We booked this hotel as a package through cheap fares (an Expedia branch) but you can book directly online with the hotel also. I will definitely stay at the Southwark Rose again and highly recommend this hotel.	
Jul 21 2005	Great place to stay	We stayed at the Southwark Rose in late June/early July 2005. It was a very comfortable place for our family of four (mom, dad, son age 20, son age 12). We had a suite which consisted of a bedroom, sitting room with fold out couch bed, small kitchenette (sink, micro, small fridge) and a very comfortable bath with shower (no tub -- which was fine with us). The area was easy to get around, London Bridge tube and rail station were about 1/2 mi walk away. There is a nice (though pricey) restaurant upstairs. They serve a decent continental buffet breakfast (not included in our room) including yogurt, cereals, breakfast breads, meats, cheeses and fruit. Don't order bruschetta -- unless you like a half hamburger bun topped with margarine and a tomato slice! The staff were unfailingly polite and helpful, but not necessarily knowledgable about the area. We needed to do laundry during our stay, but the staff couldn't find a laundromat (laundrette), though they tried to check online. We did find a laundrette on Long Lane, (asked a lot of locals before we found it!) about a mile from the hotel, but take a rolling suitcase to haul the clothes. Overall, I would highly recommend the hotel for a short or long stay.	
May 2 2005	Excellent Experience		
Mar 13 2005	Smart central budget hotel		
Mar 8 2005	Impressive		
Feb 17 2005	disappointed		
Feb 17 2005	Excellent Place to Stay		
Jan 15 2005	Little gem!		
Oct 14 2004	Great Hotel		
Sep 27 2004	Great place despite poor service		
Jul 5 2004	Great little find - a superb bargain		
Jul 2 2004 	modern bargain in london		
Oct 8 2009 	Cinque giorni a Londra		
Jul 1 2009 	Pulito e carino		
Jun 12 2009 	Für das lange Wochenende in London		
May 25 2009 	Genial		
Jan 13 2009 	Très bel hôtel superbe week end.		
Aug 29 2008 	Excelente hotel		
May 24 2007 	hotel comodo e dai buoni servizi		
Jan 16 2007 	Ottimo albergo moderno in Londra		
