	after-pains	not customer-oriented hotelvery low service levelboor reception	
May 21 2007 	Great Stay	The previous positive reviews of this hotel were right on the money. The rooms are small but very clean and quiet. The lobby is spacious and checking in and out was so easy. Also, the close location of the gloucester road tube stop is great for getting around all of london. I would highly recommend calling ahead a day or two and requesting a room on one of the higher floors. We did and the staff was nice enough to give us a room on the 21st floor with incredible views of downtown. I would stay at the Holiday Inn Kensington Forum again in a hearbeat!	
May 20 2007 	very convenient location	Slow check in at 3am in the morning not really appreciated! Very small twin bed room. Had booked a double room. Barely enough room to walk past the bed. Tiny bathroom. No room for anyone with more than a couple of pieces of luggage. Average hotel room - nothing out of the ordinary. Have stayed in other hotels in London and had larger rooms but know small rooms are par for the course in London. Relatively quiet. Great location - a couple of minutes walk from Gloucester Rd underground station, and shops, restaurants, internet cafe etc	
May 17 2007 	Good Hotel	Stayed at this hotel for a couple of nights on business, a nice hotel, good buffet english breakfast. Room was ok. Only complaint was there was no trouser press but an ironing board &amp; iron was supplied.	
May 16 2007 	Great location but don't bring the car!	Stayed at the Holiday Inn Kensington Forum for one night on a business trip. Check in was prompt, and the room clean and tidy, a bit small, but this is central London. Minor problem with the TV dealt with quickly and efficiently. The location is great however, only 5 mins walk from the Gloucester Road tube and 10 mins walk to the South Kensington museums, Albert Hall, etc. Breakfast was OK, great choice, but the cooked food was a bit tepid.Main gripe was the cost of the car park - £35 per 24 hours, so I'd look at alternatives if you are driving in.	
May 14 2007 	Fine for the price	We stayed at the Holiday Inn Kensington Forum from May 6 - 12/07. We booked it fairly cheaply (well by London standards anyway!) on [--]for 470UK. The hotel is in an ok location - close the the Gloucester Rd tube station. There are a few shops etc in the area. I had a bit of an odd reception. My friend had flown in a couple of hours earlier and had left a key in an envelope with my name on at reception. I got there tired (not surprising with an overnight flight from Toronto!) and asked is she had checked in. After a bit of nonsense from the desk clerk, she finally called my friend in the room. She told them about key etc and the desk clerk couldn't (really wouldn't) find the envelope. After more fussing about she finally gave me a key to the elevator to meet up with my friend. Talk about brain dead desk clerks. yikes. Oh well. This was just a shopping trip with friend, so I will put up with a bit more at a budget hotel. The room is very small, which is fairly typical for London. Think cruise ship cabin. The room had two single beds, one table in the middle and a desk. There was a small closet and a small bathroom. Bring your own soap and toiletries! There was the smallest bar of soap I have ever seen and only liquid hand soap. There is a dispenser in the bath for soap/shower gel, which is useless. There was no hand lotion or anything else. Strictly budget stuff. This hotel caters mainly to AA flight crew and package tours. The day I checked in there was a large cruise ship group from NCL, staying in London the day before the cruise. We didn't eat in the hotel as it is very expensive for what you get. We did go to the pub onsite a few times. The first night it was a bank holiday, so it was very quiet. The last night we went in it was a Thursday, and we were talking to several people, who said it was their local (a bit surprising given that it is a hotel bar) and lots of AA flight crew. Our table of two wound up growing to eight, having a lively mix of locals and flight attendants. A G &amp; T was a shocking 5.40UK. The tube was handy as it had the Picadilly, Circle and District lines. We took the bus quite a few times as it is nice to be above ground to see the sights. Overall it was fine at the hotel. Clean and well kept. We were thankfully on a non smoking floor. We did have a great view of the London Eye. I would stay here again if the price was right.	
May 11 2007 	Great Location good hotel	The location of the hotel was great. It is about only about 2 bldgs away from the Gloucester Road Tube stop. That stop is on 3 lines so it is easy access to everything. There is a Tesco Express directly across from the tube stop that is open until 11pm. We could pick something up quick on the way home and keep it in our little refrigerator in the room. It is a nice way to combat the expense of London. The hotel was clean and comfortable, not upscale but had everything that you need. The room was small but not overly so. The only thing out of place was that the wallpaper didn't look like it was hung right. My big complaint was that they really tried to rip you off with phones and internet. $2.50/min back to the US. The last place we stayed in Europe only charged us $0.15/min. Otherwise, really great location with the refrige being key.	
May 7 2007 	Second stay at the Kensington Forum	This is our 2nd time at the Kensington Forum and love the location. We are priority club members so check in and check out is QUICK. The rooms are not huge but very clean and quiet, the view from our room was fabulous, and was very bright and cheerful.Always a busy hotel, American Airlines put their staff up here - always a good sign. Area is good, you can get a full english at Garfunkels just round the corner from the hotel for a fiver! Also if you walk towards Earls Court about 10minutes from hotel you will come across a high street with lots of good restaurants without the high prices. We ate at a really good Indian, very popular, good service plenty to eat for about £7 each. Always happy with the Forum, easy to get to the tube and plenty of places to eat at night -	
May 5 2007 	VFM!!	Booked through lastminute.com as a 'top secret hotel' (£156 2 people for 2 nights) - was advertised as a 4* but not sure about this to be honest.Location was great (come out of tube station, take first turn right and walk 150 yards &amp; you're there!!). Check in was within a minute as was check-out. Room wasn't luxurious but did exactly what we wanted in that it was clean and had a comfy bed!Didn't eat in hotel as was a great Asian restaurant (Dim T) 300 yards down Gloucester Rd and numerous places for breakfast nearby.Less than a 5 minute walk to Natural History Museum but the best part for us was that the Piccadilly, Circle &amp; District lines could all be accessed from Gloucester Rd tube.	
May 5 2007 	Breakfast an added bonus!!!	Stayed here back in Nov 2006. Good a really good deal (for London prices) that was advertised in the Daily Mail on a Saturday. Was delighted when we checked in to discover that breakfast was included! A hot breakfast too - not just continental! Room was clean and bathroom was compact and modern. We had an empty fridge that other reviewers talked about so this was another bonus. We put our own drinks into it as London bar prices are quite steep. Location was great - close to tube stop. We were out sight seeing so much we didn't really have much cause to speak to the hotel staff apart from checking in and checking out and on these occasions the staff were courteous and helpful.	
May 2 2007 	No problems at all!	After reading the previous posts I wasnt sure what to expect from the hotel.On arriving in the large lobby (complete with seats and a cafe), I was already impressed, it was spacious and clean. The consierge were helpful, polite and never snobby.The room itself was very clean, the bathroom was small but immaculate. The views from the window (I was on the 15th floor) were great. The bed and linen supplied were faultless. Breakfast was served for a good period of time, and almost everything you'd want for breakfast was available.The location of the hotel was excellent, a 5 min stroll from Gloucester Road tube, next to tesco express and a large supermarket just around the corner. The luggage facility was superb too, we had no problems in checking out of the room and leaving our luggage which was securely labelled and organised, for no extra cost.I have no complaints at all! I would most definatley go back!	
Apr 23 2007 	perfect for a weekend in london	The web site has very good deals so, for us, it wasn´t expensive, considering the london prices. The room and the bathroom were very clean. The stuff was very helpfull, giving us very important tips about London (it was our first time in London). The location is perfect, very central and very near the subway.The weekend was perfect and we couldn´t have choose a better place to stay.	
Apr 23 2007 	better than expected but still wouldn't return	We've stayed at the Holiday Inn for 3 days (bussiness). When we were told we would stay there we where a bit disappointed. However the location was great with the underground and good restaurants (Indian and Spanish) nearby.The rooms are decent. No luxury inside, but better than expected. Although I must admit we had very low expectations. Checking out was a horror. It took over 15 minutes!Breakfast was ok. Nothing special. Next time we would go to another hotel in the same area.	
Apr 21 2007 	Basic clean lodging service lacking.	We stayed here as part of a hotel/airfare package, so it is difficult to say how much we paid per night. We booked the room as a triple, and were pleasantly surprised to find three single beds, rather than a double and a sofa bed. To give you an idea of size, three singles fit in the room with about 2' of space between each bed. We had enough room to walk across the room at the feet of the beds, but not much more.We were supposed to have a refrigerator, but found it missing when we arrived. We called twice to get one, with no luck. Same deal with a hairdryer. Same deal with a bathtub mat. The room was generally clean.The bathroom was adequate, and was cleaned each day. Plenty of towels each day, and we only had a problem with no hot water one morning out of seven.There is a small utility room on the top floor with some vending machines. While we were there, the vending machine was broken for at least three days, but there was always plenty of ice in the ice machine.Continental breakfast was included, and was quite good. Three choices of dry cereal, honeydew and watermelon, pastries, lunchmeats, and several kinds of juice. There is also a full breakfast which seemed outrageously priced at 14.95 Pounds. It had eggs, hashbrowns, and some breakfast meats, but certainly did not seem worth the expense.There is a restaurant in the lobby and an exercise room on the first floor, neither of which we used.One of the nicest features about this hotel is the location. It is about two blocks from the Underground, which saved us a TON of time and money. Do not underestimate this feature, especially after a long day of sight-seeing.If you are looking for a 5-star hotel, look elsewhere. If you are looking to keep dry and clean overnight, consider the Holiday Inn Kensington Forum.	
Apr 20 2007 	As Big As Bad	As a regular user of IHG I can simply say this hotel should not be called Holiday Inn.Nothing really bad happened during my stay, but nothing good happened neither and that is the problem.So many employees, a wonderful location, an impressive building. And the guest experience?... Dull...No priority club recognition a part of the Carpet on the floor that says PC, no approach from the porters. The concierge as any other in London had more knowledge than &quot;WIKIPEDIA&quot; but NO SMILE!, not even a greeting from the staff and even management walking pass (a scalfolding colapsed on the they of my arrival and the managers where everywhere)As a PC member you get to know the &quot;standards&quot; of this hotels, and honestly the receptionist, even she a was nice young lady, didn't hit ONE of them.The room was OK-ish, Great view as any other building with 20+ floors!, but nothing else. Instead of Mini Bar my room had just the hole where it normally is placed and some hanging cables... A very small and old TV and the bathroom door badly scratched as the room walls; and a first time experience: Sliding toilet door with no lock (not missing hey!, simply it never had one).On departure, everything charged on the credit card without showing the bill to check first... what happened then a Lunch I never had was charged to me. When the receptionist was told he looked at me like I was trying my luck. Then it was corrected and taken off my bill, but not before I felt like a thieve after he said he &quot;had to investigate before waving the charge&quot;?????Obviously it was their mistake but, no apologies...Well, after all, as I said, great location, great view, NOTHING ELSE!!!!No big problems, NO BIG HOSPITALITY!!!Small issues that just shouldn't have happened...Just Another Forgetable Stay, What A Pitty Missing All That Potential... I Bet The Bottom Line Is More Important....	
Apr 18 2007 	Better options available	I stayed at Holiday Inn, Kensington Forum for 3 nights for business and was very disappointed. The room cost GBP245 per night (through company travel department) and the room was very basic, small tv, too soft mattress ie. very basic. My door card didn't work on two occassions which wouldn't be a big problem however on average the wait for the lift was always at least ten minutes (I was on the third floor and was told using the stairs wasn't an option). The breakfast room reminded me of a school canteen - despite the breakfast being part of the room rate after the first day I went to a local cafe instead. (The queues were also very long) The internet service which costs GBP15 per day is slower than dial-up ! The hotel also seemed very understaffed and after 15 minutes in the check out queue (which was only half staffed) I gave up and called and checked out over the phone later. On a positive note the location is great and the overworked staff did their best however if visiting London their are definitely better options such as the NH which is just around the corner.	
Apr 10 2007 	Excellent Hotel will stay here again!	This was our second trip to London and let me just say from here on out, our hotel will always be the Holiday Inn Kensington Forum. Perfect location, right around the corner from the tube. The area is really safe with great food, boots, tesco, waitrose (large grocery chain) burger king, kfc and starbucks. Plus, really close to some of Londons finest pubs. If you've never been to Europe before the rooms may seem small but honestly they aren't. We had a chair, desk and a table in our room. Plus, the bathroom is a good size. There were 6 of us ( we took our parents) who stayed here and we all really enjoyed the hotel. Our parents who are 55-70 were able to wonder around the entire city by themselves due to the ideal location of this hotel. That was a big plus for us! Give this hotel a try, I'd be surprised if you are disappointed!	
Apr 10 2007 	Another great stay!	This was our second stay at this hotel. Nothing had changed from the previous year. The rooms are very clean and come with a mini fridge that is empty and can be filled upon request.We used Priceline this time and were glad to get this hotel. For $80/nt. in central London it can't be beat.The hotel has a restaurant, breakfast room and a pub. Plus concierge services.We most like the proximity to the Gloucester Rd. tube stop and grocery stores which are a block away.The staff are very friendly and accomodating, they even held our luggage for two days as we were returning after a trip to Venice.I would definitely stay here again.	
Apr 8 2007 	Good room poor service all round	Stayed for 6 nights from March 22-28, 2007. The room was good and functional. Nothing fancy but we were quite happy with the location of the hotel, just like most who have stayed at the hotel before.But those who put an emphasis on service quality should avoid this hotel. Save for one particular manager at the check-in (a saving grace perhaps?), the rest were poor. This manager, Mr Zaweeq (not too sure about the spelling), helped me change my room to a higher floor and ensured that my luggages were moved. The rude and poor service started from the concierge who was curt when I asked a question. Then there're this man named Christian at the check-in who was very rude when attending to my wife when we had to activate our room key after 2nd night despite the fact that we're staying there for 6 nights! There was also this other man, Godfrey at the check-in who was also rude when I told him that I wanted to get my new room. He said, &quot; why did you want to change room? No changing room allowed!&quot; What utter rubbish. People asked to be changed rooms all the time and this was not my first time staying in hotels. On first day, when we were too early to check in, we left our luggage at the left luggage. The attendant who collected the luggage was very nice and helpful. When we were collecting our luggage, another attendant simply asked me to get our own bags instead of helping us collect. This attendant walked with a limp. Our room came with continental breakfast. Not much variety but good enough to start the day. The service at the breakfast room was ok. Overall, we found the hotel only good for location and decent room if somewhat cold just like the weather was in London then.	
Mar 31 2007 	GREAT HOTEL GREAT LOCATION	This was our second stay at this hotel and it was every bit as great as the first time. The room was very clean and was quite big for a London hotel room. The breakfasts were excellent and the location is great for viewing London by bus, on foot and by tube (Gloucester Road), which is just at the end of the road. There is also a Tesco Express, Burger King and KFC right at the end of the road. Turn right and there's a fish and chip shop and two steak houses. The only down side was the same as last time, very impersonal service by the Management and the on-duty Manager was just pure rude, but if you don't have to talk to any staff members, this hotel is great.	
Mar 28 2007	Great Location-Very Clean Miami FL	This hotel was a great bargin through priceline, and we were not treated as though we had booked through a discounter. We booked this hotel at the rate of $91.00 per night. The entire bill for our six night stay was 282 Pounds Sterling. The location in the Kensington area could not have been better, the area is safe, nice and fairly quiet. There is a tube station just down the street, which was wonderful. The concierges were all helpful and friendly, as a matter of fact, they suggested booking Hotel Link for our return to Gatwick which was quick, easy and quite inexpensive compared to the taxi ride we took on arrival.Additionally, they recommended the Cafe Forum which was about two blocks from the hotel for breakfast, the prices were reasonable and food was excellent. The Hereford Arms was highly recommended and was also excellent.During our stay, we found the people everywhere in London, friendly, helpful and truly pleasant. While the reviews are correct that the rooms are tiny, the cleanliness and nice bathrooms are a plus. The beds were comfortable, and the housekeeping staff also delivered feather pillows at my request.Our beds were changed daily and the room immaculate upon our return each evening. The TV worked, although I must say that the channel selection was limited.We used a phone card to reach the US, and the hotel charges 1 pound for access, but it was still fairly cheap.Make sure you stop by the London visitors center for maps, etc.	
Mar 27 2007 	Love It At The Forum.	This Was My Fourth Stay At The Kensington Forum.To Be Honest, It Will Always Be My First Choice Hotel When I Visit London.The Rooms Have Always Been Clean And Quiet And A View Over London To Die For. The Breakfast Is Also First Class.A Great Location, Friendly And Polite Staff, First Class Breakfast And Rooms As Described Above Will Have Me Returning Again And Again.	
Mar 24 2007	Priceline a great bargain	We got this for $80 a night plus taxes. In overpriced London it was a great deal. The room was clean and , by London standards, decently sized. The neighborhood is quiet and safe. it is right by the tube.	
Mar 23 2007	Excellent Value	Don't expect glamor or luxury but the beds are comfy, the bathrooms clean and plenty of hot water for such a large hotel. Also, we were able to check in at 8:00 am. A BIG plus after travelling all night. Skip the breakfast option as it's a ripoff. You'll wait in line an hour every morning. There are a couple of great coffee and pastry places around the corner (Particularly Paul-the other place has disgusting coffee). The location can't be beat. The Gloucester tube stop just around the corner will take you virtually everywhere. Get an Oyster card for the week to save on tube fares.	
Mar 23 2007 	Beware of fans and generators	Stayed in room 516 right at the end of the corridor was next to a services room from which there was a constant generator / fan noise. This noise could be heard inside the room and was irritating - the television had to be turned up to be heard and so on. Otherwise the room was fine for one, but was rather compact and would have been too cramped for two people. No other problems - the room was clean, the bed was comfortable and everything in the room worked. Curiously the mini-bar was not stocked, but a small bottle of wine appeared in the room after I initially checked in - possibly something to do with my Priority Club membership - a nice touch. Very convenient location for Gloucester Road tube. Breakfast was good, although the cooked breakfast is ordered from the waiter rather then being a buffet - unusual in Holiday Inns. Without the fan noise the hotel was have been excellent.	
Mar 18 2007 	no problems at the forum	I booked this hotel thru Priceline.co.uk because I prefer to stay in this area of London, this hotel is very big and tall (my room was at 14 floor) and a bit unpersonal but all that I can say is that is very clean and safe.Around Gloucester tube there are so many bars, restaurants and shops that you could choose one different every lunch or dinner.Do not eat breakfast at HI because 16£ is too expensive and you can eat at Paul for half price	
Mar 13 2007 	Comfortable Hotel	A weekend break in London to take in a show and some culture led the two of us to the HI Forum, South Kensington.Weekday users may be deterred from using this hotel since the enlargement of the congestion zone but as it doesn't apply on the weekend that wasn't a concern for us. We drove in and despite the warnings that parking spaces are taken quickly on our travel agent supplied paperwork, (hotel was part of a theatre deal) we found a deserted underground garage and a steep set of stairs (from the garage up to ground level) which would probably defeat guests with prams, kids and luggage, up to the entrance of the hotel.A uniformed greeter was very welcoming and pointed us in the right direction to check in. It was noticeable that flight crews used the hotel with several groups checking in at the same time - coupled with too few staff on the desk and it became a drag although we were in our room within 40mins of arriving.The room was a typical Holiday Inn effort but I have to commend the cleanliness - nothing broken, damaged or grimey and the bathroom smelt fresh. Small, with soft beds the room served well for the night we stayed and the card controlled lift access was a nice feature which made the hotel feel more secure.In room features were, a/c, TV (good channel mix and films) phone, iron and board, hair dryer, tea, coffee, hot choc &amp; kettle, In-room fridge (ring down for mini bar service), shower over bath and wall mounted shower gel dispensers (no other toiletries but a card offering to provide anything you may have forgotten)The hotel had a shop, cash machine, and gym onsite. Didnt use the gym but the shop was charging standard London prices for items. The hotel was let down by the quality of its breakfast. UK chain hotels rarely get this right and the HI Forum was no exception. Whilst on the surface there is evidence of choice, everything felt a little tired, limp or left under the hot lamps for too long. Perhaps weekdays are better, but next time we would get up a little earlier and eat out locally.The location was excellent with a number of good eating options locally and Garfunkels and Ask Pizza located in a complex within a very short walking distance for kids (or gorwn ups) who want something easy. Within the same complex is a Boots and Waitrose so filling the provided in-room fridge with snacks is a doddle.Around the corner from this complex is a tube stop giving you access to anywhere you need in London and if going out locally in Kensington or its surrounding areas there were always black cabs pulled up in the taxi bay outside the hotel.The Nat History Museum and V&amp;A are in easy walking distance from the hotel and there are good crossing places to reach these museums. We passed a number of banks on the way up and also a large post office offering currency etc which should give better rates than the hotels in-house money changing service.All in all a clean hotel offering the standard you would expect of a well run chain but the breakfast really could do with an overhaul.	
Mar 10 2007 	unacceptable cleanliness	paid £140 including VAT for one night, staying on 12th floor overlooking the city, nice view.Location: brilliant, behind tube station, near local stores, restaurant, posh area, near kensington park, great central location yet quiet enough in a cul-de-sac location. flaw location of main entrance, big signs and big flags on main street but enter from the back, tiny miserable unwelcoming cheap entrance design, confusing to first time visitors.check in: need to wait at least until 14:00 to get a room, need to fill in a form, be careful when order newspapers, they charge you except priority club member, this is not mentioned anywhere on the form, and unacceptable considered it is normally included in many other four stars hotels, paid £140 per night and they asked for another 65 pence for newspapers, cheapskate!luggage storage: freely available with super friendly staffs, may leave bags there and get on with the trip rather than waiting for hours to check in. also may use the facilities after check out before leaving the city. safe and reliable.room: good size considered it is in london, comfy double bed, clean in room, tea/coffee/choc making facilities, hairdryer under desk, old tv, toilet facilities was disgusting, long curly black hair in bathtub, big black pubic hair tangled in hand towel, disgusting yellow scum stick on toilet seat, dove shampoo bottle near bathtub and dove cream cleanser bottle near hand basic were both empty, cheap plastic canteen cups on wash basin, only one tiny hand soap, NO supply of essential basic vanity kits (shower cap, razor, toothbrush, toothpaste, sewing kits, shoes polish, etc) only available if ask, cheap standard chain hotel decor, room was quiet, did not hear anything from the street, but doors closed loudly from nearby rooms on the corridor.toilets on 1st floor near gym: look like a public toilet in supermarket/ mall, cheap cheap cheap.services: no housekeeper answered calls when tried many times after 10pm, called again early in morning and waited for more than 30 minutes for shampoo to arrive. even arranging morning call needs to wait exceptionally long to have anyone to answer the phone.breakfast: 06:00 - 10:00, good quality food, lots of choice, continental, full english, hot and fresh, very friendly staffs.check out: fast and smooth, polite staff.the only reason to choose this hotel is its location, for other aspects, not up to standard for its price.	
Mar 8 2007 	Functional Value	We stayed in the Holiday Inn Kensington Forum for 4 nights in March 2007. We booked through Priceline at a very reduced rate. From that perspective, the hotel provided a comfortable, efficient home base for us. We arrived from the USA in the early morning, and had to wait for a room to be available. There is a check room to leave your luggage so that you can go exploring while you wait. We returned to the hotel at the time we had been told, and were told to wait again. After 3 more visits to the desk, we received a room. One man was quite rude and unhelpful during this process; one lady was particularly kind so that evened out. Once we had access to our room on the 14th floor, we were pleasantly surprised. It was in my opinion large for London (home of notoriously small hotel rooms) but had a few English quirks. To operate the lights, you must insert your room key into a holder near the door. I finally located the hair dryer under the desk on the last morning of our stay. The bed was very comfortable and having a fridge was an added bonus. The room and bath were very clean. There is 24 hour room service, a restaurant, and a tavern in the hotel although we did not sample the hotel food. There is a business center with email capabilities for 2 pounds/30minutes, open on weekdays only. The best part about this hotel was the close proximity to Gloucester Road tube stop (Picadilly, District, and Circle lines) and the Paul bakery across the street from the tube stop - home of the best hot chocolate ever. In sum, we wouldn't pay rack rate for this hotel, but at a reduced price it's an efficient, functional place to stay in London.	
Mar 5 2007 	Overall very good	Check in was quick and easy. There were at least 6 staff checking people in so no delays. The room was very clean and tidy although a little small. Ok for me on my own though. Bathroom very clean. In-house movies were expensive as were the drinks in the bar (not unexpected though as in London). The staff were very pleasant and helpfull and the hotel is very well siruated within a minutes walk from the tube. My only suggestion is finding out if there are many coach parties. On one day I stayed there was quite a delay for breakfast as two parties descended on them at the same time. The cooked breakfast was very well prepared and although it was buffet style was very hot on each occassion I went. Many hotels I have stayed in the food has been rarely hot.	
Mar 4 2007	It's What I Expected	This stay at the Holiday Inn was chosen based on other reviews on this site. I found the hotel to be clean, quiet, and comfortable. I would not pay rack rate for a room here, but it is quite attractive at a discounted price. The bed was very comfortable, and the empty refrigerator was a great place to store food and beverages. Although my room was only on the fourth floor, the noise-proofing was quite impressive, and I could barely hear street noise from Cromwell Road. The elevators are very fast, and the entire hotel had a clean, upkept feel about it. It is not luxurious, but it certainly is a good value in London.	
Mar 4 2007 	Good hotel close to everything	Stayed at the Holiday Inn Forum for one night. I paid GBP 108.00 which is an affordable price for a hotel in the posh area of Kensington. The Forum Holiday is a big high rise and right across the street, is another Holiday Inn, albeit it much smaller which tends to confuse people looking for that 2nd location hotel. When I arrived at the hotel, I had to park my rental car and beware parking is GBP 30,00 a night. Check in was quick and efficient. My room was small but it was clean and everything was okay except for the wireless internet which kept going in and out every 5 minutes. My colleague had the breakfast for GBP 10.95 and he found it nothing special. I went to the Starbucks one block away and had a very nice breakfast for less than what he paid. Subway (Underground station) is also a block away and you can be in downtown London within 15 minutes. Harrods is only a 25 minute walk. In all, as with many Holiday Inns hotels worldwide, affordable with good rooms and customer service but there is always one or two issues that keep this chain from being a affordable and good place to stay.	
Mar 3 2007 	ideal location	Good functional hotel. Situation is great for the tube and some major museums. We had a great 30 minute walk through a lovely peaceful area of London to Stamford bridge football ground. The hotel has reasonable facilities on the doorstep but you have a wider choice by traveling one stop on the tube to High Street Kensington. The rooms were good although one did have a smell of smoking to it despite being on a no smoking floor. Staff were very helpful and the hotel bar is very pleasant. Overall a great situation in London. If you get a higher floor there are fantastic views. Within easy reach you have all you could want peaceful areas and shops and food outlets.	
Feb 28 2007	Great Hotel	We stayed here in September 2006 and found the hotel to be a perfect base in an ideal neighborhood from which to explore London. Our westward facing room was on the 17th floor, and we saw a couple of beautiful sunsets out the windows, sharing wine and cheese that we’d purchased at the Waitrose supermarket a block away on Gloucester Rd or at the Sainsbury supermarket two blocks down Cromwell Rd. As others have mentioned, the room is small, a bit bigger than a room on a cruise ship, but it’s immaculate, has a small refrigerator, and has a well appointed bathroom with vanity and full tub and shower. The air conditioning worked flawlessly, and we used it every day. Also, if you want to heat up something you bought at the store or brought back from a restaurant, there's a snack room with a microwave on the 25th floor.There’s also a decent fitness center on the 1st floor and internet access in the business center on the ground floor. However, here’s a good internet café one block away on Cromwell Rd. that’s far less expensive. We had a drink in the lobby bar once, but two mediocre glasses of wine cost us 13 GBP (Turning Leaf cabernet --- I saw a bottle at Sainsbury for half the price), so we didn’t return. The neighborhood is upscale and beautiful, and there’s convenient access to the Tube at the Gloucester Rd stop a block away from the hotel. There’s an outstanding steakhouse called Black and Blue a block away on Gloucester Rd, and the patisserie Paul, where one can get a decent croissant and hot chocolate for breakfast, is across from the Tube stop on Gloucester Rd. For late night snacking there’s a Tesco 24 hour market on Gloucester Rd. between Paul and Black and Blue. We found good restaurants for dinner near Piccadilly Circus, Leicester Square, and in South Kensington, all very close to the Tube. A tip on getting to the hotel from the Tube stop ---- it’s only a one block walk up Courtfield Gardens Rd. If you happen to go up Cromwell Rd., turn left on Ashburn Place and walk one block. The entrance to the hotel parking lot is on your right just before you reach Courtfield Gardens Rd.At an average cost of 104 GBP per night, we didn’t get nearly as good a deal as several reviewers on this site were able to get, but for the total quality of our experience, we feel that we received decent value. We will definitely return to this hotel on subsequent trips to London, but will look for better deals next time.	
Feb 25 2007 	Your average stay	The room and bathroom were clean. The hotel is average at best. I found the staff to be unfriendly.	
Feb 24 2007 	Outstanding value in an expensive town	Stayed in this hotel for 6 nights, during which my wife and I explored central London extensively. Hotel was clean, convenient to tubes, internet cafes, and local dining of all price ranges and styles. As other reviewers have remarked, our room was small, and designed for only the purposes of bathing, watching TV, and sleeping. The fridge has been converted from the previous infamous honor bar (which used to charge for any item moved) to a BYO refreshments, suitable for storing a few cups of yogurt and sodas. The hairdryer which other reviewers couldn't find was located under the bedroom countertop, not in the bathroom. A nice touch was the availability of power plugs for USA 110 volts, Euro 220, as well as UK 220 appliances.All in all, this hotel was an excellent value ($75/night on Hotwire), perfect for us who needed it only as a place to clean up and sleep. If you're looking for authentic English charm, go elsewhere. For well-maintained, practical accomodations, I highly recommend it.	
Feb 22 2007 	It's a 2 star business place at best.	After a long journey, I was looking forward to the allegedly four-star accomodations at this Kensington area hotel. Unfortunately, when I arrived, I found it to be a 2 star at best, at least comparable to 4 stars Stateside. I've stayed at 3-star boutiques in major US cities far superior to this place. It was clean enough, but lacking in very basic ways.The TV was a tiny desktop model. The fridge was self-service (you had to call room service to have it stocked if you wanted anything) and barely functional, so didn't chill the sodas I bought. The only ice machine was on the 25th floor--and didn't actually contain buckets for transporting the ice back to your room. In the sliding-door bathroom, there was no hair dryer, common amenities like shower caps, shampoo, etc. were absent, the &quot;luxury&quot; body product available was Dove liquid soap (a budget drugstore line at best). Like I said, it was clean, though a bit shabby. Overall, not the worst, but certainly not a 4 star. If I had been able to read these reviews first, I'd certainly have saved myself about $60 per night and stayed in a hostel, instead!	
Feb 21 2007	Great Location and Hotel for the Money	After relentlessly searching out many smaller hotels and BB in London with lousy reputations and higher prices, we ended up booking a room for 3 adults thru Hotwire for $119 per nite for 6 nites, Feb.7-12. The location in South Kensington is excellent as the Gloucester Road tube station is just around the corner and is served by 3 main lines--District, Circle and Piccadilly. Very easy to get to any part of the city quickly. The hotel is a 27 floor high rise but since we were only on the 7th floor, we really didn't get the spectacular view I had hoped for. But on the flip side, we couldn't complain, because when we arrived at 10:30am our first day in town, we were actually able to check right into our room instead of just leaving our bags to go and sight see. A wonderful unexpected surprise and excellent start to our first day in town. The front desk and concierge were all very helpful and knowledgeable. The bathroom in our room was immaculately clean. There is an empty refridgerator in the room for snacks, a 110 plug at the desk--handy for Americans and also a blowdryer, iron/ironing board provided. About the only negative thing I can say about the room, was that when the sofa/chair was pulled out into the single bed for the third adult, there was absolutely only about 4 inches between the end of the bed and the desk in order to pass to go to the bathroom. The immediate area around the hotel is extremely well serviced by at least 3 internet cafes, grocery store next to tube station, as well as several nice cafes and restaurants. ASK is a very nice Italian restaurant nearby serving pastas and pizzas with excellent service which will run about 10+ GBP per person. The Patisserie and Garfunkle's are also other cafes with well rounded menus nearby. Also, a wonderful pastry shop (can't remember the name?) for light breakfast across the street from the tube station--excellent for breads, pastries, hot chocolate, coffee. Starbucks, KFC and Burger King also right there across from the tube although we did not eat there. I can't comment on any of the hotel restaurants or food as we never ate there with so many other choices nearby. Can't say enough about the price, quality, location and convenience of this hotel and area. This hotel was just excellent for us and we would definitely recommend it and stay here again.	
Feb 17 2007	Fab Location	Just returned from 2 nights stay with my 2 teenaged girls. Good points excellent location really very close to the tube and the tube is on good lines so not lots of changing. Also got a good price for the room thro priceline about 47 pounds per night, hotel very clean and well run. The bad points the rooms are really small especially if like us you are 3 to a room. I asked if we could have anything bigger but was told no!All in all I would recommend and would stay again if the price was right!	
