	Cracking Gem with Central London a 30min tube ride away	Stayed 2 nights at the Chiswick Moran to attend a friends wedding at Kew Gardens and I am soooo glad that we did. Its a cracking hotel which, if it was in central London would be far more expensive. We were booked into Room 425 which was a lovely spacious room, albeit set up for disabled guests-although that meant it was very spacious. The carpet was lovely and the room was very modern and well designed. It is only about 400m away from Gunnersby Tube station and ideal to visit Kew Gardens and about a half an hour away from Hampton Court-it was ideal for our needs. The bar is lively and when we stayed (Fri and Sat) had a DJ playing which gave a great atmosphere with some cracking bar staff to boot! Only had breakfast the first morning (was severly hungover on day 2!) but it was good 7/8 out of 10-its a help yourself style buffet but no baked beans : (. We had a lovely evening meal on the first night selecting the set menu which at around £17 for 2 courses was good value for the food.	
Nov 12 2007 	Excellent Hotel !!	We booked into the Chiswick Moran for one night (Fri) as we were visiting the MPH Show at Earls Court. The hotel was easily accessible off the motorway and easily found on the main road. Only a few hundred yards from the railway station and took only 20-25 minutes into central London with one change - or a short ride to Kew Gardens in the other direction. Hotel interior v smart. Receptionist was v friendly and upgraded is to an executive room on arrival ! Room was large and retro in style. Huge bathroom and shower - much nicer accomodation than many other hotels in Central London and v good standard. Plus parking was available at the hotel at extra cost. We anticipated a continental breakfast for the price of the room - £ 76.00 - but there was an excellent buffet style breakfast including Full English!! The actual room tariff should have been £ 190 for a standard and £ 220 for the executive one which we were allocated - so an absolute bargain!! We can only presume that in the week this hotel is probably full of business people and at weekends internet companies are able to buy up these rooms at knock down rates - we booked through www.alpharooms.com. We ate in the hotel restaurant that evening - v good food though a little pricey but then again you pay for the convenience of only having to catch the lift down there !! The car parking was £ 20 for 24 hours or £2 per hour - so we left the car whilst in London on the Saturday returning around 4 p.m. as it saved driving into London and finding parking on a Saturday!We were expecting to pay £ 28 at the ticket machine behind the hotel but - as luck would have it - it would not accept the new £20 note. My husband went back into the hotel and spoke to the receptionist about payment - she said that it was actually cheaper to pay at the reception providing we had stayed at the hotel (the car park is obviously also open to non-residents) and she only charged us £ 10 in total !! We would definitely stay here again. All staff were pleasant and friendly. Ok it is a little further out of central London but well worth the additional 10 minutes on the train.	
Nov 5 2007 	Best one in London so far	We stayed in this hotel for one night in early November. The reason was to come stay in the area - Chiswick - where we used to live and see the Guy Folkes night Fireworks in a local park.Chiswick Moran hotel is easy to find and although a bit of a walk to the centre of Chiswick, where there are loads of bars and restaurants (note to out of towners here: consider spending an evening in Chiswick rather than trecking to London's West End as the restaurants are superb - a plentiful selection for all budgets - and a great night life, without the stifling crowds of west end. You won't be dissappointed.)We got upgraded to a suite, which was great and very modern and clean. We had a bottle of champagne delivered in the room as soon as we requested it (part of the package we got) and we enjoyed the double ended bath sipping champagne. What more do you want?!Also the downstairs bar served great bar food, which we had for lunch and the plentiful breakfast in the morning was good too.I cannot really find any faults in staying in the Chiswick Moran and would/will come again. I love the area and the hotel serves it well, without forgetting the quick transport links to the West End and other shopping areas, like Kensington High Street.Go for it!	
Nov 2 2007	Great Hotel	Very nice hotel with spacious rooms and modern decor - photos show exactly what you'll find. Restaurant is also pretty good - although plenty of alternatives to choose from down the road.	
Nov 1 2007 	Fabulous Hotel	We (myself and my husband) have today returned from a 3 night stay at the Chiswick Moran. I booked this hotel mainly due to the reviews on this site and was certainly not disappointed. The decor was brilliant and the standard hotel room we booked had a huge bed which was really comfortable - could not fault the room at all although I have to say that the shower could have been more powerful. It was a rain-type shower and due to the fact that I am only 5' tall, by the time the water reached me it was more a sprinkle than a shower!Overall the hotel was lovely - friendly staff, good food in the restaurant even though the menu was not extensive. Breakfast was not the best we've had but was adequate.Getting out and about was no problem at all and the city centre was a 20 min. tube ride away. I would absolutely recommend the Chiswick Moran to anyone and would certainly stay there again.	
Oct 29 2007 	Super Hotel	Stayed here for 3 nights with partner in standard room which was first class. Tube station in 5 mins walk from hotel and gives you free range for travel all over london.  Arrived late at hotel on first night and had no probs with a quick check-in. Room was huge for London compared to other hotels we have stayed in. Breakfast for next 3 mornings where superb. Staff very nice especially Victor. Would reccomend this hotel to anyone visiting London	
Oct 21 2007 	I never stay anywhere else in London	We have stayed in the Chiswick 3 times now and we will be coming back. I will never go anywhere else when I go to London. We park our car on their parking and travel by tube, the Undergroud station is almost across the road. The rooms are spacious, beautifully decorated with superb beds. The second time we had a familyroom (we were with 3), that one had a double bedroom, bathroom and an extra bedroom for our friend. Excellent.The breakfast is good, staff is very friendly.You do not have to look any further!	
Oct 15 2007 	Absolutely Fantastic Place To Stay!!!	Five of us came to London for a Hen weekend &amp; stayed at the Chiswick Moran hotel. We were a little worried as it is quite far from Central London but we will never stay anywhere else now. What an amazing hotel. The rooms are beautiful, the beds are so comfortable, the duvets are the thickest &amp; softest i've ever felt &amp; the bathrooms....WOW!!! The staff were so helpful &amp; couldn't do enough for us. Breakfast was lovely, the hot food was freshly cooked to order &amp; served to us rather than from a hotplate &amp; cereals, juices &amp; patries were laid out to help yourself. Toast &amp; fresh Tea/coffee was also served to our table. I would highly recommend this hotel, it's worth paying the extra money for taxi's to &amp; from London but there is also a Train/Tube station (Gunnersbury) just over the road literally a 3 minute walk. Taxi fare's ranged from £21(Day)-£40(After midnight) depending on the time of day/night &amp; took between 40 minutes &amp; an hour depending on traffic.Tube/Train costs £4 single one way &amp; took about 35 minutes with a change at Hammersmith.If you didn't want to venture into central London there is plenty to do in Chiswick. A great bar called JB's bar &amp; diner is a couple of minutes walk from the hotel, looks a bit of a dive but is really very nice, very clean &amp; recently re-furbished. The food was gorgeous &amp; the staff were so friendly. Just 5-10 minutes walk away are loads of shops, pubs &amp; bars so there really isn't the need to travel into London if you didn't want to. There is also an Esporta gym &amp; Revive Spa just down the road &amp; the hotel can sort passes out should you want to use the facilities. I highly recommend the Detoxifying aromatherapy massage! All in all the Hotel really made our weekend &amp; we can't wait to go back in April.	
Sep 17 2007 	Stylish	Stylish hotel with very modern rooms as was the trendy hotel bar.Don't be put off by it's west of the city location - it is 5 mins. walk to the river and Kew green ;5 mins. to Chiswick high street and it's myriad of tempting restaurants;2 stops on the tube from Richmond (Gunnersbury tube station is 50 yards) and about 20 mins. by tube straight into the city.Having stayed in some ropey hotels in the city in the past (and paid good money for them) this hotel was excellent and I can't sing it's praises highly enough.I'll be going back there each time I'm back in London - it's location is a virtue as there are no tourists in the area but just fashionable Chiswick/Kew locals.	
Sep 12 2007	Left early	We have just spent 2 nights at the Chiswick Moran and can't understand why it is so highly rated. In fact we checked out early and moved elsewhere. Overall we didn't find the staff particularly friendly. Pros:- comfortable bed- spacious bathroomCons:- windows didn't open- view was ok but hard to see through dirty windows- breakfast was standard, but the coffee not good at all and some of the staff quite unfriendly- lighting in bathroom very dim- light hanging over desk that we kept banging our heads on- the internet costs were very expensive (we have just moved to another hotel where they charge 5 pounds for 3 days - at the Chiswick Moran they charge 5 pounds for an hour)-reception staff seemed unable to help with our internet queries as their command of english was limited-shag carpet had quite a few stains on it - mirror on bathroom door looks like someone is in the bathroom if you walk in at night with out turning on lights!! can give quite a fright!A trip to Richmond only 2 stops on the underground, is highly recommended - lots of lovely shops and restaurants and very pleasant walking along the river.	
Sep 5 2007 	Great Hotel Location	I was here on business for a week recently and had an opportunity to stay over the weekend. The location of this hotel could not have been better as I was working with a company on Power Road (next to the hotel). It doesn't look like much from the outside, but inside the hotel has a really neat retro style, very clean, comfortable and fairly quiet. You can tell some interior design went into this hotel from the rain showers to the funky lights. The staff is extremely helpful and very nice, and the room is big for a London hotel (especially the ones in town that cost more than this one). The ample breakfast provided with the room is a huge cost saver as well as you have a choice of a full hot breakfast or their continental buffet The location is also good since both the tube (Gunnesbury) is right across the street and the bus stops right in front of the hotel. These buses can take you to Syon House, Kew, and Hampton Court, all are worth a visit and this is the less expensive way of seeing them if you can take short walks after the bus stops. Tube rides to London is great as this is the District line where some of the major attractions are within a short walk like Tower Hill. It's about 25 mins to Victoria station, watch out for weekend tube work as it may mean you'll have to make some different connections but it still gets you there fairly easily. Rides to and from the airport (LHR) are less expensive than if you had to go all the way into town as it is right between LHR and downtown London. Definitely would stay here again.	
Sep 4 2007 	modern retro heaven	My husband and I, with the 3 children, stayed at the Chiswick Moran as party of a large wedding party on the 31st Aug to the 2nd sept 2007. Set on a busy but central road, you walked into the reception to a cool, retro oasis. We booked independently via the hotel two interconnecting deluxe rooms( one double, one twin) only to be told when we arrived that there were no rooms next to each other left, we explained that this was a problem due to the older children only being 12 and 14 yrs old. A compromise was easily made and we were upgraded to a junior suite and a executive room. However, when we entered the rooms we realised these were both doubles so my husband and I slept apart ( the first night being our anniversary, so the hubby had a bit of a strop on for a while).The rooms were lovely, the only difference between the two was that the suite was a little bigger due to it being on the corner of the building at the front. See pictures for decor. Do feel that the shag pile carpet may need replacing in a few years though as it was starting to look a bit worse for wear, but can't complain on cleanness. The bathrooms were amazing, funky and modern...loved the Green light box mirror. However the bath took ages to fill as the hot water pressure ( 3rd floor) was poor. The rain shower was refreshing.Breakfast.....the buffet was slightly limited but you could order from a small menu.....the salmon and eggs with coffee was a favourite.All in all this hotel deserves it's rating and we all had very pleasant weekend.	
Aug 17 2007 	1st Class	Just back from the Chiswick Moran 10th - 13th August. This was a trip to London for my daughter's 18th, and so we had her and her sister and two other young ladies who were friends of the girls. In all we had 1 x double and 2 x twin rooms. The rooms were lovely and spotlessly clean. We had a bed &amp; breakfast deal and so the early morning meal was a nice way to set us up for the rest of the day out and about in London !! (As an aside Wicked was, well, wicked, and Avenue Q was very good too).Back to the hotel, the staff were most friendly and when one of the girls couldn't open her safe the engineer was there within 5 minutes and had the matter resolved. For the evening, drinks not too pricey and room service which we had in the lounge one night was quick and tasty, and not too dear. For people coming from Gunnersbury Tube Station, turn left as you go through the barrier and you are just about 250 yards from the hotel which is on the right side of the road, so you'll have to cross over.Would I stay here again - definitely.	
Aug 15 2007 	Highly Recommended!	We stayed here for a night, good website rate including full breakfast and expectation was high from the website. Staff were really friendly, hotel unpretentious, rooms were great, big bedrooms and bathrooms, liked the decor..elle decoration with a 70's twist. We had a problem with the water pressure in our room and being terribly British I didn't want to complain, but so glad I did! Front desk were great and offered us another room which was just amazing. Huge bath, fantastic walk in shower, panoramic views overlooking London and the most comfortable bed. Had a lovely meal at the restaurant and equally great breakfast the next morning. The only thing I'd mention is the extras are quite high, tip for people driving, car park is pretty expensive £20 for 24 hours and worth noting you can park in a pay and display bay for 70p per hour with free parking between 6.30pm and 9.00am. The bays are adjacent to the hotel in Power Road. Internet and in house movies are pretty expensive too but apart from that great value for money and staff are the best. Would definitely go back again.	
Aug 12 2007	Shag pile memories	Obviously, Australians (of a certain age, who haven’t travelled well) need to sleep pretty much as soon as they get to London and keep sleeping exactly when they feel like it. So getting a comfy quiet hotel is very important. The Chiswick Moran was exactly right for this, we stayed for a week. Not cheap by Ozzie standards but certainly immaculately clean, spacious, light, airy and comfortable. The rooms are dare I say are “Funky”, i.e. shag pile carpet (didn’t we do that in the 70’s?) however the décor is pleasing. We had an executive room with a very spacious bathroom. The hotel does have a modern, popular bar, but the noise did not interfere with a good’s night sleep. It is a 40 minute train trip into London but 5 minutes to the rail station and easy to reach from Heathrow. There were some excellent local restaurants and pubs within a 15 minute stroll from the Hotel. You do need to be a walker. Tips: Try the little local Tandoori for an excellent smokey experience! Don't use the soap powder at the local laundramat.	
Jul 30 2007 	Highly Recommended!	I couldn't believe how nice this place was. After a bad journey, I was so relieved that the hotel was as lovely as their website claimed! The room was very clean and decorated to a high standard; I wouldn't have picked the bathroom colour for my own house, but it worked! The shower especially was wonderful. The staff were very friendly and helpful, there was ample parking and the breakfast was great, a wide selection of food and drink, although my other half was disappointed that all the croissants had gone by the time we came down! The location was perfect as we were attending an event in Gunnersbury Park and it was very easy to find, even for someone who rarely drives and isn't familiar with the area. The price was extremely good too, I paid the same for a recent stay in another London hotel and this was much nicer! I don't think I'll stay anywhere else in future.	
Jul 12 2007 	My number one London hotel	We stayed here one Saturday night in order to be back in Chiswick after a holiday for a weekend as we are currently temporarily working overseas. We booked it because of the reviews on tripadvisor. After a long haul flight in it was perfect. We had a corner room which was spacious and smelt almost new and in a great location at one end of the Chiswick High Road. Chiswick for anyone that doesnt know is a lovely part of London.The service was great and the Irish breakfast that was included was freshly cooked which is so much better than the usual chain hotels buffets where things have been warming for an age. Absolutely no complaints and this is my number one choice hotel when I come back to London.	
Jul 9 2007 	Fabulous Hotel	Wow! What more can I say? 8 of us stayed there for my hen weekend, and from stepping into the hotel we were very impressed. We stayed on the 5th floor. Everything about the room was to our satisfaction, from the extremely comfy beds to the lovely bathroom/shower. The continental buffet and cooked breakfast was to our satisfaction (although the waitress did get our orders mixed up on the 2 mornings we stayed) and very plentiful. Make sure you taste the danish pastries!The hotel staff were very accomodating and I cannot thank Alberto and his team for making our stay a very pleasant one. It's not the ideal location, but we certainly had no trouble commuting to Central London for our organised activities as Gunnersbury tube station is literally down the road. I would definitely recommend this hotel and look forward to going back again sooner rather than later.	
Jul 8 2007	Fantastic	I stayed in this hotel for a weekend, with 7 friends and we loved every second of it, we were upgraded to executive rooms, which were amazing, the rooms were very good sizes with fabulous bathrooms which had walk in showers and a huge bath. The staff were very pleasent and very friendly, breakfast was nice. The hotel is close to a tube station and gets you into london in about 20-30 minutes. I would highly recommend this hotel	
Jun 24 2007 	Nice Hotel	Stayed here for a weekend and found the room and bathroom to be very nice, Nice comfy bed and great shower and bathtub The staff were nice and helpful and the food in the bar and room service was great. All in all it's a great hotel and only across the road from the tube station which will have you in central London in half an hour	
Jun 15 2007 	Fantastic Designer Hotel!	We stayed at The Chiswick Moran Hotel last Saturday night, but we wished we could have stayed forever!It's not the best looking hotel from the outside but once we stepped inside we were amazed. We arrived a few hours before check in time but were greeted warmly and even given a free up grade to a Junior Suite.The rooms are gorgeous, fantastically designed with all the high tech gadgets you could wish for.Massive bathrooms with speakers - so you can listen to the music channel while in the shower!All this and it's only a two minute walk to the tube station - don't bother paying double for a hotel in central London.Can't recommend it enough!	
Apr 29 2007 	Great hotel great value	Spent two nights over Easter. Booked through well known hotel booking website, but still given upgrade to superior room on arrival. Superior room bit bigger with bigger bathroom. Being new rooms all in perfect nick and decor great. We paid £72 per room per night for double, including hearty full Irish (Irish owned) breakfast. Also allowed us to check in early so we could leave the car and walk across to Kew Gardens for the rest of the day. Carpark is £10/day for residents (despite sign on barrier saying £20). Get yourself a travelcard from the underground station 200m along the road to get into central London. Would definitely stay again - comfortable, clean, friendly efficient staff.	
Apr 20 2007 	Extremely frustrating experience	Below is the email I sent to the hotel after our stay. No response has been received to this email.Sir/Madam,We stayed at your hotel over the Easter weekend and were extremely disappointed at the experience. Your staff were polite and helpful throughout however two incidents ruined the whole experience.1. As you can see from our original booking we requested a cot. When we checked-in we were told there was a cot in the room. When we arrived in our room no cot was present. When we rang the front desk we were told that there were no cots available and that one was not put aside as we had not requested one via our internet booking.Apart from the contradiction of not having one in the room after being told by the front desk that we had one allocated, we clearly indicated we would like one via our booking and to be told it was not on the internet booking was extremely annoying.90 minutes of our evening was ruined as one of our party had to drive across London to collect a cot.2. We booked a junior suite for the express purpose of being able to put our baby in the bedroom and being able to entertain other members of our party in the living room. When we arrive at our &quot;suite&quot; we discovered that your hotel appears to have re-invented the definition of a suite as it did not have separate living and sleeping areas.I was informed by your front desk that I was indeed in a suite and that the room was your hotel's definition of a suite. While I don't propose to advise you on the best way to market your hotel's rooms, might I politely suggest that calling a single room apartment a suite is clearly misleading and a miss-selling of that room.Regards,	
Apr 8 2007 	We loved this hotel	We took our three children to London staying one night at this hotel. I can't say enough good things about it. The staff were very friendly and helpful, the food was lovely. We had an evening meal which we all enjoyed and the breakfast was fantastic. Our rooms were spacious, clean and the decor really modern and the beds really comfortable. We drove in from the M4 so parking at the hotel for £10 was very good and the tube is close by. We found getting to South Ken very easy and quick.We'll definitely be staying here again - for longer next time. I would recommend this over the Holiday Inn Kensington Forum where we've usually stayed in the past. The Chiswick Moran is very family friendly.	
Apr 2 2007 	Amazing Stay for an Amazing Price	What can i say. Superb! I don't normally stay in hotels, however i wanted something a bit more special when going to london for a romantic weekend. I did loads of research and found that for a ok ish hotel with average reviews on this website i would be paying £100 plus a night for a double room in the centre of london with no breakfast. That's when i found this place. Slightly further out. 2 mins walk from gunnersbury tube station and then 20 min district line journey into centre of london. So for £80 pounds per night including full irish breakfast (very tasty) as well as a continental breakfast (eat as much as you want) i thought this hotel was a bargain. We booked the double deluxe room (there most basic i think) however when we arrived, we were upgraded to the executive double. The service was outstanding. Ringing places for us, finding out any information.The rooms were always clean and tidy, gorgeous bathrooms. For a 20 minute journey into the centre of london, this hotel is definately worth. All the good reviews about this place are correct. Chiswick high st, is nearby, 2 mins on the bus, 10 - 15 minute walk and there are loads of restuarants there too. we went there sunday night. Basically i can't recommend this place enough.	
Mar 7 2007 	Great stay at the Chiswick Moran	We booked the Chiswick Moran for a weekend stay after reading other reviews on Trip Advisor and we weren't disapponted. We only paid £78 per night for a double room (including breakfast) on Laterooms and it was a great bargain!!!The hotel is well situated 200 yards from Gunnersbury tube station. It is spotlessly clean throughout. The rooms are well furnished with flat screen TV, a very comfortable bed, and a beautiful bathroom with shower and bath. The only fault was no tea-making facilities in the room. The staff were exceptionally friendly and obliging for London. Parking would have been expensive (£20 per day) but the receptionist allowed us to park in one of the free spaces at the side of the hotel. (No CCTV but there wasn't any problem.) Breakfast was included and was of an excellent standard with very pleasant service.The bar was very lively in the evening. Its obviously popular with locals. Half price cocktails were on offer until 7pm on weekday evenings. Altogether a great stay. We will definitely be back.	
Feb 27 2007 	Sorry we only had one night	I chose this hotel mainly because of the reviews on this site. We were upgraded on arrival to a junior suite and I had no problem with the furry carpet. The room was very bright and tastefully decorated with everything one could need for an overnight stay.The shower was one of the rainfall variety and after a refreshing soak we hit Le Vacherin just off Chiswick High Street (that's another review). Getting back we popped into the bar for a nightcap, not overly crowded but a nice buzz. The bed was comfortable and breakfast next morning was very good, both hot and cold choices. The staff were very friendly and attentive. I would definitely stay here again, I got a good deal through Octopus and feel this was a real &quot;find&quot;. As regards parking, the sign on the carpark said £2 per hour or £20 per day but we paid at reception for 1 day and it was £10 which we thought was good.	
Feb 26 2007 	What a GREAT hotel	My partner and i are very happy and content guests. We strongly recommend this hotel to anyone. Its based in a lovely and convienent location, only 20min from central london with the gunnersbury station only minutes away. All the staff were very helpful and friendly and might i add that they all looked very proffesional and lovely in they uniforms.The room we were allocated to was absolutely gorgeous which had a magnificent view of the area.I booked this room through Superbreak as a suprise for my partner as it was his birthday, absolutely worth every penny.We will without a doubt recommend the Chiswick moran hotel to our family and friends.	
Feb 21 2007 	Fine hotel in Chiswick	Fine hotel for the Chiswick area of London - an area which has been lacking in decent accommodation. It's some distance from Heathrow and requires 1-2 changes. The rooms are fine, bed very comfy, food fine, staff pleasant and attentive, prices are reasonable. The decor is intentionally 70's retro which does mean it is likely to look dated fairly quickly so best stay now! The staff didn't seem to know if parking was available or not but I have since been told you need to book a parking space when booking the room. I have just 3 comments about the room; whoever chose the carpet didn't realise that thick furry shag does give the feel of walking on pubic hair. A full lenght mirror on the bathroom door was a problem for me. I stayed for 4 nights and every night when I got up for a pee I had a shock that somebody was standing in the bathroom doorway. Others with a less dramatic imagination may be OK. Finally, there is no shaving socket. The person at reception told me this was because there were concerns that guests may abuse the sockets .. not sure how or why. I'll certainly stay again. I'll take slippers to avoid the carpet, a razor and leave the bathroom door open in the night to avoid the shock.	
Feb 19 2007	Great stay Great Value	My husband &amp; I just returned from a weekend at the Moran. Its a fairly new hotel which has only been open about 8 months and I have to say I was pretty impressed. We stay at a lot of 4-5 star hotels in Europe and its not perfect yet (its still young), but its pretty darn good. Its furnished in a more modern version of 60s-70s style, very nicely done. The bathrooms are nice &amp; modern (good tubs, very important). It is located only a block and a half from a Tube stop. There are also MANY nice restaurants/bars within 5-6 blocks (10 min.) walk from the hotel right on Chiswick High Road. For the money, I think you really cannot do better in London. We booked on-line at octopustravel and received a very good rate with a full breakfast included.The stay wasn't &quot;flawless&quot; (which is a bit to be expected with a brand new hotel), we had a small issue with hot water when we checked in, but as soon as we mentioned the problem and the maintence staff verified there was an issue, we were immediately upgraded to a Jr. Suite and had no problems whatsoever. The staff is great, incredibly helpful. The bar is also really nice and very popular, if you want to have drinks there on a weekend night you should reserve a table as many people from the area come there as it has a very cool ambience.	
Feb 4 2007	Good quality value for money	I booked the Chiswick Moran on the strength of other TripAdvisor reviews, and I was very pleased.We stayed just the one night, and I asked for a room with both shower and bath and got an upgrade from Deluxe to Executive without any problem. This hotel is high quality, with friendly staff, and very well located for tourists coming into London from Heathrow or the West who are happy to use the 'tube' to get into central london. Tip: use the buses right outside the hotel to go out west to Kew, Richmond and Twickenham - lots of historic parks and stately homes within a couple of miles - you can also get a boat from Kew Bridge up to Hampton Court or into Westminster - Kew Bridge is a short 15 minutes walk or a quick bus ride from the hotel.	
Jan 24 2007 	Love it Love Love it	I am very fussy when it comes to hotels. I read the other reviews not believing it could be as good as they say. It was however very nice. Modern, stylish, friendly (for london) and ideal loacation. I know i liked it as i came away thinking i hope nobody ruins the room we have just stayed in as i really look forward to staying here again. Breakfast was slightly below par, few people complaining about cold undercooked food, however i didn't have a problem with my toast, fruit, yoghurt selection. A few suggestions for even better service - would be variety of teas on offer, ladies magazines in rooms, branded toiletries (cant beat molton brown!), banning children from bar area.	
Jan 5 2007 	Molto bello. Very good!	We've been there since 29th December to 5th january, in a triple room. Very very nice and modern room, LARGE, clean and comfortable. Internal bathroom with shower and bathtub.Lights in the room were very good, with dimmer in the bathroom too!! A LCD TV was present , 3 seats and a table.The staff was nice, continental breakfast was complimentary and abundant until 10 am (11 am in weekends) in Napa restaurant, inside the hotel.A very nice bar with lots of seats was present in the hotel.We spent a very good holiday there, at only 5 minutes by foot from Gunnesbury underground station (district line, zone 3, less than 30 minutes to Westminster station). By night, the N9 bus took us from Piccadilly Circus to a bus stop at 10 meters from the hotel entrance: very comfortable!!Ok, it's not properly &quot;London downtown&quot;, but..hey, you can't have everything!! Before staying there, we spent a night in another hotel in Paddington: we didn't stay bad there too, but the room was TINY, and no comparison is possible with Chiswick hotel: another level!The concierge staff was very nice with us, they come from Ireland, Poland and Australia, and it was funny talking with them...Considering the (very) HIGH prices for London hotels, we consider Chiswick Moran Hotel a good place to stay.Definitely we'll return there again in a future holiday in London!!By Gianluca Annalisa and Paola (Italy)	
Dec 19 2006 	fantastic		
Dec 6 2006 	really nice hotel pricey extras		
Nov 28 2006 	Perefect		
Nov 19 2006 	Excellence at a reasonable price		
Nov 7 2006 	Faultless.		
Oct 16 2006 	Absolutely faultless		
Oct 11 2006 	Fantastic		
Sep 27 2006 	Loved it go there!		
Aug 2 2006	Great and good value		
Jul 24 2006 	What a find!		
Jul 30 2009 	Klasse!		
Mar 6 2009 	j'adore		
