	ubiquitous large hotel but excellent value for money	Rooms were a decent size, very clean and very quiet. Excellent location and good value for money.	
Aug 8 2006 	Great Hotel near Victoria Station	We stayed here at the end of July during the extremely hot weather, and were very pleased with the air conditioned rooms. Very Cool!The location is very convenient just outside of Victoria Station- (be sure to take the Hudson Place Exit from Victoria Station next to Platform 1)Service was very professional and our room was very comfortable.A well appointed hotel lobby and lounge area.We were also pleased to receive a nice letter from the Park Plaza regarding the comment card that I left at check out. Nice touch!We'll certainly stay here again.	
Aug 7 2006	Great location great hotel!	Just back from a two night stay at Victoria Park Plaza in London, and thought the hotel was great! We got a great deal on Expedia, and weren't really expecting the hotel to be as good as it was.Just around the corner from Victoria station, it was a great base for our weekends shopping. Upon arrival, there were no queues to check-in, and the reception staff were lovely. The whole process only took about a minute, and we were on our way to our room.The room itself was lovely, we were given a double room, although I had requested a twin room when confirming the booking - but the bed was huge and very comfy so we were happy enough! The room itself had everything you need - a good sized modern bathroom, which was spotless, an ironing board, tv and all the other things you would expect (tea making facilities etc).We didn't take advantage of the breakfast because we thought it was a bit steep (£16), but in Victoria station there are loads of coffee shops where you could grab a pastry and a cup of coffee on the go.The hotel lobby was very impressive withan airy minimalistic feel, and the bar was very nice too. We stayed in the bar late on Friday night, and the staff bent over backwards to accommodate us.Overall, a really pleasant experience and I would definitely go back if I was staying in London again.	
Aug 4 2006	Great Stay at the Park Plaza	We stayed in an executive room. It was a large and clean room, very well kept. The carpeting, sheets, furniture, curtains, and bathroom was spotless. The bathroom was spacious and modern in decor with marble. We also had complementary robes and slippers as well. This room is definitely not small compared to European standards. The room came with a complementary tray of extra toiletries such as a comb, shower caps, and sewing kit. We were welcomed with a small fruit basket and two small bottles of still and sparkling water in glass bottles. The room also had outlets compatible with US standard plugs as well as European ones. The air conditioning was very effective, especially in the recent heat waves in Europe. There was an ice machine on every floor as well, which is unusual for European hotels. The staff was very friendly to us. We had no problems checking in and out. We were served very quickly. When our room card had been demagnetized and we were locked out of our room as a result, they were very helpful in quickly re-issuing new keys. The concierge was knowledgeable about the area and they offered a free London map as well.The area is not too bad. It is near Victoria station, about 2 blocks around the corner. However, at night there are some homeless people at night, but for the most part, it was fine. During the day, the streets around the hotel are well traveled by tourists and locals going to work. It seems that the hotel is near some business buildings. There is a good variety of restaurants across the street as well as down the block ranging from American to Asian and others. There is also a mall about 2 blocks down as well. Behind the hotel, there is a street full of restaurants, a supermarket (Sainsbury), and a chemist. This street behind the hotel is very nice and not seedy at all as some had described. There are a lot of food choices.Our room also came with complementary breakfast in the executive dining room, which we accessed with our key card. The room was lovely with tables covered with cloths, cushy sofa chairs, and a wide variety of cold and hot items. We had cereals, eggs, cold and hot meats, fruits, vegetables, potatoes, breakfast bars, pastries, rolls, juices, yogurt, and coffees. The staff was very friendly as well and served us with a smile.The only downside was the construction behind the hotel. Most of the time, they were not working. One night, they were however, but it was not for long and we managed to sleep after that. Just ask for a room that is not on that side of the hotel and you will not hear the construction. One of our rooms was on the other side of the construction and we were not bothered by the construction. We have stayed in other hotels in London as well as around Europe and they were not as large or clean as this one. It was a nice surprise and a good value for the price we paid.	
Aug 3 2006 	A great nights stay	This hotel is above standard in their attitude to their customers. Everyone from the reception staff to the cleaners is polite and more than helpful. Credit where credit is due, this hotel is unique.Clean rooms, loads of space, lovely breakfast, centrally located, what more could you ask for in a busy metropolis.The use of the executive suite for afternoon tea etc, and drinks between 6pm and 8pm is another touch that makes you feel special. well worth the small extra cost..... highly recommended! We loved our short stay and would definately stay their again and highly recommend to anyone who asks..... If in London it must be the - Victoria Park Plaza Hotel.	
Jul 30 2006 	Very Pleasant stay at Vicoria Park Plaza	I'm not sure what people expect in London. This hotel offers incredible deals (we got a nice discount deal). This is a very stylish and cool hotel that is conveniently located in center of London. You can grab a cab, take a bus or train, and go anywhere in London. Loved the hop on and off bus that you can catch a couple blocks from the hotel. The breakfast was OK by hotel standards with all the usual fare. The real surprise was the food in the bar atrium area just off the lobby, very good pasta, burgers etc. Kids loved it. The rooms were modern with all the conveniences and comfortable. This is a great value considering how expensive London is -- don't know why people would complain. You shouldn't be disappointed here.	
Jul 29 2006	Large Room Huge Bathroom	A very well located hotel, 2 blocks from Victoria Station in London. Very clean, neat, renovated hotel, from lobby to the sleeping rooms.In our standard room we had a large clean bathroom with 2 showers, (good water pressure). Large sleeping area, with sitting area, comfortable beds, newspapers every morning (Free continental breakfast).Sockets to plug in US, Europe or UK plugs (no adapter required)Easy walk to Buckingham Palace region, Victoria Station (for buses, trains and Tube stations), so easy to get anywhere in the city.Will stay there again in the future. Check the web for good deals, we were mid-week for 69 UK pounds per night.	
Jul 26 2006 	One Man's Meat etc etc	Found none of the problems recent visitors seem to have had.Staff were helpful and courteous.Room was clean, cool and well stocked, didn't use the mini-bar but then who does except people with more money than sense.Breakfast, included in price, was more than adequate.As for the seedy area, I can only suggest these people should get out more often. Any city railway station attracts streetlife and if that bothers you then avoid railway stations !!	
Jul 24 2006 	Spend your money elsewhere	I booked this hotel for three nights, and then for another three nights once we were to return from Paris. I must admit I was reluctant to return to the Victoria Park Plaza for the second stay I pre-booked. After sitting on a plane for 7 hours, traveling to the hotel from Heathrow, and all the jet lag I had in me, I could not wait to get to the hotel. We get there about 1pm, check in, and the front desk tells us to come back in about an hour and a half when our room is ready. That was no problem as we were there before check in (I had requested an early check in, oh well). We return an hour and a half later, and our room is still not ready. By that time the lobby is full of people waiting on rooms, and we proceed to sit for another 45 minutes in front of the desk. It took us going back up there again for them to finally start calling around for keys. In the days we stayed there, you always knew it was check in time by the tons of people sitting around waiting in the lobby half-asleep with luggage while the staff stands around.The rooms are definitely more form over function. Things look nice, but for example, the light switch beside your bed turns on the light above the other bed to reduce reading glare according to their card. Well, what about the person who is trying to sleep on the other bed? It just doesn’t make sense. They said they had room service, but we had no menu. Our remote control didn’t work, and the pillows were about as fluffy as a cardboard box. No problem though, as I know hotels are done a bit different in Europe. The next morning, I got to wake up to a wonderful bulldozer. Across the little two lane street there is a huge construction project going on, so I couldn’t sleep off my jet lag. The only reason I didn’t cancel my second stay for when I returned from Paris is the convenience to Victoria Station where I needed access to the Gatwick Express.For our second stay, check in was much better. She told me they only had smoking rooms left (booked non-smoking, and I got there at check-in time). I was okay with that, and asked her if she could put us on a side with no construction to which she was nice enough to do that for us. Walking into that room was a whole new story. Apparently they just left everything out of our first room, because this one actually had the room service menus, access to the minibar, and everything else they tell you your room provides. The room was quieter, but thanks to the cardboard pillows, I am still suffering from a sore neck. When our express bill came, we were charged for things in the mini-fridge we never took, so be sure to check your bill. Overall, I did not feel as though I got what I paid for. I will not recommend this to other people, nor will I ever set foot in there again. I can usually overlook a lot of things, but the inconsistencies in rooms, and the horrible unfriendly hotel staff make this place a complete NO in my book.	
Jul 21 2006 	The Worst Hotel I have ever stayed in.	We booked this hotel on price, figuring that for the price we would get good service. We paid 300 pounds per night for a serviced apartment as we have a small child.Our DVD player did not work and after several days of complaining they finally told us there was nothing they could do about it.The shower was terrible and the airconditioning was non existant. If we asked a staff person about something or other they would say &quot;Oh, I dont know about that you will have to ask...some other department.&quot; Overall the worst service we have ever had.	
Jul 21 2006 	Nice hotel if a little pricey	Stayed at this hotel 20/07/2006.Was in an EXECUTIVE room so this review may differ from others.Hotel itself is in an excellent location - 2 mins walk from Victoria tube. Location is let down slightly by the fact that there is a massive building site directly opposite at the moment hence our view out of the window looked like a shot from the second world war after a doodlebug had landed! Would add however that this site created little mess and no noise at all that affected our stay and the view isnt great from any hotel in that particular area because everything is so built up.Hotel lobby was very nice .. unusual scupltures made out of denim jeans and twigs (see other reviewers photos) that made me smile.Reception staff VERY helpful and friendly - a rarity in London hotels - on both check in and check out.Downstairs lounge area was very popular although didnt use it myself.Executive room was spotless and nicely decorated / lighted. Bathroom was large and well decorated, air con was spot on for these ridiculous temperatures we are having at present. Executive welcome tray was a nice addition - additional toiletries / extra coffee and chocolate / water / fruit .. very good after travelling.My usual mini-bar warning - this is an electronic bar and as such even moving an item to put your own water in the fridge will see you charged for it .. I didnt fall foul of this but always see fit to warn people these days :)Executive 'lounge' was nice (card access only for executive room members) .. free drinks in the evening and a very nice breakfast the following morning.It was expensive - probably wouldnt have gone exec if I was paying out of my own pocket - but it was a very nice stay nonetheless and would recommend my experience to anyone.	
Jul 17 2006	Very Average	I stayed in this hotel for 3 nights last week. I had booked a king non-smoking and they gave me a queen smoking. The girl at the desk tried to convince me that a king sized bed isn't that much bigger and when I told her that I know the difference because I sleep in one at home she offered to try to move me but I declined because Ifigured I might get a worse room. The room didn't smell of cigarette smoke at all so the fact that it had an ashtray in it didn't bother me. The real reason that I didn't want to move rooms is because they charge a ridiculous 15 pounds a day for internet access (thought the information card on the desk says 9.99 pounds) and I was fortunate enough to be on the 1st floor where I was able to pick up an unsecured wireless signal from a neighboring apartment. The mattress was sub par and I didn't check but I believe it may have just been a foam rubber type. The modern upgrades in the hotel are a little over the top for me. I sincerely doubt that thye will spend the money to keep it up and the full size mirror on the back of the tub is already starting to look terrible (you can see it in the candid pictures; the one of the tub, check out the edge of the mirror). Functioning air conditioning was a plus and if anything it actually got too cold (rare to hear that from a southern american). There is no vending in the hotel at all and if you want a soft drink late at night you're either stuck paying the two pounds in the mini-bar or god knows how much for room service. There are no 24 hr convenience stores in the area even though it is only a block away from Victoria Station.	
Jul 11 2006	A bit pricey but nice	We stayed at the hotel for one night and it was in a bit of a seedy area. I think that for the price we paid per night we should have recived breakfast in the package. It is next to Victoria Street Station so it was convenient getting to Gatwick airport, but I am not sure if the convenience was worth the price...	
Jul 5 2006 	Great hotel central location	This is a beautiful hotel just minutes away from Buckingham Palaca and right around the corner from Victoria Station, which makes it quite comvenient for getting the Gatwick Express train to the airport. Spent two nights here on the tail end of a business trip/vacation and wish I would have had more time. Very spacious rooms and bathrooms with A/C that you can control - and that actually turns down far enough to be comfortable (unlike other European hotels). Nice restaurant/bar, with the ability to order breakfast ala carte, which I've found was rare in the UK. Very comfy beds also. Highly recommend this place for business and leisure travelers. I couldn't believe we only paid 139 GBP per night. It was a steal.	
Jul 3 2006	Awful Hotel	Stayed here for one night. We wanted a 4* hotel on the doorstep of Victoria Station and this fitted the bill and looked great from its description on the web. How wrong we were. This was the worst hotel I have ever stayed in. I would never never ever stay here again or recommend it to anyone . The staff were indifferent, the room was pokey, dirty and the towels smelt and were unclean. This was far from value for money.	
Jun 19 2006	Good value	Well situated for public transport, both tube and bus. Comfortable room which we booked on a special rate through travel zoo. We were upgraded to an executive room which was part of the deal but found that none of the extras were available until we requested them, i.e. welcome tray, bathrobes, slippers and face cloths. They did arrive quite promptly. We could not access the executive lounge due to problems with the card keys and when we did on the 2nd day we found it a bit of a disappointment with very little in the way of refreshments. Breakfast in the restaurant was very good and offered a really good variety of hot and cold food. I wish they would not cook so many fried eggs at once as the later ones become rubbery and unpleasant. Our deal did not include taxes and this resulted in a further 17.5% VAT added to the bill but it was still good value. We would return.	
Jun 15 2006 	Very Comfortable	Great hotel, modern, clean and quiet. The rooms were of good size with all the required accessories available. The fitness center was more than satisfactory after a day's outing.The staff were friendly and attentive. Always at your service. Could use a few more international TV channels, the bathroom was a bit slippery and the shower door was hard to manage but besides these minor complaints, was a great hotel.	
Jun 14 2006	My view of the Park Plaza	Just got back from vacation yesterday and thought while things were fresh in my mind I would give my impression of the hotel (7 June-13 June). The hotel is in a great convenient location that is just a 5-minute walk from the Victoria Train/Tube station. Just out the side door and down the street.The front desk staff was very helpful and polite. My only complaint would be that when checking out they ask if I would like the bill in US dollars but failed to tell me that there was a 3.5% charge to change it. The room was clean but showed wear. I had to ask for a washcloth each day, they would leave clean towels but never wash cloths. We had an executive room that included breakfast and access to the lounge but they changed the lock code every day so I had to swap the key card each day. The only refreshments in the lounge most days were coffee and bottled water. The breakfast bar was very plentiful. A good hot breakfast of toast/rolls, bacon and sausage, scrambled and sunny side up eggs or order omelets, potatoes, tomatoes, beans and mushrooms. They also had a cold bar of cereals, juice, and fruit with bread and cold meats. Some of the wait staff could have been more efficient, they would stand and talk, but most were very helpful. The last morning I had to get up and leave without finishing my breakfast when I watched one of the waitresses pick her nose and rub it on her shirt I am glad it was the last day.	
Jun 12 2006	Good value	This hotel is a good value for travelers. The room was especially comfortable, the shower was fantastic, the hotel cleaning staff is exceptional. The carpeting needs to be replaced in the common areas. We were charged 25 pounds for a fax, which was outrageous. The best bet is to use any of the several internet cafes for email, faxes, etc. The restaurants in the neighborhood are not good, except for Jenny Lo's on Eccleston, and the Grenadier, an old pub in Belgrave.	
Jun 7 2006	Wonderful Clean and Modern Hotel!	My husband and I recently took a trip to London, Paris and Rome. We were expecting to like Paris and Rome much better than London, but to our surpise London was absolutely amazing! We both feel this had a lot to do with our stay at the Victoria Park Plaza. I have a bit of a phobia of dirty hotels and generally HATE sleeping in hotel beds. The Park Plaza was clean, beautifully decorated and in a fantastic location. I felt very comfortable. We took the train from the airport which took less than 30 minutes and was only about $15/per person. We walked to the West End, Buckingham Palace and Westminster Abbey from our hotel. They're not right next door, but they were all within reasonable walking distance through very safe, commercial areas. When we were tired of walking (we're office people - not used to all of the walking) the hotel was a block from Victoria Station and we'd just hop on a train to wherever we needed to go.I highly recommend this hotel and will definitely stay there on our next trip to London!	
May 30 2006	great hotel but	this hotel is in a great locaction, staff very helpful ... very clean hotel ... stoped in the exec room very clean and large....breakfast could have been warmer.. this his our view	
May 27 2006	Good Location and Modern Looking	This hotel has a great location that is just a skip and a hop from the Victoria Tube station.The bar section is open and airy.The front desk staff were very helpful with directions and cashed one of our travelor's checks.We scratched our heads looking at the art work in our room but I guess if that's the most to complain about, you're doing ok.The bathrom floor can get pretty slippery. I didn't care for the funky glass door in the shower that doesn't fold all the way. The room was spacious and quiet.Overall, this hotel fills the bill.	
May 18 2006	Chic and convenient	i have now stayed at the Park Plaza Hotel 3 times and will definitely return every time I am in London. It is incredibly convenient being about 100 yards from Victoria Station (which has a direct train link to Gatwick Airport). But, more importantly, it is a work of art from top to bottom. It is ultra modern without being unomfortable and has fascinating paintings and sculptures at every turn. (Try deciphering the poetry over the bar!) Even the doorman and the reception staff are part of the art work with their sleek black outfits. The rooms are elegant and well appointed and the bathrooms are a dream. On my last visit the hotel was full so they put me in an apartment on the 8th floor - I didn't want to go home! This is London living as it shoudl be and I recommend the hotel to anyone who doesn't enjoy staying in a featureless box.	
May 16 2006	okay but only if you get a deal	I hesitate to give a four star hotel a 3 rating, but it dissapointed for a 4 star. The room was nice, bit cannot be characterised as big. We were there on a weekend special which included an upgrade to an executive suite, which was a nornal room with bath robes, slippers, a few extra toiletries and a fruit/chocolate thingy. The room was clean. The executive lounge was well appointed but I would have rather seen it appointed with more options for daytime drinks (only had a coffee/hot chocolate machine) and perhaps a snack or two. The evening drinks were much better, but for a short time. The breakfast somewhat redeemed the hotel as it was tasty and plentiful. There were charges for wireless, and not just a nominal fee (why isn't this free at a four star?). The location was good, esp. if you are there for the theatre or need to get on the tube. Get a deal or look elsewhere.	
May 14 2006	Some Trickery	The Victoria Park Plaza is a comfortable hotel, but it lacks some honesty by the desk staff. My husband and I are a mature couple who were traveling out of the USA for the first time. We read all the major travel guides to be aware of the scams. Several of them were attempted on us by the desk staff. We had to set them straight. This eliminated any false charges. Too bad you cannot trust the hotel you stay in.	
May 12 2006	Great Hotel	Stayed in this hotel on the 5th and 6th of May after reading the reviews on Trip Adviser and for the second time this year I was not let down byTrip Adviser (booked hotel in Rome earlier in year- another gem) we had booked a room for 2 nights but a very helpful girl at reception (from Germany) told us for the extra charge we could upgrade to execative suite which we did and thought it excelent value. The location is great you can walk everywhere if like me you like to walk or if not you are just beside main line and tube station. I cant fault anything really in hotel but (there is always a but isn't there?) for the orange juice in the morning it was like water - maybe it was all the ice in it but for a little expenditure it would have made breakfast perfect. We stayed in room 125 and our overhead lights seemed to be wired wrong which meant when my husband read late he had to get out of the bed to turn off the light from my side(as I was asleep) but really everything else was so perfect it didn't upset us. Having read reviews about unhelpful staff I cant say but I always found them most courtious and helpful.	
May 9 2006	BEWARE HIDDEN CHARGES	It is such a shame the management just doesn't understand that travelers are savvy and it's important to be upfront and honest instead of hiding prices everywhere. First of all, there are some great special rates for this hotel...so one thinks. I booked the hotel for 4 nights, with the inclusion of the Executive Plan (breakfast, hors d'oeuvres, limited drinks) and free internet. First of all: the free internet is one hour of dial up which will barely open your e-mails. I called prior to booking the room and was told that the internet was &quot;wireless&quot; and &quot;free&quot; with the Executive Package. When I told management this, they did nothing, didn't even offer me a free pass for the day. They said the internet was an outside service (apporx. $ 40 US per day) and once you connect you have to stay connected or you get charged the full amount again. The Executive Plan also includes a safe big enough to hold a 15 inch notebook computer... yes, that is true, but if you can't disconnect from the internet, what good is a safe? They also urge you to dine (under the Executive Plan), included in your rate either in the Executive Club (a small room, but nicely appointed) or in the lobby's spacious restaurant. I chose the restaurant. What they don't tell you is that you have to pay for your own coffee, teas, etc. in the restaurant...and a waitress will come by every 10 minutes asking if you want coffee or tea. So the &quot;included&quot; breakfast, they get you for over priced coffee and tea. If you serve yourself the coffee and tea in the Executive Club room there is no charge for it. The rooms are small, but clean and well maintained. The location if you are interested in theatre can't be beat... they have a good product, but all the hidden costs continue. When I went to check out, they charged an 18 % tax and a 3% fee to use a VISA credit card (not a debit card) but a VISA card. This is, in addition to whatever charges your own VISA card will make. So by the time you are done, you have to figure the price of the room is actually 20% more than what the internet rate says. We also had the fire alarm go off and everyone ran out of the building. When we returned after standing out in the cold for 20 minutes, we returned and passed by the General Manager of the hotel who didn't make any apology whatsoever, and didn't even say thank you for your cooperation. Nothing. I don't think there was a fire, somebody just pulled the alarm, but it was taken very serious. I won't stay at this hotel again because I don't like to be tricked into paying a higher price than advertised. This is the way the hotel makes money, which is a shame, because it is a lovely property. The front desk staff is not very friendly at all and will not help you if you have any problem...they just don't care. The hotel is booked full to brim all the time, but after awhile, people will catch on that this place is full of deception.	
May 1 2006	Good Stay - A nice hotel for London	My wife and I stayed at the Victoria Park Plaza in mid-February. I was in London on business and my wife came along to be the tourist. I'd rate it as a 3.5* hotel.I've been to London over 30 times in the past 10 years. I'm required to travel on Federal Per Diem rates, so the 5*, first-class properties are not within my travel budgets. I'd say that the Park Plaza was one of the nicest hotels I have stayed at for the rates I can pay.Unlike most hotels in my travel budget, the Park Plaza is a modern facility with high-speed internet access available. The rooms were large and well-appointed. Staff was friendly, and very helpful in assisting my wife with directions.The location to Victoria Station is convenient and it is an cheap and easy (but long) Tube ride from Heathrow to Victoria Station. There is one change in trains required to transfer to/from the Piccadilly Line to the District or Circle Lines -- but at a couple of stations it is only a 25 foot walk across the platform to make the connection.I'll definitely be staying at the Park Plaza again (as long as the rates stay affordable).	
Apr 30 2006 	Excellent handicapped facilities	My wife, who is confined to a wheelchair, and I stayed for a week at this hotel during the first week of April. We found the staff to be friendly, competent and attentive to our needs. The restaurant is top notch, excellent menu. The concierge staff made bookings for us on the London Eye and made sure that we got the best rates. The hotel is well located, only a two-minute walk to Victoria Station and tube. The room was very comfortable and quiet. The washroom had an accessible shower which my wife really appreciated. The only problem with it is that there was a tendency for water to spill onto the ceramic floor which was slightly slippery. I suggest that you put down extra towels to take care of the leakage. Overall, we had a wonderful experience at the Victoria Park Plaza and we're planning to return next year for another week.	
Apr 24 2006	Over-rated	4* rating is too high.Breakfast poor and cold by 9:30King size bed was two singles pushed togetherStaff friendly, if slightly clueless.Disappointing£120 per night you can get much better deals.	
Apr 14 2006	Great hotel	This was a great hotel, especially if you're able to get a special deal on travelzoo. The three of us (two adults and a 15-year old) got an upgraded room (not suite, just larger room), a welcome package (fruit, water, extra toiletries, and candy), access to the executive lounge (evening drinks/appetizers and English breakfast), and passes for two for the Open Bus Tour (hop on and off tour of London) for £79 plus tax. The room was very nice (especially by European standards) with a nice bathroom. This is a relatively new hotel; so, everything is new, clean, and modern. The location is extremely convenient too, although we took public transportation from Heathrow (the express train and the tube). I would not recommend doing that - it's too complicated with luggage; lots of steps. The hotel is extremely convenient to Gatwick, though (we left from there). The express station is practically across the street. The evening drinks and appetizers were a little disappointing - drinks were fine, but the appetizers only included small eggrolls, potato chips, olives, and pretzels. We came down a bit late the second night and our only choice was chips or pretzels. The breakfast was fine, however. I'd definitely recommend staying here, especially if you can get a deal.	
Apr 6 2006	You won't hear a thing	I wish there was a rating between 3 and 4, because it really is better than average in some respects. The best things about this hotel are the soundproofing and the beds. Once you are in your room you will not hear toilets flushing in another room, noise from the corridor, people walking overhead--nothing. One night workmen were drilling around midnight on the street below and the windows blocked out the sound. The beds were comfortable and the room was large, hard to find in London. Our bathroom had a big tub. The decor is rather bland, however, and I was surprised that there weren't more trendy touches, considering this hotel is just a couple of years old, including a not very modern television. The staff is young and pleasant. The location is superb, just a couple of minutes' walk from Victoria Station.	
Mar 30 2006	Close to being excellent - but not quite!	Things listed on plus side:+ Location. Two minutes from Victoria Station, from where you can easily get everywhere in London. Subway and buses leave there. There is even one bus stop right beside the hotel. The area is not so bad as it used to be.+ Room size. The room and also bathroom were big in London standards. We were travelling with a baby and therefore wanted to book a hotel that had big rooms. We were not disappointed. + Cleanliness. The room, linen, curtains, bathroom - everything was clean.+ The english breakfast. Quality was good. I ate english breakfast every morning and that really kept me going late in the afternoon.+ Bar and a restaurant. Even though the prices are not very inexpensive, there is a nice bar and a restaurant serving good quality snacks and food.+ Gym. I didn't use it, but I went down there to take a look. It's nice that you don't have to leave the hotel if you want to use the gym.(+) Service. We got an extra heater after the housekeeping had left the window open for a whole day! And it was about +2C outside.Then things on minus side:- Cost of the breakfast. English breakfast will cost you 16 pounds and that IS a LOT! Continental breakfast was 4£ less, but have that only if you are trying to lose some weight.- - Service and flexibility. See service above (our room was freezing, but that must have been an accident). Because we had a baby (six months) and our plane was leaving at 5 pm, I asked for a late check out (2 pm). The night before I was told it would be okay and I was asked to confirm it next morning. When I tried to do that, they told me they'd charge 10£ per hour. I was really amazed and asked it free because we would have to chage nappies for our daughter and she would need a nap before long travelling home. When I asked it for free, they refused to do it and reason was, that there were a lot of poeple coming in and they could not keep our room for us for two extra hours. A minute ago it was possible if I had payed 20 pounds!?! A late check out would have been luxury for us and decent service from this quality hotel, but they chose not to serve our family. I have never ever been charged for late check out.The staff were friendly though.After all, we were satisfied with the hotel and would (probably) stay there again (if we don't need late check out). There are more good things on the plus side.	
Mar 23 2006	What a Pleasant Surprise	I recently spent 3 nights at the Victoria Plaza. Having stayed in quite a few London hotels, I was skeptical about the room size, cleanliness, location, etc.The first thing I noted when I got there was it's proximity to the Victoria Station. It was about two minutes walk away.The concierge staff were very friendly and gave me a complimentary upgrade to a suite. The room was a nice size as was the entertainment/work area. The bathroom was SPECTACULAR. It was ultra-modern with a separate shower and bath (with a shower in the bath as well). The floor, tiles and tub were spotless. I am extremely fussy about bathrooms and was really impressed with this one.I have read complaints about the temperature control. I did not have any problems. The gym was way better than I could have expected with top of the line equipment. It was empty for most of my stay which meant I had the run of the place.There are lots of inexpensive eateries near the hotel but if one prefers to eat in the hotel, the restaurant is pretty good (if not a little pricier than the outside restaurants).I highly recommend this hotel. I only wish I'd taken pictures of the bathroom to share with all of you!	
Mar 23 2006	Would stay again for the right price	Had the same GBP 79 rate as another reviewer with lounge access, breakfast, and two tour bus tickets included. Did not have the mini-suite, however.Mostly tourists here on the weekend, but lots of conventioners and business types checking in on Monday.Good location, literally a 2 minute walk to Victoria Station. No trouble taking the tube from Heathrow and rolling our luggage over to the hotel. Some decent pubs and so-so restaurants in walking distance, but no restaurants I'd travel to this neighborhood for on purpose. About a 20-minute walk to Parliament Square/Big Ben/Westminster. Easy access via tube or bus to all of London from here.Room was big enough, somewhat larger than other &quot;standard&quot; sized rooms in the UK, but not much. Bathroom has funky frosted glass door and funkier glass sink/counter. Good shower, but no curtain, just the half-door typical of European hotels. Bring your own soap, as the hotel amenities are paltry and not replenished adequately by housekeeping.There is a major construction site across the street, but it didn't bother us on the 7th floor. Could feel the ground shaking during breakfast on the ground floor one morning, though!Executive lounge is, in a word, craptacular. Free wine and beer nightly, and assorted snacks. Staff was very, very, very slow to replenish snack selections. One or two warm snacks offered, but they'd disappear quickly. Two kinds of beer, and a red and white wine selection. I would not pay extra for lounge access.Breakfast in main restaurant was buffet style English breakfast. Fried eggs set out were a bit rubbery, and scrambled eggs were often not hot (or even warm). Had to flag down waiters for coffee refills. Otherwise, buffet was OK. Staff was alternately disinterested or busy being berated by the extremely cranky manager. Charge I think was GBP16, which I'd never had paid were it not included in our room rate. Easy enough to find a pasty in the neighborhood or station if you don't want to break the bank for a mediocre hotel buffet breakfast.As others noted, a modern decor throughout hotel. Art was not my taste, but it's not a reason to skip staying here. Talked to other guests who found the artwork quite interesting. To each his/her own.Front desk staff that checked us in was brusk. Gave me a hard time for asking for an higher level room rather than first floor room, but ultimately gave me what I wanted. Check out staff was pleasant.Overall opinion: good value for London, good location. I would not pay a premium for lounge access if it weren't included in the package we got. A good rate would lure me back to this hotel, but would skip if much higher. We expected to get value, location, and cleanliness over service and this hotel lived up to that.	
Mar 7 2006	Comfortable But Noisy!	At a deal of £79 plus VAT per night for 2, including breakfast, entry to executive suite, free tourist bus and boat tickets you really cannot complain, expecially as we were allocated a mini-suite. It was also very useful being able to leave our bags for later collection on the final day.Avoid rooms overlooking the front - incredibly noisy. Only heating/ventilation through air-con so at night freeze or put up with the noise (you can't!). Bathroom no heating at all - brrrr!! Parking too expensive at £30 night especially when hotel admits car park empty at weekends. Not really anything in the area apart from Victoria station, but taxi only £7 to West End. Friendly staff but try warming the breakfast plates!For what we paid, great value.	
Feb 24 2006	Tolerable	I used Hotwire (discount booking service) when booking this hotel and paid around $120/night, which is an amazing deal for anything in the UK. However, it seems you get what you pay for. I would not recommend this hotel to someone looking for anything but a good deal. The location right next to the Victoria tube station was great, but it lacks anywhere to eat that is nearby, except at the train station. This is a huge station though, so it does have a handy resonably priced grocery store, book store, and many breakfast/coffee places. They were able to check us in right when we got there after our international flight at noon, so we lucked our in that respect. We thought it was a handicapped room, but looking at other photos on tripadvisor, it seems they may all look like that. The rooms are small and relatively clean, but chips on furniture and some stains on carpet distract the eye. The bathrooms are odd, but look alright on photos. Bathrooms remain very chilly at all times and ours had a creepy pull down seat in the shower. Our view was of another building. The garbage trucks at 6am was not a very welcoming London experience. As stated before, I do agree that the front desk staff is just young people, mostly inexperienced guys. Again, a tolerable experience, but not a luxury visit by any means. Only stay if you find a deal.	
Feb 21 2006 	Avoid this hotel unless you're desperate	I've stayed at this hotel many times (maybe 10 in the past 2 years) and have never had a stay without some significant problem, which is almost always compounded by the poor service. Something in the room is bound to be missing or out of order: the lights, the bedding, the ethernet connection or the television. On this stay, it was the ethernet connection and the cordless phone, which I could not answer, which the staff could not answer and which no one in the hotel could fix. I was traveling on business so imagine what it was like to have no phone or internet connection.I've had it with this place and would advise anyone traveling on business to avoid it. My office was nearby and that was enough to put up with the inexperienced, uncaring staff but no more. I'll stay somewhere else and take the tube before I stay here again.	
Feb 19 2006	Great price 	I stayed at the Victoria Park Plaza hotel for 2 nights in Feb, 2006 and found it to be a clean, comfortable quite reasonably-priced business-oriented hotel. This is not a cozy, charming English Inn--this is a modern business-oriented establishment which reaches for sleek, neon, fast-track ambience. Still, it's a bit of a find: the location near Victoria Station and some major London sites is great, the price is tough to beat (I paid 134 pounds before taxes) and there were quite nice amenities including a very good hot English breakfast buffet as well as use of the executive lounge, which offered free snacks, beer, wine, tea/coffee, newspapers, etc. For 12 pounds/day you can have unlimited high speed internet access in your room for your laptop (pack an ethernet cable). The front desk staff were mostly kids who appeared to be working their first hospitality industry jobs, but they were well-trained, friendly, professional and helpful. I'd stay here again for the convenience, amenities and price.	
