	Don't stress just book it- it's fine!	I stayed up until 1:30 a.m. one night, stressing about hotels (and their cost !) and especially worrying about the reviews on this place and whether I could find a more affordable, more centrally located, nicer hotel in London. I wish I had gone to bed earlier in the night, because the hotel was fine. It wasn't grand- simple, small, clean and a place to sleep. But it wasn't awful, either. Would I book here again? Yeah, probably if the price was right. However, I wouldn't go out of my way to book here either. LOCATION- I wouldn't say it was &quot;centrally&quot; located- maybe walkable to Kensington Palace, but that's about it. However, it is just about a 7 minute walk to two different tube stops (the district, central and cirlce lines), so that's really all that matters in London. BREAKFAST- We purchased through Veneer and breakfast was NOT included in our price- it would've been an extra 8 pounds. So, instead, we stopped at the Spar near the tube stop and purchased some bananas and cereal bars. Much cheaper and allowed us to get going at our own pace. SIZE/AMENITIES- We stayed in room 37. It was small- if you're American, imagine a typical guest bedroom with bath. However, I personally don't care about having a large room 'cause we are active and siteseeing. Rooms included a nice large hair dryer, shirt press, hot water pot with instant coffee and tea, large closet with safe. The TV did not have cable, only about 5 stations or so... again, doesn't matter to us, but might to others.BATHROOM- Decent sized, with deep tub. Really bad shower pressure. Tile was loose on the floor. Included lots of counter space and a towel warmer. STAFF- Always seemed nice enough. No problems, but they didn't go out of their way to be super kind or anything, either. They did let us leave our bags in the &quot;luggage area&quot; when we arrived VERY early in the a.m. before our check in time. The luggage area was really just open shelves. It worried my hubby at first because we were the first to put our belongings there, but when we got back later that evening, the luggage shelves were full and noone had tampered with our luggage. NEIGHBORHOOD- The street where the Tube exit/entrance is was a bustling area with lots of food and shopping. Some of the restaurants were obviously more geared toward tourists, but there were a few unique spots, including some authentic Chinese and Mediterranean. There's also an indoor mall, marked with a big &quot;W&quot; on the outside near the Bayswater Tube station and I also noticed a few consignment shops, which I was discovered too late to visit. So... if you're up late reading this and super worried about the accomodations... just book it!	
Jun 7 2008 	Canadians Impressed!	We were a bit weary when we booked this hotel having read some of the reviews however, were pleasantly surprised and relieved that even though the rooms are tiny, which we expected, they were clean and the bathrooms were in A1 condition. The hotel is slowly undergoing renovations right now but that did not interfere with our stay. We are sure that the hotel will look fabulous once completed. The location was excellent - near Queensway Tube Station and Bayswater Tube Station - lots of stores and restaurants nearby whch is a plus. Would definitely stay there again. Recommend.	
May 30 2008 	Disappointed Misleading You can do better for less $	Don't waste your money. Everything in London is expensive, but this hotel would not be worth the price no matter the location or currency. The advertising on all of the linked websites through Tripadvisor is very misleading, bordering on propaganda (Orbitz, etc). Pictures very misleading, and not reflective of reality. The room was ridiculously small (even for Europe, and we have traveled a lot). There was not enough room for 2 adults to stand on the floor at the same time- one of us had to be on the bed if the other wanted to walk to the bathroom. There was absolutely no place to put 2 average sized suitcases, except on the floor, which further limited walking.. No dresser, only one small amoire, with about 12&quot; of closet bar, no drawers. TV mounted on the wall, which is a good thing, because there was no other place to put it. Bathroom was OK; clean, towel heater, no ventilation, very small towels..  The Hotel was undergoing construction/renovation. There was no lobby-just a front desk. No furniture. There was no continental breakfast (as advertised), no lounge, community room, Nothing. The carpeting had been pulled up in the hallway- only padding on our floor. Smell of paint fumes all over, during the entire stay. never saw any painters or workmen. The location was adequate. On a street with multiple small hotels, in a multi-ethnic neighborhood. Very convenient to the Tube. Two blocks west is a major business street with many restaurants, including Chinese, Thai, Indian, Lebanese, Italian, Russian, and Pubs. Also many (cheap)tourist stores. Not a fantastic neighborhood, but never felt unsafe, even late at night. One block south is Hyde Park. Many buses, taxis, and even the Red Double Decker Tourist Bus stops nearby.No concierge service, front desk not helpful, never got our wakeup call.All in all, a place to sleep, and nothing else. You can do better, for less money	
May 26 2008 	A terrible disappointment	Our problems began when we entered the hotel. Unbeknownst to us, they were undergoing construction and the lobby was in complete chaos. They took our money for the entire week immediately. Had they not, we would have left the hotel and found other lodgings.The hotel website said that a continental breakfast was included in our price. We were rudely told that the free breakfast was not part of our package and that the cost would be about $15 per day per person for a continental breakfast. That was the first surprise.The hotel website said that there was a conconcierge service. We asked where we might go for dinner and were told that there was a busy street about two blocks away and that we should be able to find something there that we liked. That is not a conconcierge service.The hotel website said that the hotel was charming. If you define charming as tiny rooms with about two feet on either side of the bed, no closet, and no drawer space cozy, then this is the place for you! Much of the extra space was given to an armoire that held only clothes to be hung.This hotel is comparable to a cheap tourist hotel in NY City that would run about $100 per night. I have no problem with hotels that advertise fairly but the Byron website exagerates their situation.We strongly considered giving up all of the money that we had paid and just finding another hotel. That is how bad it was.	
May 11 2008 	Would stay there again without any second thoughts!!! (From Greece)	We stayed there for 5 nights from the 15th till the 21st of April. The hotel room was a bit small, but it was very clean, it was very hot, the bathroom was brand new since there is some restoration going on. All the staff was very polite and very helpfull whenever we needed them. Breakfast was ok, milk,cerials, bread jam, coffee, juices, tea yogurt, ham and cheese... I mean what else would you need!!!!! Fantastic location iwth 2 tube stations within less than 3 min walking, all kind of stores all around, restaurants shopping centers, pharmacist, coffee shops and take aways. But the best was that it is next to hide park where you can enjoy your morning coffee while having a walk before you start wondering around London.. Very happy with the conditions of the hotel everythiong seemed perfect to me...	
May 9 2008 	What a surprise	The Byron Hotel London. What a lovely surprise.I was travelling with my son to London and needed overnight accommodation. I booked this hotel after reading good reviews and I wasn't disappointed. We arrived in the morning and although we couldn't check in until 2pm the receptionist was very pleasant and obliging and allowed us to leave our bags at reception until the room was ready. The hotel is obviously undergoing some refurbishment at present and the halls and public areas were in the process of being decorated and carpets being replaced. The room we were allocated was lovely. Spotlessly clean and the furnishings were of a very good standard. I couldn't believe that we had only paid £59 for the night for this standard. I have paid almost double this in hotels in London and been sadly disappointed. I will definitely stay here again and would recommend it to anyone. We didn't have breakfast so can't comment about the food.The location is also very good, being approx 5 mins. walk away from either Queensway or Bayswater tube station, enabling easy access to any part of London.	
Apr 28 2008 	It was fine under renovations but fine.	This is a decent, basic hotel for the price. The staff are very helpful and good. Don't expect the Ritz, this is a basic hotel room with bed, bathroom and shower but it is safe, clean and just fine. The hallways are currently being revamped and it is a little dusty right now but it is starting to shape up and looks pretty nice. The staff are great and its a great location! Walking distance from some good restaurants and right across the street from Kensington Park (which is amazing!) also it is close to the tube (1 block). I would stay here again as you don't stay in your hotel room, you'll be too busy checking out the sites!! I read other reviews about the floors being dirty etc. but honestly, it was clean and very basic and exactly what I had thought it would be.	
Apr 25 2008 	A welcome sanctuary from the queens park hotel next door	Booked into the Queens Park Hotel next door only to find it a dirty dump (allegedly 3star!!). retreated to the Byron which is in a different league, I cannot understand how it could have a lower star rating. Staff were very friendly, both receptionists and waitresses. They couldn't do enough for you, and even arranged a cheaper taxi for us to get to the train station. The hotel was clean throughout and very comfortable. Great location, a short bus ride to Oxford Street and the bus from Stansted Airport stops just down the road. We had a very enjoyable stay here which rescued our holiday from the disaster ( it was a birthday treat for a friend) it could have been if we remained in the Queens Park hotel. Highly recommended!	
Mar 22 2008 	Great value	Nice hotel with god value for the money.The rooms are small, but clean and bright.The bathrom was nice with white tiles and hot water ;)	
Mar 18 2008	Very Good Value	A group of us stayed at the Byron and found the hotel to be spotless, the staff helpful, the breakfast was fine. The rooms are small but well laid out. The tube station is very close by and there is plenty of shops, pubs and places to eat within five minutes walk. The area is also nice and felt safe.	
Mar 18 2008	The By-wrong hotel	A friend and I booked a room at this hotel based on other reviews. How it has such high ratings is beyond me. The hotel is really overpriced, rooms are too small, bathrooms could certainly do with a fix-up and I hated the use of the key card to control the electrical power in the room. I have been to hotels before where this form of card is used but it was never a nuisance to use. If creaky floors, buzzy noises from the lights and nasty bathrooms are a turn-off to you do not stay at this place.The only ideal thing about this hotel is its location. Good and central.	
Mar 8 2008	Please avoid it !!!!	I stayed in this hotel with some friends. What a disappointment !!! I will certainly not recommend hotel Byron to anyone ! We chose this hotel after having read some good comments on the internet. What a mistake !!!!2 couples of friends had a room with a dirty blanket on the bed – one even had blood stains on it !!! how disgusting ! The beds weren't even made properly : the blankets were just pulled on top of the sheets which were still all creased.Moreover, the lady who served breakfast was very impolite and quite agressive with us.She forbid us to sit together although we didn't need to move a table for that.The second morning, we decided to sit together anyway and this «lady » started to shout at us !!! just unbelievable !!!!!! This place is just NOT THE PLACE TO GO !!!We were really disappointed and this spoiled quite a lot of our so much awaited week-end in London.	
Mar 8 2008 	Good Quality	Two of us stayed in this hotel for 3 nights and it was a good base from which to explore London.There are Tube stations less than 5 minutes away which is really good.The room we got was not huge, but large enough for both of us to be comfortable.The breakfast was ok - Traditional English breakfast, fruit juice, cereal, tea and coffee all available.The staff in the hotel were friendly and helpful.The area is ok, we encountered no problems at all with walking around at night.Negative points - The only thing I could find fault with is that if you want to leave your luggage with the hotel when checking out, it is not placed in a secure location. It's simply left in a hallway that can be accessed by all guests - I was not comfortable leaving my luggage there.All things considered the Byron is a good choice for a visit to London. I would have no hesitation staying there again.	
Feb 27 2008 	Byron is the best	We booked this hotel based on the reviews and all I can say is thank God for this site it never let's you down, as the reviews are spot on, well done trip adviser!We have just returned from a four night stay in a triple room, sometimes when you are two adults and child, the child gets a put up bed, as the child is 15yrs and we got three proper single beds he was delighted. The room was big enough, very clean with good sized television and tea and coffee facilities. The ensuite was spotless and newly tiled.The buffet breakfast was included and all we needed to set us up for the busy sightseeing days.The staff are friendly and helpful.As said before the location is super, lots of restaurants and very near to three tube stations and easy walking distance, we enjoyed walking through Hyde Park.Don't hesitate book here, for a clean, comfortable and reasonable price stay.	
Feb 23 2008 	London trip	Got a great deal-£150 for 3 nights for 2 people including breakfast. Comfy room with twin beds, kettle etc, tv, good sized bathroom and plenty of wardrobe space- not what we expected from a London tourist type hotel. Continental breakfast included, full english an extra 8 quid if you wanted it. Great staff-very helpful-found directions for us to an obscure venue we'd booked. Hotel very close to Queensway/Bayswater tube stations so really convenient for visiting the main London attractions. Loads of really good and cheap places to eat in easy walking distance-and there is always Rowley Leighs new restaurant Cafe Anglais (which is in Whiteleys.) if you want something special. A good choice for couples /family to use as a base for a London trip	
Feb 18 2008	Great budget hotel in London!	We booked the Byron Hotel for 5 nights in a triple in February &quot;08. It was the right price as part of a flight/hotel package on Travelocity, and the reviews here were good. We were three female friends in their mid-late 30's on a girls escape. The hotel is great! Cheap and cheerful with clean, pristine bathroom - WC separate from shower/tub, which was convenient. Nice flat-screen TV on a wall-mount. Desk with mirror and hair dryer (which was great because we didn't have to bring our own, plus a converter/adapter).The hotel is in a safe location just off Kennsington gardens. It's a 5 minute walk to two different Tube stops (Bayswater for circle/district line and Queensway for central line), from which you can get anywhere. We felt safe walking around at night.The Queensway high street boasts tacky souvenier shops near the Tube, but within 3 blocks, there's a bowling/ice rink, nice mall, lots of good restaurants, a Boots (open till midnight), a couple of markets, and lots of other stuff you might need. There's a good Bella Italia location and a really good Chinese restaurant (Hong Kong something or other).And the breakfast was just perfect! Their &quot;continental&quot; breakfast was included in the package price and consisted of cereal, rolls, croissants, ham and/or pastrami, cheese, yogurt, fresh fruit, juice, milk, coffee, tea and toast. It kept us going all morning, and saved us at least 3 pounds per day.The staff was helpful; the room was clean and not too small; the location excellent. I'd stay there again in a heartbeat!	
Feb 17 2008	We'll be back!	My partner and I spent three nights at the Byron in February. We had read the reviews and were prepared for a small room. However, we were pleasantly surprised as the room was charming and had everything we needed. We had a slight problem with towels when we we arrived, but this was quickly and politely resolved. The welcome we received was very warm and friendly, and the staff were very helpful. Our only reservation was the service we received at breakfast. The girls that served seemed averse to removing dirty plates, and concentrated mainly on seeing that everyone was happy with their coffee and toast quotas. Not a massive problem, but one which fascinated, rather than annoyed us.A little staff training wouldn't go amiss here. However, don't let this small detail put you off staying at the Byron as we would definitely return. Cosy, quiet, welcoming and clean. we loved it!	
Feb 14 2008 	Great location good value	Notwithstanding the excellent reviews on this website, we were rather sceptical beforehand, particularly because of out last hotel experience in a big city. However, the Byron soon brought us around: professional receptionist, small but very nice and clean en suite room and excellent breakfast the next day (cereals, fruit, yoghurt, buns and croissants, toast, juice). Take this beside the very good location next to Kensington Park and 3 tube stations and the very affordable price we payed, we will definitely come back next time we stay in London. We had only two small remarks: our room (nr. 4) was below the breakfast room, so from 7 a.m. we could hear feet over our head and the bed was a bit soft.Btw: we booked on line via a travel agent (D-reizen) which was by far the cheapest deal for this hotel.	
Feb 13 2008	Great value	We just got back from a five-day trip to London. We booked a triple, which consisted of two twins plus a rollaway bed. I took the rollaway and it was fine. I also slept with earplugs so I didn't hear a thing and slept great each night, but really, it was a quiet hotel. The rooms are small, but who hangs out in a hotel room in London? It's there for sleeping and washing up. Enough said.Nice, clean ensuite bathroom. Bring your own washcloths.Breakfast was included and consisted of tea and toast, a bar with salami, ham and cheese, croissants and rolls, bowls of cereal and mueslix, yogurt, pitchers of milk and juice, bowls of sliced peaches and fruit cocktail. We saved a good bit just by eating breakfast in the hotel each day.The staff was nice, and the location is convenient to Queensway, Bayswater and Notting Hill Gate tube stops. Everything you need is on the Queensway High Street - Whiteley's mall, Tesco's, Boots and tons of ethnic restaurants. Internet cafe nearby.	
Feb 6 2008 	Guys from Norway	Overall we were happy with our stay. Some of us only got a blanket as bed cover. This made us a little too cold during the nights. We would preferred something thicker, like a duvet. The food was nice, and the rooms and baths were tidy.	
Jan 18 2008 	Teeny tiny and boring	Should be called, The Boring Hotel. It's not much of a hotel but more like an over-priced B&amp;B. Our very tiny basement -former broom-closet-of a room was in an area beneath the kitchen so don't think of sleeping in a bit longer. The floors are very squeaky and every step the kitchen staff made could be heard. To add to that there was a lot of noise on the stairwell with people going up to their rooms. Now there's the use of electricity in the room. You get a card at check in to control the electrical power, not as a key to the room. Not sure about other rooms but as soon as the power is on there is an iritating buzzing noise coming from the ceiling. After the lights are off you will need to remove the card from the wall in order to get rid of that buzzing sound whilst you sleep which means you will need to get out of bed, put the card in the wall and wait for your eyes to adjust to the light to check the time as there are no clocks. The French doors to our room would not lock so thank goodness we were in a part of the building where no one could climb in. The continental breakfast was just okay but could have been better for what you pay. This place could do with a serious fix-up.The neighbourhood is fine; very close to Bayswater and Queensway Tube stations. There are lots of shops and restaurants in this area too. Overall I would not stay at this B&amp;B again and would not recommend it to anyone. Spend your money elsewhere.	
Jan 10 2008	Safe peaceful haven near Lovely gardens	As a Single lady I was apprehensive about my hotel in a major city like London. A priority is feeling safe and the Byron Hotel is certainly a good choice. There is excellent noise insulation, i slept like a log. The rooms are clean and comfortable. The staff are friendly and polite and when I mentioned I was also vegetarian I was pleased with my large breakfast portions- a large plate of scambled eggs, beans, mushroomsetc. And lots of toast and juices and cereals. There is TV And phone in rooms and a clean elegant bathroom. For £75 for myself I think this was very good value as it only took five minutes by bus to Oxford Street and there is also the walk into Kensington Gardens. You can walk across the park to Kensington itself. There are also shops just a few minutes walk away, with a large indoor shopping arcade. You have all the attractions a short ride away by bus or tube. Excellent choice for singles, Business ect.	
Dec 4 2007 	Wonderful Bargain	My wife and I ( we're in our 50s from the USA) found this hotel to be very welcoming and clean the 7 nights we stayed there in early December 2007. Our room #15 had 2 twins and was small but adequate with a very clean, shiny bathroom with lots of water pressure and hot water. Carpet was a little spotted but not bad. Philips 24 inch widescreen was nice although we received only 4 or 5 channels. Room was quiet but you could hear foot noise in the room above, but this turned out not to be a problem because the hotel serves mainly older clientel (30s and over) and we never saw young kids so there was no running around and no late hours. The staff at the desk and in the restaurant were very nice and helpful. This was a big plus because we always received nice smiles in the morning and when we returned in the afternoon and evening. Bayswater and Queensway tube stations are only 3-4 blocks away on Queensway, and that street has lots of restaurants and three great pubs to enjoy. For a bargain try Tuk Tuk, a Thai restaurant on Queensway across the street from the Bayswater tube station. Great phad tai for 3.90 pounds. Daily breakfast was included and consisted of toast, rolls and breads, cereal, prepared ham and cheese slices, coffee, tea, yogurt. If you're a runner like me, you'll be very close to Kensington Gardens which is a wonderful place to run. We will definitely stay here again when we return in a year or so.	
Nov 25 2007	City trip to London from Belgium	An excellent hotel, situated adjacent to Kensington and Hyde Park. Two tube stations are within walking distance and numerous shops and restaurants are in abundance.Our room at the Byron can only be complimented. However not a suite size, it is perfect for a short stay. The room was extremely clean, comfortable with a widescreen TV and tea- &amp; coffee making facilities. The room is totally refurbished and in perfect condition and the bathroom 100% in order.The extensive breakfast, including a traditional English Breakfast was outstanding!We would also like to mention that it is very quiet inside the hotel and there was no street noise or any noise from other guests whatsoever.All the staff that we encountered were very friendly, helpful and didn't hesitate to give us any information we asked for, either about the hotel, the price of stamps, which tube to take and general info about touristical London.We recommend The Byron 100% for anyone travelling to London.WELL DONE EVERYONE AT THE BYRON!!!	
Nov 23 2007 	Highly recommended ! I will be back.	I greatly enjoyed my stay at the Byron Hotel, which was everything I had hoped it would be. The staff, without exception, were courteous and friendly, without being over familiar, and went out of their way to be helpful. My room was small but immaculately clean, and the bathroom and shower was spotless - I really appreciated the endless supply of hot water (and decent water pressure, too!).The breakfasts were extremely good, with limitless tea or coffee, and I enjoyed having the choice of traditional English or Continental breakfasts - incidentally, the latter was far more substantial than I have experienced elsewhere. Also, there were tea and coffeee making facilities in my room, which was helpful, as well as a trouser press and hair dryer.Taken all round, I thought the Byron Hotel offered excellent value for money. Its location was ideal for me, easy walking distance from two tube (subway) stations, and close to a wide selection of shops. And Hyde Park and Kensington Gardens are at the top of the street. Was the Byron absolutely faultless? Of course not! My room was hotter than I'd have preferred, but I simply kept the window open till it cooled down, And the elevator was very slow.The bottom line, however, is that when I return to London next time I hope they can accommodate me. From now on, the Byron Hotel will be my first choice.	
Nov 10 2007	Great place clean and comfortable	I found the Byron a nice change from some of the other places I've stayed in London. It was well-priced, clean, and comfortable. The staff was more than accommodating during my stay. The only negative was an insignificant one -- the elevator took oh-so-long each trip! Ahh, but the value, the location, and the courtesy extended made up for it 300 times over. The tube is right around the corner, with an Internet cafe in the middle, making it awfully convenient. Hyde Park, just a block's walk was nice, as was the short walk to such neighborhoods as South Kensington made it a perfect location.	
Oct 23 2007 	What I expected and that's a good thing.	I booked the Byron mostly due to reviews on this website. The room was small, as expected, but clean and serviceable. The bathroom was fine except that the shower head would not stay up. The bed was comfy and the staff were friendly. The location was excellent.	
Oct 15 2007 	The Byron Hotel is "home"	I have stayed at The Byron Hotel yearly for the past five years and it has been a wonderful experience. The hotel is well located, far enough away from &quot;the action&quot; to be quiet, yet close enough to be a short walk from the bustle of Queensway with its two Tube stations and an even shorter walk to Bayswater Road, with its buses, and Kensington Gardens. The rooms at the Byron are clean and well appointed, with newly refurbished en suite bathrooms. Wireless internet is available for a fee, which is very convenient. The real pleasure of the Byron is the staff. From check-in to check-out, they are attentive and helpful, friendly and knowledgeable. If you're there for even a few days, they will know who you are, where you are and what your needs are likely to be. The ladies who staff the breakfast room and clean the rooms are wonderful. The desk staff could not be better. I would recommend The Byron Hotel without reservation. It is truly a &quot;country house in the middle of London&quot;.	
Oct 12 2007	Cancelled but hotel says I didn't	This hotel sucks. I sent them an e-mail to cancel but the claim they never got the e-mail. I never got a response from them so I assumed everything was okay. Then afterward I notice a charge on my card, I e-mail them and THEN they respond. Seems fishy that they respond after it's already too late to cancel, doesn't it??? What a scam.	
Oct 7 2007 	Good value for money	Stayed there for two weeks this fall - had several rooms, because we were there for a week, traveled, and then back, and then my dad left, so I had a single. Small rooms, with decent bathrooms and amenities, nice breakfast, great location - near the Queensway tube station, the Bayswater tube station, several bus lines, and the Whiteley shopping mall, which has everything. Several nice restaurants nearby as well. Would recommend it to folks looking for a nice place, good location, safe neighborhood, great amenities. Kensington Park at the end of the block - HUGE park, with many lovely walks. Peg	
Oct 2 2007	Relaxing Week End	Really fine, the room was very comfortable and clean. It's in a delicious location.	
Aug 13 2007	Splendid service and nice room	Nice, clean and modern hotel with continental breakfast. Room with bathroom and hairdrier. The staff were just super and with it's location near Bayswater and Quensway subway and just a few minutes walk to Kensington Garden it was a great stay for me and my 15 year old daugher. We felt secure and very well looked after. It is also nice to find a lot of restaurants from all over the world on Quensway Street, the one we tried out a Chinese, Magic Wok was superb. We also visited the small shoppingmall Whiteleys perfect for shopping books and fresh fruit on Macy's. Hopefully we will be able to visit you soon again, thank you once more, kind regards, Anna and Malin, Stockholm, Sweden	
Jul 7 2007 	Very Professional Staff	My husband and I recently traveled throughout Europe. We have saved up for it for a long time and we were novice travelers. The Byron is a great place to stay for people. It is central to tons of Central London attractions, the tube station is just a block away. To top that off, Carmen, the manager was very patient and understanding with us. Syed, a staff member, showed the utmost professionalism throughout the whole 4 night stay. Thanks again to everyone else I forgot to mention. The hotel is quaint and a perfect place to stay for a very reasonable price.	
Jun 26 2007 	And Then Came The Byron	London: The Byron Hotel, Bayswater: '&quot;And Then Came The Byron&quot;I have visited the UK four times and my stays at various hotels has been acceptable...and then came the Byron. It is an excellent hotel on all counts, with great rates, but the cherry on the ice cream is its staff. Terrific is one way I would describe them, particularly the staff in charge of serving your breakfast. They are fast, efficient, and courteous with all. Every hotel should have such a staff in their premises. I wholeheartedly recommend the hotel and will certainly be coming back in the near future.	
Jun 1 2007 	Great stay - Great Staff - Very Nice	A great small hotel nicely located on a quiet side street close to 2 tube stations with plenty of restaurants and shopping just a block away. The rooms are small but clean and pretty with fresh paint and newer funishings, bedding, etc.. The very best thing about this hotel is the friendly and helpful staff. Syed and Carmen helped us with a dozen little details to help us have a great stay in London.I would recommend this hotel to anyone looking for good accomadation at a great price in London.	
May 23 2007 	Recommend this hotel	If you are looking for something better than a B&amp;B and less expensive than a hotel, Byron is a good choice. The location is very convenient (5 min walk to Queensway/Bayswater Station), the room was OK clean and tidy, the shower and hair dryer worked very well (which are very important to me), the staff were very helpful too! Most importantly, all rooms are all equipped with shower, toilet and air conditioner (much needed in summer!). I stayed there for 6 nights and felt pretty at home. Some people may concern about the breakfast but toast, cereal, juice and tea were enough for me coz' I don't need to eat much in the morning.	
May 9 2007 	Good small hotel	I only stayed one night but found this hotel good value for a city where hotels are notoriously expensive and disappointing in quality.The decor in the public areas at the Byron could be updated; carpets in the dining room are past their best, the reception area looks very tired, etc. But the bedroom I had looked recently decorated and was lovely and clean. The ensuite shower room was excellent. Both were indeed small, but perfectly formed. I would not want to stay in such a small space for more than a couple of nights but again, small bedrooms are typical in London hotels, so I was not surprised.Breakfast was nothing special, but there are plenty of restaurants and shops nearby if you want to eat out at any time of day. A 10 minute walk from Paddington and 3 minutes' walk to the nearest tubes.	
May 6 2007 	A Perfect Choice	My husband and I just returned from a seven day stay at the Byron Hotel and found it the perfect location and price for American tourists during this difficult time for the dollar! The neighborhood is safe and convenient to the underground--we were able to get EVERYWHERE and we're NOT young folks! The staff was incredibly helpful and pleasant--they kept our luggage while we left for two days; looked up restaurants and train schedules for us; answered requests immediately. The rooms are very clean and comfortable--if guests think they are a little small, perhaps they should try the more expensive hotels near Piccadilly Circus. They're just as small, twice the price, and frequently not very clean. Breakfast eggs and bacon were fresh and well-cooked. We slept well at night and the lounges were beautiful. I recommend it highly!Sharon Ammen and Ron Moore	
Apr 28 2007 	So So	This hotel is not in an ideal location for touring London. The tube station is not far, but not especially close. There are restaurants and an internet cafe nearby, but the neighborhood is not very nice. We were not totally comfortable walking it at night anyway. The room was very small and dated. I was not impressed and probably would not stay here again. I think you could find something nicer, cleaner and more centrally located for the price.	
Mar 31 2007 	Loved the Byron	I would highly recommend this hotel! We stayed in this hotel for over a week in Feb. 07 and when we return to London this is where we will stay again. It is the perfect location extremely close to the Tube, the bus stop, tons of shops and restaraunts. What more could you want!Of course the room is smaller than what you expect to get in America but we were prepared for a smaller room. It actually turned out to be the perfect size. Throughout the entire time the staff was incredibly friendly and the hotel is neat and clean. My wallet was stolen in London and the staff went so far as to find all possible numbers for me to the banks, credit card companys etc. They went completely above and beyond for us. We also loved breakfast. They had cereal and toast, tea/coffee. It wasn't a huge spread but it was perfect for a free breakfast. Overall we LOVED this hotel and would highly reccommend it to anyone.	
Mar 14 2007 	Great location	Booked a hotel package through Travelocity last January. The Byron Hotel was centrally located- one block from the underground station- in a very quiet, safe neighborhood. Reception was friendly.. they allowed me to leave my bags, as I arrived before the room was clean. The room was clean, basic accomodations. The bathroom was spotless. Nothing fancy but exceeded my expectations for the price. The continental breakfast was more than adequate with ham, breads, and yogurt in addition to pastries and cereal. Overall, I was very satisfied. I will make every effort to book at the Byron hotel should I have opportunity to return to London. Highly recommended for people who want to visit London but have a limited budget.	
Mar 6 2007	Comfortable inexpensive no-frills but nice	I stayed at this hotel for 5 nights with my mother and it was a decent stay. The room was Very small, but the hotel has an English charm to it. It's more like a house than the large hotel chains most Americans are probably familiar with.The room, as I said, was very small, and my mother and I had to share a double bed. But this is what we booked, so it's what I expected. The room had the regular comforts, TV, etc., adequate bathroom and all. Nothing fantastic but adequate and comfortable. My only complaint about the room was that our bed was very very hard.I enjoyed the breakfast, but it was very basic. Yogurt, toast, tea, coffee, juice, cereal and all that. Didn't spring for the English breakfast, but the free breakfast was filling. The neighborhood is mostly a lot of other similar hotels and seemed very safe. Kensington Palace is a block away with beautiful gardens, even in the misty rain (what else would you expect?) There are several local restaurants around and the underground station was a short walk. We got a deal by going in the off season and booking our flight at the same time, and we had a good time. This place isn't anything special, but the staff was very friendly with us and helped us book our transportation and allowed us to store our baggage for free after we checked out. If you're on a budget but don't want a gross sketchy place, this is a nice comfortable no-frills option.From London Heathrow airport we took the Heathrow Express to Paddington station (you can buy tickets at the airport), then walked to the hotel. It was a little longer walk than we expected, so we took a taxi to the station on the way home. Still, an easy journey. A round trip fare on the Heathrow Express train was about 30 pounds and the taxi fare was 7. We spoke to some travelers at the hotel who took a taxi straight from the airport and they said their fare was about $100 US, so we definitely got the better deal, and didn't really spend any more time or aggravation.	
Feb 19 2007 	Good clean hotel just a bit small for my taste.	The hotel was in a great location, many resturants and shops at a short distance away. The tube station was a short walk away, and all the sights were not too far either. There is a great park and mall nearby. The room was a bit small, overall it was clean, provided a good safe place to sleep everynight and at a inexpensive price. The hotel is on a strip with many hotel and hostels to choose from.	
Feb 17 2007	Terrific experience	We stayed at the Byron Christmas week 2006. We were a little worried about the reviews so we did bring our own sheets and down pillows! I also happen to think bedding is important so perhaps I am a little fussy...Glad we did though because that made us even more comfortableThe room was small with a great shower. We found it just right! The bed was too soft for us but we are pretty inventive and put the bedspread underneath the bottom sheet and asked for another blanket (no problem) The tv was ok for us and we were on the fourth floor with a nice view of the street. What a quiet room! And clean.We got maid service every day and the breakfast was included in our package -We didn't love the coffee- very &quot;healthy&quot; and very strong. Boy were we full of &quot;energy&quot; after a few cups of that coffee!!! The rest of the included breakfast was museli, juices, yogurt, and toast with cold cuts if you wanted them. The young Romanian waitressses were very hard working and kept refilling our coffee in seconds it seemed. The breakfast lasted almost the whole day.Perfect location- two tube stops are half a block away and we were able to use the Byron as an easy headquarters for running around London. The neighborhood is great- we found a terrific chinese restuarant that was better than any we had in New York (that's saying something!) and a great Moroccan restaurant.We reccommend Mr. Fish for fish and chips- excellent. There's a real neighborhood pub two blocks away with a working fireplace.There's also a nice shopping area- again half a block away.I guess I don't have to mention how friendly everyone was- but I am because sometimes there's anti-Americanism expressed in the news and you always wonder how you will be treated when you travel. It was a very homey experience and not expensive!!!	
Feb 16 2007	Great location overall pleasant stay!	We just returned from a 4 day stay at the Byron Hotel, London. I would definitely stay there again. Our room was small but very clean. The bathroom was recently renovated and nice. Hairdryer provided. Continental breakfast was good. GREAT LOCATION! Short walk to two tube stations. Short walk to tour bus stops. Hotel staff was friendly and helpfulGreat Italian restaurant just around the corner on Queensway. Cinema/movie/mall just around the corner on Queensway.	
Feb 6 2007	Can't Beat It	I have stayed at the Byron at least once each of the last five years, sometimes for a few days, twice for a month. I always enjoy it. The staff is friendly and helpful, the rooms clean if small, and the location great. At the price, I don't think you can beat the Byron in London.	
