	Great location	Have just returned from three days at the Holiday Inn Bloomsbury from Nov 27th. We could not fault the hotel. We had room 429 right opposite the lift and had no problems sleeping on any of our three nights there. location is great, Euston Station is only 10 mins walk away, so messing with taxi's when you arrive or leave. Lots of places to eat within walking distance, make sure you take a walk into the Bunswick shopping centre right by the hotel, really nice in there and lots of good places to eat. We ate at Giraffe and Strada which we could not fault. Would highly recommend using the Big Bus Company tours to get around, you pick up the bus on the main road buy the hotel, it drops you at Trafalgar Square where you can collect the other buses to different attractions, brilliant way to get around, 48 hr pass for the two of us cost £50 and we well had are moneys worth [one ten minute taxi ride back from the strand cost us £10 and that was around 10pm so when the traffic is busy I'm sure the price would be a lot higher. To sum up great location, great breakfast, nice staff, would highly recommend.	
Jul 6 2008 	Disappointed	We booked for 4 nights and specifically asked for a non-smoking room. I called twice before traveling, just to make sure that the room was guaranteed a non-smoking one. Upon our arrival in the room, it was stinking cigarette smoke, tried to change but was told it may be the same in other rooms. It was hard to get some sleep during the night the cigarette smell was so strong and the windows could not be open.Also something to be watchful about, the minibar. It was missing few items and we thought that these were missing due to supply shortage. However at our surprise, on check-out day they were charged on our bill. I had to insist that we had not used the minibar and they accepted to remove the charges.	
Jun 27 2008 	Not bad for a Holiday Inn	We stayed at The Holiday Inn for one night in June 2008. After a few bad experiences with Holiday Inns we were a bit apprehensive, but this one had some reasonable reviews on Trip Advisor and as it was in the ideal situation we gave it a try.The first room we were offered had a connecting door and as we had a really bad night's sleep in the Gatwick Hilton some time ago due to noise transference through a connecting door, we asked to be changed. This they did, no problems. The room was clean and in reasonable condition, but a bit small. The bed was comfortable, noise no problem and the air conditioning worked. So really no problems at all.One thing, the air con switches itself off after a few hours, so if you wake up hot in the night, that's why, turn it on again!We were offered a breakfast deal when checking in of £11.50 each, very good value, the normal price is £16. Breakfast was very good, fresh and plenty of it.So, overall, not bad for a holiday inn!	
Jun 21 2008 	Good Experiance	Stayed here Saturday 14th June with a friend, as we were going to a party in central london and didn't fancy facing the night bus. Ended up checking in after the party in the early hours of sunday morning (5am) and the staff were amazing at reception, offered us a late check out till 2pm without charge.the room was clean and spacious and the bathroom was spotless (very important wherever you stay).will def stay again as also is close to kings cross and a short journey into london's west end.	
Jun 11 2008 	Cramped and outdated	We (two adults and one child) stayed here for one night in June. We chose this hotel for its location as we needed to be in the immediate neighbourhood the next day. All our interactions with staff (check in, reception, breakfast) were very friendly (not necessarily a given in London). The room was tiny (I know this is London but there is tiny and tiny) and was cluttered up with a non functioning fridge (a note was pasted to that effect on its door) and a seventies-style trousers press. One of the lights didn't work (there was a form which you could fill out which promised that repairs would be done within 24 hours, not really what you need for an overnight stay) and the bathroom was miniscule, During the night the airconditioning switched off by itself which made the room very hot (we got up and switched the thing on again). We had asked for a quiet room and while we did not face the street, the inner courtyard was taken up by rather noisy machinery (air conditioning?). Would we stay again? No, unless we really really had to be in the area. There are far better hotels to be had on hotwire for the same price (such as the Hilton Metropole, Hilton Islington). The location, by the way, is wonderful: adjacent to the vibrant,renovated Brunswick Centre with its glorious Waitrose and wonderful Carluccio's.	
Jun 1 2008 	just make sure they are not renovating at the time	location - yes. but what more do you need from the hotel? when me and my wife stayed there the location was great, just outside of the russel square.the problems started when they decided to renovate in the middle of the tourist season, so they said it will be finished at noon and it wasn't until the evening, oh well...and then just like that in the middle of the week no hot waters in the bath just when we wanted to start our day.those are little things but you expect a hotel like that to do better.hopefully for others it worked better.but hey - london is great.	
May 28 2008 	Good Hotel in Good location	Stayed here on business for 1 night. The room was spacious, especially for a London hotel, clean, and well appointed. Restaurant served excellent food (though I didn't have the courage to order the Wood Pigeon!!) and service was very good, although the front desk staff struggled a bit with their English. Wireless internet access in rooms was good, although a little pricey.Very convenient for British Museum and very close to Russell Square underground station. The area it is in was upmarket, and appeared to be very safe.	
May 27 2008 	Location Location Location	My wife and I stayed at this hotel, as i was running the London 10K race. Firstly I got a great rate for a 2 night stay. Standard Room, no breakfast though. My mentality on that was that there were loads of places to get breakfast in London. We were given a room on the 2nd floor. I had a massive bag and dont like lifts, plus after reading on tripadvisor that the lifts seem to be broken a lot , we took the stairs. The room was quite small but i didnt mind. It was clean, mini bar didnt work, just as well really, trouser press, desk, tv with some channels. Bathroom small as well , but shower was powerful if a little &quot;tired&quot; . We didnt stay much in the hotel and like many have said the location is brilliant. The irish bar was closed on the Monday evening so i cant comment on that. At the back of the hotel is Russell Square Tube Station. If you don't like lifts then be aware as its 159 steps down to the tube and back up as i found out. Covent Garden has 195 steps, no escalators but lifts!! Great after just doing 10k and being obese!! Covent Garden was only 2 stops on the tube, leicester square and piccadilly gardens 3 or 4 stops. The brunswick centre across the road to the right has plenty off shops, namely, boots, superdrug, nando's, waitrose, New Look and a Renoir Cinema and a starbucks and a carluccios cafe. There is an oriental restaurant opposite the cinema that we tried to get in on a monday night at 7.30pm. It was packed with 10 people waiting to get in! Must have been good. We ended up going to the gourmet burger company within the centre. A massive burger for about £7. Hit the spot! We walked it to Euston the next day (you get back onto the main road to the left of the hotel) and its about 2 blocks up on the left. About a 10 minute walk. In summary, the hotel was clean and better than I expected.	
May 23 2008	Great Location	Stayed here only one night in May 2008. Had tickets to see Mama Mia and was here for my Girlfriends Birthday. Parking: In the underground garage was £22 per 24hrs. Rooms: Were average size for a UK hotel. Double bed, wardrobe, Trouser press, cable tv, nice bathroom with freebies, mini bar and blackout curtains which worked very well. Don`t touch the mini bar as they have sensors on them and if you pick up one of the bottles in the mini bar it sends a signal to reception. I only picked a bottle of water up to read the label and then on departure a staff member had to check that i hadn`t opened it or i would have been charged for it obviously.Breakfast: Was excellent... help yourself, as much as you can eat English or continental, or as i did a mixture of both.The hotel has it`s own Irish bar on site showing Sky Sports and serving food also. The Irish bar was quite reasonably priced where as the hotel bar was expensive. (ie. Double Bacardi and Coke, Pint of Caffereys and 2 packets of crisps £15.20).I always feel that the best way to advise others on whether or not to come here is to ask yourself.... Would i come here again.? The answer would be yes. It`s idealy located by Russell Square where we had a coffee while chilling in the sun. The underground station of Russell Square is very close too. There is an entrance walkway just to the left of the hotel and to our surprise we found it to be a very modern but small shopping complex. The complex mainly comprises of restaurants. There is a pub opposite the hotel and next door to that a mini-mart which we thought was great for getting the Sunday Paper etc. We did get a black-cab taxi from Trafalger Square back to the hotel as walking had now taken it`s tole. This came to £8.... £10 including tip. Mama Mia was briliant as was the whole London experience. I cannot believe that there are so many people about in Leicester Square at 11pm at night. The place is just buzzing.	
May 13 2008 	Good location Good hotel.	We stayed here in April whilst in London for 2 nights. We also stayed overnight in February when we saw We Will Rock You at the Dominion Theatre - 15 minutes walk maximum. Hotel in very good location near Russell Square tube and next to small shopping centre with Square Pie, Waitrose, French Connection etc. Oxford Street and Covent Garden both easily walkable. We stayed in an executive room which was nice. Felt it was average size for London rooms but well kitted out. There is an Irish bar within the hotel where you can charge drinks to your room but which is also open to the public so prices are reasonable.. All staff very knowledgable and breakfast was excellent. Be aware that the hotel is within the congestion charging zone (just). Parking is on site at the hotel. £24 per day but it is secure. Overall, very pleased and would stay here again.	
Apr 30 2008 	Good location	Got a 2 nights for the price of 1 offer through Ebay. Just sign up for Holiday Inn emails and similar offers come through. The 2 for 1 offer made the delux room worth going for at £190 for the two nights.It's a nice modern hotel. Our room wasn't ready for 2pm as indicated on the booking form and we were immediately offered a free drink at the bar while we waited, which we gadly accepted.I was a little disappointed with the delux room, quite small, with a king size bed. It had the robe, slippers and mini bar and a small workspace, which I guess the regular room doesn't have, but perhaps I had unrealistic expectations of the word 'delux'. I had previously stayed in Novotel in Euston Rd and their room was bigger, with a superking bed, a docking station for your MP3 player, as well as internet access - that was the level which I was expecting. Overall, it's very convenient for Russell Sq tube, British Museum and a range of restaurants all within walking distance and if you get an offer is good value for money. I would have been very disappointed had I paid £190 per night.Our offer didn't include breakfast, so can't comment on it.	
Apr 27 2008	So so	I stayed here for 4 nights with my mum to do the usual London Theatre, shopping, lunching etc etc.We stayed in an executive twin room which cost just under £700 for the 4 nights as it was a different rate each night.The room was very spacious however this was not well used. There was a large 'empty' space in the middle of the room which is obviously there for when the sofa bed is laid out but makes the room feel quite empty, could really have done with a proper space to open a suitcase as the only option was the floor! This was annoyining as there was so much space they could easily have fitted in some appropriate furniture to accomodate a case - or even one of the folding case rests.The acres of space also made the incredibly tiny TV difficult to see from the beds and meant that you needed the volume quite high - I really would have expected a flat screen TV rather than the old fashioned 18&quot; in situ, seems very outdated in an 'executive room'.Bathroom was good size, well stocked with toiletries and towels and clean. Some marks on the grout and around the shower head but just age rather than dirt. Shower quite difficult to control and very forceful - have a bath if you want to relax!Mini bar, robe, slippers etc as was exec room but nothing special. Quite disappointed with the stocking of tea and coffee as never enough milk or water and we had to ask for extra glasses as only one tumbler and one wine glass??? Location is great for sightseeing etc as Russel Square tube literally 3 mins walk, and right opposite a 24 hour Tesco which was very useful! Also by a shopping centre with juice bars, Starbucks etc so good for breakfast when on room only. A little disappointed when we asked reception for a cab one evening and they directed us to the main road to hail one ourselves however the concierge on the day we were leaving did get a cab to come to the door for us and helped us with our cases.All in all it was a good stay (although could have done without the 6am fire evacuation on the last day!) and location great. I didn't see any of the other rooms but I would not particularly recommend upgrading to an exec room, the only real benefit was having a robe and slippers and it would be cheaper to stay in a standard room and buy these - even at London prices!	
Apr 11 2008	Ideal location for central London	We stayed at the Holiday Inn in April on a two night visit to London. We wanted to be in walking distance of the majority of the sights which this hotel is. We only bothered with a travel card for one of the three days we were in London the rest of the time we walked. The hotel is easily located from Kings Cross or Russell Square if your on the tube and has a good range of bars and restaurants and a shoping centre close by. The rooms are very small however they are comfortable and very clean, the hotel was clean throughout our stay. Breakfast was great - good choice and all seemed very fresh. All staff we spoke to were polite and frendly and helpful.	
Mar 29 2008	Very good hotel	Room 4th floor front twin this Easter. Room a good size, incredibly clean and lovely and warm. Bedding and towels excellent. Staff well trained - coped well, hotel full. Breakfast above average, eat as much as you want. Would recommend, in fact will be booking again for later in the year. Good location. Pub just across the road. Recommend Tai restaurant Busaba Eathai, Store Street, about 5 mins away. Plus the Indian Restaurant Poppadrom Express 40-42 Wobrun Place (just at top of street 2 mins from hotel). Its an &quot;all you can eat&quot; type. Wait for lifts not too bad considering the hotel was very busy.	
Mar 29 2008 	easter in London	Me and my wife stayd at the holiday inn Bloomsbury over this easter. We were there for 4 nights. Likes:The location is weary good, nice neigbourhood. Short walk to bus and tube station. Also Brittish museum is just 5-10 walk a way. There is a lot of godd restaurants in a close walking distence. Wery good Indian HASON RAJA is just a 15 minutes walk down southampton row. Also recomend a Turkyis restaurant called TAS, he is on the far end of the brittish museum complex. We loved the casseroles :o)There is a good irish pub on the ground floor of the hotel, good guinnes and burgers. The breakfest is wery good, we ate a full english breakfast every morgning and o boy that is a good fuel for a long day in london. The hotel is clean, the staff were friendly, the maid also cept the room wery clean. We had a double bead, witch dosent happen wery often when we stay at a hotel. Alot of pillows and the bead was firm an good. The weather was cold in london so we liked that the room was a little warm.Dislikes:The room is SMALL hahaha :) - We have never stayd in a smaller room. The room is lika 2,3meters x 7 meters with closet and bathroom. My beadroom athome is almost bigger. The mini bar was broken, not that we have anything from the mini bar but I use it to keep my beer cool ;o) There was allways a wait for the elevators, one out of three were broken and the hotel was full so there were a lot of pepoleWe would definetly stay here again and we recomend this hotel for everybody, but be warned !!! the standard room is small :)	
Mar 24 2008 	Location LocationLocation-most recomended	As a travel agent i know what a 1st class hotel should be.Been to London on vacation from the 14th to the 18th of March and choose the Holiday inn Bloomsbury because of it's close proximity to a Picadily Line station (the line statrt/end at London Heathrow -good for getitn to/from the airport).It was better then i imagined just 50 steps out of the tube entrance and you are at the hotel.Lobby is big well aired and lighted,staff is well disposed and attentive.spacious elavaitors 2 out of 3 elavatores worked the 3rd was repaired so not much standing in wait to get up or down.Rooms are medium ,althoug a twin-bed room is bigger then 1 double-bed room ,clean and simple in look.The bed is firm and there is a good supply of pillows.In room there is a kettel and a fair suply of choco,tea,regular and decaf coffe.Wash room is clean comfrtable and the towels are big.heavy and soft.Beakfast is large and no restriction/difference such as continenal or english breakfast.All and all it's a good hotel to stay within walking distance to all major places and atraction of west side London.Do Not use the hotel's internet- outragous rate you can get an hour use for 1 pound at Charing cross road just 15-20minuts walk down.	
Mar 20 2008 	Great location	Three friends and I stayed for 2 nights at this hotel as part of a theatre break. Rooms were clean and comfortable if somewhat overheated, especially at night. Breakfast very good, though some waiting for items to be replenished. Did not have any other meals there. Service was friendly, polite, discreet.The great thing about this hotel is the location. Situated in a fairly smart area, mainly residential/offices, it is handy for the west end, theatres etc. Also convenient for Camden, only a short bus ride away, as is Covent Garden. Buses run frequently from just around the corner. A short walk away is the Brunswick Centre - new development with lots of great shops and eating places in pedestrianised area. Can recommend Strada - had lovely dinner there, very good food and service. All in all, a very pleasant experience. Would go back, definitely.	
Feb 25 2008 	Great Hotel and price !!	Just back from a great weekend in London, staying at the Holiday Inn. If you are able bodied enough then the walk from Kings Cross is only 15 minutes tops, no need really to get a taxi or tube unless its raining. Nice service on arrival and room equally nice a clean with everything in good working order. Russel Square tube station 2 mins walk away and we nipped down to Piccadily to go and see the Phanton at Her Majesty`s Theatre. Had a Pre Theatre Dinner at the nearby Thai restaurant which was great ( see seperate review ) Lovely breakfast with no complaints really, considering it was particularly busy ! Second night we had the Set Menu evening meal as it was inclusive of our room rate. Again can`t complain about the quality of the food, and for a 3 course meal at £20 it was well worth it considering. House red Merlot again nice and at £16. Our two nights Bed and Breakfast with one night inclusive of the 3 course dinner was £99 a night. So overall I had no complaints whatsoever. For the price we paid and the service and food we were provided with was excellant ! I`d go here anytime !  We`ll probably be back down to here, for our sons graduation in the summer ?	
Feb 24 2008 	dreadful service	I have never stayed here before and won't againThe hotel was clean, the check in fine - but 2 of 3 lifts broken so loads of waitingI booked a deluxe room - it had rubbish thin towels and cheap toiletries and it was coldThe air con control was broken and the tv remote had no batteries - that was the start and it just got worse!i paid for internet access - it would not work so i asked for help - i was told that i could phone the internet provider and get help - but that they could not send anyone up to assist - what rubbish service i gotwake up call did not happennewspaper did not arrivestaff had no idea wht time the gym opened (fitness first is outside and by special arrangement guests can get in for £5) - but you have to hire towels - it opens at 6.30 am actuallybreakfast was crowded with half the stuff not filled up staff grumpy - you had to chase them round to get a cup of coffeevery poor all round	
Feb 16 2008 	24 hour fix promise broken	I've just returned from a 2 night stay at this hotel - Thursday &amp; Friday nights. Although I have not been entirely happy with this hotel in the past, its location was so convenient for my requirements that I decided to give it another chance. Apart from the heating problems, the room was OK.On arrival, the radiator in the room was not working, but there was some heat coming from the air-conditioning unit, so I put up with it for the first night, and reported the problem at 8pm the next day, &amp; was told that the radiator should be working.This hotel has a &quot;Bear with us &amp; we will fix any room problem within 24 hours&quot; policy. Needless to say, it was not fixed before I checked out, well over 24 hrs afterwards.At time of check-out, all 3 lifts had failed and guests had to use the &quot;emergency&quot; back stairs.Breakfast on Friday morning seemed better quality than on Saturday - e.g marmalade in glass pots on Friday, but in plastic portions on Saturday, when there were many families staying, it being half-term.Do not eat at the Hotel restaurant - there is an excellent Italian restaurant behind the hotel near Russell Square, which also does breakfast. A glass of house wine in the hotel costs a minimum of £5.50 + 10% service!	
Feb 12 2008 	A great base to explore London	Clean, bright, wonderfully located hotel as Russell Square tube is just to rear of hotel. We had a taxi (£5) from Kings Cross to hotel when we arrived but could have easily taken the tube, its only one stop. Taxi cost £11 on return journey as we got stuck in traffic.Arrived early, room wasn't ready so we were invited to leave our luggage in a secure room and return later. We'd booked a no smoking room but it smelt of smoke . The Reception staff swopped our room immediately and couldn't have been more apologetic. Other than that small hiccup everything was 1st class. Not able to comment on breakfast, etc as we ate out.Beds comfortable, bath robes and slippers provided. Would stay here again on our next trip .	
Feb 8 2008 	Excellent location	The hotel is located one block from the Russell Square stop which is reached from Heathrow Airport by the Piccadilly subway line in 65 minutes. Cost is only 4 british pounds.Rooms are recently renovated with comfortable beds and nice showers.The hotel is located minutes by fot north of Piccadilly Square and Covent Garden.	
Feb 4 2008	Super - Others should ge things into perspective	Have stay here twice in the last year. Once in an older style room and this time in a refurbished room. Forget those reviewers who say that there should be more room as it's a 4-star hotel. This is London, space is at a premium and most people spend very little time in the hotel. Yes, the rooms are quite small, yes the bathroom is small, but it's spotlessly clean, the breakfast is excellent and the restaurant and reception area has benefitted from a full refurbishment. Strikes me that a lot of folks on this site want to pay for a youth hostel but expect the Ritz. In a nutshell, if you want good value and a nice breakfast, book in here, it's excellent for the money. 15 Minutes walk takes you to Covent Garden and the tube at Russell Square is 2 minutes walk away. Kings Cross, St Pancras and Easton mainline stations are 10 minutes walk away or a fiver in a taxi.	
Jan 15 2008 	Excellent value for central london	We also booked with Airmiles and thought this represented excellent value for London. Yes, the rooms are small but were very clean and had everything you need. The only comment is that,for me, all hotel rooms are too warm and it was impossible to turn the heating right down. Breakfast was one of the best we have ever had anywhere in the world so well done! Check-in was fast and efficient and all staff seemed very pleasant. very handy for Russel Square tube and British Museum	
Jan 13 2008 	Excellent value and location at the Holiday Inn Bloomsbury	The room was excellent value for money, and was very clean. A lot of prior reviews complain about small rooms, but please remember this is a very expensive city, so for this kind of money you are not going to get a large room. Check-in and check-out were very swift and all staff were friendly. We booked this through Airmiles, and paid the cash price of £70 per night for a standard double, with breakfast. Breakfast was excellent and served till 11am.The location is excellent, not far from Russell Square or the tube station. In fact, we didn't actually use the tube as can easily walk down Kingsway and hit the Strand in under half an hour.Literally 2 minutes out of the hotel on the right is a small shopping centre with some high-street names, a few restaurants and a supermarket.	
Dec 28 2007 	Good Hotel for London	I stay in that Hotel 2 nights in October 2007. I went there 15 years ago when that Hotel was at that time a FORTE hotel. It's the same hotel with a new lobby with refurbished rooms.The Hotel is close of Russel's Square Station which is direct to Heathrow Airport.The room was in the Back. It was warm at this time of the year in London, but Air conditionning was stopped for winther time, fortunately it was possible to open the windows.For the price and the location, this hotel is a deal in London. The area is nice with pubs, restaurants, shops, etc. You can walk to the British Museum.	
Dec 21 2007 	Noisy Noisy Noisy	I stayed here overnight before a training course hoping for a good nights sleep unfortunately this did not happen.The hotel is very nice BUT the first room I was allocated looked out onto a flat roof, ok not here for the view but the window catch was snapped off and was lying on the desk. This meant that the window could not be closed or locked!A quick trip to reception and I was moved without a problem, however the room I was given overlooked the main road which was noisy all night with vehicles going past and bin lorries and delivery trucks etc reversing into nearby shops all night!The final straw was when a gang of noisy yobs returned to their room next to mine at 2:20am, then proceeded to laugh and shout for an hour or so. Hope they appreciated the door slamming when I left at 7:30!Staff were very friendly and apologetic when I mentioned the yobs at checkout, but nothing was done about it during the night.I wont be coming back here, use the Holiday Inn Kensington instead, much larger rooms and quieter.	
Nov 27 2007	Worth booking	Booked for me by my organisation's corporate travel people, I chose this out of three choices for the location.This was a two night stay in London for two different business meetings. I was booked a double room for single occupation with inclusive breakfast.The location was very good: central, near good transport and in an area I find pleasant (Bloomsbury). I arrived in London at Kings Cross, and this hotel was within reasonable walking distance, if you have smallish luggage. Otherwise, I recommend tube (Russell Square) or taxi. The general amenity of the hotel is of good quality: nice spacious and attractive reception area, very nice wide corridors (I loathe finding my room among narrow passages). The room was very good (though I think it might have been cramped for two), clean, neat and well laid out. Very nice bathroom - though, like other visitors I noted the tile grout was a bit grubby.Very good included english/continental breakfast - to visitor choice, well cooked. Good value for the business trip; I'd equally consider this for a private trip if I could get a reasonable deal. Recommended overall.	
Oct 29 2007 	Clean and well located but disappointed with the room.	I stayed at this hotel for a theatre weekend break with a friend recently after getting a good online rate for one night including breakfast. The hotel itself is well located for theatreland and shopping with all the popular places within a few tube stops. (or walking distance if you prefer) Russell Square tube station is quite easy to manoevreround and has 3 large lifts to take you down/up which saves on the walking! Once you come out of the station the hotel isn't within viewso cross over the road towards Tesco Metro (24 hour) and then head down the road to the right of Tesco. Once you get to the Irish Bar goleft and the Holiday Inn is actually attached to it - no more than 2 mins walk in total even with a suitcase.When we arrived at the hotel we were impressed with how modern and spacious the reception looked. The check in staff were friendly and efficient. Our room wasn't ready (we were quite early) but we could check in and leave our bags, (ticket system) so we headed off for shopping.We returned a few hours later and picked up the key cards for room 237. I have to say that although the room was clean and warm, it was not what I expected from a 4* hotel. There was no more than 2 foot ofspace at the bottom of the bed to the wall and the decor was very tired. The minibar was out of service although this was not a problem. The bathroom again was clean, which is the main thing, but very tired and tiny. On the plus side, the bed was extremely comfortable, there were plenty of tv channels to choose from and there was a good selection of tea/coffee/hot choc in the room. The curtains were also nice and thick so we weren't woken up early by anylight pouring through but the hustle and bustle of London was still audible through the windows.The restaurant was completely at the other end of the spectrum and was modern and looked as though it had been recently refurbished. Breakfast is served for a good few hours (7-11) and there is an amazing choice of bread/pastry, fruit, cooked breakfast etc and as it is buffet style you can choose what and how much you like. I noticed it said £14.95 on a board outside so I would recommend getting a deal which includes the breakfast as that price seems a bitsteep per person. Free Sunday papers were available in the reception area as well.Overall, I would say the hotel is well located but I have stayed in better for the same price nearby and I probably wouldn't return to this one.	
Oct 24 2007 	Overpaid and under refunded	I stayed at this hotel while I was overnighting in London in September. After giving them my card upon check-in for what I thought was the normal card swipe, I then paid when checking out the next morning. However, when I checked my bank account later in the week, I noticed that I had been charged twice, and that more had been taken off my account for the card swipe than the cost of the hotel room.I promptly got in touch with the hotel and asked for a refund. They were unable to find my details. I sent them a copy of my statement showing both charges, and they agreed to repay me the lesser amount. I said that this was unacceptable, as it wasn't what the room cost and I had also had the additional inconvienence of having to contact them about their error. However, this is the amount that duly arrived in my bank account, despite my explicit instructions that they were not to proceed without my authority.So not only did the hotel overcharge me, they also compounded their error - truly dreadful customer service and the reason for this review. In addition, the rooms are badly overpriced for what they are - I've stayed in numerous hotels in London and around the world, and this was pretty dire - the room I stayed in was badly in need of refurbishment and dated. Even if I hadn't been put to all the inconvienence of having to chase my money, I still wouldn't recommend it, though it's unlikely I would have felt strongly enough to write a review.	
Oct 7 2007 	Perfect Holiday	we were staying between 25.9-1.10/2007 and were very pleased from the hotel service. we got an upgrad room Because the standards room were booked out. NO complain.great location: Ruseel tub if right behind the hotel.Very good hotel.Recommended.	
Sep 26 2007 	great hotel good location	My husband and i stayed at this hotel for four days in August on our way back to Australia from a holiday traveling around europe. I have to say I was pleasantly surprised, we were expecting the rooms to be very small as this was what we had experienced elsewhere in europe. The room was not large but not uncomfortably small either. Staff at check in were very efficiant, and the hotel is clean and well run. The location is fantastic, close to west end and russel square station there is also a small shopping centre opposite with two supermarkets. Tip, it is much cheaper to book this hotel online with an external booking agent rather than through the holiday inn. try to get a booking with breakfast included as it works out much cheaper and the hotel breakfast is really good.	
Aug 22 2007 	4th time lucky!!	As you can guess by the title, this is the 4th time we have stayed at this hotel &amp; we keep coming back for more! we decided to stay this time for our wedding anniversary &amp; we had a great time as usual for the first time in 3 years of visiting we went to the brunswick shopping centre opposite the hotel, very nice!! also very nice was the irish bar at the hotel which serves a lovely pint of caffreys bitter. all in all we had a magical weekend and hope to return soon	
Aug 17 2007 	good location nice irish bar attached	often stay at holiday inn hotels on their weekend deals and generally think they are good valley for money and this was no acception. ok there not 5 star or boutique but tidy enough and reasonable facilities. we paid £200 for 2 people with breakfast and 1 evening meal for a 2 night weekend stay great location with nice pub. although on the morning we left had builders in next room at 9am using power tools and i had hangover ,not the best remody. staff were very helpful and booked us lunch at gauchos grill near the strand, if you like argentine steaks cooked to perfection go here i doubt you will have better steaks in britain,if you do have better please email me so ican go there.	
Aug 16 2007	Great hotel	Great hotel in a great location. 1 minute from Russell Square tube station &amp; 10 minutes walk from Covent Garden &amp; Oxford Street etc.Efficient check in with clean rooms as you would expect in a Holiday Inn.Good Breakfast with as much as you like buffet and in the evening they have a pub in the hotel with great value drinks and good food for a hotel.Seemed very busy during my short stay &amp; I will be back for more.	
Jul 30 2007 	Definately not 4 star!!	We stayed at the holiday Inn Bloomsbury on Saturday for our wedding anniversary, we were shocked as to how tiny the room was at it was a 4 star hotel. The mini Bar wasn't working and neither were half of the TV channels. The food in Callaghans was terrible and as a result we tried the hotel restaurant believing that at over £15 we should be getting a decent meal. The food in the restaurant was only ok you wouldn't say it was nice.I would also say that the customer service could do with improving as most of the staff find it hard undertsanding you.Not at all what I would expect from a 4 star holiday inn hotel.	
Jul 26 2007 	Great Location nice hotel	This hotel is a lot better than it looks from the outside and better than other Holiday Inn's that i have stayed in. Location is brilliant, short walk or cab ride to the west end. Staff were nice and or efficient. Bedroom was spotless and the room service was good. had quite a few pints in the Irish pub which i was not ripped off for despite my expectations. Would recommend for business mainly or as a base for sight seeing	
Jul 19 2007 	Not 4 star!	We have just arrived back from a 4 day stay at the holiday inn. we choose this hotel for the location, Russell Square . Getting around London from here is so easy. The Best thing aout this hotel is that our room was kept spotlessly clean by the housekeeping staff. Forget going into Callaghans bar, they have no beers only lager, when asked for a Bitter Shandy the poor trianee did'nt have a clue what I was asking for ! H e was left on his own whilst others stood talking. The phone in our room did n't work properly and after two days we gave up! We had been over to the brunswick mall for a meal and decided to finish off the evening in the bar only to get &quot;jumped on&quot; as soon as we walked in With a R U RESIDENTS ? ! no manners and an appalling attitude by this person. We didnt bother with Breakfast until our last day at £15.00 p.p u can hardly blame us. However the food was ok but they didnt have our room number on their lists!!! Room Service - we came back from a show in convent garden and were peckish! The room service menu is very limited after 11 pm. We ordered a 'holiday inn club sandwich, which is chicken,lettuce ,tomato, bacon &amp; mayo. NO mayo No lettuce and the wedges we requested with it weren't available so they put some cold half cooked chips with it instead. However they didn't t phone us to say they were unavailable we got told when they delivered it !! S o all in all we had agreat time but We definately Will not be Staying Here ever again. I would not rate this hotel as 4 star I've had better service in a 2star which is proberly where we will stay next time in London!! p.s hotel bar is closed on Sundays!	
Jun 29 2007 	The most horrible customer service it is hard to belive I stayed at Holiday Inn	First let me say- always have someone personally check out hotels you are not familiar with. Do not listen to the hotel staff and do not believe in the website photos. Big LIE! What happened to the Holiday Inn reputation and why they are charging $360 a night for this outrageous place? I could expect a little better service and the room quality. There is absolutely no privacy, the windows are facing other rooms, a courtyard style, but the rooms are located just above the roof of another building. Reminder::::::$360 a night. This wasn't a 3 star hotel. DON'T YOU EVER GO THERE!!!!!There are a lot of cool &amp; less expensive hotels to choose from in the neighborhood. The ICH Group supposedly taking care of the complaint did not help at all, what a lie.	
Jun 8 2007 	Tiny room but clean 	We stayed at this Holiday Inn as part of a 'secret deal' we booked through a website. We stayed four nights total. Overall, this hotel proved to be very convenient and a generally pleasant place to stay. Our room was nothing posh and was very small - we struggled to find enough room to open our two pieces of luggage. We had no views from our window and instead looked out onto a concrete courtyard facing other rooms. But on the plus side, it was clean and had all the basics you need like a hairdryer, television, etc. They also offer basics toothpaste, ear buds, etc. for free if you've forgotten something. While the rooms could do with a bit of an update, the general lobby area is nice looking, bright and modern.My only real complaint would be that we stayed in a room next to the cleaner's room. In the mornings at 8am, the cleaners would come and begin slamming their door and talking loudly. It wasn't a problem every morning of our stay, but one morning I counted that the door must have slammed 15 times in one minute. I could have opened our door and said something, I suppose, but I didn't. The location is great. It's handy for tube access, there's a tesco nearby, a Starbucks less than 5 minutes away and other shops &amp; cafes. We ate breakfast out every morning as the hotel breakfast prices seemed a bit steep and there are plenty of options nearby. In terms of value, I think this is a pretty good choice if you're on a budget but want to stay someplace half-way decent. I don't know London very well in terms of hotels, but we heard from friends that the price we paid for the location we stayed in was pretty good for London. One note: oddly enough, they didn't provide any facecloths with the towels - this is usually a pretty standard thing for hotels/motels, but I had to ask every time!	
May 29 2007 	Great Location	This hotel is a great base when visiting London. Ideally located nearby Russell Square underground station and easy walking distance to the British Museum. Tesco Metro round the corner. Great room rates, particularly when you prepay as we did. Staff were polite and helpful. Would definitely stay here again. Well recommended.	
