	Dorchester Hotel - London	It was ouir second time at the Dorchserter and when we got yo our room there was a bottle of champagne. They show you around your room and make you feel so welcome.	
Nov 8 2006 	Not the Best London Option	Arriving at the well-known Dorchester following a hard week-long slog through Europe on a marketing trip, I was looking forward to a brief (one night) but relaxing stay at this top-bracket property before heading off to Japan. 6 pm check-in was a bit chaotic, but the lobby and first floor is beautiful, and I was finally conducted to what turned out to be a pleasant room, slightly marred by stains on the carpeting and a collection of hairs in the bathtub. It took 2 calls and almost 30 minutes to the porter to have my bags delivered, despite being assured upon check-in that they would be &quot;brought up immediately&quot;. As I was looking forward to a bath, I put in a call to housekeeping to have the bathtub cleaned, but after 20 minutes no one had shown up. After another call and a further 10 minute wait, a perspiring maid finally arrived muttering under her breath whenever the beeper on her belt went off, and cleaned up without enthusiasm. The bathroom fixtures themselves could have used a good polishing, but they worked. Comfortable bed, and very good good room service breakfast. However, the bill for overnight laundry of 5 shirts and underwear tipped the scales at 300 pounds, which seemed a tad high, to say the least.On Saturday, looking to eat lunch at the hotel before heading to Heathrow, I presented myself at the main court only to be told (as expected) that the then empty room was fully-booked for high tea and I would have to look elsewhere. My request for help with where to get a light lunch initially resulted in baffled stares, but ultimately the hotel bar was the recommended alternative. The Dorchester's bar has been written up as &quot;one of the best hotel bars&quot; in London, and if you are looking for a gin and tonic priced at 18 pounds (not including the bottle of tonic, which is extra), thudding eurotrash music, and a strange menu of expensive snacks in a bordello decor, this place is for you. A sloppy wrap of curry chicken salad and one drink set me back over 50 pounds, which is an outrageous price considering what it was. One could do better at the Savoy or Claridges for the same price.	
Oct 10 2006 	Not the best hotel in London.	The Front of the building is wonderful, renovations were very good, service was spot on as you would expect. HOWEVER!! we had to move 3 times to get a non smoking room, the smell of old cigarettes was everywhere. After our final move, we woke up on Sunday morning to the smell of cigarette smoke, which was coming under the adjoining bedroom door. Took an hour to check out as they did not take down the correct security number from the credit card.	
Sep 11 2006 	Some flaws	Central location, splendid building (after the recent renovations, although I prefered the old Grill and the bar is too modern for my taste) and very luxurious rooms.Dinner at the grill was good but not memorable, and the quality of the service has dropped. Service at the bar was not great, but the waiting staff was especially bad at breakfast in the Promenade. Breakfast itself is also of a lesser quality than in the past (especially the bread) and is now a neglected meal (like at so many hotels).The spa (ok but not a destination in itself) did not look clean (used towels and empty water bottles everywhere). I reported this several times to the reception but it had no effect.The hardware (public areas and rooms) is certainly back where it should be, but there is a problem with the software (poorly trained young waiting staff having replaced the older and distinguished staff).	
Sep 1 2006 	Great!	My partner and I had a two night stay at The Dorchester at the end of August. We were impressed with the checking in service which included the receptionist showing us around the facilities and to our room. Our room was on the second floor. The room was exceptionally spacious and the bed was huge. The bathroom was a decent size with a deep bathtub. (If you had a mobility problem you may not be able to lift your leg high enough to get in) A little disappointingly, our room overlooked the aircon units/kitchen? however, my view is that I do not go to London to spend my time looking out of the window. The new bar was very beautifully done although the prices are definitely London/5* prices! The Promenade is gorgeous and a delight to have either breakfast/ afternoon tea or a late afternoon drink.Our stay inThe Dorchester was very good. We stayed in both The Lanesborough and The Ritz last year and The Dorchester is faring execptionally well in 'our places to stay test'!	
Aug 29 2006 	Lovely Afternoon Tea	A large group of us went for afternoon tea on a Sunday at the Dorchester. On arrival at the hotel I was very impressed with the surroundings and decor. We were warmly welcomed and shown to our tables, which looked beautiful- the china was the finest and daintiest I have seen! The choice of teas were quite bewildering but I finally decided on the Dorchester Blend and was not disappointed. We were firstly served sandwiches, as much as we could eat. I tried most varieties and they were all fantastic! Next came a peach and Vanilla desert- which was followed by warm scones- delicious! We had a selection of pastries which were quickly refilled as I had to try most of them- they were all very tasty! We offered more of everything, although after my second cake I was rather full. The ambience is lovely, a piano playing throughout and even the ladies restrooms were impressive! 10/10 I enjoyed myself immensely as well as the rest of my party- I would love to go again!!!	
Aug 15 2006	Afternoon Tea overpriced.	June, my wife and I went to the Dorchester for Afternoon Tea.Sandwiches were good, desserts were just average and the whole affair was overpriced. Service was slow, our server disappeared and we ended up with someone else.Beautiful setting,,, but as I was about the only man with a necktie, I wondered why I carried it 4000 miles for this...Will go elsewhere next time:	
Aug 7 2006 	Wonderful tea at the Dorchester	I wanted to take my parents to London for the day as a treat. They are comfortably off and are used to some of the nicer things in life, but I'm not - so the budget was important to me. However, I wanted to take them to see Buckingham Palace and then for a smart tea afterwards. I used Tripadvisor and read all the reviews of lots of nice London Hotels which do tea and eventually settled on the Dorchester, mainly because of the reviews which said the staff at the Ritz were condescending to guests. I wanted to my parents to feel special, not unworthy!The best bit was flagging down a taxi and announcing 'the Dorchester' to the driver - my parents were so surprised; they had never been before. We were dropped off outside and the doorman helped us in. The staff inside were courteous and discreet - not snobbish, disinterested or over-the-top. We sat down (the tea area is right inside in the lobby area) and it is beautifully decorated with huge comfortable banquettes or big old-fashioned chairs. A cake stand, silver plate cutlery and tea-strainers, linen cloths and napkins and Limoges crockery were on the table when we arrived. Immediately a waitress came to see if we were ok and said she'd give us a while (which she did twice as we weren't ready.) The only thing which threw me was that another waitress immediately offered champagne, which my parents accepted happily, thinking it was part of the deal - but I hadn't chosen the champagne tea as it was another six pounds each and I'd bought some for later. Anyway, the tea was fantastic. They bought little sandwiches with the crusts cut off - five kinds - and then brought more and more. Unfortunately I ate too many as the pear and stilton one which had sounded so revolting was so nice and I had several. So, by the time the warm scones (plain or with raisins) arrived wrapped in a napkin, I was feeling a little full. The cakes arrived then too, and were a real treat. Some had gold leaf on and all were beautifully presented and tasted lovely. They offered more, and to my eternal and horrified regret I had to decline. A waiter in tails kept topping up the tea, which we thought was great but we realised at the fourth top up that he was just adding boiling water and it was getting weaker and weaker. I had Bangkok tea and it was fabulous! The service was very good and we were surprised to find we'd been there two hours. As we left, I thought we'd go and have a look at the other end of the room just to see what was up there (let's face it, I don't go there every day) and the cocktail bar caught my Dad's eye... he knows I love a cocktail and offered me one. So there we all were having cocktails beautifully prepared by the barman in the Dorchester. It was fantastic and felt so special. As we were leaving, a lady behind the bar offered us a top-up. My mum's always one for a joke and asked if it was free. Yes, she said...so we had another, and it was free, and it was excellent!By the time we left we felt we'd had such a lovely day and the surroundings, decor, ambience (everyone else looked crashingly wealthy and as though having tea at the Dorchester was sooo tedious dahlink) were perfect. I'm really glad I chose this hotel and (if only there weren't so many other places in the world to see!) would be back in a flash. Just fantastic	
Jun 28 2006	Perfect as always	.As a regular at The Dorchester i must comment on the superb service that they provide time after time.On our latest visit, to celebrate a friends birthday,we were informed on arrival that we had been upgraded,we were shown to our room which turned out to be a beautiful park suite.To make sure we made the most of it we invited our friends to join us for lunch in the suite.The six of us had a wonderful lunch over looking Hyde Park before going to an afternoon matinee at the theatre.The staff are always extremely polite and attentive,we have stayed at three or four of the other top hotels in London but for the past few years The Dorchester has been our firm favourite and we highly recommend it.	
Jun 24 2006	The Grand Dame of Grand Brittania is outrageously overpriced	A 4 night stay with the wife (left the kids in Chicago with Grandma!) on vacation- exec king set us back $3500 (room, tax, service only). Full breakfast included, thanks to American Express FH&amp;R program. Reasonably spacious room toward the back (read: quiet) of the hotel- two closets in the entry foyer- spacious bathroom with his/her sinks, separate bath and shower. There was also a bidet that provided us with at least several minutes of amusement.The Dorch is on the east end of hyde park, across Park Lane. It is a brisk 5 minute walk to HP since you can't directly cross Park Lane (unless you have a death wish) unless you walk south to the pedestrian underpass. Green Park and Hyde Park tube stops are closest, both about 5 min walk from hotel.Otherwise, there is not much immediately around the dorch- 5 min walk to Shepard's market (a small, socioeconomically normal enclave in the middle of an otherwise outrageously posh Mayfair neighborhood) or Oxford St and a hideously barricaded US Embassy (don't get me started). Kensington (Harrods, etc) is a good 12-15 min walk- but at least you can cut through Hyde Park and the lovely flower gardens along the southeast edge.Had tea at the Dorch- $135/two people. It is unbelievable to me that the English, who readily voice their disdain for loud, tactless Americans, allow constantly ringing cellphones during tea! Shockingly inappropriate, if you ask this ugly american.Meals in general at the D are ridiculously expensive, especially given the overall mediocre quality. We did not eat in The Grill or China Tang- unbelievably pricey. Given the multitude of superb restaurants in London, we pretty much limited ourselves to breakfast.The clientele are an interesting mixture of arabs, tourists, and englishmen wearing tophats (Royal Ascot horse races were happening). We were low-key Americans doing the usual tourist thing in jeans and casual clothing- we definitely stuck out but I didn't feel particularly ostracized. No one ever hassled us, except when we tried to unsuccesfully cut through the back door of the hotel as a &quot;shortcut.&quot; My bad.Service is fine- not outstanding though. Calls to the concierge desk in the middle of the day went unanswered a few times. Maid service was excellent- discrete, fast, and thorough. Check in and check out went fine- they got the bill right on the first try pretty much. Overall, service is comparable to Ritz Carlton, Four Seasons, but not as good as Peninsula.Summary: Although the location is considered great, I would suggest that the Dorch is actually a little bit off the beaten path, particularly if you like being able to easily walk (within 5-7 minutes) to restaurants, lounges, shopping, etc. It is outrageously expensive but I am hard-pressed to say it was really worth spending so much for what we hoped would be the quintessential English experience, especially with the constantly ringing cellphones during breakfast and tea. I would stay elsewhere if we went back. P.S. Selfridges is far superior to Harrods- less tourists and WAAAAAYYY less emphasis on their own brand. For example, if you want to buy tea at Harrods, you can really only buy Harrods brand. If you go to Selfridges though, you'll have a ton of choices, only one of which is the Selfridges brand. Selfridges' foodhall is just as impressive as Harrods. Similarly, Selfridges also has an amazing array of clothing, electronics, books, etc. Skip Harrods- Selfridges is a much more entertaining and productive shopping experience with way fewer people to push through.	
May 31 2006 	Beautiful Hotel	I stayed at the Dorchester last week and it really is beautifully appointed. The room however, was not what I expected for a top hotel, as it was quite small. The linens were beautiful, the bed comfortable, but the size of the room and the lack of any view was disappointing. All I had to look at really was the ugly top of the roof. The tub, was very deep and the bathroom was fairly large and everything seemed fresh and clean. They are not very generous with toilet paper and fruit plates and at these prices, you should be able to expect more. I never ate at the hotel as the prices were astronomical after the conversion to USD. The lounge area seemed a bit stuffy but the staff for the most part, especially the front desk personnel were very friendly and helpful. I might consider staying there again, but be careful where they put you - you'll either be delighted or disappointed. And of course, there was a celebrity sighting- Lionel Ritchie in the lobby.	
Apr 16 2006	The Genuine Article	The Dorchester is a seriously good, genuine 5-red-star London hotel. It has lovely, immaculately applied rooms, faultless service, and superb ambience. The whole place has a warm and friendly almosphere. Afternoon tea in the Promenade was a delight, with food as good as you will find anywhere, including the Ritz. The room service breakfast was as excellent, as is the location, with Hyde park across the road, Oxford Street ten minutes walk away, and theatreland just a short cab ride. Anyone looking for a superb, traditional, top-rate London hotel need look no further than the Dorchester.	
Apr 10 2006	Absolutely Fabulous	Just got back from staying at this wonderful hotel. From check in to check out our stay was nothing short of perfect. The room was a generous size, absolutely immaculate. The staff were a real pleasure. This hotel definitely deserves its 5 star rating. I have stayed at numerous 5 star hotels around the world and without a doubt I would rank this amongst the best. I have finally found my hotel of choice in London.	
Jan 31 2006	Shame about the decor	I have been going to The Grill Room for some time.I enjoyed the tranquil surroundings and the 3 course meal for £38 including service.Very good value for money.when i went in October i was disturbed to find that it was closed for refurbishment.I went back recently.What have they done to the place!The walls are now covered by garish Rob Roy figures,supposedly to highlight the new Scottish influenced menu.Alas this means that the old fixed price menu has gone out and in comes a menu which is almost twice as expensive.There is no longer a desert trolley but you are handed a menu with about 6 desserts from £8.Petite fours and coffee are no longer included and they of course add 12 1/2% service charge on the bill.The food itself is less interesting and i have to say vastly overpriced.So i will not be going back there.So if you think that you are going to get anything special at The Grill Room ,well it will only be the bill.Alas this is no longer a venue i shall visit.	
Jan 24 2006	Trouble with payments and truly awful service.	We had tea on sunday afternoon at the dorchester. It was embarassingly bad, really, truly, appalling. Basil Faulty could not have done better!I was especially upset as it had been my idea. I have stayed many times at the dorchester's sister hotels for business, mainly The Principe, in Milan. I have always found it a delight. A respite from mindless business travel with a wonderful friendly staff. It has gorgeous big old fashioned rooms and a truly awesome spa and pool on the top floor. However, even with the fabulous surrondings, it is, to my mind, the staff that make the difference between a good and a great hotel.The Dorchester obviously does not believe this.The staff are arrogant, unpleasant and unhelpful. A previous reviewer put it very well when he said, that the staff regard the guests as a bother. I would concur with this completely.At tea, we were treated as a bunch of annoying idiots. Who were bothering the staff. Imagine, we were so spoilt, we wanted our tea to be served! At nearly £40+ per person for tea, you would have hoped they might make a small effort... Don't count on it. You are upsetting their afternoon by being there. That's how they make you feel.After a few glasses of champagne, we asked for our tea to be served. We would have liked our sandwiches to be brought to the table at roughly the same time as the tea, not when the tea was cold. That didn't happen. When we asked for hot tea we were told it was on its way. By the third time of trying to get some more tea we had to get up and ask the gentleman/manager at the service stand to bring it.We ordered water, again it never appeared. I had to get up, physically stand infront of a waiter and ask for it. Guess what? Yup, it never appeared. The trick is to ask for everything three times, and then it arrives. But actually the really clever bit is finding someone to ask three times! Elusive is obviously a word they learn quickly!When we asked for scones they arrived. We had only asked once! Hurray, it was a blip in the service. It was all going to be fine. Well....no. The scones arrived warm and wrapped in a lovely white linen napkin. Sadly by the time the butter, cream and jam arrived, the scones were cold. The finaly insult was when we tried to pay. The bill arrived very very promptly. I duly handed over my switch card to pay. The man came back and informed everyone at the table, that my card was not acceptable - they don't take solo cards. I pointed out it was a switch card. He went away. He then came back in a loud voice informed us all that it had not been authorised. (I got home and checked my balance online, I had not been wippped out overnight!) So very unlikely, but I'm too old and have stayed in too many hotels, to be bothered by this stuff. Technology cannot always be relied on.So I handed over my Visa card. He swiped it, returned the slip for signing. Then he returned, again, he said my card had not been authorised. Deja Vu! Even though the slip I had in my hand had an authorisation code on it, he said it was not authorised.I just wanted to leave at this point. He became a bit belligerent and annoying and just keep repeating loudly that my card had not been authorised. I asked for my signed slip back, and gave him cash. They would not give me a cash receipt, I even asked him to sign a piece of paper saying he had said received £50 in cash. He would not. Guess what? Yup. I had paid twice, I paid cash, and my visa card has indeed been charged. At the time of writing, I cannot be 100% sure they have not charged my switch card as well, as my bank inform me it can take up to 3/4 days for debits to go through.I have spend a whole morning sorting out a payment for a small amount of money. I have eventually contacted the hotel, G.M., (general manager) and he assures me they are sorting it out. He has, in their defence, been charming, and as good as his word. He has phoned me back, and assures me not only that my card has been credited, but they are crediting me with the cash I paid. So I may, have ended up not paying at all. However, I still feel, it should not have happened in the first place. And when I called yesterday to sort it out, the Food and Beverage Manager should have taken care of it. They didn't. Hence I bounced it up the GM. (Go to the top if there's a problem!)My advice. Go somewhere else. Claridge's is fabulous for tea. The staff are friendly, courteous and charming. Sadly The Dorchester, even with a charming GM, does not deserve our hard earned cash.	
Jan 1 2006	Incredible	I am always amazed that people can find something to criticise about the Dorchester. I've been lucky enough to stay there three times and every visit has been exquisite: beautiful rooms, furnished in a classic, English country house style. Incredible, incredible bathrooms. Amazing food. Wonderful service. If you like sleek, modern rooms, you probably won't like the Dorchester. It's chintzy and frilly, the furnishings are oversized and the upholstery florid. But that's because of its style and the hotel's USP - every visit makes you feel like stepping back in time to around 1910. A spotless 1910, I hasten to add.I've always had a room overlooking Hyde Park, which is perfect. But not all rooms have that luxury. That's because you're in a central London hotel, surrounded by shops and offices. I guess some rooms might have a less than perfect view. So request a park view if that bothers you.The rooms aren't massive - unless you have a suite, in which case they're huge -but they certainly aren't mean. And the bathrooms make up for that anyhow. The staff are absolute professionals who take the time to make sure you have a wonderful stay. Which is what you would expect for such a pricey hotel. But if you're in town for a special occasion, there is no finer place to stay.	
Dec 18 2005	Just the best....!	We stayed here for 4 nights during October/November and have to say that we were not disappointed. The hotel is in a great location. We love to walk and found that all the great tourist places were all around. We were lucky enough to be upgraded to a DEluxe King Room which was just great. Heaps of room, roomy bathroom with HUGE bath and VERY comfy bed.The staff are just gorgeous, nothing was to much trouble. We had a bit of an issue with the printer, but they fixed it...even though it meant replacing their computer....!!! I would recommend this hotel to everyone, although it isn't cheap ($900 AUD p/night) it really was worth every cent.	
Dec 3 2005	Fabulous - worth every penny!	My fiance took me to The Dorchester to celebrate our engagement. It is fantastic. The service, food, atmosphere.... I couldn't fault a thing. If you have the opportunity, don't think twice and don't miss the afternoon tea!	
Nov 30 2005	Gorgeous hotel gorgeous staff and gorgeous George Clooney..	I stayed here for a long weekend as a surprise from my husband and had I of read the other reviews first I would not have gone.I dont know where you all stayed but The Dorchester was perfect for me, lovely, helpful staff, amazing food and HUGE bed and bathrooms...even better was bumping into George Clooney in THE LIFT!!!The Dorchester is wonderful and if you can afford it go right now!!	
Nov 16 2005	This is not a good hotel it is a Bad hotel. Seriously bad.	The Dorchester is a classic example of what a hotel should not be. The level of service here is very poor. First, upon checking in, I was lectured about why my room wasn't ready (it is not yet check-in time) though I have not only requested an early check-in, but also called from the Heathrow pick-up arranged by the hotel to let them know that I was on the way (during the conversation they confirmed that my room was ready and waiting for me).Security is horrible. A drunken hotel guest was wandering my floor for over an hour, ringing the VERY loud doorbells (further enhancing my jet lag). When I called the frint desk to let then know that I had been awoken four times (and asked if they had security or a camera) I was not given a simple apology.Okay, on to the room. At around $900 US dollars per night, the room is 0 out of 10 on value. The bed is not comfortable, the sheets and pillowcases are starched to the point that they can almost stand on their own. The bathroom is very nice and the honor bar well-stocked. The TV is horrible with two volumes, it seemed: no sound or really loud.Back to the service. Though my inquiries were very few and I am not at all rude (I travel all the time and genuinely like people who work at hotels) the attitude at The Dorchester is that guests are an unwanted bother.Location is good, but not great. There are MANY better-situated hotels to the city center. The fitness room is fair at best. Very small, poor TVs, aging equipment.Finally, the hotel has a smell. It smells...old...like your grandmother's house when she's either too infirm to tend to it or getting too old to care.This is NOT a good hotel. Take the huge sack of money required to stay here and go elsewhere.	
Nov 1 2005 	great bath tub but the room is the luck of the draw	We stayed at The Dorchester for two nights, courtesy of the BAFTA awards. The front desk staff wasn't very accommodating. When we were shown to our room I have to say I was a bit shocked. The hallways were very dismal and claustrophobic. our room was unremarkable. The view out the one small window was of a roof sandwiched in between an alcove of the exterior of the hotel. In other words we had no view and no light coming in the room. The carpet was dirty and basically the furnishings felt very worn. I asked the front desk if they could switch us to another room and they said no. We offered to pay the difference for an upgrade and again they said no. so we settled in and I basically spent my time in the room asleep or in the wonderful big marble bath tub. we visited two other rooms while we were in the hotel. One was far worse than ours. The other was absolutely gorgeous. I suppose it's typical of older hotels for the rooms to vary so much. But all I could think about was the crummy room we were stuck in and the gorgeous one we could have had. I do have to say that the location was great and the concierge was one of the nicest I have ever come across. I would, however, stay at The Claridges down the street and around a few corners. That was a great hotel.	
Sep 19 2005 	Its the best in London.	The afternoon tea is better than the Ritz, even though you have to squat on low chairs. All round its better. The Spa is first rate. Good barbers and excellent hairdressers.The security is ham-fisted. They are pretty obvious if your aware and if they can't make you out, they 'talk' to you out of the blue. Kinda strange at first, but after they recognise you (if you visit more than once) your OKed.Taking about the Doorman, he actually made a quip about where I was going when he pulled the cab over, as if to say &quot;Now we know where you go&quot;.What do expect with the bombings and superstar guests, the security have got to be on their toes.	
Aug 17 2005	Afternoon Tea - an addendum	My wife and I had afternoon tea at the Dochester and would echo all the plus points of the previous review. However, we disagree over the 'pastries'. They were exquisitely made (apparently in-house) and were just as much a delight to the tastebuds as they were to the eyes. A truly marvellous experience.	
Aug 10 2005	Afternoon tea 	Myself and 2 friends went for afternoon tea at the Dorchester last Friday. We debated at length on which of the Grand Dames hotels to pick. WIth very few reviews on TripAdvisor to help us!On arrival we were very pleased with the sumptious surroundings - tea is taken not in the foyer, but a long wide room off the foyer with a glamorous bar at the end. So you are not disturbed by comings and goings. The decor is very grand, the carpets so deap we could feel our shoes sink into them. The tables are set spaciously apart so we were not sitting on top of others. We had a table next to the piano player who played a mix of ballads and light classical. The bone china and cutlery were quite modern in design. My friends are both 30 and were the youngest there. The average age was about mine - mid-40s - 50. It was near full, but still exquisitely calm and peaceful.The tea menu was amazing - I had the finest Early Grey I have ever had. My friends adored their darjeeling. All fresh leaves. Then came the sandwiches - finger style with simple but delicious fillings: chicken, prawn, smoked salmon, egg, and cream cheese and cucmber. The waitress graciously placed a selection on our plate, and came back - we could have had as much as we wanted. Then came warm freshly baked scones (2 each), clotted cream and delicious home made tasting blackberry and strawberry jams. Plus fresh pots of tea and clean cups.Then the disappointment. I was expecting English cakes and cream cakes - sort of typical classic cream Victoria sponges etc. But what came were dinky continental patisseries, obviously not made in house. Now the chocolate covered one with a cherry inside was lovely. But not an English classic cake in sight. The dinky macaroon was pointless, and then a couple of mousse type patisseries which we didn't enjoy. This was the big disappointment. And we noticed that everyone had exactly the same cakes at their tables.The staff were grace and pleasantness personified, and we were offered seconds and more of everyhting. But the disappointmet of the cakes took the edge off.One of my friends is an avid afternoon tea goer. She rated the surroundings of the Dorchester the best she had seen. Not stuck in a foyer. But the one let down to her was the cakes! She said even though the Ritz's surroundings were not as grand, it still had the edge because of the cakes. The bill was £81 for 3. Cheaper than the Ritz - but who cares when it's a treat? Then the big bonus. We had arrived at 3.00pm. On leaving I checked my watch - it was 6.00pm! Yet we felt we had only been there for about 1 hour! It was so calm, relaxed, and lovely, time had melted away. The quiet hush of the patrons, the gorgeous surroundings, and the calm service of the staff meant that time had melted by. We felt incredibly relaxed and that we had had very good value - a real treat. Not many restaurants at lunch for about £27 a head would allow you to sit for 3 hours! No one rushed us - it was definitely NOT get them in and get them out, we need the table for another party.One other oddity: the seating. I had a wing chair, my friend who was pregnant a couch, but our other friend had a large stool. As did other guests. But a very comfy and padded antique stool. She loved it!Overall, this was a wonderful experience that I will repeat and would recommend. But not if you what you really really want are English cream cakes or classic cakes and don't care about the sandwiches, scones, surroundings and piano playing!	
Aug 8 2005	poor choice	Stayed here at the time of the second London bombing. A disappointment. Hotel was undergoing extensive refurbishment, with workers everywhere. At check-in, the hotel attempted to put us in a smoking room and initially made a fuss when we objected. Then they attempted to charge us a higher rate than our guaranteed reservation. Fortunately, having a print out of the reservation solved that - except that they then tried to re-institute the higher charge at check out! Dated decor and a dated clientele. Not a patch on other luxury hotels - Four Seasons just down the road has much nicer rooms and a more friendly staff. Not recommended, and we won't go back.	
Jul 25 2005	Almost excellent	I stayed at the Dorchester late May 2005. I booked a standard room through the LHW-website. When I checked in I was upgraded to a larger deluxe room, which was a very nice room overlooking Hyde Park. I loved the room: large and good bed, sitting group and a large bathroom. The room was spacious. And the in-room entertainment system was genious. The service the employes provide is one of the best in Europe. The atmosphere of the hotel is casual and good. I ordered some food from the roomservice, and the portions was among the largest and most generous I have ever seen in the hotel business. I even catched a sight of both Goldie Hawn and Mickey Rourke in the hotel lobby.However, when I was returning to the hotel one night I was approached by a man from security who in a rude way asked me if he could help me with something. This made me kinda angry, because I don't accept to be treated like this in establishments such as the Dorchester. I told the duty manager and the general manager about this, and they promised to handle this in a proper way. Which they did. Overall, I am very satisfied, and would really recommend the Dorchester to anyone who truly appreciate good service and luxury. But for all those who appreciate the little extra I recommend Claridge's. Which is my favourite hotel in London.	
Jul 14 2005	Wow! Excellent service fabulous food beautiful room!	This is by far the best hotel I've ever stay in for vacation. The service was top notch. Food both in their restaurant and room service was wonderful.Would highly recommend and stay there again.	
May 26 2005	Beautiful hotel but surprisingly bad service	Sad to be the only one to have received a poor standard of service at this beautiful and luxurious hotel.My problems occurred before and after leaving the hotel - the service during my stay was wonderful. The staff are attentive, the rooms are luxurious, the atmosphere is stuffy but not stifling.Unfortunately, the online booking system encountered some errors when I booked my room. Despite receiving confirmation for one price, I was told I'd be charged another. This necessitated a phone call to the hotel, who advised they would honour their original confirmation. Had a great stay. Met with some friends from the US and Ireland. On check-out the bill was incorrect due to aforementioned 'problem with the computer system'. Found it annoying to be stood at the cashiers desk whilst waiting for them to sort it out. They did, I left on my merry way.That evening, on my return home, I realised that I had left two items in my room when hurriedly departing. Jacket and ring. Phoned immediately and reported it. Retrieved jacket, NO ring. Called several times to check status of ring. Was advised that it had not been found and was unlikely to be found. Seemed a rather unsatisfactory response and wrote letter to the general manager. However, I do realise that this was partly an error on my part as I left it in the room.Meanwhile, before receiving a reply about my ring, I received an invoice for £340.00, which was taken off my credit card (three weeks after I checked out). This was all in ERROR. I had paid my bill on departure. Due to (once again) a system malfunction, they had taken another nights accommodation off my credit card. Absolutely appalled that they had retained my credit card details and charged it without my knowledge. Since then there has been endless calls to the hotel and manager expressing dissatisfaction with their service, yet not one gesture of goodwill has been made except some rather lame apologies from about a million members of staff (NOT the manager). And still no ring. I know it's considered wonderful that The Dorchester has 3 members of staff per guest, however it means that maintaining a complaint with them is next to impossible.I am supposed to be visiting there later this year for another reunion, but I'm loathe to do so, despite how wonderful a time I had there in May. Considering the cost of staying at The Dorchester compared with other 5* hotels in London, it is appalling how bad their service is.	
Mar 25 2005 	My Favorite Hotel in the World	How else to say it? The Dorchester is my favorite hotel in the world. It combines beauty, elegance, and outstanding service with a surprisingly friendly and unpretentious attitude. Whenever I arrive, I am welcomed as a repeat visitor, both at the front desk and with a note from the manager (and fruits and sweets) in my room. On the rare occasion when something is amiss, they simply take care of the problem with good cheer. To cite just one example, on one trip my television went on the fritz. When they determined that it would take a little while to fix it, they offered to move me to a suite. When I demurred on the grounds that moving my things probably wasn't worth the troubles, they offered to buy me a drink in the (very fun) bar and relocate all of my possessions to precisely the same spot, drawer, nightstand, etc. in the new room, which they did. Beyond the great service, it's in a wonderful location near Hyde Park and Mayfair; the rooms are beautifully furnished in classic English style; the bathrooms are elegant and spotless; it has excellent restaurants; and it even has a good health club and excellent spa.	
Mar 15 2005 	Fabulous experience!	My husband and I stayed at The Dorchester Hotel February 24-27, 2005. We had wonderful experiences each day. The staff was totally helpful...making us feel like very special guests indeed! No request was denied. The food (especially the breakfast) was excellent. We especially loved the bar....music, interesting people-watching and great drinks! We stayed in the deluxe King room and we impressed with the fabulous linens, etc. The location in Mayfair is perfect for walking everywhere. Beautiful Hyde Park is right across the street and the flowers are beginning to bloom!	
Mar 5 2005	Service beyond expected	I would like to share this story as an example of the wonderful service at the Dorchester. At about 2AM on our first night my wife and I were awakened by sounds above our room. It was as though someone was dragging something across the floor and dropping it periodically. This lasted possibly ten minutes and stopped. On the second night, we were again awakened by the same sound at a similar time. I called the office slightly after 2AM to report the noise... perhaps they could ask the people in the room above to be a bit quieter. After a brief pause, the manager came to the phone. &quot;There is no one in the room above you.&quot; He asked if we could meet him in the hall outside our room in a few minutes. Within 5 minutes he was there with two people who moved us to a new room at 2:30 in the morning. The room was a VERY high priced suite and absolutely gorgeous. There were no additional charges for the upgrade for the remainder of our 6 day stay. We had asked for none of this and will never forget how well we were treated at one of the greatest hotels in the world.	
Feb 25 2005	Gorgeous decor fantastic knowledgeable staff	My friend and I popped into the hotel bar for a cocktails. The service was wonderful (and at £11 per drink you would hope so!) and the cocktails were lovely. We were served lots of nice nibbles (aka snacks) and a lounge singer and piano player performed.As we were leaving, I asked the concierge which tube station was the closest. He asked me which line I needed, and he was able to tell me which station (to save me changing tube lines)I was impressed all around.	
Jan 28 2005	A magical experience		
Jan 10 2005	Close to perfection.		
Oct 18 2004	thanks debbie for showing us the real london		
Jul 30 2004	A very special hotel indeed		
Jun 23 2004	Top Quality top service		
Jun 15 2004	luxury abounds		
Jan 11 2004	The Dorchester Hotel London 'The Leading Hotels of the World'		
Nov 3 2003	Experience Royal Treatment !		
May 1 2003	Luxurious escapism		
Mar 30 2003	Amazing		
Oct 28 2009 	Londres quero voltar		
Sep 28 2009 	??????????		
Sep 8 2009 	Große Klasse		
Aug 21 2009 	Pas mal...		
Oct 2 2006 	Exceptionnel		
