	Quiet clean and modern.	We loved our stay and found the hotel to be very clean and relaxing. We actually lounged in the lobby and read from their collection of travel guide books. The front desk staff was happy to assist us with snail mail, restaurants, and anything else we needed. The breakfast was of a great variety and the staff tending to the buffet were readily available to supply whatever we needed. We stayed on the back side of the building and had no noise and a comfortable bed. The rooms were a decent size for Europe. Also the location was three blocks north of a major metro stop and Hyde Park.	
May 29 2008 	Incredible Boutique Hotel	I was in London for a job fair which was located in Central London.As usual, central London is not a cheap place to stay and the less expensive places are not available on short notice.The Sumner is more affordable than many of the hotels in that area and is a real treat. It is clean, professional, and classy. It was very quiet and accessible to everything. The tube is only a couple blocks away.It is a perfect boutique hotel. Not nearly as pretentious as the hotel down the street where my job fair was located. :)	
May 29 2008 	Great London Digs	Booked this hotel based on Trip Advisor reviews. Completley happy and have stayed in many European hotels which have been more expensive with less comfort.Hotel great to deal with via e-mail prior to stay- prompt replies. Quiet room,small but adequate, aware was London . Great air con, lift. Could not beat location- Oxford St, Hyde Park, shopping, V and A museum plus Tube station and more all within easy walking plus good range of restaurants/pubs.Staff great, breakfast above average for Europe- we usually don't eat breakfast in the hotel.Big tick for the Sumner	
May 28 2008	Warm and Friendly - My Favorite Hotel Experience Yet	We stayed at the Sumner Hotel in March while visiting our daughter who is currently attending LSE. Our room was terrific, the breakfast were delicious, and the staff couldn't have been more friendly and helpful. The last night of our stay, they moved a bed into our room so our daughter could stay with us -- all free of charge. This is perhaps one of the best hotel experiences I have ever had. I guarantee you won't be disappointed!Casey Malcolm - Devon, PA	
May 24 2008 	Would stay again	Having read the reviews on here, we decided to stay at the Sumner for 3 nights in April. We were not disappointed. We had a front room on the 3rd. Good size room, the bathroom was a little small but it is London. The only noise we heard was from the pub down the road late at night on the weekend.The breakfast was great, fresh and slight changes each day.Bed was very comfortable.WIFI worked great, better than hotels were you have to pay for it.Great location, easy walk to Oxford Street. Staff were friendly but you didn't see much of them. Felt very safe, you didn't even know it was a hotel from the front.Would highly recommend and would stay again.	
May 22 2008 	Great little hotel	My husband and I stayed at the Sumner Hotel for two nights. Our trip to London was purely for some retail therapy and a trip to the theatre.We have travelled quite a bit around the world and have visited London on numerous occasions.This little, quaint, homely hotel was perfect for our visit this time.On first arrival, the outside of the townhouse is well kept and inviting. On entering the front door, it really felt as though we were trespassing into someones beautiful home, as there are no obvious signs of a reception desk (this we eventually found in the back room of the house). The décor of the living room and entrance is beautiful. Our welcome was friendly and we were taken down to our room straight away. We were in room 100, which is in the basement of the townhouse – the path and narrow stair case to the room was slightly disappointing as the grandeur of the entire house did not extend to the basement.Room 100 was spacious – the décor plainer than the rest of the house, but none the less it was clean and bright and we were pleased. However we were slightly disappointed with the size and décor of the bathroom (it was tiny and definitely did not reflect the rest of the décor of the house) – it was spotlessly clean.It is a 5/10 minute stroll from the Marble Arch tube station, and 15/20 minute stroll to James Street where you will find loads of restaurants. Location for us was perfect.The location is also very quiet – our room was at the front of the house and we did not hear anything from the street above. We were up early both mornings and if you are a light sleeper, the noise of staff walking above us on the wooden floor will awaken you from about 6am - this did not annoy us that much – although if you were trying to have a lie in, this may be quite annoying. The breakfast room is bright and modern. Yes, the breakfast does not have a huge selection (compared to a larger hotel) but the quality and standard is higher than the mass produced breakfasts sitting under warm lamps for hours. Overall, we were very pleased with our choice of hotel – especially as the cost was fantastic for London.	
May 19 2008 	Will be back	Went with my 22 year old son to Chelsea v Liverpool in the Champions League Semi last month. Have stayed in various hotels over the years and never found one that combined good price £94 b&amp;b, good location, good food and pleasent staff (even at 1 in the morning serving us a drink). We will definately be back here and i have recently recommended it to some friiends travelling to London soon. Keep it up guys....	
May 17 2008 	Great stay at the Sumner.	Just returned from a short break in London where I stayed in the Sumner Hotel. Really glad I booked it as it was an excellent stay, great location just off Oxford Street, hotel was decorated beautifully throughout and spotlessly clean, the breakfast was good and the staff very friendly and helpful. My wife and I are already planning to return to London nearer to christmas and will be booking the Sumner without a doubt.	
May 15 2008	Lovely hotel in a nice neighbourhood	Stayed here for one night in a massive basement room which was really quiet. Think it must have been a premier type room as it was lovely, well decorated and very very clean. Checked in early and left luggage when we returned room was ready. It is in a fab area only minutes away from the station. The staff are so helpful.What defo stay here again although when booked I was quoted £145 they never added tax onto it so it was approx £170 check this when booking but considering the location and the standard was hotel it was a great price	
May 14 2008 	Fabulous	We recently spent ten nights at the Sumner at Marble Arch. It was our first stay at the hotel and can report that it was as good as the reviews in Trip Advisor. Staff were all attentive, helpful and polite. Location is excellent being close to transport and sites. The area was also safe and quiet which is great for tired travellers.This is more like a home than a hotel with comfortable rooms, modern bathrooms, very clean, friendly staff, free internet and a comfortable loungeroom to relax in. The breakfast also was an excellent way to start the day and changed slightly each day for a bit of variety. The staff here also were very friendly and were keen to attend to our every need.Overall I have no hesitation in recommending the Sumner as a great place to stay. We can't wait to return!	
May 14 2008 	Excellent value in a beautiful area	Charming, very nicely designed and crafted. Small hotel, converted from a Georgian townhouse. Good size room, airy and clean.Small but shiny bathroom. Very good breakfast room. Minimal service but the desk staff are friendly and helpful.	
May 12 2008 	The Sumner is simply the best	The sumner is the best hotel that you can get in London at a low price. For your money, you get a lovely large room (by London standards) a nice flat screen television, a good bathroom with lots of hot water and pressure. You get breakfast (don't listen to previous posts) which has tea, coffee, eggs, toast, cheese, meats, fruit, vegetables, and cereal, what more could you ask for, for breakfast. There is also a computer in the lobby, which you can print from if you need to during your stay. The staff is also extremely helpful, they called us a cab while we were there, and helped us in finding places that we were looking to go. This place is great, and should not be missed, I will be telling all those that I know who are going to London to stay there.	
May 8 2008 	wonderful hotel in a great area	We have just stayed in The Sumner in London and found it a lovely, warm place to stay in a great area. It is very easy to get around London from this hotel. The breakfast was good food and plenty of it. The hotel did like it's heating but so did most of London - we prefer fresh air. The room was lovely and quite. A great stay.	
May 6 2008 	Pretty good would come back	Stayed here in march. The hotel is perfectly located for shopping and not to far from Soho. It looks really nice and the rooms are very comfortable. Rooms size is reasonable for London.The first room we got was a large room on the first floor looking out over the street. Sound insulations wasn't very good good and the road a bit noisy so we changed rooms. We got a great room on the top (attic) floor. Very cosy and really quiet. Loved it.Very nice manager and a very nice girl at check in, but she seemed it bit distracted and not very professional. When I stood in front of here for the 4th time in less then an hour she kindly welcomed me to the hotel and asked if I wanted to check-in. Mind you, this is a very small hotel. Maybe I'm just very easy to forget.Breakfast was fine, but a bit early 08:00 tell 09:30 and somewhat cramped.	
May 5 2008 	The Sumner never disappoints!	I've just returned from my third stay (8 nights this time) at The Sumner in the past 13 months. I can't say enough good things about this hotel. The location is very good: three blocks to Marble Arch tube station, yet in a quiet neighborhood. The rooms are very nicely decorated, and good sized (at least for London: one should never expect American-sized hotel rooms anywhere in Europe). Everything (the rooms, common areas, and breakfast room) was very clean and inviting. The beds deserve a special mention: I slept better than I've slept in months! The room rates are exceptional: I challege anyone to find a comparable hotel in London at anywhere near this price.Most importantly, however, the staff is wonderful. Everything went without a hitch, and they are friendly and helpful. Special kudos to the women who serve breakfast: always cheerful and on the ball.I love The Sumner, and I'll defintely be back as soon as possible!	
Apr 30 2008 	Pleasant central London hotel	We enjoyed a one night stay at this hotel. Our room was large and well furnished and the shower with a rainwater head was enormous.Despite being on the ground floor at the front of the hotel, the room was quiet and we slept well in a very confortable bed. The breakfast room was bright and cheery and the continental breakfast was fine - but woiuld prefer real suasages to frankfurters! The hotel is very conveniently placed for shopping. The reception was courteous and efficient.	
Apr 18 2008 	Home away from Home	Our first trip to London, we stayed the first week of March. Could not have picked a better spot. We arrived from Heathrow, took the express train to Paddington and cab to the Sumner. Fast. This hotel is quiet (we were on the back), spotlessly clean, and convenient to Marble Arch Tube. We felt safe at all times (my wife and I are in our early 50's). One evening we were running late to a show. In 15 minutes we went from our room to the tube and then to Waterloo station with time to spare. Unbelievable. Service was impeccable and came with a wonderful breakfast to start our day (loved the poached eggs and they have very good tea). WIFI worked without a hitch. This hotel delivers what it promises and our expectations were exceeded at a price we felt was fair.We will be back next year.	
Apr 17 2008 	Sooo quiet!	Picked this after reading reviews on Trip Advisor. It was a good choice...5 mins from tube station. Whole hotel was very clean and well decorated. Staff very friendly and helpful....our shower sprang a leak and they were very quick to get it sorted. Beds were really comfortable and it must have been the quietest London hotel I've ever stayed in...slept very well! Only criticism was that breakfast was not very varied.....after 3 days it was getting a little repetitive. Oh......and tea and coffee making facilities in the room would have been a nice touch. But we would definitely stay there again.	
Apr 9 2008 	40TH Experience	What a fantastic stay. We have just returned after spending five nights at The Sumner to celebrate our 40th. anniversary. It was indeed a memorable stay.We cannot rate the hotel and its wonderful staff enough. Everything was first class, from our extremely spotlessly clean and comfortable king room on the second floor to the most friendly and welcoming staff in reception and in the breakfast room. The buffet breakfast was more than acceptable,with cereals, cold meats and a hot buffet, tea, coffee and toast. More than enough to set anyone up for the day.The location could not be more ideal, only a short walk to Marble Arch with all transport links to anywhere in London.Shopping and restaurants right on the doorstep.We will have no hesitation in recommending The Sumner to all our family and friends. We most definatley will return. Thank you all at The Sumner for the very fond memories of our Ruby Wedding anniversary.	
Apr 5 2008	great hotel	The Sumner Hotel was fantastic. The rooms were clean and lovely, the staff was friendly, the breakfast was great and the price was perfect.We took our three children, and truly felt at home. I had requested connecting rooms but was told no rooms connected directly. I was a bit concerned before we left that our kids would be too far away from us. In the end it was a perfect set-up.Each floor of the Sumner has two rooms that can be closed off from the hallway..so it was like a huge suite. The hotel lobby feels like a comfortable living room, with great books on London, games for the kids and internet access.	
Mar 30 2008 	lovely hotel great location	Myself and hubby were in London visiting family, so decided to have belated valentines break by having a night away from the kids and going to the Comedy Store. I looked for hotel using Trip Advisor and found this little gem, it was no 8 out of all the hotels listed for London, so figured it must be ok.We were delighted with the location, the price, the room, the breakfast and the staff. Just off Marble Arch, it took us about 30 mins to stroll up to Leicester Square, via Regent St. We both love walking around central London so really enjoyed this. The room was gorgeous. We booked a deluxe double and it was really spacious with a massive bed, fully stocked and not overly expensive mini-bar and a fabulous shower.Breakfast was included in the price which is not common in London hotels so a real bonus and it was great. We could only stay for one night, but would love to have been there for a few days, if only for the great shopping to be had on Oxford Street. Having 3 kids under 5, the chance to lie in bed, drinking wine and watching &quot;Deal or No Deal&quot; on a weds afternoon is pure luxury and this hotel was great. Will be back.	
Mar 29 2008 	The Sumner was great - would stay there again!	My wife, 9-year old son and myself just returned from a week in London. We booked, a king double with a roll-away bed and were very pleased. The hotel is small, but that added to the experience as it has the appeal of a home. And might I add, an extremely clean home. The room was large enough for us; in fact maybe a little larger than we had expected. The staff was extremely helpful and pleasant and the central location gave us easy access to transportation and all the things we wanted to do. Much has been said about the breakfast. We thought that it was a nice way to start the day and was in the tradition of an English breakfast. If folks were expecting a full American breakfast, it's not that easy to find anywhere in London. Sometimes, the difference in a stay can be measured in the little things. In the case of The Sumner, the staff, the hotel's cleanliness and even the Easter treat left in our room on Easter Sunday all added up to make this a place we'll certainly visit again and again.	
Mar 26 2008 	A nice small hotel near Marble Arch	I will begin by saying that March, and particularly this cold one, is not the ideal time to be in London, particularly at a hotel where being close to Hyde Park is one of the perks. This is a small boutique townhouse hotel, close enough to Marble Arch tube and bus stops, but in a quiet mostly residential neighborhood. Plenty of restaurants, and close to Oxford Street shopping. London is so easy to get around anyway.Traveling with our teenage daughters, we took two rooms. It seems as though there are basically two rooms per floor in each of two adjoining buildings, so our two rooms actually functioned like a &quot;family suite&quot; with a door that could be closed to the stairwell and elevator.Our superior double was quite spacious, but our daughters' standard double was small and a little dark, facing the back with only one window. Bathrooms were small, with a pre-fab shower that felt cramped even to me, and I am a small woman. My husband was actually claustrophobic. Everything was spotlessly clean however, and decor was pleasing in a contemporary, boutique hotel-like fashion. Flat screen TV, free wireless internet, adapter built in to the desk outlet - all nice touches. Beds and sheets very comfortable.Breakfast was, in my opinion, unappealing and subpar. Orange juice out of a can.We picked up breakfast from local patisserie after the first morning. Although the street is quiet to begin with, and there are literally two sets of window panes for each window, we had problems with noise - footsteps and voices - from the room above. Front desk staff were sometimes literally not there when we were looking for them, but once they showed up, were quite pleasant and helpful.Overall, decent value, some very nice features. Would probably try to score something a little better next time.	
Mar 11 2008 	Adored the Sumner	My husband and I stayed at the Sumner at the end of February 2008. I can not say enough about how thoughtful and accommodating the staff was. The room was spacious and even had US plug ins. The neighborhood is excellent for strolling and very close to the beautiful Hyde Park. The price for the location would be hard to beat.	
Mar 11 2008 	Boutique townhouse; good location if you dont mind strolling	We stayed here during the summer of 2007. Hotel is really cute (boutique townhouse) and clean. Go for the king double!!If you do not mind strolling a bit , you will be on Oxford street for all your shopping in 10 minutes. Same for restaurants. Breakfast was nothing special but ok. As for the neighborhood; a lot of Lebanese and Moroccan restaurants. Overall, good choice! http://www.sumnerplace.com/	
Mar 6 2008 	loved it!	My mother and I stayed here for a long weekend and we both loved the hotel. The location is very central, close to oxford street and mable arch - still, our room was soo quiet! Stayed in a standard room - a little small as we imagined - but very clean and stylish. The staff is very nice, polite and helpfull, made our experience even greater. Overall - loved it!	
Mar 1 2008 	LOVED LOVED LOVED the Sumner!	I just got back from my trip to London with my parents and my sister, and we had a fabulous stay at the Sumner. I stayed in room 104 and although it was on the smaller side (I shared the room with my sister), it was very clean and comfortable. The bathroom was also very clean and the shower had great water pressure and I always had hot water. The hairdryer provided in the room worked great too, which usually doesn't happen with hotel hairdryers! The staff were always friendly and very helpful. There is a computer with internet on the main floor that was great, and a little main floor lobby area with couches stocked with magazines. There is also a lift/elevator which was a godsend for how heavy my luggage was! The location near the Marble Arch tube stop was super helpful, as it's only two blocks away so you could get anywhere super fast. Really, my only complaint was that the pillows were very thin, as I like to have a little fluffier of a pillow when I sleep. It was the perfect place for my family, and I would really recommend it to anyone.	
Feb 14 2008 	Sumner hotel	booked a king size room for 3 nights and got a good sized room with very large bed. Shower room on the small side but acceptable. Tthe main disappointment was the breakfast which had little choice. Only two cereals and poached eggs like bullets! Bacon appeared on one day.	
Jan 27 2008	Restful comfort	The Sumner Hotel was a restful comfortable place to stay. It was so close to Marble Arch yet once we had closed the door, it offered us a tranquil, serene retreat. The staff were helpful and professional, the room was very clean and beautifully decorated with a king size bed. We were particularly thrilled that the room was spacious as we were at the end of our holiday and could rationalise our packing easily. The shower was of antipodean quality - powerful and luxurious. We were thrilled by the free internet, the graceful sitting room where we met up with London based friends and the substantial, diverse breakfast offered as part of the package. We will definitely stay at The Sumner Hotel again and have already recommended it to friends.	
Jan 26 2008 	great hotel	Just come back having stayed there for the last three nights.Great location although not obvious where it is so remember the number in the street. Rooms very clean, excellent shower,good minibar.TV fine and beds comfortable. Breakfast good. Nice sitting room with good choice of London guides. Free internet access there as well. Prices reasonable for central London.Would certainly recommend it and would go back.	
Jan 24 2008 	Perfect!	I stayed at the Sumner Hotel with my parents, sister and husband. Everything about it was wonderful. The rooms were clean, beautiful, and had comfortable beds. There was free internet access. The staff was PHENOMENALLY helpful. My sister and parents lost their bags on the way to London. The staff helped us to find everything they needed. They even tracked the lost baggage hourly online! They let us use their umbrellas on the way to the store to get new ones. They even held our bags for us while we were in Paris so our cousin in London could bring them to us on the train. The breakfasts in the morning were wonderful. There was an assortment of fruits, yogurts, breads and really great tea. I think it was the best hotel experience I have ever had.	
Jan 14 2008 	Very pleasant and spacious rooms a lovely stay!	We stayed here for 3 nights in Dec. 2007 in a king room. Our room was spacious and situated on the third floor, facing the street. Our king bed actually comprised of 2 beds pushed together (not particularly well implemented as the 2 beds were totally separate – with no common base, nor common bedding). We also had a good sized cupboard and a desk and chair. Overall the room was comfortable, with lots of space. A nice touch could have been a lounge chair (our room definitely had the space for it).The bathroom was very compact but was new and reasonably functional. The shower was great and the lovely fluffy white towels were appreciated. The only problem with the bathroom was that there was only a tiny amount of shelf space which made things very cramped.Whilst there was a mini-bar in the room (which was quite pricey and refilled on guest request) there were no coffee and tea making facilities. This wasn’t too much of a problem as coffee and tea could be requested from the staff.We found the room a little noisy despite the double glazing (the main problem was garbage collection, general street noise and a loud party in a neighbouring house) but the noise wasn’t constant and wasn’t too bad overall.We made use of the hotel’s lounge (on the ground floor) which also contained a computer (with free internet access) and a lot of various information useful to tourists. We had a lovely pot of tea one night in the lounge after dinner.Free wi-fi internet access was available within the hotel.The hotel staff were all friendly and helpful.One minor complaint is that the luggage storage area for the hotel appears to be in reception. We left our luggage with the hotel after check out on our last day and came back to find it, along with other people’s luggage, in the reception area. Whilst we know that the reception area is generally attended at all times we felt that this was a bit of a security risk, especially as there was no ticketing system for the claiming of left luggage.Breakfast was included in the rate but we only went downstairs once as it was fairly limited, rather unexciting and served in a pokey basement. We found it much more pleasant to go out and find our own breakfast.The hotel is very close (took us less than 5 mins on foot) to Marble Arch (which had a tube station) and well situated for shopping (and buses) along Oxford St, the swanky restaurants in the area, Hyde Park etc. We found convenience stores and nice cafes around Oxford St.Overall we enjoyed our stay and think that this hotel is a great find for London, especially within this price range!	
Jan 6 2008 	Distinctly average	Having read the reviews on Tripadvisor and seen the Sumner ranked as 6 out of over 1000 hotels in London, I was expecting an enjoyable and impressive experience. Unfortunately, the Sumner hotel is distinctely average. Nothing stood out from this experience.I booked a Queen double. The room turned out to be reasonably small and was not actually a double, but two twin beds attached together. The bathroom was perhaps the most disappointing aspect: very small with a tiny shower. In addition the air conditioning was not working properly and cannot be used to heat the room, only cool the room.My other area of disappointment was breakfast. Not only were they unable to offer room service breakfast (an essential part of a romantic theatre weekend away), but the breakfast room was cramped and hot food selection limited to sausages, eggs and beans. Where was the bacon, hash browns and black pudding? No english breakfast on a Sunday morning is complete without these. The only above average thing about the whole hotel was the extremely tasty sausages.Overall, a disappointing distinctly average experience.	
Jan 3 2008	Fantastic Find	I spent a lot of time researching for the right place, and it was time well spent. After an initial mix up with the booking (apparently Late Rooms had double booked the room), the rest of the stay was perfect. They checked us in 3 hours early and our room was of an excellent size (not just for London, but for any location). Although we didn't have a bath, the shower was great and bathroom modern and stylish. Bath robes were provided and the decor in the whole hotel was calming and pleasingly traditional yet modern. Staff were very friendly and personal. I can't stand the big chain hotels for the impersonal service you get, and The Sumner was a fantastic anitdote. My only very minor complaint was that the Georgian windows in the sitting room (with free internet access) were crying out for a Christmas tree, and there were no decorations at all. Amazing location about 5 mins walk from Marble Arch but in a very quiet little street. Breakfast wasn't amazing, but perfectly adequate.	
Dec 29 2007 	Stylish quiet and very clean	My wife and I stayed for 5 nights in December 2007 for a mixture of business and leaisure. Being just a couple of blocks from Marble Arch it is very convenient for Oxford Street but also very near Hyde Park. The staff were delightful - very welcoming and professional. Although occupying a traditional terrace house the whole hotel has new modern decor to a very high standard. There is free wireless internet access throughout and a PC in the lounge for guests. There is a lift but some rooms still require you to negotiate about 10 stairs. We had a second floor double room overlooking the rear and it was amazingly quiet for central London. Even a front room should be quite quiet as the traffic is very light in that street. The bed was huge and very comfortable with a duvet. The bathroom with shower was very good with clean fresh towels. Breakfast was 8.00 - 9.30 in a beautiful basement room - the usual buffet of cereals, fruit juice, yoghurt, toast, fresh bread plus hot bacon or sausage, scrambled egg (a bit tired looking), tomatoes etc. I would recommend it highly.	
Dec 25 2007 	Value for money	Nice hotel, very freindly stuff!Very good brekfast, maybe a littlebit strange decorated breakfastroom.The hotel standard is good, like a boutiquehotel but not renovated exclusive, nothing wrong with that, thats why the can keep good prices i think.	
Dec 21 2007 	A delightful home away from home	We stayed for 6 nights the week before Christmas. The weather was cold, our room was not. Climate control in the room was exceptional. The bathroom was small but adequate and extrordinarily clean. The water pressure and temperature control in the shower was perfect. The room was nicely remodeled with high ceilings, decorative moldings and very tall operable windows. The oversized armoire easily contained all of our clothes though it would have been nice to have a little drawer space.(Very small down side) The staff was friendly and very helpful with travel plans and directions. The cozy gathering room has a well stocked mini library and the hotel has free high speed internet that worked 100% of the time. The Sumner was everything we expect from a much higher priced hotel without the big price and it had the added bonus of a delightful and helpful friendly staff and alot of privacy. 5 minute walk to the Tube and cabs were available on demand. We will stay here again when we visit in the spring. By the way, it was our Honeymoon, Great Place!Winston &amp; Tiffany, St. Augustine, Fl	
Dec 21 2007 	Perfection	Having only previously stayed in 'Holiday Inn' type places in London before, I thought, as it was a special occaision I would try something a little more up market. I wasn't disappointed.The Sumner has everything you could wish for in a small hotel in touching distance of all the attractions. Its location is exceptional, and for somewhere so near to the centre, it is so peaceful.Its rooms, both public and private are fabulous, they are warm, inviting and very comfortable. The cleanliness is second to none. The staff are helpful and courteous without being overpowering. You knew they were there if you needed them, but they kept in the background and made it feel that it was your own home you were coming back to each evening, and not their hotel.Overall I would recomend the Sumner to anyone wishing to visit our great capital city.Thank you again to all at the Sumner for making our short break special. We will definitely return.Paul.Chorley, Lancashire.	
Dec 13 2007 	Highly Reccomend the Sumner	I spent the Thanksgiving weekend at the Sumner and it was all that the reviews stated. Our room was clean and quiet, and the beds were super comfy!! The staff was helpful, friendly and greated us every time we returned. The internet access in the lobby was great for looking up the things we planned to do each day. I thought that the breakfast was FABULOUS, hot with lots of choices, which is phenomenal that it is included in the price of the room. I was pleasantly surprised that the menu items even changed somewhat from day to day.The hotel had a great list of recommended restaurants, one of which was so memorable that shoudl I return it will be on the top of my list. Make sure to try Le Relais de Venise - the steak was to die for!!! I can't wait to return to The Sumner!!	
Dec 7 2007	A big let down	The Sumner is the sister Hotel of the award-winning 5 Sumner Place, and claims to have adopted many of its attributes and practises. We only stayed one night, but were disappointed that it didnt live up to expectations. The room was small, had no drawer space and the &quot;designer&quot; decorations weren't much in evidence, unless you counted a painted old wardrobe. The flat-screen TV was, strangely, positioned on the wall to the side of the bed, which meant the best view was to be had by sitting on the end of the bed, rather than in it. The buffet breakfast was a big disappointment. OK, this is only a small hotel but the choice was very limited. A choice of 2 cereals, 2 juices (one orange, the other??). A small array of meats and cheese and a hot selection consisting of poached eggs, beans and...... frankfurters. These were awful, and lingered far longer than the rest of a poor breakfast. We asked for toast (no toaster available to do your own) and got one slice of white and one of brown. I'm sure we could have had more, but we couldn't be bothered. Considering what we paid, our worst choice yet in London	
Dec 7 2007 	Clean well-situated hotel in central london	Clean, well-situated hotel in central London. Room is relatively large, tastefully decorated, with super high beds. The room was a King Room which in reality was two single beds put together.We can't really complain, as the hotel is of a high standard, but there were a few niggles, there is free wireless internet in all rooms, though this seemed to only work on and off throughout the day. Breakfast was in a nicely decorated room in the basement, but a bit limited in choice. Overall impression was that the hotel was better than average hotel for London, but the general mood unimaginative.	
Dec 7 2007 	Good value good location for London	Booked after seeing good reviews on Tripadvisor. London is now mega expensive, so it's good to see a good value hotel like this doing well. It's like an upmarket B&amp;B - clean, bright, nice staff. The room we had was small (they do have bigger rooms though), but perfectly OK, after all you're not in the room much. We've stayed in a few London hotels and this is one of the more intimate, in contrast to the nearby Thistle Marble Arch, say. Depends what you're after. The only &quot;complaint&quot; is that the towels were too new- so a bit sqeaky! Still, better than the threadbare efforts you get in a lot of London hotels.Highly recommended for base to see theatre shows and shops - but don't go and see the Seagull! at the New London, maybe we're thick but Russian symbolism lost us; we did go to see Les Miserables , took us 20 years to get around to it, but well worth it.	
Dec 5 2007 	Great small hotel	My two teenaged children and I stayed for 3 nights at the Sumner from 24-27 November 2007. I have been to London before and had stayed in hotels along Oxford Street and at apartments in Mayfair. I found this hotel from the internet and having read the good reviews, booked a triple room directly with them online. I must say that I made the correct decision. This hotel is small but I liked the ambience. The room was not big but spacious enough for us. It was clean and comfortable. This is important for me. The availability of free internet access and elevator was a bonus. I avoid hotels without elevators due to luggage concerns. The shower facilities were good and toiletries supplied nice. We liked the availability of ironing facilities and hair dryer in our room. The reception staff was friendly and helpful, which we appreciate. It is so close to the Marble Arch underground station and we had no problems visiting sights in London. Being Muslims, food is a concern. But Edgeware Road has plenty of small Middle Eastern restaurants and is only a short walking distance away so food was no problem. We felt safe walking the streets around this hotel, and having Starbucks and Sainsbury's around the corner is also great. My children had no complaints while we were there. I would definitely recommend this hotel to visitors to London. I certainly will stay in this hotel again. Getting a London Black Cab was easy. So transport to the airport was no problem. Notwithstanding the above, I would have appreciated some assistance with our luggage on check-out. Since there were three of us, I didn't ask for assitance but an offer to help carry the luggage would have been nice and appreciated.	
Nov 30 2007 	Wonderful stay in a great neighborhood	November 30, 2007 We've just returned from a six day stay in London. The Sumner Hotel was just lovely. It was in an excellent location, close to the Marble Arch Tube, a selection of restaurants and shops, and nice walking tours. The room was very warm and inviting, and staff was extremely friendly and very helpful with directions and maps. We would no doubt stay here again.	
Nov 27 2007 	Great Find in London...	Wow, it's not too often that you come across a great hotel, in a good location at a reasonable price (well reasonable for London anyway).Situated on a side street about halfway down the Edgware Road it's about a 10 minute stroll to Marble Arch / Oxford St and 15-20 minutes to Paddington station. There are a few NCP car parks nearby including Portman Square which is at the end of the road the hotel is on (5 mins walk) although NCP car parks aren't cheap so if you're staying longer than 24 hours it's probably not a good idea to drive into and park in London.The hotel has been very recently refurbished - the reception and lounge have wooden/laminate floors, subtle lighting and comfortable furniture. The reception staff, like many London hotels, seem to be eastern european and are very helpful. I didn't need to test their local knowledge but I'm sure they could direct you to a local attraction if you asked.The bedrooms are very well decorated, large comfortable bed, desk and a wardrobe. The room I stayed in wasn't exactly huge but there was enough room for two people although I probably wouldn't want to spend an enormous amount of time couped up in it. The bathroom was only a shower cubicle but it was roomy enough and modern fittings throughout with plenty of hot water.All in all, I'd highly recommend this hotel if you're visiting London - you can stay at the nearby Marriot for twice the price but you'd be missing out on a gem!	
Nov 26 2007	Wonderful	My husband and I had been researching London hotels for days and luckily stumbled across the Sumner. It was a great find. Our cabbie had a bit of trouble finding it and if you're taking the tube, be informed that the addresses on this street are very odd...they go up one side and down the other. I highly recommend the Sumner. The room was immaculately clean, spacious, beautifully appointed and quiet. The staff was very helpful in general and specifically in recommending transportation options...bus vs. tube, etc... Breakfast was great with many options. I wouldn't hesitate to return to the Sumner. Also, it's a great value in a very expensive city.	
Nov 26 2007 	Not that impressed	We were not impressed with this hotel. After having read the fantastic reviews maybe we were expecting abit more. We were 3 adults and when I booked thay assured me that 3 adults could easily stay in 1 room. Upon arrival, there were 2 single beds and at the foot of them a third bed had been placed. We tried moving the bed a bit further away from the other beds but had no space in the room like that. During the night I usually got the others duvets thrown on to me, etc. It was clean and newly refurbished and the majority of the staff were friendly. One complaint is that on the 2 days out of the 3 the cleaner only placed 1 set of clean towels for us and no extra toilet paper. I can accept that mistakes can happen, i called reception and they immediately sent up 2 more sets of clean towels as well as an extra roll of toilet paper. However, when the same situation occured again on the 2nd morning we were a bit diassapointed. Breakfast was offered in our rate, it was ok but not a great choice and there was only 1 girl there on duty so it took quite a long time for tables to be re-set and for the juice, coffee and food to be refilled when they had finished. The breakfast room was a bit of a dissapointment, it was in the basement and small and had no windows. The location was great however, and it was clean but after having read so many wonderful reviews I think we were expecting a bit more. Maybe we would, maybe we wouldnt return, we have not yet decided on that one. A piece of advice however, the rooms shouldnt be offered as triple rooms, they are not very spacious to begin with so a third bed makes them extra tight.	
Nov 26 2007 	Relaxing stay	We have just spent the weekend in the Sumner. I had high expectations as the reviews were very good and I wasn't disappointed. Our flight was delayed and we were late for a lunch reservation so I couldn't check in, I simply left the bags with the front desk and they left my bags to the room. Breakfast was simple but sufficent, enough to kep you going until lunch time. The room itself was large with plenty of space and quiet even though it was at the front of the building. Location wise is was also very good, close to Oxford street and Regent Street. Staff were plesent and very helpful.	
Nov 25 2007 	Sumner Hotel a Perfect Choice	The Sumner was the perfect choice for first trip to London. Great location just north of Hyde Park, very helpful staff. Nice updated property, clean and quiet, and in great London neighborhood. Easy access to underground and train stations, but also situated for walking to major sites and for shopping. Easy walk to good restaurants and pubs ...recommended by staff. Staying in a neighborhood allows for a real feel of London, and this one was very good. Staff was very responsive before and during the stay, and we would definitely stay there again.	
