	Great value very convenient helpful staff hearty breakfast	We were there for 2 days and returned for another 7. Location couldn't be more convenient as it's a 5 minute walk to the Gloucester Street tube station with Picadilly, Circle, and District lines. Good, reasonable restaurants nearby and a grocery store at Gloucester and Cromwell. Staff was very nice and helpful. Breakfast is great. They call it continental, but it includes eggs, bacon or sausage, baked beans, toast, sweet rolls, cheese, meats, juice, etc. Only thing missing was fresh fruit. We stayed in two different rooms, both of which were quite nice. Really liked having the refrigerator. They have two non-smoking floors if you request ahead. Didn't try wifi but there are computers with internet access in the lobby, 1 GBP for 20 minutes. I guess we like crisp sheets and firm beds because we found everything very comfortable and clean.	
Jul 26 2006 	What a dump!	After reading the reviews on trip advisor, I decided to stay at the Park International Hotel, while visiting London to celebrate my partner’s birthday. The reviews were varied, but many mentioned the hotel to be in a good location and to be good value for money :-)I arrived at the hotel and from the outside it looked impressive, with a huge frontage and brass detail, it has a first class feel, I was pleasantly surprised!Unfortunately that was as far as my PLEASANT stay went. We made our way to the check-in desk, to see two members of staff checking in another guest. I have previously worked in a hotel as a receptionist and there is no need to have two members of staff checking in one guest when others are waiting. After waiting 20 minutes I was greeted by a member of staff to check me in. After filing out the usual details I was given the key and asked were my room was located, I was told it was downstairs – In the basement!We eventually found our way to our room and were greeted by a nasty smell, along with old tatty décor, no working television and an awful view from our window. Because we were located in the basement the view consisted of a door and light from about 20 feet up. I rang reception to request to move to another room above ground level, however I was told there were no other rooms available – although during check in I over heard a member of staff saying there were rooms available. The staff of the reception desk informed me that a manager would come down to fix my television and a few other problems with the room that I had pointed out. I waited over an hour and decided to give the television a go myself. After pressing a few buttons I managed to tune it in. No one ever came. Fortunately we were not spending a lot of time at the hotel, and decided to venture out for the day. The bed was very hard, which may suit some people. During the morning (8am) a maid walked into our room, and quickly went when she saw we were both still sleeping. We were only staying at the hotel for one night, so it would not have been difficult to find out from reception who had checked out and who had not. Overall the hotel is a dump, with run down décor and staff that hardly speak English. I paid £90.00 for a room at The Park International Hotel, and feel I was well and truly ripped off! With a tiny room in the basement, with no natural light, unhelpful staff and a very bad smell. Some people may consider £90.00 for a hotel room in London to be reasonable, I have stayed in many London hotels around the same price, none to be as bad as the Park International Hotel!	
Jun 22 2006	Very adequate reasonably priced hotel	We stayed here for just one night and found the hotel quiet, clean, presentable, comfortable,... everything you could want for a reasonably priced room in London. I would certainly stay here again. The location is good for the tube and there are plenty of pubs, bars, restaurants and supermarkets very close by. The room having a fridge and air conditioning made it fantastic in the (unusually) hot weather. Overall this is a very pleasant hotel - not the Ritz, but certainly very comfortable.	
Jun 19 2006	Okay for just a night or two	My husband and I stayed at The Park International on June 17th as we were attending a concert in London. We are well travelled and have seen many of the hotels the world has to offer, and would warn Americans heading to England for the first time to be prepared for how small hotel rooms are and that most everything is quite old/run down. We booked a double twin room, arrived on Saturday for check in and there were no rooms of that type available. They switched us to two separate single twin rooms. We were glad that we at least had a place to stay (lots happening in the city this particular weekend so not much of a choice), but the two rooms were at opposite ends of the 4th floor (anyone who is familiar with England hotels knows that means there is a maze to walk through and 4 fire doors). The rooms are TINY which is true for most of England, but we found them to be especially small. The hotel is very old/run down, so if you are looking for real comfort, you may want to move on to another hotel. There were some positives. The hotel staff was very kind and tried their best to accommodate any needs, but in the evening we only found 2 staff members in the entire place. We only needed ice and that took over an hour. They were polite about it and apologized, but still a delay. The breakfast was quite good for a continential, I would strongly recommend getting there promoptly when they open as all seats were quickly occupied within 10 minutes of the door opening. Overall this met our needs, the location to the tube (Gloucester Station) is very good, the price compared to other hotels in the area was fair, the room was clean and there was a hot shower. I would absolutely not recommend this location for stays of more than a day or two or for any kind of special occassion. Also, be sure to surf the net for the best price, I found our rate at about a half of the rack rate on the hotel's own web page. Absolutely do not pay rack rate (about $249 US dollars) as it is absolutely not worth that kind of money.	
Jun 10 2006	Great place to stay	We stayed at the Park International Hotel in Kensington for 3 nights from May 21 thru May 23, we paid 69 pounds per night on the internet special. We arrived from Canada at 8am., check in was not until 2pm but they held our bags until check in time which was very helpful. We went for coffee and wandered around taking in the sights until 1:30pm, when we returned to the hotel we did the paperwork and waited in the lobby until check in time, just prior to 2pm they let us go to our room.We had no complaints with any of the staff, they all went out of their way anytime we asked for assistance.The room though small by North American standards was more than adequate with a full bathroom, fridge in room safe &amp; coffee &amp; tea. Everything was clean and newly decorated, what more can you ask for. The continental breakfast had lots of choices, we found itto be enough for us.The hotel was within walking distance to Hyde &amp; Kensington Parks, The Museum of Natural History plus many other places, it is also close to Underground, a grocery store close by which we utilized to by wine, beer and snacks. My husband and I agreed that we would stay at this hotel next time we visited London.	
May 12 2006 	The bad outweighed the good	After reading all the reviews on TripAdvisor, we decided to go with the Park International. The location seemed ideal and it truly is. I've always loved the Kensington/S. Kensington area and so was not disappointed by the proximity of the hotel to Gloucester tube station, the museums, some decent restaurants, cafés, and shops, etc. Very convenient indeed. But in some ways, the hotel itself leaves a lot to be desired. My friends and I had two rooms altogether (two people in a superior room and three people in a family suite sort of room) for a five-night stay. We're not the backpacking sort, nor were we expecting luxury for the price we paid. And we are well-travelled enough to know that space in most hotels outside of N. America comes at a price. That being said, let's get down to the specifics.The BAD: The first problem was that the price for one of the rooms quoted on the phone was not the price listed on the paperwork upon check-in, so future guests will definitely want to GET PRICES LOCKED IN IN WRITING. The hotel got away with inflating the price because we were too tired to look for another hotel upon our arrival. Our fault for settling, I suppose, but we just didn't want to be bothered quibbling or being without a hotel room after such a long flight (LA to London) and tube ride. The other problem that occurred was that the family suite had RODENTS. After complaining several times (once being told by a staffmember that WE should try to catch the mouse), the hotel FINALLY offered another room. It took a couple of days, believe it or not. And okay, lots of hotels in big cities throughout the world have vermin, but alternative accomodations should always be offered immediately and the guests' complaint should not be treated so non-chalantly. THE GOOD: Other than those two major problems, and to be fair, there are a few good things about the hotel apart from the location. I have to say that the staff, though at times inefficient, are nice enough. We called down because the hairdryer in the rooom was broken and the maintenance man, who also doubles as a desk clerk (and I suspect sometimes even works the concierge desk), brought a replacement within an hour. The continental breakfast buffet is good and consists of a decent selection of items if you're not staying more than a week (after that, I imagine the same cold cereals, croissants, breads, fruits, yogurt and lunch meats would become repetitive). The breakfast room staff (most of whom are Filipino) are pleasant, attentive and hard-working. Unlike staff at some hotels in the UK and Ireland, all the staff at the Park International spoke English (at other places we've been to, if you don't speak Russian, Polish or Albanian, you're out of luck with communicating with anyone but the front desk staff). Lastly, rooms are small, but we found them to be clean and the beds comfortable which is always appreciated.Overall, for a 3-star hotel, the Park International is not horribly bad, but it's far from perfect. You can probably find better deals in London if you just look.	
May 6 2006	A Mixed Bag	I booked a Superior room in this hotel on line after reviewing about 50 hotels in the Kensington area. Having lived in the UK and being familiar with UK hotels I was looking for something better in the mid range price. Check in around 2PM went fine and outwardly the room looked great. Large comfortable king size bed but very little space for 2 thin sized people to move around. (I would hate to see the size of their regular rooms!) On closer inspection, the bathroom sink was scarred with deep scratches (ideal for bacterior growth) and the bath tub stopper was broken. Minimal toiletries, worn towels and no hotel directory or TV instruction.Returned to the front desk to leave detailed written and verbal instructions for an impending call from my relatives from Australia who were staying nearby. We had planned a reunion dinner that night. At 4;30PM I returned to the front desk and noted a change of personel. Instructed them to contact me as soon as my relatives called. At 6:00 PM, having received no messages, I again visited the front desk and inquired if any calls had been received. Left more wriiten instructions and went out to dinner. Came back around 8:15PM and again there was no messages and phone calls. At 9:00PM, we got our first phone call from our relatives. They had called at 5:00PM and told we were not registered. They had called at 8:00PM and left a message which we did not receive. When I complained to the Manager, he said he would look into it. For the next 2 days I was avoided like the plague. To this date, I have never had the courtesy of an explanation. Disgraceful!The bottom line is that you can do better with a good London B&amp;B or rent an apartment for the week if you have family with you.	
Apr 30 2006	Its all about Locaton	The late Conrad Hilton said there is three things a hotel need to achieve success: Location, Location and Location. Providing all that and a comfy stay, the Park International Hotel London achieved all whatthey pomised. It is certain that one cannot find same large room at unbelievable price as in North Amerca, thank God to the price of real estate in the UK; but is it the purpose of your trip to spend it all in the hotel room???Location is great, for a serious traveler that is spending 14-16 hours outside, it fit me well. You would be close to pubs, restaurant and for those shopping freak: Harrods is a 20 min walk. (BTW: dont go to Harrod's with a backpack, they wont let you in!) Museums are easily reachable with public transportation and the nightlife of London is close: check out Earls Court (walking) and Soho a short taxi ride. Royal Albert Hall is close: Symphony tickets are not as expensive as one could think!If you like the feel of the english life (those who are fans of 'Coronation St.' will love it) book a room in the back of the hotel that views a typical English back alley with small gardens and cobblestone street... The hotel is C-L-E-A-N, there is a fridge and a safe in room and for those who dont like their breakfast because its too expensive, get yourself a sandwich and milk at Sainsbury 2 blocks away (and you realise that breakfast is not that expensive when you pay 8 pounds for that those two!).People: Life is great and enjoy your time in London and stop worry about anything else!	
Apr 28 2006	Never Again	What a lousy hotel...and the staff is worse. Our first room was unlivable. The next room they showed us was a corner Garrett, and the thrid room was several steps down from the category that we had booked.The room we finally got was what we had paid for, but getting it took us almost two hours of haggling. Not exactly what you want to be doing on a beautiful Sunday in London.FYI: There is a storage charge for your baggage on day of departure (storage on day of arrival is free)	
Apr 18 2006	Bit of a dive actually	So I picked this hotel last year as part of a package when I visited London in late November of 2005. Price seemed right (though everything in London is overpriced) and the reviews didn't seem too bad, so I went with it.Well, it was not a completely disastrous experience, just not a good one. I got a dungeon for a room (there are two rooms on the ground floor that are quite dark and dreary, with no view). At night, there were plenty of weird noises and sounds emanating from all kinds of directions. The advertised wireless internet didn't work at all (and attempts to fix the problem fell on deaf ears). The appointments in the room were okay (if a bit drab), but certainly clean. The bed was typical English fare (e.g. hard and lumpy) but passable. I did not have the breakfast, they wanted too much for it. They also nickeled and dimed you for everything (if you arrived early, if you left late, and so on.)Its location is good (Cromwell Rd is a main thoroughfare out fo the western end of the city, and it's a 40 minute ride to Heathrow on the Piccadilly line) but that's about all it has going for it. Shops and restaurants are nearby, but none are all that fantastic to write home about.In the end I would not stay at this hotel again, because I think there are better deals to be had in London. That said, I can't warn others to stay far far away because I think this hotel has its good points too. Perhaps if I'd gotten a better room...	
Apr 1 2006	Modest Accommodation in a Great Location	We stayed four nights at the Park International in mid-March. For budget-minded travellers the location is very good. You can take the tube direct from Heathrow to the Gloucester Road station in 40 minutes; the hotel is only a two-minute walk from the station. All of central London is easily accessible from this location.We booked the &quot;early booker&quot; special via the internet for 69 pounds per night. This included a modest breakfast buffet and a room with a king-sized bed. Our 5th floor room was respectable if a little run-down. The main weakness was the bed which felt like a steel frame covered by a bedsheet. We also suspect that a prior guest had been smoking in the no-smoking room.All in all, the hotel was a pretty good deal but we will try another in the area on our next visit.	
Mar 30 2006	Perfectly fine stay	Stayed at the Park International hotel for 6 nights March 10-16 in a twin room, Dad with teenage son. This was a return trip to this hotel, having had a pleasant experience before.Booking was easy over the internet directly with reservations...only later saw a USA 1-800 number on their website. Rate included continental breakfast, and they blocked my preferred room for my late arrival.Upon arrival, found out all rooms except those in the basement are now non-smoking. As a smoker, I chose move to room 49 in the basement. I think it is the best room in the hotel. The layout was odd and the furnishings basic, with no dresser...had to live out of suitcases. The window viewed out into a void area and the TV was a small wall-mount. So why was it so good?You could hear a pin drop in that room. It has exterior walls on two sides, a mechanical or storage room on the third, and a hallway on the other. I never heard anyone or anything all week. For a light sleeper, this was a an extrodinary find. Also, instant, copias amounts of hot water for a deep tub...great for soaking sore legs after a long day. Breakfast was basic pastry, cereal, fruit, some ham and yogurt, coffee and juice. Isn't this what a continental breakfast is supposed to be? No complaints here. The breakfast room is bright, spotless, and the help was pleasant enough. It all boils down to expectation levels and what one wants out of a hotel. The Park International is ample to rest between outings and recharge overnight. It was safe, clean, had accaptable employees, put something in the belly in the morning, had a fridge and safe in the room, and was convenient to the Tube in a nice area.Is it a Marriott or a Hilton? No way...doesn't pretend to be. It doesn't charge Marriott or Hilton rates either. But for a perfectly fine hotel to sightsee London, this one will do it. I'll be back.I agree with the other good reviews on this website.	
Mar 23 2006	Disappointing experience	I wish that I would have read further down on the trip advisor reviews and looked carefully at the actual photos taken by other trip advisor members instead of the ones on the hotel's site. They are more then misleading. As a matter of fact their whole site is misleading.This is clearly a 2 star hotel, no better. The breakfast is minimal, the rooms are small, members of the staff boaderline rude . The bathroom was small, in very poor shape, no water pressure, cracked sink poor floors among some complaints. The room itself is overstuffed with furniture that doesn't fit and it was maybe 12sq.m in size. Never got clean sheets in 5 days, room was barely cleaned.The biggest thing to beware of is the basement rooms. The 1st night they shuffled me off to the basement in a room that was intolerable, I actually mean basement. After a bit of a fuss they moved me to a smaller room but at least I could look out and see something, althought the windows were filfy.There were some nice staff members that were pleasant, the location is fine but as others have mentioned it's not for night life. I ended up paying on average of 150 $ a night for this room. My advise is, for that money keep looking.I wish that I knew about hotelink before I got to London, they made my travel back to the airport wonderful. Check it out!	
Mar 14 2006	Exceptional experiences!	I stayed at the Park International London on the first and last legs of a 2 week solo UK trip in January 2006. I researched alot of hotels in London for this, my second trip to the UK, and I don't think I could have done much better than the Park International. I arrived at their lobby after a 10+ hour plane ride from San Francisco at about 11am UK time. The hotel couldn't have been easier to find, when you come out the Gloucester Rd tube stop (Piccadilly Line), turn left at the corner (where the pharmacy is) and go about a block and a half and there it is on your left, with all the flags hanging from the roof. I knew they wouldn't let me check in until 2pm so I was able to drop my bag with the friendly concierge, and went wandering the neighborhood until I could check in. There's tons to see around there-- I had a bite at the cafe across the street, checked my email at the internet cafe next to it, then walked to the Natural History museum. (about 2 blocks west of the hotel) When I was able to check in, I was more than pleased with my room. I had booked a king room with a fridge through an early booking promotion on the hotel's website for about 48GBP. (about $86USD) The bed was huge and comfy, the bathroom in good condition, the tv was large, and the room was quiet, facing the row of buildings behind the hotel. I stayed in that room (212) for 3 nights at the beginning of my trip, and was never too cold or too hot, always had something to watch on tv in the mornings and evenings, and was very quiet. The maid service was excellent, they replaced everything including soap, towels, and coffee tray items every day and never bothered me. The front desk was great, even delivered a note with a message a friend left for me under my door.The location is superb, I was able to walk to the Sainsburys (about 2 blocks east toward Earl's Court) and shop for groceries and drinks and save money on eating out by putting the stuff in the room's fridge. The tube was less than 5 minute's walk away, and there was plenty of fast food to choose from across from the tube station (KFC, Starbucks, Burger King) as well as small restaurants of every imaginable kind. I had such a good experience with the hotel on the first leg of my trip that it was a huge relief to be able to come back to it at the end of my trip. I even left Dublin Ireland a day earlier than expected and was able to get a room a day early back at the Park International with little fuss through Yahoo Travel, though I switched rooms after that add on night according to my original second leg of the trip reservation. So in all, I stayed in 3 rooms in all on my vacation in London. I had a great room for the single add on night (512?) facing Cromwell road on the top floor, great view! Then I was switched per my reservation to 207 (or 208?) in the back, for which I had to go up and down stairs in a back hallway. (not a big deal but kinda confusing) While in that room, on a Saturday evening, we had a fire alarm go off, and we had to evacuate. I was surprised how slow the guests moved to leave the building!! The staff was very good about getting us out though, and after the fire brigade checked out the hotel (false alarm), we were able to go back in. The rest of my stay was uneventful. The staff were nice at all times, and the breakfast buffet was good, too, though it was mainly toast, cereal, fruit cocktail, ham and cheese, pastries, and coffee. Through my booking online, it was included in the price.I will return to London again and again I am sure, and will absolutely stay at the Park International!!! It comes highly recommended by me.	
Feb 25 2006	London cold. Room toooooo hot	Stayed there with my family - husband and son aged 7 yrs. Room a bit small - top of the hotel and very hot. Clean. Staff friendly and helpful.	
Feb 24 2006	Would Stay Again....	My girlfriend and I stayed at the Park for 4 nights last week and we have to say that the experience overall was not bad at all. We stayed in room 503 and it was a bit small but not small enough that we couldn't get a good night's sleep. The room was furnished with a 25&quot; TV and the cable was working fine. However, the number of channels was limited. The bed was adequate but the springs were felt in a few places, kind of like your favorite old couch that you don't want to throw away. The bathroom was small especially the shower, I couldn't bend over to touch my toes it was that small, you have to squat. The pressure was fine and there was enough hot water, no complaints there. The room was very clean as was the bathroom. Fresh towels were given every day as well as hand towels and soap and shampoo. The room was rather quiet, but we could hear other guests when they walked by, the floors were a little creaky, but nothing to lose sleep over. Our room faced Cromwell street but the new windows kept the room very quiet. The air conditioner and heater worked in the room, we tested them for the heck of it. The safe in the room was a nice touch, we used it and it worked just fine. We really didn't find much wrong with the hotel, we would definitely stay there again. We felt that it was a good qualilty hotel and we got what we paid for. The only time we felt that we didn't get what we paid for is breakfast. The buffet is NOT worth 8 GBP. You have a choice of cereal, toast, croissants, ham, and cheese. We had to get rid of some money on our last day so we tried the breakfast, we wouldn't spend that money again for that breakfast. The location of the hotel is great as it is only a short walk (1 1/2 blocks) from Gloucester Road tube station and is on the same side of the street. Across from the tube station is a KFC, Burger King, and a Starbucks. The gorcery store adjacent to the tube station has a great selection but if you want some good things to go AND open 24 hours, check out the Tesco next to the Starbucks. We got snacks and sandwiches there for a great price almost every day. All in all, the Park is a good hotel and if you are looking for a good deal and a clean room, then Park is for you.	
Feb 10 2006	great if on a budget.	We stayed at the Park International for 6 nights earlier this month and there were no unwelcome surprises. The Park has all the amenities you'd need (well, except for a pad and pen...but the mini-fridge comes in handy) and the staff were nothing but friendly and helpful. While not terribly posh nor modern (we didn't stay in one of the renovated rooms), our room was more than adequate. It faced the back and though the view was nothing to write home about, we slept peacefully every night. My only criticism is with the toilet, which took some stamina to flush.	
Jan 23 2006	Best Location Best Breakfast Courtious Staff	As other reviews mentioned, this is a very nice hotel, with a convenient tube (Gloucester Road) closeby, only 3 minutes walk. Lots of restaurants, fast food (Burger King and KFC), Starbucks coffee, and the best is to have a convience store which we visited everyday with fresh fruits/salad/sandwich. The hotel room is tiny but neat. Our room is facing the street, but it's not noisy at all. Hotel offer wireless internet at a rate of 24 hours for £12.00. However, an internet cafe is just opposite to the hotel at a much lower rate. Also, you can buy long distance call card from the store next to the internet cafe at a low price, instead of calling home from the hotel room. The continental buffet breakfast is the best of all, they feed you well before starting your day. Everyone in the hotel is very polite, smile to you everytime when you go in and out of the hotel. The best staff is the guy working at the Concierge desk, he is the busiest guy and most helpful. One tips: DO NOT BOOK CAB WITH THE HOTEL RECEPTION. the day, we went to Paris, we asked the reception to book us cab to the Eurostar station, we asked different people, they said it's around 10 pound, however, that morning, a guy driving a mercedes picked us up and then he charged us 18 pound, obviously overcharge! Over all, we love our hotel, book this hotel is a right decision!	
Jan 21 2006	staff the best	Due to the un planned loss of my passport and my roommates loosing hers we had to stay an extra two days. The staff advised me to go to the internet cafe accross the street and make my reservations for the extra two nights at a better rate had we just changed them at the desk. They were so helpful in giving direcetions and suggestions to us two old ladies.I have worked as a desk clerk for a couple of hotel chains and I know how hard it can be to keep being so polite to people. I would reccomend the hotel to any one that would be going to London. Thank You! Diana Spenik &amp; Christine Morrelli from St. Petersburg FL.	
Jan 18 2006	I love the way they improve rooms and service	Me and my wife have stayed at the Park International Hotel several times. Each time rooms and service is improved.This time we had a room facing the street, and the tripple glazing in the large windows made the room sound proof and warm, we would very much have 315 next time also.Breakfast is good and the staff friendly, one thing I miss at breakfast is a hardboiled egg.	
Jan 18 2006	ok hotel	Stayed at the Park international hotel for 3 nights. First of all the location is nice with Gloucester Road tube station just 2 minutes away. The room was small but clean with no noise to be mentioned from other rooms or from the street. The staff were polite and helpful! The price offered at hotels.com of 40£/room is good value for money!!! Did not try the breakfast. Overall a nice stay at a reasonable price!	
Jan 12 2006	Polite staff/unclean rooms	The staff at the desk were professional and polite. The two concierges could not have been more helpful. They were embarrassed by the the poor cleanliness of our room. One even offered to remake the bed with clean sheets after housekeeping did not do the job. When we arrived earlier than the 2:00pm check-in time, we were charged forty dollars to get our room. The bathroom was not cleaned and the waste baskets were not emptied. Used soap from the last guests was still on the sink basin. Housekeeping responded to our call by telling us to go to the desk and ask for another room. Since we already unpacked, that wasn't feasible. The day manager did get housekeeping to clean the bathroom and removed the early check-in fee. Yet the carpet was never vacuumed; the refrigerator did not cool, one lamp was missing a lightbulb; and the room safe was broken. Even getting a roll of toilet paper was a problem. An overnight stay would not be a problem, but we were there for four nights, so the problems started to get on our nerves. The neighborhood is ideal with great bakeries, a grocery store, a good variety of reasonable restaurants and close proximity to public transportation. However, next time, we would look into one of the many other hotels in the area.	
Dec 27 2005	The Glow has waned some	While the hotel was OK, the earlier reviews promised more. Start with pluses - it is only one block from a blue line tube stop, and it has a charming apprearance. The lobby was comfortable, and the staff pleasant. Our room was acceptable for the price but not a &quot;bargain&quot;. The sink basin was cracked, the room had a slight off smell (not bad, just noticable when entering). The most annoying part was the nickle and diming. It was 2 pounds + extra for every phone call made on a toll free card. It was 1 pound for every bag you wanted to store while siteseeing. The breakfast wasn't included as we booked on line, but they didn't mention it until we got there. And, the breakfast wasn't incredible (especially at 7 pounds extra). OK for singles, and shoestringers but over $100 would be too steep - for our experience.	
Nov 23 2005	Loved the Park International Hotel	I recommend this hotel, it's a bit expensive but worth it. I stayed in room 05, it's a big room compared to the other hotels I stayed in while I was in London. I can't say how the breakfast was because I didn't get up on time.	
Oct 31 2005	Couldn't do better!	We stayed at the Park International for 3 nights and couldn't have asked for nicer accommodation or more abliging customer service. I don't think I have found such great customer service anywhere in the world (even in a five star hotel).The room was spacious and clean. Breakfast was sufficient. The night staff were more than helpful when we had a crisis that required faxes and internet access. The concierge was friendly as well as welcoming at all times. It was value for money; especially in London using Australian dollars.I would certainly jump at the opportunity to stay there again!	
Oct 26 2005	Ok Hotel	Hubby and I just spent a week at the Park Hotel after spending a bad bad night at the Crown Moran Hotel (hotel too far out of town). Our cab driver took us to this spot. In a lovely rich neighborhood. Great italian restaurant and internet cafe across the street. The Glouster tube station is a fast 3/block walk. Very convient to get anywhere from this hotel. Very pretty white stucco buildings that I believe where homes at one time. The lobby is clean and bright. But be warned....the rooms are very small - I am talking cruise ship small but clean and that is about it. Nothing fancy here. The bed was very tiny and the sheets/blankets had some holes in it which I thought was a bit on the tacky side. We had no view of anything. But the price is right. We payed about $70.00 a night and that came with breakfast. The breakfast really was wonderful at this hotel. Lot's of cereals, juices, toast, bagels, muffins, coffee, cold-cuts - really nice breakfast. They have a tour desk set up in the lobby which was wonderful. They will book cabs for you, dinner reservations, Eurostar trips, you name it - they will do it for you which was a big plus for us! This hotel was ok for us. This hotel is located in a rich, classy neighborhood but at 9pm everything shuts up. You have nothing to do at night at this location. We found ourselves taking cabs everynight to Soho where there are tons of restaurants, pubs, cafes and some nightlife. So if you want nightlife this hotel will not do it. Also the hotel was wide open when we checked in and after flying all night long to get to London we wanted to check in early. This hotel charged us an extra $40.00 for an 'early check in' when the rooms were all empty. I found this to be so bad, tacky and really poor business. NO ice in the room - you have to ask for that. The staff was a bit unfriendly and no wash clothes in the bathroom. This hotel is reasonable in the price, breakfast is good but you are getting a very tiny room with the bare minimum. Coming from the Crown Moran Hotel this was ok for us. But when a hotel has HOLES in the blankets and sheets - I think it is time for a makeover. But if you want something that is reasonable in price and the bare basics and no nightlife then this hotel will work for you. Also the hotel is located on a very busy street - lots of noise from the traffic if you stay here. Ask for a room in the back of the hotel. Also very dangerous to try to cross the street from this hotel. You also have to walk about 3/blocks to flag down a cab as well. Hope this helps. Happy travels to all. Email me if I can answer any questions for anyone.	
Oct 24 2005 	Home away from Home	For the first time I chose a hotel via the internet; being a sceptic, my choice of Park International proved an excellent choice!The layout of the reception was beautiful and the room was very comfortable with excellent facilities. Combining business meetings with a short break to visit places of interest like the london eye, cruise on the River Thames, could be tiring. The comfort of the bed and room was ever so relaxing and refereshing. A beautiful sleep with well laid out continenetal breakfast does the magic for another day of work and fun!For the price, Park International, does offer good service, excellent staff profile that makes you feel at home....some 6000kms away from home!!	
Oct 19 2005	A great stay at the Park Internation Hotel!	Dear Sir: My wife and I stayed at the Park International Hotel for 10 days in September 2005. The Park International was in a great location for us tourists. The room was always clean with a good bathroom and very comfortable beds. Although we were on the Cromwell Rd. side of the building that presented no problem with noise as the double glazed windows kept the traffic noise out. The continental breakfast was the best I've had anywhere, with a good selection of cereals, pastries, fruits &amp; juices and toast and coffee. The staff were always friendly and helpful and went out of their way to make our stay in London enjoyable. We'll definitely be back. Thank you. Ian &amp; Charlotte, Sault Ste. Marie, Ontario, CANADA	
Oct 19 2005	cant go wrong..awesome place	internet cafe across street. breakfast place as well. central london posh location....service was great..very clean rooms and the price was unbeatable..stay her if u can afford 40 poiunds a night and u will be surely satisfied..have a good tripcheers	
Oct 17 2005	Return visit as good as the first	We had stayed before and enjoyed the experience finding it convenient for a Tube station and clean and comfortable. Since then I had read very mixed reviews on Trip Advisor and returned with slight trepidation. We had no need to worry: clean room; reasonable rates; pleasant staff; enjoyable breakfast etc. No complaints whatsoever. Perhaps it depends to some extent on what you pay. I notice they have 'bargain' rooms. I paid a little more both times for what they call a 'superior' room. The price was still much less than I had seen advertised in most London hotels. It was particularly reasonable considering you get breakfast included. I would definitely return again.	
Oct 12 2005	Would definitely recommend	We stayed here for 7 days and thought the hotel was very nice. The room was very well priced and very clean. Staff was friendly and helpful. Location is very close to the Gloucester tube station and many places to eat. There is an internet cafe right across the street or you can use the computer in the lobby for a small fee. There is also a Sainsbury just up the road so the location is excellent. We were under the impression that there was free wireless internet available in our rooms but that was not the case. There was wireless service available but you needed to buy time to use it. The hourly and daily rate for the internet was rather expensive but if you buy a whole week the price is not too bad.Overall we enjoyed our stay and will definitely stay there again next time we are in London.	
Oct 11 2005	great hotel very good price	Very good hotel, very clean and confortable. Location is also fine (5 min to nearest tube station - Gloucester Road). Continental breakfast was also a &quot;surprise&quot; and can be considered as good. Good choice in terms of price vs quality.	
Sep 20 2005	Great bargain/Fine Hotel	I stayed for 14 days.Small room? Yes. Everything I needed? Yes - bed, closet, desk, alarm clock, TV, toilet, shower, sink, window (I never used the AC). Single bed smaller than a twin - but I slept well. Room was toward the back - very quiet. Continental breakfast - simple but filling (included with price if you book through their website - check the specials link - I had one of the &quot;leisure single&quot; rooms - price ranged from 38-54 pounds depending on the night).Only minor problem - the refrigerator didn't work well...but I wasn't there very often to need it : )Close to Gloucester Road tube station, laundromat one block away, Internet Cafe right across the street, restaurants all over...I would definitely stay there again!	
Sep 15 2005 	Too noisy	In my opinion the primary purpose of a hotel room is that it should be somewhere that one can sleep. Unfortunately my room was right next to a huge noisy air-conditioning block that made loud irregular rattly-whirey sounds all night. A heavy sleeper might be able to sleep through it, but I couldn't.The room had air conditioning, but the air-con just recycled air within the room rather than bringing air in, with the result that the room felt stuffy unless the window was opened - making the noise outside even louder.Other readers have pointed out other problems that I can confirm. The rooms are indeed tiny - but that is normal for London, and there are holes in the sheets - but I don't particularly mind that. If the room had had double glazing and a decent air-con then I wouldn't have had any complaints.	
Sep 15 2005	Good Hotel Great Price	Just spent six days at the Park International and thoroughly enjoyed the hotel. My only complaint is that it isn't closer to central London as my husband I prefer to be able to walk everywhere, but it is only a block and a half from the tube station. Our room was large enough by European standards -- plenty of room to unpack (we were gone for a total of 16 days) and still stow our suitcases out of site. The room had a double bed, desk, mini refrigerator, hairdryer, coffee/tea maker, large tv and enough drawers to put everything away. Even the closet was a nice size. The bathroom reminded me of an American bathroom with full shower/tub, etc. My husband may be back in London early next year and plans to stay there again. It is a great deal. Now for the breakfast--no complaints there either. Rolls/croissants/bread, cereal with many toppings, canned fruit (haven't eaten that in a long time, but it was good) meat, cheese, coffed/tea/juice. This kept us going for most of the day. Be sure to book off the hotel website or breakfast may not be included. Also, the rates are better.	
Sep 9 2005 	Disappointing	First of all I must say that much of what I have read here failed to be true in my experience. The reception staff spoke excellent English and the breakfast, while nothing special, was fine. The refrigerator and widescreen TV were nice touches in the room as was the air con, especially on a sultry London night. Yet there were still so many problems. The TV and fridge failed to work, the air con was noisy and kept making noise during the night. The bathroom was filthy, with a cracked sink. There were cigarette burns in the blankets. I had arrived late and was leaving early, so I just needed a place to put my head for the night and couldn't be bothered to complain, so I can't say anything for the staff's ability to cope with problems. This was booked on my behalf but I would actively chose not to stay here again.	
