	Almost Perfect...	I was in London on 21-24.11.2009. We stayed in Premier inn which is situated in center of London (50m from London Eye and Big Ben). They have unconventional reception which is very good (you can check-in on check-in machine if you want to, so there is no waiting). We have reserved twin bedroom but we have got a extra large bedroom with one double bed and one bed extra!!! Great!!! Room was perfect. Extra clean with nice and clean bathroom, flat TV, hairdrayer, cofee machine...Breakfast is so good that I can't describe... Full english buffet breakfast... planty of everthing... no more words... One and one only thing which has not been OK is that shampoo in our bedroom stayed empty for all three days. Definetly I'm going again in Premier inn...	
Jul 4 2008 	Wonderful Location Great for families!	Really enjoyed our stay two weeks ago. We had a family room for my husband, myself and our two children, ages 15 and 12. The price was great for the location next to the London Eye and Big Ben. (104 pounds/night) Rooms were basic but quiet and we enjoyed the breakfast buffet which was free for the children. Easy access to the underground tube and we went all over London to see the sights. Staff was very friendly and we were able to adjust our nights as we missed our connection to London after weather delayed our flight for a day.We highly recommend this hotel.	
Jul 1 2008 	Premier Inn London County Hall London	We stayed at the Premier Inn London County Hall in June 2008. Its a good place to stay, but the rooms have no air conditioner. We were unaware of this when we booked our room. The hotel is conveniently located on the Thames River near the London Eye, Big Ben, Westminster Abbey and other attractions. The staff is very friendly and got our room ready for us before check in so we could rest after our long flight. They were great!!!	
Jun 27 2008 	Fab location great hotel	We stayed at the Premier Travelinn County Hall last weekend for the 2nd time. The rooms are basic, as you would expect but clean and tidy. The staff there are lovely, the young girl on reception was very helpful. All the staff spoke to you if they saw you, even if they hadn't met you before they would say good morning. If i have one criticism it is the breakfast, the food is not very hot and at almost £8 i don't believe it is worth it. I would really recommend this hotel due to it's location, right next to the London Eye and accross from the Houses of Parliament and Big Ben. If your going to london this is a great, cheap hotel we will be going back again real soon. My work mates and I are going to London again next month but unfortunately we couldn't get in but we would have stayed there if we could.	
Jun 26 2008 	Loved the Premier	The Premiere Inn was a Fabulous experience. While the the rooms are plain, they are clean and spacious. The location was ideal as well. The staff was the best part. They were attentive and curteous. We are regular visitors to Disneyworld and love it there but the Premier could teach the Disney world staff many things. They were genuinely warm and so so helpful making our young daughters' first trip to London a fantastic experience. We are going to paris next year and are so sad that they do not have a Premier location there.	
Jun 23 2008 	Excellent allround	I'd agree with other reviewers, we stayed in a family room for GBP 99 per night (but we booked 6 mths ahead!). The hotel was fine and the fire alarm works very well. The best part of this hotel is the location and access to the tube (waterloo and Westminister) and many bus routes only yards away. Great breakfast (get there early). I highly recommend this hotel.	
Jun 16 2008 	Exceeded Expectations	We wanted somewhere central in London - this was perfect, right next to the Eye, right on the Thames. Reviews said it could be noisy - we found it to be perfectly quiet except for a drunken patron who tried to enter our room by mistake. Very clean. Everything worked. Staff very friendly, excessively so - all say hello as you pass by - do not want to have to acknowledge everyone you pass.Good value for money	
Jun 5 2008 	Great Location	The best thing about this hotel is its location next to the Thames and the London Eye (although the entrance is at the back of the building) . There's lots in the immediate vicinity from tourist attractions to restaurants and small shops and it's very easy to get by bus or on foot to the west end or along the south bank. I wouldn't call it cheap, but for London it's very reasonable.The hotel itself was perfectly adequate; clean, functional, good size room - in some respects better than more expensive hotels - staff were friendly and courteous (although command of English language seemed to be a problem for a large proportion of the staff.The restaurant was fine, nothing exceptional, but perfectly adequate and there were good restaurants right accross the road. Lunch at the hotel was pretty poor.Our child felt the sofa bed provided was not very comfortable, but this may partly have been an excuse not to go to bed at night.I thought it may have been noisy outside, but it wasn't.	
Jun 4 2008 	Almost perfect	I will agree with most of the things other travellers have said. Great location within easy walking distance of many major attractions. Rooms were small but very clean and comfortable. the staff were very friendly. Our only two minor complaints were that the bar was quite busy on the Friday night and tables weren't being cleared. I think this was because one person was serving drinks and the other was dealing with a lot of food orders so maybe they need more staff at weekends. Also the breakfast was plentiful and tasty but there was a long queue for the hot food and while we were queueing I had to rush over and stop the waiters from clearing our table on TWO occasions! However they were very apologetic (both times). Probably wouldn't bother with breakfast another time as there are plenty of nearby places to eat.	
May 30 2008 	ideal location - loved it!	We have just returned from a family break at the Premier Inn County Hall, London.It was our first trip to London, and I have to say it was perfect!Hotel - Clean, friendly, helpful staff. Breakfast as much as you could eat! Kids ate free! The location could'nt have been better - right beside the London Eye, and within walking distance of Houses Of Parliament, Big Ben, Trafalgar Square, Downing Street, Buckingham Palace, Horseguards Parade etc.County Hall in itself has 27 businesses located in the building! The Marriott Hotel was next door (lovely but over £300 a night!) London Aquarium, McDonalds, Art Musuems, and Namco Amusment Arcade which was ideal for the kids if wet weather!Places to Eat - We did not eat in the hotel, but it looked nice, and was full most nights. Breakfast was very good, from Full English to pastries and fruit. As much as you wanted!In the Evening we ate a Giraffe which was situated down the pedestrianised walkway (approx 10 mins walk). It was happy hour every night from 5-7pm and also was very good deals on food. Kids loved it, and the food was lovely for adults as well, without breaking the bank! (average cost for family of 4 with drinks £35-45) There are also plenty of places nearby, and you are really spoilt for choice.Rooms - Our room (room 402) was a family room, and was huge!! We overlooked Jubilee Gardens, and was v clean. Small but clean bathroom, no frills bedroom, but comfy beds and a TV. There is no air con in room, but there was huge stand up fan if we needed it. (and we did need it, as it was quite muggy and warm)We stayed 4 days and managed most of the London Sights with our kids age 10 and 11. We did not pay in full for any attraction, as managed to get discount vouchers via the web for most things!Would defo go again - no hesitation!!!!	
May 25 2008 	Excellent stay	Would agree with all the positive comments from other people. We especially appreciated the friendly, helpful staff. They all seemed really happy in their job. Location is perfect. Room so spacious and comfortable. I am just about to book for another stay in July. Breakfast was superb. Set us up for the day. Great to be able to wander at any time along the South Bank soaking up the atmosphere. Would recommed using Charing Cross Station and walk across the Bridge rather than Waterloo.Great for london eye, buses, boats etc.	
May 23 2008 	First Class Experience	We had a three day stay, my wife and I. Our stay was very pleasant indeed. All the staff were extremely polite and very helpful. Every member of staff whom we met going around the hotel, always acknowledged us with a friendly greeting. Nothing was too much trouble. The situation for the hotel cannot be faulted. In the heart of London, just across Westminster bridge from the Houses of Parliament and Big Ben. Very easy access to buses, and tube stations.The accommodation is spacious, clean, and very comfortable. The breakfast is a must. At £7.50 for adults, and free for children, it is very good value. All you can eat, from a very varied selection. Terrific. It set us up for our sightseeing beautifully.This is our second visit to this hotel, and I would recommend it to anyone looking for central, cheap, and friendly accommodation.We will be back.	
May 18 2008 	nothing budget about this hotel	My husband and I spent 8 nights at Premier Inn County Hall in early April. I was apprehensive about our stay because the internet says &quot;cheap budget hotel&quot;. Far from it! Our room was very spacious, the bed comfy as were the pillows and comforter. The furniture was basic but met every need. The room and bathroom sparkled with cleanliness. We had an awesome view of Julibee Garden Park, Thames River and London Eye (Room 200). The room came with coffee, tea, cookies and a hair dryer. A customer service closet on each floor provides an iron and ironing board if needed. Every staff member was helpful. I had told the staff when booking that our stay would encompass our wedding anniversary. When we checked in we were greeted with an anniversary card. We ate breakfast there 4 of the mornings. You may think expensive for two people but there is a wide variety of foods that fill you up until your evening meal. Location, location, location. We rarely used the tube. We were able to walk everywhere (we are in our 60's) There is a mini-mart across the street that we used to purchase small item groceries when needed. Highly recommend this hotel.	
May 18 2008 	Great location!	We stayed at the Premier Inn, County Hall London for 5 nights in March for our honeymoon.The location is superb, you couldn't fault it. Right behind The London Eye and just over the bridge to Big Ben. Also you were within a 5 minute walk of the tube, so it was easy to get to other attractions as well.The breakfast was great, the buffet choice was very good and we found we were so full that we didn't eat lunch!The downside was there was no safe in our room and the staff on the front desk weren't very knowledgable. We asked the best way to get to Madame Tussauds (they told us they'd never been and left it at that) and we also asked if they could recommend a shuttle service to the airport and they said no.Apart from that we would definitely stay there again.	
May 16 2008	Perfect location	We just returned from our 10 day trip to England/Ireland. Since we were in London for only 3 nights, we needed a place that was central and easy access to the tube. The Premier Inn County Hall was exactly that. It was right next to the London eye and a quick walk to the Waterloo tube station. Plus it was reasonably priced and had very nice accommodations. The hotel was well kept overall from the lobby to the room and modern in decor. Definitely would stay here again for the location and convenience to everything.	
May 14 2008 	Excellent accommodation with 5 star service from the staff	Excellent choice of accommodation for a family. We booked a family room for 3 boys (age 2,3 &amp; 9) and my husband and myself. The room was large, beds were comfy ; the bath was deep and the water pressure was good. But most importantly the staff were great. All really helpful; there are steps at the front (which we knew about) but there was always someone offering to help us down the stairs with our stroller. Or helping us access the lift when we were loaded down with kids at the end of a long day.The breakfast was good quality and the location is so easy. I think this is a really affordable and central option if you are looking for a base with a family. There is no fridge in the room or microwave; but there is a shop across the road and we just bought bits and pieces as we required.We will be back next time we visit London.	
May 12 2008	Good Choice for a Hotel in an Excellent Location	As has been written before, this hotel is in an excellent location. The room was comfortable and bigger then I thought it would be. We had a family room, although it was just my husband and I. The bed was maybe queen size, plus there were two twin beds, one on the floor. We just moved that to the corner of the room and it was out of the way.Easy to pick up the bus tours, including the duck tour (if you are so inclined) in the area.We walked everywhere, it really is a great location. Traffic in London, despite the congestion charge, is awful. You can sit in a cab or a sightseeing bus for a long time and not go anywhere. Consider walking or taking the underground.My husband ate breakfast a few times at the hotel. He said it was good, but no potatoes of any kind!There's a small convenience store across the street from the entrance. Great for picking up a few things, like Kleenex, because the hotel doesn't provide any.There is also a noodle place, a restarant and a Subway very nearby.In addition to the normal tourist sites, consider visiting Churchills Bunker. This is where the WWII defense of Britain was coordinated from. Very interesting and within walking distance.The room had no drawers at all but plenty of open shelves. There is no safe in the room and that is a problem. I wouldn't mind if they charged for it...it would have been nice to have a safe place to store things.All in all a nice stay, fairly quiet. Would stay here again.	
May 2 2008 	Great for a short break	Stayed here for 2 nights over the Easter school holidays with my wife and twin daughters (aged 8). We had a very large family room overlooking the Jubilee Gardens. We had one double bed, 1 single and 1 matresss on the floor (my only complaint - would it have been so much trouble to provide a &quot;family room&quot; with 2 single beds?). That said neither of the girls had any trouble sleeping after a busy day of sight seeing!!!The hotel staff were very friendly, the breakfast really good value (kids eat free) and the location very good. I liked the fact that only guests could use the lifts - you need you key to operate. Not the cheapest hotel in London, but I would be back in a heart beat. The extra costs were more than made up by the location and quality of the service. Really good hotel for families - and maybe - just maybe - you'll meet Lennie Henry who seems to like Premier Inns!!! ;-)	
May 1 2008 	Fantastic Location	Our first trip to London was greatly enhanced by the great location of this hotel. Located just under the London Eye, across the bridge from Big Ben, Westminster Abbey etc., many London sites were within walking distance. The price was also very reasonable for London, and the room was more than acceptable. Our rooms were comfortable, clean, and well maintained. The staff was especially friendly and quick to offer help. The on sight restaurant offered a nice full breakfast buffet and the good dinner menu was a pleasant surprise. Located in the historic County Hall building, we would definitely stay in the hotel again and recommend it to family and friends.	
Apr 27 2008 	Great!!!!	I have stayed in many london hotels much more expensive than this and in most cases have been disappointed as they were not the quality they advertised to be. This hotel was the complete reverse. Lovely comfy beds, clean and tidy rooms, good shower and fantastic location. Very plesant staff all this for a very good price. Breakfast was good. and the resturant for an evening meal was reasonably price if not fantastic food.Delighted will be staying at premier inns more often. I have been converted.	
Apr 18 2008 	Room 202 great 303 so-so	We stayed there twice -- in Room 303, which had a slow-draining 2-faucet sink and smelly bathroom, and small window, which made the room dim and dreary. The second visit we stayed in Room 202, which had a huge window, was bright and cheerful, had a sink with one faucet, and seemed generally cleaner and more updated than room 303. The rooms were both huge, and had two extra beds for our kids. The price was great, but they skimp so much - not even a box of tissues in the room, which seemed quite stingy. Nevertheless, we could not have afforded to stay in London if we hadn't found this hotel, and its location was great, right next to the London Eye. If you are looking for spare and clean, this is a great place, and we would definitely stay there again. Also, it was quiet -- a huge thing for me. We heard a little noise from the hall in the mornings, but not much. And the beds were super-comfortable. We ate the breakfast once, but it's not very healthy -- the juices all had sugar in them, and I'm guessing the bacon contained nitrites. The fruit salad stayed too bright and tasted funny -- they must spray it with sulfites or something to keep the apples from going brown. We eat organic at home, so this was not great for us.	
Apr 14 2008 	Clean and comfy and in a great location!	We stayed here in January 07 for the weekend, iv never slept so well! How can they guarentee that and actually deliver?!?! The whole hotel was lovely and clean and staff were friendly and helpful. It was in an amazing location - right next to the london eye which was great for people watching while enjoying the delicious food in the restaurant! (we ended up eating there most nights as it was so good and reasonable!!) Being around the corner from the tube station was really convinient and was in a beautiful building too!	
Apr 11 2008 	Excellent location well worth a visit	Like many of the other reviews on this page, the Premier Inn - County Hall is a clean and well located hotel convenient to the London Eye and Southbank. It is located in the massive County Hall building, which also houses a Mariott Hotel, the Dali museum and the aquarium. The entrance of the Premier Inn is on the side of the building opposite the Thames river. The Westminster Bridge and London Eye border the building on either side. The Waterloo Underground station is an easy 5 minute stroll from the hotel entrance. Being on the Waterloo Underground stop made it very easy to get to many of the touristy things throughout London as 3 lines run through that station. Given these facts, the hotel location makes it very easy to get around London.In terms of the room itself. Avoid the 5th floor if you don't like the smell of stale smoke. Though the entire hotel (and all of London) is smoke-free, I think the 5th floor used to be smoking so there is still a stale odor on that floor. I was originally assigned a room on the 5th floor and asked to be moved when I discovered the smell. I was reassigned to the 6th floor and it was fine. Rooms are basic, but comfortable and clean. The bathrooms are basic (as the photos attest), but clean and there is an electric towel warmer. There is a large sign on the bathroom door advising that the door be kept closed while you shower so that you will not set off the fire alarm. (There is a pneumatic door closer that closes the door). I kept is closed while showering and had no problems with the fire alarm. Water pressure was good and there was plenty of hot water. They provided a squeeze bottle mounted onto the wall that was a dual purpose lotion to be used as the shampoo and the body wash. There was a big towel and a hand towel, but no small washcloth. Towels were basic, mid-range towels. The County Hall building requires the fire alarms be tested weekly. This occurs on Thursdays between 10:30 and 11:00 AM. Note that the alarms are VERY loud, but if you're not around during this time, you won't notice the fire alarms being tested. In terms of handicapped access, I didn't notice any wheelchair ramps or escalators for mobility impared patrons. There are a series of steps that you'll need to walk up to get into the hotel (sometimes there are smokers congregated outside around the entrance). Once you get into the hotel, there are ramps and elevators to get to the different levels.Staff were friendly and helpful. Knowledge of the local attractions varied from staff to staff. There are 2 computer workstations where you could check e-mail (5 GBP for 1 hour; 10 GBP for 24 hours). Breakfast area was clean and well lit. I didn't eat there so can't comment on the food quality.In summary, the hotel was a good value. I stayed 4 days (April 2-6, 2008) and averaged 119 GBP per night. It was very convenient to everything in the city and very easy to locate if you're lost (the London Eye is quite visibile if you need to orient yourself). I would stay here again for a basic, no frills, but conveniently located hotel in London.	
Apr 10 2008 	Great location	I stayed here for 3 nights in early April. I examined 2 other Premier Inns in London as well. Both were half the price but twice the distance from town. So for a short stay, this hotel will save you a lot of time. For a longer stay, a bit of time on the subway every day will save you a lot of money.This is the 5th Premier Inn I have stayed at and they are all pretty much the same. Rooms big enough for a family of 3 with no problems, 4 are a squeeze but possible. They provide you a kettle and some instant coffee and tea, a hairdryer, and not much else. They all have internet access to the rooms for a fee, this one had computers in the lobby with internet, for a fee, and all have a bar and a restaurant in the location.Breakfasts cost 7.50 GBP per adult, kids are free. This is an all you can eat deal and if you are a big breakfast person, this is really worth it. Every day was good with a wide selection. From this hotel there was a Starbucks and a Subway (sandwiches) right across the street along with several other places to eat nearby, including a small shop where can buy water and things like that.The only reason this hotel is worth 100 GBP a night without breakfast is the location. You can walk to the London Eye in about 2 minutes. You can walk to Parliment or Westminster Abbey in less than 10. You can walk across the new pedestrian bridges and be over the river towards Trafalger Square in about 15 minutes. And Waterloo subway station is about 1 block away. We were able to pack a lot into every day without spending time traveling back and forth.The fire alarm did go off one day at 0830. Made a lot of people mad. There are around 30 businesses in this building and the systems are all connected. I would stay here again for a short visit. But it is too expensive to stay here for a long time, for what you get.	
Apr 2 2008 	Dont Stay Here and in fact dont go to london unless you absolutly have to	HiDo not stay at this hotel. In fact do not go to London unless you absolutely have to .. more on this later ... This is the crappyist hotel I have ever stayed in.. worse then any motel 6 .. Sauder furniture, old and crappyist, smoke alarms go off EVERY morning because the fire alarm is super sensitive and taking a shower can set it off. In fact there is a sign on every bathroom door that says to please keep the door closed or it will set off the fire alarm.. Im not kidding.. sad but true. vending machines don't work ... you will be disappointed I assure you.... for us, the heater in the room never worked and the brought in a portable. no big deal if the building wasn't 200 years old and drafty as hell.. its just very old and super crappy ...And there is no need to ever stay in the middle of London as everything is a Tube/Subway ride anyways ... and the tube goes everywhere.. largest in the world .. As for London it is exactly twice as expensive as the US, Big Mac value meal is $12, fish and chips $35 .. and it is cold as can be, rains every day, the sun never ever shines, its just a miserable place. Plus all of the sites can be seen in one day as they are all in the center of the city. Also, Big Ben, the house of parliament and West Mister abbey are ALL THE SAME BUILDING .. they left that out of the brochure. I hated England.. freaking 20 degrees, $12 McD's, people are rude, hotels sux and cost a fortune.. Ill repeat, dont go to London unless you absolutely have to.for questions or pictures of this sucky room just email me... johnobennett@yahoo.com	
Mar 31 2008 	Great value great location	Third time we have stayed at this hotel and it continues to deliver value for money. Two adults and two children (12 and 10) plus breakfast for around £100 per night just next to the London Eye and across the river from Westminster is exceptional value. We spent four nights in a quiet room and enjoyed the spacious bar and excellent self-service breakfasts with all manner of choices. The staff are all so courteous and friendly. The room was a bit cramped because of the extra bed for our youngest but what can you expect. If I was staying for my main holiday I would want a larger room or a second room. But this was a short break and a little less space is a price worth paying for the location. In 7 minutes you are by the Houses of Parliament or going the other way Waterloo is 5 minutes walk. We needed a central location for visits to Imperial War Museum, Adelphi Theatre, Cabinet War Rooms/Churchill Museum (do go it's a great experience), British Museum for the Terracotta Warriors and the O2 Dome for Tutankhamun. There is also plenty of choice for nearby restaurants at the South Bank, especially useful when the feet are tired and a trip back over the river would be one journey too many. At the price the Premier Inn cannot be faulted - it delivers what it says it will. We are already thinking of a return trip to the world's greatest city	
Mar 31 2008 	Location Location Location	We recently stayed in the Premier Inn County Hall For one night (a Saturday night). The location is brilliant- directly opposite the London Eye, within walking distance of many tourist attractions and the tube station.We all know what Premier Inns are like- no they have no character, but if you are in town for a night and don't want to blow a load of cash on a room, this is an excelent choice- We only needed a room for the night as we had plans for the day, so views and fine firnishings were not important to us- which is usually the case when staying in cities. The rooms are fairly large by city standards, well appointed with a very clean bathroom, the bed was extremely comfortable and we were able to enjoy a good undisturbed night's sleep right in the heart of the city.We had a very enjoyable stay &amp; next time we have to stay overnight in town, we would not hesitate to stay at this Premier Inn again.	
Mar 29 2008 	Just perfect!	Most of the reviews here have it spot on. Absolutely perfect location, good price, clean, comfortable hotel with friendly staff.I stayed here for four nights over the Easter weekend with a friend. On arrival I said I had a reservation for a twin room; they had allocated us a double. I said we really wanted a twin (we're very fond of each other, but.........!). For a few moments it looked like we were going to have a problem, but she found us a very spacious family room (number 607). It was almost two seperate rooms - one with a double bed, and one with a single bed which could clearly also function as a sofa (see lots of other traveller's photos). Lots of space for us both and just perfect.A few points to note for those staying here. - the entrance to the hotel is up a small flight of steps. I am currently walking with a stick due to an ankle injury. The only problem this presented was having to get past the smokers who always seemed to be present on the steps! - you don't have to prebook the breakfast buffet. We didn't and only ate in the hotel on the last morning - they happily took cash from us at the breakfast table. - the hotel is remarkably quiet given the size and number of guests. Slept like a log. - there is a small convenience store directly opposite the hotel for supplies of drinks, snacks, toiletries etc at reasonable prices. - the All Bar One just round the corner does a fantastic weekend brunch. - follow the South Bank signs if exiting at Waterloo underground for the nearest exit to the hotel. - best way to travel to lots of tourist sights from the hotel is the Thames Clipper riverboat service. Very civilised way to travel past St Paul's, Tate Modern, Globe Theatre, Tower of London, HMS Belfast, under Tower Bridge, Canary Warf, Greenwich, all the way to the O2 (Millennium Dome). They even sell beer on board!All in all, I would definitely stay here again on next trip to London.	
Mar 28 2008 	Location Location- family room nice size	As has been said before- a Premier Inn is what is is- very much like a Holiday Inn in the US. The location is fantastic- a quick cab ride when we came in on the Eurostar from Paris on Easter Sunday. You could not be any closer to the London eye which is a great landmark for finding your way back to the hotel.We had a large family room which had a double bed, a twin and almost a thick matress on the floor. Tons of floor space which we needed as two Moms with 2 daughters. The cutoff for this 99 pound room/night (a shame is was really $200/night) is the age of 15 so we quickly dropped a year in age from our daughters! Breakfast for 2 (kids under 16 eat free) for 7.50pounds which at $15 was OK. On day 1, breakfast was so packed at 9am that the hot food line (runny eggs, beans, meats) took about 25 minutes and was not appealing at all. They ran out of mugs and stations were left empty as the staff dealt with the masses.Day two was better so for a complete breakfast without leaving the building it was worth it. You could even order porraige which was like camp oatmeal!There is a taxi stand right and a mini market right out front and you can walk to many of the sites and underground stations. They also sold phone cards to use in the hotel phones to call the US.I was also shocked at how little the front desk staff knew about the area. This is something they should really improve upon as it should be a standard for such a large chain.All &amp; all, fantastic location, lots of space, clean and priced right for a family of 4!	
Mar 23 2008 	excellent location!	My husband booked it so not too sure how it compares price wise to other London hotels (approx 100pounds/night). No complaints acout the location, write next to the Thames and the London eye. Extremely accessible to public transport and enjoyable wander around to most of the city sights i.e Westminster, Houses of Parliamant, Buck. Palace etc. Breakfast was not included, but lots of cafes in the area. We had dinner in the hotel one night and it wasn't particularly enjoyable, can find cheaper and better nearby. No air-con so a bit stuffy in summer (yes it does get hot, even for Australians!) but fans provided which helped greatly. Comfortable, average hotel in excellent location.	
Mar 23 2008 	Spotlessly clean and comfortable but.....	We stayed here during a short break in London from Wednesday March 19 to Saturday March 22.Our room - 222 - was spotlessly clean, the bed comfortable and we received a warm and friendly welcome at reception.Breakfasts were perfectly adequate and I would have rated our experience either 'above average' or 'excellent' had it not been for two problems we encountered. I developed a heavy cold during our stay so we decided not to go out on Friday night as the weather was freezing but instead eat in the hotel's restaurant 'Slice'.We turned up promptly for our 8.00pm booking, ordered our food about 10 minutes later and by 8.50pm had received only a bottle of water and a diet coke.At this stage we explained to a member of staff we could not wait any longer and left the restaurant. We had dinner in an eaterie across the street entitled 'Locale' which was very enjoyable.The weather on Saturday was even worse as was my cold and we decided to pay £25 extra to keep our room until 4.00pm when we were due to depart for Heathrow.We went out for a while but returned around 1.30pm to relax for a couple of hours.On three separate occasions cleaning staff banged on our door demanding to know why we were still there when checkout was at 12.00noon.The situation was further complicated by the fact these people could not understand English.I asked one of the ladies if she spoke French in an attempt to explain the situation. She did not so I went to reception and explained the problem.However, this proved ineffective and once again a cleaner banged loudly on the door. A little more communcation between staff would have avoided this problem.	
Mar 21 2008 	Family friendly and the best location!!	We travelled with a couple of kids and found the hotel in the perfect location. It turned out to be what we were hoping for, clean, quite and cheap. We booked a room overlooking Jubilee Gardens as recommended by another Tripadviser user, and was not disappointed. Breakfast was awesome, the staff lovely. If we could fault the place it would have been the lack of staff knowledge regarding the services around the hotel. Even some handouts would have been useful. Reception wasn't very reliable incoming messages we never got and our wake up call for the day of our departure never happened, leaving us in frantic chaos as our taxi to Gatwick waited downstairs. Would we go back?...hell yes! but next time with an alarm clock and a few print outs of the local services!	
Mar 14 2008 	It's a Premier Inn - no more no less	If you've stayed in a Premier Inn before, you'll know what to expect. The price was good for the location - perfect for tourists and convenient enough for my business visit because the tube/buses are close by. The room was a decent size, clean and everything worked. The bed was actually surprisingly comfortable and I slept very well for 4 nights. The only drawback was that my room overlooked an inner courtyard with a huge array of bins and it was pretty noisy when they were emptied. Breakfast good value at £7.50 and reasonably quiet at 7.30am. Didn't try the restaurant as there are plenty of good places in the area. Staff very pleasant and helpful (even though I was directed to a non-existent taxi rank at 5.30am on my last morning!)If you want a clean, reasonably well furnished room in a prime location, this is a winner. But don't go expecting any character (you'd never know it was in County Hall) or added extras.	
Feb 28 2008	Excellent - Location Efficient Value - Recommended	HIGHLY RECOMMENDED - This hotel is at the &quot;back&quot; of the old GLC building, on the embankment, behind the London Eye. Excellent central location for tourists. Delivers all you need and expect from a quality budget hotel. Front desk staff were efficient when I wanted to book for a few weeks time and they were full on that week, they happily spent a while with me recommending and calling other suitable premier inn properties to find a room. Nice human touch.Massive hotel, but does the job well. We had a very large double room, I guess other rooms could be smaller. Room and Bathroom both clean and modern. Breakfast good value, good choice, hot food and good variety, and efficient despite the size of the hotel.Biggest problem is its almost always full - but its easy to see why.Ideal location as base for sightseeing, but you probably need to book months in advance if you want a room. I guess even more difficult in school holidays etc. It is worth taking the trouble to do that for this property though - you wont regret it.This has got to be possibly THE best location and best value hotel in the entire city. HIGHLY RECOMMENDED	
Feb 26 2008 	Number 26 in the ranking? Must be a joke...	There are two good things about the hotel: the location and the breakfast all you can it for 7.5 pounds. But the &quot;Easy Jet&quot; atmosphere is just depressing. No view what so ever, no light, functional rooms full of messages in purple... If you plan to be away the whole day i guess it is ok. Also very inconvenient: you pay everything as you use and before you use: the room rate, the breakfast, internet, everything. Cutting time on check-out.	
Feb 24 2008	Absolutely brilliant base.	Stayed for only one night with my two daughters,two friends and their daughters, had three rooms between us. On arrival the staff at reception were polite, pleasant and helpful. Our rooms were huge and had spacious bathrooms with plenty of towels supplied. Everything spotlessly clean. After asking a chambermaid if we could have an extra pillow it was cheerfully delivered within minutes. Beds were comfortable and the breakfast excellent,as much as you can eat buffet style with an extensive choice. Kept us all going for hours!The service where you can safely leave your luggage after checking out of the room was again manned by polite members of staff. The location is quite simply superb,just a few minutes walk from Waterloo station its right next to the river and the London eye.We had a very enjoyable walk back from Covent Garden after an evening at the theatre,it was a clear night and the view from the bridge as we approached the County Hall was quite simply breathtaking!We all enjoyed a drink at the hotel's bar to finish the day. This 'no frills' hotel is an excellent base and we shall definitely return.	
Feb 23 2008 	Bang for every buck	We were on a honeymoon and stayed at the hotel from the 2nd of Feb to the 7th of Feb 2008. Here are the pros and cons:Pros:Great Location ... walking distance to the waterloo and west minister tube stations.Large Room Size Comfortable Beds Cons: One needs to lug the bags up the stairs to reach the hotel which can be quite uncomfortable incase u are carrying heavy luggage. No complimentary bottled water in the rooms.The final word, choose this hotel for a comfortable stay and a very helpful reception staff makes it a pleasure. Definitely recommended.	
Feb 22 2008 	Quality time with Family	We had booked tickets to the Tutankahmun Exhibition at the O2 Arena - as it was half term - thought we'd make a short break of it.We stayed at this Hotel for 3 nights, with our two daughters aged 11 and 9. We booked the breakfast also as it seemed good value for money - the children eat free with two paying adults.On arrival we were greeted by very helpful and friendly reception staff - however, we were early (can't book in until 2 pm) - but there is the facility whereby you can leave your luggage - which we did - and ventured out to the big city.Our room was exactly what we needed - we could adjust the temperature which was good - the bathroom was clean and tidy, although a little dated.We had our evening meal at the hotel also - the menu wasn't particularly great - but was palatable - and such good value for money - if you've ordered your meal before 6.30pm - choosing an item from the main menu - the children eat for £1!!! Our first evening - we all had two courses, main and dessert - a drink each - bill came to £37!! Really didn't feel we could complain at that. The surroundings were more than acceptable when travelling with your family.Breakfast selection was outstanding - you really could eat as much as you wanted - with a great choice - and we didn't actually experience any queuing - we went down for breakfast each morning between 8.15-8.30 - it did seem to get busier around 8.45-9.All in all - this was outstanding value for money - for a family trip to London - £134 a night - for the four of us - including breakfast - that's only £33.50 per person per night - bed and outstanding breakfast!!It's not 5* luxury - it's clean, warm, tidy and welcoming - if you want luxury - book at the Marriott next door - and pay their prices too!! If we travel again as a family - then we will most definitely be going back - location perfect, accommodation ideal - no faults whatsoever!!	
