	RUDE STAFF REPULSIVE ROOM. NO CUSTOMER SERVICE. AVOID AT ALL COSTS. WORSE THAN A HOSTEL	This hotel has the rudest person in a customer service based job that I have ever had the misfortune to encounter. She lied, she accused me of lying, she was obnoxious and completely incapable of working in a hotel reception. No people skills and quite clearly no ability to deal with a genuine complaint. In our brief time at the hotel I hoverheard 4 seperate people making complaints about the facilities.We had booked 3 double rooms for a family break, as we were travelling seperately the others in the party arrived before my partner and I and had booked in. When we arrived we were told by the 'receptionist' that they did not have any double rooms left and that we would be in a tripple, she said that if we came down before 12pm the follwing day we could change our room to a double, we reluctantly accepted this, and made our way to the tripple room. The room was not what we would have expected from a travelodge (see photos). The bathroom was dirty and had dirty towels that had not been removed, there was a hole in the bathrooms door, the grout around the bath and sink was grubby, there was dry rot in the skirting and a disgusting brown build up of something unidentified around the join between the toilet and tiles, we had no soap, the plastic disposable cups had clearly been used by the guests before us (toothpaste stains etc) The dressing table/desk had no chair, there were what looked like brown liquid stains all over the walls from top to bottom (god knows what happened in that room?!?!) there were what looked like either vomit or hot chocolate stains down the side of the tv unit and finaly there was mould around the window. DISGUSTING. AVOID AT ALL COSTS. THE PHOTOS POSTED BY OTHER REVIEWERS ARE NOT REPRESENTATIVE OF ALL THE ROOMS IN THE HOTEL. ONLY SOME OF THE FLOORS HAVE RENOVATED ROOMS.As suggested the night before we went to reception to ask for our room to be changed, The receptionsist (a different one) said that this was fine and told us to pack our bags in preparation for the move. We were told to come back in the afternoon and our double room would be ready. When we returned the original rude receptionist was back on duty- to cut a very long story short - our double room was not available, she denied that the person we spoke to in the morning even existed, then when countered about it she said the woman didn't work there!!!! She denied that she had told us when we checked in that we could swap rooms, and basically accused me of lying and making it all up. The hotel was overbooked so our option was to stay in the room we had or to find another hotel. It appeared to be ok for the hotel to give someone else the double room we had booked and paid for before arrival but she refised point blank to give us a double room that someone else had not yet booked into even although it meant splitting up a party of 6 . In the end two of us had to move to another hotel. She arranged for us to be picked up by taxi and moved to another travelodge. As it turned out the taxi was unmarked and the driver dropped us off 10mins away from the travelodge. We had no idea where we were going and had to hail a black cab to take us there. When we got to the second hotel they had no record of us being moved! We had to wait an hour before the deputy manager was able to give us a room. He had to sort out the mess. I am not fussy, I expect a room of the standard that is being paid for, we paid £59 per night (room only), cheap by London standards. I was not expecting a palace but I was expecting to get a double room, get a clean room and have staff treat me with a bit of respect and dignity as a paying customer.	
Dec 17 2007	Good location but little sleep	First impression was that the location was good, the standard of the hotel pretty standard for a city travelodge. Unfortunately we were kept awake until the early hours and then woken again very early morning (before 6am), by load noises made by the hotels obviously old or faulty water/heating pipes, so only had a little undisturbed sleep. Informed reception and was asked to contact the Manager to discuss. Sent an e-mail/rang Manager, as wanted to inform them so problem could be rectified, but we got NO REPLY at all, assume if they could not be bothered to reply to us, they probably had not done anything to check or rectify the problem.	
Dec 13 2007	ok	good location- 5 mins from tube. £10 to check in early (12 noon) we phoned from the airport and the guy was quite helpful (matthew)Room ok. Needs a lot of tlc. Very noisy outside and the millenium rooms are a bit hidden in the hotel. Shower didnt work when we woke up. Think the had problems the night before - so it might of been related, but i was annoyed that I could not have a shower. Luckily it had been working the afternoon before so i could shower after 12 hours travelling!	
Dec 7 2007 	more than I bargained for	I knew it was cheap and cheerful but I got more than I bargained for, when the &quot;help&quot; helped themselves to my toiletries and hairbrush, and who knows what else! I had some lovely long black hairs to contend with on my hairbrush when I got out of the shower(my hair is short and blonde!), and I had to throw out all the stuff that I had left in the room while we were out shopping(lip gloss, mascara, moisturiser, toothbrush, etc. etc.I reported it to reception(with the evidence - hairs in a tissue), but the only response I got was that they would speak to housekeeping. When we were checking out there was no resolution, as the housekeeper in question was off. I was offered a follow up phone call, but really what good is that? To be honest I was so disgusted that I would never contemplate staying in a Travelodge again, even if they had offered me a free stay or something. Overall the place was very scruffy, and the bar was filthy with tastless beer, so I certainly wouldn't recommend it anyway.	
Dec 6 2007	Good value for money	We stayed for 3 nights - 1 night at £26 and 2 nights at £49. Great value for central London. 10 mins walk from King's Cross station and underground, plenty of cafes in area.Our room was a bit smaller than usual Travelodge, but same standard of cleanliness and decor. Bathroom OK, clean towels each day. Our room faced the car park and so was probably quieter than rooms facing the busy street. But you expect some noise in any city centre. lifts were often busy early morning and late afternoon, but this is obviously a very popular hotel. We didnt eat in the restaurant as that was always very busy. Staff very pleasant and helpful. No problems, we would stay here again if in London.	
Nov 3 2007 	Very Cramped	I booked a triple room for myself and 2 others. There was hardly enough room to put one bed in the room but with 3 single beds there was only about 10 inches between each bed. The bathroom/toilet was no better. No air con and only one of the side windows would open and then only very slightly. All a bit shoddly really.	
Oct 24 2007 	Enjoyable stay	Just got back today from London, we stayed at this hotel and found it to be very comfortable and clean. The staff on arrival were very helpful and the whole process of booking in took only a few minuets. The room was very clean and of a decent size. The room was cleaned daily with towel changes daily. On the whole the whole experience was ok. We didnt eat in the hotel but people said the food was good, the bar staff were pleasent and helpful. I would definatly use this hotel again.	
Oct 15 2007 	Great for the price	A group of us had 3 rooms booked here in early September. All were supposed to be for three people, and all were at Super Saver rates of 26pd per night.All rooms were on the third floor. Two of the three were fine, the third was a little cramped and stuffy (Would not be much fun in a heat wave or middle of summer). Consequently only 2 stayed in the stuffy room and four used one of the &quot;bigger&quot; rooms.Generally the accommodation was fine. Plenty of hot water, comfortable enough bedding etc.Workmen in the courtyard seemed to kick off pretty early each morning (about 7.00am) so chances of a sleep in were not good. This was in some ways a blessing in disguise as it enabled us to get out and about.We didn't eat breakfast in, preferring to use the many little cafe's spread around the area - which worked fine as they were cheaper and probably had a better choice/value. (I can't really comment as we didn't eat in once).For the rate we paid the rooms were fine, as the old song goes, two out of three ain't bad!	
Oct 6 2007 	Enjoyable stay had by all!	I have just returned from a 3 night stay at the hotel and was pleasantly surprised. We had 2 rooms, one on 3rd floor and one on 1st floor. The first floor room had been recently redocorated and was really nice, we paid £26 per room per night so couldn't complain. I have previously stayed at the Marleybone travelodge and would definately recommend this one as better. Cleaner rooms and very handy for underground, hotel bar was ok for a drink at night also. I will definately stay here again, great value if you can get a £26 per night deal.	
Oct 3 2007 	Not too bad at all	I have stayed in a lot of travelodges in a number of different locations and all have been very similar. This hotel was the same, nice clean basic room, comfy bed with air con (not sure if it worked though!) radiator, tea/coffe and tv. Furniture was getting on a bit but still worked fine apart from the wardrobe didnt stay shut! Hotel had nice comfy lounge cafe area serving nice drinks at reasonable prices. Other people in my group opted for the breakfast costing £7.50 for an all you can eat buffet but from what they said it wasnt amazing. Had to wait for hot food to come and wasnt a lot of choice but at least it was there if needed! Have stayed at the other travelodge in kings cross and would recommend that over this one due its more modern feeling rooms and closer proximity to kings cross station. Even though the royal scot was only 10 minute walk to the tube and mainline trains! Overall i would recommend this hotel especially if you can get a wicked deal like i did on their website! £49 for a double room per night in london!! cant be bad! if you book even earlier i believe the hotel does £25 rooms also!	
Sep 29 2007 	Great value for money	Stayed at this hotel for six nights 5th to 11th September 2007. Got the £26 rate which is fantastic for London, but probably a fair price for this one. The Hotel is within an easy 5-7 minute stroll from Kings Cross Station. Check-in was simple and painless and we were given a room on the top floor facing the front. Couldn’t hear any traffic noise. Room was reasonably large compared to some I have stayed in. Comfy bed – only quibble was the plastic sheet protector became a bit uncomfortable. Big bonus was the air-conditioning. Wi-Fi internet available at a reasonable cost. We didn’t have the £7.50 breakfast in the restaurant as we went down to the café on the corner and had set English breakfast including juice and coffee for £5.20. The restaurant and bar on the ground floor look inviting, but the food was very ordinary. (Couldn’t even get Nachos right! Although the sausage and mash was quite good). The bar was good but expensive. Plenty of Off-Licences near by to buy take away booze. The No.63 bus passes right past the Hotel and is handy for getting to the attractions on the Southbank i.e. Globe, Tate Modern, etc. They won’t store luggage before check-in or after checking out, but you can use the Left Luggage service at Kings Cross Station for £6.50 per bag. Overall we were pleasantly surprised with this hotel, and really, for only £26 you’re not going to get the Ritz, but it was clean and comfortable and we would stay here again.	
Sep 26 2007 	a terrible hotel with terrible customer service.	opted for this hotel because of the location and had an early start the following day. on arriving at the hotel the reception desk staff were terrible in finding my reservation. when i got to the room the air conditioning vent was broken and was leaking down the wall, something which the hotel was aware of, because buckets had been placed on the floor to collect the water. I asked to be moved to another room and was told that maintenance would need to investigate the problem first. having taken my bags with me to a restaurant for dinner, I returned to find the problem had not been dealt with. After complaining again I was told the hotel was fully booked, a short argument later with the receptionist (who had to go and ask someone else everytime I asked him a question) and they managed to find a room (miraculously!).This room was in urgent need of redecorating, but what made it worse, and resulted in me leaving the hotel and finding another hotel in the city was the damp on the walls in the bathroom and the hair left in the bed, as though the bed had simply been re-made after the previous guests had left!	
Sep 16 2007 	Allows pets - that's the best part	Based on a suggestion in a posting through Trip Advisor we booked a room here We needed one room for one night where we could bring a very large puppy that was traveling wtih us.The three best things I can say are: 1) we arrived late and the room we had prepaid for (at a decent rate) was still available; 2) they do allow pets of any size: 3) the bedding appeared clean.Those things being said the rooms are TINY. You can only get on the bed from one side, the other side is pushed up against the wall. We had planned to have the pup sleep on the bathroom floor but there was hardly any floor space beneath the toilet let alone extra for a large pup. No assistance at the desk, &quot;I'm alone here I can't help you.&quot; I had several large pieces of luggage and my big puppy and many oafs were sitting around the lobby who could have chosen to assist me but alas chose not to. Another person appeared at the desk who finally did help me to the room. We asked them to stash the large kennel we were dragging with us and they said they would put it in a storage room. It was virtually in the lobby the next morning when we went to retrieve it; could have easily been stolen.No phone, no chairs, no amenities whatsoever in the room, all in the name of saving the customer money. Breakfast wasn't available until 7 am at 7.95 pounds (pricey for a budget hotel)Rooms facing the street (which we had) were EXTREMELY noisy. We were on the 5th floor and people outside were just screaming all night - sometimes on purpose or so it seemed.Do you need a room in London near the underground in which you can bring a pet? Then this is your hotel. I would not recommend staying here on holiday for any more than one night. It is just not comfortable or easy or fun. But it serves the purpose of a place to flop for a night in London with a pet.	
Sep 12 2007	Bad experience here - thi year	I spend a few days in London with my teen daughters while travelling Europe on a budget each summer and we usually stay at this hotel. The price is excellent - if you can get the 26 pound special.This year, we got a room that had been renovated - new carpet, new white quilt covers (not the typical Travelodge blue checks) and white walls. Things were looking up. However, on our 6pm arrival, there was no power in the room. So I complained and was told it would be fixed in half an hour. We went out for the evening but on our return at 10:30, there was still no power. So I complained again and was told - half an hour. At 11pm, I got a little angry, complained at reception in a loud voice and sat there until an employee was dispatched to fix the problem! By midnight, power was restored. (It was an issue because we needed to charge camera, video and phone.)Also, if you are returning to this hotel at night from Central London, take the number 73 bus (from Victoria, Marble Arch and Oxford Circus) two stops after Kings Cross (that's on Pentonville Road). Cross the road and cut down Weston Rise... and you are outside the hotel! It took us three years to find this short-cut.	
Sep 10 2007	Location OK	Booked on-line at saver rate, but the room we got was in the basement and was very &quot;tired&quot;. After complaining we had another room issued and was up to Travelodge standard ! NO chairs in any of the rooms so you had to stand or sit on the bed! Location is convenient for Kings Cross rail station and London underground. Food in cafe is only very average	
Sep 2 2007 	Its not good!	Where to start!. Went up to London for a 2 day break, and decided to stay in a more economic hotel for such a short break, how we regretted the decision to stay here. The room was a mess, carpets which were stained, torn and in urgent need of changing, the bathroom was poor in its condition with mould and a large hole in the wall, where i presume the ventilator was once fitted. The windows were filthy, from the inside and appear to have been forgotten in the cleaning aspect. Large windows with no nets, therefore the tenants in property directly across from us, had direct visual link into hotel rooms. The 3 lifts worked from time to time! Location wise, 15 minute walk from the tube station.All in all this was not a good stay, and am waiting to hear from Travelodge on our findings, first time for us in a Travelodge and the last. You want cheap accommodation and tired dilapidated rooms, then by all means go ahead and book............Good luck.	
Aug 28 2007 	Clean and comfortable but terrible staff!	My mother and I spent a night at this Travelodge in August when we travelled to London to watch The Sound of Music. The hotel is conveniently located a short walk from King's Cross Station and there are lots of bars and restaurants nearby. The area felt safe when we returned to the hotel on foot late at night.The service at reception can only be described as TERRIBLE! We waited 20mins to check in and was then given a double smoking room when I'd booked a non-smoking twin. This was rectified after much huffing by the receptionist who claimed that it was not what I'd booked.The room itself was clean, comfortable and quiet, which was all we really required. Despite having a drawer marked 'hairdryer', there was no hairdryer and when I asked a different, but equally surly receptionist, I was told that I had to get one from reception and return it when finished. We did not take the option of the £7.50 breakfast, but went down the road to an excellent cafe called Coffee Junction (or something like that) which served a great reasonably priced and varied breakfast menu. This is a convenient, clean and comfortable place to stay in central London which is only let down by its staff.	
Aug 28 2007 	The best Travelodge in the area by far	For £15 I can't complain (ok I have about the other 2 but hey they really are horrible travelodges) this is definately the best travelodge in the area, if you must stay in one stay in this one. The rooms are nice and clean and with aircon, quite comfy. The other 2 in the area DONT have aircon by the way ~ this is a bonus. The location is good about 8 to 10 mins walking from the tube station. The only down side is the area's outside your room need updating and the outside of the hotel looks very 70's but the foyer and bar area is quite nice, so who cares. The only thing that bugged me was the kettle was disgustingly dirty, and I had to clean the bath myself before I used it but again for £15 a night I wasnt too fussed.	
Aug 24 2007 	Cheap and Cheerful	Having read some mixed reviews on this hotel I was a little dubious on arrival but found the Royal Scot to be as well equipped and comfortable as any Travelodge. The room was bright and clean, the bathroom a little small but adequate, the bed was comfortable and towels and linen freshly laundered. The bar area was welcoming and the drink prices very reasonable for London.I did have a view from my window, of rooftops and the noisy main road which kept me awake despite the double-glazing, but I am a light sleeper and used to absolute quiet,The Royal Scot is about 6 minutes walk from Kings Cross Station and a couple of minutes further from the underground and although the surrounding area is a bit run down, there is a good choice of take-aways and small restaurants within a couple of minutes walk.As I stayed on a Sunday night on a supersaver rate, this was excellent value for money but if I had to pay full price I would probably book the super-stylish Hoxton instead.	
Aug 20 2007 	Great for the price	We were very worried about staying here after the large number of bad reviews read, However we found it to be quite satisfactory. We only paid £26 a night and had two twin rooms, both were very clean eventhough the decore could do with a bit of a tidy up. One room overlooked the car park and the other was on the front by the road, windows were double glazed and we were never troubled by any traffic noise. It was very conviently located only a five minute walk from the tube station. As a base for a London weekend stay it was fine, and for the money paid would definatly go back again.	
Aug 17 2007 	Good value for Money	Stayed at this hotel for a couple of nights. I was a bit worried reading some of the reviews but needn't have worried. It's a basic travelodge without frills but comfortable enough. The room was spotless and perfectly adequate for a short stay. We only paid £26 each night and thought it brilliant value for the price. It's only a short walk from Kings Cross station, but eating places are a bit short in supply so you may be advised to eat further out. We would definately stay again.	
Aug 12 2007	The best yet for student accommodation	In September 2006 we took a group of students to London and we found ourselves booked into the Travelodge London Kings Cross Royal Scot by our travel agent. Not very inviting from the outside (pure 70ies), but what were we to expect at a budget price?Inside it proved a pleasant surprise (compared with what we had experienced on several occasions before). The reception staff was efficient and very friendly and we were given rooms on the fifth floor, along with other groups of students, which was noisy, occasionally, but what else was to be expected?Both me and my colleague's rooms were spacious enough - again as compared with previous cubicles - and there was ample space in the bathroom. The students, however, found their accommodation rather more cramped, but on the whole they didn't mind. The views from our rooms weren't exactly spectacular, but this was not what we had come for; the noise level from outside was low. Breakfast was better than anything we had experienced before and even generally non-breakfasting students took advantage.Travelodge London Kings Cross Royal Scot may not be an an individual tourist's first choice in budget hotels, but I find it ideal for our purposes - although the area is not exactly very charming.	
Jul 29 2007 	Shabby rooms but good location	We stayed here for the second 3 nights of a 6 night stay in London. On first impressions, the lobby and bar of the hotel looked good. Nothing amazing but your standard Travelodge type hotel. It was clean, modern and looked to be well maintained. We checked in and were directed to our room which was on the 2nd floor. We took the very slow, smelly and rickety lift up to the 3nd floor and set off down a long corridor. When we found our room, we were surprised to find we were back at street level. The road next to the hotel is on a slope so we were on what was really the ground floor of the back part of the building. Bit unsettling to have people walking past your bedroom window, peering in as they do so but we weren't planning to spend much time in the room so we could cope with this.The room was surprisingly tatty. I've stayed in lots of Travelodges and they are usually boring but comfortable...you know the kind of thing....matching curtains, bedspreads and cushions and boring paintings on the wall but generally clean and modern. This room was very mismatched with old tatty furniture and shabby curtains. It didn't seem very clean, but this could have just been that the furnishings and curtains etc were so old. The bathroom was the biggest shock though...a tiny, poorly lit room with no window, a smell of drains and very dirty, mouldy shower curtain. The shower badly needed replacing and barely trickled. The grouting around the tiles was black and above the sink, the mirror had been yanked off the wall leaving a huge rectangle of exposed cement. I hated going in the bathroom and would just race to get showered so I could get out of there again!There were a lot of large groups of European school kids there when we stayed and they all seemed to have free reign to run up and down the corridors screaming and banging all day and night which was annoying. I suppose in such a huge hotel you are always going to get some annoying guests but it would be good if the management tried to clamp down on behaviour which ruins everyone elses stay.The immediate area is OK, not as dodgy as some people have said. There are a lot of tourists and students around and I never felt unsafe even walking back from Kings Cross station late at night. Although I was with my boyfriend, I don't think I would have been too worried on my own either. It's well lit and there always seemed to be people around, even late at night. It's about a 10 minute walk to Kings Cross and there are lots of cafes, pubs and shops on the way. Kings Cross is obviously a big station with good tube links to the rest of London which meant getting into central London was quick and easy.I would stay there again if I got a really cheap rate but would make sure I got a different room. Judging by other reviews on here, we must have got one of the worst rooms. The staff were friendly and helpful and the location is good but if I had to stay in the same room as last time, I wouldn't go back in a million years!	
Jul 28 2007 	Not your usual travelodge	I booked this hotel for one night as I was taking my daughter to the theatre as a 18th birthday treat and travel lodges are generally the same, basic, comfortable and good value. I read the reviews after booking (I would normally do this first) but I trusted travel lodges. I must admit I was quite worried bringing my daughter to this hotel after reading the reviews, she is a very young 18 year old and was already fretting over going on the tube (her fear was because of the previous terror attacks) and I wanted her first visit to London and the theatre to be a memorable experience for the right reasons.We were given a room in the millenium block and it was awful, it was on ground level with a view of the side street where anyone can look in, I closed the curtains and kept them shut. Wallpaper was peeling off, it was dull and could do with brightening up, we hated it but decided to make the most of it as we were only sleeping there for one night and would be out for most of the time.We returned from the theatre by tube and the walk to the hotel was not pleasant there were a few drunks along the way and a few dodgy looking people which scared us both and made us feel very vulnarable but we just linked arms and walked a little faster when we arrived back to the hotel a note had been put under the door saying we were being moved to another room due to maintance problems so at 11.00pm we got our things and went to reception where we were given another room and complimentary breakfast in the morning. Our new room was on the 6th floor and I must admit it was a room that I would expect from a travel lodge and 100% better than our orignal room.We enjoyed our stay there but only because of the room change, the complementary breakfast was not the best breakfast and I certainly would not have paid £7.50 for it.I would stay there again if I was guaranteed a room like the second one, if we had stayed in the millenium room I definetly would not ever book this hotel again.	
Jul 11 2007 	Great for the price	Booked the travelodge Kings Cross Royal for 2 nights over theweekend to watch the tour de france, we paid £71 per night which is good value for London, the Rooms are basic but mostimportantly clean with hot showers, a kettle and tea coffee etc provided, tho no hairdryer. The reception staff are not the happiest but we weren't there to see them. The area around was very handy with a lovely cafe doing excellent breakfast at very reasonable price for London just oppoiste, Cafe Express, newsagents, off licence, takeaways and pubs all within a stone throw. Kings Cross station is a few minutes walk from the hotel so very easy (not quickly) to get around London. I would definately stay here again.	
Jun 24 2007 	Bedbugs	Having recently stayed at this Travelodge, I discovered that about 100 of the rooms were not being used out of a 400 bed hotel, I enquired why this was and was informed by a seemingly disillousioned employee that it was due to a massive infestation of bed bugs, apparently near enough all of the rooms have been affected at some point in the last six months and the company just cant solve the problem. As a result there have been many many people moved to alternative travelodges upon arrival. I personally saw a customer moved as far out as wembley due to there being no rooms closer. I would not reccomend that you book this hotel if you wish to have a bite free stay or if you definitely need to stay in the kings cross area as there seems to be a one in four chance that you will be moved.	
Jun 16 2007	good for the price	Clean, comfortable, and a good night's sleep. Perfectly satisfactory. If I wanted any more from a hotel in central London I'd have to pay a lot, lot more!	
Jun 4 2007 	A great place to stay	I stayed at the Travelodge King´s Cross Scot for four nights. I booked a double room via Travelodge Website and paid 26 Pounds on three nights and 49 Pounds on one night. I didn´t expect very much for that price, but I was pleasantly surprised. The hotel is situated on 100 King´s Cross Road, about 8 min walk to King´s Cross St. Pancras tube station with excellent connection to most parts of London. The King´s Cross area is not very interesting, but not bad either. There were pubs, cornerhops and chippys close to the hotel. At King´s Cross station there is a large supermarket (Tesco, Caledonian Road), many places to eat, ATM´s, etc. Check-in was fast and friendly. I booked all the nights seperately, but it was no problem to have the same room for the whole stay (I phoned before). We were given a room in the Millenium Section. It was more or less a ground floor room overlooking Vernon Rise, a relatively quiet street. During the whole, we didn´t have any problems with noise, neither from the street nor from other guests.The room was bright and friendly, average-sized. It had a comfortable double bed (1.40 m), two bedside tables, bedside lamps, a desk with colour TV (5 TV channels, 4 Radio channels, remote control didn´t work), and tea/coffee facilites. There was a lot of storage space in the room. The furniture was a bit older, but of a very good standard. The bathroom was quite small, it had a bathtub. I liked the large mirror that was plenty of room to put my things. There were enough towels, big and cosy and a heated tower rail. A bar of soap was provided, but nothing else. Bathroom was also a bit older, a few cracks in the tilings, but everything alright in general.A downside of the bathroom: the room was windowless and there was no ventilation, so you had to open the door while taking a shower. The room was cleaned everyday and coffee/tea and fresh towels were provided. Overall, this hotel was just perfect for our trip to London. To me, the standard of the room was comparable with 3-4 star hotels in London. It would say that that even the walk-in rate (71 pounds) would be a fair deal for London.	
May 31 2007 	vlaue	Travelodges are basic, but the room was clean and towels fresh. There is a kettle but no hairdryer.There are a couple of pubs and cafes opposite, and its about a 10 minute walk to Kings Cross or a 15 minute walk in the other direction to Farringdon station.I paid £26 on a saver room rate, so this is excellent value. Had a room on the side of the hotel, so didnt hear the car park noise.	
May 30 2007 	Great Accomodation for Price	Having been to London several times already and knowing how expensive the city can be, I went through an agent to find a decent hotel for a decent price. If you are just looking for a clean room with a bed and a working shower, this is exactly what you'll get and nothing more. I stayed there from May 24th - 29th 2007. I hope this review will be helpful to those wishing to have a great experience in London.Being a female travelling with her father, I wanted to know beforehand what to expect and was quite hesitant and scared about the reviews I had read. To make it quite clear, I did not know that most of the reviews I had read were for the Kings Cross location. For your information, the Royal Scot Travelodge may be different from the Kings Cross Travelodge which is situated close to the train station and this is not the Farringdon location. All 3 Travelodges are within close proximity and may all be known as Kings Cross Travelodges. This review is only for the Royal Scot site. I stayed in room 260 that overlooked the back of the hotel and as other reviews have already stated, there was usually a delivery truck that arrived around 7am to drop off/pick up towels. The noise normally lasted for about 1/2 hour. To be expected in a big city and really it was not such a bother as I was usually up by then getting ready. If you leave your window open you may hear voices from people down below but this didn't really bother me. As I was already warned that the area of Kings Cross can be dangerous and sketchy, I did expect and did in reality hear a bit of noise at night. As well, the doors to the rooms bang quite loudly so be expected to hear the slamming from time to time. The tv did not work that well but then again I wasn't there to watch tv. Although I did recieve the channels, the picture was fuzzy. It was just nice to have some tv on at night while reading my travel guides. The air conditioner was not working and for the first day, I simply asked the reception desk for a portable fan for the night , as it was quite warm. They also have hair dryers and irons for lending if needed as the rooms do not have these amenities. Simply inquire at the front desk.The room is small but please remember, this is not the Ritz and I did not pay for something like that and I got exactly what I wanted. The staff were very nice and I did not have any problems checking in, however, the hotel can get busy so be patient when waiting. Part of my travel package were breakfast vouchers for the duration of my stay and this was a great deal. A buffet style breakfast with scrambled eggs, beans and tomatoes, fruit, yogurt, toast, and cereal to choose from. I couldn't complain there. If you are booking through an agent, see if you can get this deal as well.There are phones in the rooms, however, they only work if you have a credit card or an accepted phone card. If you don't have either, there is a pay phone just outside the hotel.Overall my experience and stay at this hotel was great. I would definitely stay there again. My experience in London and at the hotel was further tested when I lost my purse on my cab ride back to the hotel on my second to last day in the city. I had my digital camera and cellphone in my purse along side my plane trip confirmation numbers but everything ended up well when my cabbie brought my purse and all it's contents back to the hotel and the staff informed me that it had been returned. This is really not a bad hotel for the price that you pay. The location is close to both Kings Cross Train station (when leaving the train station coming from Gatwick Airport, just make a right and go all the way down on the left hand side - about 6 minutes walk) to reach the hotel and the Kings Cross Tube station. This may be a long review but I wanted to give everyone looking for a good place to consider.	
May 21 2007 	Does exactly what it says on the tin!	I stayed in room 212 on Thursday 17 Mat 2007. Check in was not available until 1500 hours, nor was baggage storage(nearest option a locker in Kings X station) available whilst we waited but there are loads of cafes and pubs in the area to while away an hour or two. The reception was a little bit slow and disinterested but it is a travelodge. Room was clean, warm, had clean towels and the bed was fine. I could not fault it. There was a lot of noise from about 8 a.m. in the back car park where someone was banging what sounded like a skip against a wall every 15 minutes. The room had a tv and the shower was good and hot.Breakfast was too expensive at €7.50 in my opinion for the surroundings so I went to a cafe. There is one accross the road from the Holiday Inn if you turn left ourside the main door who will do a fry up for €3.95.The lodge itself could do with a freshening up and a lick of bright paint but the room only cost 48 stg so whats there to complain about.If they could sort out the check in time and the staff in limbo in reception then that would bump up the rating a bit.	
May 11 2007 	Horror Show	Last time I went to London, I stayed at the Farringdon Travelodge which is about 1/4 mile up the road from the Kings Cross Royal Scot Travelodge. As Royal Scot Travelodge is closer to King Cross Tube Station, I booked it for a 2 night stay. I think it's fair to say I made an error in judgement. At check-in, we were given room 2016 in the 'Millennium Rooms' section of the hotel. The name suggested modernity and grandeur but as this was a Travelodge, I didn't have any expectations beyond something at least half-decent. The room was quite a trek from the reception desk and we joked that it was probably quicker to walk to the Farringdon branch. The distance through the labyrinthine corridors and down an eerie stairwell felt like the 1/4 mile we thought we'd save to our tired legs by coming to this hotel. Worse was to come when we went into the room which overlooked a sort of car park/courtyard (but more about that later). First, a description of the room: I say 'room' but it felt more like a tomb. An airless, smelly, oppressive cave deep beneath a mountain of concrete. Worse was to come the first time I went into the bathroom. All the oxygen seemed to have been sucked out of the air and replaced by an unpleasant odour. I lifted the toilet lid and it looked clean enough, in fact it was gleaming white. But a closer look revealed something brown lurking at the bottom, just out of reach of a toilet brush. This was going to be weird. After a terrific and exhausting night out, we made our way back to the hotel anticipating a restful night's sleep and lots of wandering round London the next day. Unfortunately, we were woken by an almighty noise outside our window at about 7.00am. Our room overlooked a car park/delivery area and a lorry came to make an early-morning delivery. This lasted for 1/2 hour or so and we couldn’t get back to sleep. On our way out later that morning, we mentioned it to the receptionist who looked bemused for a moment before assuring us it wouldn’t happen the next day. But it did. Same time, same almighty noise. My girlfriend went and complained while I tried and failed to get back to sleep. She returned, shortly after, having been compensated by the receptionist with 2 breakfast vouchers. I use the term 'breakfast' but it was an assortment of charred, greasy, lumpy bits of stuff. The croissants were stale, the juice sour, the water had a strange, unidentifiable metallic taste. It was supposed to be free, but I paid quite a high price with the indigestion that followed. There's a certain grim fascination to be found in places like this but it isn't for the faint of heart (or nose) (or ears). The sheer wrongness of the place compelled me to stay for the entire 2 nights to see how much worse it could get. I at least would have a bizarre tale to tell my friends in the pub: 'You wouldn’t believe the place I stayed in!'	
Apr 18 2007 	Great Value at £15!	We booked in the easter sale for £15 so a shed in central london would be good!I don't really know why others have complained about the area? There are some nice pubs/bars in the vicinity and i didn't notice any of the tramps or unsavoury characters mentioned in previous posts. I felt absolutely fine in this neighbourhood. It's a little further out than i've stayed before but still in walking distance of Russell Square, Oxford St and Soho.The room was basic but pleasant enough - clean and comfortable, your average travelodge. There was a problem with the the lifts, we gave up waiting in the end and took the stairs. The only other problem wasour over zealous maid. She knocked at 9.30 and was told we would be leaving at 12, she then knocked again at 10 and said she put '12 checkout' in her book. She knocked again at 11am and came in and started clearing the room around us at 11.30.Great value but if you want a lie in the housekeeping team will put an end to that idea!	
Apr 4 2007 	good value if you get a cheap price	wife and i paid just £26 for a room on a sunday night before we went on to france. really very cheap for londonroom was clean and good bathroomfriends had warned us to ask for a quiet room as some are very close to a railway station and apparently very noisy. we asked for quiet and other than doors banging all night it was quiet.	
Mar 26 2007	meh	It was Okay for the money as far as travelodges go, if you've stayed in one you've stayed in 'em all. was there for 4 nights and loved London. Stayed in room 380 and they would start drilling and hammering in the next room at 8AM, supposedly electrical work. And then one day staff disturbed me 3 times in one hour just to see if I was OK, I was like no the noise is driving me crazy, I was hung over! couldn't be moved because they were fully booked. They should have DND signs and hairdryers - EVERY hotel should! Overall, MEH.	
