	Excellent location disappointing hotel service	I stayed in this hotel as a solo traveller, I was visiting various friends in London, The location of this hotel was excellent, right next door to warren street station, &amp; within a 5 min walk of Euston &amp; Euston Square. Unfortunately warren street was closed for maintenance for the weekend, but Euston square is a 2 min walk. On first impressions I thought the hotel was reasonable value for money. But that night my single room which was small &amp; perfectly adequate for me was Freezing! I turned the thermostat up in the room, did not work, there was a huge window which had a blind but the cold draught could be felt. I was so cold that I could not sleep properly, in the morning I reported it to reception who seemed very flustered with the people coming &amp; going. I went for breakfast &amp; had to wait 20mins to get a table, with the lady seating me saying it's busy this morning, but do they not realise how many guests are coming for breakfast. The breakfast was lovely great &amp; prompt tea&amp; toast. I presumed that the heating had been fixed due to the card in my room that night saying the problem I reported had been sorted, but again that night was freezing, but after getting kitted up in my jumper &amp; leggings as well as PJs things where warmer &amp; a better nights sleep. I also had a note in my room asking me to go to breakfast later as it was too busy, between 9-10am.The hotel was very clean &amp; staff where friendly enough, I just expected a better service from a 4 star hotel. I will admit I didn't complain again about the cold room or about the breakfast queue, I just got on with it, but just found it disappointing as I've stayed in hostels, tents etc &amp; payed for a better hotel as a treat, it didn't help as it rained very hard the 2nd night I was there, with the streets flooded &amp; it was soooo cold, so it made the hotel room more noticable.Location wise this hotel cannot be faulted, I would stay again if it was cheaper, &amp; with thermals of course!	
Jun 2 2008 	Not again	Our stay at the Grafton was not an agreeable experience. Many of the complaints I read about in the trip advisor review are only too true. It is definitely not a four star hotel as advertised by Radisson. Three stars at best would be more appropriate.When we arrived we were told our room would be ready by noon and we were invited to stay in the lounge and check at regular intervals to see if the room was ready. We chose to go for a walk instead and returned by 12 o'clock only to be told that the room would be ready by two. So off we went for another walk.After checking in we lugged our suitcases to the room (porter service seems to be non-existent at this hotel) and found that the room was quite hot. I checked the airconditioning and found it did not work, moreover the flush for the toiled turned 360 degrees but did not flush and the temperature for the shower had to be set at a mere 20 degrees to have a normal water temperature, anything above that was scalding hot. So I went down to reception to ask if this could be repaired. We were assured by the clerk that it would be taken care of. When we returned at night, nothing had changed. Inquiries were made and it appeared that neither the airconditioning, the shower nor the flush could be fixed. I was then offered an other room. I insisted on seeing it first before deciding to transport all our luggage elsewhere. I had to be shown no less than five rooms before I could find one where at least the airconditioning was more or less in working order. The toilet flush was still a problem, but the handle worked after some &quot;gentle persuasion&quot; and the shower needed to be set at 20 degrees to avoid turning into a lobster. I felt treated like a complete idiot. There were no apologies from management or the staff for the inconvenience. It was quite clear to me that the staff had obviously heard about those problems but put on a show because they were expected by management to do so. A positive point I feel should be mentioned is that the staff in the breakfast room were very proficient and kind.	
Jun 2 2008 	Enjoyed stay	We booked with Superbreaks at a good price. We liked the room, but there was no extra bedding for my Mum to sleep on the sofa bed. Our room was at the front of the building. This meant it was very noisy in the evenings with ambulances, police cars and other traffic driving through, right to 7 in the mornings. The breakfast was very good, and the staff very helpful. It was my first time in London. I think I will try another hotel next time, because purely of the factor of being next to the hospital. Too noisy!	
May 26 2008 	Never again!!	I booked two standard double rooms, initially for 11 nights as my husband was having major surgery at University College Hospital. This hotel was the nearest to the hospital. The rooms were not ready at the 2pm check in time and the receptionest dealing with us had an attitude that it was tough. Eventually we checked in at 4pm and were given complimentary upgrades to deluxe king size rooms. My room was quite spacious, but my daughter &amp; son-in laws was a pokey room with a king size bed. I wanted to swap with my daughter as there was only me in the larger room but she would not hear of it. When we arrived it was quite cold. My daughter &amp; son-in-law had no heating in their room. It could not be fixed so they were offered to move to another room. Upon looking at the room, it was more like a cupboard, with a wardrobe not 2 feet wide. As they were there for 11 nights no way would their clothes fit in. They stayed in the original room. When the weather warmed up the air con was not working, again it was not fixed. the following day they had a water leak through the ceiling. The room was unbearably hot.The fire alarm went off at 2.20am and when we asked the next day, it was shrugged off and we were told that it was a mistake.Although the rooms appeared clean upon arrival, the daily housekeeping was very poor. I had a glass coffee table and it was so dusty that I wrote 'clean me' in the dust. The bedspreads at the end of the bed were thick dust. I think the carpet was only hoovered twice and I stayed for 22 days in the end!!My air conditioning was not working properly and I got fed up with reporting it and just gave up in the end. When reporting it, I was spoken to as if I was an idiot, being informed that I needed to adjust the thermostat. When I replied that it was set at minimum it was grudgingly agreed that someone would be up to look at it. The staff were not at all friendly or helpful.Yes I could have complained a lot more, but my husband was seriously ill in hospital following a serious complication, so I was stressed out enough without more at the hotel.One night (the only night) we went into the bar for 1 drink. After paying for drinks we checked the bill to find a 12.5% service charge had been added. Upon checking the bar menu it stated that there was an OPTIONAL service charge. We weren't given the option and as a matter of principle argued with four different members of staff until eventually we threatend to report them to trading standards. At this point the manager appeared and refunded the service charge. It was not the money, it was the principle.Another omission in my daughter &amp; son-in-laws room was instructions in the event of fire. I believe that this may be illegal.I know hotels in London are expensive and rooms are renowned for being small, but for the price we paid, I expected a clean, well maintained room. In general the staff were not friendly or helpful. Would I stay here again? Definately NO.	
May 17 2008 	Pretty good all in all	We booked to stay here via Superbreak and paid £100 which was an excellent price for a London hotel with a central location.The hotel is situation right next to the tube station so is ideal for exploring the city. This area used to be a bit dogdy but being so close to the new Pancreas station it is feeling the uplift of the money being spent on the area.We were very pleased with this hotel. We were given a warm welcome on arrival and a complimentary upgrade to a king room at the back of the hotel.The room itself was perhaps a little dated but had everything you could need and also was spotlessly clean. We had a quiet nights sleep in an extremely comfortable bed.We had breakfast included, and they offered a reasonable selection of breakfast options but the cooked options were all a bit on the cheap side. Cheap tasteless sausages, cheap black pudding etc. This could definately be done better. The one thing that let this hotel down was the breakfast staff who were surly and severely lacking in smiles. You just dont want to come down in the morning to be frowned at!!!All in all however I think this hotel was excellent value for money and I would stay here again if the price was right.	
May 12 2008 	Not worth the money	We have just spent three nights at this hotel - and had to be moved to a different room each night. While we were there, temperatures in London were about 26 degrees C and the hotel rooms were unbearably hot. The air conditioning failed to work in our room the first night, so no sleep for us. The staff were all very apologetic and moved us to another room. The air conditioning worked that night, but the shower was scalding and the temperature guage did not work. The next day the air conditioning in that room failed. We didn't find that out until we arrived back after the evening out. So at 11.30pm we are moved again to a room where they guaranteed the air conditioning was working. WRONG!! We had another night of little sleep because it was so hot. At check-out we made it clear how unhappy we were. Initially we were offered about £10 off our £350 bill. After a considerable time they came up with a more realistic figure. The hotel is right on a very busy road so there is no option of having the windows open because the noise goes on all night.Rooms were clean, although carpets and fixtures are tired. Staff are polite and tried to help, but the hotel needs investment. Because of the failure of the air conditioning and the need to move rooms so many times, we would not stay there again.	
May 7 2008	Near tube station.	The hotel was well located for the Warren Street tube station. The room was clean and comfortable, but the air conditioning didn't seem to work properly and it was too hot.Our room was at the front of the hotel and we could hear police sirens during the night.The rooms at the back are apparently much quieter.The breakfast was very good with plenty of choice.	
Apr 27 2008 	Dirty bathroom so upgraded to fantastic suite	Was on buisness trip. Location fantastic just by Warren St. tube. When I checked into single room, the bathroom had an awefull smell and I then I found the toilet had lumps of faeces still in it. Phoned reception who apologized and said they would sort it out. When I returned from the evening engagement at 1am I was shocked to find that the staff had done a &quot;flush and run&quot; and the toilet was still dirty with faeces. I phoned reception who were very apologetic and offered to move me to another room. Since the hotel was almost full this happened to be one of their suites which I remained in for the next 2 days. The suite was very good with a Bose stereo and raised desk area. Other that the unpleasant start, an overall great hotel.	
Apr 16 2008 	good	stayed here one night. i went to football. girlfriend went to theatre.very good location. 50 yards from warren street station. rooms nice.got upgrade but wouldnt like to see what we would have got originally, size wise as the romm wasn't huge. only prob was breakfast. we were on a lastminute package and brekky wasn't included. went down to suss out and informed 16 pounds each! come on!	
Apr 8 2008	Weekend Trip To See Joseph	I travel to London regularly and have stayed in several hotels.Hotel excellent, staff very freindly, rooms clean and breakfast excellent. A good hotel to stay in especially if you are going to the theatre. Best direct root from hotel is northern line to Charring Cross and you are on the Strand, walk round corner and you are at covent garden.If you are a light sleeper make sure you get room at the back as it can be a bit noisy with police sirens through the night.This hotel was the only one were I could get tickets for Joseph at short notice.Will stay again at this hotel as its in a good position for getting around.	
Mar 21 2008 	Needs new beds!!!!!!	I stay here a lot for business trips. Unfortunately it seems to be about the only convenient hotel in our budget at the moment, otherwise I would not be staying here. Reasons?1. Tiny single rooms2. Extremely uncomfortable beds3. Poor air-conditioning / heating etc... always either too hot or too cold.4. Poor breakfast - luke warm - tea poured from a shared pot (you used to get your own pot).5. Very noisy rooms if you are on or near the Tottenham Court Road side of the hotel.All that said, I always find the staff friendly and helpful.Unfortunately I'll be there again next week :(Just one night though :)I'd recommend the nearby Melia Whitehouse and St. Pancras Novotel as similarly priced hotels over and above the Grafton.	
Mar 13 2008	location hard to beat	Some previous reviews were pretty damning but decided to go for the convenient location and because there was not too many 4 stars available midweek for the price - paid €209 incl breakfast.Was hoping room would not be tiny and struck lucky with free upgrade to superior double on floor 4 at the back of the hotel. Room was good decor and space wise - a little dusty in places but not dirty. Flimsy blinds on 2 large windows left in a lot of light. Lots of hot water in pleasant marble bathroom on first night but only lukewarm water in the morning at 8am. TV not latest model as pointed out by other reviewers but adequate. Tea and coffee making facility in room. Location is so convenient - 3 stops from Victoria to Warren st after taking Gatwick Express. Literally a few steps from underground to hotel. Nearby streets have restaurants and bars and some good supermarkets. Shops seem mostly computer/electronics and furniture but not too far from Oxford street. I found staff polite and efficient. Breakfast was ok -good choice but bacon and mushrooms were cold from buffet. Overall, I liked the place and bearing in mind that London is expensive for business trips, I would stay again.	
Feb 28 2008 	Cold showers and cockroaches	This hotel is going downhill. I have been staying here on and off over the last 6 months.In the last 3 weeks there has been no hot water in the mornings, so a nice steaming shower to start the day has been out of the question - if you are one of those that showers in the evenings then you'll be fine.And to top it all last night, there was a cockroach in my room - YUK. Unfortunately because of this hotels' great location it was fully booked and I couldn't be moved - eeewwww.I won't be staying here again for some time!	
Feb 21 2008 	Tiny freezing noisy	I booked this hotel through the Lastminute &quot;secret hotel&quot; site. To be fair, I got a good deal, and I wasn't expecting too much.It's also fair to say that my low expectations were not diappointed! The room was tiny, which of itself was not too much of a problem. The real problem was the traffic noise all night long, and the cold wind blowing through the window straight onto the bed. It's a bit of a horror story, and I was glad to leave the next day.	
Feb 11 2008 	Four Star? Not if you're by yourself!	I booked this through Lastminute.ie and it was one of those &quot;Book this secret 4 star hotel and we'll tell you what it is after you've paid&quot;. When I found out it was a Radisson and on the Tottenham Court Road, I was delighted with the choice because of Radisson's reputation. I arrived at the hotel at 10 in the morning and there was no problem holding my bags until I checked in later that afternoon. There's a tube station practically next door and a bus stop outside leading to Camden and Kings Cross. In short, staff lovely. Location fantastic!And then I got my room. Now, maybe if you're with someone this is the best hotel ever, but if you're a solo traveller, think twice before staying. My room was tiny, even by London standards, reminiscent of a B&amp;B hotel in Earl's Court or Victoria, not a 4 star hotel bearing the Radisson brand. A single bed with less than 3 feet of a gap between the bed and the desk at the &quot;other side&quot; of the room. Soundproofing wasn't great, so I had traffic noises all night.The bathroom was miniscule! I had to shimmy sideways through the 10&quot; gap between the shower cubicle and the sink to get to the toilet. There wasn't enough room to swing a towel, let alone a cat! Disappointing and frustrating that a hotel can be billed as 4 stars, yet fall massively short of this rating.In short, this is not the hotel for a solo traveller. Avoid!	
Feb 10 2008 	Very friendly and helpful staff make this hotel	Arrived at the hotel at 1.30 and there was no problem booking in. The receptionist moved two of our party to the same floor as us and both rooms were ready. Three of us were sharing a room so we had a sofa bed already made up wgich made the room look smaller. The rooms were clean and neat but could do with a bit of a spruce up. Our bathroom was less than tiny but the other room had an adequate size one, so I suppose it is the luck of the draw. Saying that, there was everything we needed.The lift and the doors to the stairs have key security which sometimes proved hard to work.Breakfast, next morning, was delicious and the staff were very helpful and friendly.Close by are two supermarkets, pubs and the Landmark. Cannot recommend afternoon tea enough at The Landmark.All in all a very enjoyable experience.	
Feb 10 2008 	Very Nice Hotel in good location	The Radisson Edwardian Grafton Hotel is a very nice hotel in London right by University College London. It's right next to the Warren Street Tube Stop and most of London's sights are within a decent walk. -My room was very nice, even though a bit small (which is to be expected in London) with a very large bathroom. -Like I wrote above, the location was excellent. Easy access to most of London. -The area directly around the hotel is nice, with places to eat and get coffee. -Best thing about this hotel is that it has free wireless internet, which will save you a fortune.	
Jan 26 2008 	Overall a very pleasant stay - but beware the window cleaners!	We enjoyed our stay here very much - the room was very clean and neat although a bit on the small side. The staff were very helpful and the buffet breakfast was excellent. The gripe we had was that the window cleaners were somehow able to open our window our window from the outside and come into our room to &quot;fill up his bucket&quot;. Thank goodness we were fully clothed at the time, but the thought of a window cleaner snooping about room when we were out didn't sit too well with us. Just don't leave money/valuables lying around in full view - Im not saying that all window cleaners are thieves but in this day and age you just don't know.	
Jan 26 2008 	Single rooms are a bit naff	I stayed here on business in January 2008. I booked through my company travel agent at a rate of £122 per night.On arrival at the hotel they said they hadn't had the confirmation from my agent so wanted me to pay - despite the fact they were holding a room for me?!Upon arrival in the room, three things struck me. 1) The room was tiny 2) I had a view of the...air con pipes and 3) The window wouldn't shut so I had a draft coming through all night.Having said that, the room seemed fairly modern and on a very positive note, free wi-fi is provided throughout - this is now the deciding factor for me when choosing a hotel. The television was a small portable in the corner, on a shelf about half way up the wall.Overall, not a hotel I would return to - it was ok - but felt more like a B&amp;B rather than a plush international hotel chain.	
Jan 25 2008 	Good London hotel	Booked a single room + breakfast (£90) through alpha rooms but was upgraded to a double when I arrived without asking. Good, contemporary feel to the hotel and all staff were poilte and helpful. Room was a good size (although I'd recommend asking for a room at the back to avoid traffic noise) and had hairdryer, iron, bathrobe and good sized bathroom. The bar is stylish and relaxed and I didn't feel uncomfortable having a drink in there on my own with a good book. Breakfast was buffet style with a good selection of options. The location is excellent - 30 seconds walk from Warren St tube and 2 stops from Leicester Square. As a single traveller in London for business I'd definitely stay again.	
Jan 21 2008	Cool down the Radisson!	My husband and I stayed at the hotel last weekend January 18th to 20th. Terrific location for shopping, theatre etc. all within walking distance. Also located adjacent to the Warren Street Tube Station. Particularly convenient for Stansted airport as the Tottenham Hale stop which the Stansted Express makes is also on the tube line for Warren Street. The staff are friendly and helpful. Breakfast was a very nice buffet with lots of fresh fruit. Rooms are well designed.Some snags were the heat of the hotel - it was very very warm. Our bedroom though it had air- conditioning it did not work properly. WIndows could be opened but the noise from the hotel equipment outside was too much and they could not be left open. This resulted in our sleeping poorly. On one of the mornings the water from the shower was tepid rather than pleasantly hot. Touch ups in decor needed in some areas. Overall good value.	
Jan 21 2008 	Very disappointed	Stayed for 2 nights we had requested adjacent rooms as we had teenagers in one. I rang twice to make sure they could do this and both times was told it was sorted and in place. We checked in on-line and when we arrived they had no confirmation of our on-line check in and they had no adjacent rooms for us.The staff were very unhelpful and the rooms poor to say the least we would rate the hotel as 2star only. The third bed in our room was a very cheap sofa bed totally uncomfortable even for a child.The furnishings were very worn and we had a view over the garbage area!.The breakfast was ok but again service was poor, we requested a table for 9 persons and the staff said they could not do that so we had to sit seperately for breakfast.We will not be returning to this hotel or any other raddisson hotel after our experience with this one.	
Jan 20 2008 	Excellent Location - Nice hotel	Stayed here on business for one night. Had stayed here previously and the location; on Tottenham Court Rd, and less than a minutes walk from Warren St Tube station is just excellent. Room was a little small, although for a Central London hotel not unusually so, well appointed and clean. Bed was comfortable and bathroom spotless, nice fixtures and fittings and a wonderfully powerful shower My only complaint is that because I was catching an early train I could not take advantage of any breakfast - which my company had paid for. As a business hotel, I found it strange I could get no breakfast before 7am - I had to catch a train from St Pancras at 7.30 and therefore could not have the excellent breakfast I know this hotel provides. However, the accomodation and location is very good	
Dec 13 2007 	A Superb Hotel	Only spent one night at this hotel - more the pity! I was attending a conference the following day at the hotel.This is probably the best &quot;smaller&quot; hotel I have stayed in.Everything, and I mean everything, was absolutely superb.The staff - WOW! They know the meaning of the word service and seem proud to practice their craft.As a smoker, I was banished to the top floor and therefore had a smaller than normal room but it was a double and there was more than enough room for two people.My room was spotlessly clean, the beds comfortable and the room well equipped.The location is perfect for tourists.Highly recommended.	
Dec 6 2007 	Nice Stay at the Grafton London	I booked the room a day before my travel, and while I've read mixed reviews on this site, I decided to give it a go since I am trying to expand my list of tried-and-tested hotels in London where I visit once every 6-8 weeks.Check in staff Louis was very helpful even though there seemed to be a mistake with my pre-paid room but the hotel system did not pick it up and I had to pay again. They promised a prompt refund yesterday and hopefully the problem is being taken care of.From London Paddington station, I took a taxi for about 10 pounds (depending on traffic and the route driver takes, it could cost less than that) which landed me right in front of the hotel on Tottenham Court Road. If you are on a budget, the tube station right next to the hotel is Warren Street station, which is also close to Euston train station if you are coming into that station by train. The Goode Street station is about one block away, so overall, you are flanked by convenient public transportation which is very important during this time of the year where taxis are hard to come by on a weekend (I was there on a Saturday, taxis were non-exixtent in the evening!).Due to problems with a previous stay in the same hotel chain, I was given an upgrade to a King Deluxe. The room is very attic-like which is adorable. It's very clean and very spacious, and the bathroom has a heated towel rack (good for the winter months).My only issue with the bathroom was the weak shower, probably designed to prevent a mess due to the half glass shower &quot;curtain.&quot;I paid a few pounds extra to include breakfast in my package and had a nice breakfast the next day. Restaurant staff were very attentive and helpful - a wonderful experience.The location is excellent if you want easy access to Oxford Street and Covent Garden as those are about 5-8 blocks away. Alternatively, the tube is always a good alternative to walking if the weather is too wet or cold. I walked to Oxford Street and took the tube back to hotel when the legs got too tired.There are plenty of food choices, and there are three major supermarkets nearby (Sainsbury across the street, Tesco next door and Marks &amp; Spencer a few blocks away).Overall, I'd definitely go back to this hotel again, it was an enjoable stay in an ultra convenient location and easy access to public transportation or by walking around town.	
Dec 4 2007 	Great stay at a nice hotel	Just back from a 1 night stay at this hotel &amp; would definitely recommend. Nice big room for three with air con &amp; a window to open (which I prefer). Very friendly staff and also very helpful. Concierge couldn't do enough - getting taxis &amp; giving advice. Breakfast room was extremely busy but we were advised about this - really tasty food too.	
Nov 29 2007 	well located city hotel	I stopped off last minute at this hotel and picked it mainly for convenience and location. It's quite expensive; but in comparison to london it's about average. The room was moderate in size; the bed was huge and very comfortable; and had thick dark curtains that really blocked out the noise and light from Tottenham Court Road outside. I didn't eat at the hotel; though they had a very good room service menu and restuarant facilities. There are plenty of eateries in the location. The reception area was quite odd with several desks as opposed to one main desk. The bathroom was marble lined and though small was adequate with plenty of towels and toiletries. The hotel is located right next to Warren Street tube on the Victoria line and Eustin train station is only a 5 min walk away. All in all a well located and smart hotel; that primarily caters to the buisness market. It's well decorated and located and would be ideal for the buisness traveller wanting a smart stylish london stoppover.	
Nov 27 2007	Not Great!	Stayed one night on businessGood points - Location and wi-fi included in the price. Bad points - The quality of the hotel does not match its price point. For £177 a night I do not expect wooden panels to fall off furniture in the room when you merely brush past them nor did i anticipate the shower handle to come off in my hand. Generally felt the hotel was a bit grubby. Hotel room and particularly the bathroom was quite unclean (I wont go into details!). A personal gripe - To operate the lift you need to swipe your entry key. Reminded me of a travelodge not a 4 star business hotel in London!All in all I guess it would be worth it only if you could get it for a cheap price.	
Nov 9 2007 	not as bad as expected	my wife booked this hotel as a suprise treat i had read the reviews and was dreading going however not all of the reviews gave this hotel any justice first of all check in was terrible as described three desks no system and the room was not ready after a short wait along with a lot of other people the room was small but well equipt (room 326) breakfast was ok not over crowded as other travellers had described overall just an average hotel have stayed in better	
Oct 29 2007 	Better than I thought	I stayed at the Radisson Edwardian Grafton in the middle of October for 7 nights. I had originally booked online a standard two twin beds room since that was the only thing available but was given a double room on the second floor upon check-in. Check-in took a long time because there were so many people. The hotel rate was high due to the weak dollar but the location was excellent for everything I had planned. The hotel was only steps away from the nearest Tube station (Warren Street), there were two markets nearby (one across the street), and lots of restaurants nearby. After reading all the reviews I was afraid my room would be similar to a standard Japanese-sized hotel room but I was pleasantly surprised at the decent size. The bathroom was a decent size too and the door opened outwards. I’ve had problems with the water leaking onto the floor when taking a shower with only a half glass for the tub but didn’t have any this time. I opened my windows frequently since the heating seemed to be higher than normal even if I set the heater to a low temperature. The wireless Internet didn’t work for 1.5 days and we were allowed to use the business center for free. No one was ever in the center when I needed to use the computers (there were at least 6 and a printer available). Exchanging currency in the hotel is convenient but can be slow at times and the rate with commission deduction is terrible. I didn’t have breakfast since it was expensive (16.50 pounds). It was easier picking up coffee and breakfast at the nearby coffee places (EAT, Pret Manger, Caffe Nero).	
Oct 29 2007 	Not as bad as people make out but could do better	I did not want to stay here after reading review but my partner said we should give it a go and we got good rates. On checking in we were greeted by pleasant reception staff and given a free upgrade to a king size room 516. The room was a good size with a small sofa in it. The room is was ok however attention to detail was lacking, the window handle was broken, the television was coming apart, the shelf next to the bed was loose etc. I think the hotel has the potential to be really good I just think they need a good management team there who have an attention to detail. I enjoyed the stay there the free wireless is good if not a little stuborn. One more thing they are not very safetly conscious the door to the lift machine room was always open which led to the roof and the linen doors were always open on our floor. Come on Raddison head office get some decent attentive managers in there and support what seem nice staff.	
Oct 25 2007 	Avoid at all costs!!	Booked this hotel as it was close to meeting place near Regents Park.Specifically requested a room with a large desk and was allocated a small desk to work on, moved after considerable protesting. Room service took longer than 40 minutes to arrive on the first night. Breakfast selection mediocre, expensive and poor in comparison to offerings at Hilton and Marriott. Requested a bath plug from housekeeping on the final night only to be advised that these were nolonger supplied to guests due to the risk of overflowing baths? This hotel clearly lacks leadership and should be avoided at all costs, especially if you want to take a bath!	
Oct 21 2007 	Very Expensive for room facilities	The location is fine right next to the metro, but the hotel is very expensive - even for London rates - considering the size of the room.I had a very small room but it was clean.	
Oct 21 2007	Surely better places to stay for the amount charged	Firstly the positives. Excellent location. Free wifi access (which other hotels still charge for).The negatives. Small room and a very uncomfortable single bed (when i booked i was asked to select and selected a twin room - i really wasnt expecting a single bed otherwise i would have booked a double room). I stayed 2 nights and my friend one night. On check in i was asked about complimentary newspapers. What i didnt realise that that would result in one of us getting a paper (not me!) and one not...and no paper on a sunday. The breakfast is ok but far too expensive at nearly £17.Fire alarm late on saturday night and early sunday morning (8am) - thankfully not evacuated but unnerving nevertheless.Decided to use gym..l love it when they boast of a fitness centre but then it turns out to be a poky room in the basement with old equipment (one of the bikes was broken).A word of warning for the UK visitor booking via the website the price booked dosnt include VAT which i think is a little naughty and probably makes you feel you are getting more of a bargain than you are - and of course it means tis hotel comes up in searches by price at a rate it really shouldn't.Staff were fine on the whole but not overly welcoming or friendly i found.I wonder if the hotel reads these reviews and acts on some of the more general and persistent complaints. Last time i stayed in the premier travel inn at Euston and i thought this experience would be nicer as i was paying more - i was wrong! As i say there is surely somewhere better for the price. Decidedly average	
Oct 8 2007 	Great for a budget business trip!	After reading the mixed reviews about this hotel, I was rather concerned. However, I was pleasantly surprised.Generally :I was happy with this hotel and would defietly stay here again. Excellent central location, clean and functional. You wouldn't expect to spend many hours in the room; after all, you are in London!Detailed :I've just returned from a two night break (Saturday and Sunday) at the Radisson Edwardian Grafton Hotel. I made the booking through [--]. It was labelled as a 'Top Secret Hotel', so I couldn't see what I'd booked until I'd paid. I paid a total of £120 for one single room for two nights, room only. I though this was excellent value for money, given it's location in London.The location was great. Warren Street tube station was located right next to the hotel. Just one tube stop away from Euston. Warren Street tube is on two main line tube routes, so getting about was exceptionally easy.Check In was a bit slow. The majority of staff appeared to be foreign. I was a bit surprised when the staff asked to see my passport, as they thought I was foreign because I was speaking with my work colleage in Welsh!! So, as I am sure you can appreciate, I was slightly annoyed with them.The room was small, but modern and practical. My room was 126, which was on the first floor. The room had everything you needed :- Single cupboard containing a trouser press, hangers, iron, ironing board- Single bed- TV with a selection of channels- Practical desk- Phone- Hair dryer- Mini Bar (beware, you will be charged for moving the drinks)- Digital Safe- Tea / Coffee making facilitiesThe room also had a Shower Room. This room was very compact, but also very functional. A decent sized shower with excellent water pressure. Some may say that the toilet was located in a position which larger people may have difficulty in reaching. I am a size 10, 5'8&quot; tall and I had no problems.From reading the information file in the room, I noted that the hotel offered a 'Shoe Polish' service. You could place your shoes in the appropriate bag outside your room before 1am and they would be returned by 6.30am having been polished. I took advantage of this free service.Upon leaving the hotel and checking out, we were able to leave our luggage in reception until we were ready to leave for the train.My only complaint about the room, was that it was located facing a very busy road, so if you are a light sleeper, beware of this. The road was busy throughout the night. My colleague had a room on the fourth floor where he found much less noise problems.	
Oct 6 2007	Couldn't order room service because "the chef had decided to leave early today".	Firstly the reception staff weren't friendly. My room was tiny. Carpets &amp; Bedsheets were stained. Couldn't order room service because &quot;the chef had decided to leave early today&quot;. Won't be back there again!	
Oct 4 2007	disappointing	I stayed here for a conference in central London. Although the location was very convenient, being just outside Warren Street tube station, the hotel was less than I expected. The paintwork in my bathroom was (an executive deluxe room) was yellow, and was in desparate need of a new lick of paint, the TV was a tiny 16&quot; old CRT model, and the safe kept refusing to open, necessitating daily trips to my room from the hotel manager on duty.The food at the bar was really nice, though. I had a very fresh smoked salmon on a toasted bagel and the gym was petit but functional with three treadmills, a few free weights and a machine which functioned as a general all body toner.I would only stay here again if I really needed to stay within walking distance to the conference venue that I was at previously. I originally wanted to stay at the Mal Maison in London, but that was fully booked, so I stayed at a four star close to the venue. Next time, I'll stick to the Mal Maison and book earlier!	
Oct 1 2007 	Terrible Value For Money	The hotel is in a good location. Warren St. tube is 100m away. Euston Square and Euston are two minutes walk (come out of the stations, turn right, turn left at Tottenham Crt. Rd). There is a pharmacy, two shops and a McDonalds in stone throwing distance.My room was 426, a single. It was very small but I could deal with that. The biggest problem was that the bathroom was tiny. You must be limber to access the toilet as it is wedged under the sink. This room is not suitable for the elderly or anyone who is not quite flexible.The room faces the street which is a little noisy, but you have to expect that. It has a double window which helps. Perhaps you should ask for a room on the upper floor at the back.First night, like another reviewer, I found my hand towel had some disturbing stains. I just told myself it was rust. Thankfully it was replaced the following day.The room was quite dusty and the carpet hadn't seen a vacuum for quite some time. The TV was small, old, and had few channels.The second morning a cleaner decided to enter my room at 8am. I suppose I should have put the &quot;do not disturb&quot; light on, but I though that the newspaper lying untouched outside my door should have given her a hint I wasn't up yet.Believe it or not, breakfast is not included in the £80 rate. It costs E24!!! 24 euro for a tiny bowl of fruit, two slices of bread and a coffee. It is criminal.Make sure you check your bill. They tried to charge me £10 for a mini-bar I never touched. There was also another strange charge on my bill marked as &quot;lounge&quot;. This was separate to what I actually spent in the bar, so my best guess is it is a stealth service fee.A two night stay ended up costing me E380. I don't care that it's London, that is terrible value for money. I recommend you only go here using the company's expense account.	
Sep 14 2007 	Not as good as it should be!	The staff at the check-in desk spoke very poor English and I struggled to get them to understand what I was saying - they were very polite though. The location is great - very handy for Euston Station. The single rooms are tiny - beware! The family rooms are super though, although the Aircon is not very effective and there were no side lights in the room - it was the main light or nothing: most odd! The tea / coffee they offered was laughable - no way was that enough for a family! The corridoors are very narrow and the hotel was hot despite the outside temperatures being average. Breakfast was a total scrum - the queues were unbeliveable and apparently this is normal! The hot food was poor - cold and not very tasty at all. Their hotel room capacity far outweighs the dinning capacity. Drinks were of course very expensive. All in all, not bad but it could do better!	
Aug 20 2007 	Central Location	We stayed here for two nights mid August. The hotel is well located next to Warren St tube station or 15 min walk to Oxford St.The hotel was smart and clean and reasonably priced, the rooms are not overly large but are modern. The only really bad point was that we had booked directly with the hotel, but when we checked in they had the wrong prices on the computer. We spoke to three different members of staff about it and none of them wanted to sort it out, so we had to end up ringing the hotel bookings from reception to get this cleared up. The staff were not helpful and quite rude on reception. Also there can be loud traffic noise during the night.	
