	Great hotel quiet location ideal for weekend away!	We stayed at the Apex for a weekend in November based on the reviews from this site. We were not disappointed. We stayed in a King Deluxe room on the first floor and the room was HUGE! The bathroom had a large bath and a walk in shower.My only gripe was that the pillows were terrible! The standard ones are feather so I would suggest ordering extra or foam ones for a more comfortable night.The room was VERY quiet for London as we could only hear the wind in the trees of the small square opposite our window. It is within 3 minutes walk of Tower Hill tube station, which will take you to Embankment which is only a 5 minute walk from Leicester Square etc. Ideal for Tower of London as it is just across the road. We didn't have any food in the hotel as there was a pub just around the block that did full English breakfasts for £3.99 which was OK for us. There is also a pizza place, noodle bar and various other eateries within a 5 minute walk. I would also suggest walking over Tower Bridge and walking towards London Bridger on the South Bank as there were a multitude of places there.All in all a fab weekend at a fab price.	
Feb 9 2009 	Bad	This hotel is made for people who are in London for business and who are unlikely have time to enjoy the room. The rooms have a size of prison window. They are dark. No view whatsoever. The bathrooms are below average. I only booked it because I tried their sister in Dundee (which was nothing like this) so certainly would not recommend the London one.	
Feb 9 2009	Location not great but okay!	Rooms were clean, modern with hair dryer, iron which was good. There was a CD/DVD player if you wanted to bring music. We couldnt figure out the air conditioning so we were cold the whole time which was not good as it was snowing outside so we wanted to come in to a cosy room. There was a power shower but the water was never hot it was only tepid! We informed the reception of this on departure and they said that there was a safety button on the shower. I could not see this and I was sorry I had waited until we left to mention anything because cold showers were not pleasant. The hotel is located in the financial district and everything closes on saturday and sunday, there was no shops, pubs etc open so you had to go on the tube to see any signs of life. Liverpool Station is approx a 20 minute walk away which isnt too bad. I like this hotel, no major complaints. If I was to return to London I would stay somewhere more central (ie somewhere on the Central line) Staying in this hotel meant we were getting taxis alot.	
Feb 5 2009 	Nice Hotel Poor Service	We booked this hotel on 1800 Hotel and got a great price for two nights B&amp;B. Then my husband upgraded our room before arrival to a deluxe room for an extra 120 pounds. The Hotel is right beside the underground station, right hand side of the station, about a two minute walk down a lovely side street. The hotel is very modern and clean, our room was lovely on the third floor looking out the front, it was a large room with a big flat screen TV and couch area, nice bathroom and big shower.The breakfast was disappointing though, we thought when we upgraded that we would get a full cooked breakfast but we only got the continental breakfast which was just OK. The service in the restaurant was very slow, and I had to ask for tea and toast three times one morning. The day we were leaving the weather was terrible, very heavy snow and the Airport was closed. We asked for a rate to stay another night and was told they wanted another 250 pounds for one night in a standard room, well we stayed in another hotel near the Airport for 54 pounds which was great.I did like this hotel, room was lovely but the service was not great, it is very handy for the underground station and to walk along the Thames River.	
Feb 2 2009 	Lovely Hotel breakfast rip off	We stayed here from Friday 23rd til Sunday 25th January. Was really impressed with the hotel, the room was lovely, small...but then we didn't come to London to stay in the room. Bathroom lovely and immaculately clean.On check in, our rates were confirmed, and we decided to pay for one morning's breakfast (as I fancied an old school greasy spoon for the sunday morning). Big mistake. For £15 it really was a joke. The continental breakfast was really disappointing. Choice of cereals almost non existant, only bread, no croissants, and a tray of ham and cheese. The cooked part was ok, but very greasy and included the strangest tasting black pudding i've ever had!The hotel is amazingly quiet for being in the centre of London, beds really comfy so we had 2 nights of wonderful sleep! Really close to tube stations and bus stops.On check out, our bill was a lot more than was quoted to us on check in. The difference in room rates was explained as VAT charges, but strangely the VAT had clearly been added under each night. The receptionist, as polite as she was, was foreign and it was difficult for her to understand us and vice versa. After a lot of to-ing and fro-ing and us refusing to pay a higher charge, they eventually relented and charged us the proper rate.Also, they will preapprove your credit card for hidden extras. Hubby didn't mind this as we had no intention of charging anything to the room, but if you don't have too much left on your credit card it will decline. I had a problem with this as feel it is unfair, if they do not want anything charged to the room it should be clearly marked on your account.All in all, would stay here again, perfect location and lovely hotel, but I would definitely NOT pay for breakfast again, there is so much nearby a lot cheaper and probably a lot nicer!	
Feb 1 2009 	Good Hotel	First time staying at this hotel, usually stay at the London Bridge Hotel,but fancied a change. So glad we did! Room was large with a sofa which made it more pleasant to watch tv. The bathroom was a good size. Everything was very clean and comfortable. We got a good deal through Alpha rooms, which included continental breakfast - which was more than adequate. Dining room very pleasant. The tube station is literally a 5 minute walk away. Overall a good experience. We will definitely return!	
Feb 1 2009 	My new favourite hotel	I stayed in Apex City of London hotel on Friday night and it was by far the best hotel Ive ever stayed in. The staff were lovely, especially the receptionist, I think her name was Kasia. Every staff member was always smiling and very helpful. I got an upgrade to a lovely room, which was spotless, and had an amazing bathroom, with a huge bath and walk in shower. The little rubber duck on the bath was also a lovely addition, even though it didnt float. I ordered a burger and chips from the roomservice menu which was delicious. I cant wait to come back with my boyfriend and stay for a longer trip. Definatley worth a visit. One piece of advise though, if you are getting the underground, I think it says on the website that you can use Aldgate station or Tower Hill, but its much easier by Tower Hill	
Jan 27 2009 	Good hotel but...	This is a very nice hotel located next to the Tower of London. Quiet location, central to the city, but not the West End or shopping. Nice area across the river (Shad Thames) for dinner at night. The hotel is priceworthy and nice, but breakfast is not included and is NOT worth the £15 they charge. They heartily recommended the breakfast so we took it. Disappointment... We came to the breakfastroom 20 minutes before closing and had to wait 10 minutes for a table. Don't know why, there were many free tables, but we were told to wait by a rather stressed out waiter. There was hardly anyting left, not even bread. We asked for more bread, and the waiter just looked at us.... So not worth the money when you know what kind of breakfast £15 buys you in London...Otherwise the hotel seemed clean and nice enough. We had an upgraded room and that was nice. Upon arrival they had not put an extra bed in our room as requested in two e-mails (Ibrought copies of mails, have had bad experience before...)That delayed our check-in and they tried to have us pay for upgrade to larger room to accomodate us, but then upgraded for free which was appreciated.All in all, very nice but not perfect.	
Jan 21 2009 	Our Second Stay at the Apex	This was our second stay at the Apex.Again, our room was lovely - however slightly smaller than the first room we had. Good spacious bathroom, with separate bath &amp; walk in shower. Our only dissapointment was the breakfast...It was my other half's Birthday, so I treated him to Breakfast. Not impressed by the service...I ordered what was on the menu as Belgian Waffle(S) with Banana and Cream, and the other half ordered Porridge with Blueberries &amp; Maple Syrup. We were bought out A Waffle (singular) and Pancakes? By the time that thecorrec dish - Porridge - was bought out I had finished my Waffle. For the cost of the Breakfast - even on London prices - I was extremely dissapointed and felt ripped off, as the waffle was definately not made in house but bought from a supermarket.We made a complaint on check out the General Manager, which was resolved to our satisfaction.One tip would be to get breakfast outside of the hotel.... Even for london prices its very expensive - especially when there is a Wetherspoons a stones throw away! At least there you pay for and expect things to be just microwaved/re-heated! I must admit that the evening and lunch menu did look good so would be willing to give those a try on our next visit.I have also booked the hotel for my parents Anniversary later on in the year, so can only hope that the hotel will continue to deliver the hight standards that I have passed onto them!	
Jan 20 2009 	Wonderful Hotel	My husband and I stayed at the Apex City of London for one night after a day's Christmas shopping. The room was beautiful and the staff were so helpful. Breakfast was first class and once again all members of staff were so attentive. We cannot wait to stay again.Vanda and Clive Jones	
Jan 11 2009 	Lovely modern hotel great quiet location.	We stayed here on NY Eve, with some friends also in the room next door. We booked cheapest rooms, but were upgraded on arrival. It was only the next level up and the room wasn't big, but the bed was a lovely King Size with a huge 37 inch LCD TV at the botoom. Room was very quiet, if a little dark unless you angled the bed-side lights, but we didn't worry about this too much.Hotel is in a nice quiet location close to The City, and close to Tower Hill Tube. I would imagine it gets very busy in the week, but on NY Eve everywhere nearby was closed save for the odd pub. It didn't matter as were off elsewhere for NY celebrations.Upon check out we thought our rate was £119 inclusive, but the rate advertised was ex VAT so beware of this. Perhaps our mistake but we expected £119. Anyway all in all it was a great hotel, with no problems to report, other than we couldn't get hot water for a bath at 5pm, but shower was hot, weird one that.Will stay again, in fact we are planning a return for Dec 31 2009 already.	
Jan 5 2009 	Cold but good hotel	Basically it is a good hotel for the money you pay; about 83 pounds per night (booked in august 2008) Stayed 2 nights, in two different rooms. In addition, 1 pound = 1 euro at the moment, extra advantage!As the other reviewers were saying the staff is ok, the location is very good, clean spacious rooms and nice gym etc. We didnt take the breakfast because of the high cost, just walk down towards saint pauls cathedral and numerous places can be found to grab a nice sandwich for a few pounds. The hotel has a few flaws. In the bathrooms several items were not properly mounted on the wall. Also no heating in the bathroom. Unfortunately the heating system was broken on the 6th floor and our first night was therefore a bit cold. We complained several times at the front desk and got another room (upgrade), which was ok. In conclusion, we had a great time!	
Jan 3 2009 	A bit upset	I really enjoyed to stay here over the christmas holiday, the staff was kind and mostly very helpful (except when housekeeping took one of our keycards from our room). The linen were really noisy, so you couldn't turn i bed without waking up the person next to you (weird problem, I know). Beds were a bit hard, and the air condition was on the fritz, it was nowhere near 25 degrees in our room (more like 19-20). Nice room, spacious minifridge and bathroom. As usual, we got a view facing an alley... Our room was located very near the elevators, so we could hear the voice coming from there every time the doors opened. Well equipped gym!Located very close to the Tower Hill underground station, so you won't find a better hotel at this price anywhere this central.The thing that really bothers me, is that they reserved the cost of the stay at my creditcard, without saying they did so! This means that they reserved 400 pounds on my creditcard, even though I payed in cash the very next day! I payed on december 23rd, and I STILL haven't gotten my money back! I am in dire need of that money, but the hotel has totally ignored my e-mail about it.I can understand that they want to reserve the amount for safety reasons, but they should tell you about it - and inform you that you might not get your reserved money back in a couple of weeks!If you're staying - don't pay in cash if you need your money. Other than that, it's a nice hotel.	
Jan 2 2009 	Great Hotel	This is an excellent hotel which is about a 2 minute walk from Tower Hill tube station.It's a short walk from the tower of london and plenty of bars and restaurants in the near viscinity.Room was excellent - large shower and bath, also a large bed with a sofa and flatscreen tv. Bottles of water left in the room each morning and tea making facilities topped up.The only reason i've given it 4 stars instead of 5 was due our double bed being 2 singles joined together and problems with the air con in the room. Apart from those minor problems it was excellent.We ate breakfast aroung the corner in the wetherspoons pub as it was £15 for breakfast in the hotel,there is also a gym in the hotel which looked well equipped.Other plus points were the dvd player in the room and free rental service of about 200 dvd's,also the staff were very helpful and kept our bags till the afternoon after we had checked out.	
Jan 2 2009 	Lovely modern hotel	Stayed overnight here as a theatre package for our daughters christmas present and was pleasantly surprised it was a lovely clean modern hotel near to the Tower of london with easy access to the underground. Our rooms were nice and had the most comfortable bed we have ever slept in! No views out of the windows though just buildings and offices but other than that it was great. Staff were very helpful and couldn't fault the breakfast, delicious!	
Jan 1 2009 	Lovely hotel	My daughter and I booked this hotel onroute to spend time with my family at Christmas,i thought it would be rather expensive but was very surprised when i paid an absolute bargain online and got breakfast included!The hotel was in a great location,as was catching train from Fenchurch Street station(just 5 mins away!),plus right on top of Tower bridge,so made a nice place for a little walk and visit.My daughter was very excited about the hotel when we arrived and even more so the room(well i was too!).The hotel looked stunning in all its festive lights and trees,the staff at the reception were lovely and we was even offered help with our bags to our room,very nice!We had booked a City room,we had a large kingsized bed and large walk-in powershower/bath,all modcons,coffee,tea etc,cute little toilitries and the duck of course!We even had a dvd player and you could hire films for a hire charge(which would be reimbursed to you when you returned the dvd).The room was rather warm and you couldnt open the windows,but there was air conditioning which you could change to suit you.Our breakfast was included in the price and there was a great choice,continental or full breakfast,with pastries,fruit etc,anything you wanted!The staff in the restaurant were very attentive and anything you asked for was got for you!Right now,i only have a couple of things which i wasnt too happy about(although these things wouldnt put me off staying there on another occasion),these were the room at nightime,i had asked for the quietest room possible(as my daughter and i are light sleepers),but was put in a room at the front of the hotel and was told the traffic wasnt noisy,but it was!I would have liked to have opened the window,but the noise would have been worse,so glad i couldnt!The other thing was just one thing at breakfast,although it was tasty and a fab choice,i wouldnt ask for scrambled egg again,as it was the oddest i had ever seen or tasted!It was orange and sloppy,so left that!So if you are thinking of staying at the Apex City Hotel London,then if you can get a bargain or its just a treat,then go ahead,you wont be disappointed!Hope this helps...	
Dec 29 2008 	Great Hotel	Lovely hotel, staff great. Loved the decor and the rooms. Found it quite strange you had to ask staff to open the windows for you, but overall, hotel was great.	
Dec 29 2008 	Loved the Apex hotel	i thought i should write a review about this hotel.When we arrived early morning the room was not available but we wee able to leave our luggage in a room and they took my mobile number and text me when the room was available.So when we went back to the hotel after the text we were given room 316 on the third floor i booked a deluxe king room witch is three up from the basic room, it was huge had a massive bed and a sofa area with a huge plasma TV. Room came with bathrobes, toiletries and slippers, as well as a Nespreso maker.We were given complimentary drinks voucher each and a box of chocloates too - and of course the rubber duck in teh bathroom!the hotel is about 5 mins from Tower Hill station and about 5 mins from two pubs although we did not use them.Our rate included brwakfast and we were entitled to continental including cerials, jams, bread, pastries, fruit etc and also a full english! very tasty!overall this is a truley wonderfull hotel located in a good and convienent location and would i reccommend it to my friends - YOU BET I WOULD!	
Dec 15 2008 	Another excellent review	I would like to add my own brief contribution to what seems to be a long list of 'satisfied customers' following a stay at the Apex City of London for a 'birthday break ' with my wife 12-14th December 2008. Your previous reviewers have commented on the high quality of the surroundings, decor etc which we endorse, but for us , the key feature of our stay was the genuine courtesy and high standard of service shown by all staff at all levels. Without being patronising or obsequious the management and staff were clearly committed to looking after the welfare of the guests. Thank you.	
Dec 14 2008 	Fab fab fab!!!	The Apex is in a fantastic location for local attractions and transport and is a hotel full of modern chic and luxuries. The room was spacious and clean with all the mod cons and treats you could ask for, we didn't ask for the rubber duck but it went down well anyway!!! Warm, comfortable and relaxing, this is by far the best hotel we have stayed in for a long time. The staff were generally very helpful, even hailing a taxi for us, something we are definitely not accustomed to!! We cannot really grumble about the hotel but lets try!! The only real negative was breakfast. The food was lovely, although no beans, well thats not entirely true, you can have beans but you have to ask!! The staff were the main problem. It probably wasn't intentional but headless chickens springs to mind!!! We did expect more in a hotel of this calibre but were sadly let down on this score and had to beg for cutlery, tea, toast, and other such oddities!!!! Luckily this didn't ruin our trip, we would definitely stay in this or another Apex hotel and although you probably can find cheaper accomodation, you won't find better for the money you will pay here, which is pretty reasonable really for all the added extras. On the whole, loved it!!	
Dec 12 2008	Nice hotel but small rooms	We really like this hotel and got a great weekend deal. It is within walking distance to the Tower of London, Tower Bridge, and Tower tube station. The room was small, but clean. There was a nice bathtub and separate oversized shower.	
Dec 9 2008 	Excellent Hotel	Stayed in this very plush Hotel for the weekend 21st -23rd november 2008 for my daughters 21st .We went to see a show and loads of sight seeing . The Apex was very convenient to the tube and was two minutes from Tower Bridge .The staff were really friendly and hotel was faultless especially the rooms .We also booked breakfast which again was excellent .We had a brilliant weekend mainly due to this hotel and we will be definately booking it again!!!!!!!!Mr J Walmsley	
Dec 5 2008 	Amazing hotel	I love this hotel, the chic decor and comfort of the room was fantastic. Located very close to the metro, makes visiting all the sights very easy. A fabulous find and a fantastic place to stay.	
Dec 4 2008 	Great bedrooms	The room was great. Was a deluxe on top floor. Great views etc. Bathroom looked great but was unheated so a bit too cold. Also the shower leaked on to the bathroom floor. Small problems really. Hotel interior was really well designed and the location was very handy, 2mins from nearest tube stop.	
Dec 2 2008 	Stylish and modern hotel	I stayed here in November 2008. The hotel is on a side street which means it is quiet as it is away from the road traffic. It is ideally placed for tourists (e.g. close to Windsor Castle) and for business people. The hotel is very stylish and modern. Check in was a bit slow. The room was a decent size, modern and clean. The bed was very comfortable. The only problem with the room was that the TV was too big for the size of the room. The comfy settee, which could not be moved, was too close to this large TV. You had to watch the TV from the bed otherwise you ran the risk of getting eye strain. The bathroom was impressive with a bath as well as a separate shower. However there was a smell of damp coming from the shower. The restaurant was bright and airy on the ground floor overlooking the street. I only had breakfast in the restaurant which was good with a reasonable selection. However the cooked breakfast was a bit pricey for a modest portion. Overall a decent and comfortable hotel.	
Nov 30 2008	Great value	Having decided we'd extend our annual shopping trip to London into an overnight stay, I was after somewhere representing good value for money. We got three rooms for myself, my wife and the three children, coming to a total of about £ 400 including breakfast. The rooms are new, clean modern and stylish. This represents terrific value - I should add it was the weekend, but even so very good for London. The location is good, very near Tower Hill tube, with cheap parking in Minories (£10 overnight Saturday to Sunday).The only gripes are that the room was a bit chilly, the minibar was empty (even though there was a price list) and the shower is pretty half hearted. None of this stops it from being great value though.	
Nov 29 2008 	Brilliant would definatley book again	Stayed here fri night, hotel really modern in its interior decoration. Room small with no view but tasteful clean and well decorated, fab bathroom with bath and large walk in shower. Ordered our evening meal to our room on arrival and the food was the best i have ever had from room service. My only gripe was that it took us ages to find the hotel in the dark on foot because the name sign is in letters about four inches high.	
Nov 26 2008 	Love this hotel!	The hotel was beautiful, very modern. The room was nice and comfortable. And the location was great 5 min from the tower of london. Bus stops near by go straight to all the main tourist attractions in london. The staff were excellent so friendly and helpful. Would definately stay again in a different city.	
Nov 26 2008 	A relaxing experience in London	From the moment we arrived we were treated exceptionally well.The reception staff were friendly ,well organised so you felt expected and welcomed. The bedroom was a super size with all ammenities in place a great place to relax after exploring London sights. After a great night's sleep we had one of the best breakfasts we have had in all our trips home and abroad.The yoghurt is to die for and the eggs benedict as good as any I've had in U.S.A.or Canada and all served by friendly attentive staff.The hotel is a haven within the bustle of London.	
Nov 24 2008 	Great value	Stayed just the one Friday night - a last-minute decision to spend a day and a bit in London to visit Borough Market and the Tate Modern. The hotel was excellent in almost all respects and good (by London standards, almost phenomenal) value for money.It's well-situated (my partner's only complaint was that it was surrounded by some atrocious Stalinist bank buildings) and welcoming.We had a room which was more than twice the size of rooms I've been charged twice as much for elsewhere (in London and in other cities). Excellent service from the desk, and clear identification of what cost and what didn't.Only slight issue we had was at breakfast - the service wasn't what it should have been, but it was very clear that the reason was training of brand-new staff, which we consider excusable (particularly given the standards elsewhere).	
Nov 19 2008 	Very disappointed with the Apex	I booked this hotel after reading the great reviews in Tripadvisor and was very much looking forward to it, however I was greatly disappointed with the customer service. We booked a king bed for 2 nights and were given two single mattresses pushed together; I consider this unacceptable for a 4 star hotel. Both the mattresses were different heights so there was an uncomfortable gap in the middle of the bed and the higher mattress would dig into your back while sleeping. Both of us found it uncomfortable to sleep during the whole stay and had completely restless nights. Our other issue concerned the cleaning service. The Apex is not a cheap hotel and the price did not include breakfast, therefore I would expect at least the rooms to be cleaned properly. When we arrived back after a day sightseeing, we discovered that the bed had not been made, all our towels had been taken and none replaced, all the (nearly full) shampoo, conditioner and shower gels had been taken and again not replaced. The toilet paper and shower cap were taken/not replaced. All in all, it appeared as though all they did was change the cups and glasses. We had to ring down for more supplies and were lucky that there was still someone there. When we checked out we nearly missed our reservation for breakfast as it took a very long time. The man at the desk had no idea how to use the credit card machine, or any of the systems. We made a complaint about the above issues and were asked to fill out a complaint form and it would be looked at. We did this but received no answer or acknowledgement. After several days I then went to the hote's website and filled out a feedback form. I gave full details and asked that we be contacted with some response. Again I have not been contacted or acknowledged at all. While this is not the worst thing that could happen in a hotel, I feel that if you book a room and it is not cleaned and you have no rest in it, it seems a complete waste of money. I would have been happy with some response or apology from the hotel, but my biggest gripe is that I have not received a single acknowledgement of my complaint. Customer service is what will bring a customer back time after time, but this hotel is sadly lacking in it.	
Nov 16 2008 	Love this hotel soooo much	I previously stayed here in June 2006 and thought it was one of the best hotels so I rebooked in as I thought highly of it before! The staff attitude: nothing is to much of a bother to them. They are polite, well mannered and would go out their way to help you! We had a deluxe king room and was bigger than what I imagined! We paid a good rate for the hotel, we ae re booked in for 4 weeks time!Its in a great location ... to catch tube, buses and the thames clipper which I highly recommend rather than tube as you get to see some sites of london. (which was recommended by a MET officier!) I love this hotel... roll on 4 weeks!	
Nov 14 2008 	Great for business travellers	Quick check in, easy to get into room. For a London hotel, in the centre, the room was a good size. The bathroom was huge for the UK, with a large shower and a separate bath. The shower was a power shower - the first in the UK? What bliss!!!Room nicely decorated but in business neutral style, not the stuff that memories are made of. Comfy bed. Didn't like the pillows. Location a bit empty at the weekend, but easy to get to livelier places and there was an excellent Italian (no pizza) within walking distance.Excellent, if I needed to be on that side of London, would book again immediately.	
Nov 13 2008 	Lovely hotel	Had a brand new room, in the brand new wing of the hotel. The room was clean, as it should be, being it was brand new, and was quite comfortable. The TV was at kind of a strange angle to the bed, but wasn't that much of a concern. The bathtub was huge, but unfortunately could not get water hot enough for a bath - although the shower was hot. Room service was prompt and prices were reasonable. Located just steps away from Tower Bridge tube station. Great location for a business trip, but might not recommend for someone vacationing in London.	
Nov 12 2008 	Well located fair price	Well located, close to London Tower, a bit far from tourist center (45' walking, which in fact is nothing!).Staff very very friendly, helping us in any moment.The room was confortable and very clear. It's a fair price for quality received, which is not very common in London!.	
Nov 12 2008 	Excellent Value for London	My wife and I stayed at the Apex in October whilst visiting our daughter. At £115 per night the hotel was extremely good value by London standards. In a very pleasant location near the Tower of London and St Katharine Dock the hotel is convenient for many of the more interesting London's sights and only a short Tube trip to the West End. Our room was a good size with a very large modern bathroom, a sofa and a good quality TV/CD/DVD set up. Unusually for London there was very little traffic noise as the hotel is situated in a quiet side street. We would definitely recommend this and we have booked it again for our next visit.	
Nov 10 2008 	Very Nice But Over Priced	A very nice hotel, great location, nice rooms with loads of rooms, however makesure you get a room with a view! I only stayed for one night and had to make time to see the local attactions of London Bridge and Tower of London, both within 5 minuets walk, the only let down was the price of (GBP) £230.00 per night, but you do have to pay for a good hotel in London.Will I stay there again, probably not unless I win the lottery!	
Nov 3 2008 	Great hotel	We were looking for a reasonably priced hotel that was in a good location and we delighted with the Apex! About a 3 minute walk from Tower Hill tube station we found the Apex. We arrived quite early and were able to check in and leave our bags before heading off exploring for the day. All the staff we encountered during our stay were friendly and efficient. We had previously stayed in the Holiday Inn Express in Southwark and paid much the same price for the Apex but the difference in standards was huge. The hotel is bright and modern with super kingsize beds and fabulous showers! We didn't spend a lot of time at the hotel as we were out and about all the time but the hotel would suit those who want to hang around a bit more as the bar and restaurant areas are very inviting. There is also a gym for those feeling energetic. We had a continental breakfast included in our rate and this was very substantial with cereals, breads, pastries, fresh fruits, meats and cheeses on offer. We had a look at the cooked menu and this was substantial offering everything from Kippers, eggs benedict etc to pancakes, french toast and the full english! We didn't sample the restaurant in the evening but it looks good and has excellent reviews. All in all I'd recommend the Apex to anyone looking for a comfortable stay in London. Take time to visit The Hung Drawn and Quartered Pub around the corner. It's pretty quiet around London on Sunday's but we found Wetherspoons down the road to be very welcoming!	
Nov 2 2008 	Luvvely	To get away from things, we decided on a &quot; love weekend&quot; in London. Looking around for good deals, I checked a dozen or so hotels against TripAdvisor and found &quot; The Apex of London&quot;. Great reviews (one of the best in London) and exceptionally low price (130 pounds a night, including breakfast) thru their own website. It is a beautifully designed, crisp and trendy hotel with friendly staff (from all over the world, it seems) and brilliant location. Just a block from Tower Hill Underground Station (on the Circle Line) and two blocks or so away from Fenchurch Street Railway Station you can get to anywhere in London fast and easy (get Travelcard in advance or buy an Oyster card when you arrive; briliant system!!). We flew into London City Airport and we were at the hotel within an hour after touching down (no kidding!!) using the Docklands Light Rail (changing at Limehouse to Fenchurch Street as Tower Gateway was closed). The room - not too big, of course - was impeccably clean, the bathroom (with seperate bath) luxurious, the tv big enough to placate American guests (free DVD's from reception!!) and the bed big and firm with several pillows to choose from. Our Superior room came complete with coffee maker, safe, fridge and ironing board.The staff is international and although not all of them seem fluent in English, they do their best to make your stay pleasant. The breakfast (both English and Continental) is excellent and although we didn't eat at the hotel's resaturant, it was full on saturday night and I'm sure not all were guests of the hotel. The bar - design and lounge music - is laid back and not at all pricey (3. 90 for a pint, 4 quid for a glass of good red wine).Although the City is a ghost town in the weekend (makes for a quiet stay), the hotel is quite close to Spitalfield Market and Brick Lane which are a must-see if you' re into vintage stuff, food from all over the globe, hip people and thousands of stalls selling everything from art and (vintage)clothes to bicycles and used batteries. Brilliant place!!The Apex is also a five minute walk away from the Tower and the Tower Pier where you can catch a River Bus up and down the Thames (west to Waterloo Bridge and east to Greenwich) for a whole lot less than a river cruise! If you like to walk, it takes about 45 minutes to walk along the Thames to the London Eye.All in all a very affordable stay in a luxury hotel with excellent location (if you know how to move about the city). We' ll be coming back.	
Nov 2 2008 	Fab hotel great stay	Stayed at the hotel for one night as needed to find a cheap place to stop in London whilst visiting friends and managed to get a great deal which inc continental breakfast for under £100. Hotel is in the financial area and so its very quiet at the weekend. Lovely room, bit small but would'nt complain, nice bathroom, hotel staff helpful and the continental breakfast was great! Really close to Spitalfields market which I'd recommend to visit on a sunday, all in all would go there again.	
Nov 2 2008	a gem in london	the staff were simply faultless always helpful, smiling and only to happy to give advice or directions. the hotel was very clean, roomy and well furnished. in short I travel quite a bit reference work and I can say I woun't stay anywhere else in london other than the apex. their bigest asset their STAFF	
Oct 31 2008 	50th Birthday surprise!	I booked this hotel solely because of the reviews I had read here on TripAdvisor. The occasion was my husband's 50th Birthday, and I wanted to make sure everything went smoothly.I booked through the hotel website, and added some extras to the stay to add to the weekend.Some things weren't in place when we checked in, but sales manager Scott, really couldn't have done any more to ensure that the rest of our stay was perfect, and for that we are very grateful.About the rooms; ours was a 'deluxe', and very spacious. Climate control quiet and effective. Great bed and pillows, sumptious robes. Quirky little expresso maker in our room was fun and love my Apex duck! (Nice touch). The lighting in this hotel is wonderful, and almost forces you into a relaxed state. The decor is chic and understated. Artwork is good, and if you don't like the COW then you are truly sad!Restaurant food is reasonably priced, brekkie less so, but worth it...Paul the host is charming and welcoming. My husband was off to see the American Football on the first morning and to get into the theme of the day he tried the pancakes, bacon and syrup - said they were great!Any crits? I think maybe some of the reception staff could do with being a little more welcoming, not everyone visiting is a businessman on an expenses account, and a warm greeting makes a lasting impression.Oh, nearly neglected to add, great location, quiet street, 5 minutes from Tower Hill tube, Whitechapel and the famous Jack The Ripper walk close by! Petticoat Lane market 5 mins walk away on a Sunday morning...great!	
Oct 30 2008	Good Location Tiny Rooms	Great location for business trip. All hotels in London are small and expensive. The pictures are a good representation of what you will experience. The place is newer with ok but small rooms. Can't see how two people would share a room of ths size. I like the separate stall shower. Not a great deal of hot water in the morning. Good food for London. BK up at the train station for US travelers. I arrived on a Sunday night and no internet through mid morning Monday. The desk tried to blame this on their &quot;service&quot; and suggested I call them, what BS. A business hotel needs to get the internet working at these rates, even on a Sunday. Good choice overall.	
Oct 29 2008 	Quite Good	The hotel reception and bar look very nice and modern. The room was very nice as well.  It was nice to have a dvd player and plasma screen in the room and also a good hairdryer for once.  The hairdryer proved especially useful since we had the following problems:1) No heating in the bathroom – it was freezing cold. I had the quickest showers ever;2) When using any towel we ended up covered in white fluff and as wet as before…I ended up drying my face with toilet paper and drying the rest with the hairdryer (our friends shared the same problems due to the dodgy towels);The worst part however was breakfast. We just wanted to enjoy a simple English breakfast. Not such a weird request since we were in London. If I had known what a struggle it was going to be, I would have gone down the local pub. We were asked by the person in charge (breakfast room manager perhaps?) about 5 times what our room number was…then he showed us to our table we were just left there with no consideration at all.After about 10 minutes we managed to get on of the waiters’ attention … after being asked about 3 more times what our room number was, he left telling us where the buffet was. The buffet, which was not in the same room we were sitting in, didn’t have the English cooked breakfast food we wanted - it was a cold buffet.He didn't bother telling us that, if we wanted a fry up/toast/tea/coffee, we had to order it from him – so we just waited patiently and finally, another 10 minutes later, we managed to place our order.We asked the breakfast room manager guy to put the bill on our room (by now you would have thought he knew the number by heart). However, when we left the breakfast room he came running after us, waving the bill in the air as if we were trying to do a runner……………NO COMMENT - if you want breakfast just head to Starbucks or to a pub! Surely you will find friendlier and more helpful staff.	
