	Nice hotel - great value	After checking the reviews to try to find something not too expensive in this area, I decided to book the City Hotel. I was not disappointed. Entering our twin-bedded room on the 4th floor I thought I was going to pass out with the heat, but I was able to turn the very efficient radiators down to a comfortable level even though the control knob was very stiff. It was surprisingly spacious, clean and with a nice view of the City lights. The beds were a little small and on the hard side, and I would have preferred duvees rather than sheets and blankets, but still comfortable enough, and reasonably quiet. The bathroom was small, but a surprisingly enjoyable shower for a small non-power-shower rose, so no complaints. I didn't have breakfast, which would have cost an additional £10. Very good value for a City hotel!	
Oct 29 2006 	Good location	Good location. We stayed for 5 nights. Nice big room. Friendli staff free copy of daily newsaper. Breakfast above average served in restaurant. Easy access to the U-ground East-Aldgate just 100m away. From the room we had a view to the &quot;Cucumber-building&quot;. Bricklane or &quot;Bangla-town&quot; is the place to stay if you like authentic and good Indian/Pakistainian food. Nice and plenty restaurants within walking distance. And exiting stores with losts of different curries and spices. Would defnitely stay again. FH, Denmark	
Oct 19 2006 	Complete Dive! Do Not Stay Here	Complete Dump!Cockroaches in the bathroom, the bedlinen was not clean..Carpet was smelly and stained.Spend the extra money and get something better...ITS A DIVE	
Oct 9 2006 	This place is the entrance to Hell	I've stayed in hotels all over the world, in some of the worst cities, but far and away, this hotel ranks right up there with the plague. For starters, they don't have modern computer systems running the place, and when I checked in, they were scrambling to figure out who was staying where mostly with notepads and paper. The staff was not trained, and nothing seemed to function (internet service was down the entire time I was there). When I booked a non-smoking room, they said they couldn't accommodate me (originally). When I told them I was leaving, all of a sudden, a room opened up.DO NOT CHECK LUGGAGE WITH THIS HOTEL. If you're foolish enough to stay in the place, note that their checked luggage room consists of a piece of wire that they place through the handles of the luggage, which is kept OUT IN THE OPEN, IN FRONT OF THE DESK. My laptop was stolen while in their care, and the police said that there's nothing to be done about it. My travel agency (Peak Travel) said the hotel is not liable for it, so I say, fine. HERE'S THE WARNING TO EVERYONE. DO NOT LET YOUR TRAVEL AGENCY BOOK YOU HERE.The hotel is located in a section of London that routinely has police cars going through it, so if you like siren noises and police tape around crime scenes, this place is for you.	
Oct 8 2006 	basic but clean...could do with some TLC	Stayed for 3 nights for the tattoo convention at the Trueman brewery. For us, ideal location. Right by the tube and the convention...also within walking distance of Tower bridge &amp; we even walked by teh river as far as westminster- bit of a hike but nice on a dry day. Also, the hotel was taken over by many other convention goers, so a nice atmosphere.Room very clean but shabby &amp; really needs updating. Adjacent bar/ restaurant The Lane is very popular &amp; contemporary but doesnt match the hotel...if they refurb the hotel in the same vain then its a winner.Only paid £190 for 3 nights which is about right, certainly doesnt command the £150 per night rate as stated in the hotel.First day had to ask for batteries for remote, pillows, glasses and then as the days went by everything we used, i.e soap, tea bags were not replaced &amp; we had to keep asking for refills.Ask for a room at the rear of the hotel as brick lane is VERY busy and noisy. Bins are emptied at night, curry houses never seem to close and constant alarm &amp; car noises. So, a pretty noisy stay.Free breakfast is ok, again if I'd paid £150 per night I'd be kicking off. But if its just cereal, tinned fruit and toast you are after to start your day off then you get exactly that. Times are strict though, come 10am its all been cleared away.Staff are pleasant enough but bit of a clash of culture with regards to customer service as most are Polish or Eastern European...standards of service &amp; what is expected in a hotel seem to differ.All in all, stay was pleasant enough but a paint job &amp; customer service overhaul would be recommended.	
Aug 10 2006 	Stay away if you don't like insects!	On arriving at the hotel we were pleasantly surprised, the reception area was lovely as was the hotel bar. Our room was a decent size with 3 single beds, and although the bathroom was quite small it was an acceptable size. However, as we put our cases on the ground a bug ran out by my feet, then in the bathroom another one. Over the first 2 days there was 6 of these bugs running around the carpet. As there was only 4 hangers in the wardrobe and we were living out of our cases, we had to put the cases up on our beds in case they crawled in. The worst part was on our last day, while brushing my teeth i saw something on the ground in the bathroom....a huge cockroach. The side panel on the bath was falling off and he ran back under that before I could do anything. As it was our last day we didn't bother complaining about the incident, just kept the bathroom door closed and blocked off with a towel. The bugs may have been out in force as the weather was so so hot (approx 28 degrees) but to be honest that didn't make us feel any better! Apart from that the hotel was fine, the staff were friendly and the breakfast was satisfactory also. The hotel is a 10 minute walk from Liverpool Street Station and just around the corner from Aldgate station, so it's not difficult to get around, however if you are looking for something central, this may not be the best choice.	
Jul 13 2006	Affordable helpful and relatively convenient to sites	The City Hotel is a good place to stay at a good price. We booked early 5 months in advanced and paid $160 per night for a quad room for two couples. Generously, they let us check in early by an hour and permitted us to leave our luggage the morning we got in from the airport. They have a helpful, multilingual staff. The Aldgate Easte metro stop is within 3 blocks. They serve a descent breakfast. Be sure to be in before too late. Women should be accompanied after dark, as in any large city. If back in London, I would return to the City Hotel.	
Jul 10 2006	The City Hotel London UK	My hustand and I and our two teenage sons, stayed at the City Hotel on 6/19 and 6/29. The hotel is clean though a bit run down (they are renovating), the front desk staff are helpful though not terribly friendly and we found our accommodations sufficient. If you are staying in this hotel in the summer beware because they do not have any air conditioning. 6/19 was cool so I didn't notice it but when we returned on 6/29 they had the windows opened (no screens) and a dusty fan running. Our room on 6/29 was in the front of the hotel which is terribly noisy with the cars and trucks racing up the road - I had a difficult time falling and staying asleep through the noise. The hotel is in a so-so area. If you take the underground, exit at East Aldgate - its less than a minute walk from the station. We were fine returning in the early evening but I would not have wanted to walk around by myself after dark. While eating breakfast on 6/20 the local police stopped a car and questioned &amp; frisked the three young African American men right outside the hotel dining room window before letting them go. The breakfast they provide was so-so. Cold cereal, various types of juices, what looked to be slices of american cheese and ham, toast, rolls, coffee, tea. It couldn't compare to what we had in Paris, Rome &amp; Florence. The bright spot was the Indian restaurant at the corner, Clifton's. The food was EXCELLENT!! I highly recommend the chicken korma and mushroom rice - FANTASTIC -- Also, very good naan.	
May 30 2006	Okay but with some disappointments	I went there with my 18 months old daugter, my mother, and my brother for an extended weekend holiday of 4 nights. I booked a triple room with a crib through londonnights at the rate of 64£ per night. I had read the tripadvisor reviews regarding the above average sized spacious rooms with lounge areas and was expecting real value for money. What a huge disappointment! The room was the typical shoe-boxed sized London hotel room with three single beds squeezed inside and barely with a little spot where we could put up the crib for the baby. The rooms at the hotel obvoiusly come in various sizes and not all of them are spacious as described in previous reviews.The walls were rather sound proof but the doors were NOT. We could very clearly hear anyone passing by the hallway. However, we were on the fourth floor and not at all disturbed by the noisy bar and loud music. The room was fairly clean however I found some blond hair on the floor besides my bed (our whole family has dark brown hair!!). The bathroom was small, yet clean with toiletries and even had a tub. Everything was in order except for the huge crack in the sink.We quickly realized that some of the amenities that was supposed to be present in ALL rooms according to the website was NOT present. There was no hair dryer, even though it was listed in the brochure. A disappointment since I didn't bring my own because I trusted the amenities' list. The hotel was also supposed to have wireless internet according to the brochure, but we couldn't get our laptop to catch anything. When we asked the reception they told us that we had to get a voucher for 3£ (about 6 US$) which lasted for one hour's internet access only!! What a wrip off!Regarding the hotel staff it is true that they might not all be that fluent in English. Also it was the most indifferent staff that I have ever encountered upon. They were not rude or anything, just so indifferent. They just sat there behind the desk with no facial expressions at all. Never a smile or a 'have a nice day' or 'good morning' or anything. I often passed through the lobby alone with my toddler in the stroller and not even once did anyone of them engage themselves in common courtesy gestures such as holding the door for me. They just sat there with stone faces like they could care less. Not a warm welcoming feeling at all.Actually the best and most positive thing about the hotel was the unique location. We found the Asian atmosphere quite charming and the curry smells were alluring. Since we only eat halal food it was truly a prime location. We were also very happy to find out that the hotel is just a 3 minutes' walk away from the beautiful East London Mosque. All in all a very interesting and multicultural neighbourhood. We also felt very safe and were not at all bothered by anyone on the streets. The tube station Aldgate East is less than a minute's walk and just a couple of stops away from most of the London sights. If we were ever to stay here again it would ONLY be because of the unique location since one does not find many hotels in that part of town. I would only recommend this hotel to people who are openminded, tolerant and not prejudiced towards other religions and cultures. If your are the oldfashioned conservative type...better stay in the West End!!	
May 24 2006	Turned around and left	We booked four nights in this hotel, but upon seeing it, we left. We booked this hotel through Hotwire, hoping to stay in the City (London's financial district). This hotel appeared within that zone. Unfortunately, it isn't. In fact, I've appealed to Hotwire to change its map. City Hotel sits in Whitechapel, according to the Rough Guide to London, and according to my personal observation. Whitechapel is home to London's Bangladeshi community. Community life centers on Brick Lane. Osborn Street, the street in which the hotel sits, turns into Brick Lane. Whitechapel has traditionally been an immigrant neighborhood. While the area is rich in history and hosts several markets that are worth visiting, it isn't where I would choose to stay in London. While it is close to the Tower of London, it doesn't offer the leafy charms and comforts of the West End. If you stay here, know that this isn't a neighborhood of shiny skyscrapers and clean streets. In other words, it isn't the City. The streets aren't lined with upmarket boutiques and eateries, as in the West End. This is a working-class neighborhood. The hotel's security seemed iffy. The streets immediately surrounding the hotel are not the cleanest or loveliest in London. The area is quite congested. City Hotel staff leave two sets of lobby doors wide open to the street, which made me uncomfortable. A local man asked us rather forcefully by a local to liberate a payphone we were using just outside the hotel. A homeless person came up to my partner, engaged him in conversation, and asked for money. Upon checking in and taking the elevator to our floor, we found several housekeepers smoking and listening to loud music at the end of the corridor. They had left the stairwell door open, and smoke permeated not only the hallway, but also our room. This was, to me, a sign of poor management. Staff should have assigned smoking areas and not disturb guests with music. The room itself left much to be desired. Although it was very large and included a living room and small kitchen, it was very depressing. The lights were dim, and the decor was extremely dated. With just one window (in the kitchen), the smoke smell in the bedroom did not dissipate, and the place felt gloomy, even on a relatively sunny day. One of the lights in the bedroom didn't work. The living room had an odd assortment of furniture in flowery, old-fashioned patterns. While I appreciated the collection of magazines left for guests, this could not make up for the room's other failings. I would have preferred a much smaller space with better furnishings. We found the hotel staff less than willing to help. When we complained about not receiving BBC1 in our room, staff said that the hotel did not receive the channel. This would be the US equivalent of not receiving CBS, ABC, or NBC. We found it hard to imagine. During several visits to England, I've never stayed in a hotel or B and B that offered television and did not receive BBC1.Some staff members spoke less-than-fluent English. When we said we would be leaving, one member responded, &quot;Where is problem?&quot; We cancelled our reservation and stayed in another hotel, where we were much happier. Staying in Notting Hill and, later, Kensington meant that we could explore the neighborhood around our hotels without taking the Tube. Whitechapel is far off most tourists' paths. It isn't an area I would want to spend my trip exploring. Although I left my name and phone number at the hotel, the general manager has not responded. The City Hotel offers cheap rates for London ($77, in our case), but we were pleased to pay more to stay in a hotel that felt more up-to-date and secure. The hotel's star rating is 3, but I didn't feel that it merited this rating. I would give it 2 stars at best. I have been to Europe several times. This latest trip was 3 weeks long and included about 7 hotels. The City Hotel was the worst of the lot.	
May 9 2006	Good Value great location for sight seers!!	We went to London for one weekend to do some sight seeing and so decided to book a hotel online before hand. We found the City Hotel and decided to go for it because it looked quite smart and was good value (in comparason to most of the other London Hotels). The Room was quite basic with a TV, Tea and Coffee etc but had everything we needed. A menu for the restaurant downstairs was left in our welcome file however when we went downstairs to the Restaurant it was closed (would have been nice if they told us when we checked in). We were however told that they were doing food in the bar (same menu) but the bar is very lively and quite noisy so we opted to go for a meal in one of the local restaurants nearby. There is a lot to choose from in the area but mainly Indian. When returning we went to bed but found that the walls were quite thin and next door was obviously getting ready to go out (11pm) and we could hear all the conversations going on. They eventually left and then returned to their room at 4am, I was so tired that I fell straight back to sleep. The hotel was in a very handy spot in the East end of London. There is a Tube right around the corner which was extremely handy as we were sight seeing all over from the Science Museum to the Tower of London. The area was a bit run down but the Hotel was fine. The staff were very helpful and friendly. Overall I would recommend this hotel to people who are looking for good value and who need to be close to the city centre.	
Mar 8 2006	Saved by the Service.	Myself and a friend stayed in the City Hotel at a very keen week-end rate.The first floor room was Very spacious,well above the going rate for Hotel Rooms in London.Clean and well presented bathroom and all the requisites in good order.Our problem became apparent on Sat night when a seriously effective sound system began operations at a Private Party in the Bar.The Hotels own guide did warn of music in the Bar until 0100 but when this came and went my companion had to visit the reception to see if we could be moved or the music (and Vibes) turned down.Neither proved possible and this resulted in letter of complaint to the Manager.All of this might seem negative and result in the City Hotel getting a raspberry were it not for the exemplary manner in which the Duty Manager and the General Manager dealt with our complaint the following day (Sun).The duty Manager herself met us and acknowledged the strength of our complaint,apologised for the inconvienience and advised us that we would recieve a refund of the charge for that night.The Bar/Restaurant has only recently been refurbished and it seems that the only area skimped on was some acoustic panels to prevent the upward escape of noise.The moral of the story is that if U are staying over a Sat night then avoid the first floor rooms facing the front...unless of course u are a party animal in which case disregard all this.All in all the City Hotel is a very attractive location for anybody looking for a hotel in the REAL London and the warren of side streets and markets in the immediate vicinity make for a very interesting browsing experience.	
Feb 12 2006	wow- much much better than expected	a friend booked us into this hotel whilst feeling adventurous. I had told her I liked the area but after she booked it I was bit nervous and wondered if I really liked the area enough to stay there. I was very pleasantly surprised at the quality of the City Hotel. I've stayed all over London in various 2 star to 4 star hotels, B &amp;Bs and apartments and this was a great value. My twin room on the 4th floor had a view of the 'gherkin' and basically had a balcony, it was so large that if this had been a west end B&amp;B I would have expected to walk in and find 4 or 5 beds filling every inch of floor space. It was the most spacious room, very clean, bright (although my pictures don't do it justice), and it's stocked with tea making equipment and a large empty fridge- not a silly minibar with items you're afraid to dislodge for fear of paying hefty prices. Despite being in the city, I found it very quiet and had no trouble sleeping.The breakfast was continental served in a modern restaurant through the nice hotel bar, and was substantial enough. There was apparently internet access on one of two computers in the clean bright lobby, but they weren't working during my three day stay. My mates room was rear facing and also large, but had a FULL KITCHEN! oven, hob, microwave, sink, utensils, everything. not neccessary for 3 days but certainly very good to know for future trips.The hotel is off the aldgate east tube stop (District) which is on whitechapel. I love spitalfields market (sunday) and the area of Brick Lane. I do think the area would be daunting for a first time visitor, or someone who wants to stay closer to common tourist attractions, but if you've done all that already and want a nice clean, large room with good value for money, put the City Hotel at the top of your list.	
Feb 7 2006 	Good Value Friendly Hotel	I stayed for 4 nights while on a course. I only paid £55 per night for a double room which had a double and a single bed. I noticed the rack rate was £160. here was a good nicely tiled bathroom with the usual toiletries. A fridge and a kettle. The room was spacious. The room was very clean as was the bed linen. The hotel bar and restuarant are good. The staff are very helpful and friendly. I can also recommend the Clifton restaurant (Indian) at the end of the street for excellent Indian food in lovely surroundings.	
Feb 6 2006	Be brave and this hotel could turn into your favorite!	This hotel does amazing weekend special offers. It is in Brick Lane with its vast collection of indian restaurants. It is not traditional classic London but is near all the 'trendy areas' whitechapel, spitalfields etc. You can easily walk thru the 'City' with all its incredible buildings right up to Convent Garden. The hotel is a bit on the tired side, little bit scruffy but for £40 a night it is brilliant I have stayed in quite a few costing double that are barely as good. Comfortable, Good breakfast, good security, clean, good bathrooms, private parking, 2 minutes from Aldgate East Tube station which takes you anywhere. 10 mins walk from Tower Bridge...when we were there it was a tube strike and we walked everywhere. It is not the usual tourist Victoria/Hyde Park area but if you want to see, and live, some of the 'real London' then it is a gem.	
Jan 30 2006 	ok hotel - good location	Stayed 2 nights here.It is a very good location and very nice staff there.But it is well below average in any other ways.There were no bugs and that I thank for.Floors very dirty.Bed linen clean and toilet but mattresses not and the linen skipped off.Do not go there unless you are on business and simply come in there to sleep.I would not take my family there.Breakfast very simple, but you can order omeletts etc.But it is cheap so you don´t have high demands.	
Jan 16 2006	Unusual but good-value hotel	The City Hotel is located on Osborn Street, which is effectively &quot;Brick Lane before it becomes Brick Lane&quot; - so it's very convenient for some of the best Indian food in Britain, and just a few minutes' walk from Liverpool Street, round the corner from Aldgate East tube.I can't fault this hotel for value, at least at the discounted prices offered - I booked a room for £45 a night and ended up getting a suite with bedroom and lounge areas, kitchen and bathroom!The room was clean and the furniture comfortable, although in a 3* hotel I'd expect more than the five analogue terrestrial telly channels.The decor was mostly OK - interesting murals on the wall of the lounge area! - but some of the fixtures and fittings were in need of a lick of paint. My room was at the back of the hotel with a rather grotty view over back yards.There was some noise from the bar on Saturday night, but this was not excessive.The staff were friendly and efficient, and a breakfast buffet was included in the room rate - I didn't try this but there were good smells coming from the breakfast room! (Neither did I try the restaurant, but the menu looked OK).Certainly a good option for the budget-conscious traveller and a decent place to crash out after a long day wandering around London.It does slightly have the feel of a more basic hotel that's been upgraded to meet the requirements for three stars rather than one that's always been that way, but at the price I paid it's hard to quibble, especially given the amount of space I had!	
Jan 3 2006	Fantastic hotel in the East End.	After reading some of the reviews I was a bit wary about staying at the City Hotel but my boyfriend and I could not have been happier.We've stayed in a number of London hotels, both luxury and budget, and the City Hotel is both value for money and very comfortable. Most hotel rooms in London tend to be on the small (tiny!) side (unless you're willing to pay a small fortune), but the City Hotel provides spacious rooms. Ours was complete with bath/shower, fridge, tv, a double and a single bed. The room was always cleaned to a high standard and there was no pressure to be out of the room by a certain time in the morning to enable the room to be cleaned. Staff were very polite and helpful. Breakfast was as you would expect for a continental breakfast - cereal, toast, fruit juices, a fine start for a day of sightseeing. The hotel is also only one stop away from Tower Hill where you can visit the Tower of London and London Bridge. The area isn't the greatest but it is the east end. If you want surroundings with rows of white-washed buildings and tree-lined streets, stay in the west end (such as near Paddington station), although you won't find the same standard of hotel for such a great price as the City Hotel. The hotel is a 30 second walk from the tube station and there are plenty of places to eat in this area - from the great Indian restaurant on the left of the hotel called the Clifton (apparently a favourite of local footballers and models), to KFC and Burger King for junk-food junkies. There's also a small local shop that you can stock up on drinks and snacks etc.Overall, we had a great 5 night stay in this hotel, and can't say we have much to complain about! I noticed some people mentioned the noise in the surrounding streets at night-time but you are staying in a big city! Noise (and it wasn't even that bad compared to other cities i've stayed in) is pretty much to be expected, whatever city you stay in - London, Paris or New York. If you want a quiet, relaxing break go stay in the country!Will definitely be looking to stay here in the future, excellent hotel. :)	
Dec 28 2005	bagels	We always stay at the City Hotel,Visitors should be aware that it is situated in the East End the area can appear seedy to a newcomer but with an open mind you will have the chance to experience real London.The hotel staff are friendly and efficient,rooms spacious and clean,ample buffet breakfast.lively bar attached with a pleasant atmosphere.Good public transport links to the West End try the 25 bus and see some famous London landmarks including St.Pauls cathedral.	
Dec 5 2005	Average stay	Stayed here for 2 nights in a room for four (2 single beds + 1 double bed). The location is ok since it's fairly close to Liverpool St where you can get to e.g. Stansted express. Otherwise you need to take the tube to center which takes some time but the Aldgate East station is around the corner.The traffic noise from the nearby street may be a bit too loud, but it settles later in the night a bit and some can even sleep when the room's phone is ringing. Water dripping made some noise in the bathroom; hopefully there's no leakage in the pipes inside the wall.The breakfast included (tea, coffee, cereal, yoghurt, toast, juice) was good and service ok.	
Nov 21 2005 	What you pay for is what you get	Stayed here recently for 2 nights with my boyfriend who was in London on a course. The rooms are a little on the retro side, and I hate it when you're sold a Double only for it to be two single beds pushed together with nothing to hold them in place!Cleanliness of room was absolutely fine, no problems with bed bugs at all, and breakfast is good and served in the much more stylish bar downstairs!All in all, a fairly average soulless hotel. You might as well stay in a Travel Lodge.	
Nov 19 2005	Stay away	Seedy location. Bed bugs left multiple sores on chest and back.	
Oct 24 2005 	Very pleasantly surprised	There is a shortage of hotels in East London and lets face it, the area isnt great. Its not the kind of spot you go on vacation. However I had business to tend to nearby so I needed to find a hotel and it was very easy to get to, being right near Aldgate East station.I paid £55 for a 'family room' sleeping 4, though there were 2 of us staying. My hopes were not particularly high.However I was impressed by the interior of the hotel. The reception and bar 'The Lane' which belongs to the hotel were very modern and clean. We were checked in quickly and I was also surprised to find a porter in the lift who took us to our floor. Something you very rarely get in a 3* hotel, especially in E1!I reached my room and myself and my partner were quite shocked. Hotel rooms in London are notorious for being poky. However this was the size of an apartment. There was a kitchen, lounge, large bedroom with a single and double bed, and a bathroom with a shower over the bathtub.The equipment in the room included a desk, table and chairs, sofa, armchair, dressing table, microwave, television, display cabinet (admittedly rather random), trouserpress etc.It was all slightly mismatched and ok, a little shabby, but still very pleasing to see. The room was quite hot as I believe someone else mentioned, but there were two big fans which cooled us down.The wall in the lounge had a handpainted mural of a beach (again, random!) and it was as though they had to tried to recreate a Tuscany villa in East London!We had a comfortable stay, and were able to cook microwave meals and enjoy an evening in with plenty of space. The next morning we had a complimentary breakfast. You can pay about a fiver for a full English but we just stuck to the free menu. This included toast, juice, cereal, croissants - the usual.We also checked out easily. Overall I was very pleased with my stay. I had been expecting a small dark untidy room but instead was met with a very big and clean one. If you need to stay in East London I would recommend it. I will be booking again.	
Aug 23 2005	Seemingly Average	The price i paid was pretty much what i got. It was £55 i paid for a one night stay there. The area around the hotel is seemingly blane and boring. Liverpool street which is only down the road is very nice. The hotel is literally a 45 second walk to aldgate east tube station which is on the district tube line and hammersmith and city tube line. If you would prefer the metropolitan tube line, algate mainstation is only a further 3 minute walk away. With the tube so close this hotel is no more than 10 mins from any central london destiantion. The West end is very close by tube. I stayed on the 5th floor, room 511 and it was very warm for some reason. The windows only open an inch or 2 and are very old, need replacing really. The whole hotel seems slightly washed out in colour and effect, the colour scheme is generally cream and a washed out red. The do have internet access in the reception but it is very public and anything you wanted to have a look at privately online wouldnt be applicable. Your not allowed to take the key out from the hotel and have to hand it in at reception before leaving and collect again on return. The room it self was of standard size, seemed clean but constantly reminded it wasnt so clean with the cream off white colour of everything. The bathroom was average hotel sized, shower total crap, the shower is in the bathtub and when you turn it on it forces the head up and the water is firing at the back wall, right onto all the dry towels at the back of the bath on the towel rail. But saying all this, it was only £55 and in london which is very expensive, as i do live here too in the suburbs, it does come with the saying that you get what you pay for. I think it was ok saying that but i doubt i'll return again. Comfy pillows though. Those squishy ones.	
Jun 25 2005	Would not go back...ever.	The refrigeratordid not work. We conplained and were told they were not designed to keep things cold, only to keep sandwiches from going bad. We tried to order room service...they told me they don't actually have room service. Best of all, I got dozens of bug bites after sleeping in one of their tiny beds.Oh, and the neighborhood is very seedy.	
Jun 23 2005	Excellent value		
Jun 12 2005	Not recommended for families 		
May 30 2005	Excellent Value for money hotel		
May 16 2005	Hen Nights Made welcome		
May 13 2005	Great hotel not so good location		
Mar 11 2005	Good family value		
Feb 17 2005	very good hotel		
Aug 28 2004	Very good value		
Aug 20 2004	excellent value		
Nov 17 2009 	Zona excelente y muy buena relación calidad-precio		
Sep 5 2009 	Buon rapporto qualità prezzo. Pulito. Ottimo servizio.		
Aug 13 2009 	Hotel viejo poco cuidado y sucio		
Jun 18 2009 	Hotel pulito e accogliente in un quartiere particolare		
May 26 2009	Super Lage nette Personal guter Preis bei Online-Buchung		
May 18 2009 	Buena relación calidad-precio y situación excelente		
Apr 14 2009 	charmant		
Jan 26 2009	excellent rapport qualité/prix		
Dec 29 2008 	Grenzwertig		
Oct 11 2008	Decadencia en estado puro		
Sep 18 2008 	City Hotel Londra		
Aug 15 2008 	Maravilloso		
Aug 7 2008 	für den Preis o.k.		
Jul 29 2008 	Zentral-günstig-ok		
May 25 2008 	tolles hotel in super lage		
May 14 2008 	simple		
May 1 2008 	Nice staying		
Mar 12 2007 	Correcto		
Aug 13 2006 	el hotel de las cucarachas		
