	Great neighbourhood classic hotel	Overall satisfied, the lobby makes you feel in an expensive hotel. The room is perfect, however walls are thin, the neighbours kept knocking on the wall for any small noise from our room. The hotel is huge, and in the morning the breakfast area is totally crowded - the breakfast selection is quite ok.	
Nov 26 2006 	first class	Just returned from a weekend at this hotel and could not fault any part of it.We booked a weekend saver on the hotel website, a standard on the 4th floor, a newly renovated room, £110 a night, including a cooked breakfast.Our room was warm when we wanted it to be and had an opening window for some air, unusual at some London hotels.Both the room and bathroom were of a 4 star standard, lovely linen, towels and bathroom accessories. Iron, ironing board, safe and fridge/mini bar. Didn't use the mini bar but handy for the milk.Hotel bar very expensive, but as others have said the hotel is so handy for everthing you need, tube 100 yds, tesco express the same.Some very good eateries just around the corner, recommend Brannigans, good food and not ripped off by the price.Would we stay again? You bet!!	
Nov 25 2006 	Lovely Hotel	We have just returned from a very good 2 night stay at the Millenium Gloucester. I've read some of the reviews and was a little apprehensive, no need, we were on the 5th Floor in a King Club Room with access to a lovely Club Lounge with excellent service in there too. The room was spotless and had all the amenities you could expect of a 4 star London Hotel in the middle of Kensington. Just across the road from Gloucester Road Underground and in 10 mins you can be in Sloane Square or 15 mins to Oxford Street. Beautiful lobby area, lively bar in the evening and I would certainly stay there again albeit that their parking is pricey, but hey this is London!!	
Nov 16 2006 	OK if you get a deal	The best feature of this hotel is the location. Right across the street from the Gloucester Rd. tube station and near several restaurants, grocery store and drug store.The hotel itself is nice, but we did have a few problems with unhelpful staff. We got there at around 8am after an overnight flight from the US. We were told our room would be ready at noon (which we expected) so we went out for a few hours and arrived back around 12:30pm. Our room was not ready. After waiting in the lobby for another 30 minutes or so, we were given a room. Well, when we walked in, it was *freezing.* We tried turning on the heat - nothing. We tried the lights - nothing. Thinking something was wrong with the electricity in the room, we called the operator. The operator said she would send maintenence. After sitting there shivering for 1/2 an hour we decided to just request a new room. Tried calling the front desk twice and got no answer both times, so we got our bags together and went back to the lobby. We explained the situation to the woman at the desk, who only then informed us that we had to put our keycard into a box by the door in order to turn on the electricity &amp; heat! I don't know if this is now standard practice in UK hotels, but at no hotel I've ever stayed in in the US, UK, or elsewhere have I ever had to use my keycard to turn on the electricity &amp; heat. My partner had even stayed at this hotel before and did not remember having to do this. It would be nice of the desk staff to inform guests of this feature when checking them in. Then the woman proceeds to tell us that if there is a problem we can just call, and do not need to come to the lobby with our bags. We told her that we tried calling twice and no one answered, to which she said, &quot;Oh, well we are right here,&quot; like we were stupid and they couldn't possibly have neglected to answer the phone. She was rather rude about it and quite unpleasant.We went back to the room and found the (completely unmarked) box, inserted our keycard, and got the lights and heat turned on. It never did get very warm in the room though, even though we left the heat on constantly for the 3 days we were there. I understand the hotel needing to conserve energy, but it is very unpleasant as a guest to walk into a freezing cold hotel room and then be unable to get it warm because there is only one small vent near the ceiling and the heat has been off for who knows how long, in November. There was also no heat vent in the bathroom, so it remained pretty chilly in there. We also discovered, as we went to take a nap, that there was no top sheet or blanket on the bed, just a duvet. At this point we were so tired though that we just dealt with it.I booked this hotel as part of a travel package, but if I had a choice I would probably not stay here again. I just don't think the rooms or the service lived up to the 4-star rating.	
Nov 16 2006	So long and thanks for all the drilling and vomiting	Stayed in this hotel for a conference during February 2006. Rooms were very clean, spacious and well decorated. The bathroom was well equipped and spotless. My in-room safe was not working properly, but when I reported this to reception by phone they sent someone up immediately and the problem was quickly resolved. All good so far!!! I had an evening meal of poached duck in the adjoining restaurant and was very ill the next day. Whas it the duck? Very likely I think!I awoke at 7:00am the next day to the sound of workmen in the next room. They were hammering and drilling like there was no tomorrow. They were also talking loudly and hanging about in the corridor outside. The drill user was even tapping out little tunes with it! It was like a ‘Carry On’ movie.Breakfast was a buffet and was fine. My illness hadn’t kicked in quite yet! The conference facilities are very good, with the exception of the gloomy hall in the bowels of the hotel that is used for large events.I checked out at noon and told the receptionist that my stay had been marred by the antics in the room next door. She was really incompetent and didn’t even say sorry. She said that there was nothing she could do about it.Would I stay there again? You must be kidding!	
Nov 12 2006 	Ok choice if you can get a deal	My husband and I booked this hotel through Priceline for £50! Once finding out that we were to stay at the Millenium Gloucester and finding the reviews on this website, we were rather nervous about our stay!The lobby/reception area is truly gigantic and well maintained. The staff were efficient and polite and didn't look down their noses at us because we'd evidently booked through Priceline (this did happen once before at another hotel in London!).Our room wasn't one of the newly renovated rooms, but it was clean. It took us a while to find out how the individual lamps worked as the &quot;main&quot; light in the entrance to the room only lit up that bit. Luckily, we weren't electocuted as one person suggested we might be!The room was close to the lift area, but we heard very little noise/movement. The road outside also seemed to be quite quiet on the Sunday morning.The bathroom is definitely very very tired, but again, it was clean with decent sized and a decent amount of towels. Make sure you use the slip-mat that is provided - you need it!We didn't have breakfast in the hotel as it was £17.50 per person! Instead, there is a Coffee Republic at the top of the street. There are also a few more cafes closer to the Gloucester Road tube station which also seemed to be serving breakfast.All in all, we had a pleasant stay, but I feel sorry for anyone who pays the full price for the room that we had. The room that we stayed in was one of a tired 3 star standard. However, the position of the hotel was fantastic being in a quiet area, very close to a tube station.	
Oct 30 2006 	Decent stay	I spent 3 nights at the Millennium Gloucester during my World Cup stopover. It was difficult to find any good deals on any hotel in London at the time because of the peak summer season and wimbledon etc. so I picked this hotel in the end. Since I was aware of the nasty old rooms from many reviews here, I especially requested to pay extra for the new rooms. Upon my late check in, the new rooms were all taken so I complained and they upgraded me to the Club Floor. The room was in great condition, clean and spacious with a big desk and I was lucky to get that free upgrade for all 3 nights. I slept well throughout and did not have any problem with my room apart from the bathroom which was a little old, but nonetheless very clean. The staff are generally quite helpful but I encountered some which were rude. I understand that they must be stressed or exhausted as beginning of July was their high season, but when you are taking up a job in a service industry, you have no excuse not to be friendly and hospitable to your guests! One female receptionist looked constantly annoyed with my questions and that really put me off as I didnt even ask anything difficult. Location was excellent. Gloucester road has everything you need and if you need to shop or go sightseeing, there is a tube station 30 metres away from the hotel to Westminster area as well as a bus no. 74 to Harrods and Oxford street. My recommendation is, only stay here if you can manage to book yourself in a newer room or on the club floor. Otherwise, it's not worth your money.	
Oct 29 2006 	Lovely hotel inexperienced staff	I am generally impressed with the Millennium Gloucester hotel but not with its management and staff. Located conveniently near the Gloucester Road tube station, the hotel provided us with just what we wanted, two very comfortable adjoining club rooms with a king size bed for mom and dad in one room and twin beds for our two sons in the other, for a 5-day vacation in August. The morning breakfast buffet in the main restaurant was a daily treat. Everything was 100% fine until one evening when the fire alarm rang sometime around midnight, when some careless kids accidentally bumped the emergency switch in the hallway. There was no night manager on duty and the inexperienced staff did not know how to turn the alarm off, so it rang for a long time, at least 30- 40 minutes. Guests poured out of the hotel and milled around outside the front door, many in their pajamas and robes, barefoot. The staff provided no information, even though they knew the alarm was just an accident and had already told the fire department not to send a truck. Eventually they got the alarm turned off, but then they could not get the elevators working again. One employee took a group of us into a back hallway to try the freight elevator, then abandoned us there when he couldn't get that to work, either. Eventually we found our way out to the breakfast room. Finally after maybe another half hour we were allowed to walk up many flights of stairs to our rooms. It was well past 1AM. In the morning I requested a partial refund of the approximately $400 I had spent on the two rooms for the night, considering that we had been needlessly dumped out on the street in pajamas for an extended period in the middle of the night. The staff said no, because the problem was caused by a guest, the hotel was not responsible. Except for this one bad night I really enjoyed this hotel, but under the circumstances I don't think I'll be staying there again. Considering how badly the staff bungled this unfortunate event, I wonder how well they would perform if faced with a legitimate emergency.	
Oct 25 2006 	You can do better elsewhere	As far as the staff is concerned, we had no issues. They addressed any and all problems that they were capable of handling. The problem I have is that when a hotel is rated a four star hotel, one would expect to find the accomodations commenserate with that rating. The room itself was large compared to a lot of London hotels. However, upon entering the room we were immediately overcome by a musty, moldy smell. We turned on the rather antiquated a/c, which had to remain on full-blast for our entire week's stay in order to keep the room cool, and the smell down. The overall condition of the furniture was old, worn and dirty. The bed mattress was of poor quality and did not fit the box spring and frame. As a result, if I moved toward the edge of the bed, the mattress would tip and I would find myself on the floor. In the week that we were there, our sheets were changed only once. The vintage blow dryer that was provided worked for approximately ten seconds and then needed to rest for about a half hour for another ten seconds of operational time. The bathroom was very old looking, with a shower that was about a foot too short for modern man, and a toilet that was pump operated, not unlike those found on small fishing vessels. Food prices at the restaurants were rediculously high. The over-priced beakfast buffet was nothing special; doors to the restaurant didn't open in the am at the scheduled time, and the staff was totally disorganized. I ended up helping put out the serving utensils one morning to sort of &quot;get the show on the road&quot;. This made it difficult to get breakfast before being picked up for morning tours. We enjoy sitting in the lobby to &quot;people watch&quot;. However, every evening there was a large Arab gentleman and his entourage occupying every available seat. One of the doormen told us that he either owned , or managed, the hotel. In either case I would have thought that he and his posse should have found a more suitable location to hold court, while allowing the lobby seating to be used by his guests. On a positive note, in terms of access to a laundromat and transportation, it was great. Two laundries within a couple blocks of the hotel, and the Gloucester road tube station is directly across the street, with direct access to three of the major tube lines. There is also a grocery store, pub and several fast food type restaurtants within a block. It's a shame that the hotel advertised a multi-million pound renovation, and we couldn't experience any of its positive results.	
Oct 21 2006 	Could be a nice hotel but...	A week ago I returned from London where I stayed in Millenium Gloucester. The hotel , or rather the management are in a terrible mess. While we were checking in due to some confusion I was assigned two rooms - I naturally needed just one, for I was on my own. I was not aware that my credit card number was also assigned to the two respective rooms. When my husband started calling me, he was repeatedly connected to the wrong room. Meanwhile, I was struggling with my telephone in room 466, which was dead. Some of the electricity would not work either. I was finally transferred to another room. My card number now was assigned to all the three. Me, naturally, not aware of the fact, until I got a message from the bank that I was charged 400 pounds (While I had prepaid my stay and did not use any services or the bar). It took a real investigation to find out what had happened. Not a very pleasant experience for me. But I was lucky: one of the managers, Birgit, very considerate and really caring, did work it all out. It took actually about two days. I received the apologies, etc. And I am very grateful to Birgit. But the surprises were not over. ON the morning of the 14th of October (I booked the hotel till the 15th) I was informed that I had to leave, since in the records, the date for some mysterious reason was the 14th. It took me again some time to work it out. I am not really mad with the hotel, but for them to really stand up to the 4-star requirements the management should think of how to work out the mess. The hotel is huge. Lots of people are coming and going. Having unprofessional people is in this case a disaster. But the worst thing is that they do not care... With rare exceptions. I do hope the hotel improves. Otherwise, though they certainly get a lot of tourists via tour operators, the reputation will be working against the hotel. Sorry for the gloomy review, but all this mess spoilt part of my holiday.	
Oct 17 2006	Superb location but the hotel.....	This hotel is located in one of the most convenient areas in London. You have the Gloucester Road tube station, many good restaurants, drugstore, grocery stores, convenience stores, etc.. all within a block from the hotel. However, the hotel looks good from the lobby but the rooms and the service need an update. It was cold in London and the first room they gave me had no heat and the TV did not work. It took me 5 calls to the reception and concierge to get someone there to try to fix and after more than 1 hour I decided to pack my bags and ask for a new room. I got to the second room and even they told me it was a non smoking room someone had smoked a lot there and I could not stay in that room. Finally, after more than 3 hours going from one room to the other I got a very decent and renovated room in the 5th floor (called executive level) and the room was very comfortable and newly renovated. However, in the middle of the night even with the heat supposedly working fine I was freezing in the room and I found out there were no blankets available. Again, it took 2 hours for someone show up with a blanket in my room at 3AM. Thus, if you are lucky to get a renovated room and do not need anything from the staff this hotel in a great deal for the location.	
Oct 13 2006	Neighborhood four star not the hotel	Travelers in the know seem to indicate that there is a difference between hotels rated four stars in Europe as opposed to a similar rating in America. I can attest to the truth in this. The Millenium Gloucester, for all of its airs, rates no more than two stars. The neighborhood, though, is great.We recently spent six nights at the Millennium Gloucester. The ornate lobby would seem to indicate a four star experience. Wrong. Once you get off at your floor...ours was the 4th...a certain tiredness materializes. And the room we had enforced this view. While the Millennium Gloucester is advertising that it is upgrading its facilities, apparently such improvement has not come to rest on the 4th floor. Some of the lights in our room did not work. A couple in the bathroom were partiallypainted over, not an indication of four star workmanship. Our window was broken and, upon arrival, the air conditioning was not working. One evening, the entire room lost power and we had to get ready for our evening out in total darkness. Not an easy thing to do. If that event did not indicate ELECTRICAL PROBLEM, the incidents of the fire alarm certainly did. Three times during our stay, the fire alarm went off, once in the middle of the night. The lobby staff was absolutely useless in explaining the cause of the alarm and in rendering any assistance whatsoever. They treated it as a non-event. Sad, especially as many of the guests were quite frightened. Yet, the lobby staff just stood around and did nothing, not even acknowledging that the fire alarm had sounded. Scary.On the good side, the cleaning service was quite good and the cleaning ladies pleasant. The breakfasts and the breakfast staff were also excellent.The neighborhood was A-1, especially due to the proximity of the Gloucester Road underground station. A pleasant walk brings you to the Albert Memorial, Kensington Palace, and the Royal Albert Hall. There is an excellent pub close to the hotel, the Herdford Arms. And there are two foodstores in the immediate vicinity, a Tesco and a Waiterose. Handy for inexpensive food if you don't want to dine out all the time, which gets expensive.All in all, a lacking hotel but an excellent location.	
Sep 28 2006 	Great Hotel-Superb Location	My Mother and I just sayed at the Millenium Glouster--and it was great! I was very surprised to find the hotel room larger than expected (by european standards) and brand new bathroom with great tub and shower--water pressure was wonderful! The rooms were clean and service excellent. The best part--LOCATION! Around the corner from the tube station, several restaurants and pubsand grocery store. The staff was a bit stand offish--but helpful and polite. The &quot;Bugis St&quot; restaurant was very authentic Indonesian /Singapore food at a reasonable price. For us, a taste of home ( we lived in both places) and good quality food. Typical service--a bit slow by american standards--but still good. Overall a great hotel, great location, good service and to our surprise--the room rate got cheaper each day we stayed--why?? I guess after weekend rate ended we were given a weekday rate--a happy surprise for the credit card bill!!	
Sep 26 2006 	A simple but clean place to stay.	I stayed at this hotel for one night last week. It's a busy time in London and most hotels are charging a great deal. I paid 100 GBP plus tax for a double room with a queen size bed, a very affordable price at this time in London. The hotel is simple and fairly clean. The furniture and carpet are quite dated. But the room is good size for two people. Sheets, towels and bath room are clean and sufficient. The location is great, 30 seconds of walk to the tube station. It's less than 10 minutes of ride to most major attractions in London. The hotel has a bar and a restaurant. But they're a little pricey. Around this neighborhood, there're cafes, restaurants and bars, including a Starbucks and a supermarket. A small cafe around the corner serves good English breakfast with freshly squeezed orange juice, at a very reasonable price. If you're looking for a simple, clean and affordable hotel, this is a very good value.	
Sep 25 2006 	Nice	Stayed here Sept 4,5,6, 2006. When we arrived the front desk said there was a problem with our reservation. The air conditioning was broken. So they put us in a cab and sent us to the Mellennium Knightsbridge for one night. A bottle of red wine appeared in out room for the inconvience. The hotel transported us back to the Mellennium Gloucester for the other two nights. The front desk upgraded our room to the Club Floor, and sent us a large plate of mixed fruit. Gloucester Road tube stop on the Piccadilly Line 50 meters away out the back entrance. Breaksfast, price, 35.00 pounds for two people. Had the pleasure to see Guys and Dolls with Patrick Swayze at the Piccidilly Theatre. Nice hotel and would stay here again.	
Sep 24 2006 	Better than expected	Bit of a curate's egg this place - some good some bad -overall I quite liked it.Check in was friendly, quick; rooms weren't ready but we were quite early (12.30) so no problem. We took lunch in the bar adjoining the foyer - very impressed with the food. Some great cold cuts and hors d'oeuvres, a cut above.I rather liked this bar, staff very friendly.The foyer was fine; no evidence of &quot;smokiness&quot; referred to in other reviews.We booked club rooms with interconnecting doors. This meant paying the full rack rate to guarantee it. Haggled but to no avail, so swallowed hard and booked. The hotel is not worth the rack rate, but which is?Rooms a little dated but very good size for London and with 2 chairs per room WHICH ARE ACTUALLY COMFY.The Club Floor does not have any those lovely modern re-furbed rooms evident elsewhere, but they're OK.Club lounge on this floor was very useful - we used it for breakfast, with good choice of cold meats, salmon etc. and a proper decent coffee machine.Some glitches, and the hotel is showing its age. The window in one room would not shut properly. Noisy neighbourhood outside. More seriously both rooms gave out a loud, intermittent buzzing sound - infuriatingly every 10-15 minutes or so - not too loud in the day but enough to wake you in the night . . . which seemed to be related to the aircon unit and sounded exactly like an entryphone buzzer. Arrghh there it goes again! On the plus side the maintenance guy was up like a shot to try and fix it. A very friendly but apparently overworked Russian guy. Did he fix it? Well, sort of.The hotel tried its best to locate a DVD player we could borrow to keep our 4 year old entertained (warning, very poor TV selection); they found one, and even loaned us some kids DVD's. However! It didn't work. Again the Russian chap tried his best to get it going repeatedly but no luck.Overall that's my experience with this hotel. Staff battling (sometimes in vain) against a decaying infrastructure. But somehow I came out liking the staff more than I hated the hotel.Everything else in the reviews about great location etc. is spot on. If you have kids then all the museums are within walking distance and you won't find much better.	
Aug 18 2006 	Dreadful	As a very frequent traveler spending in excess of 100 nights per year in hotels, I have come accross some pretty impressive and equally rough hotels, unfortunately this fits into the latter category.The benefits of staying at this hotel is its location, while it is in the residential district of South Kensington it is located directly opposite of the Gloucester Road Tube station which offers excellent links all over London. Also during the summer months you can take a 30 minute stroll into Harrods and Knightsbridge.However, that is the only thing nice about this hotel. The rooms are horrible, dark dingy, dirty things very outdated. The morning breakfast is unbelievably bad and being served by staff whom speak very little English begins to drive you mental first thing in the morning when you are served by the same person every day and ask every morning for Worcestershire Sauce only to have to go through this whole charades game until she finally gets the only non Eastern European member of staff ( a lovely Filipino lady) whom immediately knows what I wants and goes to get it. This went on for seven mornings like clock work.You then have the excitement of dealing with front desk staff who are more than happy to argue with whatever request you may have and are happy to tell you that you are in fact wrong.Eventually you speak to the hotel manager who apologises and promises that if you stay again things will not be the same. NO THANKS!	
Aug 8 2006 	very convenient	My wife and I stayed at the Millenium Gloucester the first week in July. It was very warm and I was concerned about how comfortable the hotel would be. It was very comfortable!! Our room was on the 2nd floor and was very sufficient-we really didn't spend that much time in it anyway, we were out sightseeing. This week also was the 2nd week of Wimbledon which added to the excitement in the hotel, even with this added excitement we didn't feel crowded or rushed. Transportation was less than a minute walk away, either bus or underground which meant you could access all points of London very easily. Great pubs within walking distance and a plethora of restaurants to choose from made my first visit to London very enjoyable. I'd go back and wouldn't hesitate staying here again.John B.New Jersey	
Jul 27 2006 	Great Location Great Hotel	Just returned from 8 nights at the Millennium Gloucester. We loved the location and had a great time. We found the staff to be really great and helpful especially the Concierge Julie. Great location, it was right around the corner from the underground (Central, Piccadilly and District lines) and a bus stop. We brought a 6 Day London Pass with 7 Day transportation pass. You can get around everywhere by either Bus or Underground it was really easy! Besides transportation being near by there was a shopping center around the corner with a supermarket, Boots (like a CVS), and restaurant &amp; Coffee Shop. Also an Internet Café, Pub, 24 hour Food express store and several restaurants across the street. We also could walk or take the Bus to Kensington Palace &amp; Gardens, Royal Albert Hall and a number of really good restaurants within a ten-minute walk.Hotel had a really nice Continental Breakfast Buffet, which was included in our room. You could upgrade to a full Breakfast Buffet, which was supposed to cost an extra 6 pounds a day. After the second day I asked the Hostess about how I would go about upgrading if I wanted to on a particular day, she said just go ahead and take the full buffet, which we did without extra charge!We did not have the higher priced Club rooms but both my wife &amp; I found them to be big enough and we are pretty big people. In London you don’t spend much time in the room anyway! Every night we were either at a play (1/ 2 price) or at a concert or late dinner. The only complaint was that we were on the first floor and could hear the street noise which sometimes could keep you up, but it didn’t bother us enough to want to change the room after we unpacked.Loved London and would go back again!	
Jul 24 2006 	Negotiate your rate!	Our room was very small, barely big enough for two. But it was clean and quiet. The location is great, around the corner from the Tube and buses, including hop-on hop-off bus. We didn't eat there, too expensive, but went to several restaurants around the corner. There's a coffee maker in the room and we bought breakfast stuff at the Tesco store across the street. Around the corner is a cheap internet place in the video store, as well as a Burger King for a quick snack. We did enjoy the casino in the hotel and took advantage of half price dinners there. Casino membership is free.The front desk staff was a bit curt even when not busy. They definitely need some &quot;people&quot; training. The cafe and casino staff was a lot friendlier. Our first two nights were company-paid and when we wanted to stay four more nights, they quoted us $400 a night for that tiny room with view of a brick wall! We had to call their reservation number and finally got them down to 100 pounds, which is still $200, plus 17% tax. So it's worth it to negotiate.	
Jul 18 2006	Good location but not much else	We stayed at this hotel as it was where are European Tour was commencing from. We were fortunate that we got to stay in a refurbished room on level 4 - others were not so lucky. The lobby smells like an ashtray - the receptionist was rather offhand and dismissive. Our check in time was 2 pm but on arrival shortly after 2 pm the room was still not ready. There was no apology and we were told the hotel was fully booked and we would just have to wait!The only positives were the hotel's location right near the Gloucestor Rd tube station and just a 15 minute walk to Harrods, Hyde Park and plenty of attractions nearby. The breakfast was also excellent. On the second day the hotel's hot water system packed up so we all had cold showers!	
Jul 16 2006 	No Room at the Inn	I had a room reserved at the Millennium Gloucester. When I got there, I was asked to come away from the desk and was told by the manager that they had no room available. I was then moved to the Millennium Knightsbridge. They paid my cab fare over, but as I was staying with another person it was a real inconvenience.	
Jul 13 2006 	Ok if You Wish to Stay at Faulty Towers	This lot make Faulty Towers look like a well-run machine. I can't even begin to list the problems with this place. But if you are traveling in the summer and expecting air conditioning...do your self a favor and go elsewhere. The staff keep the lobby at a cool 12 degrees while you swelter in your rooms! Oh, and don't expect there to be any hangers or a working safety box either.	
Jun 28 2006	Very pleasant at the millennium gloucester	After reading some reviews here we were a little nervous about staying at the millennium gloucester. I can say however that we were pleansantly surprised. We stayed on the 7th floor in a club room which was smartly appointed, clean and updated. The staff was helpful and the location central. I would certainly stay here again and found it a good value for the money. We took a couple of Evan Evans tours which used this as the pick up for Kensington area-saved us alot of time in the morning.	
Jun 17 2006 	Good 4* deluxe hotel	I stayed at the Millennium as part of a conference and was upgraded to a 'Business Club' room. This is different to a 'Club' room, being much more contemporary, and all the better for it. This room had a definite Asian quality to it, with light wood panelling, great linen, big bed, comfortable leather arm chair and good desk area. I very much enjoyed this room, which had excellent lighting and a great feeling of space.Public areas at this hotel are pleasant, and again have Asian overtones. The only possible question is whether they are large enough. The small hotel bar gets busy. The lobby and bar area have no real natural daylight and so feel a little dark. I was not overly impressed by breakfast in SW7. The choice wasn't great and the quality very average. The tables were too close together for comfort and the heavy chairs difficult to move in and out. Room service was efficient and of a high enough standard. Would be very pleased to stay here again on business, but personally, as a hotel enthusiast, would look for something more distinctive for a leisure stay in London.	
Jun 12 2006 	Great new rooms at the Gloucester	I've stayed at the Millennium Gloucester on numerous occasions in the past as I have found the location ideal (30m from Gloucester Rd Tube station), as I am a big fan of kensington and it is very easy to get to, both from the airport, and the centre of town.On this occasion I was fortunate enough to stay in one of their newly refurbished bedrooms and I found it to be a very comfortable indeed. The rooms have always been a good size (unusual for London), but the new rooms are bright, well equiped and well laid out.The staff were very helpful as always, especially the concierge, who were able to get theatre tickets that I had been unable to get elsewhere.If you are planning on staying in Kensington I can highly receommend the Millennium Gloucester, which I feel offers very good value for money.	
Jun 9 2006	Reasonable comfort in central Location	Reoasonably comfortable stay at this hotel. Good location near the Tube. Good breakfast. Main gripe was the small room, but is was nicely furnished. All in all it is to be recommended, but it is a bit overpriced.	
Jun 9 2006	Made our stay in London!	I stayed in London recently whilst in town for the theatre with my husband. Would definitely recommend this hotel for anyone...I stay over in London regularly for work and am going to tell my manager that we should stay here. The rooms are fab having just been refurbished and walking into the lobby definitely makes you feel like you are living the high life! Not to say that it was expensive - we got our room online for £99. The staff were great and helped us with pre-theatre restaurant choices (even booking it for us!).The Millennium Gloucester Hotel was great and we're already looking for another excuse to stay again in the future!!	
Jun 6 2006	Great stay for business and leisure and it did not cost the world	Stayed at the the Millennium Gloucester late May 2006. Check in was very quick and the staff were on the ball.Booked a standard room was very surprised with the quality for London. Large room very well decorated. I understand that the 4th floor has under gone a refurbishment and it looks good. The room was very modern with loads of room to work in the evening.Orderd room service from the Chinese Restaurant bugis Street I think, what an excellent idea and change from the ususal boring hotel menu's. The food was tasty and very authentic.The location is good opposite Gloucester Road tube station so great access to the theatre district and also to the airport, I got the tube to the hotel and it took 35 mins and on my return jumped into a cab and it took 50 mins. The tube was I think £4.00 and very easy.Check out was fine.Great Hotel great location.	
May 30 2006 	Great service and warm welcome	This property definitely caters for both the business traveller that I am as well as for the leisure traveller wanting to stay at a four-star property ideally situated in London.Although access/entrance is probably unimpressive, staff welcome and room design make this hotel &quot;home&quot; at first glance!I've as usual driven staff crazy with requests and questions (inc. late in-room dinner, questions on high-speed internet access, express check-out) and have been helped in a timely and very professional manner.Leaving the hotel at the early hours of the day for a run in the Park is just perfect and breakfast buffet is a truly comforting time...Try it out :-)Juju	
May 15 2006	Rude Staff- Do NOT stay here	I have never written a review before, but I want to spare others from staying at this hotel. I work in a hotel myself and I am aware that things are not always perfect or as comfartable as home, but this hotel was terrible in every aspect, except the location. The Staff was very rude and condescending. They do not have air conditioning, even though they moved us to another room and told us they did. They charged us for six items from the minibar that we did not take out, however they did take it off our bill. The halls smell very musty and you will not get the type of room you requested unless you complain. Even with the problems we had I would not have written this review if the staff had been pleasant, being in the hospitality industry I know that customer service is the most important aspect of a hotel and the MG has the worst staff of any hotel I have stayed at.	
Apr 25 2006	You'd be smart to stay elsewhere	The location is the only good thing to be said about this hotel. The rooms are old and tired, to match the attitude of the off-hand employees. The Air Conditioning never works (changed rooms on several occasions, and they all have this problem) and there is a &quot;musty&quot; and stale smell throughout.Do yourself a favor- Find somewhere else to stay.	
Apr 14 2006 	Absolutely delighted with Millennium Gloucester - just renovated rooms	Stayed 4 nights at the Millennium Gloucester Hotel at the end of April. The rooms on the 1st and 4th floors are newly renovated, which is excellent! Decor is minimalist, nicely designed (good new beds and linens). Room size is great by London standards. I was delighted with my stay! Breakfast buffet has a very good spread of cooked breakfast, cereal, fruits and a oriental selection of porridge and pickles. Location is very convenient with Gloucester Road station (picadilly line) right at the doorstep! Many restaurants round the location. I would highly recommend a stay there.	
Mar 28 2006	Great for Priceline; Disappointing at full price	We landed this hotel at 80 dollars a night on priceline, so we were psyched to say the least. Anything lower than 150 bucks that is liveable in London is decent (think NY hotel prices). It was absolutely worth the 80 dollars and then some. It is NOT a 4 star hotel and is not worth the prices they ask. This hotel is only a good idea if you get it on priceline, or get a special deal otherwise.For tourists, the location is amazing - you are literally next to a tube stop with 3 lines and a double decker tourist bus stop. you also have all the other things in the area - convenience store, fast food, starbucks, pharmacy, pubs, restaurants...a few things to be warned of - #1 it may be a while to get a room if you get there early - no worries, the concierge will take your bags. just go to the hereford arms a little ways down gloucester road and have some pints (i like it better than the stanhope arms, which is a little closer) the really great pubs in london are not in this neighborhood (check out Fancyapint for a great guide). #2 some people have problems with their rooms. one person we knew staying there had a problem with their toilet and had to ask to be moved. our room smelled like an ashtray, but we're smokers, so we didnt care. otherwise, it was great, really a tremendous value, perfect if you just want a good bed, shower, and toilet in a good location.feel free to contact me if you have other questions.	
Mar 24 2006	Not Great but Pretty Good	Stayed at Millennium Gloucester for four nights in mid-March. After reading other reviews, I was worried about the quality of this hotel, especially the standard (non-Club) rooms. As others have noted, the hotel is located in a great neighborhood. Literally across the street from an underground station, restaurants, a bank, ATMs, a grocery store, and a 24-hour convenience store. It's a short walk to the Natural History Museum and the V&amp;A Museum and a bit further (maybe 20min)to Harrods. The main lobby is quite nice -- and meets expectations for a 4-star hotel. It's grand; people open the door when you walk in; concierge, etc. When I checked in at 2pm, I was told that my room was not ready and that I would have to wait 30min. After thirty minutes, I inquired again and was told that my room would be ready in approx. 50min. Having travelled all day and eager to relax in the room, I requested any available room and ended up getting a twin room rather than the queen-room that I requested.The room, located on the third floor, was fairly typical of a hotel room that you would get in the States. Same size. Minibar. The room was clean and did not seem worn. However, the bathroom wall tiles had a few chips.Check-out was uneventful. Overall, it was a good stay.	
Mar 18 2006	Smart hotel	Conveniently situated hotel next to Gloucester Road Underground station, with useful shops, supermarkets, banks, post office, bars &amp; restaurants close at hand.I only ever stay in a Club room, so no idea what the other rooms are like, but I have always been pleased with my accommodation. Large comfortable King sized bed – I always have an excellent nights sleep. Good sized room, although the bathrooms are a little small. Free dinks in the Club lounge.Excellent breakfast - Continental, traditional English and Japanese. I tend to have a bit of everything and it more than keeps me going until the evening!It is a shame that there is not a health suite as I would certainly welcome one!I recommend this hotel!	
Mar 13 2006	Great Choice in London	Stayed here for a week for our first visit to London. Had read negative reviews and was apprehensive but should not have been. We were upgraded to the club floor, room was spacious and clean, bed was large and comfortable. Lighting is very poor in room and did not like the hair dryer in the drawer. Staff responded to any request quickly. The hot breakfast buffet was very tasty. Concierge personnel were not helpful except for Julie, who was indeed a great help. Did not like the smoking in the main reception area of the hotel. Location of the hotel was great, the tube is just across the street and so easy to use. Convenience store, Starbucks, a great pub, etc. just across the street. Hotel has nice bar. Would definetely stay here again. Was a great experience for our first visit to Europe.	
