	Great hotel great location lacking on breakfast"	I went there with a group from school and it was a really nice experience. The rooms where really nice and everything was to our service. Local pubs and restaurants around the hotel made the stay even better. But from a grade 1-10, 10 being the best and 1 the worst, the breakfast buffet at the hotel was like a 6. After the first day eating there, the following morning all I ate was toast and coffee. The food overral wasnt that good, but besides that a very beutiful hotel.	
Feb 17 2008	Quality hotel and good value for money...	You get what you pay for in London. So what do you get here? Well... if you go for the cheapest rooms - as my daughter did - you get a small but perfectly adequate room for two people at around £120 a night in a high quality hotel which, while not in the West End, is in a pretty good area of London (very close to the British Musuem &amp; Regents Park, close to the tube and surrounded by the beautiful squares of Bloomsbury) - and, for the price, you really can't complain because the reception areas, lounge etc of the hotel are excellent and, the breakfast is first class.If you go for the more expensive &quot;Ambassador&quot; rooms as I and my wife did - we paid £150 for the night, which, in central London terms is good value - you get a large, well appointed room with two double beds (if you go for the twin bedded option) and a huge bathroom.We live close to London and stay there regularly (from five star to three star) and, as a result, we know what you get for the price... to us, both rooms were excellent value. The only reason we can see for negative reviews is because people are comparing London prices to somewhere else... unfortunately, life's not like that and, in London terms, this is a pretty good deal.	
Feb 4 2008 	Great Room Fine Location	Right off of Russell Square, we were pleased to see how neat and contemporary our moderately-sized room was. Beds/Bedding were 10/10 for us--and we're picky on our sleep. Very quiet rooms.Tube stop was right around the corner (very convenient), and the British Museum was just a couple of blocks away. This area is hotel-filled, but I was glad we chose the Hotel Russell. Location is not a destination, per se (like Covent Garden is), but it was a nice compromise, and quieter at night.Desk staff was friendly and helpful--we checked in around 10, and they were so kind to give us a room immediately. The concierge (or the person standing in for the concierge?) was polite, but uninformed about anything. Pub in Hotel was nice, but we didn't do anything in their restaurant). Got a room with a courtyard view (nice enough, from the 7th floor!), and a view of the Square would have been nice, but overall we were very, very pleased with our stay.	
Jan 27 2008 	Hotel was GREAT	We stayed at this hotel for my husband Birthday, was only 5 mins walk from Euston train station, the hotel was very clean, rooms were up todate, staff was great and breakfast was very good (lots of choice), a little walk from all the attractions (ladies take flat shoes) just outside our hotel was the BIG BUS COMPANY was only £20.00 each for the whole weekend you can get on and off all day which was great ,we got to see all the things we wonted too. At night London was very busy all the bars and resturants were full, so if you know what resturant you wont, I would book before you go. Saw no trouble and people very helpful. Just got back and thinking of taking the chidlren with us next time.	
Jan 22 2008 	lovely weekend	Having read the mixed reviews I was a little concerned,but - couldn't fault it. Staff were friendly and efficient- all areas of the hotel were spotless- housekeeping manager came round to the rooms checking everything was ok. Breakfast was busy - but what do you expect in a large hotel - although busy very well organised. There was some noise from the street in the early hours but that's teh fault of the drunken idiots not the hotel. Would definitely go and again.	
Jan 19 2008	Great Location 	I stayed at the Russell Hotel for four nights recently. The first night we were in a superior grade room which was fabulous ...... after reading the reviews on here it seems the rooms vary greatly.The superior room was huge !! and had a view over the square. This room cost £30 per night more than the standard room &amp; well worth the price. The bathroom was also large and very well decorated. ( recently renovated )The standard room we stayed in for three nights was of similar standard of furnishing but much smaller... and was cheaper too ..we paid £42 per person for room with breakfast. The hotel is a spectacular building &amp; the main stairway is beautiful . We found the reception staff to be really friendly and helpful .Breakfast service is shambolic ... There was a huge queue for a table .. lots of untrained staff roaming around not clearing tables ... which held the queue up ... hot food is £1.00 extra and they continually ran out off eggs/bacon/suasage I enjoyed the stay as the location is superb ... walking distance to oxford Street &amp; Covent Garden &amp; the room was value for money ..If they got their act together with the serving staff it would be a pleasure to stay there	
Jan 15 2008 	4* ????????????	We stayed at The Russell Hotel on an overnight stop in order to catch an early Eurostar. Well it was just awful! The room was tiny, Just sqeezed in a 4'6&quot; bed . In order for my husband to get in to it he had to climb over a coffee table, and chair. There was no room to go into the furniture removal business. The bathroom had a very short bath and the smallest of cloakroom sized basins. The windows looked out on to a &quot;well&quot; into which all the air conditioning units seemed to discharge. The noise was unacceptable and on all night. At 4.00am the noise level doubled. A sleepless night. So much for total refurbishment. All the old furniture must have gone into that room, it was battered and not matching. This was not a last minute booking as we had reserved it in July last year and I am sure they were not fully booked at that stage. Maybe all the money was spent on the entrance hall........... I would not touch this place with a barge pole in future.	
Jan 14 2008 	beware your room	arrived early saturday morning given room on first floorit was a long way from lifts up and down steps and along shabby corriders the room was small dark and at the side of all the hotel fans not for me thank yousecond room was on the 8th floor lift to 7th floor not a problemthe room was a lot better brighter and when the heating was on got quite cosyno hot water up there morning or evening forget a shower!breakfast was excellentthe bar is a total rip off 2 plates of sandwiches 1 red wine 1 whiskey came to £30.40p ouch!!!the hotel is well placed for all sights but beware of your room and the bar!i feel this hotel looks very tried .	
Jan 12 2008 	Not bad	We stayed one Friday night in this hotel which was 100% full. We tried to check in at 11:00, but the rooms weren't ready, so we left our bags with the concierge and came back later. We had two single rooms overlooking the square, on the third floor. The room was small but had plenty of furniture, although the wardrobe was very small for anything other than a short stay. You had to manoeuvre round the easy chair to get into the bathroom.The bar service (at 11pm) was very slow and the staff didn't seem to be in any hurry to clear away empty glasses from the tables. The bar was very busy.When I checked the room on arrival, I noticed the heated towel rail in the bathroom wasn't working and I mentioned it to reception, who said they would send someone up to fix it. It wasn't fixed during my stay. I think the towel rail was the only form of heat in the bathroom, so it was quite nippy when I had a shower the next morning!The bed was comfortable and despite facing the main street, the room was remarkably quiet. I only heard one lot of guests making their way past. The bathroom was fine, apart from the lack of heating, shower worked well and everything else was OK too.We had breakfast included in the rate and this is where the hotel let itself down. We had to queue to get into the small restaurant, and queue again to get to the buffet. The cereals and juices were separate from the main buffet and were easy enough to obtain, although the juice jugs were all empty and there were no glasses available. The fruit and yoghurts etc and the hot breakfast were all in the same place, so the same queue was serving two different parts of the buffet, it would have been better to separate them. the food was OK, but the value at £19 was appalling, I'm just glad it was included in my room rate. This is an OK hotel, and I'd happily stay again.	
Jan 12 2008 	Ripped Off at the Russell	After having difficulty finding a room in London we eventually ended up at the Russell Hotel in Russell Square. The location is ideal for getting to most areas of London, but it is very expensive!My room excluding breakfast was £250 and this was a standard room. Outside the hotel is very grand and the entrance and reception areas don’t disappoint. The rooms themselves are more like small studio flats. The layout was very stylish and modern with a flat screen and LCD TV and chrome and glass bathroom fittings. After checking in and getting ready to go out for the evening I gave the bar a try. As with a lot of hotels I ended up having to have an argument over my room allowance which they didn’t have a record of until they bothered to check! The bar wasn’t very well managed as there was only one draft beer left out of three and one choice of bottled larger. Everything else was “out of stock”. After our night out we tried the bar again. £16 for two glasses of standard scotch. Yes that’s right a total rip off. We calculated they must be knocking a £18 bottle of whisky out for about £75!The breakfast area was excellent with carved sculptures in the ceiling a really grand area, and the selection of breakfast options was pretty good.Overall this hotel is beautiful and in an excellent spot, but is extremely expensive and I’m sure there are equally good hotels in London for a better price.	
Jan 11 2008 	Good location curious turret room!	The Russell is a stone's throw from the tube which is brilliant. Staff on check in were nice, very polite and the reception area was impressive. Our room was a curious offering, in one of the turrets - and as you'd expect, was a round room! With that in mind it wasn't a huge room, but it was comfortable. We had a small problem with heating, and after reporting it, a maintenance guy arrived promptly to fix it. Bathroom was lovely, almost new, well maintained and very clean - fabulous shower and fluffy towels. We didn't eat breakfast at the hotel, we tend to find them too pricey if you don't get a deal with it included, but there's a mini-mart not far and a couple of cafes either within walking distance or a hop or two on the tube. We did eat in the bar for a lunch which was nice and a generous portion and price wise, wasn't bad for a London hotel. We booked late and consequently got a good deal. We walked from there to the British Museum, probably about a 15 minute walk, but worth a visit if you get the chance, it's just a great place. And if you want a breath of fresh air from your hotel room, you have the gardens of Russell Square opposite.All in all, a good London Hotel at a good rate even without late booking discounts. I'd definitely stay again.	
Jan 2 2008 	Take your Corn Flakes	Having been to this hotel before my wife and I wished to share our experience with our children, so I booked in June for New Years Eve. In total we paid £400 for 2 rooms. The rooms were on the 3rd floor and were comfortable with no issues. Th problem came when my 3 daughters went for breakfast to be told that breakfast was £19 each plus unless they gave a credit card they would have to leave. I had left my Card inprint on check in which they failed to note. We were very disapointed and I rasied this on check out only to be told we could go and have breakfast at that point. Sad to say that 5 people for breakfast at £100 in total spoiled our first day in 2008 especially when I was told that continetal breakfast was in the price at the time of booking.	
Jan 1 2008	Brilliant great value for money. Upgraded and super room. Very clean and staff	Visited new Years Eve Booked via website (e bookers) fabulous room, upgraded on registering, very clean, wll appointed and great for London on NYEve. Cant fault the place. Excellent !	
Dec 30 2007 	great location	I initially booked a room in the Novotel and was informed 2 weeks before my arrival date that they had over booked so they offered me a room in the Russell Hotel. I read the reviews and was a little anxious, however the room was small but clean and well equiped. The staff were friendly and the location is fab, literally less than 1 minute from the tube. Only downside, breakfast is manic, you need to be in the restaurant before 8.15 if you want to avoid a lengthy queue and it was just ok nothing special and let the hotel down a little. I would go back though but would prefer to use a local cafe for breakfast next time. Bars are close by and are some what cheaper than the hotel.	
Dec 21 2007	Don't opt for the Breakfast!	We did and were very sorry. It is very overpriced, and inedible, far below expectation even for a buffet.We were also very disappointed in the hotel. The room was mediocre and would classify as terrible for the price. The staff was indifferent, way too busy to assist. We needed to print a boarding pass, which they refused to help with, but guided us to their 7 pound internet facility.I would not stay here again and would not recommend it to anyone.	
Dec 11 2007 	We loved the Russell	We are regular weekenders to London and have stayed in some nice hotels however the Russell was by far the best!We booked here for my wifes birthday with our 2 friends,stayed for 2 nights weekend 23-25 /11/07. All the staff were very friendly and could not do enough for us and booking in was very easy.The deal came with continental breakfast but we opted for the full english breakfast which was a bargain.The hotel itself was already decorated for christmas and looked superb having been to NYC did remind us all of the Plaza from the Home Alone film.(Just our opinion)Not far from anywhere really either on foot, tube, bus etcWe all agreed that this was probably one of the best hotels all round we have stayed in and can't wait to go back ..	
Nov 30 2007	Russell Hotel London Loved it :)	Fantastic Location Bloomsbusy very close to all the sights We stayed for 2 nights and thought the hotel was excellent ! I wouldn't have any hesitation in recommending this hotelWe booked via Central R.Com [--]	
Nov 24 2007 	Not my cup of tea	As context to this review you need to know that I paid over £150 for my single room plus another £19.50 for breakfast. I accept that the hotel is in a good location in central London but I do not feel that I got good value for money. From what I saw the hotel is 'old style'. The brochure and website show some nice modern refurbished rooms and talk about 'upper four star' room standards; as far as my experience went I disagree. My room was tiny and looked out onto the unattractive inner courtyard full of heating and ventilation equipment which hummed all night through the single glazed window (it was a good job I had had a few glasses of wine to help me sleep). The room was very old fashioned (fine if you like chintzy, fusty style) and had a single bed TV, tea/coffee making, air con unit, safe (that didn't work), desk, wardrobe. Bathroom was OK with toilet, sink and bath with shower over. Breakfast was a real disappointment; for £19.50 I was expecting a lot more choice and quality. Overall the staff were good and the location was good but next time I stay in London I will spend my £170 somewhere else.	
Nov 23 2007	Best avoided	Great architecture and a sense of grandeur..until one enters the rooms to find mediocre adaptation, worn out furniture and fittings, badly-sized furniture for the room and curtains and windows that looks original and uncleaned for many years. Very poor value for money. The sort of experience where a resident Brit feels embarassed to acknowledge his nationality. You have been warned! With some more loving care and £25M investment could be nice again.	
Nov 19 2007 	Imposing beauty but friendly atmosphere	The Russell is a very imposing hotel with a beautiful, ornate lobby. However, the reception is welcoming rather than forbidding so we got off to a good start. The room was quite small, as was the en suite bathroom, but it was thoroughly clean. It was nicely furnished with very good comfortable beds.As we were on the 5th floor we had to rely on the lifts, but we spent hardly any time hanging around for them as they were in plentiful supply.The breakfast was well laid out and plentiful, and the restaurant service was friendly and efficient.It can be a little bit more pricey than some hotels but you get what you pay for. Watch out for the bar prices - two drinks cost us £11.20. Ouch! Go to the pub down the road!All in all, we had a very pleasant stay at the Russell and I can thoroughly recommend it for a relaxing stay. The location is absolutely brilliant too - walking distance from the top end of Oxford Street. We hardly used the Underground at all!	
Nov 7 2007 	Russell Hotel - Overall a dissapointment	We stayed at the Russell Hotel last weekend and I have to say I was quite dissapointed. The room was extremely small and the TV was out of the arc. The windows were so filthy that you could not see through them and they barely let in any light. However, the bathroom although small was nice. Express check out was not available which meant we had no choice but to stand in quite long queues to check out. That would normally not have been a problem but given that we had been woken at 5am by ugly children and their deluded parents queueing round the block to audition for &quot;Britain's got talent&quot; you could hardly move for people in the foyer and our tempers were somewhat frayed.In a nut shell for the money you pay to stay in the Russell hotel you could stay somewhere much nicer in a much better location.	
Nov 6 2007 	3 nights 3 Rooms... Not my idea of relaxing	Hint. Do not try to walk to this hotel, it is a good 1.5 miles of walking (we walked as we got to London at peak time so the tubes were packing like &quot;Sardines&quot;.Walking in to the hotel you are confronted with a splendid foyer with a magnificent staircase and you instantly feel that this hotel must be amazing.Checking in was pretty easy with lovely and very friendly staff.Now it begins.There are 3 lifts. Lifts 1 &amp; 2 claim you can fit 8 people in (I think if your lucky you can handle 4), and lift 3 claims 12 people with a total weight of 815kg. 5 of us got in totalling 350kg approximately, anoher guest tried to join us probably weighing 70kg max and the lift warned us we were overloading it.Room number 1 was a broom cupboard compared to other 4 star hotels with a very old feeling. The bed however was amazing and I slept like a baby.As we made a comment downstairs that the room was tiny we were upgraded to the next level which was nice of the staff.Room 2 was a larger room which was a recently refurbished room. Lovely room pretty big but being a &quot;king size&quot; bed room you actually get 2 single matresses next to each other with a 2 bases. This led to a very bad back on the second night and following a complaint at 3am in the morning we were moved to a third room.May have been our luck but the third room turned out to be a suite (claimed to be £385 per night).The suite consists of a king size bed and a separate room with a seating area (actually you get a 2 seat sez lounge). The only disappointing part about the suite was that you get a 15 inch TV in the bedroom and no TV in the lounge compared to the 32 inch TV in room 2.The beds are amazingly comfortable, the staff are very friendly but thats all you get for your money the rooms are small and the hotel I think was conned when they had the rooms refurbished as you can see paint peeling and very bad workmanship in teh refurbished rooms. Whoever decided to be the interior designer did not think practically (an example being that the towel rail was right next to the toilet so if you sit on he toilet your legs are resting on the rail (if it has been on you could get burned legs).	
Nov 3 2007 	...fantastic	..ok lots of mixed reviews on here. Stayed with my mother for a show, she has never been to London before. Staff were EXCELLENT check in was busy but fast-given all the info I needed, very polite and we we upgraded at no cost. Room was super, spotless and with a bathroom that was HUGE, full size tub and shower was excellent too. The housekeeping team said hello as you walked to and from your room, very friendly. Conciege grabbed us a taxi after ten minutes of running around a busy London road..he was very helpful. Bed was very comfy and as I used common sense and placed do not disturb on the door, housekeeping did not bother us at all. Breakfast was busy but again organised like a military campaign! We were given orange juice while we waited-just a few minutes and everything was hot , great choice of food and fast service.Yes, the hotel is built around a central courtyard that houses the main air conditioning fans and yes, there is a nightclub somewhere close by that is a bit loud-but this is LONDON not rural Scotland! Overall this was a great hotel. There is a pub at the rear that does good food and everyone is very friendly-plus a 24hr tesco store for those late night snacks too just 2 mins away. The hotel was close enough (1 mile) from the Palladium to walk back after the show-streets were still busy at 10.30pm and felt generally safe in this area. Would stay again for sure.	
Nov 2 2007 	What a treat	We had a really fabulous weekend at the Russell. This hotel is such a beautiful place with lots of marble, high decorated ceilings and nice touches like the fresh flower decorations. The room was suburb, really clean and the extra special care taken to make us comfortable was really appreciated. The bed was turned down for us in the evening and was cleaned for us the next day to a surburb standard. The staff were really friendly and helpful. We had breakfast in the lovely restaurant and found a fantastic selection of food to satisfiy even the fussiest of people. We of course had the good old english breakfast and it was delicious. I would totally recommend the Russell, it is well situated in Russell square, walking distance to lots of London's attractions, or a short taxi ride which is always fun. We had a really great weekend and would definately come back again, great base for London sightseeing. The Russell has a real sense of luxury about it without being overpriced. Loved it!	
Oct 31 2007 	Depends on the room	Central location, located in an impressive building...appearances can however be desceptive. First room I got was very small, damp, no daylight coming in through the toned windows that didn't open, internet didn't work and there was no fridge. When I told staff about internet problem I was told that they already knew that there were problems in this romm...okay so why put anyone in it? This room was so awful and depressing that I wouldn't even expect such standards in a 2'* hotelGood points:I was able to check in very earlyI was given a much better room, which reflected much more that the russell allegedly is a 4* hotel. Staff very helpful.	
Oct 30 2007 	Rustling in the Russell	This is a lovely hotel, close, well within walking distance, to some wonderful London sites. The British Museum is just around the corner, and it isn't a stretch down to Waterloo Station. The tube is just around the corner and there is a lovely cafeteria in Russell Square, across the road. The staff were very friendly and the service in the bar, which has worn leather wing-backed chairs and a lovely ambience, was of the highest standard. The bar staff were very attentive, as was the staff on the reception desk. Be aware that if you don't like your room the staff can move you to a better room i.e. looking over the square or out at the tree tops, as they did in my case. This is quite different from an upgrade (which costs money). What could be improved... inclusive breakfast. But generally rustling around The Russell was a sensational experience and I'd highly recommend it if you're planning a jaunt to London.Julie from Armidale	
Oct 28 2007 	Not good value for money dishonest barmen	This is the first hotel I've stayed in and reviewed that I wouldn't recommend.The hotel is very expensive, and allegedly 4 star. It isn't. It's a four star building with 2* (or worse) service.OK, well, it wasn't all bad. The hotel is in a great location, and the building is lovely. The decor of the public rooms is brilliant and some people appeared to be having a very good wedding reception there when we arrived! The rooms are big, too.OK, the bad. The decor in the room was a bit shabby and the sink did not work properly in our room. The plug was jammed shut when we arrived. All of the courtyard facing rooms (on the sixth floor at least) have a lot of noise from some kind of machinery running in thereThe bar has typical London prices, but once when I was served the bar man told me the round of drinks would be one price, then came back and gave me hardly any change, saying the price had changed. He also opened the wrong bottle of beer for one of our party, and on giving us the correct bottle, put the top back on the incorrect one, and put it back in the fridge. Terrible behaviour.We had to queue for ten minutes for breakfast so the staff could individually try and make us pay extra for a full english breakfast. Obviously they can't do this at the table. We were not asked if we would like tea or coffee until we were nearly ready to leave.I would whole-heartedly not recommend staying at this hotel.	
Oct 24 2007 	Lived up to my expectations	After seeing previous reviews of the Russell Hotel on Tripadvisor I was a bit concerned, but everything lived up to my expectations. I had a single room on the second floor with a balcony overlooking Russell Square (inaccessible, probably for safety reasons) and a smart new bathroom which also had a balcony and a floor-to-ceiling draw-down blind to preserve one's blushes when the light is on! The room and bathroom were very comfortable, the only slight problem being the noise from people shouting in Russell Square in the middle of the second night (would triple-glazing be a good idea?).I had the continental breakfast both days, which was good, although there was not as much choice as I have seen in other European hotels. Breakfast was very well organised, with a maitre d' overseeing the seating and service with quiet efficiency. On the second morning there was a queue for seating, but a waiter brought round glasses of orange juice whilst we were waiting, which I thought was a nice touch.I found, unlike some earlier reviewers, that the staff were very polite and helpful. I could not tune in my TV on the first evening, and I reported it to reception and it was dealt with quickly. I would recommend this hotel to anyone wanting to visit London and stay somewhere comfortable and central.	
Oct 17 2007 	Feels low rent even though you pay through the nose	I had to stay here on business as I had an early flight the next day. I really feel as if I paid a shedload for somewhere to lay my head for the night, as I didn't really benefit from any service at all.Internet access is not free - it's quite astronomical, which for London which is heaving with business travellers is quite ridiculous.The room was tiny and its 'ensuite' was just tacked on in a corner. Like a cupboard or something. You could barely get into it when the door was open. The decor was alright but nothing special. The whole place had an air of shabbiness.Breakfast was included in my price but because I was leaving early (before 6) they told me they couldn't provide me with anything. I found this a bit pathetic - surely they could have given me a sandwich or something. It's meant to be a swanky hotel. Eventually they conceded that I might be able to get a hot chocolate in the morning in lieu of breakfast. I requested it to arrive at a certain time - it arrived 15 minutes later, so I didn't really have time to drink it as I had to catch my taxi.I had to go to reception to get any response as they don't respond to phone calls.The taxi service they recommended just seemed a bit dodgy and not really the type you generally order for business travellers.I can't believe this is meant to be an upmarket hotel. I would give it about 2 stars. And that's being generous. Next time I need to get up early for the night I will stay in the office, rather than pay over 100 quid for nothing much!	
Oct 16 2007	Extremely disappointing	Our stay at the Hotel Russell was extremely disappointing. Having stayed at this hotel eight years ago I was dismayed at how appauling the service had become. Most of the staff were surly and rude. Even the concierge appeared put out when you asked for simple directions to standard tourist locations.We had some luggage stolen from our room. The hotel's reaction to this was both unhelpful and un-sympathetic. We had to struggle to get them to provide the police with simple information. It also took quite a bit of discussion to have them waive the cost of local calls from the room to the police station. Even without the theft incident, the quality of service provided by Hotel Russell was extremely poor - I would no longer recommend this hotel to anyone.	
Oct 15 2007	Give it a miss	The room was small, and shabby, the bathroom was dirty, the public rooms are nice, and the nice look of the place from the out side, it is all so good location.Brekfeat was no good, the main resteruant was full, and they put us in a over flow place, self service most things cold, or no bacon, then no sausage etc, so hopless and cost a lot for what it was..Bar was closed as well, only beer by the bottle, and poor service.	
Oct 7 2007 	Tiny Rooms and Expensive Phone Charges	The rooms in The Russell Hotel are generally very small. Our double bed was squashed into a corner, and you could barely swing a cat in the room. Still, the location is really good. Breakfast was fine, though the dining room gets very crowded. Our main problem though was with the charges for using the phone in the room - we used a phone card, but were still charged for dialling a number, even if it didn't get through. The charge was £2 per call made - an absolutely outrageous surcharge, which is not prominently flagged. After complaining for about 10 minutes, the manager grudgingly knocked £4 off our final bill. We won't be rushing back.	
Oct 5 2007	Russell Hotel not it's best	The Russell Hotel has had a major re-vamp, it's a pity about the Bedrooms, My partner &amp; I were offered a room on the first floor at the back of the Hotel, clean bathroom that’s all I can say about the room to be honest, the double bed was thrown together and the base had obviously seen many years of use ie: all four corners of the base were ripped open and showing the wooden frame, the wall paper was ripped and coming away in places, the trouser press had been broken off the wall fixings, bulbs didn't work in the overhead lighting, the windows where as black as soot, for £60 pppn for two nights, I feel we where both ripped off, the bedrooms on the website are obviously not in this hotel.	
Sep 30 2007 	Nice room indifferent service dead pigeons	I booked two rooms in this hotel for two nights. My wedding was on the second day. I made this clear when I booked, and explained that I wanted my bridesmaid to be in a room close to mine. They didn't manage to accommodate this. My room was nicely designed, and clean. However, the lights near the mirror were not working - not ideal when you are trying to get your make-up right for the wedding photos! The view out of the window was okay at night-time - into the central courtyard of the hotel. However, in the daylight all you could see was the dead bodies of pigeons, in varying stages of decay, that were caught in the net above the central air-conditioning unit. Charming. The hotel seemed to be ridiculously under-staffed. We had to queue for 15 minutes just to check out. And when I ordered a taxi - to take me to my wedding (which, again, I explained) they did not manage to get me a cab for half an hour, and it was one of the grottiest mini-cabs I had ever been in. Oh, and the breakfast was stale and mean. From the reviews I read, I had expected much better. The infrastructure is here, the location is great and the interior design and cleaning services are fine, but the customer service needs a serious overhaul. I hope it has improved over the past year.	
Sep 25 2007 	Not Impressed!	Stayed here on business during September and there's no way I'll be returning.The hotel itself is very mediocre, albeit contained in a very beautiful building.My main gripe has to be with the staff. Usually you get one or two members of staff who appear unfriendly/unhelpful. Well at the Russell it seemed to be a prerequisit of employment!! On at least one occasion I was blanked by staff when asking for help.As the title says ......... NOT IMPRESSED!!!!	
Sep 15 2007 	Nice building with lots of potential....shame about the poor quality hotel	On first glance this hotel has a lot going for it - beautiful building, very convenient location (right next to tube, plenty of buses &amp; shops nearby). But that's about where it ends.The hotel claims itself to be 4*. Not sure whose 4* rating they use but I can say it is not!!I arrived early from the airport and was pleasantly surprised when they said there was a room available. So off I went to my double room on the 5th floor. It was clean and with plenty of space for my bags but rather shabby and the window frames were rotten and really dirty. It had air-con but it was rather noisy and looked at some point to have dripped onto the lampshade below as it was heavily watermarked. Furniture was rather worn. Bathroom again was clean but tile grouting had seen better days. The wall mounted hairdryer was clearly many years old and was starting to come loose! I then discovered that the safe in my wardrobe had been left locked. After several attempts to unlock it I called the front desk who sent someone up to look. They immediately said it was broken and they would have to order a new one. Another call to the front desk to ask them what I should do and they then offered to store my valuables for me (errr my laptop and passport - no thanks!). I asked to move rooms.So onto room 2! I went down to the front desk to discuss moving rooms and was treated as though I was a major inconvenience to the staff. There was no apology, nothing. Just a sneery comment that they wouldn't be able to accomodate me on the same floor I was currently on (relevant.....no!). I took the key to my new room (4th floor facing the inside of the hotel) and went to move my stuff. It was night and day to the old one. This was a refurbished room. Furniture was modern, decor was much cleaner and the safe worked! Room cleaning seemed rather erratic. The bin in my room was not emptied at all when I was there (the bathroom one was!). One day my tea/coffee tray was not replenished &amp; the next only the biscuits (but not the coffee!). The other minor point was that when I opened the container with the tea bags and coffee inside I noticed that some of the coffee sachets had a best before date of Dec 06!!!My other big complaint was the cost of internet access. For high speed in room access it was 50p a minute up to a maximum of 25 pounds a day! There was also a charge for using the computers in the hotel business centre. Breakfast was nothing special. Staff seemed rather disorganised and there was limited choice for those who didn't want a full fried breakfast.The hotel has no leisure facilities. Fine if you are a tourist and have better things to do with your time but for those on business a gym is usually something that would come as standard in the USA at a hotel of this size.I was put in this hotel by my employers travel service. They seemed to get a good rate. Having seen the hotel's rack rate and those being offered by the big internet booking sites there is no way on this earth I would pay that for this standard. I know London is a difficult place to find good quality at a reasonable price but you can do much better than the Russell so please shop around.	
Sep 14 2007 	Grand building interesting surroundings mediocre hotel	The Russell was one of the grander hotels in London in its prime, and the architecture and decor in the lobby certainly bear witness to this. But rooms tend to be drab, small and a little shabby, and service is at best mediocre with plenty of Eastern European staff whose grasp of English often appears to be shaky.On the positive side, it is in a very convenient part of London (very good for the British Museum, Tottenham Court Road, Oxford Street, and Kings Cross, St Pancras and Euston stations), and rooms there often turn up cheaply on Priceline. On the negative side, the atmosphere once you get beyond the magnificant lobby is drab and rather dour, the rooms are small, and it's difficult to form any kind of rapport with the staff - these issues are clearly the reasons why plenty of cheap rooms are available there.I certainly wouldn't pay full price to stay here. It's a middling three-star hotel that seems to want a four-star price. But if you can get a cheap room here and you're aware that the grandeur of the public spaces is not matched in the guest facilities it's adequate as somewhere to stay.	
Sep 11 2007	Low quality at a high price	I had the missfortune to choose this hotel during a 3 day stay. firstly as advertised there was no safe deposit box in the room, rooms are noisy, decor shabby.I ordered Room service one evening and received &quot;raw&quot; lamb which I sent back and asked to speak to the duty manager, no one returned my call inspite my calling reception 3 times.Low quality, terrible service	
Sep 10 2007	Never again. Dreadful service.	I booked this hotel after tons of research. We wanted something central and we were going to an event in the O2.Pros :Location is perfect, could not be better. The Hotel is is a lovely part of London and only 2 stops from Covent Garden. There is a 24hr tesco across the street. Cons:Staff were extremly rude on check -in. Barely acknowledged me with eye to eye contact.They never told me they were adding 100punds to my bill, they do this in case yu use any hotel facilities, but not telling you i thought was rude.I requested a new room in a new part of the hotel with a nice view. I got a an old small, dirty room at the back of the hotel.The bar staff were also rude, we had one drink and the bar man was only short of throwing the glass at me.Overall, I would not stay here again, staff need training, or just new staff.	
Sep 7 2007 	Lousy bedsnoisy but nice staff and breakfast	Stayed here on a business trip. Hotel booked for by company. Breakfast was great, staff very helpful- in fact, tripping over themselves to assist and be friendly.. but what a lousy bed I had, very soft and uncomfortable. Having checked with other colleagues staying, they had similar comments. It was a warm day, air con on all the time which was noisy for the night, the room (windows) could do with being better sound proofed. Bathroom clean but room smelt musty- almost as though it was a smoking room before but not since the ban on smoking came into force. Like others have commmented, the location is very good. The surroundings, promity to the underground, quality of food, friendliness of staff- I agree that might be 4star but the quality of rooms- definitely not. I have stayed in many 4 stars around the world and frankly there are better 3 stars to the Russell.	
Sep 3 2007 	Stop Your Search - Stay Here!!!	Booked this hotel before reading any reviews - then read some reviews and thought OH NO!!!. So a little apprehensive. Well what can I say...it was fantastic. I took my wife for a break away from the kids and arranged via the concierge prior to arrival for some wine and flowers to be in the room. When we arrived reception was very quick and professional, the room was lovely and the flowers and wine were on the desk in the room and she was bowled over by them!! The room was extreamly comfortable. The en-suite had a really nice shower too! The location is superb opposite a lovely park and 2 min walk from russell sq tube! Room service was 24 hours and we used it one night at 2am when we dragged ourselves back in from a theatre night out and the service was really quick and the food was great.The hotel was very quiet and we were on the 1st floor so I don't know why other people were complaining about noise they must have been very unlucky. We didn't pay full price we went via an agent last minute but I would strongly recommend this hotel to everyone - but the room we had was a double and a little small for more than two. But will definately look to stay here again.If you are looking for stuff to do - try LONDON RIB which is a speed boat trip on the Thames, starts with a excellent guided tour of landmarks and ends with a white knuckle ride - fantastic!!!	
Aug 26 2007 	Nice hotel Shame about the bed!!	We arrived in London for our first visit to the new Wembley. The hotel looked great on the web site and we were really looking forward to it. The hotel looked lovely and the staff were really helpful and friendly. we had heard some not great reviews but, since the hotel said it had just spent a lot on refurbishment we ignored them. The room was small but, pleasant, the ensuite bathroom was extremely tight but, clean and fresh. The trouble came when we got into bed. The mattress was lumpy and the base had definately seen better days it was very hard in places. We complained to the hotel management in writing but, got no response. The only other thing to note, which is the same at a lot of other city centre hotels, is that there was sometimes as very long queue for breakfast.	
