	It's the staff that make it excellent	Just off Leicester square, but surprisingly quiet this is a functional Radisson, with well equipped rooms and feels very new. I was given a first class welcome at Reception and that level of service continued through my one night stay. At breakfast (which is costly but worth it) it was a real pleasure to be served by staff who seemed to be enoying their work, but were also professional. Simple things like saying &quot;May I take your plate away&quot; make a big difference. Definitely not a budget option, but worth it for the location.	
Dec 22 2005	Raddsion Pastoria Covent Garden - Raddison's theatre-land black sheep	How on Earth has this hotel attained a four star rating?Good points first, just to be fair to the staff - they are very friendly and charming, so no flies on them!Bad points, the flies rest on the shoulders of Raddison Management, obviously rubbing shoulders with the Daily Telegraph as this is the only paper you'll get as complemetary. Is it necessary to be a Conservative with a big C to stay in a Raddison hotel? Is creative, raffish, unbusiness-like Theatreland not worthy of the same budget as the other Raddison hotels? The others in London are superb, but this hotel is nowhere near in the same league, and yet charge the same rates. The lobby and dining area ( the areas most visible to the passing public ) look fine but we found the rooms dated and small. They look like chintzy guest house rooms frozen in a time warp.The first room we were offered was just appalling. Cracked fittings, very faded furniture and no window...a dark, airless pokey little box! We asked for another room and were offered something better, but still not worthy of the four star grading. We found cracked bathroom tiles and cold water that ended up coming out of the tap as warm as the hot. The bed was hard enough for a penitant monk and the heating system was unworkable, so we were boiling for most of the night. Raddison run some great hotels and, in our experience, employ wonderful staff. The Pastoria is the negelected Cinderella of the family and seriously needs looking into. It cannot capitalise on its Covent Garden location forever. In future we'll stay further out and take the tube, and suggest other visitors do the same.	
Nov 6 2005 	Very poor quality	Booked 6 rooms for a night out in Central London for my staff.Firstly, the elevator holds 3 people and has a light cover in it hitting the head of anyone over 6ft(like myself).The room was the smallest I have stayed in since University.The toilet was so close to the bath you had to sit at an angle and I measured the shower head at 5ft 7ins from the ground.The taps were also so stiff that you had to use both hands to turn them.The bed was positioned close to the thin wall seperating the room from the corridor so that every sound could be heard from outside.Altogether a miserable place and at a cost of £125 a night I am sure there are better places to stay.Only positives were the location and friendly staff who looked slightly embarrassed when I made a comment about the place.	
Jul 29 2005	A little gem	This hotel is ideal for theatreland and the hustle of London. You are absolutely central for restaurants etc everything is on the doorstep. Although our room was small and had no window outlook we were provided with an electric fan to keep things cool. We could not fault the service we received and for a short stay i.e we stayed just the one night it was fine.	
Jun 16 2005	Recent Stay	My disabled mother &amp; I spent 3 days at this hotel. Our initial room was tiny, &amp; hot &amp; noisy On the 2nd day we were moved to a more spacious room with a large bathroom, it was very clean &amp; comfortable.Most of my praise is reserved for the staff, nothing was too much trouble, in fact they went out of their way to help &amp; they were always courteous &amp; cheerful, they were especially kind to my 83 year old mother &amp; looked after her when I had to go to hospital.I hesitate to pick out any individual staff as they were all superb from the people who served breakfasts, to those who cleaned the rooms but especially the reception staff. Many thanks to you allProvided we can have a larger room I would use this hotel whenever we come to London, the location is excellent	
Apr 30 2005	Costs Too Much for Value	I know that London is an expensive city, and I have no experience with other London hotels, but I think you should be able to find a better place to stay than the Pastoria. This hotel's biggest advantage is its location--right on Leiscester Square. We walked to Trafalgar Square, the theater, Buckingham Palace, and a good restaurant. It's biggest disadvantage is its cost. Including the VAT, our room cost us more than $400, and it was a very average room at that. No staff was available to help us bring our bags in from the taxi. Our room was small and rather shabby, with dreary views. We will look for a different hotel if we ever make it back to London.	
Mar 1 2005	not as good as other Radissons in London	We have stayed in almost all the Radisson Edwardians in London since my husband travels there frequently for business. This one is definitely not up to the standards of the others, which I would all recommend. The location is convenient but very noisy on the weekend. We were there in winter and didn't need air-conditioning, but in the summer without it it would be extremely hot and noisy with the windows open. There was a fan in the closet. The biggest problem for us in this hotel was the water pressure, or lack thereof, on the 6th floor. It took 10 minutes to get hot water, and then only a trickle. Also, the lift in this hotel was claustrophobically tiny, and I've been in a lot of London lifts! We ended up changing hotels for the last two nights of our stay. I hesitate to check the &quot;terrible&quot; box, because the hotel was not AWFUL, just not what we were expecting for the price and we ended up finding a much nicer one for the same price.	
Aug 6 2004	Great location - comfortable	If you are looking for a mid-range hotel right in the middle of the action in London...this is the place. We stayed for a couple nights at the end of July 2004. It may seem expensive but for it's location on Leicester Square....can't beat it. The rooms were small (typical for anywhere in Europe) but clean. The hotel itself is modern and right outside the front door is the centre of London's theatre life. The square is very busy even at night and so we were surprised at how quiet the room was given the fact we were facing the front street. We stayed on the 4th floor. Covent Garden is a few blocks away - same with Trafalger Square. We walked most places (including Buckingham Palace which took about 15 mins) but the underground station is just off Leicester Square. If you want to stay in London and be close to everything.... I recommend this place.	
Jun 11 2004	Great Location. Not-so-great Rooms.	This place has a great location right where the action is in West London and Leicester Square. Don't confuse this hotel with the Radisson Edwardian Hampshire immediately opposite this hotel. This hotel has a nice lobby, friendly staff, however, that's where everything ends. The rooms are awful and dilapidated, the bathrooms look about 30 years old and smokey (yes you can smell smoke from other people's rooms even if you don't smoke), and the amenities just don't stack up for the price. In addition, there is NO AIR CONDITIONING, and these rooms get really hot quite often due to location and building design.So if you care more about the location choose this. But don't bring the family.	
Feb 10 2004	Pastoria is GOOD VALUE	Very good value and pleasant environmentCould not be better placed for theatres,galleries and such	
Oct 28 2003	Very poor.	Where to start? First thought on arriving in the small, tatty room was &quot;I must turn off the air conditioning it's far too noisy&quot;. Only after searching the room did I find that there was no air conditioning and the noise was from the Odeon cinema's unit directly outside my window. The only air conditioning was from a floor fan plonked in the corner. The room was boiling and this was September in the UK. The check in staff were not particularly helpful, coming across as quite rude. And after getting locked out of my room I was told that the key cards have a tendency to lose their memory. Positives? The location is great for eating out and entertainment (but picking your way over homeless people sleeping - and worse- in the alley outside kind of removes a bit of the glamour). The toileteries were quite good too - although the bathrooms were quite grubby. We cut short a five day stay after two days and moved to the Holiday Inn at King's Cross.	
Oct 6 2003	great location for the theatre	friendly staff, small but pleasant room, amazingly quiet given the location, location perfect for theatre goers	
Oct 7 2009 	shopping		
Sep 14 2009 	??????????		
Aug 21 2009 	ottimo rapporto qulità/prezzo		
Apr 18 2009	super Lage		
Apr 9 2009 	centrale		
Mar 3 2009	Angenehm		
Feb 7 2009 	London total zentral		
Jan 27 2009 	volvería al radisson leicester		
Sep 8 2008 	Bien situé et confortable		
Aug 28 2008 	Ubicación inmejorable!		
Apr 2 2008 	Schoene Location Kleine Zimmer		
