	On the slide	This hotel is on the way down. We have been going for several years and it started off as a great value find. Time passes and standards slip. Dirty towels, disinterested staff, no staff on Reception...no sense of Service	
Jan 6 2008 	Pretty good value!	Two friends and I stayed at the Jurys Inn on new years eve as a base in London booked through Last Minute.I've stayed in quite a few places in London, and the Jurys was a good value hotel, not too far from the tube (and lots of taxis passing by) and provided a good standard of accomodation.We booked a triple room for one night and at 150 GBP for one night on new years eve, it was pretty reasonable.I would definately book this hotel again if I were staying in London and compared to some other hotels which are more central, it was a sound choice.	
Jan 4 2008 	Warning about the location	We have visited London many times, but had never been to Chelsea so we thought the Jurys Inn Chelsea was a good option for us to see the sights. We got a double room for £84.00 per night which we thought was reasonable.The Hotel itself was fine; friendly staff, the room was spacious and clean, all you would expect from a Jury's. The problem we had was with the location. The surrounding area is under development and there is lots of building work going on but it felt like we were in the middle of an Industrial Estate, I missed the feeling of being in the hubub of London. Also as we stayed here in December it was really quite cold and the long walk to the tube station was none too appealing (about 30 mins). Staff informed us that a bus that stops outside the Hotel that takes you to Fulham Broadway tube, which it did, but a single journey was £2.00 each, a taxi is cheaper! In the evenings, you haven't always got time to wait for a bus, then get on the tube, then another walk to wherever you're going, so we ended up getting taxi's everywhere, as the tube wasn't easily accessible. This really did cost us quite a bit with London traffic the way it is.So it's not a problem with the hotel itself, but as Jury's prides itself on choice of location for their hotels, we felt this one let it down a bit.	
Dec 17 2007 	Sort the staff out	Hotel is clean and room ok but it is well out of the way from anywhere of any relevance. We found the staff (particularly in the breakfast area) almost Fawltyesque in that they were generally very rude and unhelpful (when asked if any cutlery was available we received a curt &quot;no&quot;). We were also contacted in our room by reception at 10.30am to see if we had checked out as they thought they had seen us leave! Would rather pay more (or save on the taxi/bus fares to get to and from the hotel) and not be insulted.	
Dec 1 2007 	Excellent Choice !	Just returned from 2 seperate 3 night's stays at Jury's Inn Chelsea. We were delighted with both of our rooms, the beds and duvets were very comfortable, the rooms spacious and the bathrooms positively gleamed! The front desk and restaurant staff were very helpful and pleasant, especially Chloe. The bar staff was always pleasant and the drinks generous, especially for the prices.We did not find the location at all inconvenient, in fact we quite liked the C3 bus at the door, which dropped us off in about 3 minutes at King's Row, where we could catch the 22 or 11 bus to take us just about anywhere we wanted to go. Since I much prefer the bus to the tube and King's Row is one of my favorite shopping spots , I was delighted. We did take the 11 all the way to Liverpool St station one morning and decided that if one wanted to save money , it would be a great option to the Hop On, Hop Off bus!I can only see the area getting better as more shops open at Imperial Wharf. We will definitely be returning soon.	
Nov 23 2007 	Jurys Inn Chelsea very nice hotel	We just got back from 4 nights at the Jury's Inn Chelsea and agree with the other reviews. It was a very nice, clean hotel and staff was very friendly. As others have stated, the location is the only negative. It is really out of the way and you need to take the bus to get to the tube. We didn't try walking to the tube, but I would guess 25 minutes to get to Earl's court. It's about a 10 minute bus ride. Take the C3 to Earl's court and on the way back it drops you off across the street from the hotel. (They are planning on a tube station next door) Other Info: We booked this hotel through a British Airways offer. The room was for 2 adults, 1 teen. They didn't have any drawers for clothes - just 2 drawers in a desk. The hair dryer is in one of the desk drawers. There are ice machines on each floor. Continental breakfast was cereal, rolls, yogert, fruit, etc. They offer Internet connection (I think you have to pay) but there are no common computers for guests to use - this would really be a big plus.	
Nov 19 2007 	Wonderful would go back and reserve for next yr.	Hotel room, clean. Service was excellent. Very pleasant and helpful. The bar area was a wonderful for a nightcap. Its lounge area was cozy. They really have a wonderful staff and they were helpful when it came to ensuring that your stay at the hotel was a pleasant one. Wonderful dispositions. If you aren't afraid to travel on the buses or walk to the train stations then this is the hotel to stay. Close to the buses that took you to Fulham station or to Earl's Court. The walking distance was not bad if you followed the bus patterns and you are not far from Central London.I had such a pleasant stay that I am serious about going back there to stay again. Close to the Chelsea Football stadium and with developments happening it is still exciting area to dine, drink and walk around.	
Nov 9 2007 	Good Choice for our London trip	Bit late with my review but here goes.Both my son (aged 16) and I stayed in Jury’s Inn Chelsea for 5 nights in mid June, as an end of school term treat for him which included a trip to the new Wembley stadium to see Muse in concert. I know London quite well and have stayed in other hotels but picked this hotel primarily on the basis of cost and the general good reviews on Trip Advisor. A number of other hotels I checked were quite a bit (some, a lot!) more expensive albeit they were nearer to the West End and general environs. On arrival I was greeted by reception staff that were friendly and very welcoming. The rooms are quite large, spotlessly clean and comfortable.My fussy son (who likes his comfort) gave the hotel a firm thumbs up.We didn’t eat breakfast or dine in the hotel so can’t comment on that aspect.The bar is fairly standard fare as you find in most modern hotels of this type – had one or two drinks there and the staff were friendly. There is a very nice bar just down from the hotel called Lots Road Pub.The hotel is located in a pleasant area beside Chelsea Harbour - we walked down to the Kings Road one of the days and headed on foot to the museum district (V&amp;A, Natural History and Science Museum) – a bit of a stroll! We found a really nice restaurant on the Kings Road (The Bluebird) where we had breakfast – I recommend it if your down that way.Some reviewers have commented that the hotel is an ‘out of town a bit’ location – but it’s really no problem to get to any of the sights in good time without any hassle. I would have no quibble with any of the options to travel to central London but chose the C3 bus to Earls Court tube station as the preferred option, and as indicated by other reviewers.The advantage in going to Earls Court rather than Fulham Broadway tube station is that you are directly on the Piccadilly Line which stops at many of the main points of interest – the museum district, Harrods, Buckingham Palace, Piccadilly Circus, Leicester Square etc. It also links up with all the other lines, so it’s easy to get to all other locations and enabled us to get to Wembley stadium quite easily. The Piccadilly line also goes direct to Heathrow Airport. If you are travelling fairly light you can catch the tube under the airport and get off at Earls Court station and exit via the Earls Court Road side; the C3 bus stop is just across the road 50 meters on the right hand side – it’s a 10 minute bus ride to the hotel. This is a cheap and handy option if you are flying into Heathrow.To sum up – we were very pleased with our stay in Jury’s Inn Chelsea, and will most likely stay there the next time we are in town. In a city like London which is quite expensive, this hotel manages a high quality and overall is good value for money.Good Choice.	
Oct 13 2007 	A true 3 star hotel	I spent 3 days at the Jury's Inn Chelsea at the beginnibg of Oct. 2007 with my 2 sons. We had a great time. The staff were all great. They assisted us with all of our requests. The hotel is clean and comfortable. Transportation can be an issue if you have to get around London. There are 2 differant bus stops outside the hotel. For some reason the hotel staff informs you that you must walk about a mile to get to the Tube. Not so, just stand outside across the street and catch a bus to the station for 2 pounds. Unless you enjoy the walk. This hotel is not out of the way, you just have to know how to get aroung. The Bus is your best option, the Tube always seems to be down for upgrades.	
Sep 27 2007 	Splendid Stay at this Hotel	Had a stay at this gorgeous hotel in september 2007 &amp; were pleasantly delighted with the experience! The hotel rooms are decorated nicely, comfortable &amp; friendly! The staff were very helpful, willing &amp; friendly &amp; gave the advice we needed so we are happy with them for that! Especially Fiona Rutherford! She was a lovely lady &amp; a great help to us! The Bar &amp; Dining room are clean &amp; welcoming &amp; the food is reasonably priced. This hotel is a little way out of the city centre &amp; it is more in the fulham area than chelsea but there are easy ways to get into the city! You can take a taxi which are always outside the hotel but the cheapest way to get to the city centre is to take the C3 Bus across the road from the hotel which will take you to Earls Court, then take a tube at Earls Court Station into the City or walk 15 mins to Fulham Broadway Station &amp; take a tube.We stayed at this hotel for 5 days &amp; took the buses &amp; tubes everyday &amp; were satisfied, so i suggest that you stay at this hotel because it is a good hotel for a reasonable price &amp; it is great value!	
Sep 23 2007 	Excellent value for London	Booked through Easy Jet Hotel website and stayed for 2 nights 12th &amp; 13th Sep 07. Check in pretty swift - staff very helpful and friendly. Was given a corner room on 1st floor which was superb - spotless and large with plenty of natural light. Didn't eat in the hotel but this was more through time constraints than choice, as the Continental breakfast which was within the rate was fine. The area around the hotel is still being developed though there are a couple of restaurants (Indian &amp; Thai) and a river side pub across the road in Imperial Wharf. The main consideration with this hotel which has been noted in previous reviews is the location, which is a good 10/15 minutes walk from nearest tube station Fulham Broadway, though a bus stop is right outside the front door. The time I was there the weather was gorgeous, so the walk was infact preferable to the bus. To make the most of a day's sightseeing I would recommend taking the river taxi fom Chelsea Harbour Pier (couple of minutes from hotel) which operates during morning commuter time and goes to EmbankmentAll in all an ideal base for visiting central London - much better than the majority of the tired, old, small, extortionately priced central hotel rooms	
Sep 12 2007	excellent 3 star hotel	We stayed at Jurys Inn Chelsea Hotel for two nights as part of our British Airways package from the US. We were very pleasantly surprised with this 3 star hotel. The rooms were very clean and spacious; the front desk staff were friendly and helpful. A continental cold breakfast was part of our package. The food was not gourmet but was very adequate. My only complaint was that the coffee was terrible. The coffee was some sort of powdered weak mixture delivered from a machine. The hotel also should provide no fat or skimmed milk. For three pounds more you could have a hot breakfast of fried egg, sausage, ham and potatoes of the buffet. The hotel is in a quiet section of Chelsea near Imperial Wharf. The hotel was an easy 20 minute flat walk from Fulham Broadway (Green District Line towards Wimbledon). To get to the hotel from Fulham Broadway exit the underground and take a right on Fulham Broadway, Cross the street and take first left on Harwood Road, walk down to end and take right onto Bagley Lane/Harwood Terrace and take first right onto Imperial Road, the hotel is down some on theleft hand side. There are a lot of restaurants and pubs near the tube station and a supermarket in the tube station.	
Sep 11 2007	Great Value for a Great Hotel	My 82-year-old mother in law and I stayed 10 nights Aug. 26 - Sept. 5. Got a great rate through AARP (though the rates via other web sources were also very good).Our stay was consistent with every positive thing that has been said in other reviews.Our 5th floor room was spotless and everything was in working order. The hotel is in a quiet neighborhood and there were no issues with traffic noise, despite the fact that we were on the street side and due to the beautiful weather, had the windows open. The beds were very comfortable, the comforters were heavenly and the water pressure in the shower was great! Safety deposit boxes were of ample size and their lobby location was only a minor inconvenience. High speed internet access was a definite plus, and well worth while for a web addicted person like myself, although the rates were a bit steeper than what I’m used to.The staff was friendly, responsive, helpful and eager to assist, often going above and beyond the call of duty. Breakfast was basic but fresh, well prepared and plentiful. We had light dinners from the hotel restaurant twice during our stay and found the food surprisingly good! Alternatively, there are other excellent restaurants literally steps away. Our favorite, Waterside, has indoor and outdoor dining Thames side, offers a varied menu, fabulous food, great service, and a young, hip atmosphere.The bus stop is literally outside the door and across the street. Busses to Fulham Broadway or Earl’s Court tube stations are frequent even on weekends. The C3 will also get you to nearby King’s Road if you’re not up for the short walk.Taxis are readily available via reservation through the front desk or just hailing one outside. Fares to central London (depending on the destination and time of day) were between 10 and 18 GBP. If you’re going to rely solely on taxis you may want to take this into consideration, but even with my elderly travel partner there were only a few days we used a taxi to return to the hotel.I have already recommended this hotel to my London friends who have out of town guests and will definitely use this hotel on any future trip to London.	
Sep 8 2007 	Fantastic Clean Hotel!	This is a brilliant hotel. I stayed here with my girlfriend for 3 nights at the end of August. The hotel itself is located in a developing area close to Chelsea Harbour. The hotel is fantasticaly clean throughout. Make sure you request a 'corner' room as we were lucky and had one of these rooms and they are massive! The hotel is a luxury for the price (i got a rate of 79£ per night) It's about 10 minutes walk to Fulham Broadway Tube station and theres plenty of shops and bars in this area. I recomend skipping the breakfasts which are average and not worth the money though! But this really is a brilliant hotel for the price and I would deffinatley stay here again, when I return to London for leisure interests!	
Aug 22 2007 	Comfortable Clean hotel	Spent three nights here in August with our kids, aged 17, 14 and 11. Very comfortable, clean rooms at a reasonable rate. Enjoyed it very much.The only negative is that it's a little far from the tube but although we walked to the tube every morning we had absolutely no problem getting a bus back from Earls court in the evening when we were tired., The C3 bus takes you right to the door.	
Aug 16 2007 	Great value and customer care	My wife and I stayed at this hotel as part of a theatre break. We had a spacious room on the first floor. It was immaculate. The en-suite bathroom was spotless, with everything functioning perfectly. The receptionist was extremely polite and helpful. The continental breakfast was ample, and very well presented. For £3 more, guests could have a full cooked breakfast. Finally, the room we had was extremely quiet - there was no road noise, despite the road being so close. Neither was there any disturbance from adjacent rooms. Do not be put off by the walk / bus journey from Fulham Broadway - the end result will not disappoint.	
Aug 9 2007 	Fab hotel	After searching the internet for hours to find a resonable priced hotel that would accommodate 3 adults in 1 room, we booked here.On arrival we were pleasantly surprised, the hotel is fairly new, the staff friendly and rooms clean. Check in was quick and we arrived in our room, a single bed and double, all amenities needed in the room, such as Hairdryer, Dove soap in the bathroom etc.. Plus an ice and water machine at the end of the corridor, which was handy.House keeping were friendly and efficient when we asked for an ironing board and extra towels. The hotel is in a new development area, there are a few restaurants in the Imperial Wharf, but they are quite expensive. You can access London via bus then tube. The 391 goes to Fulham Broadway and the C3 goes to Earls Court. It take about 15/20 minutes to get into the centre of London (Oxford Circus). We didnt have breakfast in the hotel, we went to Fulham Broadway, as it has Sainsburys, Pret and Starbucks. We didnt dine in the restaurant for dinner, but had a drink in the bar which serves until 1am for residents. Overall a pleasant stay and we would stay again.	
Jul 26 2007 	Excellent room	Booked through Virgin Vacations and got this hotel after they switched us a few times due to an overbooking issue. I was a little wary about some of the reviews which stated how out of the way this hotel was. While it is fairly far from a tube station, it is incredibly convenient to get around. There is a bus stop in front of the hotel which will get you to either Fulham Broadway in 5 minutes or Earl's Court in 10, and Fulham Broadway is also a nice 10 minute or so walk. Don't let this put you off...the hotel is well worth it. I had a great room on the 6th floor that was wonderfully furnished and extremely clean. The bathroom was quite large for English standards and also very clean. The breakfast was wonderful every day and the staff were friendly and helpful.	
Jul 11 2007 	good rooms good price OK location bad emergency service	Clean, modern hotel with decent size rooms - the rooms are better and the prices are lower than most of the Victorian era dumps around Earl's Court or Paddington area. Location is OK - you can get a bus to Earl's Court (10 min ride) or Fulham Broadway (5 min ride) tube stations right outside the hotel. You can also walk to Fulham Broadway (15 min) or to King's Road (10 min) where you can catch a bus to the city center. Breakfast is just edible - OK cereals, fruits, and eggs, lousy sausage, horrible orange juice. I couldn't find any local alternatives that would serve more than coffee with pastry for breakfast.Reception desk service is fine for routine tasks. But supporting service is horrible - these people don't speak English and are completely clueless. They fumbled with a credit card for 10 minutes when I tried to use it to pay for breakfast, until someone from the front desk came over to do it in 15 seconds. And when electricity was out in the room when I came back around midnight, they sent up some clueless guy who went around randomly checking circuit breakers - even though it was obvious that the problem was with the card-operated master switch in the room. That guy didn't speak much English either - it took me a full hour to get him to bring a flashlight so I could pack my bags for the next morning's flight out while they were looking for another room. The compensation for this fiasco was inadequate, and the hotel night manager acted as if this was somehow not their fault, even though this was a clear cut case of poor maintenance and incompetent personnel. If you need anything done in this hotel, don't waste any time with the support people - go straight to the reception desk and deal with them until the issue is fully resolved.	
Jul 11 2007	Very good	I stayed here as part of a CIE Tour to England. It was a very nice hotel and the staff was very friendly. Their breakfast was quite good and the rooms were nice and clean. The only thing I wished was that it was closer to London. It is only a short bus and tube rife from the city center. The location of Chelsea is very nice. It's right by the water.	
May 25 2007 	Hotel is OK - give the food a miss	Infusion Restaurant should be renamed Confusion. Waited 40 minutes for a starter and overall one and a half hours for a meal so ordinary it defied description. Free wine in no way compensated - nor the apology that they were short staffed. I'm a home cook and could have managed the few people who were waiting to eat. Highest recommendations to The Waterside Inn, beautifully poised on the Wharf, friendly, happy staff, well priced food and wine. And DEEP - WOW - if you like seafood you'll love this fabulous restaurant. Everything was just so, from the organza cushions on the chairs outside to the matching candle lights. The chef/owner has the lightest touch and the presentation was immaculate. It's a little pricier but worth it.	
May 7 2007 	Great Hotel Excellent for the Price	Stayed in this hotel May bank holiday weekend 2007 found it excellent. Staff were very courteous and helpful. The room was clean comfortable and a good size. Housekeeping had forgotten to leave us some coffee cups on the second night I phoned reception and within 5 minutes they were delivered to the room. Had some reservations on the location having read reviews on this site before I travelled however London has an excellent transport system, there is a bus stop outside the door the 391 bus takes you to Fulham Broadway tube station and the C3 takes you to Earls Court tube both buses run at 10 minute intervals. If you want to walk it will take you approx 10 minutes to walk to Fulham Broadway. We found the best option was to go to Earls Court as there are more tube lines running through it and you will save time. Get a one, two, or three day travelcard - they are excellent value and you can use them on both bus and tube - paying for individual journeys is expensive.	
Apr 11 2007 	My second stay here	I stayed here again because i had a good experience the first time. My experience the second time was the same - convenient early check in without fuss, TRUE non-smoking room, helpful staff, extremely clean property. The 391 or C3 buses quickly and efficiently connect you to the tube. I have stayed in central London before and find this hotel more conducive to good sleep - better beds and less noise outside the window. I will stay here again.	
Mar 22 2007 	Good value for a small inconvenience	Not much to say that hasn't been said before. New hotel, friendly staff, good sized family rooms and low rates (65 pounds per night booked on hotel website). OK now for the downside. It's a 15 minute walk or short bus/taxi trip to the nearest tube stop. Every hotel in London seems to have some tradeoffs and overall this one is a very good value	
Mar 13 2007 	Nice basic but clean Hotel outside the congestion charge	The hotel is far enough out to not have to pay the rip off London congestion charge (although you have to be careful because it sits just one road away from the charge zone). I guess most people won't be driving here but if you are be aware that there is no on-site parking and the nearest is a secure NCP which charges £20ish per 24hrs (which isn't bad for London). We stayed for a theatre leisure break and then to travel on to see friends and booked the room via www.jurysinn.com which promised the best price at £90 for a family room on a Wednesday night. Be aware that although we booked a month in advance when I turned up in reception they had no record of my booking even though I had printed confirmation!! The hotel was very busy and although we arrived early (2pm) to check in there were other people complaining at the check-in desk that they had made reservations which could not be found. One guy in front of me wanted to add an extra night stay for that night but was turned away as the hotel was full. Luckily the guy behind the desk got me a room (unfortunately a disabled room and not the promised family room) which had a double bed and a fold out bed. The fold out bed was only big enough for one child so as we left to go in to London we spoke to the reception who reluctantly got us another fold out bed.As we had kids with us we didn't want a long walk to the tube so we opted for taxi's - they were very easy to flag down outside of the hotel but the charge was always at least £10 to get in to central London's usual tourist attractions.Overall the hotel was nice, clean and recently developed. We only used the restaurant for breakfast which was a fairly simple selection. The check in was a total shambles so confirm your booking before you go - or you could be left without a room.	
Feb 7 2007	Winter stay at Jurys	This hotel is located about 20 minutes walk away from the nearest Underground Station, Fulham Broadway. It is close to Chelsea harbour but is in a &quot;developing area&quot; adjacent to Imperial Wharf. Alot of new residential developments are planned all around the hotel. The Gas works is quite close to the hotel.Imperial Wharf is also developing and already has a few restaurants. An M &amp; S &quot;Simply Food&quot; is also planned. The nearest food outlet at the moment is a Tesco Express located at a garage on the Kings Road, about 10 minutes walk away.A taxi to the V &amp; A costs £10, the same to Victoria Station.Check in was efficient and our room on the 5th floor (502) was spacious with a double bed and a bed settee. However this was a room with adaptations for people with disabilities so there might have been more &quot;circulation space&quot; for wheelchair users. ( neither of us has a disability requiring adaptations but I am an Occupational Therapist)There was a drop down rail next to the WC and the WC was higher than normal. The flush control was larger than normalThe door to the bathroom was wide. The bath was very low with a horizontal bath rail. Easy to step over the side but not so easy to lower down into or get out of. No bath aids were provided. There was a pull cord alarm next to the bath. The wash hand basin was lower for wheelchair users which we found a little &quot;un ergonomic&quot;The view from the room was of the back of the hotel. Air conditioning/heating was efficient and comfortable. The bed was fine and additional pillows were supplied. There is an ice machine on the landing outside the room. We ate in the hotel bar in the evening. Lasagne and chips and fish and chips came to £14. The food was OK. We also had breakfast which was approx £10 each. This was ordinary with a choice of cereals, juice, tea or coffee. The hot range consisted of approx 7 choices + toast cooked to order. The &quot;hot&quot; choices apart from the toast were a bit &quot;cool&quot;. The dining area was bright and clean. Complimentary newspapers were available.It takes approx 30 minutes to walk from the hotel to the Royal Hospital, Chelsea which I would highly recommend. The walk is pleasant alongside The Thames. The Chelsea Physic Garden and the National Army Museum were also worth visiting. The Royal Hospital and the National Army Museum are free, there is a charge for the Physic Garden (£7 adult admission when I visited)Kings Road is interesting and there is a good cafe at &quot;Antiquarius&quot; at the Antique Centre. A drink and a Spaghetti Bolognaise came to £7. The cafe seemed to be frequented by Antique dealers. Food was provided quickly by pleasant staff.It wasn't a bad stay but don't stay here if you want a pretty view or if you want to step straight out of the hotel into major tourist attractions. You will have to travel to the sights either by taxi, foot and/or Underground.	
Jan 6 2007 	Would stay here again	I don't understand how anyone could not figure out the transportation system around this hotel. It was a 10 minute easy-to-find walk to the tube. However, if you desired busing it to the tube the bus stop was just about in front of the hotel, or a cab to the tube is about 4 pounds. The staff was very helpful with any questions we had from public transportation to places to eat. Everyone at the hotel was very friendly and the food in their restaurant was good the one time we did eat in the restaurant. The hotel and rooms were clean and the amount of space in the room was fine. If you are someone that rarely spends time in your room when on holiday then this is a great place. If you need frequent trips back to your room throughout the day, I don't recommend it for you.	
Oct 22 2006 	Enjoyed our Stay	Stayed at this hotel for 2 nights from 18th October. Lovely spacious, clean room. Very pleased with most aspects of the hotel. As for location ……..well a bus stop at the front door (frequent C3 service– a 10 min journey to Earls Court then the tube) – could not see how you could complain about that. Scotland has an advantage when it comes to smoking as hotel bar sometimes too smoky. When we arrived we stopped at the bar for lunch but most things we chose on the menu were not in fact available……..even anything to eat with coffee. Breakfast was a not included in our stay and at almost £10 for English breakfast was rather overpriced for what was on offer. Staff were most helpful and courteous. Would definitely stay here again.	
Oct 17 2006 	Would never stay here again	We spent 6 days in this out of the way location and it was only towards the end of our stay that we had worked out the public transport system to save the long walks to the nearest tube station. The hotel seems to have been built for the bus tour operators. It is certainly not in the heart of things and I would next time pay extra to be within easy walking distance of restaurants, shops etc. The address may say Chelsea but it is actually Imperial Wharf, some distance from Chelsea or Fulham-Broadway.Our stay started unpleasantly when we were told we could not have both a non-smoking room and a bed rather than a convertible sofa (for our tall son). When asked would it be possible to change when such a room became available we were told that the house-keeping were not paid to make up rooms twice in one day. The reception staff were largely unfriendly and not focussed on customer service.My wife became particularly unhappy when we had to go three days without access to an iron or an ironing board. The response from the Reception was that they didn't have enough. When we finally received one the iron was broken and definitely created a risk of being electrocuted. This seemed to be symbolic of a poorly cared for hotel because also the towels were thin and like sandpaper. Although the hotel seemed to be relatively new it had an unhappy and uncared for feeling about it.We have travelled reasonably widely throughout Europe and the US and this was one of our most unpleasant experiences with a hotel.	
Oct 16 2006 	Super stay at Jurys inn	I stayed with a family party of 6, 3 of us in 2 rooms the Jurys inn Chelsea is a very nice clean hotel. The nearest tube Fulham broadway has a few shops where you can get a few essentials like Boots the chemist, sainsburys and Starbucks (yummy muffins etc!) the walk to the hotel is a good 10 minutes, although if you want to get the bus c391 the stop is on Harwood road 2 stop along to get there when you come out of the tube station turn right cross over at the traffic lights opposite TGI Fridays stay on the left (bus stop Fulham town hall is in front of small shop selling newspapers etc) . It is only about 4 stops to the hotel when the bus turns onto imperial way it is the 2 second stop along, while staying in london we bought 3 seperate day travel cards £4.90 for each day this covered us to travel on zones 1 &amp; 2 and you can also use this on the bus although it was annoyingly late on saturday! (we waited at least 25 minutes and they are supposed to run every 10 to 12 minutes ) these where purchased at tube station when we arrived We. had a lovely time in the Jurys inn breakfast was Full english was just over £10 continental was £7.50 which included tea, coffee , orange juice , toast ,fruit salad cereal etc very nice !	
Oct 2 2006 	A great find	We booked this hotel via londontown which offered a very cheap rate - especially for London which is generally expensive. The hotel is quite new, and is located in a newly developed part of London called Imperial Wharf. Although it was a bit far out from the action, it was a short taxi ride and the extra comforts it provided was well worth it. The walk to the nearest train station is about 10 minutes. The room was spacious (by UK standards) with a good size bathroom including a bath. We arrived early and very jetlagged from Australia. The hotel duty manager/desk manager rushed to get the first available room for us while we waited. At 9.30 in the morning it was a relief to get into a room so quickly - great service. The room service meals were very ordinary, would suggest you skip them and go elsewhere, but handy if you are dog tired like we were. On both mornings we had early starts so the front desk arranged breakfast bags for us which was appreciated. Other people we met on tours complained about the size of their rooms, the size of their bathroom sinks and no airconditioning or fans. We had a beautiful ice cold room and ample space. I would definitely recommend this hotel - just be prepared to spend a few extra bucks on taxi fares and you'll love it.	
Sep 25 2006 	Great Value	My wife, 20 year old son and I spent nine nights at Jurys Inn Chelsea from September 15th through Sunday September 24th 2006. I found the hotel on line and paid slightly less than 59 Lbs per night. Breakfast not included.The hotel is excellent in almost every respect but don't trust their computerized wake up call system. Otherwise it was as advertised - air conditioned, quiet and modern.You have to understand London and the UK to realize why this hotel is such a find. First of all, anything comparable would be at least 150 Lbs per night and for that you might just get a lot less.Second, everyone uses the tube to get around in London, regardless of where your hotel is located. There is excellent bus service to the Fulham Broadway tube station (Bus 391) and to Earls Court tube station (Bus C3). The neighborhood is safe if you chose to walk. Also your travel passes (see below) are good on the buses - just wave them to the driver.Third, don't expect the hotel staff to be tour guides. We found all of the staff to be very friendly and efficient but tour guides they are not. So buy a guide book and go from there.Order your tube tickets from London Underground at least two weeks prior to your visit. See their excellent web site and buy the travel passes. We spent about $250 for all of our travel requirements by purchasing a one day, seven day and 3 day travel pass. Zones 1 and 2 are adequate travel areas for most visitors. We received out tickets by mail in California within 3 working days after ordering on-line.Everyone uses the tube to get around London. The system has great coverage, is efficient and costs substantially less than alternatives. Spend the time to figure out how it works - you won't be disappointed.The hotel is apparently priced under market because the Imperial Wharf development plan is behind schedule and building slowly. However, their is a world-class Indian restaurant (Memsahb) located within a block of the hotel. There is also a brand new bar with seating right on the Thames and several other apparently very nice restaurants in the same area.All in all this is hotel is not just good, it is excellent. EnjoyAlan Miller.Santa Barbara, Ca 09/25/06	
Sep 19 2006 	Comfortable	We stayed here Sept. 5th - 13th and booked through British Airways. Our charge was $940.00 for the 9 nights.We were in room 526 which was lg., considering London economy priced Hotels, with double bed and air conditioned. TV gets 6 worthless channels but hey, you're in London!! The staff was friendly enough for us and helpful with the exception of 1 which I think just didn't know English very well,,,atleast she smiled! Room was clean, sheets changed once, great shower, looong tub that filled up FAST, ALWAYS hot water, hair dryer, coffee pot, iron( if you ask for it), ice on every floor, prompt elevator, safety boxes near front desk for valuables and satisfactory continental bkfst. (more food than what you sometimes get at US hotels) On the down side for us,,,, they don't know what a washcloth is, the liquid soap hanging on the wall takes 2 strong hands to squeeze it out and the wake up call system is not to be trusted. Bring your own washcloth, soap and alarm clock! The weather was incredible, 70's to 80's, &quot;90&quot; one day and even warmer when in the tube! No rain!! Fantastic Sunday walk in Hyde Park!! We found the location to be very safe though it took a little practice to efficiently use the bus, C391, to get to the Broadway Fulham Tube and back to the hotel. It's a 15&quot; walk at a strong pace otherwise! We purchased a 1 week 'Oyster' pass (includes bus) that cost approx. $40.00 each. Worth every penny as we used the tube very frequently and the bus as well. Being out of the attraction area was not a problem for us.  We enjoyed our stay at the Jurys Inn and would confidently recommend it to others who aren't intimidated to use the London transit system.	
Sep 3 2006 	A Long Way to the Tube	Stayed there for 3 nights in August 2006. Arrived there after midnight because it took forever to catch a cab around the area and to find a taxi driver who knew where the hotel was located! It was around 10 pounds just to drive there from the nearest subway station! (That would have been a 1 km walk.) It is located in the Imperial Wharf of Chelsea, which is rich and high-end area of London. The hotel is just a minute away from some nice restaurants and the Thames River. Not many locals knew where the hotel was.The room was very clean and was air-conditioned. The soap was a squeeze-dispenser on the wall, the shower faucet was confusing, and the hairdryer is located in the drawer under the TV. Once the card to my room stopped working, so I had to go to the front desk and ask for a new one. The elevator was annoyingly narrated by a voice and advertised that I could've stayed on the sixth floor that was designed by Laura Ashley for just 20 pounds extra. Other than that, everything else was fine. The Innfusion Bar &amp; restaurant was nice, especially the dinners. The staff was okay-- they reserved our room when we arrived late the first night, but had kicked someone else out because they ran out of rooms! We were given a smoking-permitted room, but we had requested a non-smoking room.I recommend this very new hotel to those who are willing to pay for a taxi or walk for 15 min to the Fulham Broadway Station twice a day, but not to those who cannot walk far.	
Aug 23 2006 	Jury’s Inn Chelsea A Great Find....	We chose this hotel based on quality and value and were not disappointed. When we arrived in London it was incredibly hot! Mid 80º F - ALL week! Thank goodness that the hotel had air conditioning as most buildings in London do not. Our room was on the Laura Ashley floor so we got designer bed coverings. There were no fancy soaps or shampoos so do bring your own. I'd prefer to do that anyway.We read other viewer’s comments about the location. As we are well versed with the NYC public transportation it was not hard to learn the underground and bus and rail system. Take the C3 bus to Earl’s Court (District Line) or the 319 bus to Fullham Broadway. Both are directly (literally) right across the street from the hotel and are a 10 - 15 minute ride. We found another bus route (C11) and fell upon Kings Road with its many restaurants. We probably took that bus back most nights since it was like getting a free tour on a double decker! Get yourself an Oyster card with unlimited rides zone 1 through zones 2 and consider it an adventure! Although we were not staying in the center of London we got around fine. On the days we went to Windsor Castle or Hampton Court it was probably easier to get there from our location and perhaps a little closer. Also take the Heathrow Express on the Picadilly line straight to Earl’s Court. We found the staff to be knowlegible on how to get us where we wanted to go. Contrary to other comments, the staff was friendly and very helpful.If you are sightseeing you will be out the entire day and will want to come back to a nice, clean, comfortable and comtemporary hotel that won’t break your budget.	
