	Small dusty noisy and bad service	My husband and i stayed here for one night only and that was enough. I know this may sound harsh but we have never been so disapointed with a hotel. I boasted to my family about staying in a 4* hotel but had to admit on my return that there wasn't much to boast about. The room was tiny, you have to walk around it sideways apart from the bathroom which i must say was the only good point especially the way the water ran out of the tap but i must stress this was the only good point. It was dusty because of the continued refurbishment that was happening. I know many peopke have taken this into account but the work should be finished if it's going to cause disruption fot the guests. The next pitfall parking, this is something we specifically looked for and it suggested that parking is available for guests but it didn't state as long as you are willing to pay £40 a night. Last but not least breakfast, after entering the dining room and waiting 10 minutes for them to clear a table which we subsequently cleared ourselves, we then waited 10 minutes for some clean plates but forgot to ask for clean cups at the same time which took another 5 minutes to get. After eventually sitting down to breakfast which wasn't very nice we then heard a funny noise followed by two of the guests unplugging the warming hubs as it sounded as though it was about to blow up. We shortlly checked out after this. We responded to the review on their website and were offered an apology and a free upgrade to a clubroom on our next stay if we paid for a double standard room. Which i personally thought was a bit of a joke!!!! The other point we found was after entering our debit card details online we were then asked to pay for the hotel when we got there as it didn't take the money out from the online booking which on top of everything else was a little irritating!!!!!	
Aug 8 2006	More like a 2 stars	My wife and I booked this hotel for 10 nights on the basis of their website which states that the hotel has just recently opened in April 2006 and that the rooms are all air-conditioned.When we arrived, there were two porters there who were more interested in chatting to each other than help us with our bags. At the reception desk, there were at least 20 people waiting to be checked in, some had been waiting for at least 30 minutes.When we were finally checked in, we were shown to the two lifts which looked like as if they were from Churchill's days. One of the lifts did not work so we had to wait 5-10 minutes for the other lift to come down. Meanwhile, the porter who took our bags was busily trying to sell us the various tours / taxis that he's affiliated with.Our room was on the ninth floor but we had to get out on the eighth floor to walk up two additional flights of stairs. When we opened the door, we could not believe our eyes. The room was the size of a closet. It was literally, as one of guests eliquently described it, &quot;a bed surrounded by four walls&quot;. There was no room to move and the only window was a tiny porthole that is smaller than ones that you would find on Greek ferries. The water trickled out the shower and bath tap and the toilet leeked water constantly. We immediately asked for room change but were told that the hotel was fully booked out.The next day, they managed to move us to a slightly larger room which was one floor down but still in the roof attic of the building. The room overlook Inverness Terrace which is one of the noisiest streets in Bayswater. Opposite the hotel is a backpackers hostel and all through the night, we could hear shouting and police sirens. To make matters worst, at 5:30 am, we were woken by loud bangings on our door. It turned out that the fire alarm has gone off (not that we heard it in our room) and that we needed to evacuate the building. We quickly dressed and walked down 9 flights of stairs and out to the street only to be told that it had been a false alarm. Had it been a real fire, we would have been roasted alive! Unbelievably, we struggled on and stayed in this hotel.The next day, the air-conditioning in our room broke down. We enquired politely only to be told that the whole building is without air-conditioning and that there's nothing they could do. We asked when it will be fixed only to be told again that they do not know. At no stage did the receptionist or the duty manager apologise to the guests about the condition of the hotel. We constantly overheard guests complaining about the heat and the various problems at the hotel. Being in the attic, the room was unbearably hot. We continued on like this for 2 more days. When we finally complained, they provided us with a fan but it only blew hot air around. We finally had enough after 7 nights in this hellhole and decided to cut our losses and move to another hotel. When we told the duty manager of our decision, he said that air-conditioning is not advertised on their website. I said to him that it was on there when I booked our room and he reluctantly admitted that it had been removed recently.This hotel has potential but they have completely stuffed it up when they decided to open without the basic infrastructure in place. The staff (from the duty manager down to the cleaners) have not been trained probably. An example of this is the constant knocking on our doors by the cleaners in the morning despite that fact that there was a &quot;do not disturb&quot; sign on the door. The cleaners do not speak and read English so that could be the reason why the &quot;do not disturb&quot; sign has to no meaning to them. Even so, basic training could have solved this lack of English. Not once during our stay did they vacumm the floor, change the sheets or wipe the bath down. One time, they even left our door open after they finished so we were totally shocked on our return in the afternoon to find our room completely open to the public. There is no service lift so the cleaners and the bags and bags of used towels occupied the only working lift, making it a good 10 minutes wait for the lift each morning.We have stayed at numerouse hotels around the world from hostels to 5 stars. You get what you pay for but if the hotel advertises itself as a 4 stars, it better has the infrastructure in place to back it up. It does not take much to make a hotel stay enjoyable. Clean room, sheets, towels and toilets are the basic ingredients. Next comes the overall well being of your guests (eg. running water and room temperature) and then the attitude of your staff towards the guests.We will never stay at this hotel ever again and hope that others who read this review stay well clear of this hotel.V&amp;K, London August 2006.	
Aug 7 2006 	NOT IMPRESSED	arrived at this hotel in very hot weather..was quite tired and were not acknowledged by the hotel staff on arrival. after grabbing their attention we asked to check in, the receptionist explained we were to be transferred to another hotel and then sort of trailed off as to why. werent given any clear instructions or asked to pay (even though a fellow tourist was paying for his room before being transferred). so we were taken across london to an unknown hotel other then that it was on oxford street, had no rele clue, the information given was pitiful. The hotel we were transferred to was thankfully nicer and not too noisy. yet when we went to pay for the room we were told it was prepaid. I had paid a deposit over the internet and then told to pay the rest on departure, instead i was not allowed to pay and wihtout notification they have charged my dad, which has caused some problems. although i cannot comment on staying at the hotel, i can tel u there communication is terrible and very uninformative causing a one night stop over and valuable time in london to be disrupted.	
Aug 6 2006 	Great for the price	Booked online for an average of £62/night for a double room. This is dirt cheap for central London at this time of year. Remember while reading these reviews, you get what you pay for. Back home this amount of money would get a real 4 star hotel, but in London, it does not. Things are more expensive here. If you want a room in the style of a US Hilton, you won't find it in London for under £200. However, if you want somewhere nicer than a youth hostel for not significantly more than the cost for 2 people, this is the place for you. I would stay here again.The rooms are small by comparison to american hotels, but not by comparison to other London hotels. The photos they show on the website are much bigger than the one you will get if you book online. Maybe if you pay rack-rate you'll get one of those nice big rooms with big windows, but we sure didn't. We ended up with a basement room. The window lets in enough light, and is well enough secured to protect valuables.The entryway to the hotel is lovely and edwardian, and there's a red carpet in reasonable condition leading up to it. The rooms have been refinished beautifully into a dark modern style. The in-room internet works as advertised (seems to be about 8M/1M speed) and is free. And frankly, for me, these things are what matters. One comes to London to admire London, not spend time in the hotel room.That being said, it's not perfect. Most importantly, THERE IS NO AIRCONDITIONING. After verballing the manager, he admitted to me that the feeder cable from the power company cannot handle the current draw for all the airconditioners at this time of year, and the air-conditioning has been turned off to keep power supplied for everything else. He claimed work would commence in the next week to upgrade this cable, but since I won't be here, I wonder his sincerity. It's a reasonable excuse, especially since the air-conditioners were only installed this year, but still, the end result is no air-con in sweaty humid London. This is not the place for a romantic get-away at this time of year, unless you like being really hot and sweaty.Secondly, while there are nice 40 inch plasma TVs in the room, they seem to have a policy of not replacing lost or stolen remotes. Maybe there were never any remotes in the first place, I don't know, but this means all these £1000 TV's do is make a good clock (there is a small clock in the TV's frame). It seems insane to leave a £1000 TV dormant for the want of a £9 remote, almost as crazy as the notion of stealing remote controls from hotel rooms, but maybe I just don't understand people today. The staff suggested I buy one from a retailer in Oxford St if I wanted to watch TV. I passed them up on this suggestion, so sorry if you get my room next. There is no remote.Thirdly, and finally, we come to the bathroom. A frosted glass door assures that your choices for use of facilities at night-time are to light up the entire room, to your partner's chagrin, or remain in darkness, to your peril. There is no door or curtain for the bath/shower, nor any extractor fan. Additionally, while the refit was only finished in April (or much later, if other posters are to be belived), there are brown stains in the ceiling of the bathroom of my room. The powdery nature suggests mould to me, but the pattern looks like a leak from above. Either seem feasible.The staff seem reasonably helpful, although the first three of them I spoke to had never come across the concept of an extractor fan in the bathroom and management were less than forthcoming over the exact cause of the lack of airconditioning, but they did have someone to help us to our room with bags. Again, if you're from north america, you probably won't like the staff, but don't worry, it's nothing personal, they're just not fishing for tips like many you've met back home.I haven't checked out yet, but I assume they're not going to try to trip me up with some hidden charges. They do seem honest enough.All in all though, great for the money.	
Jul 31 2006	don't bother!!!!!!	First impressions were good but that's as far as it went! the &quot;room&quot; was the size of a postage stamp, although the decor was very nice, a larger room and not so fancy would have been better.The website that we booked the hotel through stated that the room was air conditioned, but on arrival we realised that their version of air con was a fan!! We queried this and were advised that it wasn't working due to an electrical problem even though it was obviously working in the reception area!!The impressive flat screen wall mounted T.V also did not work!And the fridge didn't work either, along with the bedside lamps!All of this made our stay very uncomfortable especially as the temperature was 33 degrees!! the bathroom(although again beautifully decorated)was also very small,making showering a bit tricky to say the least!!it was also very alarming to see that most of the guests we met in the reception were there to make a complaint about the hotel .this was not our first choice of hotel and will definately not be returning!!!	
Jul 26 2006 	thieves !	I wanted to offer a long week end (jul. 10th) in London to my small family and then got to book a &quot;deluxe&quot; hotel with nice rooms well located. It was clearly written on my request &quot;three adults with luggage&quot;.When I was proposed a tiny little room with no airco and a sense of a prison cell with garbage in the hallways, I went back to the desk where I have been proposed to sleep in another Shaftesbury premise where they showed me a room in the basement with a single very &quot;petite&quot; window... So it was again impossible for us to stay so uncomfortably for three nights (I wanted London to be a good souvenir for my kid) and then, we ran off.They now charge my card with a rough 500 GBP !!!!!!!!!!!!!!!They will never have them, I promise !	
Jul 24 2006	Terrible what a shame for London	Booked the Hotel for one night. Web site stated A/C. First thing when I checked in was, that the Reception said there is no Air Con available and the outside Temperature was over 30C that day after days of heat in London. After my complaint I got assigned to a single room which was with a working A/C. Room was horrible small, rather a closet than a room and very hot and humid (no A/C working). In the Bathroom water came from the ceiling and it was badly smelling. No way. Went back to the Receiption (many people did that day and I was lucky I checked in around 1 pm). Got another room on the top floor. Was a double, a little bigger but I cannot see that two adults stay there with luggage. The room was with A/C and terefore was nice and cool when I moved in. However, simply no space. Nice big flat screen TV, but for what is it good if there are no channels available. Unfortunately the room had a window in the ceiling (well top floor), so the sun was shining into my face around 4 am in the morning. There was no possibility to close that window with a curtain or anything similar. Top floor had no access to the elevator, small steps to climb and small floors. Nothing you want to do with luggage. Didn't seem the Hotel has any Bell Boys available to help the hotel guests .What a horrible stay, not to mention, that the Hotel had no Bar, no Restaurant and no Minibar in the room. I say, never again, and what a shame, because I am sure the Hotel was refurbished recently, but what they have done is just not worth for the price (even if reduced fee for a stay).	
Jul 21 2006	Shaftesbury Hyde Park Sauna - A mildewy experience	Oh how I wish that I had found Trip Advisor before booking this hotel. I booked via another website which, shockingly, had this hotel listed in its &quot;highly recommended&quot; area.During my stay the air-conditioning did not work at all, at a time of record heat (mid-July). I had to haul heavy luggage up a narrow flight of stairs instead of taking the lift as advertised. Ah well, I thought at least I could pop some ice in the fridge and have a cold drink - however the refrigerator did not work at all. The hotel room smelled wretchedly of rotting mildewy carpet and mould due to overflow from the ensuite soaking the bedroom carpet. This was impossible to avoid, as the entire ensuite (including toilet, hand basin and shower) was approximately 1x1m wide and the drain didn't - even after a shower the night before and in 32 degree heat, the entire floor was still awash with water the following morning. It was actually not possible to stand crossways in the shower area without one shoulder touching the wall and the other hip hitting the basin. Even the window could not be opened properly to provide any sort of ventillation to the room. Other problems: no informaiton in room so you can't telephone reception; no newspaper, trouser press or hairdryer as advertised; poor cleaning (stained coffee cups, half-used shampoo bottle from previous guest left).Staff were unable to help and had apparently heard it all before - when I started to complain about each of the issues the manager finished each sentence before I had a chance to. One staff member even said they were sorry for me having to stay in that place!Such a shame as the room would have been fine (though very very small) with a minimum of basic maintenance spent on it to fix the air-con and drainage problems. They've clearly spent a fair bit on re-fitting it, so why not make it actually functional? At least the plasma TV was big. Big-ish, anyway, relative to the size of the room. But oh boy, did it pump out a lot of heat for a tiny little mildewy sauna of a room to take in!	
Jul 6 2006	Good location and great price!	A very nice hotel to stay in not just because it newly refurbished but also because of the value of money you get.I booked a room at £69 which i thought was inxpensive for a 4 star hotel but i must say i was lucky as i think this must have been the introductory price.As i entered the lobby i was astouned with the decor and the traditional values that have been preserved while refurbishment.The only set back i had during the stay was the air-conditioning not working and the days i stayed in the hotel were the hottest days with 32 degrees temperature.But i must say that the staff was more than willing to help and they provided me with the air cooler which some how cooled the room put at ease.The additional advantage is the breakfast with the choice of continental and english breakfast which i enjoyed the most.Also i must mention about the bar which has got the cozy atmospeher hence a perfect place for a quite and romantic evening with your partner.The rooms are very well decorted with LCD screen TV and free broadband internet access which helped me to be in touch with my family.To sum up its a very good place to stay and i will strongly recommend to my friends and family.	
Jul 6 2006	Such a shame...	It's not often I go to London, and very rare that I don't stay with friends when I’m there. For the occasion of my girlfriend's birthday, it seemed right to make it a bit special. So I booked a 'superior' room well in advance to ensure it would be a good one. We arrived in the morning and found the hotel without a problem. It was a little disconcerting that when we arrived at reception, we had to wait to check-in behind two groups of people, both who were complaining about service and hotel conditions. I hoped their experiences would be a one off. Sadly they weren’t, and at every subsequent journey past the hotel's reception, I witnessed another guest making a complaint.We were forewarned that the room we were given was 'quite compact', but air-conditioned. We were given the option of leaving our bags and coming back later in the afternoon, whereupon we could have a bigger room, but one without air-conditioning. Due to the workmen outside the hotel not holding back with their pneumatic drill, and a preference to keep the windows closed and air-con blasting (it was a very hot weekend), we opted for the 'compact' option. On the 9th floor.This involved carrying our bags from the lift on the 9th through very narrow corridors, and up a flight of stairs to the floor above (in the eaves) which must have been the servants' quarters, back when the building was a home.I had my fingers crossed that 'compact' was an exaggeration. Sadly, it was a rather generous description of the conditions. The double bed was just about the only thing that could fit in the room, with perhaps, 1 foot clearance at the sides and foot of the bed. There were bedside cabinets , a table with tea and coffee making facilities, a small wardrobe, and a very smart HD ready LCD TV on the wall at the foot of the bed (which had to be carefully navigated when attempting to get to the far side of the bed). This meant there was nowhere to store luggage. Sadly even the LCD TV was unnecessary as the signal being piped into the room was so poor, that most channels were unwatchable, and the rest with a degree of imagination.The bathroom was small but functional and everything was very clean and tidy - the cleanliness cannot be faulted. We decided to keep the room, on the basis of 'better the devil you know', and at least it was cool. It was after we had spent the day visiting the sights that we returned to the hotel and found the bathroom's flaw. The shower was barely a trickle. The power was so low that the water just followed gravity, and tilting the shower-head made no difference to the direction of the water. This, sadly, is not a feature I appreciate in a hotel room, and one of the biggest frustrations.On leaving the hotel (we'd checked out in the morning and left our bags with them for us to collect before catching the train home), we had to wait 10 minutes just for our bags to be returned to us, but were provided with a very prompt taxi back to Paddington.All in all, it was a trying stay, and if we were staying longer, with more luggage and without the ability to return home and get a proper shower, I would have made my thoughts known to the hotel’s management. However, it seems my two-penneth would have been surplus to requirements as the complaints of the other guests covered all of mine and more. It’s a delightful building in a great location, and as stated above everything was kept very clean and tidy, and the staff were polite. Sadly it seems the management is lacking and things generally seemed disorganised. A lot of work and patience is required to make it a pleasant stay. Very disappointing.	
Jun 30 2006	The Shafty Shaftesbury.	Oh My God!! There are far too many terrible things to say about this hotel. Too many to mention, so I will list the most important ones. This must be by far be the worst hotel on the face of the earth. It should rank last on the list of places to stay whilst in London. The only good thing about staying here was not the hotel, but the location, just around the corner from Bayswater train station, close to convenience shops and a very short walk to Hyde Park. The biggest things about the room were the bath towels and the plasma tv screen. I'm not sure exactly where to start so I will begin with check-in. My brother and I arrived late, a little after 11pm on Sunday night the 11th of June. It was not busy as it was so late, yet, the three staff manning the front desk were so inept, they made us wait over half an hour before taking us to our room. They did not have my reservation, luckily I had printed a confirmation letter which they asked if I had. First impressions were not good. They had no personality, could not even manage a smile to greet us and offered no apology for the lengthy delay.Finally, we had a young man (not long ago a boy) who took our bags and us to our room on the 6th floor (or 7th floor as the lift would read). The corridors were so narrow, he struggled with our heavy bags and it took us forever to manoeuver the corridors to our room. When we arrived at our door, he instructed my brother to place his swipe card in the door to open it and then put it in the light slot inside the room. This is where diaster nearly struck, as he failed to mention that there was a step down into the dark room. Well, my brother fell and twisted his ankle, luckily with no major damage. I was not happy. I was even unhappier when the light went on and we both saw how tiny the room was. This was just some of their false advertising as they clearly mention spacious rooms. Every time I walked past my brothers bed to get to the bathroom, I kicked him in the legs as we are both tall, his legs hung over the end. We learnt towards the end of our 5 night stay there that he would have to shift if I needed to get past.The bathroom was also like a shoebox, with no room to do anything personal. It looked nice and new, but it was not practical in any way. On our first night, my brother looked down whilst he was sitting on the toilet and painfully smashed his head on the basin. The shower was so small I could not stretch my arms out fully (see photo). The water pressure was miserable and twice, we endured cold showers as there was no hot water.During our stay, London experienced hot weather and one day it reached over 32 degrees. We had no air conditioning in our rooms which baked in the daytime sun. We would have been cooler sitting in a sauna. The staff said that the air conditioning had to be shut down as it was interfering with the lighting system.The corridors also never had air conditioning and it worried me that in the case of a fire, we would not be able to escape. It was like a maze in there, very frightening in an emergency.Our bedside lamps did not have light globes, so we requested them. Not once, not twice, but we asked nearly ten times when our light globes would arrive. They never did.To make matters worse for a sport mad person like me, the huge plasma screen at times had miserable reception and the world cup was on!!! I was not happy. I asked for someone to come and have a look at it. He was a maintenance man and said thats just the way it is.When we checked in, we asked if breakfast was included in our package and they said no, so when we went down the next morning, we were told it was free. The next morning, we were told it was not free and we'd have to pay. After complaining about the staff not communicating properly and no-one knowing anything about the running of this place, the girl said we could have breakfast for free. It was the last time wer ate here.The breakfast room was large &amp; bright but the food that was supposed to be hot ie. eggs, baked beans, bacon. had no heat to it at all which was a little off-putting. One staff member in particular was so bored and had nothing to do, she tried to make herself look busy by straightening some plates, re-stacking some yogurt tubs and just fiddling around. It made me laugh. They were obviously all very young and extremely inexperienced.Back to the room, the sliding doors did not slide properly and were propped up with little bits of wood to try and keep them straight (see photo). There was building dust still in certain parts of the room although, all in all, it was quite clean and the decor was nice. It was unbelievably small, smaller even than my bedroom at home.I booked this hotel based on the fact that they advertised they were recently fully refurbished and open since April. I didn't think I could go so wrong with a brand new place. They have falsely advertised the fact that they are fully refurbished when in fact they are still heavily renovating, the noise of the renovations could be heard in our room from the floor above. It was obvious in most parts of the hotel also with workmen everywhere. The hotel lacked the restaurant that was also advertised and I was so looking forward to using their gym, yet, even with equipment in there, I was told it was not ready to use. How come I was not surprised at this stage? You probably would not have wanted to use it anyway as you would have passed out in the heat in there before even exerting yourself.The lifts were dodgy and rattled and rolled. One occasions we opted to use the stairs as the lifts had no lighting and it looked a little too daunting. After reading another review about a man and wife getting stuck in there, I am glad we did not use it too often.The corridors had mountains of towels and rubish bags littering them and when asking the cleaner something at some stage, she promptly told me she could not speak english.To sum it up, do yourself a favour and DONT STAY THERE!!! You'll regret it if you do. The service was atrocious, they really have quite a lot to learn about customer service and satisfaction. They really come across as though they don't give a S*#!I told them I would not pay the full amount on checkout and they offered us a 20% discount. Lucky for them, as we should not have paid at all. DON'T stay there ........ please!!!!	
Jun 28 2006 	the worst hotel ever-reviewers were right	If only I had read the reviews on trip advisor as I usually do. I'm so angry about my stay that I can't believe I didn't move to another hotel but I was too busy working and the desk was always crowded with people doing just that. Hotel will never be a 3 and 1/2 or 4 star, the twin rooms are an insult, size of a closet, the rate is unbelieveably bad and literally you must sit on the bed to get to the desk because the bed touched the walls at the head and foot. So cramped. And my first night, the hottest night in London for 50 years the power went out. I couldn't even open my window as you could have walked into my room from the roof. Phone line was out too and workmen were yelling at each other at 2:30 in the morning walking around trying to fix it. Second night, the AC went out and so did the internet. 3rd night the elevator went out and I had to walk to the 9th floor but the 7th floor which I had to walk through was black, no power. No one even warned me at the desk. Next morning, I nearly keeled over from fumes from paint and paint thinner cans left next to my room for hours, that night, AC out again. Only one night did everything work...except the exercise room, where there were no electrical lines from the brand new equipment to plug into the walls, so you couldn't use it. I travel often and the rate was an insult. Of course, I can't even contact them to complain! And the staff wasn't even very nice but always seemed to want a tip. Truly, none of them spoke much English. Horrible	
Jun 27 2006	Terrible Hotel	Booked through Expedia as four star, was concerned when hotel website didn't have a phone number listed and no actual photos of property shown but was already prepaid for two nights stay so thought we would go ahead. Found phone number under old hotel name Inverness Court and called and was assured construction was finished. Arrived and was checked in by a pleasant young man - arrived in tiny room had to climb over the bed to get to other side, no wardrobe or chest of drawers (see photo) hence dress for my Birthday dinner at a Michelin Star Restuarant is hanging on wall picture! Was planned to be a very special weekend. On way out asked if there was a slightly larger room, young man was going to assist but was shot down by an older woman who told us all rooms are the same and we had paid for a double. Spent the night waking my husband climbing over him to bathroom (size of closet) - no AC or remote control either. I felt like we had to plan our movements to get around the room like a military plan, we couldn't both stand in bedroom unless one was on the bed.Next day, my friend checked in, was given a much larger room but no AC. We asked again to move after seeing their room and were moved to a larger room but revealed a single bed. Called the desk from room where she argued with me that it was a double. Sent a bellman up to check we weren't lying. Moved into third room. Slightly larger and seemed ok. On return we realized the TV didn't work and still no AC (remained in here as so depressed). Meanwhile my friends room has baked all day with direct sun, so they moved but their room has no curtains and the shower rail came off in their hands. We had already complained to the manager but by the morning where the front desk is 45 mins deep with guests complaining we are just ready to run out of there. Appalling - manager we met with was very professional and did offer some compensation but other staff were not helpful at all. Ruined a very special stay for us. Rooms are well decorated and obviously new but needed another month to finish rooms and train staff.	
Jun 27 2006	Why this hotel is so bad	We stayed at the Shaftesbury, Hyde Park in June 2006 for one night. We thought we were getting a great deal when we booked a deluxe double room with bed and breakfast for £68 instead of the usual £300. There is a reason why this hotel offers such great reductions and the reason is because it is possibly the worst hotel (for the money) you can stay in when in London and has clearly built up a reputation as such.Here are the reasons you should not stay at this hotel, even if you get a great deal:1. On checking in we had had to wait over half an hour to be seen while staff dealt with complaining guests.2. There was no record of our booking3. We were booked into the wrong room on two occasions4. We got stuck in the lift for 10 minutes while inept staff tried to get the doors open (no sign of any maintenance staff. Given that the lift is about a metre square and the temperature was in the 30s it wasn’t very pleasant. Eventually I managed to get the doors open, the staff were very pleased that the lift could be used again, obviously no concerns or apology for myself and my wife.5. We were on the 8th floor of the hotel and had to use the stairs (see above) although we did get help with our bags from a porter (eventually)6. We had to avoid mountains of rubbish and laundry in the corridors, which apart from not looking very appealing is a fire hazard.7. Our room was less than 3 metres by 3 metres in size (this is a deluxe double room remember) and the bathroom door could only be opened half way because it hit the bed. 8. Although there is hot water the water pressure is so low it makes the bath and shower almost redundant (it looks nice though)9. The air-conditioning is unreliable or just doesn’t work10. Check out took 45-minutes due to complaining guests.On a more positive note, the cooked breakfast was very good (although it was stone cold) and the breakfast area is well decorated apart from the big water leak in the ceiling which drops onto the floor in the middle of the restaurant.Only stay here if you want to enjoy a laugh with your friends about your worst hotel experiences, you are bound to have the best stories, we do and shall be dinning out on them for some time to come, thank you ‘the Shaftesbury’.	
Jun 24 2006	Don't go there ! The worst place I ever stayed in.	At first arrival the poorly English speaking Kazachstan girl (all personnel in this place come straight from Kazachstan!) in the reception unashamedly told that we couldn't stay in this hotel (we were two couples, having booked two weeks in advance, with an OK confirmation received) and were going to be brought to a sisterhotel. Without asking or saying where this sisterhotel was or that we agreed she started to call for a taxi to bring us there. After making clear we had no intention to go anywhere else we were put in front of a senior (also poorly English speaking) Russian looking lady and after some discussion and outed frustration from our part we were finally offered the two double rooms we had booked for in this hotel. Note: The following guests that arrived got exactly the same treatment! After this we were finally guided to our rooms by a very unpolite Kazachstan monkey looking male type asking us unusual questions what we were going do here, where we were coming from eaxctly, etc.. in a Russian KGB style. Once he showed us the storage place they called our room we were shocked. The bed was sitting tightly sqeezed in between the two walls by which we couldn't even pass the bed. Only by crawling over it with our luggage to get to the other side where the tiny bathroom was located with a small window that had no opening. The storage space we were sitting in had no ventilation just an airco that was recirculating the air in this cramped space. It was awful to be sitting in let only to sleep here! This counted for both rooms we got. Complaining at the reception about this storage space offered by them didn't give any reaction whatsoever besides saying that this is how this hotel is made. Note: You are being fooled by letting you believe from the images they show from their  hotelroom that the spaces are according to standard. They aren't at all ashamed to  put you in a cramped storage space.The next thing we got to hear is that we had to pay an extra charge for the breakfasts because it wasn't included in the booking we made. I got very angry that they asked for my credit card to charge if we want this against an additonal 20 British Pounds per couple.I had all the details of the booking with me which mentioned breakfast included. but the shear attempt to let us pay again extra is one of having no manners or understanding at allin what role they were as speaking to their guests.We stayed there for two nights: The corridors in this hotel are long,warm, smelly and very narrow. There is no ventilation or easiness to find fire-escapes (there are but only at the far end of each long corrider!). So to us this was also a scary and dangerous place to stay in, in case something would happen. The Kazachstan personnel that came in the morning to clean the rooms had to sit on the laundry lying on the floor otherwise we could pass them to go out!The first evening we come back the hotelcard given to us to open the roomdoor wasn't working. We were sitting on the ninth floor. When we wanted to go back one of the two elevators was broken.When after long waiting for the remaining elevator we got down to the reception to receive a new card. When we wanted to go up again the remaning elevator was also broken. Not wanting to go up nine floors late in the evening in a sweaty hotel we had to wait for a technician from outside to come and repair the elevators. 40(!!) minutes later and many other also waiting guests were able to go up againConclusion: For a newly recently opened and refurbished hotel this is a nightmare place which is beyond any imagiation or belief in a place to stay for a visit to London. Therefore I do not understand that e.g. the British Tourist Organisation or any other authority can approve of such a place offering these low standards of services and at the same time charging these rates.An terrible and awful place to stay at, with the lowest level of services ever experienced and really out of place and not suited for a place like London!	
Jun 19 2006	The worst hotel experience of my life	I have travelled the world for 14 years on business, and I have never experienced a worse hotel than this.Having waited 45 minutes in a queue of people checking in (the hotel clearly did not see the need for extra staff), I had got plenty of pre-warning for what I was about to encounter. Time and again people were complaining about being checked into rooms with other people already staying there, or being told that there were no rooms available due to some rooms having no electricity. Renovation work has obviously not been finished yet.Sure enough after finally getting to the desk I was told that they did not actually have the room I had reserved and that I had been booked into a hotel on the other side of London -- a 45 minute cab ride away at best. Having chosen the Shaftesbury because of its location as I was attending an event in Hyde Park, this was far from ideal.Questions about why I had not been informed of this problem in advance were not answered and, left with no choice, they told me they would have a taxi available to ship me off to the other hotel. After almost one hour of waiting, and with the reception staff completely ignoring me and other guests in the same predicament, I was eventually forced to ask if they could look after my bags for the evening so I could return later on to be moved.Later that night, having phoned in advance to ask that the taxi be there at the same time that I arrive, I turned up only to find that it had not been booked. So it was another 45 minute wait, more complaining to staff who did not seem to care about the problem, and eventually a driver turned up who did not even know where we were going. While waiting at reception, more guests were complaining about being booked into the wrong type of rooms, other guests were left with no rooms -- and all the time the staff were insisting it was our problem...A complete shambles of a hotel I'm afraid. The experience thoroughly ruined a planned break for my wife and I and I would warn anyone considering staying here to avoid it at all costs. Stay away!	
Jun 18 2006	Great room fittings but nothing worked!	Recently stayed in this hotel, and there were a lot of problems, and I mean a lot!The room itself was the smallest room I have ever stayed in, though it was beautifully outfitted and spotlessly clean. I knew I was in trouble when they did not have my booking, and they assigned me a 6xx series room which was located on the 7th floor (Instead of the 6th floor, which is the norm).4 out of the 5 nights I stayed there was no hot water in the morning. 2 mornings the lifts were not working, and 1 day the lifts had no internal lights. One morning there was no electricity, and the air conditioning worked for only 1 day. I missed a couple of calls into the hotel, as their computers were down.It is important to note that the hotel is undergoing alot of renovations at the moment, which I am sure are the cause of all the grief. The staff were okay, not overly friendly or helpful but I guess that are bombarded day in and out with complaints.The hotel is located close to Bayswater Tube (Circle/District Lines), is within 5 minutes walk of Queensway Tube (Central line) and is within 20-30 minutes walk from Paddington station (Heathrow Express).If you are looking for a hotel in this area I would suggest Elizabeth London Hotel. It is not as nicely fitted, but every works!	
