	Who gave this hotel 4 Stars ??	I have just spent Saturday night at this hotel, and must say it was a big mistake.A West End show, romantic dinner and a night in a great area of London was spoilt by this Hotel.Although all of the staff were very pleasant and helpful, the room was very tired / antiquated bathroom / pathetic toiletries / dirty windows / tatty net curtains / filthy window runners / no mini bar (in a 4 star London hotel ??) breakfast was awful (which the hotel tried to charge me for, after I had prepaid on B &amp; B terms / bad stains on the carpet / very basic bed and pillows - just a very miserable room.I am not sure about Health and Safety regulations, but if ever there was a fire in the corridor outside the room I stayed in , the occupants would perish as the windows could not be opened at all- they were secured by means of obvious screws into the window frames. It's hotels like this that can give London a bad name - the room was two star at best - do not stay here expecting 4 star !	
Jan 1 2007 	V Good Accommodation Excellent Location	We stayed her for a long weekend at the end of October for my boyfriends birthday. The location is excellent. It is literally a 4 minute walk from the tube station. The staff were really friendly and very helpful.The rooms were good. Average in size with good facilities. They weren't wow but when you're in London it's not as if you want to spend your whole day in your hotel room. The down side was that the rooms were very warm at night time, but we were drunk most nights so we didn't mind that much.If I were sober it would probably bother me.Kensington is a lovely area and the hotel is surrounded by nice restaurants and great shops. You're right beside the tube station that is on the central line so everything is within easy access.I'd more than likely return to this hotel	
Jan 1 2007 	Noisy. Not 4 Star.	If you’re looking for a restful nights sleep look elsewhere. The noise from the trains that run right beside the hotel would have been bad enough but that’s just the beginning. Our heating unit made a noise every 10 min. or so that sounded like someone tapping on our window. We could clearly hear the conversation of anyone passing by our door, TV and other “noises” from the adjoining rooms, and toilet noises from several rooms over in every direction. In addition to the noise, the standard rooms in this hotel are not 4 star rooms. They are old, worn, and smell a bit moldy. We’ve stayed in 1 star B&amp;B rooms that were nicer. Even those fancy marble baths you see in their photos are actually pressboard with a marble look finish. When we complained that our room wasn’t the 4 star room we had been promised we were advised that the 4 start rooms were “Club Rooms” available at an additional 30 pounds (about US$60) per night. If you’re paying a 2 star price for this hotel and are a very sound sleeper you may find this hotel acceptable. It does have a good location. If you’re paying a 4 star price you’ll be bitterly disappointed.	
Dec 27 2006 	Good location Nice Hotel	We booked the Copthorne Tara as a weekend getaway in London: it was relatively inexpensive for Friday / Saturday nights, and well-located near Heathrow Airport and the Tube. Print the map, as you will need it to find your way over the local streets as you come in from Heathrow: it's outside of thepay-zone for central London, so you won't incur a toll. The Copthorne is in a cul-de-sac in a very nice area of London, there are lots of . When we checked in, they offered us an upgrade for 34 GBP per night, and, remembering the reviews for regular rooms, we took that. The resulting room was still reasonably priced and very nice (pictures). Breakfast and evening drinks were included, so that evened out the cost: the lounge area is downstairs and is attended rather than buffet style. The room was large and comfortable, with an expansive terretorial view. It had a large king bed, free internet access (wired: also free access in the lounge on hotel terminals) and comfortable working area. The bathroom was nice and well appointed: the hot water was adequate and there was good pressure. The only issue that I had was with parking: it costs about a third as much as the room did to park in the lot beneath the hotel, and they charge for fractional days if you go over a 24- or 48-hour period.	
Nov 30 2006 	fabulous location	Booked through the internet and got an amazing price per person for this hotel. Check in was very quick and easy, no problems. Room was non smoking and on one of the higher floors as requested. Comfortable sized room with good sized bathroom. Some parts of the room were a little bit worn but for the price paid it was irrelevant. Breakfast was a little disorganised but no major problems. All in all a very good hotel, good location backing onto kensington underground station, and a very good base for exploring the city.	
Nov 27 2006 	Good but beware	I stayed at London Tara two nights on business in November. The hotel is a large modern building with 800 rooms. Location is in Kensington, with shops, pubs, tube, buses, restaurants, museum and parks within walking distance. Taxi rank is outside the hotel. Tara has a large lobby, with porter service and welcoming staff. Tara has several restaurants, theatre booking service and a shop. I tried the Indonesian restaurant and was served good food at reasonable price (9 £ for a main course). English breakfast is served at the table but the additional buffet was sparse. If breakfast is not included in your rate, save the 15£ (!) and find a café nearby. Tara has a nice bar with beers on tap. Five fast elevators take you up the floors. I missed the possibility to walk the stairs. However there is a gym you can attend for 5£. The room is large with a comfy bed. There is a fresh air system, but it did not work in my room. There was TV, fridge but sadly no safe. The bath room was nice but with an old fashion wash basin. Here comes the warning! The hotel has many rooms with adjoining doors. I paid 138£ pr night and had absolutely no privacy. I could hear whatever the other person was doing. The hotel was full and there were no other room available. Book this hotel only, if you get a good price and a guaranteed private room.	
Nov 22 2006 	i've just stayed here despite reviews we had an ok time at this hotel	location superb. moved room 3 times as one stank of smoke and one was not clean and had very noisy neighbours! 3rd room OK the hotel did all they could to accomodate us. bed a very small double though! NOT BAD AT ALL.	
Nov 1 2006 	better then expected	Easy to get to from Heathrow via Paddington to Kensington High Street. Was a little concerned that we got a room on 2nd floor railway side. But train noise was no problem, the double glazing worked brilliantly. Room was in great condition if a little worn. Bed comfortable and bathroom clean. A.C worked fine. Location is excellent and continental breakfast is pretty good. Staff were helpful and friendly enough, we had no problems. 1200 checkout is good too. Lots of good food within 10 mins walk. Would stay again.	
Oct 23 2006 	Great Hotel	We stayed at the Copthorne Tara at the end of August 2006. I can honestly say that we had a great time with no problems at all. After reading all the reviews on here we were very worried about what we were going to encounter but i just think you have to voice your own opinion. The staff were very friendly and couldnt do enough for you. There was a small fitness room for everyone to use which was really handy. The breakfast which was included in our rates was very adequate. There were 2 restaurants at the hotel, one serving thai, and the other traditional british. There was also an internet cafe which my son was pleased about so he could talk to his friends back home! The room was very clean, comfortable beds, and aircon which was great. I suppose the decor could have done with updating but that was all. The hotel was just around the corner from High Street Kensington Tube Station, and there were plenty of shops and restaurants nearby. All in all i would definitely stay there again.	
Oct 21 2006 	Decent Hotel superbly convenient to transport	When I booked this hotel, I believe the rating I saw was a 3 1/2-4 stars. However I think the star rating standard for an American hotel vs a European hotel is NOT the same. Hotel- Looks new in the front, but the building is old and the furnishings outdated. First room we stayed in on the 9th floor facing toward the front of the hotel (standard) room 976 or 978 (sorry I forgot) is 2 single beds (see pictures). The hallway was stuffy HOT, the room smelled musty/moldy. Room, linens, and bathroom are clean. We requested a (standard) room with double beds and given a room on the same floor facing toward the BACK of the hotel. Room windows are double paned to reduce the noise from the Trains.Service- Unwelcoming, unfriendly, bottomline poor. Convenience- Superb location as it is super close to the tube, shops, and couple of cafe's.	
Oct 19 2006 	Met Expectations	We stayed at the Copthorne Tara for the last two nights of our honeymoon. We were happy with the rate we obtained on Priceline. The previous reviews we had read led us to expect an average hotel with very little charm, but a good location and friendly desk staff. In fact, that is exactly what we got. The rooms are a decent size for UK standard. They are clean, but not very attractive. The first night we were there, they gave us a room with two twin beds in a room really close to the tracks--it was a little noisy and not so romantic. The desk staff was good about changing us to a room with a double bed (which is a little cramped for two folks both over 6 feet tall-not their fault that we are tall). The new room overlooked the front of the hotel and was much more quiet and comfortable. This is a fine hotel if you get a good rate (under $150USD), need to be close to a tube stop, and aren't expecting the quaint British B&amp;B experience.	
Oct 16 2006 	A Little Worn but Comfortable and Good Value	We got a room with two twin beds on the second floor through Priceline for $115 US total. The lobby, bar, and hallways of the hotel are very elegant and clean. The front desk staff and concierge were gracious and helpful. The room was small and a little shabby (decor circa 1960) but the beds were comfortable, the linens new and clean, and the bathroom fully functional. Wouldn't recommend the Copthorne as a luxury experience but it was perfectly functional and had some charm.	
Oct 16 2006	Good hotel-Great location	We stayed at this hotel on Sept. 10, 2006 for 5 nights. I did a lot of homework on this site before I left. The majority of reviews were positive, so I took a chance, and was so pleased. The lobby was very nice and clean, the staff and concierge was very helpful. The room was on the plain side but very clean.(We had a twin (which I think is a little roomier). The mattresses are wonderful with plain white fluffy down comforters. The bathroom is white tile with nice lighting(important to me), but the sinks need to be updated. Older style faucets with knobs set wide apart. Showers were great, lots of hot water and strong water pressure. It was nice having a small frig and coffeemaker. My only complaint was we couldn't plug in our universal converter in bathroom or anywhere in the room, because the plugs were so close to the floor and the bathroom countertop, the rectangular plug would not fit. So I couldn't use by own blow dryer or flat iron. My husband spoke to security and they were nice enough to let us charge are camera in the security room overnight. The location was excellent, Two blocks to the High St. Tube and all the shops. We had breakfast either at The Muffin Man (okay) which was on the way to the Tube, or McDonalds across from the Tube. The Thai restaurant was also fantastic( my first Thai meal) classy atmosphere, reasonable prices. Next to Muffin Man. For Italian, Dino's Restaurant, near the Tube across from the church was very good also.	
Oct 11 2006 	Very pleasant stay at this underrated hotel	I don't need to add too much to what was said in the previous review regarding the hotel itself, as this person did a great job of detailing its features and pretty much said a lot of what I would have stated. We booked our room the same vay, via Priceline for pretty much the same price. Oh, and other reviews accurately pointed out that from the outside, the place appears to have seen better days, but once you're inside it's much better looking. I'd even go so far as to state that the lobby carries a bit of chic to its look. Based on a separate review some weeks back, we requested and received a non-smoking room on the 9th floor, with a direct view of Albert Hall and the more distant London Eye.We utilized the Concierge a great deal, and mostly dealt with a kind, elderly chap named Jim. He booked on our behalf dinner reservations, our day trip to Windsor/Stonehenge/Bath, and often suggested the best bus or tube lines to take to get from points A to B and such. We liked the little cafe express just past the Concierge's desk, usually grabbing a quick something or other in the morning before heading out for each day's activities. We also dined at the hotel's brasserie the night of our aforementioned daytrip, being that we got back after 9 and were too bushed to go hunting down an alternative restaurant. The brasserie is kinda of split in two, with one side pretty much standard British/French type of faire, while the other features Asian cuisine, with an emphasis on Singapore and Malaysian speciaties. We opted for the Asian side and its speciatlies, which was quite good and not very expensive.Finally, I would like to point out that yes, there is a 'short-cut' to the High Street tube stop, but you're at best saving about 50 yards of walking by doing so. We generally used it going to the station, but often chose the 'longer' street path when returning, just to take in the charm of the neighborhood.Overall, we were extremely satisfied with our stay at the Cop, and would highly recommend it, especially if you can get it at the Priceline cost.	
Oct 11 2006 	if you have booked my advise is to go some where else	There are a couple of comments I can feed back I found unsatisfactory -   I was given a room on the east side and so was kept awake on Tuesday night by passing trains combined with the room fridge loudly buzzing all night with no way of turning it off.So make sure your not staying on the east side... Also we were all late to Olympia the next morning due to their lift issues - only one of their lifts worked resulting in a wait up to 25 mins to get to the ground floor. One of my colleagues staying on floor one took 20 mins to get to the bottom floor, the cleaning staff couldn't direct her to a stair case so she had to wait ages to get down.We were exhibiting and we were late how does that look?When we got back in the evening guess what? nothing was done to fix the lift and we had to take the stair were i meet an old lady that ask my help, she got me worried but she had only one floor to go...Obviously my boss complained... Do you really want to know what they said to him? Sorry it happens sorry again....the engineer is on the wayThe restaurant was nice and breakfast is ok the staff could be more helpful... but I understand as i talk with one of the waiter... they get paid peanuts....so you get donkeys don’t you?Waiting for our taxi we talk about the problem we had with a friendly porter; he mentioned that the lift issue happened before and he could recommended us an other hotel for next time, he pointed his finger to their competitor, I mean it’s crazy don’t you think?So overall it was not a great stay The location is great but we will not be using this hotel again We will listen to the porter recommendation and stay next door I will let you know soon as we are staying there next week.	
Oct 9 2006 	I was satisfied.	Got this hotel via Priceline for Sept 30 - Oct 6 for $102/night + priceline taxes/fees.I was a little apprehensive when I got this hotel as my winning bid. All the reviews I read were pretty bad. I can tell you that I was quite pleased with the hotel. The lobby was really nicely decorated, but I knew that the lobby would not be a good representation of the rooms, which were a little more dated.The rooms were decently sized...not as small as I thought it would be. The hotel accommodated us with 2 single beds. The beds were not anything spectacular to sleep on, but they were sufficient. We also stayed on the nonsmoking floor, and I did not smell any smoke.I didn't have much interaction with the hotel staff, but the little amount of interaction went really well. They were nice and did their job as expected. Our room was not ready when we arrived, and we had to wait 30 minutes. No big deal as we went walking along High Street Kensington to explore the area. The concierge gladly held our luggage. We stayed for 6 nights, and it seemed to be quite busy the entire time we were there. A lot of the airline flight attendants stay at this hotel. I think we saw at least three or four airlines stay here.The bathroom was a decent size, with good water pressure. Yes, the tub is a little high, and they don't have rubber mats or nonskid surfaces, so older people do need to be careful. Two sets of towels (the second set is in the closet), and no wash cloth. They only provide a conditioning shampoo and a bath/shower gel, soap, and shower cap. Yes, the lights are on the outside of the door, but the switches are neat because there is a master switch that can turn on or off everything at the same time. There is a similar console on the nightstand. There is also a Do not Disturb button you can press so that housekeeping doesn't try to come in during the early hours of the morning. We experienced that the first night. Luckily the 2nd lock was on, as well as the chain. But we learned to turn on the button after that. The fridge was a nice touch, as was the water pot for tea and coffee. The TV didn't have that many channels, but I didn't expect it to. The A/C worked fine. The walls are really thin, and I can easily hear people outside in the hallway. I don't think anybody stayed in the room next to us as we didn't hear our neighbors. We did asked for a room on the opposite side of the subway tracks, which the hotel accommodated, so we didn't hear any of the subway noise. All in all, I say it was a good stay. It was a lot better than expected.	
Oct 9 2006 	Good location friendly staff	I won this hotel via Priceline for about $70 (yes, that is dollars, not pounds!) night from August 26 through 29, 2006. The hotel is very easy to get to from London Heathrow (just one transfer). Since we arrived from the States, we arrived at the hotel around 8am and a room was not available, so we checked our luggage with the bellman, and he was able to hold on to it until our room was available. Prior to arriving, I had e-mailed the hotel requesting a high floor facing AWAY from the train station. Well, they gave me that, but since I did not request a full sized bed, they gave me a room with two double beds! There were no full sized beds available that evening. My recommendation would be to e-mail and request a full sized bed facing away from the train station. Be sure to do this well in advance of your arrival.The next day, the hotel was able to locate a room with a full sized bed, but facing the train station. I will say that you should request a high floor because the train is loud even with the double paneling windows. (We could hear the trains roar in the hallway) All of that being said, the hotel is very nice. We didn't use the staff a whole lot, but they were friendly when we asked questions. The hotel lobby always seemed busy -- the hotel seems to be popular with tour groups as there were tour busses on the street loading and unloading groups of people. The front desk was able to move through the groups rather quickly though -- we never waited in line for more than 3-4 minutes. I would highly recommend using the Easy Internet cafe about 3 blocks from the hotel to save money using the internet. (That cafe has disabled the use of USB ports to upload pictures from digital cameras, so that was a major bummer)The pictures that have been posted accurately reflect our experience with the hotel, and I would stay here again if we won the hotel.	
Sep 30 2006	6 Days in London	Bed leg was broken and we had to use a dresser drawer to hold the bed up on one side. 2 dresser drawers were broken so we never fully unpacked. The a/c worked well though. Paper thin walls. We could hear the people in the next room talking and even the hangars in the closet moving. Excellent location. Safe and near everything. Lobby was clean more updated than the rooms. They have no smoking rooms which is a plus. The buffet breakfast is the same every morning. Sliced ham, grapefruit slices, 2 cereals and a pitcher of milk, Not on ice or chilled. One day a large bowl of yogurt for community use. Not chilled.Ice is not a Europe preference though. If they ask if u want toast be prepared to pay extra. Pay phones dont work. The location just made up for it all. We could not change rooms because a convention was booked.All in all not awful just needs major updating. Hot water and good a/c was a major plus.	
Sep 24 2006	I'm being generous and giving it 2 stars	From everything I've seen written, it almost seems like there are two Copthorne Taras. Perhaps some rooms are renovated and others are not?I am giving more stars than I feel like it deserves based on good water pressure in the bathroom, a decent location (of course, there are hundreds of hotels in good locations throughout London) and the lobby was clean looking, and the front desk check-in was speedy.I told my husband as we were walking up that it has had a &quot;mixed bag&quot; of reviews and I didn't know what to expect. We just were there one night, thank goodness - on a Priceline rate, which still seems too high for what we received. I had been hoping when using Priceline for the Holiday Inn Kensington Forum, which is in a great location with clean rooms (at least ours was last year). But this was our last night of a 2 1/2 week trip, so it wasn't as big a deal on where we stayed.We'd stayed at very good value hotels throughout Europe - including 4 nights at a wonderful Bed and Breakfast in the London area for about $104.00 USD (full breakfasts and more) through the trip. This was the only one I didn't choose - and I'd certainly not recommend it.The bathroom was...well, the tub was yellowing, and there was metallic stuff coming off the handle at the bottom (it almost looked like a wad of gum sitting there, but it was just whatever was behind the metal). I was going to get a drink of water with a glass, but the glasses were sitting on a dusty black tray, so I didn't bother with them. There were numerous areas in the room with dust. Everything looked very dated, like from the 80's. It REALLY needs a refurb, and it needs someone who will actually clean it. The bathroom smelled odd too - like the Paris Subway, really. I don't know if it was the cleaner they use, but it didn't smell clean to me (nor did the second blanket I put over me).We ended up with twin beds, separated by a small desk. I'd really liked to have had one bed, and these were really small and not terribly comfortable. But again, it was only for one night. I didn't find the room tiny - not large, it probably was the smallest room we'd stayed in during our trip, but it was adequately sized. There was a refrigerator in the room, it almost got my husbands bottle of Coke cold overnight. The location was fine - I liked having the Marks and Spencers Food Hall close by. From the selection of movies mentioned on the bedstand, they must sell a lot of porn through the TV.Personally, I think if you stay in London, you can find a lot better. Try to the Holiday Inn Kensington Forum, for one. The Copthorne Tara left a lot to be desired.	
Sep 22 2006 	Adequate	My husband and I stayed at the Copthorne Tara on the 19th September and after reading the reviews were rather apprehensive despite going on a friend's recommendation. The lobby is very nice and the reception staff were very welcoming and friendly. The room was clean but in need of refurbishment. The one thing we did appreciate was the continental breakfast which we had delivered to the room at no extra cost.However, the hotel is in an excellent location - shops and the tube station just at the end of the road.I don't think we would stay here again as we like to try different hotels and prefer a little more luxury.	
Sep 19 2006	Pretty much what I expected	I read a lot of reviews for a lot of London hotels, and we booked the Copthorne Tara through Trafalgar Tours for our Sept 2006 weeklong stay in London. If I had to give this hotel a grade, it'd be a A-. I wanted to write a fair review for someone coming to London in the near future. BEDS: We had two twin beds for me and my husband, and each bed had two pillows, and those pillows and the linens were changed daily. One day I had feathers, the next day it was some cotton/poly blend filler. Not bad. However, instead of an actual blanket you get the European style bed quilt/comforter which only really covers the mattress itself so if you like an abundance of covers, you'll have a problem. NOISE LEVEL: We had an even numbered room on the 9th floor facing the front courtyard so things were pretty quiet. We heard people walking down the hallways and having conversations, but that was about as much noise as we got. THe tube station was on the other side of the building, and I could see how that would be loud, but we never heard a thing. Silence EVERY night.BATHROOM: The shower's water pressure was better than what I have at home. However, they had a hot and a cold tap in the bathroom sink, so you had to run them together for warm. It was a nice size, too. Two sets of towels. Also, the light switch for the bathroom was in the hallway outside the bathroom, which was awkward. Tub walls was pretty high, so older travelers may have problems getting into it. FOOD: We had the hotel's free continental breakfast every morning, and we never had to wait and there was always food to be had. Friendly service and good coffee, and I am a coffee snob to be sure.MISC: We asked for a safety deposit box, and we were told they were all in use. I think there's like over 200+ rooms in this hotel, so why isn't there a safety deposit box set aside for each room? Also, the hotel hallways did smell a little musty, but our room always smelled clean and fresh. The internet access was 50 p for 10 minutes - expensive. And the hairdryer was perfect -- it did low and high and worked well for my low-maintenance hairstyle. LOCATION: This hotel is about 100 ft away (and I'm NOT KIDDING!) from the Kensington High Street tube station, which is on the Circle line, which hits all the good stops in London. Definitely a PLUS!!! Don't forget to buy your travel pass online before you go -- we bought a 7 day pass and it was perfect. All in all, we enjoyed our stay.	
Sep 16 2006 	Fairly priced and clean but mediocre overall	Priceline called this hotel a 4-start and I assure you that it is not. At best, this is a 3.5 star. The lobby is clean, bright, and nice; however, the front desk staff was not very knowledgeable about their own hotel. I needed a room with two beds and had even called to make note of that on my reservation. We were put into 3 rooms before we got two beds. If you are visiting London for tourism, this place is just fine. You won't be spending much time in your room and the location is near some good shopping and right around the corner from the tube. Overall, it was ok.	
Sep 8 2006 	Excellent value and service	This hotel was one of the few bargains in London. The overall appearance was clean. My wife and I had a great king size bed, great size to boot, too! Bathrooms were clean and the maid was very cooperative when I asked for more towels and toiletries daily.My only gripe was that we smelled smokers on the non smoking floor. (I am always amazed how in a large, room plentiful hotel smokers request a non smoking floor!!)We enjoyed London and the restaurants. As I said, London is expensive, but part of ther reason to go to London is experience the food, nightlife and tourist attractions.We would definitely return.	
Aug 24 2006 	Great place to stay	My daughter and I went to London for her 18th birthday/high school graduation gift. This was my 4th visit there, her 3rd. We arrived early, 8:30, and checked our bags there. As we'd flown overnite, we were both exhausted. The clerk at the reception desk wanted to check us in, as our room was ready, but she asked another clerk who said it was too early. Oh well, 3PM was the official time. Anyway, we were allowed to check in a bit before 12. I'd booked a twin room, we got a double. But we were both so sleepy we didn't complain and took a long nap. We stayed on the 10th floor. I've read other reviews complaining about noise etc. We were there from 8/15 to 8/20 and I never heard a sound. The beds were comfortable, the room was clean and the refrigerator a blessing as Mark and Spencers was just a block away. We bought many of our meals from there. London is expensive, but we live outside of New York City. As my daughter reminded me, think about what this would cost in Manhatten. And she was right. It really wasn't much more expensive and some things were cheaper. We got great theatre tickets, to Phantom and Avenue Q for much less than I'd pay in the City. And if you or someone you're traveling with is a student, bring your ID. There were many student discounts including Buckingham Palace, Tower of London and all the plays. The only issue I had with the hotel concerned a blow dryer and a light bulb. The blow dryer didn't work on low speed and smelled as if it were burning. It took 4 days of complaints to get it replaced. And with that, housekeeping said they wouldn't have replaced it if we didn't report the burning smell, because not all blow dryers have 2 speeds!!! And the missing light bulb was never replaced. I complained 3 times to reception. But it is very convient to the High Street Kennsington Station and the tubes are very easy to navigate. I like to stay in different locations, so I probably won't return to the Copthorne Tara. But I would recommend it to anyone visiting London. It is a bargin in an expensive city.	
Aug 22 2006 	So-so experience	A two-night stay in a pretty anonymous hotel...great location and reasonable foyer - but the rooms show their age. Not for the first time did we find air conditioning that in the &quot;on&quot; position was too cold yet, when switched off, left the room overheating very quickly.At almost £140/ night (without the overpriced breakfast) I'd reckon you'd find more character for the same money in hotels close-by. However, If you get it cheap, it's probably worth the money.	
Aug 20 2006 	Great value and good location !	Just stayed at the Copthorne Tara for one night ( Aug 19th 2006 ).I booked it through LondonTowan dot com , and I was pleasantly surprised.Paid £79 for a double room inc Full english breakfast for two people that is under £40 each !! for a London hotel in this location I would call that cheap !Hotel was fine , check-in was simple and staff friendly , we arrived at 3pm and the room was ready , we opted for a smoking room which was no problem for them.The room was large and clean , and all the fittings worked , it looked a bit tired but it was better than I had expected , we were on the 4th floor looking out over the rail lines , but it could hardly be heard and did not disturb us.Excellent location for Underground couple of minutes walk and you are there , plus lots of coffe bars and shops around. We went into the bar when we got back later , it was fine , quite busy although small for a hotel with this number of rooms , and yes the drinks were pricey , but our booking also gave us 30% off any drinks and food , so not too bad !!The biggest gripe about the room was that it was hot and if we turned the air-con fan on full speed it sounded like an apache helicopter !! so we opted for the low speed which was bearable !Breakfast was fine , we were seated quickly and served quickly , we thought it was good , although both guests either side of us found something to complain to the Restaurant manager about ! ( Are we becoming a nation of moaners !?)All in all , I woudnt say it was not totally up to a 4 star rating , but it was certainly great value for money , and I would stay there again.	
Aug 18 2006 	great neighborhood nice stay	We thoroughly enjoyed our stay at the Copthorne Tara. The rooms were clean, decent sized (by UK standards), and the staff was capable. I was a bit discouraged with the restaurant, but I am a vegetarian so my opinion is a bit jaded. The hotel is right around the corner from the tube on the &quot;circle&quot; line, red bus stops are close and cabs are waiting on demand in front of the lobby so it is very convenient to all of london. We used the underground to get to and from the airport and it worked out fine (there were some stairs to contend with along the way though). The kensington/high street area is mostly higher end &quot;fashion&quot; type shops with a few nice places to eat scattered in there. It is definetly an upscale neighborhood. It is walking distance to the Natural History Museum which was amazing. You can also catch the &quot;Big Bus&quot; double decker tours here which was a great way to see the sights in London. Overall, I give the Copthorne Tara two thumbs up!	
Aug 16 2006 	nice location tiny room	My husband and I stayed here in early April with our infant son. The first non-smoking room we were given had smoke rolling out the door as soon as we went in. They willingly gave us another room, but it was close to the elevators and it was really, really tiny, especially with a baby crib inside. I wouldn't consider this 4 star as the hotel likes to boast. It was clear, but quite faded looking. There was a small table and mini fridge which helped out. We could go to one of the nearby grocery stores to get some breakfast foods and snacks, which helped with the extremely expensive London prices (basically double the price of everything in the US!!). Anyhow, the lobby was quite lovely. When we booked, we shopped around on-line for the best price, then emailed the hotel the hotel to see if they would match it directly. They did, so we had only their cancellation poilcy to deal with in the event we needed to change (not an on-line service's). We are trying another place in the area next month, because for the price we weren't impressed. Ask the attendents on how to get to the tube from the back way - it is very, very close and convienent!	
Aug 8 2006 	Overall Nice Place	Being my first trip to England, I was increasingly nervous due to the large number of negative ratings London hotels receive, in general. After finally deciding on the Copthorne Tara, my wife and I read even more reviews which described the hotel in a very dreary way. However, upon arriving and eventually seeing our room for the first time, we were very pleasantly surprised. The room was very clean and well made up, and the bathroom was just as pleasant. There were absolutely NO musty or tobacco smells (that we'd read so much about). Just be sure to contact the hotel in advance for a non-smoking room, as we did. The fridge and television worked well and there was plenty of room for unpacking.We'd also read many stories about the hotel(s) making it a point to inform new arrivals such as us, that rooms are suddenly unavailable and giving new arrivals a hard time, but again, I can gladly say that this was not the case. We arrived at 1:30pm and were given our room at 2:30pm, while they kindly stored our bags (free of charge) in the meantime. As indicated in other reviews, this hotel is conveniently located near the tube stations with several local areas to eat and shop. The only few problems we had were the shock of hearing construction on the room(s) above ours, at about 8:30am on the first morning we were there. After complaining to reception, they did confirm construction would be continuing all week and quickly offered to move us to a higher and quieter floor. Fortunately it wasn't necessary, as construction was only heard breifly the following morning, and no more afterward.It is also true, that the walls do appear to be quite 'thin'. Hearing people coughing and laughing in the room next to ours, was not uncommon, as is hearing movement and talking coming from the hallway. Lastly, be prepared to have your electronic key card fail you repeatedly! We had to have ours (both) replaced up to four times during the week (each). That was probably the most annoying part of the hotel experience, besides the construction.Remember, it's a hotel, not a palace. The rates (when booking on-line) were VERY reasonable and the service is excellent. If you are looking for an economical and convenient place to stay, The Copthorne Tara is definately worth the money. My beautiful new bride and I, wish you a very pleasant stay. Cheers!	
Aug 7 2006	Perfect location spacious rooms!	The Copthorne Tara Hotel is as close to an American hotel as any international traveler would want to be without actually being in the U.S. It's part of the Millenium Hotels chain so it resembles something like a Hilton or Sheraton. If you're looking for an inn or hostel with a warm, cozy ambience you may want to look elsewhere. If a hotel with a great location (Kensington High Street) and an excellent value is what you're after than search no further. The staff is very friendly and the concierge desk offers excellent services such as secure luggage storage and taxi service for guests. Staying at the Copthorne Tara was delightful, I look forward to returning soon!	
Aug 6 2006 	In Need of Refurbishment but Good Choice nonetheless	Stayed at this hotel for 2 weeks on business, and had thought there was nothing to shout about, until I switched to another hotel for my extended stay!Located near High Street Kensington station (look out for small side exit besides Boots), the hotel was conveniently located and makes getting around easy. McDonalds, Cafe Nero, M&amp;S, Boots, etc are all also with short walking distances.Room was relatively big, and there is airconditioning, which as stated by some other travellers, is certainly one things not to be taken granted for in London! There was also a fridge in the room, small kettle and ironing board. Got a double room and the mattress appears to be rather worn out, but overall was still a comfortable stay.Requested for a room prior to arrival which faces away from the tube station, and this was nicely arranged by the hotel. Staff were also very friendly and attended to my requests rather promptly, such as sending an engineer to fix my airconditioning which was not working properly when I first checked-in. Special applause to Emmanuel from the front desk, whom I seem to have the good luck of meeting each time I had some requests to make =)Servicing of the rooms were of a constant amusement to me, since they do seem to always lack something everyday they are in to clean up my room - they would either fail to replace a towel or bath mat, or forget to place a bag in one of the bins on the room. Could do with a more consistent approach so that guests are comfortable in knowing there would not be any surprises (pleasant or otherwise) each time they return.My conclusion: Good hotel for its room size and location. Great value for money for the price I got (since it was a corporate rate). Suitable for families given the generous room size. However, it may be time for the hotel to get an upgrade or refurbishment since the entire place appears to be getting really old.	
Jul 27 2006 	Copthorne Tara - Great Place to Stay	My family and I came to this hotel after moving out of the RCA Paddington. We stayed in this hotel in August of 2004.The Copthorne Tara was a really nice hotel. The lobby was well made and the hotel staff were very friendly. The rooms were large and came with a well stocked fridge. There was also a lounge with an internet cafe in it.Though the Copthorne Tara is a little expensive i recommend you pay the extra and stay there.	
Jul 25 2006	nice place	the hotel was ok... nothing to shout about, but the area is very convenient to stay at. lots of shopping and very close to the underground station.	
Jul 24 2006 	in need of an update	a group of us stayed in the copthorne tara in june. Whilst the hotel was in a pretty good location and had a pretty impressive lobby, overall we found it overpriced and in need of updating. The corridors were a bit dingy and smelled of food. Our rooms were a little uncared for and in one of them, the fridge was very loud and made sleep difficult. London hotels can be pricey but this was not value for money. We have stayed at the City Inn in Westminster and had a better location, in a modern and well presented hotel for 20 ponds less per room per night.	
Jul 24 2006 	Definately would stay again	We have stayed in 3* hotels in London the past three times and paid $90-100 per night and got no sleep because of street noise, no AC, and dirty/old mattresses. This summer we booked through Priceline this 4* for $92/night and were very happy with our choice. Equivalent to a US Best Western/Holiday Inn, the room was clean, AC worked well, good size. I emailed ahead and asked for a room on an upper floor on opposite side to the tube. We had no problem with our request and no problem with noise. Great location, comfy beds. The bathroom smelled a little musty but was very clean and good size.	
