	This is a 3 star hotel	I booked for 2 rooms through superbreak and was very disappointed with the dated room and especially the bathroom. My friends room was even worse with very dodgy electrics and although the tv was reported it didn't work no one acturally went to fix it.We had to ask for soap which you would think would be provided! and the shower curtain rail was placed above your head, so when you had a shower it stuck to your body!The bar was very expensive with 4 drinks costing £18! however the restaurant was very good and helpful staff.When we went down for breakfast the queues were horrendous, waithing a good 20 minutes! although breakfast itself was ok.No way is this a 4 star hotel! I will not be staying here again.	
Nov 16 2007 	Come and stay at the Thistle Euston:	Room service includes such English favourites as - beans on toast, cheese on toast ...Irons coated in burnt nylon jumper to transform an ordinary white shirt into modern street wear (as modelled by numerous London vagrants - a catwalk view of which is available from the window in your room)Room security - Room service tray collection is intermittent and will remain outside your room beyond 8am as a booby trap for anyone entering or exiting the room during the nightFree TV service limited to 5 terrestrial channels (not even freeview) - this is enhanced by a selection of porn and pay per view 80's moviesDécor circa 70's (possibly 1870's)Hot water on demand - the water system will ignore any such requests in a similar manner to our staffStaff multilingual - except EnglishVery quiet neighbours - they are boarded up and/or condemnedLively neighbourhood - 24 hour muggings, vandalism, call girls, &quot;saunas&quot; provided for the discerning travellerIf I could give this hotel a rating below terrible I would have. The checkin staff didn't care and the checkout was slow - try standing in line for 40 minutes to paying more than you would at a centre of London Hilton.I'd rather take my chances sleeping rough than stay here again.	
Nov 15 2007 	good location	Stayed here for 2 nights whilst on a hen night. The hotel location is excellent, very close to Euston, 10 mins in a bus to the west end, close to Camden etc. Breakfast was great for hangovers - all that you could want.The rooms were clean if a little small - fab shower.If you had the window open it would be quite noisy. There also seemed to be a lot oof children playing hide and seek round the corridors in the morning - not great with a hangover!Also the hotel bar was very expensive and the service was pretty crappy - slow service, no lime for the corona etc etc.I would stay here again for a weekend in london, but we booked with a event company so we got a good deal - I wouldn't pay over £100 a night for this hotel - more like £70.	
Oct 24 2007 	OK but nothing more	This hotel is OK. The public areas are fine if a little dated. On arrival I was told there were no non smoking rooms left so I had to stay in a smoking room. The corridor to my room was very long and in need of decoration. The room itself was clean, but dated (i reckon early 1980s!) and obviously smelt smokey (I know this will not bother some people). I woudlnt chose to stay here at all, and will request my work does not put me here again.	
Oct 23 2007 	Comfortable Enough	The reason we chose this hotel was its close proximity to Euston Station and the fact that we would not have to carry our bags very far after arriving in London. The hotel is classed as a 4 star, but the rooms are quite small and average. They are comfortable enough, but just didn't feel like a four star hotel. The staff are very friendly and accommodating and the public areas are neat and tidy.	
Oct 21 2007 	Thistle Euston Nickled 	Hotel Only offers wi-fi internet access which was not usable on my laptop (my co. has not ok'd wifi for our laptops yet) but even to use it cost &gt;$12.00 for one hour and you must purchase cards from front desk. If you are booted out before your hour is up you lose the remaining time. Additionally, I was booked for 3 nights however I concluded my business in 2 days and when checking out the person at reception was confused about this (not native English speaking) and rather testy when I asked to ensure bill was correct for 2 nights vs. 3. As you might expect ANYTHING in London is EXTREMELY expensive even this mid-grade 3 star hotel.	
Oct 14 2007 	Shabby	The Thisle Euston advertises as a 4 star hotel, some parts are e.g. the reception but the room I was given certainly was not. It was desperately in need of decoration, the air conditioning was noisy on or off. The room was small, bathroom adequate. This certainly was not a 4 star standard even though that was the price I paid.Additionally for anyone approaching the hotel on foot from the Euston Station direction after dark , this is a badly lit street with a derelict park situated half way along.	
Oct 7 2007 	Very little to be positive about	My experience with the Thistle Euston hotel started when at 7pm of the day I was meant to check in I called to ensure that I would not forfeit my room through a late arrival. This was my first mistake as I ended up talking to a operator / receptionist with a limited grasp of English which resulted in me finally hanging up not particularly sure whether my call had been interpreted as a confirmation or a request to offer my room to someone else. So it was with a sense of foreboding that I finally arrived at the hotel. Whilst the first 'visual' impressions of the hotel were very good with the reception and public areas being decorated to a high and tastful standard I wish that this first impression had stayed as a constant theme in the ensuing two days. However the public areas were perhaps the only area of the hotel that did impress me and it is perhaps because I was kept queuing for 40 mins on arrival for the one receptionist to clear a coach party group that I had so much time to appreciate the public areas. Finally I was served by a rather bad tempered receptionist who couldn't quite seem to be able to handle my double barrelled name and therefore asked me several times whether I was sure if I had booked at the Euston Thistle as there were several other thistle hotels in London. Eventually she found my reservation and so I walked off into the depths of the hotel feeling extremely patronised and extremely exhausted. I was allocated a room on the fourth (top) floor and had to trek through an endless stream of corridors to finally reach my room. As for the room I can't say whether I was unlucky or whether the whole hotel was similar to the room I was allocated. If the latter is the case then I am unsure as to how they manage to justify the 198 pounds a night price tag with turned out to buy me a room with a bed, that was so hard that I did not manage to convince my body once to even try and succumb to sleep, a bathroom which was in a filthy state on arrival and had taps, which offered low pressure drips as an attempt to run a bath, and finally a television which did not work. In an attempt to be positive the room did contain several other features which although in no way redeeming did prevent me from somehow thinking I had checked into a hostel. These included an ironing board, telephone, kettle, safe and trouser press.However most worthy of a completely seperate paragraph is the attitude of the staff. Whilst I did encounter one 'customer service orientated' team member it was my experience that the rest of the staff were rude to an almost unacceptable standard and bad tempered. In an attempt to stay short of writing a book I will only give two examples. The first was at night I became thirsty and therefore after running the taps and seeing dark cloudy water come out I called to room service only to be told that they were unable to bring it to my room so could I just pop down and get it and could I bring my credit card. The second and most unforgivable example was when in the morning I called down to room service asking for some hot water with some lemon in only to have the individual reply flatly no as I had a kettle in my room and it wasn't worth his bother and if I wanted lemons to go with my hot water there was a mini mart nearby.Whilst this establishment has the potential to be a great hotel in my personal view it completely falls on it's face through the attitude of it's staff and what seemed to me to be a total disrespect for customers.	
Oct 5 2007 	We would stay again	My sister and I booked a 1-night stay at the Thistle Euston, as we had an early train to catch from Euston the following day. Whilst booking, we had requested 2 single rooms at a very discounted rate from the Superbreaks website, and so were very pleased at check-in to be upgraded to 2 double rooms. The rooms were some of the smallest double rooms that we have ever stayed in, but were completely equipped, even with iron and ironing board, and tea and coffee making facilities. The ensuite bathrooms were also very small, but provided everything we needed, including even a retractable washing line.The double bed in my sister's room was somewhat hard, and she had an uncomfortable night on the whole, but my bed was fine. There was a slight problem with the noise from the nearby Euston railway station - we could hear tannoy announcements for the first part of the night.Breakfast was a standard buffet fare with cereals, rolls, eggs and sausages. The fruit salad was certainly skimpy, and the orange juice tasted more like cheap orange squash with artificial sweetener in it. Otherwise, breakfast was adequate and would probably suit visitors from England, Europe or the States.	
Oct 2 2007 	Fantastic stay	We have just returned from a couple of days at the Thistle Euston. The hotel is average but we have never experienced such incredible service before. It was so lovely that it was hard to drag ourselves away from the hotel to go back home.On arrival we checked in to a Deluxe room which was small, outdated and depressing. I went back to Reception and spoke to a lovley lady (Katy I think) who was very helpful and apologetic and gave us an upgraded bigger room overlooking the park. Paul helped us with our bags and organized bargain Theatre tickets for us. Both were very pleasant and understanding. All the staff was very friendly and did their utmost to help us. The only negative point..........long ques for Breakfast so dont go down there hungry! All in all a great time in London. (Ask for Paul and Katy if you need anything!)	
Sep 16 2007 	great overall hotel	The hotel looks like nothing from the outside but inside is really beautiful.The reception staff are really helpful and the bar staff are really nice.The bedrooms are stunning and are really clean. The bed was so comfortable you did't want to get out it.The resturant was beautiful, dinner was great.Its presantation was good but was not very filling and the breakfast was edable but i've had better.So the hotel overall was nice.The other good thing was the bus stop was just around the corner and most buses go directley to piccadilly circus and westminster and all other big attractions. And most of all you walked off the train at euston station and a short wall to the hotel which was great for arriving and departing.	
Aug 29 2007 	Clean but not really a 4 star hotel	I probably got the wrong room. The hotel didn't looked a 4 star hotel at my eyes. the room size was good but fornitures and beds were dated and I would not recommend this hotel to anyone.The room was clean but the bathroom was mauldy and dated.Bad experience for me. I won't surely go back.	
Aug 19 2007	Very Very Basic Hotel	The Hotel Thistle Euston is not in a particularly enticing location but most of London's attractions are within easy reach by tube. Expect very basic accomodations, nothing at all fancy. The morning rush at the breakfast room is intimidating: it's crowded, there's a line, and the room is noisy. That said, London's hotel rooms are very very expensive, and if you're unwilling to spend a considerable amount per night for a room, then this will have to do.	
Aug 8 2007 	 You Pays your money you takes your chances 	we booked this hotel as part of a theatre package ( train tickets , hotel , tickets for chicago)all for the princley sum of £375 for 2 night half board.I can say in all honesty it was worth every penny,the rooms were very clean,the service more than good( free paper in the morning),coffee and tea making facilitys in room,the room was a twin and very good size overlooking the little park,the half board consisted of full english breakfast ,cereals,juices etc but where it really scored points though,was the food,the cheff there knocked up some beautifully presented plates and the portions were substantial,the staff were very attentive and there was no long waits between the 3 courses.i like my grub and i have a bloody good moan if its not up to par,however this stuff was excellent and a good choice of dishes.the only things i found a small amount of fault with was the tv in the room had a bit of a ropey picture,the staffs grasp of the english langauge left a bit to be desired and the bar prices were extortionate( £2.30 for a half of biiter and £3.75 for a pineapple and lemonade,needless to say we only drank once in there!)but apart from that we had a very pleasant stay for very reasonable prices.( by the way........Chicago was brilliant !!!! )	
Aug 2 2007 	Great Price Great Hotel	We stayed in a double room for three nights, overlooking the park. The room was big enough for two people and all our stuff. It was very clean, the bed was good and big. Good location, next to the tube, and on a quiet neighborhood. Overall a great experience, and we will definitely stay there again.	
Jul 24 2007 	Cosmos owns all	I stayed two nights here during my Cosmos tour. I was first assigned a room on the first floor all the way in the back where I had to go through a byzantine series of hallways and down some stairs to get to my room. I normally never complain to management but I had just twisted my ankle on the plane so I asked reception to change to a room with no stairs in the hallway. I was given attitude by reception but was assigned a room on the second floor. No stairs in the hallway!Room was not bad size for London and clean. Continental breakfast was standard bread and yogurt and coldcuts. If you paid $200+ for a room here, it's overpriced.	
Jul 24 2007 	Thistle Euston - Mediocre at best	The Thistle Euston hotel is just not special.I stayed in a single room, which was actually reasonably sized (for a single, anyway). However, the air conditioner didn't work (after 4 requests, they brought be a fan), and the mattress really needed to be replaced a decade ago. It was not just lumpy -- it leaned. The part near the wall was a good 2&quot; thicker than the rest, and the head of the bed was a good 3-4&quot; below the foot!Other people in my tour group all had varying room quality. Some had rooms whose air conditioning couldn't be turned off, and thus they were freezing all the time (I offered to trade, I prefer cold to hot)The staff was not very helpful either... as I said, 4 requests to get a fan. My &quot;complimentary newspaper&quot; was delivered only 2 of the 4 mornings. Twice I had to go request extra towels, as the cleaning staff forgot them -- they would take the old ones out of the room, and then not leave clean ones at all.The event staff is no better -- we had a meeting room reserved, with some snacks, plus coffee + tea service.We requested the coffee + tea to be brought in 5 or 6 times... The first time, it was &quot;ok, be right back&quot;. Then, a half hour later &quot;oh... I didn't know you were supposed to have... hang on, I'll go get it&quot;. About an hour later &quot;The coffee's still brewing!&quot; Then, later &quot;oh, you have to order that stuff, and nobody's placed an order for you&quot; (at which point our tour guide showed the order confirmation and said that anyway, she's ordering it now!). Finally, 1 hour later, &quot;Oh... it's a weekend, the event manager's not here, and all the equipment is locked in a room, and we don't have a key&quot;.And then, about 2 hours later (by this time we'd all bought individual cups of coffee and tea from the bar, and long, long since finished them), &quot;Here ya go! I can't bring coffee, but here's a big thing of hot water and some teabags!&quot;	
Jul 15 2007 	Not too bad	Stayed for just one night in the Euston Thistle. My wife and I paid £70 for a double room (no breakfast). The hotel was nice and clean, and the location was good. Nothing over special about the hotel, but it was quiet and clean	
Jul 5 2007 	Give this Thistle a miss unless someone else is paying	I was sent to this hotel by British Airways due to all flights being cancelled. I arrived around 11pm armed with a BA voucher that I had been assured was prepaid and booked. On arrival the staff clearly had no knowldge of these arrangements and I warned them that BA were sending travellers to west London hotels and to expect more. On cue another half dozen began dripping in and a small queue formed. The staff seemed concerned but took it in their stride to find rooms for everyone and the man in charge was very professional in handling the situation. I was one of the first and had to wait around an hour. I have no idea about the rest of the crowd. I checked out the bar and it was the usual half in a room half in the hall, bland, souless bar that I would have passed on excepting the circumstances and the time. The young lady behind the bar (Polish, I think) brightened up the place with a friendly attitude but the choice of beers was poor and overpriced, but that is London in a word. When I finally got my room (49) I found myself in an endless narrow corridor below bar level and what appeared to be dozens of numbered doors all virtually next to each other on either side. Alarm bells were sounding in my head as it was clear my room was not going to be the Tardis. Incidentally don't expect anyone to get your bags either, I only saw 3 peoply in the reception area and they had their work cut out with the unexpected popularity of their hotel. On entering the room I was confronted by what appeared to be the smallest hotel room I have seen in a long time and I had just returned from staying in 3 others around Britain that boasted a few less stars than this. I dont wish to boast but I have a bathroom back home that has more space. Anyhow, twin beds a Tv and some teamaking facilties made up the room's compliment. The bathroom was something else. Boasting time again but I seriously do have a larger cupboard. However everything was clean but the general feel of the building was dated. I returned to the desk where I spied the room rates of £193 single or £211 double. At least someone had a sense of humour. They should move the sign to the bar where at least you can be half cut and it won't seem so bad. I stayed in a Ttravel Inn in Dundee the previous week for £60 and apart from the rubbish restaurant, everything was bigger better and more modern and does not deserve any of the critiscism here. Did I mention the view. Directly outside the window are steps leading down to a dingy basement with obligitory rails (I thought they were all requisitioned for the war effort in 1941) and a dark ugly street-no Torquay hotel view here. As I had not eaten and had been assured that room service was available 24hrs a day, I telephoned --and phoned ---and phoned----nothing. At around 0100 I went to reception. There were still lots of people sitting about (possibly more BA rejects) and the young, quiet chap at the concierge desk, took my order which he personally brought to my room some 20 minutes later telling me that he was sorry but it was very busy and could I pay for it now. I was slightly stunned at this but paid up and made a mental note to get receipt in morning. The next morning I was awakened bright and early by the sound of the housekeepers scurrying around outside and rummaging in their store which was located the other side of my wall 2 feet from my head. Breakfast is available in a restaurant below the hotel and was okay. Not the kind you get personally cooked for you in a bed and breakfast for a fraction of the price, but more the buffet style, this is stuff we prepared earlier, type. I dont know if this is standard for London hotels but for some reason service sector businesses in London seem to think that they should charge top rate for everything ( hotels, food, taxis, drink etc whilst providing a take it or leave it, we are doing you a favour type attitude. I will make an exception with many of the foreign staff that are being employed in the industry of late. They do, for the most part, make a genuine effort and don't seem to bear the grudges of working in a low paid industry that their home grown counterparts have adopted. On a general note, proprietors of large hotel chains in Britain should try their equivalents abroad, Dubai for example, where service is premium and prices by comparison are not, then they should hang their head in shame and come back and retrain themselves and their staff in how to provide top quality facilities and service at acceptable prices, but then why would they when we Brits continue to roll over and accept shoddy poor value at home.Would I recommend this hotel-not likely but mainly for its dull atmosphere, prices and rooms. The staff were doing a reasonable job but there are better places out there at less money.	
Jun 27 2007 	Above average overall	Overall I had a very pleasant stay at this hotel. I had a deluxe room on the second floor. Although not particularly big it was very clean, with powerful shower and tea/coffee making facilities.The air conditioning worked fine too, there was a safe and a TV. I was pleasantly surprised to see they had Sky Sports 2 and 3 as available channels from the bedroom which I really appreciated.True, the restaurant is in the basement and a little dated. But quite frankly the breakfast was perfectly fine. The bacon was very meaty, the sausages contained herbs and were a fair size. The staff were also reactive. Our only complaint would be they forget to put some tea spoons on our table.There was also a bar with a large TV screen which we didn't use but looking quite a nice area. FInally, I bumped into the manager when checking out. He looked extremely smart and was greeting guests who had come for a corporate function, he seemed proud of his hotel.In summary, for around 100 pounds per night you could go a lot more wrong elsewhere.	
Jun 18 2007 	horrible restaurant	Really dread being booked into this hotel for business (have no choice), Handy for Euston but what I really hate is the dated and gloomy basement restaurant with bizarre menu and very expensive wine. I'm definitely going to eat elsewhere next time even though my meal there is paid for. Also breakfast is terribly crowded and hectic in the same dismal location. Turquoise decor!! My room has been extremely noisy on both occasions I have stayed there recently.	
Jun 5 2007 	Reasonable	Following advice in a previous review I got a cheaper rate than the hotel website by booking through the Hidden Hotel section of lastminute.com. I paid £120 for a deluxe double instead of £169. I was there for 1 night as I had a meeting the next day. The room (221) was absolutely tiny and I find it difficult to believe that this was a deluxe room. There was no mini-bar and the complimentary toiletries were extremely basic. It is many years since I did my HCMIA (even tho' I never actually worked in the hotel indstry) but I can't see how this justified the description or the price. On the plus side, check-in was friendly and efficient. I was offered a choice of papers and a wake up call. The bar was a reasonable place to meet my colleagues for a beer before we hit town. I was gutted to discover that one of my colleagues had been upgraded to an executive King suite, which sounded absolutely fantastic (he paid rack rate for his booking as a single room - £169), and was upgraded as they weren't full and he'd paid full whack. Another colleague who had booked a bogstandard single room for £104 (NHS discount) was 'upgraded' to a double deluxe like my little shoebox. The bed felt too hard to sit on, but was extremely comfortable and I got a good night's sleep. The sheets were beautifully clean, and the towels were soft and fluffy. The water pressure wasn't great, but the shower itself was fine, and had the interesting effect of a shower of light droplets as there was a spotlight directly above - quite pretty! The room initially looked a bit dingy, and had a view of the rooms opposite, masked by nets which were filthy (but didn't smell at least!), but the carpets and soft furnishings were all clean.The room was quiet (well I did get in at 1.30!), but it did get noisy whe other people started getting up from around 0600 and putting the TV on, having showers etc. I didn't have breakfast (I took my own stuff), but it looked reasonable. Checkout-wise there was a big queue, but the concierge went through the line asking if people had anything to pay, and if you had no extras then they would just post the bill on to you, so no queue for me! The lobby was large-ish, clean and quiet (no Cosmos coach parties!). The bellhop wandered through periodically, picking up leaves blown in off the street. There was good camaraderie between the staff I observed on duty, which was pleasing to see.In summary; reasonable. Ask for an upgrade if you pay full price for a room. a no frills hotel that is perfectly acceptable as a pit-stop overnight.	
May 20 2007 	business not pleasure	i was staying at the thistle on a business trip - two nights midweek. the hotel check in was good - my stay was booked and organised through my company so this was easy really - turn up, tell them my name and get my room key - everything paid for!the room was MILES away from the reception and as the floorboards creaked and the fusty smell got worse i arrived at my room door - i opened it and found myself in a 'cell' - triangle shaped room with a small double bed (set for a single person) and a tiny bathroom - but clean and tidy.the restaurant was lovely - not a typical hotel restaurant and not full of loan business travellers! some tourists too and the restaurant had entrance from the street for anyone to use. food was fantastic - three course meal and service was great - even thought i asked for pineapple juice topped up with lemonade and nearly got a pint of apple juice! the first morning i decided to have breakfast in my room and completed the menu and hung it on the door know - as instructed before 2am! and when my breakfast arrived it looked like it had been prepared at 2am - all the food was covered in cling film - and the 'fresh' crossiant was so stale! minging!the second nights meal was not as impressive - food was good but service was slow and almost rude as the staff seemed far to 'busy' to deal with our dirty plates and serving our next course. the second mornings breakfast was much better - food was fresh and yummy but it was so busy and the tables werent being cleaned quick enough etc. check out was smooth but very busy so try and get there with about 15mins to spare otherwise you will be late for your meeting! haha!overall, average and if i had booked this hotel for tourist purposes i would be so dissappointed! we travelled by train to st pancras and its at least a 15-20minute walk to the hotel - and with bags and suitcases it was more like 25mins!	
May 16 2007 	Don't know what all the moaning is about	My husband booked this hotel as a surprise for me. Apart from us, we also had my brother and sister-in-law, and their two daughters in our party. After booking the hotel, my husband then read the reviews posted on this website. He was dismayed to see the awful reviews, and emailed the hotel in order to try to alleviate problems other guests had suffered. He asked for upgraded rooms from standard to deluxe. Rooms all on the same floor, and rooms that didn't face Euston Station.On arrival to the hotel, there were a lot of cosmos guests littered about the lobby with travelling cases, obviously waiting for their coaches, but we didn't find this a problem. Whilst booking in, the Manager approached me, and said he had received my husbands email, and that he had done everything we had asked for. We even had the upgraded rooms for the same price. My husband had mentioned the awful reviews on 'Tripadvisor' in his email, so the Manager had looked it up, and told me he was very surprised by the comments as he had been there five years, and had never heard complaints about the noise coming from the train station.We found the staff to be very helpful and friendly, especially the Manager who went out of his way to give us everything we had requested. My brother and sister-in-law's room faced over the park, and was large with a nice seating area. My room, along with my neices bedroom were smaller and faced over the central courtyard area. The view wasn't particularly nice, but I didn't care, as we were only sleeping there. The beds were extremely comfortable, and we didn't hear a thing all night. Absolute bliss. The room was clean and the power shower fantastic, certainly woke me up.My thanks also goes to the conciege, who were extremely helpful. We had spent the evening in Camden Lock, and left it way to late to find a restaurant to eat. We came back to the hotel, asked the conciege to order takeaway for us, and even provided us with plates, knifes and forks. They even sent the delivery driver to our rooms with our food. They were polite, friendly and couldn't do enough for us. All-in-all, this hotel may not have the luxury of other 4/5 stars, but the staff more than make up for it. Finally the breakfast was excellent, and here again the staff were extremely helpful and very friendly. I can't fault this hotel one bit, and would certainly come back again.	
May 14 2007 	Great hotel for price paid 	We booked this hotel for a 1 night stay via last mintue.com (secret hotels) and paid £79 for a double room (room only).The hotel was a 3 min walk from Euston Square tube station and about a 25 min walk to Leicester Square, so for us a very good location.Our room was small but very clean with a good bathroom - bath and shower.Reception and Bar areas were also clean and staff we meet were friendly.We would return to this hotel again at the right price.	
Apr 30 2007 	Be warned do not stay here.	Absolutely disgraceful. Booked into the Thistle Bloomsbury but was transferred her due to overbooking. We were promised it was a four star hotel and an Executive room. What a blag that was. It was awful, unfriendly with disorganised staff. The room was stuck in a time warp and was seriously in need of new furniture. A homeless hostel was more appealing.Do yourself a favour and walk right past this one.	
Apr 25 2007 	Is this London’s noisiest hotel? With the worst customer service?	Is this London’s noisiest hotel?I stayed at the Thistle Euston for one night earlier this week and it was very definitely one night too many. I was there on business as we had used a meeting room at the hotel one day and had another meeting planned there for the next day. The service provided by the staff in relation to the meeting rooms and all that that entailed was very good and I have no complaints about that. However, I hope my experience of the overnight stay serves as a warning to business and leisure travellers alike. I travel quite a lot throughout the UK for work and also love to travel abroad for holidays so I’ve stayed in a huge number of hotels, including several in central London and I think I have realistic expectations. I KNOW that traffic noise is continual in London and that other guests may disturb you etc etcUpon check in (which was slowish but OK) my colleague and I asked for quiet rooms. We were told that the hotel was very full but that the rooms were not noisy as there was good sound-proofing. We were in no way the last to check in so we thought it was somewhat odd that the room allocation could not be changed. Anyway, we decided it was for one night only so to just go with it. My first room was 405. I do wish I’d had a camera to take a photograph of the view of Euston station platforms to add to this review! The station announcements could be heard very clearly from within the room. However, I thought it will be OK when the trains stopped running and that I needed to be up fairly early the next morning so that I’d be able to get enough sleep. The room itself was quite cramped – I had to sort of shimmy sideways past the bed but it was clean enough, there was plenty of hot water and a safe large enough to take my laptop etc. Overall, it was pretty bland and the bathroom fittings antiquated. Breakfast was very average and the restaurant cramped.After a meal and a few drinks in the bar that evening I retired to bed. Oh dear! At around 11.30 pm there was still considerable noise from the station tannoy and trains as well as from cars going up and down a ramp to the station car park. I phoned reception and asked for another room. Again I was told that the hotel was full and then two minutes later that I could have another room that would be better. I had to pack up my stuff, get dressed and go down to reception to collect the new key. This time I was given room 201. Frying pans and fires spring to mind….Although not directly opposite the station it was just around the corner and the noise from the station still clearly audible. I stuffed cotton wool in my ears and a pillow over my head and eventually at about 1.30 am managed to get to sleep. Room 201, though, is right opposite the lift and next to the doors by the staircase so that hardly helped. Anyway, at 4.40 am I was awakened by very loud, huge coaches parked under my window. These were left with engines running. This is because Cosmos use the hotel and have their own office in the hotel lobby.The noise from the coaches clearly woke whoever was in the next room and I was also treated to their television. Not only is the sound-proofing to the exterior windows inadequate but the adjoining door between the rooms (locked) had a 2 cm or so gap at the bottom. I have never come across such a flimsy interior door in a hotel as this. They usually have a kind of double door. Next doors' alarm call at 5.45 am was heard loud and clear in my room – although clearly nobody in either room would ever need such a thing! Then of course people started to use the lift, the traffic noise increased, the delivery vans for the kitchen began to arrive and the station kicked back in too so three hours sleep was all I got. I should say that my colleague’s room was faced an interior yard and was unaffected by noise but many of the rooms in this hotel must be badly affected. I have stayed in numerous station and airport hotels and never experienced noise levels to this extent. The Thistle group should invest some money in decent glazing and should address the flimsy state of the doors between the rooms. In addition to the unacceptable sound-proofing, I was very unimpressed by the attitude of the reception staff. I complained politely about my allocation of room and the off-hand response was quite remarkable. To spell it out here in full would make this report unbearably long but, in essence, there was no apology, a grudging 10% reduction in my room rate (eventually) and the comments that they are “not worried” that our corporate business will go elsewhere in the future and that they have “other priorities” (I infer that means Cosmos customers). All in all it was a thoroughly miserable experience.Obviously we are following up this complaint with Thistle directly and, needless to say, our corporate business will go elsewhere in the future. My advice to anybody considering staying at this hotel for business or pleasure is to go elsewhere too. It’s not the nicest bit of London and, if you really must stay round Euston, then try the Novotel which is not perfect but which has better soundproofing and staff who appear to have had some customer service training!	
Apr 17 2007	pass on this one	This hotel is mainly used by Cosmos tours. So whatever you paid for your room, your fellow residents paid half of what you did through their package tour. The lobby and puny elevators are constantly jammed with groups of 40 or more coming into the hotel from tour buses. The front desk is extremely unconcerned with any issue you may bring to them. I would guess that they are jaded from the long lines and crowds that they deal with on a daily basis. The included breakfast that is offered in the basement is bland and unappealing. The motif reminded us of an old hospital cafeteria. The rooms are small (so what else if new, it is London). We could hear the neighbors arguing next door. We asked that our bags be taken into the room and not left in the hall, since we waited for over an hour for delivery. The front desk said, 'of course they will be put in the room'. We came back to the hotel four hours later, our bags were in the hallway, not our room.The area of town is a little edgy. I would pass on this one.	
Apr 13 2007 	Not what I expected	Having seen the regular prices quoted for a stay at this 4* hotel, I was expecting much more than I got. Judging from the other reviews it seems I had an unusually bad experience, but I found the room, which according to my booking should have been &quot;deluxe&quot;, to be very small and with little natural light. The bathroom was OK but in the morning I found what looked like a medium sized cockroach waiting to greet me. I'm pretty sure I didn't bring it with me! Breakfast was good but the restaurant is in the basement with no windows and has a rather odd layout and decor. On checking out they tried to charge me for newspapers, which on arrival I was told would be complimentary. All in all, just about acceptable for the price I paid (£105 a night) but I don't plan to stay there again. Of course the key is to make a fuss at the time if you're not happy with what you're given but I just wanted a hassle and stress free stay so didn't feel like complaining to the unsmiling staff on reception.	
Apr 11 2007 	Great Location Poor Service!	The location of this hotel was perfect for our stay as it is very central, however the service was less than perfect. All the staff we talked to were foreigners who didnt understand us. We had a very creepy, preverted phone call one night and when we complained to reception, she didn't undertstand what we were saying and in the end all she could say was that maybe the phone numbers got mixed up! We asked concierge to book us a taxi, but he told us that we could hail for one from the street and then walked off! This is not the service that we expecte from a 4 star hotel and we were deeply disappointed. Needless to say that we will not be going back there again!!	
Mar 25 2007 	First Time in London	Two problems:1. The view from my room wasn't so great. I didn't spend much time there so it didn't make much difference to me, but that can be a major let down for the another traveler.2. The hotel's restaurant specifically at dinner time. Breakfast,which was included with my room, was fine-no problems whatsoever. Dinner, which I had to pay for, was disorganized and the pizza tasted like hot cardboard. Okay, enough of that.So I check in on Sunday and the process was smooth and efficient. (I like to use a travel agent so I don't have to play the credit card game with the front desk.)My room is good for a single traveler or a couple who intends to share the bed. The hotel is set up to accomodate business travelers. The room is quite snuggle friendly (read: tiny) by American standards. It's neat and tidy with maid service every day. The tea set is hidden under the tv and you can request a morning paper.The concierge is VERY useful. I booked a trip Sunday night to tour Paris Monday morning and he managed to get me a seat (stay tuned for my Paris review later). The tour picked up at my hotel at 6 AM-half an hour before breakfast starts-and he found me a breakfast box to take up to my room. He also arranged a wakeup call and made sure I had maps and directions to other attractions.The hotel is conveniently located near the Euston rail station, which is a pretty major train station in London for the Underground and British Rail. If you're using the Underground to get around town you'll need to walk about a block.The Thistle Euston was neat, clean, had a well organized front desk/concierge, and nice and quiet. I'd stay here again.	
Feb 27 2007 	Great for a short break	My boyfriend and I booked this hotel for a night away in London. We booked through lastminute.com secret hotels where you don't find out the name of the hotel until after you have booked and as such you get a cheaper rate. However we could tell from the blurb on lastminute that we were booking the Thistle and as such got a £60 deal rather than paying £90 - definitely worth it!Having read the other reviews on the site I was going expecting a mediocre 3 star despite the official 4 star rating. I have to say I was pleasantly surprised and feel that our experience was a lot better than some others.We did have a deluxe room (429) and I had requested a quiet room - contrary to many of the reviews our room was very large and had a sofa area. It also overlooked the little park rather than Euston station and as such was very quiet. I think it was a smoking room (which we hadn't requested) as there was an ashtray on the coffee table. However there wasn't a noticeable smell and we didn't want to move. The bathroom was clean and the shower was lovely! The only thing i would say about the room is that on the surface it all looks quite plush and new but there are small details that they haven't updated so recently - one of these was the tatty looking window frame but this was behind the net curtain the whole time so you didn't even notice!The staff on reception were polite and helpful and looked after a bunch of flowers quite happliy for us while we went out after checking out of the hotel. The reception area is very swish which I wasn't expecting when we first walked in as the outside of the hotel is quite shabby looking. On balance I'd rather it be nicer inside than out though!The location of the hotel is really good - Euston underground is 2 minutes walk and there is a line straight down to Leicester Square. We were also able to park for free on the street outside all weekend which was great in central London! We were careful not to leave anything on show in the car though.Overall I was impressed with the hotel - probably mostly because I wasn't expecting it to be the standard that it was. I would definitely return.	
