	FAB-U-LOUS	Excellent value hotel in great location. Called myself and negotiated great rate for bed and breakfast. Good size room (studio) with large bathroom. Clean and comfortable. Very good food especially the room service curry!! All the staff we came into contact with were helpful, efficient and friendly. It only took 15 minutes to walk to the Eye along the river passed the Houses of Parliament so great location. Was very pleased with this hotel and would stay again.	
Sep 17 2007 	Modern stylish hotel with friendly staff	We booked this hotel based on reviews from this site and its location. We were going to London to see Brian Wilson at the Royal Festival Hall - the concert was fantastic and being just a short stroll from the hotel was great. Prior to check-in I had requested a quiet room, having read some of the reviews about the rooms at the back of the hotel being noisy due to the railway line. The day before we went I called the hotel to enquire whether they have any smoking rooms, which they do. So we were allocated a quiet smoking room and were very happy - there was even a partial river view. On arrival we requested a late check out and that was also 'no problem'.The Riverbank Park Plaza is extremely smart and modern and we found all the staff very friendly and helpful. We booked the online Executive package which gives you an Exec room (obviously!) and extras such as fruit, mineral water, bathrobes, slippers, extra toiletries etc and the use of the Executive Lounge on the 11th floor. The lounge serves hot drinks 24 hours a day and between 6-8pm there's free wine/beer and soft drinks plus crudités and snacks such as hummus, guacamole and dim sum. There's also breakfast served in there although we ate in the main restaurant and there was a good choice although no Eggs Benedict sadly.We had room service as we needed to eat early whilst getting ready so we ordered pizza and garlic bread. Not at all classy! They arrived late but were hot, fresh and tasty. The garlic bread (which was delicious but we like it strong and it certainly was!) arrived 10 minutes later with a genuine apology and I don't think we weren't charged for it. Also, having stayed in many London hotels with work, the prices on the room service menu were very reasonable. I can highly recommend the cocktails although at £7.50/£9.50 each they aren't cheap. Luckily we got a scratch card on check-in and both won a freebie (although I suspect 'everyone's a winner'). I enjoyed a Raspberry &amp; Mint Margarita (delicious) and my fiancé had a Dusty Mexican (tequila with Mexican orange liqueur and dark chocolate). If like us, you usually opt for a cheaper hotel in London but fancy splashing out and treating yourself, I would definitely recommend the Riverbank Park Plaza. It may be a little out of the way for some but we loved being by the Thames.	
Sep 16 2007 	Trains keep you from sleeping	I booked this hotel through Trafalgar Tours to extend my stay in the UK after completing one of their tours.For the rate of $395 Australian Dollars per night I assumed I would be treating myself to something special.Obviously not everyone is going to be lucky enough to get the Thames river views of the House of Parliament but what they don't mention anywhere on the Park Plaza website is that the rooms on the left hand side of the building are 15 metres from the main railway track.Trains rumble by every other minute and you can feel the vibrations as well as hear them.In a premium hotel I've also become acustomed to the broadband internet being free, the company website touts the availability of the broadband but doesn't mention it will cost 9.95 pound per day. I didn't even have to pay that much in Moscow one of the most expensive cities in the world.It is also quite surprising that the bathroom has only shower facilities, no bath.	
Sep 10 2007	Loved the park plaza	We booked this hotel as a Travelzoo promotion, upgraded to Executive package and would thoroughly recommend it. Previous posts suggested that it is out of town but we found the short walk along the Embankment to Westminster only took a few minutes and in fact didn't use the tube all weekend. It was easy to drive to and the car was speedily valet parked if a little expensive at £26 a night. Room was great although the river view was a little exaggerated (on tiptoe peering sideways). We used the Exec. lounge for drinks and nibbles(very limited) and used the 50% off voucher to eat in Chino Latino in the evening. Only disappointment was the toiletries - no conditioner! In all a lovely stay and would use this hotel again.	
Sep 8 2007	Amazing view overlooking Thames Parliament Big Ben London Eye.....	Stayed here twice in August. First for 2 nights, then did some traveling to Oxford and Bath, then came back for 4 more nights.If it had been any sort of bad experience, I would have cancelled my second stay. I had enquired about airport pick-up service and the concierges were very helpful in describing all of the various alternative means of airport transportation and then making the arrangements when I had decided on car service. The driver (Bob) met us and was soooooo pleasant, informative, and interesting to talk to. (We requested him for our trip back to LHR at the end of our trip.) So, that was a very auspicious start because I was having doubts about taking the trip, what with the terrible exchange rate for the USD, the recent terrorism in the UK, and then the record floods in Oxford area. Being cheerfully welcomed by Bob, was a relief. Anyway, the bellmen at the hotel were very efficient at the hotel and check-in was easy, so we were in our room pretty quickly. The room we had was huge with a fantastic view. But I'm most picky about and what is most important to me is how CLEAN the room is. I was thrilled that it was very clean. So, two thumbs up from me on the cleanliness factor.What I liked was that the hotel was in a quiet area, but still really conveniently located. The public bus stop is literally outside the door. The Original London Sightseeing Bus stop is right at Lambeth Bridge, which is a couple of short blocks' walk. For the tube, I found that Vauxhall (on the Victoria Line) was a quick walk to/from the Park Plaza Riverbank, but when my son was tired, we took the bus for 1 stop directly back to the hotel. Better yet, right at the Vauxhall tube stop (which has a lot of buses, like a mini terminal), there was a Starbucks. Also, there is a very pleasant bus info center aboveground and then inside the tube station, the ubiquitous info window was always helpful. Next door to the hotel is a convenience store, a pub was a block away (didn't eat there, but it looked decent), and directly across the river was a Pizza Express restaurant. Had breakfast in the dining room. Some days it was a breakfast buffet and there was loads of variety and some days I ordered my entrée off the menu. The host/manager who greeted me every day was always on the go, looking after everything and trying to make sure everyone was taken care of. I also had room service and besides being the usual expensiveness of room service, everything was fine and the food was delivered quickly and tasted fine.Every time we'd leave the hotel, we would see the doorman. He was omnipresent. He was always smiling. I would categorize him as &quot;jaunty&quot; in his purple uniform and top hat and quite &quot;Willy Wonka-ish&quot;---(the Johnny Depp one) --I mean this as a compliment! He was always there to hail a cab for us and to open the taxi door. I know there's plenty I'm forgetting to include, but these are the highlights.Oh, I know. My husband used the business centre and also the hi-speed internet access in the room. The in-room safe (big enough for his laptop and our other valuables) was useful, too.Bathroom was large. I would definitely stay here again.When I get my pictures organized, I'll try to add photos.	
Sep 3 2007 	Hotel ok service could have been better	I stayed in this hotel on the evening of the 1st September after booking it through Travelzoo on a special deal. The deal included 2 free drinks at the hotel bar + 50% off the cost of food in the Chino latino restaraunt. Check in was a little slow &amp; we were told that our vouchers for the drinks &amp; food would be sent to our room as they were not ready for us to collect at reception which was fair enough. Room was fine clean &amp; not too noisy. Came back in the early evening expecting the tickets to be in our room but they were not so I had to ring down &amp; remind them. It was a good job we were not in a hurry as they arrived approx 30 minutes later. Sunday morning started a little earlier than we had expected due to an early morning alarm call at 5.30am (that we did not book) I explained to reception that we had not requested an early morning call but he refused to listen to me. 2 minutes later we received another early morning call as you can imagine I was not at all pleased to get a 2nd one, I decided to take the phone off the hook so as not to be disturbed anymore. My overall experience of the hotel was that it was in a good location,clean &amp; modern but the little niggles tarnished what should have been a fabulous experience.	
Sep 2 2007 	Fabulous hotel	Stunning hotel. Although out of centre is only like 10 mins walk to the london eye, westminster and easy to get around.the rooms were gorgeous lovely and clean and even though we were in a room by waterloo station was not that noisy really. Just think your in london do you really expect peace and quiet???? defo stay here again. i stayed at the victoria plaza before but would say this is slightly better although Victoria one is nearer attractions.	
Aug 24 2007 	Genuine service	I have stayed at this hotel more than 30 times when visiting London on business.Although a little out of the centre and not really handy for a tube station, it is only a pleasant stroll from the hotel along the river and over Lambeth Bridge to the Houses of Parliament or along Albert Embankment to the attractions of the South Bank (theatres, restaurants, London Eye etc).Forget the poor food that you might normally expect at a British hotel, the Park Plaza's food is restaurant quality (the fillet steak for £19 in the Club Lounge is superb) and the Chino Latino restaurant (East-West fusion) in the hotel, next to the bar, is a destination in its own right.Avoid rooms whose numbers end in 24 (124, 224 etc), these have a wall adjacent to the lifts and you'll hear them rumbling past your room. Room 1124 is the worst for this as it's next to the motors at the top of the hotel.Even-numbered rooms at the back of the hotel on the lower floors may be troubled by noise of trains passing but you soon get used to that. Rooms that face in rather than out are always pretty quiet.The rooms are purpose designed, all double-sized, modern and comfortable with a decent flat-screen tv and dvd, glass desk and a minibar that has a small shelf specially for your own stash.Wide bathrooms of polished black granite have separate bath and shower and plenty of space. On the ground floor, there is a cool, modern and spacious bar.So, when in London, faced with a choice between checking into a cramped converted victorian building with rooms shoe-horned in and in the midst of honking traffic and revving buses ... or a pleasant, purpose-built, spacious and relaxing modern place to stay ... I go for the latter, the Park Plaza on the Albert Embankment. So do cricket teams visiting the nearby Oval.	
Aug 19 2007 	Clean modern hotel	We booked through lastminute.com and wanted a fairly central hotel at a reasonable price. We stayed Fri-Mon and booked an executive room as we were in London for my husband's 40th birthday and wanted to make it a bit special. I was aware, due to the reviews on here, that we may be allocated a room with a view of the railway tracks but as neither of us are particularly bothered by noise we were happy enough with this. Check in was swift and curteous but as we had arrived early our room wasn't ready, which we had expected. We were, however, told we had a lovely room with a partial river view. When we returned to the hotel later on we picked up our room keys (again service was fast) and were thrilled with our room. We could see the Thames and parliament and there were no trains to be seen. It would have been nice to have this view from the bed but unfortunately when in bed the view was of a building. Never mind, this is London after all.The robes, slippers, fruit and water that were included in the package were all there as expected. There were plenty of toiletries and they were repenished as needed. Although there were tea and coffee making facilites in the room we didn't use these, but we did pop into the exectutive lounge for hot chocolate in the early hours. The room was clean and well maintained. The only minor negatives were that there was a scorch mark from the iron on the carpet and the toilet cistern sometimes kept running after flushing, but this was not audible from the bedroom. The water pressure in the shower wasn't great, but that is the same in most hotels. It was good to have a seperate shower cubicle rather than a shower over the bath.It was a pleasant 10 minute walk along the Thames to Vauxhall tube station, however on the Saturday the whole Victoria line was closed, which was a little inconvinent, but that's just one of the things you have to accept if you visit London at the weekend. It's not far to walk to the London Eye and a great selection of restaurants on the south bank. I only had breakfast the first morning, but my husband had breakfast all three days. We ate in the executive lounge and it was pretty standard fare, but OK. Two of the three evenings we were there we went to the lounge for drinks and snacks. Each evening drinks and snacks were served from 6-8pm. There was red or white wine and beer as well as soft drinks, along with a selection of dim sum, cheese, crackers, crisps and olives. The lounge was adequately replenished but unfortunately the drinks fridge didn't work, so I stuck to red wine. There was also a drinks machine providing hot drinks 24 hours a day as well as a computer with free internet access. Given that breakfast was included I'd say the executive rate was worth the extra cost.We didn't use the bar or restaurant, but they looked lovely. Contrary to previous reviews we found the service to be friendly and efficient and when we visited all the lifts were in working order and there was no wait. All in all we liked this hotel and would stay again if the price was right.	
Aug 18 2007 	Great Experience at the Park Plaza Riverbank	Travel Agent recommended and I adored this hotel. It was brand new, and the rooms were quiet and we had a great view of big ben. The concierge was excellent. I wanted a quiet hotel where there wasn't a lot of hustle and bustle and where we'd feel safe. This was ideal after coming from the states and needing to adjust to the time zone. I wouldn't stay anywhere else next time we visit London.	
Aug 17 2007	Ten Cheers for the Park Plaza	When our seventh floor London flat was flooded (burst pipe) and uninhabitable for over a month, we moved into our local Park Plaza Riverside for the duration. It turned out to be the best thing we could have done for ourselves.Albert van der Westhuizen, Senior Guest Relations Manager, showed great sensitivity to our unhappy situation, and helped us considerably by moving us into a lovely suite with river views. The front desk staff were also pleasant and helpful; adding weeks here and days there, as our deadlines to move back home kept changing.We'll never forget their kindness. The Park Plaza is lucky to have such a great crew. We will recommend them to everyone we know.Christine and Jean-Michel	
Aug 16 2007 	Maybe a lottery with the rooms?	Having stayed here recently and subsequently read back over the reviews; I think it maybe is down to room location as to how much one enjoys the experience.The hotel's location is great - no doubt about it. A comfortable walk to the many attractions of the south bank. I thought service was excellent throughout and one could not fault the room in terms of comfort and cleanliness. Reception checking in and out was professional and friendly. The bar was impressive and, again, waiter service was prompt and courteous.So, maybe the rooms overlooking the railway are to be avoided and if this can't be guaranteed - think again about booking. But overall I thought this was an excellent hotel and would stay again.	
Aug 11 2007 	Disappointing	Disappointing from start to finish. The hotel location, while near the London Eye, Downing Street (the other side of the Thames), there isn't much around the hotel itself. Check-in and check-out were icy. At first glance the room appeared tidy, however, the carpet was stained, bed sheets torn, the walls scuffed. In fact, had to request slippers as the floor was too dirty to remain barefoot. My room had absolutely no view. If you must stay here, book a room with a view of the Thames, otherwise your view will be of the hotel well or train tracks. Housekeeping never seemed to get it quite right with consistently late service. Tissue paper is apparently at a premium, having to request another roll (rather than being replenished with daily service). Phone did not work without interference, despite having it replaced. The TV was nice but required working knowledge of electrical engineering and if not on, the sole clock and the internet did not work. At least one elevator was always down, often having to wait 5 minutes or more. The restaurants were understaffed and, like the room, nothing special and disappointing. Not even a good cup of coffee, something I look forward to when in Europe. If I were not traveling for business (and compelled to stay there), there would be absolutely no reason I would stay at this hotel. While the hotel may look nice, the website pictures do not tell the whole (unfortunate) story. Annoyance after annoyance. London is a spectacular city, enjoy your evenings elsewhere.	
Aug 10 2007 	Comfort and Joy	I was directed to this hotel via a weekly newsletter that I receive: ~Travelzoo. Excellent deal offered and as it then turned out the perfect location for our desired activities (Tate Britain, Modern and the Hayward). The walk along the river to and from these destinations was stunning (weather good thankfully) as was catching the Tate boat between the two galleries. Would recommend this.From the moment we arrived at the hotel, the service was excellent. Any member of staff consulted during the time of our stay could not have been more helpful. We had a room without a view, but as a result, was wonderfully peaceful. It was spacious, clean and well equipped. We availed ourselves of room service for breakfast and this too was excellent.I would stay here anytime and particulary if I wanted to be in that part of London.	
Aug 7 2007 	Superb location for business or pleasure!	This is a lovely modern hotel efficiently run. Friendly staff, eager to please.Rooms are very comfortable, very clean and well appointed. Plasma TV/DVD/IT access as standard. Large bathroom with full size bath/shower PLUS level access walk in shower.We booked an 'executive room' without knowing the benefits. MIneral water, fresh fruit, biscuits, all day refreshments in an executive lounge, drinks &amp; canapes between 6pm-8pm and a quiet breakfast room. I throughly recommend this to everyone!!Fantastic cocktails served with a variety of complimentary nibbles - olives, chilli crackers, mixed nuts &amp; savoury biscuits. Both restaurants looked lovely. Unfortunately we did not try 'Chino Latino' but it looks fab and there were people waiting for it to open! We ate in the other restaurant (cannot remember the name right now) three different meals, all very impressive and reasonably priced.	
Aug 7 2007 	Great for trainspotters	Was booked into this hotel as I needed to give presentations nearby early the next morning. Arrived late so was &quot;upgraded&quot; to a suite (Rm 303). Should have guessed all was not well when girlfriend asked, when I phoned home, &quot;What's that noise ?&quot; The train noises stopped at 00:40 in the morning - they started again at 04:40. Looking out in the morning I was able to see the earwax of the traindrivers as they used the seven track railway just outside the window.The conclusion to this tale is that half the hotel should be called Riverside the other side Trackside.Oh yes and there was no iron in the room.	
Aug 2 2007 	Comfy and peaceful	Stayed in an executive room via a special offer on Travelzoo, was able to check in on arrival at 9.30am as the room was ready and found the room to be comfy with dressing gowns/slippers, fruit, vanity items, water, coffee etc. Air con was lovely as the weather was hot so great to cool down after a sticky day at the cricket. Bar was very trendy with attentive staff, had a great nights sleep with cool room with air con and it was very quiet, we heard nothing all night and I am a light sleeper. Was given a choice of breakfast in Executive suite which was continental or restaurant downstairs for a la carte also included in our package so we ate downstairs, the breakfast was lovely and really set us up for the day. Vauxhall tube is about a 5 min walk which then takes about 15 mins to central London.	
Jul 24 2007 	Pleasant stay	Organised a special trip to plaza for my husbands 40th birthday surprise. Booked the executive package with all the trimmings. River view room was fantastic looking down the Thames . Room was spacious and comfortable we had room service and the food was wonderful and not to over priced. We had a few niggles like on the second day we could not get into our room so we had to go and get key card changed the coffee etc wasnot refilled when the room was cleaned no newspaper etc these are only small complaints but at a four star hotel they really should get it right. The staff were very polite. Enjoyable stay	
Jul 11 2007	OK but poor sound proofing	Overall a pleasant stay, had an executive room, ask if River or Railtrack view, £25 per night upgrade for River view which is worth it. One problem, very poor sound proofing between rooms, could hear upper floor talking etc most of the night and next doors TV at 6.30am in the morning. If you are a poor sleeper, I would not recommend this hotel but very good location for most attractions, such as the London Eye etc.	
Jul 7 2007 	Wonderful find!	Terrific location near London's Waterloo Station, across the river from Parlament, Big Ben, etc. Also near London Eye and both Tates. New facilities, very comfortable rooms, nicely appointed.	
Jun 30 2007 	Great room but terrible breakfast!	We stayed at this hotel for one night in June 2007. Upon check-in we were asked if we would like to upgrade to a room with a view for an extra £50. The upgrade included breakfast served in the Executive Lounge on the top floor. We thought that this sounded like a good deal so we upgraded.The view from our room was amazing - we looked out on to the Thames and could see the Houses of Parliament really clearly from our window. Our friends had a room facing the opposite side of the hotel and they looked out onto train tracks and were kept awake at night by the noise from the trains.The room was large for a London hotel and the bathroom was enormous! The decor was modern and the room was very clean.The only bad thing during our stay was that the breakfast in the Executive Lounge was the worst I've ever had in a hotel. There was no hot food available when we arrived, other than some burnt looking baked potatoes!? The cold selection of food was extremely limited and they seemed to have run out of juice completely. Eventually some Eggs Benedict arrived and were put out on the buffet. Unfortunately these were stone cold and were simply placed over a small flame in an attempt to heat them up! All in all very disappointing and we felt a bit cheated. Our friends had breakfast in the main restaurant and it sounded great - so be warned, if you have a package that includes breakfast, see if you can eat it in the restaurant rather than the Executive Lounge!	
Jun 27 2007 	Shame about the view	I stayed at this hotel in June 2007. It's quite a modern establishment and definitely has tones of 'Hotel Babylon', especially the bar. Staff were courteous and friendly. The room was fine - lovely bathroom. One drawback was that the view was over about 12 railways. The soundproofing was good though. We were a little disappointed as the blurb boasts of the views down - river to Big Ben. Public transport is a little iffy too.	
Jun 25 2007 	iffy	Booked this hotel as top secret choice on last minute, got a good enough deal and was quite pleased to hear on checking in that we had been upgraded to a suite. Kind of wish they hadn't bothered..When we got to the room the mini bar was locked (stayed locked through out our stay, but this didn't stop them from trying to charge us for a number of items from it). There was mould and dampness in the main wardrobe, the skirting was crumbling and it smelt awful so that stayed closed through out the stay. As mentioned in a previous review the bathroom light didn't switch off so we also found an alternative use for the (single) complementary robe. Despite the lack of AC in the bedroom and the hot weather that weekend, the windows in the bedroom had been locked which was made all the more frustrating by the presence of the balcony, so also did as the previous reviewer did and slept with the door to lounge open. The house keeping in the room was very poor- previous guest's choclate wrapper in the bed side locker, red wine splashed all across the living room wall. On the plus side the quality of the breakfast is good, the reception staff were very good and the design of the hotel is good. Strangely despite all my criticisms I would consider staying here again if the proce was right and hope that I ahd just been given a poorly maintained room. Riverbank Palza if you read this you really should take a look at the wardrobe in room 1021 this problem should not really be occurring in a relatively new building.	
Jun 24 2007	Very confortable	Hotel booked by Trafalgar for our tour.Very clean, very comfortable beds, modern rooms.View of the train rails, not very nice but a room is for sleeping and we slept very well. Even if you could still hear a bit the trains passing. We didn't mind, it helped us go to sleep, go figure.A lot of amenities, tea, coffee, full bathroom products, modern audio/video system. Nice restaurant. Close to the parliament, metro (underground) and the London eye. Don't try to exchange money early in the morning, if they don't have the exchange rate they will send you to the ATM outside. Concierge very helpful and knows the good pubs.	
Jun 24 2007 	Lovely hotel in a great location	Stayed for 4 nights in this hotel in June 2007.Our room was very modern with a spacious bathroom and all other amenities such as TV/DVD, tea/coffee, safe, iron etc. The staff were very friendly and approachable. The continental breakfast was okay, but felt it was let down by limited choice and poor quality ingredients eg diluted orange juice and cheap cereals. My only other gripe is that each bed only had one pillow and the beds were so hard that I did find it difficult to sleep.Overall though I'd definitely stay there again and would recommend this hotel to everyone.	
Jun 17 2007	Perfect for the weekend travelers.	Have just arrived from a stay i Riverbank Park Plaza, London. A fantastic hotel just by the River Thems. Not far from the london eye and many other attractions. It took us 10 minutes walk to the London eye. Very nice rooms, light colors and modern furnitures. The bathroom was &quot;Wow&quot; all in black and white.The resturant Chino latino had delicous food. Everyone in the staf was very serviceminded and helpsam.This is a hotel we will come back to.	
Jun 17 2007 	Enjoyable stay	I booked my 4-night stay through Lastminute.com's Top Secret Hotels, and decided to plump for the executive package, as this, including breakfast, cost the same as the hotel's Web rate for a standard room. On check-in I received a surprise: I had been upgraded to a suite! The suite consisted of a lounge with a desk and chair, sofabed and two comfy chairs, and a large cabinet with a minibar and a flatscreen TV. The bedroom had a comfortable double bed, and was clearly supposed to have a TV, but it had been taken away for repairs. The bathroom was modern, but dimly lit, and had a shower with very good pressure and a separate bathtub. There was a light over the bathtub that wouldn't switch off, and despite my calling housekeeping nothing was done about this. I solved the situation by placing my complimentary robe across the door opening, blocking the light.The complimentary mineral water and fruit that came with my package wasn't in the room when I arrived, so I had to call and ask for it, but it arrived quickly. I found housekeeping to be very diligent, except for the bathroom light. When I called to ask what the TV situation was in the bedroom, they kept insisting that they would be happy to come and move the TV out of the lounge, even though I said that I was just inquiring as to the situation. The bathroom sink leaked, and this was also dealt with while I was out. I didn't experience any of the problems with lighting in the bedroom that I had read about in previous reviews, so I had no trouble reading in bed. One minor gripe is that there no air conditioning in the bedroom. I solved this by sleeping with the bedroom door open. Otherwise, the air conditioning worked well.Unfortunately my worst fear from reading the reviews came true. I was given a room facing the train tracks. Luckily my suite was on the 11th floor, so it wasn't noisy enought to be a problem while I was awake. Unfortunately I'm a light sleeper, so I was woken by the trains rumbling by at 4 am, but I managed to fall asleep again.Breakfast in the executive lounge was excellent. During the week, breakfast was fancy: Eggs Benedict, sausages with bacon rolled around them, potatoes, and all the other traditional components of a full English buffet. At the weekend, yummy scrambled eggs replaced the Eggs Benedict. I only made it to the early evening wine and canape evening once, but they served lovely dim sum from the Chino Latino restaurant.We had one meal at Chino Latino. It was a mixed experienced. The food was excellent - especially the plum tatin dessert. Unfortunately one of our starters was cold in the middle. They took it back, and after about 15 minutes we received a new starter - half the size of the original. We complained again, and ended up getting our full starter together with the main course. There were some apologies, and we were handed off to a more senior server, possibly even the maitre 'd, but no complimentary drink or dessert, despite this delaying our meal by half an hour.I chose express checkout, so that went smoothly. That is, after we called down to reception and asked why our bill hadn't been slipped under the door.All in all, for the price I paid, I'd definitely stay here again if I could be sure that my room wasn't facing the train tracks. I've discovered that the hotel now advertises riverview rates on their Web site, so I might consider doing that in the future. Except for the bathroom light, all my queries to housekeeping were dealt with very quickly. And the location was excellent! There's a bus stop right in front of the hotel, which is handy from travel to/from Waterloo. Lambeth Bridge is practically next to the hotel, and has a bus stop that takes you right up Regent Street.	
Jun 13 2007	Extraordinary!	Hello!We strongly recommend this hotel! This Easter we spend three nights at this luxurious hotel. We were very well treated. The staff was helpful and friendly. For example, they helped us with bustickets and our son´s birthday celebration, early in the morning! The rooms were spacious stylish equiped.We also strongly recommend the restaurant., Chino Latino Brasserie! It was an extraordinary experience, the food as well as the staff. They were so nice and treated us to a glas of champagne because of our wedding anniversary and our 50th-birthdays.Håkan and Birgitta Arin with children, Matilda, Nils, Amanda och Anton, Strandv. 8, 571 38, Nässjö, Sweden	
Jun 11 2007 	Great Weekend	Had a great long weekend at the beginning of june to which this hotel contributed. Upon check in staff were very helpful and efficient. We were in our room within 5 minutes. The hotel was sleek and modern with a welcoming atmosphere.We stayed in a superior room and had no complaints, plenty of room for 2 people, with a comfy bed and LCD television with plenty of channels. Iron and ironing board was provided and proved very useful. There was also a safe provided within the room free of charge which was a bonus. The bathroom was very nice with a seperate bath and nice powerfull shower, most importantly it was nice and clean!!!The room was very clean and fresh, housekeeping came in every day and we always came back to a welcoming room.We ordered room sevice and food came within the stated 25 minutes, again staff very friendly and the food was very nice at reasonable prices.The location of the hotel was great with lovely views. It was just short walks away to many local attractions and around 5-10 minutes to the nearest tube.Check out was again quick and easy. The hotel was happy to hold on to our luggage while we went out for the morning and collected it in the afternoon when we were due to catch a train.Would reccomend this hotel and would return to this hotel again.	
Jun 5 2007	Gorgeous hotel!	Just returned from a three night break at the Riverbank Park Plaza. Like many others, we booked this via lastminute.com's 'top secret hotel' and got a fantastic rate for our stay. First impressions were good, friendly staff and beautiful decor. Our room was perfect - big comfy bed and a spotless bathroom. Unfortunately we did not have a room with a view of the Thames - this was available via an upgrade, but this would have doubled our holiday price so we decided against it! We overlooked an office block, although this didn't bother us as we weren't in the room much, and we were in close proximity to a train track which was noisy during the day, but luckily didn't keep us awake at night.The hotel is about a five/ten minute walk from Vauxhall tube station on the Victoria line, or about twenty minutes from Waterloo station. There is a small off-licence close to the hotel incase of emergencies! A leisurely walk from the hotel along the Thames brings you out at the London Eye and Aquarium, with beautiful views of the Houses of Parliament on the way.We would definitely stay in this hotel again - would recommend it to anyone who would like a base set back from the general hustle and bustle of central London, but wants ease of access to the centre.	
Jun 2 2007	the best ;0)	ABSOLUTELY STUNNING - my friend &amp; I booked 2 rooms at the Park Plaza riverbank hotel last WE - we were with Adrien (10) &amp; Noé (9) - we had the warmest welcome ever, the staff was absolutely lovely, the rooms with a view on the 7th floor were an adventure in itself for the kids...&amp; the mums (we came back home with drawings of the London Eye, Big Ben, the Thames &amp; the fish, the fire station which is next door...:0) The room impressed them more than the Star Wars exhibition, which wasa terrific experience too, as well as the London Eye ride. We appreciated the late check out VERY MUCH especially since it was pouring down with rain &amp; we could see Big Ben get wet as we were watching a DVD in the room, lying on the most comfortable &amp; thickest mattress I've ever seen. The bathroom was a real pleasure: massaging shower, big bathtub, stunning deco. The welcome fruits were quite...welcome. The bar tenders at the Cafe Latino were SO nice &amp; handsome too! The served the best cafe Latte. The bar is very 'branché' &amp; the view fromthe Thames room, where an Indian wedding was going on is a wonder to the eyes (we were lucky to see the most glittery &amp; elegant outfits &amp; dresses while waiting to do the check-in or upon taking the lift) 25' walk to the Waterloo station (7.50£ by taxi) was real handyMost of the 'things to see' were at walking distance. The grocery store nextdoor has everything you need &amp; the tenants are really kind. The fire station also nextdoor is the 3rd busiest in Europe - &amp; although we ddidn't hear any alarms, we got to visit it with the kids thanks to the kindness of these great fire fighters.  We'd like to thank ALBERT, Senior Guest Relations Manager, for all the warmth, kindness, attention, great service &amp; good humour we received during our short stay. Thanks for making it happen: a WONDERFUL rainy WE in an amazing hotel. We will come back for sure...Without the kids ;0)MERCI from BelgiumValy &amp; AdrienVirginie &amp; Noé	
May 29 2007 	Very good London Hotel on South Bank	My husband, myself and my parents just returned from two nights at the Riverbank Park Plaza in London. I booked the two rooms on LastMinute.com and got fantastic room rates for this holiday weekend. The hotel is located on the South Bank of the Thames, one block southwest of the Lambuth bridge, within site of the London Eye and Westminster. The hotel is very comtemporary and 'trendy' with an upscale modern-Asian fusion influence. The rooms are nicely equipped with large comfortable beds, flat screen TV with DVD player, computer desk and internet access, minibar and coffee/tea facilites in the rooms. The bathrooms were fabulous - large with separate modern shower and tub in marble &amp; chrome decor. Lighting in the rooms was very nice - automatic light in closet with personal safe, recessed amber lighting above windows, light blocking draperies. We paid extra for breakfast on a special weekend rate ($25 per couple per day) and were very disappointed. While there was a variety of cereals, pastries, fruit and full English breakfast fare offered, the food was not well prepared - scrambled eggs were watery and cold, pastries were stale, service was slow. There are two restaurants available for lunch/dinner - one is the Club Lounge offering traditional food that was unfortunately not open on Sunday or Monday during our stay, as Monday was a bank holiday. THe other restaurant is the Chino Latino Brassiere, an upscale restaurant offering Asian-Mediterranean foods in a contemporary fusion decor. Unfortunately, there are no other restaurants in the immediate vicinity of this hotel - you either eat there or be prepared to walk at least two blocks or take a taxi. We did order room service on the first night - it was delivered within the quoted 30 minutes and the food was very good. I would return to this hotel IF I could get another great deal on the room rates; otherwise, I would look for a hotel closer to restaurants/pubs, etc.	
May 27 2007 	Riverbank Plaza Hotel	We stayed here for a single night on a Friday as we were going to a gig in London. The only fault I could find was the queue to check outon Saturday morning at 11:30. Everything else was excellent. We booked through lastminute.com and got an excellent deal. After the gig we couldn't find any decent food, so had room service, well afterthe main restaurant had closed. We were served after about 30 minutes, with a very nice meal, and reasonably priced.	
May 21 2007 	Stylish Hotel but lack of attention to detail holes in the sheets!	Took my boyrfiend to stay here for one night in may. Got it as a secret hotel on last minute, but guessed at the hotel from the description. Got an executive room and breakfast for £124. At first the hotel looked great, really stylish and the reception staff were so helpful, however got to the room and problems began to arise.....we arrived late afternoon and had dinner reservations so had to get ready in quite a rush, the bath did not hold the water! called housekeeping, very rude and 25 mins later i just had a shower! got back to the htoel and found SERVERAL holes in the sheets like mice had been at them, woke up the next morning and our key card would not let us go in the executive lounge(which was small and dingey), all in all this hotel was hassle! my advice pay an extra £40 or so and go 5 star, in london the difference is really noticeable!	
May 18 2007	excellent riverbank	Dream room. Fantastic view over the Thames. Very clean room. The experience staying in the Hotel was excellent and very luxury. The hospitality was all over outstanding and an example of how it should be.When I had a question the staffs helped me quick and were very reactive. The next time I stay in London I will definitely try to book a room in the Park Plaza Riverbank London. I would recommed this hotel to everyone!!	
May 5 2007	Excellent value	We stayed at the Riverbank plaza for one night in may (the night we got engaged) and was very happy with all aspects. excellent value for money ,top class room and Very clean. All staff were very helpfull and polite. We would recomend this hotel to anyone.	
