	Why go anywhere else?	A recent two night weekend break started with great excitement when we entered our room 510, stunning room, clean, well equipped with lovely balcony views, (even if there was a lot of scaffolding to see - I guess that's to be expected thou - and it certainly didn't dissolve any of our pleasure) we could see the Post Office Tower and in the opposite direction the London Eye. The hotel staff were polite and friendly throughout our stay, although one waitress was a bit short with us at the bar but then seemed to come round more friendly when she realised we were actually guests at the hotel! and service at breakfast could be improved as I'm sure table service at this level shouldn't include leaning over us to place or collect items! But the concierge came up trumps on our first morning with a letter for my wife containing two surprise tickets for the theatre (yes - I set it up and yes - she was thrilled!!!!) We really enjoyed our evenings in the lounge and library where we indulged in many wonderful cocktails although I would have liked the bar even more had it stayed open later than 12.30 (despite an honesty bar). The hotel is in a great location and just a few minutes walk to Chinatown or Piccadilly and even at night felt perfectly safe. Expensive? yes. Worth it? as a special treat certainly, in fact currently considering re-booking for another show next February. In answer to my title question - I know there must be other hotels of this quality but why take the risk!! One last tip - use the City of Westminster car park at Newport Place in Chinatown, it may smell a bit but it's secure and good value if you book online plus it's 5-6 minutes walk to the hotel.	
Aug 7 2008 	Contemporary and Glam	My husband booked us a night here (and dinner at Petrus - yes I am a lucky girl) for my birthday this year and it was wonderful. We were upgraded to a Junior Suite which was very spacious, immaculate and very well decked out in cool, contemporary fashion. The bed was huge, though the sofa was really uncomfortable. Bathroom was spotless, with lovely Miller Harris toiletries. Dressing area also very spacious with very large double wardrobes. We had a Junior Suite at the Ritz last year and this competed well in terms of space and amenities. Reception very efficient and welcoming and shared guest areas in the hotel were also cool. We had a few cocktails in the bar before heading out for dinner and the bar had a buzzy, busy atmosphere with a quirky cocktail list. I would definitely reccommend staying here and will hopefully be visiting again soon.	
Aug 4 2008 	Fabulous	Our arrival at The Soho Hotel was a very rushed affair as we were late for our tea reservation due to hideous london traffic - but the hotel was great! They took our car and the bags we threw at them and sorted us out with immediate taxi so we could get on our way with minimal delay. When we finally checked in and went to our gorgeous room we found that only 1 lot of bags had made its way to our room (our car had 2 boot spaces) so we phoned down to concierge - within minutes the bags arrived at the door! Fabulous, late check out was no problem and probably the best shower i have ever had at a hotel! The hotel's restaurant was fab with great food and service. I would stay here again and again and again.......Truly lovely experience	
Aug 3 2008 	A well deserved first place	Return visit to the Soho Hotel, absolutely fantastic, booked a Luxury Junior Suite and was delighted to be upgraded to a Deluxe Junior Suite, good start. The junior suite is very spacious with a superb king size bed, sofa table chairs working area, well presented bathrooms one common theme the rooms are immaculately clean!We arrived early morning and dropped off our luggage before indulging in a little retail therapy with the promise that the front desk would contact us as and when the room was ready which they duly did. Returning early afternoon we were immediately taken up to our room, luggage already in place, other hotels please take note very annoying to check into room and then wait for the luggage to follow on!As we were visiting Xcel in Docklands for a concert we asked for some travel options and within 10 mins concierge had secured car and driver for a return journey. We enjoyed a couple of drinks in the bar before our car arrived and took us to our destination, at the end of the concert driver was there waiting to take us back.Sunday morning was something of a lazy morning with a late breakfast in the room.Other reviews compliment the staff and we have to agree very professional, very friendly without being overly friendly, small details like remembering our names, our plans and offering assistance when ever required. Having stayed in many of the &quot;great&quot; london hotels this has been the first time in many years I can honestly say I could not find fault anywhere not in the accommodations, food, service etc.A perfect 10	
Aug 2 2008 	Celeb haunt	I, too, am a fan of the Soho Hotel. I have stayed there for a few times now (I think 4) and I very much look forward to our next visit in September. If you find yourself in the Soho Hotel watch out for the high celeb turnout: during Fashion week in February I spotted John Galliano and his entourage having a leisurely breakfast at the Refuel restaurant, while in the lift I bumped into no other than Colin Farrell who was meeting director Mike Leigh at the lobby. Though I fully respect people's privacy and would never ask for photos/autographs, it did make my stay in London even more special!	
Jul 30 2008 	Great Hotel!	great Experience! have traveled the world over and this is a no brainer, bool your stay in london at the SOHO	
Jul 23 2008 	Fantastic!	I just returned from The Soho, and what a fantastic stay I had. The staff were very nice from beginning to end. Great atmosphere in the bar at night, and great cocktails too. My room, a luxury room was really spacious, it overlooked the front of the hotel so you might feel a bit overlooked, but you just need to close the curtains. I can't comment on the restaurant as I didn't have my meals there, but breakfast was really good, I had room service which was delivered on time and with a smile.The hand-written welcome note from the manager was a very nice touch too.I will definitely be going back to The Soho Hotel.	
Jul 22 2008 	Super Soho Hotel	I treated my boyfriend to a night at the Soho Hotel in a Junior Suite for his birthday. And what a treat it was. The room was spacious, beautifully decorated, had a well stocked mini bar &amp; lots of little extras that just made it feel a bit more special than other hotels. The staff were extremely friendly &amp; helpful - we didn't lift our case once from arriving to leaving. We had dinner in the restaurant - it was OK, given the choice again though I would try one of the many other superb restaurants in London.The bar is hideously expensive - some cocktails are £13.50 each! London prices or not, that's ridiculous.I would recommend this place as a treat, particularly if you're up for blowing the budget!	
Jul 22 2008 	A very enjoyable stay	If you want to stay in a beautifully maintained hotel with excellent service and convenient central london location, then this hotel is certainly worth considering (subject of course to your budget). We booked in for a Sunday night stay. Soho itself is a very lively and buzzing place but the hotel is nicely tucked in a small side street and so was very quiet.For us, it was an expensive treat but worth it. The service was excellent, the staff are very attentive and friendly. We were taken up to our room and everything was well explained.The room was spacious and it was great to sleep on a 6ft size bed, although being short I had to climb onto it! The bathroom was very clean and well maintained with lovely products. After we had checked in, we had to leave our room in a rush to attend a wedding. I had therefore left the room in a mess, clothes on floor, wet towels and bathrobes everywhere, make up all the over the place. When I returned to the room, there was soft calming music playing in the background, the bathroom was returned to perfect condition, replaced with fresh clean towels, all my make up and skin care products were neatly tidied away, my clothes had been picked up and neatly placed. If only someone did this for me at home....There was also nice touches left in the room such as bottled water, bath massage oils, a soothing spay left on the pillow for a relaxing sleep .....ah bliss. If I have another opportunity to stay in London again, then this hotel would be first on the list.	
Jul 7 2008 	Amazing	I loved the rooms at this hotel and the staff there was amazing. The breakfast there was incredible. I will definitely stay there again.	
Jun 24 2008 	Gorgeous hotel. Patchy service	My boyfriend booked the Soho as a romantic treat for us. The idea was that we'd check in, order feasts from room service, get into bed and not surface again for 24 hours. We wanted romance, privacy and sleeeeep. This didn't happen. First, however, the good stuff: this hotel is one of the most stunning I've ever seen. The room was enormous - I mean really, really enormous - with gorgeous furnishings (although I was surprised they didn't have blackout curtains - they were almost see-through), with a great big bathroom and lovely toiletries from Miller Harris. Also lovely little details like the aromatherapy rollers etc. The bar downstairs was buzzing with groovy international types, the interior design of all the rooms downstairs is stunning, and the reception was charming. The bad stuff:1. Room service food was seriously unexceptional. The menu is very impressive, but the food wasn't up to scratch - especially breakfast. A small bowl of congealed, cold porridge, a scattering of fruit salad and three pieces of cold dry toast is not what you expect for £18. General attention to detail was ordinary, ie, a very small pot of milk to share between the porridge, a bowl or muesli and two large cafetieres of coffee.2. We got two automated wakeup calls that we hadn't asked for. At 8am. And then at ten past 8am. So much for sleeping in all morning.3. Room service knocked on the door loudly and shouted something unintelligble at us every twenty minutes from 10am. Couldn't they just find out once we've checked out? So much for privacy.4. The bed was two singles pushed together, and there was no way you could cuddle across them - the middle was hard as wood. We had to sleep far apart, holding hands across the bed. So much for romance.I am sure this is an unusual experience as everyone else loves it so much. But for a £500 night away, I expect more.	
Jun 15 2008 	Brilliant stay at the Soho	We really looked into hotels in London as prices are generally outrageous - especially with the pound so strong against other currencies. The Soho was expensive (305 pounds per night), but worth every cent.The room at the Soho (luxury double) was beautifully appointed and far more spacious than expected. The bedroom had large (openable) windows and a wonderful bed with quality linens. Bathroom was great with a huge bath and separate shower.The hotel's public areas are good and staff are friendly. The room service was of an exceptional quality - though check your order as both times we had room service they forgot something! The location is what makes this hotel one of the best around. It is right in the heart of Soho and an easy distance to everything.Thoroughly recommended. Looking forward to trying other hotels in the Firmdale group.	
Jun 9 2008 	amazingly quiet considering where it is	Firstly, this is not a cheap hotel (but then where in London anywhere decent is?).We stayed in a Suite for 2 nights and were very impressed with the quality of the room. Lovely beds and suprisingly quiet given how close it is to all the action of Central London. If you come home late on a Friday or Saturday night the streets around the hotel will make you wonder whether you are going to get any sleep. It is amazing however how quiet it is when you go one street back. The bar gets very busy but that may be half the attraction.	
Jun 5 2008 	Great Hotel / Great Location	When the hotel mixed up my reservation and brought me to the wrong room I thought we were in for a hell of a trip - man was I wrong. Our actual room was soothe and calming with just enough room. The TV was one of the best ever within a hotel room. Bathroom large and clean. Beds a little hard, but otherwise nice. The staff was very helpful with everything we needed and the breakfast we had every morning was delicious.The hotel is situated on a quiet side street within the heart of very busy Soho - often times too busy and crowded, but once you reach the sanctuary of your hotel room - ah heaven.	
May 31 2008 	Rocks as usual!!!	For the third, yes third time, we have gone back to the Soho!It rocks bigtime. After a long flight from America, they know exactly how to take care of you.......fresh towels, tea in the room anything.......I've never experienced the service in the States like this.You MUST stay at the Soho.Without a doubt. Best in London, so far.	
May 30 2008 	The best hotel we've ever stayed in. Perfect!	Faultless. Outstanding service throughout our three night stay. Room wonderful. Bar and restaurant excellent. Already booked our next stay.	
May 27 2008 	Great venue small niggles	My wife and I had a one night stay at this central London hotel and were very pleased by the comfort of the room and the very helpful nature of the staff. Finding a room in London for less than a ransom figure is tough - unless you want to stay in a doss house - but we both felt that we got decent value for money here. Bedroom was well appointed - top floor with balcony which gave us a good view of the Soho rooftops and over to London Eye - and theatre and cinemas are within easy walking distance.OK - a couple of small niggles. Air conditioning - and this is relevant to nearly all hotels I have stayed in. You really don't need it to be too cool in the restaurant otherwise your diners rush to get the food over with so that they can get to the relative warmth of the lounge. The weather the day we stayed was cool (55 degrees) and air conditioning wasn't needed at all but we both felt the brush of cold air across our necks when dining. One other small problem for those people like myself who don't use lifts (elevators) because of claustrophobia. I always take the stairs but here the stairs are not in the foyer or next to the lifts - they exit onto the forecourt. And for security reasons (understandably) they are locked and can only be opened from the inside. One has to ask the doorman or concierge to open the stair door every time one wants to go up to your room (coming down is no problem) which entails them going up to the first floor and down the stairs to open the door for me. They did it with smiling grace every time and I have no fault with them - my problem entirely. But if I was staying for longer than a night or two it might just be a bit of a bore.	
May 20 2008 	Absolutely PERFECT! Best hotel experience to date...	Booked The soho Hotel through Mr&amp;Mrs Smith for 4 nights. Can honestly say it was one of the best hotel experiences i have ever had! Stayed in a Deluxe room which was huge &amp; extremily well appointed. Tivoli audio in room &amp; in bathroom, flat screen lowve TV, Miller Harris bath products, wonderful bed, huge room...cleaned to perfection everyday. Breakfast was just great as was the cocktail bar , the honesty bar, the guest areas &amp; the generally the whole vibe of the hotel. Everyone who works at this hotel is extremily motivated &amp; they do a fantastic job in all departments. Definately coming back next time i visit London. All in all a superb Boutique hotel which really delivers all the way!! I was trying to think of one little thing which i could criticize but i just can't think on anything! Deserves the full accolade of top reviews!!!	
May 14 2008 	Great Hotel	I stayed in this hotel for one night in a deluxe room. The room was fantastic - very spacious with a huge, comfortable bed. The bathroom was very large for a city hotel. I only had breakfast in the hotel, but the food was very good, with a great selection, plus breakfast could be served 24 hours, so I could have a long lie in.I'll defintely stay in this hotel when in London from now on.	
May 14 2008 	Really good but not quite number one in London	Once installed, this hotel really has a great location. You can walk almost anywhere. But getting to and from the hotel in a taxi can be difficult. The back streets of Soho are not easy to negotiate in a taxi at any time of the day.The hotel has great staff; very friendly and professional. And the rooms are very nicely decorated with well stocked bathrooms and mini bars. But - for a new hotel - the soundproofing is dreadful. The street noise is not a problem but noise from other rooms and the corridors can be appalling. The rooms would really benefit from a small hallway or double doors or better sound installation or something to prevent you being woken up in the small hours by a neighbour trying to unlock their door or taking a very early morning shower or a trolley trundling along a corridor. The restaurant and bar are fine but not outstanding and the food is acceptable without being brilliant. All in all, I'd be tempted back for the location but doubt whether I would go back until they've cured the noise problem.	
May 4 2008	Outstanding hotel	For our 10th anniversary we booked a four night stay at Soho Hotel. From the moment we arrived until the moment we departed, the service and attention to detail were unmatched. We negotiated a deluxe junior suite package and found the room spacious, quiet and delightful. The concierge service was great and the location was prime -- within blocks of theater, Covent Garden, Leicester Square, the tube and a lively Soho street scene. Breakfast was terrific, including a &quot;breakfast on the go&quot; for early morning departures. Overall, we were thrilled by the hotel, loved the service and would go back again for another special occasion. The hotel is worth its price. (One note: If you have &quot;breakfast inclusive,&quot; learn what's included -- and what's not -- in the breakfast-inclusive arrangement.)	
Apr 20 2008 	Justifiably Number One in London	All I can say is wow! From the warm hospitality shown by the staff, to the excellent restaurant (had dinner and breakfast), to the very well-equipped gym, to the beautiful, comfortable and quiet rooms, this is justifiably #1 in London. A stay just days before at the much-heralded Dorchester was a disaster in all respects -- especially in terms of value -- so the stay at The Soho was especially welcome. We will definitely return.	
Apr 19 2008	Fabulous boutique hotel	We stayed here for two nights on a recent trip to London. We had stayed at another of this company's hotels on a prior trip (The Charlotte Street Hotel) and loved it, but wanted to be closer to Soho. What a treat! The facilities are top-notch, with hip decor, a great restaurant/bar, buzzy energy, and late-night honor-system snack bar in one of the ground floor sitting rooms/libraries. Our room was surprisingly large and surprisingly quiet. The hotel's gym was also surprisingly good, with top-of-the-line equipment. The hotel is at the epicenter of Soho's film industry and sports a private screening room, with a Sunday afternoon film club each week. We overheard several serious film-industry conversations at the bar and bumped into a couple of script-toting people in the elevator. The only disappointment was the strange wifi system ... you connect to the wifi signal, then call the front desk with the code that appears in your internet browser, then they do something to get you connected - strangely complicated. The wifi's kind of steep, too - they charge you 30p per minute, up to a maximum of 20 GBP per day. Should be free in a place like this, no?	
Mar 31 2008 	Very Pleasant Stay	Stayed at the Soho Hotel, prompted by the very favourable reviews on this website. I am pleased to say you got it right. The staff were very friendly and helpful. The room was quirky, clean and pretty large for a London hotel. Our only complaint about the room was that it looked out on to nothing but a brown wall. We will look to come back again and would be happy to recommend the hotel to anyone who asks.	
Mar 30 2008	Very nice hotel good service and attentive staff	This is a very good hotel run by people who know their business and what their guests want. The rooms are nice, well furnished and everything works. The staff is tuned in and attentive. The concierge was first class apart from the cost of Internet connectivity there really isn't anything negative to report. It is only when one sees a good concierge that one is reminded how important they are.It's an interesting local for a hotel but it's great only a short walk to everything in the centre of the city, right by the theatre district, a short walk to Oxford Street, Piccadilly and Leicester Square. Soho is full of interesting restaurants, clubs (Ronnie Scots) and traditional pubs.	
Mar 28 2008 	Wonderful !	This hotel was wonderful and I would recomend to anyone who wishes to stay in a trendy hotel in London where customer service is key.Nothing was to much trouble for the staff as on the day I called to say I wanted to use th hotel to propose to my girlfriend and needed a number of red roses and champayne plus would be landing early. They provided a room upgrade and the presentation of room and gifts made if a very memorable experience.I would have to say this is the best hotel I have had the pleasure of staying at including the Burj and hope to return in the next few months.	
Mar 25 2008 	Always consistent!	after many stays there over the past couple of years... it's definitely time to post my thoughts.have stayed for both biz &amp; pleasure - both and all stays being an absolute pleasure.LOCATIONperfect. walking distance to a lot of central destinations, restaurants, shops, etc. VERY centrally located...love that it's somewhat in a high traffic area...but thankfully &quot;tucked away&quot; off the main road too.SERVICEi can't say enough about the fantastic service...A+++. extremely friendly, personal, attentive &amp; accommodating.ROOMSrooms are spacious and comfortable. beds are AMAZING. toiletry products are good.FOODonly thing i can &quot;complain&quot; about. very exhaustive menu &amp; options, but menu can be confusing and could perhaps be streamlined? some standout dishes...some not so much.	
Mar 23 2008 	Excellent service and style	Tucked away at the end of a quiet lane right in the heart of Soho, the three nights here were more than I had expected. From the prompt and friendly check-in, through wonderful food in the restaurant, the Soho lives up to its ratings on Trip Advisor. The style is boutique, and the laid back atmosphere is a perfect antidote to the bustle on nearby Shaftesbury Avenue. Room was very well equipped, spotlessly clean and the room-service breakfast was as good as any I've ever had. Would definitely return.	
Mar 23 2008 	A Wonderful Hotel - Loved it!	The Soho Hotel is fantastic. We stayed here with our three children (7, 6 and 4) and had a wonderful time. I recommend this hotel for anyone, but especially for those with small children. My husband and I loved the attitude of this hotel - we had an early dinner and the children asked for something to draw with. About 10 minutes later they arrived with new crayons they had obviously bought just for the purpose. The junior suite was spacious and immaculate and everything was geared towards making this a wonderful holiday for me and my husband as well as the children. I used to stay at the Pelham Hotel, years ago when I was single and working, and now I really love that the Soho Hotel (also a part of this wonderful hotel group) has got every detail just right. I highly recommend the Soho Hotel,	
Feb 19 2008	Fabulous Hotel	The Soho lives up to its reputation as No. 1 hotel in London! Now I see why. The luxury junior suite was comfortable, spacious and very well appointed. The marble bathroom was amazingly roomy with both a shower and deep tub. The service was courteous and professional, as well as friendly. It's expensive, but well worth it!	
Feb 13 2008 	Great Hotel	My wife and I spent a few days in London on a &quot;romantic getaway&quot; (i.e. left the kiddies with the in-laws). We could not have asked for a better hotel experience. The head concierge, Sandro, was fantastic, as was the rest of the staff. The rooms were of good size, modern (yet comfortable) and, most importantly, very clean. Flat screen T.V. Room service (available 24 hours) was fantastic -- prompt and responsive. Geat location as well. I would highly recommend this hotel. Negatives? Not many -- a larger clock in the room would have been helpful. Also, the cordless phone seemed a bit quirky (but I've had similar experiences in other hotels). Bed was a bit firm for my taste. Of course, all of this is nitpicking.Overall, one of the best hotel experiences I've had in a long time.	
Feb 8 2008 	Perfect getaway	The hotel was everything we expected.When we arrived at the hotel we was guided to our room that was prepared already.The hotel was clean and modern.We was in London for a romantic getaway and Soho hotel is perfect for that.The location was perfect in the middle of Soho but still in a quiet street.Me and my girlfriend are lazy and like to spend many hours at the hotelroom. The hotel keeps a large collection of DVD movies that you can easily rent. We did not pay anything to rent movies.	
Jan 27 2008 	Fab hotel!	Stayed at The Soho Hotel based on the recommendations on this website and we were not disappointed. It is a real luxury hotel and our junior suite was fantastic. The room was huge, immaculately clean and very comfortable. It had a big seating area and a lovely bathroom with twin basins and a seperate shower. The bed was really comfortable and we both slept very well. It is in a great location and close to Covent Garden, Leicester Square and Oxford Street. The only tiny criticism is that there weren't tea and coffee making facilities in the room - although we got complimentary chocolates and water.We would fully recommend this hotel and want to go back already.	
Jan 20 2008 	Wonderful Room Good Location Friendly Staff Be careful of xtra charges	Really loved our stay at the Soho for Christmas/New Year's holiday. The hotel is newly renovated and has a whimsical style. You feel like your staying in your chic designer friend's home. Our junior suite had a big comfy bed, large antique looking full length mirror, sitting area with sofa and chairs, large window overlooking the restaurant entrance, and marble bathroom with powerful shower and large tub. No great views, as the hotel is set back from the street, but the windows were great at keeping out the noise. The hotel itself is adorable. There is a large sculpture of what looks to be a cat on steroids at the reception area, a chic-casual restaurant, and a lounge area with fully stocked &quot;honesty bar&quot;. It would be a great hotel to have a bachelorette party or girlfriends' getaway as the common areas are large and comfortable.The staff was friendly..not at all snobby, and, in fact the hotel exuded a kind of affable approachability, the design not being too modern or stuffy. Upon request, the concierge found us Chelsea tickets and gave us a season pass to use, which got us great seats close to the field. Location is very good, walking distance to most tourist destinations and shopping. Lots of restaurants very nearby with all types of ethnic as well as pub food. Finally, our room-service breakfast was free (probably depends on the type of room/rate/or method of payment used), and there were a lot of options, but, sadly, I tried several over the 5 days of our stay, and none were very good. The homemade granola was yummy, however, as was the fruit. A few minuses were: Internet Connection outrageously expensive and we were initially billed for more time than we actually used, although after noting this to the front desk, they reduced our charges. There was a paint smell in room, probably because the hotel had been so recently renovated. There is an automatic extra charge for any requests from Reception, i.e. calling a taxi	
Jan 18 2008 	Great	Stayed at the SOHO the last weekend before Christmas, and the hotel was absolutely in line with expectations and other reviews here. Excellent service, spacious clean rooms and bathrooms, nice breakfast, great friendly service. Only small complaint we had was the bed, It was large and spacious but not all that comfortable, There was no down comforter, soft down pillows etc I have gotten used to when staying at the major hotel chains like Sheraton, Hilton, Marriott Etc. If they put some effort into a better bed it would be very close to the perfect hotel.	
Jan 12 2008 	Fantastic experience	The hotel is a little difficult to find but when you find it; it is more than worth it. The hotel is in the centre of Soho as the name suggests and is a beautiful oasis with every room individually designed.The hotel staff are among the best I have ever met and will do the best to assist you with any query in a very professional and courteous manner.I have nothing but praise for this hotel mainly because you are treated as an individual and as a special guest not just a number. I have nothing but praise for this hotel.I have stayed in many fantastic hotels and this is definately one of the best in the world.	
Jan 7 2008 	Fantastic !	My husband booked the Junior Suite for my birthdday and it was fantastic. I am a big fan of Firmdale hotels and this is the one I wanted to stay at and I was not disappointed. The perfect location for walking around London. Beautiful hotel and lovely room, spacious, clean, quirky - just perfect. It was very expensive to stay here but worth it for the fantastic atmosphere, brilliant staff and the amazing vibe of the bar area at night. Residents lounge was also great after the other pubs have closed. I highly recommend this hotel.	
Jan 6 2008 	Excellent	After reviewing the comments from this web site I booked the SoHo Hotel from me and 4 members of my team. When we pulled up to the hotel I was a bit suspect, but once you get inside is was a wonderful experience. It is small and lovely. The rooms are big and nicely decorated. The service and food terrific. It was a place I will return to on my next business trip to London.	
Jan 2 2008 	excellent stay at the Soho	We stayed for 3 nights at the Soho based on its rating on this website. We had a great time. We had a deluxe room which was very nice, very spacious and was very well finished . We were only on the first floor over reception but sound proofing was good. We had a 3 dayweekend package which reduced the rate by £65 a night and included breakfast which was one of the best I have had.The bar and restaurant are nicely done and the staff couldn't do enough for you. There was a small gym which we used a couple of times. There are also a couple of lounges which again are very comfortable.Its in a very good location off Dean Street and had a great mixed crowd of people in it at all times.Its not cheap but it is just what you want from a city hotel and is well worth top spot	
Dec 17 2007 	I practically live there	In the past 6 months, I have stayed at the Soho an average of 15 days per month, so I'm virtually a resident of the hotel. Because I am away from home so much, consistency of cleanliness and service are very important to me.The Soho is in impeccable shape; the physical plant is well-maintained. As wonderful as the facilities are however it's the staff that really makes the hotel stand out. From top to bottom, the Soho staff is gracious, attentive, expedient and down-to-earth.My only reluctance to wholeheartedly recommend this hotel is my worry of over competition for a room.	
Nov 28 2007 	Great Place	This hotel is definately the best place to stay in if you visit London and you need to be located in the heart of the city but in a quiete corner.The rooms are lovely decorated with beautiful marble bathroom, stunning shower and comfortable bath tub.First calss toiletry line and plus two small bottles of relaxing or energizing organic oils to be used according the time of the day or your mood.Rooms are very spacious, which is a big plus for London, immaculated decor and lovely smell.The communal areas are beautiful too, even the library or the living room provide a cosy atmosphere yet elegance and relaxing with an attentive service by the smiling waiters who don't invade your privacy but still ready when you need something.To be definately underlined is the staff at the reception.A young and professional team is at your entire disposal for all your requests, from dinner reservation to the tickets's concert nothing is too much trubles.One Sunday night I needed a taxi which was almost impossible to find, one gentleman from the reception took me to the main street awaiting with me taxi without leaving me alone in the middle of the street, even if the area is very safe, what a style.He probably get a cold the day after ;-)Before that I was standing at the reception awaiting for the cab and I have assisted to a very imbarassing situation about a drunk american, let say, lady complaining and screening like mad about the delay of the taxi, the way the same gentleman managed this pathetic women was very professional.well done.I travel quite a lot and is not easy to me to find a lovely place like this, with an good balancing between the service, the location the decor and the human touch.well done.AC	
Nov 15 2007	swanky - hip - great place	Terrific spot in central/w. london wit ha great bar and a cinema in the hotel!	
Nov 12 2007 	Great hotel perfect location	What a great hotel!We have stayed twice at the sister hotel, Covent Garden Hotel, and loved it.This time we wanted to try something else, and we were not disappointed.From the minute we entered the reception we felt very well looked after.The room was very nice, roomy and clean.The breakfast is awesome, and the bar is really good.And we find it very convenient with the drawing room and the honesty bar concept. The hotel is located in the middle of Soho, walking distance to almost everything.Theatres, shopping, lots of great small restaurants around.We will definitely go back to this hotel.	
Nov 6 2007 	Perfect location perfect room great staff	Perfect reception, very nice rooms, extremely well appointed, beautiful bathroom, great shower, excellent TV, perfect size, cozy and interesting. Nice loby, excellent breakfast, nice atmosphere, lovely restaurant - food not that great but fine in room service, friendly and efficient staff, a great experience.	
Oct 14 2007 	Great hotel	I've stayed, at this hotel, several times and have stayed at a number of Firmdale properties -- this is, by far, their best.Great public spaces; smart decor; great service and the restaurant was fantastic. Love how they provide the NYTimes (folio size and double sided).	
Oct 8 2007 	Fantastic Hotel	Just stayed at the Soho for one night on Saturday after previously visiting the bar there. What a brilliant place to stay, attentive, friendly staff, fabulous cocktails and an upgrade to one of the beautiful 5th floor suites with the most amazing views of London.Location is excellent. can't fault this hotel in any way - expensive yes it is but what an experience! Good for a bit of celeb spotting too!!	
Oct 6 2007 	Brilliant !	Just spent two delightful nights at The Soho Hotel. Location is ideal. Don't be put off by the rather odd Mews entrance or uninspiring views from the window of your room, everything else is simply excellent - very well-appointed rooms, superb food, vibrant atmosphere, and above all, the staff ! In 30+ years of staying in hotels around the world I would rate these guys as second to none. We have just booked a return visit next month !	
Sep 28 2007 	Ultra Cool 	Spent 2 nights at this wonderful hotel and the experience was very enjoyable indeed. It's quite hard to imagine that tucked away in the middle of Soho is this fabulous establishment. Upon arrival, the staff greeted us with smiles and were pleased to tell us that we were being given a room upgrade to a luxury junior suite. The suite was very spacious, clean and well decorated in a homely style packed with all modern equipment and luxury amenities. The only item missing was a kettle but apart from that you had everything else you needed for a comfortable stay. Breakfasts were excellent and we enjoyed the cooked food and cereals/breads and service was friendly and attentive.Location of the hotel is a major positive as we were able to take a stroll through the streets of Soho and Chinatown and you're metres away from the main theatres. Overall, we thoroughly enjoyed staying here and will definitely pass on these comments to other friends.	
Sep 28 2007 	This Hotel Rocks!	Absolutely amazing! We had our wedding reception at the Soho Hotel and was blown away with the level of service, ambience and the quality of the food and drink that was provided. Staff were attentive, professional and very helpful in dealing with the many ad-hoc requests we had during the reception. The top notch service was matched by the excellent food and fabulous decor of the hotel - the events team really put on a great show, thanks guys!On to the room itself. We were fortunate enough to be offered a special rate on a junior suite as it was our wedding (this also included the parents of the bride) but rather ironically, as we were enjoying the party so much we only managed a few hours before we had to leave (reservations guys did give us a complimentary late check out but unfortunately we couldn't utilise it as we had to be elsewhere). The suites are beautifully decorated and capture that elusive &quot;boutique&quot; feel just perfectly, incorporating top of the range facilities e.g. B &amp; O plasma TV's, Tivoli radios etc... and a very comfy bed, it really was so difficult to check-out the next day (and not just because of the hang-over!)As a Londoner, I very rarely stay in hotels in London, however, as an avid traveller and having been lucky enough to travel quite a bit with work, I must say that for sheer style, service and pure enjoyment, the Soho Hotel eclipses all other hotels in its class	
Sep 27 2007 	Favorite hotel but bring your wallet	My Girlfriend and I stayed at the Soho hotel for 4 nights in September. Just to get the record straight, I typically find things to complain about; this hotel did not give me that opportunity. I enjoy staying at boutique hotels that feature current designs and decors. The design of this hotel is genius in the way that it incorporates contemporary design features all while making it warm and welcoming. We stayed in a deluxe room which had a flos lamp over the bed, a Tivoli radio on the night stand, a Tivoli radio in the bathroom, a large flat screen TV, 2 couches, a desk and plenty of room to breed. The bar, the gym, the library, the drawing room all where perfect. The concierge and all of other staff were of top caliber; very professional, courteous and helpful. The only issue that I could bring is that you pay for all of this. Room rates are fairly expensive and all bar items are a killer. That being said, they don’t cram it upon you. I like the way they cater to all guests and they trust you. For example in the drawing room, there is a self serve bar with a notepad so you just write down what you consume and they charge it. I probably spend well over 50 nights a year in hotel rooms and this was, by far, my favorite hotel yet…	
Sep 19 2007	Finally! A Boutique Hotel to rival the classics	I am based up North but find myself in London every two or three weeks and this has been the case for several years. I used to hotel hop like mad going through all of the classics including the Dorchester, Ritz and Mandarin Oriental as well as taking the odd flyer on the Sanderson, St Martins Lane, Malmaison and the Hemple (what was that place about?) Now again I found myself going back to the odd one a few times (The MO in particular) but recently I have been opting for hotels in the Firmdale Group noteably The Haymarket, Charlotte Street and The Soho Hotel and I am now a loyal customer. Having been unimpressed by the style over substance of the Schraeger hotels I was very surprised by the depth of quality in all of the Firmdale properties; the service from start to finish, the F&amp;B offerings, the appointments of the rooms and the quality of the beds were all top drawer. The Soho has to be my favourite as I think the location is spot on and the atmosphere in the public areas is always half decent - I will continue to take it over the oligarch-ridden hotels in Knightsbridge from now on.	
