	5 star staff	After travelling for 13 hours from a trip abroad i decided to stay in London for the night. I looked online for a hotel near Angel station and this one was the nicest one i could see in my price range. I arrived at the hotel at 10:15 am with the intention of just dropping off my case as i was well before check in time. After mentioning to the staff that i have just been on an 13 hour flight they found me a room and let me check in so i could get some rest and freshen up. I felt they went that bit extra which made my day. The room was lovely, very spacious and clean. It had everything i need and was very comfortable at a very reasonable price.	
Mar 30 2008 	Clean comfortable convenient .	I spent Easter here with my partner and teenage son, my son was most impressed to see members of a band he had just been reading about in New Musical Express hanging about in the lobby! Easy to travel about London from - buses and tube stations very close by. The staff were friendly and helpful.The only problem we had was with the booking - it may have been my fault, but I had booked on the hotels website and hadnt noticed that I hadnt had any confirmation.......so when I rang on the day we were to arrive I discovered that there was no record of our booking - for some reason it hadnt gone through (as I said above, it could easily have been my fault not theirs!). Luckily they fitted us in at the price we would have paid, but would advise making sure you have got a confirmation that you have actually booked!!	
Mar 25 2008 	Comfortable and in a good loaction	Check-in was friendly and quick, the room was nothing to write home about, but of a good standard. A pleasant view over London and a decent shower made up for the slightly tired-looking bathroom.For the price I paid, I have no complaints. The room was spacious, the bed comfortable and the aircon responsive and quick to warm the room up after a night sleeping with the window open.	
Mar 19 2008 	Eventually a Pleasant Stay	After two room moves, which were arranged in good spirits, had a pleasant overnight stay in a remarkably quiet (for London) hotel. Great location for the Angel on the Northern Line and Bus Services. Room was clean and to an accepteble standard with white towels (not too thin). Bed was comfortable although the same can't be said for the pillows which were thin and lumpy. Standard buffet style breakfast was uninspiring but plenty of it.	
Feb 26 2008 	Good value for London	Visited London for midweek break. Hotel basic but clean. Speedy check in and friendly staff. Area is very safe at night. Did not eat in hotel, however number of restaurants on Islington High Street which is no more than 5 minutes walk from hotel. If possible request a room away from the front of the hotel on Pentonville Road as can get very noisy especially with police car sirens throughout the night. Angel tube station minutes away from hotel and no more than 15 minutes walk to Kings Cross / St Pancras station. Well worth the charge of £75.00 per night and would definately stay again when in London.	
Feb 24 2008 	It'll do - but certainly nothing special...	I stayed here for business when attending an awards ceeremony in central london - i picked the short straw as some of my colleagues stayed at The Cumberland. Nothing awful about the hotel, just a bog standard hotel, no frills or whistles but clean and has everything you need.I was less impressed with breakfast though - was booked in on a B&amp;B rate but the gent at the entrance to the doorway insisted i was not and i would have to pay extra...i just said ok as knew i had a copy of my booking confirmation so would fight it out on check out if needs be...but once inthe 'restaurant' feels much more like a canteen than a hotel - tables are bare and you even have to collect cutlery, napkins, sugars...well everything. Food itself was fine, just reminded me of my uni refectory...	
Feb 17 2008 	For London excellent	This hotel gets all the basics right and I got a good night's sleep. My only gripe was that the bathroom was a bit smelly, although everything looked clean.After shopping around various websites, I found a pretty reasonable rate.If you don't know London, this is a good area with good transport links.	
Feb 15 2008 	Great Hotel	I stayed at this hotel in February on a trip with my family and after a long and tiring trip we were cheered by the friendly staff that greeted us upon our arrival.Check in was very efficient and the staff were friendly and explained all our dining options and details about the rooms. The rooms were a good size, spotlessly clean and there were plenty of towels.We used the bar in the hotel twice and both times the service was again efficient and friendly and the food was a very good quality hearty meal. We didnt eat in the restaurant as there are lots of resturants near the hotel as it has a good location to Upper Street, however the restaurant looked modern and was busy( normally a god sign!!!!)I look forward to staying again at this qualiy hotel in the near future.	
Feb 12 2008	Solid Value 	- Great location near the Angel stop on the Northern line- plenty of excellent places to eat and drink near this hotel- centrally located, but away from heavy tourist areas- I lived at this hotel for about 8-9 weeks- reasonably clean- breakfast was average- it is not the hilton at islington which is lots more $$$- but it is not the hilton at euston which is worse- in the US this would not be 3 stars, but if you need location, affordability and decent room sizes this is it	
Feb 11 2008 	So so	I stayed here for a night on business. Jury's Islington is in a great location and very close to the Angel tube station, but the carpark is a good walk away from the hotel. Reception and the bar and restaurant downstairs are clean and modern, but stepping out of the lift on the 3rd floor was like walking back into the 1970's. Very old fashioned decor going on! The room was clean and well furnished but again was dated and the bathroom was akin to that of an older Travelodge.My room overlooked the carpark belonging to next door's block of flats, but I got a good night's sleep. My colleague had a room overlooking Pentonville Road and was awoken twice during the night by police cars going past, sirens screaming.My television did not work - no picture. When I pointed this out to reception the following morning I was advised that the cleaner sometimes knocks a cable out when dusting and I should have had a look and tried to put it back in....!I would stay here again on business if I had to, but £129 a night excluding breakfast is poor value for what you actually get and if I was paying myself, I'd look to stay somwhere else.	
Feb 3 2008 	Not Impressed at all	We arrived at around 2.30pm, checked in fine and were allocated room 307, we went onto the 3rd floor there was a nice clean smell in the hotel.As we entered our room the bedding was just dumped on the bed, As we looked around the room there was a bottle of wine and a glass on the desk...this was not a complimentry bottle of wine this was an empty bottle of wine from the previous occupier, The room had not even been attended to so was left how the prev occupants left it. (SEE PHOTO'S)I rang reception and they told us to return to reception, we were then allocated room 303 on the same floor.We got into the room and there was no electricity..again we called reception and were advised to put our room card in the small white box as near the front door, we done this and then after 5 mins it went off again..as we were on our way out we asked reception about this and then they informed us that we had to leave the card in there for the duration of the time that we were there.I spoke to the manager about the issue of our initial room not being ready, she apologies and advised she would investigate this and added complimentry breakfast to our stay as we were room only.The walls are VERY thin, and i could hear the whole convo of the room next door, i even knew when they were having a shower!We were woken by the room next door but one as they seemed to have a little party going on, i knocked there door and told them to keep it down which they did :-)Doors were very heavy so were being slammed at all hours!!The breakfast!!!Was Awful!We were given a ticket which entitled us to ONE full english - every other hotel i have ever stayed in are usually as much as you can eat breakfast buffet.So once you put what you wanted on your plate that was it...no more.And as for the breakfast itself it was awaful, i have never seen so much grease and fat.The Full English breakfast bard consisted of:SAUSAGE: Very greasy, they needed bread at the bottom of the tray to soak up the greaseBACON: This was just in one big heap and all i could see was fat not baconTOMATOESEGGS: Again, very greasyBEANSHASH BROWNS: Very overdone and greasySCRAMBLED EGG: This looked very soggy and mushy  although i helped myself to a plate i really could not eat it so i opted for the continental.there was no-one to assist you at breakfast so we had to try and find our way round.FInally checked out and could not wait to get out of there!This sounds like one big moan but unfortunatly this is how my stay was at the Jury's Inn..Good Points:FREE PARKING :-)	
Jan 28 2008 	value hotel	Reception is impressive, rooms are Premier Inn style, functional, clean, average size but bland.We had room 426 with views towards the London Eye and St Pauls, a bit of noise from the road but nothing to keep us awake.Angel tube is just around the corner but the bus was equally as quick, take the 38 or 73 which take you right into the centre of London.At £75.00 a night it was pretty good value, certainlly worth considering for a short stay in Islington, which is a ok place in itself, and only a short ride into town.	
Jan 21 2008 	Not Great	Booked this hotel as we were going to the emirates stadium. Booked in late, reception were fine got room quickly. The room itself was very very basic, the bed was a small double with terrible quality bedding. No nice soaps, or biscuits!! The walls were very thin, and decor very 80's. Would not stay again, could get somewhere nicer for 85 a night.	
Jan 7 2008 	good hotel	stayed at the Jurys Inn Islington on 27th Dec for 1 night. The hotel had been shut over Christmas and only re-opened that day. The Reception staff were very efficient and friendly and explained that as the hotel had been shut the rooms would be a little cold. This was not a problem as we simply put the bags in the room and were off to explore London. The hotel is in a great location for the Angel Tube station so travelling around was very easy. On return to the hotel later that evening, we had a meal in the Bar, which was ok, then retired to our rooms which indeed were quite cool. Again not a problem to us as we only used the rooms for sleeping 1 night. The only problem for us was that our room overlooked the busy main road and was very noisy. If I stayed here again I would ask for a room facing the back of the hotel as these would probably be a bit quieter. When we left one of our sons left a bag behind, we phoned the hotel when we got home and the posted the bag on to us within 3 days!	
Jan 2 2008 	Good value would stay there again	Stayed here for 2 nights, and would go back. Room was a good size, clean and nicely laid out. You don't get fancy toiletries in the bathroom, but I wasn't expecting to. The view from our room (at the front) was nice - over the park across the road and as far as the London Eye.The restaurant and bar were quiet in the evenings, but there's lots of choice close-by in Islington High Street (about 5 minutes walk) along with a nice pub next door that serves food.Good transport links are close-by - Angel tube station, and Kings Cross just down the road, as well as lots of buses passing the door.Beakfast was good too - both continental and full English available - buffet style, so lots to eat.Staff were friendly and helpful - both a check-in/out, and for general queries.Overall, not the fanciest place I've stayed, but comfortable and very good value for money.	
Dec 6 2007 	Good Hotel	The Jurys Inn Islington was a good choice for an Anniversary/theatre weekend in London. The reception area had an expensive feel about it, and the staff were always helpful. We also got free carparking in the hotel car park. A real plus in London. Angel tube was within 100 yards of the hotel and main line rail stations Kings Cross St Pancras and Euston just a short walk. The rooms were up to date clean and not small. The shower/bath was hot and powerful. The only down side was lack of hot food in the evening. We arrived just before 10pm on a Friday to be told the restaurant was closed and the bar were only doing sandwiches. Saturday evening the restaurant was closed due to a function booking. Overall good value for money and would use the hotel again.	
Nov 15 2007	Lovely hotel	From the very moment I stepped into this hotel I felt welcome. All the staff were without exception lovely and friendly. I'm not an easy customer, and always find faults with the room or the service. This hotel was really good. Exceptionally clean, spacious and comfortable. As a single woman I felt very safe. I had a problem with the first room I looked at as there were two single beds and I wanted a double one. Nothing was too much trouble for the people at the desk. They were quick to show me round another room with a smile (they were fully booked and very busy, but they never made me feel I was a bother). Very sound proof rooms (and I'm a light sleeper!) Breakfast lets the side down a little, (overcooked hash browns and soggy bacon) not great but lots of choice, not disgusting like in some hotels - I guess a bit like service station food. But it does the job. Wonderful water pressure! Great location. Much better than the four star novotel down the road (and the breakfast at novotel really was disgusting!!!). I'm used to luxury hotels. This isn't luxury, but so comfy, I would highly recommend it. So, to sum up: Basic but immaculate rooms, breakfast not great, but five star service with a smile! Lovely! Don't be afraid to book this hotel - if you have any problems, be sure the staff will go out of their way to fix it!	
Nov 9 2007 	great hotel	one adult and three kids,needed a good hotel and location. hotel is 5mins from angel tube station. when you walk into reception you know its more than a 3 star! The room was a good size and the shower was great. We had a meal at the bar later and was suprised at the size of portions for the kids as well as the service.Again the breakfast did not disappoint.A good selection for the kids and all very tasty!! Have stayed in quite a few hotels and this one is as good as it gets. Will definately be back. Overall a great hotel and location.	
Oct 30 2007 	Good Overnight Stay	We only stayed for one night and was impressed with the good location (100 metres from Angel Underground) and the cleanliness of the rooms.The hotel facilities are average and the rooms are not too small. The view from the room that we stayed in was terrible (a brick wall - literally).The breakfast was good if you opt for the full english breakfast but very poor if you opt for the continental option.All in all this is a good hotel for an overnight stay!	
Oct 26 2007 	Average hotel but good for london	This hotel is clean and is well located beside the tube. It is fairly new so the rooms are quite modern and airy which is something you struggle to find in london. I will probably be back as its a safe bet.	
Oct 17 2007 	Great service in difficult circumstances.	When I arrived at Jurys Islington there were fire engines outside and I thought &quot; Oh no, this doesn't look promising&quot;. I was met at the door by a member of staff who informed me that the hotel had suffered a mains water burst and at the moment had neither water or electricity and I was free to cancel my booking without charge. If I decided to wait an hour ( this turned into 2 hours ) I could wait in the bar where complimentary drinks were being served. Being tired and feeling a little under the weather I opted to wait. Some guests made rather good use of the free drinks! The staff were trying their best to keep people informed and happy but one or two guests were more than a little disgruntled. After a couple of hours all seemed to be well and I joined the long queue for check in. The member of staff that had previously greeted me at the door noticed me in line and saying &quot; You've been waiting rather a long time&quot; whisked me to the desk and checked me in herself. This was exemplary service and proved that they really were on the ball. A letter of apology for any inconvenience was pushed under the door an hour later.The rooms at Jurys are of a reasonable size, I had one with a double and a single. Everything worked and the room was spotlessly clean. There was an entertaining gurgle from the sink in the bathroom ( see my video ). They advertise the hotel as Budget Accommodation but I would rate it better than that for general comfort. The buffet dinner in the evening was OK and relatively cheap for the area. Breakfast had a good selection and the staff worked hard to make sure food was replenished and tables were cleared quickly. My room was at the front of the hotel so there was a fair bit of road noise when the window was open but it was OK with the window closed. All the same, I'll ask for a room at the rear when I stay again. Checking out was fast, friendly and efficient. The staff of any hotel can make or break the whole experience. Top marks here to everyone.Overall I'd recommend this Jurys and will be using it again in a couple of weeks.	
Oct 15 2007 	great hotel	Very good, clean hotel with a good price. I booked it due to the proximity to Sadlers Wells Theatre. Everybody was very happy to serve you, down to the cleaner who was very cheerful. Will definitely stay again if visiting London.	
Oct 14 2007	Very average	Very average hotel. I was able to get a price of £102 instead of £155 which was being advertised everywhere else. Even at the lower price feel it was over priced - but hey this is London. The hotel was very near to the office I was attending a course at which saved a lot of hassle. Room smallish but ok. Smelt a little &quot;tabby&quot; (as in tobacco not cat!) which is suprising given that somking in public places is banned in the UK. Bathroom was functional but shower door was hanging off. Continetal breakfast was reasonable and public areas good and staff polite and helpful.	
Oct 7 2007 	Comfortable stay at Jury's Islington	I stayed one night at the Jury's Inn Islington in October 2007 while attending a conference at the nearby Business Design Centre. My company travel agent arranged the booking on my behalf.I arrived about 7pm to find my room ready for me, and after a very quick check-in proceeded to the second floor where my room was at the end of the corridor. It was a comfortable room, with a small &quot;sofa&quot; (see photos) as well as the bed, table, TV, tea/coffee and the bathroom area. It doesn't quite compare with Marriott hotels I've stayed in at a similar rate in London, but there was certainly nothing wrong with the room decor, size etc. The bed wasn't quite king size, but that's not a problem for a single occupant.My one complaint about the stay was the noise created by plumbing in surrounding rooms. I woke at least two or three times during the night to hear pipes rattling above or below me, though in fairness I think I was always going to have a fairly restless sleep in any case. It wasn't anywhere near the level that would cause me to complain to the hotel or ask to move room etc.Breakfast was served in the restaurant area, and I found it well presented and very filling. It's self-service, and if you are to have a full English you are given a ticket at the desk to exchange with the person behind the desk at the cooked breakfast part of the buffet. The seating area is spacious and there was certainly no feeling of being rushed to leave, the way you sometimes are in Marriotts and elsewhere.Check-out was uneventful.Overall I'd recommend Jury's Inns, and I'd say I was very satisfied with my experience staying there. They aren't quite 5* deluxe hotels, but they're comfortable and will meet your needs for a quick stay away from home - or a longer stay when you're paying the bill for yourself!	
Sep 8 2007 	Brilliant hotel would stay again	I stayed in this hotel with two friends at the beginning of September for one night. My experience of the hotel was totally positive- our train to London arrived at 12.30pm and, as our room was not yet ready for check in, the hotel provided a left luggage facility in a code protected room. After spending the day in London, we arrived back at the hotel at around 6.30pm and checked in with no problems. Our room was quite large considering it had a double and single bed and the bathroom was very clean. We stayed on the second floor and, although there is a bar situated close to the hotel, noise was not really a problem other than the occasional piece of traffic, which is only to be expected in London. We all had an excellent night's sleep and the shower facilities in the bathroom were excellent- very powerful. We ate at the restaurant in the evening which was exemplary, especially when considering the hotel is supposed to be 'budget.' All the waiters were very attentive and helpful, ensuring we had everything we wanted. We ate the 'buffet' dinner, meaning a choice of starters, main course and dessert for around £15 and it was all you can eat. Even though we were allowed to help ourselves, the waiters were very friendly and helped us throughout- very professional. The hotel gave us a telephone number for a taxi company the next morning, which came promptly at 9am to take us to Covent Garden- about £10 with congestion charges but we didn't really have much choice with the underground strikes. The hotel is in prime location, with King's Cross Station only being a few minutes walk down the road. As my visit was based around tickets to be in the audience for a TV show filmed in Elstree, close proximity (about a 5/10 minute walk) to King's Cross Thameslink was also particularly useful. The entire hotel exceeded my expectations, even down to the decor in the reception and lifts- I would never imagine myself to be in budget accommodation. From my experience, I would recommend this hotel to anyone and intend to stay again.	
Aug 31 2007 	Fabulous Hotel!	We chose Jury's Inn Islington for a weekend of shopping and partying in London recently. From top to bottom the whole experience was fantastic. We were greeted by courteous and efficent staff at check-in and, on hearing that we were in London for a good time, gave us a corner room with lovely views of the city. The food in both the bar and restaurant was of the highest standard and every part of the hotel was spotlessly clean. Our time in the hotel was really made by the attitude of the staff towards us. From Management down to the cleaners, we were greeted with smiles and a 'Good Morning'.We will definitely be recommending this hotel to friends and family.Being experienced travellers, we hace stayed in all types of accomodation all over the world from Los Angeles and Bangkok to Sydney and Beijing. This is how a hotel should be run.	
Aug 21 2007 	Great room crap location	We stayed here before we started a tour. The room seemed quite luxurious after the hostel accommodation we had been staying in but it was also much more expensive. Food and drinks can be bought downstairs in the restaurant and bar. We had soup and it was delicious. Although the location is close to the city, I really disliked it. The street is packed full of noisy traffic and the pollution was overwhelming. It was also quite a hike with our bags from the nearest train station.	
Jul 28 2007 	Comfortable if bland hotel in great location	This is 5 minutes by taxi from King's Cross station, but with the huge advantage of being in Islington, rather than the sleazy King's Cross district.The hotel itself is modern, with comfortable rooms - nothing particularly stylish or unusual, but absolutely nothing to complain about either. Ours had a great view over London. There's a street market just round the corner, plus hundreds of bars/restaurants/cafes in Upper Street and around - also just round the corner. When we stayed, this hotel also had smoking rooms available - another huge plus in these puritanical and prohibitive times. Prices are very reasonable for an extremely expensive city - and look out for special deals/seasonal offers etc. Staff were fine. We didn't try the food - you don't really need to with such a wealth of places round about, but the bar stays open late.	
Jul 5 2007 	Great hotel shame about the bar staff!	I booked a 6 night break at Jurys Inn, Islington through superbreak, which worked out cheaper then going through the hotel itself.It also included breakfast.First impressions of the hotel were very good, the lobby was bright and welcoming. The room was quite a good size, I was surprised that the childrens bed wasn't made up and it was a sofa bed that was hard to figure out.We had to ask for extra towels and although there were 4 of us in the room only 2 mugs were provided.The bath was fairly small, the shower was very difficult to turn on and off and difficult to get to a right temperature.The walls of the room were very thin and on the first night we had the misfortune of having a neighbour that had opera music on very loudly after midnight.The beds were very uncomfortable, especially the kids sofa bed where the matress was only about 3 inches deep and underneath was wooden slats.The breakfast was great, self service and eat as much as you like. Most of the time we had to wait for toast and cutlery, it didn't seemed to be replenished very quickly.The hotel is only a few minutes walk from the Angel tube station or about 10 minutes from Kings Cross. There are lots of good shops nearby, including Sainsburys, Marks and Spencers, Boots, Woolworths etc. There is also a cinema nearby and a market.The main downside that I found were that the bar staff were very infriendly, most of them spoke pidgeon English so it was quite hard to order from them. So if I went again I would stay away from the bar.I would go to the hotel again as it was central for everything.	
May 26 2007 	Good value for business traveller	stayed at the Jury's Inn as part of a special rate negotiated by the organizors of a conference I was attending at the London Business Design Centre (128 GBP w/ English breakfast / night). The hotel is conveniently located fairly close to Angel tube station and within a short and plaseant walk to the Business Design Centre. Incidentally, Islington is a nice area full of restaurants and shops, and is fairly close to the centre, Soho, etc.The room I had was large and very quiet. English breakfast was OK.All in all a good value for a business traveller.	
Apr 25 2007 	excellent service	We recently stayed for 4 nights bed and full breakfast which we booked through the superbreak website as we had (after extensive research on trip advisor) decided on this hotel and this was the only site we could get booked on. Myself, husband and daughter aged 9 were in London for the marathon which my husband was running in and as my husband would not be doing the tourist thing we wanted an area where myself and my daughter would feel comfortable and safe. Islington is a thriving and busy area with lots of shops, resturaunts cafes and pubs all within minutes of the hotel and the Angel tube station is 5 mins away although for 2 of the 4 days we were there it was closed due to scheduled repairs but Kings Cross is a 10 min walk at most and has links to quite a lot of other lines. We have stayed at a Jurys Inn before so knew what to expect decor wise etc, everything was clean, fresh and was in good order. We had a requested a non smoking quiet room and this was granted without a problem. On the first day we had to request extra towels as there were 3 of us, these arrived at our room within 10 mins and we had extra towels for the duration of the stay. Breakfast each morning was fresh and warm. We had our evening meal 3 of the nights we were there in the resturaunt. The bar served food also but we decided against this as there did not seem to be a no smoking area as there was in the resutraunt, the service was way beyond that of a 3 star hotel, polite attentive without being over-bearing, nothing was too much trouble. We would not hesitate to book this hotel again and the management are to be commended for their wonderful service......	
Mar 20 2007 	good hotel pleasant stay	Just back from a vacation in London.Stayed at Jurys Inn Islington w/gf for 4 nights.Basically, it's what a 3* hotel should be like.Nothing special, decor a bit worn, staff ranging from super-attentive to indifferent, water system a bit ... phlegmatic (hey, it's the UK!).But it was clean, the double room was spacious by London standards, everything worked as advertised,the location is nice (it's close to Angel, a Zone1 Tube station, so it's easy to connect to the city, but Islington seems to be a nice place to look around as well). And we got the &quot;half board&quot; offer via Lastminute - meaning English breakfast in the morning and buffet dinner in the evening - and at 75 pounds a night I think it was a good deal. At that price, I recommend it and would stay there again.	
Mar 14 2007	Great for families	My family stayed here March 2006. We had been booked in one of the old hotels near Victoria (which was a nightmare). We felt lucky to find a family room available and found the Jury's a welcome change. With the Angel tube station 2 blocks away, it was very convenient. Daniel and his staff were very accomodating.	
Mar 13 2007	Nothing much wrong nothing much right	Beyond an attractive reception area there is some ugly decor on the way to your room. Mine was perfectly serviceable notwithstanding thin bedding and cheap, small, bath-towels. Everything was clean. In-room internet didn't work with my Mac, but lobby area wifi was fine.Breakfast ticked many of the right boxes visually but everything was cheap and tasteless; white bread for toast, tomatoes tasting only of water, scrambled egg tasting of nothing. However.....the room was cheap for central London as was the breakfast - each around half the price of the Novotel or Hilton equivalent. So what right do I have to expect a Hilton quality room or Novotel quality breakfast?! I'd probably say this was 3.5 stars because of the price/location combination.	
Feb 27 2007	Good Family Accomodation	My wife and I and two young sons stayed for 2 nights in February. Had booked accomodation on internet based on best value family accomodation and trip advisor reviews. We were expecting an average hotel but were very pleasently surprised by the modern spacious lobby and the friendly reception staff who greeted us. We requested and got a quiet room at the back of the hotel. The room was fine for the money paid, very clean, comfortable bed, although a little bit cramped with the double camp bed for the boys. The bathrooms are probably in need of minor refurbishment, shower was very squeaky and we could hear other guests showers squeaking aswell. Breakfast was okay - a few mushrooms with the brekkie would have been nice, but again staff very friendly. To finish off a very pleasant stay when we were checking out, the lovely lady at reception produced our youngest sons favourite power ranger which we thought he had lost. All in all would definitely recommend.	
Jan 19 2007 	good value spotty service	I've stayed here before, because of its proximity to the Business Design Centre, but this time stayed here after a conference at another hotel, on a couple of free days, because I think it's a very good value for the money and nicely located. It's very near (1 block) to the Angel Tube which makes getting around town very easy, and the immediate neighborhood has lots of restaurants, bars, shops, etc. if you don't want to go far for dinner after a busy day. The hotel has a nice lobby, and pleasant if not luxurious rooms ( I didn't use the bar). The bath is quite stark, but was large and clean, with a nice big tub for soaking a sore back. I stayed two nights, and unfortunately, my room was missed for cleaning after the first night. I returned about 5:00 pm and the room was just as I had left it. Since I was travelling alone, there wasn't really much disrupted, so I just made the bed and left it at that., but it did seem a big mistake on the part of staff. I booked through hotel.com at a rate of $126/night. I think this place is a great value for that cost in London. Breakfast was not included, but there is coffee in the room, and lots of breakfast options nearby, as well as a Sainsbury's (supermarket) so I stocked up the night before with juice and pastry!	
Jan 18 2007 	Good location 	I stayed at the Jury's Inn in Islington, while attending a conference at the Business Design Center. The hotel is in short walking distance from the center, therefore for that reason only, hotel was excellent.My room was above average size - for London standards. Cute decor and nice room amenities. Very comfy bed! The hotel staff needs to brush up on their English, though very nice overall. The hotel itself is situated in a nice area. Islington offers great shopping, bars and cafe's. Starbucks is also around the corner... what more do you want?	
Jan 4 2007 	Great budget hotel and great location	My family and I just returned from a week long trip to London, and we had an excellent stay at the Jury's Inn Islington. The location was great (only 1 block from the Angel tube station) and the hotel clean and comfortable. We all thought the continental breakfast was above average -- fresh fruit, yoghurt, croissants, rolls, etc. The staff was also very cordial and helpful. I would definitely stay here again!	
Nov 15 2006 	Good value in a great location	I stayed at the Jury’s Islington for 1 night in October whilst in London to attend a conference. The hotel booking was last minute &amp; I was pleasantly surprised with what I got for the money paid for a hotel in London! The room was clean &amp; spacious with all the amenities you would expect. Also a lovely view from the bedroom out of the front of the hotel &amp; could spot lots of the London tourist attractions! The breakfast, which was included in the price I paid, was buffet style &amp; basic but sufficient. The best thing about this hotel though has to be its location – in trendy Islington &amp; within walking distance of the tube &amp; lots of bars &amp; restaurants. I would not hesitate to stay here again.	
Oct 24 2006 	No Frills Whatsoever.	Found easily but directions to car park not good. Room very bare, cheap curtains, small bed, bathroom very basic. First room rejected due to uncleaned toilet (use your imagination!) told to come back to reception to change rooms only to be given room next door (why they couldnt come up and give us the keycard for the new room is beyond me).On a sunday morning, housekeeping knocked on the door 3 times before 10.30am. Checkout is 12 noon. Why do hotels do this? why cant housekeeping wait until reception tell them the guests have checked out?Ok for a night i suppose. £69 is cheap in london i suppose. Wish i'd paid a bit more for something a bit better though.	
Oct 19 2006 	Central Location	Stayed here just for one night as part of a football package trip. Spotlessly clean, huge reception area, large bedroom with TV, tea/coffee, etc. Standard but nice. Staff were friendly although the English wasn't too good from a couple of them but we got there in the end! The bar downstairs was my favourite - loved the stone decor and nice pints too! Best of all was the breakfast - you could pile as much as you wanted on your plate and this was included in the price. Perfect after a heavy night! Hotel is only 5min walk from Angel tube which is on the Northern Line - links with all other lines to go into central London in about 15 mins. Upper Street around the corner is full of shops, restaurants, bars and a street market. Perfect spot for tourists and overnighters alike.	
Oct 8 2006 	Good value for London	Stayed here for 4 nights In October. Like other Jury's Inns it's low on frills but the bedroom was larger and better kept than most more expensive hotels I have used in London. The staff were helpful and efficient. Broadband access was an extra £10 for 24 hours but the connection was really fast and easy to set up. A nice touch for Irish guests is that the Irish Independent and Belfast Telegraph are available. My only complaint was breakfast - the pallid toast was made in batches and turned luke-warm and soggy quickly. And coffee seemed to be instant - unforgivable in 2006.	
Oct 3 2006 	A great accidental discovery!	I stayed here for the first time in June 2006 on a business trip, only because the hotel I normally use was full. I haven't looked back.A great location, close to Angel tube station, and with bus routes outside the front door. Islington is a pretty trendy part of town, with lots of nice restaurants and bars.The hotel itself has a nice welcoming foyer, and staff were very attentive. The food in the restaurant was not great, but the food in the bar is very good, and well priced. The bar itself is homely and open until late.Rooms are quite basic, but clean, and bathrooms are great. This is now my hotel of choice when in London, as it combines a great location with good food and drink, lovely staff, and good value for money.	
Sep 21 2006 	Great hotel	I stayed for one night on business this week. Very handy, just a few minutes walk from Angel tube station, which itself is only one stop from Kings Cross or a ten minute walk. My room was absolutely fine. Everything in the hotel was clean and the staff were all helpful and welcoming. Breakfast was fine and good value.There were lots of little restaurants, shops and pubs close by. Altogether a pleasant, interesting and relaxing experience. Great value at the price.	
Sep 5 2006	Okay for a short stay	My partner and I stayed here for 2 nights from Sep 1st-Sep 3rd to attend a wedding in London. The overall decor of the hotel is okay, and the rooms and communal areas are very clean.We stayed in a double room, which is the smallest hotel room I have ever stayed in. As were only there for 2 nights, this wasn't much of a problem. The bathroom was clean and rooms come with a TV, air conditioning, hairdryer and kettle. There are extra pillows/blankets if you require them.We had the continental breakfast on Saturday morning, which was very unimpressive. It consists of bread rolls, fruit ,yoghurt, various cereals, cheese and croissants. I only ate the croissants, but my partner enjoyed his breakfast. We ate out the next morning! There are plenty of cafe's and restaurants serving a reasonably priced full English or vegetarian breakfast nearby.We found the staff very pleasant and helpful, nothing was too much trouble.Islington itself is a wonderful area, plenty of shops, restaraunts, bars etc. I would probably not stay in this hotel again, but the only reason would be because the room was too small. If you're not bothered by this, then go ahead!	
Aug 27 2006	Comfortable hotel friendly helpful staff	My family of four stayed at this hotel a total of two nights during our week long European vacation. We were very pleased. The front desk staff was incredibly helpful, answering all of our questions, letting us borrow the front desk phone to call Virgin Airlines when the lobby phone was out of order and arranging all of our &quot;extras&quot; within a very reasonable time. When my husband needed a special adapter for his laptop - &quot;no worries&quot;. When we needed a taxi reserved for us - &quot;no worries&quot;. When we needed the sofa bed pulled out, set up and made - &quot;no worries&quot;. They told me there would be a crib in our room, when it wasn't there, they showed up within 5 minutes with the crib, set it up for us, put sheets down and then brought us everything else we requested (extension cord, extra towels etc) within just a few minutes. We decided to order food from the bar the first night we were there and our family of four ate for only 20 pounds. The next night we ordered dinner and dessert from the restaurant and it was very good and reasonably priced as well. Even the bartender was friendly and helpful. Our 5:30 am wake up call was on time, the air conditioning was easy to use and worked great. The room was very clean. The walls are a little thin, so I stressed a bit when our daughter cried at night, but I wasn't bothered too much by any other guests staying in the rooms near us. The elevators were large enough for all of us and our luggage, which is hard to come by in Europe. The walk from the Anglel tube station wasn't too far but with luggage it was quite a pain, so we opted to pay extra for a taxi the next time we needed to get to Paddington Station. Overall, we were pleased with the Jury's Inn and would recommend it for other families.	
