	Amazing view! Great location! Friendly service!	Stayed over in this hotel before heading off to Paris on the Eurostar for our honeymoon! I'll be honest - we were on a bit of a budget and this was the cheapest 4* hotel I could find within walking distance of St Pancras - I was not expecting much at all. The staff were very friendly when we checked in, and the hotel was very clean and well presented. Our bed was HUGE and very comfortable indeed, BUT THE REALLY AMAZING THING WAS THE VIEW!!! We were on the 14th floor with a direct view out over the London Eye. The way that the hotel is organised means that pretty much all of the rooms have brilliant views out over London, we had not booked a special room or been upgraded at all. Excellent value for money - and a wonderful start to a wonderful holiday!	
Nov 21 2007 	unfriendly two star hotel charging four star prices!!!	ok as a basic two star hotel, but definately not worth the price. Nothing to do in the area day or night except travel to france on the eurostar. Dodgy at night - don't come here if you're a single woman. Unfriendly staff (professional, but no smiles apart from the restaurant staff). Small rooms, comfortable enough, but very basic, and you hear your neighbours. Soggy bacon and burnt hash browns for breakfast - I've had a better meal at service stations! As for the evening meal - 30 pounds, and I had to drink an alcopop afterwards to take the taste away! I'm very surprised it's got such great reviews. If you're on a business trip, I guess it'd do as an overnight stay if you just want to sleep, but I certainly wouldn't come here on holiday. I'm a big traveller and I generally stay in the same chain of hotels (accord) and I've never been dissapointed before. But this one let the side down. I've stayed in much better two star hotels. Only thing going for it, is it's near the tube. But then, so are many other hotels. I'm always looking for advice from this internet site and I always read the reviews before choosing. That's why I felt it necessary to write this review. So it may be of help to others.	
Nov 2 2007 	Great ... Just What We’d Hope For	This hotel was our first stop (three nights) on a five week holiday to the UK. We arrived just after 7am, exhausted after a very tiring 22 hour flight from Sydney, and dropped our luggage off with the hotel porter; very easy. We were a little hungry, so decided to try the brekky in the hotel’s restaurant, which was one of the best breakfast buffets we’d seen in a long time; the service was exemplary, the decor modern, and everything clean and shiny. It was busy, but things moved along pretty quickly, with the French (I think) maitre-d calmly managing the large flow of diners in and out. No problem with food running out, as happens sometimes when the buffets get busy - all options were quickly refilled when they reached the half empty mark.The check-in process that afternoon was quick and efficient, and the room was exactly what I’d requested in my online booking - on a high floor (10th), quiet, with a rollaway bed, rather than sofa-bed, for our daughter. The room must have been a disabled-access one, because the bathroom was very spacious, with a bath and separate shower, which had a kind of swing-gated door; the downside being I managed to flood at least half the bathroom every time I showered. Other than that minor inconvenience (bathmats &amp; towels were in abundance), the room was clean, modern &amp; whisper quiet, with a very comfortable king-size bed and separate desk area.Location-wise, not bad. There’s a nice Italian restaurant across the road, and a couple of small grocery shops nearby, plus it’s between two tube stations (10 minute walk each way), We found though that the all-day bus passes were great value; hop-on hop-off, with the bus stop only a two minute walk from the hotel’s front door, and the trip to all things touristy less than 15 minutes. Those double-decker buses were my daughter’s favourite thing about London, much more fun then the tube, which was hot, cramped, smelly and generally unpleasant.I’d have no hesitation staying here again; when I booked the website had a special 3 for 2 night deal, but even so, I thought this was a lovely modern hotel, had friendly efficient service, and was in a good location.	
Oct 31 2007 	Lovely hotel	We stayed at the hotel for one night on a theatre break and it was a beautiful hotel. We stayed on the 15th floor and the view over London was marvellous. We had our evening meal in the hotel because the West End was so busy and the service and food were very good. One point, there was a very large queue for tables for breakfast. When you got a table the breakfast was very good, but it may pay you to be downstairs when breakfast commences rather than have to join a large queue. In conclusion a lovely hotel, definitely recommend it.	
Oct 27 2007 	Great place - short walk from Kings Cross	I have no complaints whatsoever about this place. You can walk to Kings Cross in minutes, there's a Starbucks across the road for people who like high levels of caffeine, bars and restaurants (Pizza Express) across road. The rooms are very nice and comfortable, and staff were happy to look after my bags before I could get into my room and after I checked out - whilst I explored the city. Top marks.	
Oct 20 2007 	Novotel Hotel near Kings Cross	We needed a place to stay in London near Kings Cross as we would be leaving by train to Edinburgh the morning after arriving in the UK. The Novotel was within walking distance (with big luggage!). It is a very nice, clean hotel that caters to business people. The service was great and the decor was &quot;European modern&quot; and upscale. It is located in a busy area, so if you have trouble sleeping, ask for a room away from the street. We didn't eat in the restaurant as there are a few nice pubs in the area and we actually like pub food! On some reviews I had read that the area was a bit &quot;seedy,&quot; but we didn't find that to be the case. I don't think it is the best place to stay if you are spending time in London for sightseeing, but great for catching the north bound trains.	
Oct 12 2007 	Nice hotel  excellent location  spacious rooms	THe Hotel ist just 2 minutes away from either Euston or King's Cross Station and many bus lines ..It is located on busy Euston Street, but we had a room to the back on 2nd floor and it was very quiet. The room had a King size bed and was overall very spacious and nicely decorated, very clean and for the price we paid on hotwire it was a steal.I would recommend going somewhere outside for breakfast, prices are high . Same for the In-room entertainment and Internet. There is a Starbucks just on the opposite side of the street for easy breakfast and internet !Would recommend staying there and it is a nice starting point for all London activities !	
Oct 8 2007 	Great Hotel	This is a great hotel in a very nice area. The proximately to King's Cross and Euston Station make it a great base for exploring London. We had a king sized bed in a very modern and clean room. The staff were very good and helpful. The concierge directed us to a small breakfast place behind the hotel that ended up costing us 3.85 for two. It was just a little hole in the wall place but this is what we had asked for.There is also a market on this street on Friday's. We would definitely stay here again.	
Sep 22 2007	Beautiful Hotel	I stayed at the Novotel a few years ago for 2 nights, it's a beautiful hotel in a great place. Regents Park is only down the road with the infamous London Zoo, Madame Tussauds is beside Regents which I feel is getting a littel expensive and dated, but thats what this review is about.The Novotel is set between Euston and Kings Cross stations so you'll have no problems getting anywhere you want to go.The bedrooms are beautiful with great aircon for those hot days that the UK gets twice every decade. The bathroom has a huge shower and beautiful glass sink and the beds are very comfortable. The mini bar is stupidly expensive like most places, but they don't use the automatic charging system that some places have, so you can remove all their drinks and food and go to the local shop just across the road and down to the left a little and get supplies there.We had a few problems that stop me from giving it 5/5 - It took 3 hours to check in because the room wasn't ready, the drinks at the bar are pathetic, £8 for a Malibu and Coke from the squirty gun thing. Our window nearly fell off and the shower flooded because it was blocked. I put this down to bad luck and I have no real complaints, afterall I got a bargin - £66 per person for 2 nights.I suggest you stay here and try out more of the hotel facilities like the gym etc that they have, we never had time.	
Sep 21 2007 	Good clean hotel	I stayed here for business and was impressed. The hotel is around 3 mins walk from Kings Cross Station, and a little further from Euston, right next to the British library. Reception is imposing, with helpful and efficient staff. I was on the 15th floor so the view was great and the room spacious, nicely done out and clean. No bath but an effective shower with plenty of hot water. Breakfast was OK. Only complaint with the room was that it was freezing cold (that's how I know there was lots of hot water, couldn't bring myself to get out of the shower!) and I couldn't work out how to warm it up.The area is OK, there are a few chain restaurants nearby and it is convenient for the tube etc. Would happily stay here again anytme, for business or pleasure.	
Sep 18 2007 	good facilities clean and tiday	Booked in by the organisers of a conference I was attending. Arrived mid-afternoon. Very efficient desk staff with good local knowledge. Room was clean, tidy and aircon was on so pleasant atmosphere. Bathroom was smart and plenty of space with fluffy towels. Lots of hanging space, and an ironing board in the cupboard. Good TV/information system. Point for MP3 and computer. Bar menu for supper was varied, but quite expensive. Twin beds, both well made. Slightly above average noise during the night (police sirens). Breakfast - huge choice and good food, coffee and tea when required, including peppermint tea. Conference facilities superb, but aircon was rather chilly. All in all, a good venue with competent staff and a busy but pleasant ambience.	
Sep 18 2007 	Modern and Clean. Great Stay!	My girlfriend and I stayed at the Novotel Euston as part of a package getaway to London from Swansea in September of lst year (2006). We found the hotel to be firnished in a clean modern manner.The location of the hotel was rather good with the Euston tube station only 5 minutes walk away. The hotel is rather large as far as height goes, and therefore shares wonderful views of London from high floors.The only food we had was breakfast, which was outstanding and there was plenty of selection. The area around the hotel provided a newsagents nearby as well as some restaurants.Would definately recommend for a couples get away to London as we did, although the hotel did seem more suited to buisiness clientelle although this did not pose a problem.Great stay.	
Sep 11 2007 	It's alright	I stayed at the Novotel Hotel for 3 nights for business. The accomodations were very comfortable and clean. The staff seemed helpful but in all actuality they didn't help one bit. 1) no wake up call luckily I set another wake up call via the TV which worked very well 2) no internet in my room later I find out it was a faulty wire which I fixed myself even though the night manager came up and thought it was a hopeless case. Other than that though - good price and great breakfast but you are on your own when it comes to service.	
Aug 24 2007 	See the view from the top !!	Just come back from a fab 3 days in London (even though it rained every day !!). Took my 13 year old son for his first visit to the Capital. I had intended to stay in the West End in a Best Western but when I read the reviews I was very worried. The Novotel proved to be a fantastic choice. The room was lovely and the bathroom was very plush with 2 shower attachments (from the ceiling and a detachable one) and all glass fittings. Flat screen TV and tea, coffee, etc There was nothing else we could have needed. The breakfast was plentiful, both cooked and continental. The staff were lovely. The best bits were the fact that we were two minutes walk from Kings Cross and Euston and the middle lift had a panoramic view of London from the 2nd to the 16th floor. We went up to the 16th floor twice just for the view!!! All in all, it had everything we needed and I wouldn't hesitate to go again. We also got a very good deal for 2 nights, not much more than for one night!! As buses went past every few minutes we went all over the city on the bus which cost me £3.50 per day and was free for my son. On the last day, the hotel securely held our luggage so we could still have a full day exploring.	
Aug 19 2007 	Convenient location 	I stayed in the hotel with my family for 4 nights. I booked the room through the hotel website for a family room at the back of the hotel with special rate abnd a sofa bed for my daughter. The room is nice and clean. The price is reasonable considering that it is a 4 star hotel and located within the city centre.It is only a few minutes walk from Euston or King's Cross tube stations which was very convenient to us as we used most of the time the tube as our transportation within the London. It is also opposite to the Britsig Library. The bus ride on the route no. 10 to Knightbridge was fantastic.The breakfast is great with choice for juices, cereals, fruits, etc. You might need to go to the restaurant earlier as there will be queue especially during weekend.The only hiccup was the cab ride from the hotel to Heathrow Airport. I booked a black cab from the concierge the night before as I didn't want to carry all my luggages up and down the trains. The fare was fixed at 50 pounds. When we arrived the airport, the cab driver asked me to pay by the meter. I argued with him for som time without any success and finally paid.Apart from that, I would recommend this hotel to anybody travelling to London with children for vocation.	
Aug 15 2007 	Great value	Booked a theatre break through Superbreaks and chose this hotel on the location and Tripadvisor reviews.Location is spot on for arrival by train to Kings Cross, turn right and walk 800 yards and you are there.Across the road there is a late night shop for food/drink, Starbucks, Pizza Express and a few pubs.Hotel was clean, modern, very large room with LCD TV, glass door to bathroom, glass sink, all very stylish. We had and room at the rear on the 2nd floor and it was really quiet.A word about someones comments regarding noise - the window handle turns 2 ways, 1 way allows air in and therefore noise, the other way stopped all noise even on a lower floor.Staff were very polite and breakfast could not be faulted.Our stay was on a par with other hotels we have stayed around the world for loads more money.Excellent value, we will return.	
Aug 13 2007 	Beautiful Hotel	I stayed at this hotel for one night and found the hotel to be excellent. First and foremost, this is a beautiful hotel that is tastefully decorated. The rooms are modern, and the bathroom is visually pleasant. The rooms are also clean with many useful amenities. Novotel Euston is also perfectly located. It is within walking distance of the Tube and only a 5-10 minute bus ride to Trafalgar square and Big Ben. I would highly recommend this hotel to all tourist or business travellers just passing through.	
Aug 11 2007 	Great location	My husband and I stayed at the Novotel Euston for two nights in July 2007. This hotel was similar to hotels in Canada and the US in amenities and style. The room was smaller than North American standards, but larger than European. The buffet breakfast was spectacular and included in the rate. The hotel is located near two major tube stations and train stations. King's Cross/St. Pancras is two blocks to the east and Euston is two blocks to the west. It was very easy to walk to the stations pulling luggage on wheels behind. The hotel is located on a fairly busy road, but we could not hear the traffic unless our window was open (we were on the 5th floor). The hotel is right across the street from the British Library and within walking distance of McDonald's, Burger King, Starbucks and a convenience store. The room was in good condition except for a few missing tiles in the shower, otherwise clean and well maintained (See some of my pictures)	
Jul 24 2007 	Disatrous night with endless fire alarms	Fire alarm sounded at 02:36 and continued on and off for the next 2 hours. No responsible English speaking management on site with blind and elderly guests given no guidance to assembly point. Lifts remained out of action when entry permitted - still no staff to provide assistance. Even water was refused to guests in need and cleaning team seemed keen to keep guests away from refreshment areas. Major neglect of how to deal with customers in an emergency situation and no staff member on site to identify that this was a technical fault rather than a need to evacuate 300+ guests. A truly awful guest experience and no apology or offer of refund in the morning.	
Jul 22 2007 	VERY poor management	I know I have given this hotel a very low rating. I will explain why in a bit. First however I ought to mention what is nice about the hotel. The location for access to the tube lines is very good. This was one of the main reasons for staying here. Its a very modern hotel and it has a very contemporary feel to the decor. The room was a great size and the views from our 15th floor window were great. So why the 1/5 rating? Lets start with the room noise. I can sleep through an earth quake but my wife simply could not sleep with the sound of the traffic out side. Now I know its London but we were high up and the windows offered no real noise protection. Being at a junction meant that instead of a steading road noise we were subjected to starting and stopping cars, reving engines and heavy braking. So its 2am and my wife is really struggling to sleep...not to worry...the fire alarm goes off. It last about 20 ear hurting secs and then stops. A quick look out the room and we go back to bed. About 5 mins later my wife asks me to see if reception have any ear plugs. I get dressed and find the lifts are out. I walk all the way down to the fourth and find alarms going off and people not being able to find the exit. I go and get my wife at, at which time the alram then starts up on our floor again and we find our way out .30 mins later and we are all outside and not a member of staff in sight. Its now 2:30 in the morning!!! When we finally get back in the staff can't find all of us a route back to our rooms and there is no stair case from the lobby up to the tower rooms! Finally back in our rooms we try to get some sleep but the alarm goes off again...and again...and again!!! The alarm goes of intermitently until gone 5 in the morning!!! Not a sorry from the hotel nothing. Having had no sleep all night the only way we could get to the late theatre performance than night was to get some sleep during the day. Needless to say we won't stay at this or any Novotel hotel again. I dread to think what would have happened if there had been a real fire!!!	
Jul 21 2007 	Pretty good	I stayed here with work last summer and would definitely come again at my own expense. The room was comfortable if not all that big and had quite a funky bathroom. Given the location, the room was quiet and overall the hotel had a nice atmosphere to it. I used the gym a few times as it felt a lot less cluttered and more inviting than most hotel gyms...you can run looking out over the British Library. The hinge was broken on my tv cabinet but I don't think I can fault anything else really except that it can be a tiny bit expensive if you don't get a &quot;special rate&quot;.	
Jul 16 2007	Wonderful views	Although 10 August 2006 was not the first time that we stayed here, it does get better each time! We have frequented the bar on many occasion - as well as a great place to meet location wise, the bar area is light and airy with friendly staff and a good wine listThe standard rooms are great value, always spotlessly clean and well decorated. For just that little bit extra the executive rooms are well worth it - our favourite room is 1404. A large room with great views over London through the picture window. If you sit on the window sill you can lose yourself in the vision before you as the world carries on outside	
Jul 15 2007 	Very good value. Good option for families. Highly recommended.	This hotel offers very good value for a centrally located hotel. Our stay was 16/17 June 2007. Cost: $510 AUD (218 GBP) for 2 nights for 1 adult and 2 children. This got us a room with a sofa bed and a double bed and included breakfast (more of that later). The room was well set up with a foyer/alcove that had the sofa bed, then the bathroom (which separates the alcove from the main bed area. Layout was great for family as it offered privacy for both kids and adults, whilst still being in the one room. The Bathroom was spacious, well lit and it was the best shower (great water pressure) that I had in 3 weeks! Big windows with a view (see pics). 2 tv's (1 in each area, kids happy with the Simpsons, me with the BBC . . ) Only complaint would be that it was a double bed (not queen) and the sofa bed was a little hard to set up (but housekeeping responded very quickly), also rooms facing Euston Rd can be a bit noisy - but then you are in London . . . Location: Euston Road - inbetween Euston and Kings Cross/St Pancras railway stations (both tube and British Rail). Opposite British Library (free 7 days). Food: a full buffet breakfast was included and it was EXCELLENT! A bonus is they serve it until 11.30 on weekends. There was everything you could want, and it really was excellent quality for a hotel buffet. We ate late (9.30am), but consequently got through the day with no lunch - well we did nab a croissant and a couple of apples to get us through the day . . . . ). We ate dinner at O'Reillys Irish pub just down the street, and that was a reasonable option (upstairs better if you have kids). Staff: all depts. were very friendly and helpful. Over the previous weeks we had stayed at Fraser Place Queensgate aparts and the Hilton Euston (reviews to come), and I would easily recommend the Novotel as the best of the 3. It was convenient, clean, safe, friendly, well fitted out and you just can't go past the breakfast to set you up for the whole day.	
Jun 29 2007 	Good Location	Clean and comfortable room. Some areas good do with a bit of attention (bar area bit tatty). We ate at hotel at lunchtime (unusual for us) and the food was excellent and reasonably priced. Good location next door to British Library and close to Euston/Kings Cross.	
Jun 26 2007 	Recommended: Could be a lot worse	DESIGN AND DECORThe design of the rooms at the Novotel London Euston is smart and business like. Lots of reds and creams with dark wood furniture makes the room feel cosy and warm. The lighting isn't that great and areas of the room can be dingy at night, even with all the lights on. The bathroom is, by contrast, much colder in feel. Both the door and the sink are glass and opaque and the main wall on the bathroom is covered by a mirror. I viewed three rooms, and while all are of varying sizes, they are all pretty similar and very clean. The hotel entrance, reception and restaurant is very modern, clean and attractive.LOCATIONThe hotel is a 5 minute walk from Euston station to the west and Kings Cross St Pancras to the east. Both stations are major national rail and underground stations. The hotel itself is right on the Euston Road which is very busy pretty much all day. If you're a light sleeper, you will definitely want a room at the back of the hotel (even if you're not, I'd advise a room at the back anyway). The general area where the hotel is situated is fairly safe at all times, although exercise caution at night as you would normally around any major city train station. A red light district is apparently only a few blocks away, so probably best not to go wandering around. The immediate area around the hotel though is perfectly nice. If it's good enough for the British Library just across the road from the hotel, it should be good enough for you.THE ROOMOf the three rooms I saw, one was fairly small while the others were fairly large. In the room I chose, there was masses of cupboard space, a firm, comfortable king-sized bed, a desk, a flat-screen TV with accompanying wireless keyboard for internet access and a connection for an MP3 player, a chair and table and a mini bar filled with (expensive) drinks and snacks. In the bathroom, you'll find the toilet, sink and bath tub (obviously). The tub is average in size and there's two shower nozzles available for some reason. AMENITIESThere two phones in the room, one on the desk, the other next to the toilet (not kidding). There's tea and coffee making facilities, although the kettle is stored in an odd place and you have to hunt for an available electrical socket in order to use it. The TV has a miserable selection of channels although it does offer channels in French, German and Spanish. I'm sure the lame selection is to encourage you to watch the pay-per-view films on offer. There's also a hairdryer (in the cupboard) plus an ironing board and trouser press. (These amenities may vary from room to room).SERVICEI wasn't happy with the noise level in the first room (traffic, lift motor and people in neighbouring room through adjoining door), so after spending four hours in that room, I decided to move. The second room was small and the window didn't shut properly so it was even noisier, so I asked to move again. As every Brit does when they explain they're not happy with something, I felt pretty embarrassed, but felt, because I was paying a lot of money, that I should go through with the moves. The staff at the desk dealt with my polite complaint efficiently and without fuss. At one point, three staff members were crowded around the computer screen trying to locate a good room. One assured me it was no bother and absolutely fine. Thumbs up for the service then.CONCLUSIONThe Novotel London Euston is a good hotel in a good location. While I wasn't happy with two of the rooms due to noise, the third was fine and suited my needs. Would I recommend this hotel to you? Sure. It's not the best hotel in London, but it could be a great deal worse.	
Jun 22 2007 	Good Well-Located Hotel	Good hotel. Room and bathroom in good shape. Best advice from this site was to request that daily breakfast be added to your room rate. The cost was an additional £10 per day. The breakfast is all you can eat. I chose the English breakfast each day. Yes, it is a very heavy meal, but as a heavy meal, I did not need to eat lunch, and sometimes did not feel I needed to have dinner either. So the £10 per day reduced my meal cost substantially. Desk service was spotty on the weekend and late evenings. During this time, I think the hotel staffed the desk with trainees or not so bright people. The daytime staff and concierge could not have been better. I had some difficulty with a plug converter I carried with me. The desk immediately supplied one (taking a deposit). When I returned to the room, I found that my telephone charger did not fit the converter because of the converter’s shape. I told this to the desk. They asked me to speak to the concierge who immediately referred me to a local hardware store who had a correct plug converter. On traveling to the hotel, the hotel is closer to the St. Pancras underground station, about two streets away. Not having been to the area before, I thought given the hotel’s name, it might be closer to the Euston underground station – wrong. The Euston underground station, while still walkable, is about two to three times further away. I would stay here again.	
Jun 21 2007	Great Location	Stayed at the Novotel Friday 15th June for two nights with my daughter. The location was great with our arrival station (Kings Cross) and underground only 5 minutes down the road. The staff were friendly, room clean and very comfortable beds. There was an iron and ironing board, trouser press and fairly decent hairdrier. Breakfast was very good with lots of choice. Will definately return.	
Jun 17 2007 	great hotel	had a fantastic 2 night break at the novotel euston for my wifes birthday.hotel 2mins walk from kings cross or euston stations,good size room large bed,modern bathroom with shower,etc. but the best bit was the fantastic buffet breakfast.staff very friendly and helpfull,will return again next year.	
Jun 6 2007 	Could Be Better	Me and my family stayed here for four nights, occupying two rooms. The rooms were basic and of average size. The room that I was occupying with my husband was terribly noisy as it was located on the side of a busy road (sirens,sirens even at night). We asked to have a change of room but the hotel was fully booked so we had to suffer for two nights without our much needed rest and sleep. Bathroom was also basic, our sink 's drain was not working well. Amenities included a soap and a shampoo. Location was a bit far from the center, and with the reputation of King's Cross as a not so desirable area, I did not feel too comfortable at first.In fairness, we did not experience any untoward incident throughout the duration of our stay.There was a pizza restaurant in front of the hotel, an english pub and a convenience store which we really liked.The staff at the reception were really cold and indifferent. They (especially the women) were unfriendly and unapproachable.If they don't want to deal with people, they should stay out of the service business. They paled in comparison with the hotel's concierge whom I found to be extremely helpful and always going the extra mile just to be of assistance to the guests. We broke our camera (and London was the first leg of our European trip) and he not only gave us a good recommendation on where to have it fixed, he even called the service center to tell them we'recoming. He also gave us directions on how to go to several destinations. Very patient and really wanted to help. Breakfast was excellent. The choices were varied and the food was delicious. The restaurant staff were also friendly and efficient.Not really a great hotel, but just for the concierge and the restaurant staff, and the excellent buffet breakfast, I could give it another try.	
May 29 2007 	Great hotel great location	The Novotel London Euston is a bright, clean, new hotel is a great location, literally next door to the British Library, and a three block walk from the Euston underground (and train) station. I got a fantastic rate on Priceline, which made the trip possible. The staff was very friendly, and there was no apparent negative implication from the fact that I had a Priceline rate. They let me check in early (although I had to take a smoking room to do so), which was great because I had come in on an overnight flight. The lobby is beautiful and designed in a very modern style. One of the hotel elevantors has a window on the outside world for a nice view of that part of London. The room, by London standards, was spacious, with a large bed and a small living area, two televisions, and a bathroom with a shower stall. Nice view of the neighborhood from the window. The maid service was timely, flexible with regard to my comings and goings, and excellent. Although I didn't eat at the restaurant (MIrrors), I had a room service cheeseburger which was made in the restaurant kitchen, and it was one of the best (and most expensive) cheeseburgers I've ever eaten.The only negative was the lethargic concierge service. I asked the concierge for help twice. (1) I asked them to book theater tickets for me. They dialed a ticket broker, then to my surprise handed their phone to me to make the arrangements directly with the broker. (2) When my watch battery unexpectedly died, I asked them where I could get a new battery. Their answer, in its entirety: &quot;Probably somewhere on Tottenham Court Road, You know where Tottenham Court Road is? Just walk along there and you should find someplace.&quot; I was expecting them to crack open a telephone directory or web site, find a nearby jewelry store, call to make sure that they were open on a Sunday and did battery replacements, then give me precise directions to that store. I would have tipped for the service, I swear.But the concierge service was a minor flow in an otherwise excellent hotel. I'd gladly stay here again.	
May 25 2007	Nice hotel but needs improvement in some areas.	I’m a frequent traveler and had to go to London for a conference, the hotel where the conference was held was full so I stayed in the Novotel because it was fairly close and the reviews I read were pretty good.As a general experience I would say the hotel is nice and delivers a good price/quality product, however the mattress in my bed was really old and the springs got in my back all the time y wouldn’t expect a 225 pound a night room to have a lousy mattress and a really old sheet starting to show some holes on it.The other not so good thing was that if you need a taxi early in the morning you better consider getting there at least 45 minutes before your departure time because the concierge goes out the street till he finds an available one and if you’ve ever been in London trying to catch a taxi just from the street at 8 am you know it’s close to impossible. I don’t understand why the hotel (since it’s not just a 1 star hostel) has at least an agreement with a taxi company if not having a couple ready every morning. In the worst case scenario I would at least suggest the hotel to let know the guests that if they are going to need a taxi in the morning consider a long time waiting because of course I wasn’t the only one waiting there.A nice touch is that you can plug your iPod or mp3 player into the TV and listen to your music.	
Apr 24 2007	our favourite london hotel	We have stayed at this hotel a number of times and never been disappointed.It is within easy walking distance of Kings cross and Euston railway stations and convenient for Covent Garden and the Theatres. Breakfast buffet is extremely good value especially when booked on an inclusive rate. Family rooms are excellent with a seperate area with sleeper sofa and 2nd TV.	
Apr 17 2007 	Great Hotel	We really liked this hotel. It is only 5 minutes walk from Euston station and about 10-15 mins walk away from Tottenham Court Road where there are a number of shops, pubs and places to eat. The hotel itself is modern and comfortable and our room was light and airy with a great view of the city. The bathroom was a little on the small side, but more than adequate. Breakfast is a buffet type and for those not wishing to have a cooked breakfast, there was plenty of choice of cereals and fruits, all of which was lovely. Staff at the hotel were very friendly and always ready to help. We've stayed at a few hotels in London, but this was one we would definitely stay at again.	
Apr 3 2007 	Guaranteed Not To Disappoint	I booked this hotel after doing some considerable amount of research on hotels featured in the Superbreaks brochure. I specifically required a hotel close to Kings Cross as we were arriving from Middlesbrough here.The hotel is situated only about a 5 minute walk away from this station and indeed St Pancras and Euston. From any of these locations too are tubes around the area. The hotel is situated about a 30 minute walk away from Oxford Street and about a 15 minute walk from the British Museum. We used the Tube (buy Travelcards before you go) and it was extremely easy to get about.We arrived early 9.30 am and decided to let the hotel know we had arrived and to leave our luggage with the concierge. We were pleased to discover that one of our rooms was available so we left the luggage there. Check in was quick.The first room was a twin room at the back of the hotel. It had everything you would expect from a hotel room, the kids dived on the shortbread biscuits straight away. The room was decorated in a modern fashion complete with a flat screen tv with an Ipod connection. An electronic safe in the cupboard was extremely handy. Bathroom very modern too with your usual supply of toiletries. Very clean and comfortable beds.After a day of sightseeing we returned to the hotel, the room key was available. The second room, a double, was larger and had a desk in the corner positioned so that when you looked out of the window you could see St Paul's, Canary Wharf in the distance. To the right of the window we could see the Post Office Tower. Both rooms were situated on the 9th floor. Again tastefully decorated, comfortable and clean.There are 3 lifts to the rooms, the middle one being the panoramic one. At the very top you can see the London Eye and Big Ben. There are also views to the side of the building of The British Museum and St Pancras Station.The double room was at the front of the building and the only down side to this was you could hear the traffic slightly. However, you could hear sirens going right through the night (Saturday). Sunday night was quiet though. We still managed a good night's sleep though and would stay there again.Breakfast is served in the Mirrors restaurant which is open plan into the bar then into the reception area. Very modern feel which was excellent. We had no problems getting a table on both mornings of our stay.There was a vast selection of food to choose from, cereals, fruits, yoghurts, sausages, bacon, eggs, beans, toast, croissants as well as the usual beverages and fruit juices. You just were given a table and then helped yourself at the buffet (as much as you wanted). Food tasted excellent and was well worth it. Prices were £16 for full English breakfast and rest of buffet or £9.50 for continental breakfast. Our breakfast was included in the Superbreak price.On an evening we went to The Euston Flyer pub and MacDonalds for our teas. There is a supermarket, Starbucks, Pizza Express opposite plus the stations had amply places for food.On the last day check out was easy and quick. We left our luggage with the concierge for the day.All in all an excellent hotel and I have no hesitation in recommending it. It was on the strength of these reviews here that I booked in and was so glad we were not disappointed.	
Mar 31 2007	Great View	My husband and I stayed for a night at the Novotel. I wouldn't rate this hotel as a 4 Star, more like a 3. We had a fantastic room, we could see all of London, from the BT tower to Canary Warf, from the 14th floor.The room was large enought, the bathroom clean and tidy. The only down fall was room service and the brekkie!!!My husband ordered a lasagne after 11pm it cost £9 and was as baked as concrete, my husband picked it up with his hands and ate it like a biscuit! the next morning we hoped that brekkie would be different! nope! Cold and skin on it! I was most disappointed!	
Mar 18 2007 	Consistently great hotel	Consistently great hotel in central London.Next to British Library, a stones throw from Kings Cross station. Possibily the best breakfast buffet in town. Not cheap but worthwhile and usually cheapest on the Novotel website (check for price guarantee).	
Feb 28 2007 	Excellent hotel	We arrived before the check in time but were able to leave our bags with the concierge. When we arrived back at 6pm check in was hassle free and we were soon in our rooms.The rooms were well equipped with a flat screen TV, hair dryer (although awkwardly placed in the wardrobe), trouser press, minibar and tea/coffee making facilities. A nice touch was that a lead is supplied to be able to hook up an MP3 player to the TV so you can listen to your own music.The breakfast buffet was excellent with plenty of choice: full English, fresh fruit, cold meats, yogurts etc. We had to queue for breakfast on our first morning (a Sunday) but staff were very efficient and organised at clearing tables and then showing you to a table, so you didn’t have to scramble around trying to find a table yourself.The bathroom had both a bath and a powerful shower – although the frosted glass door was a bit too modern for me as the toilet was placed next to it!Although not in the very centre of London, the hotel is within about a 5 minute walk to Kings Cross which has many underground lines – we found this useful when some lines were closed on the weekend. It is also very close to Euston station which makes it handy if you are arriving by train.My biggest gripe about the hotel was that it was very hot – even in February! We didn’t have the heating on in the room at all but we had to sleep with the window open. As we had a room at the back and on the 8th floor, this wasn’t such a problem as there was very little traffic noise. On the last day, we were again able to leave our bags with the concierge and then return to pick them up before catching the train home.Overall, the hotel added to my pleasant stay in London and I would stay there again without hesitation.	
Feb 14 2007	Excellent location Excellent Rooms!	Got the room via Priceline.com and I was very pleasantly suprised. This location is between the Euston Station and the Kings Cross Station. Both have access to the tube and bus lines. The hotel is also directly across the street from the British Library.Check-in was great, both fast and friendly. The lobby was impressive. My room was excellent. Very clean and spacious. Being that it overlooked the street, it was very quiet. I was also impressed with the ammenties. Not use to the shower, but it worked great. Only small drawback was that the door to the bathroom was semi-clear glass. I ran into the first nite. Room needs a nite light.My stay with this hotel was excellent. I encountered no problems with either the hotel or the room. I was left in peace and quiet to explore the city. I found the location next to both the bus and tube saved me time and money. Also nearby shops and restaurants were not that expensive (relative term for London).Would definately stay again and highly recommend this hotel to anyone that wants a peaceful stay.	
