	Great Hotel	My husband and two teenagers stayed at the Hilton Islington from November 20-26. We arrived at the hotel at 10:00 a.m. and our rooms weren't ready until after 1:00 p.m. but the hotel staff did everything possible to make us feel comfortable. We reserved a double room for me and my husband and a twin room for the kids. Our son came over from Swansea and stayed in the twin room and the kids weren't crowded. Both rooms were very clean and there was plenty of room to get around. We had questions every day for the concierge and they were very helpful.	
Aug 22 2007 	Great rooms and location - service well intentioned but not fine tuned	This hotel is above average by London standards. The rooms are really nice and the hotel is clean. For the price, it's a great deal - the location is not in central London but close enough. The tube stop is right around the corner and the neighborhood itself is very cute with shops, restaurants and pubs. I felt safe in the neighborhood. The hotel staff is well intentioned but I couldn't help but feel that the service isn't what you expect at Hilton. My wake up call did not come the first day, on the second day it came 30 minutes EARLY.. by day three I finally got the right wake up call. Be careful because the &quot;24 hour&quot; internet billing tries to charge you every 8-12 hours - I notified the front desk and they corrected it. At breakfast, I wasn't served coffee until after my meal for the first two days, when i finally said something, the staff over-corrected themselves and practically stood over me while I ate to make sure that I had everything... it was a little annoying (but well intentioned) Also - don't ask the concierge staff to call you a taxi - get your own on the curb - they call a private car service rather than taxis and they charge about 20% more than a London taxi (I tested this a couple of times)	
Aug 19 2007 	Very nice good location	We stayed here in April 07 and have no complaints.The hotel is well located in a very nice area, and the tube station (Angel) is only a 5 minute walk from the hotel. Around the hotel is a good choice of bars, cafes and restaurants.Our room was quite spacious - larger than expected for Central London. The staff were very pleasant, and brunch in the bar/dining room was very nice and reasonably priced.The hallways on our bedroom level looked a little odd and somewhat dates - very swirly carpets and exposed bright yellow brick!Lovely hotel. I would stay there again.	
Aug 7 2007 	Good value attractive village-like location	I paid about 60 GBP/night through Hotwire and definitely got value for money. The hotel is a short walk from the Angel tube station (northern line). Islington is obviously up and coming, an emergent upmarket village atmosphere characterizes the bustling, multicultural neighbourhood with excellent food and shopping opportunities. The decor of the large room was pleasant, new, and tidy. The lack of an in-room safe is an unfortunate omission. The ridiculous phone charges (8 GBP for one minute to New Zealand) sent me to a nearby phone booth. Overall a greatly enjoyable stay, though.	
Aug 4 2007 	surprising!	We booked this over lastminute.com as one of their secret hotels!Had we known at the time of booking it was a hilton we wouldn't of gone - we had a very bad experience at the stanstead one.But having paid for it we went.It was pretty cool, our room was nice and big and very well decorated. The bathroom was nice and big and the room had nice touches like music in the bathroom and all that.The bed was really nice and comfy. The hotel is only two stops from Euston.I would go here again.	
Jul 19 2007 	One of the best Hiltons I've stayed at	I booked this Hilton after reading other reviews on this site and I have to say it's good reviews were well deserved. The location although not central London is awesome. Shops, a movie theater, restaurants and a tube stop (Angel) were all within 5 minutes walking distance. My room was quiet, comfortable, the air conditioning was actually cold (some hotels have it preset and it's hardly AC at all) and the shower pressure great. Staff was helpful and friendly. I've stayed at two other Hiltons in London and this was by far the best in terms of value for the money (not cheap by any means but a good value for a Hilton).	
Jun 14 2007 	really nice	I have to say I would never have booked a room there if it hadn't been for the special deal I got. I'm not the richest person so I'm always looking for at least semi-cheap rates and am also very location-oriented.We got there a little early (11 am) and asked if we could still check in and the front desk checked to see if there's something available. We were offered a disabled room, which was fine with us; as described it had more room to move around. The room was clean too and it had a water boiler, tea bags and some cookies (I love this about hotels in England) which were filled up promptly the next day.The hotel is in a good location, only a 5 minute walk from the tube station. Generally this hotel is in a nice area with lots of shops, an arcade, plenty of choice regarding meals, there's a drugstore and supermarket within walking distance and some pubs too.The staff was friendly and we were especially glad about the hassle-free early check-in.We didn't eat there or check out any amenities.For the special rate I got I would definately go again next time I'm on vacation in London. I don't know about the usual rates.	
May 16 2007 	Good hotel great value!	We stayed at the Hilton Islington for a Friday night recently and got it for under £100 through Opodo, which I think is brilliant value for a good London hotel. The area is upmarket and full of life, with such a choice of bars and restaurants literally on the doorstep. We wanted to stay in this area as we were going to the Almeida restaurant, which I would recommend highly. We were upgraded to a King Deluxe Club room, which was very large and immaculately clean. The hotel is modern and comfortable and all staff I encountered were friendly and helpful. Lovely Crabtree &amp; Evelyn toiletries in the room and a fluffy robe too. Didn't have breakfast there due to poor reviews on this site. Instead we went to Camden Passage (right opposite the hotel) and found The Breakfast Club, which was extremely popular, had to wait 10 minutes for a table, but worth it. It does all kinds of different breakfasts, smoothies etc and the surroundings are really unusual. All in all, I would highly recommend this hotel if you can be slightly away from central London or if you do not want to have to take out a second mortgage to finance your stay!	
May 12 2007 	Best Stay so far	I have stayed at this hotel many times in the past few years &amp; had some problems but this trip was very un-eventful, yes one of the better stays (three nights).Check in was excellent, the room (they upgraded me) was one of the best in the hotel &amp; the breakfast each day was very good.My wife &amp; I also eat in the restaurant one night &amp; again the food was fine. There are better restaurants in the area but it was raining &amp; we did not want to leave the hotel. I always try &amp; stay at this hotel due to its location my only complaint (nothing to do with the hotel) is the police &amp; other sirens at night. Looking forward to another stay on my next trip to London	
Apr 23 2007 	Excellent hotel good location	Great location, excellent staff, good price.The hotel is 5 minute walk to the Angel tube station and from there you can easily access any major site in London. The hotel is less than an hour from Heathrow airport.There are also plenty of reasonably-priced restaurants nearby.We paid about $100 US from hotwire.	
Apr 14 2007 	Good for the price	I obtained a wonderful price for this hotel on Hotwire so for the price paid my overall experience was good. The hotel is very well situated: about three blocks from the Angel tube station and right off Upper Street which is lined with restaurants, pubs and even a Starbucks right across the tube station. You are just a couple of tube stations away from Covent Garden and most places in Central London. The hotel is in a fair condition although the furniture in the rooms looks a little old and the rooms are kind of small (which is standard for London). For a Hilton, and a four star hotel, I expected a little bit more in terms of service and amenities. The room did not have a safe box for example, nor a mini-bar. There are vending machines in every floor but none of them worked during the three nights I stayed there. But, there is a lttle store on the corner whre you can buy water, drinks, etc. if you need to.	
Apr 10 2007	Poor poor security	The hotel itself was of good standard and the food was also good. Our trip however was ruined by a theft in the lobby of the hotel which could have been easily avoided if the hotel paid a little more attention to security. Basically a scam artist (very dodgy looking) was able to waltz in and steal an expensive mobile phone from under our eyes, and make a run for it even when we were shouting 'THIEF!' because there was absolutely no staff in the hotel lobby present to challenge him, or stop him entering in the first place. For a four star hotel I thought this was appalling, and severely tainted our opinion of the Hilton chain. My main advise would be to be very vigilant in the lobby of this particular hotel.	
Apr 4 2007 	Great Place to Stay	For my first trip to London I booked my hotel through Priceline so was a little nervous about what I would get. Happily I had no reason to worry. The Islington Hilton was a wonderful place to stay. Only about a 5 min walk from the Angle tube station,it was easy to find. The staff were very helpful and seemed to be knowledgeable about the general area pointing me in the direction of the nearest post office when I wanted to mail some postcards. The room was very spacious and the bed was comfortable.I can not comment on the food as I did not eat at the hotel during my stay. But there are many good pubs and restaurants nearby along with a Boots and Tesco. A very nice neighborhood to stay in, and while not in the center of London it was a short tube ride away to the major attractions. While the Hilton's prices are out of my budget making it impossible for me to stay there normally next time I visit and use Priceline I will be hoping that I get this hotel again.	
Mar 29 2007	Below My Expection for a Hilton	I booked this property due to the price (best value) and the convinence to the tube station since I had an early connection to the Waterloo station the next morning. Arrived the hotel around 5PM due to the MAJOR baggage delay (Thanks British Airways, missing out whole tank of luggages without ANY single agent showing up). This is a short walk from the Angel Station, and the area is very nice, its good for first time solo travelers since they are easy to find. As a HH Gold member, i got turned down for the upgrade to the club rooms (I am sure they have plenty but they said no). But i got breakfast instead. The staffs are nice and helpful (well, some aren't that knowledgable for the local areas but oh well, its not hard to get around the area once you have a tube map). They also let people to borrow AC adaptors too!The room is big for UK size/European standard. Typical Crabtree &amp; Evelyn products but the mattress, as other members suggested - sucks! The bed is so springy..I mean seriously, when I sit on it I can hear the spring sound and I can actually COUNT on how many springs they have on my mattress.. What happened to the hilton sweet sleeper bed? The rooms appears to be clean BUT the soap dishes are green!! moldy!! nasty!!!I mean Its not that expensive to change a soap dishes right? The A/C in the room works like a charm, I really appreciated that. The breakfast wasn't THAT bad in my opinion. UK is not a country known for the delicious cusine. Even McDonalds taste worse in here than the states (in my opinion). However, the breakfast is decent enough to feed you if you just want to fill yourself up in the morning. In contrast to the previous revewer, the screamble eggs ARE NOT COLD. Its hot, the guy makes it infront of me, and he takes requests too - pretty nice (except that they don't make omelttes). Fresh Juices, fruits, yogurts, few meat selections available but I would not pay full price for this breakfast tho. THere are many pubs and restaurants within walking distance so you should try it out. Love the pubs next to the hotel, cheap place to chill for the night!	
Mar 27 2007	Comfortable stay for convenience only	Got a good deal on this hotel on Lastminute.com fro £63 ( secret hotel but you can work it out generally). Needed a cheap stay in this area for a night for it was ideal for me for a bed for the night.When i checked in I was told i had been upgraded to a delux room, i was excited but when i got to the room I was brought bacj down to earth as it was very average and very small, still very clean and all i needed. Good value for the moneyI ordered room service as was too tired to leave the room, wish i had as there looked like a hughe choice or restaurants in teh immediate area. I ordered the risoto, it was £12 but after the £3.75 tray charge it was expensive- I only had a bit of it as it was so salty I couldnt eat it. Lucky I wasnt starving.Nice crabtree and Everlyn products.The room was cold, I put the heat up as much as I could but couldnt warm up, the covers were very thin and it was lucky i had two beds, i nicked the other duvet and had two. I woudl stay again if i coudl get the same rate and needed to be in the area but would not eat there!.	
Mar 6 2007	Could not recommend	When we arrived at 3.30 p.m. having travelled since 10.00 a.m. the hotel had no electricity so we could not check in. They said it was a fault on the grid - but all the surrounding premises appeared to have electricity. They stored our bags and said the problem would be fixed by 5 p.m. and then minutes later that was changed to 6 p.m. so we left and went to a pub just around the corner ( 2 mins walk) which had electricity. At 6 p.m. we returned &amp; checked in.We had booked for 3 people at £166.00 per night for B&amp;B and paid in advance.There were 3 cups in the room, 2 bottles of water, 2 bath towels and 1 bath robe! So we could all have tea together but would have to share towels?We went out and returned at 8.45 p.m. to freshen up before dinner. This time the hotel fire alarm was sounding, people were leaving and the fire brigade arrived 1 minute after us!  Positives:(1) Our room was clean, big and bright.(2) The staff were polite(3) The location is excellent - Angel tube about 5 mins walk(4) Lots of good pubs and restaurants in the vicinity.Negatives:(1) The breakfast is disgusting and at £16.00 an absolute rip-off. Horrible salty bacon, cold scrambled eggs, cold tea, and you have to make your own toast. I left this so called &quot;cooked breakfast&quot; on the table and went for fruit, ham, cheese and a roll. No selection of cheese - just slices of sweaty cheddar and poor quality ham. I cannot compliment any aspect of the two breakfasts I had to endure there - I so regretted having paid for the breakfast in advance.(2) Inadequate provision for the number of people in the room.(3) The heating system - it was cold but they don't have central heating - just a blow out air conditioning / heating unit which made a terrible racket. So wake up in a cold room, turn on the unit, go back to bed and get up 15 minutes later when the room is warm?(4) Our room key card failed twice and they tried to convince us we didn't know how to use it properly.(5) No mini-bar - it's supposed to be a 4 star(6) Finally to add insult to injury they tried to charge us again for our stay on checkout.The electrical problem may not have been their fault or the fire alarm going off but the rest of the problems could be fixed. Their staff have been trained to say Sir / Madam at will, but we wanted value for money, not just politeness.	
Feb 27 2007	Great Location	Great location. Spent a week there in February 2007. We found the angel location a short trip from anywhere in the city. THe neighborhood was intersting with great small pubs for quick meals. Staff was friendly and helpful. We had a family double, corner room. Very comfortable and large. On site restaurant a little pricy but very good food. Breakfast buffet a great deal if you get it with your room rate, lots of choice. Chapel Street marketplace a great diversion during the days. Bloomsbury, Russell Sq a short walk down ST John Street and RoseBury. Overall a nice place to stay would do it again without a second thought	
Feb 25 2007 	Leaves a Bit to be Desired	Once you reach the hotel, which takes a while as it is hidden from view from the road, it has a fairly good location in relation to the tube, about 4 blocks. The rooms were decent and clean, there is air conditioning for summer, the staff was friendly but not very knowledgeable about the surrounding area, and there is a parking lot beneath the hotel.However...1. Parking is ~ $85 USD per day (after $5 hotel discount) which is not disclosed when booking2. The fitness center is 1/2 mile away, in a shady part of town, and does not allow anyone under 18 to use the equipment or pool (also not disclosed, as we had children wanting to swim in the &quot;indoor&quot; pool)3. The hotel breakfast buffet is ~ $32 USD per person and is limited in selection4. There are no self-laundry services inside the hotelYet if you don't bring a car, don't excercise or swim, don't eat at the hotel, and don't rely on the staff for information about London, this is a reasonably good hotel for you (if you can find it).	
Feb 5 2007	Great Location Decent Hotel	I have stayed at the Hilton in Islington on 4 occassions over the years and find it to be a perfectly acceptable choice.It helps that I know the area, having lived there in the early 90s, but the hotel really does have a great location. You are 15 minutes from the heart of the West End by tube (25 minutes by bus), but should you wish for a different, less touristy experience, Upper Street has bars and restaurants to suit most tatstes and budgets.The value for money can vary enormously, and I have managed to get a deluxe room for £50 a night via Lastminute or £200 via the hotel. It certainly pays to shop around.On this visit I was upgraded to a suite, which made the £180.00 a night seem like good value, but beyond that the standard rooms are comfortable and quiet.All in all, this is a good hotel for those on business or vacation.	
Jan 4 2007 	Ok Only	For a 4 star hotel,our stay was very average.We chooze this hotel for practical reasons namely its location as its close to the emeirate stadiumn where we were going to see Arsenal play that night.For this reason it does well,but where it gets its 4 stars from i'll never Know perhaps because of its association with The Hilton tradename,it could be nothing else.The rooms wee bland and small no mini bar,and just basic in house services.The fire alarm went off at 11am the following morning for five minutes,fair enough they were doing a drill of which they had advised the night before but why not do it after check out time at 12 and an alarm ringing in you head for 5 minutes is not good.Twice housekeeping came to the door to do the room and then the porter came us to ask us if we were checking out and all before the check out time of 12,this was annoying and rude.For the price we had paid you would do far better in staying down the road in the jurys inn,islington where the service is better and the rooms cheaper.We wont be staying again!!!!!!.	
Jan 2 2007 	Weekend in London	Stayed here for a long weekend in November. Hotel was a nightmare to find as we missed the original turning and ended up on the dreaded one way streets but once we did get to the right road it was fine - won't make that mistake again!Check in was fab, staff very good and room was a pleasant surprise. Clean, comfortable and quiet. Islington was buzzing and it was nice to have a bite to eat in the nearby restaurants and bars. Hotel breakfast was fine - good choice and staff were good. Angel tube station is close by and getting into central London was easy. Would definitely stay there again	
Dec 28 2006	An Excellent 4* Hotel	The Hilton London Islington is an excellent all-round hotel. Its location is good, just off Upper Street, next to the Business Design Centre. It is a short walk from ANGEL Underground station, on the Bank Branch of the Northern Line, and there are also plenty of buses.The check-in was reasonably straightforward. The lobby area is pleasant, bright and clean.The rooms are of extremely high standard, with a lot of space, and a nice seating area. There is mineral water, wine and chocolate in the room each day. The decor is modern and the facilities are functional. The beds are comfortable, and there is air-conditioning. The bathroom is spacious, with a nice sized bath, and there are Crabtree &amp; Evelyn toiletries upon each day.The restaurant is excellent, serving an outstanding buffet breakfast, which includes a hot selection, with freshly cooked eggs, waffles and pancakes. The dinner in the restaurant is also of excellent quality. A good variety of food can be found on the menu, and is bound to suit all tastes.I would recommend this hotel for any purpose, whether business or leisure, and for any length of stay.	
Dec 17 2006	Well recommended	Booked via Hotel Connexions, my stay here was most enjoyable, especially compared to some other London hotels, reputedly 4 star! The hotel is a few minutes from the Angel tube station, with easy access to London's attractions. It is also in a fascinating part of the city, with many antique and bric-a-brac establishments near by. The room was comfortable, modern and spacious (by London standards). Breakfast did get very busy on the Saturday morning, with people having to wait for available tables. However, there was printed advice about this in the lifts, and there was certainly no problem prior to 08:30.I definitely would stay here again.	
Dec 11 2006 	Excellent Hotel	Stayed for a weekend city break with my husband and we thoroughly enjoyed it. Staff were efficient and friendly and we were upograded to a de-luxe room FOC which was a bonus. Room was spacious, modern and clean with everything we needed. Breakfast was great with a wide choice and staff were helpful and efficient. Location was superb - two minutes walk from Angel tube and ideally located for mainline stations and getting around London. We felt safe walking from station to hotel early mormning and evening when there were fewer people around &amp; there were bars and restaurants on the main street although we didn't sample these. There is also a Sainsbury's &amp; M&amp;S located nearby the hotel which is handy. Would stay again - we really enjoyed our weekend break to see the sights &amp; shops - we also combined it with a visit to a Gordon Ramsay Resuarant - Boxwood Cafe which we can also thoroughly recommend.	
Dec 3 2006 	Solid choice good value great neighborhood	I used priceline to get a bargain in London and was given the Hilton in Islington for $100/night for 7 nights. I was a bit worried about the cookie cutter large chain thing and about being in North London (would it be too far away from places I wanted to visit?)Well, no worries. It's a fine hotel, good customer service (Ben the concierge was particularly nice) clean, good amenities, and in a great neighborhood. I loved Islington and Upper Street. Lots of cafes and shops, 5 minute walk to Angel tube, walkable to St. Paul's, and just a nice neighborhoody local and not touristy feel. I really felt like a Londoner in that neighborhood, unlike anytime I got near Piccadilly, where I felt I stood out like a sore thumb.The hotel itself is cookie cutter and what you'd expect, not up to American Hilton standards but par for the course for those in London. Completely acceptable, but not remarkable, and for $100/night on priceline, I'll take it anytime.	
Nov 22 2006 	Rude Reception	We stayed here for one night with our two kids in interconnecting rooms. It was clean and resonable and breakfast was fine. Not that atmospheric, but the location in the middle of Islington suited us as we were going to a party in the evening. When it came to checking out the next morning, there were some unidentified costs on the bill. It turned out our 6 year old son had been able to access pay per view material on the TV in his room. I asked what he had been able to watch and suggested that they should have put a parental lock on the TV as they knew two children would be sleeping in the room. The receptionist, whose name I remember was Akshit, was unbelieavably rude. He said they didn't list channels on the bill as it could include pornography. When I said that I was concerned that this had been available to my young children he said this wasn't his responsibility and was extremely rude and supercilious. So ok hotel - but beware of Akshit, he ruined my stay.	
Nov 21 2006 	Great Hotel excellent location	Stayed at hotel over weekend. Hotel is in an excellent location - Islington itself has everything you need from a social perspective for bars, restaurants, coffee shops etc. It is about a £6 cab ride from Kings X or only one stop on the tube.Hotel itself is very nice and modern with everything you need. Staff were excellent, very friendly, polite and professional.We got this deal for £89 per night bed and breakfast and one night dinner. Price wise it is on par with a central LondonTravel Lodges however is heads and shoulders above in terms of quality. Have to say that this hotel will be my new preferred choice when I stay in London from now on. Highly recommended!!!	
Nov 20 2006 	Handy for the Emirates stadium	Nice clean hotel, had family room, 2 double beds and one double sofa bed. Room was fairly standard, but had lots of space. Hotel does not have any leisure facilities. Check in/out very fast and efficient. Staff were very attentive and customer focused. Breakfast is usual all-you-can-eat hot/cold food, cereals fruit, bread etc etcHotel is roughly 20mins walk to Arsenal ground, and sited close to a variety of pubs and eateries...and some nice shops too. Angel underground is right outside.	
Nov 20 2006	Great hotel excellent staff and location.	I stayed at the Hilton Islington with a friend and found the hotel to be far better than we expected. We booked a special offer whereby we got a free evening meal on the first night and full breakfast on both mornings. After arriving at the hotel late on the Friday evening, the very helpful desk staff changed our free meal to the next evening. We were not expecting them to be so accomodating.The rooms are great and very comfortable. The staff cannot be faulted and no request is too much for them.Best of all, this hotel has an excellent location, right by loads of gread restaurants and bars. Ideal for a weekend away and not much more expensive than a grotty travel lodge.Would definitely stay again.	
Nov 15 2006 	Great Value	Booked a Hilton weekend break directly through the website - great value at under £80 per room per night, including breakfast and one evening meal.Hotel fairly modern, room quite spacious and clean. Close to Angel underground station, so only a few stops to all major attractions. Islington itself on your doorstep with loads of restaurants, pubs, cinema etc.Hotel staff very friendly and helpful.If you are looking for a good mid range hotel close to the centre of London I would highly recommend.	
Oct 17 2006 	no problems here.	stayed here over the weekend, had a king non-smoking as requested. Staff was friendly and helpful (though I don't usually ask for much other than peace and quiet). Hotel was clean and no problems... it's a little bit away from the city center but an easy 5 minute walk to Angel tube station. Location is nice enough, all kinds of local shops in the area and seems very safe even late at night. Vending machines instead of minibar, which is fine with me.This hotel does not compete on luxury with many of the much nicer city-center hotels, but it's generally priced much lower and I think the value for your money here is generally good.	
Oct 9 2006 	Great Hotel	Stayed here for 2 nights, friday and saturday, 2 adults 6th and 7th October 2006. Found the hotel was brilliant. Everywhere was so clean and bright and nicely decorated. Had everything we wanted. Did not eat in the restaurant so cant comment on that as we were out and about sightseeing and eating, but did have breakfast in bed which was a real treat!! Ordered lots of things on the menu and was delivered promptly at 8.00 a.m as requested. Paid a good price for the stay through lastminute.com which included the breakfast. Will be staying here again without a doubt. Angel tube station 5 minutes down the road with all lines to all places easily accessible. The hotel is situated on the main street of Islington but you are not disturbed with any noise due to hotel being set back from the main road. Plenty of bars and restaurants in the vicinity. Only one complaint did not have a fridge in our room which would have been useful. Never mind!! Good helpful and polite staff. Would recommend.	
Sep 11 2006 	Excellent Hotel Excellent Location	We only stayed for one night but the hotel was great and the staff were helpful. We were allocated a disabled room even though neither of us were and the bathroom was huge! The bed was comfortable with lots of pillows in the wardrobe if you needed them. There was even a yoga mat if people wanted to exercise.The free breakfast was superb, with a choice of hot or cold food. The hotel is about a 10 min walk from Angel tube station and is on the Northern Line.I would definitely stay here again.	
Aug 28 2006	Trendy location	I have recently spent three nights at this Hotel with my family including my wife and three childrens aged 12, 4 , 1 booking two connecting rooms. Although I am Hilton Diamond Member they did not upgrade me to a better room due to the fact that they only have connecting doors on standard rooms. However I found the same slightly cosy but well refurbished.Reception and overall assistance on average with some good exception. I had dinner twice at the Mosaic Restaurant and in general food was acceptable but not exciting even considering the price. Also breakfast was good but due to the tight space provided you can suffer some queue with waiting time. I would rather recommend to spend time to eat elsewhere considering that the hotel is located in one of the best trendy place in London where you can taste how londoners live.But also centre of London such as Piccadilly, Regent Street and so on easibly to reach with bus and tube.In general we were satisfied of our stay and could choose once more to stay here in future.	
Jul 17 2006	Positive staff good location	Stayed five nights at this hotell first week of July during a heat wave in London. First night was a challenge because the air condition broke down, but we were given a new room next day without any problems, and the staff moved all our suitcases while we were out in London. We were two adult, one teen and one child and we were given a large family room (Hilton Club room with an extra bed). The room was clean, bath room spotless and the teen really enjoyed the big towels and the dressing gown. The staff was most helpful both with room, luggage and information for travelling around London. The hotel is located close to a busy street with many bus lines right out side the hotel and a 3 min walk from Angel tube station ideal for getting around London (take bus line 274 from Hyde park up past Regent park and through camden to Islington as a sight seeing). Although this central location, we did not experience any traffic noice because the hotel is not on the main street itself. We had breakfast in the hotel every morning and there was plenty of it. The kids were offered pancakes without asking. You can also have breakfast at one of the many small cafes and resturants immediately outside the hotel if you prefere. We had all our evening dinners outside the hotel in one of the many resturants just around the corner and enjoyed eating from a different culture cuisine every night. Apart from the air condition break down the first night, we had a very pleasant stay and we will use this hotel again for future visits to London because of its quiet location, nice staff, cleanliness and with many resturants nearby.	
Jun 28 2006	Centrally located and pleasant stay!	Stayed for 1 night on 20 June, just 10 mins walk from Angel tube station. Convenient location with lots of resturant and bars around.Check in is ok. Ask for a free upgrade because of the HHonors Gold VIP, given a Non-smoking Club room on level 1. No free breakfast, asked but said that one can only enjoy one offer at a time (1 week after the saty, received an apology from Manger about this error and promise to rectify this next time).Room is clean and spacious. Bathroom amenities just ok. Boiler, Tea, Wine complimentary. No noise at night (facing the courtyard). No swimming pool but free access to a Health Club nearby.Staff (Ben) very friendly and helpful. Internet Access at 3 pound per 15 mins.Connection to central London very easy via Waterloo or King's Cross.Shopping mall (N1) just one block away with shops like GAP, Woolworth, etc. Good choices for dining on the 2/F of the Mall, Yo Shushi, Japanese Noodle, Pub, Chinese Buffet resturant etc.	
May 29 2006 	Pleasant surprise	Spend 5 nights here in late May (business and leisure). The hotel is located 200 meters from a very convenient underground station (Angel on the Northern line which takes you to the vicinities of St Paul’s, London Bridge and London Tower), whilst Islington per se is not a tourist attraction. 10 minute 13-15 pound night cab drive from downtown or 15 minute 17-18 pound cab drive to Paddington Station (for Heathrow Express). Supermarkets, cinemas and franchise eatings (from Starbucks to Wagamama) are all nearby.The neighbourhood has many little and less expensive restaurants, shops and bars (check out Kings Theatre on 115 Upper Street with free life music every night) where you can spend your evening away from the overpriced places, the tourist crowds or the noisy and drunken youth of Soho and Leicester Sq. 15 minutes walking brings you to the British Library with its magnificent exposition of very old and illustrated books.The Hilton is a pleasant surprise if you know London hotels (I know around 10 by know). Rooms are spacious (a luxury in London) and decoration is modern. Everything looks quite new and clean and doesn’t smell (also uncommon in London). Only a few lame TV channels to keep you busy when it rains. Stuff is helpful but not going out of their way for you. Breakfast is a rip off (18£+VAT) of if you pay it apart. Better take a morning stroll and eat double the food for half the price at any nearby Café. Bathroom amenities are the minimum, ironing board in the room and quick/efficient housekeeping. Ask for a room facing backwards or the courtyard, since there are no views independently where your room is and at least you don’t get the entrance ramp noise.Overall an adequate 4 star hotel, with a honest price/service relation, like you would expect in any other European city, but since this is London, it turned out a rather pleasant surprise for its star and price category.	
May 8 2006	Good Location 	My partner, daughter and I have just returned from our weekend at the Hilton, Islington. All three of us were very happy with our experience. Our room on the third floor was very spacious, it had two double beds along with a double sofa bed. There was no mini bar, however on departing the lift there was a vending machine with the usual minibar stock of drinks and snacks. It operated by inserting your room card and making your selection. The prices were very reasonable. The food in the hotel restaurant was quite nice however service was slow. Islington is a trendy part of London and filled with fantastic restaurants where service is not a problem. It's also an area where the atmosphere is lively but relaxing. Islington houses plenty of antique shops, however bring comfortable shoes as shoe shops are practically non existant. I would recommend this hotel and this area to anyone who wants to shop in the city by day (transport links are excellent) and chill out in the evening in an area where you can feel safe. The hotel is very good value for money and I would have no hesitation in recommending it to anyone. My ten year old was impressed with both the Hilton and Islington so much so that she forgot she had brought her playstation and was happy to walk, eat, shop and not complain!!!!	
Apr 19 2006 	Great Location for London Tourism or Business	Stayed here as part of a dual pleasure and business trip. Nice, clean business type hotel up to the Hilton standard. Staff was very helpful. About a 3 minute walk from the Angel Tube station, which makes getting to anywhere in London in 10-15 minutes very easy indeed. The best part of this hotel was the location in the centre of Islington and it's many shops, bars and restaurants within an easy walk. Will stay here next time in London!	
Mar 21 2006 	I will never stay in a Hilton again	This has to be one of the worst hotels I have ever stayed in in this category. The service was shocking; I stayed 2 nights, and on both mornings was woken at the wrong time for my wake-up call (on the first day, 2 hours early). I mentioned this at reception and didn't even get an apology, but the worst thing of all was the complete rip-off regarding internet access. Any other hotel I've stayed at which offers a 24-hour in-room access rate, calculates the 24 hours from the time you first log on. Not this one.I logged on for the first time just after noon, and again for less than 5 minutes just after midnight and they charged me for 2 full days' internet use. When I queried this on check-out the manager just told me that it was clearly stated (it wasn't) and basically tough luck. There was no water or mini bar in the rooms, (mostly) unhelpful and unknowledgable staff, and the worst corridor decor I've seen in a long time. What can I say on a positive note? They didn't lose my laundry. Islington is a great part of London, and if I go back there, I would stay 5 minutes walk from this hotel at the Jury's Inn where my folks stayed and had lovely happy, smiley service. I will go out of my way to avoid any hotel in the Hilton chain again in future. God, that makes me feel better, getting this off my chest. I travel regularly for work in lots of countries around the world, and I have never been moved to write a negative review before, but this place really got my goat.	
Jan 2 2006	This is a Great Property! Will Definitely Be Back...	Got a great price of roughly 85 pounds a night over New Year's weekend. Admittedly the gold member Hilton upgrade probably didn't hurt but I came away really, really, really liking this hotel and the Islington neighborhood.Lots of little bars and restaurants and cafes in the area I think what won me over with this hotel is that it's relatively small! And ironically that was a benefit. I also stayed at this hotel planning to take an early morning from London City Airport. Worked out perfectly. You can take the Tube from Angel to Bank and change there for easily for London City Airport. For those of you looking for an early morning departure from that part of London this hotel will work for you.What did I like about the hotel? Highly efficient front desk staff (Elvio was incredibly helpful and polite) and beautiful rooms. Hotel is modern in design, great location and I was very, very pleasantly surprised by the rate I got. Room is quite luxurious and bathrooms are nice.Enjoy your stay in the Islington area. And certainly feel free to use this hotel as your home while visiting any part of London.	
Aug 22 2005	A good base for a weekend in London	The Hilton is located just off the main street of Islington (Upper Street) by the British Design Centre. The nearest tube/metro stop is Angel (Northern Line) which is about a five minute walk from the hotel. Islington is a bustling part of London, and Upper Street has a great choice of shops, bars and restaurants, which you really should take the opportunity of enjoying rather than limiting yourself to the Hotel's restaurant and room service.The Hilton is undergoing refurbishment at the moment, BUT, unlike other london hotels, there is limited noise, and a lot of care from staff to ensure you have a good stay. Rooms are nice, and if you are lucky enough to be given a room on the 2nd Floor, (non-smoking only) these have just been refurbished and updated with more modern day furniture akin to that of the Executive Floors at the Hilton London Gatwick. Rooms feature all the things you would expect from Hilton. Rooms are air condtioned, but sadly, you cannot open the windows in your room for fresh air, which is a bit disappointing. Like the last reviewer, room service breakfast whilst nice, is cold by the time it gets to you, which is a shame really - as it is quite good. I didn't eat at the restaurant, but the service looked slow, and the food not that appetising, do yourself and your wallet a favour and take a walk into Islington.All in all a good hotel at a good price, would stay again!	
Aug 18 2005	Nice modern hotel in great area		
Jul 30 2005	Good Location		
Jul 13 2005	nice hotel great area 3 stars		
Apr 22 2005 	Recommend		
Apr 6 2005 	Good value for London		
Feb 28 2005	Good Option for North London		
