	Excellent Hotel in a great location	After much research I chose to stay at the K&amp;K while in London on business and sightseeing and I was not disappointed. The location is roughly 150 yards from the Earl's Court tube station. I relied heavily on mass transportation on this trip. The ExCel convention center is a bit of a trip and takes a little over an hour to reach but the South Kensington area is so much nice than the area around ExCel. I also used the train system for a number of trips to meet with clients. The connections into Victoria and several other stations were all very easy from the Earl's Court tube station.It is quiet. The hotel is a block off the main drag. In addition, you can get a room that overlooks a courtyard. There was minimal noise from the city or from within the hotel.The room was small (typical for Europe) but well designed. The internet was free (although they do not have wifi to all rooms so you may need to connect via cable).The bed was comfortable and the bedding new.The bath is well designed with plenty of light.The staff was very attentive. We were on their case early as a package had not arrived as scheduled. They dealt with our concerns professionally and notified us promptly when it arrived. When they learned that we were also scheduled to stay at a sister hotel in Paris they phoned ahead, confirming our reservation and ensuring that we were well cared for. A class act!I really enjoy the hotel location. There are a wide range of restaurants just a few feet from the hotel. We did not use the restaurant at the hotel but it looked clean and was very active in the mornings.I will stay at this at the Hotel George again.	
Aug 1 2007 	Clean functional great hotel	I was really impressed with the hotel because I was expecting a really small room (as I have heard is the case in London). The room was small but comfortable, everything was really clean, and the staff were helpful. Definite perks were proximity to the Earl's Court tube station (literally just around the corner) as well as food places (Addie's Thai House was delicious). I booked it because it Earl's Court is on the Picadilly line with straight service to Heathrow in about 45mins and I had an early morning flight. Worked out really well. Easy to get into the city to see the sights because District line runs through Earl's Court as well! Overall great experience and I would definitely stay here again.	
Jul 29 2007 	Great Stay	I stayed two nights with my wife on the sixth floor. The room was quite clean and elegant with a nice view from a big window, though the room was not so big.Breakfast included was very good, and you can also enjoy a nice view of an English garden from the restaurant.Staffs were very kind and professional.The location was also very convenient, 3 min walk from a station.For those who like a comact, sophisticated hotel, not mega-room hotel, I strongly recommend K+K Hotel George. This is one of the best hotels I have ever stayed.	
Jul 22 2007 	Nice but just okay	I travelled with my husband and 15 year old. We have stayed in London before and was quite surprised how small the room was even though we upgraded to an executive room. We were quite cramped and there was not enough storage space. The bathroom was extremely small and again not enough storage space. The furniture was fine and as others have said IKEA like and was comfortable. At times the staff did seem rude and hardly spoke English which at times made things difficult for us. However we did encounter one very friendly fellow, Paulo, the cat who hangs out in the gardens. We found the breakfast staff to be the rudest of all. If you asked for something you were ignored or made to fell they were doing you a big favor. The location was perfect. A quick walk to the tube, KFC, Nandos, Chinese food and Sainbury's (a great small grocery store).Overall I was happy with how clean the hotel was along with the location. I won't stay here again as I believe the hotel is way over priced and the staff rude.	
Jul 13 2007 	Over price over rated hotel	Our stay at the hotel was a nightmare through and through. The reception staff was unorganized, rude, had little knowledge of English and offered us no help when asked about sites and transportation in London. What is more, the hotel is pricy, not worth its cost. Cleaning crews were anything but thorough (our beds were hardly ever made and the bathrooms were not clean). In the end, my stay cost me much more than just room and board. If you do not want your stay in London to be absolutely dreadful, do NOT stay at the kk George Hotel	
Jul 9 2007	What more needs to be said? Great Place!	I stayed here for about 10 days, when I first arrived in London, and then on my way home after traveling to Scotland and Cambridge. You learn to appreciate the K+K when you are away. As noted by numerous reviewers, the breakfast is fantastic. Coffee is hard to come by, only because so many people are staying in the hotel. I was so shocked my first breakfast, as the floors are so quiet, you wonder if you are one of the only guests. I miss my K+K breakfast! Where is my Daily Mail or the Sun newspaper? Where are my unlimited chocolate croissants? They even serve champagne.I spent some time reading in the garden, and loved the serenity. Some construction is on-going next to the hotel, which can be problematic for the week days and those with jet lag, but dry weekends are lovely. The location is great, as Earl's Court is very accessible. It is only a few minutes away from the Victoria and Albert museum (which is fantastic and should be near the top of your list to visit). The neighborhood can be a bit sketchy, but nothing this lone female traveler could not handle. A Starbucks is across the alleyway. I found an excellent Pakistani restaurant with great chicken tikka pitas. I rather enjoyed my encounter with a guy who looked like he was right out of the Charles Dickens’s novel. It was part of the London experience. Wouldn't have been the same without him.The room itself is typically small, but no complaints here. The room includes free internet, large closets, minibar with fridge, free tea, counter space in the bathroom, high water pressure, constant water temperature, a view of the garden and large trees. Did I mention it was very clean? The remote control on the TV didn't work, but I didn't mind. I was out and about all day. The bed is hard, but includes 2 pillows and a down duvet. I’m sure if you don’t like the bed pressure, the staff would accommodate you.The hotel itself is beautiful and seems very historic. I reserved a car to go to Heathrow, and it is 35 pounds flat fee. I could have easily taken the underground, as it is a 2 minute walk from Earl's court, but I had too much luggage to deal with.I highly recommend this hotel. You will not be disappointed. The location, staff, room, ambiance are wonderful.	
Jul 8 2007 	Nice hotel for family	Took my wife and 15 year old to London for 9 days. Was impressed by the size of the room with the 3 beds. Very quiet and well located. We really enjoyed the &quot;backyard&quot; terrace at the end of a day of sightseeing. It was a great place to sit and have a drink and talk about our day. Charming Place that was clean. Only downsides were that the beds were hard, and the staff was not very friendly.	
Jul 8 2007 	Nice hotel Perfect Location.	It is a solid four stars hotel for sure.Checking in was smooth, we were whisked to our rooms in mins. The garden was a nice touch to the breakfast room it had nice views.The hotel provides free Internet in their business center. There are five station that can be used WITH printing facility. a Huge plus.Rooms were of good size, well furnished, and looks pretty new. The bathroom was small but was clean and well proportioned. The hotel is located in a quite area; but near Earls Court Underground Station which has links to Central, District and Piccadilly lines. It was 2 mins walk to the hotel. near the station there are a wealth of places to eat like Mac, KFC, Nando's and Subway.Breakfast was included in our rate and very good to me it was second to Hilton's!!I loved the K + K and worths EVERY Penny.	
Jul 7 2007 	Tiny room	We stayed here last year in a ground floor double - the only double on the ground floor. Our room was not huge but it was decently sized. On our return this year, we were given an extremely tiny room on the second floor (ground floor room was unavailable). We barely had space to turn around and the bathroom was even smaller. This hotel is in such a great location, and the staff is great, but it appears that the room sizes (not the prices for a double) vary a lot! We were booked for 5 days and after one night we paid for an upgrade. I would not go back unless I could get that ground floor room.	
Jul 1 2007 	Loved it - and so did the guests I needed to impress!!	Well, the hotel is GORGEOUS looking on the outside and has a beautiful lobby. Awesome free tea (I'm a big tea-swiller). Inside, it's ver VERY clean and the rooms are light and airy - very IKEA-ish in their furniture i.e. light wood and stylish - seems to be renewable resources e.g. bamboo. It's AIR-CONDITIONED. Anyone staying in Londond in sweltering heat knows how important that is. Passages leading to room are narrow but you don't live in the passages... rooms are BIG and bed is BIG and comfy. Breakfast is AWESOME. It's buffet and it's included - best selection I've seen anywhere outside the 6-star Zurich hotel. I'd say the breakfast alone makes it worth it. Museli, fresh fruit, bangers and mash, scrambled and poached eggs, cereal, milk, bread/jam/honey/cheese/butter and lots of fruit juice...It's hearty and tastes good. I have serious dust and smoke allergies - had NO problems at the hotel. Located next to Earl's court - which is a central hub.. so really great for touring or business. M&amp;S down the road... staff was very helpful and friendly. One glitch - they didn't have our room ready when we got there (flight was a little early)... so it was a bit of a wait. Frankly, some people who came after us seemed to get rooms before we did....we waited for one hour after check-out and still didn't get a room until a different desk-clerk arrived. It might have been a co-incidence but then again, who knows? Also, our bath mat (i.e. the rubber thing in the bathtub) disappeared after day 1 and never reappeared again despite repeated requests. Bath mat was a little important because I was travelling with elderly guests and they needed the traction. i WOULD stay at this hotel again - after making sure I remind the staff that last time I had to wait. For what you get out of staying there, I'd say it's the best hotel in London.	
Jun 28 2007 	Beautiful Rooms Pleasant Staff Convenient Location	I traveled with two teenagers. We shared a room with 2 double beds. The room, linens, bathrooms were immaculate. The bathrooms were very modern. Linens luxurious. Although not located in &quot;center&quot; of things, the Earls Court tube station is right around the corner allowing easy access to anything in London. It appeared that Earl's Court was a middle class neighborhood. We did not care for the breakfast buffet - very expensive for what was offered, but there are plenty of bakeries &amp; fast food places nearby, and if you are getting on the tube first thing you can get breakfast anywhere with ease.	
Jun 26 2007 	Wonderful hotel	This is a great hotel for the traveler wanting to see the city and not the hotel room. Felt secure as a lone woman traveler. Close to tube station Earl's Court. My room looked out on the garden in the back. Almost tropical! Would definitely stay there again.Front desk staff always courteous and helpful.Leaving before breakfast? They'll picnic pack one for you.	
Jun 26 2007	solid 3 stars	I stayed here in mid May 2007 after reading all the favorable reviews. TripAdvisor is incredible for travel planning and I thought I'd reciprocate and contribute some thoughts.I'd describe the double room I had as okay. Maybe worn-out Ikea with a much nicer bathroom. The bathroom shower is designed so that you have to conserve water usage, which was pretty ingenious.PROS:- Located a block and a half away from the Earl’s Court tube. Easy access to and from Heathrow, and two tube lines, Piccadilly and District, make for very easy access to the rest of the city.- Plenty of reliable cheap eats in the neighborhood (Wagamama, Mazala Zone, Gourmet Burger Kitchen, etc.)- 5 free internet stations in the hotel - very handy- Hotel clerks were friendly and helpfulCONS:- The bed was rock-hard. - Location. The Earl’s Court tube location is very convenient but it also can, as another reviewer just mentioned, make for quite a lot of travel if you’re in London to tour the sites. If I had to stay in the same general area next time I might go back to the K+K, depending on the rate, but I'd probably try harder to get a hotel near the S. Kensington tube stop. As a sidenote, when I first alighted from Earl's Court tube station the first thing I saw was a Knife Surrender Bin, which was a little alarming! But really the area didn't seem dodgy.- I disliked having to surrender my keycard to the front desk and retrieve it every time I exit and return. The main reason is lack of security, as all you do is call out your room number and the hotel clerk (different person almost every time) hands you the keycard without verifying your identity. Also, did anyone else here find the K+K’s keycard system weird?- If breakfast is not included in your rate don’t bother. It’s plentiful but that’s about it.One more thing. This is not at all the hotel's fault, but some serious building construction is happening, looks like just starting, next to the hotel (the northwest corner, I think). My room happened to face this area, and when I returned one afternoon for a quick nap the noise was horrible. But most people are out touring the whole day so this isn't a big problem. Overall, I would stay here again if I got a rate at or under $200 and if my main business or activities were concentrated in the area.	
Jun 25 2007	Great London Hotel at a good price	We stayed at this hotel 6/19-25/07. We chose it because of the great reviews on Trip Advisor, and we were not disappointed. The hotel was clean and modern. The room was small, but that is the rule in European city hotels. We found it quite comfortable. The bathroom was beautiful marble throughout. The room set up made quite efficient use of the available space. We had a garden view double room on the third floor. Lovely view. Great buffet breakfast, although our room rate did not include it and it was 12 GBP per person, so we only ate there the last day.The hotel was in a very convenient location and a relatively nice area with easy tube access and restaurants.Staff was very friendly and helpful. I would definitely stay here again.	
Jun 24 2007 	Perfect stay for our family with teens!	We looked all over London and could not find anything half way reasonable for a family of 4 with teenagers. We were very pleased with this hotel, as it was very clean, the rooms were small but nicely kept, and the staff was wonderful. The hotel was also very easy to get to from London Heathrow, as all we did was take the Tube to Earls Court, and walk 1.5 blocks with luggage to the hotel. It was so easy! Then the Tube took us to all of our London sites within minutes and it was easy all three days we were there. While the location was not super high end, it was perfect for us and we felt more than fine at night or during the day.The rooms were efficient and clean. Ours over-looked the rear garden and we slept with our windows open for fresh air. We did not smell any cigarette smoke at all (a rare thing in Europe) in our rooms, but there was smoking in the bar area in the lobby. (This is changing in July, 2007 when smoking is not allowed in London bars and hotels). The beds were very comfortable and the room was made up daily. Each morning, a full English breakfast was served (included in our room) and there was a ton of good food to choose from. There was also a very nice internet center with multiple computers.	
Jun 19 2007	a likeable spot	We booked 4 nites into the Hotel George early in June -- in part because of the good reviews on tripadvisor. Overall, our stay was perfectly pleasant. The room -- a double -- was hardly large, but suited us fine, and looked out on the hotel's lovely back garden (ask for that view!). Bathroom clean, lots of hot water, modern fixtures (kind of a struggle to deal with shower's half-door, though, and water ended up on the floor every time). Didn't use the TV so don't know how good it was or what channels you could get, nor the mini-bar but there was one. In general, we thought the room was fairly spare, and I think that was an intended design theme. But it was quiet and we slept well.The hotel breakfast buffet was included in our rate and was fine, but certainly not an outstanding spread. We don't eat large breakfasts so a lot of the stuff was probably wasted on us. Nice bar, and useful internet access throughout the hotel. Front desk and other staff were always pleasant and helpful. The K&amp;K George, from our point of view , is certainly a professional, well-run place, and you probably can't go wrong booking here as long as you can find a discount and don;t try to cram a family into your room.The downside is the location...but not for reasons of being a dodgy area. We liked the Earl's Court area just fine. It's not fancy and it has more of a middle-class working person's London feel to it. We liked walking around the neighborhood and even ate there one night. Lots of services, and the subway stop will take you any where. But we would have preferred a more central location, at least for this trip. So be warned: Yes, the tube is very convenient to the George, but if you go out all day sightseeing or shopping and then want to come back before a night on the town, it can make for a lot of travel.	
Jun 19 2007 	a little disappointed after the great ratings but it was okay	We picked this hotel because of the great ratings on TripAdvisor - it was rated number 37 overall in all of London. Because of that rating and high expectations, I was a bit underwhelmed by it. Bad things first:1. NOISY AS HELL... I had people who were just talking in their bedroom above me until 1 am, and I could hear every single word. They weren't being noisy or obnoxious; and when they simply walked across the room it sounded like a troup of elephants. Tried turning on the TV for some white noise and it didn't work. A/C didn't work and room was starting to boil. Desperate for some sleep after being jetlagged, I finally called downstairs and asked the manager if there was anything that they could do to help. In their defense, see the &quot;Good things&quot; section.2. Location - was okay, but not THAT great. Close to tube, true. There were some few cool restaurants within a block or four. That was about it - not much else to see/do in this immediate area. 3. Room - my room overlooking the garden was okay; but the twin room my mom and sister had to share was not worth the price - had half-windows at the top of the room so couldn't even look out of them, and was small and crowded.Good things:1. When I did have a problem, they were very good about trying to resolve it. The very nice Scottish gentleman who was the nightman on duty was very brave about confronting a hysterical sleep-deprived woman at 1am, and solved all of my problems on the spot - fixed the TV, fixed the A/C, then went upstairs and told the people above me to go to bed - and it worked! All in a very professional manner. 2. Internet access - GREAT.... they have FIVE FREE internet terminals set up just for their customers.3. Customer Service - the staff all tried to be very helpful when possible, although they didn't have a true concierge on staff - not much to go on as far as recommending restaurants, etc.4. The breakfast was a very nice addition.All in all, though, I probably wouldn't bother staying there again. It didn't come across to me as somewhere I would ever make my &quot;home away from home&quot;. And I didn't think the price was that great - 125 GBP/night can still get you some pretty nice hotels in London in better spots.	
Jun 14 2007	Very good hotel; great location	Overall, this is a great place to stay. Already had a room booked a few blocks away but got a last minute e-mail from a travel site with a deal through Expedia for this hotel for $180 US / night.Positives - quiet location; clean hotel and rooms; looks good; new bathroom, hot water flows, nice TV; good size bed (I'm 6 ft. 4) - think it was an American queen size (not 2 beds pushed together). Nice lobby and bar; have 4 computers with printers and free internet access downstairs. Fitness center is not open as of May 31 - another month they said.It's a safe and clean area day or night; a 3 minute walk to the Earls Court tube station (10 minutes into downtown London; a 45 minute ride, direct route, to Heathrow on the Picadilly line for 4 pounds); many restaurants on Earls Court Road - not just English fare but Italian, Indian, Thai, etc.; Starbucks and other coffee shops; pubs; grocery and convenience stores.Negatives - room on the small side but it is well organized; bed was too hard; bathroom didn't have a fan. That's it.Definitely would stay here again, especially if I could get the room for under $200 US dollars a night.	
Jun 12 2007 	Expensive but average in convenient but downbeat area	Room stylish but very cramped, glass wardrobe door and mirror quite badly cracked. Good large bed, but TV has limited channels and no BBC Radio 4. Can use fridge to chill your own drinks. Large doors opened onto shared balcony, but could not leave open for security, and no other opening window. Air con feeble. Buffet breakfast fairly good, though hot food indifferent eg hard poached eggs, poor sausage. Coffee excellent when you could get it. Very pleasant gardens available to all guests. Very close to excellent tube links. Good restaurants 5-10 minutes away, handy local shops open late, but area pretty mixed with vagrants and transient cheap hotels/hostels and bedsits in evidence, though probably fairly safe. It isn't posh. Overall pretty average in a convenient but downbeat area, with ambitious pricing whichever way you book.	
Jun 9 2007 	Nice neighborhood helpful staff close to tube	The hotel exceeded my expectations for the price. It is close to a tube stop, in a nice neighborhood close enough to the center of town, and was very clean and nicely appointed. The staff recommended great restaurants each night, all within 4 blocks of the hotel. I would absolutely stay there again. And for internet junkies, there are five computers for guest use, including a few printers to print your boarding pass or whatever else. Although pricey (like all food in London) the hotel buffet breakfast was great. We were there during a rainy period but there is a small garden in the back where you could have breakfast or tea if the weather was right.	
Jun 8 2007 	We loved our stay!	Excellent experience. We were given an upgraded room with twin beds rather than the double requested. They would have changed it but the double room was considerable smaller. The staff could not have been more helpful. The hotel is modern, clean and has 5 computers with free internet access available to guests at all times. The room was small but well-designed with places for everything out of site. The bathroom was the best on our trip with a great shower, wonderful soap and towels. A full English breakfast buffet was available each day from 6:30 or 7 to 11:00 or 11:30, with unlimited coffee, allowing for welcome leisure in the morning before a full day of touring. The location is excellent, several minutes walk to a very convenient tube station.Very comfortable bar and lounge. There was a small area in the lobby for smokers but that was a minor inconvenience. We would definitely stay here again!	
Jun 5 2007 	Very pleaseant stay	George Hotelvery nice hotel - stayed in a triple and their was plenty of room - location was 1 block of the earls court underground station.- nice area good breakfast - over all a friendly staff.-very please traveler	
May 29 2007 	A very pleasant stay	Stayed at the Hotel George in late April 2007 for a conference at Earls Court. Excellent location for this purpose. Took the Underground from Heathrow and walked 2 mins to hotel. Had a business meeting one early evening in the bar; a decent but smoky setting. Breakfast was included in my rate; it was OK but I had a hard time distinguishing some buffet items--was fine with the basics. Hotel staff was very good. Had wired Internet in the room and the hotel has many computers on the basement floor for connecting to the web. Definitely would recommend it especially if you are OK traveling by The Tube around London.	
May 28 2007 	Best Breakfast of the trip	The K &amp; K George is a lovely hotel but we must have had the smallest room. The furnishings were ordinary in the room. The hotel reception, bar, and internet services were very good. Staff helpful. Breakfast was really, really good with a top notch selection. We would stay here again but only if we could get a bigger room.	
May 27 2007 	Really Nice!!	While we booked this hotel primarily to be near the Picadilly tube line for Heathrow access, it certainly lived up to all the great reviews on here! The staff was very friendly and helpful.Though the room we had was quite small, it was well appointed and the bed was very comfy. Loved the ultra modern bathroom;the strong shower was lovely after a long day of walking and sight-seeing!If i had to find anything at all to quibble about it might be the rather odd door key system--we found it difficult to navigate, and each time it took us several minutes to get into the room.Other than that.. it was great!	
May 19 2007 	Great location	K+K is in a great location, very close to the Earl's Court train station and a variety of restaurants. It is on a very pretty, quiet street. The room was nice, but very small, as expected in London. The view from the room was quite pretty. The hotel staff was very nice. The remote control and heater in my room were broked, and they sent someone up right away. The remote was fixed but they had to give me a portable heater with the promise that the heat would be fixed the next day.This trip was for pleasure and I would definitely stay again for this reason. The value for the money was good. If I was traveling for business, I prefer to stay in a more modern hotel with more amenities.	
May 18 2007 	Great!	Just such a great hotell. Sure, small rooms but thats London. We will certanly return to this hotell and recomend it to others.	
May 18 2007	Good Hotel - Would definately Recommend	My wife and I booked 3 nights at this hotel via Expedia with a great rate of approx $150/night. It's located away from the city central area, but it's just around the corner from the Earl's Court tube station (lke 2 blocks). We arrived via Healthrow and took the tube directly to Earl's Court without problems. The neighborhood is more residential and reminded us of like neighborhoods here in Chicago. Mostly, younger, up and coming. There are several resturants, bars, coffee shops, grocery shops in the area. We also found a laundrymat just around the corner on Earl's Court road. Nice. Hotel staff was pleasant and helpful with directions and recommendations. We requested and received a room on a high floor facing the garden in the rear. The room was very clean and quiet, but also very small. The bathroom was very small but they were still able to provide all the essentials, including some nice soaps and shampoos, ect. The room had sufficient storage for bags and such, there's a mini bar with a mini room safe (we used the latter, not the former) within the TV stand. The double bed we requested was actually two twins shoved together. We weren't thrilled with this but really liked the room location and the beds were comfortable so decided to stay in that room anyway. There is an internet station located in the basement with free access and free printing -- a really nice addition for travelers and we were able to print our boarding passes for the flight out as well as book additional hotels from that location. Very nice. There's also another station located in the lobby off the bar, but of course is not as private. We didn't eat at the hotel so can't comment on food, although we did retire with a drink there everynight which was very nice. Overall, would definately recomment the K+K Hotel George.	
May 16 2007 	Wonderful Hotel	We spent this past weekend (11-13 May) at the K+K George. The staff were very professional and friendly. The room, while on the small side, was very clean with everything that we needed. We stayed in a standard double room. The breakfast in the morning was excellent-large amount of choice. There is also a well stocked bar. The tube station is very close-there is also a Sommerfield on Earl's Court Road with a large Tesco about a 10 minute walk away. We both felt safe in the area surrounding the hotel. The only downside was the temperature of the room. Even though the weekend was not warm, we had to open up the windows. We would stay there again. It is very good value for money.	
May 16 2007 	Excellent for Earls Court	I booked an executive double and my sister booked a standard twin for Saturday night (we went to see Roger Waters and Nick Mason of Pink Floyd perform Dark Side of the Moon, which was terrific). I was pleasantly surprised by how close to the Earls Court Olympia the hotel is, and that it was nevertheless in a fairly quiet area.We parked on the street (free on Sunday). Next to the hotel is a building site (was this once a car park?). I don't know where the nearest car park is, but there seems no parking problem at the weekend. The hotel staff are friendly and they upgraded my sister's room which was a nice touch. The (executive) rooms were very good, clean and bright; everything worked including the internet access for my laptop.I would be happy to stay at the K &amp; K Hotel George again as a base for the Hammersmith area.	
May 16 2007 	Great location and comfy rooms	I stayed at the K&amp;K george with my wife and spent 5 nites (10~15 may 2007) there. We both felt it was very good and very good value for money. Rooms are quiet and spaciuos, well above london standards, the location is great just 2 minutes walking from the tube, and breakfast was good and served until 11 PM!!! The hotel is all wi-fi with connections in each room. Reccomended for couples and biz trips alike.Enrico M.M.	
May 7 2007 	Highly Recommended	Stayed at the K &amp; K London for three nights on a girls weekend. We were extremely impressed. The hotel staff were very helpful and pleasant, recommending tours and restaurants. The breakfast is great, a full hot and cold buffet with lots of choice and open til 11.30 am at the weekend. The room was very clean and well serviced, great shower in the marble bathroom, the room was slightly on the small side maybe for some but we found it fine. Very comfy duvets on the beds. Internet lounge was great. The bar was lovely and a served a good selection of food and drink. It was great to come back to a nice hotel at the end of the day or night.The area is a little dodgy, some nice restaurants, give the bars on earls court road a miss. The hotel is 2 mins from the tube so no problem with going anywhere you want.Overall , I will definately be staying at the K &amp; K again.	
Apr 17 2007 	What a fantastic place!	The K &amp; K George surpassed our expectations! The staff was extremely helpful when we arrived. We were greeted with a complimentary drink at the hotel bar. Our room was comfortable and very clean, it also overlooked the beautiful garden. The staff was able to direct us to an excellent restaurant within walking distance and also gave us a card for a 20% discount on the entire meal. We enjoyed the food so much we went back to the Strada on our last night in London. The hotel has internet access and we were able to print our boarding passes for our flight home, what an added plus. We enjoyed the garden, the lounge, the breakfast buffet, the pleasant atmosphere, and most of all the friendly staff. What a fantastic trip to London,the K &amp; K would be the place we would stay again! You won't be disappointed.	
Apr 12 2007 	Would stay here again	My husband and I booked this hotel based on the reviews that we read on this site. We were very pleased with our experience. The hotel islocated on a quiet street in a quaint neighborhood. We were not closeto any of the big tourist attractions, but we were a very short walk from the Tube which can take you anywhere.Our hotel room was clean with a nice view of a garden. The room is small, but there are enough shelves, closets, tables, and hooks that we managed to find somewhere to store everything. There are several computers in the lower level of the hotel, so we were able to connect to the Internet as needed.I can only think of 2 negatives. First, our room was a little warm and the air conditioning was pitiful. However, we just opened our windows to the cool spring air outside, and everything was fine. I am not sure if this would be a bigger problem in the warmer summer months. Second, we realized after we got there that our rate did not include the breakfast buffet. This was not a big deal since there areplenty of little bakeries right down the street, but keep this in mind when you are booking your stay.Overall, we would definitely stay here again. Enjoy!	
Apr 6 2007 	Good Hotel - Pity about the Car Park	Booked a three night stay because they had a car park - a rarity in London. I telephoned the day before travel to confirm a parking place but was told it was on a &quot;first come, first served&quot; basis - fair enough. Was told that there WAS a disabled space (just one, mind you).On arrival the next day, we found the car park filled with a large crane and a notice stating Car Park Closed. Apparently the car park had closed the day before (the day I telephoned)! Although the builders were quite helpful and offered me a spare place in the car park, the Hotel staff would not co-operate and I ended up parking over a mile away in a Homebase car park at the cost of £15 per day.We would have traveled by train if we had known about the closure. However, apart from that glitch, the Hotel and staff were quite superb.The Hotel itself is decorated and furnished in what can only be called the &quot;minimalist style&quot; - not to my liking but very effective and no expense has been spared. A pleasant bar and lounge - though rather small. All furnishing looked brand new.The Breakfast is what EVERY hotel should aspire too!!! Open for four hours, The choice was FANTASTIC - cooked English, continental, American, unlimited coffee and tea, fruit juices - everything you could possibly want for Breakfast!Every member of staff greeted us pleasantly, with the Reception staff wishing us a pleasant day when going out and enquiring on our day when returning.All rooms were spotlessly clean.Free Internet and wifi connection.Highly recommended.	
Apr 5 2007 	Perfect Stay	Found this classy, detailed hotel in quiet, Earl's Court part of London on TripAdvisor and booked based on strength of reviews. Was absolutely not disappointed. Had a standard double occupancy room with two twins (though US visitors should know - this generally always means they'll still be pushed together) and lots of nice touches. The room was very compact - not so much small. Space for all you needed but every inch of space used. High-end linens, Nice marble and porcelain in the bath room with the UK delight - a towel warmer. (These are everywhere in the UK). Staff was classy and polite while not doting. Initially got to the hotel about 11:20am, were ging to store luggage but by the time we &quot;freshened up&quot; and got ready to drop bags - - the room was ready. The breakfast was nice and not expensive for the options. The garden or back yard as we say in the States is lovely. Green, leafy and would be a delight in the Spring/Summer. Location is excellent! Just off the District/Circle lines and 2 blocks to the Underground Station at Earl's Court. You can be in the thick of things in Westminster or Regent St. with a quick change to the Bakerloo off of the District and Circle - the location truly can't be beat. We had high-speed ethernet based internet at no charge in our room and wireless internet always available in the lobby - speeds in both were very fast, much faster than common broadband speeds in the states (as is also a trend across europe.) Overall - a great stay in a great hotel, would LOVE to stay again.	
Apr 4 2007 	Excellent value convenient for tourists	Hotel George is conveniently located about a three minute walk from the Earl's Court Tube station, a major transit hub for London and one of the first stops near central London if you take the tube from Heathrow. The convenience of the tube from Heathrow can be a significant savings in airport transit. Earl's Court station is about 5 stops from the West End entertainment area and major London landmarks. This is close enough for most value-conscious tourists. It can be a bit too far from business districts for business travelers.The Hotel is far enough from Earl's Court Road to be rather quiet, yet close to many restaurants and services. It is especially convenient if you are attending an event at the Earl's Court Centre.The hotel itself is very clean. The lobby and my room were modern and fresh while the exterior is newly white-washed historic Georgian. The room was rather small, but neatly appointed. There is a beautiful garden in back if you have time to linger.I found the hotel an excellent value. A few more square feet in the room and it would have been an easy &quot;5.&quot;	
Apr 4 2007	Awesome hotel	We stayed at the K &amp; K Hotel George for 5 nights in Mar 07. I can't think of anything at all that was wrong with this hotel. From the time we checked in to check out we were very pleased with all aspects of our stay. The staff , from the front desk to the housekeepers were all very friendly and helpful. We had a corner room on the 3rd floor that was very quiet , clean and peaceful. The best surprise was the complimentry use of 4 computers which came in handy when we needed to print our boarding passes for the trip home. Another plus was the complimentry breakfast each morning, it was very nicely presented and delicious. I would very highly recommend this hotel to anyone looking for a comfortable and reasonable hotel. This hotel is only a 2 minute walk to the Earls Court tube station.On my next trip to London, I look forward to staying at the K &amp; K Hotel George again. Enjoy ! !	
Apr 3 2007	Not terrible but I wouldn't return	It's not that the Hotel George is a place I'd avoid, and if someone else booked me a room there, I'd stay. But I just don't see any reason to return.The room was decent and clean if starting to age a bit. I couldn't get the free wireless access to work (it kept insisting I give it a password and the front desk kept insisting a password wasn't needed), but the LAN cable worked fine.The service was less than stellar, however. My bathroom didn't have soap when I arrived and it took 2 calls and 3 hours to get some delivered.I don't know if it was an isolated incident, but the hotel was without hot water for several hours. It was fixed by the next morning.	
Mar 31 2007	Wow! What a great hotel!	My wife and I stayed at this hotel for 4 nights during a tourist stop in London. We cashed in some airline miles to pay for the hotel, and it was well worth it. The only negative to this hotel was the small room size, which is to be expected in the UK, and there was only one extremely small working elevator. Everything else was fantastic. The room was very clean, nice simple furniture. We had a room looking over the quaint courtyard in the back of the hotel. The AC was very quiet. The staff was courteous and helpful. The location was great, just a block from the Earl's Court Underground station, and a block from dozens of good restaurants. Our hotel stay included breakfast, which was amazing. The buffet included everything from champaign to you standard sausage and eggs. And the hours were very accommodating. Great way to start a long day of sight seeing. I am looking forward to staying at the K+K again during my next visit to London.	
Mar 26 2007 	2nd Stay as great as our First....	Once again, we ran over to London for about 5 days -- it was our anniversary this time. No question as to where to stay -- Hotel George. Always friendly, neat and clean, and just love the breakfast buffet. With the Earl's Court tube stop around the corner, it's so easy &quot;to do London&quot;. Will stay here again and again and again..............	
Mar 22 2007 	Good value! Recommended!	I booked this hotel is because I found all the accolade at here! and now I can say, I will surely go back to it when I visit London again. The first impression when I step in is that the lobby is modern and clean, and the staffs are most friendly and helpful. The room is small, but new furnished! and looks very safe! The bathroom looks bright new as well. There are free internet access in the room. The breakfast is also great.Considering the value, I really recommend it if you are searching for a 100 pounds per night accomodation in London.	
