	overpriced/overrated	We booked a theatre package which recommended this ( 4 Star hotel !) My sisters &amp; myself were looking forward to a relaxing birthday celebration.The first thing was one of our rooms was still not ready at 4pm then we discovered one was considerably smaller &amp; very dark we asked for another room but were told there were no more to be had. we could not get a seat or meal in the hotel on Saturday as there are no facilities for paying guests over the general public the only thing we were told to do was order room service ! considering the overpriced rate of this hotel we wondered what facilities we were paying for. Breakfast was good but we were kept waiting for a table each morning &amp; the dinning room was very cold, on complaining we were ignored..staff we very abrupt and rude On our last day we tried to get a meal before leaving only to be told they had run out of food &amp; the kitchen was closed ! we have travelled &amp; lived abroad for several years &amp; I can honestly say this is the most dismissive disorganised overpriced hotel we have had the misfortune to stay in . because they have a captive audience due to location (which is very good),pride in a job well done along with standards &amp; quality are sadly lacking (watch out for the same standard reply from the hotel)	
Dec 8 2008 	Nice hotel in perfect location	Having a special voucher to stay in either a Radisson or Park Plaza hotel for free I spent much time trawling through various reviews on Trip Advisor and seeing a)which ones I could get availible b) if they sounded any good.Upon reading about this hotel I decided to book this based on location but was a little worried about some of the reviews.I booked a king deluxe room and have to say I was impressed not only by the location but also by the room. In fairness if you want a massive spacey room then don't stay here but the king deluxe room does the job. Its cosy, its warm and the bed is very comfy. I found the room clean and there was NO noise from outside despite the fact there are bars and a show opposite.The location is amazing, walking distance from all the shows, covent garden and leicester square. The staff were all very friendly and to be honest I couldnt have asked for more!I have stayed in many hotels in london and am a big fan of the city inn westminster but this hotel based on location alone could steal that crown.	
Nov 24 2008 	Location great but	Stayed Saturday night as we were going to theatre and impossible to return late at night by train to home. Did think of staying at our usual place in Kings Cross (when using Eurostar).Thought we would treat ourselves to a bit of luxury in dismal November. What a disappointment. The location is great, we walked from Kings Cross, walked to theatre and Oxford Street. First time in London we have never used the tube. However, room was a let down. As soon as we entered I felt my spirits fall. I don't expect a huge room in a hotel in London, so no complaints about the small room. It was the decor, drab, nylon fur bed throw in brown with a mustard colour underside. Faded ? yellow ? beige stripe wallpaper, torn in some places. Gloom, gloom,gloom. Bed although not the worst I have slept in was not particularly comfortable. The duvet was the worst I have ever encountered, it appeared to be a synthetic filling which was matted, I like a duvet to 'fluff' up when shaken. The pillow was awful, I don't like a pillow to be so deep that my neck feels as though it is at 45degree angle. The shower was adequate, although to be fair I find most hotel showers only adequate.The continental breakfast at £9.50pp was excellent. There was even smoked fish on offer including salmon. We didn't need to eat until evening. The only downside was the atrocious coffee. I expect freshly ground coffee at breakfast not what tasted to me like instant and not very good instant at that. Wouldn't stay here again, its back to Kings Cross with a very comfortable bed, cheerful decor and a not that much smaller room for less than half the price of the Radisson.	
Nov 23 2008 	Not Awful But Not Great	I stayed here for two nights with a friend while we were in London to see a couple of concerts. We chose the hotel like everyone else for the location, which indeed is fab.However, I didn't really think much more of the hotel.It was oh-kayyyy but has definitely seen its best.We were on the top floor but penthouse it was not. The room was tiny and it was absolutely freezing - even with two blankets I needed to layer up to sleep, the in-room heating didn't seem to work.Reception &amp; concierge staff I encountered were very pleasant fortunately. The bathroom toiletries were good and free wifi was an advantage as I had some work to do but, overall for the price I paid I wished I'd shelled out a few quid more and stayed at the St Martin's Lane which I did a few nights later and boy was it worth it! Might appeal to the more traditional olde-english taste, but for me I prefer something smarter and cleaner when I pay more than £200 per night.	
Nov 19 2008	Superb Boutique Hotel	Despite some other reviews we find this Hotel to be cosy and friendly . We booked a deluxe room which is of average size, however being its amazing location little time was spent in the very comfortable room. Breakfast is superb being a buffet at weekends and cooked to order during the week. Check in staff are very efficient and courteous. People watching from the Dial Bar a must ! Dont underate this establishment !	
Nov 2 2008	Locationlocation location!!!	My friend and I spent a little over a week here and couldn't have been happier with our hotel. The property is nice, not luxurious. The room was rather small by US standards, but very comfortable. The best thing about this hotel is the LOCATION!! For theater and opera, it doesn't get any better. Located at Seven Dials, it's about a three-block walk to Covent Garden or Leicester Square and the tube stations. We went to four shows and walked to three of them. Although six streets converge at the hotel location, they are very narrow and don't carry much traffic, so it's very quiet. The hotel itself is also very quiet - we never heard a sound from other guests. The housekeeping staff is invisible. We never saw or heard them, but our room was always made up within an hour after we left. The restaurant/bar &quot;The Dial&quot; is a little pricey. We didn't ever have the continental breakfast; even with a half-price coupon, it was 9.50 GBP. It is a great place for people-watching in the afternoon, though. There are a dozen or more restaurants within about a block, and 2 coffee shops about 20 yards from the front door. There are interesting shops all along the adjoining streets. There is an internet computer in the lobbly that guests can use for free, though you occasionally you may have to wait a few minutes.	
Sep 28 2008 	Don't Stay Here - Rude Staff	I stayed here for 3 nights and the staff we're constantly rude to me and I had to prove I was a hotel guest every time I walked through the door! The room was very small--even by London standards and there was hair in the shower. There are much better hotels in London, with much better value.	
Sep 26 2008 	Great Location for West End attractions	If the key to your stay in London is location, it doesn’t get any better than this for the price. You are literally walking distance from all the West End attractions - bars, clubs, restaurants, shopping and theater. The hotel staff is friendly and bar/restaurant stays open late. The rooms can be small, so defiantly book a double or queen. Room views can also be very disappointing. Otherwise, a great weekend place if you want to enjoy the best of London’s west end. If you’re looking for a hotel with big rooms, luxury bedding/furniture, gym, pool, business centre, etc, then go else-where.	
Sep 9 2008 	You must stay here	My wife and I decided to stay in London for a weekend to celebrate our wedding anniversary. Initally we had picked the Thistle City Barbican off Old Street. However, after reading guest reviews we decided to change. Our booking had been made through Superbreaks, they agreed to change our hotel without any fuss, just more money.After checking a number of hotel review sites we settled on the Raddison Edwardian Mountbatten. This was a good choice.This hotel is sutuated right at the top end of Seven Dials and is convenient to almost anywhere in Central London. The nearest underground stations are Leicester Square or Covent Garden. There is not much between them as regards distance. At most they are five minutes walk away, and you even have the pleasue of passing some very nice shops on the way. On arrival we were greeted by a very friendly receptionist called Charlotte. She made us feel very welcome and gave the impression nothing would be any bother.Our room was a double, number 508. We have stayed in larger, but we had no complaints whatsoever regarding it's cleanliness. We were not overly concerned about the size of the room as we did not intend being in it for any lengthy periods.The bed was very comfortable and all the usual facilities were available: trouser press, ironing board and iron, tea/coffee, television, en-suite etc., there was even a safe for your valuables.What can I say about the breakfast? They were sumptuous! On Saturday and Sunday mornings we had a buffett. The staff were very couteous and did make you feel as though you were only allowed to eat a certain amount. It was open season. The selection consisted of cereals, fruit juices, crossiants, cold meats (including smoked salmon), cheese, fruit, cooked breakfast (as much as you could pile on your plate, toast, tea or coffee. Off course you could have it all if you really wanted. And I did.On Monday there was no buffett but we still had sufficient to start us off on the day.Superbreaks had given us some vouchers for dining out. One of them was a two for one in the Dial restaurant in the Mountbatten.The portions were not large, but the food was piping hot and delicious. We selected two courses from the set menu for £19.50 (for two with the voucher) plus a large bottle of sparkling water and one glass of wine, which were the most expensive items of the night.Again the staff were very efficient and friendly making sure our experience was a very pleasant one.On the Sunday night we used another 2 for 1 voucher, this time for the Mountbatten's sister hotel, the Radisson Edwardian Kenilworth, just a short walk away (10 minutes). Here we were met with the same level of attention and detail. Well done to the Radission Edwardian group of hotels.One bit of advice to anyone thinking of staying in this hotel:- if you don't intend to consume any of the beverages in the room mini bar, then do not even open the door. The fridges are interactive and if you as much as move the contents you will be asked to report to reception to authorise their payments. We had a look but did not consume. There was no problem whatsoever having the items we touched removed from our bill. The receptionist stated it was not unusual for this to happen.All in all we had a very enjoyable stay and would return again. I have no hesitation in recommending this hotel to any reader/user of this site.	
Aug 23 2008 	great location	I spent 2 nights in this hotel at the end of July. I had Single room, which was very small and a little outdated, but I had a nice view on London Eye. I suppose Suite would be a lot better, but I was offered 60 pounds upgrade, which I did not take, because I was alone and I did not need more space.Location is just great. There is just a couple of minutes pleasurable walk to Covent Garden. Also to Trafalgar Square you just need about 10 minutes of easy walk. And to Leicester sqare even less.Hotel staff was just great. They knew that I am alone and they helped me with everything.n.	
Jul 25 2008 	Location	I´m not going to be original here. The best thing about this hotel is location, no doubt. It´s not only close to most places a tourist would go, but the area is charming as well.Seven dials is a lovely little square with not too much traffic and it´s full of people strolling around or eating on weekends and at lunchtime.The hotel itself is OK. Well appointed, good service and free WiFi. My room, a single, was the low point. Very, very small. And I´m used to small euro rooms. But, what annoyed me the most, was the &quot;electronic&quot; sensors on the fridge. If you move the cans, even if you don´t cosume, you´ll be automatically charged. I think it sends a bad message to guests.The bathroom on the other hand was big enough, specially for such a small room. It was also modern and well appointed.I did not try breakfast or the hotel bar.A tip: If you need to have your clothes washed just go across the street. There is a dry cleaner and that is where the hotel actually sends guest´s laundry. And, of course, they charge you a fraction of what the hotel would.	
Jul 8 2008 	Very Central and close to all theatres	Stayed last week for two nights on a theater break.On checking in we were early but no problem booking in.we were offered an upgrade to a suite for £40 per night,well worth it.Great room number 217.King size bed and enough room for 4 people in the room great view out to the seven dials junction and the theatre.Everyone in the hotel were friendly and helpfull whilst getting our bearings in the area.bathroom was clean with bouble sinks and a great shower,plenty of presure.The only thing we had a problem with was there was no instructions on how to work the shower controls(the red and blue indicators had rubbed off).The bed was very comfortable and the breakfast was well cooked and servied quickly no problems there.I would stay again as long as i could stay in a suite.	
Jun 28 2008 	Worst room I have ever stayed in in my life	Maybe it was just our room (room 111) but when asked how did we enjoy our stay I couldn't help but tell the receptionist that the room was the worst I had ever experienced. A fellow traveller joined the chorus when he heard my comment - and it wasn't cheap !!Tiny Tiny room - bathroom extremely tiny - couldn't close the door without shuffling myself out of the way. Decor was very drab and outlook to triangle of other rooms.Room was two steps above corridor and then two steps down to the room again ?? Don't know why.Staff were overall quite good and location good but wouldn't go back again and will strongly recommend to anyone who asks to stay away.	
Jun 23 2008 	Perfectly Situated	This hotel is perfectly situated on Monmouth Street. It is a short walk to Covent Garden, and the British Museum. British Library, National Gallery Trafalgar Square and many other top tourist sites are also close by.Hotel is right in the theatre district, and it is very near London’s Chinatown. There are loads of good restaurants and shops in the neighborhood. The hotel staff is friendly and helpful. My room was a decent size, and it was about that I expected. Unlike many other British hotels, this one offers free Internet access. Many others I stayed at charge 15 pounds per day. Free newspapers too!This is not a five star hotel, but it is a very good one, and it is a good value for London	
Jun 21 2008 	Cracker of a hotel and area!	This hotel is in the coolest part of London in my opinion. its in covent garden. great boutiques, loads of shops, restaurants, huge market, pubs.....its a lovely, friendly area. has personality! the hotel is near china town and soho, and rite in the westend!the hotel itself is very cute and comfortable. staff are helpful and not at all pretentious. i think good value for money. my suite or room, not sure what it is...is spacious. im so impressed with this hotel i have stayed here 2 and a half weeks now! do yourself a favour and google it. i was also able to negotiate better rates - prob cos i stayed for a while. its also within walking distance from picadilly sq, and heaps more! just dont waste time searching, stay here if you can!	
Jun 15 2008 	Great location	Monmouth Street is in one of the most vibrant areas in London. Wide variety of bars, restaurants and trendy clothes shops all within a few minutes walk.No need to pay hotel rates for breakfast if not included in room rate, many excellent cafes nearby where you can eat for a few pounds - who said London was expensive?Public areas in hotel up to Radisson standard, plush without being opulent. Complimentary Financial Times/WSJ and free wireless internet access.Our room was tiny and some of its fittings had seeen better days but it had all facilities. We were on 1st floor directly above Monmouth St but noise was not a problem at all.Leicester Square Underground Station 100 yards away has a direct line to Heathrow, only £4 single and one hour journey time from terminal to hotel.	
May 24 2008	Just OK	All the other reviewers have hit it on the mark. The location is great to walk to theatre and tourist attractions. The front desk friendly and helpful. And then.... the room OK but not clean or appealing. The &quot;deluxe&quot; room was tired even though it probably was not redecorated that long ago. Housekeeping was marginal, to be kind. Lots of the staff seemed indifferent. And we were treated to the seven dials drinking chorus for late night entertainment....thankfully there were fabric window shades and heavy curtains. I think that was my favorite part of the stay.	
Apr 21 2008 	Most Comfortable Bed I've EVER Slept In	I booked this hotel after getting a slightly hight rate than the Travelodge were quoting. I booked a room with 2 single beds and when we checked in we were asked what floor we wanted to be on. Our actual room was small but it had everything we needed, an iron/ironing board, lots of cupboard space, a big clean light bathroom, a tv and the most comfortable bed I've EVER slept in. It was comfortable I didn't want to get off of it everytime I laid down.We also had breakfast and we could only eat half of it as there was so much food. Next time I have to stay over night because of work I will be booking this hotel.	
Apr 16 2008 	My hotel of choice in London	Having admired this hotel from the outside, I was happy to get a great deal for a one night stay in a deluxe room, paying around £130 room only, and was suitably impressed with the hotel. We dropped our bags off at the hotel in the morning before an appointment and I was impressed that the reception staff remembered me by name when I returned that afternoon to check in to our room.The room lived up to expectations - it was small but not cramped, with one of the largest beds I've seen, and was stylishly decorated, as was the bathroom. There was also plenty of wardrobe space, a large dressing table/desk and a small table and comfy chair. I would however be wary of booking a standard room, as you wouldn't really want any less space. The television was surprisingly small and old fashioned for a hotel of this class, and we did have some problems with the TV's reception, but somebody was sent straight up to deal with this, even though it was late at night. The room also had a range of plug sockets so that international guests could plug in their electrical equipment without an adaptor which I thought was a nice touch.The communal areas were lovely. The Dial Bar is a great spot to grab a cocktail and people watch. The prices may be a bit on the expensive side but no more so than any stylish bar in London. Having visited the bar on other occasions there are however sometimes problems with understaffing. The reception area was also stylish yet welcoming, with huge sofas and a supply of newspapers and magazines, and the staff were more than happy for my friends (not hotel guests) to lounge in reception whilst I changed for dinner.However, the best feature of this hotel has to be its location, right on Seven Dials in the heart of Covent Garden. Please note however, that during my stay, Covent Garden, the nearest underground station, was only allowing people to get off at the station and not to board trains from there. Alternatively, Leicester Square station is not much further away, or the concierge is happy to hail you a cab.We didn't eat any meals in the hotel, but there are plenty of options in the vicinity, including for breakfast (and at a much cheaper price than the hotel breakfast!).All in all, I had a great stay at the Mountbatten, and it would be my first choice for future trips to London, provided I could get a good rate for a deluxe room.	
Apr 14 2008 	Great Location	Right in the heart of Covent Garden. Lots of lovely restaurants nearby. The staff made this hotel, always smiling, friendly, polite and really helpful.We arrived really late on the friday night and had booked a deluxe room but they only had a standard one...this was tiny, you could hardly walk around the bed, but we spoke to the front desk and they had a larger room available and also gave us both breakfast the following day for the inconvenience caused, which was a nice touch.Room was clean, well furnished, bathroom was fine but take your own shower gel and shampoo, they had one of those pumps that dispenses some kind of soap on the wall in the shower which was not very pleasant.Concierge were great and knew the answer to everything, the way it should be!	
Apr 10 2008 	Air Freshner Required	I had booked a 2 night stay in the Radisson Edward Mountbatten in April 08 and I checked out this morning.The rate I paid through a work travel agent was £245 per night and the first room that I was allocated was a tiny box room with a single bed - this was despite requesting a double bed at the point of booking.I contacted reception only to be told that the rate I paid through the travel agent was necessarily the rate the hotel charged! Nice customer service there.The then said they would allocate another room. This was Room 219 and although the bed seemed to be a 2/3rd double the room absolutely stank. So much so that I had to go and buy an air-freshner as the bathroom in particular smelled of stale water. Perhaps the cracked tiles and mouldy bath had something to do with this.The room didn't even have a secuirity lock on the door and I guess that this is the emergency re-allocation room within the hotel.I had a booking in place for the next week, as I expected a high quality Raddison hotel, but this was sadly lacking.	
Mar 31 2008	Great Location at the Radisson	My company recently moved their London office location to Covent Garden, so I was looking for a hotel within walking distance. The Radisson had a good negotiated corporate rate and was a short 4 block walk, so even though some of the reviews were less than stellar, I went for it.Prior to arriving, I had emailed the Radisson to see if I could get early check-in after my trans-Atlantic flight. When I arrived, they had my request in the system and it was no problem to check in, even at 8:30 AM! The front desk and concierge staff were welcoming and helpful during my 4-night stay. In fact, the only real glitch with the reception staff came with my wake-up call on the day I was leaving, it rang at 4:30 AM - not the 5:30 AM I asked for! The Radisson offers free Wireless internet access throughout the hotel, I never had issues connecting (once I got it figured out the first time!) Also nice for us American travelers, the desk had a 110V plug in case you didn't have an adaptor for your laptop.My room was a decent size for London. The bed was really comfortable, there were lots of hangars and space in the closet, and the bathroom was well-appointed. I had double sinks, and both a tub and shower (although I do have to say it was the tiniest shower stall I have ever been in!) Housekeeping was efficient: I always had plenty of towels, the room was spotless, etc.I also used the gym in the basement. It was small, but it was fine for me. In fact, most days I was the only person using it!I did not eat in the hotel restaurant (A hot Breakfast was over $32 USD.) I grabbed something from the many takeout places nearby (Pret, M&amp;S). It was cheap and fresh. I did meet a colleague for drinks down there one night, and the service was okay. The bar was packed and it seemed that the servers were having a tough time keeping up. All in all, I would definitely stay at the Radisson again. It is in a great location (whether for business or pleasure) and the amenities were fair for the price I paid. Obviously being able to walk to my office was a huge plus, with the Tube costing $8 USD!	
Mar 21 2008 	Great location it's just......................	I have stayed at the wonderful Radisson Edwardian in Manchester and decided that, for a business trip of only one night, a hotel from the same chain would be perfect.Sadly not, but still a decent hotel by London's standards. Lovely reception area, clean and welcoming. Charlotte the receptionist was excellent.However, the cracks begin to show from this point onwards. One lift was working and it was painfully slow, so ask where the stairs are (they are not that obvious).The room is nicely decorated, a modern bathroom but had mould around the seals. I don't understand why hotels that charge this amount of money can't have decent TV sets. The five normal channels with a few news channels... all rather grainy. Even low budget hotels generally have a few sky channels.....The sash window had a gap at the side i could fit a pen through..... and in a chilly March let a rather stiff breeze through and with only roman blind as opposed to thick curtains for protection. The building site outside the window, at least did not start work until a relatively respectable 8.00am, but the workmen could have literally climbed in my window. Not the hotels fault... I understand but the gaps in sash are.I was seated at breakfast and then promptly ignored for ten minutes only to be questioned by a rather fed up looking waitress &quot;Why are you here?&quot; ....... er that would be breakfast.Breakfast food was good, room service food was awful. I heard my neighbours arguing with the waiter about incorrect food being delivered.It is in a great place, just near 7 dials, perfect for visitors of a night or two, and the staff, in general, are really efficient and friendly, it just didn't sit right with me..... but I tried, I really did.	
Mar 7 2008 	Disappointed!	I had stayed in this hotel in June 2007 and was very pleased with it. I therefore had no hesitation in booking it again for a girlie weekend in March 2008.On my previous visit the twin room was a good size but this time it was little more than a box room!I did ask for an alternative room and the receptionist showed me a room on the smoking floor but it was the same size. If I had been charged less for the room because of it's size I wouldn't have minded but £195 is alot for a room where my friend and I kept kicking the wall next to the bed all night. I have e-mailed the Manager of the hotel with my complaint but to date have had no reply!	
Feb 2 2008 	Location Location Location	Location is everything with this hotel. If you like to go the theatre, shopping, and other central London atractions this is one of the better hotels you can stay in, but do try to find a good deal. The room was small, but for London (and most other big cities) thats normal. Amenities in the room and hotel were good. For those people who complain about the room size, you just have to pay more or go to other areas in London (central London like the theatre ditrict is pricy). For those who complain about tv channels, just stay at home, TV is not the reason you go to London for.	
Jan 22 2008 	Not a bad hotel	We stayed at the Radisson Edwardian Mountbatten Hotel on Sunday before going to see a concert and had an overall pleasant experience. Yes the rooms are small but the staff are very friendly and helpful and the location is really what you are paying for. The bar is very nice and and again the staff were pleasant although one member did accuse my partner of leaving without paying for a bottle of wine when he had just gone up to the room and I was still occupying our table.The rooms are small but nice and personally I would rather have a good small room than an awful large one. I would suggest that if you don't like to be woken early in the morning that you remember to hang your &quot;do not disturb&quot; sign on the door as we were woken by a rather enthusiastic member of the housekeeping team at 8am.Although it seems like I've had a bit of a moan on this review the negative things I've mentioned were only minor niggles and I would recommend this hotel to my friends and family and would definitley stay there again.	
Jan 19 2008 	Loved the Radisson Edwardian Mountbatten	Location, Location, Location!For a visit to the West End, this is an excellent choice.Our room was great and with all amenities including safe, minibar, coffee service, pants press, ironing board, lots of wall plugs. TV is adequate with few channels, however. The bath was ample with tub and shower, dual sinks.We had breakfast at the restaurant--best described as indifferent.Concierge staff was excellent--helped us get tickets to sold-out British Museum show.But the real reason to stay here is the location. If you are planning on spending most of your time in the West End, it is perfect. Close to tube and bus lines, walking distance to everything.	
Nov 18 2007	Bar staff rude and unhelpful	Just had to write a review on this hotel as I feel that a hotel of this standard really did not live up to its expectations. We arrived and went to our room (very small and dingy). The bathroom bin had not been emptied and was full of sanitary items which was very unpleasant. We contacted the front desk and was immediately upgraded to a suite which was much nicer. In the evening we returned to the hotel after seeing a show and went to the bar (we was with a party of 36 people) and the bar staff told us they did not have any glasses and that it would be at least half hour before they would even be able to serve us. It was as if we was an inconvenience for them and im sure they would have been happy if we had just gone to the pub over the road missing out on £180 for one round of drinks!!! DRINKS ARE VERY EXPENSIVE HERE! We was waiting in the dining area for them to serve us when a mouse ran across the dining area. Our group leader complained to the management and as of yet I do not know the outcome. We decided not to eat in the restaurant for breakfast and left the hotel instead. The front desk staff were very help and pleasant but unfortunately I wont returning to this hotel.	
Oct 15 2007 	Great location	I enjoyed my stay at this London hotel.Great location.I had a first floor room, overlooking a tree and the street. The window could be opened, to let in fresh air and street noise. (It was a quiet backstreet, and so a nice street noise!).The room was a standard size hotel room, and the bathroom was stylish, although one morning there was no hot water at all in my room.The staff were very helpful and friendly.Apart from the hot water, my only &quot;complaint&quot; was that the elevators were small and had strange habits due to the security system installed in them -- so not much to complain about.	
Sep 30 2007 	No complaints	I come to London from Dublin once a month for business. The company I work for have a corporate policy with Radisson hotels.Most of the time the hotels own website is cheaper than our corporate rate and it also includes breakfast, so I always check it first, this time the corp rate was better so I had to use it. I like this hotel (when this one is booked out we stay at the 5 star Mayfair Radisson about 25 mins walk away) however I would rather stay here because of location and buzz, its a bit less pretentious than the Mayfair and there is not that much difference really. The hotel is on a small one way street, so traffic noise etc is not an issue. Soho, China Town, West End theatres etc are all within 5-10 mins walk...the musical Chicago is right opposite.If you can afford, take a King Deluxe room overlooking Monmouth Street, higher floor if possible. The standard double rooms can be small, clean and all that, but just small.I have found the front desk, and staff in general, to be excellent about 80% of the time, so Im happy enough with that. The breakfast is fine by normal English standards.I will continue to come to London regularly for the foreseeable future, and I will continue to stay at the Radisson Mountbatten	
Sep 9 2007 	Good location but very small rooms	This is a good hotel to choose for a convenient location for theatres, shopping and tourist attractions, however the rooms are very small and the bathroom needed redecorating. I think you can find better value hotels not too far away.	
Aug 24 2007 	GREAT SPOT	Brilliant Location especially as i could park my husband in the nice lobby with his newspaper and a coffee and be in the shops in 2 mins [ He hates shopping.]Theatre's shops and cafes are within mins so no need for taxis  The overall appearance of the hotel was pleasant but the bedroom was disappointing it was small and the noise from a airconditioning motor outside kept me awake, had we been staying longer we would have reqeusted another bedroom .The Staff {all of them } were a great bunch and nothing was to much trouble and it was allways service with a smile. the breakfast selection was excellent and the Afternoon tea great value for money consisting of a selection of sandwiches scones cake and tea for 2 people £9 .overall good place to stay and would certainly come back again.  Mitch . Preston Lancs	
Aug 15 2007 	Not the worst certainly not the best	We booked four rooms in this hotel for a European Family Vacation (we are from the US). The location was OK. Close to the tube and some theaters. We were not impressed with the breakfast. VERY small rooms.	
Aug 6 2007	Great location but.......	Hotel is well located adjacent to Seven Dials in the Theater district of London. Easy walking distance to Liecester Square, Museums, Trafalgar Square, etc. Many nice restaurants, shops, and bars are nearby. Easy access to the Tube. Lobby was clean and pleasant. Hotel breakfast (included with my reservation) was ok. No need to do hotel breakfast as there are plenty of places nearby. Hotel staff was generally pleasant and helpful although not across the board. Main issue to me was that the hotel bedding was not at all comfortable. Bedding really needs to be replaced/ updated. Slept poorly due to uncomfortable mattress. The convertable sofa for our daughter was incredibly uncomfortable and flimsy. Hotel could also benefit by replacing the carpeting which looks worn and not so clean in some areas. The room was large and quiet. The bathroom had a very sterile look but was clean and functional. Elevators were slightly slow and were the smallest I have ever seen. Overall I think this hotel has great potential based on location and room size. It does however (in my opinion) need upgrading. Until these upgrades are done I would not stay here again and would not recommend it to a friend.	
Jul 30 2007 	Hotel from hell	This is the Radisson at the Seven Dials in Covent Garden in London. I never thought I would write a review of a hotel, and I have been in some seedy crap hotels, but this one takes the cake!They charge you the prices of a 4 star hotel and stick you in a double room the size of a toilet and the quality of what would go in a toilet. The rooms are old and disgusting, the television has only a couple of channels and is not the fancy tv they pretend exists on their website. The mattress is something out of the 16th century. The bathroom is a sorry excuse for a coffin, but ends up being the best part of this awful place.DO NOT BOOK A ROOM HERE! It's a nightmare!!	
Jul 30 2007 	Amazing Hotel! I'll Be Back!	Because of London's vastness, one of the most important aspects of finding a good hotel is its location. In this regard, I doubt the Mountbattan can be beat. It is in the very heart of London's theatre district and steps away from virtually all of the best neighborhoods in London. Located on a charming block with boutiques, pubs, and restaurants, the Mountbattan is truly in the center of the best London has to offer.The hotel itself is absolutely top-notch. I booked a deluxe room with a king bed and was extremely impressed both by the extrordinary comfort of the bed and the high quality of the room. The marble bathroom, fully stocked mini-bar, and fluffy terrycloth robe all contributed to the overall luxurious feel of the room. The hotel has a restaurant, a gym, and use of the hotel computer. My only complaints of the entire property are that the gym is tiny and in desparate need of remodling and the maid woke me up every morning by slamming each door she exited. All in all though this hotel is a find. Enjoy the Mountbattan. You won't be dissapointed.	
Jul 24 2007 	Never book a singel room here!!!	The location is terrific, the bar is a nice place to hang out after a night in the theatre, the breakfast is uninspired but okay, but when you have booked a single room at this hotel,you have made a mistake.The room I stayed in (# 619), was not worthy of the title, but would have been better described a broomcloset. Harry Potter might have been able to make it into something decent, but this is a room which is not worth it's (expensive) price. I could touch both walls with my hands without fully extending my arms. If I had put the ironboard up, I would have had to stand in the public hallway to iron. And to use the toilet you would have to be a very flexible person.When asking the manager, he agreed this was a very small room, but offered no alternative.If you're here for half a night it might be okay, otherwise I suggest you look for an alternative.	
Jul 5 2007 	Good Location but .....	We stayed for 2 nights and paid £200 a night including breakfast. Our room was cramped and the decor a bit tired, not in itself a big problem, however the room was poorly maintained with a bulb which needed replaced, mini bar which did not chill and the bathroom fan working all the time. I mentioned this to staff after night 1 but although the fan was disconnected, the other matters were not attended to.During all the time at the hotel we did not encounter a manager and I think this perhaps explains erratic service and some poorly executed food.Beware the 12 1/2% service charge which is added to the bill in the bar/restaurant and the tip line which is left blank!	
May 29 2007 	great location erratic service	I had read the TA reviews before going and expected a small room plus poor bar service. The room was good, plenty spacious enough for a one nighter but the bar service was really bad - we walked out in the end without being served - it was 10pm and only one person was serving. Check in was good, we were allowed to check in early. Staff were very pleasant (apart from in the Dial Bar where 3 were AWOL and the other was serving he who shouted loudest rather than she who'd waited longest) The location is the great feature of the hotel with Cov Garden and Traf Sq both within a few minutes walk. Check your bills though, we were charged for breakfast on an inclusive breakfast deal - it was no bother getting it removed.	
May 12 2007 	Best Choice in Covent Garden	I stay in this hotel frequently when I travel to London on business, most recently in March 2007. After trying a few other hotels in the vicinity, I discovered this one, which tends to have better rates and is far superior to any other in the immediate area (including the Radisson Edwardian at Leicester Square, just a short stroll away). The free in-room WiFi access is fast and reliable, the restaurant and bar are hip &amp; trendy while maintaining a high quality. The hotel's location, directly on Seven Dials, is the best address in West London. This hotel's only drawback: its non-deluxe rooms are quite cramped; I booked a double once and couldn't stand it...had to upgrade to a deluxe. Otherwise, you can't go wrong at the Mountbatten.	
May 8 2007 	Very Friendly Service Great Location	Stayed for a long weekend in a Deluxe King Room and was very pleased.Very friendly service – nothing was too much trouble. Breakfast was buffet style with a large selection and it’s one of the few hotels that would make me an Egg white only omelette with no fuss what so ever.The rooms are not massive but more than adequate and the shower was strong enough to pin you to the wall (if you wanted it to)We got early check in, very late check out, deluxe room and breakfast all for £150 a night and at the quality we got it was a bargain I would definitely stay at the Mountbatten again.	
Apr 15 2007 	A good hotel but not without flaw	I only stayed one night in Radisson Mountbatten, but it cost me £144. Quite alot.The service was veyr good indeed and there was a buffet-style breakfast included. They had a decent selection in a nice environment. Hot and cold foods with ample toast and coffee etc.Staff were very friendly indeed and they have a very nice sitting room area in the lobby.The room was clean, as was the bathroom, however I did notice that some repainting was needed on the bathroom door - it was flaking off.The main thing that drew me to this hotel was the WiFi in the rooms. It worked brilliantly right away and was at no extra cost, so I could finish my Uni work and email it in from my hotel room.The bed was a double and was incredibly comfortable.I didn't like the fact that the room was fairly small and was in full view (if they looked up) of the busy street below or the boozers at the pub opposite. I had to close the curtains to get privacy - A net curtain would have been ideal for this to not block out the sunlight.I had a mini bar in my room, but I didn't use it becuase it was extortionate. Just for a small bag of KP nuts it was £2.50 and the KitKat was £2.25! Mental pricing! I got myself some snacks from a shop though.I feel I was well looked after by the staff and I had a pleasant time in the hotel. To be honest, due to the pricing, I probably wouldn't stay there again. I'd find somewhere maybe a little further out of the sought-after locations for a much cheaper price, because as it turned out, most places are easily accessible using the tube.	
