	Clean and well located	London is an expensive city, especially when it comes to hotels / accomodation. I was looking for something very simple, quiet , clean and affordable where to spend a week in London.That's what Windor House is.For £38 / 40.00 a day I got a very clean room with shower (not en-suite) and a simple breakfast (enough to start a day).Ok, no TV, no telephone, no internet, but if there was a tv set, for example, I would spend my nights seeing tv, &quot;ruinning&quot; the day after !So, it is not a place to stay during the day but a quite and clean place where to keep your things and sleep. Earl's Court tube station is really just around the corner, making it easy to go everywhere.If you want to take food to the hotel, the kitchen is open to guests and there is a Marks &amp; Spencers &quot;Simply Food&quot; shop 50 meters far from the hotel.Two internet shops are really nearby.I recommend Windor House : good value for the price !And friendly people too.But if you are looking for real luxury, go to ... the House of Windsors (call Beth or Phil).André Acker, from Rio de Janeiro, Brasil	
Mar 15 2007 	Stay Away	Do not waste your time or definately your money staying here. We arrived on Sunday the 11th of March to nothing that we had expected. Knowing that British and American standards are somewhat different, we thought that we were getting a great deal on this Central London hotel. WE WERE WRONG! We arrived at around 11am and they said that our room was not available to check in and to check back at 1:00. There was no place for our bags, so they stayed in the hallway where you check in. (a hallway about the size of a matchbox) There is no reception area and the staff is not very accomodating. When our room was finally ready, we went up to see a disaster. The walls are all cracked, the rooms have been apparantly separated by a wall to make 2 rooms. This makes it to where you can hear every word that is said on the other side of the wall, not to mention smelling the smoke that comes through as well. the shower looks like an american port-a-potty with hardly and water at all. The toilet was not in the room when we specified through email that it must have one. Other rooms have a toilet in the room. Our toilet was up 2 floors. The bed was supposed to be a full. it seemed smaller. We had to leave this dreadful place and had already paid for 6 nights. They told us we would not be able to get any of our money back and that we should take it up with our travel insurance. We had to threaten them to turn them into the dept. of Invironment and then they finally agreed to refund us 2 of the nights. It still has not posted to my credit card account. Please do not stay here. We went down the street and found that the Mowbray Court Hotel was more than what we wanted!! They have had NUMEROUS people that come from the Windsor House to stay there. If you want to be near a tube station in Central London, Stay at Mowbray Court Hotel. It is a little more expensive, but you get what you pay for.	
Mar 10 2007 	The Phantom of Earl's Court	Like the Phantom of the Opera, this hotel reels you in with its mystery, awe, simplicity, and location. However, like that same Phantom, what lies beneath the mask should *never* be seen. We arrived on this quaint street by the Earl's Court tube and our hopes were high. Then again, not too high, as overnight travel made both of us sleepy and just desiring some simple R&amp;R. Upon seeing the green canopy, we were excited to enter. Upon arrival, we were tepidly greeted by the &quot;hostess&quot; and were told our room would not be ready until 1.5hrs later, but that our bags would be brought up and that we could go get some brunch and come back. We came back 2 hrs later and the bags hadn't budged. Key-in-hand, we ascended the Tower of Babel, wandering aimlessly, getting lightheaded, and trying to figure out the hieroglyphic numbering system in order to find our room. An oriental gentleman told us, once on the 3rd or 4th floor, that we needed to keep going. After spiraling all the way up, we arrived at what their confirmation e-mail called a &quot; very nice double room, ensuite, and non-smoking.&quot; When we entered, I felt like I was in Alcatraz. The awkwardly-flanelled bedding, the wireframe prison (or mental institution) beds were delightfully accompanied with a lovely view of a disgusting alley that was a garden a few centuries ago. Our double room had two beds in it (one double and one single), just in case we were smuggling in some refugees. It ended up being a great space for our luggage. And we were able to glean some of the bedding from it to keep ourselves from freezing in the middle of the night. The original fare comes with only a sheet and a flannel &quot;throw&quot; blanket.When we looked ahead, we saw what we thought was our coat closet. Upon opening, we found a toilet and a shower is a space smaller than an airport bathroom stall. I didn't think it was possible, but they made it possible! The upside is that every shower is guaranteed to clean the bathroom!I mustn't forget the 1960s-era neon lighting. If you flicker it quick enough, you could start a night club up here. Oh, and the best part is the &quot;special flush.&quot; Don't go to the WC in the middle of the night, for if you do and flush it, it will not let you forget it. The sound from the Tube down the street is quieter than this odd-sounding flush. It sounds like a freight train is running through the pipes which are --- of course --- exposed!!! To be fair, there have been no bugs, rats, animals, dust, or refugees in sight. But there are some annoying little German secondary students who have made sleeping &quot;interesting.&quot; All in all, this place is fine for a sleep, but don't expect anything better than what you paid for. 50L a night is 50L a night, period.	
Feb 8 2007	Nice and comfortable hotel ideal for families (large family rooms)	We have stayed at the hotel three times. Coming back twice demonstrates that we are very satisfied. Good location, good value for money, friendly staff, clean rooms, simple but good breakfast, etc. The children of 7 and 9 love the place. Very short distance from the underground station (Zone 1) and only 15 minutes/7 stops direct ride with the tube to Piccadilly Circus for example.Travelling to London you need a place to rest and have a good night sleep. You will absolutely get that here. The Windsor House Hotel is ideal for families enjoying London for some days. We highly recommend it!! Do not expect any luxuries, but you do not need them either.Robert, Norway	
Feb 4 2007	toilet in the middle of the room!	Well, we arrived in London..very excited about the Times - Destination show. We entered the doorstep of the Windsor House Hotel in Pennywarne Lane, Earl's Court...immediately my sixth sense told me we are going to have trouble. It's a really shoddy, rundown entrance. The reception &quot;person&quot; sits at a desk the size of a T.V box (not a flat screen TV, a normal 54cm one). We gave the reception person our check in details and he had to look for it on a piece of paper (with very incryptic looking writing) he eventually found our surnames and proceeded to check us in. I looked up and saw about ten flights of stairs leading from this very narrow dark &quot;hotel&quot;. I asked whether they had a lift and was assured by the reception person there was no lift in any of the old hotels in London????? well I then asked to be shown the room (for which I had already paid a 60 pound deposit). He assured us that he gave us the nicest room in the house. The room was situated about 20cm from his &quot;desk&quot;. He proceeded to unlock the room (I could only at stage see alot of darkness), he then switched on the light and to our horror we found 3 prison beds stack in like sardines, the room had no windows and the bathroom (well I don't think you can call it a bathroom) was in the middle of the room. The &quot;bathroom&quot; had no door and was 1.56metres by 30 centimetres in size. There was no TV in the room and it had no cupboard space...I suppose I could have used my suitcase as a cupboard, but then staying in a hotel for 6 days you need a cupboard. I then confirmed with the gentleman, as we are two ladies travelling for work we cannot stay in this room for 6 days. He then started getting uptight and confirmed that we cannot leave as he has booked the room for 6 days. To cut a very long story short.....please do not be fooled by websites. I wish he had put room 5 on his website! Yanuzka Nel Port Elizabeth, South Africa	
Jan 28 2007	Cheap clean GREAT breakfast perfect location....	I´m spanish and we were at the Windsor B&amp;B for a week this January. It was a great place, a fantastic old building with a very confortable and clean room with a private toilet. The breakfast,kindly served by their stuff is simply great: boiled egg, toasted bread, butter and jam and the best cofee of London!! I enjoyed my stay, I think it´s the best play to stay if you see the room prize: only 22.6 pounds per night!!! It was incredible, to stay in London, at 30 seconds walking to the Earls Court underground station, with sourronding pubs, restaurants (ther are the best Chinesse restaurant of London!!), shops for only 200 pounds for the whole week!! I can´t be more happier, in fact, I´m going again in February, same hotel OF COURSE!! The only thing I find is that it´s a little bit cold at night, but you can ask for more blankets, they will kindly give you what you want. I recommend it, with any doubt.	
Jan 20 2007	central great for families who can walk up steep stairs	our famiily of 4 parents and two teenagers stayed at this hotel for four nights during january 07. on arrival our room only had a shower and we booked both shower and ensuite. Initally the &quot;desk&quot; said there was no rooms and we stood firm that we booked for ensuite and would have one or go to another hotel. After some time he found one. The rooms were clean, the shower toilet was tiny but OK. however once the light was put on in the shower/toilet module the fan was activitated it would stay on for about 15 mins after the light was turned off and this was very noisy.each day the rooms were made up and cleaned, fresh towels after three days which was a nice touch. It certainly felt safe.The picture on the web site about a garden was not truly as it was but there is a small garden out side the breakfast room up about five steps. It was not used this time as it was winter.the stairs are very steep so if you have lots of big suitcases I would not stay here. we had small wheelie bags and it was an effort getting them up there. Breakfast was better than expected and the people doing the breakfast were very nice. the breakfast room is crowded and a small tv (which I hate during breakfast) was blaring on, but some people like to watch the morning shows. the breakfast was toast, cereal, boiled egg and tea or coffee. you could eat as much toast and cereal, tea or coffee as you would like. Juice would be a nice touch to add to this simple breakfast but none was providedfor the price I think it was a great place, ideally located near station with supermarkets etc near by. The breakfast room can be used during the evenings to make meals which we did do along with other familes. This is handy for families and the rooms were quiet big compared to other similar hotels we have stayed in.certainly there are alot of hotels in this area and on this street all similar. I thought the staff were friendly and overall we would probably stay there again, although next time I would hope we could spend more on accomodation and go abit more up maket than this style of hotel.	
Dec 22 2006 	Engagement party - a great stay. Thank you	24 of our family members from the UK and Worldwide descended on us on 10 November for our engagement party - and we booked them in at the Windsor House Hotel for a 4 night stay. They were vgery comfortable -clean bed linen - rooms well polished and dusted - good showers - and not expensive at all for Central London - doubles at around £49, Plus they took some family rooms at under £75 plus 3x3 rooms at under £60. Nice breakfast too - soft boiled eggs, toast, and cereals. 4 of our party stayed in another Hotel close-by and they paid a LOT more and only got a stale roll! Plus - the really good point was that they were able to use the kitchen for warm-ups bought a few yeards away at Marks and Spencer's - and could also make tea at any time (vital for the Aunts!). Staff helped our older members with luggage - and one ground floor room for our elderly two aunts was provided as promised. It's a small and honest-to-goodness B&amp;B - not the big hotel experience - where double rooms cost £80-90 per night - so you cannot expect room service etc. - just a great location and clean rooms. The staff showed us their guest book and it is full of reccommendations and return stays from all corners of the globe. We decided to post these comments because we think that generally, guests who are happy with hotels don't bother! It's only those with 'gripes' who take the trouble - so reviewss can be one-sided. We've looked at a couple of these posted in November and just don't agree - though there are some very nice family postings during the summer. We'll reccommend - and rebook for out Wedding later on in 2007. Thanks to all the staff! The McKeith Clan.	
Nov 13 2006 	What a dump!	Stayed there for 3 nights with my 4 year old son - hated every single minute of that stay. Unfriendly staff, VERY cold and dusty rooms, horrible breakfast, toilets only on one floor (out of three), showers barely warm, the list goes on... The only positive thing was the location - it was just around the corner from the Earl's Court tube station, very practical, and there were various restaurants, shops and pubs in immediate proximity of the hotel. The area is abundent with smal hotels - my advice, don't waste your money on this one!	
Nov 9 2006	STAY AWAY!	I knew it was going to be bad the minute i entered the 'hotel'. Was kept waiting at the door despite having rung the bell several times. Staff was extremely rude on arrival and even had the cheek to scream downstairs to the housekeeper for a cup of tea while checking us in.I had booked a single ensuite room for the advertised rate of 33pounds / nite, with a 10pound deposit having been paid via credit card when I did the booking. Upon arrival however, i was given a single basic room with only a tiny washbasin. When i enquired about this with the EXTREMELY rude staff at the check-in desk, I was told that the deposit paid was for booking fee to the travel website and not for the hotel. Thus, for the balance amount i had paid for, i was only entitled to a basic room. This was despite a confirmation email from the hotel that I had booked an ensuite room. In any case, logic would dictate that booking fee cannot amount to 10pounds! In fact, the booking form clearly showed a breakdown of the deposit paid (of which 10pounds was for the hotel deposit and 3.50pounds was for the booking fee).The rude hotel staff kept insisting that I was wrong and was making things difficult for her! Also 'advised' that if i was not happy, i was free to go to another hotel. I was extremely tempted to do so but did not want to risk the chance that I would not get my refund. And the only reason i had booked at Windsor House Hotel was because I had checked with tonnes of hotels / B&amp;Bs and all were fully booked. in fact, the family checking - in after me seemed to have the same problem as well. I pointed out too that I had read a similar review on some travel website about travellers having been given the wrong type of room. Her reply? Well, you knew what you were getting yourself into so you can't complain! My advice to the hotel owner - you don't need such staff. Her reply certainly throws the hotel in bad light. Shows that they are aware of such 'cheating' of their customers, but have made no attempt to improve.Finally, i was told that they would give me an ensuite room for the next night, but that i would have to put up with my basic single room for the first. I asked if i would get a re-fund of the difference for the first night. Of course the answer was NO! I was made to feel that it was totally my mistake and that they had done their best to accomodate me by 'upgrading' me to a better room.My basic room was situated right next to the hotel entrance, and access to the toilet and shower was via the hotel 'lobby', in full view of whoever was around, down a dingy flight of steps and right next to the breakfast room. You can imagine the inconvenience.don't even get me started on the state of the room, the facilities, the breakfast etc.........So, stay clear of the hotel!!!!	
Sep 30 2006 	the worst hotel i've ever stayed in	I booked a room via direct email with Windsor House Hotel.I was replied dishonestly...she wrote:&quot;We can offer you a very nice double room with private shower (new!), which looks ideal for you.&quot; &quot;Please let us know your arrival time at the hotel so that we can get the tea ready!&quot;. Also, their website described &quot;all rooms are spacious and comfortable and kept clean at all times.&quot;Actually, neither tea nor water was provided when I arrived. When I entered my room, I was shocked. The building was old. Our room was small and musty and dusty. The double room with &quot;new private shower&quot; was falsely described. There was only a tiny shower cabinet inside the room, and the shower nozzle was nearly break down. The toilet was located on other floor.I was asked for payment by CASH upon arrival, but she wrote credit card payment is accepted. I had not got enough cash at that moment. So, room rate for 2 nights (deposit + cash on hand) was cleared. Deposit of GBP 10 for the door key was paid in the meantime. I left after finished the second night, because the condition of this hotel was really bad. However, the staff attempted to charge me more money. I refused. Then, the staff started to speak foul language and refused to pay back the deposit of GBP 10 for the door key (but the door key was returned to her). How come she could treat their client like that??Overall, the night time staff was helpless, and the day time female staff was unkind.What a terrible experience!! I would not recommend this hotel. I am sure the walk-in rate of other hotels on the same street is better than Windsor House Hotel, because I got one.	
Sep 4 2006 	Six students in London	We (3 boys and 3 girls between 23 and 25 years old) went to London last February, and we were looking for a nice and cheap hotel to spend 4 or 5 nights. This hotel seemed to be well-located and with reasonable prices in its web page.  They always answer very nicely the emails where i requested all kind of information. We had a problem with my credit card (it didn´t work i don´t know why) but then it was solved there. The shower was inside the room, and after some tries we finally learned how to use it at the right temperature!  The beds and room were clean, the toilet outside the room was right, and the staff was nice. We would like to have more plugs availabe for our mobile phones, but they allowed us to plug them outside the room.  The breakfast included is very nice, and you can bring you own food and drinks to the hostel, also cooking by yourself.  The best thing is the location, near the Earls Court tube Station, and well communicated by bus (also at night, we experienced it!)Its not far from the centre of the city and city attractions.  I would improve just two things in Windsor House, the shower and the amount of plugs inside the room. Its a perfect place for families and young people, with a good balance on quality / price.  Im looking forward to get back there!	
Aug 21 2006 	Great for Families - thank you - see you in 2007 hopefully	We stayed 20 July for 5 nights with our 3 children (7,10,12) and had a great stay. Our children said they felt thoroughly at home and relaxed and especially liked being able to run around in the garden which leads of the breakfast room area. The garden is well-kept and safe and walled in - which meant that we tired parents could relax a little in our room. The room had 5 beds and was very neat and clean and tidy - 3rd floor with a good shower and constant hot water for our grubby kids - with a toilet next to the room. The staff tidied up brilliantly every day with clean towels, neatly made beds, spotless shower etc, despite our kids' best efforts. We were told, prior to booking that there were stairs - no lift - and that our room would be 3rd floor - we didn't mind at all - and the staircase is very pretty - will wrought iron balustrades - an original Victorian feature - and was safely railed. Stairs were no problem for us or the children and we are used to plenty of these in our home. We've just looked at the picture in the previous review and it's underexposed - wish we'd taken our own to give a fair scenario. We made it to breakfast easily before 9 am and the kids enjoyed the soft boiled eggs and the staff gave them as much milk as they wanted as they don't like tea/coffee. We heated ready prepared M&amp;S meals in the hotel kitchen 2 evenings as the children were too exhausted to go back out to restaurants and ate these alltogether at tables on the outside patio which leads onto the garden. It was warm and really pleasant. Plenty of other families were doing the same. This is a great facility to have the use of - especially with kids in tow. This B&amp;B tells you very clearly before booking that its' a simple, clean, homely budget place to rest your head after sightseeing and undersold itself in fact. The staff were cheerful and very good with the children and with us ! All in all we enjoyed our stay thoroughly and hope to be back next summer. Thank you all - our stay was perfect. Serena Regan, Peterborough - email address moaandco@yahoo.com and I'll respond to emails willingly.	
Aug 11 2006 	Terrible experience	July 17, 2006I have travelled quite a lot and this was my first time in Europe with my family. Being a familly of 5, one of our first decision criteria was the price and the location (we would mainly be travelling by public transportation). We were only spending three nights in London, prior to our departure to Paris.So we found this place looking on the internet. Don't be fooled by the pictured showed on the web site. It looked perfect for what we were paying. The real thing was not as accurate.So we arrived at the hotel with our six pieces of luggage plus carry-on, off the subway from Heathrow airport. So far, so good, as advertised, it is very well located, nearby the subway station.Upon our arrival, we figure out a way to store our luggage in the cramy hall they call reception. We are offered tea, which is very welcome, due to our efforts and travelling jetlag setting in.We then shortly are being asked to pay for the balance of the reservation...Cash! I had formelly confirmed with them over the phone prior to our leaving Canada that they were taking credit card, as our intitial deposit. We add to run to the ATM at the corner of the street to get the missing allowance.We have made our reservation a good 6 months in advance, so was our surprise to find out our room was on the 4th floor, at the top of a steep staircase. Once the room was ready, I got our gears upstair ( 6 luggages !) with no help offered by the clerck downstair. We opened the room door... 5 beds disposed in a tiny room (ok since we want to spend our time visiting London). The floor covered with old and dirty rug. One window on 2 could be opened! The tiny shower, right inside the room. No curtains at all, no shower mat so we do no drench the carpet!The toilet is a tiny plastic box outside the room, from where you can open the door while sitting. With the heat anyway, you would not want to stay longer than necessary there. So far, we are a little disapointed but we will sollely sleep here, and this is only for 3 nights!We go down to mention that for our reservation of 5 people, we only have 3 towels and no facecloth or equivalent. The clerk nods to me (he understood well) and stay sitted. I insisted a little more and finally got the 2 missing towels...no facecloth.We waited a little while in the kitchen. The view from their was great. A little inside park with flowers and bushes. Two refregirator are available for us to store some good (like cold water or juice). This will serve out trips later.Day 1 - They don't serve breakfast past 9:30! So we decided to shower. No hot water! It was working fine last nigth when we tested it! We run back down. Apparently, this is the first time they ear of such problem! Luckily, we had a friend staying at another place in town where we were able to shower our group of 5.Day 2 - We slept a little late again so no breakfast today. We want to shower! Now the water is boiling hot. We run downstairs to be advised that the maintenance crew would be called during the day. We go downstair to gather the water and juice we have left in the fridge, to find the kitchen door locked. We tell the clerk that we would like to retrieve our goods but he was reluncant to come down and unlock itWe are advised to use shower on other floors, but they were all occupied.  We are being told when we return from our day trip that the maintenance have found nothing wrong with the shower. We try it and it seems to be fine. Even if it is past midnight, we decide to shower the all group while the system is working. This is our last night and we are leaving early the day after (sort of speak). We are missing one towel! I run down to get it.Day 3 - We are up at 7:30, ready and packed at 8:00. Testing- the water in the shower is ice cold, we did right to shower at night! We go dowstairs to see that there is no place for us to have breakfast.I get the luggage down and store them in the lobby while we go out to grab something to eat.Luckily, there is a Mark &amp; Spencer at the near corner that sell very decent ready-to-go food at a decent price. This last feature, the proximity of the subway station and the fact that the beds sheets were clean are a consolation to the desolation of this place. Have we stayed longer in London, we would have changed location after the first day. Our stay being limited, we did not want to waste a day packing and unpacking.I would not recomend this hotel to my worst ennemy. There seems to be other nicer location near this place ( to benefit M&amp;S and the Tube station).We placed a complaint to the clerk upon our departure, mentionning that we paid for private shower and breakfast we bearly could no benefit from. No offer to reduce our fee (even if we paid cash!). We stayed in youth hostel with better commodities that this hotel at better price!	
Aug 7 2006	Shell Game	Upon arrival I paid the balance of the bill THEN we were advised about some vague problem with water and escorted about 3 blocks away, dragging our luggage after traveling for 30 hours to the Manor Hotel. The Manor Hotel had posted rates at about half of what we were paying but we were not offered a discount. The rooms did not resemble the rooms posted on the Windsor House website.I have requested a partial refund but so far nothing.	
Jul 7 2006	Great Location Clean Rooms and Nice Service	We stayed three nights at the Windsor House, the first night arriving very late - about midnight. They were very kind to us from the time we requested the reservation to the time we checked out. They are what they claim, a budget accommodation. There was no AC, nor did we need it with the doors open - the beds were comfortable, and the linens were clean. The bathroom we had was TINY - but it served its purpose well! The only complaint we had was that our door was across from the floor entrance door. Everytime anyone came in the air pressure would make our door slam as well. It wasn't a problem except when the couple of drunk girls came in and swore our door was theirs! The staff was terrific and calmly explained that their door was down the hall . . . Would stay again - very convenient to Earl's Court underground.	
Jun 20 2006	Just as the website says	My Mum and I have just returned from our 2 week stay at Windsor House Hotel. We found the hotel to be just as described on the site. Budget and clean. Yes, the showers are tiny but there is plenty of hot water, just what we needed after our days out and about in London. The breakfast was adequate and sustained us well into the afternoon.Being able to use the kitchen was an added bonus, saving money and hassle at the end of our busy days. M&amp;S Simply Foods is on the corner between the tube and the hotel and is the perfect place to buy ready-to-heat meals to take back to the hotel kitchen.The tube is literally 2 mins walk from the hotel, as is the post office and ATMs.We were nervous about booking on the internet, but found no problems.Our emails ,prior to our arrival, were answered promptly. We had to postpone our trip for 12months after we had sent the deposit, and when we emailed and requested that our deposit be transferred to our new dates, this was done without hesitation.We only had one concern and that was that while we were out of the hotel on our first night, despite locking our luggage, it had been tampered with. Not opened but someone had tried. We reported this to the hotel and thereafter found there to be no further problems, even when we left our luggage in the room while we overnighted in Paris. We of course locked everything up every time we left the room. All-in-all we found the hotel to be great value and in a great location. It met our needs and expectations.	
Jun 9 2006	A very good Stay - Thank You To All	We stayed for 5 nights, 23 May this year and would like to thank all the Staff - simple breakfast of toast and boiled eggs and cereal, cleanly served, a good clean room - plenty of hot water - couldn'nt ask for more, especially at the price. A real basic friendly and homely B&amp;B. - Above all we mislaid one case on our journey to London - and got so much kind help from the staff - who actually took over from us on endless phonecalls to locate it - as they could see that we were loosing all our sightseeing time. This was so good of them. Great location too - zone 1. Thank you ever so much - we'll be back and we'll recommend the hotel to all the other Lecturers at our University.	
May 31 2006	the worst hotel i've ever stayed in (especially for asians)	i dont see any reasons for me to stay in this hostel for almost a week except that it was arranged by my school for we being in a team of a study tour, you can tell some of the staff were just rude and not nice to asians, especially to a group of students like us.they simply asked us to go downstairs one day and have breakfast at 7:30am every morning without giving us any reasonable explanations except that it was for the sake of the others living in the same hostel.they also asked us that we can only go down and use some of the toilets on the 2nd floor or those in the basements but not the one on the same floor (we lived on the third floor) even for my room has got no stool but the only shower for 6 people. For the other toilets, they clipped a note outside stating that it is specific to those other visitors but they didnt treat us in the same way.one thing made one of my groupmates really pissed off is that one of the staff said that they had thrown away the bag my groupmate left inside the room after we checked out in the morning (but we would be back in the afternoon to pick up our luggage)and then it turned out we found the bag somewhere in their kitchen (which probably was kept by another staff, but we are not sure of his/her intention).finally the breakfast sucks, it only consists of toasts (with jam or buttter provided) and an egg and cereals (which you should get it by yourself) and coffee/tea, everyday we merely had bread and an egg to eat, we were already tired of having the same thing everyday and feeling not full and it's not tasty at all.i sincerely do not recommend this hostel to any visitors to London	
May 30 2006	A shock to the system!!!	Ignore the wonderful website pictures of this hotel, it's really dingey and pokey. I rescued my elderly relatives from this unsuitable hotel and it was a relief to get away. The location, just round the corner from Earls Court tube station, central for all London attractions, is in its favour. Another redeeming feature is that it was clean,although old and shabby.The shower/bathroom/toilet was 1meter square, and as my elderly uncle said, you can sit on the toilet have a s**t, a shave and a shower!! It really was that tiny. One compact double bed pushed up against the wall, so again unsuitable for elderly folk who need to be able to get out of either side of the bed. Just one chair in a double room , although there wouldn't be any room for another. The entrance and reception area is very cramped, and access to the rooms is up a steep flight of stairs, unsuitable for elderly or disabled. I think 'Hostel' is a more suited description of this establishment, suitable for pack-packers and young people just passing through.	
May 21 2006	Great Location Good Rooms - Thankyou - We'll be Back	We descended on the Windsor House Hotel - a Wedding Party of 21 people - all ages - from Granny /Grandpa (80's), Uncles and Aunts (50's +), plus younger adults (30's/40's) plus assorted teens and toddlers and the hotel and staff coped with us admirably for 6 nights in early May. They wrote and told us prior to booking that, in their words, more or less, they were a small budget level Bed and Breakfast, - safe, clean and comfortable - providing simple basic accommodation - just a good base for 'daily sightseeing' and that we would be located on several floors - no lift/elevator. We requested lower floors for our older famly members - and this was done. We appreciated the straightforwardness and they were true to their words - exactly as described.The room rates were very good indeeed for the central London location at around £50 for 2 and we took several family rooms containing 3,4, or 5 beds from £70 - £85 approx. nightly for each room. The rooms were bright, spacious and very clean with lovely Royal Stewart tartan wool spreads to add a touch of homecoming cheer and the ensuites were well cared for and clean and above all provided plenty of hot water for our grubby toddlers at the end of each day. The hotel was quiet (except for us at times !) and the staff were efficient, cheerful and very kind with the children. There was a TV lounge with attached kitchen which we made full use of and we also liked the patio with chairs and the walled garden where the kids ran about in safety. We were very happy with our stay and will return late August - though not 18 of us - just our family of 5! If you want a well located, honest to goodness basic B&amp;B Hotel - simple and clean - and as they say 'no frills' - this place will suit you admirably. The Wills Family - ex Wales +relatives from USA and Canada.	
Apr 14 2006	Stay away from this hotel	Hotel is at good location, no elevator and no reception. Worst furniture, junk bedspread with all different colors, bed with all broken springs, no TV and bathroom is a box (half of the size of a cruise ship's bathroom) which you cannot stand and move.This hotel wants cash and lied to us the credit card machine is broken. We decide to change hotel after the first night stay. They want to charge us 50% more for the agreed rate. He won't let us go until I said will put bad comment on the travel site.Worst hotel I have ever stay for all my past travel experience in Europe and understand European standard which we don't expect too much, for 56 GBP/night in April which is a rip off for the quality they are providing. Not recommend at all and you can get a much better hotel at the other corner (Barkston Hotel) with only 9 GBP more/night.	
Mar 6 2006	Thank you - Our Stay Was Excellent.	We stayed 15 February 2006 - 5 nights – a family of 3 – with out youngest daughter - 13 years and we will stay again most definitely. A small B&amp;B hotel, zone 1 – Earls Court - stone’s throw from the South Kensington Museums (for our daughter) and a quick 20 minute walk to Harrods (for my wife) - perfect location and well within our budget for a short winter half term leisure trip. Under £60 nightly all inclusive for 3 is good value for Central London. Don’t expect a 5 star establishment where you go for bridge evenings - with room service etc – as they tell you clearly that it’s small and budget standard no frills for the young or young at heart travellers or family groups basically - but we honestly got more than we paid for: a bright and clean room with 3 comfortable beds, new carpeting, and a modular basin, shower and toilet in the room. Plenty of hot water. All looked and smelt and WAS pristine clean and the staff tidied up our mess each and every day – so that we came back to perfect tidiness. Second floor – no lift - but the exercise did us good. Breakfast of eggs and cornflakes and toast was more than adequate and freshly prepared with a smile and a good morning - and we know from friends that in Summer you can sit out on the patio or in the garden with your tea and newspaper - and it did look pretty ad well kept out there even in deepest February. The Reception staff were kind and cheerful and prepared to chat with our daughter each evening for a while about where we had been that day – etc. which was helpful as she got somewhat bored with us Our friends who recommended the Windsor House had already told us that it was a great base for half-term holiday sightseeing - and on our return they pointed out some of the adverse comments on trip advisor - together with a lot of heartfelt thankyou’s posted there. The 2 most recent USA - type reviews really do read as though the guests (a) expected far too much for the price (b) had no comprehension that a B&amp;B is what is says - a basic bed and breakfast location where you sleep comfortably and go OUT and enjoy London (c) quite honestly they read as though this was the only way in which they could see their utterings in print ! (failed authors of some sort). (d) they seem to complain that the shower/toilet units are too small - strange - these are in so many hotels nowadays at budget level all over the UK and are hygienic (fibre-glass) and more than adequate for us ordinary size Brits. (e) Is it possible that people use review sights to complain more often than to praise? We asked to see the Hotel guest book - and they had pages of thankyou’s and very nice comments. This is a nice little B&amp;B Hotel – well kept and with attention to detail - similar to the ones dotted over each and every seaside-town in the UK. Perhaps a little cultural education before travelling to the UK is the order of the day – together with a display of good manners after departure? We see that a family from Italy was very happy - staying approximately same period as we did. We’ll be back - and so will our UK friends. Thank you all. George and Joy Granger, and Amelia, Newcastle, UK	
Feb 27 2006	We were very happy and will be back next year	We are actually leaving tomorrow after a 6 night stay and we have been very happy indeed. We are a family with 3 small childrens - from Italy and have stayed in an extremely clean and bright room with 5 beds - our children run a lot and play and there was space for this and we feel good here and welcome. We have a shower and basin and toilet in our room which is new and completely clean - and the staff are kind and clean all so well every day for us. We booked because here there is a kitchen and we can cook for the family for dinner - we did not want to spend so much in restaurants - and our childrens only like our food. We could not ask for more - and we paid only English Pounds £75 each night - or 110 Euros approximate - for all of us. The breakfast was good and freshly cooked eggs - and we liked very much. Our room was warm and gracious as well with good beds and clean woolen blankets from Scotland - We will recommend the hotel to many family friends in Italy and we too will come back in the summer months - maybe August. We have read the last two review - and just do not recognize the hotel from what they say... We also arrived early and understood well that we could not have the room at 9 in the morning - but we went to the TV room patiently as the little girls were sleepy from travel and the staff made us tea and hot milk. Maybe the last two guests expected too much for the modest prize - but we also see some nice words below from other families too. We stay again !	
