	ok hotel	Clean, comfortable. We chose the area for the O2 arena, although it is about 7 minutes walk from Waterloo. For sightseeing, it is a good area. Rooms very comfortable, although we were woken on Saturday morning at 08:40 by house cleaners to see if our room was ready to be cleaned! (it was a bit early)!. Check in/out fairly fast, although loads of people. Breakfast good. Major problems with elevators. Only 3 for the whole hotel. Luckily we were on the 3rd floor and did the staircase, otherwise you could be 1/2 hour waiting for lift. Staff very professional. As in many London hotels,didn't like the fact that you had to pay for internet access.	
Nov 2 2008 	Good base for the West End	Let's get the bad news out of the way first. There are three hotels in the County Hall complex - this is NOT one of them. It's actually 200 yards south, by a busy traffic junction and without a view across the Thames. I consider the name very misleading. Not only did the internet access in the room not work properly, but, incredibly, they expected you to pay extra for it. Hello , Park Plaza, this is the 21st century calling - are you planning to join us any time soon?On the plus side, the hotel was very clean, very efficient, and our suite was (by London standards) very spacious: separate sleeping and living areas linked by a short corridor. The door on the bathroom was a bit odd, being made of translucent glass - definitely a suite to share only with family or close friends! The coffee-making facilities didn't include fresh milk, despite the presence of a fridge. We didn't ask for any because every other service involved an extra charge - but it emerged when we checked out that we could have had fresh milk on request for free. So good marks for service, but no marks for information.The breakfast was very expensive so we didn't have it. Instead we went to the bagel shop near County Hall, which was much cheaper and perfectly acceptable (and staffed by people who were happy to spend time giving useful advice to tourists).Reception were very helpful though the concierge was a bit miserable.One thing saved this hotel from a &quot;3&quot; rating: a few days after our visit I got an automated email asking for feedback. I replied with the comments I've made above, and quickly got a personal response from the manager saying that he would look into the issues I'd raised. Maybe he will and maybe he won't, but the mere fact that he took the trouble to respond puts this hotel one level above the average.	
Oct 22 2008 	Excellent base for seeing London	Too many hotels in London are worn out, and staffed by people who do not care. Fortunately the Park Plaza was different. Quite a new hotel so all the rooms are still fresh. And for London the staff were very helpful. There was even a pizza-making demonstration for our eight-year-old in the kitchen at four o'clock on Saturdays.It is a short walk from Waterloo tube and train station, which is a good start for sight-seeing - an all-day ticket is just over £5 for the tube with children under 12 free. And the London Eye is only about a hundred yards away. Try to get a room which overlooks the Eye and the Thames.We paid for an upgrade which included drinks in the executive suite and also breakfast there, although the staff there had difficulty in coping with the numbers.Reception desk is quite small and could get a bit chaotic if there are too many people checking in and out.Overall, good value for money in London considering it is pretty central.	
Oct 20 2008 	Great New Hotel	This was a one night stopover for us and we were looking for a hotel with a good location and decent standard but not willing to pay normal London rates. The Park Plaza offers fantastic value. Although not right in the very heart of things it is extremely well located to reach the West End on foot. The tube is a very pleasant 3mins walk away passing by the Thames and Houses of Parliment en-route.The design and quality of the hotel surpassed our expectations; modern and comfortable - maybe one step down from a Radisson SAS. Our Superior room was spacious clean and practical (it even had small tea point with its own sink). Given the amount of people decending at once for breakfast on Sunday the staff were very pleasant and effecient at getting us to a table quickly (as noted in other reviews get down early if you want to walk straight to a table). The staff generally were interested and helpful.Overall a very easy place to stay offering good value. As a frequent traveller I would thoroughly recommend this hotel.	
Oct 13 2008 	Fantastic hospitality	We could only visit this hotel for a very short trip but the next time we will be staying for at least the whole weekend. I couldn't believe the service &amp; special treatment myself &amp; my husband received in this hotel. We were celebrating a very special occasion &amp; the team of staff in the hotel certainly made us feel like VIP's. Luke Josef deserves such a very special thank you because without him our experience would not have been the same. He was professional, friendly &amp; so good to us. It makes such a difference to receive service with a smile. Something that most hotels have forgotten about these days.He was there to greet us on checking in &amp; showed us to our 'upgraded room' - a junior suite, where there was champayne waiting for us. We had the most amazing view of 'Big Ben' &amp; the London Eye. It was breathtaking. The room service was prompt, great food &amp; all staff were all very friendly. There is a kitchenette in each room which is a fantanstic initiative. It has a microwave, sink, coffee/tea making facilities &amp; crockery. The bathroom was class. Fab power shower, lovely white towels, bathrobes &amp; all your vanity requirements were catered for. I tell it how it is &amp; would not be a person for exaggerating but we could not fault this hotel. We will definitely be returning to it.	
Oct 13 2008 	Superb location lovely hotel just some minor niggles	We enjoyed our stay at this hotel, and despite some niggles would definitely return, and would recommend it to others.The good:The location is superb, round the corner and proved to be walkable from Waterloo tube, the eye, Coventt Garden, Theatre land, Trafalgar Square, St James Park, Westminster, Big Ben, and Westminster Pier for City Cruises. It is also on the Big Bus and Original Tour bus routes.The rooms are clean and functional, full sized bed, comfortable bathroom with bath and shower (once you have worked out the tap!). We had a TV, a fridge with a section for our drinks, and a kettle with a supply of coffee, tea and sugar. Our party had two rooms, ours had a microwave but the other room did not.Breakfast was varied and good quality, the continental including fish, cheese, cereals, pancakes, toast, fruit, continental meats, pastries etc. There were plenty of tables up to 8am, but soon after then queues began to lengthen so an early breakfast is to be preferred. At 9am the queue was around 50 people, and was still a similar length at 9.30.The luggage storage service was excellent, meaning we could start our holiday before our room was ready, and spend the final morning without our luggage.The bad:For us this was mainly a result of a few sloppy staff, irritations rather then real problems. We arrived at midday knowing our rooms would not be ready before 2pm, and were allowed to check in. When we returned at 3:30pm our room was still not ready. We were instantly switched to a new room on the 13th floor, but the wrong room number was written on our card. After disturbing another guest, and trecking our luggage back down to the reception, we were finally told the correct room.At lunch a large and a small glass of wine came in identical glasses, and very similar levels. The waitress insisted that one was large, and it wasn't until we insisted she pour it back into the measures that she conceded the large had been a small.Finally the tea and coffee supplies come in two's, and include caffeinated and decaf coffee. As well as forgetting the milk the housekeeping did not replace the caffeinated coffee. We asked at reception if the supply could be replenished with 4 caffeinated sachets. On returning to our room we found a big supply of tea, and 6 decaf sachets. We asked again if we could have four sachets of caffeinated coffee, and on our final return to the room we found more tea and 3 coffee sachets. Not the biggest of problems, but totally unnecessary.There were three lifts for 13 floors, and these got very congested at certain times. On the 13th floor we would end up stopping at every floor, and our friends on the 5th floor got very frustrated at waiting as much as 10 minutes until a lift arrived that they could get into.Some of the concierges were friendly, some surly, but none answered any of our questions beyond where somewhere is.	
Oct 12 2008 	Fantastic time at Park Plaza County Hall	We took our two small children (5 and 2) to London for the first time and stayed at this hotel. We lived in London until we had kids and so we know the place, its ups and downs, very well.We are also seasoned travellers.I could not fault the hotel. We stayed on the 12th floor and had the most magnificent view. The children were incredibly impressed to be able to see Big Ben and the London Eye lit up from our room and I have to admit it made us feel like tourists in a city we thought we knew so well.The studio suite was impeccably clean and well-furnished. All facilities were working and it was very comfortably resourced - coffee maker, microwave etc.The air conditioning unit was noisy but a quick call to reception resulted in it being turned off centrally by computer within a few minutes.The breakfast was amazing too (although the staff were perhaps overstretched at peak time).The hotel is a five minute walk from Waterloo and two minutes from the south bank and London Eye. The concierge was very helpful and organised our tickets for us.What really impressed us was the staff's attitude to our children. The boys were very excited and noisy but were treated with kindness and good humour by everyone from management to doormen. The door staff in particular made a fuss of them every time we left and returned. It was lovely to feel so welcome with children - not a common occurence int he UK!PS. We found no problem at all with the lifts no matter what time of day/night we used themWould thoroughly recommend and will definitely return!	
Oct 12 2008 	Glad I go the Upgrade although nice overall!	In London for 5 days with my partner in Septmeber. Expected a clean and comfortable room but paying on the low end of the advertised prices on the website so wasn't expecting alot of space or a view out of a window.Upon check-in I started to chat up the desk clerk who was new on the job this week and we started to talk about travel and her aspirations, etc.... I asked if there was a room ready as we were a few hours ahead of the check-in time policy. She asked if I stayed her before so I jsut smiled and said yes even though I had never stayed at any of the Park Plaza Hotels before. She told me she would move me to a room that was an upgrade and was available now. I confirmed that this was a complimentary upgrade and she said of course.Upon arrivel to our room on the 13th floor (14th is the Penthouse floor), I opend our door to find a small alcove with a large cabinet. TO the left was a kitchen which when I walked around the corner there was 30 feet of floor to ceiling window with a living room and bedroom seperated by a wall entertainement unit. We have views mainly over Victoria Station although we could see St. Paul's Cathedral, the City of London and Canary Wharf. Mianly there was clear blue sky and sunlight to be had which was quite the shock as for 155 pounds a night for two nights then down to 95 pounds a night for the last two nights I was expecting an interior view or view of a brick wall.The kitchen was stocked with expresso maker, kettle, microwave, sink, dishes and untensils and was superb. The complimentary expresso, cappuccino, hot chocolate, Scottish Shortbreads and bottled water were also convenient. The bathroom was marble with a glass shower and a seperate large bathtube with a hige sink area with ample counterspace. The garbage cans were way too small although typical of England hotels.I told me friend to not answer the door, unpack as quickly as possible and put the do no disturb sign on the door as I was fretting a call from the front desk stating the new desk clerk made a mistake and we couldn't stay there but no such luck. I woudl check on one of the two large flat screen TV's my bill and it was what I had agreed upon online.The hotel is conveniently located near Big Ben/Parliament and the London Eye. A quick walk to Embankment or Victoria underground and London was at your feet. We usually walked by the Eye and then crossed the pedestrain bridge near Charing Cross station just to enjoy the view.Would definately have recommended this hotel even without the upgrade.	
Oct 8 2008 	Close to London Eye and Thames River Cruise	The hotel was excellent for our two night stay in London with our two children over the February half term holiday. It was a large room with a kitchenette with a microwave, fridge and kettle. The children even had their own tv in the sitting area of the room. The long windows overlooked Waterloo train station with magnificent views across the city. The hotel had just opened so there were a couple of small issues - bulbs missing from lamps and a breakfast dining area that had to be extended into the conference area on the floor above to accommodate all the guests. It was great to see all the performers as we walked along the Thames and it was very close to The London Eye and Houses of Parliament.I would definitely stay here again, the hotel room made it perfect for staying with children and certainly kept the cost of the trip down.	
Oct 6 2008 	Very Good Hotel	spent 4 night at Park plaza last August and was very happy with my choice. Upon arrival I asked at reception if I could had a room with view and was istantly upgraded ro a very nice suite on 13th floor overlooking Waterloo station. Staff is truly great (especially concierges). I liked everything about the room and service and will recommend this hotel to everyone . Not to forget: location is FANTASTIC!	
Oct 5 2008 	excellent	Luke and his staff treated us like kings. Everyone was extremely friendly and hospitable. When I come back to London I know where I'm staying.	
Oct 1 2008	More than happy	Booked this hotel for proximity to Royal Festival Hall and an easy transfer from Waterloo train station. Very good experience to be had at this hotel. From check-in, room service, breakfast and the children's pizza making activity, to check-out and concierge services, I could not recommend this hotel more highly. Staff were most helpful and attentive. Room decor, furnishings and standards of cleanliness could not have been better and attention to detail was superb, with even 'mini' slippers being provided for children. Our suite looked out over Waterloo, rather than towards the London Eye, but the excellent soundproofing ensured no inconvenience whatsoever. We would certainly return.	
Sep 26 2008	The best concierge!	We stayed in Park Plaza County Hall for 4 beautiful days in our Junior Suite celebrating engagements and birthday! Everything was perfect: the suite, breakfast, well, hotel in general! They have the best concierge we ever met! His name is Gary and he really helped us a lot during our stay in London, but the most important thing is that he always has a smile on his face and a friendly approach. He's one of the reasons why we will definitely come back to this hotel each time we're visiting London! We would also like to thank Front Office Manager, Ms. Sarah Hoare for upgrading us in Junior Suite and Executive Lounge. Great lady! Park Plaza County Hall is definitely a hotel to recommend, not only because of its great location (Houses of Parliament, Big Ben and London Eye are right behind a corner!) but also because of the friendly approach which can’t always be seen! Someone once said that English people are cold???	
Sep 21 2008 	Lovely hotel	We stayed at this hotel through a coach trip, it was our first wedding anniversary, so I contacted the hotel to ask how much it would be to have a bottle of champagne in the room when we go there. I received a reply more or less straight away to say that they had given us a complemetary upgrade to a junior suite and a bottle of champagne. True to their word we had a suite, no bottle of champers though but a half bottle of red wine. Couldn't fault the hotel, others had commented that they had to wait for the lifts and for breakfast, we didn't have these problems. I think that if you get to breakfast early enough there isn't a problem. Drinks are expensive in the bar.	
Sep 14 2008 	Nice Hotel	I stayed at the Park Plaza County Hall from Sept. 1 - 4. The room was small based upon US standards, however was well kept and the bed was comfortable. The best thing was the extremely convenient location - 2 blocks to the London Eye, close to Parliament/Big Ben, and just down the street from the Waterloo tube station. The staff was generally extremely helpful, particularly the bell staff. Everyone was friendly and I felt that our comfort was important to them. The one less than satisfactory experience I had was when my wife and I were sitting at the bar to get a drink, it took approximately 10-15 minutes for someone to acknowledge us (and it wasn't busy). This could have been a &quot;one off&quot; instance, however it didn't leave a good taste in my mouth.Overall - I would recommend the hotel. The size of the room wasn't a big factor as we were out and around most of the time anyway.	
Sep 13 2008 	Great Location	We stayed 2 nights , 2 rooms. Our room was a suite , which strangely we walked into the bedroom, then a narrow galley kitchenette( which was well appointed with tea stuff, microwave and service for 2 people) and then to the living room area which had a sofa bed and another plasma TV. Modern decor , sleek lines, very Ikea like, (blond wood, white, glass, padded headboards)Kids room across the hall was a basic room , not sure its listing on the website, but just a basic room facing in to the atrium of the hotel. I would avoid this type or room and tried to get it changed but hotel was full so they could not.( We were willing to pay for it.) The room decor was fine, of the same calibre as the suite but it was literally like a shoebox. Absolutely tiny . I have travelled to Europe every summer for the last 10 years and am aware that rooms are smaller than in North America, but this was ridiculous.  Our room faced Waterloo Station so no view and was on the 3rd or floor. We had requested Upper floors and view and as I booked 2 rooms I hoped we would get it , but young lady at check in was not very pleasant. Check in was excrutiatingly slow. and there had to have been a bus load of people waiting. I think this has become a cruise line hotel as there were many cases with tags of the various lines. I have no issue with this as were taking a cruise a week later , but considering the number of people the hotel should have more or better trained staff.We arrived at 12 noon, but rooms were not ready so went for a stroll and some lunch and received rooms at 3.30pm.Young man who handed us the keys was much nicer .rooms were very clean and bathroom well appointed. We did not find the beds too hard, but I they are firmer than most peoples .Internet in our room was awful. Slow, kept disconnecting and it took 4 calls to front desk before a tech was sent hours later to try and sort it out and to boot we were overcharged for it and had to argue the point on checkout.Many of staff in bar, restaurant and housekeeping were Eastern European, or so it seemed. certainly the ones we encountered were. They were very pleasant but communicating especially with housekeeping was difficult. Also housekeeping on our floor left their carts in the narrow passage outside our room for the entire 48 hours we were there. A fire hazard as one had to squeeze by them each time. Despite asking her to move it at the end of her shift she would not. the carts stayed across from our door for 2 days. Front desk was of no help either in resolving this.Concierge: Needs a great deal more training and supervision. On more than one occasion while sitting in reception, I noticed him busy on the computer or writing while guests stood for a good few minutes before he even deigned to look up and acknowledge them. Location: Fantastic. Close to Waterloo and Westminster stations , both having excellent connections.Area is lively at night.Price: 110 pounds including breakfast. Excellent value for London.Breakfast: A good spread. Staff polite but sloppy slow service. It was very busy the 2 days we were there and being that many were new ,they were a bit overwhelmed .Bar: Lively at night. Service slow but polite.I am not sure if we were just unlucky with our experience at this hotel, and it is early days as this is a new hotel and hopefully these are just teething problems which will be resolved. Its also possible that the summer rates were so good and occupancy higher than staff could cope with. As it is a popular recommendation on the cruise sites where I first heard of it, I hope management gets the staff better trained as while many were pleasant there were an equal number who were not and this lack of polish is what will keep me away despite the awesome location and good rates.	
Sep 5 2008 	Fantastic service	We stayed at the hotel for one night in August. We booked a junior suite which was ideal for us as we have 2 small children.The view from the bedroom overlooked the London Eye and was very central for us as we wanted to show the children the sights.We found the hotel staff very helpful and approachable during our stay, however it was when we returned home that we really needed their help and they did not dissappoint.My 7 year old daughter had left two very special cuddly toys in her bed and was completely distraught when she realised she had left them on her return.We contacted the hotel, and spoke with Luke - Jozef Francois Senior Guest Relations Manager who asked the staff to conduct a search for the lost items. He kept us regularly updated on the progress of the search.Unfortunately, they have not been found, but to my daughter's delight, a parcel arrived yesterday with replacement teddies.It was lovely to see a smile back on her face as she cuddled them in bed last night.We can not thank the hotel enough for their kind genorosity , a gesture which we did not expect..We would certainly recommend the hotel, due to its location and cleanliness but more importantly its excellent service.	
Aug 30 2008 	Has its plusses and minuses	We were debating whether to give the hotel a three or a four star review. A three and a half, which seems to be what this hotel averages, would have been most appropriate. The Park Plaza County Hall is a new hotel in a wonderful location. We were able to walk to many attractions including Parliament, Buckingham Palace and the Theatre District. The rooms were clean and were suites, which was a big plus for us, since we took our teen aged daughter with us and it was nice to have separate space. If you are looking for a hotel with a suite, this is one for you to consider.However, be forewarned, as mentioned in other reviews, that the double bed was hard and the sofa bed was like a rock. It was akin to sleeping in a sleeping bag on the floor. After the first day, our room began to smell of sewage (avoid a room ending in &quot;05&quot;. When we first complained, we were told that we should first allow housekeeping to investigate the source of the odor. However, 15 minutes later, reception called to tell me that the person in the floor below had complained as well and the problem was obviously one involving the line of rooms. The good thing about the room was that the AC had been working adequately. When we switched rooms, we were given a room where the AC was barely noticeable. Fortunately, the heat wave in London had passed, so it was tolerable. The second room was a corner room and was actually smaller than the first. I would recommend that you give your room a once over before unpacking and request a change if needed.The lifts were not as slow as I had expected, and the staff was responsive to our complaints. There were a few broken items in both rooms. I think that they cheaped out with the furnishings and supplies when they built the hotel.All and all, it was not a bad experience, but we would probably stay elsewhere if we returned to London.	
Aug 27 2008 	great view great location lovely decor	We are a family of four, and wanted a place with separate sleeping area for the kids but not a separate room. I contacted London Discount hotels and they offered us a great deal to stay in a Studio Room at the Park Plaza County Hall. There was a bedroom and a small kitchenette with microwave, small fridge, sink and coffee maker (Nespresso) and kettle. Then there was a sitting room with a pull out double bed. Both rooms had TVs, and internet (for a price) and the bathroom was gorgeous with shower and bath. After reading other reviews I had asked for a room facing the London Eye, Big Ben and Houses of Parliament and we were on the 12th floor with a stunning view. I think facing the other direction may have been disappointing.The only problem was that though the rooms were separate, there was no door between them and the bathroom had an opaque glass door so there was nowhere to go if you wanted to read when others were sleeping...the lights lit up the whole apartment. You could easily walk across Westminster bridge, the London Eye was about a block away, and Waterloo Station a couple of blocks away. Also Big Bus Tours had a stop around the corner and the concierge was very helpful with organizing sightseeing. There was a fitness room and sauna, steam room as well.It was sometimes hard to get the family out of the hotel to see London.All in all it was a very positive experience.	
Aug 26 2008 	Great views and Convenient location	Just returned from an overnight stay in this hotel. From the moment we arrived to the moment we left, the hotel met our expectations. The views from our room were great - london eye, big ben and houses of parliment were all quite close. The room was spacious enough with lots of storage and the bathroom was modern and quite stylish. We did have an issue with the shower, however, a phonecall to the reception resulted in a quick visit from a member fo staff to fix within 5 minutes. We also needed to call reception for towels, cups etc and each time, a speedy service (with a smile) was encountered.The breakfast was very good with both a continental and english breakfast on offer. The choice for a vegetarian breakfast may be limited so it may help to arrive early (or check availability).In terms of access to central london, the hotel is very close to Waterloo underground station, however, if you are not afraid of walking, a great many of the local attractions can be accessed in this way. I would certainly book this hotel again to visit london - good value, great views, great service and great location!	
Aug 25 2008 	Great Hotel.. Great Staff	We booked the Park Plaza prior to taking a cruise on the Baltic Sea. We stayed three days and we were treated very well. My wife was not feeling great after the flight and drive in from the airport. The staff went out of their way to get us into our room early and to see that my wife got the rest and care she needed. We ate several times at the hotel and the food was fine but the service and care of the staff was fantastic. The coffee was a little strong for my taste and the staff always brought me a pot of hot water so I could have a cup to my taste. It was all the little touches that made want to write this review. Our room was designed around the modern style. Yet it was very quiet and comfortable. We had a nice view but there was some construction going on in one direction but it was not a big distraction. I stayed at much higher priced hotel in London on a longer vacation and for about one third the price this was a much better value and nearly as comparable.The hotel is an easy walk from the London Eye and gives you access to most of the great places in downtown London. We had another wonderful time in one of the great cities of the world and our stay just added tot he pleasure.	
Aug 24 2008 	Good location but big disappointment	We stayed at this hotel for 4 nights before going on a cruise from Dover. Although we did not book the hotel through the cruise line, there were a lot of people staying at the hotel that were also going on the same cruise. The hotel seems to cater to tour groups which can be a problem. The lobby area is not large and when there are buses of people being dropped off or picked up the lobby is fully of people and suitcases. This especially creates a problem when you want to use the elevator. There are only 3 smaller size elevators for the whole hotel. This is clearly not enough to service everyone especially at peak times (around 9-10:00 A.M.) It was almost impossible to get an elevator down to the lobby at this time of day. Normally walking down the stairs is not that big of a deal except when you want to check out and have all your luggage with you. We waited over 30 minutes to get an elevator when we wanted to check out. Finally we were lucky enough to find an elevator going up that had some room for us and our luggage and ended up taking the ride up so we could eventually go down to the lobby. Other family members were not as lucky and actually walked down from the 9th floor with all their luggage after 45 minutes of not being able to get an elevator.The air conditioning in the room was extremely weak which left the room with little air movement and feeling stuffy and warm. The mid 60’s temperature outside was much more pleasant than the room which was a constant 78 degrees. The air conditioner only works when you have the room key in a slot so we would leave our key in the slot all the time. Even that did not help cool the room. We complained twice at the front desk about the air conditioner. Both times they wrote our room number down on a post it note and we were told they would send an engineer to come and look at it. I don’t know if anyone ever came to the room to look at it but the temperature never changed. The front desk just seemed to have an “I don’t care” attitude &amp; the customer service was poor.A warning about the bathroom - the bathtub is a big step up to get into. This creates problems for people with limited mobility. The shower door is a glass and half the length of the tub. I did like the mirror which had a little heating element so that there was a section that never fogged up. . For me the major positive about this hotel is the location. It is about a 5 minute walk to Waterloo Station which connects to several lines and allows easy access to most of London. You can also walk across the Westminster Bridge to that tube stop which is right by Big Ben, Westminster Abbey and Parliament. The hotel is very close to the London Eye, London Aquarium and Thames River cruises. There are several restaurants close by as well as an ATM. Overall I felt the negatives outweighed the positives of this hotel and would not stay there on future trips to London.	
Aug 20 2008 	Near Big Ben and Parliament	We stayed here the first two nights of our tour of the UK and Ireland and then our last night. The room was a little small, but of a good quality. We had to push the two twin beds together, which was done easily enough. Twin beds seem to be standard in Europe. The bathroom was fine, but I don't care for the style of shower that doesn't have a shower curtain or door that contains the water within the shower. I've never understood that. The tub was difficult to get into; it's a really big step up for a short person like me, and if you're disabled, forget it. Breakfast was included in the price of the hotel; it was a good, typical &quot;English&quot; breakfast, which isn't all that different from an American breakfast. The hotel's location is right over the bridge to the London Eye, a museum, Big Ben, Parliament, and Westminster Abbey. It's also conveniently located close to a couple of tube stations. I've seen other reviews that complained about the room temperature, but we didn't have that problem. Also, there's major construction going on across the street, but we didn't hear any noise. All in all, I thought it was a great stay!	
Aug 17 2008 	Great Location great Staff great amenities	Made our reservations back before the hotel was open. Had been keeping an eye on the reviews since then. I have to say I was quite impressed.First, all I can say is, &quot;location, location, location.&quot; The location of this hotel is AWESOME. You are about a 3 min. walk to the Waterloo Underground which connects to several lines allowing easy access to most of London. It is literally across the street from the London Eye, aquarium and riverboat cruise access. Across the bridge from Big Ben and Westminster Abbey. We could actually see Big Ben from our room!Second, the rooms are well appointed. Not all hotels in London can accommodate 3 adults in a room, this one could. While not large, there was plenty of room, the bathroom was quite spacious and the beds were VERY comfortable (even the foldout couch was comfortable) and the bathroom was modern. It was cool walking into the room and having the main bed right there, a small hallway with plenty of lighting (kitchenette on the left, bathroom on the right) and opening into a living room with foldout couch, desk area and extra seating.Third, the staff was very accommodating. The first night we had challenges with the temperature in our room. The staff did everything they could to accommodate us, the manager personally went to the main temperature controls and lowered it, and provided an oscillating fan when the air conditioner just wasn't doing the trick. The next day they offered to move us, but we asked that their engineer look at it one last time. When we got back that night, it was significantly cooler.The hotel also has an executive package you can add on for 15 pounds per person/per night, that includes breakfast, dinner drinks and free internet access, well worth the cost.The one thing I would recommend is to ask to be on the 13th floor if possible. As others have commented on, the elevators are quite small and can get rather crowded. There were times when we went to the executive lounge on the 2nd floor where we had to wait for several elevators before one came that had room.Again, I would strongly recommend this hotel. You get quite a bit for your money.	
Aug 15 2008 	Very Nice hotel - Staff very helpful as well	This was a really nice apartment hotel. We got upgraded to the executive floor on arrival which was really good.We took two rooms as there were 8 of us, 4 adults and 4kids and this was more that sufficient as they had really good sofa beds..Not your normal 'spring poking in your back' type ones.View from our window was unfortunately of a construction site across the road, however to the side you could see the houses of Parliament. It didn't matter too much as we were out and about most of the time anyway.The kitchenette was really useful for heating (microwave) up milk for our 20month old and even for midnight snacks..The London eye only 2mins walk away, along with the duck tours and the area is full of restaurants and things to see. There is a small supermarket near by if you need to get essentials.The lifts are slow on the hotel like other people have said, but is not a problem if you have a room on the top or the bottom floors which I suppose rules out most people.We would recommend this to anyone. However get in there quick as this is a new hotel and prices are reasonable. We did a similar thing with the River Park plaza when it opened, and now prices are almost two and a half times since when we first went.	
Aug 14 2008	US-like room but weak A/C	Just got back from 6 nights with my wife and teenage daughter and couldn't have been more pleased. The studio suite we had($130/night) was as nice as any room I've stayed in in the US - with sleek decor - two flat screens, lots of wardrobe space/drawers and a beautiful bathroom. Every inch of its relatively tight space was nicely used.Despite the once less-desirable south-of-the-Thames location - it really was a nice location for our London excursions. It was just a 5 minute walk or so walk down the street to the Waterloo tube and probably 7-10 lovely minutes across the Westminster Bridge to that tube stop. Thought the hotel sits by itself - with no immediately visible restaurant/grocery amenities next to it, there are probably a half dozen nearly new restaurants - from Subway to Starbucks to Yo! Sushi within a 2-3 minute walk across the street (on the back side of office buildings you can't see from the hotel) - as well as a convenience store/small grocery (w/ATM). Go another 2 minutes for a McDonald's in the County Hall complex on the Thames river walk. Probably 7 minutes away from hotel, along the Thames at the South Bank Centre complex, past the London Eye, are another 8-10 great-looking sitdown eateries of all types - including the tasty Giraffe (great for families), Latin and Asian places - and our favorite restaurant of the trip - the Wagamama noodle bar. These restaurants were full of professionals and theater/concert goers during our visits. Great place. Hotel overall is beautiful and unlike anything else I've seen in London. Very U.S.-like - so don't stay here if you're looking for a quaint old hotel with UK character. Internet access was a relatively cheap $4 or so an hour (you buy cards with scratch-off codes at the front desk... They didn't have 1 hour cards - so gave me 4 hour cards for the same price!)Despite comments of others, we had no real issues getting elevators (there are only 3) despite spending 6 days there. Once only, we descended the nice stairs (great view outside) 5 floors to the lobby due to overcrowded elevators going down. All other elevator uses were without issue.If you truly want to be in the thick of things - shops, restaurants and tube stops 1 minute away - then pick Leicester Sqare or Oxford Street, etc... Otherwise, pick a place like the Park Plaza - which has deceptively convenient amenities and services nearby if you just do a little detective work when you get there.Only negatives... The A/C system was weak, weak, weak and the temperature adjustment knob was as imprecise as a knob of a kid's toy... No temp markings - just turned it left or right... Had it been much hotter than 70 F outside - which it was all week - it might have been extra hot in the room - but we just got by at that temp. No perceptible air movement - and only works when you have a room key in a slot - which they happily take out of the slot if you leave room with system in use (which anyone would want to to try to get a headstart on cooling room when you return at end of day). Whether Euro folks like A/C or not - the cooling system is unacceptable by any reasonable standards... - even terribly relaxed ones...Also - a sort-of negative - the shower door is a pretty one - but a a giant glass one, too - without any sort of major metal supports or door guards (they were going for a clean look) -.. and we feared, all week, that we or our 12 year old would make one false move - and the entire thing would break into a million little glass pieces if we just tapped it wrong or we didn't enter the shower &quot;just so&quot;	
Aug 13 2008	not what I visioned	first, we asked for a room with a view. Since we were checking in after a very long flight and ride to the hotel (14 or so hours) we were exhausted. Our &quot;view was opening a curtian to see rooms on the other side&quot;,no outside at all. We were just too exhausted to go down and argue (blonde girl at desk) The room was tiny, the bathtub very high and inpossible to get in and out of. There was one tiny bottle of shampoo and one of conditioner for two women with very long hair. There was no storage space.The internet-did not work. The lifts were on the slow side and the breakfast was just -ok. The Air conditioner was great-so they must have fixed it! It actually was very cold!I paid nine pounds for one martini at the bar!On the other hand it is close to the Eye, Big Ben and walking distnace to almost all of the attractions. When I go to London again, I probably will look for another hotel. It had no wow factor at all.	
Aug 13 2008	Nice Hotel	We stayed in this hotel for 3 nights. It does cater to tour groups because we had just completed a 12 day cruise through the Baltic's, and this is where the travel agent assigned us. The hotel is a very busy hotel, a nice buffet breakfast was offered each day (and was included with the room). The hotel is in a great location, a short walk to the London Eye &amp; Big Ben.The bed was a bit hard, and of course, there was those european showers (half glass doors??) so when you showered, half the water was left on the bathroom floor.Our room was on the 9th floor, and twice, the fire alarms went off, and no one advised anyone as to what was going on. Very strange.Overall, it was a nice place and very clean.	
Aug 13 2008	A very stunning hotel with views i will never forget.	I stayed at the hotel with my girlfriend for her birthday and it really was worth it. We booked an executive suite which we were very pleased about! as you get into the hotel the first thing you notice is the funky looking bar and the very helpful staff. all very friendly and willing to do anything to make your stay as good as possible. we were then up graded to a penthouse suite which had amazing views over london. views that i will never forget for the rest of my life. everything was clean and very stylish, something a young couple love. the rooms were so bright from the huge windows and has left a very good taste about city hotels in london. if your looking for somewhere to stay then trust me...stay here! its worth it! this hotel is somewhere we would stay again! close to everything you need and the most helpful staff someone could ask for.	
