	stay somewhere else	We spent 2 weekend nights at the London Guards and could not wait to leave. The receptionist barely spoke to us when we checked in..we had to ask about breakfast times, check out etc. and were given one word answers. We stayed in a quad room that smelled like my grandmothers attic. Luckily our next hotel in Edinburgh had laundry facilites because our clothes all smelled musty. My daughter fell badly on a wet floor coming downstairs one morning (no signs posting it was wet) and the 3 employees who were watching didn't say a word or try to help. Unbelievable. The Lancaster Gate tube stop was also shut down so it wasn't even convenient. The breakfast was sufficient and the servers were polite. This is about the only positive thing I can say about this hotel. There are too many other options in London to stay at this hotel.	
Jul 16 2006	London Guards Hotel: a big disappointment...	This is a three-star hotel, but aside from the air-conditioning and the strong shower, I'm not sure how it got rated so high. We stayed in our first room for two nights, until we found ants crawling on the suitcase. They did a laundry for us, for free, and then switched us to another room, because I insisted. They tried to give us an even smaller room, putting a cot in for my nephew, but I refused. We were finallly given a nicer room. This room had bugs in the bathroom--only two, but still...Continental breakfast was included and it was bad. Tasteless white bread and rolls, hard little crossants, and, according to my nephew, stale dry cereal. No fruit, yogurt or cheese. We couldn't find anywhere else close to have breakfast and no one on the staff had a recommendation.Pillows were small, flat, and lumpy; sheets and towels were coarse.The staff was nice, but not particularly knowledgeable. Practically no one could tell us what bus to take, etc.There was supposed to be a computer hookup in the room which I had e-mailed them about. Despite e-mails back and forth about it, no one mentioned the special type of adapter we'd need. We had brought appropriate adapters with us, but they didn't work. There's a computer in the lobby that there's a charge for. It is incredibly incredibly slow.	
Jul 14 2006	Don't go!	After reading numerous reviews of dozens of budget hotels in London, I chose this hotel over another I'd stayed at in the Bayswater area several years ago. Big mistake as we'd booked 7 nights based on the positive reviews. The hotel charged our credit card upon arrival which is likely the first sign something is wrong.Positive remarks: Our bathroom and room were thoroughly cleaned every day. Nice size fridge in the room. It is near a tube station and close to Hyde Park. The hairdryer was located beside a dressing table, a big plus for women!Negative remarks: The hotel is old and tired. Lumpy bed. We didn't have any easy chairs to relax in after a long days of sightseeing. The breakfast is as bad as everyone describes it. We went twice in 7 days. The hotel is not as close to the main Bayswater shopping and restaurant district as many others.We paid 75 pounds per night, which was considerably more than the nightly rate at another budget hotel in the Baywater area I'd previously stayed in, so I expected a higher standard. Wrong! It was a poorer. Warning---don't go!	
Jul 8 2006	Great value London Hotel	With hotels in London being so expensive we thought this one was a real bargain. We were very surprised to get such a very large room which had 2 double beds. The room was very clean and also had a refrigerator and air conditioner. We arrived early one morning from a flight from Sydney and they did not give us an early check in which was a bit disappointing. The night clerk could also do with some lessons in customer service, but the day staff were a lot friendlier. The breakfast room is in the basement and was very poor - they served us stale croissants and most of the crockery was we ate from was chipped (including the coffee cups!). The location was quite good as well, close to the tube though you still do have to walk a bit to get there. The hotel is a bit out of the way from the action but overall we would definately go back to this hotel.	
Jul 7 2006	Pretty Average	We were two families with small children traveling together. I must concur the London Guards is in a convenient location and the price is great for London. I wish my review could be glowing, but it's not. The hotel is a bit quirky. The rooms are kind of funky (some have stairs in them), fairly clean, and the breakfast is second-rate for London--if you want a proper English breakfast, don't stay here! We went during a heat wave and getting air conditioning was a big selling point for us. However, our A/C was not working properly. I told the person at the front desk about it and was told they'd take a look at it. Three days and three requests later, there was no change. The people at the front desk were always pleasant but helpfulness was not in their repretoire. We often asked for information about good nearby restaurants, or sightseeing information and were told, &quot;I don't really know.&quot; Gee, thanks. We've stayed in many B &amp; B's in London and on the continent and we know what to expect. This hotel was a disappointment. We will stay elsewhere next time.	
Jul 6 2006	More bad than good	My husband and I recently spent seven weeks driving around Britain, staying in farmhouse B&amp;B's, averaging 25-30 GBP pppn. Some were small, some were old, but they all were clean, friendly and had pretty good breakfasts. We're not too fussy, and definitely not &quot;five star hotel&quot; folks! That said, we spent three nights at the London Guards Hotel. I chose it after extensive research, based on the following criteria in order of importance: quiet, small, inexpensive, near a tube station, with 70% or better good reviews from Trip Advisor readers. As with many places in a large city, there are good points and bad points about this hotel.The good points: We had a room on the top floor at the back, and it was really, really quiet! The room was very generously sized, adequately clean, although not spotless, and had a portable fan. There was a large refrigerator, which was very handy, since there are several inexpensive take-away places within a few blocks, as well as a couple of pubs. It is an honest 8 minute walk from Lancaster Gate station. The towels were good, there was lots of hot water and water pressure, and a hair dryer. The lift was small and slow, but worked fine and was handy for carrying luggage. The receptionist was efficient, although not overly friendly.The bad points: The hotel is quite run down around the edges, such as peeling paint, etc. The first morning we did not get room service at all, and had to request it the other two mornings. The windows only open about 2&quot;, which was bothersome, as the afternoons were warm. There was an air conditioner, but after listening to a few minutes of it wheezing, and smelling the stale cigarette smoke coming from it, we gave up. (We had requested a non-smoking room, but did not get one.) But the worst point -- by far-- was the &quot;breakfast&quot;. We went down into the basement room which was positively vile smelling -- old, old stale smokey smell in the very walls and floor! My tea was fine, but my husband's coffee was thick, stale and so strong he couldn't drink it. The breakfast fare consisted of cold rolls, cold croissant, one kind of cold cereal, cold butter, milk and orange juice. A cooked breakfast was available for 9 GBP each ($16 USD each), but after seeing the &quot;Continental breakfast&quot;, we didn't want to waste our money. Needless to say, the next two mornings we didn't even bother to go downstairs, as we could not take the smell of the room.At 75 GBP per night for the room, we were not terribly unhappy (other than the breakfast), but next time will certainly stay at another hotel.	
Jul 2 2006	Great hotel great price!	My wife and I settled on the London Guards after reading the reviews on TripAdvisor, and we were not disappointed. We stayed there with our two kids (ages 4 and 1) for three nights, June 2-4, 2006. We knew it a &quot;budget&quot; hotel going in, so we didn't expect anything too fancy. With that expectation going in, we were quite impressed with the hotel.We had a triple room, two double beds and one single. I think it was room 206. Out the back window we could see a cobblestone alleyway, and out the front we had a great view of a building called the Spire House, a beautiful building with, you guessed it, a huge spire. It resembles a medieval church. The room was VERY spacious, like a small apartment almost. It smelled fine (my wife has a very picky nose!), and looked good. Housekeeping was excellent, we had fresh towels and a spotless room every day.The hotel is on a very quiet street, mainly a business/hotel area, just a few blocks from Hyde Park. The Lancaster Gate tube is a 5-10 minute walk (I highly recommend the tube for travel), as are numerous ATM machines. A nice shopping area (Bayswater) is also about a ten minute walk, good for last minute souvenirs. Internet access is available in the lobby, for a nominal price.The staff was always very friendly and helpful, never seeming &quot;put out&quot; at all with any of the numerous questions one asks when one has two small children! They held our luggage in the lobby on the day we checked out for an extra three hours, while we finished up our sightseeing. They offered to do it even before we asked. And a few weeks after our stay we even got a letter from them, thanking us for our stay!The only less than perfect aspect, as noted in other reviews, is the sparse breakfast, but since we don't eat a big breakfast anyway we didn't care. Hot food is also available for a fair price.Highly recommended for the non-fancy traveler.	
Jun 23 2006	old hotel	the small lift was utterly pointless as it took forever; room was large (two king/queen beds and one twin bed), but the beds were so old that my partner and i awoke in a sinkhole in the middle...the bedding seemed to be equally old and worn; chairs were quite stained; pay internet machine in the lobby	
Jun 19 2006	Sweet and simple	We stayed at this hotel for four nights during the month of June 2006. On arrival, the hotel was a bit difficult to find. As marked on the map, it appears that lancaster gate is opposite the hotel, but this isnt the case. Lancaster gate is about 300meters from the hotel, which is quite a walk if you have luggage and dont know where it is. We had a double room on the 1st floor which was fairly large. The room had a fan and an aircon that worked perfectly as we had experience extremely hot weather whilst in london. The bathroom was large and more importantly it was clean. Our rooms and bathroom were cleaned daily. The hotel also allowed us an early check in which we were emmensely grateful for as we needed to freshen up after such a long flight. Also on the occassion that we needed an adaptor, we were provided with one quite promptly. (for a fee ofcourse)Breakfast was standard and included cereals, toast, juice and croussants. If you wanted anything else, you could order off the menu, which i thought was rather expensive.The staff at the breakfast room were friendly, however i the desk clerk needs a few lessons in service. Overall, i think i got what i paid for, given the high prices of hotels in london. We were there on holiday and spent very little time in the room, so it was perfect. Althought 300meters away, lancaster gate is quite convenient. There are also loads of restuarants in the area. If you would like to picnic or take a stroll, hyde park is close by. The neighbourhood is also quiet, so its a good place to getaway from the noise and buzz of london city.	
Jun 16 2006	Worn out but clean.....	I just returned from London. I stayed in this hotel for 5 nights... The hotel is worn out especially in the loby. The furniture in the rooms are also a little bit old. However, the rooms are clean and not small . There is a small refregirator in every room. The bathroom was also quite big and clean.I booked to hotel from internet and it is rather cheap according to London prices. There suppose to be an airconditioner in every room. However, ours was not working. It is was very hot during our stay. So, we reported it several times. But it was never fixed. When we wanted to change our room due to this problem, they told us that the hotel is completely booked. However, they promised to grant us a fine. Guess what? We never got it!The biggest problem in the hotel is that, It is difficult to find somebody that speaks fluent English and also that can help. The staff is friendly but that is all. Will I stay here again? No way!	
Jun 5 2006	large room pleasant stay	Stayed 1 night while working in Hyde Park, booked a single room but got a twin which was fairly large with loads of room. The room/hotel could use a lick of paint and a bit of updating bu apart from that was a pleasant stay.10 minute walk to nearest tube or 15-20 minute walk to Marble Arch.	
Jun 3 2006	Good price for London	London is an expensive city; finding this hotel near Hyde Park that could hold 5 people for a reasonable price was a plus. The hotel is older and certainly not the Omni, but the price and location for 5 people is unmatched.	
Apr 23 2006	Quite Basic but good location	The hotel is a 5-10 minute walk from Lancaster Gate tube station and is in a quiet area.We booked a double room through LastMinute and only paid £69, I would definitely not pay anymore for this room.The room itself was very basic and very old fashioned. Although the size of the room was excellent, very large by London standards. The bedding wasn't really up to much, our bedspread was quickly discarded as we found a brownish stain on it . And underneath we had a brown fleece blanket and a sheet. Not really what we expected.The bathroom consisted of a toilet, basin and shower. The shower was a bit tempremental and sometimes it shot out boiling water which resulted in me getting burnt!The breakfast was okay - we had the continental, there was a choice of fruit juices, tea, coffee and to eat , croissants, bread rolls and cereal.I have stayed in three hotels in Lancaster Gate - and I would definitely consider the others before booking here again.	
Apr 17 2006	Great value	We - a family of five - stayed here for three nights and got a very large and quiet room on the third floor. The location is good but a bit boring, as this area is dominated by hotels. The walk to Lancaster Gate tube-station is only ten minutes (It will be closed this summer, but I think Queensway is nearly as close.), but the restaurants and cafés were a bit harder to find. However, when we found them, they were good, and even our youngest daughter (6) was content.The best thing about this hotel is the service - the receptionists were extremely helpful. The worst thing is the breakfast. Croissants, spongy breadrolls, cereals, (toast on request), juice, tea or coffee is what you get, if you don't want to pay - rather a lot - for the English breakfast. However, this is England, as far as I know it and I would recommend this hotel.	
Apr 3 2006	Wonderful stay A++++++	I stayed here with my husband and sister for 8 days. I read the reviews before we booked and it was as everyone said. This is an older building, the rooms looked alittle worn. But they were a good size and the bathroom was very large. The staff was very helpful and it was a great location!!!! For an inexpensive hotel it works great. I will defifinitly stay again. Can't beat the price!	
Mar 26 2006	Great Experience!	To find a large enough room to sleep a family of 5 comfortably was a blessing! Particularly in such a nice hotel! We enjoyed the location very well. Being right on Hyde Park allowed us to feed the pigeons daily, walk the park and see everyday Londoners and their dogs, and walk to Kensington Palace and the Orangery (highly recommended). Multiple restaurants were nearby. Pickup spots for our tours were around the corner. Hotel service was great, free breakfast, and location! The price? Average for the area, but remember everything in London is expensive.	
Mar 12 2006	Wonderful Hotel	Coming from Canada, in a group of three (two kids, 13 and 17 and one adult), we were reccomended this hotel as an alternative to another one in the area that had had some negative reviews from a family friend. We were given a room on the second floor with a wonderful view of Hyde Park, and although it was small compared to other rooms in the hotel, it was very cozy and served our needs to a tee. The beds were very comfortable, bathroom in good condition and the small fridge became very handy. It was also nice having a teapot, cups and a container to boil water in, as we ended up buying a large amount of tea in London during the trip! The hotel is in good condition, although the wallpaper in our room was pretty gaudy. On our first day, suffering greatly from jet lag, it was wonderful to stroll in the park, barely a minute away, and it was found later in the evening that there are some nice restaurants in the nearby area. The neighbourhood and hotel itself was relatively quiet during the night, so we slept very well during the whole stay (five nights). I'd say that the best feature of the hotel was the superior service, whether at the front desk or at breakfast. Housekeeping was especially wonderful with our room- we were pleased to come back to such a clean room with fresh towels on our beds after a long day in the city. Breakfast was the only thing worth complaining about, as it got pretty dull by the last few days- the croissants were excellent, but the daily cornflakes or dry rolls less so. All things considered- a fantastic hotel, especially for the price. It certainly added to the wonderful time we had in the UK.	
Mar 7 2006	Excellent Value for Money.	We stayed here for 3 nights in November when we went to London for a short break. We were pleasently surprised to find that our room had both a double and single bed and there was plenty of room. The staff were very very friendly. The rooms were very clean and were cleaned each day while we were out. I was afraid of how big the bathroom would be as I had heard not to expect anything much in London, but it was a fine size and had a really good shower in it. There was always hot water. The breakfast was the worst bit. The cornflakes were very soggy and the rolls weren't great either but then again we were out and about site seeing early so we just ate while we were out it suited us better. When we got home we got a letter from the hotel to thank us for our visit. It is a cheap and cheerful hotel and centrally located for everything. We will be staying here again if we go back to London.	
Jan 18 2006	All around good value for London	We stayed at the London Guards Hotel in January 2006, and I have to agree with the reviews that are posted on this site. All around, this hotel provided an excellent value for its price. It's clean, comfortable and in a safe and quiet neighborhood. It is also easy to get anywhere in the city from the hotel by using public transportation. It is definitely a little threadbare but if you're looking for good budget accomodations, this is it. The breakfast was a little sparse, so be warned if you are expecting a big spread. There are two kinds of cereal, croissants and bread rolls. Coffee, tea, juices and jams. That's it. Don't expect anything more.I used the reviews on Trip Advisor to help me find this hotel and was quite satisfied. There were no surprises. And that made me happy!	
Jan 12 2006	Great Hotel great location	I stayed at the London Guards last summer for 2 nights with my 3 sons. Our room was rather large, given London standards, with 2 king and 1 queen size bed. Price was reasonable - ~300$/night via Expedia. This would have been a big room even by american standards. The bath was very clean, and the staff extremely friendly and helpful with tour advices, public transportation etc.Location was convenient, close to Hyde Park. While you can't really walk to any of the big attractions, you can get there easily with public transportation. The neighborhood felt very safe, even at night. Case in point: as my sons pointed out lots of nice expensive cars parked on the street!	
Jan 11 2006	Great location I'd stay again	London Guards Hotel was a great value for the money. The hotel is older, small, on a nice quiet cul-de-sac just north of Hyde Park--you can see the park from the front door. The location could not be better--5 minutes to Lancaster Gate Tube, 7 minutes to Queensway, 9 to Bayswater, 12 to Paddington. Very well lit, safe, high rent area. (Newly renovated 3 bedroom flat next door was listed at 1.7 million GBP) Our room was large by London standards, clean and comfortable. The TV was tiny with very limited channels, but I'm not in London to watch television! The bathroom was decent size with plenty of hot water, clean tile, not funky. The only real complaint I have is the shower curtain was mildewy at the bottom and smelled mildewy when you ran the water. There was a towel heater in the bathroom. The staff was friendly and very accomodating, although I'm not a difficult or demanding guest so I cannot tell you how they would react to requests above and beyond what was provided. Not beautifully decorated and in fact the wallpaper, Queen Anne style chairs, bachelor pad couches and wooden parquet floors and chandeliers were a bit incongruous in their juxtaposition of styles, but, again, it doesn't matter to me if it's clean, well-located and safe. I'd stay here again any time. If you walk toward the Bayswater tube station, you will find all manner of anything you need--Boots, huge variety of food from American staples (KFC, McDonald's, Burger King, Subway, Starbucks) to chippies, pubs, etc. There's also some cheap internet cafes (50p for an hour) as well. If you've ever read the book &quot;The Mouse and the Motorcycle&quot;, the London Guards is the hotel in that book in my imagination. Enjoy!	
Dec 23 2005	You get what you pay for. And that's not much	We spent four nights on London Guards Hotel. The booking was easy and paid 240 pounds or so.The room had dirty windows, occasionally working toilet flush switch, an unpleasent and strong airfreshner smell in the bathroom - had they something to hide? The bed was hard, TV had a bad or no signal at all, we saw the receptionist guy seven times, there was two times when he was NOT on the phone talking foreign language, not english.The bottom floor stinked, there had to be some plumbing hazard or something, you couldn't really breathe on the hallways in bottom floor. And the breakfast was served in that floor, luckily that room didn't smell. The plates, cups and forks were dirty on three of the four breakfasts that we had.It was bad, but I guess it's the best you can get with budget like this. On any other place you could have much more. Despite being cheap, I cannot recommend this hotel as there HAS to be something better than this with 60 pound per night, even in London.	
Dec 6 2005	Excellent Hotel	Full modern shower and bathtub. Plenty of hot water and good water pressure. Clean room and common areas. We stayed 7 nights and staff was always friendly and accommodating. Our double room was adequate size, high ceiling, included a small refrigerator, and a safe. Bathroom was large. The hotel has an elevator. The Lancaster Gate tube station is a five minute walk as is Hyde Park. The neighborhood has an elegant feel to it. If you stay be sure to check out the nearby Archery Tavern at 4 Bathurst Street, it has a real pub atmosphere and great pub food with the landlord/publican on site most of the times we were there. The Swan at 66 Bayswater Road lacks the &quot;real&quot; pub feel but the staff were very warm and welcoming.	
Dec 1 2005 	Very Good value and would recommend	I visit London on business and pleasure and have previously stayed at many other locations. This hotel is however exceptionally good value. I had a single room which was adequate and if alone who needs a lot of room. The room was warm, dry and quiet. A pre-requisite for business travel. Breakfast was a surprise as to the cost of the &quot;English&quot; breakfast - tinned mushrooms not welcome - otherwise good if not a little pricey. But continental breakfast fine. Staff could have been friendlier. Conclusion - will I stay there again - yes;will I recomend - already have.	
Oct 31 2005	Best Value	We stayed at the London Guards for 6 nights. Overall, it was a very good experience and I would definitely stay there again. In fact, I would recommend this hotel.The rooms were clean, though not big. The bathroom, which was spotless, did not only have a shower but also a tub. The staff were so helpful. THe best thing of all, the room had a fridge and a safe. Some say the drawback is the breakfast. But, I didn't care. The hotel served only croissant or bread and cereals, plus orange or grapefruit juice and coffee or tea. I didn't choose the hotel for its breakfast. As a matter of fact, other hotels that never showed good reviews cost more and didn't serve breakfast. The location is simply ok. It is a good walk to the tube station, unlike the other hotels that have a station right at its doors or are not far from it. Anyway, the walk to the Bayswater station is good (compared to the nearer Lancaster Gate station) because there are lots of shops and restaurants on the way. For £59/night, I would say that I got great value for my money.	
Oct 20 2005	Not bad for London!	This is London....so unless you pay mega bucks don't expect anything TOO fancy.For 180 GBP for 3 nights(via Lastminute) we found this to be a pleasant,clean and overall a good standard of hotel.Its proximity is near Lancaster gate tube station and Hyde Park.Our room was on the top floor (4th) and we had no problemw as they had a lift!!!!The only drawback was the Breakfast Buffet!!!If you are a big breakfast eater(All you americans BEWARE!!!!) this may be a shock to the system and you may need an extra breakfast later!!!YOu only get cereal (2 sorts) and Croissants and rolls.Oh yes...you get tea or coffee!!!!Overall its a good,clean,good value for money hotel and the staff were pleasnt too!	
Oct 5 2005	Good value clean and spacious rooms.	Stayed at the London Guards for 3 consecutive nights in late september. Double was GBP 65 a night incl. breakfast.The rooms are a bit worn and do not expect to much from the breakfast.Location is good, 5-10 minutes from Lancaster Gate tube station. Quiet neighbourhood. Beds were good too. Our room had a fridge and was clean and rather spacious (!). Having stayed in some rather dodgy, extremely small rooms elswehere in London, I found this to be really good value. Would recommend it.Enjoy London!	
Sep 27 2005	Glad we stayed!!	During our recent trip to England, we spent one night at the London Guards Hotel and were not disappointed at all! After being warned by more than one person about the 'tiny hotel rooms in London' we were amazed by the size of our room! There were two beds in the room as well as a full living room area and a good size bathroom. The hotel was clean and the staff friendly. They also helped us out with an early check in on our day of arrival. The breakfast was fine- nothing special but it served its purpose- some cereal and some croissants to keep us going for the morning. The short (5 minutes or so) walk to the tube made it very easy to come and go from the hotel. We have recommended the hotel to others and will definitely think about going back on our next trip to London!	
Sep 24 2005	excellent hotel	I decided to stay at 'London Guards Hotel' firstly because it was fairly cheap in comparison with all other London hotels and because I had read such good critics here!Well, it was certainly worth it. Perfect location, very friendly staff and most importantly CLEAN! OUr room was pretty spacious; tv, air-conditioning, boiler, shower/bathroom .. I requested 2nd or 3rd floor as a trip advisor member advised and it was just fine!Breakfast was a bit poor but who really cares? After departure, I even received a letter home thanking for the stay etc etc which was highly appreciated.I recommend it 100%. Oh, do ask them the service to/from the aiport or any other location. It's worth it - not expensive and saves you from a lot of trouble. Don't book a taxi yourselves!!! They offer a very good service for a logical price (if there's any logic in London!!!!!!)Unfortunately, photos are not that clear but you can get an idea!!	
Sep 20 2005	A great place to stay	A great place to stay. Our room on the 4th floor was huge, with 3 beds. Very clean bathroom (with big tub), fridge, TV and very quiet at night. Location was excellent, 5 min level walk to Lancaster Gate tube or 10 mins to Paddington Heathrow Express terminal. Continental breakfast was fine. I would stay again.	
Sep 18 2005 	Satisfied	This is a satisfactory place to stay, for a decent price. Our room was nicely decorated, although it seems like its been a while since the last overhall-- there was some peeling wallpaper in the corners etc. The room and bathroom were very clean though, which is the most important thing. The bed was comfortable, and having the fridge in the room was very useful.The service is no-frills-- not bad at all, but no extras. The continental breakfast was very average. I tried the full English breakfast one morning, (costs extra), but it wasn't so great. If you stay here and like a big breakfast, go for the ham and cheese omelette instead.Overall, satisifactry, especially if you're on a budget.	
Aug 11 2005	Good Hotel Nice location	After reading the reviews for London Guards Hotel in this site, I booked a room in it. I was not disappointed.- Nice location: 5 min walking from “Lancaster Gate” Underground station. Very quiet neighbourhood.- Good value for money: we did get a very good price on the internet for one night only, from Saturday to Sunday. - Clean &amp; spacious rooms.: as advised in one of the reviews, we asked for a room in the upper floors when making the booking. We were given a room in the 4th floor. Very quiet apart from a continuous “buzz” coming from the air conditioning engine on the roof of the building.(although it did not matter to me at all).- I was surprised by the nice fridge in the room. There is also a kettle, a TV, a hair dryer. The bath room was spacious and very clean. Towels and shower gel were provided.- Nice continental breakfast: tea/coffee, croissants and bread, jam &amp; cereals, orange juice.Tip: Make your booking through a London hotel’s website and get the unofficial price: you’ll save money and then the hotel will really be good value for the price.Ask for a room in the upper floors: maybe not on the 4th floor if you want to avoid the very light “buzz” coming from the roof .I will definitely come back to London Guards Hotel for my next visit in London.	
Aug 8 2005	Great location/value	This was a good, clean hotel, I was very pleased for the price I paid (via lastminute) It has the high ceilings that so many have mentioned, and it is more like staying in a london home that has been converted than a hotel. It was clean, looked good from outside and in, in a quiet location behind a church ( you can see hyde park, it is about a block in front) the receptionists were very nice and helpful. Breakfast was a nice affair, crosaints, toast, juices, cereals, etc. Full English costs more, didn't have that, continental was enough (It is basically all you can eat!) Right, now for you AMERICANS :::: (I can say this because I am American living in England) This is what you may not like. It is about a 5 minute walk (YES WALK) from Lancaster Gate Tube station. About the equivalent of 3 blocks. Nice, clean, safe streets though! This is a great location if you don't mind taking the tube everywhere. It is in Zone 1, so very central. Our room had an adequate double (Probably smaller than what yanks are used to ) and a single bed as well. (Even though only two of us in room. ) I remember an American mentioning the towels were small. I found them very adequate, clean, white, etc, they fit me ok. (Size 12 UK, I think 10 US? ) CAble is good, TV works, kettle, etc, I could find no fault with this and the price we paid (59£) we were very happy.	
Jul 25 2005	Nice Room Pleasant Staff Great Location 	This is a small Botique Hotel on the edge of Hyde Park between Bayswater and Notting Hill. This was the only 3-star hotel we could find that offered large rooms (we are a family of 5) and airconditioning at a reasonable price. The hotel is old-world and charming. While it does not come across as a new Hilton or Marriot, it does come across as authentic and British. Beautiful old world crown molding in the lobby and corridor, internet access from the lobby, basc breakfast an interesting bar and a friendly staff. The location was excellent: Nice neighborhood, centrally located and near the tube. I stay in London all the time for business and pay much higherprices for hotels that do not in any significant way outshine the London Guard. Nice place to sleep while visiting London... Save your money for the city.. you'll need it !	
Jun 22 2005	a nice hotel	We got what we expected. friendly staff. nice triple room. AC was o.k. breakfast a bit poor but fair. the area was quiet and very near the beautiful Hyde Park and the Tube.	
Jun 22 2005	Ask for rooms on upper floor	I stayed at the London Guards Hotel in June and on the first night was assigned a room that was depressing, dark, dant and musty. The beds were terrible in terms of large divets and depressions in the middle causing one to either roll to the side or sink in the middle. I asked for a different room the second day and was given a room that was so wonderful in contrast. This room had high 15 foot corniced ceilings, large windows, flowered wallpaper, smelled lovely and the beds were firm and level. What a difference!!! I couldn't ask for a better room, so be sure to ask for an upper level room and not one in the basement or ground level.	
Jun 13 2005	Good hotel good Price!!	We recently stayed 3 nigths at the London Guards Hotel. It was 4 adults in a Family room. I have been to London before and I was pleasantly surprised with the size of the rooms. The rooms were big for London standards, with refrigerators to keep beverages and snacks which is very handy. The bathroom was a very good size and the tub was quite nice. Water pressure was excellent and there was plenty of hot water. Continental breakfast is included. Location is great. The tube and the bus are 1 1/2 to 2 blocks away. Hyde park is also about a 4 minute walk from the hotel. The hotel staff was very friendly. They helped us to book some tours which was great. For anyone with a car, there is a carpark not too far from the hotel and they offer discounted rates to guests of the hotel. Overall, it was a very pleasant experience. I would definitely come back to this hotel and highly recommend it. It is not a 5 star but it is a good hotel at a good price.	
Jun 1 2005	Spacious London hotel	We just returned from our stay in England which included two nights in London at the London Guards Hotel. We were very pleased with this hotel. We had a quad room (2 adults/2 kids) and it was very large, even by American standards, with high ceilings and huge windows which added to the spacious feel. We had two double beds and a single off to the side which gave our teenager a tiny bit more privacy than you would expect in a shared room. With an electric tea kettle and fridge, we were able to have a nice snack time in the room. The bathroom was sizable with very good water pressure and plenty of hot water. Windows in the room and bathroom opened for a nice breeze. The staff was friendly and competent, but not particularly bubbly. I would add that in addition to the included breakfast you can order a more full breakfast -- we found that for 3 pounds (approx. $5.50) you could get one order of eggs and bacon which was large enough to supplement our family's breakfast (a piece of bacon [very good bacon] each, and a bit of scrambled eggs). Everything was clean and neat, but not fancy. I would definitely recommend this hotel.	
May 23 2005	Pleasantly surprised	After reading several reviews of the London Guards and other London hotels, I was expecting to be jammed in the equivalent of a storage closet. The London Gurards Hotel was a pleasant surprise. First, the location is great. Within a few blocks radius you have the Lancaster Gate tube station, a bus stop, a cash machine at the Shell station, a fairly good shopping district and a relaxing walk through Kensington Gardens. The hotel is located a couple of blocks off busy Bayswater Road, so it is pretty quiet. While the room is not huge, nor is it fancy. It was clean and large enough for the 3 of us to move around pretty well for the 5 nights we were there. In fact, it was larger than some of the motels we havestayed in here in &quot;The States&quot;. We had requested a room with 3 single beds, and we got it. The bathroom was &quot;functional&quot;, nothing special. The shower had plenty of water pressure and hot water. One negtive was theair conditioning. It wasn't working the first night, but the staff checked into it and got it working. However, it wasn't working again the second night. It was on the third day that we were told that they turn it off at 10:00 PM due to the noise. Thankfully, the tempratures at night were cool, the windows opened and the room had a fan. The continental breakfast, which was included with the room, was small, but tasty, cereal, breads, juice, coffee or tea. The staff was polite and courteous and seemed happy to help when we needed assistance. I don't know when or if we will visit London again, but if we do, the London Guards Hotel would definitely deserve consideration for our accomodations.	
Mar 24 2005	OK	For London, where everything tends to be expensive, this hotel is a good value if you get a reduced rate by booking though a third-party website.The only problem: after making a reservation for a twin room, we were given a room with a double bed (big enough for only one person), a sofa bed (with no linens), and a roll-away cot (only big enough for a child). We requested a room change for the second night and had a much better room.	
Feb 27 2005	A Gem	I stayed four nights in February, 2005. Anyone who complains about the London Guards Hotel has not stayed at many London budget hotels. This is a gem. On check in, I was first taken to a ground floor room, but my research had told me these tended to be noisy. I mentioned this, and I was given a room on the first floor overlooking Lancaster Gate. Cleanliness was excellent. Bathroom was large enough, clean, and functional. Staff was pleasant and helpful. Breakfast was entirely bread and corn flakes-type cereal, but with a refrigerator in the room, I simply did a little shopping and had some great meals in the room. This will be the first place I check when I return to London.	
Feb 21 2005	Guards Hotel	I Stayed here with my girlfriend for 4 nights during mid Feb. I found the hotel to be better then average and very good value. Although if you do want to stay in this hotel I do suggest shopping around on the websites for the best deal - as its about £130 a night for a double room when you are there, I paid £160 for four nights on one website but you could have paid up to £400 for the same duration.The rooms are big for London, and had a nice fridge and all the things you expect. Reception were always helpful but never bugged you. The hotel was very clean, and room-service would clean your room when you wanted it to be at pretty much any time during there day (till 5pm).The hotel is located in a leafy bit of Lancaster Gate and about 5 - 7 mins from the tube, which is, pretty much perfects. There is also a local store, which sells odd bits you might need (but not newspapers!)All in all this is the best budget London hotel I have stayed in, next time I’m in the city i will stay here. One minus point though, like so many hotels in London you have to leave your key at reception when you go out - they say its for security, never been to keen on this idea but that’s just the way it is.	
Feb 20 2005	What a dump	We stayed there in July 2004 and found it dingy and run down. Indifferent staff. I would not recommend it.	
Feb 18 2005	Great value for the price	Me and my wife stayed three nights in London Guards lately. We get an excellent price through ----------- when booking about a month beforehand (less than third of the rack price). Must say that hotel was great value for the price we paid.The room was clean and comfortable, thus the double bed was not stardard wide but it didn't bother us since we like to sleep close to each other...Breakfast was not very hearty but as we already know about what to expect (thanks to other reviews on this site) it was OK.I would definitely recommend this hotel to anyone who doesn't want or need five star luxury but a cheap, comfortable and clean room quite near the center of London with good public transport connections.	
