	Great location	i stayed here as it was close to Paddington and I was leaving the following day for Heathrow and could jump on the Heathrow Express. I had a single room on the 2nd floor (no elevator). It was VERY tiny and the bathroom was even tinier. I had to be careful when using the toilet as there was a ridge around the shower and I could have easily sprained my ankle. Quite frankly, the walk in closet I have in my apartment is larger than the bathroom was. This hotel, as in many others in London, does breakfast only one way. I've never understood why the cooks cannot scramble an egg. They can only fry them sunny side up. If you have a bowl and a fork, you can scramble an egg. But here they couldn't do that. In fact, when I asked, the waiter looked at me like I was from another planet and he didn't even know what scrambled eggs were!!It's an OK place to stay if all you want is a bed and tiny bathroom. For breakfast, I suggest Garfinkel's on the corner of Praed Street.	
Aug 31 2004	Cardiff Hotel. . .just what we hoped!	We booked the Cardiff Hotel, as one of many during our 10-day U.K. tour, after reading Trip Advisor reviews and were not disappointed. We are a couple in our 60s and knew that the hotel rooms would be small and that there was no elevator, but we only planned to be in the room to sleep and we had packed light (one carry-on each) so did not have problems negotiating the stairs. We requested and got a room at the front overlooking Norfolk Square and it was very clean and bright. The hotel is only 2 blocks from Paddington Station, so it was easy to get anywhere in London. It was also a great location for us since we were heading further north and our train left from Paddington. The staff were very helpful and friendly and the breakfast was hot, quick, and filling. The only negative we saw was the tiny shower (my husband is football player size) which also had some mold in the caulking. In spite of that, we would definitely stay at the Cardiff again and would recommend it to others who have similar requirements.	
Aug 12 2004 	Well worth staying	I have stayed at the Cardiff Hotel as my default hotel in London for many years and have got a great affection for it. It is certainly not posh and if you are placed on the upper floors it is a bit tiring to get to the rooms without a lift. I must have stayed in all the single and double rooms over the years and they do differ and can be a little 'faded'. However, gradually many of them are being renovated and are fine as simply a nighttime base with OK beds, clean bedding, small but adequate bathrooms, tea and coffee, tv etc.Generally, I have found the staff behind reception very friendly and accommodating. The breakfast has improved a lot over the years to offer far more choice and large quantities, and I like the fact that the traditional British breakfast is cooked when you want it rather than be prepared earlier and lie around under an inadequate heater.The staff in the breakfast room (who also clean the rooms) have changed over the years from being predominantly Australasian, through Spanish and Portuguese, to the current concentration on people from various Eastern European countries. The guests tend to be an interesting mix of holiday makers from all over the world, UK tradesmen dong contract work in London during the week, and a few professionals like myself, who like the location and the budget price.It is worth looking on their website to find out about bargains especially in the winter months.I have stayed in far more expensive hotels in London and had a less satisfactory stay. As long as you are fairly easygoing, you will enjoy the Cardiff.	
Aug 7 2004	OK hotel - convenient location		
Jul 12 2004	Location locationlocation		
Jun 23 2004	Close to Paddington		
Jun 21 2004	PERFECT Location		
Apr 12 2004	Nice B 		
Apr 7 2004	NICE VIEWS		
Mar 31 2004	Crummy Cardiff		
Mar 26 2004	Lovely B		
Nov 16 2009 	perfecto lo recomiendo		
Oct 14 2009 	Repetiré la próxima vez		
Oct 1 2009 	Muy Recomendable		
Aug 18 2009 	Buen hotel para lo que se estila en Inglaterra		
Aug 13 2009 	Buena y decente opción para alojarse en Londres		
May 31 2009 	Desayuno increible		
Jan 27 2009 	Hotel Super Sympa!!!!!		
Jan 4 2009 	No vayas a este hotel		
Aug 12 2008	bellissima permanenza		
Jul 30 2008 	Gute Lage aber fragliches Hotel		
May 27 2008 	Hotel bien situé pour un week-end à Londres		
Apr 26 2008 	Confort et tranquillité		
Jan 9 2008 	Très bien situé		
Aug 9 2007 	das Hotel ist sehr empfehlenswert !!!		
Mar 29 2007 	Aceptable con buenos desayunos ingleses.		
