	Great service top class cleanliness and and central location	Stayed at the Imperial midweek for a couple of days in November. Perfect location for visiting any part of London's West End, we were going to the theatre and shopping. Hotel reception cosy and relaxing. Staff were superb ( repeat superb) throughout, always hepful and polite. Twin room on third floor overlooking courtyard was large and had good quality lighting rather than the 40 watt bulbs provided by other hotels.Breakfast of hot and cold food ( all you can eat buffet) served to about 10 am, staff come around with tea and coffee which stops the buffet area getting clogged up.Very clean hotel and we would definitely stay here again. by the way the rooms are not air conditioned but you do not need that in London anyway.	
Dec 3 2007	Value for money	I booked a night's stay in London at late notice as a treat for my partner's birthday. I originally booked a room at the President Hotel, but when I reported to the reception I was told we'd been upgraded to their sister hotel the Imperial - attached to the President. On my booking form I had said it was my partner's birthday and asked for a room on the third floor after reading the Trip Advisor reviews. I have to admit I wasn't expecting much - we just wanted somewhere to stay that was reasonably priced. First of all we were allowed to check in before 2pm; there were plenty of staff on reception, who were polite and helpful. The lobby looked quite impressive given the price, so I was fully expecting our room to be lacking, but I was pleasantly surprised. It was on the sixth floor, overlooking the turning circle and so was very quiet; clean and stocked with tea, coffee, etc. There was a flatscreen TV with Freeview channels. The bathroom was spacious and looked like it had been recently refurbished with tiled floors and two sinks. We couldn't believe that a buffet-style English breakfast was included in the price of £90 as well as a newspaper (available on reception). The corridors could do with some sprucing up as could the carpet and chairs in the breakfast room. I wouldn't want to stay here on honeymoon, but if you want somewhere fairly central, clean with polite service then this is for you. We took a party to London this summer and stayed at the Travelodge in Covent Garden - but would have loved to have known about this hotel!	
Dec 2 2007 	Great location and value	I'm surprised that other reviewers had moldly or dirty rooms; ours was cleaner than most budget London hotels, with no mold, so I suggest that if you get a moldly or dirty room, you just ask for a different one. This hotel was perfect for our interests, short equidistant walks to British Museum and British Library (fascinating!), two blocks from Russell Square tube station, and one block from a major tour bus stop. Of the three hotels we used in London, this was the only hotel in its price range with a full bathroom and tub/shower. The TV and remote worked fine and we had more channels than we'd had at any other budget places. Minuses include soft worn mattresses, poor pillows, certainly no frills, and major noise from the street below even though we were on the ninth floor (this hotel should really check out double-glazed windows). But of course, traffic dies down after midnight, and who isn't exhausted after a full day in London! So we slept fine. Breakfast was satisfactory and the coffee was nice and strong. As with all budgets in London, we got no handtowels or washcloths, so weird to me, but multiple bath towels, so I'm happy.	
Nov 16 2007	Really good - give it a try!	I stayed for 1 night on 15 November. The hotel was very busy and I was upgraded free of charge to a lovely family room. Lovely large bedroom, spotless bathroom and seperate toilet, plasma TV. The welcome was excellent as was the breakfast.My friend was upgraded to a bigger room also and was moved willingly to a room nearer the ground floor. It is a 10 storey hotel and my friend doesn't like heights.Nothing was too much trouble and I would definately stay again.Good value and good location.	
Oct 31 2007 	Good Location but VERY Basic	Bathroom - Black mold, one towel and a guest soap with a tiny bottle of clear shower wash.Bedroom - Thin pillows,uncomfortably soft bed, embarrassingly awful tea/coffee facilties.Good location for central London attractions.	
Oct 23 2007 	Pretty good for London	I have to admit I didn’t have high hopes for this place but it turned out pretty good. It's about a couple minute walk from Russell Square station which is on a handy subway line if you are going to check out shows in the West End. Saying that, it's located in a residential area so there isn't a lot going on in the immediate area (other than the bar in the lobby). You need to walk to the subway station before you'll see shops, cafes, etc in abundance. It does get somewhat quiet at night but it felt safe.The rooms itself aren't huge but for London it was alright. The value is good considering what you would need to pay for another place that close to the city center. The room was clean and service was fine. I was allowed to check in at 10 am which was great. Maybe it is because I went in the off-season but it was pretty quiet even at night.	
Oct 22 2007 	Basic Hotel and Central	As far as London hotels go, this is no worse than most. It is basic, breakfast is included in the price and there was free wireless internet in the lobby. It has a very central location for UCL and Bloomsbury, so I'd recommend it for there. The sheets on the bed had holes in them so I used two sets to get full coverage on the bed, andthere was the ubiquitous &quot;remote control for TV not working&quot; problem that necessitated a change in batteries. The staff were helpful, courteous and efficient. If you don't care about location though, I'dsuggest you stay at the Amsterdam Hotel in Earl's Court - it had nicer touches to the room even if the room was smaller.	
Oct 6 2007	More than I Expected	I knew upon booking The Imperial was considered a discount hotel. What drew me to book the room was the conveneince of a nearby Tube station and reviews of clean rooms. The room was newly upgraded and much larger than expected. The view was crap, but that worked to get us out and about very early. The bathroom was also large, with two sinks and lots of counter space. The cold water wasn't working properly in our shower so we asked for maintenance to assist. The woman from the hotel who came to the room to assess the situation felt it was not a problem and casually mentioned to us that Americans always complain. I had to laugh at her. Maybe she wanted to stick around and take a scalding hot shower in our room? She declined. Fortunately, a plumber then arrived and confirmed the cold water line was blocked. Because of the newly finished construction it was not easy to get to the water line, the plumber had to scrape the grout around a large tile panel to get in. But the shower was fixed and that made us happy. Buffet breakfast was not great food by any stretch, but very nice have it included in the cost. Toast and eggs were enough to start the day out right.Staff was courteous and helpful (with the one minor exception listed above), getting us tickets and offering assistance. By booking through the hotel's website we also had one dinner included in the cost of our stay. We opted for the Indian buffet at the nearby Royal hotel. The chicken entrees were lovely, and the restaurant had an adequate wine selection.Overall, this hotel is nice for travelers on a budget who understand basic subway transport and don't mind a bit of walking.	
Oct 5 2007	What a disgrace - go to the Royal National	This place was the pits! Poor service, dirty outdated and small rooms, mold infested flea bag hotel. Good thing the Royal National was not too far away and was able to switch hotels.Royal National was clean with great service and staff. Plus, it had a BAR!!! I would highly recommend the Royal National to anyone coming in from the USA.	
Oct 4 2007 	Great Place to Stay	My friend &amp; I think that this hotel is excellent. The décor of the communal areas of the hotel is perfectly acceptable. We were made very welcome at reception when we arrived. We liked the Night &amp; Day bar downstairs and as we were very lucky with the weather (warm &amp; sunny), we enjoyed a drink on the outside terrace at lunchtime before hitting the shops and then also at the end of our evening after going to the cinema at Leicester Square. Our room was spacious and refurbished. It was situated on the 6th floor at the front of the hotel overlooking Russell Square. The bathroom &amp; toilet (separate) were very clean which is always a good indicator. Despite being a warm weekend, the central heating was still on in the bedroom so we were plenty warm enough during the night. Because it was a warm night, we slept with the window slightly ajar and it was quite noisy during the night, but it wasn’t noise from late-night revellers, it was just general noise from the street below (I guess London is a city that never sleeps!). When we go back again, we may well ask for a room at the back of the hotel as this would no doubt be quieter – but then you wouldn’t get the lovely view! Breakfast next day was in the beautiful restaurant, very light, airy and spacious. Our tea &amp; coffee cups were constantly refilled by waiting staff and the choice of breakfast was brilliant, and we could’ve gone up for second or third helpings if we’d wanted to. The hotel’s location is excellent. Only about 5 mins walk from Russell Square underground station, which meant we were only a few stops away from Oxford Street, Covent Garden and Leicester Square. We have decided that we would definitely go back again and are happy to recommend it to other people. We were a bit concerned before we went because of some of the reviews on here - but in the end, there was absolutely no need to be, we couldn't have asked for a better place to stay for the money that we paid. 100% satisfied customers!	
Sep 30 2007 	Needing for a Revamp	I have stayed in this hotel from September 8 to september 14. The room's decor was from the 70's. The room was very, very, very small and - terrible - with no air conditioning. It would be OK if you could open the windows, but the windows opened only about 4 inchs. After all I understood that it is a secutity reason: if you could widely open the windows you probably could thing on jumping out - due to desperation on facing the 99 GBP payed for the room !!!! The staff and the breakfast are really good - and my strategy was only to come back for sleep very, very tired.The room's key with a metal stick attached to it is a story I will tell to my grandsons - I have taken a picture of it, in case of been called liar.	
Sep 30 2007	Go somewhere elese	Booked in for six nights, left after two (would have left immediately but I had commitments to keep and didn't have the time to find another hotel). Highlight of my stay was carrying my bags out the door. I didn't bother complaining about anything because clearly the surly staff wouldn't care. On arrival there wasn't even the pretense of a welcome. My room looked more like a cheap bedsitter than a hotel room, the bathroom was less than basic (no window, no fan, no ventilation), one paper-thin medium size towel. I asked for more and received a thin face towel. The rooms don't have a safe so I had to take valuable items to the hotel safe - accessible from 9:00 am to 6:00 pm. I put my stuff in at 5pm and collected it at 9:00 am the next day. They charged me for two days... it's that kind of place.	
Sep 29 2007 	mediocre	Hotel was okReception staff were ok-poor, although when I checked out the woman was very pleasant.Breakfast was ok-poorSingle room was reasonably clean but tiny.Decor was a little tiredCentrally located	
Sep 27 2007 	No sleep at the Imperial	I stayed for one night in this hotel, and was surprised by how small the room was (even though they said I had been upgraded!) and first impressions were that the room was shabby. The radiator was permanently on, so the room was hot. My room was on the third floor, just by some traffic lights, so vehicles and sirens regularly woke me through the night (the windows were single glazed, so no noise reduction). The shower was powerful, but had a flimsy shower curtain, that clung to me whilst I was showering.I stayed at one of the sister hotels earlier in the year (I think it was the Russell) - and that was far superior to the Imperial.It's very convenient for Euston. Room service was prompt, but pizza wasnt nice, and the beer was warm.	
Sep 27 2007 	Surprisingly Good Budget Hotel	I've just got back from a two-day break in London, and I have to say that I was very impressed with the Imperial Hotel. I admit, I did book a room here before reading a number of negative reviews about the place. But now I can honestly say that it's worth every penny spent here.The hotel itself is reminiscent of the 70s - as far as first impressions go, one would think that this would be a classy hotel. However, that feeling becomes almost non-existent as soon as you step through the front doors. Even if the interior feels outdated, there is no denying that it is well presentable.Checking in was simple - just tell the front desk your name, sign it on a piece of paper, then you are given a carbon copy of it for use around the hotel - namely to pick up your room key and gain access to the restaurant on the first floor.The bedrooms themselves are just as presentable as the rest of the hotel was, with an en suite bathroom, coffee/tea making facilities, a free trouser press so that I could neaten my pants for nights out, and a flatscreen TV. At first, I thought that the TV was broken, but it turned out that it was powered via a switch next to the bed. The tea making set lacked any milk to go with it, so I had to buy my own. But that alone is hardly detrimental to the overall quality of the room.My only real complaint about the rooms was the shower. It was controlled by a lever on the bath tap, and temperature control is via the taps. Unfortunately, only two options were available - extremely hot, or extremely cold. Even whilst running both hot and cold taps, I could only pick one or the other. So rather than risk burning myself, I decided to have baths instead.My overall opinion? It's a surprisingly good hotel. It's not Hotel Paradise, but it's more than enough to serve one's needs for those on a budget. I recommend that you stay here at least once to appreciate the place.	
Sep 25 2007 	miserable dump from the 1970s	if you like hotels from england in the 1970s then this is for you. tired, horrible decor. small rooms, broken heating, windows that don't shut, no air-con, broken TVs, no internet access in rooms, room keys attached to giant metal sticks, staff who have no interest in customer service and mostly do not speak english. And this is after the facelift. Absolute dump. Stayed there one night. Never stay at any Imperial group hotels again. AVOID AVOID AVOID.	
Aug 17 2007 	much less than expected	I stayed at the Imperial Hotel in July 2006, for 2 nights. Unfortunately, at that time London was extremely hot (37 C) and the rooms were not equipped neither with an air condition nor with a ceiling fan. Besides, you could not open the window wide open so the atmosphere inside the room was like hell !!!! Basically, the room was in good condition, fairly clean and decorated, though it was not worth 140 euros/ night for a single room, maybe for 70 euros it would be OK.The staff on the front desk was not particularly friendly and I was astonished by the fact that on checking out, I was asked 1 pound, in order for the staff to keep my luggage in the appropriate room. It is the first time a hotel is charging a thing like that. Of course the problem is not the 1 pound but the policy of the hotel which is unacceptable for someone who has paid 280 euros just for two nights.The staff also in the breakfast room was more than rude when checking whether you were entitled to have breakfast. The thing is that everyone was considered a &quot;thief&quot; or a &quot;cheater&quot; if you like, until you proved to be a client of this &quot;fab???&quot; hotel.I would not recommend this hotel and I would definitely not go back again.P.R. The facade of the building is far from being anything close to IMPERIAL !!!!!	
Aug 2 2007 	OK for the price	We had an event there so they booked the hotel for us. It was located at a quiet and central area of London, easy access to tubes and buses, and there was breakfast. Normally the hotel costs 100GBP per night in a double room. I think this htoel is over priced if you pay that much. The hotel was not as clean as I expected, and since it is a 3-star hotel, I expected better TV chanels and cleaner bathrooms. The bathroom was very basic, TV had only a few chanels and there was no remote control. Average hotel I would say.	
Jul 30 2007	brand loyalty	I usually stay at the Bedford when in town – this time I opt for the Bedford’s big brother – The imperial a couple of pounds more expensive but is that bit more comprehensive in its facility provision than the Bedford.Location – Five / ten minute walk from Euston / a couple of minutes from Russell Square Tube &amp; on major bus routes to Waterloo. In the evening if you want to make your way to Covent Garden it is about 20 minutes walk or a £5 taxi ride. In all a good location. There is a bus stop 20 yards for he entry archway. The building –. I would guess 1960’s – It is actually quite impressive – if arriving by car / cab you sweep into an inner courtyard &amp; at first blush this is the poshest budget hotel ever. That feeling does fade later – but certainly you will not be disappointed with the presentation. Reception &amp; Public areas – Very smart – large reception area with sofas – after check in the porter issues you your key – almost a ceremony! The reception leads to the bar which s open to the early hours. Through the back of reception you will come across a 2nd reception that being for the President hotel. The Imperial has four lifts serving the nine floors with the restaurant being on floor one. The Bedrooms – Braise yourself – for the non-renovated rooms you step into the 1970’s – the single rooms are long &amp; narrow with a ‘cabin’ feel to them. The bedside switchgear controls lights / radio/ TV. I have not been in a renovated room – but any improvement would be a bonus. The original rooms are fine for a night complete with an empty but working minibar. The bathroom – A bit small – but clean. Shower is above the bath. Food – Only had breakfast in the rather ‘school dinning room like’ restaurant with very attentive bow tied waiters Food was fine. Staff – Excellent – believe me I have paid twice or even three times the price of the Imperial&amp; had terrible customer care – The imperial has to be praised for its good customer service. Over all – the imperial for under £80 a night is OK for a couple of nights on business – you would not go your honeymoon there. It is part o the wider Imperial group who have other hotels in the area – The Bedford / The President &amp; the Royal National. I think the Imperial represents excellent value &amp; provides good service at this end of the market. Tip –. Ask for a renovated room &amp; I would suggest as high up the building as you can &amp; at the back to avoid any road noise. Oh remember your swimming stuff.	
Jul 24 2007 	Good hotel for 3* in London	I stayed here for 3 nights at the end of May 2007. It is very difficult to find a reasonably priced 3* hotel in London that is acceptable. This hotel is a good 3* hotel. Location excellent - near the British Museum - and convenient to the Tube. English breakfast is buffet style and there is a choice of cereals and juice as well. Rooms are average in size. Our room had a full size tub and the toilet was separated from the tub and sink so it was very convenient for 2 people staying in the room. We also had 2 good size closets and tea/coffee making facilities. Internet was available in the public lobby.The only drawback was that there was no air conditioning - something that is hard to find in London anyway - so the room was very noisy when the windows were open. My suggestion is that you request a room in the back of the hotel, not on the main street of Russel Square. Naturally, you won't have this problem in the fall or winter when the windows don't need to be open.All in all, I would stay here again, if needing a 3* hotel.	
Jul 10 2007 	good price-performance ratio	Stayed in single room at 73,- GBP per night, including VAT and Continental/English breakfast. Central location (15 minutes walk to covent garden, 3 minutes walk to British museum, bus stop just in front of the house, tube station 3 minutes), area pleasant but busy, room (facing Russell Square, nice view) quiet unless window open (no air condition), most rooms seem to be refurbished by now, refurbishment on some floors still underway (some noise during the day). Thin walls (neighbors' activities in bed quite entertaining). Breakfast ok. Staff friendly. Room small but neat &amp; clean, shower produced some strange sort of a fine aerosol spray rather than delivering a decent water jet, but taking a shower was still possible. Given the convenient location and the general (horrible) London hotel price level I'd recommend this hotel and would choose it again myself. Most negative reviews on this site seem to apply to rooms before refurbishment.	
Jul 5 2007	Great location...I'd stay here again	I was at the Imperial hotel in late May. For the price, it's a pretty decent place to stay. The location in central London within walking distance from 2 tube stops is perfect. Almost walking distance to Oxford street if you really enjoy walking. The rooms were much better than I expected based on the reviews. Blonde wood furniture, clean rooms and the bathroom was perfectly adequate. Note the lack of airconditioning like a lot of other London hotels which is rough during the summer. The breakfast is adequate though after a few days it gets boring.Considering the horrible exchange rate with the dollar, I would probably stay here again.	
Jun 14 2007 	Give it a miss	This was not my first choice of hotel, the one I wanted suggested this one and as I was only going to be staying for one night on business I accepted it. On the plus side it was very central and within easy walking distance of theatres, tube and everywhere I needed to be. The staff were also courteous and friendly.Whilst the room was clean and had a good view of Russell Square as it was on the ninth floor, it smelled very musty and damp and there was a cockroach in my room. Not making for a pleasant night's sleeping wondering if it might have brought friends along with it.The room facilities, ie toiletries, tea and coffee were basic but that would have been ok were it not for the little visitor.Breakfast was a non-starter and totally not appetising so didn't bother. Needless to say won't be going back.	
May 22 2007 	Passable for a London budget hotel	The hotel is in desperate need of an updating. With the exchange rate making this room the equivalent of $200 USD, it could have been a bit more updated but the rooms were very clean which for a budget property is not always the case. The bathroom while again needing an update was clean and the water pressure was super - and hot. We had booked double rooms and were given twins which meant that for those of us 6 ft and over we were hanging out over the bed. This is not a comfortable way to spend 5 nights and the hotel was booked so they were unable to make any changes - nor did they offer to make any concessions on the price. The photos I am attaching has the beds pushed together so we could at least sprawl out a bit.The biggest draw back was that the hotel is not equipped with internet in the rooms so it meant some late nights spent in the atrium which had NO ventilation whatsoever and was quite stuffy.By the way, breakfast is included in the price of the room but don't expect much. The soft boiled eggs were hard boiled, the toast was like cardboard, the fruit was canned oranges and grapefruit and the cereal had obvioulsy been there for awhile because it was stale as could be. I was also told that the ham was like shoe leather. By the third day, we had to go eat at the local shops.The biggest plus was that if you cut through the President Hotel which is their other property, you were only one block from the Russell Square tube station.I don't know that I would stay there again especially on a business trip but location wise, it was great.	
May 16 2007	Good value great location	My mother and I stayed at the Imperial Hotel in late Sept./ early Oct. 2006. Basically, considering what you pay, there's very little Ican say that's negative. Our room faced Russell Square and was 2 floors above the hotel bar's outdoor patio, so noise was a problem onFri. and Sat. nights. We didn't bother saying anything about it because we had good earplugs and didn't want to go through the hassleof changing rooms, but I hear that others with the same problem have been moved to a higher floor without a problem. Other than that, the decor and the worn condition of the carpeting hints that a makeover wouldn't go amiss. Again, though, this is a budget priced hotel and that was a minor quibble. On the upside, the staff was polite and helpful, the room and amenities were clean, and the location is fantastic. I would definitely stay there again.	
May 14 2007 	Good central location	Stayed at the Imperial for one night and found it okay for what I wanted it for..........somewhere to sleep.My friend and I stayed on the 9th floor and the room was clean and well decorated. We had a twin room which had a tv, tea and coffee making facilities and a telephone. The one plus about the room was that it was an acceptable temperature and not boiling hot as some hotel rooms can be. The bathroom was clean and toiletries were provided, the shower was awful though, very little pressure and you just about got wet. The staff were friendly and helpful and the breakfast did set you up for the day. The hotel is well situated and it is possible to reach alot of attractions on foot. The closest museum being the British Museum which is 5 mins away. Also very convienient for us as it was only a 10 minute walk from Euston station. All in all an okay hotel, no real complaints and I would go back, mainly due to the position of the hotel and its convenience.	
May 6 2007	give it a miss	I have just come back from a 2 night stay which was a treat for my daughter on her 21st. We had a lovely time and the location was excellent, within walking distance of most theaters and short taxi or tube rides to other big attractions. Did not rate the hotel though. It was a real 'bare bones' of a hotel with everything done on the cheap. Our room was on the 3rd floor and although not dirty was worn and grubby and like something out of a 70's time warp, from the sliding doors to the hairy blankets on the bed. The hospitality tray consisted of a 70's kettle and a few grubby plastic bags with a teabag, coffee powdered milk and a plastic spoon. We even had to pay £10 deposit to loan a hairdryer. The breakfast was again very poor quality food that was only lukewarm, on the 2nd morning we paid for a breakfast in Russell Square. To be fair, it seems from the reviews that the rooms are being updated from the top floor and we were unlucky, but the whole place smells musty and old.Last year I stayed with my husband at the Russell Hotel next door which was infinitely better, and I cant remember it being any more expensive. Both were booked through Superbreaks and next time ill go back to future at the Russell!.......	
Apr 17 2007 	Better than expected	I had booked a room for 3 adults and we ended up on the 9th floor. The room was refurbished and really clean! It reminded me of hotel rooms in Sweden - with lots of wooden details in the room. The door anyway was not changed and it was not so thick so we heard everthing going on in the hotel corridor.	
Mar 29 2007 	Below average	I stayed in the Imperial for one night whilst working in London for the weekend. My first thoughts were that the hotel was very outdated, the reception staff were reasonable but the porters that you collect (a ridiculously large key) from were rude and grumpy.I have read other reviews here saying that their rooms had been renovated, however, mine was on the 8th floor and very shabby. The toilet was seperate from the bathroom and felt like a prison cell and the taps and sink were rusty and old, although they did seem to be as clean as they could be for their age. Hopefully all the rooms will be renovated shortly and this will no longer be disappointing. The walls are also very thin and I was kept awake until the early hours by a group of people in the room next door, not good when you have to work the next day!Breakfast was also disappointing, I was at breakfast very early and the food was tepid. The 'boilted' eggs were not even cooked - the egg white was still clear and ran all over my plate, yuk!I wouldn't recommend this hotel, you can get much better hotels for this money in London.	
Mar 27 2007 	Great Value For Money	Just returned from a five-night stay at the Imperial Hotel in London booked through the British Airways website as part of an air/hotel package. Given the prevailing high room rates in London generally, I found the Imperial Hotel to offer above-average value for the budget-minded visitor. The hotel is conveniently located two blocks from the Russell Square tube station on the Piccadilly line, and two blocks from the British Museum. While the rooms are not large, my twin room on the 9th floor was perfectly adequate for our purposes--it was clean, regularly maintained, and quiet; as a bonus, it looked out onto Russell Square. One interesting quirk about my particular room was the separation of toilet and shower/washbasin which were situated across from each other separated by the entry hallway--this wasn't a major inconvenience, but it took a little getting used to. At least one floor (the 6th, I believe) was being refurbished (the 9th floor appreared to have undergone refurbishment in the not too distant past). The Imperial has a number of comparatively spacious, speedy elevators--and they all worked!! Included in the price of the room was a buffet breakfast featuring hot (e.g., scrambled or poached eggs, beans, bacon, sausages, toast, etc.) and cold (e.g., cereals, fruit, juice) foods (but no lunch meats or cheese); coffee and tea were served and refilled by attentive staff. I found the hotel staff at the reception desk, and particularly the folks manning the &quot;Porter&quot; desk, which served as the concierge, to be courteous and knowledgeable. Over the course of several years visiting London, I have stayed at much more expensive places with fancier addresses (and I have stayed at bargain-priced B&amp;Bs, too). The Imperial offers me the best combination of benefits--convenience, location, cleanliness, and hospitality--for the reasonable price paid . . . and I shall be returning there again on my next trip across the pond.	
Feb 27 2007	Thankyou Imperial!	We found the Imperial Hotel in desperate times, our hotel had overbooked and had been kind enough to find us another hotel - the other side of London! We were very short for time as we had a show to see in the west end and i remembered Imperial Hotels had several hotels in the area so i gave them a call. We were told The Imperial had a twin available, i asked to book and the girl said ' Don't worry we've plenty of rooms free just turn up' - quite worrying for a Saturday night but i had no other choice!I didn't need to worry, in fact i don't know why they had free rooms on a normally busy night as this is a pretty decent hotel (and £30 cheaper than our original hotel). First impressions weren't brilliant, the hotel was clean and friendly but had shabby, 1970s decor. Then we stepped out of the lift on the 6th floor to see stripped walls in need of painting. That's where the negatives end, we turned into a freshly painted corridor and into our v recently refurbished room (614). The decor was absolutely beautiful and v modern, if i'd known how different the pictures on here are i'd have taken some for comparison. Everything was brand new from the tiles and fitments in the bathroom to the flat screen tv. If they spend the money on the public areas that they clearly are on finishing the bedrooms this will be a lovely hotel.Breakfast was pretty good but there wasn't a great choice on continental - 3 cereals orange or grapefruit juice and grapefruit segments (no yogurts, cheese or pastries). They had a good hot buffet though with porridge, eggs (scrambled, fried, poached, hard boiled and soft boiled), bacon, sausage, tomato, beans and haddock. Coffee and tea was poured at the table and they were very efficient at topping up your cup.I stayed at The Imperial by chance but was pleased with this hotel and would book again if i could have a similar room.	
Feb 25 2007	enjoyed our stay	my husband and I spent two nights at the Imperial and found it very enjoyable, The staff were very friendly and the breakfast was good - everything you could ask for. The bedroom we had was on the top floor with a good view of the London Eye, it was very clean and looked as if it had recently been refurbished, towels changed daily as was the courtesy tray and the central heating was on constantly. all in all a reasonably good hotel we would go there againbarbara and keith - wigan lancs.	
Dec 31 2006 	basic but good	The rooms in the Imperial could do with a bit of updating - the separate toilet and bathroom took a bit of getting used to. The corridors were a bit shabby but you don't go to London to see corridors!The welcome was friendly enough and the staff throughout our stay were efficient. Breakfasts were ok - nothing to write home about - but they were plentiful, if a bit lukewarm!The hotel is in an excellent location for travel to the main attractions, especially with Russell Sq tube station right around the corner. Buses pass the hotel regularly as well, which is handy.The bar downstairs serves good value pub grub although the menu is very limited but on our first night we struggled to get a seat as the place was packed. Can only have been a good sign.In summary, the Imperial is the ideal choice for those travellers who like to be out and about all day and not dwell in their surroundings too much.	
Nov 14 2006 	Tired jaded and living on past glories	From the front the hotel is impressive (in a 1970’s kind of way), the location is great and the staff were present and helpful however the first surprise was a single room that was no larger than a student’s study-bedroom. The room was clean and tidy but everything had a slightly “run-down” feel and the quality of the bed was reminiscent of a student squat.The first evening was spent with a large party from my firm and a corporate buffet, but there was insufficient food, those who had waited until the queue reduced got the remnants and additional food was finally served to the Ban-Marie part way through the dessert.Breakfast the next morning was a further revelation; our whole company was due to be served at a set time, but the hotel was not ready and we queued for about ten minutes. The same shortage of food from the previous night was repeated and I will come back to the quality of the food later.The second evening I ate away from the hotel and have no experience of their restaurant service.Returning to food and breakfast on the second morning; in the broadest terms, what should have been hot was tepid, what should have been cold was also tepid and the whole thing was reminiscent of bad school dinners.However, dealing with the specifics; the plates were cold and required searching to find one that was completely clean and unstained, all of the food in the Ban-Marie was (at best) tepid and unappetising, the boiled eggs (hard &amp; soft) were cold and the toast was sweaty. This meant that when combined with cold plates any food selected was almost cold before it could be consumed. The fruit juices and the milk (for cereal) were served at room temperature and the coffee (which on the previous night had been as weak as dishwater) was almost viscous.I acknowledge that all the standard hotel services were provided and on this occasion I was not paying the bill, but even in the budget sector this was a poor delivery and everything gave the impression of having been done on the cheap.	
Oct 31 2006 	Pleased	Stayed here for one night on the 15th October - in a triple room on the 8th floor. Room was very clean and we were delighted to find we had 3 single beds in the room with adequate space between them. Toilet was seperate. from the shower room. was'nt too gone on the sliding doors - as it seemed bery 70s. However, Room looked like it had been recently refurbished as the carpet seemed very new and was different from that in the other rooms that we saw when we were checking out ( housekeeping had the doors open as we passed). Some of those rooms seemed very dated. Indeed the carpet on the corridor leading up the room was badly in need of replacement. Breakfast was fairly good. Replenished by staff on a regular basis. Overall I would stay here again as our room was spotless. Would be a bit nervous of what room I got as some of them seemed to have seen a lot of wear and tear - but if you are just looking for someplace to sleep for the night its not bad! and only round the corner from the tube.	
Oct 21 2006 	Thank heavens for the Imperial	The Imperial was a great base for exploring London. A short walk from Russell Square Tube station. We stayed in room 809 too! It was clean (although a bit dated) but we were so delighted to be in a quieter hotel room. We stayed the night before at the Royal National just along the road and had to check out after one night because it was so unbelievably noisy - do not stay there! It did make us appreciate the Imperial though. It's low cost for London so don't expect it to be posh but its friendly, clean, warm and quiet enough to get some sleep. We would go back!!	
Oct 10 2006 	Perfect location	We stayed at this hotel for two nights and would recommend it to anyone with its good location. The service in the hotel was great the rooms were very comfortable and the bedding was clean, service at reception and at the bar were excellent, self service breakfast very good even when one day we did not get till 9.55 it closes at 10oclock it was still hot and all full.	
Sep 18 2006	Student halls	Good location, but a dated noisy hotel. Nothing puts off the wife more than slidding bathroom and toliet doors. We also unfortunately had a connecting room (only room available even though booked six weeks in advance) and could hear nexts door conversation. Maids also start at around 7am!	
Aug 11 2006	Imperial Hotel Stay	During July I stayed at the Imperial Hotel, Russell Square with my elderly parents in a room accommodating 3 persons. We were very happy with the room as it was clean, bigger than expected and serviced daily by very friendly and helpful staff. Breakfast is plentyful and of a high standard - far better than any other breakfasts we had had at the numerous hotels visited during our trip. The hotel is a 3 minute walk from the tube station. The tube does have stairs that have to negotiated before getting to the trains. The Imperial Hotel is an old building and the carpets are wearing thin but considering what you get and the price I would definitely stay there whenever I visit London. Staff at Reception and the Porters are helpful, pleasant and always ready to be of assistance in any way they can.	
Jul 9 2006	Would stay again	I found the staff to be friendly and check in was fast and efficient. My room was small and outdated, looks the 70's still. The bathroom was good, the water ran fine. The hotel was situated in a good spot and not too far from Oxford Street. Hotels are expensive in London so i guess this was resonably priced but compared to what you pay in London to other places around the world i think the rooms could be a lot nicer however i would recomend this place.	
Jun 12 2006	Good value for money!	We stayed at the imperial for one night and we found it good value for the money. Parking was very convenient and reasonably priced for its location. Hotel room was clean with separate toilet &amp; bathroom, (although these two rooms were a bit of a squeeze). Request a room with a view over the park as we were at the back of the hotel and found the air conditioning of adjoining building a bit noisey and were unable to have window open at night, (it was a hot night). Breakfast was very good, bar was ideal at night, cashpoint and shop in hotel very convenient. One tip though, take some quality tea bags with you as complimentary beverages in room a bit stingy. Would definately use again.	
Apr 27 2006	Loved the Imperial!	We stayed at the Imperial on our honeymoon to London and had a fantastic stay! Our room had a lovely view overlooking Russell Square and we enjoyed watching the hustle and bustle. The rooms are slightly dated in their 70s decor but they are definetly clean and comfortable. The staff were always friendly and helpful. We really enjoyed and looked forward to our English breakfast each morning! Bacon, eggs, tomatoes, toast with jams, and the best hot chocolate ever! It was a real treat! The location was great, you could walk to most attractions in London, but if you felt tired the Underground was only around the corner from the hotel.	
Apr 4 2006	Good location but terrible breakfast!	I stayed at the Imperial for a couple of nights on business in London. It has a great location right on Russell Sq, but it's one of those big hotels from the 1960's/70's that doesn't seem to have had much of an update since then. The room was fine, good view of the rooftops, clean but needed updating and if you are looking for a drink after a long journey don't go to the mini bar as its left empty. The free breakfast is really horrible, steamed toast and horribly oil soaked scrambled eggs - not a good advertisement for the English Breakfast.However the staff on the desk were nice and helpful and without a doubt its not the worse place I've stayed in.	
