	Was close to work was the best reason for being there	Room was finished to a terrible looking DIY standard. Shower curtains were marked, windows full of condensation and bottom of loo was brown. I had noisy room at the front onto main road. Wouldn't go back unless it was my last resort (and then I'd pay more to go elsewhere and travel into the office from further away.	
Jul 24 2007 	Nothing special	After reading alot of bad comments on this hotel, I was expecting this place to be awful. However it was not that bad really. The check-in went without hitch and was given a swipe card to allow access to our room. On arrival at the room I opened the door to find occupants still there. Luckily they were not upto anything! A quick word with the receptionist got us a new room. We were put in a room normally kept for disabled visitors but this meant a more roomier room. Bed was clean and bathroom was clean. Curtains and carpet were grubby. LCD TV, but couldent get any channels. A cooling fan was in the room which we were thankful for as it was a bit humid on our nights stay. The other guests did not have much respect for anyone else as there was constant banging of doors at all times of the night.Overall the hotel was ok. As we only paid £15 per room per night on a special Travelodge offer, we couldent really grumble much. I think I would stay there again but only for £15 per night again. I would not pay anymore than that for that hotel.	
Jul 16 2007 	First and last visit	We'd never stayed in a Travelodge before, and I hope for their sake this one wasn't representative. It ought to have been so perfect, just a 30 second walk from the mainline railway station we arrive at. Stayed 2 nights, and it wasn't particularly cheap (£99), probably because the Tour de France was in town eating up hotel rooms.Travelodge make much in their publicity of the idea that they can be cheaper by cutting out the fripperies like shower gel &amp; hairdryers. Fair enough, as we didn't intend to do anything there except use it to crash out after being out in London all day. They say that they concentrate instead on ensuring you get a clean and comfortable room so you get a good night's sleep.Well, this one offered neither. The bed was one of the most uncomfortable we've ever slept (or not) on, with pocket springs which went &quot;boing&quot; at even the slightest movement. Nor was the room particularly clean, with dust all over the chairs, scald-marks from the kettle all over the desk and shabby wallpaper where (presumably) a child's felt-pen scribblings had been painted over in a colour vaguely within the same spectrum. There was a peculiar smell out in the corridor - kind of frankfurters marinaded in bleach, so who knows what that was...Staff seemed like students passing through for a couple of days, and were completely indifferent to us. Maybe their uniform should be a t-shirt saying &quot;Whatever&quot;. OK, you don't expect an effusive farewell at the end of a stay, but a little more than a vague mumbling sound would have been nice.We didn't eat there; as others have recommended, we bought breakfast at the Marks &amp; Spencers branch on the station - a lot cheaper than the £7.50 Travelodge charge per person.Positives? The sound-proofing kept out street noise. The loo was clean, and the shower was OK. Er, that's it. I very much doubt we'll be going back...	
Jun 27 2007 	Not again!	I stayed at this hotel for the second time for 6 nights in mid June 2007. I had returned to the hotel because of the close proximity to both Baker Street and Marylebone tube stations. Once more I was in a single room on the top floor. Once more the room was quite tiny, though thankfully this time there was a proper shower. I did not eat at the hotel, and had no dealings with the staff. The bed was lumpy and the sheets were rather basic. I had to remake the bed on two occassions. I had had a niggling itch when I was at the hotel and it was only when I got home that I realised that I had been attacked by bed bugs! There are numerous bites all over my body!This hotel is not up to Travelodge standards! The single rooms are tiny whilst in most other Travelodges there is no difference between single travellers and couples. The rooms are even more basic than usual, and are in a general state of decline, as is the whole hotel. The money spent on plasma screens for each room would have been better spent on upgrading the rooms.Whilst this hotel should be commended on it's location I do not envisage me staying here again.	
Jun 27 2007 	OK if you can get it cheap	As others have said, we got an internet rate of £47, so didn't expect luxury. However, the other people we went with had rooms that were OK. Ours was pretty shabby and the bathroom was awful.The suspended ceiling in the bathroom meant my husband couldn't have a shower without crouching down. There was mildew and mould in the bath and around the basin fittings. Loo seat was loose and the bathroom doors did not close properly or have a lock at all.The room also got pretty cold at night and there were no extra blankets provided. The decor was really poor.On our second morning we decided, for simplicity's sake, to pay for breakfast at the Travelodge. Avoid this at all costs. We went down before 9am and they at no time had full supplies of anything. Most of the hot food was gone and they brought replacements in such a piecemeal fashion that you couldn't eat the full breakfast at the same time! The toaster didn't work and the staff were surly.The location, however, is great so my recommendations would be:Get it as cheap as possibleGo to the nearby M&amp;S Food for suppliesGo to the greasy spoon opposite the station for breakfast (although it doesn't appear to open on Sat or Sun).Take a hairdryer -- they're not provided.	
Jun 17 2007 	2nd Time here!!	I stayed here again for 4 night in January! Yes I know its a bit late to submit the review but though what the hey!!This time I experienced problems booking in. i had booked the super saver room £15.00 per night and paid for it in advance on a credit card. When I checked in they said the money hadn't been taken so I had to pay the £60.00 on my debit card. The super saver rooms can only be pre-paid so it was there site that was faulty. I contacted my card issuer and right enough the money hadn't been taken. The Manageress's attitude left a lot to be desired.Apart from that the room no 415?? was tiny and a lot nosier compared to our previous room 209 on our trip there in Nov '06.The room was clean, tidy and warm so was quite happy. The maids visited everyday so no complaints there.We went back here because of the location to shops, food outlets and tube stations. So the location makes up for the few minor problems that we experienced this time around.We're going back here in Aug 07 for 2 night break so do a new review then.	
May 6 2007 	Great location	We stayed here 3 nights last month and would happily stay there again. The hotel is in a fabulous location - just walk out of Marylebone station, turn right, walk for 60 seconds! There were public phones on the street outside, plus on station, a taxi rank, plenty of places to eat, a Tesco supermarket 5 minutes level walk away, it's within walking distance of beautiful Regents Park, Madame Tussards etc. We extended our stay another night and had to pay 80 pounds for that compared to 26 and 49 pounds for the first 2 nights. Eighty pounds is a bit steep for what you get but the convenience and averaging it out were the deciding factors.Our room was clean (Room 204), didn't smell like cigarette smoke, looked down on the main street (and to the station entrance if you put your head out), the window opened a little and the staff were helpful.Somebody else mentioned the bathrooms and this was the only fault I could find. At first we thought the toilet was broken but there was a knack to flushing it. I like HOT bath/shower water but it seemed the water temperature had been set fairly low.All in all though I would have no hesitation in going back.	
Apr 28 2007	ok for £15!	Stayed here in February 2006. For 15 quid I wasn't expecting a huge amount but it was ok. I'd booked a double smoking room. The room was a fair size, a bit worn &amp; tatty but acceptable clean apart from the absolutely filthy net curtains - they were grey with age/dirt!The bathroom had a cracked sink but was clean. The bed was a bit uncomfortable compared to other Travelodges I've stayed in. Every time I moved it creaked loudly!The location is fantastic. Literally 2 minutes from Marylebone station, and very easy to find. Don't bother with the hotel breakfast, across the road is a reasonably-priced cafe where I got brakfast &amp; coffee for under £3.00.All in all, if you can get a room for the £15/£26 rate it's fine!	
Apr 24 2007 	OK if you don't mind mildew odors	I booked this hotel as a resting spot before getting an Easy Bus rideto Luton airport on our last day in London. I got the 15 pound rate which is close to what I'd have to pay for left luggage.The hotel is right outside the Marylebone tube station and about two blocks from the EasyBus stop.There are shops close by and in the station.The lobby and lift were fine but the odor of mildew hit you as soon as you walked in the door to the room. The entire ceiling by the window was covered in mildew. The wall paper is starting to curl and the toilet was a bit tempermental about flushing. There was a pretty big gap between the tile and the tub which was mildewy also.I wouldn't have been happy if I were spending the night, but as a place to rest after a long day it sure beat a bench in a train station. Plus we got our own bathroom.	
Apr 20 2007 	Stay away!	Would not recommend this to anyone.Yes a good price, great location but thats about it.Rooms smell (no non smoking room). Hadnt been cleaned for about 3 weeks. Cleaner must just come in and make the beds. Taps missing off the bath; toenails all over the floor. Returned to room to find the door had been left open by the cleaner. Thankfully nothing was missing. Didnt ruin our trip though as we had a great time, love london, will definately come back, but not to this hotel.	
Mar 9 2007 	Loved Travel Lodge!	23-26Feb 2007Really enjoyed our stay in London in this hotel. To be honest we didn't spend alot of time in the room. However the room was clean and fresh towels were supplied everyday. the location is great - less than 2mins walk from the nearest tube,and this will have you in Picadilly in ( 7min) we timed it!They will keep your cases if you check in early or have a late departure.The staff were helpful, we required an iron and this was provided immediately on request.The M&amp;S across the street is very handy and if in need if a quick and reasonably priced breakfast the cafe across from the station is cheep,quick and very good.Considering we have stayed in london for 1 weekeend every year for the past 8 and got this stay for the supersver rate of £26 ,I would say it's excellent value	
Mar 4 2007	Good basic accoomodation	Great cheerful staff and location, kept very clean and quite a large room. Have to agree that it really needs some refurbishment - some of the tiles were quite loose and the wall paper and upholstery on the chair were worn. You could say that at £75 it is cheaper than the local London Travel Inns, but they are all in a much better state of repair. I wouldn't be worried to stay here again, but probably not as a first choice.	
Feb 23 2007 	Ideal location cheap and cheerful	Was staying up in London for 1 night mixing business with pleasure so wanted a reasonably priced hotel close to Paddington and Oxford Circus and found this Travelodge through their website - ---. £49 without Breakfast (that was charged seperately at £7.50 each which we didn't take, seems very over priced!). Room was spacious, although next to busy road so the planned lie in ended around 7am by being woken by the busy road outside - but what can you expect from London!Ideal location, no more than 1 minute walk from Marylebone tube station on Bakerloo line (Brown one!) with 10 minute trip to Oxford/Piccadilly Circus, Paddington only 10 minutes in the other direction.Room condition was average, expectations weren't great for only £49 - would think about staying again for business due to location, but may think of trying somewhere else when taking the other half.	
Feb 19 2007 	Great Value Hotel	My son and I stayed here in a twin room from 13th- 15th February , having only paid the saver rate of £26 per night it was excellent value for money. The bathroom was a bit shoddy but what can you expect for this money,however the bedroom and linen were exceptionally clean so I would diffinately recommend it as a great place to stay if you are on a budget.Its proximity to the station was an added bonus. I hope this review helps.	
Feb 19 2007	Friendly and helpful staff nice room.	We stayed here for three nights with a group of several people. At first I was reluctant to book as I had read the reviews on this site. However, our experience was very positive. All the staff are exceptionally friendly and helpful. The double rooms were of an adequate size. The windows were soundproofed, so noise was not an issue. The single room we had also booked was very small. As the room prices are the same, whether double or single, it makes little sense to book a single room. The location is excellent, well within walking distance of Marylebone High Street.	
Feb 6 2007 	Amazing Value for a Saturday Night	Ok, the rooms are a bit tired and shabby (though i believe they're in the process of renovation) but if you get the Saver rate of £26 a room this place is great value for money.The rooms don't look like your standard, modern Travelodge but i think they took over this hotel and just made a few changes to bring it into the Travelodge brand. The rooms are a bit dark and dingey but clean and comfortable. The location is great as you can see the hotel as soon as you step out of the station (less than 2 mins walk). We didn't investigate the immediate area very much as we were only on a short stay but the nearby M&amp;S Simply Food was a useful 'local' store. We took the tube to Oxford Circus which was only 3 stops so i'm sure it would be walking distance in better weather.If all you're looking for is a clean and comfortable bed for the night then i don't think you'll be disappointed. I'd certainly stay again if i got the same rate.	
Feb 3 2007	Satisfactory and Good Value	I stayed at Travelodge London Marylebone for one night on a leisure break. I arrived at Marylebone Railway Station and found the Travelodge easily.I was allocated a single room. This was smaller than I expected although adequate for my needs. I found it clean and fully functional. The room was en-suite (shower only).In the evening I ordered food from the Travelodge Bar Cafe. I found this to be satisfactory.I purchased a voucher for a cooked breakfast. In the morning I had a look at what was on offer in the breakfast room. I decided to have toast and cereal.I found the staff to be pleasant and helpful.I had paid a special pay-in-advance and I felt that this was good value. Based on my experience of this visit , I would stay again.	
Jan 27 2007	Beware of jewellry thiefs	Stayed in this hotel 5/7 Jan this year and until I checked my case when I returned home I would not have any problems in recommending it to people. However.... having checked my case I realised that my jewellry case was missing and nowhere to be found. I contacted the hotel on my return but indeed as the other reviewer who unfortunately had the same problem have not received a response from them. The hotel is clean but basic and in need of rennovation and I would have stopped here again had it not been for the apparent theft of my belongings.	
Jan 25 2007 	Bargain in Central London	This Travelodge is great if your are looking for somewhere clean and tidy in the centre of London which doesn't cost a fortune. We booked a £26 saver room on the Travelodge website which proved to be very good value for money. The room was fairly standard for a Travelodge - quite basic but had what you needed (apart from a hairdryer). The hotel is right opposite the station where you can access land trains, underground or a constant queue of taxis which are waiting outside. I'm staying here again in April.There was some noise from the road but this wasn't a real problem. You expect some sort of noise in the middle of the city.	
Jan 8 2007 	do not trust the staff	I stayed here on the 3rd and 4th january 2007On the night before leaving i packed my stuff away into my case and my jewelery box was missing i searched the room for over an hour with nothing found I then went down to reception and told them what had happend.I was told by the nice man on the desk that this is not the first time this kinda thing has happend which shocked me.He told me he would tell the manger the next day. A week has now passed and i still have no answer i think its now a mater for the police	
Nov 19 2006 	Would not stay here again.	Stayed 2 nights and not impressed overall. Checked in early and no problem there. Room was nice size but as the windows were very old and draughty, even with the heating on, very cold. Beds were very comfy and shower good after waiting 5 mins for the water to heat up. No problems with noise of traffic, we were on the 5th floor though. Room was in real need of being painted, a lot of holes and fingermarks!! Had breakfast on the first morning and was awful, bad stomach all day! Was cold and looked like it had been reheated from the previous day. Great location though, 1 min walk from Marylebone and nice walk to centre of London though not a lot of choice for night dining and drinks. Paid £75 each for 2 nights but can get a lot better hotel in nicer areas for same price. Not the worst hotel I have stayed in but would not stay here again.	
Nov 8 2006 	value for money	clean and brilliant location	
Nov 1 2006 	Good staff nice location	We stayed here for three nights in late September. The first room we received smelled incredibly mouldy and damp; we later concluded that this was in large part due to a water leak in the breakfast room directly below. The second room we received had faulty plumbing. The third room was decent. While having to shift rooms twice was dismaying, the staff were very apologetic and helpful in ensuring that we got a good room. Kudos to them for that. The room itself was pretty much like the other Travelodge I have stayed in in London (TL Kings Cross Royal Scot)--decent, clean, but a bit worn.The hotel is located right beside the Marylebone rail and tube station, which is terrific, and is a couple of blocks from Baker Street Tube station. Also, as we discovered, Paddington Station is an easy fifteen minute walk--do-able even with our luggage. Thus, the hotel is a nice alternative to Paddington area ones if one wants proximity to the station or to the Heathrow Express service. There are many restaurants close by, and Oxford Street is a brisk fifteen minute walk .Our overall impression of the hotel is that there are some ongoing maintenance issues with the property, which could make a stay rather dreary. The staff appear to work hard to make things right for guests, however, which really helps. We paid the 26 pound saver rate, and for that the hotel is indeed a great bargain. At the full rate, I think better places can be found in the larger area.	
Oct 26 2006 	Great value for 26 pounds!!	If you can get this for 26 pounds it has to be the best deal in London. The proximity to the tube is the best thing, especially travelling with kids who were sick of walking! There was a great little place for breakfast across from the station, lovely staff and cheap quick and yummy meals to start the day. We had two rooms and although one had a distinct musty smell (put hubby and one child in that one!!) the other was fine. Showers were old but worked perfectly, beds comfortable but not perfect. All in all we had a fab time in London and it was great to come back to a clean and fairly spacious room at the end of the day to sleep. If this is available for 26 pounds again, book a room and enjoy the sights of this gorgeous city!	
Oct 20 2006 	Not a bad place to stay		
Aug 31 2006 	cheap and cheerful		
Aug 31 2006 	Good Location / Good Hotel		
Aug 20 2006 	Satisfactory Hotel - Great Deal		
Jun 27 2006	home from home		
Jun 8 2006	no frills		
Jun 1 2006	A tired hotel but should get better!		
May 23 2006	Very tired shabby no air-con...		
May 17 2006	Just don't do it..		
Nov 6 2009 	Excelente comunicación y relación calidad-precio		
Aug 7 2009 	Ottimo per prezzo e posizione		
Jun 30 2009	muy bueno		
