	Nice hotel in great location	The Windermere Hotel is in a great location. Conveniently located near Victoria Station, and within walking distance to major sites (Buckingham Palace, Westminster Abbey, Parliament, etc), grocery store and coffee shop. The complimentary breakfast was good and the service overall was wonderful. The room was clean and met our needs. Would definitely stay at this hotel again.	
Nov 12 2004	Excellent hotel	The hotel is in a good location (5 minutes to Victoria Station) and it an excellent value.The room was very nice. The bathroom was a bit cramped, but no worse than most in London.The staff was very friendly and helpful.Full English breakfast is included and it was excellent.Very friendly staff for the hotel and the breakfast room.This hotel has been a friend's favourite for years. Talking with some of the other guests, many are repeat visitors for many years. We'll be staying here on our next London trip.	
Aug 22 2004	Windermere Great!	I had a wonderful stay at the Windermere Hotel in July of 2004. I stayed there two different days, at the beginning and end of my trip to England. The first night I had a single room with shared bathroom and the facilities were fine. Upon checking in on the last night of my stay in England, I was upgraded to a single ensuite room at no extra cost, plus I lucked into my room being ready early so that I could luxuriate in a private bathroom after 3 weeks of dormitory living. The breakfast included with the price was good, and the hotel was about a 15 minute leisurely stroll from Victoria Station. The staff were gracious and friendly and I will definitely stay there again the next time I am in England. I really appreciated the staff remembering me on my second stay from my earlier stay.	
Jul 23 2004	The Windermere was great!	Our family of four (adult sized) stayed at the Windermere for a week in early July 2004. Positive reviews from TripAdvisor were a big factor in our choice, and they were accurate. We stayed in one of the &quot;family&quot; rooms, and a friend living near London warned that it would be smaller than we might expect, but we found it roomy enough despite our four giant suitcases. We emptied one into the built-in wardrobe and put it under the bed. (Actually, we used it for hauling laundry to and from the nearby Lauderette.) The room had a double and two twin beds, very comfy, and a good bath/shower.The food was really good in the basement restaurant. (In this neighborhood, all of the basements have outside entrances and windows, so don't be put off.) We had dinner there one night, and breakfast every day (part of the rate.) Superb.The owners and staff (young people from all over - we noted an Australian, a Parisienne, and a Russian) were very helpful and knowledgeable. Victoria Station is a 5-10 minute walk, and there are at least 3 pubs nearby. The hotel itself, at 150 years old, has some quirks as one would expect (no lift) but it is noticeably well-kept. We would stay again.	
Jul 8 2004	Windermere - a Quaint London Experience	My husband and I recently stayed at the Windermere during our first ever trip to London. We thought the room was quite small, but from what I read that is expected in London. We had a double with a private bath and it was clean and very quiet. The people at the front office were very nice and helpful. The breakfast that is included, downstairs in the restaurant, is quite good and gave us a nice start to our day. As a warning, the hotel is a bit further from Victoria station than we realized from the map on the website. Carrying all our luggage there was a bit of a struggle at the end of a long day. Our only real complaint is that there was apparently no air conditioning and no fan availible to help blow in the colder evening air. Overall though, a nice place to stay.	
Jul 2 2004	Good value!!	My son and I stayed here in mid-June and were pleasantly surprised. The neighborhood is very peaceful, yet quite close to Victoria Station. The room was quite serviceable and spotlessly clean. I was initially concerned that sleep would be a problem due to the fact that we were on the same level as the restaurant (I'm also a very light sleeper). Luckily, there was a fan in the room that provided just enough white noise for a wonderful night's sleep. The restaurant, incidentally, is very good. We had a very satisfying early dinner and the breakfast, included in our room rate, was excellent. I would definitely recommend the Windermere to those who don't want to spend $500 a night, but want a comfortable, relaxing, friendly place to stay.	
Apr 29 2004	Very pleasant stay at the Windemere	We stayed at the Windemere sometime in 2000 when we lived in New Jersey, and we had a great experience. My husband and I had an attractive room with a with a double bed in a quirkily shaped room with lots of windows and our traveling companions had a lovely room with two twin beds decorated with yellow floral curtains and bedspreads. The bathrooms in the rooms (We had ensuite rooms) were very clean with showers, sinks, and toilets. ) (We did choose rooms called superior or something like that when booking.) The rooms (and especially bathrooms) are not large by American standards, but if you've been to Europe before, you'll recognize that the size is the norm for London. We would stay there again and I am online because we are going to England this spring and I'm thinking of booking there a second time.	
Apr 9 2004	Not a good value for the price		
Apr 8 2004	No Problems at Windemere		
Apr 5 2004	Winder-crap		
Mar 7 2004	Will be back		
Mar 4 2004	Failed to meet expectations		
Feb 25 2004	Excellent Service		
Jan 9 2004	Couldn't agree more!		
Nov 8 2003	Fantastic		
Aug 19 2003	A Gem		
Apr 25 2009 	Parfait !		
Dec 20 2008 	No está mal para ir en verano		
Dec 19 2008 	Non avere pensieri: pratico pulito servizi ok		
Jun 4 2008 	Charmant mais bruyant		
Nov 5 2007	ottimo alloggio		
