	Cool chic comfortable and central.	Enjoyed a 2 night 'theatre break' in the City and well pleased with our choice of hotel. Has benefited greatly from refurbishment and we enjoyed an 'Upgrade' at check-in. Beautifully appointed room, (view onto back of a church but we weren't there for a view!)with nice sleek minimalistic lines. Very pleasant staff. Got a good deal through website booking and found location ideal - easy walk to Covent Garden and Theatreland.	
May 26 2006	Charles Dickens slept here	No, Charles didn't sleep here, but I think the Thistle Hotel group might have inherited his mattress for use in room 223, given its advanced age and lumpiness. Overall though, the Thistle is a clean, secure, convenient pied-a-terre for your time in London. Yes, it's probably due for a renovation, but if you can get past the dirty facade (nothing a good sandblasting wouldn't solve) and the odd patch of duct-tape on the hallway carpets, we feel it was very good value for the price paid. It was part of a package deal, so it's hard to say exactly what we paid for the Thistle Bloomsbury, but it probably worked out to about $150 per room per night. This represents excellent value, based on our previous experience with London Hotels.Our room, bathroom and walk-in closet (!) were spacious by English hotel standards, and featured conveniences such as daily newspapers, coffee, tea and cookies, iron and trouser press, safe, even a heated towel rack. The room was kept scrupulously clean and well presented by the cheerful maid service. The rest of the staff don't exactly radiate warmth or charm, but were unfailingly polite and efficient.The entertainnment options aren't much by North American standards (five TV channels plus radio alarm) but when you have the whole city of London, (and the West End!) at your doorstep, this is the last thing to worry about. It's a five minute walk to Leicester Square, and an even shorter walk to the nearest tube station.Our rate included a daily hot breakfast in the lobby restaurant. This consisted of a decent range of hot and cold breakfast items, served buffet style, and was a great start to a long day of sightseeing. The choices don't vary much from day to day, but the food was always hot, plentiful and of decent quality... and at London restaurant prices, this is a significant saving on eating breakfast out. We ate a big breakfast at 7am, and seldom felt the need to eat for another six hours!I was going to rate this hotel a &quot;neutral&quot; but after considering the value we received for the price we paid, I have to bump it up a notch to &quot;above average&quot;. If we were travelling at peak season rates, or paying the rack rate, I might be a little less enthusiastic.So, once the people at Thistle Hotels have spent a few pounds in sprucing up the property and replaced that saggy old mattress, we'll be back!	
May 17 2006	Very nice older hotel	This is a very nice older hotel. Yes, it could benefit from an update but it´s generally in fine condition. You can tell this was formerly an elegant hotel and it stills retains a sense of that. It is the nicest hotel I have stayed at in London for under $140/night so far. The rooms are very large by London standards (which would still be a bit smaller than an American first time visitor would likely expect) and my room (225) even had a walk in closet. The room and public areas were very clean. There were no mechanical problems at all during my stay.They have a very reasonably priced room service menu and you can have breakfast brought to your room for an add´l 3 pound fee (assuming it is already included in your rate, not all rates include this). The breakfast buffet in the restaurant was plentiful and very good. I found the staff to be very friendly and helpful and they arranged a babysitter for me on short notice. The hotel is in a great location near the British Museum and shopping streets. The only downside for me was that the front lobby is not stroller accessible as you must go up a short set of steps. Hotel staff were always helpful in any case.	
May 5 2006 	Great location poor hotel!	The only good thing about this hotel was its location - right near Oxford St and conveniently placed for the theatres. Other than that, this hotel has nothing going for it! I only stayed for one night but it was enough to put me off ever returning. My single room was dark, dusty (you could see big clumps of it sticking to the walls) and extremely shabby. It had ripped wallpaper hanging off the walls, mysterious marks all over the ceiling and tired, 1970s style furnishing. The view was of the back of the hotel - terrible - lots of industrial type fans etc and the curtains were grey with pollution I presume.I specifically asked for a wake-up call when I checked in but this never occurred and my breakfast was a huge disappointment and late (I ordered room service) - it had obviously been sitting somewhere out in the kitchen for a long while before they brought it up as the youghurt and juice had a thick 'skin' floating on top. The fruit salad was warm and straight out of a tin, and hot chocolate cold. I could barely touch it and at such an expensive price, I expected MUCH better.A huge let-down, avoid at all costs!!	
Apr 29 2006	Clean 	When I first read the reviews posted here about the Thistle Bloomsbury I was alarmed and tried to cancell the reservations but I got them thru Priceline and could not. I was pleasantly surprised. Rooms were clean, towels fluffy, bedding clean and very comfy. Staff was great. Called for ice a few times they weere there in minutes! Nice little bar, but we did not eat in the retaurant but ordered room service once and it was tasty. Its a little shabby in the public rooms and not American 4 star. No view and the windows were a bit dingy but it was quiet and the location was beyond reproach. Around the corner from everything, restaurants, cafes, pubs, Covent Garden, Britsh Museum, West End. We were delighted that it was not in the more busy touristy area like Marble Arch. I got a great deal $90 a night and Bloomsbury is so covenient! Bus at doorstep (literally) a short ride to Harrods, Knightsbrige, Hyde Park Kensington, the tube was a short walk, but we prefered to get an all day bus pas for about $6.50 and hop on &amp; off. It is near all the cool stuff, the Tower, Westminster, Big Ben, Parliament etc. yet it was distinclty quieter for strolling to Russel Square etc. and we never left a 4 block radius for dining and Pubs it was a lovely safe area with beautiful Edwardian buildings. The Lobby was cozy, not grand, fireplace was lit and you could get coffee service. They also had an inexpensive internet access machine there. Staff was excellent. Be warned London is expensive. We would go back again in a heartbeat. Note: they say they have coffee makers its only a pot that heats boiling water. But they supply assorted teas, coffees, sugar, biscuits etc. in each room. Also there is an iron and ironing board in each room. They supply citrus scented toiletries, shampoos etc and nice bar soap. Each bathroom has a decent wall mounted hair dryer.	
Apr 3 2006	A good deal!	All in all a good hotel that we got at a very reasonable rate. Helpful staff that changed our errorly booked twin room to a normal double room without hesitating. The room was spacious, the shower and bath just fine. It's not really what one might call a modern design, but it was really cosy and clean. Shortly: There was absolutely nothing to complain.	
Mar 23 2006	Great deal for the price	If you aren't expecting a 5 star hotel, you won't be disappointed. The location alone makes it worthwhile. The hotel could use some work, especially in the hallways. The room we stayed in was good sized (by European standards), clean and comfortable. The staff was very helpful, and when we had a problem with the room’s TV it was fixed immediately. We didn’t have breakfast included in our deal so we didn’t eat there, but there were plenty of nearby cafes and coffee shops that were very reasonably priced. Overall, a good experience and I would stay there again.	
Dec 26 2005	Terrible	There are other hotels in this price range that are much better. I was told it is a four star but it is not like any four star I have stayed in the UK. The room was overlooking a major road, with some 'stuck on' bits of double glazing that offered no noise prevention.Bathroom in desparate need of repair - bathroom panel rotted in places and patches on the ceiling.Cleanliness a real problem - headboards were filthy and there was a crushed biscuit behind the door from the last occupant.I do not want visitors to the UK to think this is the usual standard of hotel.Just so you know we had a standard room, not executive. Perhaps these have been decorated and cleaned?	
Dec 13 2005	Great location...and that's about it	If you are looking for a spacious room right near the theater district for a very reasonable price, Thistle Bloomsbury is for you. If those are the only things you care about, read no further.If you care about things like having a working toilet or a hotel that looks like it has been updated since WW2, this is probably not the right place for you. One particularly comical scene was when my wife started screaming because the side of the tub fell off to reveal a never-never land of dusty and soot-covered pipes. It was a learning experience for me as I was unaware up to that point that tubs were ever manufactured in anything but one piece. I had to laugh- although in throwing my head back to laugh I unfortunately saw the crumbling ceiling above which I was sure would fall on me everytime I was at the sink. We reported our tub calamity to the front desk before we went out for the evening and to no one's surprise, they did nothing about it. Other problems included being charged 50 pounds for breakfast that we didnt eat and the on demand movies not working. Still, at least we got some funny stories out of it. Recommended for: cheap accomodation in the heart of LondonNot recommended for: honeymooners, people without a sense of humor, people who demand top-notch service and posh surroundings.	
Nov 26 2005	Very Tired	Not a happy Bunny.I stayed 1 Night with my daughter.Room not ready at 1300hrs.This is a very typical chain hotelThe room we had been circa 1975.Only one lift was working during our stay.And the room we had (421) is in very much need of a make over.The windows were so dirty it was pointless looking out of them.The shower didn’t work.The TV welcome message was unreadable due to the TV not being turned in.The carpets on the landing outside our room had been repaired with GAFFER tape.The staff where very pleasant and I feel working against the odds with the building in the state it was in.Please Thistle I am sure you can do better than this.I will give the Bloomsbury a miss next time	
Nov 13 2005 	Other hotels are available...	This is an old hotel, which is greatly in need of renovation due to an unacceptable amount of wear and tear for a 4* property. We had no hot or cold running water for over 1 hour on Saturday morning due to &quot;the hotel being fully occupied and a lot of people taking showers at the same time&quot; (according to a message on the TV screen - barely legible, as it was not tuned in properly). When water was available, the temperature of the shower swung from freezing to scalding without warning. We experienced poor service at the front desk both checking in and out (it took 20 minutes for the receptionist to come up with the correct bill). Two strangers (hotel staff) walked into our room without knocking on separate occasions. Quite probably there is a greater atmosphere on the moon than in the hotel bar (poor service here, too). The only positive point was the hotel’s location just off Oxford Street. However, there are other hotels in the area with just as good a location, so there’s not really that much going for it.	
Jun 27 2005	Really good value for money	Stayed at the hotel for 1 night and was pleased with the room allocated. The beds were really comfortable, with crisp clean linen and soft clean towels for the bathroom. The room also had an iron and ironing board which is a plus. The breakfast was one of the better ones I have experienced in London and the staff we very friendly and helpful. The hotel is in a great location, short stroll to the nearest tube and Oxford Street. I agree with some of the reviews who commented that hotel could benefit from a little redecoration, but for a London hotel it was more than adequate. I would recommend this hotel to anyone looking for good value for money.	
Apr 4 2005	Fair value for money	We spent 2 nights with 2 adults and 2 kids in 2 rooms from April 1st to 3rd 2005. We booked through londowntown and paid a rate of 97 pound something per room and night incl. breakfast.The hotel is located conveniently near Covent Garden/Soho/Brithis Museum. Bloomsbury Way has lots of traffic however our rooms were oriented to a back yard (ugly) and pretty quiet. I don't think any of the rooms facing the street are in use, the windows there are covered with grime and look like they haven't been opened or cleaned for years.The hotel itself is okay - especially for the price we paid - , however any prejudices you might have had about english grubbyness are confirmed. In general the hotel lacks from attention to detail. Carpets are threadbare in places (bar, stairwell), laid out in a very unprofessional manner (simply cut out with strands of threads showing at the edges) - signposts have missing numbers and letters (e.g. &quot;this is a non .mokin. .loo.&quot;), some doors are squeaky. The carpets all around the hotel are in dire need of vacuuming. Generations of dust have formed in the edges along the corridors as well as the rooms. Behind the bathroom door you could find the inevitable fluff with some curly hairs. The mattress was quite new but too soft for my esteem.With the right processes and a little effort the problems could be fixed easily - there is plenty of staff around that could do the job if someone told them to.The staff especially in the restaurant and the concerge were helpful and attentive.Had I paid the official rate of 250 pounds per night, I would have raised hell - however since we had an excellent rate for London standards we were content with the price / performance ratio. What our kids liked most was the electronic elevator voice announcing &quot;doors closing&quot; etc. in a perfect Oxford English that could have been sampled from the Queen's parliament opening speech .	
Mar 21 2005	Lovely Hotel Fab Staff Perfect Location	We stayed at this hotel for three nights from 17th March and we were very impressed with it. We agree with some of the reviews that indicate that this is a very good three star hotel, as opposed to a four star, and the hotel is in some need of redecoration, but our room was lovely (even though it was on the mezzanine floor and had very little natural light - perfect for me who gets disturbed by light flooding through windows at 5am!!!!) and very clean and tidy, with one of the most comfortable beds I've ever slept on - my own bed at home included!!! The breakfast selection was very good, although there appeared to be capacity problems on the sunday morning, but this didn't spoil our weekend. The hotel is perfectly situated if you are planning a vist to the theatre, and specifically &quot;The woman in White&quot; which is about 5 mins walk away. Leicester Square, Piccadilly and Covent Garden are all within 10-15 mins walk away, and Oxford Street is just round the corner.All in all, we had a lovely break and would recommend this hotel wholeheartedly.	
Mar 9 2005	Would definitely stay there again	I stayed at the Thistle Bloomsbury for 4 nights in mid-February. My room was a double executive, and I felt it was quite a good size for central London. The ensuite bathroom was enormous and immaculate - its only problem was a rather noisy power shower. The room was also clean and tidy other than a few smudge marks on the ceiling near the ceiling fan. Perhaps it was due to the fact it was off-season, but the only noise I heard from outside my room was the occasional slam of a door from other guest rooms.I had no troubles communicating with the staff and found them to be very helpful in arranging for an early-morning taxi. The dinner service in the restaurant was quite slow but otherwise pleasant; I did not take breakfast in the hotel restaurant so cannot comment on that service.The location of this hotel was extremely convenient - a few blocks from the Holborn tube station on the Central &amp; Piccadilly lines, on a bus route from Oxford Street (with a stop just before the hotel), walking distance from Covent Garden and the British Museum.Based on my overall experience, I would choose to stay at the Thistle Bloomsbury again, especially if I could match the great off-season rate I was able to get.	
Mar 8 2005	Great location great bathroom great Bed	From the reviews that I read here, I was leary, but this place was great! We had a great price on the room, though the cabbie overcharged us getting from the airport to the hotel. The bed was wonderful and the bathroom was quite large. Being from America and expecting things to be open until 4 in the morning, it was nice to be able to stay up late at the bar downstairs in the lobby and to order room service after, say 11 pm. Again, I had received mixed reviews on staying in Soho, but that was a great spot. My boyfriend and I were able to walk everywhere we wanted to go. There were record shops, clothing stores, clubs, and pubs all nearby. The staff was delightful and so were the other guests we met. Certainly give this place a chance! Great location. Great bathroom...bigger than most I have seen in Europe. And, the bed, if it hadn't been our first time in London, we would have never left it.	
Feb 17 2005	not a 4 star but still pretty good	After reading the reviews on the Thistle Bloomsbury here, I was really bummed. Of particular concern were comments that the rooms were not clean. But the Thistle had come up as the cheapest choice for my trip to London so crossing my fingers, I booked the hotel anyway. To be honest, this 4 star should really be a 3 star. The wallpaper was peeling/scratched and the windows were dirty. But the rest of the room and the bathroom were absolutely fine. Both rooms were quite clean, with a nice towel warmer in the bathroom and the water pressure in the shower was great. Again, its not 4 star and definitely don’t expect boutique hotel style design but for what I paid I felt I got a good deal.And for those who complained about the staff not speaking English fluently, well, it is an EU member country and England is a prime choice so people can learn English. This is quite common especially in the service industry. I personally didn't have any problems communicating with the staff.In short, I’d say, great value, great location, great service.	
Feb 12 2005	Perfect for a short break	My family( Myself, my wife and our sons 5 and 8 ) stayed in a family room. It was very close to Kings x station , British Museum is round the corner and it is very close to West End attractions. Also the fact that Bloomsbury is a relatively quiet area, made this a very pleasant stay.The Hotel really was fine, it was clean and the Consierge and other staff were most helpful. The breakfasts were great and i would certailnly stay again. If people want the Ritz, then they should be prepared to pay Ritz prices or stop complaining about such a good hotel. 	
Dec 13 2004	What a Christmas present!	Just spent an excellent weekend in London courtesy of Thistle Bloomsbury. Booked an Executive twin room for three nights, on arrival was told that all Exec twins were taken so we were upgraded to a suite at no extra charge. Room was spacious, clean, well equipped, quiet, very comfortable and decorated in a warm eastern style. Check-in staff were friendly and welcoming, breakfast was well presented and despite limited space the staff worked hard to keep the tables available. Seems like we stayed at a different Thistle Bloomsbury to some of the others commenting on the hotel. Negatives; smell of tobacco smoke in the public areas, but I guess this will be cured when the smoking ban in bars and restaurants takes effect next year and current renovation of church next door which gives the entrance a run-down look. Will definitely go back.	
Nov 30 2004 	Oh the anecdotes this hotel has given me	What was it about this hotel that earned it the unenviable prestige of 'the worst hotel I have ever stayed in in my life'? (And I've been in some pretty terrible ones, including one in Majorca I nicknamed 'the cave'). Well let's see:* the bathroom of horrors. Deceased arachnids, a toilet I wouldn't wish on my worst enemy and a bath that had apparently never seen a cleaner. I got washed in the sink so's not to touch anything.*The toilet was hanging off the wall, as were most of the light fittings.* The door didn't lock, so I was forced to wedge a chair under the handle.* I felt very uncomfortable with the hotel staff, especially when one man insisted on walking me to my door to make sure I could get in with the keycard. And then he tried to step inside the room after me.* I was kept awake all night by the strangest singing from the church opposite (I think). My colleague and I didn't know what to make of it, but it was not only very spooky but also intrusive.* It was exceptionally difficult to make oneself understood to the receptionist, who was at best, disinterested and at worst, just plain rude.This hotel was like something out of a bad b-movie. If it weren't so late when we checked in, my colleague and I would have checked right out again. I would never recommend this hotel, and will never stay there again.The plus point? It gives me lots of stories to tell about the world's worst hotel.	
Nov 15 2004	Absolutely the worst !!!		
Aug 23 2004	Peeling paint in the bathroom		
Jul 16 2004	Lovely		
Jun 10 2004	Better than expected - and so close to everything		
Dec 31 2003	Nice old building but..		
Dec 29 2003	Dirty and Shabby		
Dec 22 2003	Good		
Sep 10 2003	Small But Clean		
Jul 14 2003	Not Clean!		
May 12 2003	Clean and convenient.		
Sep 30 2009 	Muy tranquilo y decorado con estilo bien situado		
Dec 20 2008 	Bella Posizione		
Oct 22 2007 	Einigermaßen gutes Hotel		
