	Beautiful hotel shame about complacent staff	The Mayfair Hotel is stunning-great location, very clean and tidy and uber trendy.Barely a week goes by without photos of one celebrity or another seen going in or coming out of this popular hotel.Therefore, I expected alot more from this hotel.We arrived later on in the day, when reception was relatively quiet, however the gentleman behind the desk was surly, moody and didn't look remotely bothered to attend to us when we approached the desk. He made no eye contact with us whatsoever and didn't even greet us.After he gave us our room key he walked away without telling us where our room was,how to get there etc....I was at least expecting him to ask us if we wanted a newspaper in the morning, or if we needed help with our luggage (of which we had a very large suitcase), but I was very disappointed by his whole demeanour and couldn't believe this was a 5 star hotel I was checking in to. However, once we got to the room I was delighted.Large, clean, with a king size bed and marble bathroom, this more than made up for the rude reception staff. However, at 8am the following morning, we were woken by a knock at the door! It was the housekeeping staff wanting to make up the room! At 8am! We couldn't believe it, especially as we had gone there to relax for the weekend and catch up on our sleep.I was shocked later in the day after returning to the hotel at 4pm to discover our room hadn't been made up, despite housekeeping being so eager to do it at 8am! When we confronted the front desk about it, surprise surprise they just shrugged their shoulders and didn't really see what the problem was. We had breakfast in the bar on our first morning as the restaurant was too busy. The staff were very polite and attentive, however we still had to wait 40 minutes for our breakfast, which we ordered off the a la carte breakfast menu, which I felt wa too long, especially as it was only a bowl of porridge that I ordered.All this being said, the hotel does have alot of excellent qualities. The bar is fantastic and there is always a lively atmosphere in there no matter what time of day.The spa is outstanding and the food in the Amba grill is delicious (I would recommend the cod!).It is also one of the cleanest hotels I have ever stayed in.When booking a room, asking for one that doesn't overlook the front of the hotel as we were kept awake through the night by people leaving various bars/nightclubs in the area.	
Dec 9 2007 	Good location but overprized	The hotel is conveniently situated near Green Park tube station in May Fair. Three Starbucks within 100ms. Nicely decorated rooms and public areas. Staff indifferent and unhelpful. Unreliable Wifi connection - very slow and frequent disconnects (free of charge though). Small single rooms without a desk. Online check-in did not work at all. Sometimes ordered newspaper not there in the morning . At that price level you expect more.	
Dec 9 2007 	Chintz haters rejoice	As an ex-Londoner, I know London well, but it can be tricky to recommend a hotel - or select one for myself. I came across the May Fair courtesy of this site, and endorse the other reviewers’ positive comments. I stayed six nights for business; on a corporate rate; and was pre-registered to provide immediate access to the room flying into London early in the morning. I suspect all of this meant I was banished to room which whilst having all the attributes others talk about, was so miniaturised I probably should have held out for something better. The décor and general ambience however was very good and a vast improvement on the fusty chintz nightmare which is probably the London default.I came to appreciate what is an excellent location, with Green Park tube strategically located on three lines, and with decent access via cab to Paddington and the Heathrow Express. The Marks &amp; Spencer and Sainsbury on the door step is a nice touch, which would be much improved with a decent fridge and not the automated mini-bars provided. Take care as they bill your room given the slightest provocation.Full marks to the gym which whilst small, has state of the art equipment which is vastly better than the sad broken treadmill and deflated Swiss ball I usually find.I left the best until last - the May Fair lacks the usual ghastly all day café and instead has a fully fledged restaurant, Amba. This is extremely good news for breakfast, which comprises a small, very high quality buffet, plus hot food all cooked to order. No bain-marie in sight and all up the best hotel breakfast, ever. Make sure it’s in the room rate!	
Dec 7 2007 	Good hotel in a fantastic location	I stayed at the Mayfair Hotel at the beginning of December. Overall it was an enjoyable experience. The room was fantastic, well kept and the bathroom spacious with a TV. Check in was quick and efficient and all other requests I had were carried out within 15 mins. For the price paid (150 punds incl. tax) it seemed a fabulous deal for me. Overall a very enjoyable experience.	
Dec 4 2007 	Pure luxury	Stayed at this hotel for 3 nights. From the moment you walk through the door you are thrown into sheer modern luxury. Check in was very quick and easy. The room was fantastic. Massive by london standards, all very modern and new. The bathroom was also huge with a large bath and seperate shower and double wash basins. All finished with exquisite materials and very clean. Certain aspects went above the norm for a luxury hotel, from the large bang and olufsen tv to the marble bathroom and electronic do not disturb buttons. Loads of room for clothes etc, well stocked mini bar and tea facilities and beautiful range of toiletries. Breakfast was very good with a large selection of foods and the option to have things cooked to order. Excellent location, 2minute walk from the tube and near buckingham palace and easy access to tourist buses etc by the entrance to the underground. An all round fantastic hotel, would definately stay again.	
Nov 28 2007 	Good staff not impressed with the room.	I attended a two day conference at the hotel and first impressions were good. All the staff I encountered were knowledgeable, helpful and polite (although housekeeping did knock on my door at 8am in the morning which I thought was pushing it a bit!)The location is good, literally round the corner from Green Park underground and near to lots of nice shops like Fortnum and Mason. Reception and conference rooms are all very smart and the various meals and snacks that were laid on for us during the two days were nice.My only complaints would be about my room. Although it was huge, I thought it was badly designed. There were sliding wardrobe doors across one wall, Behind which were housed the tv, mini bar, tea and coffee, hairdryer etc. I couldn't get the wardrobe section to open without sliding the doors back across the tv and vice versa. And the hairdryer was one of those ones that's fixed inside a drawer. And the cord wasn't long enough for me to dry my hair in front of the mirror - annoying! I also didn't think the bathroom was quite as smart as it should have been.I'd stay here again for work but it wouldn't be my first choice if I was paying myself. Overall this is a decent hotel though.	
Nov 26 2007 	Dissapointed for the Price	Being a frequent visitor to London, Claridges, my home away from home in London was full, so I decided to stay at the Mayfair, having previously stayed when the hotel was an Intercontinental and knowing that the property had undergone a serious renovation. I was quite dissapointed paying $700/night as the hotel was nothing special. Service was spotty, room was OK with little or no amenties (any hotel with communal soap dispensers in rooms should not be considered luxury, or hygenic). Room service was lousy (tea was ordered and delivered in a cup with a tea bag and the waiter did not even bring it into the room, but handed me a cup and ran off). Good luck getting any space in the hotel bar, its crowded with the after work crowd and they could care less that you are staying at the hotel.I ended up going back to Claridges and was welcomed with open arms even though I was not staying there (at the bar, restaurant). I stayed at Claridges in October, it was less expensive and far, far more memorable. The Mayfair is nothing more that a renovated chain hotel in line with a hyatt or sheraton, not nearly worth the hefty price unless you get a significant deal.	
Nov 14 2007	Not the "old" Mayfair	Stayed Saturday night for a quick trip. Wanted to checkout the updated Mayfair. Wonderful lobby and attentive service. Room not ready when I arrive - waited 2-3 hours but they did call on my cell when ready. Room as described earlier is design over function. Small room but nicely appointed. Too many mechanical problems to recommend a return. Bed lamps on one side did not work. TV on and off - actually came on during the night. The shower leaked under the door flooding the bathroom! I was in a rush to get to an am flight at Gatwick. The tub must have been designed for an anorectic. Impossible to take a comfortable bath - and I am not fat or too tall. Breakfast with room service was reasonably good. Would not go out of my way to return. Too many other hotels in London to waste returning to this one.	
Nov 12 2007 	Not what we expected	Generally, we were disappointed with the Radisson Mayfair Hotel. We booked a superior king room for two nights November 9th and 10th. If it was superior OR a king, you wouldn't know it by staying in it. The bed was barely a queen size, and the room was quite small. One wonders what their standard queen rooms is like. The bathroom, although large, had no tub but a large shower with two heads. There was one sink. We did find the narrow balcony a nice spot to get a view. The room was a triumph of design over practicality. We can honestly say that of the literally hundreds of hotels we've stayed in, this was the only one without one single drawer in the entire room. There were two small bedside cubes, one filled with coffee-making equipment. How an older person would get down there to get the stuff out is beyond me. The closet had a fridge, safe and ironing board. There was ONE shelf way up high on which to put clothing. Other than that, it was live out of one's suitcase. The bed frame and headboard are covered in leather and look quite nice. However, the bed frame protrudes from the mattress, making the sharp corners dangerous when moving about the room. When I went to the desk to nicely ask if my room was truly a superior king, I was assured it was and graciously taken to another superior king to check it out. It had the same amenities, although it was larger and had a few drawers in the closet. Otherwise, the larger room simply contained more empty space. Is it against modern design rules to place a chest of drawers in a room? The lovely young woman who showed me the room advised getting a deluxe king next time, saying it was quite a bit larger with a larger bed. I hope it has drawers! On the plus size, the staff was extremely cordial and gracious. The room was spotless. The breakfast, at 22 pounds (or 44 USD) was quite nice. It was, thank goodness, included in our room rate. The location was excellent, and the Green Park tube station very close. Would we stay here again? Probably not. Although London is extremely costly for visitors, we're sure there is a hotel at equal cost with roomier beds and better room facilities.	
Nov 11 2007 	Nice stay	We visited Mayfair this November and we loved it.The service was excelent. The concierge fixed everything that we requested. Our room was not big, but big enough. The hotel had a very nice location, few minutes walk to shopping, good restaurants, Picadilly Circus and Green Park (Tube station).The restaurant served good food...	
Nov 10 2007 	Spacious Rooms For London!	Coming from the US, I wasn't quite sure what to expect with a Radisson chain hotel. But, in the UK, the May Fair Hotel is not the typical Radisson hotel. The rooms are updated and normal US size, which I'm used to. And, the bathrooms have double sinks as well as separate tubs and showers. It's quiet, but has a lively bar. A lof of hedge funds guys fill the place after work. It's good to stay for business as well as if you're single. And, the tube station is very close. I love the location too. As for service, top notch. Very friendly and helpful. And, they checked me in early, which is always nice after a 10-hour flight.	
Oct 24 2007 	Very swish hotel	I stayed at the May Fair for one night last December to attend a business conference there the next day.The hotel is extremely impressive when you first enter and the reception staff were extremely friendly and helpful. As the hotel was extremely busy at the time and I had arrived quite late, I was told there were no non-smoking rooms available and I would be upgraded to a superior smoking room but, on closer inspection and without prompting, the front desk staff found me a superior non-smoking room so I was given that instead.The room was quite small for a superior room but impressively decorated - the only thing that was slightly off putting was the dark decor coupled with the low lighting, which meant it wasn't ideal for doing work but fine for everthing else.As I had a superior room there was a fabulous walk in wardrobe area - ceiling to floor black marble - to walk through in order to reach the bathroom. The bathroom was beautiful and had a fantastic walk in wet room/shower area. I had room service dinner which was delicious and breakfast was also good. I would recommend this hotel and definitely the superior room to those coming to London for a longer stay because I think the amount of space in the wardrobe and bathroom would be perfect when you have loads of clothes/toiletries etc.As the hotel was booked and paid for by my firm I have no idea what the room rate was but I wouldn't expect it to be cheap. The hotel bar looks as if it's super trendy and while I was there a celebrity version of The Apprentice was being filmed at the hotel so it's obviously a pretty nice place. This is probably the nicest hotel I've stayed at in London and one of the nicest hotels I've ever stayed in to be honest, only the Hotel du Vin is higher in my estimation for the room size alone.	
Oct 22 2007	Nice building great location but truly awful service. avoid.	Room was 2 hours from being ready when we arrived even though I'd told them over the phone when to expect us and was assured it would be ready. Real problems started when we used the complimentary shoe service - they asked if i needed the shoes back that evening - a definite yes as they were the only ones we had with us and were going out to dinner. With an hour to go before we were due to go out I rang down for a bottle opener and to ask them to bring the shoes up. &quot;Be with you in 5 minutes&quot; I was told by the receptionist who sounded annoyed I was troubling her. 5 phone calls and 45 mins later still no sign of the bottle opener or the shoes. &quot;YES YES, theyre on their way&quot; I was told again. I managed to collar a guy delivering room service out in the corridor andgot his bottle opener off him then went down to ask about the shoes. I spoke to 4 different people who then kept disappearing and not coming back - then the concierge tried to laugh it all off. Eventually my girlfriend rang from the room and said the shoes had just turned up. Just as well as no one on the desk seemed to know what to do and seemed totally clueless and uninterested. Oh, and the shoes hadnt even been cleaned!! Also - when the room was tidied up they left he dressing gowns in a heap on the bed/floor. Not that difficult to hang them up for 200 quid a night surely. Then a fire alarm in the middle of the night and noone answering the phone when we rang to see what was going on. Hmm, 5 star? Not really..	
Oct 13 2007 	Lovely Mayfair District Hotel	I visited the Mayfair Intercontinental on business in February 2003. The room was fantastic with a huge bathroom with towel warmers, and oversized tub. The suite area had a king-size bed with cozy padded fabric headboard, down comforter, and heated floor. Desk, bureaus, and all the &quot;modcons&quot; as the Brits say. Loved the eat-in service - food was fantastic. (I never thought I'd like poached eggs until I tried one here and loved it!). SkyTel in the rooms, and the London Times is delivered daily. There is also a business area for any guest requiring the use of a &quot;field office.&quot; The area is upscale, just down aways from Bond St. shopping, theater, and other cultural activities, if you have the time. The staff was exemplary, indeed, everyone; staff and guests, were courteous. To do: I recommend a show and a shopping excursion, and a spin on the Millennium Wheel!	
Oct 13 2007 	Good location good concierge overall good value for $	This hotel is located in a very plush area.It's also away from the noise of London because it's tucked in a side street.Rooms are comfy and very modern. Bathrooms are also very classy.Room service is prompt. Housekeeping does its job very well throught the day.I also had a great experiecne with the concierge staff during my stay. When my luggage was &quot;MIA&quot; by Lufthansa on a business class ticket the concierge promptly took over and handled over 3 hours of phone hopping dealing with the extremely limited and difficult Lufthansa contract employees.I'd definitely return here for my next trip and definitely recommend this hotel to anyone who can afford it and not nag.	
Sep 26 2007 	Gone downhill since refurbishment	We stayed at the Mayfair Hotel to meet with some friends and have a weekend in London. I recommended this hotel as I'd stayed there before on a cheap weekend with a friend whilst the hotel was undergoing refurbishment. Since it's been refurbished, it seems to have gone downhill. The hotel is furnished in a very minimalist style, which normally I love, but the problem with the deluxe room we had was that the bedroom consisted solely of a bed, a side table and two chairs and a Bang &amp; Olufson TV on the wall. All the other amenities were inside the bathroom which had a glazed opaque door to it. The bathroom door slid on runners to open, but these were extremely stiff and so the door made a noise whenever you opened it. Inside the bathroom was a nice bath and shower, but also your wardrobe and the only mirror in the room. As you might expect, there was no plug in the bathroom, but this meant that to dry your hair or use any other electrical equipment, there was no place to plug it in except in the bedroom, and then if you used anything outside the bedroom, then there was no mirror! Obviously, a girlie problem, but a problem nonetheless!We had a really great evening with our friends, and enjoyed drinks in the Mayfair bar which is really buzzing and recommended.My overall impression of this hotel is that it could be great. I think that we were unfortunate in our room allocation but I think for an upgraded room (we paid extra for the &quot;deluxe&quot; room) then it was poor. I also think that they have too many staff who are new/training as the check in service was poor and issues were not dealt with. Having had such a good stay previously (even given the refurbishment that was going on) and recommended the hotel to my partner and to our friends, I felt very let down on this stay. We have stayed at the Renaissance Hotel at Chancery Court before, and we would definitely return to that hotel rather than to the Mayfair.	
Sep 23 2007	Mayfair on Stratton	Nice hotel very well situated for Tube Station (Green Park) which is only a block away. Easy walk to Buckingham Palace, Picadilly Circus, etc. Front desk staff very helpful after delay due to room not being ready on time. Sainsbury Market across street for bread, cheese, wine, and breakfast items. It's expensive, but so is everything else in London. We would stay there again.	
Sep 21 2007 	Pleasant but not particularly good value	Location========Conveniently located a minute or twos walk from Green Park tube station, the hotel is situated in a nice area, which felt relatively safe when returning to the hotel late at night. A Marks and Spencers is located at the entrance/exit to the tube station and a Sainsburys is opposite to the hotel. Both of which are useful if breakfast is not included in the room rate, as it is about 20 pounds a person. Rooms=======Rooms are spacious, with large beds, a large table and armchairs which are ideal for reading the complimentary paper at in the morning, and mirrored sliderobes which increase the feeling of space in the room. Décor is tasteful dark wood with brown and creams and climate control in the rooms is effective. The bathroom consisted of a walk in shower, double sink and a bath with a tv. Toiletries are Gilchrist and Soames, and as mentioned by other reviewers, are full sized bottles which are attached to the wall. These consist of hair/body wash and conditioner in the shower area, hand wash and body lotion at the sink and another hair/body wash at the bath. This was not an issue for me and actually felt enviromentally responsible, as oppossed to the large number of little bottles normally provided by hotels during extended stays.Food=====I didn't eat in the hotel restaurant during my stay and, as breakfast was not included in my rate, I didn't eat breakfast there as I felt 20 pounds was ridiculous when all I wanted was a bowl of cereal or some toast.Staff=====Reception staff where pleasant, however, when I checked into my room on the first evening, I found that the mini bar contained half empty bottles of juice left behind by the last resident. I mentioned this to reception at around 8pm, to ask that is was cleaned out and to ensure that their weren't going to be any charges to my bill for items used by others, and was told that this would be done in the morning when the room was serviced. Not something worth making a fuss about, but it would have been appreciated if someone had done it that evening, especially as I discovered the next morning that the tea/coffee facilities hadn't been replenished either and there was no coffee. In the end, the mini bar was never emptied of the last occupants drinks and I gave up chasing reception over it. However, with the exception of the mini bar, the room was well cleaned.Value for money==============While the hotel was nicely designed and furnished, with good sized rooms I felt that for 185 a night, with breakfast not included, some things were missing. For example, where a dressing gown was provided, there were no complimentary slippers and bottled water was not provided in the room. I stayed here on a business trip, and if the company was paying I would return, however, there are hotels that are just as nice, with better service available for less in London.	
Sep 18 2007 	Not Bad	We stayed here for three nights and I wouldn't mind staying there again, but there were a few issues. On the plus side, our room was huge and nicely appointed. The location was good - one block from the Green Park tube station. The drawbacks included the rather complicated but entirely unreliable television/message system. The TV would either switch to the main menu or just shut off in the middle of programs and had to be turned on again and again. Very frustrating. The hotel has complementary wireless internet, but it's very spotty and equally unreliable. The check-in staff was very courteous (let us check in early without a word of protest) but the concierge desk seemed uncomfortable dealing with requests.	
Sep 15 2007 	Not a five star experience	I decided to take short five day trip to London and after pondering for a while which hotel to choose I though that at least this should be a great hotel although little bit expensive. That was a mistake. It's posh and on great location but that's all.Ordinary rooms don't have anything special to offer. First floor corridor is made of marble and it reflects all the noise back to your room. Bang &amp; Olufsen TV set has good sound system. Bathtube is small and spilled over water run under the door to another room as there is no sewer outside of bath. Financial Times or Daily Telegraph gets delivered to door.Concierge service works well. Housekeeping does good job and it works in the evenings too. Business center has five internet connected computers, printers and xerox.At first I got wrong room and room service did deliver as they decided that I didn't exists in this hotel. Well, this was sorted out after few phonecalls but this really shouldn't happen at hotels like this. Room service food was OK but of course expensive.Minor annoyances where also two false firealarms in middle of the two nights. I did give feedback on minor glitches but no compensation was offered.Perhaps a nice hotel for older people who are staying in for business but not for young people staying in for the fun.	
Sep 10 2007 	Disappointing	Overall, I was fairly disappointed with this hotel.Having read the reviews and looking at the website, I was expecting 5 star treatment from start to finish but was sorely disappointed.Our room was stylish but extremely small and I could not see what made this an exclusive hotel. We had issues with the mini bar as it would not open - after four calls to reception, someone finally came up and repaired it. We also requested sunday newspapers which never arrived.For the amount of money paid, we would not stay here again.It was an incrediby over rated hotel and I have stayed in better four stars.	
Sep 4 2007 	Lovely hotel in excellent location	Booked via [--] (one of their top secret hotel deals) but was easily able to identify hotel. Very pleased with room size and bathroom was fantastic. Not sure what we got extra by upgrading to the Executive King Size but very happy overall. Bar was a bit pricey but not much more than other London Bars, be sure to go to the Amba Bar rather than the busy Mayfair bar unless you like noise! Location was ideal, within 5-10 minutes walk of Piccadilly/Leicester Square but rooms very peaceful as it is set back from main road.	
Sep 4 2007 	Dodgy Admin but Great Hotel	I reckon this hotel is great value for money considering London prices and the excellent location. The staff were friendly and helpful and when our bathroom ceiling leaked as a result of the occupant above leaving their taps on we were upgraded immediately and given a complimentary bottle of half decent wine. However, we discovered that our new room was already occupied when a disgruntled barman insisted that it was not our room when we tried to a sign a 48 pounds bar bill against it. In order to make amends, the duty manager wiped the bar bill and invited me and my partner to a complimentary breakfast which at a paying price of 22 pounds a head, is not bad. All in all, I've found that most British hotels are prone to administrative cock-ups however the professionalism of the staff at the May Fair more than make up for this. Other points of note are great contempary design and lively but obviously expensive cocktail bar. Finally, I agree with all the other points regarding the fixed soap dispensers in the bathroom - they are a a pain and do not fit the hotel image	
Aug 28 2007 	Fab time at the May Fair	What a fab hotel. I stayed at the May Fair with my husband for our anniversary and wouldn't hesitate to re-visit. The location is superb - exit Green Park tube and you are in Stratton Street. 2 minutes and you are greeted at the door by the smartest guys in bowlers. The reception is very chic, all marble and the staff so helpful and welcoming. We arrived at midday expecting to leave our cases and go about our day but we were given a room straight away. My husband loved the Bang &amp; Oluffsen TV. The bed was so huge we had trouble finding each other. The bathroom was great and had a shower and bath. Breakfast is buffet style with waiter service for the hot breakfast and plenty of choice. I did find the bar quite expensive and it's fairly small. Watch for the 12.5% gratuity added automatically. Just a few mins walk away is the Ritz and the Hard Rock Cafe. This was the perfect luxury break.	
Aug 20 2007 	lovely hotel	I stayed here with my wife for a nights stay while in London to watch a show. Staff were very friendly, rooms were ultra chic, with bang and olufsen tv on the wall.. double shower, no bath, room was ready at 11.30 which was nice, 10 min stroll to Regents St and Picadilly, Green park is just around the corner along with Buck Palace. Got back into the hotel bar about 11 at night, again swish cocktails, if you are worried about spending money, don't go in here, in fact don't go to any pub in London, as they are all expensive, not just the hotels.We enjoyed trying the different cocktails, all served with a smile, breakfast again was a nice experience, try and book the hotel with breakfast included, had a fry up, very nice, but you could have had cerals etc, all in all a great place to stay in the trendy part of Mayfair, £10 cab fare from Waterloo...	
Aug 19 2007 	Good stay at the May Fair	Have just returned from a four night stay at the May Fair Hotel. Arrived at 6pm to be told that the hotel had been full the previous evening and housekeeping were still preparing our room! When I pointed out that guaranteed check-in was 3pm, and that we had been travelling all day, a room suddenly materialised - and we could not have asked for a better one. Spacious, immaculate with good sized bathroom, top end of the range fitments (Grohe, Bang &amp; Olufsen), bowl of fruit and water in the room on arrival. Breakfast was delicious with waiter service. Avoid the May Fair Bar unless you are young, trendy and rich(!) - the music is very loud, and the drinks expensive. 12.5% service charge automatically added to your bill. Mini bar in hotel room well stocked but very pricey. Staff very friendly and helpful, especially concierge. Would recommend this hotel, but book through Superbreak to ensure you get a good rate.	
Aug 18 2007 	NIce if you don't mind not feeling like you're in London	Booked 2 rooms for a 4 night stay in London using United Airlines miles, so our rooms were free. (there aren't many ways to use United miles for hotels any more!). United has a deal with Radisson, which owns several properties in London under the Edwardian name. Check the United website.Rooms were large and across the hall from each other. We had upgraded one room, but after seeing the size of the regular room, we needn't have upgraded. As per many reviews, the rooms are large. For my taste the hotel and the rooms are a bit austere. It felt like we could have been in any city in the world. In retrospect, I would have preferred to feel more like I was in London.The same goes for the neighborhood. It was quiet, but that was because it was a street of businesses, so not any local character.We were on the 2nd floor, which is what I would have expected since the rooms were paid with the coupons, and because we wanted 2 rooms close to each other. I was afraid of the street noise, but even with a room facing the front entrance, it was not a problem. The street is quiet. Eating in the neighborhood with my teenagers was no problem for breakfast. 2 Starbucks, and a few quick and easy sandwich places. And the market across the street was convenient. Hard Rock Cafe only a 5 minute walk.The Green Park tube is 2 blocks away, very convenient to get anywhere: only one stop to Westminster for Parliament, London Eye, etc.Julien of the concierge staff was able to get us tickets for all events, he was quite helpful.All in all a good hotel, but on my next trip I'd look for a hotel near Covent Garden and Leicester Square for more otf a &quot;London feel&quot;.	
Aug 10 2007 	Wonderful stay	Booked 3 nights through Superbreaks for a theatre weekend break.The hotel is 2 minutes from Green Park tube station and Piccadilly Circus and Leicester Square is only a short stroll away - ideally located for theatres and night life.On arriving check in was quick then we were personally showed to our room which was large and airy.The rooms were lovely - mini bar a bit pricey! Although we did have room service for afternoon tea and champagne!Can't fault anything with the hotel.All staff very polite and helpful.The breakfasts are lovely! This was the only meal we had there but totally recommend them!I always say I'd never go back to the same hotel twice as it's always nice to experience others; but in this case I'll change my rules slightly and will definitely be staying there again.	
Jul 29 2007 	Superb Short Stay	We booked a two night break at the May Fair on a Superbreak deal. Arrived at the Hotel at 11.30 a.m. and the room was ready. Thats a first.This set the trend for the next couple of days. Room was excellent with good quality furnishings and yes very large by any standard let alone London. Couldnt fault the staff always very helpful and polite. Breakfast was very good and again staff were faultless.We are regular visitors to London and have stayed in a considerable number of other Hotels in the area. The May Fair has come out on top of them all and will be looking to stay there the next time we visit.	
Jul 28 2007	The Mayfair is fantastic	We stayed at this hotel for three nights and it was the last word in luxury. We paid a bit extra for a luxury king and it was well worth it. The room was simply wonderful and we even had a television at the end of the bath! The staff were so helpful and made the break very memorable indeed. The breakfast was to die for and my fiancee had steak which he is still dreaming about! The fresh fruit was top quality with strawberries, rasberries,mango and the list goes on and on. The decor was amazing and to walk around the hotel was like walking around an art gallery. Stay there its a fantastic experience.	
Jul 26 2007 	Loved The May Fair	Booked a two night Theatre break for my wifes birthday present and stayed at this hotel.The booking was made with Superbreak.This is a wonderful Hotel -we did not spend a lot of time there but certainly wished we had.The room was spacious and well equiped as was the bathroom.The Hotel has recently undergone a £70 million refurbishment.No expense appears to have been spared -the quality of the furniture and fittings was impressive.Check in and checkout went smoothly,the staff were helpful and attentive.As part of the deal there was a chilled bottle of Champagne in our room on arrival-marvellous.	
Jul 24 2007 	Only OK	This hotel is in a great location off Park Lane and is on Stratton Street which means it's a lot quieter than being on Park Lane! The reception area is very nice and the staff were extremely helpful on check-in, when we arrived in our room (having paid more for a Deluxe) it was very large, with great wardrobe, massive bathroom and a B&amp;O TV system. The room was very comfortable and well worth paying for the larger room.However, after a day's shopping we went into the bar for a drink after 15 minutes of no acknowledgement by the waiter/waitress we went to Sainsbury's opposite and bought a drink to take up to our room. On our way out however, the concierge was very helpful in recomming a good bar to go to before our meal.The other downside is the sound insulation in the room, at 2AM a party of people decided to drunkenly return to their room and proceeded to wake us up.Also, unless you're prepared to pay £15 per person to use the sauna etc. don't bother taking your swimming trunks!All in all a pleasant stay with good staff, but it's not somewhere that I'd return in a hurry - there's too many other good hotels for this kind of price in London.	
Jul 10 2007 	Great location and comfort	We stayed for one night at the Mayfair hotel having secured a good rate on Lastminute.com. The Hotel would not match the price which was £100 cheaper than their own advertised rate.On arrival check in was easy and efficient. We had requested a quiet non-smoking room and were not disappointed. Our room was on the 7th floor and overlooked some rooftops but it was away from the road and there was no noise. The room was huge by London standards, spotlessly clean and very, very comfortable - the bed was to die for! There was also a huge bathroom with double basins and a shower over the bath. Toiletries are in large bottles but plentiful, it just menas you can't pinch them when you leave! In the room was a complimentary tray with a bottle of water, a small box of chocolates and some apples. There was also a movement sensitive mini bar although the cost is very high - it's cheaper to go to the Sainsburys just across the road!We had a drink in the bar, which is very expensive but the location means you are within walking distance of some cheaper establishments. We walked to Harrods and also to Leicester Square easily from the hotel.We will definitely stay at the Mayfair again but will look for a deal rather than booking direct.	
Jul 7 2007 	Classy establishment	My fiance and I have stayed at this hotel about 5 times in the past 12 months, thanks to the fabulous rates you can find on lastminute.com (check out the top secret hotels rates and work out which one is the Mayfair!!) We have always paid between £125-£145 for a night's stay in a contemporary deluxe room (one higher than the standard) and have never been disappointed.The hotel is located about 3 minutes walk from Green Park station and is about 10 minutes brisk walk from Oxford Street. There is a Sainsbury's metro just opposite if you want to buy any provisions and also a Starbucks round the corner if you don't fancy paying through the nose for the hotel breakfast.We have always found the reception staff very friendly and they have escorted us to our room on more than one occasion, which I thought was a nice touch.The deluxe rooms are fantastic. A colour scheme of beiges and browns looks far nicer than it sounds. The bed is to die for! The rooms are very spacious and they are not cluttered with lots of furniture - if you don't like your rooms a little minimalistic and contemporary, you probably won't like this place but it suits my taste perfectly.The bathrooms are absolutely huge with double sinks, bathtub and separate walk-in shower. On two occasions we have been lucky enough to have a TV in the bathroom, so you can soak in the tub and watch TV at the same time!One thing to note, if you have a room facing Berkeley Street, it might get a bit noisy. Our last room faced on to Berkeley Street and was opposite the club Funky Buddha and also looked into the second floor of Nobu Berkeley - but we actually enjoyed being nosey!!If I was being rather picky, the swish Bang and Olufson TV in the room just looks tiny in comparison to the size of the room - but that is all down to the room being much larger than what I would usually expect in London!We never used the Mayfair Bar but it was always heaving with people on a Saturday night.We will be back again soon!	
Jul 2 2007	satisfactory	This is a nice hotel, no question, but it is certainly not the 5 star hotel that the website would have you believe. I paid 500 pounds for 2 nights accom, without breakfast, and I felt I just about got value for money. Good location and adequate faciities, but don't expect to be blown away by it.	
Jun 25 2007 	A Birthday To Remember	My wife and I stayed at The Radisson May Fair for the weekend of my 40th birthday. We had travelled to London for some retail therapy and to see a show on the Saturday evening. We had originally booked to stay at a sister hotel elsewhere in the West End but on arrival were informed that the hotel had overbooked and we were to be moved. Awkward silences and anxious glances all round - we had been looking forward to this weekend for ages and had even phoned this hotel the day before to make sure everything was in order.We need not of worried though, as we were whisked in a blacked out Mercedes across the West End to The May Fair in Stratton Street. We were hugely impressed with everything - check in was handled efficiently by professional staff and our room was spot on - modern and tastefully decorated complete with Bang &amp; Olufson tv and very comfortable bed. The bathroom was outstanding - all black and grey marble and complete with a dressing area. Our room was on the 5th floor and was very quiet and peaceful.We returned to the hotel on the Saturday evening after our show (the hotel is situated just 200 yds from Green Park tube) and spent an hour in the bar. The bar had a a DJ and was thronging with people - many non-residents I would suggest. This was a good thing as so many hotel bars are often dead soulless places. Be warned though - prices are stratospheric. This really should not have surprised me as I watched countless Bentley Continentals, Rollers, Mercs and Maybachs dropping off the wealthy patrons of Nobu and other such night spots in the vicinity.Breakfast next morning was delicious and was served by friendly staff in a richly appointed restaurant. The atmosphere was very relaxed and made the whole experience a pleasure. Would we come back? You bet - we were really lucky to be moved here and would have no hesitation in returning. My wife thought it was fabulous - that's good enough for me!	
Jun 21 2007	Loved the May Fair	The hotel was very nice indeed, room large with nice seating area &amp; very quiet. The decor is lovely, chic &amp; modern. The location is unbeatable with its short walk from Green Park Underground station. Lots of lovely shops very close by. The bar was also nice &amp; busy on the weekend we were there, it looks straight across to Nobu! Would definately stay there again.	
