	Perky staff. Tired rooms.	Staff are great. They're the best thing about the hotel now. I've stayed here a few times when on business in London. On my previous visit I changed rooms because the room I was assigned wasn't up to scratch. This time, on booking, I reminded reservations that I hadn't been impressed on my previous visit expecting that I might get a better room this time around. It was basic, tired and shabby. Lumpy pillows. Poorly ordered room. Hand held shower. It felt and looked more like an upscale hostel. It's a pity, because it used to be great.	
Nov 16 2004	Myhotel still worthy of a visit	Stayed on 15th November 2004, paid 186 sterling B+B and this is the first time back here in 2004. Stayed lots here between 2000-2003 and it's still as good as ever. It's a small hotel and if you are staying alone do not book a single room as they are miniscule. Always stay in a double and try and get breakfast included (try lastminute). If not do as I've previously done and grab some fruit and water and coffee from the library before going to meetings. The sevice is the same now as in 2000, although not the best, the staff do try and help and the atmosphere of the place is more relaxed than other big London hotels, feels more like a home. The rooms overlooking the street may be noisy, but they have the best WiFi reception which is a must when travelling........nothing wakes me after a few beers even if they are pricey.........at least it means the clientele are right. The new LCD TV's in each room are good too. My favourite bits then....the relaxing basement Library area with free drinks and the comfy beds........ One of my top 5 favourite hotels in London and I've stayed in hundreds.....will be coming back....if it's not fullly booked and the price is less than 200.	
Oct 31 2004	how much would double glazing cost ?	the hotel is well designed and the staff were exceptionally helpful.... but it's right next to one of the busiest roads in london and the windows (at least in my room) were old fashioned wooden 'dual' windows, which only just kept the noise at acceptable levels. i only stayed one night and that would be enoughplus, hilarously, the wifi connection in my room worked fine... if i sat right next to the room's door.... move 2 metres away and the signal is lost	
Oct 24 2004	Myhotel tries but fails	This is a nice hotel, but overpriced for its creature comforts. The single room provided was smaller than any dorm room you might find. Environment is modern sterile, though they claim fung shiu influence. You get a flat screen tv, desk and no closet. Don't toss in the bed or you are on the floor. Bath has a tub, fine toiletries. They charge an extra 14 pounds for breakfast that should be included in the room cost. They also charge for phone. Drink at the bar is 7.50 pound minimum. Hotel has library with free internet, coffee and snacks and minimal fitness center in the basement. Eat the snacks for breakfast rather than pay at the restaurant. I was not impressed.	
Jul 26 2004 	Disappointing despite effort	I travel to London several times a year, often trying out a new hotel each time. Great location and very helpful staff aside, the hotel was disappointing. The walls of my top floor room were paper thin (avoid rooms with adjoining doors)and amenities were battered (bath towels had frayed ends, bathrobe had a hole in it). Ventilation in the bathroom is nonexistent, so be prepared for steaming up your room.Design and lighting is clean, beds and other furnishings are comfortable, and there is plenty of closet/cupboard space.Hotel bar/restaurant was not bad, as was room service. However, overall experience and efficiency of the staff is lacking (had to explain ingredients for a mimosa three times to a waitperson; received a call inquiring if I had seen another guest's missing laundry, etc.) The lobby is tiny and often bustling, so this is not the place to quietly sneak in and out of - especially when the elevator is extremely slow.	
Jun 30 2004	Thoroughly enjoy staying at My Hotel	We found all the staff exceptionally helpful &amp; friendly. They are clearlythe hotel's greatest asset! We were made to feel welcome in what has becomeour 'home from home'	
May 25 2004	honeymoon in London	We spend our honeymoon in London. My Hotel Bloomsbury was a pretty hotel near the important sightseeing and shopping areas. There are nice restrooms, gym and a library with internet access. Our room was big enough and very comfortable. We loved the private athmosphere. Next time in London we will stay in the same place. 	
May 21 2004	Made our honeymoon special	We received a warm welcome and a lovely room was allocated! The hotel location is great for shopping and for being at the heart of things.....	
May 15 2004 	Oye! Not where you want to stay	I went with an open mind to this Hotel, having stayed at Various &quot;W&quot; hotels, and loving them. I took a chance. The positive aspects of this hotel for me was the location. Very near the trendy Charlotte Street, where I spent my evenings. My friends stayed at the Charlotte Street Hotel- where if you have the $$- you SHOULD stay there. The My Hotel had 2 very friendly and helpful people on staff out of like 20. Most didn't understand English. My room was SO small that I could not do my Pilates/Yoga mat work. literaly, my mat was too big for the floor. I tried to have an open mind. They do use Aveda products. But the room size was a serious hassle. For $300 a night US. Not even close to worth it. No one could help with the &quot;Wi-Fi&quot; hook up with the lap top, so if you need to be on line, come Wi-Fi savy. Sad really, because the location was great. 	
May 11 2004	Disappointing	I was very disappointed with this Hotel, This was to be a treat for my daughter who had been seriously ill in hospital for four months, and a break for the family.On arrival the hotel looked very nice, but no smiles from the reception desk Im afraid. We were quickly booked in and given our rooms which had been pre-booked for us by the Starlight Foundation which grant seriously ill children a 'wish'. I went to the hotel with my three daughters, and two of them were given a room one floor below us room 311, and my other daughter and I were given 402. Not much of a weekend break when you have to go between floors in order to arrange outings with each other.On the first evening I told the reception that our bathroom window did not close properly and the bathroom was very cold, we were told that someone would tend to this, but on return from our evening out to dinner nothing had been done about it, and nobody got back to tell us if they had even tried to close it. The following evening at around 8pm my daughters recieved a call from the reception asking if someone could come up to the room and change the bedding as it had to be done daily before 9pm, we had been out all day and my daughters had not realised that the 'do not disturb' sign had been left on the door, so the bedding could not be changed, we were at this time all trying to get ready for an evening out which resulted in everyone moaning at each other......stress free I dont think so. Im sure the bedding could have waited one more day. Oh and one more thing....make sure you have plenty of cash or your credit card if you want to drink in the bar, I know it was a four star hotel but prices were very high.Nine pounds ninety four pence to be exact for one Whisky and Diet Coke, &amp; A glass of Diet Coke.Sorry but this Hotel wasnt what we expected But London was great!!!	
May 11 2004	Great Place to Stay	We stayed at MyHotel last year and found it be one of the best standard of hotels throughout Europe.The rooms are desgined for ulitmate comfort and fairly well priced for this prime location.All of all though the thing that stands out the most is the guest service provided. Everyone from the housekeeping staff through to front desk staff looked after are every need.Would I recommend this hotel to people whitout a doubt.	
May 6 2004	Was treated like a princess!!!		
Apr 2 2004	Hip 		
Mar 7 2004	Great bar and lounge bit noisy and very small rooms		
Dec 8 2003	C'est Magnifique!		
Dec 4 2003	Loved Myhotel Bloomsbury		
Nov 19 2003	The "W" of London		
Nov 4 2003	home is where the heart is. i lost it at the bloomsbury.		
Jul 14 2003	trendy bloomsbury trendy myhotel		
Feb 17 2003	Lame		
Dec 6 2002	Not worth the money		
Dec 6 2002	Bof bof		
Nov 26 2009 	in zona si trova di meglio...		
Oct 14 2009 	Zentrale Lage gutes Frühstück effizientes Personal		
Aug 27 2009 	Muy bien situado y acogedor hotel		
Jun 11 2009 	Super séjour		
