	Peaceful stay in London bustle and hustle	The Beaufort feels a bit like home. Very nice staff, a complimentary bar with soft drinks and alcoholic beverages, a liitle lounge, quiet street, so close to Harrods, Knightbridge and even Piccadilly.We had a Junior Suite with King size bed, sofa bed and a rollaway, were we stayed with 2 adults and 2 teens. The bathroom was a bit small and there was only one washbassin. But that's the charms of the houses the Beaufort is settled in, I guess.	
Jun 20 2005	One of the nicest hotels in the world	The Beaufort is a gem in the middle of London. Quiet, welcoming, clean, and personal, this hotel is an oasis in the midst of busy London. The hotel is conveniently located in the heart of Knightsbridge--a stone's throw from Harrod's and lots of tourist attractions. But convenience is only one reason to choose the Beaufort, Warm, efficient service is another. Clean, quiet, comfortable rooms is another. Great karna and peace are two others. For business travelers, tired of another busy, transactionally-based hotel, this is a real find. For leisure travelers, looking for a warm, charning base from which to explore London, this is a great bet.	
Apr 4 2005 	In Transition	Just came back from two nights at the Beaufort, March 29-30. I have stayed at this property a number of times over 10+ years and it is clearly in transition. The floors have all been redone with laminate, which is clean and brightens things up. The common room was being renovated, so one of the guest rooms in the basement is now the place to get your drinks, coffee and there is a computer linked to the internet so you can browse. There is wireless internet that works, most of the time (and they'll get it back up if you call them to let them know it's down). The room I was in this time was quite small - definitely not for two people. The staff remain friendly and the location is still wonderful. All in all, it seems to be a work in progress - not the property that was once written up in Gourmet, but not sure where it's headed. There's enough attraction here to stick with it for a while longer, presuming the price doesn't rise, to see what it turns into.	
Mar 29 2005	Worn out	My wife and I sayed here just before Christmas. The hotel is superbly located in Knightsbridge close to Harrods, but that is where the good news ends. Sure, it looks marvellous on the web site but the hotel needs a serious upgrade. Rooms are TINY. Cleanliness average.	
Mar 21 2005 	Dont get room 1	I stayed here for one night and I am not sure I would stay agin. The reception is looking a bit worn but the welcome was fine. I was shown to a duluxe room in basement...it was a big nicely furnished room although I would have preferred a carpeted floor. There was no working air conditioning so I had to leave window open ensuring I was awake from 5 when milk arrived. The staff started letting the kitchen door slam at 6 and the movies and internet didnt work to fill in the time until my breakfast arrived! Nice handy setting though but not worth the money especially if you had paid full rack rate	
Jan 28 2005 	Small but beautifully formed	As a single woman who travels regularly to London, I felt very secure &amp; comfortable here. My standard double room was small, fine for one but not for two people. It was romantically furnished with draping voiles, a fur throw &amp; silk cushions and very clean. The staff were all helpful &amp; friendly. The location is excellent, in the heart of Knightsbridge, but in a no-through road so you get a good night's sleep away from the traffic. I would recommend this hotel if you are tired of characterless chain hotels.	
Jan 26 2005	Excellent Hotel	We stayed at this hotel the weekend before Christmas and it was busy, the staff charming and the service excellent. The complimentary afternoon tea was most welcome after a day out in the bustle of the Christmas shoppers, and returning in the evening was a pleasure when we could help ourselves to a nightcap. The room was perfect and the bathroom was far larger than normal for a London hotel. I can't wait to go back...............	
Nov 17 2004	in love with london and the beaufort	Just returned from a wonderful trip to visit my daughter who is studying for the year in london and i have to say that the beaufort and the terrific staff were one of the highlights of the trip. we enjoyed the elegant suites, the free internet and business center, great morning coffee and breakfast, well stocked bar and snacks, afternoon tea and especially the warm and friendly staff - each and every one of them were so kind and helpful - always eager to do something nice - we even had the opportunity to meet the owner (delightful!!) and she was most gracious to show us the other suites throughout the hotel. all in all, the beaufort is a special haven to return to after a busy day in london and we look forward to returning again. I would recommend this particular hotel to persons who are looking for a cozy and more personal atmosphere and attention to detail.. and, of course, the location is just perfect!!! -	
Nov 16 2004	A 3 STAR HOTELS AT 5 STAR PRICES	Having read so many positive reviews I was looking forward to my stay, albeit a short one. Having stayed at other Hotels in the immediate area I was aware of what a great location Beaufort Gardens offered. But what a letdown, from the moment the porter and myself tried to fit into a miniscule lift and then had to travel through a rabbit warren of narrow hallways and multiple doors before finally arriving at the room. This was not a room decorated in the manner of those represented on the website and definitely not worthy of a 5 star rating. However, the bathroom was large and light and bright. I pre-ordered a taxi for the following morning to Paddington Station but found a limousine had been ordered instead for a 5 minute journey. I HAVE STAYED AT MANY 5 STAR HOTELS IN LONDON AND THE BEAUFORT CERTAINLY SHOULD NOT BE CLASSIFIED AND PROMOTED IN THIS CATEGORY.	
Oct 28 2004	Beaufort Hotel	I was staying at Beaufort Hotel from 23rd till 27th of October. The rooms are very nice, the location as well (Knightsbridge). The only problem - unprofessional staff. I reserved the room online by credit card - 50 GBP were paid in advance. Upon arrival mistakenly I give another one for pre-authorisation. Noone has told me that the second card will be blocked as well. As a result - both cards were blocked for the full amount of staying + 100 GBP!!! for security reasons!!! By check out the card was charged for the third time!!! Both previously blocked cards are still blocked and willl be unblocked in one week earliest!!! The name of the guy who was in charge of this &quot;nice&quot; transaction is Benjamin!!! Take care!!!	
Jul 8 2004	Not what I expected...	I usually would not do this but I wanted other travelers to know about my experience at the Beaufort and judge for themselves. I was there for a total of 7 days, mainly for business. The staff were very friendly and helpful for the most part. There was only one lift that was very small. You have to leave your key at the front desk before you leave and get it when you come back. You order your complimentary breakfast through the reception each night and it did come promptly every time. Phone messages are handled through the operator (you don't get a voicemail box) so I had people saying that my line kept ringing and couldn't leave me a message. I did receive some messages though when the call got redirected back to the operator. The complimentary e-mail and movies were the main reasons why I chose the hotel as well as the location. It was great until the system went down for a few days (they couldn't get it fixed right away for some reason). The phone charges were higher than in other London hotels. The complimentary drinks were nice. The front door is locked after a certain time at night so you have to ring the bell for the reception to open it. Finally, they put me in a room where there was some construction work going on above me so I'd hear it on the days I got back early. I probably wouldn't stay there again but others obviously enjoyed their stay there. It's up to you...	
May 17 2004	Enjoyed the Beaufort Immensely! We will return!	Everyone's taste is different and those who have provided less than gracious reviews are certainly entitled to their opinions; however, I found many wonderful things about the Beaufort, most importantly, feeling safe and secure as a business woman traveling overseas. My husband and I have traveled to the UK extensively. We found the Beaufort only about 2 years ago, and whenever travels allow a stop or visit in London, we stay at the Beaufort. I have stayed also as a business woman traveling alone and have always felt very secure. Our rooms have been charming and clean each time. We have had rooms in the front with a balcony (our favorite!) and several times on the back side. Yes, we've had to climb the stairs, but there is a lift if you can't or don't want to climb. The amenities in the room are wondeful. The staff has been always gracious; especially after a long trans-atlantic flight...they always deliver a tray with breakfast up to our room upon arrival without a second thought!The location is a plus; it couldn't be more convenient! The museums, shopping, grocery, dining and even the Tube are close by. Please give it a try; and remember, if it's a Marriott, Hilton or Hyatt that you yearn for, you are probably bmuch etter off staying there. This is a unique, comfy, accommodating and safe property. We will return and we can't wait-requesting, of course a room with a balcony!	
Apr 28 2004	Second Stay	We just got back from our 2nd luxurylink stay at the Beaufort. As we approached the hotel, I was a bit worried -- there was some paint chipping off the front and the carpet, in the entry area, seemed a bit frayed. However, we were immediately greeted warmly and our luggage was taken up to our room, even though it was only 9 AM and the official check-in time is much later.The service was the major area of improvement: breakfast arrived on the dot; wake-up calls came to the second; the room was kept spotless; the fresh flowers were lovely; the bottled water replaced as needed; and one day we found a basket of apples in the room.The internet access was free (which is good as the keyboard is extremely difficult to use ... but we've been charged $15 per hour elsewhere for the same system); movies are also provided at no charge.And when we needed assistance, the assistance was provided .. and no one had his/her hand out for a tip (although we did leave a staff gratuity when we left).The new management has made a BIG, and positive, difference. We would be happy to stay there again.	
Apr 18 2004	The Boastforth Hotel	The Boastforth Hotel The room was ok - for a travelodge double - it was supposed to be a junior suite. Someone had gone mad with the wood grain effect paint. Fruit amounted to 3 apples, one rotten. Flowers were half dead. No internet or movies were available, and we had to find this out ourselves after struggling with instructions in German. No manager was in evidence, but staff were polite though some lacked English. If we had paid full price we would have been furious - there seems to be a very cynical pricing policy meaning you can pay 50% more if you don't find the right site to book on. On the plus side the location is great and the free bar and afternoon tea are good touches which I suspect were initiated by the original owners as now the place has the air of a money-maker run by clockwork at a distance. Can't understand the raves - I put it down to either people wanting to belong to an elite club or that I have travelled too much and stayed in some amazing places. Read all these comments and make your choice carefully	
Mar 27 2004	Wonderful Stay at Charming Boutique Hotel	I stayed at The Beaufort for 5 days in March and truly enjoyed my stay. The location is terrific--walking distance to museums in S. Kensington; tube stations and bus stops close by.I had a bright and spacious junior suite. The room was spotlessly clean and well maintained throughout my stay. The staff were extremely friendly and helpful. Breakfast and tea were delivered promptly to my room. I thought my room as well as the public sitting room nicely decorated. The fresh flowers throughout the property are a particularly wonderful touch.I will definitely stay at The Beaufort on my next visit to London.	
Mar 21 2004	It's a nice place	My daughter and I just spent 5 days at the Beaufort. We booked it on line so we weren't sure what we were getting but I was pleasantly surprized. In comparison to other European hotels I've stayed at the room was pretty good sized. The bathroom was huge and everything was very, very clean. The staff was helpful and courteous and prompt. We had a great breakfast brought to our room promptly every morning. If we needed anything they were right there to help. It was also a great location. Harrod's was right around he corner one way and the Albert and Victoria Museum the other way. Also a tour bus line just in front of Harrod's and a tube stop. You would never know it was so close to everything because it is a very pleasant little side street. I was also very pleased with how quiet the hotel was. You never heard any body coming or going. As to the fire doors, it just made us feel safe. We would definately stay there again and would recommend it to friends!	
Jan 19 2004	Would NOT stay there	This site has both good and bad reviews of the Beaufort but I must say that I agree more with the bad reviews. I heard it's slightly improved in the past year (perhaps they are finally starting to notice all the bad reviews) but it's still a glossily-packaged hotel that is worth much less than its cost. There is certainly a big gap between the marketing material and the real experience, as some reviewers here have already pointed out. So my suggestion to readers is this: there are so many hotels in London of this type and many of them are unanimously recognized by users as offering good value and being charming. So why take a risk with the Beaufort? No matter how many users write defending this hotel, one cannot hide the fact that SO MANY GUESTS have been very dissatisfied with their stay here. The rooms are cheaply decorated, the staff is unprofessional, and it was pain in the neck to keep climbing stairs and going through fire doors just to get to my room. As for the living room, it was small, dark and depressing. I don't know why the hotel even promotes this in their marketing, and especially as something &quot;all of London is talking about.&quot; I had a great laugh over that one. I personally would not stay here again unless they offered a room for free..and only then, just to be able to get some of my money back from my first stay.	
Dec 25 2003	Quaint Charming and Comfortable		
Dec 4 2003	NOTHING Great -- Perfectly Ordinary and Expensive		
Nov 5 2003	A Delight!		
Oct 19 2003	Disagree with bad reviews!		
Jul 1 2003	Loved The Beaufort		
Apr 11 2003	AWFUL hotel with an all-time service low!		
Jan 17 2003	The Beaufort Would stay there again		
Dec 9 2002	Big Gap Between User Experience and Publicity Reviews -- Beware!		
Nov 10 2002	Beware of the single rooms		
Nov 7 2002	Overrated and Ugly		
Apr 27 2009 	Viel zu teuer: 280 Pfund und dann nicht mal "Twin Deluxe" wie gebucht		
Apr 26 2009 	Charmante Unterkunft		
Feb 19 2009 	????		
Jan 3 2009 	une belle découverte		
Jan 1 2009 	Beaufort é maravilhoso		
Nov 24 2008 	Me encantó The Beaufort		
May 21 2008 	Sympatisches Hotel		
Jan 29 2008	Ottimo rapporto qualità/prezzo		
