	Love the thistle!	I recently visited the Thistle Westminster as part of a group which was organised through my work. It was very cheap due to the amount of people we were travelling with and only cost £150 bed and breakfast and coach travel for myself and my boyfriend. So for me the hotel was very good for it's price.However regardless of the amount I spent, I still feel this hotel is a lovely place to stay. It is the second time I have stayed here and found it just as pleasant as last year. Upon arrival I checked in where I was told all the relevant information (breakfast times etc) and then took my luggage to a room with two double beds in!! (for just me and my boyfriend!) There was also a sofa and facilities to make a tea or coffee which was well needed after a hard days shopping! I do admit the hotel room was very warm however as it was extremely cold outside it wasn't a problem when we stayed there.The bathrooms do seem a bit old and tired however were very clean which is the most important thing when you are only there for a short time.We then walked to the nearest tube station (Victoria) which was approx 5 minutes from the hotel. Victoria is a very central station and any of the key places you would want to visit are minutes on the tube (It was fantastic!).After having a lovely evening at the Tiffany ice rink at Somerset House, we went back to the hotel very tired and ready for a good nights sleep. At about 11:45 we were both woken up by an alarm that had gone off. I was very concerned as it half sounded like a car alarm and half sounded like a fire alarm. I rung down to reception and asked if there was a problem, my mind was put at rest by the deputy manager and after about 15 minutes the alarm went off. About 10 minutes after I rung down we had a knock at our door from the deputy manger who had come to check out the situation and see if everything was okay! (Fantastic service and a lovely man who made us feel our concerns were dealt with appropriately!) The breakfast was fine, not much variety but good quality and the staff pleasant.Overall the hotel has a great location, lovely staff and big rooms. I would definitely return again!	
Jan 3 2007 	Really disappointing service	We booked the Thistle Westminster for one night to rest between our flight from LAX and our Eurostar to Paris the next day. first the booking confirmation showed the property on the wrong street and Thistle has another property - so the cab driver was confused. We discovered the mistake after the cab had left so after our 10 hour flight we were wandering around trying to find the place. We arrived. left the bags at the bottom of the steps and confirmed we were in the right place. several staff stood by while we lugged our bags up the stairs - no one offered to help. The lobby is nice. Exiting the elevator the hallways reminded us of a jail - very depressing faux brick, narrow and dark. The room was okay - adequate. At one point in our 15 hours there our card key didn't work. We asked one staff person if he could help - he looked us in the eye, said nothing and walked away. another staff person was agitated and raised her voice. The moral of the story is that one can accept a less than spacious room, the travails of travel - if the service people are friendly and helpful. I won't try another Thistle hotel again and I am in London once or twice a year.	
Dec 27 2006 	Excellent hotel	We have just spent a night at this hotel on Christmas Eve, from the moment we walked into the hotel all the staff were excellent and helpful as well as being very courteous to our party. We wre very impressed with the improvements made to the ground floor area, especially the Brasserie which has been refurbished recently and stylish colours to its decor. The Restaurant menu is much improved on our last visit earlier in the year, with excellent chefs cooking up some good dishes, also the breakfast buffet has a large selection of hot and cold items, not many 3 star hotels offer such a variety. We would strongly advise anyone wishing to stay near Buckingham Palace that this hotel has spacious very clean rooms with customer service a high priority from all its staff, and will definely stay at the hotel at Easter 2007.	
Nov 26 2006 	A Great Hotel in London!	Just back from 3 nights at the Thistle Westminster. I realize everyone has their varying opinions...but I seriously have no idea what people were talking about with all the negative comments about this hotel. We are a family of four with two of us being a 5 and 7 yr old. We had what they bill as a quad room. It was really large and very nice overall. The location can't be beat...it is a few minutes walk from Victoria station and just a few blocks from Buckingham Palace. The breakfast buffet was very good with a wide variety of choices. My only word of advice would be if booking a room with a pullout couch (like the quad) make sure it's going to be used for kids. There is no way I would have wanted to sleep on that thing...it's fine for little ones, but would have been uncomfortable for adults. All in all a great hotel in a great location.	
Nov 20 2006	good qulaity for good price	I booked this hotel as it was one of the few that would allow me to book 3 adults in one room and I was staying with my mum and my sister.Check in was quick and efficient and the room was small but very clean and perfectly adequate for one night. There were two queen size beds and I was on a put U up sofa bed that was absolutely fine. Nice bathroom and plenty of hot water.Drinks and food were reasonably priced. The hotel's location is great - very close to Buckingham Palace and the main tour buses (The Big Bus Tour and the Original Bus Company) stop outside. Its also only a short walk to Victoria coach and train stations.	
Oct 29 2006 	Awful	This hotel gives London hotels a bad name. If you want a good night's sleep look somewhere else. We booked a theatre break with an agent who recommended this hotel - although he did admit he had never stayed there himself. It is rated 4 star but really should not be more than a 3 star and thats being generous! The rooms are small but that in itself is not the issue. The problem with with the beds - they are small and the mattresses are old. After the worst night's sleep ever in a hotel we stripped the bed to find the mattress dated September 1999. The springs were coming through, there was no protective cover on the mattress only a thin sheet between you and whatever else might be on/in the mattress. The pillows were also shocking. Old, flat and hard with again, only a thin pillowcase to protect and cover. Our complaint to the management was not dealt with satisfaction and as they had taken a swipe of our credit card on arrival we seem to have little choice without a lot of aggrevation, to get our money back. Furthermore, we found a rusty sewing needle on the carpet by the desk which housekeeping had missed. Anyway, you get the picture - from previous experience not all Thistle hotels are like this, but we won't be choosing Thistle again - ever.	
Oct 27 2006 	Horror	I arrived at Thistle Buckingham in september, for a 3 night stand. A very bad hotel, with awful receptionists. Had a small credit card problem at the check-in (the room was paid but it was a problem with that credit card deposit) and they kept me for TWO hours in the lobby, instead of solving it immediately. Tha attitude was bad, it was like I had to thank them that I was booking that hotel!After that, I had the most horrible hotel room of my life. Number 109, as I remember. There was a permanent noise (24 of 24 hrs) coming from the ceiling or something which kept me awake.Conclusion: choose another one!	
Sep 18 2006 	Air Cooling not Air Conditioning !!	The hotel I had tried to book was full, so my company booked this one instead. I read the reviews and was slightly concerned. The hotel itself is in a great location for visitors to Buckingham Palace. Booked in and received no advice re lift positions/ breakfast etc. The room was acceptable although no information about TV channels etc was available.On returning to room after meetings, it was very warm and uncomfortable...although it was early September, it was a hot day.I phoned reception and asked if there was a problem with the Hotel air conditioning, I was informed that they didn't have air conditioning but ' Air cooling which was similar '. I was then asked if I wished a fan for the room, which an hour and a further call later was delivered. I would suggest a visit in midsummer would be particularly unpleasant in these smallish rooms.Breakfast was above average with a good selection of hot and cold items. Overall not a particularly enjoyable experience.	
Sep 11 2006	This hotel is not ready for guests	On the plus side, the hotel is close to Victoria Station. Otherwise, there is no reason to recommend it. It's an older hotel and the hallways smell stale. I stayed in a non-smoking room, which had no odor thankfully, but was long and narrow and lacked good lighting. Also, the water temperature in the shower never went beyond warm and the blow dryer was by the desk, but no mirror was there so I had to use the TV to try to see what I was doing with my hair. One evening I called the front desk looking for an adapter. I was told to call back in the morning and talk to the concierge, who would be arriving at 8 a.m. When I phoned the next morning the concierge told me they had adapters for 110V, not 120V and therefore if I wanted to use one I would have to purchase a converter and &quot;those can be really expensive&quot;. For a hotel that one would think wants international business travelers, you would think they would keep adapters available at all times.I left as soon as I could and moved to the Holiday Inn in Kensington, which was a much better experience.	
Sep 6 2006 	A Great Stay	We stayed at this hotel because they were able to accomodate 5 people (2 adults, 3 teens) in one room. Our room was huge and spotlessly clean. The front desk staff were very helpful especially the concierge who arranged our tours and the breakfasts were great. We would definitely stay here again. It is centrally located to everything (Victoria Station, Buckingham Palace, etc).	
Aug 22 2006	Don't believe all the bad reviews	Overnight stay at The Thistle, Westminster was a pleasant suprise, after reading all the dreadful reviews. Fast and efficient check in and check out. Staff were friendly and helpful, room was spotlessly clean. Good breakfast catering for all different tastes. Smallish but comfortable lounge area and only downside was a makeshift bar area. Everything you could want to drink apart from anything on draft, just a bit dissapointed to see it set up on a table covered with a white tablecloth. Hopefully a temporary arrangement. Otherwise a very pleasant stay with no complaints whatsover. Excellent location, try Bumbles restaurant round the corner. Doesn't look anything special from outside, but try it, you wont be dissapointed.	
Jul 28 2006 	Not a good hotel	I stayed at this hotel for one night for work. The whole experience was terrible. The first room I was sent to was so hot I could barely breath (no air con, and the windows are fixed so they only open a little) and was a smoking room when I'd specifically asked for non-smoking. The whole of the UK has been having a heatwave, but this hotel is supposed to be air conditioned. I went down to the front desk - they confirmed the air conditioning was broken, but claimed they had no cooler rooms initially. Since the whole point of me staying in a hotel was to go to an early meeting in London the next morning I said that there was no point me staying there if I couldn't sleep, as I'd be useless in the meeting - and I was sure my company would want me to go home and simply miss the meeting if they couldn't accomodate me in a room which was habitable - or book me into a different hotel. At this point they miraculously found me another room. This room had a little cold air coming from a vent but was still really hot. I barely got any sleep at all, and wished I had gone home as the first thing I was told upon attending my meeting was 'you look terrible - really tired'. I was shocked that given the fact the windows don't open properly (there are metal fixtures so they only open a crack), they were continuing to book people into the hotel. The temperature in the first room I was in was so high that it would have been a health hazard for anyone with a medical condition. I stayed at the end of July - well into a very hot summer - it isn't as if this was the first day that temperatures went above 30C. They'd had plenty of time to either fix the problem, or to book their guests somewhere else (or simply inform travellers of the problem so they could make their own decision).Do not stay here. There are better places in London for less money.	
Jul 24 2006 	Worst hotel ever stayed in	Stayed here for 4 nights in May. Looks good initially but rapidly becomes clear that this place is a shambles underneath. No aircon, no decent internet access in the rooms, practically impossible to get on the phone outside 9 - 5, which isnt good if people are trying to contact you from US, even basic things like getting an iron and ironing board are a lottery. They also appear to have a somewhat cavaliar attitude to charging items to your credit card - despite having paid for the room in advance, they almost charged me twice. Complaining about the place to head office doesnt seem to do any good. Would suggest that people strongly avoid.	
Jul 16 2006	Great Location - Character!	We stayed at the Thistle Westminster for 4 nights for vacation (in the middle of the heat wave) in July. It is located in a fantastic place for tourists. Right across the street from the Victoria Station which takes you anywhere you want to go in London, just two blocks from Buckingham Palace, and within walking distance of Westminster, the London Eye, and so much more. We loved our room as it had a lot of character with the barrell rounded ceilings, couch, two chairs, two beds, a desk, and a nice closet with an in-room safe. The only down-fall was that the hotel does claim to have an air coolin system but the heat was way to much for it and we really boiled in our room all four of the days and nights. We would not even feel it circulating the air. Fortunately, we did get a little airflow during the night which wasn't much, but enough to lower it a degree or two. Overall, we really like the hotel and enjoyed our stay. Again, it is a GREAT location for tourists and we would definitely stay there again!	
Jul 5 2006 	Tired no aircon needs a good clean	Advert stated: airconditioning, modern 4star deluxe hotel.well, the word hotel is correct!aircon - essential in a rare London heatwave. Sadly on arrival it proved to be what the reception described as &quot;aircooling&quot; - which translates as small airvent in the wall that has no effect on room temperature.First room I checked into had a dirty bath (marks all up the sides). Second room was the same - I ended up taking a washcloth and cleaning it myself.Overall impression of somewhat tired furnishings in need of an update.On a positive note, the room was a very good size for London, and very convenient for the parks for a run!Won't be back here!	
Jun 5 2006	decent hotel	I stayed at Thistle westminster hotel along with my family in May 2006.We had a nice time,Hotel rooms are decent compared to other london room sizes.Hotel rooms are clean and housekeeping staff does a good job.Very close to victoria station and Buckingham Palace.Staff is friendly and helpfull.Compared to other hotels i have stayed across the world,this hotel seems understaffed,The guy who manages the retaurant also doubles up as room service .......Also everytime you ask for room service they charge you 2 pounds as service charge,even for empty plates .But overall its a decent hotel and worth staying for a few days as tourist as well as on business.	
Jun 4 2006	Hotel needs attention.	We stayed 2 nights at this hotel in early May and though the staff was very friendly the rooms were uncomfortable. We arrived at Heathrow airport and decided to take the bus to Victoria Station to see some of the city as we were only there for 2 days, not realizing that the bus station was quite a bit of walking distance from the hotel, especially for a group of six with luggage in tow. We had reserved 2 - triple rooms and upon our arrival (close to 2:00 PM), luckily our rooms were ready. But we walked into hot, stuffy room with stale cigarette odor. We were told they were sorry, but they were having some unseasonably warm weather (75) and that they hadn't turned on the A/C system for the hotel yet and offered each room a small fan, which we accepted. We opened the window as much as possible, which wasn't much, and dealt with the outside noise of a busy street. Our beds were less than comfortable, especially the pull out and everything looked drab, not like the bright airy picture you see on the internet. Though it was nice to have a wall attached iron w/board to use. We didn't eat at the hotel, so have no comments about the food. But we did eat breakfast at the &quot;Panini&quot; place across the street which was very good. Walking around the hotel's neighborhood at night was a little uncomfortable, but seemed to be safe. We probably wouldn't stay at this &quot;Thistle&quot; location again without it being renovated.	
May 15 2006	Convenient location but choose somewhere else.	Got a deal to stay here in October 2005 through Virgin Vacations. The hotel is in a decent location just about two blocks from Victoria Station where you'll find easy access to all the central tube lines, bus lines, and express trains to Gatwick. Its also close to Buckingham (about a ten minute walk). The general area around the train station seemed a little sketchy at times, but was always safe. However the hotel was very dated and worn inside. The lobby furniture was worn threadbare and the room looked as though it hadnt been updated since at least the late 70's - early 80's. The mattress was the worst I've ever had in a hotel -- about 5&quot; thick and felt as though it was stuffed with straw. The room overlooked the street with two bus stops right below our window. Nice sounds of the city, but not good if you're trying to sleep. I'd compare the room to a dated and worn Motel 6, except the walls here were brick and Motel 6 would have more comfortable beds. Would try not to stay here again even though the area is very convenient to Victoria station.	
May 14 2006 	Great location!	I thought that this was an excellent hotel in a very good location - within 2 minutes walk of Victoria station. The area also felt safe and was always busy - a bonus for lone female traveller.The rooms were spacious and comfortable with nice toiletries in the bathroom along with a decent power shower!! - it certainly woke you up in a morning!!I would have no hesitation staying here again. The buffet breakfast was excellent - and every single member of staff that i encountered were always helpful and very pleasant.	
Apr 21 2006	Great Location - Very Helpful Staff - Large Rooms	Myself, my wife and our 12 year old daughter vacationed in London and Paris in April 2006 and spent three nights at the Thistle Westminster. I chose this hotel based on reviews here, its location and the price. I was not dissapointed.I was surprised by how large the room was. We booked a triple (a REAL double bed and a fold out couch) with an ensuite bath/shower. The room itself was very much like a Radisson or Mariott in the states. Large main room with a desk and seating area (where the fold-out couch was and a decent sized bathroom in which everything worked (amazing water pressure, by the way!). The only complaints I have is that the fold out was not very comfortable, you could feel the frame beneath the matress - but this is fairly normal for a fold out bed so it wasn't a deal-breaker or anything.The location was fantastic! Literally less than a 5 minute walk from Victoria station. Since we flew into Gatwick, we just jumped on the Gatwick Express train (approx 30 min from the airport to Victoria) and walked to the hotel. Our room was not ready early - but they did secure our bags.The proximiity to Victoria Station puts literally all of London at your doorstep and the hotel is, literally, a 5 minute walk from Buckingham Palace.All the staff were extremely helpful, one in particular - Michael - was a real gem. He helped us with tickets to attractions, neighborhood information, and even helped us find a good Indian restaurant and a REAL English Pub (as opposed to the &quot;tourist&quot; pubs that surround the hotel.I can't speak to the hotel breakfast or room service since we didn't partake. Our room was cleaned daily and fresh towles were provided.We paid £120 for a triple through londontown.com - it was the best rate I found for a triple, since we were staying over a weekend. Granted, that was a little more than I had intended on spending, but it was the cheapest rate I could find after an exttensive search. I would stay at this place again - however the next time I go to London I might try a different neighborhood...there are Thistle hotels everywhere	
Mar 17 2006	London Calling	This hotel is one that I sell alot through my job as a travel agent and have always recommended due to its great central location. So I decided to put my money where my mouth is and book myself there on my trip to England last week. I can definitely say I wasn't let down. It's a pretty typical English hotel and deserves the four star rating it gets. Our room had all the amenities needed and room service was prompt and pleasant. The front desk were helpful and always nice. They wouldnt let me check in early, which I requested proir to leaving the states, but they were kind enough to hold my belongings. The breakfast was a full english breakfast, it was ok, nothing to write home about. The best part of the hotel is it's location. Right at Victoria station you can take the tube anywhere not to mention you can walk to most of the major sites. Would definitely stay here again.Curtis Williams	
Feb 13 2006	Worst hotel I've been to	My partner and I just spent valentines weekend there and were totally let down by this hotel, which is actually a FOUR STAR not three!! You wouldnt believe it though:-From the outside it looks like a run down office block.-When inside the hotel it is obvious that Thistle have left this hotel in the 80's.- There was no central heating in the room, leaving us with 1x electric heater and a freezing cold bathroom.- The bathroom lacked any sort of 4* luxury.- The breakfast when it arrived LATE was of average standard and there was no cutlery or salt/pepper/suger. When these eventually turned up upon request the food was cold.- I have stayed at many 3* which put this hotel to shame!!!	
Jan 23 2006	Great value for money	Stopped for one night only January 14. Checked in early and room was not ready,but check in was quick and efficient and luggage left until later on.When arriving back after an afternoon sightseeing we was pleasantly surprised by our immaculate room, a good size and nice bathroom.Tea and coffee and biscuits also available.The corridor leading to the bedrooms was also very pleasant.The lounge/bar area was fine.Location was good for underground and bus station if required.Check out was as good as the check in.We paid £75 for one night with Last Minute.An excellent deal.	
Jan 12 2006	Excellent base in London	PROs:-very close to Victoria station &amp; Buckingham Palace-helpful and friendly staff (we arrived in London around 7:30am and were allowed to check-in without any problem-complimentary coffee/tea/biscuits-good central heating in winterCONS:-no fridge-no internet access	
Jan 10 2006	Excellent value	Great location in Central London and just one minute from London Victoria Train Station. Was a little hard to find in the beginning as it was not very visible from the main street but being THAT close to the Train and the Underground, you can zip to anywhere in London city as you wish. Excellent value for the price we paid for the room and the staff are very helpful, especially Mr David at the concierge desk.	
Nov 3 2005	Great Location	We stayed at Thistle Westminster in October 2005 for two nights free as part of a British Airways promotion. The location was excellent for a tourist wanting to see the sights...A block from the underground, about 2 blocks from Victoria Station and walking distance from Buckinham Palace. &quot;The Big Bus&quot; London tour bus has a stop right in front of the Thistle Westminster. Other excursion tour bus companies picked us up right at the Thistle Westminster. Very safe area to walk around at night. The concierge was excellent - we were very pleased with all his recommendations. Our room was not ready for us to check in early when we arrived at 9:00am. At 11:30am, a room was available, so they upgraded our room to an executive room and let us check in early at no charge. The executive room was very roomy, with two twin beds, a couch, 2 desks, plenty of drawer and closet space. There was air conditioning in our room, which we were not expecting from reading other reviews. The internet access in the room was dial-up, but they had a computer with high-speed access in the lobby, for a charge. Although we read that the hotel needs updating, it wasn't bad at all. A lobby couch was a little worn on the arm, but overall, it was fine. Along the lines of a nice marriot. We met someone staying at nearby Rubens, which other trip advisor reviewers said was better to stay at. Rubens looked very posh, but the people we met said the rooms were so tiny they could hardly walk around in it. We would definately stay at Thistle Westminster again.	
Oct 28 2005	a good but not great hotel	This is your standard three star London hotel with very little pretense of being anything else. Because of London prices, it seems fairly expensive for what you get. The room was more than adequate, with twin beds and a sleep sofa. The layout was a rather long, narrow room, maybe 11' by 25'. The room included a mini-fridge, an ironing board built into a wall unit, and several other nice touches. Overall it is more functional than charming, but still was appealingly tasteful. The location is excellent, just a couple blocks from Buckingham Palace and Victoria Station. The breakfast that came with the room included a hot buffet and was fine. Service was fine but nothing exceptional. This is a nice, good hotel, but I wouldn't want to pay too much for it. We got the room for free as part of a British Air package, and were well satisfied with it, but if we were choosing a room from scratch, we might have searched for something that offered a bit more for the price. We saw prices on the internet of around $200/night and that's too much for this hotel. You can do significantly better for that kind of money.	
Jul 17 2005	Do Not Stay Here	This property has been neglected for a long time. We paid $400.00USD a night for a triple room that for 1 1/2 days had no hot water. Air conditioning did not work at all for our 4 night stay. The garden view was full of weeds and appeared to be ignored. The continental breakfast is horrible, the hot breakfast is worse. Furniture in the lobby/sitting room is worn and faded with dated decor.The best compensation we were offered after having to negotiate with the manager was a complimentary dinner at the hotel. No Thank You.$400.00 a night would have given us a room at the Ritz in a United States property. The Thistle Westminster is a consumer ripoff. Do not book a reservation here under any circumstance.	
Apr 29 2005	Nice Stay Convenient Location	The location of this hotel is great!!! Easy access to anything by tube, two streets away from Victoria Station. The rooms are very comfortable and clean. The Big Bus Tour has a pick/up drop off right in front of the hotel. Many good pubs and eaterys are in the area. The location is almost directly behind Buckingham Palace - the Royal Mews are nearly across the street. The concierge was great! Very helpful in all of our questions. We booked our hotel with Virgin Vacations, it was a great stay at a great price.	
Apr 23 2005	Good bargain great location	I read some reviews of the Thistle Westminster prior to booking our trip through Virgin Vacations, and the information was right on. The location of this hotel is great -- easy access to anything by tube (Victoria Station is within easy walking distance) and even better many of London's attractions in the Westminster area (London Eye, Westminster Abbey, Parliament, Buckingham Palace) are within walking distance. We even walked to Trafalgar Square one evening. The exterior of the hotel is not much to look at, but the inside is clean and the rooms are comfortable. The only downside to the hotel itself is the climate control. It was far too hot to sleep and you couldn't adjust the temperature in the rooms. Opening the windows was an option but the noise from the street made it very difficult to sleep. After an uncomfortable first night, I called to ask about moving to a different room hoping for some relief from either the noise or the heat, but there were none open. They did bring us a fan, which helped a lot. I wish they had offered this when I called on the first day to ask how to turn the heat down. The concierge was a big help, and booked us for the London Eye and the Big Bus Tour. The Big Bus actually stops right outside the hotel!The only big disappointment was the restaurant. We had a continental breakfast included with our stay, but it was not clearly marked in the restaurant what was continental fare and what was the English breakfast, and none of the wait staff clarified the difference. Generally speaking the food was less than appetizing, and the &quot;upgrade&quot; to an English breakfast was NOT worth the extra money. Overall it was a good experience and I would recommend this to anyone wanting a good bargain.	
Apr 20 2005	Pleasant 2 Night Stay	Five Seniors from Florida spent 2 nights at Thistle and found it quite acceptable despite reading some negative reviews from others. Our rooms were clean and comfortable, bathrooms could use some updating but were OK. Breakfast was plentiful with a good assortment with a pleasant staff to serve you. If you add hot food (eggs, bacon, etc.) they will charge you an additional 6 pounds, much to choose from if you stay with the Continental.Front Desk Staff were friendly and helpful, with special thanks to David who was most helpful with information, tickets, and luggage handling. The Cafe for Lunch and Dinner was priced a bit high for that which was offered but the Staff worked very hard to please. In time, perhaps they will change their menu. All things considered, we have no complaints.	
Mar 31 2005	Great Location Hotel Run down	I stayed here for twelve nights in December. Staff is great, knowledgable and very helpful. Hotel was obviously once very nice. It really needs a make over. The location is fabulous. Near Victoria Station, all buses, walking distance to Westminster and Picadilly. Restaurant is fair, breakfast just OK. Coffee maker etc in room was very good. (coffee,tea, even soup and nice cookies.)Room was a good size, bathroom was nice, TV had all the stations I wanted. But, room could just need some sprucing up. I like the area, but, would stay at Rubens across the street next time.	
Mar 24 2005	Nice but hot	There is something wrong with the heat there. The common hallways are always hot but thankfully the windows can open and you can sleep in relative comfort, however you become subject to the city traffic that stays fairly constant until 3:00 am. The front desk claims that the heat is timed with the seasons and that the shut off date was a couple of weeks ahead and they then would switch to cooling mode. I just spent 5 days there in March of this year, 2005. The Brits say that it has been unseasonally warm this year but I think it has to do with their tolerance for cool weather. Everywhere we went I was quite comfortable in a long sleeve shirt and no jacket, practically every Brit was bundled up with a coat on. I dwelled on the heat because that was the only negative we found. We decided to go on a Jack the Ripper tour one night on a whim and went down to talk to the concierge about some information. We were able to book it through the hotel at the tour operators price within 5 minutes. The continental breakfast is similar to what you get in the USA but not all the staff offered us toast with our breakfast. We were able to get it upon request. My wife tried the hot breakfast and was dissapointed. There is a magazine shop down the street that sells telephone calling cards. Definetly use this option over the hotel telephone line, they charge your room 1 pound each time you make a call. There are two telephone booths directly in front of the hotel. Start with a 10 pound calling card and see how it goes, we came home with a lot of unused minutes. There is HSBC bank currency changer by Victoria undergound that does not charge a commission. There are many currency conversion centers but you have to negotiate to get the best rate. You can also change currency at a post office for no charge. Bring lots of money or be prepared to charge because London is an expensive city. The tube station is close by and convenient to all sites also there are two doubledecker bus tour operators close by. We went with the &quot;Original bus &quot; because they also offer a free Thames cruise with your ticket. I am not inclined to revisit London soon but would reccomend the Westminster Thistle to my friends.	
Mar 12 2005	What A Dump!	Stayed here the evening of March 5th. As I would only be in London one evening and needed to be close to Victoria Station, I thought that this would be a great hotel - especially based on previous reviews. I guess I should have realized that you certainly get what you pay for and a 77 pound rate in London should have been the tip off! Mold in the shower, the veneer missing in chunks off of the doors, knobs missing off of light switches and heating, only 5 channels of free TV (and no CNN or BBC News Channels). stained carpeting in the halls, hair in the tub.....the list goes on. The worst part is I had to leave the hotel by 6:30am to catch the Gatwick Express and the restaurant didn't open until 7:30am on my departure day. So much for booking a rate that included breakfast! I had the option of having coffee and a croissant delivered to my room at 6:15am but there would be a 3 pound surcharge. Decided to spend the 3 pounds at Victoria instead of wasting any more of my money at this hole in the wall! The only plus to this hotel was that it is only three blocks to the train. I considered staying in Kennsington, but the Circle and District Lines were not operating that weekend so at least I didn't have to shell out for a cab.	
Mar 7 2005	dont stay here	My partner and i stayed here for our anniversary this year. We have always been pleased with the Thistle hotels after staying at the Barbican for his birthday last year, the Tower for another anniversary and the marble arch for work and we have always been really pleased with the brand and the quality of facilities. So imagine our dissappointment when we stayed here and discovered the bed in the first room we were given was broken beyond repair so we had to report it and get another room and was promised keys would be up in a minute. Half an hour later the keys arrived and we were told the delay was due to poor heating in the room and they were waiting for a stand alone heater to warm up. When we got in the room we heard a buzzing noise, my partner is an electrician so decided to look at the heater and said it was a health hazard and couldnt use it. We also discovered the tissue holder in the bathroom was falling off the wall, the pedastall bin had no foot pedal on and didnt work as we closed the curtains the tie back hook came out of the wall. I've never felt so let down and being a special occasion i decided to complain to the duty manager in the morning but thought we would wait till after breakfast. The food was cold and hard. We had to send coffee back twice, we asked for fresh toast and it was cold and there were stains on the chairs. Reading reviews of this and as it cost more than the previous hotels we stayed at, we hoped it would be the perfect theatre break we were looking for but there was nothing modern about this hotel and nothing good to speak of either. We complained to the duty manager and she offered us a free upgrade on our next stay here but as i explained, i wouldnt stay there again if they offered me a free night.	
Mar 6 2005	nice furnishing	My daughter and I spent 1 night in two single rooms in February 2005. The rooms were nicely decorated and quite large. Staff was very unhelpful. Location not great. Stayed there because we were flying out of Gatwick on early flight and wanted to be close to the train. Although the rooms were nice, because of the staff, I would stay here again only if I had to make a train connection.	
Nov 18 2004	Perfect hotel in London	We stayed a week at the Thistle Westminster Nov.10-18 and found it wonderful in every way. We had a twin room and our daughter stayed in a single. Our room was much larger than expected with a small sitting area with a sofa,chair and table. The beds were quite comfortable and the bathroom in great condition. Our daughter's room was larger than usual also. The staff were excellent from the desk clerks to the concierege,the restaurant staff and housekeeping. I had actually left my wallet one day on the floor of the room with credit cards and cash and thankfully found it on the desk when I returned that night. The breakfast served is plentiful with the contiental included for us but extras in a full breakfast buffet if desired. The location was excellent ..two blocks from Victoria station,yet quiet at the hotel area with a bank on the next corner and the Big Bus Tour Office down the street. Would definitely stay here again.	
Nov 18 2004	Better than the victoria thistle!	If you have to stay in a Thistle Hotel in this part of town, then choose this one over the Victoria Thistle. Thistle Westminster reception was welcoming, room was better than expected, but some minor niggles. Heating didn't work, no room service breakfast and the shower pipe sprung a leak soaking the bathroom. Surely the cleaner would have noticed the problem with the shower if they used it to rinse the bath?Breakfast was so-so. I must have had the same salt cellar as another reviewer - no salt, no stopper in the bottom - and I wasn't the only one at breakfast to ask for salt for the same reason! Bizarre!Bed was comfortable &amp; room was clean. it was 100 times better than the abysmal rooms I've had at the Victoria Thistle.	
Nov 2 2004	Please with our Stay	We spent a week in London (from September 15-September 22) and stayed at the Thistle Westminster. The hotel was nice and our room was small by American standards, but I would guess similar in size to other London hotels. The staff was very helpful, we were able to control the room tempature and best of all, the beds came with down comforters. The one thing I would not recommend is the food at the hotel restaurant (especially lunch and dinner menu). On the other hand, the bar, and staff were very nice. Honestly though, we didn't go to London to spend all of our time in a hotel room and the location of the Thistle Westminster is outstanding! It is within walking distance of the Victoria Station, literally across the street from the Royal Mews, and it is very easy to catch a cab in front of the hotel. We got a great rate for our room and the location trumped many of the other more expensive hotels.	
Oct 21 2004	OK - but going downhill		
Oct 13 2004	Convenient but worn		
Oct 13 2004	Very Pleasant Stay		
Oct 1 2004	Good moderate airport hotel.		
Jun 8 2004	Thistle Westminster - Absolutely Fabulous!		
May 1 2004	Not a bad place to stay for the price		
Apr 28 2004	A dump		
Apr 7 2004	Great Hotel		
Mar 22 2004	Don't let looks deceive		
Dec 5 2003	Very decent hotel		
Nov 13 2009 	hotel perfectomagnifica ubicacionbuena relacion calidad-precio		
Sep 23 2009	Achtung Bettwanzen!		
Aug 20 2009 	très déçu - ne vaut pas le prix		
Apr 8 2009 	????????????		
Apr 2 2009 	ottimo		
Oct 15 2008 	ravis de notre séjour!!!!!!!!!!		
Sep 8 2008 	buen hotel		
Apr 2 2008 	Hotel confortable à Westminster		
Feb 5 2008 	Bon hotel + Bon emplacement + EXECELLENT accueil		
Jan 1 2008 	Pessima esperienza-mai più		
