	Warning this hotel overbooks rooms	This hotel over books rooms and tries to relocate you to hotels several miles away, in my case 13 miles away in the middle of nowhere.	
Apr 20 2005	Be careful with the Radisson Hotels.	We were booked by our travel agent into the Radisson Edwardian Vanderbilt in the Kensington areain late March over the Easter holiday. We arrived late, after a snafu at the airport, only to find that our rooms were gone. We were taken by a private hire car paid for by the Radisson to another Radisson hotel, which was a little more Euro-chic than we had planned upon. The second hotel, the Radisson Berkshire on Oxford Street, was clean and nice, but the room provided was minuscule. We were able to be moved to another, slightly larger room with the beds that we had requested the following night. The staff was excellent, but there was confusion over the breakfast (we had pre-paid, but had to sign on a daily basis for the breakfast, to the tune of 30 pounds per person!), and the Radisson Vanderbilt did not forward to us a fax from our &quot;meet and greet&quot; service that we really should have been sent. When we checked out, there was confusion about the payment. We had paid for all expenses in advance, but received a bill for the total amount of our stay, including the outrageously overpriced breakfasts. It took a while to straighten it all out, as everything had to be checked with the Radisson Vanderbilt. The location of the Berkshire Radisson was great- in the middle of the shopping on Oxford Street, close to the bus stops and tube, and there was a cash machine right around the corner. We did enjoy the staff, who really went out of their way to try to make things right. All in all, we had a good time, but if we were to stay there again, we would confirm things ourselves, instead of letting the travel agent do it. We would call the hotel from the airport immediately upon arrival to be certain that the rooms were as promised. Nice place to stay, but check things out carefully.	
Feb 13 2005	Hang Onto Your Shoes!	I spent one night at this hotel with a friend who had invited me to join her for her graduation ceremony in the City.  THE PROS I booked it through airmiles. I presumed I was entering a hotel which would take me back to a time of luxury, opulence and good service and I felt pleased it wasn't costing me much!  I must admit the hotel itself was excellent. Check-in was speedy and efficient. Our room was spacious and it was obvious the rooms and bathrooms had been refurbished. We went out for a meal and by the time we returned, the receptionist had left a voice-mail on our phone asking whether everything was ok and to please let her know if anything was not.   THE CONS We were given luxury bathrobes and slippers but were horrified when one bathrobe was absolutely filthy! A previous occupant of our room had obviously been ill and I have no intenion of putting into words what the robe was covered with. Needless to say, we rang down and asked for a replacement. We had to ring again half an hour later as no-one had acted on our request.   As the Radisson Edwardian group pride themselves in giving service second to none, this was not the sort of problem we expected from a hotel of this class. The fact that it was not acted upon speedily after our first phone call also disappointed us greatly! Indeed, we were left questionnaires in the bedroom and at our breakfast table, inviting our comments and suggestions for any improvements we felt they could make. Needless to say, I filled it in!  The reference to hanging onto your shoes was the final straw when we put our shoes out for a free clean. They advertise that if shoes are placed outside the room by 1.00am, they will be returned clean by 6.00am. We took advantage of this but by the time we wanted to go for breakfast, our shoes were still missing! We had to ring again for our shoes to be returned!  By this time, we felt we had done nothing but complain but the experience we encountered at this 4*deluxe hotel was not what we were expecting.  We might well have just been unlucky as all other aspects of our stay were excellent. However, it doesn't make me want to return to the Berkshire even though the location was fantastic! 	
Feb 11 2005	Rip Off	I stayed at this hotel for 3 nights in Feb. 2005 and was paying about 150 british pounds a night. The room was soooooooooooooo small and so was the bathroom. There was only space for the bed and nothing else. I was staying in a double deluxe room. The bathroom is very average. from reading the description of the hotel, one would think it was something nice. Generally, the staff were very cold, with the exeption of very few.   One night I wanted to order roomservice late and they are supposedly doing that 24 hours but everything we asked for, they said, &quot;No, we don't do that&quot;. I even asked for a diet coke and he told me, &quot;No, sorry we don't do that.&quot; In the end we settled for cheese sandwiches, cold cuz they said they also don't toast the bread and got charged 15 pounds for it. This hotel is expensive for nothing.   On checkout, they tried to charge me an additional 20 pounds and I had to prove I owed nothing else. There was no apology. The windows in my room were broken. Instead of being able to open from the bottom upwards, the top part of these windows just collapsed downwards at random times. Also it was freezing cold outside and the heater was not working. When I informed the staff about the problems, there was no apology or recognition. The only good thing I can say is that the room was clean, the decoration is modern, and it's located in a very good shopping area, and right next to the tube and bus stops. It is no where near worth what it charges. 	
Jan 21 2005	Excellent service throughout	Stayed for my wife's birthday treat.I mentioned it on booking through lastminute and we were upgraded to a deluxe room. Altho a little street noise from Oxford St, it was excellent. A small but beautifully designed bathroom and big comfy bed with lots of pillows and a nice sitting area and top class B&amp;O tv.Staff couldn't have been any more helpful.They were courteous on check out and check in, with lots of questions about whether we were enjoying our stay and if there was anythingwe could do.1st class in my opinion, although we were in a deluxe room!	
Jan 17 2005	BREAKFAST ??????????	HELLO,Stayed at this hotel from 31-12-04 until 02-01-05.Check-in was perfect, the lady at the front desk did there best to have a room cleaned earlier than usual. Room was perfect because we had a free upgrade to a delux room. Only the soft mattress, but that's (until now) in any Londen hotel. (Do's anybody know a hotel in London which hasn't ?)Breakfast : what a disappointment. Because it was newyears eve they informed us that the breakfast would be served until 12.00 PM. Nice gesture. But what a disappointment when we arrived at 11.00 AM. Half the selection was already gone and what was left was of such a bad quality. Esspecially when they promote it with &quot;Edwardian breakfasts, A Great British start to the day&quot; ! Great start when when one has so little to chose of. Next day same problem. The kitchen can't cope with it and the staff didn't see much.Conclusion : room good breakfast terrible. Would I go back ; NO.	
Dec 5 2004	Beware the breakfast rush!		
Sep 19 2004	Great locations great rooms small rooms		
Sep 18 2004	Worst Service for the Price		
Sep 2 2004	Loved the Berkshire		
Aug 25 2004	Worst Service Ever		
Jul 29 2004	Good hotel in excellent location		
May 31 2004	Excellent Hotel in a wonderful location		
Mar 29 2004	We Loved It		
Dec 31 2003	Great Location Very Nice Hotel		
Aug 13 2003	The Berkshire - Simply Super Excellent		
Sep 16 2009 	Buen hotel centrico		
Apr 23 2009 	superbe hotel classe et discrétion		
Jan 10 2009 	Très bien mais glacial!		
