	Great location tiny little rooms mediocre service	Chose this hotel for its location - near to Green Park tube. Will not be going back again. The service was mediocre - sometimes good, sometimes standoffish and not helpful. The rooms were really disapointing - and the corridors were small with lots of steps up and down which is a pain.Overall well worth avoiding unless you get a great rate and don't plan to spend any time in the room.	
Jun 7 2006	Really Lovely Hotel	We stayed at this hotel during May for my birthday after getting a good deal from lastminute(-).The hotel is so close to the tube station which is really handy and when we arrived check in was very quick. The reception staff were very nice and asked if we were there for a special occasion, we replied that this was my birthday. When we got to the room we found a bottle of complimentary wine whichc was a really ncie touch.I found the hotel room to be pleasently decorated and actually alot nicer than some of the public areas.We really enjoyed our stay however this might be because we did get a great reduced rate, the full price does seem to be very expensive for what you actually get.	
May 29 2006	If this is the quaility for Honors members!	I have been an Hilton Honours member for 9 years and used to enjoy the stays accros the UK and Europe.I gave up staying about 18 months ago when the quaility and service started to drop.Having built up thousands of points i thought i would have a night in london and use some of the points.The Hilton in Half Moon Street Mayfair is a great location and close to all the sites. Check in is Ok but the room little bigger then the double bed (UK Double) dirty carpet poorly cleaned bathroom etc etc. Bearing in mind that Hilton Honours is the reward program for there regular guests i would of thought that they would at least ensure that on a reward night the room was of a resonable size, clean and inviting. (still, i should not complain i only spent approx £5000.00 with the Hilton group to earn enough points for this free(?) night)Apart from the location i can not think of any thing else to reccomend this hotel.	
May 28 2006	O.K. 4 Star Prices Not 4 star Quality.	We have just spent 6 nights at the Green Park Hilton in London. On a positive note, the hotel is very well positioned for all the sights of London, as the underground station at Green Park is only a couple of minutes walk from the hotel. Buckingham Palace is about a half a miles straight walk across Green Park, and Piccadilly Circus, maybe a half an hours walk. Upon arrival at the hotel, our deluxe room was not available, so we were given complimentary breakfast which was excellent, and saved us £20 per person. However, the standard rooms we were given were overlooking Half Moon Street, and as the heating in the hotel was overpoweringly high, and could not be altered in the room, we attempted to open the windows. The windows would not stay open, and despite several requests for this to be corrected, six days later the windows had to be propped open with glasses from the bathroom. Unfortunately, as we had to have the windows open, the noise from Half Moon Street, throughout the night was often difficult to deal with. The rooms themselves were comfortable, but very, very small, even for London. The staff were very polite, but often unable to help. The restaurant staff particularly could often not understand requests as their English was inadequte. Maybe I would have had a different impression of the hotel if I had received a deluxe room. To summarise, I would have to say that the hotel does not, in my opinion come up to the 4 star standard that I have previously been accustomed to, but It is excellently placed for all the sights of London. However, the prices in the restauant and bar are very expensive, even for a 4 start hotel. I probably would not use this hotel again, if an alternative hotel were available nearby.	
May 24 2006	Excellent location	We travelled to London on the 17th March for a 2 night stay with friends and booked the Hilton Green Park.We took the underground from Heathrow and got off at Green Park and the hotel was literally only a few minutes away - although our map reading skills left a lot to be desired and we were pointed in the right direction by a friendly doorman!!Upon arrival the check in was quick and hassle free and we were allocated our rooms. Our room was located on the ground floor on one of the wings. The room was large enough for us and clean and tidy. As per a previous review there was no minibar and to the best of my knowledge no vending machine for that late night soft drink - no way was I ordering room service for a coke!!Hotel is in a fabulous location with many attractions in walking distance. We ate at the Hard Rock Cafe on the Friday night and at a restaurant at Leicester Square on the Saturday night and were pleasantly surprised not to have to book and get a table straight away! On the negative side - the hotel bar was extremely pricey however no one is forcing you to drink there and there are plenty of watering holes nearby which are (slightly) cheaper!There was some redecoration taking place in the hotel duering our stay however it did not cause any disruption whatsoever.All the staff were very friendly and helpful and a credit to the hotel.Would definately recommend the hotel again and would also choose it for any further trips to London.	
Apr 17 2006	Wonderful staff!	We booked a Hilton King Deluxe for two nights and asked for a quiet room. The room was super and no traffic noise at all. Must be an achievement considering the Hotel is situated so close to Piccadilly! Hotel full but didn't feel particularly busy. No problems checking in or out.(A couple of very small points - bulb in table lamp and bathroom extractor fan not working. Didn't detract from the stay as fans annoy me anyway.)The staff were very helpful and the service in the restuarant was excellent. The food was good -breakfast and dinner. Our first evening meal was included but I found it a little odd that the menu didn't have any prices, so we decided to try else where on our second night. A lovely Italian restuarant off a side street - Down Street - in the direction away from Piccadilly Circus. Called Prezzo and very reasonable prices.Green Park Hilton only a couple of hundred yards from tube station and in an excellent position to visit everything. We walked to the London Eye, Westminster, Buckingham Palace, Trafalgar Sq, Oxford St and Covent Garden. Many theatres just up the road and no problems walking back late at night.I recommend the Hotel but didn't see the standard size rooms so can't comment on those. I will book the same room and stay there again.	
Mar 2 2006	Pluses and Minuses	Room was small and the decor/carpet a touch tired, but excellent shower - the most powerful I have experienced. And fantastic London location - with the beautiful Green Park two minutes away, and a multitude of tousist attractions on your doorstep. Comfortable bed too.	
Feb 14 2006 	Great location yet still off the beaten path	I stayed in this hotel for three weeks in early January before securing permananet accomodations in London. The room, even a deluxe, was small but adequate - very clean.The positives are the location and the breakfast buffet which actually may live up to the &quot;best breakfast in London&quot; claim. Traditional US and UK favorites.The wait staff in the restaurant is hyper-attentive, clearing plates within seconds. The bell staff - not so much - granted everyone seems to check in/check out at the same time here.The hotel is actually a bunch of townhomes pieced together on quiet street in Mayfair. So - depending on where your room is - you are likely to hear some floorboard squeaking from people above or around you - thats just the age of the structure.	
Feb 13 2006 	Never Again!!	Booked deluxe room had to change rooms three times on first night due to numerous problems. Rooms small and tatty. However staff very friendly.	
Feb 2 2006	Great Hotel Perfect Location	Recently stayed at the Holton Green Park and was very impressed. When we arrived our room, although very nice was situated next to the lift and a certain amount of noise could be heard. After contacting reception they arranged 3 other rooms for us to look at and upgradred us to a superior suite. The new room we had was perfect, very large and spacious and with the best bedding I have had in a hotel for a long time. The breakfast was excellent, plenty of choice and the tiger brasserie was much better than expected. I have stayed at other Hilton's on the dinner free on first night deal but this is the only hotel where the food was menu based and not a carvery. I have to say the food was excellent. The location of the hotel is great. We did not have to use the public transport at all. Excellent hotel, would reccommend	
Jan 16 2006	Very nice comfortable hotel	When arriving at the hotel the receptionist appeared at first not to be all that friendly. However when he realised I was staying there she could no have been more helpful.I was given a double room on the fifth floor at the rear of the hotel. However as it is on a side street I don't think any of the rooms would be subject to much external noise. The location of the hotel is ideal, being opposite green park and around the corner from the tube station and the Ritz if you fancy afternoon tea!The room itself was veery comfortable and, yes, by american hotel standards the room is small but unless you are going to spend most of the day in the room then you won't be disappointed with the size as there is enough room for a case and two people.The only negative comments I would say about the room which didn't really bother me but were not thought about when the rooms were refurbished was that the tea and coffee tray had to be moved to boil the kettle as the socket was nowhere near this. Also the bath was extremely slippery when taking a shower and there was no bath mat to put down.Breakfast was excellent with a great variety of food. The only thing that spoilt it a bit was the attitude of a female member of waiting staff who appeared quite unfriendly bordering on rude. But the other staff in the hotel were very accommodating and friendly with a bit of a personal touch.All in all an lovely comfortable and convenient hotel. I would definately stay there again!	
Dec 31 2005	Very satisfied	We stayed here for a 3-day break between Christmas and New Year and were very pleased. We were on a bargain break deal and expected we might get an inferior room, but although it was pretty small, it was quite adequate and well appointed, with a good bathroom. We liked the decor in the public areas and the whole place had a very cosy, English feel to it. The buffet breakfast was really excellent, as was dinner in the restaurant. Drink prices are too high but only to be expected in central London. Also, the Concierge service was first rate, with really friendly, knowledgeable advice. Finally, what a location! Would definately go back.	
Dec 23 2005 	Cosy well-located town house hotel	Hotel enjoys great location close to Piccadilly (the west end thereof) and (with a little zig-zagging) isn't far from Bond and Regent Streets either. Has a cosy feel to it and the staff are friendly. Breakfast is pretty good buffet fare though it isn't up to Hilton Park Lane standard as it doesn't have an optional a la carte menu (but your room is more expensive in the bigger HPL). Standard rooms in the hotel are on the small side and I was surprised to find no minibar - just tea/coffee making facilities. Just a bit of a pain to have to order a diet coke from room service! No in-house gym so had to go to HPL for that but again a function of its smaller size. I was in the front and can't say I noticed the noise. PS Why do some folks think they merit a room at a higher level than the one they paid for and then complain about it afterwards (see negative comment a few back)? I had no problem with any aspects of the housekeeping service. All in all I enjoyed the stay and would recommend.	
Nov 18 2005 	My glass is always half full is yours half empty....	Good room at the back of the hotel.Bar prices are bar prices in hotels, you have to accept that...if not drink somewhere else!Breakfast was the standard Hilton breakfast and as such was a good standard. Front of house staff were very polite and helpful as you would expect. Would stay again as good location. Just ask for a room at the back as I think that will impact on the noise levels.	
Nov 16 2005	Excellent Experieince	Having read several reviews before leaving for our trip and now all of them on return I find that a number of people had to be staying at a different Hilton Green Park. This was about our 8th trip to London in the past ten years and we have always stayed at different hotels in different locations. We would stay at the Green Park again in a moment! The location cannot be beat for what is offered in the immediate vicinity, and for the tube stop that is minutes away and has access to multiple lines, and especially for the street access to Picadilly Street and the theatre district a relatively short walk.The hotel was like many others in the London area, a series of buildings now linked together. We found the facilities, lobby, restaurant, and common areas very clean and almost new.I have to admit we used points to pay for the room and we did receive an upgrade to a large room in the front of the hotel. I will say that the noise from the street took a little getting used to, but the bed was so comfortable we had no trouble sleeping. The room was very nice, not overly done and the bathroom was very large. We found the staff to be extremely friendly, they were constantly checking to be sure we were happy. The front desk was friendly, we had to wait for a room as we arrived at 9:00AM (we knew this would happen) but they had one for us in the early afernoon. All in all we would not hesitate, and in fact will return to this hotel.	
Nov 6 2005 	Really Dissapointed the Second Time Around.	This is the second time I have stayed in this hotel and the second time I have written a review. My first review listed here raves about the hotel, however 11 months later I can now only complain. I arrived from Australia as we do early in the morning, however, had paid for the night before to ensure check in at 8am. I told the girl at reception (who refused to make eye contact with me)what a wonderful stay I had had 11 months ago and if I could possibly have the same room or at least the same type. The answer was no!! You did not book that type of room was the answer. She was not at all helpful, yet I was booked in for 7 nights. I went to the tiny room and found no towels,the computer connection broken and then the fire alarms kept going off. I unpacked and went straight to a meeting. When I returned i asked again saying that as the computer connection was not working, that I could not stay in the room. She agreed to move me , to the same size room. I had to repack and move myself. The hallways are grubby and the whole place has really gone down-hill in 11 months. I have recommended this hotel to so many people, but NOT ANY MORE. The hotel staff are not interested in making your stay enjoyable at all. Having said all that, the location is fantastic.	
Nov 3 2005	Excellent Choice	Myself and my husband have stayed at this hotel for the past 3 years on our weekends to London. We would recommend it to anyone. The location is perfect.They usually do special weekend deals that are very good value. The staff are very polite and professional. The rooms, although small(ish), are verycomfortable. The breakfast (which is buffet style) is the best we have ever had in any hotel.One small negative point, is the excessive bar prices,but this seems to be the way with most hotels.Will definately stay there again.	
Aug 29 2005	GREAT Location...... GREAT Hotel	Stayed here August bank holiday.Cannot fault the place in anyway whatsoever. Rooms are excellent, good size, comfortable beds &amp; a nice size bathroom. The dinner was absolutely SUPERB and for breakfast so many choices. The location is brilliant, just off Piccadilly opposite Green Park in a nice quiet street. Green Park tube station is a 3min walk.Cannot understand the not so positive reviews left.	
Aug 16 2005	Cosy hotel in great location !	We stayed at Hilton London Green Park for two nights in August 2005. We had booked two deluxe rooms through Hilton internet page and got a great offer (£ 129.50 per room per night, VAT and breakfast buffet included). The room was large and very nicely decorated (white beds, light brown carpets and chairs) and the bathroom was huge. Dinner on the first night was included and was very good, breakfast buffet was excellent, with plenty of choice to choose from. And location was great, only 50 meters from Piccadilly and 7 minutes from Piccadilly Circus, in a side street with little traffic. We were very pleased with this hotel, which was the best from the three hotels we stayed at in London (the two others were Sheraton Park Lane and Holiday Inn Mayfair). The only down point was the fact that the restaurant did not have enough room for all guests, so that we had to wait for ten minutes to have dinner on the first night and to have breakfast the second morning.	
Aug 7 2005	Not great.	I really cannot believe all the four and five star postings. But before I rant I must divulge that we stayed there using Hilton points...so it didn't cost us anything. The only reason I could think of for the high ratings is price.This was a nice hotel forty years ago. It is essentially four or five buildings stuck together to form a hotel. Yes, the location is good. But the shabby lobby, dark and narrow halls, tiny rooms, no air conditioning, etc., do not make up for location. There is a very good Italian restaurant around the corner; Pappagallo. Expensive, like everything in London. Just grit your teeth and pay.	
Mar 14 2005 	Would not stay again	I stayed one night on business and was not favorably impressed. The room was small with a twin bed and was very cold (stayed 3/9/05). When I called the front desk to ask for several blankets, the person who delivered them asked if I had another person in the room with me! The bathroom was very clean and looked newly renovated. I found the staff to be indifferent, at best, and even on check-out was not asked how my stay was. I would not stay again.	
Feb 27 2005	Great location	Recently stayed for one night, staff very accomodating and pleasant. I had a room on the ground floor facing the road and although it had secondry glazing it was very noisy but what do you expect it is central london and if you want the location!!!!!!!!! Room comfortable and plenty of tea and coffee. Will definatly stay again.	
Dec 1 2004	Getting Better.	As in all real estate, Location! Location! Location! Walking distance to the Green Park Tube station. Convenient to the theater, museums, etc.This was our third visit to this hotel and our fourth trip to London. The urgently needed renovations were just completed in a minimialist decor. The rooms are still the same size. Clean and neat!Front desk staff expects you to believe them when they say there are no other rooms available to upgrade to. The first room, # 505, on the top floor, facing the rear and quiet was fitting for a Gosford Park servant with a twin and a half bed being used as a double and an ottoman as a chair.We were able to change to another standard room, # 114, , facing the front, noisy, across from the elevator, which had a queen sized bed and one real chair.The bathroom is large and bright. The amenities are minimal.The concierge staff is wonderful and can do anything on earth, except get you a better room.The bar is overwhelmed with cigar smoke and no air circulation. The bar staff prides itself on their motto, &quot;There is no way to get coffee, food or snacks after 11:00 PM, only liquor or beer.&quot;Ignoring all that, just stay at the hotel and send Erol a fabulous concierge my regards. Sincerely, Howard Newman	
Nov 1 2004	GREAT VALUE DELUX HOTEL IN CENTRAL LONDON	i have staid at many hotel in london, including Hilton's.A few minor problems really. had booked a delux room but was allocated a standard due to lack of availability. Standard rooms are very small, have no a/c and very small beds. Having aired my concerns, i was upgraded to a junior suite (which i had to pay £40 extra for) but it was £40 well spent. a major improvment from a standard room. had to wait bout an hour for house keeping to clean the room. But a very spacious and tastefully decorated suite. very large lounge sitting area and huge bathroom. But again no a/c just a portable unit that did not work because it was full to the brim with water. asked reception to come and empty it, but never came. Apart from the minor service issues, a very pleasant boutique style hotel with good location to west end.	
Sep 21 2004	Nice place	We stayed at the hotel from 9/9 thru 9/14/04. I felt the hotel was a nice place...let's face it, many hotels in Europe are not up to our American standards. I knew the hotel did not have air conditioning (at least in the room I booked), so luckily it was not hot. We were given a room in the back on the 2nd floor with 2 windows. Though a bit small, we were very happy with it. The hotel was gracious enough to allow us to rest in an available room on the first floor facing the street when we got there, as we took a red eye over from the US. I would suggest you request a room in the back if at all possible, as the street was loud. The staff was accomodating, and the hotel is in a great location, just a 2 minute walk to the Green Park station, where you can pick up 3 lines on the tube. You can take the Picadilly line directly from Heathrow to Green Park, it takes about 45 minutes in rush hour...but I'm sure driving would take longer. I would definitely stay here again and recommend this hotel.	
Sep 7 2004	New and zen	Been there from July 4th to July 6th 2004.I was given a newly refurbished room in a pure zen style, much more beautiful than those in classic english style advised in the photo gallery on the site of the hotel.The conditioning was very efficient, although provided by a portable air conditioner placed near the window. No minibar, but what's the matter?Very good breakfast, although air conditioned too high.Good restaurant and good service. Non existent concierge.Prefer this hotel than the other Hilton in the nearby (the Hilton London Mews).Overall, a good hotel wonderfully positioned in the heart of Mayfair, one minute away from Piccadilly right in front of Green Park.Unforrtunately, is not very close to any Wagamama restaurant: what means that I need to walk for twenty minutes before sitting for dinner!	
Aug 17 2004	Lovely hotel in an excellent location	I stayed in this hotel in August 2004 and would highly recommend it. It is a nice small hotel with a homely feel and decorated in a contempary style throughout. The staff are great and could not do enough for us, even serving us a complimentary cocktail in the bar one evening. Breakfast was delicious although we did have to wait quite a while for a table one morning. The rooms are quite small but clean and modern. My only issues were the fact that there was no airconditioning in the room (although a fan was provided), or was there a minibar/fridge or safe which I find quite poor for a 4 star property. It is the location of this hotel which cannot be faulted. Situated on a quiet side street in the heart of Mayfair you can walk to all major West End attractions. We didn't have to use the tube once during our two day stay. There are also some lovely pavement bars and restaurants in a courtyard just at the back of the hotel. All in all, a great stay.	
Jun 29 2004	Spoilt by lack of air con	The hotel is in an excellent location and is well presented, with an impressive and welcoming foyer. Bedrooms are beautifully decorated, with contemporary furnishings and quality bathrooms. The staff is pleasant and anxious to please. Standards of housekeeping are high.The one big problem is the lack of air conditioning in the bedrooms (although it is installed in the attractive restaurant). This makes it difficult to sleep in the summer months. I was told by the reception staff that it is being progressively introduced and that all suites and deluxe bedrooms will have it by September 2004. I suggest that anyone thinking of staying here checks beforehand.If it were not for the lack or air conditioning, I would award this hotel four stars. Until then, it deserves only three.	
Jun 29 2004	Good value great location	We had a nice stay in the Hilton Green Park - an old hotel that has been given a nice contemporary feel. We were upgraded to a deluxe room which was very nice - slightly odd layout to the room, but again a clean and fresh feel, big bed and good bathroom.The hotel has also taken note of the a/c complaints, since we had a mobile a/c unit in our room, and a fan. The breakfast buffet which we had included in our rate was great, but the Friday night dinner buffet (also included) not really that worthwhile.The location is great - central for everything, but on a quiet street so there is little noise. If you are looking for a central, clean hotel with a good breakfast at a decent rate you could do a lot worse than the Green Park.	
Jun 28 2004	A little too old	This hotel is very close to central London (15-20 minutes walk to Piccadilly) and Green Park Tube Station (2 minutes). Nothing special to report. The room was small but clean, the bathroom looked dirty, but it was just old. 100% British style.It is not worth the money you pay.	
Jun 3 2004	A great experience....	We loved our stay here. A few minor irritants, but the hotel handled them very well. When we arrived last Saturday, they hadn't upgraded us, but when I requested an upgrade, they obliged to a nice room, but we overlooked the back alleys and there was some noise. I had asked to be moved when possible and the second night they did indeed move us. We were now in a fine suite, room 529, still overlooking the back alleys. But because we were now 5 levels above the ground, there was no noise. The rooms are stylish, clean, spare design. Comfortable king-size beds, great bathrooms, great water pressure. Breakfast was good. Breakfast was nice and the bar is probably the most comfortable place we found in our entire UK trip to sit and have a drink. It is spacious with comfortable easy chairs and couches. We sat by a window that we opened for fresh air and it felt wonderful to rest our weary bones with no smoke in a comfortable chair. Now the price of that drink is a bit ridiculous. 8 pounds for a glass of white house wine, translates to almost $15 for a glass of house wine! I was inclined to put up a fuss about that bill, but the following day they won me over with a very nice gesture. Due to high wine price at the bar, we'd bought a nice inexpensive bottle at a small shop, had drunk half the bottle before we left for the day. Upon returning, the bottle was gone. I called and asked where my bottle of wine had disappeared and they delivered a full bottle of much higher priced wine to the room within minutes. Not a terribly expensive gesture, but the kind of gesture which makes you appreciate a place.BTW, the location here is perfect. Quiet side street, within a block of Green Park, 1 block to Shepherd Street area behind the hotel which had at least 10 restaurant/pub choices for a nice evening, most of which served outside, 1 block to shop where cheap wine and snacks were available. We were able to easily walk to every sight we wanted to see with the sole exception of the London Tower and the Globe which we accessed by boat.	
May 22 2004	Cannot recommend this Hilton		
Apr 26 2004	Green Park Hilton in London		
Apr 13 2004	Some Negatives Some Positives		
Mar 18 2004	No in-room safe		
Jan 5 2004	Great refurbishment Fabulous Staff		
Nov 19 2003 	Amazing refurb. All New		
Apr 23 2003	Tatty		
Mar 12 2003	Not worth the money		
Mar 11 2003	Quiet 		
Jan 30 2003	It was better before Hilton bought it		
Aug 17 2009 	Decepcionante y caro		
Aug 17 2009 	bien placé petit hotel		
Apr 13 2009 	Hilton Green Park Trop bruyant !		
Oct 27 2008 	??????		
Oct 21 2008 	???????		
Jan 22 2008 	da evitare		
