	This the budget hotel that you need	The hotel is located in the very center of the London. It allows easy access to the main objectives, via bus or via underground.We arrived late and first impression in the lobby was of &quot;no frills&quot;.Room was very clean and it was kept like this for the whole 5 days of our staying: 5+ stars for the maintenance staff. Furniture was simple and practical and it fitted well with the neo style. Very comfortable bed, moderate size room for 2 ppl maximum (considering European standards, though an american might find it small, but nonetheless tiny); small bathroom, but not claustrophobic :). Because one has so many things to do in London and won't spend days in the hotel room, I feel this is really a minor thing. Great staff both at reception and also at the restaurant / breakfast room. Also maintenance stuff was very friendly and they did a great job.Very good breakfast for the price (with enough options like: English breakfast, fruits, French croissants, cereals, several varieties of tea &amp; coffee, etc). Some vegetables could be added to really make a difference. We stayed for 5 days and we had enough morning options not to feel bored :)I really recommend this hotel, it will be my first choice when visiting again London.Big price difference between online and lobby quote: book online, you might be able to stay up to 50% more days.	
Mar 29 2007 	Decent Affordable Hotel	I stayed at the Ibis London City for two nights in March and, overall, was pleased with my stay. It is conveniently located next to a tube stop, and is not far from St. Paul's and the Tower of London. My room was very clean and well-kept. Though amenities were sparse (no mini-bar, only one towel per person, etc.), I felt I had everything I needed for a short visit. My friend and I paid about $200 total for our 2-night stay, breakfast included. This was, by far, the best deal I found for hotels in the heart of London, and I did my fair share of research. At the Ibis, you get what you pay for. There are no luxuries, but it was much nicer than staying at a hostel or a privately-run &quot;budget&quot; hotel (which can be hit-or-miss).Our double room was fairly large, and the bathroom had very modern fixtures. I was impressed with the water pressure in the shower -- better than most American hotels! There was plenty of room for our suitcases (and I had been coming from a longer stay in the UK, so I had lots of stuff!). Maybe it was my exhaustion after nonstop sightseeing, but I found the bed to be very comfortable. The breakfast was a lovely continental spread, with plenty of rolls, croissants, bread, muffins, cereal, fruit, yogurt, and beverages. Well worth the money spent. We also dined at the in-hotel restaurant for supper, which was quite delicious, convenient, and affordably priced.The one complaint I have concerns the front-desk staff. Most of the people working at the front desk did not speak English very well, which proved to be a problem when checking in and later getting directions. I had to repeat my name over and over again until finally, I had to write down my name for the guy in order for him to understand it (and it's a very common American/English/Irish name). The next day, when we asked for directions to the nearest Catholic church, another reception clerk looked at us like we had three heads. We asked again, and he pointed in some direction, saying, &quot;I think there's one down that way.&quot; This was not very helpful! But the staff was friendly enough and usually figured out what we were saying eventually. It's just something to prepare yourself for when checking in!Overall, it was a decent place to stay and I would certainly stay there again.	
Mar 3 2007 	very convenient	I stayed at this location for business in the middle of February and found it to be very convenient to the City and just a short walk to Lloyd's. The bus stop is just outside the front door and the Aldgate tube station is just around the corner. The room was small by American standards, but about right for UK hotels. It was clean and quiet with reliable high speed internet. The daily internet cost was pds 9.95 which seemed high especially since there was no weekly rate available. The continental breakfast was of good quality and reasonably priced. The french restaurant and pub off the lobby were usually filled, although I did not try either. There were too many good bangladeshi restaurants on Brick Lane two blocks away. I will stay here again.	
Feb 28 2007 	good location nice and clean	We were very happy with this hotel.the bed was a little hard, but we slept fine. The shower was great, lots of power and nice and warm. The hotel was clean and the personnel friendly, although hard to understand sometimes. The breakfast was great,nice croissants. On a limited budget, this is what i expect, a clean room, a good shower, and right next to the underground. next time ill definitely stay here again, because the hotel is only 50 meters from the subway, only the subway travel time stands between you and any location in London. 8/10	
Feb 27 2007 	Nice hotel with good cuisine	Stayed there for a week during business trip. Location is not very central, but convenient for those going to ExCel exhibition venue. The hotel is very close to undeground from which it is easy to get to any point of the city. In walking distance - The Tower and Tower Bridge.The hotel was recently opened and interiors are quite modern and good looking - in lobbies as well as in rooms. Simple, but comfortable and modern looking. Rooms are not so big, but not very small (especially for London hotels).The hotel has a restaurant on the ground floor which features good cuisine - french, as long as the hotel belongs to French hotel chain Accor.The staff speak English (of course :-) ) and also French - they are quite friendly and helpful.In the hotel there are wi-fi available in rooms (may be not on all floors, so it's better to ask at the reception beforehand).In whole, the hotel worth its money quite much. I would prefer to stay there again during my next trip to London.	
Feb 27 2007	Clean 	I booked this hotel about 2 weeks before arrival at a cost of £55 for a double room, no breakfast. Breakfast was available at £5.25 p/p.Hotel is located round the corner from Aldgate East tube (Hammersmith &amp; City line) station and about 15 minutes walk to Liverpool street station, fenchurch street station and tower hill and tower gateway stations.Entrance, lobby, bar and restaurant are very well presented and staff attend to you friendly and quick.Room was large enough with double bed, flat screen tv, internet, radio, movies at additional costs. bathroom was set in the corner and had wooden flooring and a very powerfull walk in shower which was great. I didn't see a hairdryer though.Our room only had the view of another buildings roof! BUT it was quiet and away from the busy traffic at the front.bed was comfortable and sheets seemed new although we only had one flattish pillow each which left us with stiff necks the next morning.I would recommend this hotel to anyone on both business and pleasure.	
Feb 26 2007 	Just fair enough but very uncomfortable bed	We booked this hotel based on the generally good reviews that it has. But I have to say that we are disappointed. The main problem was the bed. We have never slept in such a hard bed. We woke up every day with a terrible back pain, and we are not old people. Otherwise the hotel was OK: the facilities were clean and the hotel itself was quite new. But I mean exactly OK, nothing above that, because the furniture was the typical Ibis quality (plastic), there were not toiletries, no hairdryer, no minibar and the rooms were small. If this hotel had been located in a cheaper city I would say that the price was a rip-off. But it's in London and everything is incredibly expensive, so this is what you can get with a limited budget. The location is not exactly great but it's really close to the tube, which is one of the strong points of the hotel.Anyway, when we come back to London we are not going to stay there again. I don't like to spend my holidays complaining about my back. Without the bed problem, I would rate it as &quot;three&quot; but taking into account the bed I can only rate it as &quot;two&quot;.	
Feb 21 2007	Good enough	Standard Ibis fare but the whole hotel is spotless, everything is modern and in excellent condition, check-in was quick, efficient and friendly. The rooms are big enough for a short stay, with an adequate bathroom, good TV and tea/coffe making facilities. The downside was the hardest bed I have ever slept on (or rather not slept on) and the view over a run down tower block. Let's not kid ourselves, this is not the best part of town, the City stops several blocks away and the hotel is really over the border into a run down part of the East End. It's not any more unsafe than any other part of London so long as you should take the usual precautions. I enjoyed my evening walks up Brick Lane and to Spitalfield Market and having the subway station right on the doorstep was a real plus for getting in and out of the West End and City without having to pay Central London hotel prices. I enjoyed my stay, it's a good value hotel, but I can't forgive the hard bed. For less money I can get a sweet, soft Hilton bed in West London if I book early enough. Not so interesting an area or as convenient for transport but at least I'll sleep which is surely the point of any hotel room.	
Feb 20 2007 	Nice hotel good location and very good price!	Room:- Clean and comfortable. Had en-suite, flat screen TV (with internet access).Location:- Less than a minutes walk to Aldgate East tube station, and bus stop right outside. Easy walk to tower brige/tower of london. Could possibly walk to town, however after a few drinks, we preffered the idea of a taxi - which only cost £10 from the city centre.Facilities:- 24 hour reception with kind and helpful staff. Restaurant is open until 11pm (last orders 10.30), and bar stays open until 1am (snacks available in bar also until 1am).Overall, was a good weekend - would definately recommend this hotel and would stay again for future visits.	
Feb 19 2007	Great stay but what about the air cooling system???	This was our second stay in this hotel. The location is great. The tube station is just a few steps away and it's only one stop from the Tower of London. My first stay was good, but I learned a few things for my second trip. The hotel is right next to the street and the air cooling system is well I am not sure what that thing is there for! The first time we went was June and we wanted to open our window because it was hot but it was not hot enough for the hotel to turn on the air cooling system. (Not to be mistaken for a air condition!) So we opened our window and just could not sleep from all the traffic noise. So we really did not get much sleep. Other than that the hotel is great. The atmosphere is nice and the staff is very nice. And it was clean!!! So we decided to give it a second try. We asked for a hotel room away from the street and we had no problems! Since it was February it was cool. Over all we like the local and the hotel is a good bargin.	
Feb 12 2007	Value for money	This hotel was great value for money. It cost £146 for three nights (Hotel website weekend deal), which is a fantastic rate for London. I stayed with my 13 year old son and we had a family room with a kingsize bed and single bed. The room was very clean and spacious and had TV with pay movies (£5.99). The breakfast was continental only but at £5 was excellent value. My son did not have to pay anything for his. Whilst slightly out of the way, the hotel was next door to Aldgate east tube. It was around 15/20 mins by tube to Westminster/Piccadilly/Oxford Street.The only negative for me was that the area surrounding the hotel was not great but it certainly felt safe. I was on the second floor and I could hear traffic at times. It seemed to be a busy place for Ambulance/police/fire engines to go by. Good nights sleep in general though.I would recommend this hotel to anyone. Save your money on the hotel and spend it in London instead!	
Feb 11 2007	Fine for business trips. Would stay again.	With a few exceptions, once you've stayed at an Ibis hotel you pretty much know what's in store when you book another. When I woke up I swear it could have been Sheffield Ibis, Glasgow or Ghent - the pictures on the wall even appeared to be the same.The staff were welcoming enough, although there were a few initial language barriers. An earlier review said that the cleaning staff were friendlier than reception staff, I tend to agree.I stayed on business at the Ibis City of London (£89 per night satifsfying my employer's stingy budget). The hotel is well located for the tube. Aldgate East station is literally next door, giving you access to the Hammersmith &amp; City and District lines. TIP: try to avoid using Aldgate station, whilst it's not a particularly long walk to the hotel it does mean you having to use an underpass, which can feel menacing after dark. Also when getting off at Aldate East tube follow the signs for &quot;Toynbee Hall&quot; - that means you emerge next to the hotel rather than further down Whitechapel Road.Although I didn't get the chance to sample either the breakfast or bar facilities, I'm sure from past Ibis experience I can hazard an educated guess at what they would have been like i.e. OK / good. All in all it was a decent stay with good access, quiet clean rooms and relatively welcoming staff. I'd certainly stay again or recommend this hotel for a business trip. For a leisure break I'd be inclined to try the West End and up my budget accordingly.	
Jan 18 2007 	Great location!	Although this Ibis is like all the others (clean, comfortable, with no bad surprises), it does not sell itself well enough on its GREAT location. First-time tourists to London may see it as off the beaten track, being some distance from the West End theatres and/or the British Museum, but it is superbly located for visits to all the art galleries in Whitechapel (on the dorrstep) and the exotic restaurants and markets of Bricklane and &quot;Banglatown&quot; (50 metres way). It is also a short walk to the Tower of London in one direction and the vibrant and trendy eating and drinking scene of Smithfields Market in the other. I'll be making this my regular London hotel from now on.	
Jan 17 2007 	Best Hotel Ever Stayed	We have stayed for 3 nights, ,last weekend. This is probably the best hotel either of us has stayed in and we thought good value in comparison to the prices of other 3 star hotels in other capital cities. The service was very good and we found the staff friendly and helpful.Room- The bed was big and comfortable, bathroom well appointed with big walk in shower, There is flat screen TV with in house movies and broadband access. What we loved above all,is the Bar and the ambiance in this hotel. Thanks for all previous comments that made us choosing this hotel...	
Nov 5 2006 	Exellent value in London	With hotel rates in London rising to dizzying levels, and especially during a major trade event, this hotel stands out as a gem. Modern, clean, and with excellent tube access (literally next door is the Aldgate East stop), and with a very accommodating staff, the Ibis City is a find. It was one of the few hotels who did not require prepayment (with loss of all if the res was cancelled) and the rates were, well, reasonable. The room was very functional, with a comfortable bed, diminutive but spotless bathroom, a flat screen TV, and broadband internet access (which, at $20 a day is reasonable for London). The hotel is very French, from the staff to the restaurant, and the guests are mostly continental Europeans. That's not necessarily bad, as the cuisine and style came through, all without the notorious French attitude. In sum, I'd stay here again without question. The only negative is that it's slightly off the tourist track, but then again as London is moving east (Canary Wharf, etc.), it brings places like Greenwich (a great place to spend an afternoon), the Liverpool Street area, and the Thames river cruises closer, while the West End and Kensington is just minutes away by tube.	
Nov 4 2006 	Good option at this price range	Stayed here for 2 nights based on other reader's recommendations, and agree that it is one of the better accommodation options in Zone 1, at this end of the market. The bathroom was well designed with sufficient space and the room was acceptable. Breakfast was excellent for the price (a bargain at GBP4.95), with fresh fruits, cheeses and best of all, hot crossaints. Note that there are not alot of dining options in the area if you don't like Indian food, fast food chains or hotel meals. There are 2 coin operated internet terminals in the lobby, which are not very reliable. Whilst there is a luggage room available, it is not very secure with no checking of tickets by staff when collecting suitcases.	
Oct 23 2006 	Help! I can't breathe...	Greg from Dublin is absolutely right, this would be a great hotel if only they could be bothered to sort out the temperature in the bedrooms. As it is, my wife and I had a weekend in London ruined because of an uncomfortable, sleepless night.The lobby was clean and welcoming, the staff were perfectly friendly, all the lifts were working and there was a pleasant atmosphere that lead me to believe that this might be a great place to stay. However, once you get to your floor (in our case floor 3) the heat hits you. And it's not just hot, the air is stale and humid.After we had been out for a meal, my wife and I came back to the hotel at around 10.30pm to get some sleep. After an uncomfortable and sleepless 3 hours I went down to reception to complain about the temperature. The less-than-helpful Duty Manager told me that there was nothing he could do. I pointed out that the hotel claimed to have an 'Air Cooling System' but was told that as it was now winter (it was actually late October) this was turned off. The only 'assistance' he offered was a tiny electric fan (that didn't work) and a jug of ice. He also suggested that we open the window. Bearing in mind that this was a Saturday night in central London with a major hospital nearby, sleeping with the window open was not an option - even with ear plugs!Curiously there was a trickle of cool air coming out of the vent when I got back to the room, but not enough to make the place comfortable. By breakfast time it had stopped and the place was tropical again.The room was a decent size and very clean, the bed was OK and the shower was great, but all of this counts for nothing if you can't sleep! Perhaps they turn on the air-con in the summer?[As an aside, there was a sticker on the window saying that the room was double glazed and the window was locked for the safety of the guests. However the window wasn't locked and the device which is supposed to limit how far you can open it had been removed. It was possible to completely open the window very easily and it was a straight drop to street level from the third floor - there was even a convenient bench under the window which a small child could easily climb on. Bearing in mind that it was a senior member of staff who advised me to open the window to cool the room you have to question what is more important to Ibis, keeping their electricity bills down or keeping their guests comfortable and safe?]	
Oct 21 2006 	Great Quality	After staying at the Holiday-inn for the last several years, I decided to give this hotel a try based on the previous reviews..The rooms were very comfortable, very clean, and the flat screen TV with broadband access was a real difference. The breakfast was really nice(get the french pastry).The front office desk is VERY friendly and skilled at handling business requests.The hotel is great, I would give it a strong recommendation for the vacationer and also the business traveler.	
Oct 17 2006	If only we were reptiles!!	With proper air-conditioning this could be a great hotel.I stayed here with my wife for the weekend. We were not long back from a month in Malaysia and as such are well used to hot conditions. Exiting the lift was like stepping into a “Botanical hothouse”. By the time we reached our room we were gasping for fresh air. Unfortunately when you open the door you find that it is just as hot within as without. Apart from the heat, the room itself was great. I loved the “Capsule” bathroom. It had a “beam me up Scotty” feel. It is surprisingly spacious, immaculately clean and bright. The rooms are a generous size and are laid out to make the best use of all the available space. The style and decor are a refreshing change from the “one size fits all” box you usually encounter in chain hotels. However, back to the dreaded heat. The room did have a thermostat control. But this only enabled me to turn up the temperature.!! I complained at reception and was told that the hotel temperature was set by outside air temperatures and room temperatures could not be reduced?I could however open the window. The window is encased by a large double glazed panel which when pulled back allows you to open the window 6 or 8 inches and so has very little effect on room temperature. I was amused to see that the catches on the double glazed panel where broken, as though clawed open in some frantic effort to breathe air. We decided that the best option was to leave the window open all the time. We slept outside the bed covers (to hot even for a sheet) and listened to the traffic. It is a real pity they cannot sort this problem out. The location is great (right next door to Adgate East tube station) and the rates are very reasonable.	
Oct 16 2006 	Good Hotel	The Hotel is nice. Great Location Bus stop at the front of the hotel and tube station at 50 meters. Clean an confortable.	
Oct 16 2006 	small but clean	I booked this hotel through their web site (it came out cheaper for me). The hotel's location was very convenient if you plan to take the subway, aldgate east is right next door. To visit the london bridge, it's a good 15-20 minute walk. You may need to walk farther from the hotel to get a good place to eat. The hotel room is small but clean, it looks like an average cruise line bedroom and bathroom. I don't recommend eating at their restaurant, a little too expensive for what you get. Overall, it is a good hotel to stay at if you're in a budget.	
Oct 15 2006 	Unbelievable	Stayed at Ibis London City for my birthday recently. What a treat. this hotel is beyond comparison with any other 3 stars hotels. Service is impecable, the hotel and its facilities are in perfect condition and its rooms are without doubt the most comfortable.We had Dinner in L`Estaminet which was outstanding and the service again impecable. This is definetely unblievable to have all of it for £65 per night.	
Oct 11 2006 	Top budget hotel	The Ibis London City is a top hotel for staying in London if you are on a tight budget (it is even if you're not). The rooms are relatively large, very clean and comfortably. The bathroom is reasonably sized, also very clean and features a large shower.Every room has a flat-screen TV set with Internet access (via TV or you could plug-in your Laptop), video-on-demand, music-on-demand and various &quot;normal&quot; TV stations. For internet access and on-demand content there is a flat-rate available which is advertised at 9.99 Pounds for 24 hours, however I was only charged once although using it for 48 hours.The entrence to Aldgate East tube station is only about 50 Meters away and Liverpool Street station can be reached after a short stroll of about 5-10 Minutes. The surrounding area looks a bit worn down, but I never felt unsafe when waking around, even at night.The hotel staff was always nice and helpful, and you never feel that you are staying in a hotel with almost 350 rooms.	
Oct 7 2006 	Nice and cosy	We love small hotels and rarely see anything similar in a big hotel like Ibis City. We could have sworn we were in Paris but we were in the middle of London City. The hotel oozes charm, the French restaurant is incredible, the stafff very friendly and helpful and the price is right!	
Oct 1 2006 	This is just Perfect	We loved this hotel. The rates did not break the bank account and yet the rooms were very comfortable. The public areas are pleasantly decorated, are well kept and the rooms were immaculate. We loved the breakfast arrangement. The staff were very helpful and provided all types of information on the area. We enjoyed hot chocolate in the bar every night.We went to some of the restaurants they recommended and were not disappointed. We wil certainly stay there again if we are in the area. This is just perfect.	
Sep 28 2006	Experience of stay marred by attitude of staff	We stayed at Ibis London City from 22-24 Sept (3 nights) due to the good reviews by previous visitors to this hotel. The hotel was located right next to Aldgate East tube station so getting to and from the hotel was easy. The room itself was clean and modern. However, our experience at this hotel was marred by the staff working at the counter and in the restaurant. The majority of the staff we encountered were snobby, impatient and had a cool and indifferent air about them. Their attitude was generally poor and not suited for working in the service industry. The counter staff who checked us in expressed impatience when we didn't understand her French-accented English at one instance and had to repeat herself. We witnessed one counter staff raising her voice at 2 guests who wanted to check in asking them to wait as she had to deal with another guest who was agitated. There were not enough counter staff to handle the guests and at most times when we passed the hotel lobby, there were numerous guests gathered at the counter waiting to be served. There was a luggage room where we could keep our bags after checking out while waiting for our flight. We were simply given the key to the room to store our luggage away, no help offered, and asked to give back the key after storing our luggage. Only when we went to collect our bags was help offered in the form of holding the luggage room door open for us. And that we believe may be due to their wanting a tip from us. The area around the hotel was rough and we (2 female travellers) made sure we were back in the hotel before 9 p.m. as we didn't feel safe walking from the tube to the hotel, albeit it was a short distance. The continental breakfast which we tried once didn't sit well with us as we preferred a full English breakfast. The air-cooling system in the room went on and off at intervals. This was according to the counter staff due to the system being centrally controlled. In the end, we had to open the window to get some ventilation. All in all, we definitely won't be staying at this particular Ibis hotel in the future.	
Sep 24 2006 	Pleasant 	Located Near Aldgate East Tube Station- The London City Ibis is a wonderful efficient hotel sutable for most who care for a bed at night. The 9 story hotel offers small but clean and updated rooms. We stayed here after a return trip from Spain and a 3 day hold over in London to see the sights before our trip home to the US. The Ibis London City is a little over an hour from Heathrow by the tube, and our early morning flight on Sunday troubled us because the tube does not start running until 7:10am. We took the tube to the express train to Heathrow and made it with plenty of time to spare.The Ibis London CIty is located a short 2 minute walk to the Aldgate East station. There are primarily businesses and such around the hotel so walking to attractions nearby is not possible. WIthin a few minutes walk from the hotel there are a few dining options, mostly fast food, KFC, Burger King, a food mart, and a local pub. A tube to any of the main attractions are about 15-20 minutes away by tube. Really convienent for the price.The Room itself is small with a queen size bed, there is a small desk built into a ledge under the window and a bench like seat near the window. The television has several local channels, nothing too spectacular for late night channel surfing. The most interesting feature of the room is the bathroom. It is a pod like plastic modular insert that was quite strange in appearance, but did the job and it gave a newer feel. Also very clean. No irons in the room, you have to find an ironing room on one of the floors, not a major inconvience. We did not try the hotel breakfast, the exchange rate would have made the breakfast 12$, a little more than desired when on a bit of a budget.	
Sep 24 2006 	Lovely Hotel	We come to London very often and stayed in many hotels at different parts of City. This cosy hotel is well located for visiting London. The bus number 15, passes just infront of the hotel and takes you to Oxford Circus by crossing Trafalgar, Piccadilly and Regent Street. There is also Tube Station right next door. The most pleasant thing is the service and the staff. They all smile and seem like they love their jobs. This is more and more rare in hospitality sector. We also loved the decoration and cosy ambiance within the hotel. Defineteley better than in competitors of the simular category. You should give a try to this lovely hotel.	
Sep 19 2006 	Not a good experience	I reviewed all the comments here and expected that it would be good to stay here. But I was wrong. Yes, the hotel room is clean. The location is convenient -- near the tube. Actually it has a nice room. (but one thing to complain: no hair-dryer can be found in the room. )But that is still a dump choice. We will not choose this hotel again. It's a bad experience to stay there. The reception staff is very very unfriendly (in fact, rude), impatient for the questions, not helpful at all. From the moment we got in, we did not feel any &quot;nice&quot; from her, not mention the smile on her face. I was suprised to see a staff like that, especially in the hotel recommended by many users. The day we checked in is 9/9, a Sat. night. I am wondering if this staff is part-time? simply hired on weekend night? Or how could IBIS train a staff like this? We stayed in Ibis for only one night. The next hotel we stayed ....even the room is so so ...but it has the helpful staff... good to leave Ibis and choose another.	
Sep 11 2006	Cheap hotel in London	The hotel was nice and close to the subway station. Rooms were ok with plastic bathrooms.Standard rate was 65GBP pr night in a double room for the weekend which must be considered cheap in London. Only thing to complain about was the taxi service at the hotel. It was quite expensive and the driver didn't know where the Tate Modern was. I would stay here again.	
Aug 31 2006 	Nice and 'cheap' hotel	i stayed in this hotel the last week of august. it is relatevily cheap (70pounds per night) and the staff is kind and helpfull. It is mainly a business hotel. Breakfast is rich and available from 4am 'till 12pm. The bathrooms are new and big. I believe the most positive thing about this hotel is that it is located right in the financial centre of London and that is really really close (20yards) to the tube station (aldgate east)	
Aug 24 2006 	Magnificient	A very excellent hotel in London 1 zone, well connected to the centre of the city (the tube station is ten meters far from hotel) .Also close to brick lane's sunday's market and the city district.Excellent rooms , bathroom in our room was very big!!!Nice and helpful staff, good continental breakfast.....who wants more????	
Jul 2 2006	Excellent	When my boyfiriend told me that we were reserved in Ibis City, I had no idea where were going to stay. However, from the first step in the loby I had this lovely impression that we were going to have a memorable weekend. The welcome at front desk was just great as we rarely see even at 5 stars hotels. Rooms are very practical with air-cooling and large , clean shower but small bathroom. The hotel has a lovely bar with huge screen for live sport events and the athmospher was incredible when there was live football game even though I hate this game....Finally, the good thing is that hotel is very close to tube station which helps a lot for to go to central shoping areas within 10-15 minutes. I would definetly recommend this hotel....	
Jun 17 2006	Surprising	Thie hotel has an ideal location for London Tower Bridge and has a tube station( Aldgate East) just nearby. The hotel is, above all, very well maintained, clean and nicely decorated. The service is excellent with very helpful staff members. This is really surprising for the price that you pay( £65). Good value for money...	
Jun 5 2006	Nicely impressed!	Budget hotels in London city are almost impossible to find but this is a treasure. It is dead easy to find, right next door to the Aldergate East Tube. We were not sure what to expect because it was so cheap (£133 for 3 nights on a bank holiday w/end!!) we were very pleasantly surprised. The hotel is welcoming and has a well presented reception. The bar is nice and bright and the restaurant looks good and reasonably priced (altho we did not eat there).Our room was basic but had a fresh and clean feel at the same time. However we could not get our air conditioning to work but a large open window served the same purpose in the end. The bathroom was small but clean and everything had its place also the shower is big enough for two!!Breakfast was not included but could be purchased for an additional amount; we chose to go across the road to a small cafe (the one with the ATM in the pavement out front). We ate very well for alot cheaper.On our last night we were tired and came back to the hotel about 10pm to find that there had been a power failure and nobody could access their rooms. We were kindly requested to remain in the foyer as they were trying to resolve it as soon as possible. We went to the bar for a drink but the staff could not serve us without the power, we requested bottles but this also was refused. We went across the road to the newsagents and purchased a bottle of beer and returned to the bar and requested a bottle opener...surprisingly we got one!! We were told that the power was off for about an hour, but we were there only for the last 10mins. Also just before the power came back on the bar handed out free bottle's of beer for the growing crowd of guests. Overall I think they handled the situation excellent. I would definitely recommend this hotel and I hope to stay in it again some day.	
May 22 2006	Highly recommended budget hotel in London city	We stayed one night at the Ibis at the weekend rate of £60 (room only) which is generally the weekend rate of chain budget hotels in London. The location is great as Aldgate station is around the corner and Liverpool street station is a 10 minute walk away. It is also served by a number of buses. Although we did not stay in the area in the evening there is Brick Lane for curry houses and Shoreditch/Hoxton for trendy bars and restaurants. Now the hotel, reception is warmly decorated and the service was good, check in was swift with no problems. The hotel has no car park although there is a private car park next door, where we paid £8 pounds for an 6pm-12am next dat stay. The only disdavantage with this is there is no special rate for Ibis customers, its more like disused land and is locked at 7pm and reopens the next day. If you have a car I would advise you use this or any other car park as the area has a lot of parking restrictions. The room was clean and modern. It had bright large shower room, desk, small wardrobe/shelving and TV port. No sofa or additional seating. We stayed on a room only basis (breakfast is an extra £4.95 per person) so I cannot comment on the food but I would prefer to eat out as there are excellent places to eat around Brick Lane, Shoreditch and in the city area. In summary I would recommend this hotel for short stays as it basic, clean and good value for money	
May 17 2006	Would definitely Recommend!!	I was very nervous about booking a hotel online. I'm from the US and my husband and I had never been to the UK before and were booking a hotel online just by going by other reviews we had read. We made the right choice!! We had such a wonderful stay at this hotel. It is more expensive than what we are used to in the US, but not really that expensive compared to the prices of other hotels in the area. My husband and I absolutely loved it. The staff (all French) were so nice and very friendly and helpful. The room was clean and modern. The bed was very comfortable. The bathroom was an adequate size, the shower was quite big, and everything was nice and clean. We enjoyed having the bar and restaurant downstairs. It is also in a very convenient location. There is an underground station right around the corner in walking distance. I cannot say enough good things about our experience. I would definitely recommend it to anyone and I would definitely stay there again if we go back to London.	
May 7 2006	Lovely Hotel	Very pleasant surprise. Nice flowers in the lobby area gives you a lovely first impression. Staff are very well trained and always helpful. We loved delicious cocktails in the bar and the ambiance which is quite surprising for this range of hotel. We will definetely come back to this hotel.	
May 5 2006	Great Hotel	Very Clean and very close to tube. Only downfall was the breakfast buffet don't buy it.Rooms very comfortable and large enough for the price paid. Friendly front desk staff. Definitely would stay there or any Ibis hotel in future - especially in Europe.	
May 1 2006	Nice and new hotel	We stayed in this hotel during Easter time 2006. The hotel is quite new and very clean and nice. The location is ok - near the Tower and just 100 m away from the underground station (where there are several lines passing by). The rooms are quite big (at least compared to the general level of hotels in London) and the bathroom was great. There was no lock in the bathroom door but it didn't bother us. The staff is friendly and helpful although we had some difficulties trying to communicate with them as they didn't understand our English (they were all foreigners - possibly French). We had a breakfast in our room (there are coffee/tea making facilities in all the rooms) so I don't know how the breakfast was. There is a computer with internet connection in the lobby but you have to pay to use it.We didn't find any good restaurants nearby the hotel (it's a business district mainly and the cafés/restaurants were closed in the evenings) so we had to take the underground and find a restaurant somewhere else. There is a restaurant in the hotel but the menu didn't look that tempting so we didn't try it. In the last night we found a nice-looking African restaurant hidden nearby in a quiet and narrow street but we didn't try it though. Anyway I would recommend this hotel because it's a good value for money (in London standards). I would stay there again.	
Apr 29 2006	Just right	We stayed at this hotel for two nights over a weekend in April. Good value for money. Nice and clean. 15 mins by tube to the centre of town. Make sure you go to Algate East station and not just Aldgate (they are not connected). Also leave Aldgate East at the &quot;Toynbee Hall&quot; end and the hotel is just round the corner.	
Apr 19 2006 	Good value nice rooms bar and restaurant	Good value hotel, situated quite central in London. Good facilities and helpful, friendly staff.Nice bar and restaurant too. Quite good for a business hotel.	
Apr 14 2006	Great Quality		
Mar 25 2006	Super		
Mar 19 2006 	Truly hated it!!!		
Feb 11 2006 	Great Basic Hotel		
Feb 7 2006	Excellent		
Jan 1 2006	Great base for london		
Dec 14 2005	A Pleasant Surprise		
Nov 22 2005	Clean modern hotel		
Oct 9 2005	Very nice stay		
Aug 12 2005	Good value		
Nov 16 2009 	Très bon rapport qualité prix		
Oct 13 2009 	Davvero ottimo e PULITO !!!		
Oct 7 2009 	-ottimo rapporto qualità-prezzo-		
Sep 30 2009 	Buen IBIS		
Sep 28 2009 	Ottimo Hotel ma non si trova in centro		
Sep 27 2009	trés correct		
Sep 12 2009 	Ibis London City		
Sep 8 2009 	Excelente		
Sep 2 2009 	Assolutamente da consigliare		
Sep 1 2009 	Ottimo rapporto qualità-prezzo		
Aug 29 2009 	Ottimo		
Aug 28 2009 	Très chouette		
Aug 26 2009 	Ottima posizionehotel funzionale		
Aug 25 2009 	Très bon hotel		
Jun 27 2009 	ottima sistermazione per qualità e prezzo		
Jun 10 2009 	Ottimo rapporto qualità prezzo		
May 20 2009	super Hotel für London Sightseeing		
May 13 2009 	Impeccable!		
May 6 2009 	Ottimo come tutti gli Ibis		
May 3 2009 	ottimo direi!		
Feb 26 2009 	Miglior rapporto qualita' prezzo!!!!		
Feb 1 2009 	Buon Hotel ottima posizione		
Jan 27 2009 	Bon sejour "hotel agreable et correctement place"		
Jan 7 2009 	Londra partendo dalla City		
Jan 4 2009 	Rien à redire		
Dec 29 2008 	Hotel standart : ni trop ni trop peu !		
Dec 16 2008 	bon rapport qualité prix		
Dec 16 2008 	Un'ottima scelta		
Dec 15 2008 	Hotel o.k. Barpersonal unmöglich		
Nov 2 2008 	très bon rapport qualité prix pour londres		
Oct 26 2008	???????		
Oct 22 2008 	????????		
Oct 14 2008 	Bellissimo Hotel		
Sep 19 2008 	Gutes Basic Hotel		
Sep 15 2008 	Perfekte Lage super Preis		
Aug 23 2008 	Bien situé standard aux ibis français		
Jul 26 2008 	Londres es fabulosa y el Ibis City está bueno		
Jul 20 2008 	Perfetto		
