	Excellent Value for Money!	This hotel is ideally located with Kings Cross Station and underground on your doorstep. You can easily walk from Euston station too as it is a mere 10 minutes along the road. Also note that there is a burger king next to it (makes it a lot easier to find). The rooms itself are lovely and maintained to a very high standard. All rooms come with free tv and internet(via the tv) and each morning you are supplied with a newspaper of your choice which is also a nice touch. The bed's are very comfortable and the shower is excellent. Only slight problem was the heat of the room which was soon solved by asking reception to turn on the air conditioning. They also have a luggage room which is very handy if you have late flight/train. I would definitely recommend this hotel as it also has a Starbucks, Costa and Tesco nearby.	
May 28 2008 	Unprofessional..........	We stayed at this hotel for 1 night before a journey on Eurostar. Excellent location to St Pancras &amp; Kings Cross. The gentlemen at check in was extremely polite, friendly and professional. After his shift had finished then the customer service went severely down hill. Our room was fine for 2adults and 1 child. Beds were very comfy. The let down was that there was a limit on the volume of the tv which was located next to the window....with all the traffic noise it was difficult to hear! Great shower but a bit faddy to work out. As one of the other reviewers said the shower screens do not stop the water from going all over the bathroom floor. The whole bathroom ends up being the shower which surely is going to cause to some serious problems!Breakfast....well this was an experience. Strange restaurant/breakfast room. We were the only people having breakfast and it felt quite impersonal. There were 2 staff members just stood around and its quite a small room...no music or other noise so you feel almost like you cant talk. For a 4 star hotel the food was a massive let down. As previously mentioned very little choice. We started with grapefruit juice which was off as it had started to fizz. When we sent it back the staff tried to argue with us that it wasn't off. My partner has been a chef for 22 years working at well known hotels such as the Landmark &amp; Browns and has worked for the prime minister. He now teaches chef's so think he should know! Then the milk jug was all stained inside and when we showed this to the waitress she said that it wasn't dirty!! (white jug with brown stains) and was really rude. Next minute the chef came out and they were all quite obviously talking about us. My daughter of 7 got poached eggs on toast which came laden with sea salt! Not good for a child...an option of this would of been welcomed.Upon our checkout we decided to ask for the manager. This guy appeared who we had seen earlier walking through the breakfast room with a plate of cooked breakfast(very professional). His appearance for management staff of a 4 star hotel was a big suprise and some personal presentation skills need to be looked at here. We said that we just wanted to let him know of our bad experience so that they can prevent this from happening again. It isn't good for a new hotel to have too many complaints and was hoping that he would appreciate our feedback. Far from it, He was smarmy and again tried to argue (obviously been filled in by the previous unprofessional staff). He didn't even want to apologise...what happened to the customer is always right. This man was so clever about it all. We didn't even get a good bye when we left.Big shame about this place as the location and rooms are spot on(with only some minor adjustments needed). The big problem is the staff and services provided.	
May 2 2008 	OK but not 4-star	This is a very new hotel directly opposite St Pancras / Kings Cross. It is advertised as a 4-star hotel, with a rack rate of £330 per night, but there is currently a promotional offer on for £110 per night. I will say upfront that there is no way that this is 4-star. I would happily stay here every time for up to £150, as it is extremely well-located, but there is no way it could ever be worth £300+ per night.The drop-off outside is not terribly convenient, on the main Euston Road - very busy traffic.The lobby is quite narrow, leading to a darkish bar. Check-in was very smooth, although they seemed to have trouble with the chip and pin, and finally resorted to typing in the credit card number.The lift was tiny - 2 people with a suitcase each would pretty much fill it. Rooms were a reasonable size with good storage. However, it took ages to change the temperature - it was freezing when we arrived and took about 2 hours to warm up. The main problem is that the hotel is in an old building, and they have had to retain the sash windows. Lovely, but only single glazed. And Euston Road is INCREDIBLY busy, so there is a huge amount of traffic noise. And train announcements from the stations. Take earplugs, you will need them.The desk area was tiny, and although it had free wireless internet, the keyboard provided was in the wrong place to use conveniently with the plasma screen. OK if you have your own laptop though. My TV worked fine, but my colleague's TV buzzed loudly and irritatingly all night. He eventually managed to unplug it, but then couldn't make it work the following morning. Bed was clean and reasonably comfortable. Too many pointless cushions. Bathroom looked nice superficially, with glass splashbacks and a fancy shower. However, the floor was the cheapest, squeakiest laminate I've ever seen. Around the bath there was a sort of wooden frame, and even though the hotel has only been open a matter of weeks, this is already scuffed with splinters sticking out of it. The shower has jets and nozzles galore, but the shower screen fails to stop the water cascading across the floor. The toilet lid is too close to a small shelf which means that you catch your fingers when you open it. Toiletries were quite nice, and towels were fluffy and plentiful.Breakfast was not included, and was an absolute rip-off at £7.50 each for what was served. The dining room was not signposted at all from within the hotel, and in fact one set of reception staff sent us round the outside of the buidling - OK in May but ridiculous in the middle of winter. We were the only people having breakfast between 7.30 and 9 - very odd. There was a choice of 2 cereals, 1 type of pastry (croissant), 1 type of bread, 1 type of jam, 1 dish of tinned apricots, and 1 type of yoghurt. There were also 2 types of unlabelled jiuces which turned out to be grapefruit and pomegranate - seemed an odd choice. Staff offered stewed tea and terrible coffee, and a choice of cooked eggs, which was probably the best part. Check-out was straightforward, apart from still having no chip and pin (we tried several different cards). The only other people we saw in the hotel were all complaining about something and trying to change rooms, so possibly we had a very good experience in comparison.Overall, the location was its main advantage, and it was good value for £110 pn, but I would be reluctant to pay too much more.	
Apr 29 2008 	Loved the location	I spent 3 nights at the hotel with a group of friends and we all had a fantastic time. We wanted to stay at accommodation that would give us easy access to touring London and the Megaro was perfect. As soon as you step out their front door the steps leading to the tube are in front of you. You can travel from the hotel to anywhere in London. The staff was beyond excellent. They were friendly, courteous and always willing to serve and give assistance no matter the hour. The resturant is excellent for breakfast and dinner and the prices affordable. Our rooms were comfortable and spacious. The hotel had wireless internet in all rooms as well as plasma television sets so that you had adequate entertainment in your room if you felt like staying in. The security at the hotel was good. I observed CCTV cameras in operation at most of the main areas. I would definately stay at the Megaro if I am in London again.	
Nov 21 2009 	Bien situé et classe!!		
Nov 19 2009 	Buen hotel excelente situación. Precio razonable y habitaciones modernas.		
Sep 18 2009 	Excelente hotel		
Sep 8 2009 	no es oro todo lo que reluce		
Sep 2 2009 	Superior		
Jul 22 2009 	Buon hotel in posizione strategica		
Jun 19 2009 	Buona struttura di fronte alla fermata del metro'		
Apr 23 2009 	Im-presionante		
Apr 22 2009 	Desde que conocí el Megaro no piso otro hotel en Londres		
Apr 21 2009 	La estancia perfecta en un barrio con vida y cerca de todo!		
Apr 21 2009 	Genial		
Feb 11 2009 	?????????????????!		
