	A Tad better than Tourist Class	We were cautious about a hotel in a converted terrace house, since the sound transmission of every footfall from the room above in a Pimlico (Belgrave Road) tourist class hotel a few years ago kept me awake each night. At the Academy I was sure to request a top-floor room in advance and on arrival--and having just read that so many others suffered the heavy footsteps of their upstairs neighbors, I'm so glad I did and very grateful to have been granted one (the pretty but uncharming clerk repeated that he could &quot;not guarantee anything&quot;). The interior storm windows were effective in reducing street noise. I'll very briefly list the strengths--location, location, location, near lots of interesting restaurants, shops, the British Museum, and the University of London. The decor is charming, too, as most reviewers have already said. The weaknesses center on attention to detail. I had to ask twice to have the light over the bathroom sink repaired. The bottled water was missing the last day. Neither were the coffee packets replaced over the three-day stay. The tiny bar of soap (in the shape of a frog) was never replaced, nor were the fine shower amenities (shampoo, conditioner, body wash). The drains in the bathroom smelled, and on the second day the wakeup call came 40 minutes late. And the last night a attic exhaust fan whirred noisily. The front desk staff is polite but undertrained. I booked the room through the hotel Web site and would highly recommend booking through Kayak or another consolidator, so as to pay in American dollars, if that is your currency. (The dollar declined so badly that we ended up paying $233 per night for a tiny room.) I'd certainly stay Bloomsbury again but would try for the Hotel Russell.	
Jun 1 2006 	Well run and attractive - great value as well.	Stayed here on a 6 night business/leisure trip with my husband and baby in early-mid May. I am a frequent London visitor and usually stay in Knightsbridge (the now defunct Basil Street) or with friends in Belgravia. Bloomsbury would be a great location fpr academics (univ of London) and theatre lovers. Not for everyone but my business has me running all over the city and tube connections from near the hotel are fine (more savvy travelers may try the bus services that pass near the hotel - with baby in stroller, this was not an option for us this trip). Use caution when having the hotel ring for a cab. They tend to call a car service instead of a black cab and the min rate is 15 £ for a small sedan - not cost effective for a 5-10 minute ride! ANYWAY, the hotel is very attractive with a pretty lobby and two living rooms - each facing a private garden. One of the gardens has a fountain with gold fish and both have seating areas and lush greenery. Complimentary tea/coffee/and mineral water as well as newspaper in the room. An adequate breakfast room (rather expensive) and useful bar. Our room was the perfect fit for our needs - because of the baby, I requested ground floor, big enough for the complimentary pack-n-play and to have a full bathtub (rather than just a shower stall)... All requests were met with the attractive front-facing room we were shown just off the lobby (double paned windows eliminate most street noise). It was large by European standards with a fireplace, desk, minibar, two upholstered seats with coffee table, small bose or sony stereo, large bed and big closet roomy enough to hold all luggage, baby gear, and clothes. With the baby cot set up, we did have to walk a small path around the furnishings, but I can assure you that this much space combined with good linens, charm, and a top-quality newish bath cannot be found at these rates anywhere else in the city. Downsides: Staff is mostly young and each is wearing several hats from porter to bartendender to front desk but give them a chance to help you and they will do so to the best of their abilities. AirCon (split style wall unit) had a terrible time keeping up with warm May days (so watch out in summer). Also, Mini-bar frige was not working properly and we had been depending on it for storing baby formula... They couldn't get it fixed, so we used ice buckets instead (but each refill had to be delivered by a harried but ever smiling porter). Some of the room furnishings were a bit worn at the edges but overall, this is a very good hotel. Overall: Great value. We paid between 100-115£ (rate varied over the weekend). Good location for some : Close to transport, Googe and Charlotte Street restaurants, British Museum , and theatres. Beautiful gardens!	
May 31 2006	Good Value	We had a very enjoyable one night stay at The Academy and found it to be well positioned for getting around the sights. The bedroom and all other areas of the hotel were very nice. Our stay was only let down by the breakfast, which wasn't hot and no where near the high standard that the rest of the hotel sets. We would stay here again, but would just have breakfast elsewhere!	
May 29 2006	What a small basin !!!!	I stayed only one night and I didn't want to stay any longer.I've never seen such a small basin.How could I wash my face? My feet and slippers were sopping !But the bed was clean and comfortable and breakfast was good.Staffs need more proficiency.	
May 29 2006	nice boutique hotel with good location	My husband and I just got back from staying at this hotel near end of May (8 days). We got to the hotel around noon and they had our room ready for us to check into. We had told them when we reserved that we were getting in before checkin. As mentioned before, there are no elevators so don't stay here if that's a problem. Luckily we were in room 10 which only has 1 flight of stairs to go up to get to (and we had the porter take the heavy bags up to the room when we got there). We had a double room that was at the back of the hotel so we didn't have much noise. The front of the hotel is on a busy street (Gower) so I can imagine rooms on that side might get noisy.Hotel is convienent to various tube stops (closest is Goodge St) but you can walk to Tottenham and Russell Sq within 10-15 minutes. We often would walk to restaurants and theaters (most theaters are within 15-20 minute walk at most). We actually liked being a little bit away from central west end cause it was a little more quiet and less congested with people. The room itself is very nice (small by American standards) but it was always clean and they would check in the room throughout the day to make sure everything is nice. The only complaints we had were there is no alarm clocks in the room (but they do free wakeup calls if you ask. We did that twice and they called when we asked). The bathroom had a separate shower and tub (the tub was old-style clawfoot tub which we soaked in after walking around London all day). The free still water would show up around 5PM. We reserved the room through their website and got free breakfast everyday. You can get either contential or full English. We got the full English the 1st time but preferred the contential breakfast cause you got buffet of fruit, cheese/meats, cereral and pastries (so you could pick what you wanted and get your food quickly). The breakfast price was abit expensive (especially with the bad exchange rate for Americans. 10 pounds for buffet and 15 pounds for full English) so we probably wouldn't have eaten there unless it was included in our room rate. You could get cheaper breakfast at places close to the hotel. They don't start breakfast during the week until 7AM and at 8AM on weekends. We ended up not being able to get our breakfast the 2 Sundays we were there cause we had to leave before they started serving. But I think that's what you get when you stay at smaller hotels than with big chain places.The wireless internet charge is 15 pounds but we were able to pick up a free wireless site from our room on our laptop so we avoided that charge. There are numerous free internet cafes around as well if you don't have wireless capabilities. We ate at alot of nice restaurants near the hotel. The restaurants often didn't seem crowded like the ones closer to the theaters so we were able to get tables easily (we often ate dinner around 6PM so we could get to shows in time) and we didn't get rushed or bad service. Some great places we ate at are Da Paolo, Koba, Shangai Blues, Camarino, Mela and Archigepeglio. Nice little places.If we ever come back to London again, we would definately stay at the Academy again. For the price and location, it was a good deal and the rooms and staff were very nice.	
May 20 2006	Are you people nuts??????	I feel like I stayed at a different hotel all together than the rest of he reviewrs. First of all...there is no lift!!!!!!!!!! And we were on the third floor. Yes, thats right-a third floor walk up! If I wanted a third floor walk up I'd move back to New York. The lobby looked great, but the carpet and stairwells were dingy and old and dirty (there was a dirty old vacuum propped up in the stairwell for the entire 2 days we were there), and the room was the worst of our entire 3 week Europe trip. We actually checked out a day early. The room was only large enought for the bed (Frette sheets? Give me a break....). And you had to put your suitcases in the closet if you expected to be able to manuver the room.The bed was soft and mushy and I dare to even call those things pillows. The carpet was filthy and I wore my flip flops the entire time. I also could not bring myself to shower. The toilet creaked like an old wood floor every time you sat on it, and the hot water came spitting out of the faucet like it didn't want to be there either. I turned back the duvet and found a soiled sheet, which management refused to admit could have been a housekeeping mistake. The manager told me he didn't want to accuse me of lying, but....basically that is what he was doing as he insisted his best housekeeper had been in charge of our room. No one at the hotel ever apologized for the soiled sheet, they just insisted it could not have been their housekeeper. But even the fridge was filthy. There was something old, spilled and hardened in the back of the fridge and food particles throughout.. and I never used the sheet as an excuse for a refund or anything else for that matter. The sheet wasn't even the last straw for our checking out early. The condition of the bed was. My back still aches from it. And yes, you get free water...big deal. I'd rather have a clean room.	
May 15 2006	Great stay at the Academy!	We stayed here for two nights at the beginning of May. The location is great -5 minutes walk from the Tube and the hotel itself is a delight! The rooms are comfortable and well presented. Still or sparkling water and newspapers were complimentary. The breakfast was great -we had an array of fresh fruit one morning and a fabulous english breakfast the following day. A fantastic stay with helpful and friendly staff -even an overnight shoe shining service! Will definately return.	
Apr 28 2006	good place near Brit museum	We just stayed at the academy town house in Bloomsbury, London. The place is beautiful, we had a gorgeous room, (not cheap- $600 for 3 nights) , hot pot in room along with teas, cocoas and all the amenities of a really nice B &amp; B back in the states. NO internet access, but an internet cafe was a short walk away. Very close to Tottenham court, restaurants, theatre, movies and the British Museum is around the corner!!! Close to several underground stops. My only complaints were that the desk staff were not that helpful, they were not from England and seemed a little difficult to understand. WE were better off following our tour books. There is no lift , but there are young porters there to carry the luggage up for you. When i used my international calling card to call home, I did get a charge on the bill that seemed higher than i thought it should be . Other than that, it was a relaxing , cheerful place to settle into.  MP Boston , MA	
Mar 27 2006 	First Class Honours for The Academy	Nothing but praise for The Academy! Excellent hotel, very friendly and attentive staff. My single room was quiet and comfortable. The complimentary water (sparkling or still), newspaper and (overnight) shoe shine service were very much appreciated. Even if you don't like an overkill of Laura Ashley motives, do stay here. Both Holborn and Tottenham Court Road tube station are within walking distance (10 minutes maximum). I paid 89 pounds (without tax) for my room via the hotel website. Wireless internet comes at 15 pounds per day, so does the English breakfast. I'd most certainly stay here again.	
Mar 9 2006	Loved it	We just arrived from London, where we had a wonderful time staying at the Academy. The hotel is well located, the staff is very friendly and competent. As a couple, we found the suite comfortable and spacious. Good breakfast, also.As there are no lifts, it´s not suitable for seniors or people with mobility difficulties. Anyway,we´ll be back.	
Mar 8 2006	brilliant boutique hotel	This hotel is an absolute find! Located within a short walking distance of Soho and Covent Garden. The staff cannot do enough for you and are so friendly and helpful. The rooms are beautifully appointed, we stayed in the Russell suite which was a good size. The breakfast was brilliant and plentiful.... a real pleasure to stay, and a real change from the big corporate hotels.	
Mar 6 2006	Fantastic	This hotel was charming and unique. The rooms are a good size and the restaurant is excellent and very modern in a traditional hotel.Great location especially for the theatres and shopping. I really enjoyed my stay at The Academy Town House Hotel and would recommend it to anyone.My only negative comment would be that stairs! We was right on the top floor and had to go a so many stairs to our room which where very steep, I had to rest half way up! So if you have children or can not walk very far make sure you ask for a room on the lower floor.	
Mar 4 2006 	Dinky	Fetching bedlinen - goosedown duvet, Frette sheets. Nice toiletries in the bathroom. Apples and a litre bottle of mineral water in the room - a welcome touch if you've been travelling. A cd player, bathrobes, slippers, complimentary newspaper in the morning. Lovely breakfast which is served until 10.30 on weekdays. Pleasant staff. I very much enjoyed my stay here.	
Feb 20 2006	A real gem	A wonderful townhouse hotel in a great position.The staff were welcoming and extremely friendly. The suite was immaculate and wonderfully decorated. The bed was the most comfortable I have ever slept in in a hotel. Although the road outside was a little noisy the aircon meant we didn't have to open the window.The breakfast was lovely and worth paying the extra £5 for the smoked salmon - there was lots of it.Would recommend this hotel regardless of the purpose of your stay in London. Will definitely be back!	
Feb 5 2006	What a gem!	Stayed at this lovely hotel with mum on her 70th birthday. Have had endless, overpriced disappointments in the past so was a little anxious. However, this is one of the best city hotels I've ever stayed in. Wonderful 'boutique'style lobby, very classy and comfotable room,fantastic bed, very clean bathroom ( no bath).Excellent position too. Would definitely stay again!	
Jan 22 2006	a charming and high quality small hotel	As a Londoner, I don't often need to stay in a London hotel, but we did so this January. I chose the Eton Academy on price (inclusive of breakfast), and for its good location. I was then very pleasantly surprised at the quality of the accommodation, and the charm of the place. The rooms are small - some only have showers, not baths - but they are very comfortable, in fact quite romantic, and the breakfast was excellent! The hotel also has two small courtyard gardens, which will be bliss in the sticky London summer. I would strongly recommend the Academy to overseas and UK visitors to London. Just be aware that the hotel has no lift and you may have to climb up to the third floor - although you could request a ground floor room.	
Jan 18 2006	Lovely Hotel and Friendly Staff	I recently stayed at The Academy and I had one of the best stays ever in London!! My friend and I enjoyed a huge room which, although it was at the front of the hotel, it was not that noisy! The sitting area made us stay in the room for longer and the yummy beds made our stay a fabulous time!! The guys carring the bags where cool and the receptionist helped us with tickets and directions... Shame the crisps and nuts in the room were not complementary! That would have been perfect!	
Jan 18 2006	My stay at the Academy	We stayed at the Academy over the New Year period while visiting family. The Academy was recomended to us, and I have to say we were not dissapointed. The Staff are extreemly friendly, and we found our room to be really cosy, and value for money. With all the trimmings we felt right at home, and the best part was that we were right on the West End which made travelling around London a pleasure. The Breakfast was one of the best yet but pancakes and waffels would have been a plus!!! We will be back.	
Jan 15 2006 	Expensive for what it is	Sometimes the joke stops being funny. So it is with the Academy. Where should I start? This is a five story hotel with no elevator. Many of the rooms are on Gower Road, a very busy street that includes a hospital, so sirens are common. I actually had to repeat myself while asking for a quieter room, because the man at the desk could not hear my request over a truck rumbling by. It would have been funny on television. Not in real life. As for the room itself, the curtains were unusually thin, so the room could not be darkened. Once flushed, the toilet would not stop filling... I gave up hope after ten minutes, and called the desk. When someone arrived to investigate, the toilet was still filling loudly, like a faucet running. I was told this was normal and it would eventually stop. Sure enough, soon after he left (nearly half an hour after the flush) the toilet stopped filling. While every room has Internet, mine did not work, even after an hour wasted with the staff. While the staff was very courteous, it was notable they never apologized for the problems.I travel for business constantly, so I stay in many hotels. The Academy was far below the standards of many less expensive places. I would say the Academy is easily the most expensive cheap hotel in which I have ever stayed.	
Jan 3 2006	New Year's Eve visit	My partner and I stayed in room 20 over New Year's Eve. It's a decent sized back room (so no street noise, despite the date!), with a tiny bathroom (just big enough to house a toilet, a shower and a little sink).The staff were very friendly. Decor quite classy, and very comfortable furnishings. We particularly liked the feather duvet and pillows. Nice touch that the CD player/radio was playing classical music when we went up to our room. No sign of a bathrobe, but appreciated the slippers. The room and the bathroom were both spotless.Fab location, just five minutes' walk from Oxford St and about ten/fifteen mins' from Covent Garden and Piccadilly Circus.	
Dec 1 2005	Our favorite place in London	We stayed here for our honeymoon a year ago, and then came back this year because we loved it so much. It is clean, the beds are to die for comfortable, and the breakfast is great. We stayed in the garden suite, which had a huge room, sitting area, and big bathroom. It was very quiet. There is a patio off of the bedroom, but it was October and a little chilly to be hanging out outside. The first time everything was impeccable. The second time we stayed it was a bit different. They needed some help with organization. We came back from a full day of shopping and our room had not been cleaned, but after that, it was great. We will definitely stay here again in the future, it has great memories for us, and we love the daily breakfast.	
Oct 25 2005 	Good for business - rooms a bit small -	A good address when on business in the area (Holborn). Typical London-size (small) rooms but clean and well furbished. Wireless networks available in the area. Free water and fruits. Well stocked mini bar and very high quality bathrooms. Good overall, only negative comment is the size of the room, but what can you expect in London?	
Oct 12 2005	One of the best Hotels I have ever stayed at.	When I walked up to the front of the Academy Townhouse, it was an unassuming front door just like all the others on the street. I am not too familiar with London streets, so they did all look the same.The front door opens into a cozy small front desk and a nice sitting room with a fireplace. The rooms are to the right and the left of the office up flights of stairs. The room that I stayed in was on the second floor. There was a glass door that opened up to a small foyer before the door to my room. To add added privacy, I am sure. It was a nice idea. Walking into the room (which was a single) I notice the bed right beside a window that opened over a small backyard courtyard with a small fountain and Koi pond. It would be a very nice area to relax during spring and summer months.The bathroom was spotless white and chrome. Very roomy and comfortable. The hotel provides remote controls for the ac/heater, television and the cd radio on the desk. The is also ripe apples, snacks, sodas, water, coffee, tea and a coffee maker as well on the desk. It is not free... but it is nice to have something to munch on during the night.I am not really used to having such great service... being a budget motel kind of person. So when an employee knocked on the door and asked me if I wanted the bed turned down and if I had any laundry for them to do, it felt like I was paying way more than what I actually did. The service was outstanding.For breakfast, I went to the cozy breakfast area located in the basement. There were breakfast and lunch meats in buffet style, along with fresh fruit, granolas, cereal and pastries. I know it does not sound like much, but it was great quality. Every bit of it. If that was all, I would have been happy. But then after loading my plate with cereal, fruit and pastries, the waitress asked me If I wanted some eggs or an omelet. I ordered a ham and cheese omelet with toast. All on the house. It was one of the best breakfasts I have had, not to mention it was free. Overall, the service, breakfast and the staff were outstanding. I recommend this hotel to everyone I know that plans on going to London. And I will be going back.	
Oct 3 2005 	Country House style in the City	Stayed here on a lastminute booking.Curious mixture of a hotel - room (No.6) was quite small and has a nice noisy a/c unit outside so avoid if you are a light sleeper.Bed was ace - really comfy and I slept well despite noise outside.'Fresh fruit' was three identical green apples ( any chance of some variety ?) and alarm call was late.It's like the hotel is trying but doesn't really get there.Nice touches - slippers and bathrobe - but plumbing a bit iffy and decor a bit twee and dated.Would I stay again - depends on the deal - not worth the rack rate but worth it if you get a discount f	
Aug 10 2005 	Excellent - a home from home	Have just returned from a stay at Academy Hotel. Was a little concerned having read some of the reviews but the hotel was excellent. Staff really friendly and helpful and breakfast staff in particular were superb. Breakfast was really enjoyable with a great choice.We had a room at the back which was although not large was really nicely furnished and very clean. Little touches added to stay such as complimentary mineral water which was replaced daily and fruit in room together with turndown service.Courtyard garden was great and a rare find in London. The general feeling was as if you were staying in a friendly country house rather than in the middle of London - only 10 mins from Covent Garden. Would definitely recommend this hotel and will return. Only note of caution rooms at front may be noisy	
Jun 24 2005	We will return	We were very pleased. Our room in the back overlooking the terracedgarden was ideal. Comfortable bed, air conditioned, spacious bathroomand staff couldn't be more helpful. Noise from street could be a problemin front rooms. Walking distance to Tottenham Ct. Road, and BritishMuseum. Breakfast very good.	
Apr 5 2005	First rate well situated small hotel	My partner and I spent two nights here at the beginning of April 2005. Having read quite mixed reviews of this hotel before our stay, we were a little apprehensive but the hotel was charming, the service first rate and our top floor room, though compact, was perfectly adequate for our needs. Breakfast was good. The hotel is excellently situated, being ten minutes walk from Euston Station, just over five minutes walk from Goodge Street and Tottenham Court Road underground stations, and about ten minutes walk from Oxford Street.All the staff we had contact with (none of whom had English as a first language) were friendly and welcoming, especially those serving breakfast.We would certainly stay there again.	
Jan 19 2005	Highly recommend the Academy	We stayed at the Academy for 5 nights in June, 2004 and were very pleased. We got a very good rate for a &quot;suite,&quot; which I would describe as a larger room with a sofa. The room was very nicely decorated--in the Balmoral manner. The buffet breakfast was superb; it had in particular a wonderful variety of fruit. The staff was helpful, digging up an extension cord for my husband's CPAP machine. The location is good, especially for the British Museum. And we highly recommend the Busaba Eatthai restaurant, which is just around the corner on Store Street.	
Dec 28 2004	disapointment in a english town house	After spending two days at this Hotel the best thing about it was the departure. I stayed in room 2, I am not sure you can call this a room, I would call it a cupboard with a bed!! The staff were friendly but had very little knowledge of London and most of them didn't speak English. In all I am glad that my stay was short and that I don't have to come back to this Hotel. I would stongly recomend you NOT to stay at this Hotel!	
Dec 19 2004	Central comfortable lovely.	An extremely enjoyable stay. There were little touches such as Time Out folded to the day's TV, fruit and bottled water and even the loo-roll decoratively folded! CD playing classical music as we entered too.The bed was the most comfortable we have ever slept in and the staff were warm, friendly and helpful. All in all a very, very good hotel. A spacious suite for £155 in a very central location. Good stuff.	
Dec 2 2004	very disappointing	The staff are super friendly and the entrance areas very pleasant. I was disappointed by the size of the bedroom, albeit it was very tastefully funished. The bathroom was tiny with lots of cold water - no sign of any hot either day of my stay. A hairdrier is provided but none of the plug sockets are anywhere near the only mirror in the room so it is virtually useless. Fortunately I was out on business most of the day and evening, but when I returned at 4pm on the second day the room had still not been cleaned. If I had wanted a relaxing break and to spend time enjoying the surroundings the disappointment would have been worse.	
Nov 29 2004	Lovely Stay in Bloomsbury	Just stayed here with my ladyfriend, lovely, but needs more attention to detail.PROS: Good location( and two tube stations nearby), lovely luxurious room/bathroom, nice bed(linen), delicious breakfast, polite and very helpful staff.CONS: On arrival I requested a room facing the garden several times, no expanation was given why we got a room facing the street. Luke warm shower Sunday morning; no sign of promised slippers; informed staff that fridge wasn't working on the first day, still not working second day; no towels or toiletries second day after room was done up (dealt with promptly after informing staff); promised shoe shine service wasn't delivered. I mentioned these problems on checkout, the gentleman apologised, but seemed totally oblivious.Language seems to be a problem?!(PS Mechanical parts of windows need to be &quot;serviced&quot;)	
Nov 9 2004	Excellent accomodations.	It's been a couple of years since we stayed at the Acadamy but I just thought I should write a review. We were walk-ins to the Academy after our confirmed booking at The Rushmore was not honored when we arrived from the US. They say that things happen for a reason, and finding the Academy was nothing short of miraculous. There is no denying that the rooms are small, but the service, location and room appointments far outway the cons. The furnishings are top quality and maintenance is impeccable. The staff treats everyone like a long lost cousin, and the cozy restaurant downstairs performs amazinf transformations from charming inn-like breakfasts to soho trendy nightspot. Unfortunately for us, the Academy was raised up a star afetr our stay and after thorough renoovations so it is no longer affordable for us but I would still highly recommedn it for those who are seeking a classy night's rest. Also, the exterior photos that I have seen do not do any justice to this hotel.	
Oct 15 2004	Redefines the phrase "value for money	This hotel is not perfect. In fact, it is anything but perfect. Upon close inspection the corridors, the wallpapers, the carpet, the sofas, all seem to have been the unfortunate victim of the equally unfortunate passing of time. Minor stains here and there. TV sets not really top of the range - to be truly honest they must be at least 7 to 10 years old.However, if we add to this equation the price factor, everyting seems to change quite drammatically. For a deluxe double I paid 135 pounds per night (hotels-london) and that, in London terms, is shamefully low. With the price tag in mind I cannot refrain myself from lauding the brilliance of this place. From the cosy reception area to the equally cosy, albeit imperfect rooms. The fluffy beds, the split level bathrooms (if you chose a deluxe double), the fireplaces present in some rooms and most importantly the generous size of said rooms (ever so rare in this wretched town). All these details may be not be cured to perfection but the mere fact that they are present for such low prices is to be admired. The fact that this place screams &quot;value for money&quot; is easily demonstratable. A few months ago, I put my parents, who visit London quite often, in another boutiqute addess: the Kinghtsbridge Hotel. Now, probably because of its affiliation with the relatively renowned and infinitely vain Firmdale Group, the attention to detail was superior. However, the room I booked for that occasion cost 230 pounds per night (still relatively low for London luxury standards). And that bought a well serviced, yet ridiculously small room. Now for 100 pounds less, The Academy (part of another group of boutique hotels, the eton group) may not offer the same attention to details but it does provide you with substantially larger and much cosier accommodation - still preserving the minimum standards of luxury hotellerie. In my humble opinion, the best value for money accommodation in London.	
Oct 1 2004	Wonderfully perfect for a weekend	I would definitely recommend this hotel. Great location which is quiet, yet close to the action.Our suite was very comfortable and little touches, like the apples and mineral water, made the stay extra special.Breakfast the following day was very impressive too. Full English brekkie or tempting array of fruits, berries, pastries and cereals - what a lovely dilemma :-)	
Aug 31 2004	Faded Glamour	Good PointsBooked on lastminute for 99 quid a night. Nice public rooms, friendly staff. Good breakfast. Bad PointsNoisy all day and night with traffic noise. Room was a little shabby. Looked like it needed re-painting.Stuff that doesn't really matter, but...CD player didn't work (I wasn't bothered), the fan didn't work in the bathroom (nope not bothered either). Slow service for breakfast (nope was on holiday). Thought it may bother some people though. Oh and its a good way of working of your breakfast going from the basement restaurant to a top floor room. Watch out for the dodgy stairs!So all in all OK, but nothing fancy. If I had a quieter room would probably stay here again.The chain has a better hotel in Little Venice called The Collonades, which is lovely.	
Jun 17 2004	Very Pleased	This hotel was a wonderful place to stay on our first visit to London. It had been highly recommended by a friend who lives in London and it certainly lived up to expectation---in fact we told her to keep recommending it to others. The staff were very friendly and helpful, the breakfasts were outstanding, the location was great and our second and third floor rooms were clean, roomy, and very comfortable. What a find!	
Jun 1 2004	Great hotel	I chose the hotel based on positive reviews and location. It turned out to be a great hotel. Just a couple blocks from the underground (a short 5 or 10 minute walk) in a fine neighborhood. The room was spacious and the bed was great, although I think it was a set of double beds stuck together, if I remember right. It was a good alternative to a chain hotel. For the location it was in, I believe it was a good deal. It wasn't as enjoyable as the Colonnade, which is also in this small group of Eton hotels.	
Apr 2 2004	Great location		
Mar 31 2004	Professional and good value		
Mar 26 2004	Excellent stay		
Dec 10 2003	Comfortable and personal		
Dec 1 2003	Not worth the money saved		
Oct 27 2003	Clean quiet and conveniently located but small		
Oct 21 2003	Good location and facilities		
Sep 17 2003	Excellent Value		
Mar 2 2003	Excellent!		
Feb 6 2003	Big Disaapointment		
Aug 5 2009 	Une adresse vivement recommandée		
Feb 5 2009 	charmant hôtel		
Jul 3 2007 	gute zentrale Lage sehr gute Betten angenehmer Aufenthalt		
