	Glorious public spaces but worn out rooms	We stayed at Claridge's for a weekend in November in a suite, which we were told had recently been 'refurbished'. The bedroom and living room, although both very large for central London, were rather worn out with vintage curtains and some chipped paint and tired carpets - fine generally, but not at £1,200 per night! The service standards are good, probably amongst the best in town, and the lobby is one of the most glamorous. For us, though, the room was a big let-down. Brown furniture, cheap pictures and very old fashioned lights and so on. It reminded me just how chic The Connaught now is, albeit with rooms which are a fraction of the size.	
Jan 1 2008 	peaceful indulgence	Four of us spent three wonderful nights at Claridge's to celebrate a birthday. We arrived at Heathrow around 7:30am and were warmly greeted by the driver sent by the hotel to pick us up. Although we were at Claridge's within 30 minutes, the hotel had both rooms ready for us. Check-in was a breeze - friendly and efficient. Our room - superior king - was nicely appointed, but not the nicest room I've stayed in. It was large, the bed was heavenly, there was plenty of closet and drawer space, and the lighting was sufficent; the very large bathroom was equipped with double sinks, a bidet and toilet, towel warming racks, a warmed marble floor, and a tub/shower with the largest shower head I've seen! What separated this room from the &quot;best&quot; was the rather uninspiring carpeting (sort of a rust/brown wall-to-wall that looked like it belonged in a den) and rather drab decorating colors. For a listed 569 pounds per night, I expected a little more &quot;zip&quot;. The other couple's room (still a superior king) was a bit different: It had a smaller, narrower bathroom because it was separated from the bedroom by a small sitting area with desk and closet. Also, the half-glass wall on their tub/shower leaked dreadfully each time they showered. Their bedroom was identical to ours, however. Between the two rooms, we all agreed that ours was the preferred one b/c the &quot;sitting room&quot; wasn't necessary and the location of their room (146) seemed to be above a loading area which resulted in hearing frequent &quot;scraping&quot; noises - not unbearalbe, but an occasional annoyance. Since we all spent so little time in the rooms, they decided not to ask for a room switch. As for service: Impeccable, efficient, friendly, helpful. The Concierge services booked our theatre night and dinner reservations , found us a driver and car for our 5 hour a la carte tour of the city (55 pounds per hour w/ minimum of 2 hrs. and well worth every pound!) , and answered all of our many questions. We took breakfast each morning in the dining room downstairs (the Foyer), dined sumptiously at Gordon Ramsay, had afternoon tea (my sister-in-law and I, that is), and had after dinner cocktails in the bar. Despite what I had heard about &quot;uninspiring&quot; English food, the meals were delicious. Worth particular mention: the afternoon tea (42 pounds per person, I believe) which was almost 2 hours of pampering and our dinner at Gordon Ramsay where the quality of service was only outdone by the quality of the food. On our departure day, our driver was ready for us on time for our return to Heathrow. The only &quot;downsides&quot; to this very memorable stay were the shocking prices of London. I go yearly to Paris where prices are certainly not inexpensive, but they pale by comparison to what I found in London!	
Jan 1 2008	Resting on Laurels	When we decided, sort of on the spur of the moment, to go to London for New Year's Eve for a long weekend, we thought it would be a blast to stay at Claridges. Well, for $1000 a night, there are better blasts to be had. On the plus side, the location was perfection, and it was always a thrill to walk through the doors. On the minus: our room was a hideously ugly cube overlooking the airshaft, painted shades of turquoise, and crammed full of tacky furniture with olive green curtains and clunky armchairs. A massive armoire holding an outdated tv took up most of the space that was not bed (two twins pushed together, not a &quot;king&quot;-- however the bed linens were lovely). There was not enough light to even dress, let alone read a paper, by the antiquated lamps. The room was full of dust, a particularly thick layer coated the glass bedside table-- I suppose that if there were more light in the room, there would have been more dust visible. The bathtub was huge, and boasted three different sets of taps, one for shower, one for tub, one for handshower-- they all leaked constantly, and a call to the desk to repair it resulted in no improvement of drip, but filth from the plumber all over the bathroom. The chambermaid left a dirty sponge in the tub the day before, so we were used to it. the layout of the narrow bathroom was terrible too-- toilet and bidet inches from sink. (on the plus-- loads of asprey amenities). Charm? sometimes its a euphemism for dated. All in all, we had a fabulous time in London, but I doubt I would book Claridges again.	
Dec 24 2007 	A Wonderful Experience	My husband booked a 60th birthday suprise of afternoon tea in Claridges, a show, then staying the night in Claridges. Fom the moment we drove up to hotel entrance and was greeted by Roman, the doorman till our car was brought back to the hotel for leaving we could not of had better service and attention. The staff everywhere were so very attentive and welcoming,They truely made us feel special. The afternoon tea was quintessential &quot;English Afternoon Tea&quot;, just delightful. Our room was a superior twin, It was enormous, so much wardrobe and draw space, spotlessly clean, as was the bathroom, large and clean, with beautiful luxury towels and bathrobs. Complimentry coffee, fruit, a bottle of champagne and chocs on arrival in the room added to the very special feeling, all delivered by extremely plesent room service. All the little added touches were in the room, from shoe cleaning to a clothesbrush to bathroom toileteries etc etc. We had booked a smoking room and upon entry you really would not have known that it was a smoking room.If you are expecting to walk into a bright, modern marbled hotel forget it. Claridges is Art Deco, which some might consider old fashioned, but thats what gives it its character. The black &amp; white highly polished marbled floor as you enter through the famous revolving doors, the beautiful chandlier and the whole style of the walls, ceiling etc, the gorgous wide carpeted staircase. Being 3 days befor chirstmas I had expected Claridges to be beautifuly decorated, but infact with one huge silver decorated christmas tree in the foyer and a smaller one in the dining area, it was so tasteful, that to have had anymore would have been tacky.We had room service for a snack after the show, that was slower than I expected but it was 11.30pm. However room service as soon as we woke up at 8.00am was excellent. Our breakfast was superb, full english, cooked to perfection. Different staff, but again so charming from the moment we entered the dining area till we left.Roman the doorman who seemed to be on duty 24/7 was charming. He greeted us on arrival, wished us a happy evening as we left to see Sound of Music, greeted us when we arrived back after the show and had time to chat to us at 11.30pm and indeed was there to wave us off noon on Sunday. He even was more than willing to pose for some photos.Claridges is not a bold modern hotel, like the Belagio for example in Vegas, it is an old hotel in Art Deco style with a slightly modern twist, a truely superb hotel, Without quesion we would recommend Claridges.	
Dec 8 2007 	Simply the Best	My wife and I have stayed at Claridges now on a number of occasions, in main to celebrate a birthday/anniversary etc.It is always a great treat to go there albeit only for a night.Gordon Ramseys is always as excellent as ever and the staff courteous and polite, and the lunch menu still represents very good value for money. We in fact took a friend of ours there for lunch quite recently for his 60th and everyone did their very best to make our day one to remember.Sue and Richard	
Nov 30 2007 	Amazing	I cannot say how good the hotel was, from arriving to leaving it was a thing that will always remain in both mine and my wifes minds, the room was amazing, the service was amazing, we had fruit delivered at 5pm just as a snack???? it was the best hotel we have ever stayed at and (if we could afford it again) would stay in London at no other hotel.This was my wifes birthday surprise and I must say it was worth every penny spent.We stayed mid week and it was our first stay at the hotel we found it great, all I will say is Mr &amp; Mrs Edwards love the hotel and would recommend it to anyone.Please Claridge's invite us back and we would happily drop everything and be back before you could say north south divide.Paul &amp; Eileen	
Nov 26 2007 	Underwhelmed and Beware Room 701	We were excited to have two nights at Claridge's last week. The staff was excellent upon our arrival and the public areas are impressive. Our exceptionally large room (Deluxe king) was, however, a disappointment. Broken crooked lamp shades, lots of empty bookshelves (weird), unclean/broken bathroom fixtures, and an antiquated HVAC unit that worked less than 1/2 of our visit. The walls on the seventh floor (apparently a newer addition to the hotel) are also paper thin. I clearly heard conversations, phones ringing, the television, and doors closing. The service was generally top notch although we had to call twice for an iron one night and the front desk was less than warm when we checked out -- I was surprised not to be asked how we enjoyed the stay. Most of these issues (except the noise) could be overlooked in a lesser hotel, but for $800+ per night and given Claridge's reputation, I expected more.	
Nov 24 2007 	Mediocre New Decor	For years I considered Claridge's one of the best hotels not just in London, but the world. The perfect location, the stunning lobby and the first class service were just three reasons I truly loved this hotel. However, the new decor really disappointed me. Something significant has been lost in their &quot;update&quot;, and rooms and hallways now have an all too familiar feel, while their business center remains (for London) absurdly tiny.Simply put, the decor now feels ordinary, and for the price you pay to stay here, you don't want the average or pedestrian.	
Oct 19 2007 	Wonderful experience	Stayed at Claridge's for 3 nights in a deluxe room and thoroughly enjoyed it. Service at the hotel was very good--they had our room ready at 9 am (when our flight came in).The room was very British in that it had a somewhat quirky layout--when you entered there was a small vestibule and you could turn left into the bathroom or right into the bedroom. There was an enormous built in armoire in the bedroom with drawers for shirts, ect. The room was was reasonably large although adding a cot for a child would have been a tight fit. I actually liked the unique nature of the rooms but for someone who wants a very cookie cutter hotel room, this is not the place. Our room didn't have much of a view (this wasn't important though since we spent most of our time outside the hotel--FYI If you want a view, the Lanesborough has rooms that face the park.) The hotel has a counter in where you can purchase tickets to plays and a nice fireplace in the lobby with a couple of chairs (we visited in December) where you can sit and read. The concierge arranged for us to have tea at the hotel (which was quite nice) made reservations for a post theater dinner (also very good) and for an Indian restaurant (best Indian food I have ever had). The bar at the hotel was a fabulous place to get a drink at the end of the night. The central location makes getting around to the various tourist locations extremely easy --we walked almost everywhere. My wife loved the Floris products in the bathrooms--which was quite large and nice (although the layout was unusual--it was very narrow and long). I would definitely return.	
Oct 8 2007	Opulent and wonderful - as expected	My husband treated us to a night at Claridges which was a proper luxury as we live in London. It was a real pleasure. The staff from check in to room service were charming and helpful. The room was huge with wonderful art deco features and more wardrobe space than I've got clothes (and that's saying something!). The bathroom was huge and the bath more like a small swimming pool. The shower head was also enormous and involved back and neck massage jets. Heaven. The room was quiet and comfortable and just what we needed. Breakfast was delivered to us on a huge table, beautifully set with flowers and everything was plentiful and delicious. The hotel public areas are magnificent and make you feel as if you are on set on a glorious classic film. Lunch was lovely not just for the food but also for the room and the ambience. Afternoon tea was just exquisite and surely the best in London. The scones were heaven sent and had to be experienced to be believed. We did not eat in the restaurant on this occasion as we were guests at a wedding that night - but we have done so before and thought it excellent. Yes - Claridges is expensive. But would you expect it to be anything else? It is a beautiful, historic hotel where you feel totally spoiled and decadent and we would not have had it any other way. We look forward to having an excuse to do it again.	
Sep 19 2007 	Timeless Elegance	“Timeless elegance” is how I would describe our 3-night stay in Claridge’s in early September. Upon entering the hotel, we were smitten by a beautiful Art Deco lobby with a “Titanic-like” staircase. (I was expecting to see Katherine Hepburn and Spencer Tracy stroll by in formal attire - Spencer Tracy said that when he died he didn’t want to go to heaven, he wanted to go to Claridge’s – I now know exactly how he felt.) The staff was incredibly attentive and guided us to the reception desk. As the housekeeping staff was applying the finishing touches to our room, we went to have a drink in the bar. After a brief wait, we were escorted up to our room. Our room had an Art Deco motif with dark woods and ornate moldings on the walls and ceiling. A Superior King room, it seemed larger than the 377 square feet quoted on the website. The bathroom alone was about 100 square feet – with a 6-foot long tub/shower, sink, toilet, bidet and heated towel racks. There was also a wooden dresser for storage. The room had a flat-screen TV with internet access and a foyer which could be closed off with a second door. There were two large closets and a third closet which enclosed a safe, shelves and glass drawers for storage. The hotel provided bottled water and a bowl of fruit which was replenished daily throughout our stay. Overall, the staff could not have been any warmer or more helpful.For our interests, the location of Claridge’s could not have been more ideal. It was 50 feet from Bond Street – which is equivalent to Beverly Hill’s Rodeo Drive or New York’s 5th Avenue. It’s only a 15-20 minute walk to Buckingham Palace, Westminster Abbey, the West End (for theater) or Hyde Park. Needless to say, it’s very centrally located.There are numerous restaurants surrounding the hotel and then there is Gordon Ramsay’s Michelin-starred restaurant in Claridge’s. We had an excellent 3-course prix fixe lunch there for 30 pounds per person, which is a steal when you consider London’s prices and the poor exchange rate with the dollar. Two cocktails set us back $65. Taxi fare from Heathrow to central London will run about $110. Beware of sticker shock in London!We paid 309 pounds/night which, were it not for the poor exchange rate, would be a favorable price to stay at this legendary hotel. Unfortunately, at over $2 to the pound, this price becomes rather inflated. Despite this, I would rate our stay at Claridge’s as one of the most memorable ever. We have stayed in many luxurious hotels with more high-tech and modern conveniences, but none have had the aura and old-world style of Claridge’s. Without a doubt, we’ll be back again.	
Sep 15 2007 	Good hotel pity about the restaurant	My wife and I have just spent the night at Claridge’s. The main purpose of the visit was to visit Gordon Ramsay’s Restaurant there. Although expensive the hotel room and service was excellent. The only fault was that the quality of picture on the massive television made it almost impossible to watch. Don’t touch the impressive mini bar unless you are a multi millionaire. Just a pity about restaurant. For the high prices charged both food and service should have been excellent and exceptional. They were not: service was rather rushed, inattentive and impersonal and the quality of the food would have been raised several points if it had been served hot not lukewarm. I’ve eaten in several Michelin starred restaurants and this in my opinion was not of that standard.Breakfast was included in our room price and again, was very disappointing. It arrived quickly but could not have been freshly prepared. My poached eggs were almost cold as was everything else except the coffee and toast. Service verged on the off hand and even though we were sitting at an easily accessible table for two, the maitre d’ cleared my wife’s plate by stretching across her face without even an apology. Incidentally at the time we were only one of three other groups having breakfast, so there was no rush. I’ve had better breakfasts at greasy spoon establishments.The dining experience is letting the hotel down and is doing Gordon Ramsay’s reputation no credit.	
Sep 12 2007	Loved Claridges	This Hotel situated In the heart of Mayfair for me embodied the essence of English style.The room had an amazing interior design, encompassing traditional and art deco.I think the hotel was recently restored maintaining authenticity whilst offering the latest in creature comforts.Great hotel and well worth the money.[-------]	
Sep 12 2007 	Great hotel expensive but excellent quality	We spent 3 nights at Claridge's and absolutely enjoyed the time. For higher-end hotels the rate wasn't excessive and the service was definitely 5-star. There were always several hotel staff waiting around in the lobby to assist with whatever you needed and every request was met with a smile and immediate accommodation, just what you would expect at a hotel of this level. We were checking in early in the day and our original room wasn't ready but they quickly called housekeeping and found one that was available in a few minutes and offered us tea or coffee while we waited. We were shortly escorted to our room and our luggage arrived within 5 minutes. The room was very large with more closet space than you could need or want and very well appointed. It's an older, historic hotel so the floors creaked some and you could tell many of the fixtures were ancient but all clean and well maintained. We had a welcoming plate of chocolate truffles from Harrod's and a basket of fruit that was replenished throughout the day, each day during our stay. The housekeeping and turndown service was flawless and they seemed to time when to come in to the times we were out of the room. We tend to stay at nicer hotels and usually it's a bathrobe and a mint on the pillow for the higher price. Claridge's is one of the few hotels where I truly feel the extra price was justified in the accommodations and the service. We did have afternoon tea in the lobby and while it was nice, it didn't quite live up to the rest of the service we received at Claridge's and we agreed that tea service had been better at hotels even in the States.	
Aug 28 2007 	beautiful hotel	Good Hotel .Beautiful area and room. Long wait to check in but we were off to lunch anyway so not too bothered. We live in London and needed a few days away so chose somewhere we could go out and then get some rest . Near the park and close to the best bars and shops..Good choice.good deals on the website so check your facts if booking direct with Hotel. Superb breakfast in bed choices.The Bar is too expensive if you just want a glass of wine. Silly prices even for those who are used to London prices.Great Hotel to get away from reality in .Nice afternon tea scene if you are interested . No huge interaction with staff but not anything that bothered us.	
Aug 21 2007 	well worn	my wife and i stayed in room 144 .the view from the window was terrible over looking fans and windows with paint flaking along with dozens of cigarette butts directly outside our window.the carpet in the bedroom was worn and splitting .the bathtub had paint peeling from it .the room was very dreary and dark,it is the only five star hotel i have ever stayed in that does not leave mineral water beside the bed at turndown.breakfast is taken in the lobby with a gale blowing through the front door.i think this hotel is living on its past and needs a urgent refurbishment.in london i would say to stay in browns or the dorchester hotels for a much superior product.	
Aug 12 2007 	Nice but....	This is a very nice hotel, but it is not all it is cracked up to be. The staff was uneven in its service--sometimes great, sometimes non-existent. I had to call several times to get champagne (included in the rate) delivered to the room, and at breakfast (which was also included in my rate), the service was mediocre at best. The food was similarly uninteresting and mediocre. But the staff in the gym was excellent and the repairmen were terrific. That said, I also stayed at the Dorchester on this trip and can report that the beds in that hotel are far more comfortable than Claridge's, and the service better as well. It's a pity, but while I prefer the Claridge's location, I would choose to stay at other hotels because the premium price for this one, in my view, was just not worth it.	
Aug 6 2007 	As expected this is the best	I booked a night at Claridges as a treat for my husband's birthday, with Sunday lunch at the Gordon Ramsay restaurant the next day. I booked a double at £350 for the room - something happened that has never happened to us - we got upgraded! BUT not just to the next level of room but to a suite - it was absolutely beautiful, 3 huge rooms, art deco style and everything was fabulous. The bed was so comfortable and beautiful bed linens and towels.The service was impeccable, the receptionist was lovely, friendly, helpful and sincere.It is a beautiful hotel with a great history - well worth the stay.That evening - Saturday - we decided to have an early drink before we went to the theatre - this was our only disappointment at this hotel - the champagne bar is fab but fills up with non-guests just drinking and it meant that even at 6pm we couldnt get a seat or get served. Bit disappointing.Well, Sunday lunch at Gordon Ramsay was wonderful. Superb food, very attentive staff and overall a lovely experience. The lunch was actually surprisingly reasonable even with drinks and wine.However, room service at Claridges is expensive and breakfast proved to be very pricey.Well worth it for a special occasion and it is in a perfect spot for shopping, theatres and some lovely bars.	
Aug 5 2007 	Fastastic hotel	We're just back from 3 days here as the second part of our honeymoon and had a fantastic time. We stayed as part of a 3 day package including airport transfers and breakfast booked through the hotels own website and it worked out very good value indeed. We travelled in style in the Bentley from the airport and had a beautiful brand new S class mercedes on the way back. The driver Kevin was very informative about the local sights en route and it ended up a mini guided tour. We got upgraded to a one bedroom Linley Suite which was just refurbished with top quality furnishings and was hugh. The breakfast was consistently excellent whether in the room or downstairs and service was very attentive. We found the concierge very helpful booking dinner and giving advice. The bar is great too with great cocktails. The hotel location is very convenient so all in all this is definately our new place to stay in London.	
Jul 21 2007 	The London Hotel	My other home in London. This is one of the world’s finest hotels in an excellent location. 5 minutes from Bond Street and 5 minutes from the nicer end of Oxford Street. Some might find the hotel stuffy and a little old fashioned but it is a welcome change from the bland chain hotels that dot the world, staying here you know you are in London.Service is very discreet the superb housekeeping equally so. One of the best features are the massive shower heads in the bathrooms, other plumbing fixtures are 50’s British so enough said.Many different room configurations, all shapes and sizes so view first before deciding. Afternoon tea in the Foyer/Lobby is a must especially with the piano and violin duo to accompany the scones, double Devonshire cream and strawberry jams!The doorman are great, nice that they finally have new uniforms.	
Jul 19 2007	Great stay...	Business meeting here and had a great stay. Superior room, clean!, great bathroom, great bed, bedding and linens. Super nice service and staff and the restaurant was top notch. The business/meeting rooms were superior. Convenient location to sightseeting and the park. I'd definitely come back on vacation.	
Jul 8 2007 	A Great Hotel But	I love Claridges for a lot of reasons, but for a lot of other reasons it isn't my first choice in London, that honor usually goes to the Carlton Tower or the Rembrandt for similar reasons. I love the health clubs and their Knightsbridge locations.But this review is about Claridges..... I never feel quite comfortable here, because I feel I have to be on my best behavior at all times or an English nanny is going to come scold me for being a boorish American. The staff is polite, but reserved. The rooms are comfortable, but understated. Everything is almost too perfect, too uptight.The huge pluses here are it's location, it's fabulous restaurants and a nifty afternoon tea.	
Jul 6 2007 	One of the great hotels	This was the first time we had stayed at Claridge's, having previously stayed at the Connaught, which is under renovation. The differences are striking. The room was quite a bit larger, and the activity in the lobby and restaurants/bars made it more fun. The service was spectacular. We could not believe that we would go out for a coffee in the morning, and when we returned ,the room would already be made up. We did not try the restaurants, but our fellow travelers reported the main restaurant as being just so-so. Having said that, this hotel is a wonderful place to stay.	
Jun 30 2007 	A London gem	I have stayed at this hotel many times and have found this hotel to be flawless. Checkin this time was a breeze. Then I was taken to my deluxe art deco room. My favorite part of the room was that the far wall had glass paneling on it, and one of the panels opened up into the bathroom. I also enjoyed the deep tub in the bathroom. I feel that this hotel is the place to stay in London.	
Jun 16 2007 	Wonderful Wedding Present	My husband and I stayed at Claridges in a newly decorated Linley one bedroom corner suite 4th Floor for the weekend of 9/10th June. It was a wedding present from his sister. We arrived 3 hours before normal check-in time but were taken straight to our suite. All the staff were friendly and helpful. To say our suite was fantastic would be an understatement. The hall, bathroom, bedroom and lounge were spacious, warm and friendly. Perhaps a little to warm for our liking but the air-con clicked almost silently in as soon as required. The beautiful Asprey bathroom goodies were soon in use, although the bath was too long for me to lie in ! The shower head must have measured 10&quot; across. The mini-bar was not so mini and was stocked with very expensive champagne one side and chocolate bars the other. We had dinner at Gordon Ramsey's in the hotel that evening. All the staff were wonderful, attentive and knowledgable. The food was fantastic, apart from my icecream which was very bland. My husband ordered the cheese board which came with the most amazing 'cheese waiter' whose love of cheese and his job was obvious - its worth ordering just to have him recommend what he thought you would like after enquiring of you what you normally enjoy ! The meal was not overly expensive but the price of wine and drinks was. And so to bed, the linens were crisp, white and inviting as was the bed itself, which was in fact wider than it was long and could have held 5 to 6 people side by side. In the morning we ordered the full Organic English Breakfast in our room which I must say was terribly dissapointing, although tasty, the 2 poached eggs on a slice of bread, 1 sausage and 1 mushroom and 2 slices of bacon, (no black pudding turned up) tea, coffee,juice, toast and marmalade was definately not worth £31 per person! Having said that it truly was a magical weekend and I would love to do it again. Thank you Claridges for a super time.	
Jun 14 2007 	Resting on location and reputation	First, the good. We arrived in the afternoon and our two bedroom suite was ready and our luggage was quickly dropped off at our room. The rooms were spacious and bright and clean. They had high ceilings and although the decor was rather dull, they were updated. (5th floor). The beds and linens were nice and comfortable. The location is great, it is easy to get to the underground or get a taxi and the rooms were insulated from outside noise (not indoor noise, however).The bad. I contacted the concierge three weeks before arrival and asked for dinner reservations for four nights between 7 and 8 pm. We arrived the first night and were told that reservations were at 9:30-- I have three children-- and they had not made reservations for the fourth night. After first being told no, the concierge was later able to change the reservation but acted quite put out by the effort it took. Most hotels also give you a nice handwritten note detailing the reservations. I had to write them down myself and was never contacted with reservations for the fourth night of our stay! Room service is slow and late and the food is mediocre at best. I know that room service is quite expensive but an $11 side of toast should be edible. The food seemed cold and everything seemed to have been cooked hours before. I realize that it is London and you must ask for water, but every morning we asked for water and only received it two out of the four mornings. The water was also never refilled in our room and no water was placed by the bedside table at night. We felt like we had to stick our head under the sink to get enough water. It was also quite hot in our room and the airconditioners broke in two of the three rooms. After a late night service call, neither one was properly fixed and the rooms stayed warm throughout the day and night.The bar was horrific, smoky and the service was poor. There is not a pleasant place to sit and relax and enjoy the unbelievably expensive and crowded hotel. The business center is ridiculous and the charges bordering on obscene. Other hotels of this caliber offer the service for free or with a minor charge. And finally, a note about service. I had read that the hotel tries to know you by name, goes out of its way to provide good personal service. I must disagree. We received average and aloof service and despite the fact there were a number of people standing about the lobby, no one ever offered their assistance or seemed to care. The 5 percent added service charge at the end of the stay is an insult!.	
May 24 2007 	Claridge's is a bit of a mixed bag...	My significant other and I recently spent four nights at Claridge's. The mixed reviews on Trip Advisor would certainly reflect our experience at this august institution. Upon check in we were informed that we were lucky to be given a renovated room on the top floor...the desk clerk asked if we'd stayed at the hotel before and when we said no proceeded to give us a lengthy description of services...after a transatlantic flight this was a bit irritating as we just wanted to settle in and get ready for dinner, so tell them that you have been there before even if you haven't. The room was nice enough, but be warned that the ceilings are very low on the top floor and the rooms have little character. We asked to be moved, but the hotel was full that night...we were shown a room the next day that was un-renovated and then the following day that was on the first floor (really the second floor) with high ceilings, great art deco details and a new bed/bathroom. It was perfect. And that bathroom, by the way, is amazing...fantastic rain shower head makes it feel like you're standing under a waterfall!All that said, Claridge's is a &quot;busy&quot; hotel...lot's of bustling in the lobby as it opens right into the main loung/restaurant. Unlike many of the other London hotels where the doormen run to open your taxicab door and give you a warm greeting, you won't find that at Claridge's...you have to ask for a taxi and sometimes we found there was nobody manning the door at all and had to fend for ourselves! I just felt that the personal service we've received at other hotels like the Connaught and the Berkeley were lacking here. A previous reviewer mentioned nickel and diming...yes, there's some of that but if you're careful you can avoid it. What is perplexing is the discretionary 5% service charge they tack onto the bill...I asked about it and they said it covered all staff and was divided between the front and back of the house...when that was said I quit tipping people so consider that when being helped w/luggage or asking the concierge to do something for you.Not sure I'll stay here again...plenty of other great hotels in the neighborhood...	
May 2 2007 	Second Time around was perfect.	We stayed at Claridges back in April 2005, we had a nightmare stay. The bags took 90 minutes to arrive, there was smoke blowing into a non smoking room throught the air con, they also took £450 off our card without telling us. This left us stuck in London with no money!We wrote a strong letter of complaint, and we were invited back as guests. The room was upgraded and the staff were very helpull. The service was divine, the Breakfast was fantastic. The hotel is very old fashioned, but you are paying for service and English refinement. We can recommend for a treat. The best thing in Claridges is Gordon Ramsays restaurant. Book Early for a fantastic dining experience.	
Apr 28 2007	Run Down and they Nickel and Dime you	So aggravating....First the good things..great location, concierges are wonderful and helpful, room sizes are quite good and gym is good for a London hotel.Bad...rooms are in bad shape, carpets are threadbare. Seems fraying, stains everywhere, felt the need to where slippers in rooms. Most of the furniture is beaten up and not in an antique sort of way. Just tired and run down. Management said they are renovating rooms but would not give us a schedule and to date have only fixed about 20 of the rooms.Awful..They nickel and dime you. Infuriating. As we all know London is now the world's most expensive city for Americans because of the currency. Its fine to pay between $600 and $1000 per room because that seems to be market. This hotel charges$5.50 per 800 call. Most hotels do not. That means everytime you want to access your calling card you get wacked.1 minute local call is at least $6 dollars. The worst is their puny business center..If you want to check your emails it costs over $40 dollars for 20 minutes. Over $100 for one hour of computer usage. It doesn't seem fair that your have to pay thousands of dollars to stay at a hotel and than they nickel and dime you for items that should be included in your stay. Find a different hotel.	
Apr 16 2007 	Best grand hotel in London	Stayed at Claridge's recently for a weekend. This has to be my favourite hotel in London. It probably has the best location of any hotel in London - for tourists - as it is right next to Bond Street and Oxford Street and is within 5 minutes of an Underground station. Service at the reception and throughout the hotel is courteous and faultless.The rooms are large by London standards, and very clean. Furniture is in the classical style, and generally restrained. The beds are comfortable. Internet access - wired and wireless - is available in all rooms. Wall sockets for a variety of plugs and voltages are a welcome detail for overseas business travellers.Afternoon tea in Claridge's is an institution and should not be missed. Thankfully, Claridge's does not enforce a strict dress code, unlike some other London hotels. The clotted cream served with the scones is sinfully delicious and (as far as I know) only found in the UK. Gordon Ramsay has a restaurant here - it's good but the original in Chelsea is a lot better!The fitness centre is well equipped with Technogym machines. For joggers, Hyde Park is a 10-minute run away and is beautiful in springtime.One quirk with the service: Staff who regularly check on your room for cleaning, restocking the minibar, etc will knock to check if there is anyone inside. However, they do not seem to wait very long at all before opening the door! If privacy is required, the privacy switch should be used!	
Apr 14 2007 	Expected better...	My husband and I stayed for seven nights at Claridge's. We booked the &quot;Thumper Package,&quot; an Easter special, and arranged for the hotel to pick us up from the airport. They sent a Mercedes that they had said would cost 97 pounds, and later tried to charge me 220 pounds as it was a &quot;bank holiday.&quot; When we arrived, they gave us a room that was about the size of a standard room on a cruise ship. We could barely move around the bed without tripping over our luggage. There were no drawers and you could not open the bathroom door without removing the bath mat. We arrived late and were directed to the &quot;foyer&quot; for ridiculously expensive ham and cheese sandwiches. Beware of the foyer bar if there is any music playing, as they have a cover charge! Even if you are a guest! We did ask to be moved to a larger room. This was much better. Basically, I expected better service from the hotel and less &quot;nickel and diming.&quot; There was a charge for everything. The concierge was of no assistance unless you wanted to eat in NY restaurants or $$$$ restaurants, they could not recommend local pubs or the like or places to watch a football (soccer) game. Unless your business is paying, go somewhere else.	
Apr 9 2007 	Step Back in Time....	Claridges has been on my list of hotels to stay at for some time--and I was delighted to have the chance to do so before a sailing on the Queen Mary 2 this spring. The hotel has a superb location in Mayfair, close to the Bond Street Shops and also Oxford Street as well. Our room was very large with an oversized bathroom and lots of storage space in deep closets--ideal as we had 7 pieces of luggage for our upcoming crossing. The decor of our room was Art Deco and while it seemed that the room was a bit out of fashion--it was very comfortable. Service at the hotel was friendly and the Gordon Ramsay Restuarant served one of the best meals I have ever had in London. Room service was prompt and acurate and the hotel fitness center was very well equipt. For anyone looking for a traditional experience in London luxury--Claridges will live up to its sound reputation.	
Mar 24 2007	Seriously not worth the money!	We spent one night in Claridges some years ago and couldn't remember much about it so thought we'd give it another go. We must have forgotten why we didn't return sooner, but won't be making that mistake again.The overall experience was very disappointing. The room was dark, dingy and very tired, the toilet didn't flush fully and the bath water was green! The staff were bordering on unfriendly and definitely disdainful.We were charged £70 for a full veggie breakfast that could only be descibed as awful (burnt toast, uanppealing sausage and just plain tiny).To top it off we were informed that parking was £50 for the night (an horrendous amount anyway), upon check-out we were invoiced for £70 but queried it and had the extra £20 removed. We have now received a letter from Claridges (some 6 weeks since our stay) informing us that they have taken £20 from our card as a 'late charge'!To be honest we have yet to stay in a London hotel that ticks all the boxes, but this has to be the worst by far. For an overall cost of £700 for one night this has been one expensive learning experience! Having just returned from the Burj in Dubai and seeing how excellent a hotel can be we just wish that these hotels would make some effort.	
Feb 27 2007 	Beware of this hotel	I unfortunately had a very bad experience with the Claridige´s. After checking in to this 300 £ per night for a single room hotel they give you a tour to show the restaurants. Despite the fact that you have a dinner appointment and do not have the time you are still expected to take the tour. Once in my room it was full of cigarette smoke with three air purifiers running, an open window and the airconditioner running at full speed. The front office manager later explained that they allow all guests to smoke in the rooms and try to clean it afterwards. However it is not a very nice thing to come to a room full of cigarette smoke. The room is ok, but the airconditioner is very noisy. The funny thing is that they heat up the room using radiators, so much that an airconditioner is needed to cool it down. Breakfast is 30 £ and is ok, but with a very slow service. You do not sign the bill, which in my case made another person being charged which took staff more 20 minutes to sort out. After leaving the hotel i was charged 62 £ for the minibar, despite not even having opened it (most likely from a party before). This also took me a lot of time to sort out. I have travelled quite a lot and unfortunately this has been my worst experience even compared to most 3 star hotels. Stay out.	
