	Works for Me	This is trip #5 to London for me in the past 3 years and out of all 5 hotels in which I have stayed, I feel the Strand Palace works the best for me. Booked a package through Air Canada Vacations and got a very reasonable rate including breakfast. I was assigned a standard single room which was small like so most London hotel rooms in this price range, but it was clean, comfortable, functional and home for 8 days and nights. No complaints at all. Location is great with an easy walk to central London attrractions and the hotel is within a 5 minute walk to 4 tube stations (Embankment, Charing Cross, Temple and Covent Garden). Lots of cheap and fast eats handy as well as some great dining and theatres. The hotel breakfast was pretty standard English breakfast fare served fresh and hot. Seemed that a there was only a wait on weekends. Hotel staff was friendly and helpful and the doormen on the Strand were very welcoming. Overall the hotel rates well for value for price. I would stay here again.	
Jan 8 2009	Not bad for the price	The Strand Palace Hotel is inexpensive (London standard). The walk to Charing Cross station or Covent Garden station is within 5 minutes. It is not a grand hotel, but for my 5 night stay it was sufficient. The usual fastfood chain and starbucks are right around the corner. The neighborhood is relatively safe (although I didn't stay out past midnight). My single room was small, but I didn't spend much time at the hotel anyway. My bed was aligned next to the wall so that I could hear footsteps outside until around 1 in the morning, and the vacuum cleaner usually wakes me up at 9am. The bathroom was small, but clean. For 70GBP a night, I think I can tolerate the plastic cups and the outdated furniture. Don't expect too much, and you should be able to walk away feeling relatively good with your choice. The front desk will try to sell you an upgrade to the &quot;club&quot; room, but my room on the 7th floor was acceptable. For 250GBP I can spend a night at the Ritz, but I would much rather spend the price difference shopping where pretty much everything is on sale at this time of the year.	
Jan 6 2009 	Not a good choice	My husband and I spent a 7D/6N stay in this hotel. Since this is the honey moon, the hotel offer us an upgrade to Club King room. The bed is huge, and the toilet is clean.We are staying on the 5th floor, but there is renovation going on that floor. The lobby area is smelly (because of the renovation). I haven't been to a hotel which accomodate guest in a floor which there is renovation.Location is ok, but not excellent. It is in the center of 3 subway lines, which you can walk to 3 different subway station but is not very close, around 10 mins walk to those subway stations.No wine bucket can be offered. You can get ice from those ice machine in the hotel, but you have to figure out how to freeze a champagne by yourself.	
Jan 5 2009 	This was the perfect hotel for our London family vacation!	At Christmas-time, 9 of us from two US and two UK cities (Two sets of parents with 5 teens/young adult kids between us) met at the Strand Palace for four days and nights in London. The hotel is old...and frayed in spots (duct tape on the carpet, moaning hot water pipes) BUT it was clean and comfortable--perfect for our kids (rooms with twin beds!) and WALKING DISTANCE to everything: Theatres, Trafalgar Square, Buckingham Palace, the British Museum, Covent Garden, St. Paul's Cathedral, Westminster Abbey, the National Art Gallery. The front desk personnel were very helpful (especially when we were dealing with last minute flight changes and thus, changes in times for our cars to the airport) and the concierge service in the hotel lobby was wonderful. We had a the full breakfast included in our package and that was great and a very restful/vacation-like way to start the day. The Strand-Palace is right in the heart of everything--lots of restaurants and pubs and shops and right around the corner from &quot;The Lion King&quot;. We played lots of cards in the lobby and enjoyed our London vacation very much, having such a wonderful base to move out from. The price was very reasonable, too, especially considering proximity to the West End and Covent Garden.	
Jan 5 2009 	good location!	brilliant location - easy access to Covent Garden, Trafalgar Square etc and theatres. First room allocated to my husband and I was tiny, freezing and looked out on wall and pipes. i was sure i had booked double so went back to reception and said i thought i had booked double - but it did say twin on letter i had given them! oops, luckily i was had been very polite and was given a double by the manager Tiziana. The double was large, warm and modern and looked over the Strand. Yes the Lounge bar was expensive but then it is London so not a big surprise.Breakfast was lovely and plentiful!	
Dec 31 2008 	Worst hotel room I every stayed in London	From the outside the hotel building looks impressive, is conveniently located, the lobby looks clean and the breakfast was acceptable. However, the room #582 I got was the worst hotel room I ever stayed in London. It was extremely small, not large enough to even fit a queen size bed, it contained just a small single bed, cheapest possible furniture, little window that was blocked to only open 100mm and facing a gloomy courtyard, no other ventilation or air-conditioning, so the air in the room was sticky and musty. The hallways also looked drab. I asked at the reception if I could get a better room, but the duty manager Barbara Bottaro refused, saying that all the rooms are the same. Her resolute attitude felt like her goal was to silence customers so that they do not dare asking for anything better. I walked around and found some rooms that did look little better and came back, insisting to see another room. She reluctantly showed a room on the 1st floor that was little bit larger and little less drab but directly faced HVAC outlets in the courtyard. After that she refused to show any other room, saying that she does not care if I complain. The last surprise was when I checked out and wanted to leave my luggage till the afternoon. This service is not free, hotel guests have to pay for it.	
Dec 31 2008 	rather shabby	Good location - but not much else to recommend the Strand Palace. We paid extra for a refurbished double room: had been painted and had some new furniture and a new TV added. The bathroom was pretty dreadful though - and very cold. Staying in the centre of London is never going to be cheap - just be prepared for something very mediocre here.	
Dec 31 2008 	Great value for money	We booked a Club Room at the Strand Palace for an overnight stay as we had tickets for the theatre - at £119 including full breakfast and VAT we weren't expecting much but were really pleased with our choice. The refurbished lobby, reception, bars etc looked very smart, and our Club Room was ideal, a bit small but smart and clean, flat screen TV, safe, Wifi internet access, room service, bathroom fine. We had drinks and mezze in the Lounge Bar before the theatre which was good. Plentiful breakfast served till 10.30 am. The clientele seemed mostly tourists and theatregoers. If you are looking for a reasonably priced hotel close to central London then the Strand Palace is ideal.	
Dec 22 2008 	Does the job central location clean and good value	Don't expect luxury (I mean, look at the price!!), however I found this place clean, functional and perfectly adequate. It's location is excellent for easy access to the West End.I work close by and a Christmas party meant I booked a single club room for the night. Therefore I know the area well and was surprised to find somewhere to stay at that price and so central.Expecting basic I was happily surprised, I am stickler for cleanliness so it lived up to my standards, the room was small but comfortable, recently decorated (think one-up from a Premier Inn) and had everything I needed. The bed was comfy and the room was quiet.Staff are nice - no complaints there. Can't comment on the food as I did not sample any. However I would say to any tourists that I thought the menu was overpriced. The area is teaming with really nice places to eat from breakfast to late night dining so would recommend you don't pay an all-inclusive price.The corridors need recarpeting and would definitely recommend you pay that little extra for a Club room (I don't think the standard rooms fair as well!).For anyone looking for a central location to explore London or a crash pad then you could do a lot worse.	
Dec 15 2008 	Great Hotel - Highly Reccommend	Great hotel, fab location and breakfast was amazing!We booked a Club room which was great, had big bed and sofa which was handy. Great location, just around the corner from Covent Garden. Staff friendly and helpful.	
Dec 13 2008	Fab Locaton Overall a nice hotel	Stayed for 1 night here as we went to see Dirty Dancing. Arrived at the hotel at about 2pm (when check in opens) Check in was easy and fast and werent waiting too long. Hotel lobby/reception area was nicely decorated and nice xmas decorations etc. Room was fine, we paid for a club room (well worth the extra) and was spacious and clean and basically what we expected for what we paid. Ordered some champagne as a suprise for my mums birthday and this came at the time i requested and room service were very good. Location was brilliant, right near shops and plenty of restaurants (lots offering pre-theatre dinners) and in walking distance of all the theatres. Only problem we had was it was very noisy through the night (which i suppose the hotel cant help noisy guests) but overall it was fab for the price we paid for a london hotel, location was brill and would return if i was in london again!	
Dec 11 2008 	not what we expected	I invited my friends for a stay in london in the Strand Palace and I was ashamed about the rooms we had! They didn´t look like the rooms that were on the website. The rooms were totally threadbare, heating didn´t work, it was very noisy and the view was miserable. For this price there are much better hotels in London. Okay, the staff was friendly and helpful.	
Dec 10 2008	Great Location close to everything	I stayed here in September. The hotel was very nice. The room was a tad small but the location made up for it. Very close to all the theatres and walking distance to covent garden and the river.	
Dec 9 2008 	Excellent location loved it!	I stayed at the Strand Palace Hotel in March 2008 and thought it was great . . . the location can't be beat - minutes away from Covent Garden shops, right in the middle of the city area of London.My room was clean, quiet and very comfortable. The staff were friendly and helpful - the only disconcerting thing is that the floors can be a little confusing to navigate! The rooms are not huge but have plenty of room to store your luggage, etc. Views from the windows are not great but you're not paying for a room with a view!Being right on the Strand means that you are literally minutes away from all manner of useful things - tube stops like Covent Garden, Charing Cross and Embankment, theatres, shops and pubs. I would definitely stay here again and recommend this lovely hotel to all my friends!	
Dec 5 2008 	A for Location otherwise could do better	We had 2 nights in this hotel. First impressions were good, the public rooms are bright and clean, if a bit impersonal. The room was OK but being near the front was rather noisy - the casement window did not close properly so the traffic noise was pretty constant and we would advise taking an interior room. The decor is totally dull and in need of a make-over - there were scuffs on the walls and the shower head was loose. There was no kettle, fridge, safe or even a trouser press in the room. The king-size bed was however very comfortable. The corridors were uniformly drab and in need of re-decoration.The hotel was very busy and breakfast was in an overflow area: strangely we could not charge breakfast to our room but had to pay on the spot. The staff we dealt with were fine, but the impression overall is of an impersonal tourist processor.The location is the best thing about the hotel and for central London we reckoned it was good value. It needs money spending on it however to bring it above average standard. But if the rest of it matched the public rooms it could be a really good hotel.	
Dec 4 2008 	So much for "new and improved"	Sorry, but this place needs help. It is affordable for London....and is in a pretty good location. Other than that - pass if you are able. My room was recently &quot;refurbished.&quot; This refurbishing included shutters that didn't fit the track and constantly fell off, a heater that was not on for the first two days, and light switches that were not properly wired, so that the only option for light was two glaring overhead lights...even though there was a nice reading light next to the bed (but alas, no way to turn it on alone).The walls are thin, and so I could hear my neighbors and people in the hall constantly.The restaurant (Carvery) was horrible - I had a pretty &quot;safe&quot; tomato soup that was watery and tasteless.Bartendress in the small bar was totally unfriendly.Pretty much an overall disappointment.	
Dec 4 2008 	Super !!!	After reading some pretty bad reviews i was dubious to say the least.Until i arrived,Quick check-in,lovely Club room with all the facilities we needed for our weekend away.The breakfasts were excellent,Hotel was clean and warm and the location was second to none.For £140 per night in central london it was fantastic.I think some people that write reviews without having experienced a broad range of hotels and accomodation have nothing to compare with,thus leading to slaughtering reviews over the the pettiest of things ! If you're going to London and want a good hotel with good food/facilitiesand rooms use The Strand Palace.	
Dec 3 2008	Strand Palace was ok	We stayed at the Strand Palce with our parents for a sightseeing weekend in London. On arrival we found a nice reception area but once on the upper floors noticed the decor and carpets were quite worn and in need of some attention. We went for club rooms which have recently been decorated. One room however was very small and the single room had badly fitting windows which was pretty poor.The location was very good, close to all the major sights and right outside Covent Garden. There were also good restaurants close byOverall our stay was pleasent but the price was quite high and the hotel clean but nothing special. Its location is a plus though	
Nov 26 2008	Oh the views..	A group of us flew to London as a layover before heading to Greece. We spent 2 days in London and chose The Strand Palace for our accomodations. The location of this hotel is great. It is about a block from the nearest Big Bus Station(the red double deckers). It is about 1.5 blocks from Trafalgar Square. There is an internet cafe across the street and a great little pub(The Wellington) just down the street. Not to mention the Starbucks 3 doors down. Like I said, GREAT LOCATION. The rooms were clean and the lobby was very well maintained. The staff was helpful and quite fun actually. The concierge was great about giving us advice on where to go and how to get there. I would definatly reccomend this hotel for anyone that is looking to stay in London on a budget.	
Nov 23 2008 	Well placed but small rooms	We have just stayed at the Strand Palace. The room we had was really only suitable for single occupancy-the bed being against the wall so one of us had to climb over the other, plus no bedside table at that side.The staff were very busy and the concierges didn't seem interested in giving information-only selling tours and theatre tickets-obviously as they get commission, or so it seemed. The commissioner was lovely and caring.We had booked in for breakfast which was good but there were long queues-I've never experienced that at any hotel, even in London.Having said all this, although it's not a cheap hotel, it is central with bus stops virtually outside of the door and they go to most of the train stations which is much cheaper than a taxi. With a day pass ( £3.50) you can use any bus or tube in Zone 1/2 and we went to Greenwich with it and to the Albert Hall at night-catching the bus outside the hotel. Most of the theatres are within walking distance and there are plenty of reasonably priced places to eat, though if you are going to the theatre I would book your table as it is really busy before shows.We would stay there again though provided we got a deal-there are plenty of companies which offer deals but maybe ask for an upgrade to get a larger room.One last thing-it must be really warm in the summer, the windows don't open far enough and it was warm, with the heating off and the windows open and this is November. There was a fan in the wardrobe so goodness knows what it would be like in the summer.	
Nov 20 2008 	horrible staff	I stayed 2 nights at Strand Palace Hotel in London.It is so unfortunate that the staff was so horrible since the hotel is in good location, relatively reasonable and clean. The staff was so unfriendly, impolite and unhelpful. I would never recommend this hotel despite some advantages.	
Nov 16 2008 	Weekend break to London	My family and I stopped in the hotel for 2 nights in November 2008. The hotel is well located and the lobby and bar are smart, spacious and well set out. The rooms we had were small, but not too bad really and fine to use as a base for exploring London. We didnt have breakfast in the hotel as we felt it was too expensive, but there are plenty of places nearby to get breakfast for a reasonable price so I suggest you do that instead.	
Nov 15 2008 	GOOD VALUE	Have stayed here twice this year, both times on short theatre breaks. Decent sized clean rooms for around £100. Excellent location, only 2 mins from Covent Garden and Theatre District. Will always consider staying here in the future, due to it's good location and reasonable price (by London standards.)	
Nov 13 2008 	avoid this place	We stayed one night at this place on the Strand in central London.At £160 a night room only it was a complete rip off. The room was small, noisy, poorly equipped, inadequate tea/coffee supplies and the bathroom had no proper curtains so you were entertainment for the office block opposite.The hotel was also being redecorated and was a mess.Apart from location nothing else going for it.	
Nov 11 2008	NEVER AGAIN!	My mother's arm bled for ages after catching it on the bathroom door handle. This made my mother ill and caused us to miss 'Joseph', a show we had been looking forward to for over a year. The Hotel refused to believe me and insisted there is nothing wrong with the door handle when clearly there is! My advice: NEVER STAY THERE!	
Nov 5 2008 	Good stay spoiled by vindictive bar staff	Not a bad hotel overall, with many friendly staff like the doormen, the lady in the continental breakfast room who remembered me each morning, the shoeshine guy etc.HOWEVERIt was all spoiled on my last night in the residents' bar. Myself and a friend were sitting near the bar chatting and the barmaid, Martyna I believe she was called, walked past our table, lifting my drink from beside me and promptly poured it down the sink behind the bar, even though I had chased after her saying &quot;Excuse me that's my drink, that's my drink!&quot; When I finally got her attention, she did not apologise and gracelessly got me another one. But she decided to add her own version of defiance. She took the bottle of beer, poured a certain amount into it as my own had not been full and handed me the half glass of beer, with a surly remark to accompany it!! Couldn't beleive it and would seriously hesitate to go there again.	
Nov 3 2008 	Good central hotel	I've stayed here a couple of times this year mainly due to it's location. I found the room clean and comfortable. I have noticed some renovation work has been done. There is some areas of the hotel that have seen better days however the club room I was in was very good.Breakfast was very good with great choice.	
Nov 2 2008 	Change of room	I booked a one night stay at the Strand Palace, mainly because of the reasonable prices and its central location. I have stayed there before several years ago and had been disappointed so decided to book a Superior Club room this time around in the hope that it would be more comfortable. However, I was very disappointed with what I was offered - tiny room - hardly able to open my case, overlooking a busy main road, minute bathroom - not at all what I had hoped for. Reluctantly I complained and found the Duty Manager to be extremely hlepful - offering me another room which was much larger, quiter and generally more pleasant. The singe rooms seem to be tiny in hotels (I really dislike being fobbed off with this sort of thing when I travel alone) and I would recommend asking for another if you find yourself in this position. The hotel is in the process of being renovated (much needed)- which does not seem to be too disruptive. Generally a pleasant enough stay.	
Oct 30 2008 	Very average	I have heard a rumour that this hotel, a few years ago, reduced the size of all its rooms, obviously to increase capacity. Whether this is true or not I have slept in smaller rooms in Central London hotels.If you are a light sleeper avoid the rooms looking out upon The Strand as this road is very busy all night.I was checked in by a very pleasant, if difficult to understand lady from Eastern Europe. The room was clean and adequate. However, the rooms do not have air conditioning and the windows only open a limited amount. Even though it was a cold night and the radiator switched off the heat was almost unbearable. I noted glasses left outside a room, which room service did not collect all evening or night which is not good enough for a hotel in this price range.The drinks in the bar were extremely expensive, but I guess that's what you'd expect in this location, though the barman was surly.Breakfast was ok, but very busy. Confusingly all the breakfast guests were greeted with the question &quot;are you looking for somebody?&quot; by the staff on duty. Not an experience I would wish to repeat!	
Oct 30 2008	It was not bad.	We stayed there from Oct. 15 and 16, 2008, and from Oct. 19 and 20, 2008. The first 2 nights we stayed in a &quot;standard&quot; room on the 6th floor. The room served it's purpose since we were only in the room long enough to shower and sleep. Although the view was terrible since we had a room in the middle of the hotel all you could see was a small court in the middle of the hotel lot. There was only one window that would open, and it would only lift open about 3 inches. Check In was easy, though I don't know why they needed my passport number for? The doormen, and conceirge service was very nice and helpful.Upon return on the 19th, they again needed my passport number!They gave us a room that was very very small, and very dark. I went back to see them, and they gave us a &quot;club&quot; room on the 3rd floor. It cost us an extra 30 pounds a night. There was lots to see in the area the hotel was located in, and the Charing Cross tube was about a 2 or 3 min. walk down the road from the hotel, which was great since this was our main transportation across the city.	
Oct 29 2008 	Hit and miss?	Stayed at the hotel recently while on a course in London. I was really pleased with my room: especially the fact that it was cool! It did seem a bit old-fashioned but it was clean, had a great bathroom and was surprisingly quiet for being right on the Strand. I had requested a room at the back. I didn't get it but it worked out ok anyway. Breakfast was good but quite long queues to get seated as so many guests are travelling alone. I ended up sharing a table with strangers all the mornings I was there. I didn't mind but I guess some people might not like it. We were booked in for evening carvery. A bit tedious when it was exactly the same choice three nights running. The staff were friendly on the whole. It really seems to be the luck of the draw with this hotel. I wasn't paying so I was happy enough!	
Oct 29 2008 	good location	Had a one night stay at the Strand Palce in London. First impressions were excellent - the reception and public areas were very smart. Shame the same can't be said for the rooms! The rooms were small and scruffy and although it was a very cold night the room was so hot we couldn't sleep.	
Oct 27 2008 	Filthy dark decrepit scary.	I'm a native New Yorker. I've seen some pretty bad stuff. My travel agent booked me and my wife into this roach motel. We were greeted by a drunk on the steps of the hotel, and tipsy prostitutes in the lobby. The place has long antiquated corridors, very dark and lonely, reminiscent of some tenements I knew back in the 1970s in The Bronx. The room was tiny. There was a lock on the telephone. There was graffiti on the wall. The room smelled. I'm 6'2''. I banged my head on the bathroom CEILING. There were people next door having sex and we heard their every groan and bump. My wife cried. I couldn't get a reservations in another hotel. Nonetheless, we checked out and we spent the night at the airport where we paid full price to get back to the States. I then sued my travel agent and got every penny back. True story. Avoid this hotel at all costs. It's pretty much an SRO, a flop house.	
Oct 15 2008 	Decent place to stay for a weekend	Reading those many negative reviews confirms my belief that some people simply cannot be satisfied. I stayed at the Strand Palace Hotel last weekend (10-12 October 2008) and was, well, yes, ... satisfied! I mean what else do you expect from a central London hotel?!? My room in the 3rd floor was clean, well-kept, QUIET (!!!), the safe worked (!), and the bathroom was modern and well-equipped. The location is great, and I cannot complain about anything. This comes from someone who spent 60+ nights in different London hotels, and I won't bother now to look for anything else.	
Oct 12 2008 	Worst hotel I have ever stayed in - and I've stayed in lots	It’s a building site!! They gave me a room on the 4th floor which was impossible to find (they had taken the room number signs down for the decorating). I went back to reception and got escorted to my room, though derelict corridors with loads of electrical wires hanging down outside my room. I complained again and eventually got moved to a room that smelt like someone had died and was rotting under the bed. I think a previous occupant has thrown up all over the room - and the smell was pungent! I was told this was the last and only room left in the hotel (but it did not feel like that)!I booked the room directly with the hotel - why did they not tell me it was a building site!!On leaving, I asked the concieage where to get a taxi from, and before he answered he said sorry and just picked up the phone to answer a call before he finished telling me - it was the final insult!	
Oct 4 2008 	Absolute Cesspit - AVIOID AT ALL COSTS	Very simply avoid at all costs, i could write a million words on this but trust me as a man that spends at least one night away a week this is a total craphole. Just do not bother, anyone who says otherwise is just likely to work for the Hotel. If you want war and peace just contact me.	
Sep 26 2008 	Pretty Average	We stayed here for two nights to go to see the 'Lion King' show at the Lyceum Theatre.Theres not much to say here really, the Hotel seemed to be in med refurbishment of the reception area, and they kept changing the location of the check-in desk which was a little strange, but obviously required because of the work. There also was a little confusion at check-in.The Hotel was big, clean, and the room was average, although we were located at the corner of the building with a excellent view along the strand.Breakfast was average too. The room was small to average in size, add had the basics, but again nothing to get excited about.We are returning to london in March '09 have have chosen a different Hotel to try.	
Sep 24 2008 	highly recommended!	I stayed at this hotel for 2 nights with my boyfriend on our way back from Venice. I found the hotel location excellent and the staff most welcoming and eager to help. We normally stay around Paddington when we visit London but we thought we'd pay the little extra and stay in a much more central location. The hotel is walking distance o Westminister Abbey, Trafalgar Square, Leicester Square, China Town and Covent Garden. Check-in was simple and smooth and we were quickily directed to our room. Our room was a little on the small side but very standard for London, we were fully impressed by the size of the bathroom (which even had a full size tub...a rareity in London hotels of this price range!) The staff concierce desk were polite, full of information and could answer all our questions. Breakfast was the best I have had in a hotel. Full hot and cold buffet breakfast where there was plenty of wait staff however there was a bit of a queue on Saturday cause the hotel was packed but we still manage to stuff ourselves!Highly recommended, I will definitely book to stay there again on my next visit to London.	
Sep 23 2008 	Unexpectedly Pleasant!	Having read some of the reviews of the Strand Palace Hotel on Tripadvisor and was not expecting too much from this property.Loctation: Conveniently situated, easy access to Covent Garden and Charing Cross.Check-in:Friendly, prompt and efficient, using the dedicated Club Check-in Desk.Room:Club Room - the room was not big, but perfectly adequate. It appeared to have been recently refurbished and was very clean. Rather than having curtains, the windows have sliding wooden shutters, these not only block out light at night, but also cut-down any outside noise (see images). A keyboard is provided in the room for internet access via the television, but this and guest services features were not functioning. The flat sceen tv also had a habit of turning off and displaying the wrong time - a minor issue.Bathroom:Again, appeared to have been refurbished; it was clean and of an adequate size. Complimentary toiletries of a reasonable standard provided.Breakfast: Buffet style, continental and full English - reasonable quality and selection.Public areas: Clean and presentable.Customer Service:Very good, staff had good grasp of English and were quite helpful. My review is based upon booking a 3 day package via the hotel's website, had I paid full rack rate, I think I would have been able to achieve a better deal at another hotel.Overall, I would not hesitate to stay again.	
Sep 23 2008 	It was ok!	We stayed one night to see the theatre, check in and check out were both smooth and without any problems, staff were friendly enough. I would stay there again. The 2 negatives i have are 1) a small cockroach in the bathroom, and 2) the water dispenser at the breakfast buffet coughed out some black sludge into my glass along with water when i tried to use it. It was speedily carried away after I pointed this out but no explanation given , but really what explanation would have justified that?? It was OK though	
Sep 22 2008 	Not exactly a Palace!	Stayed here in May 2008 on a weekend break with 2 other couples.Check in was fine, the hotels exterior was gothic like, it looked fine. It is also only 3 min walk from Covent Garden, a massive plus.Unfortunately we were booked into one of the upper floors, which when getting into the lift at the lobby where its very modern, we must have entered a time machine, because upon the lift door opening on the floor we stayed we were treated to a run down motel. Everything from the decor to the carpets were extremely dated.Its almost as if the 1st couple of floors are fantastic and the rest is just forgotten about. The rooms are small, nothing to write home about at all. 3 nights cost 510 pounds per couple which is also on the steep side. The only real thing going for it is its location, perhaps that is what we paid for.	
Sep 10 2008 	Rooms are a joke!	Location Fantastic and I have to say from the outset of this review that the staff all of them from the Doorman to Reception to Concierge were excellent.... but the rooms are are a joke!I had reserved a &quot;Club Style&quot; room as they were supposed to be the best, after checking in I found myself allocated a room that was the same size as a dogs kennell, I went back to reception who said they could offer me me a larger bed for 50pounds per night I declined, all over the hotel there were signs &quot;why not upgrade to a Club Room?&quot; Truthfully I'd hated to have seen what the other rooms were like, when I enquired at reception what was the difference - I was told the Club Roms had Flat Screen TV's (this made sence as no other type of TV would have fitted in there.) I asked for an Ironing Board 5 times it was delivered 5 hours later after I'd gone out.If I ever want to practice been a magicians assistant I will go back there, the hotels saving grace is the location. For the money I'd easliy stay in anywhere else but there again, breakfast above the noramal average hotel.	
Sep 10 2008 	Shabby and not very clean	I stayed one night here on 6th September with a few friends. Although the hotel is very well situated and literally around the corner from Covent Garden Piazza, that is probably one of the few good points.The hotel was very busy and full of gangs of tourists, the Reception areas are spacious, although in need of updating and a good clean, the bar was okay but lacking in any atmosphere but the bedrooms were shabby, tired and grubby. The bathroom needed an urgent refit as the grout between the tiles were quite yellow and not very hygienic as was the old formica vanity unit and the corners of the bathroom floor had not seen a thorough clean in years - not good! The windows were jammed open and looked out onto an old victorian tiled wall, extremely depressing.Perhaps some of the other rooms have been updated, it would be worth checking out as the situation of the hotel is good, it's a shame they haven't spent any money on the bedrooms.The one thing I liked very much was the doorman, who was very welcoming and happy.	
Sep 6 2008 	Good hotel for the price	Hotel was in process of being renovated when I was there unfortunately we had a room that had not been done yet. That is not to say that it wasnt good though. Room was clean and well kept up and the bathroom was very large. The new rooms must be even better. Hotel is about a 10 min walk from Trafalgar square and the tube is about a block or two if I remember correctly. Overall it was a very good experience.	
Sep 1 2008 	Ok all around.	OK for price in central London. No fridge or A/C. The room was very warm but clean an comfortable and the staff very good. The Carvery is expensive even for London for what you get in the pre theatre special and the staff too obsequious. But definitely would stay again.	
Sep 1 2008 	Great location in London	I stayed for 7 nights in the Strand Palace in August 2008. The location was unbeatable. In the West End, you could walk to almost any theatre. Trafalgar Square was a 5-10 minute walk and Oxford Street about 20 minutes. The hotel was expensive, but then most are in London at this time of year. Full english breakfast was more than adequate. Restaurants were lovely with great pre-theatre and post-theatre menu's which was reasonably priced. Underground was only a 10 minute walk away. Very close to the River Thames and London Eye. You could even walk to Buckingham Palace, Big Ben and Westminster Abbey. Staff were always polite and very friendly. I would definitely stay in this hotel again.	
Aug 17 2008 	Nice hotel	Arrived at 11am hoping to leave our luggage at the hotel as check in wasn't until 2pm but it turned out our room was ready 3 hours early so we were pleased. We ordered room service which arrived within 15 minutes, prices are ok, what you would expect in London really. Food was very nice though. Room was quite small but clean. Hotel itself was very nice. You can buy train/attraction tickets in hotel too. Check out is 12pm and easy, just put ur key in a box and leave. You can also leave your luggage at hotel after check out for £2 a bag.It is a couple of minutes walk from covent gardens and leister sq is close too. It is in main theatre land so good location.Would stay here again.	
Aug 16 2008	Excellent value for central London	The Strand Palace is located on the Strand, very handy for the Adelphi Theatre, and within easy walking distance of Covent Garden and Leicester Square. On entering the lobby and reception area of the hotel, there is a distinct feeling of class.I spent one night in this hotel, in December 2007. I had to queue a short time to check in, but check-in was smooth. The room rate did not include breakfast and I declined to pay the supplement for it, which was something like £15 (a number of local coffee shops were open for breakfast at a more reasonable price, just a few steps outside the front door). I was allocated a single room - it was a long narrow room, with the bed spanning its width. The room was very nicely furnished in a contemporary style, as was the ensuite bathroom, and was equipped with a modern LCD TV with digital channels. My only real complaint about this room was that the base sheet did not properly fit the bed.The room rate I paid was a little over £70 and, although this did not include breakfast, I consider this to be excellent value for central London - it was worth paying the little extra over the typical £50-60 for a London budget hotel, as the Strand Palace offered a sense of luxury and class that made my stay that much more pleasurable. This hotel is highly recommended if you can get it for a similar price.	
Aug 4 2008 	nor good nor bad	I stayed at The Strand Palace hotel in 2006. Before I went I had read a lot of reviews about the hotel and I was quite scared that it was gonna be a nightmare. I chose it for the exellent location and simply hoped for the best.My stay was ok, I had to change room because the first room I got was a very noisy room on the ground floor facing the inner part of the hotel...the windows was closed but there was no isolation and seemed unsafe. So I got another room which was MUCH better, bigger and faced one of the streets. I must say to everyone: it's better to hear the noise of people and traffic than a constant annoying noise from the air-condition machine inside the hotel!I can't recommend this hotel to solo travellers. I spent four night alone at this hotel and it wasn't so nice during the night...I didn't get to sleep much. Someone was calling my room, someone was screaming and being aggressive outside in the corridor, someone tried to open my door... The doors are not the safest kind...they should change the doors and put a &quot;peep-hole&quot; (don't know if it's the correct word) on them....Breakfast was not included for me, but it's not a problem....London must be one of the best cities in the world to find great foods in grocery shops (they have large parts of the stores all take away) and at take away shops like Pret A Manger! So, skip eating at the hotel...it might only disappoint. If you are unlucky you will have a bad experience and if you are lucky you'll have a good experince with this hotel. But you'll always be lucky with the location, it can't get any better! You can walk to so many places...I even walked all the way to Tate Modern...it was a beautiful walk.I can't wait to go back and I might stay at Strand again if I travel with others...because it's cheap.	
Aug 1 2008 	(Nice Bargain)factor in a low hotel allowance 	If your company has a low hotel allowance (like mine does) the Strand Palace is the place for you. I had a single, the room was small but clean.It was one of those warmer days in London...no A/C but at least they had a fan. The check-in line was long but, luckily they opened another desk to make the flow of people move faster.The location was really central...close to Trafalgar Sq. I would probably stay again...The doorman was more than helpful pointing me to bus vs. the U-ground for one of my appointments, go there on time!	
Jul 31 2008 	Great Hotel	Check in staff at the hotel were great and got us checked in quickly and before the official check in time. We had a club room which was very smart and had an excellent bathroom. The beds were very comfortable. The only problem was that the rooms were not air conditioned. Even with the rubbish English summer it was still very hot in the room. The hotel did provide a fan which improved things.The hotel is in an ideal location approx 5 minute walk from Covent Garden, and Charing Cross tube is about a 5 minute walk along The Strand.	
Jul 17 2008	Holiday at the Strand	On arrival the trainee receptionist had a most unhelpfu arrogant manner. She questioned the incluson of breakfast in our rate, which had been prebooked. Had not another girl come to the rescue there would have been a row and the manager would have been involved. The matter was sorted by another member of staff who was peasant and helpful.The bedroom was comfortable as were the beds and generally adequate. However it was excessively hot and only one window opened slightly. An electric fan was provided in the wardrobe but even with this on the room was stifling during the night. Neither my wife or I slept much. The bathroom was adequate with a good shower and plety of hot water, but no extractor fan. It became like a sauna if you used the bath or shower - not a pleasant experience.The breakfasts were buffet style and the cold food of a high standard. The hot food however was never more than tepid, so a &quot;full english breakfast&quot; wasn't great.The food in the dining room was averagge standard with pleasant staff. They offered reasonable pre-theatre meal but once in the restaurant, the drinks cost more than the meal. With wine at over £5 a glass and a small coffe £3 and an inferior cappucino at £4 I was not amused.We will not be staying at the Strand palace again. It obviously trades on it's excellent position in the Strand, but the standards are not of the 21st century.J S Mercer	
