	Small but satisfying	After reading some of the negative reviews on this website, we decided to upgrade as we arrived at the hotel. The upgrading from standard double en-suite to executive double en-suite cost us £15 a night, and it was well worth the money. We were explained that the standard rooms were very small, with room little more than the bed. When upgrading we got a small, but rather nicely furnished bedroom, with a high double bed (with wooden carvings India style), with room underneath to stack the suitcases. There was a TV, a big Indian wardrobe, and a desk. Big windows facing Trebovir Road. The bathroom was small, but nice with tiled walls and nice equipment, and clean (!). The first morning the breakfast room was full, so we decided to have breakfast in a local cafe instead, but the next two mornings we ate at the hotel. Breakfast was good and plenty: rolls, bread for toasts, croissants, muesli, fruit, cheese, coffee, tea, juice, milk......Service was also good. Our room was not ready when we arrived so we left our luggage in the foyer, and on return, the luggage hade been placed in our room. The next morning we discovered that the electric kettle was not clean (probably some earlier guests have been warming milk or something in it) and when we pointed that out, the kettle was changed immediately.Some of the other reviewers complain about the room size. I quite agree, everything in this hotel is very tiny. The web side photos are almost real size photos! Tine reception, tiny rooms, narrow staircases, but if you're not planning to spend much time at the hotel, it serves your needs. The location is very convenient: 1 min from Earls Court underground station..	
May 18 2007 	Good value for money	I stayed at the Mayflower Hotel on Monday 14th May for one night. The Mayflower was one of the better hotels in the immediate area. I negotiated a price of £55 for the night with c/breakfast. The rooms were clean albeit quite small. There is a functional small TV in the room with access to Sky news. The bathroom was good and the shower worked efficiently. The staff were very polite. I particularly enjoyed the fruit bowl at breakfast. The hotel is ideallly placed a few hundred metres from the tube station. There are quite a few restaurants and bars in the immediate area. If you can get a room for under £75 then I would suggest that this represents good value for money when compared to some of the hotels in the Earls Court area.	
May 9 2007 	DREADFULL No hot water in morning staff could not care less	When we got to the hotel the staff seemed very unfriendly not at all interested in smiling or making you feel welcome.We made our own way to our room which was suppost to be a luxury room howevwer it was so small we kept bumping into the bed which was rock hard and squeaked and groaned everytime you turned over.Didnt sleep to badly however. The bin men at about 6am turned out to be a very effective wake up call pity realy i quite fancied a lay in.And so for a nice hot shower and some tasty breakfast but no alas no hot water reception was called and we were told how we were obviously incapable of the simplist shower controls and they would send someone up.He tried the controls and also was unable to produce hot or even luke warm water.He went away and we sat waiting for news but none came.I will not go into detail about the breakfast but stale bread and dreadfull coffee kind of summed up our experience in the mayflower .A hotel i would not reccomend to my worst enemy.	
May 7 2007 	Reasonable well priced hotel for London	Have just arrived back from a weekend at the Mayflower hotel. We had a booked a triple room and it had two double beds. The room was very small but how much time do you spend in a London hotel room? The bathroom was bright and spacious with a great shower (once we worked out how to turn it on!). One minor point is that the room can be a little dark as there is no ceiling light. There is some limited noise from the Underground but nothing that would really bother you or keep you awake.The staff were all very friendly and the breakfast was great particularly the fresh fruit salad. The location was perfect. Only a minute from Earls Court station with lots of resturants nearby.I would recommend this hotel if you are looking for a functional, clean, pleasant hotel at a good price. After all, if you're looking for luxury in London, you have to pay for it.	
Apr 29 2007 	A good choice	We just returned from our 3 nights stay in Mayflower Hotel.Although our double room ( Nr.20 ) was rather small, we liked the bright room very much. Everything was spotless clean, wooden floors, enough room for our luggage in two wardrobes, a big mirror, a hair dryer, a desk with chair!It was not as noisy as we expected from the reviews we had read before, we did not use our ear plugs.The bathroom looked very new and nice and there were enough fresh towels every day.The staff was kind and helpful, the continental breakfast with choices of cheese and vegetables, different kinds of bread, cereals, juice, tea and coffee delicious and plenty. The two breakfast rooms look modern and stylish. There is also a pretty small patio garden next door.The location is perfect, two minutes away from Earl`s Court underground station, only 35 minutes to go to Heathrow by tube. There are several restaurants and pubs close by in Earl`s Court Rd with Indian and Italian food at reasonable prices.So I can recommend Mayflower Hotel, we went to London several times and always looked for a new accomodation, but we will come back to this hotel in future, - hopefully next year!HSInnsbruck, Austria	
Apr 21 2007 	Location! Location!	We stayed at the Mayflower hotel in October last year. Our priority was to find a place close to public transport, with kitchen facilities, that wasn't too expensive. The Mayflower is in a great location, only a couple of minutes walk from the Earls Court underground, which services the District and Piccadilly lines (we actually caught the tube from Heathrow to Earls Court). Also, walking distance to many restaurants and a 24 hr supermarket.We had an apartment at the front and it was a reasonable size. The kids (6 &amp; 4yrs) slept on the sofa bed and fold up bed in the main room. Our bedroom was small - only room for a bed (ours was two singles pushed together which was really uncomfortable!). The kitchen was a good size and included a fridge, oven, dishwasher and washing machine. There was free wi-fi access on the ground floor.Apart from the bed, it was a great place to stay and we would definitely recommend it to others.	
Apr 2 2007 	Nice interior helpful staff small rooms	Stayed for 2 nights in March 2007. Very nicely furnished. Clean room. However our triple room was very small - difficult to open and then store suitcases without blocking doors. Good location close to Earls Court tube station.	
Mar 31 2007 	Nice enough place but TINY rooms	We were looking for somewhere to stay that was close-ish to the Royal Albert Hall and fancied something that wasn't going to break the bank and wasn't a Travelodge. We booked a double room for £82 B&amp;B, so not bad at all for that neck of the woods.Anyway, upon arrival the staff were friendly and checked us in fine. We were on the 4th floor, so called the lift, which was the size of a matchbox. Good job I don't mind small spaces. When we arrived at out room we had a bit of a chuckle about the fact that it was so small. don't get me wrong, it has all the stuff you need but you can't really move once you are in there. If the wardrobe door was open, you couldn't walk through the 'room' at all. It was all clean and tidy and the bathroom was attractive and clean. The only thing is that it really is miniscule, I can't stress enough that it is such a small space that you wouldn't want to stay for more than one night unless you were a Borrower. Without exaggeration, the room space was about 7' square. The shower is one of those ones that comes down from above your head and there is no curtain or screen so it does make a bit of a mess of the bathroom.The breakfast room suffers from the same space problem. It is a shame that the hotel has been filled with so many rooms that guests are squashed even when attempting to pull out a chair to sit down in the breakfast room. There is hardly any space around the buffet so it's a queue for breakfast, which is normal, but there is nowhere to queue except right up against some other poor guest trying to eat their cornflakes. The food on offer was fine, standard continental stuff.Our room was on the back of the hotel so you can hear the trains clearly as well as the platform announcements but slept ok.Overall, it's fine but just remember to breathe in everywhere you go.	
Mar 23 2007 	great place will stay there again	Was a little afraid because of the reviews but it really was a lovely stay. Its right around the corner from the tube (which closes at 11pm so no worries about late night trains keeping you up) we slept with the window open every night (the rooms do tend to get a bit stuffy) and it wasn't noisy at all. I went with three friends and the four of us stayed in a family room which was tight, however, all hotels in London are tight. The rooms in the front seemed to be slightly larger. There was a radio alarm clock with a cd player in the room so waking up in the morning was pleasant. We got fresh, clean towels and a change of sheets every day. The breakfast was lovely, with fruit, cereals, yogurts, juice, coffee, tea, etc. The staff was excellent, recommended a great tea place near by called The Muffin Man. The area is fantastic as well, after the pubs of central london closed down, we'd come back to Earl's Court and find it still filled with young people. I also liked that they lock the doors at night at the hotel (not to worry nightcrawlers, if you fancy coming home at 4am, just ring the bell and the concierge on duty will let you in). London real estate is pricey and all rooms are small, don't hold it against the mayflower!	
Mar 23 2007 	Mayflower a good choice	Very nice small hotel that is close to Earls Court tube station. Clean, nice rooms with marble bathrooms. Rooms are small but provided everything I needed. Stayed in two different rooms and the only problem was noise from the tube station and some street noise. Overall a good stay and value. Service is very good.	
Mar 22 2007	Don't Bring Any Luggage!	Good location to Earls Court Tube and lots of places to eat within walking distance. We had an &quot;enhanced&quot; room that was so small we could not open our luggage. There was very limited space to hang anything. The bathroom was very small but adequate. The bed was very hard as was the pillows.The staff was very friendly and helpful. The continental breakfast was above average. We found the hotel clean and service very good. The room was so small that it was hard for two people to share but for the price, we lowered our expectation. As nice as the people were, we would not stay there again although the price is attractive.	
Mar 6 2007 	So lucky to stay here!	I booked a double room directly with the hotel, and we were given a luxury suite appartment as the hotel was fully booked. The appartmenthouse is directly beside the hotel. When I read the previous reviews about the appartments, I was very close to cancelling the reservation, but luckily for us, took the risk! Our appartment was just great! The appartment had more than 50 square metres with a bedroom, big living room with a dining corner, a fully equipped kitchen, a hallway and a bathroom. There was even a washing machine in the appartment! The appartment was in the basement but it had big windows and a backyard of its own. Behind the backyard wall, there was the train station. You could hear the noise of the trains but we had no problems with it when the windows were closed. Continental breakfast was included in the price and consisted of coffee, tea, juice, roles, croissants, toast, jam, cheese, fresh fruit, yoghurt and müsli. The hotel staff was very friendly at all times. We can warmly recommend this hotel, we will return!	
Mar 5 2007 	Apartment great - traffic noise terrible	I was worried about my booking (01/03/07) because I had read so many negative ones on here. However, the apartment was great - one big bedroom / kitchen with a table and chairs plus a really good shower bathroom in an excellent location in London for £99. Really hard to beat that kind of value.The staff couldn't have been more helpful, even letting me use the PC in their lounge to log onto my e-mails because I couldn't get my wireless to work and carrying my luggage all the way to my room (the apartments are in an adjoining street to the hotel).But - London traffic noise let it down. The room was hot but I had to keep the window closed because of the noise and even then it took me 2 hours to get to sleep. Maybe my 4 years in the country have softened me but it was pretty horrible. All in all - excellent price, excellent hospitality and location. Awful London noise.	
Mar 5 2007 	Impressive start disappointing finish	We wanted a hotel in London that wasn't in the main thoroughfare, was reasonably priced and not a big corporate chain. However, we also wanted a decent sized room, cleanliness and value for money. Upon our arrival, the staff were nice enough and the foyer and entrance look really great so we had high exectations. We were directed to our room on the ground floor and quite honestly I felt like I was in a cheap bedsit. The mattress looked old and curved up at the corners, there were stains on the wooden panelling to the side of the bed, the room was smaller than I could ever imagine, the windows were dirty, it was dark, dingy and depressing - added to that was the rumbling of the tube. Its only saving grace was the bathroom - really lovely and clean with contemporary fittings. Anyway, I complained and we were offered another room on the top floor - it was brighter and slightly cleaner but still tiny and had a shoddy feel (also dirty windows with a large crack in one of the panes).This hotel has apparently undergone major improvements but the room sizes are definitely compromised, the paintwork and general finish is poor, the towels provided were clean but threadbare and if you are on the back of the hotel the tube will probably disturb you as the overground station is within spitting distance.To its credit, the staff were friendly, the breakfast room and breakfast was as expected for the price (cold buffet style) and the en-suites were clean and contemporary. Trebovir Road is also a pleasant quite street really well placed for the tube and nearby shops and restaurants (Wagamama, Masala Zone etc). However, I won't be returning and in my opinion there are better hotels in London for the money.For the record, we stayed in room 44.	
Mar 1 2007	Wonderful!	I really enjoyed my stay at the Mayflower. I stay in London quite often and I found it a delight. My room was beautiful, very clean and with balcony. The staff were very helpful and very friendly. I would recommend this place to anyone. Oh, one thing. It is a bit noisy on the front but I had earplugs, which I normally take to London hotels anyway, so wasn't that big of a problem. Very nice!	
Feb 26 2007 	Not worth it!	The best thing about this hotel is that the location is right next to the underground. The hotel itself was dirty, noisy and most importantly the staff were very unaccomodating. The &quot;2 bedroom&quot; apartment was about the size of a large closet. There was very little room to walk around and only one small cupboard to put clothes away.I	
Feb 20 2007	Bad choice for a night of peace	thought an apartment was a great deal boy was i wrong! round the corner on one of the noisiest roads in london with a fire alarm that beeped all night despite several calls to reception. looked so good on paper, got no sleep and no apology from the concierge, just an 'it happens'. never again	
Jan 30 2007 	Superb	Just come back from an excellent stay at the Mayflower. 1.Check in was excellent and swift.2. Room ideal paid £65 for double with continental Breakfast. Not small or noisy as some had stated. 3. Reception staff helpful and able to assist when asked.4. Location ideal, just a 3 minute walk from Tube station and only 10 minute walk to Stamfordbridge (stayed as watched football).5. Numerous restraunts and takeaways for all budgets. 6. Only small negative was Breakfast room not big enough, sat in reception reading paper while waited. By time we had a table there were about 6 groups waiting for a table.Thoroughly recommend, nice place to chill out and near to attractions.	
Jan 22 2007 	Overall OK	Stayed in an apartment in Jan 2007 with wife, baby and toddler. The apartments were in Warick Road round the corner from the Hotel.Despite requesting a parking space none was available and the girl on reception provided poor directions to a car park that was for residents only at weekends, this was on a Saturday. Having found a car park (£30 a day ouch!), we went to the apartment. We were in apartment 4 on the ground floor which was good for pushchair access. We had a tiny shower room (around 7ft by 4ft), the room was generally ok but did gave a loose tile or two around the shower. The kitchen/lounge was copact but ok, with a decent oven and washing machine and LCD TV which only had the five channels.The apartment was described as two bedroomed which was stretching it a bit as you accessed one 'bedroom' through the other. Both of the bedrooms were tiny, one had a double bed (actually two singles pushed together) and you were undable to walk around 3 of the 4 sides, this room also had ineffective underfloor heating (it worked but was just not man enough to heat the room) and a couple of damp patches on the walls. The other bedroom had a wardrobe and two single beds with less than 14 inches between them.The bedroom arrangemnt was fine for us, but if the apertment had been rented by two couples then they'd need to be friendly as the door to the double room was glass and led off the first bedroom (see pics).The overall impression was that the apartments had been 'tarted up' but were not well maintained, for example all of the radiator covers were damaged.We enjoyed our stay in London and found the Mayflower Apartments to be average and just about ok for us, but certainly not the level that thier website tries to portray. Finally there appeared to be no fire evacuation plan displayed anywhere in the apartments!	
Jan 6 2007 	Stunning!!!!!	I booked the hotel for a romantic night direct with the hotel - then I saw all the reviews. I was SO close to cancelling but ended up taking a chance. I'd booked a luxury double room but when we got there, for some reason they'd upgraded us to the luxury suite. I have stayed in hotels all over the world as a traveller and in various touring bands and have been spoilt and ripped off equally over many years. This room took my breath away. The suite is next door to the hotel and in the basement. The front door led straight into the kitchen which was as big as my own and well appointed. But walking into the main room was amazing - HUGE four poster bed, flat screen tv, dining room table and chairs, walk-in dressing room, and absolutely beautiful bathroom with shower space for the entire band, had I still had mine with me! I found the decor stunning and took plenty of photos to try and find various items of furniture for my own home!It is situated less than three minutes from pubs, restaurants, supermarkets and the tube station and ideally placed for plenty of London sights.The bed was intensley comfortable although I was frequently lost in it during the night and I had to pinch myself constantly that we were there at all.The only, and I MEAN only, thing that wasn't perfect, was the fact you can hear people walking past late at night, but it's LONDON - and personally, I would EXPECT that! It certainly didn't detract from the experience! Whoever is upstairs could do with carpeting their floor too, but again, I didn't notice this until quite late into the following morning.I would not hesitate in recommending this hotel to anyone. The staff were friendly and happy, the breakfast room and breakfast were lovely, and checking in/out was a breeze. Easily the best room I have ever stayed in.	
Jan 5 2007	Excellent	what a way to start the new year, A great stay in a fantastic Hotel the facilitties, service and breakfast was excellent. I will strongly recommand this hotel value for money. Great find we will be definitelly return shortly.	
Dec 18 2006	worst hotel experience ever	hotel advertised &quot;climate control&quot; on website, which was very, very, important to our staff, as london is very hot at this time of year,and a cool room was essential.&quot;Climate control&quot; simply meant a radiator that could be switched off!!! and a tiny noisy fan. The manager said the wording was approved by the tourist board.Under no circumstances believe any description on thier web site, as you will be very dissapionted!!!	
Dec 5 2006 	I Liked it.	I stay in a lot of hotels. Too many to be honest. I stayed here whilst overnight on business in this area of London. I stumbled on the hotel through laterooms, and I have to say, its really nice. It’s decorated nicely and has character. All the staff I spoke to were efficient and pleasant. There are some nice restaurants in the area. The room I stayed in was an executive double, costing £99. The quality for that price is just fine. Perhaps I just got a nice room. I stayed in room 11 which is the room with a balcony. The hotel has free wifi (although there seem to be plenty of generous neighbours in the area with unsecured wireless networks anyway) and the tv has a freeview box giving you plenty to watch including film4.I would come back here with my wife, and she can be quite fussy!	
Dec 3 2006 	Oh My God - Daylight Robbery	Booked through Hotel Club - great photos and close to my course in Earls Couth. Room 49 was so small. There was a single bed that covered about 80% of the floor space. Consequently the TV was bolted to the wall and the chair for the &quot;desk&quot; didn't even pull out! Luckily there is wirelass internet so I fired up my lap top and booked somewhere else through Expedia. I left and have complained to Hotelclub.co.uk that they have been completly hoodwinked. I stand to lose £350 for the 4 night stay but would have rather slept in a phone box. Never stay here - I have lived and travelled all over the world and the only word that can describe the room was &quot;shocking&quot;Though the staff were very nice - there were not surprised or interested about the fact that I was leaving within the hour.Please post this on your site and save others from being ripped off.Thanks	
Nov 29 2006	Looks can be deceptive...	but look closer at the details. The Mayfair Hotel was booked by my husband and I when we visited the city for a concert. The location in relation to the Earls Court centre was superb and I can't say that there was very much noise given the closeness of the two. As a previous reviewer mentioned, the reception area is very smart, however, you get the impression that the refurb has been done on a strict budget. The door going into our room had a 2 inch gap on a slant at the bottom. The ventilation in what can only be described as the shower cupboard was appalling. The top sheet on the bed was soiled and when I complained I was told that I could not be provided with another one until the following day - I am still waiting!! The breakfast room is not big enough to accommodate the full compliment of guests as we found out to our embarrassment - we had to hang around on the stairway until there was a table available and at that we had to share with complete strangers. Oh, and if you get the room with the french doors out to the terrace at the front, look out for the guy who arrives on the terrace quite unannounced to clean it!!! This was around 9.45 -we were up but what if we had decided to have a lie in!!!	
Nov 29 2006 	Hideous! Don't even think about it!	Don’t be fooled. The pictures on this hotel’s website bear NO resemblance to the actual rooms – certainly in the case of the shoebox we were given on the top floor. The hotel was booked out when we called, but management offered us one of their apartments at a reduced rate. A quarter of the usual rate would have been too much! In a different street to the hotel and up three steep flights of stairs, this largely unrenovated apartment had had a cheap tart-up, but the plumbing was atrocious (water to the shower routinely cut out) and the kitchen utensils etc. inadequate and in the case of the chopping board, mouldy. Asked to be moved to the hotel at the end of our stay, we were shoehorned into the smallest, most spartan, hotel room we’ve ever seen. At £90-a-night, they had to be kidding. Also beware when asking reception to book a taxi. Relocating (read fleeing, with luggage) to a hotel less than half a mile away, we were picked up by a private service that charged a flat fee of £10. This place was awful, awful, awful.	
Nov 17 2006 	fantastic	Can't understand the bad reviews this hotel has got. Perhaps it's because it's undergoing a refurb and some of the visitors got rooms that hadn't been renovated? Or maybe I just got very lucky, but although I'd booked a double room, I was actually given an apartment room - still just for £89.00 - that only one other person had ever stayed in. It was really comfortable and tastefully furnished and needless to say, very clean. I stay in London regularly, and believe me £89.00 gets you NOTHING so this felt like a real treat. Will definitely stay there again - will happily make it my London base.	
Nov 13 2006 	Loved The Executive Double	I am a returning visitor to London, and I usually stay at Twenty Nevern Square; Mayfowers sister hotel however they were fully booked so Sulai transferred me through to Mayflower Hotel. I booked an executive double and I am shockingly disturbed by the bad press - because as Sulai informed me Mayflower was the same standard so I went with his guidence. I loved the decor and the juice bar was a gem. I enjoyed the breakfast it was lovely. My only regret is because I was on business and I didnt get to spend more time there. With wi-fi accessibility it's great for business. So next summer I'm going to bring my wife and kids for our holiday to London. Great value for money, clean, welcoming staff and the size of rooms are big compared to European standards. One of the nicest hotel's Iv stayed in London. And its a steal at the price.	
Oct 31 2006 	what a joke!!!	after looking at the pictures and hotel discription on their website and in a hotel guide my partner and i deceided the mayflower sounded like the perfect place to spend a couple of nights, we are no strangers to london hotels as we visit my daughter on a regular basis. on arrival the reception area was very smart, even though the receptionist was quick to ask us to pay for our stay in advance, we felt at this point in time we had found a gem of a hotel, we were unaware of the sub-standard accomadation we were to be met with!the first room we were shown in the building next door was filthy, rusting taps and dirty walls and carpets, not a marble bathroom insite, and as for luxury furnishings well!! nothing like the photos on the website or outside the hotel.we were moved to a second room, a few minutes walk from the hotel, the noise during the night was unbelivable, we would have got a better nights sleep on the m25! in the morning tried to have a bath, no hot water. we complained the next morning and even though we were moved again, the room this time was much better, but still had to put up with noise from train station and building work, had no apology and the staff did not seem concerned at all by our compliant, they were more worried about getting £40 from us for the carpark! will NOT be staying here again.	
Oct 19 2006 	Want to Stay in a Sauna ???	We booked this hotel because from past experience we must have air conditioning at that time of year.The hotel stated that each room has &quot;climate control&quot; and ceiling fans.In fact only 1 room out of the 7 we booked had a ceiling fan, and the climate control was the oportunity to switch on or off the radiator !!! Climate control is an upgraded air conditioning a term used widely and especially in the car market,however the hotel said the London tourist board approved of this term,and there was nothing we could do about it.Every room was like a &quot;sauna&quot; and none of my associates had a decent nights sleep !!I would not recomend this hotel to anybody,as they clearly push the limits of reality.	
Oct 14 2006	Mayflower my new favorite London hotel.	I booked this hotel after seeing their lovely website. A week later I read several less than steller reviews on Tripadvisor and was ready to cancel, but decided to give them a chance based on several good reviews I had also read here. It paid off in spades!I had decided to book their executive double as it was bigger than the standard. Since most hotels in London's older buildings have a variety of room sizes I knew better than to book the standard room. The room was perfectly adequate in size and bigger than those of other hotels on the same street that I had stayed in on previous trips. I was also impressed with the cleanliness. I kept looking for flaws and discovered no hairdryer in the bathroom, because it was in the closet. The shower had tepid water for two days, until I discovered the shower had a safety device to prevent scalding. The TV didn't work, until I asked for help with the remote. They didn't provide Kleenex...that's right, it wasn't in a drawer, closet, or cabinet. I could live with that considering they provided a pants press, teapot with coffee &amp; tea supplies, Gilchrist &amp; Soames bath products, and a first class Continental breakfast.The hotel is on the first street on the left as you leave the Earl's Court tube station by the Earl's Court Road exit. There is an Internet cafe just opposite the station on Earl's Court Gardens that gives you unlimited access to their computers for one pound, I spent two hours there. On Hogarth Place again opposite the tube station there is a lovely French restaurant that serves any starter for 4.95 and any entree for 8.95, another great value in this diverse neighborhood. The King's Head Pub on the same street has become a gastropub with excellent food and you can find Italian, Japanese, Indian and Philippino restaurants in the neighborhood, not to mention a fine grocery store with take away by Marks &amp; Spencers to the right of the tube station by a block.For those people concerned about an elevator as I had been, they have one and you can't miss it unless you walk into the lobby backwards! I'll stay here again, gladly.	
Oct 2 2006 	Awful Experience: Don't Go.	I booked a double bedroom to spend a romantic evening with my lovely in what initially looked like a nice hotel, at least according to the pictures that you will find on the advertisements online and at the entrance of the property. We were firstly disappointed by the courtesy of the concierge who did not think that greeting us with a smile was part of his job description, although we saluted him warmly. Secondly, the room was very different to what I believed I had paid for. Instead of a lovely, dimly lit nest, we ended up sleeping in a very standard hotel room that had absolutely nothing special to it. However we were not yet ready to let this put us off. What really did was the concert at dusk… At 7:30am, on a sunny Saturday morning, we were woken up by a symphony of unpleasant noises. The first notes of the concerto were played by the housekeepers who were walking up and down the wooden corridors, closing doors loudly and knocking at ours pointlessly. They were then accompanied by the train station’s manager, announcing the next departures from the nearby train station in his loudspeaker: absolutely delightful... Nevertheless, the most enjoyable part of the morning was certainly the drilling and hammering coming from another bedroom apparently undergoing refurbishment. As we were getting ready and packing our bags, we received two phone calls within less than 10 minutes from the lobby to hurry us out of the room. Before we left the premises, we told the concierge about our disappointing experience. He did not find it appropriate to apologise or did not even try to take a commercial approach to this by offering us some kind of special treatment to settle this issue. All he managed to say to respond to our dissatisfaction was “next time you book a room, make sure you ask for a room at the front of the hotel”: the icing on the cake... There certainly won’t be a next time!	
Sep 29 2006 	Location good Facilities poor	We usually book our apartments on the internet and have never been disappointed however with Mayflower Apartments we were.We had booked an apartment for 3. The kitchen was recently refurbished but rest was simply and literally falling apart.The sofa cum bed was lumpy and the queen size bed was broken.We complained at the reception and they offered to give us another apartment, no doubt much larger but with different problems.There was practically no cutlery. The oven was not working, the washing machine could only be put on with pliers! The boiler leaked in the closet and ruined a shelf of clothes.There was no internet connection as promised and though there was suppose to be an iron and a hairdryer I had to give a 40 pound deposit.We were there for two weeks and required the amenities of a serviced apartment which unfortunately Mayflower Apartments did not live up to.The nearby tube station (never mind its announcements!) was very convenient, the Earl's Court Road with its restaurants (Dragon Palace being one) was useful and above all OUR positive attitude kept us from overlooking the shabbiness.	
Sep 9 2006 	Don't Go!	I do not recommend this hotel, summer or winter because if your at the back of the hotel you will end up with a vast knowledge of train timetables as it is all you can hear at most times!!! The website states climate control and ceiling fan! None of which the room had! The rooms were small and tidy but very warm and they were nothing like the rooms on the website, I would like to know whether they even existed!!!!!! One night would be ok, any longer is tedious. Beware!	
Aug 29 2006 	great hotel	my sister and i stayed here in early august. i thought this was great hotel. we stayed in one of the rooms on the basement floor, it was a little noisy from the street but nothing to crazy and loud. the beds were comfortable and the the bathroom was great. quite spacious compared to other places. the room size was great. we ran into some trouble with our flight because of all the london airport mess that happened the day we got there, but the staff was really great, they didn't charge us for the internet use when we had to find another flight. the hotel was in a good location, right around the corner from the earls court underground. the cont breakfast was very filling and they have extended hours on the weekends.	
Aug 29 2006 	Great looking hotel shame about the room size!	This hotel has obviously undergone a recent complete makeover. As a result it is now very trendy, almost like a boutique hotel. Perhaps it is a little self conscious of its image as this seems to be at the expense of basic things like the size of the rooms. Although I have no complaints at all about the level of comfort, the cleanliness, the standard of service, the breakfast and the location(all of which were excellent), I was very shocked that they could advertise the room we occupied as a double room. I have never stayed in a hotel room (of this standard) anywhere in the world where one of the occupants has to climb over the other to get into bed. Also, because the room was so small there was very little storage space in the bedroom and bathroom. In order to get to the sink in the bathroom we had to keep our elbows in for fear of hitting the very nice marble walls.I feel that the owners of the Mayflower have done a very impressive job in creating a visually stunning hotel, but that they are trying to squeeze (literally) too much out of the space they have to maximise their profits.I would not recommend staying here for a long period if you have lots of luggage, but it is fine for a few days. The location, just a minute or two from Earl's Court Station, is very handy and the road outside is fairly quiet (good job too as there is no double glazing!).	
Jul 26 2006 	Mixed feelings	We stayed 4 nights in June. Before reservation, I had red Tripadvisors reviews and browsed hotels homepages attractive photos. As I have visited London almost 30 times, I would say that I have somewhat to compare. Location was nice. Tube station was close and Earl's Court has gone trough facelift since I visited earlier. There is also very good and affortable restaurant Mazala Zone near by. Hotels staff was ok, but lacking &quot;that warm old english poliness&quot;.The room was clean etc., but there were no space exept for the bed. Really (and I know that to expect from roomsize in London)! If my husband was standing I was forced to lay in the bed. As I have red the reviews I understand now that roomsizes varies a lot. So please, check your room at arrival, if it is possible in your case.	
Jul 18 2006	Don't book the quad room of this hotel	I Booked the quad room because I extended my flight and I had no place to go. We booked the quad room but the girl at the reception sent us to another apartment, located in another part of the street. The condition of the room is worst than University reseidences. It is dirty because no one has stayed there for a while. Since we are 4 ladies...we feel insecured to stay in a such a place. You have to see it by yourself. We pay 130 pounds per night and we expect something clean...not a long term apartment that we have to clean by ourselves...I can't imagine myself using the washroom.It is dirty. I came back to the reception and said to the guy that we were so disaapointed because1. the picture on the internet and the room were totally different. The guy said it was the agent who put the picture, not the hotel.2. There is no elevator and we allocated on the fourth floor (The website shows that they have elevator)3. We want to swap to the room and the guy said he had no room left.After a while we insisted that we worried about about safetyFinally he said he got the room for us....Thx god...finally he put us to another room but still it is not the room for 130 pounds...Becareful, if someone puts you to another buiding, it means they rip you off...flight for your right!!	
Jul 14 2006 	Not for business travelers!!	I thought it might just be cultural distance between the U.S. and Europe to explain the mixed reviews of the Mayflower. Then I heard someone with a pure British accent saying much the same thing that I and another American guest were complaining about to the management. If you have high standards or travel a lot on business, you will find much lacking with this tourist-class hotel. My first night, I was put in a sub-ground level room overlooking junk in the backyard. The noise of the Underground trains going back to the barn kept me awake well after midnight. (The trains come to ground level a station or two before Earl's Court.) After some bitter complaining to the duty manager and to the hotel manager (the female night-staff person I talked to could care less and was entirely unsympathetic), I was moved to a street-front room with good light. But the advertised wireless Internet kept cutting out, and the fan was so loud you couldn't think with it on (important for summer -- note that there is no air conditioning and the windows barely open!) The room was not big enough for me to stretch out on the floor next to the bed, and I could not imagine sharing the room, even with someone I liked a lot. The breakfast was good, but you have to pay extra for eggs and anything cooked. I overheard another American guest telling the management that the apartments were filthy. Don't believe that the standard rooms look anything like the photos on the Internet. I saw three of them and they were all very different.	
May 22 2006	Wonderful Stay	A great stay at one of london's best kept secrets. I can't understand the bad reviews. My family and i thoroughly enjoyed ourselves. We had two rooms one for my wife and I and the other for our kids of 19 and 16. The rooms were beautifully designed. The service was great. Breakfast was lovely. Location is great a few minutes walk to the station. Reccommended.	
May 22 2006	Enjoyable Stay	My wife and I, just got back after a week at the Mayflower Hotel. On entering the hotel the decor was gorgeous. Along with the super-staff and service, you couldnt ask for more. The room was beautifully designed and my wife and I thoroughly enjoyed ourself. The hotel is also really nicely located in the heart of Earls Court, which made excess to shopping and sight-seeing a breeze. Mayflower Hotel, is a luxury hotel at a budget price in a superb location, to go along with the morning breakfast which was superb, it was sad when the week ended and we had to come home. Great Stuff.	
May 21 2006	A good place to stay	Stayed at the Mayflower from 18 - 19 May for our anniversary. The hotel is very well presented with a smart reception area. The staff we met were always polite and helpful.The room we stayed in was a little on the small side but fine for the price we paid. I understand the hotel had recently been refurbished and certainly this seemed to be the case judging from our room which was nicely furnished. It also had digital tv, cd player and radio alarm. The only thing we didn't like about the room was that it was not lit adequately - the dark furnishings and spot lights didn't help here, plus a lot of natural light was cut out by the heavy curtains and wooden blinds. Continental breakfast is included in the price, and very nice it was too. You can pay extra for full English if you wish but what's the point?Location is very good, within a few minutes walk of Earls Court Road tube station, which made it easy for us to get to the theatre to take in a couple of shows.All in all a hotel where I'd happily stay again.	
