	Great LocationOutstanding Staff	We spent 1 night at this hotel.The Staff could not have been more friendler..everyone of them said Hello and the Concerige was really helpful.There are some renovations taking place but it didnt disturb us,the room was a little dated but comfortable.It did lack a tea/coffee maker but this was the only negative.we really loved the location and would definetly stay there again	
May 25 2005	Clean and lovely	Had not known about the hotel previously as our trip was planned last minute. The hotel's website claimed to be of a 5-star quality and from past visits to London, we knew that this could be a false claim. Check-in was a breeze, quick and friendly. Our room was non-smoking on the 5th floor with a lovely view of Kensington Park and private residences. Easy to find since Kensington tube station is minutes away by foot. Extremely clean and looked to be newly refurbished. Two beds (that did not roll around the room with castors), desk area, raised sitting area with chair, table and sofa, mini-bar, dvd/cd player and internet access. Spacious bathroom with a good shower and water pressure!!! Called the hotel several times to reserve and change our bookings, each time my call was received by friendly and helpful staff. Excellent, excellent hotel. Highly recommended. Only wished we had more time to enjoy the hotel and visit the casino.	
May 22 2005 	disgraceful management	i have found that reservations staff are inefficient about bookings, although i have stayed there many timesif you complain to management about it, they side with staff.if you get food poisoning and complain they decide to have the food and beverages manager discuss it with you, change their mind and send you a security man to discuss your &quot;allegations&quot;. when you want to know why, they ask you to leave the hotel calling you a troublemaker. the main culprit is the deputy general manager. great location, some great staff. rest is unworthy. avoid.	
May 20 2005 	Friendliest 5 star in London	We had a great stay at the Royal garden and it was superb. The location next to the park and Kensington Palace is excellent but what really impressed was the friendliness of the staff. They really could not do enough for us and always with a smile! Rare sometimes in many hotels.The rooms are spacious (well worth paying the small supplement for the Park view rooms) and well equipped. Room service was excellent and a must is a meal in the restaurant on the Tenth floor.	
Apr 20 2005	Royal Garden Hotel is excellent..truly a 5 star hotel	We just got back from London and we stayed at the Royal Garden Hotel. It was LOVELY. The staff is courteous and the hotel is elegant. We requested a smoking room so we had a better view of Kennsington Gardens. If you request for a smoking room, they will put you on a higher floor (6th floor - there are only 10 floors and the 10th floor is a wonderful restaurant)- hence a nicer view. The room does not smell of smoke but if if does smell of smoke, you can open the windows a little so you can air it out. We had a step up sitting area with a beautiful view of the gardens. We ordered room service late one night and ate it while admiring the city lights. Kudos to Romy (from room service). He was very polite and the food was excellent.The hotel is next to Kennsington Gardens/Hyde park so it is very convenient when you want to take a stroll at the park. We were lucky we had a nice day so we had breakfast at the park (which we bought at Portobello Market the day before)The hotel is within a couple minute walk to the tube - High Street Kennsington (Circle/District line). and the bus stop is in front of the hotel. For those who want 5 star service, the Royal Garden Hotel is your best choice. You will trully be pampered!	
Dec 22 2004 	Disappointing	I just returned from a two night stay at the Royal Garden. Nobody can argue about its excellent location and the stunning views of Kensington Palace. However, I found the service to be very below par. My attempt to check in early was rebuffed despite the fact that I had called and e-mailed in advance and received assurances that this would be okay. They offered to let me shower in the Health Club, a reasonable alternative except for the fact that the club attendant claimed that there were no more locks for the lockers (a theme soon to be repeated). When I insisted that she stand sentry to guard my locker, she managed to find a lock. Utterly silly.After showering, I dropped off my bag at the front desk and they assured that it would be placed in my room. It was not, and indeed they had a difficult time locating it once I did check in at 8pm that evening. And the topper was my breakfast experience. I was the first person to show up for breakfast on Sunday morning as I had to catch an early flight to Heathrow. Despite the fact that their very large dining room was completely empty, I was directed to a table right next to the bus stand -- perhaps two feet away. When I pointed to another table that was a safer distance from the bus stand, I was told that &quot;it was for four people.&quot; I was also told that &quot;they were out of papers&quot; even though I was the first person in the restaurant. As for the food, it was quite marginal. In short, none of these incidents taken in a vacuum is terrible, but taken collectively they suggest a hotel that is nowhere near its self-proclaimed five-star status. This is a average hotel with a very good location and a consistently surly staff. You can do much better in London.	
Nov 22 2004 	An excellent ambiance	Just returned from the Royal Garden after one of our reglar visits. The hotel has an excellent ambiance. Both bars are atmospheric. Breakfast downstairs is varied, plentiful and rates amongst the best. The range of fresh fruit and yoghurt is first class. The queues for breakfast can be problematic if you arrive at approx 10am on week-ends. The views from The Tenth are stunning and it is well worth having a bottle of wine early evening with the wonderful views before the restaurant gets too busy. Rather disappointed with our room on this occasion. Normally we have views over the park with a raised seating level but a rather dowdy room (912) with dowdier bathroom wasn't something to rave about. However, for an excellent location, good service, relaxed and 5* surroundings, The Royal Garden has lots going for it.	
Nov 7 2004	Clean good facilities and excellent staff	Just Returned from a lovely stay at the Royal Garden. Upgraded on arrival to a room with a seperate seating area and spectacular views of the hustle and bustle of Kensington High Street - no street noise though! Spacious room, very clean and well presented. Mini bar very expensive but aren't they all!Friendly welcoming staff and excellent concierge. Lovely breakfast, everything you could possibly want in a calm and relaxed atmosphere.We ate in the hotel on the second night in the Park Terrace restaurant. The British menu shown to us at the front desk didn't really appeal but the menu shown once in the restaurant was quite varied, not expensive and excellent quality.Would thoroughly recommend this hotel, can be expensive (5*) but some good internet deals on offer if you search. Although not as centrally located as some hotels you are just a short walk from High Street Kensington tube station past some pretty good shops. There is a bus stop right outside the hotel with regular sevices. We took the bus to the theatre and back on the concierge recommendation and it was so much easier than the tube. A really enjoyable visit.	
Sep 28 2004	Perfect	The Royal Garden has been my husbands and my default hotel for business trips over the past four years and we have yet to be disappointed. You are treated like a celebrity from the moment that the doorman opens your cab door and you are whisked inside through the revolving glass door. One of the reasons I love this hotel so much is because while you have all of the benefits of a large hotel, it is more intimate than other large chain hotels. All of the concierge are great - case in point: my husband and I were to attend a black tie dinner and I had no idea how to tie a bow tie, the concierge volunteered to teach me how. I have never stayed below the 8th floor, but each of the rooms I have stayed in have a fantastic view of Kensington Garden, as well as Kensigton Palace. I also love how the rooms are split level, with an elevated sitting area next to the huge picture windows. Room service is prompt and has great &quot;all american&quot; and international snacks. Afternoon tea is beautiful in the small cafe next to the park(especially if its rainy and cold outside) - comfy sofas and great service(I actually had my first crumpet here) Breakfast is great as they offer a buffet, a menu, and will also make anything you want (I love bagels with lox and cream cheese, which are not on the menu, but they will make it for me every trip no questions asked) The bar is also nice, perfect for a quick business chat, or pre-dinner drink with friends. The spa is also decent, as they can always fit you in for an impromptu pedicure and is great for a work out(all kinds of classes including Pilates and Yoga), if you don't feel like jogging in Kensington Garden. The location is very good as well, right on High Street Kensington(affordable shopping) yet a quick ride away (he tube is a short walk down the High Street) from all of the major shopping and sight seeing. There are all kinds of quick bites around the hotel, and there's even a salsa club across the street. This hotel is definitly 5 star, but I can understand the mixed reviews. I personally love this hotel and I think it is a great 5 star, but it is not the Ritz with its club levels or the Crillon in Paris with its 14th century suites and views of Place d'Concorde (hence my rating of 4, and not 5.) However, when staying at the Royal Garden, one is also not paying the premium prices of these other hotels.	
Sep 9 2004	5 star?	I have been lucky to stay at the hotel,at the beginning of september.My room looked out over kensington high street but for this it was quiet.The room was nicely furnished,had a tv/cd/ dvd player,but when the tv was turned off you lost the clock,so makeing you have a wake up call.If you fancied a cup of tea or coffee in your room you couldn,t as it was an extra.The hotel had 6 lifts but you seem to be always waiting for one .The lifts only went to reception so if you wanted the gym or carparks you had to go outside and use the lifts there.One last point it would be nice to be offered a cooked veggie beakfast .All in all a nice hotel but could do better as it is a 5 star	
Aug 11 2004	Enjoyed our stay at the Royal Garden	On our recent trip to London this hotel was quite lovely. The room had a beautiful view of the park, the staff were very accomodating and the hotel's close proximity to the &quot;tube&quot; made it extremely convenient for sightseeing.	
Jul 16 2004	Wonderful Views		
Jul 7 2004	5 STAR HOTEL		
Jun 30 2004	tiny room		
Jun 5 2004	Best Hotel in London		
May 10 2004	What a great hotel		
Apr 27 2004	A tired hotel overpriced and overrated		
Mar 30 2004	A mixed bag		
Mar 15 2004	Worth Every Penny		
Sep 11 2003	Great Hotel		
Aug 25 2003	WOW!		
Mar 2 2009 	Trsè bel hotel moderne		
