	Simple hotel good location	Overall the hotel provided exactly what we needed - a base for a 2-day sighting seeing trip around London. The location was good since it was right near the Earl's Court Station that allowed us to get everywhere we wanted to go. Otherwise there was not much near the hotel.The room was actually bigger than anticipated. It was very basic though. Only negative was that the one women at the desk wasn't helpful at all with any of our questions. Would recommend for a basic sightseeing stay.	
Nov 5 2007 	Nice Hotel Great Location	This was my fist trip to London. I booked the hotel thru the website lastminutetravel.com. Upon arrival, the front desk could not find my reservation. I presented the voucher that I printed from the website. The hotel stored my luggage while they worked out the issue and I took a walk for about one hour in the neighborhood, which is exceptional. A coworker recommended Earl’s Court, which turned out to be spot on! Not only was the tube station right around the corner from the hotel, but also the main street, which has all the amenities that you would need (banks, restaurants, pubs, cafes…). Upon returning, they had the problem rectified and I checked into my room. The room was somewhat typical of other 3-star European hotels that I stayed at. The only issues I can recall is that the comforter on the bed had a rip in it, and the floors were somewhat creaky. Making for some distraction when trying to fall asleep at night, but it wasn’t completely awful by any means. I had my breakfast in the hotel almost every day, which was included in the price of the room. I took advantage of this since the exchange rate from US to GBP was 2:1 at the time (worse today). If I were to return I would consider this hotel again only because the price was right and the location was fantastic. However, I would also take a look at some other alternatives for a few more coins.	
Nov 2 2007 	Perfect location lovely room	I stayed in this hotel and I have to say, I was very surprised: room was very clean, breakfast was very good, staff was very helpful and friendly. Location wise it is brilliant, you can go around London easily and the underground is literally one minute walking distance from the hotel (district, circle and piccadilly line). I really suggest to book this hotel if you are looking for a nice, handy and not 5 star place to stay in London.	
Oct 24 2007	Don't stay here. Dirty Worn down smelly	Apart form location everything here is negative. I paid US$116 through hotwire. They rate it 3 star. It is not even 2 star. Small rooms. Mice in the lobby.Stay away from this hotel.	
Oct 14 2007 	Needs a renovation	We were happy with the location of this hotel. Quiet neighborhood at night, but just around the corner was a bustling street with great pubs, restaurants, markets, bus stop and a subway station.We had a room on the top floor. It was spacious but quite shabby. The floor was filthy with stains (We got the impression that the room was being cleaned, it was just aged), it squeaked horribly every step we took, the double bed was so small my 6ft tall husbands feet were hanging off the bed, the bathroom fan was noisy (it wouldn't turn off), and the shower water fluctuated from burning hot to icy cold while showering.Overall, it was a pretty sad condition for a hotel costing more than one hundred a night.	
Oct 11 2007	How many roaches?	The first night I noticed roaches in the bathroom. Went to front desk and asked to switch rooms. The manager on duty asked me &quot;How many roaches?&quot;......That question puzzled me because I typically sent a limit of zero in the number of roaches I wish to see in my hotel room	
Sep 28 2007 	loved this hotel	We stayed in this hotel for 5 nights this August and were very pleased with our accommodations. The room and the bathroom were very surprisingly large (considering that we paid 50 pounds per for twin room). Everything was very clean and we had all toiletries replaced as required. The only problem was that the room was on the first floor with the windows to the street, so it could be quite noise in the evening. I must say that we were so tired every day that it did not ruin our vacation. The location is very convenient: 2 mins to the subway and there are several fast food places around (a necessary when you are traveling with a teenager) plus a pharmacy, Marks and Spencer and some sit- down restaurants (we liked ZiZi). This hotel is also only 5-7 minutes to Marriot Kensington hotel from were most of the tour agencies can pick you up for day tours. Definitely will be staying there again.	
Sep 14 2007 	good hotel	Excellent location,right next to the tube. Had a twin room on the first floor. Check-in was excellent, Keycard entry to the rooms.The room was large. Beds were good,a very good hotel for what u pay,will be staying there again.	
Aug 29 2007 	"Staff" were awful	I stayed here thank GOD for only 1 night. I tried to check in early (9:30AM) and they said I would have to pay for one night's (the previous night) and the rate is USA dollar's, get this: $310 USD! IT WAS AWFUL. AVOID....AND on Expedia they rank this as a 3 star (NOT!) Expedia asked me to rate my stay, I CERTAINLY DID!!!!	
Aug 26 2007	Nice Option on a budget	A little worn around the edges but was quiet, clean and comfortable at an affortable price for London. Just around the corner from 2 Pubs(with food), tons of Restaurants(sit down and fast food), internet cafes (cheap long distance calls) a laundromat, a Marks and Spencer, a Boots, the Earl's Court Tube and numerous bustops(#74 is one I remember). Was upgraded from a twin room to a family room at no extra cost. Dan at the front deck was very helpful at check-in. Breakfast was very basic and dull but was included in the price and you could upgrade to a full English one if so desired. Would recommend this Hotel as a good Budget option with a great location near restaurants and the Tube.	
Aug 11 2007	Quiet and excellent loaction.	Stayed here 4 one week.Excellent location, less than 4 minutes from the tube. And located on a quiet street.Stayed in a twin room on the ground floor. Close to the dining room.Check-in was fast and efficient. Keycard entry to the rooms.The room was clean and of a good size. Beds were comfy and had clean sheets and duvets. The sheets had a couple holes in them and the pillows were rather flat and not firm at all.The room was tastefully decorated.There were tea/coffee facilites but the complimentary biscuits were not the freshest.There was a trousers press in the room and an iron and board was available at reception.Usual TV, with standard 5 channels with good reception and a working remote.The ensuite was big and clean, but only had a shower. The shower was powerful but drained very slowly, u ended standing in a pool. I reported the problem to reception and they sorted it.But then we noticed that it began to leak......we ended putting newspaper down to soak up the excess water. And on a few nights i saw small roaches. But i guess that was due to the fact of being so close to the kitchen and the leaking bathroom.There was body/shampoo provided.The first few nights were hot but in most hotels in london there was no AC or fans. But with the window open it was ok.We had complimentary continental breakfast in our deal (£67 pn)Included cereals,yogort,cheese,ham and fruits.Breakfast was run by the matre de, who ran a prompt and efficient service and the waitresses were aso very polite.Full english was available at £8.50.The lobby as nice and there was a large reception room, where u can watch tv, read the complimentary newspapers or magazines.Free wifi was available, which was fast.The hotel is located in an area, with restaurants/ ATMs/Pharmacy and every other shop u may need.I found the staff overall very helpful and polite. I misplaced my keycard on the last night....i came back in a 1130pm and it was replaced with out any hesitation.I left my brand new mobile phone in the room by mistake, went into london, when i came back the bed was made and my phone was placed on the bed for me.Because of the honesty of the staff and how polite they were, I am able to overlook the bathroom problems.....Nice comfy hotel, at a good price in an ideal loaction. Would stay here again.	
Jun 27 2007 	Spacious rooms and excellent location	Barkston Gardens Hotel is an old hotel situated only 1 minute from Earl's Court Tube Station. The location is unbeatable; the area is pleasant and safe and packed with nice restaurants (try the &quot;Little French Restaurant&quot; on Hogarth Rd nearby, they serve three course dinner for only £10), supermarkets and shops. The reception is very large and well maintained and so is the breakfast/dining room. Breakfast is buffet style and consists of tea/coffee, fruit juice, cerals, bread rolls, toast and marmalade/cheese/ham. Twin rooms are the largest I have experienced in London; I have visited this city at least 50 times and thus tried numerous hotels. Non-smoking rooms are situated on 4th floor but make sure to be very specific when asking for one, I did but upon arrival I was informed that they had missed my request. However, they managed to fix that after the first night. If you want a quiet room, ask for one facing the backyard. I have stayed at Barkston Gdns Hotel four times, both in summer and in winter, and will certainly return again. A big minus for the very worn plastic carpet in the bathrooms though. Staff is mostly efficient and helpful. Be careful at check-out however, if you are paying with a non-British credit card they will charge you in your local currency - at a not very good rate. Ask them to charge you in £ Sterling instead and save money.In all a decent hotel with excellent location. Don't hesitate to go there but don't expect it to be like Hilton.	
Jun 20 2007 	Smelly on the ground floor	Stayed from 17th-19th of June, booked on [--] and it looked reasonable. We were staying on the ground floor near the dining room, smelly smelly Smelly is all I can say about it. Perhaps they reserve these rooms for people like us who booked through a booking agency....No fan in the toilet so it got even more smelly quickly, the carpet was ill fitting (coming off the stairs) and worn. One of our party was all bites over her legs from the bed fleas.It has a good location and one could overlook the tattiness if it didn't smell, but for giving one of us a bad dose of bites, the Barkston Gardens gets one out of five. Don't stay here if you don't book direct!	
Jun 6 2007 	Great Location	I considered &quot;excellent&quot;, but we asked, when making our reservation, for two twin beds and got a double. Location was excellent - within 2 blocks a great place for breakfast, a post office, cash machine andbank. Underground also within 2 blocks. YOU KNOW WHAT THEY SAY: LOCATION, LOCATION, LOCATION!!! The room was 'interesting' to get to,sort of like a maze, but once there, the room was about as spacious as one gets in Europe. I would definitely stay there again. A Marks and Spencer was close by, too, for those who might want to buy food to go like fresh fruit cut in bite size pieces, or croissants, individual botted drinks, etc. Sort of a glorified 7-11 and much fresher food! My husband thought the bed was lousy, but I was OK withit. This hotel is definitely worth your consideration.	
Jun 5 2007 	Loved it	We stayed here for 5 nights in April on our honeymoon. We were pleasantly surprised after hearing some negative reviews. The room we were in (although the door wouldn't open all the way due to the bed being in the way) was clean and looked out onto the gardens - really made us feel like we were in London.The bathroom was massive and also really clean. Although the decor wasn't beautiful, I'm really fussy when it comes to cleanliness and sleeping in strange beds, but in this place I had no problem.There's also an internet downstairs in the bar which is free to use. Sometimes we'd have to wait, but not for long. The internet is quick to use and the room isn't too nosiy to use it in.One of the best things was the breakfast. The room is nice, and they give you a pot of coffee or tea along with a rack of toast. You can then eat cereal, croissants, cheeses, fruit, yoghurt, juice....there's plenty and it's done really nicely. It was our favourite breakfast in the whole of Europe.Also, as others have mentioned it's really close to Earls Court Station - it takes less than 2 minutes to walk. So if you come by plane, get the tube from the airport to Earls Court. It takes only half an hour and is much cheaper than paying for taxi. We loved it here. Don't go expecting a glamorous hotel, but if you want something clean, affordable and convenient then this is the place for you. We'd definitely go back.	
May 7 2007 	Good value	Adequate sized double room and en suite bathroom, if a little dated but clean and comfortable. Basic continental breakfast included in a good value for money package.Staff friendly and helpful and the hotel is in a very well served area for shops and restaurants and 2 minutes from the Underground station.The only downside was the incredibly creaky floorboards everywhere. If you cannot get a room on the top floor, just hope that the occupants above you weigh less than 6 stone and are not training for a marathon! Take earplugs if you are a light sleeper.	
May 3 2007 	Great Value for Money for a London Hotel	As others have said, the hotel is not outstanding, however it is a good price, clean (if rather well worn) and extremely well situated. When I stayed I was in a large twin room with views out over roof-tops (not over the garden). It was quiet and perfectly adequate for our needs. The staff were extremely friendly and there was plenty for breakfast (even if it does showcase the more stereotypical view of English food). You are right next to Earl's Court so on my upcoming trip to London for a show at Earl's Court I have chosen to stay there again. The price and location are difficult to beat.	
Apr 21 2007	Do not stay here!	I stayed at this property in April 2003 with my wife, son and brother in law and I am still angry. Do not stay here! It is advertised as a superior property and it is not. Nice location and good view of the park from the front of the hotel. Very poor value for the money. I was injured at the hotel and was denied medical attention by the manager on duty. Actually I was berated by the manager on duty. JS	
Apr 16 2007 	Over Rated	This is a run down hotel - don't be fooled by the pictures. Probably above average for the Earl's Court area , but not much else. Close to the tube stop. Worth spending more to get to Central London.	
Apr 16 2007 	absolutely fine	Stayed here for 2 nights on 13/4 and 14/4 with my girlfriend. We had a lovely big room on the third floor. I've never seen such a large, bright room in a London hotel! I paid 118 pounds for the whole stay inc. breakfast. The hotel had friendly staff, is in an excellent location, and was very quiet. There is a nice little bar and pleasantdining room serving a good breakfast. I was very worried by some of the bad reviews i'd read but I have nothing to complain about. I willstay here again and would recommend it to anyone, particularly room 509. Thanks to the hotel for a lovely weekend.	
Apr 6 2007 	Absolutely Disgusting	A health hazard. Stay here at you peril.I arrived at the hotel at seven in the morning (note that the postcode provided by the hotel is incorrect). Check in was at two in the afternoon, but the hotel had a secure storage room for me to store my luggage. This was the first of two good things about the hotel.When I came back in the afternoon I was booked into a twin share room in the basement (even though I had booked a single). To get to this room I had to walk past the dining area, through a set of double doors and down two flights of stairs. As I walked through the second of the double doors I got the shock of my life. The air stank of cigarette smell! Not only did it stink to high heaven, but it smelt like it had been around since World War Two! The smell continued all the way down into the basement and into my room.The room was surprisingly large - too large really for my needs. The sheets in the beds were clean, but I'd say the bedcovers were well and truly due for their yearly bath. The bathroom was adequate. All in all I'd say the state of the room was reasonable, but this doesn't mean much if you can't breath!After spending the last forty-something hours in transit from country Australia and then walking around London, I did not have the energy to complain. I collapsed and woke up six hours later choking and wheezing from the cigarette fumes. I tried to get more sleep but it was impossible.I spent the next couple of days snorting black soot out of my nose. After washing my clothes a couple of times I still couldn't get the smell out of them.The second of the good thing about the hotel was the breakfast. The service and the food were excellent - not enough to get me through the front door again though. Stay at the York Hotel instead.	
Mar 30 2007	Really good value for money	This hotel is a perfect place if you are looking for a lower budget but still decent. I suspect some of the negative reviews are written by people that are or competition or have no idea what you can get for different price-levels in London.The location on a side street of Earl's Court road and 2 min form Earl's Court tube station is excellent. The area is really nice with lot's of restaurants at all price-levels and food types and also nicepubs (I went yesterday to the Blackbird which is round the corner) with mixed public but a lot of trendy people, young professionals let's say.Then the staff is very friendly. They have loads of adapters so you can connect your stuff to the UK mains system. Instead of charging you 25$ a day (which they did once to us in Hilton LAX) they ask you a deposit of 10 pounds that you get back when you return it. A half pint beer costs only 1.50 pounds.The wireless access if you have a laptop, or the available workstation is fantastic. I am here on business and I am working all day here looking out on the garden, which is in front of the building, accross the street, not on the back.My room was good, clean, the bed very comfortable, the shower with lot's of hot water. Of course, for this price (I paid 57 pounds incl. breakfast) the furniture is not supernice design or supernew, but it works and it is clean. What else do you need? The room even has a press to press your pants.Next time when I stay in London for business I definitely come back.	
Dec 27 2006 	Overall not bad - some rooms nicer than others!	My friends and I stayed here on 2 separate occasions (during 1 week), and each time we had 2 rooms. So we saw 4 different rooms altogether, and I can tell you that your satisfaction will depend largely on the room you're assigned! It's a very oddly shaped building (or conglomeration of buildings), and some rooms are much roomier and easier to get to than others. Overall the place was clean, pleasant and well located. Don't stay here on your honeymoon, but it's a good base if you're planning to spend your days sightseeing. Yes, it smelled of smoke, but so does everything in Europe; the interiors were shabby, but again, that's Europe. And the free wireless in the lobby/bar area was a very nice perk. In our experience, the rooms with one double bed were much nicer than the rooms with 2 single beds, so keep that in mind if you're traveling with someone you don't mind sharing a bed with!	
Nov 14 2006 	The poorest hotel I have ever stayed in.	Suggested by Travel agent in Australia and we are reporting back to them not to use Barkston Gardens for future bookings. We had the most run down room, broken bedside lamps, and old shabby dusty overhead drapping/swag, lumpy old disgusting mattress and pillows, ill fitting drapes on the windows. My husband slept on the floor for three nights of the week we were booked in, we requested to the Manager for another room with single beds and he said the whole of the hotel was booked out and to ask again in the morning which we did, not to him as he was not there but to his second in charge and was told there were three twin rooms not booked by anybody and we would have to talk to him later which we did and again he insisted this time that because it was a booking through the travel agent in Australia that we could not change the booking even though my husband was very willing to pay any extras, we were not looking for refunds just an enjoyable and restfull time in London. And I will not be recommending any of our friends or those who read this to stay there.	
Nov 10 2006 	I second what a dump!	Warning do not go here! This hotel was a complete disappointment. The only plus is the one other reviewers have mentioned in that it's close to the tube. The room was bigger than those in Europe and bathroom was quite large.. We stayed on the fourth floor and it needs a re-do. Did not want to touch anything, the bedspreads, curtains, carpet and chairs were filthy and very worn out. The windows don't close all the way letting in cold air, it got so cold I asked the desk how we turn on the radiator in room, he said you don't, but gave me a small room heater. Doesn't look anything like the picture, picture makes it look like it's out in the country away from things, it is not and there seemed to be alot of traffic noise for having a small park across the street from it. Have pic showing park just outside of hotel	
Nov 4 2006 	What a Dump	What a Dump! I was booked there for four nights at the end of October thru Brit Air. The room was reeking of mold and had rotten spots in the floorboards. The whole bathroom and especially the shower was festooned with mold. The desk people were surly and unresponsive and made no effort to at least get the mold neutralized in the bathroom and would not provide an alternate room. Maybe they don't like Brit Air customers- London hotel rooms are rarely a good value compared to any first world country but this room and hotel don't even qualify as third world. What a Dump! I see this hotel belongs to the Cairn group and if this is an example of their management competence, all their hotels should be avoided.	
Nov 1 2006 	What's the fuss all about?	I booked a single en suite with continental breakfast for 65 pounds/night via venere.com. My room was great--clean, decent bed, and had a kettle and complimentary tea/coffe/cookies. The front desk was kind enough to bring me an electric heater when I called down--the heat isn't on this early in the season, and I'm from California so I have zero tolerance for cold! The staff was helpful, the hotel was clean and inviting. I couldn't have picked a more convienient location--close to Earl's Court tube station, food stores, a small grocery, and several pubs. I'd definitely stay there again, and would encourage friends to do so also.	
Oct 5 2006 	Basic but good hotel	I have stayed at the Barkston Gardens Hotel a few times now. The main reason being that is a two minute walk to Earls' Court Underground station which connects you onto the district line and piccadily line - great for eating and shopping in Covent Garden or going to see a show - ie Phantom of the Opera.The staff are very friendly - for example my flight was delayed and then travelled up from gatwick airport and there were queues everywhere, i arrived at the hotel at 11am and asked if i could leave my luggage only to be told that my room was ready of me to check in to! Breakfast is also good. The restaurant serves beautiful food, only thing is it is nearly always empty and sometimes it is a long wait - but worth it.I would agree that the hotel needs redecorated and new bathrooms, but when you pay £45 - 55 for a room in london you can't really compain.I would recommend the hotel to people on budget and want it as base for a trip to London.	
Sep 25 2006 	Glad there are mixed reviews!!!	We just got back from staying in London for 3 nights. We stayed at another hotel on the same street back in May, so I could compare. We paid 9 pounds more at this hotel (79 pounds for a twin - 2 people). I was worried when I found out that my son and I would be in a lower level (basement) room...but after going through several &quot;Fawlty Tower&quot; hallways and firedoors, we found the stair way down to our room. The room was better than I had anticipated on our way down. It was spacious, reasonable light and ventilization, although there wasn't a window in the bathroom. The bathroom and the bedroom were both in good repair. The TV was pretty small...but that's not why we travelled to London. And location...Earl's Court is a terrific compromise between price and convenience. I was concerned about writing too positive of a review, because I know that we will probably return, and I didn't want the hotel to raise their rates! I guess it really comes down to the room you are assigned. And fortunately, we won out this time!	
Sep 22 2006 	I have to question everyone who liked it	I stayed in this hotel a few years ago and it was a dump. There is no other way to describe it. I was in London for a few days and I changed right away and learned immediately that when it comes to hotels, the terms, Nice, affordable and London or even adequate, affordable and London are oxymorons. Anyway, the Barkston Terrace by any criteria was a dump. When people describe this as great, I have to question their judgment. How do I describe a dump, well, the creaky floors, the window that opened up to some grimy backstreet, an ugly carpet that didn't mask the creaking, a window that had to be forced open and held open by a stick, the tininess of the room, I mean, I could go on and on. I find these places insulting except that they are all like this, I have yet to find an affordable, nice room of a decent size in London. Also the service was totally indifferent: I called the UK expedia number to change the hotel and it cost me eleven pounds, even though it was a local number.Who knows, maybe its better now, although I doubt it.	
Sep 14 2006	Stay somewhere else	The only plus with this hotel is the location. It is only 2 mins walk to the Earl's Court underground station.The room we stayed was horrible. -Transparent (sheer) curtain on bathroom window (the window is big and facing the bathtub. I have to get undress/dress behind the shower curtain, standing inside the bathtub).-Extremely noisy. People yelling from the street (I dont think it is a good neighborhood) and you can always hear sirens from police car early morning and late night. You can also hear truck coming to pick-up trash in the morning.-Paint in the bathroom is peeling off-Wallpaper in the room is peeling off-Big stain on blanket-Rotten wood window frame-Dirty carpet-Dusty hair blow dryerOne thing we found funny is the mirror. It was cut from a big mirror (you can tell from the design and the cutting) and put in a picture frame. Another room probably have the other half.	
Sep 7 2006 	Location location	If you want a cheap clean hotel in central London this is the place for you. The hotel is just around the corner from Earl's Court underground station, in a very quiet side street overlooking a park. With Earl's Court providing direct lines to Heathrow airport and all the sights of London it is an ideal base for a few days sightseeing.The hotel itself is basic but clean, with very friendly, helpful staff. They provide free wireless internet in the foyer and the breakfast is above average. All in alll a great place to stay in central London for the budget conscious traveller.	
Aug 29 2006 	Great value	Stayed here over Bank Holiday weekend as I was attending a course. Booked through the hotel's good website the day before I checked in and got a good rate of £57 a night.I was impressed with my room. As it was just me, and the room stated single, I wasn't expecting much. Had a comfortable double bed, tv, hairdryer, kettle, coffee, tea, desk, comfy chair, and a spacious bathroom with an incredibly powerful shower.Most impressive was the high ceiling, which sounds silly but makes the rooms seem so much bigger. And judging by a fire evacuation map, my room was one of the smallest.Maid service was great, check in was Ok, not great but no problems. Breakfast fine, no frills but for the price no complaints. Best of all - location! 1min walk to Earls Court tube which is on the Picc and District lines, so it's very easy to get anywhere. And loads of shops and restaurants on your doorstep - tesco, boots, all the fast foods, pubs etc. The hotel is just off a busy main road, and opposite a quiet garden. There is a bit of noise, but not at night, and remember, this is central london!I had a great stay, and would recommend this hotel to budget-conscious people who don't want to compromise on comfort.	
Aug 20 2006	Good value for London	We stayed at the Barkston Gardens in the Earl's Court section of London, the last week of July 2006.I had read many reveiws both on TripAdvisor and other places, so did not have any great preconceived notions. It is a fairly basic hotel. Right around the corner from the Underground, and very convenient to many shops and restaurants. The hotel itself is nothing really special, but, by London standards was more than adequate. We were there during a heat wave, and there is no air conditioning. I knew this going in, and, had taken the time to email the hotel several months in advance, specifically requesting a fan. When we first checked in, we were told there was no way to guarantee a fan until the morning when people checked out, so the maids could find one and bring it to us. The first room we were given was a smoking room, without a fan, and quite small. We switched to another 9non-smoking) room, which was somewhat larger and had a fan - although it was basically ineffectual, but, better than none at all.The bed was full size, and okay. The room was equipped with an electric tea kettle, but the instant coffee was awful. The tea was fine. The bathroom was very roomy, but oddly, had a half glass shower &quot;curtain&quot;. I was with my husband, but, if you are modest about showering, it is a bit odd, not to mention water got all over the floor. The shower pressure was great.The hotel has a breakfast, which was good, and a small bar with one computer with internet access. They also have free wireless in the common areas too. The TV in the room only got a few stations, but, we didn't really care. Overall, it was very convenient, and served our purposes fine. With everything so expensive in London, we preferred to spend our money on our experiences, and dinners, rather than a lavish hotel. I would reccomend this hotel to other travelers. It's a good value for the money.	
Aug 13 2006	What a location	I would like to start off by stating my girlfriend and i traveled all throughout europe and stayed at many different locations If you follow my user idea you will be able to figure out our trip and you could use this as a guideline for yourself. We did tons of research and used all the sites to make our choices. I hope this review helps.The Barkston Gardens hotel is a few short minute walk from the Earls Court train station, which is a train station with many different train lines running right through it. The location is wonderful and in a great area where you will find many bars and many places where you will be able to find fresh fruit, bread and basic nessaities. Now for the hotel, the staff was very friendly and were eager to help out with directions throughout the city. Our room was clean (but we did find an unused condom wrapper under the bed, it would be hard for cleaning staff to reach or see it but it was still found) and the washroom meet all basic needs. Our room was small and only had windows that opened and a small personal size fan. NO AIR in this one, but as long as your not there for a heat wave you should be fine, london is cool (23c) most of the time anyhow. We think the room we had was a 1 person room. Overall i would stay there again but only for a few nights, we found that hotels that were cheaper but more out of the way had more extras, like ac and bigger rooms.PS. Our flight arrived in london at 9am and reached the hotel at 11, we asked if there was a room to store our things while our room was being preparied. They placed our bags in an easy access room which made us feel alittle uneasy but the staff reinsured us that the bags will be fine. Nothing happened to the bags but just wanted to state this just incase you are in our shoes and plan to arrive before the check in	
Jul 25 2006	A good experience	We stayed at the Barkston Gardens in Kensington, London at the beginning of June 2006. Apart from the rather unfriendly frontdesk staff, it was a good experience. Our room was clean, the size adequate, and the overall impression fine. We can recommend this hotel to anyone looking for a conveniently situated (minutes from Earl's Court station) hotel at affordable rates.M de Villiers, South Africa	
Jul 5 2006	Great locationQuaint and Quiet	Went to London for Wimbledon tennis but did not want to stay too near to it though.Train came in at Euston and it was so easy to use the tube stations. Arrived at Earl's Court tube and Barkston Gardens Hotel was across the road and turn left. Did not have to travel far to find it. A pleasant Hotel, very quaint and quiet. Room was big enough.Tea and coffee facilities on hand. Choice of complimentary continental breakfast or English for a couple of pounds more. Bed was very comfortable. Room was hot no air-con but they do have a fan in the room which was good. It is probably not usually this hot in England, so it would probably be ok any other time of the year but we did go in between the 5 day heatwave that they had. It was in the 30's. Just got back to the North of England to find that tennis is called off because of rain. Staff where very friendly and at our request they let us put our coolpacks in the freezer overnight. Hotel very close to Restaurants and other eateries. Also foodstores and an open 24hr Tesco. Would stop at this Hotel again.	
Jul 4 2006	Convenient location but disappointing hotel	We stayed at this hotel for two nights as we were going to watch the tennis at Wimbledon. The location is great in terms of convenience for the tube and proximity of restaurants and shops (ie Boots, M&amp;S, Somerfield) However the hotel itself was disappointing. It was really quite tatty and the cleanliness of the room left a lot to be desired, especially in the bathroom. We were also surprised to find that dinner and room service stopped being served at 9.30pm. The staff weren't overly helpful either. Our room was also very hot and noisy at night but that's to be expected in London during the summer. Overall this hotel was fine as a base in which to sleep and shower and we were glad to be so near to Earl's Court Tube Station but it is let down by its shabby appearence, lack of cleanliness and heat and noise levels.	
Jun 29 2006	Excellent location and very quiet	My wife and I stayed at this hotel for two nights in early June 2006. The location, as others have commented, is good and convenient if you travels around by the Underground. The room and washroom are clean and the space is adequate for us. But my room (X08, not facing the garden) is really hot, especially in the afternoon. Opening the window widely (all day long) did not help much, and I think it is the major problem (well, in this room you can see the sunset). Remember that the room is not air-conditioned. Some of the staff were helpful but others were just okay.	
May 18 2006	Perfect jumping off point for touring London	After reading some of the more recent reviews here, I decided to book a room in this hotel for my 3 days of sightseeing around London. I booked directly through the hotel's Web site and got a really good deal that included the continental breakfast (which is nothing impressive but definitely enough food &amp; choices to take you through to lunch). My room was a small single - plenty of room for me and my luggage - with a nice roomy bathroom. It was cheery, clean, and comfortable, but I did lose all hot water during my last shower. My theory is that you may be better off showering at night, opposite of most guests, probably, so there may be more hot water available. My room was very, very warm, so I left the window open day &amp; night, and the problem was solved. I was fortunate that it hardly rained at all - not sure that solution would have worked if rain was being blown in. It's as quiet as everyone else said, so no traffic or people noise to wake you up when the window's open. The garden view is so pretty. It's ridiculously close to Earl's Court tube station - couldn't be more convenient. And that Marks &amp; Spencer Simply Food market a block away came in handy many times! Staff were very friendly and helpful. There's a computer with Internet access in a room off the lobby but it's usually busy - but there's also a McDonald's (ugh, I know!) with an Internet cafe attached on the way to the tube stop. I recommend this hotel as a comfortable, affordable tourist-class hotel. Not many frills but a lot of charm and a very nice neighborhood.	
Apr 1 2006	Good value but nothing exciting.	This hotel had a great location and was a good value for the money. The room was small and a bit worn, but clean. Breakfast was good and the staff were polite and helpful. If you're budget-conscious and don't plan to spend a LOT of time hanging around your hotel, the Barkston Gardens is a fine place to stay if you get a reasonable price.	
Feb 20 2006	Fine hotel 	This hotel was in a very nice neighbourhood, close to bookstore and drugstores. It was a bit out of the way for me, but I would recommend it if the location is good for you. Very brightly painted walls!	
Dec 22 2005	Barkston Gardens--Okay for Budget Travelers	My room was very small, but considering it was just me, it was no big deal. Comfortable bed, bathroom and shower in the room, desk, television, phone, and room service (for an additional cost). Breakfast was included in the price of the room and it was very good. The service was okay. The hotel is located two minutes from the Earl's Court tube station, which is a plus. It's not the Ritz, but good for budget travelers.	
Oct 20 2005	good customer serviceold hotelnasty bathroom	i was in london on summer vacation from august 3rd to the 8th.I decided to go to the barkston hotel because it came up as a three star hotel when i looked on line.I noticed that they have a very good customer service..however the rooms are small and too ugly.There was something wrong with the bathroom..the hot water does not mix with the cold water which makes it really hard to take a shower.You get one side of the tap pouring out water as hot as hell and the otherside of the same tap with cold water.The hotel has a nice location but they need to do a whole lot of renovation.	
Oct 19 2005	Decent great location	I stay in London often. You have to understand the baseline hotel there is way below most places. But over the last few years they seem to be trying to improve. The Barkston is one example. This hotel has free wireless access and hair dryers. There is someone at the desk 24 hours. The breakfast room is large and clean. The breakfast is plenty to eat, with croissants, cheese, ham, yogurt, and canned fruit. A full cooked breakfast is 2 GBP more. The rooms are en suite, and there is a lift. About half the rooms are large. Ask for Room 405, which is a large twin with a full bath. Some of the rooms on the first floor are very noisy. Weekdays are downright cheap at about 58 GBP; weekends are a lot more. The Earl's Court location is the absolute best, as you can catch the Circle, District, or Picadilly lines. The tube from Heathrow goes direct for 2.40 and takes 30 minutes. There are three good pubs, an M &amp; S Food Only shop, and a wine shop within 50 yards. All in all, not a bad place to stay.	
Sep 19 2005	Good for the price	I booked online at a good price, and for the room and location got a good deal. The room was a single en-suite and was quite a good size. But this hotel is still in an old shape...creaky floorboards, a bit aged decor... etc you get the picture. The location is great...just around the corner from the tube stop. My room looked out on the gardens which was nice. I think I was on the top floor and if it had been a sweltering day I woul dhave had a problem without air conditioning. Oh and the lift would take ages to come.	
Jun 2 2005	Gret Value for Money	Stayed at the Barkstone Gardens Hotel after attending a concert at Earls Court....what a great idea as 10,000 people tried to cram onto the tube afterwards. Id read other reviews of on TripAdvisor and wasnt disappointed. Location wise its 200m from the underground and 5-10mins walk from Earls Court exhibition centre on a relatively quiet tree lined square. True its not the flashest of places, especially in the public areas - the carpet was a little worn and some of the paint could have done with attention, but the room was relatively modern, clean, quiet, comfortable and very large for central London. Whats more it comes with duvets on the bed and a television, trouser press, hairdryer and TV that all work! At £59 for a double on a laterooms I think the place was a bargain. I think the full price is £105 which in itself isnt unreasonable if you have cause to be in this part of London. Earls Court has so many &quot;dumps&quot; where you get ripped off that I think the Barkstone Gardens is a real find and wouldnt hesitate to stay here again.	
