	Pleasantly Suprised !	Stayed here while attending the ATP Tennis Finals at the O2 Arena. I booked the hotel for economy and practical reasons to be near our digs when leaving the o2 late at night.After booking ......I then turned to Trip Advisor (!!! Not the way its supposed to work ...read reviews then book !!) Half the reviews hated the place the other half satisified .We where pleasantly suprised , expecting the worst the hotel was well located and safe , front staff polite and helpfull.Room basic but definately clean ...especially the bathroom.Will use again .	
Aug 7 2007 	Not bad	We stayed here for one night as we were going to the &quot;Prince&quot; concert in the O2 arena. Someone had moved the only sign on the sign post so we found it hard to find from the DLR station .Cross the bridge and go around the small dock and stay right . The Road noise from our room was dreadful (3rd floor room) constant sirens from emergency vehicles throughout the night. No food after 10pm but they will let you order in from the local pizza shop. No air conditioning in the room so prepare to sweat during the summer. The voice in the lift is very loud. TV only has about 6 stations. The bed was well used so it was like sleeping on a water bed. The shower controls were pushed into the wall general decor in the bathroom was tatty not up to Travel lodges usual standard.	
Jul 22 2007	Great place to stay	This hotel is the perfect place to stay. You are near London, but you are out of the hussle and bussle of the city.The hotel is new, clean and the rooms are excellent value for money - our room was twice the size of our Paris hotel room and half the price!The staff are friendly and helpful, and helped us a lot when working out stuff for the tube/things to do in the city, etc.They offer a really great breakfast, too, for only 7 pounds with everything you could ask for.It is also easy to get to, just a quick ride from the tube on the Docklands Light Rail to East India station and an easy 5 minute walk from the station. I would definitely recommend this hotel to people who want to stay in a clean, cheap and friendly hotel in London - not easy to find unless you are willing to fork out big bucks, usually!We will definitely stay here again!	
Jun 19 2007 	Loved it but its hot.	We stayed here for one night in April. Lovely and clean and the staff were very friendly. It does get hot though thats the only downside. Not far from the Docklands light railway which is about a 20 min ride into central london. The only thing you need to remember to have is lots of change for the ticket machine as there is no one to help you purchase your tickets and the machine can be hard to understand. We are staying again next year so for the money its definatley worth it.	
May 12 2007	Nothing special - nothing bad	Stayed here 2 nights last month and made the mistake of not having directions to the hotel. Well, the directions we got from the previous Travelodge were to get out at Canning Town (Wrong!). Luckily a woman on East India station (right) was able to point out which direction to walk and it turned out to be fairly close by. I say 'luckily' because there wasn't another person in view! The place was deserted on a weekend.Despite being early for check in we were immediately given a ground floor room overlooking the carpark. When we notified them the TV wouldn't work (and I really wanted one because of the hotel's location) we were moved up to the first floor overlooking the BUSY road. When I first walked in the room I thought I could hear air conditioning, but it was the traffic noise. Being on the first floor we got the full blast of the noise but if you keep the window closed you can keep most of it out. The more annoying noises I heard came from staff and guests walking along the hall.There are 2 computers in the Reception area for guests' use - but be quick because it was 1 pound for 15 minutes.One memory I have of this hotel is the 'voice' in the lift. I mean the one that says 'first floor' etc. It was the loudest lift voice I have ever heard and shocked me every time.I had no problems with towels, cleanliness etc, I didn't use the Hotel bar or breakfast. Because of its remote (from shops) location you will need to bring any food in with you if you're trying to keep to a holiday budget, although there is a snack machine in Reception area.Because of the office block construction going on around the hotel there were lots of work vehicles on Monday morning and I suspect the hotel might be renting out the parking spaces to construction workers.The place has nil atmosphere but If you are able to get a good price here, take it - I'd stay here again.	
May 2 2007 	Bring your ear plugs !	Very noisey !We stayed at the Travelodge London Docklands for 4 nights but didn´t sleep any of them ! The walls are paper thin so we able to hear everything from the ajoining rooms, but the worst was a group of German school kids who talked most of the night to each other in the corridors and open and closed their room doors non stop from 7 am. We naturally complained- but nothing happened. I suggested that they put a large sign in the elevator and a flyer in each room requesting (or better demanding) quiet between 10 pm. and 10 am. Not everybody gets up at the crack of dawn, when on holiday we like a bit of a lay in and considering we paid top dollar we expected that would be the case. Apart from that the room was very basic, clean but lacking some decoration- guess you get what you pay for er?	
Apr 11 2007 	1st class stay	I cannot praise this hotel high enough.I went with my wife for two days,we had tickets for a London show and i managed to get one of their £26 a night deals for the night i needed. For the money you get a nice clean confortable room,our room overlooked the car park with a view across to Canary Wharf.There is secure parking (for £5 a day).The bar cafe serves food into the evening (nothing posh but fills the tummy). The Docklands light railway is close by , there was a restricted service over the Easter weekend so i didn't use it,we instead used the Underground.Canning Town station is a 500mtre walk away and is on the District line. We even walked into central London through Canary Wharf and along the Thames Path.There are plenty of shops / restaurants at Canary Wharf,You can make use of the DLR / taxi / or walk a mile and a half. All of the staff we found polite and helpful.We took the eat as much as you like breakfast for £7.50 , so we could fill up and not need anything else till the evening. If your looking for something for a weekend in London at a price that cannot be beaten then look no further,if you want to spend £100 plus on something very similar then look elsewhere. We have booked several more Travelodge's for trips later in the year and wont hesitate to return to Docklands for another weekend in London.	
Mar 7 2007 	Perfect for an overnight stay if working/partying late	Needed a place to stay the night following some work drinks and opted for Travelodge. Paid £49 even though only booked a few days in advance.Room was fine, nothing spectacular but clean with large bed. Location is ok with a DLR station just down the road meaning access to Canary Wharf or Bank is straightforward. Would stay again.	
Feb 23 2007 	Brilliant!	Spent 2 night here over half term with my two teenage sons and elderly parents. Phoned day before arrival to request rooms overlooking car park ( quiet side) which was no problem. Staff were polite, friendly and welcoming which is not always the case with some Travelodges! Rooms were spotless and smelt fresh with plenty of bedding/towels etc.Location wise, this hotel is perfect. A 3 minute walk to the DLR station which takes you right to the Tower Of London, with a tube station 100yds away. As the hotel is set in an office park it is very quiet in the evening, but after a hard day in the hustle and bustle of London streets it is welcome. We stayed at the bargain price of £26 per room per night, and will definately stay again.	
Feb 15 2007 	New Year In Docklands	Spent New Year in London and needed something based on the east side of the city. I was originally booked in somewhere (sleeping beautty leyton review) but had to get out asap. Luckily they had rooms available here for about 65.00 a night for a double room which for a weekend and new years eve i didnt think was too bad,Rooms were smallish in size but ample and as usual now there is no treats, one towel, one pillow each basic television no iron no hairdryer. I did need both of these as my other hotel had them and when asking at reception to borrow them i was told there was approx a 2 hour wait!Room was clean staff were friendly although the kitchen had a problem when we was there so you could only really get a sandwich.None of the vending machines worked so when bar was shut no soft drinks could be got. Location was about 10 mins walk from the dlr and a pleasent journey into the city and to canary wharf which is a must to go to !All in all an enjoyable stay basic but clean and affordable	
Jan 10 2007 	A few problems but a bargain for all that!	We stayed in the Travelodge Docklands from Dec 27 to Jan 8. I recommend it because it was cheap, basic accommodation (which was all we needed) and because of its accessibility to transit. the positives:We had two rooms, a double for £26 a night and a family room for £56 a night. Can't beat that for London. Both rooms were decent sized rooms (and bigger than rooms in a certain London Hilton according to my husband who has stayed there on business).The hotel was clean, and the bar/restaurant downstairs was convenient. It's standard fare but they serve a fairly good meal if you aren't expecting haute cuisine. The kids liked it as well which was a definite plus.The front desk staff were extremely helpful - we arrived several hours before check-in, exhausted after the usual all-night flight, and were given our rooms immediately on arrival which I really appreciated. Big (2' x 5'!) towels in the bathroom!The hotel is a short, few minutes walk to the Docklands Light Railway which connects to the Underground. It was close and convenient.There is a small but excellent grocery store just on the other side of the DLR, convenient for anyone wanting to pick up late night snacks or (wonderful!) pastries &amp; juice for in-room breakfasts. the negatives:We had a difficult time getting the housekeeping staff to clean the rooms &amp; in particular the bathrooms every day, probably because we tended to leave later on in the morning and they didn't think to go back and do them. I had to go down 4 days in a row to complain that they hadn't been done. Apparently the hotel ran out of toilet paper!! Perhaps that's why the maids hardly ever replaced the empty toilet rolls. One day the maid left us with 1/4 of a small roll to share between 3 people. I had to go down several times to request more toilet paper and met other guests doing the same thing but the front desk staff were always apologetic and gave us as much as we asked for.No phone calls to the rooms from outside the hotel. We desperately needed to contact our son in the room once while we were out and were told that because it was a budget hotel it was not possible to have the call transferred to the room. This meant that one of our party had to go all the way back to the hotel which was a real pain in the butt. Noise from the roadway if you have a room on that side of the hotel might keep some awake though ear plugs did the trick for us.Bottom line: We all agreed that even though there were problems we would be happy to return to this hotel. This hotel is particularly recommended for families or anyone who needs to keep a strict eye on the budget. You'll get a clean, comfortable bed with own bath/shower (depending on if you have a dbl or family room) in a no frills hotel. (I'd rather spend my money on fun stuff!)	
Jan 1 2007 	great value great location for exploring london	We stayed here for 2 nights with friends to celebrate the new year in London, we payed the cost of £26.00 per room per night, which i think is fantastic price, this lodge is only about a 4 minute walk to Londons Docklands railway which takes you straight into Central london.The hotel was very clean, we did phone the day before as we had been warned about trying to stay in a room the car park side, other wise your room over looks the A13!!!!!!! which can be vey noisy.. our room was top floor on the car park side, which was very quiet, cannot fault this lodge, excellent value for money.Would definately stay again when visiting London.	
Dec 12 2006 	Bargain-tastic!	Stayed for one night, a nice double room cost us £26, which was a bargain. Twice as much would have been fair for what was a clean, tidy hotel with comfy beds and great access to London. I think that some reviews are very unrealistic and unfair - so you only get 5 TV channels - you're paying peanuts, what do you expect?! The room was spacious enough, and basically, this is the kind of place you have as a base, rather than as a hotel experience.Service was friendly and the connection to London is fast and cheap. I wouldn't want to stay in the summer though - the roads nearby are noisy most of the time.	
Nov 14 2006 	Great place to explore London from!	We spent 3 nights at this hotel on a bargain £26 offer - and it was a great base for exploring! The East India DLR stop is 5 minutes walk (and through an ok area so you would be happy walking on your own) - purchase a travel card and then it is very easy to explore all of London.The hotel is a huge impersonal place, but clean and efficient - with a bar/cafe so you are able to eat and drink on site if you choose. It is children friendly too. The rooms are your basic Travelodge style - so clean and spacious enough with all necessities but no extras. Parking is available for £5 per night too.All in all, we would definitely recommend this hotel for an easy stay in London!	
Nov 13 2006 	Cheap but grubby	This hotel seems to share a theme with other travelodges. It's dirty and run down. While the price was good, I worried about my health because evrything was just not clean. This included the rooms, the corridors, the crockery and the cutlery. As it's in the middle of nowhere (lots of office buildings, pretty, but not exciting when closed) it is useful they have a sort of restaurant, but the food is basic and adequate rather than anything else. The bar is pretty much the same with no draught beer, only Cans and bottles. Front desk staff friendly and helpful, but in the bar / restaurant some struggled with English. No problem to get to central London (on the edge of zone 2 on the DLR) but nothing really around it, apart from the Dome across the river.	
Nov 9 2006 	Good Value 	Stayed here for 2 nights with 9 others as down from Scotland on Stag weekend. We booked it because it was only 26 pound per room per night.Rooms were very clean and comfy bed also pull out sofa bed. Plenty BIG towels and excellent shower. Only downside to room was it was on the same side as a busy road and from 6.30ish onwards the noise is quiet bad. (all the other guys were on car park side and said it was silent). Ask for car park side room...Had a few drinks in the bar/restaurant on saturday night before going out was really nice and reasonable priced.. Staff all very helpful although maid trying to get in room at nine o clock is not the best..2 minute walk to docklands railway which takes you in to central London which is fine.We got taxis back one night from west end it cost 25 pound in taxi..OVERALL a wee bit far out for me but good value for money&gt;&gt;&gt;	
Nov 4 2006	A Great London experience	I found the hotel comfortable for our needs. When staying in London and out and about all day what more do you want than a comfortable bed clean sheets and towels and friendly staff. Before booking I read other peoples reviews. All I can say is if you want 5 star accomdation pay for it you wont get that here but it is clean and comfortable and easy access to buses and the light rail. We stayed here 7 nights. Valerie Australia	
Oct 21 2006 	Perfectly acceptable	Stayed here on one of the Travelodges special deals. Was well worh the £26. Room was clean and a good size. Location was only a couple of minutes away from the DLR which took you straight into the City. The bar was ok and not overpriced. All perfectly good. Ask for a room overlooking the car park. Its very quiet. Would stay again for the price. It was better than some more expensive 4 star hotels I have stayed in.	
Oct 13 2006 	Average	We stayed for two nights at the travelodge in Docklands. The area around the hotel is busy during the day but empty on a night - with the exception of East India Dock Road which is constantly busy. Since the road runs behind the hotel the traffic noise is offputing and made if difficult to sleep. The area around the hotel is well lit and generally quiet - so returning late isn't a problem.Whilst the staff were helpful, the bed was broken and the room needed cleaning. Although the towels and bed linen were clean. On the second night we only received one towel - which was slightly bemusing as they left two of everything else.The hotel is a short distance from the East India station on the Docklands Light Railway which has direct links to the tower and bank underground stations. Overall the hotel is adequate - we booked a £26 a night deal but wouldn't have wanted to pay more!	
Oct 8 2006 	Yuck!!!	If all you want is a comfy bed, walking distance to the light rail and to eat in the hotel cafe for under 60 pound a night this is for you. It's definitely not my cup of tea. Business travellers stay clear.Staff not helpful. No in room facilities. Can't get phone calls transfered to your room if family need you. Can only dial out if you're prepared to put 30p connect fee and 20p per minute on your credit card. No facility for internet connection unless you pay even more for the connect time. 5 Pound an hourwireless internet. No guest services (can't dial room to room, no laundry services). Smelly heating (smeell's like someone left their wig in the heater. Nothing worth looking/eating at within an easy walk of the place. No free parking except for the first 20 minutes (which wasn't enough time to check in and unload the hire car.By the way, don't try return your hire car to London City Airport ...booked a car in Edinburgh for a day (5pm to 5pm). Went to the airport at 5pm Saturday only to find it had CLOSED for the day at 12:30pm. 20 pounds of phone calls (plural) to a call centre in Barcelona before we hammered on the door of the terminal and handed over the car keys to a very unhappy security guard.	
Oct 6 2006 	Average	We stayed here for 3 nights in July. We paid £10 for the room for 2 nights and more for a third night. Considering how cheap it was, it served its purpose well. It's a short walk from the railway station, although we arrived by train, and the hotel wasn't easy to find. Once you know where it is you realise it's a short walk. The only real problems we had was that our key card to our room never worked, and every night we arrived home, we were backwards and forwards to reception a few times to re-enable the key card. It was quite frustrating after a while! Also, the first room we had, we couldn't get the taps on, then after using some extra muscle, we got them on but they wouldn't go off. This is a minor thing that could happen anywhere though and they moved us to another room straight away. Overall, we would stay here again, although only if it was £10. Travelling into the city centre was fine, and didn't take too long, but if money is not a consideration, it would be better to stay more central.	
Sep 28 2006 	Better than expected	After some of the reviews didn't expect too much but was pleasantly surprised. 2 mins from DLR. They let us book in at 11:00 even though check-in was 15:00. Staff couldn't have been nicer. Rooms were roasting even in September but for £26.00 a room you can't beat it in London.	
Sep 25 2006 	some improvement at last	Seeing as I booked several non refundable stays at once I had no choice other than stay or loose my money. In previous stays there have been problems in lines with most of reviews on here. I stayed on a saturday and sunday this time and arrived early to get car park space. The car park is too small, but they have now invested in a 6ft high metal fence and it was the first time I had seen no glass on the floor from cars being broken in to. Im not sure why they have not put a security gate on the entrance as anybody can still walk in and out at will, and the front doors of the hotel are left open all night it seems despite the notice of locking at 2200,so little security measures are in place.The room this time was quiet and clean, one broken window latch but it was warm and stayed open! The room was serviced all ok and was nice and clean. The TV was fuzzy and the on demand system remote seemed not to work correctly.The hotel now has WiFi LAN and pay per use internet terminals in the lobby.I didnt use the cafe bar as past experience has not been very good, instead heading to Canarry Wharf on the DLR where there are lots of eating places.Staff were polite and friendly, perhaps somebody at Travelodge is reading these reviews!Lets hope my last prepaid booking at Christmas is even better.	
Aug 26 2006 	great time	I stayed from the 20th till the 24th aug 06 with my two children. the hotel was very clean and room brill and very clean , we took extra towels but didnt need them 2 big towels and small block of soap in room . we had a fan in the room for when it was hot . we didnt deal with staff much but when we did no problems .it is a very short distance from the dlr light railway .i only used bar once but seemed ok sky telly there . didnt have breakfast there because if you are going in to london at tower hill station there is a wetherspoons where breakfast are £1.99 . we only paid £26 for the room so well worth the money .	
Aug 10 2006	Cheap and Easy	For 25 pounds a night you can't go wrong. The staff are pretty rude, but the rooms are comfortable and modern and better than anything else you can get in London for that rate. Close to the lightrail and easy access to London Central. Given that the standard of &quot;tourist&quot; accommodation in London is so bad, you may as well go with a travelodge where you will at least be able to expect a clean and decent room.	
Aug 2 2006 	You Get what you pay for !	My family and I stayed at the London Docklands Travelodge for two nights on Saturday 29th, we arrived at the hotel at about 10.20 and I decided to check that our reservation was on there computer (as it had been booked and paid for in January under one of the saver deals for £26 per room per night) they had my reservation and checked us in, he informed us that there was a £5per night parking fee which we paid he gave us the keys to the room and told us we had access to it. I grabbed the suit case and took them up to the forth floor room 425, I wish that I had read the earlier report about the heating in the building, the heat was stifling it felt like a sauna, the window in the room only opened by about three inches and as Saturday was one of the hottest days in July it made no difference. The walk to the docklands railway was excellent 2mins maximum and cost £4.90 for an all day pass zones 1 &amp; 2 both kids were free. On our return to the hotel we were hit by the heat again. At 2.30am I was awoken by load banging outside of the door an was told that the room next door had flooded the hotel out but all should be ok, the next morning we had no hot or cold water my wife went down to the reception and informed them of this, they said that they could switch on the cold water but not the hot at this point. We had breakfast in the hotel £6 each kids free which was very good, and then went back into London on our return we still had no hot water but as it was still extremely hot in the room we all had a cold shower. The next morning we left the hotel and headed back to Leicestershire, on our arrival I realized that I had forgot my new Timberland boots, I rang the Travelodge and they informed me that they had found them, I asked them if they could send them to me if I posted them some money for the delivery which they could not do, a little customer care would have worked there after all the problems.We would stay there again for the money and convenience of the tube but would take a fan for the room and wouldn’t leave my boots ect	
Jul 27 2006 	Basic but adequate	My wife and I stayed here on three separate times during May and June between tours elsewhere. At GBP26 per night it was a cheap option and quite adequate if you were using it as a place to sleep and eat. The rooms were basic but adequate. On two occassions we had to go and ask for a second towel. One problem was that they would not store luggage on the day of departure. At one stage the one lift was out of order - fortunately we were only on the first floor. The bar cafe was reasonable food (there's nowhere else around without catching a bus or the DLR) but very slow on one night when the hotel was full. It is about 5 minutes walk from East India DLR station, accessible if you have wheeled suitcases (hint - connect with other Tube linesat Bank rather than Tower Gateway if you don't want to cart luggage up and down lots of steps)Overall a cheap option of staying in London if you don't expect too much	
Jul 26 2006	RED HOT SALSA	if you go to this hotel im just advising you to take a FAN. when i was there my aunt who also stayed was took to Newham Genral Hospital which isnt the nicest place to get took since it is FILFTY. The was no air conditioning and there are speicla latches on the windows so you can open them to a small gap which si rubbish. You can ask to get them taken off and they will say yes sure. but nothing happens. I paid £112 for a two night stay here which we thought was an allright price for the tiome of year. but the staff where rude. our door never worked and half the staff at the hotel couldnt speak english . alot of people collapsed when we where there due to the sweltering heat inside. We where forced to pay the very highly priced drinks until we got into town which is £1 for just a small can. Threee ambulances apart from ours carried people away and the staff couldnt even be botherd to open the barrier to let the ambulances. The ambulances crews told the staff that the heat was to hot inside the hotel and that even they felt dizzy from this heat. so i advise you unless it is snowing not to go here	
Jun 7 2006 	Not a pleasant stay	Stayed here during 3 weeks late May and June.Rooms extremely poorly maintained, broken window latches, plaster all over floor, blown lightbulbs, 1 power socket available per room, little to no space to unpack clothes in the non family rooms.Sadly with the staff there are no redeeming features, for the staff treat you like having customers around is something of a nuisance, and they would really rather not bother with them.The service in the restaurant doesn't deserve a mention, the till quite often not accepting cards, and the staff unable or can't be bothered to repair. Everything about this place (dont want to use the word Hotel) is too much. The staff are surly and often rude.I dont recommend this place to anyone, this travelodge needs a change of management completely, as if you are paying full price (as I was) this is a poor quality place to stay. If it was £10 Per night I think I could tolerate it, but this is not a cheap place to stay (by mainland european standards).	
Jan 23 2006 	Fantastic option for just £10 a night!		
Jan 17 2006	Terrible customer service		
Dec 27 2005	Supersaver Recommended		
Sep 26 2005	Awful!		
Aug 23 2005	Quite acceptable - good food!		
Jun 3 2005 	OK but only if you get a good price		
Mar 20 2005	By all means ask for a room overlooking the parking lot		
Jan 8 2005	Great for a budget break		
Jun 19 2004	Hmm... bad. but was better		
Feb 24 2004	It was ok...		
Oct 19 2009	Silvesterreise		
Mar 15 2009 	UNFREUNDLICH UND BILLIG - GENAU DAS WAS MAN BUCHT!		
Apr 14 2008 	ottimo rapporto qualità prezzo		
Oct 17 2007	Una buena opción		
Apr 22 2007 	Très bon rapport qualité prix avec les promos.		
Feb 25 2007 	lo raccomando		
