	CLEAN GOOD LOCATION CHEAP	Stayed in London travelodges before, but never on the South Bank. This was an excellently located hotel, 100 yards from the tube station of Southwark and a 5 minute walk to the Thames. Great base if you want a bed for the night clsoe to the amenities of London town.Reception staff very helpful.	
Dec 16 2008 	great experience !!	Had a great stay in this hotel.we booked on the travel lodge web site and got a family room for only £32 !! Great value for money very very clean and very convenient.I had my reservations about staying just outside the city as i have always stayed in the centre but it prooved to be in a great location.It took 10 mins on the tube to reach oxford street .The southwark tube station is a 2 minute walk from the hotel and is very bright and modern.the room itself it what it is,no frills etc but there was tea/coffee soap,the bedding was really fresh too.It was great to see a tv that had a perfect picture and had english channels.You could purchase breakfast to eat in the hotel,we decided not to go for this option and had a great breakfast in a local cafe just past the tube station it was delicious and was only £2 each for a huge sausage sandwich and a delicious coffee.there were a few downsides though the 3pm check in was a nightmare had to wait in line for about 30 mins,i would pay £10 extra next time and have an early check in.Also there was nowhere to store any luggage we were told the best option was to leave it at left luggage at a convenient train station.We only had an overnight bag so we carried it around with all all day but could be a problem if you had lots of luggage.We also had to contact reception as there was no bedding for my son,but this was instanly rectified.There is a local costcutter down the road if you wanted any extra sullpies and was reasonably pricedOur room did not have a great view (of a trainline) there were trains that went passed but was not a huge disstraction or really that noisy.I would recommend highly !!	
Dec 15 2008 	Basic but functional and convenient	Although this hotel was basic, it was in a very good location with only a 2 minute walk to the nearest tube. It was very clean and I don’t even think it’s been build long. The area was quiet and I felt safe being a female on my own. My room was just a few meters from a main train line but I only noticed a train when the curtains were open, no noise at all! The only problem I encountered was the queue to check in. Check in is at 3pm daily and there was about 6 people in front of me meaning that it took me 25 minutes to get checked in there where many more behind me so the moral of this is to check in a bit later.	
Dec 14 2008 	Very nice would reccomend to everyone.	We stayed here this weekend (13/14 december) and was very happy with our stay.DOWNSIDES:  - the family rooms only allow 4 peeps so either 2 adults 2 kids or 1 adult 3 kids as we are 2 adults 3 kids we had to pay for 2 rooms but the one room went unused as the rooms are so big and our children are young ( youngest 4) there was plenty of room for us all in the one room and we prefered to sleep all together. If this had of been allowed in the first place we could of saved £70. - if ur at the back of the hotel you are VERY close to the train tracks i have heard people complain this is very noisy but to be really honest we never heard a thing from any trains and slept through til 8am, maybe it was quiet as it was a sunday morning. - dispite the hotel being on 7 floors so huge amount of customers the cafe area which serves breakfast is quite small so its recommended that you get to breakfast quite early or leave it latish to let them get done the buffet is regulary refiled so you shouldent miss out.UPSIDES: the security is fantastic you have to use your roomcards to get from the public areas to the corridoors with the rooms . - the rooms have air conditioning,plasma screen, kettle with tea coffee milk and sugar. clean towles and sheets. the bed was made up but i did have to make the kids bed up but i dident mind. - the rooms were spotlessly clean, and the bathroom was spotless too. - the staff were all extremly friendly and even helped me with all my tourist questions lol - there is a great bar/cafe not huge but light, nicely decorated with plasma screen and frienldly staff but reccomend if u want food dont leave it too late we went at 9.45 and told they had stopped serving even though menu says til 10.  - breakfast was well stocked with a choice of toast,tea coffee, complete english breakfast buffet, cereals,coissants,muffins, fruit salad, yogurts, juice its 7.50 each adult and kids eat free with each paying adult and you can go up and refill as may times as you want and believe me my kids took this as a challenge.  - the hotel was quiet dispite there being a good amount of customers we did not hear people in the halls ect. - 2 minute walk from the southwark underground, quite a few pubs that did food and we found a costcutter just up from the underground so the kids could stock up on munchies.i would recomend the hotel to anyone that needs somewhere to stay in the area and even those not in the area as its so close to the tube.	
Dec 12 2008 	AWESOME - LOVED IT!	My partner and I stayed here for 4 nights and it was awesome! Newly refurbished and has airconditioning, plasma TV, and really comfortable beds! Its a 2 min walk from the Southwark tube station (when you get out turn left down the main road). Its near 3 pubs and lots of great restuarants and a laundry. The staff were ok, but the manager, Tanner, was oustanding - will help you with anything you need. Breakfast costs 7.50(pounds) but you can pre-pay for 6.95(pounds) when you book over the internet. They also serve lunch and dinner and have internet in the reception. There are 2 security doors between you and the outside so its really safe. HIGHLY RECOMMENDED!	
Dec 11 2008 	Excellent value for money	The Travelodge Southwark is a new hotel which from the outside still looks like it is work in progress but on the inside it is very modern and clean. We booked a family room online for 3 adults which was at a discounted price, we got 3 nights for around £170 which is excellent for a London hotel. Our checking in was quick and efficient, the hotel desk is situated on the 2nd floor which i found a bit unusual. Our room was at the rear of the hotel and it was very spacious and curvy! There was a flat screen TV on the wall but changing the channels was a bit dodgy. The only downside was the view from the window which was basically a brick wall with a train track on the top! The noise of the trains wasnt too bad at night ( we live on a main road so are used to traffic noise) The bathroom was clean with a bath and power shower and the room had air conditioning.The room was cleaned and tidied every day with clean towels and coffee/tea etc topped up. All staff i dealt with were polite and helpful.They do provide breakfast but i thought it was a bit steep at about £7 each so we found a greasy spoon around the corner run by a lovely lady :) The breakfast room was always full though.There are several pubs in walking distance (one is right over the road from the hotel) and the tube station is approx a 2 minute walk from the hotel.Overall if you want a cheap, clean, basic hotel then this is the one for you	
Nov 29 2008 	Fantastic for location and value	This is a new hotel, 5 mins walk to the tube and within walking distance of attractions as westminster abbey, london eye.We had breakfast there and then off for the day. Excellent value especially if you pick mid week specials we( as in 2 adults,2 kids) stayed for 3 nights for around 160 pound.	
Nov 17 2008 	what more could you ask for?!	On arrival, we waited only a few minutes whilst the friendly receptionist found us our room..the room itself was spacious and very clean, as was the bathroom, the only downside was the view from the window...directly infront of us was a huge disused metal box! (there was a small private car parking space below) it literally blocked out any natural light and was abit eerie, on the plus side, it was very quiet as it was a dead end road, so no car traffic or rowdy antics! However, as we were not in London to look outside the window for four days, it wasnt a big deal!!The maid cleaned our room daily and always when we were out, she always left us some more tea and coffee, new towels and fresh bed linen.Everything is so close by in this central spot, the south bank is a short walk away, its magical at night time, all the lights and hustle and bustle, we went to a few fantastic restaurants along here.There is a costcutter store down the round if you want to get a few nibbles, biccies, crisps etc.Southwark tube station is generally quiet and about two minutes walk away from the travelodge, which is a bonus.The only negative thing I can say about this place is that a few times we were woken up by drunk people stomping along the hallway talking to each other really loudly at unholy hours of the morning, but the pros of staying here out way the bad points by a long shot..we will definitely stay here again, next march infact! Great value for money, clean and basic, a great base to explore the city.	
Nov 15 2008 	Good place to stay	As we are living in Paris for this year we decided to jump to the neighboring London. We wanted to stay cheap in a central location to be able to visit all interesting places, that's how we found Travelodge London Southwark! I checked tripadvisor to be sure and most of the reviews were OK, so we have chosen this hotel.We were in London finally 7-9 November (not the best time for sightseeing with a 2-year old girl...).But anyway, the hotel itself was super, quite new, clean, personnel kind and helpful. This was the first time I have stayed in a travelodge, but I'll surely stay for next time based on this experience.In our room (2nd floor) we were not hearing at all the noise some review is referring to...The location of the hotel is also very good, few km walking in all direction to see tower, westminster or st paul. Metro station (southwark - jubilee line) is only few meters away as well as several bus lines.Dinner is not a big deal... but in the next street some cheap restaurants can be found, have not tried the breakfast.	
Nov 13 2008 	Beware of the trains...	I stayed in this hotel for two nights earlier this week with colleagues. Check in was quick and easy and as this is a relatively new Travelodge, the bedrooms, café bar, reception etc are all smartly furnished.I had a bath after checking in but the plug was not attached to the chain, and I could not pull it out to let the water out for love nor money, so had to advise reception. When I returned from dinner, they had taken the plug out but it was not reattached to the chain, so the next guest will have the same problem.When I checked in it was dark and I couldn't see much out of the window. However at 5.45 in the morning I was rudely awoken by the first of many loud trains to roar past, about 30 feet from my bed (please see the photos to see just how close the tracks are - and I was on the 4th floor!). The noise was unbelieveable - I would urge anyone planning on staying here to ensure you get a room on the opposite side of the hotel if you plan on getting a decent night's sleep....I went to have a shower when I got up only to find that it didn't work - the water came out in a tiny drizzle. Not best pleased, I had to have a bath and try to put the plug in at a slight angle so that I could get it out. What with that and the trains, it wasn't the most relaxing start to my day..! Despite reporting to reception that the shower was not working and being assured that the problem had been logged, it was still not working the following morning (when yet again I was awoken by the trains), which is quite unacceptable. I paid £89 per night for this hotel (exc breakfast) and I won't be staying here again. I've stayed in a few Travelodges and am usually very happy with them, but not this time. Perhaps I was unlucky with the bathroom (and resulting lack of service) but I value my sleep and could not cope with the trains again!	
Nov 10 2008 	Basic and not very clean	I spent one night here on business.The first problem I experienced was that I was given a door security card for my room, but it turned out to be someone else's room! I walked right in - luckily, they were out at the time, but there were obvious security issues. I am prepared to write this off as mistakes can be made, and the man on reception was very polite and apologetic about it (though no money off was offered).However, the level of cleanliness in my room was not acceptable. It looked like the room is given a very quick clean and that parts of it are therefore never cleaned. The toilet bowl itself was clean, but the pedestal was streaked with brown and yellow stains. The edges around the room were lined with the assorted crumbs and hairy detritus which suggests it is never properly vacuumed. The spongey sofabed (it was a family room) was also very stained, with glaringly obvious crusty white marks. It looked like someone had wiped their hands on it after making a cake, though the reality was probably more revolting.The air-conditioning/heating was complicated with no instructions. There was no phone in the room so I had to go down 6 floors to reception to find out how to use it.On the plus side, it was fairly quiet for London, and close to an underground station.	
Nov 9 2008 	very impressed	Travelodge are pretty basic, but standards are high. I think this must be a new building? Everything looking modern &amp; new...Very impressed &amp; would definately stay here again for ANY future london visits.Good security &amp; helpful staff.We stayed for one night. Excellent value for money - staying central london, very clean comfortable room for £49, although i think the rates vary with deals etc..Didn't need to check out until midday.Paid extra £6 each for a wonderful 'eat all u like' buffet style breakfast..cooked, cereals, fruit, toast....absolutely recommended!Nice area. Lots of taxi's about.Tourist sites within walking distance.2 mins walk to tube station. less than 10mins walk to the thames, 20mins to westminster....	
Nov 4 2008 	Best Travelodge in the UK?	Possibly the best Travelodge in the UK. We (a family of 3) stayed for 2 nights over October half-term. I have stayed in Travelodges before (some good, some bad) but this one was excellent. The location is absolutely superb - 2 minutes safe walk from Southwark Tube station, 5 minutes walk to Southwark Bridge (and therefore only minutes walk away from the city), and only 10 minutes walk to Tate Modern. Hotel was clean, room was clean, all in all a great stay.	
Oct 21 2008 	Comfy bed to die for!!	We were really pleased with this Travelodge. I have been to one in London before and this one was by far better, but probably because it is quite a new one. It had everything we needed as we were sightseeing for most of the time. The bed was amazing soooo comfy!! Had a plasma screen tv, kettle, tea, coffee, really lovely shower and chair and desk. The storage space was on the tiny side but as we were only staying for 2 nights this was fine. Our stay in London was because we were going to the 02 to see Lee Evans, this was £25 each way in a taxi as my boyfriend doesn't like tube trains, but there were four of us so wasn't too bad. The hotel isn't too far from Waterloo (we walked the wrong way out of the hotel - we were meant to be heading left to the dungeons!!) About a fifteen - 20 minute walk. I think we paid £60 a night which was good for the location. There was a super market two minutes away if you turn out of the hotel and turn right. The only problem with the two travelodges I have visited is that they only give one set of towels, but both times we have been able to get another set from reception quite easily. I would recommend this hotel to anyone.	
Oct 19 2008 	perfect location	Myself and my 15 yr old daughter stayed here for 3 nights tues-fri.Location wise its about a 2 min walk from Southwark tube which is on the jubilee line.Reception is on the 1st floor there are vending machines there also selling drinks(this was broken throughout our stay) sweets toothpaste, shampoo paracetamol.Check in was quick and hassle free.we were on the 7th floor the room was a double it was spotless. there was a flatscreen tv and a kettle, coffee&amp; tea making facilities with 2 teabags and coffee sugar and milk provided.the window was floor to ceiling so if you havent a head for heights....oops!!!!bathroom spotless and towels changed daily and beds made and bins emptied.we arrived lateish the 1st night so decided to eat in the cafe/bar.. unfortunately we were told the delivery didnt arrive that day so there was a very limited choice. we chose soup (veg) and bread but i wasnt impressed as it was identical to the one thats sold in aldi for about 50cent a tin.breakfast was good, sausage rasher, mushrooms beans and delicious scrambled egg..also cereals yogurts etcthe only downside was there was no storage space, there was 5 hangers and thats it, nothing else no drawers etc so that was akward as teenagers have a LOT OF CLOTHES..i would definately stay here again its only a short walk to bankside tate modern and shakespeares globe.	
Oct 17 2008 	basic but cheap	Was pleasantly suprised at the room rate £49 for a midweek overnight stay in Central London.Room was very very basic but adequate for a one night stay, clean and the bed was comfortable. Disappointing things; Only 1 towel provided for 2 guests which I thought was a bit stingy. No hairdrier No chairs or other seating so had to sit on the bed	
Oct 7 2008 	Great place to stay with an excellent price.	I had spent ages on the computer looking for a room that would take 3 adults without adding on an extra £30 or more for a third adult sharing ie: novotel &amp; holiday inn, premmier inn only allow 2 adults per room on their web site. We have a son with autism who is 21 and we needed a room for the three of us.This is are first time in a travelodge and we were very pleased with the hotel. The room was on the 6th floor overlooking many sets of railway tracks but we were not disturbed by them at all. We had a view of the top of St Pauls, the gerkin, the tate and we could see the docklands in the distance. Our room was spotless with a comfy double bed with crisp white linen and there was also a double sofa bed. There was complementary soap in the bathroom even though they say on their web site that they do not supply toiletries. We had a flat screen tv on the wall, tea / coffee etc.The lady that checked us in and out was very pleasent and helpful.The hotel is in an excellent location with loads going on around it, such as Borough market, loads of good old London pubs and great history. Southwark tube station is along the end of the street and if you keep walking along The Cut you come to Waterloo train station. We managed to show our son the transport, war and science museums, big ben, piccadilly circus, trafalger square etc, etc, etc. We will be coming back next year to fit more of London in and we plan to stay at the travelodge again.	
Oct 1 2008 	Great value for speical price	We book the hotel at their website directly, since they get a super saver price at Sunday. We just stay at night when we arrive at London. For 29 pounds, my wife and I are fully satisfied.The hotel is nice and take 2-3 mins from Southwark tube station. The place is clean, tidy and larger than our expectation, we have checked that breakfast not included, no shampoo, no luggage store but since the place is convenient and it's okay for us to stay one night only.	
Sep 17 2008 	Excellent Stay	Having had bad experiences with Travelodges in the past i was doubtful about staying here but needed a cheap hotel for 1 night in London as we were going to a gig at the Royal Festival Hall on the South Bank.After reading the reviews on this website after making the booking i was pleased with my choice of hotel and hoped the Southwark Travelodge would like upto its reviews.The hotel was easy to find - just a short walk from Southwark Tube Station.Although there were roadworks right outside the hotel, these didnt disturb us at all.We had paid an extra £10 and so were able to check in from 12 noon. Check in was very quick and the staff were very friendly.Our room was on the 7th floor (top floor). The room was a very good size with a large double bed and sofa, which also became a bed if required. There was a plasma tv, desk, bedside lamps, tea &amp; coffee making facilities. In the bathroom was basin, wc and bath with overhead shower.The room and bathroom were both extremely clean.From our window we could see St Pauls, The Gherkin, Tower Bridge and Canary Wharf!The hotel was a 15-20 min walk from the river and the Southbank Center. But being just a couple of mins walk from Southwark Tube Station was a big advantage.The only negative was that the hotel was near a train line and the trains ran til about midnight and then started again early in the morning.i would stay in this hotel again.	
Sep 3 2008	Good location and price in London	I booked this hotel about 4 months in advance on internet, Location great as only about 2 minutes walk to Southwark tube station. Very close to Thames. I paid GBP98 for two nights. The room was very clean, bed was comfortable, LCD TV and tea/coffee facilities in room. They have a restaurant on site which serves buffet breakfast for GBP7.50. This is a new hotel. Staff were pleasant enough. The room allocated had a double bed and staff were happy to change to room with two singles with no dramas. All in all a good experience and would recommend hotel. (there even a pub directly opposite though we didn't go in it)	
Sep 3 2008 	Great comfortable based for London tourist!	We had a great experience with this Travelodge. Booking &amp; checking-in was easy! No problems what so ever. Once checked-in we were left to do our own thing, but we knew they were there if we needed anything. We went to reception twice though, only to request some more tea &amp; milk sachets. The room itself was comfortable, basic &amp; very clean. Just what we needed for our base for our London trip. We spent three nights there. Air conditioning was great, as the nights were very warm. Never heard a thing from anyone else, just the slight sound of the trains which did not wake us, even though we are light sleepers. The bed was very comfortable. The flat screen TV worked fine. Only had channels 1-5 &amp; radio stations, but we weren't there to watch TV. Everything worked as it should. The bathroom was very clean with a good shower, toilet, basin, bar of soap, plenty of towels, loo roll &amp; plastics cups. The room did not have much storage space, i.e. no drawers to keep our undies in. But this was fine, we put them on the shelf above the open wardrobe. There was a small kettle, cups &amp; spoons with sachets of milk, tea bags, coffee (decaf too) &amp; sugar (white &amp; brown). I would definately stay here again. Southwark is a great location in the centre of the south of London with the Southwalk tube being a 2 minute walk down the road &amp; Waterloo 5-10 minutes away. There are pubs &amp; restaurants nearby. Would recommend Tas, a popular Turkish restaurant. We had an outstanding meal for £38! I will be reviewing this restaurant, so look out for this!	
Aug 26 2008 	Clean and comfortable	Spotlessly clean, quiet, spacious room, with a comfortable bed and air conditioning. The bathroom was also very new and clean looking. The room was a bit dark, with a small window, and we had a gloomy view of a wall and a railway line, but otherwise I can't fault it. As others have mentioned, it's very handy for the underground, and for the Tate and other south bank sights. The four star rating takes into account the bargain price we paid for a family room that could have slept 4. Of course the place has no character - it's a Travelodge - and it could feel depressingly bland, but the £29 rooms are great value for a comfortable stay in central London.	
Aug 18 2008 	Excellant Value and Sevice	Just got back from 3 nights at this new Travelodge in Southwark. Locationt, 3 mins to tube station, close to the river..very centrally located. This is one of the new design Travelodge with modern styled rooms, flat screen tv and a first in Central London..each room has air con which works very well. Well sound proofed, my room overlooked (right next to two major rail lines) and you could barely hear anything. Very good value. I often stay in London at TLs and this is the best so far. Certainly will stay again. Excellant pubs in area for some good food and if you only want (like me) a light breakfast (pastries etc) there are several shops in the close proximity. I dont eat the breakfast at TL, it does let the good value down at £7.50 but then I dont want cooked breakfasts anyway..plenty of Tea and Coffee provided in rooms and reception always provide more on request. Staff were very good here and all spoke fluent English which is quite unusual for the TLs I have stayed in.My only criticism of this TL is that the housekeeping of public areas needs to be improved, 4 months on and its getting a bit worn..but thats only minor. I paid £29 a night booking well in advance...great value.	
Aug 18 2008 	Great location and price	You usuallyknow what to expect when booking a Travelodge so it was a nice surprise that this one was brand new. It was brighter and cleaner than others I have stayed in.We got a family room for £49 which was excellent value given the central London location. It is five minutes from Tate Modern and the Southbank attractions and next door to Southwark Tube Station.Sadly we went at the start of the week so it wasn't open but its also very handy for Borough Market when its open at the weekend.We pre booked breakfast which was £6.95 each and children ate free. There was a choice of cereals, fruit, croissants, bread and a full fry up. Not the best in the world but plenty of it and good for filling up before a day's sightseeing.The breakfast room is also used as a bar and does bar snacks but didn't try them so can't comment.Hotel room was clean with flat screen tv on the wall, tea and coffee facilities, air conditioning.The only downside was the noise from the train tracks behind the hotel.Check the early booking deals.	
Aug 6 2008 	Comfy beds great stay !	What a relief it was to be booked into a clean and comfortable hotel, greeted by friendly staff (who actually sounded like they were born within the sound of Bow Bells!) and reasonably priced.This Travelodge is pretty new and yes, its basic but has everything you need. The bed was really comfy, the air conditioning was brilliant for the hot week we were there and the room was spotlessly clean on our arrival. The corridors could have done with having a hoover put round them more often but that was just a niggle. Towels were changed and the bathroom cleaned every day.I borrowed an iron and ironing board from Reception so that was handy, and there was plenty of tea + coffee available. Travelodge don't supply the usual showergel etc but hey, I can live with that !Breakfast is a tad expensive at £7.50 a pop but there was cereal, yogurts, fruit, croissants, muffins, toast, + the usual cooked b.fast stuff with juices + hot drinks so you could easily eat enough to last you until lunch + then squirrel some stuff away for later!I should also mention that this hotel is in a quiet location and the soundproofing is really good. We were right next to two tube lines and could hardly hear it.The location is brilliant, 5 mins away from Tate Modern and the Thames riverside walks. You can easily get across the Millennium Bridge and you're over by St Pauls within minutes. Its also easy walking distance to Tower Bridge, The Tower of London, London Eye, Houses of Parliament , Imperial War Museum and not forgetting The London Dungeon !	
Aug 5 2008 	Good value	Stayed here for three nights. We were on the 7th floor which is the top floor. Room was large and clean. Bathroom exceptionally clean and functional with nice powerful shower.Did not have breakfast so cannot comment. Staff at check in were very friendly and courteous at all times. Location was great, about a 10 min walk to Waterloo and a 5 min walk to Southwark underground. Fab location for London, we went to the O2 on Saturday night and this hotel is ideal as it is only about 5 stops away on the Jubilee line. Would definately recommend this Travelodge as a good base for seeing London and would definately stay here again.	
Aug 2 2008 	Great for the value	Stayed at the Travelodge Southwark 2 days pre-cruise. Paid 49 GBP per night for a family room plus 10 pounds early check-in on the first day. I was surprised by how nice and clean this hotel is. We did not do breakfast so can't comment on that. Room was spacious. The only problem we had was that for both days we had to go to the desk and get an extra set of towels for my son because there were only 2 sets in the room. Also I had to put the beddings together for him in turning the couch into a bed. Our room faces the railway tracks but you really couldn't hear anything. Great location, walking distance to London Eye, South Bank, etc. and also one block from the tube station. Make sure you check out Burough Market which is also walking distance. We were happy with our stay at this quiet, clean hotel.	
Jul 23 2008 	Location Clean Really Basic! Minor Issues	My family of 4 stayed here twice in a &quot;family room&quot; (3 nights at start of vacation, 2 nights at end of vacation). Advantages:1. Price: We paid 69 pounds per night for the first stay, and 85 pounds per night for the second stay, which is inexpensive by London standards.2. Location: My family found the location convenient for sight seeing. The hotel is a block from the Southwark underground station. It is close to the Queen's Walk which is a wonderful pedestrian walkway that runs along the South Bank of the Thames from the London Eye down to Tower Bridge. It is also close to the recreated Shakespeare's Globe Theatre, Tate Modern Museum, and the Millenium Bridge. (We saw so many more interesting sites by walking that we would have missed by taking the tube everywhere.) 3. Breakfast Option: If you order breakfast online, it is 6.75 pounds per adult, and 2 children eat free with each paid adult. We took this option originally to save time, but with 2 boys it was a big money saver since eating out in London is expensive by North American standards. The onsite cafe is basically a breakfast room with a large LCD television which had on music videos, or London morning shows. Breakfast items included eggs, bacon, sausage, baked beans, toast, croissants, muffins, good variety of cold cereals, milk, juice, tea, coffee. (The breakfast room / cafe is also set-up with bar to have a drink and watch TV later in the day. There is also a menu to order other food items for lunch/dinner, but I can't speak to the quality.) Issues: On our first visit, we were on the 4th floor facing Union Street, with no issues. On our second visit, the first room we were assigned was on the 2nd level (check-in level) facing the train tracks. We asked for a different room after determining that the air conditioner didn't work. Our second room, also on the 2nd level, faced the street (better), but the toilet wouldn't stop running.Advisory::1) No phone (therefore no wake up calls!)2) No alarm clocks / clock radios (not even available to borrow from the front desk)3) The family room has a &quot;sofa bed&quot; for the children. This actually consists of a couch which has a long single back cushion which is easily lifted off to be made up as a bed which will sleep one person. Under the couch, a trundle on wheels pulls out and requires a second set of bed linens to use as a bed. I would stay here again, as it was clean, inexpensive and in my opinion, it was conveniently enough located.	
Jul 17 2008 	Good value for clean basic room	This newly opened hotel is having some shake-out problems. For example, the wiring was done wrong in our bathroom and there was no way to turn on the lights over the sink or to activate the ventilation. But the beds were very comfortable, and the 85 pounds per night rate for a fairly large, airconditioned, twin-bedded room with private, en suite bathroom, was good value. Hotel charges (and insists on receiving) an extra 10 pounds to get into your room before 3:00 PM. That money is much better spent waiting until 3 at the Lord Nelson pub across the street, which serves outstanding sandwiches. The EconlLodge's all you can eat buffet breakfast (7.5 pounds extra; 10% discount if booked on line) was NOT worth the price to us. Only instant coffee (no fresh-brewed). The tomatoes, mushrooms and baked beans were served straight from their cans with no amendments. Juice apparently prepared from dry concentrates, and not always well mixed. Eggs OK if you like them scrambled; nothing else available. Greasy sausage, but the bacon was OK. Fair selection of packaged cereals. The hotel's breakfast room doubles as its bar in the evening. Dinner is served there, but we didn't try it because we presumed it would be as mediocre as the breakfast. Excellent location south of the Thames and one block from the Southwark tube station.	
Jul 16 2008 	Basic and Clean	The hotel was very basic but it was clean, new and had a reasonable amount of room. There was no hairdryer in the room but reception would provide one. The one thing I did think was odd was there was no telephone in the room, not even to call reception. There were train tracks just outside our window but if I hadn’t looked down to see them I doubt I would have known they were there as they were so very quiet. The window did not open at all which means it was a bit stuffy when we got in but the AC worked reasonably well and it was not a problem overall. Be sure to bring you own shampoos and other toiletries as they are not provided. Over all it was a clean hotel at a reasonable rate.The hotel was very convenient to the Southwark metro station. We walked from the hotel to the Tower of London but it was a lengthy walk. Overall the location suited us well. We are a family of three with a child &lt;1yr.	
Jul 10 2008 	Great Price 	I stayed at the Travelodge Southwark for 4 nights (6/1/08-6/5/08). The hotel had only opened a few weeks earlier, so everything was very new and clean.The hotel is only a 1-2 minute walk from the Southwark tube station, so the location/convenience of this hotel was excellent. I also enjoy walking, and I had no trouble walking as far west as Westminster Bridge, and as far east as Tower Bridge. When you get to the hotel, you walk in the door and immediately take the elevator up to the first floor where the reception desk is located. Once you check in, you can go to the upper floors to your room. You'll need your room key to gain access to these floors.The first floor also has a bar/lounge area. Breakfast was served every morning, but the cost was not included in the price of your room. In my opinion the breakfast was overpriced and not very good, so I would definitely advise against purchasing it. I found a nearby store and purchased some fruit &amp; bread to eat for breakfast every morning and saved a bunch of money. The bar also serves dinner and drinks in the evening. Food was ok..not great, but not bad.The rooms were very basic, but very clean. There was a large desk area, which was convenient. There is wireless internet, but it is quite expensive. There was a nice tv, but very few channels. There was an electric kettle and tea/coffee in the room. A/C worked well. The bathroom was small, but not tiny. Everything worked well, although a bit more water pressure in the shower would have been appreciated. There was a US-style plug next to the sink for my electric razor, which was convenient and didn't use up one of my adapters. My room faced away from the street...but despite the heavy train traffic behind the building, the noise wasn't bad and I had no trouble sleeping.Housekeeping came to the room every day and made the bed and brought clean towels. However, I don't think she swept the floor during my stay.One problem I did encounter with this hotel: there was no exhaust fan in the bathroom. While this wasn't a problem for me personally, as I was sleeping on my last night, the fire alarm went off around midnight because somebody else in the hotel had taken a very hot shower, and the excess steam set off the smoke detector (which is located just outside the bathroom door).all in all, this hotel was very clean, in a great location, and a great deal if you can get one of the saver rates. I would absolutely stay here again.	
Jun 18 2008 	Fab Hotel	I have just returned from a 2 night stay with my boyfriend and my parents we had 2 rooms booked via the travelodge website.Well what can I say this hotel is just perfect, we travelled for lesuire to do some sights and a theatre visit, (there is a closer hotel to theatre land but as the London Underground is easier to work out than a bus time table we found the hotel to be just as close) there is some great pubs opposit and at reasonable London prices for drinks. This hotel is just 2 min walk to London Southwark tube station, 15 mins walk to the London eye or 1 stop on the tube. 5 mins walk to the Tate Modern, and Milenium bridge, Well worth a stay the hotel is brand new and the hallway carpets still smell new I could have slept on them, the rooms are basic but the hotel is a basic hotel you have everything you need and anything else you may forget (toothbrush or hairdryer for example) they usually hire or you can buy in reception. Whilst on my stay I met a family who had got a room for £9 a night well you just can't turn that down, thats how good the hotel prices are. check website for fantasic deals.The only downside I would say is the price of breakfast it cost £7.50 per person (altough you don't have to add this on at the time of booking, you can add on arrival or in the morning if you wish) the food is buffet service altough its eat as much as you like there really is only so much food at breakfast you can eat. other than that I would stay here again, and continue to use Travelodge hotels.Just brilliant.	
Jun 12 2008 	Great base in London - does the job!	We booked this hotel through Travelodge.co.uk ... got it for 2 nights for £39! Bargain for the location.Hotel - basic, clean and new - this is a new hotel to the Travelodge chain. Rooms are new and clean, nothing fancy, does the job!Location - the tube station (southwark, also new) is only 2 minutes day. Making it an ideal base to explore London. The Tate Modern is just 7 minutes by foot, and all the Thames attractions just minutes away. The London Eye is only 10 minutes by foot.We did not have breakfast there, so we can't comment. Overall, this hotel does the job! Will definitely go back.	
Jun 10 2008 	Excellent base while in London	I was highly impressed by my 2 night stay at the Travelodge Southwark. I found this hotel via a search for cheap hotels in London. It was offering a room for a 'saver' price of £19 a night. I was highly sceptical but needed a cheap place to stay and was familiar with the area so I booked it. I paid a supplement for a full English Breakfast, for both mornings of my stay.I was held up and didn't arrive till about 1am, I phoned a head to make sure my rooms was still being held. I was offered directions (about 2 mins from the tube) and reassurance and talked through the security system. To get in to the hotel between 10pm and 6am you must either use your room card or buzz into reception, once thought the doors you really only go into the reception area, once you leave the elevator on each floor you must use your card again to reach the corridors and rooms. On arrival I noticed the walk in room rate was advertised at £108, so defiantly check out the saver rates.My room was clean and comfortable, tea and coffee making facilities where available but no toiletries except a bar of soap - but I had been warned of this at the time of booking. There are no bedside tables but two small nooks - just large enough for a travel alarm clock. The window faced into a central courtyard so while not very pretty was exceptionally quite. I slept late the next day and didn't leave my room till about 3, I returned about an hour later and my bed had been made and towels replaced. While I found the hotel incredible value for money, unless your making the most of the kids eat free options, its probably better value to breakfast elsewhere. Although breakfast is an all you can eat buffet, the range is limited and the breakfasting area always full. The other slightly irritating thing was that only one elevator worked, which meant at busy times the elevator was crowded or you had to walk up the stairs – my room was on the 7th floor so I only tried that once. I'd definitely recommend staying there if you're going to see London as its a perfect base, while not 'central' its proximity to the tube means that you get anywhere quickly and the Tate Modern and Watertaxis are almost on your doorstep.	
