	love this place	Great hotel, staff lovely, great gym and food is cool. Not cheap.	
Jul 18 2007 	Cool hotel for a weekend treat	I booked the &quot;Weekender&quot; rate for my boyfriend &amp; I on the hotel's website and upgraded to an executive room for an extra £35. The room was really spacious and the bed was huge, and very comfy (I wanted to take the pillows home)..! The bathroom was spotless and the shower had great water pressure. My boyfriend booked me a massage as a surprise (bliss!) which allowed me to use the jacuzzi and steam rooms, he was able to join me for an extra tenner which apparently let us both use the spa &amp; gym all day - very relaxing!There was a DJ in the bar that night so the atmosphere was quite buzzy for a hotel bar, and we ended up having quite a late one! We therefore got up later than planned so thought we'd have missed breakfast - but were pleased to discover it was served until 12, so we had a really sizeable and tasty feed in the restaurant &quot;Kanteen&quot;. The location wasn't very glamorous but being in a residential area meant no road noise at night, and it was convenient being so close to the Central line. Also a stone's throw away is a multiplex cinema and a whole load of bus stops. We found all the staff to be friendly &amp; helpful – all in all a great stay!	
Jul 17 2007 	very ordinary.. I would seriously look at someplace else for the money.	Me and my wife spent our first year anniversary at the spa. We booked through last minute.com and paid £115 for the day. When we got there, things were not explained very well. We were left to work out where things were and what we were supposed to be doing, very disappointing. We did not feel valued or looked after. Although my wife had massage and manicure and said they were ok but nothing special. The lunch was a choice of salad, salad and yes more salad, but do be fair the lunch was tasty and just the right amount. We did not dare order any drinks as they were way over priced. The staff were well intentioned but had no idea of what was going on. Overall a real disappointment for the money I feel if we had paid £60/£70 for the day I feel this would have been a fair reflection of the price. I guess what I am trying to get across in this post is that from the pictures the place looks fantastic, relaxing and modern. But what it doesn’t get across the fact that you don’t feel looked after, it’s overpriced and a disappointment. I would seriously consider the alternatives for the money.	
Jun 9 2007 	2nd Visit to K West	We booked through Tablethotels.com which always makes it safe and easy for me. K West was consistent the second visit. I like the large, contemporary rooms and the great location. The service there is fine. The computers and internet connection are spotty (both times), so for business it can be a bit touch and go.It is not a super quiet hotel, but I quite like the energy and hip vibe.The hotel is in Shepard's Bush, which feels like an up and coming area in London. It is diverse and there are plenty of restaurants to choose from, though none seemed terribly swank (ok by me). The hotel is not inexpensive, but I feel that you do get a great room for the price.	
Jun 6 2007 	K West A Let Down!	The Hotel has an ugly frontage in quite a tatty part of town with bin bags along the street! Check in and lounge area had no atmosphere and we didn't bother using the bar which was right next to the entrance. We were given a room in what felt like the basement along past the spa. The room itself was clean and a good size but bland and unwelcoming. The loo made an awful sound when flushed! No mini bar but vending machines-very naff! Very expensive for what it was and a big letdown!	
Jun 5 2007 	Nothing special	We stayed her when we attended a weekend function down in Hammersmith. I chose the hotel due to its proximity to our do (a 5 minute taxi ride/ 20 minute walk) and although some of the reviewers have said that the area is not very nice, I think it is just plain old London. We walked back from our party very drunk at 3AM in the morning and had no problems. Yes, the area is not as tidy as Mayfair or parts of Kensington/Chelsea but it isn't exactly like a demilitarized zone either.I didn't think that the place was anything special in terms of the rooms or the decor, I have stayed in just as nice 'non hip' Hilton establishments in London. The continental double (i.e. two single matresses) bed was comfy. There were some nice little details such as the corkscrew, ice bucket and chinese teapot in the room, ice &amp; vending machines on each floor, and the free internet access ( 4 screens to the rear of the entrance lobby) but I don't think that justifies a 'designer' premium. The price of the drinks and champagne dispensed from the vending machines on each floor was eye watering - take a five minute walk to shops in Shepherds Bush and stock up instead.If the air conditioning in our room is anything to go by, do not even consider staying in this place if it is hot outside - definitely the most ineffective unit we have ever used, we left it running on high for 6 hours on the saturday afternoon to come back to a room at precisely the same temperature that we left. Couldn't be bothered to complain as we werent in the room that much anyways but it is something that should have worked and didn't.The continental breakfast was a pleasant affair with a good selection of hams, cheeses and yummy pastries and probably the only really welcoming staff in the entire hotel. For an extra 4.50 GBP we upgraded to the cooked option on the Sunday which took an age to arrive but I guess was ok value, if a little dry. It is useful that breakfast is served until midday on Sundays but beware, you are expected out of your room by 11AM otherwise you get a curt phonecall at 1115 and start being charged from midday, so don't bother asking for a late check out.The bar area is suitably designer all in glass and mirrors and so are the prices at 5.75 GBP for two half pint glasses of coke, 9.00 GBP for a cocktail (the going rate in the west end). I noted that an optional 12percent service charge was added to every drinks purchase - what was all that about ? It wasn't as if I was being waited on - I was stood at the bar and carried the drinks to our table myself....I now realise that I must sound like a real skinflint being totally obsessed with London prices and all but that really is the crux of my review....I knew that this was a designer hotel and likely to be a little pricey which is not a problem if:a) I am made to feel welcome and smiled at - I wasn't (not trendy to do this, I guess)b) Everything works as it should - aircon was cack, computers and lifts out of order c) People are honest - don't disguise service charges that are presumably optionalMy conclusion is that this place is trying very hard to be designer but I think that it has put that ethos in front of getting the basics right leaving me thinking that it was overpriced for what we got, which is a converted office building not in the poshest area of London. In future I will stick to special offers from the Hilton people thank you very much, at least you know what you are getting.	
May 31 2007 	Not impressed by the K West	Stayed here when in London for a wedding. Nothing seemed to work - the elevators at our end of the building, the mini bar system, the iron. Rooms are badly stocked with provisions, staff don't seem to have a clue although are very pleasant. ONE bar person on at midnight on Friday night - long waits. Everything just a bit shoddy and not what the hotel markets itself as - boutique and classy. Also not a particulary great area of London to be in - wouldn't recommend it if you are sight seeing. Myhotel in Bloomsbury - so much better!	
May 24 2007 	Best Hotel in London	I stayed a the K-West on a business trip a while back and LOVED the hotel. I've stayed in some &quot;shoeboxes&quot; in London before, so this was a very pleasant surprise. Upon arrival, the front desk clerk asked me if it were my first time to the hotel. I told her it was and she put me in an huge executive suite, at no extra charge. It was comparible to the Ritz Carlton or Westin. I had a DVD player, CD player, mini-bar area and huge bathroom. I loved the bar in the lobby as well. When I return to London, I will definitely stay here again. It was also a very short walk to the Tube station and I felt safe.	
May 11 2007 	Great Place	Stayed a night while working in the neighborhood, and quite liked it. Very clean, great bar and scene- perhaps a little hip and loud for young families but I look forward to returning.	
May 8 2007 	Great stay at K-West	We stayed in November 2006, for a romantic weekend in town. Having shopped on the web, got a great deal I think it was about £130, cheaper than Hilton which messed up our reservations, so this was a last minute jobby.Very friendly, cool decor, we paid for a room upgrade and the room was massive and it was a nice central location to get around.Wine list was excellent, and yeah it's pricey, but that's london, it's no more than any other hotel.We'll be going back.	
Apr 19 2007 	Nice stay	My wife and I stayed here for one night in Aug. of 2005. It was part of a package deal through British Airways. We did not have much contact with the staff though check-in and out was efficient and friendly. The room was exactly as described with a comfortable, huge bed and a small bathroom. Breakfast was nice, not fabulous, but definitely met our expectations. It is close to a tube station and so we parked the car and took the tube into London. Overall it was a very nice hotel and we have no complaints.	
Mar 27 2007 	Great Fun Hotel Wonderful Staff	What a great hotel. My partner and I stayed here in January for five days and we loved it. From the cleanly, contemporary designed rooms, to the free Internet, it was a great experience. The staff and bartenders were friendly and helpful. We even got an upgrade to a suite, which was a nice surprise. We will definitely stay here again!	
Mar 25 2007 	Good value... for London. Great breakfast.	Right on Shepherd's Bush, which the BBC used to dominate, and the hang out of media, film and music types, it has a good range of rooms from good value basic to high end deluxe suites with enormous plasma screens. It's a little out of town, but it's right next to Shepherd's Bush station, and only a few minutes from the city center. It's tucked away in a quiet side street, so makes for a perfect night sleep... if not for the passing trains... and rowdy media stars. Oh well, nothing can be completely quiet in London.The location is also great for restaurants and nightlife, which thrives around Shepherd's Bush and nearby Holland Park. The rooms are good value, and the included breakfast is excellent. Some of the best croissants and fresh bread rolls I've ever eaten. It also has a highly recommended restaurant, called the Kanteen, which serves up food good enough to draw in the locals as well as the hotel guests.The only down side is that you might, like I did, get woken up at 4am by drunken music stars coming home from a night on the town...	
Mar 12 2007 	Great DJ!	I just wanted to let people know that myself and 13 others stayed at the K West Hotel recently to celebrate a friends birthday and had a great time. We booked our Executive Double room through Quickrooms as this was the most reasonable, and included continental breakfast.The room was clean, spacious and modern with Aveda bathroom products (which I love!). We had a very quiet room on the 3rd floor, and the service from staff overall was really good.The best thing about the hotel was its bar and DJ who played a varied set until 2am! (You couldnt hear the DJ though in your hotel room). Great to come back to after a meal out with a large group of people. Yes the drinks are expensive (but no more than most London clubs or hotels), but the service was pretty good and there was an ample seating area for everyone to relax or dance in late into the evening!We also parked our car in the NCP car park (following recommendations from this site) which seemed OK and a lot cheaper than the hotels car park.I recommend the breakfasts served in the Kanteen Restaurant, which cost us an extra £11 each but had a really good selection of food and lots of it (great for a hangover!). All in all we had a great weekend, and I would have no hesitation in staying at the hotel again.	
Jan 24 2007	Bad value for money	Stayed on business for one night as the nearby Hilton was full. Room rate of £211 and extra £22 for cooked breakfast. The hotel was nice, very stylish and contemporary, but overpriced. Bar and lounge area were small and full of locals as opposed to guests. The restaurant had a reasonable menu, food quality and service were good but again expensive. The area is safe but not too central. The tube is 5 minutes walk or a taxi would be £10 to the centre of London, but the hotel is not on a busy route so catching a cab can be difficult.I stayed on the 3rd floor and can't fault the room, looks just like the picture on the web, but no mini bar. Check out was a disaster, very slow and staff seemed confused about how the computers worked. Other staff were pleasant and helpful, but never in a hurry to do anything.Beware hidden service charges of 12.5% minimum for absolutely anything.	
Jan 10 2007 	Pretentious pretentious pretentious and completely without reason.	Pretentious, pretentious, pretentious and completely without reason. Rude, ignorant and unattentive staff. By far the worst hotel I have ever had the misfortune of being a guest at. Many other truly chic 4 and 5 star hotels available for the same amount. Menu at ‘restaurant’ is merely glorified McDonalds.The one bit of service we received was a complete mess;My husband pre-ordered flowers to be in the room upon arrival as a surprise for me. They had not seen to this, so he returned to reception to enquire about them at which point he was told a member of staff would be bringing them to the room shortly. After more time had passed we received a phone call from reception asking whether or not it was convenient to bring them through, which they were and then dumped them on the table. I asked where I could get a vase from (We had asked for one to be provided) and they claimed to have no vases in the entire hotel. What was I supposed to do? Keep them in the sink? Eventually after more phone calls and clear staff irritation a tiny vase was found.Just one example of how something so simple was made into a complete palaver; a simple little surprise could be so much hassle and irritation to them.The room was really nice I thought and decorated well compared with the rest of the hotel, but the mini bar was a problem; it didn't exist! At the hotel bar locals hung around on the few stools they have and stared at the guests. I felt so uncomfortable and would have gladly hidden away in our room if only there were a mini bar…!	
Dec 28 2006 	Nightmare	Being an extensive traveller for professionnal reasons, I wonder how I picked such a dreadful place for a holiday.The Executive room displayed on the website is nice, just like the one i got. Apart from that the hotel is awful and not worth its four stars at all. Most of the staff is acting like they are doing a favor when answering simple questions from the guests (like a bottle of water for the room). For an example, I waited ten minutes with five other couples for a table for breakfast... the five tables were dirty and the staff didn t want to clean them as they were obviously bored. No smiles and no sense of service at all.Beware... the small lobby smells like McDonald's, but the staff is much less friendly and professionnal here. Avoid a visit at all costs.	
Dec 4 2006	Avoid this place if you can	The hotel was a real disappointment. I actually wanted to stay here after I read the reviews on this page. But after my stay I really question if the hotel is under new management. Firstly the location is not what they say it is. They advertise it being close to Notting Hill but really it's in deep in Sheperd's Bush behind a mall...not quite what I was looking for on a romantic get away. Secondly, the room was a smoking room which I specifically did not ask for. The furnishing was cheap. It felt like the decorator wanted to make the place look modern and luxurious but at a low cost. In the end it felt cheap. The shower was awful, after we turned it on, we couldn't turn it off again(!)...really low quality material. There is no mini bar. You figure for a 4 star you would at least have a mini bar. Then the service...I asked for a wake up call and did not get it. That was the first time this happened to me in western europe (only other experience was in Africa). I have to say the staff was nice but that's not enough. Overall, I really would not recommend it to anyone.	
Nov 26 2006 	Nice Hotel.......Beware floors 1 	Booked several rooms here for colleagues and myself in Nov 06.Decided to book following reading the reviews on here :-)Arrived early evening and was immediately helped with luggage into reception. Car Parking is ONLY via a valet service adjoining the hotel......alternativly there is an NCP just across the road which isn't advertised but is far cheaper. Having said that the valet svs isn't too bad for London. £5 for first 3 hours and then £1.50 per hour or part thereof.I was assigned a room on floor 1 which is 2 floors below ground and floor 2 is one below ground, thus making ground floor (reception, bar etc. floor 3) The Spa is on floor 1 and is right outside the lifts. There is then the LONGEST trek ever to your room if your unfortunate enough to get a room between120 -135. There are huge air con vents all along the corridor, I suspect this is because quite simply your below basement level. My room was furnished with a 3/4 bed and although there was a window it didn't open as we were below street level but there was a little light available from it. No bath just a huge walk in double shower which was fantastic, very hot &amp; powerful. Concerns regarding the room were that is was sparse, very low level lighting meaning one had to move the mirror just to be able to see, no hairdryer available either. But the WORST aspect was the smell in the whole room which hit me on arrival, it smelt terribly of bad drains, this came and went throughout the day &amp; evening and sometimes was unbearable. I would suggest this is down to the toilet being not on the main drains due to the location below ground and was a maccerator type flush (VERY noisy when flushed) The smell was pretty disgusting and on asking about it at reception I was advised &quot;This is a regular issue on floors 1 &amp; 2 but there's nothing we can do&quot; I was a little disappointed at the attitude of this 4 star hotel !Bar stayed open until 3am and snacks were also available. There are vending machines in several locations which stock alcohol and snacks and these are operated via your room swipe card and the items are then charged to your bill. Beware that the charges are expensive and equivalent to the dreaded &quot;mini bar&quot; in most hotel rooms.We had a Continental breakfast included in our room rate, this was adequate and pleasant. However if you fancy anything cooked i.e. a full english or pancakes etc. this will set you back an astonishing £22 !!!!!!! It's the same price even if you wish to upgrade to this from the Continental.Reception/Checkout staff very slow in processing check ins and departures resulting in huge lines of guests in the foyer.I would stay here again despite the problems it was a comfortable bed, nice vibe and a good bar area &amp; breakfast. BUT in future I would certainly request floors 3 &amp; above only.	
Nov 2 2006 	K-West our base camp!	We booked through Virgin Vacations. Other than a snafu caused by Virgin, the place is great (on-arrival Virgin tried to re-assign us to another hotel but we would not stand for that). The staff at the K-West seemed truly concerned and were cordial throughout our 3 night stay.This hotel is just a couple of blocks from the underground stop at Shepard's Bush and in a lower/middle class neighborhood. We never felt uneasy in the area. A Hilton Hotel is very close.The bed was very comfortable. That is most important, as you will be busy in London unless you are a dud and a good night's rest is imperative.Add to that the fantastic continental breakfast, Starbucks coffee and free use of the internet on 4 PC's and you have a special hotel. The motif is modern but not sterile. Our only real complaints would center on the legacy tv screens and rather low room lighting. I have some nice photos but they are too large for this web site.We would consider the K-West again on a trip to London.	
Oct 28 2006 	Lovely	I stayed in the hotel with couple of friends and it was one of the best hotels we have ever stayed in. Great service, excellent bedrooms and great atmosphere in the Bar. I was organizing a Hen party for one of my friends and I came across the K West site and there hen packages. Even though the reviews were quite mixed I thought we give it a shot. I AM GLAD WE DID. When we arrived at the hotel a lovely doorman helped us with our bags. The rooms were not ready as we arrived to the hotel quite early however we relaxed in the K Lounge having nice Starbacks coffee. The receptionist then got all out keys organised within half an hour and we were in our rooms.Beautiful contemporary design with no fuss. It was modern but not completely minimalistic. Very cosy.We had wonderful time in the Spa and my friend loved every moment of it.We will definitely be back.WELL done to all who was involved into making our stay exceptional.	
Sep 25 2006 	REALLY ENJOYED IT	I stayed at the K West for my boyfriend's birthday on Septemebr 16th for 1 night.I booked over the internet well in advance, and had no problems whatsoever, albeit i had to get a credit card just to book.I booked us on the Love is package as a suprise which included a treatment each in the Spa, the room decorated with balloons and champagne and strawberries delivered to the room.When we got there, we realised Shepherds bush is not that nice an area, but it had a cinema and a load of restaurants and lively bars around which would have been good for us had we been staying longer. it is also very close to the tube which was very handy.When we got there the hotel was lovely despite the surroundings. The reception staff were helpful, and i had no problems.When we got to the room , it was decorated as planned with helium balloons, that really started the stay off well. The room was a good size with a massive bed and a huge TV. (i did pay the extra for an executive room!)The bathroom was small but pleasant and the free robe and slippers were everso cosy.The spa was fantastic. We had a full body massage each, and then had full use of the jacuzzi and steam rooms etc. Came out feeling totally relaxed. My boyfriend was in bliss. i would definitely say to try it.When we got back to the room, i called down to reception to get them to bring the champagne up. i was expecting a half bottle of champers and a couple of strawberries,(you know what these expensive hotels are like) but when the knock on the door came we were presented with a full bottle of champagne with ice bucket and a well presented dish of belgium chocolate dipped strawberryies. IT WAS MUCH MORE THAN I EVER EXPECTED AND VERY PROMT.We then did our own thing in the evening wich was made all the more easy with the tube being so close.We also had breakfast included the next mornng. i recommend not to have it sent to the room, as this is quite expensive and the Kanteen where it is served is lovely anyway. The breakfast was HUGE! 3 courses and well worth the money.The free internet access was useful, and the all the staff, (especially Magda at the spa) were really friendly.Despite all the bad reviews we thoroughly enjoyed our stay. it was pricey but worth every penny. We had none of these problems with the credit cards, and overall really enjoyed ourselves. Would we stay there again? YES, but only when my bank balance has recovered from this time.	
Sep 17 2006	Not as Bad as You Would Think	I was really worried about staying here after reading all the bad reviews here. The hotel was very nice for the price, large clean room with everything working fine. We had no problems with the staff or anything at the hotel. The neighborhood is a little more rundown than in the expensive tourist areas. But for a large city, it’s really pretty good. The location was very convenient to the tube and the major tourist destinations were a short ride away. We bought a week Oyster Card and had no trouble getting anywhere. There were some really good reasonably priced restaurants within a 5-10 minute walk and within a 10-15 minute tube ride and walk. In all of our walking around Shepard’s Bush, we never felt unsafe. All in all, this hotel is good value for the money and probably a better room than you will get elsewhere in London for the same price. If you want a cleaned-up tourist destination, then don’t stay here. If you want a big city experience where people actually live and a convenient location, then this is a decent choice.	
Sep 11 2006	no credit card	I was really looking forward to staying at this hotel as an anniversary treat for my husband and myself. I was booking the room when I discovered that you cannot book without a credit card. I couldn't believe that a debit card would not be acceptable so rang the hotel and spoke to the duty manager who explained that not only do they require a credit card if you book direct with the hotel but even if I booked the room through an operator and paid for it in advance with my debit card I would not actually be able to stay in it as a credit card would be required on arrival. Apparently this is a recent change in policy. But I very disappointed and it seems a bit ridiculous to turn away guests just because they don't have a credit card!	
Sep 11 2006	The KWEST was Okay....	My arrival experience at the KWEST was good. But, the location of the hotel was horrible. No, I didn't think that I was going to die, although, I had to question the neighborhood of the hotel's location ( Shepherd Bush). The KWEST is very far from the tourist attractions, museums and Most of ALL the NIGHT LIFE!! I love to go to restaurants, parties &amp; shopping! And, someone you loves these types of activities and being far away, could be a bit of a problem! Other than the things that I mention, the KWEST is a very modern hotel, unlimited Internet access:) &amp; the Staff was OK.... I wasn't very please with some of the ladies that work @ the bar, but, that wasn't the worst thing, that One, could encounter on their European vacation! I did have a problem with the Front Desk, in regards to a Fed Ex package. I left my IPOD behind, and I ask the Front Desk if they could charge my CC and Fed Ex my package to my new destination in Paris. Well, that was definitely a problem and it took over a Week to get to Paris, which I thought was Absolutely ridiculous. I found out that it was still in London and on the last day in Paris, I was Screaming at the Front Desk Manager and he personally had it sent to Spain. All together it was OKAY, besides the location and the deliverance of my package.	
Sep 5 2006	One night weekend stay	We enjoyed our brief at the K West this summer. The (upgraded) room was large with a lot of natural light, the best feature being the massive bed. Unfortunately the ultra-modern cool look the hotel strives for is undermined slightly by the fact that the rooms are starting to show their age, not tatty, just a little frayed around the edges. The hotel isnt located in the most tourist friendly of locations if you'd like to walk to London attractions, but isnt a problem if you're prepared to take a cab. One of the features of the hotel was that it seemed to attract a more diverse and interesting clientele than the usual tourist/business class. This may also have been related to the busy modern cocktail bar open til late.Due to the location of the hotel, if you're driving in, you'll feel obliged to park in the car park next door - be aware its not cheap and there are no discounts for being a guest. Overall, we enjoyed our brief break from the countryside but there are quite a few 'hip hotels' to choose from London, so next time we'll try somewhere else.	
Aug 25 2006	Awful hotel items stolen from room.	A number of problems with this hotel. Would advise all to stay away.1. Hotel in a run-down area of London, despite outward look of the hotel.2. Safe and fridge both broken.3. Bathroom floor filthy.4. Ridiculously expensive add ons. Spa use is extra, breakfasts are around 20 pounds for an english breakfast! 5. Walls paper thin.6. Key cards not corectly programmed***** 7. Items left in room were taken, hotel informed of this and took no action. If you want your possessions to be safe, do not choose this hotel.On the plus side, the bedroom was clean, the room was sizeable.	
Aug 13 2006 	Decent hotel but bit noisy	Having read all the reviews prior to going to stay here I was really worried. Our experience was that we needed a hotel close to a gig in Shepherds Bush, so location was ideal, no complaints.The hotel was modern and clean, staff friendly although we didn't see them much as we were out a lot.Room was clean, tidy, bed big and comfortable, air con was working fine, bathroom spotless. So no complaints there.Only problem was we were staying at the same time as madonna's tour crew who had the day off, and seemed to be an impromptu party in the room next door to us that went on from 11pm til 4 am, comings and goings, knocks on the door, room service, much merriment. Now this is fine, but we would have liked a bit of sleep (or at least an invite to the party) ... so I have to conclude that perhaps the walls and sound generally in the hotel is not great is you like a bit of peace..... having said that if you do stay make sure its not when Madonna next tours and you should be ok....Can't comment on the food as we ate elsewhere and left before having breakfast...All in all did the job as a convenient hotel close to a venue we had to be at....but there are nicer areas than Shepherds Bush ....	
Jul 31 2006 	The most regrettable hotel experience that I can think of.	The photo's of the hotel are lovely and it looks a very nice clean cut modern and stylish hotel. The website is quite classy in a very low key kind of way.The room was excellent. It was the Embassy Suite and came with a nice widescreen tv, Bose DVD player and PS2. The bed was a kingsize and faced the window which ran the length of the room. There was a dining room table with two chairs. The sofa was positioned against the wall with the longest part of the table opposite. The bathroom was small but well designed. There was a fridge in the room.The hotel states it is near Kensington and Notting Hill and these are in walking distances. This is a stretch if I am honest as it is plainly in Shepherds Bush which is ok but not where I would be paying this kind of money for a hotel.I booked using a credit card. It was in fact the wrong credit card and I made a mistake. The day of our arrival we got a call stating my credit crad had been declined. Quite why they were using my credit card without my presence I do not know. I presumed at the time they were trying to have the money on my credit card allocated. I expected my credit card to be declined as I have a low limit and as stated I used the wrong one. I gave the woman the correct card details and she confirmed that that went through fine.Several hours passed and we turned up at the hotel and gave the Russian receptionist my card. She then ran it through again and it declined. I checked my bank by phone and I had ample credit. I asked a good friend to check online for me and again they confirmed the same. The receptionist then produced a WAD of receipts for VARIOUS amounts all confirming that my card had been declined. SOme of these had been done at my request but the majority had not been done.It was at this moment that TWO GUESTS came up to me and said they have had the same thing happen but despite the card being declined the transaction had gone through. They also stated that the Hotel actually is not charging my card but trying to allocates the money on my card to them so that I can't spend it but the interesting thing is they do it twice. Why I don't know but they do and thats why it hits the credit limit so if you have little credit left or a small limit you will have this problem. The following day I used the SAME credit card to pay the balance with NO problems. This was not a problem with my card but a problem with the way the Hotel book. Unfortunately I didn't take the name of the original person who called me and ran my credit card through successfully and of course no one knew who it was.I stood at the desk for 45 minutes arguing with them and they could do nothing to help me. They would allow me to pay using a debit card. After allowing me to do this, they upgraded our room and gave us free water and fruit (4 apples).The room was lovely but if any of you know of the heat in the UK in July you may remember it was mid 30's and therefore very very hot. The broken fridge and almost non existant air con obviously didn't endear the Hotel to me.We ordered room service which was excellent it must be said and the breakfasts which are over priced are really very good. Despite this, my stay in the hotel is one that I regret.	
Jul 31 2006 	Loved the cool design of this hip hotel	I stayed at K West Hotel &amp; Spa this weekend and absolutely loved it. The design was extremely cool and staff were really friendly and helpful - it's also such an amzing place for people watching. I had an hour massage and also used the PowerPlate in the gym. I thought the spa was one of the best I've ever been to and I can't wait to go back for another visit. The room was much larger than other hotel rooms I've stayed in in London and the bed was huge. Perfect for a romantic break away!	
Jul 7 2006	Spend more Stay Elsewhere	We had assumed that the lower rate relative to comparable hotels (~£130 / night) was indicative of the hotels location. Unfortunately, the quality of the room and common areas left much to be desired. If you're looking for a nice place to stay... take the hit and pay for a better hotel. The location is not horrible, only a few tube stops away from some good restaurants and shopping.Our room (deluxe king) was spacious, and the linens were clean. The bathroom, however, was disgusting. Add to that some worn-down low-end Ikea type furnature.The weather was warm in London... and the AC unit in our room was unable to provide adequate cooling. The common areas offered no refuge- as they appeared to be not air conditioned at all. Overall- we'd give the room a C-. We won't be back.	
Jul 6 2006	Not 4 Star at all	We were very disappointed with our stay at the KWest Hotel in London.My wife and I were on our way back to San Francisco after ourtwo-week honeymoon in Greece. We specifically selected the KWest Hotelbased on its 4star recommendation as we wanted to stay somewhere nice onthe last night of our honeymoon.We arrived at KWest at around 10:30 at night, needing a shower and somerest. When we turned on the water in our room, it made a horrible,vibrating sound -- like someone had turned on a garbage disposal. Afterthe sound did not go away, we called management. They said they would be right up to take a look. After 30 minutes, themanager on duty finally came to our room. Because we still were unableto take a shower, or rest, we asked to be switched to another room whilethey dealt with the problem. They offered us a smoking room with twinbeds. I told them that was unacceptable and that I did not intend to pay morethan $250 for a smoking room with twin beds. Amazingly, they finally&quot;found&quot; an acceptable room -- at about midnight.The sound the water made in our room was horrendous. The fact thathotel management did not try to make amends for this until they wereforced is even worse. I will never stay here again and I wouldn'trecommend it to anyone.	
Jul 3 2006	Overpriced and poor service	Myself and 10 friends recently stayed at the K West hotel as part of their advertised &quot;Hen Package&quot;. Our stay started well, having been greeted by the manager and welcomed to the hotel. One member of our party had booked for day spa, but then decided to stay the night and paid the £35 extra person charge to stay in an occupied room. As the rest of the party had been given a voucher for a glass of champagne, we asked if she too could have one - but this was flatly refused, despite the fact that we were spending £125 on lunch at the time. Eventually the manager agreed (extremely reluctantly) to give an extra glass of champagne. We then headed to the spa for our afternoon experience, to find a very small spa area consisting of a jacuzzi, steam room and sauna, and 5 sun loungers. We were not the only hen party, so the area was extremely small for over 20 people with inadequate space to relax. The chemicals coming off the jacuzzi were also very strong, and so a number of our group had to leave. On a plus point, the treatments on the whole were very good (although the nail polish used for manicures and pedicures seemed to run off easily). Most upsetting however was the fact that at 4am the next morning 2 men were allowed to check into the hotel with a woman, and on going to their room proceeded to shout, argue and make a lot of noise. On hearing screams from the woman, members of our party called reception, but then the men tried to find out which room had complained and stood outside their room for some time, making our party scared &amp; unable to sleep. On raising this with the duty manager the next day, he was completely disinterested and refused to give us any refund until he had spoken to the general manager the next day, and would not guarantee not charging to the credit cards given at the time of check in. It took nearly 2 hours to resolve, when finally he agreed to our original request of a discount off the package price, but still failing to apologise for the poor service and most importantly the upset caused.	
Jun 19 2006 	Not recommended	Arriving at the hotel I didn't receive the urgent message my husband had sent me by email. Never got it until the end of my stay, although asking them to check their email for it. The room was definitely too small for 1 person - note that this was supposed to be a double room ! Additionally the room definitely needed refreshing. Bad smell at times. Air condition didn't cool down enough for summer weather. No minibar in the room. There was a hairdryer but no possibility to plug it in in the bathroom - had to use it in the bedroom where the mirror was placed too high to use it (unless you 're 170 cm or taller).Although breakfast was included in the price, they charge you extra for a Cappuccino. The day I received flowers, I asked for a vase and didn't receive it before the next day -after asking for it again. After having paid way too much for the experience described above (i.e. for the room), they charge you an additional 10 pounds for using the gym (per visit of the gym). One positive remark to finish: Adel, a very helpful employee, helped me out with his private mobile phone charger as mine was not working. Thank you again - this was very much appreciated. !	
Jun 18 2006	Well worth it	My husband and I had wanted to stay in this hotel for a while as had heard good reviews so we booked ourselves in for a Saturday night. We were slightly concerned when arriving as the exterior of the hotel does not make a great first impression. The inside however was very different. There is just something very cool about this hotel. The staff, the atmosphere, the simplicity and the decor all attribute to a true 'hip' hotel..Our room was very spacious and very comfortable. It was simple yet very classy and had everything we needed. A mini-bar would have been good, but the lack of one was not a big problem. There were vending machines, but I think the cheapest option as around £6 for a drink and a snack.We got a weekend deal which meant we payed less then half of the normal room tarrif. It was a really great hotel and we would definitely stay there again, but probably only if we could get the same sort of deal as I'm not totally sure it warrants the normal price tag for a night's stay. If you are someone for whom money is not an issue however then I think you would get a lot more out of this hotel.	
Jun 13 2006	extremely disappointed	I was very disappointed with my stay in the K West hotel this past May. For the price, it simply does not measure up. The room itself was average-sized and well-decorated, though it looked in need of freshening up. The room definitely did not seem new. There was also no mini-bar. Instead, one could use their key in vending machines located in the hallway outside the rooms. These machines were not well-stocked, and many did not work. The air conditioning worked well, but was a bit loud. I had a room facing a back street, which was loud and smelled of cigarette smoke. The cold water in the bathroom ran consistently very hot. The shower arrangement was confusing, and one had to guess what an appropriate temperature setting was, as there were no markings to indicate whether you were making the water hotter or colder, and the temperature varied so much that it was more than a bit anxiety-inducing. I was very worried that I might end up burning myself. The bathtub itself was cracked and peeling, and the showerhead was not a handheld and was instead a very poorly-situated wall-mounted showerhead. The hairdryer was powerful, but hidden in the recesses of one of the closets. Every night when I came back to the hotel, I was greeted with a loud and raucous afterparty at the lobby/bar for various musical acts who had just played at Shepherds Bush. This seems to be a regular occurrence. Much of the desk staff did not speak English very well, and others were quite rude. Getting a cab is difficult. If you do not ask, they will call for an unmarked cab from a minicab company that they have aligned themselves with. These cabs do not take credit card. Requests for a black cab can take up to a half hour.There is complimentary internet down in the lobby, with about 4 fast computers available at all hours. This was much-appreciated.Overall, I would only stay here again if I could get a good deal and if my destination was very close to the hotel. Otherwise, I'll be looking elsewhere.	
