	excellent	very attentive staff and lovely hotel. upgraded to a suite which was very luxurious. breakfast great with a good choice of hot &amp; cold.	
Jun 16 2009 	Nice hotel but poor management	On arrival we were given a room that did not match the reservation - a small dark room with only one small window at the end of a deep alcove that opened directly onto a noisy installation (ventilation system?). We phoned to reception for another room and we were quickly offered another and better room. We were told it was also an upgrade but it only seemed more like the standard we had reserved in the first place. Within just about 15 minutes there was knocking on the door from two men who said they were maintenance staff in response to a reported leak. Having heard of tricksters saying they were maintenance staff to come into rooms, we said we would have to call reception to check. Meanwhile a manager came and confirmed it was genuine and one of the men made a quick check of the bathroom but found nothing amiss.Next day we returned to the room at about 2pm to find the key-cards didn't work and a passing maid couldn't make them work either, so we had to go to reception and get new ones, and when we got in our room found it hadn't been made up. Apparently, housekeeping hadn't been informed the room was now occupied (although we had switched on the green light to indicate the room was ready for cleaning).Next day the same thing happened - the key-cards didn't work and a manager had to bring up a third set. This time the room was made up but there were no cups replaced so we had to phone down again for some. We didn't bother to complain about the tv not working properly (channels would suddenly cut out and/or the picture break up).On departure we were told an email with apologies would be sent to us, but one never came (now 9 days ago). The hotel was otherwise of a good standard in a good location, and the staff was very friendly and helpful in their manner, but over all the experience was not what we had expected for a 4 star hotel in the West End.	
Jun 15 2009 	What a lovely upgraded hotel !	Stayed for 2 nights on the way back from St. Petersburg - prepaid internet rate was 345 pounds for 2 nights inclusive of taxes, complimentary newspaper but excluded breakfast but included complimentary internet in the rooms. Hotel has just recently undergone major refurbishment and was really nice and very well furnished with a separate walk in closet area. Room was not spacious but was very adequate. Location was excellent for access to Covent Garden and the West End. We love West End shows and the restaurants at Covent Garden and Chinatown - all within a 10 min walk.	
Jun 15 2009 	Very comfortable stay	Stayed for 2 nights in a superior room, which although a little small, was very comfortable and clean.The bathroom was spacious, clean with an excellent shower.The breakfast was reasonable enough, and included in our room rate. The cooked English breakfast could have been a little warmer, and I would have been disappointed if I had paid the £17 menu price. However, tried the pancake option the next morning, which was very nice. However, there were a good choice of additional breakfast options, and service was quick and attentive.As has been mentioned, very convenient for both the British Museum and Covent Garden, and short taxi drive to St Pancras station for Train and Euro Tunnel links.We found the staff to be very pleasant indeed, and credit to the barstaff who whipped up a mean Mojito. Didn't try the restaurant but the bar meals were very agreeable.Will be our London hotel of choice for future visits	
Jun 12 2009 	Great service in ideal spot	Excellent service from a friendly and knowledgable team. Will definately use again if up again	
Jun 12 2009 	Ideal location with exellent help from the Hotel staff	We came with freinds for a Westend show and arrived very early but our rooms where vacant so checked in the where Staff so very helpful , the rooms very modern with all we needed ( very quiet hard to find in hotels these days ) We had all our meals at the hotel very good choice both breakfast &amp; dinner and on departure we left out luggage for the whole day until train time home an excellent experience all round we will stay again .	
Jun 7 2009	excellent hotel cool design more like a boutique hotel . pricey but its London	We had an excellent stay, the hotel staff were excellent, the design of reception area and bar is fantastic. we were given a smoking room instead of non smoking, but the staff were delightful and the manager attended to the problem.The bar super, even if just one person you could go and sit in it, very sumptuous.Fabulous location, near oxford st, covent garden and many other places.Make sure you book early to get good price as it is expensive. although not too bad for London.	
Jun 4 2009 	The perfect weekend!	Our trip to London was to see We Will Rock You (a brilliant show and one I would definitely recommend) and to meet friends. On our arrival at the hotel our room wasn't quite ready and immediately tea and coffee appeared with compliments of the hotel. I absolutely loved the little cast iron teapot. The staff were very helpful and friendly and nothing was too much trouble. Our room, an upgrade, was very spacious and extremely comfortable and our walk in rain shower was huge. Bliss! As someone with MS, space to move around easily is essential and I later realised we'd been moved to a much nicer room so I owe the reception manager (I think that's his title) a huge thank you. I appreciate all the extra effort he went to.The breakfast was exceptionally good and the breakfast manager (I think that was his title) who had served us the tea and coffee the previous day had obviously remembered our conversation because porridge appeared almost without me having to order it. Scrumptious. The cooked buffet was hot, very fresh and had an excellent selection. My husband said it was the best breakfast he'd had in a hotel in a long time. The cold buffet was just as good and there was plenty of different freshly cut fruit to choose from. An excellent start to the day.The hotel is walking distance, even for someone with MS, to Covent Garden and the West End so the location is brilliant and there is lots to see and do nearby. If you can't walk that far there are lots of bikes that could be hired and take you wherever you need to go and they're more fun than a taxi. The British Museum is just across the road and the garden is a really nice place to sit and people watch or just experience the beautiful building and artefacts.It was the perfect weekend and we are already planning another theatre trip. We will definitely go back to the hotel again and hopefully very soon. Thank you to all the staff who made our stay perfect!	
Jun 3 2009 	good service rooms really only for 2	great service rooms suitable for 2 only cleangreat location	
Jun 2 2009 	Outstanding Service	I stayed at the Hotel as part of a two day meeting and i was very impressed at the level of service, the standards set and the fantastic facilties the hotel had to offer.The staff was very polite and helpful and put themselves out to help in anyway they could.Rooms was superb, clean, spacious and had all the mod cons (Internet, Wireless Access, Large LCD TV etc)One of the best parts is the meals served in the restaurant, which had been prepared to the highest standards and food that caterred for everyones taste. Overall top marks, and i will certainly use the hotel again in the near future.	
May 31 2009 	Stylish comfortable friendly efficient staff	This hotel is situatred in the heart of theatre land. It is clean and stylish. The staff are very helpful, friendly and efficient. I enjoyed my stay in this hotel and would definitely advise others to go.	
May 25 2009 	Great location	Friendly,clean and central hotel with comfortable and small but good bathroom	
May 23 2009 	A comfortable new hotel in a good location	We stayed a few nights in March. The hotel is very newly refurbished and has modern decor. The room was quite small, but not sure how this compares in London. The bathroom was enormous and fantastic (except for the hairdryer which - bizarrely - is powered into a draw in the wardrobe in the bedroom!). The hotel is walking distance to British Museum, Covent Garden, Oxford Street etc. It's a good base for exploring on foot. The internet didn't work when we were there, but we could use the internet at the sister hotel just across the street. When we checked out they charged the wrong rate - saying the rate fluctuates daily! After a few minutes and after they checked the rate on the check-in form and my booking confirmation it was fixed and the overcharging refunded - so no major dramas - but suggest guests keep an eye on it when checking out.	
May 22 2009 	Perfect Location	Shopping or theatre land ? This is the hotel. Just a few minutes easy walk to shops/ theatres./museums. In fact from here you could walk to almost any London attraction but buses and underground are on hand. Totally renovated to a very high standard, staff really helpfull. Full Breakfast has everything you could want. Very good value for money	
May 20 2009 	Very nice hotel - much better than anticipated	We originally booked at the Radisson Edwardian Kenilworth but, on arrival, were redirected to the Bloomsbury Street hotel which was just across the road.The hotel has been refurbished recently and is in first class condition in the rooms and in the public areas. The rooms are of a reasonable size for a short stay (slightly larger than many I have stayed in) and are very modern, clean and well equipped.Reception staff were efficient and helpful and all other staff were very friendly.The hotel is conveniently located for Covent Garden and the West End theatres.	
May 19 2009 	They've got it absolutely right	I booked the hotel for a romantic birthday treat for my wife. I paid a bit more for a deluxe room, but boy was it worth it. The room was a reasonable size, much larger than I'm use to in London. The decor was modern and fresh and the room spotlessly clean. My wife is always fussy about the bathroom and even she couldn't find anything to complain about!!! There were no cups in the room to make tea/coffee, mentioned it to reception and it was rectified by the time we got back, so really not a problem. We were going out for afternoon tea and the theatre so didn't get a chance to sample the restaurant and was gutted when we saw the menu as I think we missed a great opportunity, the menu sounded great and very reasonable, the head chef, Redmond Hayward has an excellent reputation and I would urge you to try the menu as I think it would be worth it. If you haven't booked yet, why not?????	
May 18 2009 	much much better	Having stayed at this hotel in March and being very disappointed. I was persuaded by the hotel manager to give them a second chance.This time the hotel was faultless. Check in was quick and painless, and after about 15 mins of being in my room room service arrived with a bowl of fruit and a bottle of wine. Which was a nice touch. The room was comfortable and quiet. And the bar was the same as before. friendly staff and not too overpriced for a West End bar. In fact everytime I walked by a member of staff they greeted me with a smile and a cheery hello.The location of this hotel is excellent. Just a short walk to Soho where I always have a great time.I will definately be going back soon.	
May 17 2009 	Superb Hotel and Great Staff	having arrived after an overnight flight from the US into Heathrow and heading into central London was pleasantly surprised that at 9.30am the front desk team had a room ready for me.The receptionist was helpful and gracious and check in was speedily completed.2nd pleasant surprise was the room - newly refurbished, well laid out and clean.After a quick unpack and shower in the well appointed bathroom i hit the mattress for a sound 3 hour sleep.Room facilities were excellent and the in-room directory informative. The quiet ambiance of the lounge bar was the perfect way to have a pre- sleep tippleChecking out the following day, I was able to leave my luggage securely as I did around 4 hours of shopping.Can not praise the staff highly enough - made me feel welcome and I will hopefully be back in the near future.	
May 16 2009 	The best stay in London I have ever had!	This hotel was a dream, I stayed for a long weekend with 3 girlfriends and it was made very memorable by the quality of the rooms we had and the friendly efficient service we received. The location was ideal, within easy walking distance of top London attractions and hot shopping spots. We enjoyed days out aided by the concierge who gave us loads of tips on where to go and how to get there, and knew we would end our day in the comfort of the beautifully decorated and comfortable lounges, bar and bedrooms of the hotel. Thank you to everyone there for making it the best trip to London I have ever had!	
May 13 2009 	Great hotel within walking distance of Covent Garden	I recently stayed in this very modern hotel which has been totally refurbished from last year and the standard of rooms and service is first class. A large selection at breakfast and very tasty fresh food. The staff were very friendly and courteous. It is in a superb location as it only takes about 10 -15 minutes to walk to Covent Garden and Leicester Square. Overall I thoroughily enjoyed my stay and will definitely visit again.	
May 11 2009 	Jersey boys trip	Booked the hotel because of is proximity to the Prince Edwards theatre. Hotel was excellent, staff lovely and location great. Would recommend it.Jersey Boys was also amazing. Woudl use Hotel again ,and go to the show again.Also if you want the British Museum, couldn't be closer - just cross the road, and about 200yards along, you're there.	
May 10 2009 	A superb hotel for a lady on business travelling alone	The team at the hotel were excellent. Professional, polite and polished. A lovely hotel, excellent cuisine with beatifully furnished and highly clean and comfortable rooms. I would love to stay here again with my family on a holiday trip to the city.	
May 2 2009 	A Great London choice	Near to Tottenham Court Road Subway Station. 100 m to British Museum.50 m to Oxford Street.Great continental breackfast.	
Apr 24 2009 	Everything that you want but don't expect from a London Hotel	Arrived at 11.00 to be welcomed &amp; told my room was ready, not what I'm used to. Staff extremely polite &amp; efficient. Everything in Hotel is brand new &amp; it shows. Breakfast was one of the best I have had, all hot &amp; fresh, eggs cooked to order &amp; correctly (again a welcome change)Location is ideal, 2 mins from Tottenham Court Road Tube. If you are in London, it is worth paying for a quality hotel &amp; in this caser, that is exactly what you get!	
Apr 8 2009 	Very very comfortable beautifully refurbished in great location	The Radisoon Bloomsbury was an excellent hotel in London. It has been beautifully refurbished, the rooms are gorgeous, the staff are attentive and breakfast is lovely. Very close to the theatre district so take a show in while you stay there!	
Apr 6 2009 	Friendly comfortable and convenient	The hotel is situated a slight walk away from Tottenham Court Road, and although difficult to find initially, the staff are welcoming and pleasant. I have stayed here on two different occasions, once booking a Queen Suite, and once being offered an upgrade to a Kings Suite. Both visits were extremely friendly, reception and room service staff were delightful and offered advice on surrounding areas, as were management who were quick to help with any problems.For people travelling with partners, the rooms are ideal and cosy, quiet and comfortable. The hotel becomes an ideal break from the hectic city life, and yet everything remains at a close distance if needed.	
Apr 3 2009 	Solid comfort.	Emerging from its major refurbishment, Radisson's fresh Bloomsbury Street Hotel (former Marlborough) offers comfortable accommodation, great breakfasts, a fine restaurant, attentive and courteous staff, in a convenient central London location. Size, comfort, work area, and storage space of individual rooms varies.	
Mar 31 2009 	very welcoming hotel with excellent positions and value for money	I stayed for few weeks in this hotel. The young staff was just incredibly welcoming and helpfull (special thank to Monika from the front desk helping me out with many issues I faced during my long term stay in this hotel). Beside that the hotel is just 2 minutes walk from Oxford Streed. I definately recomend this place.	
Mar 30 2009 	Great experience	One of the best city centre hotels I have ever stayed in. I have never stayed in London before but have travelled to many European and North American cities. The room was not the biggest, but was very good. Tastefully decorated and furnished and had everything needed for a short city break, iron, hairdrier, mirrors in useful places, good lighting etc. The bathroom also was excellent, good shower and plenty of room for toiletries. Location also was great for theatre, transport and places of interest. Picked for proximity to Royal Opera House. Staff friendly and helpful.Would use this hotel again and would recommend without hesitation.	
Mar 30 2009 	Excellent hotel in perfect location	My husband and I stayed here on a recent trip to London to see a show and we were not dissapointed. The hotel is easily found if you travel to Tottenham Court Road tube station and perfectly located for Theatreland - 5-10mins to Shaftesbury Ave. We arrived early but booking in was not a problem - room was very nice if not a little small but it had everything that was needed and you could tell it had recently been refurbished. We ate in the hotel that evening and had a very reasonably priced meal - they even ensured that we were served quickly to ensure we got out in plently of time for the show. The only slight problem was we made a reservation in advance and they had no record of this - however it was not a problem and they got us a table very quickly. All in all an excellent hotel in a great location for a very reasonable price. Will definately stay again!	
Mar 28 2009 	Too bad about the service	Nice hotel. Great location. Nothing quite works. We stayed here for 8 nights... room upgrade gave us an extra long hallway to the bed room, and we had to ask for everything. Case in point(s): coffee is provided on first day, but you have to haggle for it after that, business centre consists of two old (er) PCs on a shelf, no printing, the internet in the room works if you wander around and get a signal and it constantly shuts out, and room cleaning consists of NOT cleaning any of the glasses/cups one uses but making the bed, and finally, if you order room service, be prepared to wait for it to come from YORKSHIRE. That said, bathroom was a really nice size and the gym was very much usable. Concierge decidedly absent.	
Mar 27 2009 	Great Location - Wonderful Accomodations	This was my first trip to London and my first encounter with European hotels (room-size!)I traveled there with my 15 year old son and we requested a twin room. We were not offered any upgrades at arrival - but that was OK. We were granted early check-in which was great. After flying all night, riding the tube from Heathrow, and then walking from the station, we needed to just rest for an hour or two. The room was small, but very nice. The beds were nice and firm. My son did not like his pillow - for some reason he got a down pillow and the feathers kept poking him in the face. The bathroom was lovely! No problem with the water pressure at all. We opted to include breakfast with our room - and that was a good decision. Never had to wait and the staff were very pleasant. You could choose from the buffet or special order if you wished. Good supply of fruit, cereal, etc. We had room service 2 evenings and the food was delicious. I do wish though that they would have larger size sodas and use more ice!The hotel is in a great location. One block from the British Museum, 10 minutes from Covent Garden, 5-10 minutes from Soho. Lots of restaurants and shops around. The stop for the double-decker tour bus is right down the street.The staff were all very friendly. Gary, the concierge, was extremely helpful with information about tours, where to exchange money, and just general information. There must have been some construction going on - because we were woken every morning by banging and drilling. Good thing that we are early risers. Our room overlooked an apartment building - so no street noise. But, not much of a view. We most likely could have switched rooms - but I didn't see the point.The hotel has a &quot;business center&quot; - 2 computers in an alcove; but, they were easily accessible. Wireless internet is free at the hotel - which is a plus. Many other hotels charge around 20 pounds a day.Overall, a wonderful hotel and I would definitely stay there again.	
Mar 26 2009 	Nice surprise	was concerned what to expect , but was very nicely surprised with this modern hotel, decent room sizes ( especially for London) and good service. Likely to be rechecking in, especially with good location for Covent Gardens	
Mar 22 2009 	We enjoyed our stay immensely.	We are from Canada and stayed eight days. This was previously an older hotel that has now been totally and beautifully renovated. Our room was bright (lots of windows), spacious (for London standards) and well-appointed including the bathroom with it's contemporary fixtures, marble and glass features. The hotel staff were attentive, cheerful, hard working and very accommodating, even to promptly hailing cabs for us when time was tight. The concierge was very helpful arranging tours, dinner reservations and general advice about London. The morning host in the dining room had us seated promptly and easily attended to any dietary differences. The breakfast was great....fresh, tasty and appealing. It was nice each morning to have 2 London newspapers plus the Wall Street Journal available to us. The housekeeping staff were very efficient however lots of corridor noise in the mornings especially when we tried to sleep late! The front desk staff, while very pleasant, appeared somewhat disorganized and the internet/computers in the business centre were largely inoperative during our stay which was quite inconvenient since we were travelling without laptops (NB: we've since contacted the management about the housekeeping/corridor noise and the front desk/business centre issues and we were promptly reassured that both are now under control). The location is easy walking distance to almost anything in central London...Brit Museum one block away, Covent Garden, Leicester, Trafalgar, &quot;Tate&quot;, a multitude of great shops, restaurants and theatre. We look forward to a return visit to London and staying at this hotel.	
Mar 21 2009 	One blip expertly remedied; will be back	We booked direct through the Radisson website and the rate was reasonable for a hotel of this standard in this great location. We were there for our anniversary and the blip was that the concierge did not supply the flowers my partner had ordered in advance of my arrival which was a disappointment but the desk staff handled it expertly with a complimentary treat from room service. The hotel has been refurbished beautifully and our room was a wee bit tight but had a huge bathroom. One niggle which might put off light sleepers is the almost constant drone from an air vent in the bathroom; this does not seem to be controllable and might be part of the central air conditioning system. The staff appear to be expertly trained and the charming young man who delivered our treat was testament to this as was the professional young woman on the front desk who dealt with our complaint.The location is great and if we secure the same sort of deal again (or better) we will certainly be happy to use it as a base for a London weekend or on business.	
Mar 19 2009 	Great location price and quality!	Though the rooms are small (which is expected in London), they were very well decorated, clean, and included all the emenities.	
Mar 19 2009 	An excellent place to stay	We were well looked after from arrival to departure in this very stylishly furnished though still comfortable hotel.The food was was of a high standard as was the service.	
Mar 16 2009 	Great hotel Location 	We only stayed one night but chose the hotel as it offered good value and a location just a few minutes walk from Oxford Street &amp; Covent Garden. Staff were very efficient, especially the Concierge. Bar stays open until 2a.m. Drinks are pricey but the norm for hotels in Central London. We didn't eat Breakfast so can't comment on the food. Very sleek and modern rooms. Great showers etc. Would definately stay again!	
Mar 12 2009 	Ideal location for trip to the theatre and close to covent garden.	We chose this hotel because of its location to the theatre and found it to be only five mintues away!! Also close to Covent Garden and othertheatres, and Im sure we will stay here again for that reason. Hotel room was very comfortable and clean.	
Mar 8 2009 	Great Hotel Good Location	Excellent Hotel in a good location, great for theatre breaks.The hotel has recently been renovated to an excellent standard, bright and airy. The check in procedure was nice and simple with pleasant staff, although one member of the staff struggled to understand simple English, annoying but par for the course in London. Faulty Towers moments a plenty.The room we stayed in (deluxe queen) was on the first floor and was nicely decorated, ample sized and equipped with everything you'd need, except... a mirror near to a power point which really frustrated my other half as she needed to use her GHD's before facing the world. However being ingenious (and desperate) she managed to unscrew the shaving mirror in the bathroom using nothing but her bare hands and taking it into the bedroom... I would have just rang the concierge who I'm sure would have found one from somewhere!The wall mounted flat screen tv was ok but had limited channels couldn't even get the news which some people might find annoying. The bed was really comfy big enough for the queen in fact...The bathroom in our room was enormous with lots of hanging space. Unfortunately though, the bath over flow had become lose meaning water would have leaked onto the granite floor. Fortunately for Radisson I fixed it prior to using the fantastic shower which i could have stayed in all day... if i had the time i would have ! The bath was tiny and shallow which was a real shame as the bathroom was so large and opulent the small bath kind of let it all down.We didnt bother paying for the breakfast as we thought £17 per head each day was not worth it. Instead we popped around the corner onto Oxford Street and had a full breakfast and drinks for £7 each.The bar was about average for London price wise, about £9 for 2 small bottles of Magners and the service was what you'd expect in splendid surroundings.We did use room service one night but after 11pm the menu was a bit limited.We had a chicken salad baguette and chips for about £10, but it had to be done...We went to see Chicago which was only a 10 min walk away to the south and very easy to find on foot, Euston Station was only round the corner and about £8.0 in a cab. The nearest tube is just around the corner, Tottenham court road.All in all we had an excellent stay at this hotel and would not hesitate recommending to a friend, no doubt we would stay there again.	
Mar 7 2009 	A London Hotel With Personality!	London hotels are often overpriced with poor or barely adequate service and whilst this one isn't cheap, it doesn't leave a nasty taste in your mouth when you check out.The hotel has been completely refurbished and whilst the rooms (like most London hotel rooms) aren't large, these are really very stylish, as are the public areas.It's also in a fantastic location - a ten minute walk from Leicester Square and literally two minutes from the British Museum.Check in was friendly and professional. We were offered an upgrade for a 'discounted' rate, which we took - not sure I'd bother next time but Carmen on the front desk was quite persuasive and effectively earnt the hotel an extra £60. :-) We asked for a change of room, because the first room we were allocated was on the front of the hotel and we'd asked for a quiet room when we made the original booking. This was done immediately without attitude and we were phoned later to ensure we were happy with our room. Our 'deluxe' room was very nice with a king sized bed and large bathroom. And although it probably didn't warrant the extra cost (it didn't include a separate shower cubicle, for example) it did come with a lot of the 'niceties' including king sized bed, bath robes, mini bar and safe.We dined in the restaurant, which (again for London) we thought offered good value for money. It cost about £50.00 per head for three courses with wine, but the food was excellent and interesting. I had the lamb, which comprised beautifully cooked lamb fillets and a mini Moussaka - it was without doubt one of the top three dishes I've eaten this year. (And we do eat out a lot!)And although breakfast was the standard buffet affair, it was better than most.The second night we booked theatre tickets on the way back from a business meeting, which left us just 60 minutes to each and change. We ordered room service explaining our predicament and, as promised, it arrived within 20 minutes. Exceptional service again.As I've hinted, the thing that really set this hotel apart from all of the others I've stayed at in London over the last 10 years was the fact that the hotel seems to have worked hard to find and train staff who are polite, professional and friendly! In fact everyone we had contact with within the hotel was excellent and worked hard to make our stay enjoyable and problem free. Julia who acted as Maitre D on both days was fun and personable. The gentleman who looked after us at dinner was very friendly as were the bar staff too. This wasn't the usual anonymous customer service you get in large hotels - all of these people asked questions, engaged in conversation and showed an interest in their customers. In short this was service with personality, which sadly is all too rare.This will definitely be the first hotel I consider for future trips to London.	
Mar 6 2009 	Extraordinary in every way	As you walk in a young dynamic team of receptionists welcome you to this modern, &quot;fen shuei feel&quot; hotel in the heart of London´s West End, next door (and I mean across the street) from the British Museum. Rooms were spotless, the bathrooms lovely and with large rain-like shower head. Flat screen TV's and free in room WIFI. Check in and out were hastle-free. And the hotel is walking distance from Covent Garden, Chinatown, Leicester Square.....	
Mar 5 2009 	Electrocution... No Heat... at a 4-star hotel!	Awful. When I arrived, I was offered a room upgrade. I decided it was a decent offer. How wrong was I... My room had no heat. I discovered a leak coming through a light socket in the shower... while I was in it!!!! Asked room service three times over a period of three days to clear out the mini-bar with no success. Finally had to go directly to the concierge to have him send someone up immediately to take care of it. Had multiple line item charges on my bill because of the above-mentioned mini-bar fiasco. No communication happening between day shift and night shift. Oh, and did I mention, the habit of housekeeping of leaving behind dirty dishes... Three days in a row and counting. Please, can I have a clean coffee cup!!! I still have two days left on my stay here and am very much regretting my choice of this hotel. While the location is optimal if you want to be near the BM, Covent Garden, the service, the staff, the quality of the rooms are not worth the price. I'm in a &quot;superior room&quot; and this has been the worst hotel experience I've had after multiple business trips to London. If you want a 4-star hotel in the center of London, don't come here.	
Mar 4 2009 	Great location nice large well appointed room	A perfect location for a weekend in town - walking distance to major shopping areas, West End (theaters), lots of restaurants, cafes and bars. Very friendly and welcoming staff.The room I had was - for London standards - quite large, very well maintained (must have been completely refurbished only very recently) and nicely decorated. Bed was comfortable, noise level from outside negligible (make sure you get a room looking to the courtyard, otherwise you will look onto a fairly busy street). Bathroom was modern, freshly refurbished, had all amenities you would expect, and was perfectly clean.Overall - I definitely would come back and can recommend the hotel without restrictions.	
Mar 4 2009 	Perfect for my first trip to London	Great location and value in a brand new hotel...I'll go back	
Feb 22 2009 	Glad it was only a short stay	I spent one night her in February for a quick work trip. I had a late dinner with clients and didn't arrive at the hotel until midnight, so luckily I literally just slept and took a shower the next morning and was gone by 8am. The check-in staff was very nice and although they ask you a lot of questions like phone number, address, email (didn't they get this when I made my reservation?), it was still efficient.The location is very convenient to my office in Covent Garden and is also central to most of the West End sights. Usually for business I choose a 4-star hotel, but this was a last minute trip and since I was booking the day before, most places were expensive. I ended up taking the Secret Hotel on Last Minute for £105.Based on how much all the other hotels were, I guess I was satisfied with the value and obviously I know how expensive London hotels are, but I still think £105 was a rip-off for the room I stayed in. I was put in a twin room, which I had actually never experienced anywhere before. It reminded me very much of an inside cabin on a cruise ship. Two twin beds, a chest of drawers that was also a desk that also had like 7 different switches on it for different lights, hair dryer etc. The TV was really basic. There was a closet right when you entered the room. The bathroom was extremely small and there is no way 2 people could have been in at the same time. The shower was on that has the folding door, barely enough room for you to raise your arms to wash your hair. It's not so much that I can't handle small spaces, but there was no room to put anything. It was just a sink, no shelf anywhere in the bathroom and no room to balance my toilettrie kit on the edge.It was fine for a one night stay that literally just involved sleeping and a shower, but overall the quality was not very good at all. There were stains on the carpet and the blankets were thin and poor quality. They looked like they had been cleaned, but there were old stains that looked like they wouldn't come out on the white blanket cover.I feel like I can handle a less than superior hotel if necessary, but I will not be booking this hotel again in the future when I travel to my London office. I saw some much nicer hotels that were available for £30 more and I would definitely book one of those in the future.	
Feb 14 2009	Great LocationGreat Staff	I stayed 13 nights at this hotel with a theatre tour group. Our room was newly furnished with comfy twin beds,tv,two desks,one for each of us,a fridge,iron and ironing board. It was quiet,elegant,convenient. There is an ATM across the street,two free computers in the lobby for the use of guests, a lavish breakfast buffet, daily newspapers,speedy elevators,and a cheerful,responsive staff. Our room was cleaned while we ate breakfast.The housekeeping staff took care of every request at once.(I needed a rubber floor mat in the shower) The maid cleared out the mini-fridge contents so we could keep our own fruit and beverages in it during our stay. This hotel is within walking distance of the British Museum,Covent Garden, plus many ethnic restaurants and even a Sainsbury's supermarket.	
Feb 9 2009	Good location and comfortable stay	Excellent location, just a short walk to Convent Garden, British Museum and theatres.I arrived during the morning to drop my bag but was offered to check-in as there was a room available. The (standard) room was small but perfectly adequate for one, with a comfortable double bed. It was tastefully furnished and the bathroom was stylish and spotlessly clean. I do have three small points that I only mention because the hotel is newly refurbished and these should have been considered at the design phase. There are only 2 small lifts. I think this is inadequate for a hotel of this size and sometimes you had to wait. The door latches made it impossible to close the door quietly and you could hear doors closing down the corridor. Finally there was no proper bedside light in my room. A switch by the bed just turned on an overhead spotlight - not very restful! I didn't try the bar or restaurant, but Wagamama is just across the street which was useful for a quick post-theatre meal.On balance I would stay here again, and the weekend rate is good value.	
Feb 7 2009 	Good hotel! Thanks!	Great location. Nice and helpful people. Beautiful interiors. Good food. What more do you want!!!	
Feb 5 2009	Loved it	We were fourteen ladies who had booked the hotel for a weekend in London. First impression was wow and was then greeted by very attentive staff who couldn't do enough for us. The rooms are beautifully decorated with plenty of space and comfortable, also a great location five minute to Covent Garden, from there on you can walk to most tourist spots.Breakfast was plentiful and delicious and once again the staff were very helpful and service first class. I have and will recommend this hotel to family and friendsA special thanks to Gary who was so helpful	
Feb 4 2009 	Sparkling new	I stayed here for 2 nights on business. Location is superb, walking distance from Tottenham Court Road, Oxford Street, 5 mins in a taxi from Euston. This hotel is brand spanking new, I think I was the first person to stay in my room it felt that new (1015). Very comfortable bed (although after the first night I asked for non-feather pillows which didnt arrive, I couldnt be bothered to ask a second time). Previous review said it wasnt a power shower - maybe not but my shower was a huge rain head and very powerful anyway. Restaurant was excellent, extremely friendly and helpful waiting staff which is unusual for this type of hotel, food was very good quality and value for money. My only complaint is that I ordered room service breakfast on the first morning for 7.45. By 8am it hadnt arrived so I called room service to be told it was on it's way. It arrived 15 minutes later by which time I had to leave! The waiter was apologetic and said they were extremely busy that morning but I would rather have been told at 8am that it was 15 minutes away so I could have got breakfast on the go! Maybe it is just teething problems as it is so new. I didnt make the same mistake the second morning though and to be fair, the buffet breakfast was very good.	
Jan 23 2009 	Luxurious but Hskeeping and FrontofHouse staff NEED customer service training	I stayed here over Xmas and New Year 2008 for 10 days. I am a Londoner and wanted somewhere central for the period so I could make all of my festive arrangments without travelling all over town for the period.The Hotel still had scaffolding up outside so the room rate was reduced q. dramatically .This was indeed an unexpected bonus as it is in a great location ( the original booking was for a different Radisson hotel which is about to go into refurb. mode so the travel company I booked through did a transfer for me without being asked - though they didn't advise me of this until i called them the day before !!!! - long story........ ). The room was very nice : comfortable bed + spotless furnishings ( the whole hotel has just had a 25 million pound refurb - and it's official opening date was 05/01/09 ) . The bathroom was v. luxurious , huge and spotlessly clean - beautiful marble + Axor fittings . The shower was really roomy and modern ( in a 'wet-room' style with an overhead faucet + a smaller seperate showerhead on the wall alongside : in effect 2 for 1) + there was seperate nice bath + double sink area .The shower head was large and all the fittings obviously brand new but it was NOT a power shower. Customers from the USA will recognise that fact as soon as they turn it on. Nothing wrong with it - just not a power shower as advertised .One drawback of this hotel : the housekeeping staff were INCREDIBLY NOISY !!!!!!!!! Each morning anytime between 6.30 - 8.30 you could hear them . Sometimes they were shouting to their colleagues . YES shouting to them along the corridors and on Xmas day when I had the DND light on they called me THREE times before noon asking when I would like my room cleaned . Obviously ignoring the DND light + the whole Xmas vibe . I had plans after 12 noon - not first thing in the morning on Xmas Day !!!!! Front of House staff : really not good enough. My electronic room card key kept malfunctioning and I had to go down the front desk ( from the 6th floor) each day when I got back to the hotel over a 4 day period. Instead of just replacing the card - they just kept clean- swiping it and re-issuing to me. Also, whenever I went down to the concierge desk there was either one person dealing with a long queue of check-in customers or 5 staff chatting to each other aimlessly.I presume this refurb was to attract new business or repeat returns. The rooms are great but all the staff need training. Didn't use the bar or restaurant as both ridiculously expensive and extremely 'dark' furnishings. The lighting is way too subdued. + There are so many fantastic places to eat in the surrounding areas that 17 pounds for breakfast is just outrageous.Apart from that it's a nice hotel. Would recommend for a short stay or business but not for anything over 4 days .	
Nov 5 2009 	Parfait		
Oct 31 2009 	en dessous du standing annoncé		
Oct 5 2009 	Hotel trés mignon et calme		
Sep 29 2009 	pesimo		
Sep 25 2009 	Schönes Ambiente in zentraler Lage		
