	Terrific Hotel-very pleased	I saw some of the reviews here and was somewhat afraid of what I would find, but what a nice hotel at a great value! Really a good neighborhood near the Kilburn Park tube stop and a short bus ride to central London on the 16 bus. Friendly staff, great breakfast, nice room, nice health club, what more could you want. Practical shopping district up from the hotel, with grocery store, Starbucks, pharmacy and restaurants. Eggy the concierge was very helpful. I would highly recommend this Marriott, and I travel alot and stay with the chain almost excusively.	
Oct 7 2007 	You get what you pay for	Stayed here for 4 nights in early September with my wife. The room was tiny - and that was AFTER we got upgraded to the club level. The service was quite bad. The operator and the front desk perpetually seemed understaffed and no one would pick up the phone at guest services. The staff can barely speak any English and many of the concierges reeked of ciggarettes. One of them seemed like a Russian mafioso type and actually put his hand around my shoulder while giving me directions! They also had these private cars available outside instead of calling cabs. We later found out they were getting a cut from the driver when he called the drivers cell phone while we were in the car and asked him how much we paid him!!! They nickel and dime you for everything including using the internet in the business center. This is unlike any of the other Marriots in London where I have stayed before......those were definitely a class above. But its cheap (relatively) and the rooms are clean and standard Marriot furniture. The housekeeping staff seemed to consist of grandmotherly women who looked like they were flown in directly from old communist states - they didn't speak a word of english. This place could use a good manager and staff. Only one front desk employee was helpful and polite - a smallish young Indian chap. The rest of them seem like they are doing you a favor or generally dis-interested. The concierge staff was generally clueless about anything and just &quot;hanging out&quot;. I could have sworn the place was being run by the Russian type concierge since everyone seemed to be afraid of him. Very shady feeling.Verdict: If you want to save money, this is a good place to lay your head. Location was not bad but if you are looking for excellent service and to be pampered while you are in London - avoid.	
Sep 30 2007 	If you like other peoples smoke then stay here.....	We booked our trip 3 months ago for my sister's 40th. I travelled the night before as I live in Wales. There was a fire alarm the night we arrived which evacuated the hotel. There were about 50 guests outside.My sister and her young family arrived at 10.30 the next day with my elderly mother to be told the only 2 rooms available were on the smoking floor.(us having booked so long beforehand and the hotel being practically empty the night before!Ibumped into a couple checking out and asked what floor- it was the room opposite mine on the non smoking floor. So obviously non smoking rooms were available. I cannot explain their unhelpfulness but the smoking floor was awful and I am not entirely sure legal given the smoking fumes all through the hall .Furthermore we were told if we booked again we could not guarantee a non smoking room. So be warned.Apart fro £10 quid for a gin and tonic in the bar which I thought was a bit steep the rest of the hotel was ok. But only stay here if you like other peoples smoke!	
Sep 26 2007 	Pleasant hotel	Friendly, helpful staff. Large room, alhough I was upgraded so cannot comment on others. Restful night, despite busy road.Food (in room) average to good. Prompt service. Concierge excellent, early morning car organised. Not fond of &quot;brand&quot; hotels, but this Marriott worth another stay.	
Sep 8 2007 	Nice Hotel Shame About The Location	Comfortable rooms, well furnished. Had everything you need (bath/shower, safe, TV with Sky etc). The only meal I took in this hotel was the buffet breakfast. This was very impressive with hot and cold food. Coffee was served promptly and I didn't have to wait for a table as I've had to do in some London hotels.The bar is ideal for that last drink in the evening after visiting the Theatre etc. As draft beer wasn't available I was given a free bottle of beer! Prices seem slightly expensive, but this is London don't forget!The health club is a bit of a walk along the corridor (I think you have to go through a residential block which isn't part of the hotel). I didn't use the gym but enjoyed the swimming pool. Not particularly big but for a London hotel to have any pool is a huge bonus. One constructive criticism I'd make is that it doesn't open until 9:00 am on Sundays, which doesn't leave you much time if you need to get to the other side of London by midday.The main drawback of this hotel is the location. The nearest tube is quite a distance from central London. Also, it's almost a ten minute walk from the nearest tube. Not a problem in daylight but the streets are not well lit at night. You can take a bus from near the tube but again you have to negotiate a badly lit street. I could easily scored this place 4 out of 5, but for the location.	
Aug 27 2007 	Certainly wouldnt bother again	Stayed here for 2 nights but nearly didnt bother. After several weekends at other great hotels in London we wanted to take our children aged 7 &amp; 8 and this hotel was 1 of a minority that offered a family room with parking- our 2 main concerns. Upon our arrival we were bluntly told the car park was full- the alternative was to park round the back on a metered strip free until 7am the next morning- the thought of parking our £70k motor unsecure wasnt going to happen. After requesting reception search availability at other Marriott hotels with car parking as we werent happy to stay 1 member of reception went out of his way to eventually find us a car parking space. We then went to check in only to be advised that our non smoking request couldnt be fulfilled- they was no way we were happy to stay in a smoking room with 2 children- so we were offered an upgrade to an executive room which had a king bed and they then came add added a put up single- so not quite the family room we had hoped for. Couldnt fault the restaurant staff, friendly and helpful and breakfast was ok.	
Aug 16 2007 	Nice but not quite up to Marriott standards	After spending a week at the Holiday Inn Republique in Paris, I was ready for the 1st hand comparison of the 2 with a week in London.Am a Marriott Rewards Member &amp; have stayed in many.Almost to a one---I enjoyed them all immensely.Rarely a complaint that really mattered.Here at the Maida Vale, the hotel is nice and the staff is nice and courteous, have a nice oubkic computer center and a real LAP pool, that is shared with a fitness center attached to the hotel.But there were a few problems I've never encountered,The breakfast, was NOT, up to the usual Marriott spread. I usually am amazed at the variety but here....the choices were sparse in comparison. Not to mention, they do their best to keep up the sterotype of British food... by being very bland. Was a great deal for 3 lbs a day...lol....so I'm not complaining that much---but I WAS disappointed in my hotel chain every morning. And the last impression I had of the Marriott was when I went down to the concierge to have someone take our 4 suitcases and backpack from 2 weeks and 3 people in Europe. I waited downstairs with the taxi for Heathrow and wife and kid waited for the the suitcases to be picked up. 20 minutes later---wife and kid come rumbling thru the lobby with all the suitcases. No one came to the room. Even after wife called the desk numerous times to send someone up.....(Well after I originally, &amp; personally got the assurance from the head Concierge,----- a spiky, short brown hair guy with horn rimmed glasses,----- someone eould get the luggage).No one even noticed wife and kid going from one end of the lobby to the other, lobby HAULING our suitcases. No one offered a hand, heck, no one even said goodbye. LOL----Totally un-Marriott like.Of course there was good.Beds--Excellent.Rooms--- clean, clean, clean.A/C--Cold..(also excellent, especially for Europe).Cafe--was beautiful in its nightime setting.Staff, untill last day, was wonderful.Good Italion restauarant too.Overall a nice place....but loses a star for those probs I described up there.Sigh...........now-----a whole year till another vacation.Was a heck of a 2 weeks in July, 07.Ren	
Aug 8 2007 	OK if you are on a budget	We stayed here for 7 nights on Marriott Points. The hotel was OK. Nothing to brag about. Front desk was courteous, concierge helpful. The location is a bit out of town but then points/price paid reflects that. Tube was a short walk and there are plenty of coffee shops (Cafe Nero two blocks north is great!), grocery stores and Tesco Express for sandwiches while sightseeing. Luna Rosa Itallian restaurant across the street had good food and friendly service at a reasonable price. Many comments were made by reviewers about the area but it is an ethnic area of a major metropolis and we never felt unsafe even returning on the tube at night. Room was a bit tight and old, AC had problems and maintenance tried three time before it was fixed (then we froze!). They did have ice machines on the floor, in room safe and a hot water pot for tea and coffee in the room which was very convenient and not neccessarily typical for European hotels. Overall it was fine for those on a budget and convenient to transportation.	
Jul 31 2007 	great!great!great!	we are just married and stayed in Marriott Maida Vale for 9 nights in bed and breakfast treatment.the hotel is only 5-7 minutes walk from Kilburn park metro station on the bakerloo line. The zone is not very central but safe during the daylight, only one or two beggars around in the late evening. On the main street, near to the hotel, there is a Tesco supermarket selling all useful things.At the arrival at Marriott at about 14.00 pm the room was not ready yet, but they promptly gave us another on the 3rd floor; the room was large with a big bed and a lot of pillows; the bathroom was clean and large; the room is fully equipped with tea/coffee set; the only negative points of the room was that there was a slighlty stink of cigarette smoking, maybe because the room is for smokers(and we don't smoke); and the other negative point is that there is no Italian TV channel, only English speaking,French and German.The staff in the breakfast room was very professional and kind; the food is very good and there is a lot of choice for every taste; only two days we had to wait ten minutes before sitting in the breakfast room because it was full.Breakfast was included in our fare,otherwise you have to pay about 17,00 pounds for full english breakfast.Generally speaking staff was all very nice and professional and we enjoyed our stay:For good eating go to Luna Rossa, on the other side of the street, nice italian restaurant althoug a little revisited(trust me, i'm italian)!	
Jun 20 2007 	Give it a miss - Let's Marriott down badly	Stayed here for one night when we went to Wembley to see Muse. We had requested an early check in when booking and had telephoned the previous night to check that a 1.00 pm check would be ok (standard check in is 3.00 pm) and we assured it was. We arrived at Midday and obviously didn't expect to get in, but the receptionist said she would ask housekeeping to prioritise us as we had already been told we could be in by 1.00. Went back at 1.00 and sitll no joy - the receptionist we had dealt with wasn't available and the guy now manning reception was completely rude and indifferent even though we were polite with our request - he couldn't even be bothered to find out when the room would be ready. We waited until about 1.45 and asked again and pointed out that we had been told we could be in at 1.00. So it went on and eventually they decided to upgrade us to the presedential suite due to the long wait which was very good of them. Then they gave us the wrong room number, then the wrong key and then the right key which wouldn't work. All of this involved trips up and down in the lift and having to deal with the ignorant guy on reception who was still completely indifferent to our problems. Eventually my Partner had had enough and demanded some action which saw the Manager accompany us to the room to find that his key didn't work either. He got the maintenance guy and he sorted this for us. Presential suite was very nice although one of the TVs didn't work and there was no min-bar (very glad we weren't paying the full £500!). Room was warm and clean and quiet so that is a plus for them. Breakfast was very ordinary. We stay at a lot of Marriotts, but certainly won't be bothering with this one again.	
Jun 15 2007	Decent Hotel	This is not the most luxurious hotel in London, that is for certain. It is pleasant--the rooms are large by comparison to other hotel rooms in Europe. The cleanliness of the hotel is questionable--I do not consider this a four-star hotel as the website on which we booked this hotel suggested. There is access to a fairly decent gym next door. The downfall of this hotel is its location. While about a 5-8 minute walk to the nearest tube station, the area leaves much to be desired. While the community to the north is lovely, I would not want to be a woman walking alone at night from the tube station to the south of the hotel. If you plan to stay here, taxis at night would be best.Overall, I would probably not stay here again--if you can find a hotel for the same price closer to the city centre, it is definitely worth foregoing this hotel.	
Jun 14 2007 	Great but out away	Great facility w/ extremely attentive staff. Nice room spacious and clean. Numerous amenities and relatively affordable w/ Govt employee rates. Pretty far out there for any casual tourist access to much of anything. Parking rates were horrendous (but so is everything else in London). A couple of good restaurants close by.	
Jun 10 2007 	Excellent staff great hotel	I stayed 4 June - 9 June for 5 nights and wanted to write my review while it was still fresh. I was traveling from Southampton, and took a cab from the Victoria coach station, That cost 25GBP, so be sure you have some cash before you try and leave the station.The hotel and the room were spotless and as comfortable as a 4-star American hotel should be. A very comfortable bed, plenty of closet space, sufficient drawer space, marble bathroom with long soaking tub, handheld shower, empty frig in the room... everything I could want. For those who don't know London, the rooms are much, much larger than you'll typically find - these are American sized rooms, not European. Traveling as a single, I have a queen sized bed - that only happens in the &quot;Executive Rooms&quot; at traditional hotels, and those can be $300 per night.Service was terrific - the staff were friendly and helpful. The location, as noted earlier, is not perfect. It was 25 minutes total from the front door of the hotel to the Picadilly Circus. A 5 minute walk to the tube, a few minutes to wait and 16 minutes on the train. So, if you're the sort that's in and out of the room all the time, you'll want to be closer. But, since I saved about $150 per day, I was willing to add some train time. The walk to the tube stop isn't pretty, but it felt safe to me, even at 11pm... There are going to be bus stops and minicab stands near EVERY tube stop in London, I think... so don't be put off.Having M&amp;S and Tessco up the street were really convenient and made for some very cheap meals. Luna Rossa (across the street) gave me an excellent Italian meal (salad, lasagne and lots of wine) for 20 GBP. I had one meal at the hotel (breakfast on my departure day) and I can't recommend it. It was a bland, ugly frittata. I couldn't bring myself to spend 17GBP for the breakfast buffet, so I always ate somewhere else.Speaking of cheap, in London &quot;Pret a Manger&quot; are always good choices - sandwich and soda for less than 4GBP. And London Walks give the best walking tours for just 6GBP.	
Jun 5 2007	GREAT service!!	I've booked from priceline 63 per night including tax andposted many photos describe quite all environments and things in the room as you can see.The room is OK, i give 3 starsReally like all 6 pillows^^ they are very soft and comfortable.The service is extremely perfect;I first ask them for two of toothbrushes and slippers actually the later one is just for executive room. Mine is standard room -king bed max 4 people.Also, at night I was hungry and call room service to bring my food that bought from the restaurant (in plastic box) to heat(microwave) it for me. I just give him a box, suprisingly he took it to me on tray with plate knife fork and apron. (see photo) there are 3 telephones; 2 in room and 1 in bathroom(-)tissue is not soft.wardrobe is quite small but no problem for me-------------------------------------------------------------location in zone25 min walk from kilburn park station15 min to oxford circus station by tube + 5 min walk from hotelif you take a cap in front of the hotel about 20-25 min to covent gardenthere is tesco near hotelneighbourhoods are strange, aren't them?for me, i'm soso no problemjust feel a bit strange if comparing with people who live in zone 1 like south kensington, earl's court, piccadilly circusall in allroom 3.5*bathroom 3*service 5*	
Jun 5 2007 	Spacious clean good value - just mind the VAT and avoid the top floor.	We booked the Marriott for 1 night to give us a weekend in London with our kids aged 9 and 4. We got a great deal - a room for 4 including breakfast (which was excellent) for £109. Having stayed in many central London hotels at a similar price for a single room, the Marriott was miles ahead - spacious clean rooms, access to a (small) pool in the neighbouring health centre. The hotel is not far from the tube and there are 2 bus routes which stop close by. Street parking is free at weekends. Staff were helpful and keen to please.The only blemishes on the stay was that having been told when booking that the rate quoted included VAT an additional 17.5% was added which took some arguing to get removed. This is evidently their policy in London (they said that it was the same for other hotel chains but this isn't true) so beware. It would still have been good value though even with the extra added. Also on the top floor you can get a lot of noise from the air conditioning plant on the roof which is particularly noticeable at night.The health club/pool is a nice extra but is quite small and not for serious swimmers. We'd certainly use it again for a family night if we can get the same rate again.	
Jun 4 2007 	Ok but not great	The hotel was ok, although the air conditioning was too hot at night. We were entitled to upgrades as per Marriott Rewards and they were not honored. We did get points for our stay, though. It was a bit far from Central London; it took about 20 min to get to Victoria Station by bus. The staff was great, very helpful and very nice. The rooms were clean and comfortable.	
May 13 2007 	The quality you can expect from Marriott	This hotel delivers the level of quality and standard amenities you would expect from the Marriott name. The room was clean, the staff courteous, and the bed very comfortable. The hotel's location provides easy access to many public transportation bus stops, local shops, and a five minute walk to the underground station serviced by the Bakerloo line. I recommend popping into a pub/restaurant in the area to experience how the locals live and to enjoy a friendly chat with the bartender and regular patrons.	
Mar 21 2007 	great service	This was my second stay at this hotel. Same lovely girl checked me in with a big smile on her face. Much appreciated after a long trip.My room was upgraded from what I had originally booked. From a double to a king. Probably the cleanest hotel room I've ever seen.The location is not all that great if you're looking to spend time in central London, but a 10-15 minute walk will take you to the underground and another 30 mins and you are there.Only negative things I can think of is that my room service order took 45 mins to arrive instead of the estimated 20 mins, although the meal itself was very nice. Also, on checkout I was charged for a newspaper I had not ordered (or been given).But would definately recommend this hotel. It's small and not grand in any way but fantastic staff and well-kept	
Mar 12 2007 	Overall good stay	Very satsified with the Marriott Hotels so far, I booked this hotel for a week-end in London with my husband and our friends. We got a double king size bed room for £85 (excluding taxes) so around £100/night taxes included.The hotel is nearby Filburn Park Station which is great for us as we come straight from Waterloo to the hotel. It also has a bus stop 50m from the hotel (line 98) that gets you straight to Oxford street. The room was overall OK: clean, comfortable bed, complementrary tea and coffee, mini fridge, iron, nice bathroom etc.. The TV is old but that is OK as we barely stayed in the room. .The area around is multi-ethnic and quite mixed: you have nice victorian houses with long buildings...I wouldn't call the area classy but neither dodgy.Two things upset me though:The phone bill - I had this bad idea of using the hotel phone to call a friend of mine on her UK mobile phone: 3mn for £12 ! I think is is exagerately expensive. It would have been cheaper to call with my mobile phone even if it was roaming.Late arrival of my husband - I warned the front desk that my spouse will be arriving late at nigh (as we did not catch the same train together) so that they can let him get into the room. But while I was having dinner outside the hotel, I got this weird call from the hotel on my non UK mobile phone (so I actually need to pay part of the communication) to clear the situation and asked me about information (name, adresse, postcode) to let my husband get in. This made us quite angry as the customer service was warned in advance.So overall a nice stay even if the staff service was not as impeccable as in the other Marriott's I stayed in.	
Mar 12 2007 	It was Ok!	We stayed there for 2 nights from 23rd - 25th February 2007.It's only a 5 mins walk from the Kilburn Park Metro Station (Bakerloo line). You can take the Heathrow Express from the airport to Paddington and then change to the Bakerloo line. Overall, it's quite accessible to the major attractions in Central London.The neighbourhood is quiet and basically a residential area I think. Service staff is ok. Average. Nothing fantastic. We carried our luggages up to our room ourselves in full view of them, what do you think?The bed was great! The sheets and pillows are really really comfy.The room was typical of a 4 star hotel with the necessary like hair dryer, hand held shower etc. Water pressure was good.It cost abit to access their wireless internet though. My rate (partially paid by my Marriott Rewards Pts) did not include breakfast so no comment on that.In short, this hotel doesn't leave much impression on me but is decent enough for a comfortable short stay.	
Feb 27 2007 	Qualy hotel	We got a deal on holidaycity.com and stayed there for £80 a night for 2 double beds. We were worried we wouldn't get what we asked for, but no problems. Wonderful helpful and polite staff, smooth check in. Good car park facility (although expensive). Rooms were like 5*. Beutiful, most comfrtable bed I have slept in. The location was good, quite close to an underground station, although the area aorund te hotel was a little bit dodgy. Perhaps not ideal for a lone female traveller. However I would definately stay here again if we got thesame price for the rooms!	
Jan 26 2007	True London	My husabnd and I booked our vacation directly through the Marriott's vacation package partner, Neatgroup, and chose the Maida Vale for it's reasonable distance from the city center combined with its price (~77GBP/$155USD), and for our overall positive experience with Marriott in the past.The hotel was lovely and clean, though the rooms were small-- very typical of London. Our bathroom was well-appointed and, though there wasn't much room to move around our queen-size bed with the rest of the furniture, we barely were in the room because we had so much to see in 3 days. If you want more space, look into their executive rooms, which were only a little more expensive. They do also have suites.We arrived at 8am and were given early check-in as we requested, which helps after a trans-Atlantic flight. The breakfast at the hotel is expensive (~15GBP continental, ~17GBP full English) and nothing to write home about, but convenient. After the first morning, we went to the Tesco Express just up the road (think 7-Eleven here in the US) and bought fresh fruit, juice and croissants for the remainder of our stay, thanks to the room's mini-fridge and complimentary in-room tea &amp; coffee.The neighborhood is a little out of the way for tourists who prefer to be right in the city center, but only about 15min to Picadilly Circus on the Bakerloo Line, and the hotel is a 3 min walk from the Underground Station (Kilburn Park). We bought 1-day travel cards for Zones 1 &amp; 2 each morning (5GBP per day offpeak/weekend days, 7GBP for weekday peak hours), and found that to be a great, inexpensive way to get the most out of travelling on the Underground.Unlike earlier reviews, we did not have any safety concerns with the location of the hotel, even returning late at night on the Tube. The neighborhood is very residential, very busy, and multi-ethnic, but everyone we encountered was friendly and helpful-- it was a wonderful glimpse into the real London, not just the tourist sites. We had drinks and dessert in the hotel lounge one night, but ate most of our meals elsewhere. The Luna Rossa just across the street is a small Italian restaurant with great food and great service. We ordered 2 salads and 2 pizzas to take-out one night, and even ended up with dessert-- for about 5 pounds more than 2 pizzas and a half-bottle of wine at Fratelli's in the hotel would have cost. We bought wine at Tesco's to bring back to the room-- very convenient :)All in all, we loved it and we would return again. The staff was helpful and friendly, though sometimes didn't have the answers to our questions-- at least they tried. :)Happy Travels!!!	
Jan 2 2007 	Ok but great Italian Restaurant	Me and my family stayed in this hotel over New Year 2007. The room was rather small but it had everything you would expect in a Marriot -cable TV, hairdrier, comfertable beds. The location pretty good - 2 mins from Kilburn Park tube and shopping on Kilburn High Road, and right beside a bus stop for buses to Oxford Street and Holborn in Central London. But the value was not good - at over £100 a night for 3 people. I guess that's what to expect in London but I have stayed in much larger hotel rooms for only £60 - £80 a night. What did it for us was the wonderful Italian Restaurant over the road called Luna Rossa, which we went to on New Year's Eve before the fireworks. Don't under-estimate it - it may look like nothing special on the outside, but the food is excellent and It's pretty cheap. There was a choice of pizzas, pastas and meats - I had lamb! I would definately recomend Luna Rossa to anyone staying in London, It's worth the trip out to Kilburn! Overall, an average hotel but a great restaurant over the road....	
Dec 27 2006 	Fantastic Hotel with Exceptional Staff!	We stayed at the Maida Vale Marriott in mid December for a family trip to London. We were travelling with 2 small children and the staff were exceptional. They could not have been more helpful from the moment we arrived. We were upgraded to a fantastic suite with a few &quot;extras&quot; placed in the room. The room was amazing with a huge Queen-sized bed, 2 roll-away beds for the children, a seperate kitchen, a living/dining area with a Bang &amp; Olufsen CD player and big TV with built in DVD. There were doors to close off the bedroom once we had put the kids to bed and we could then relax on our own! The bathroom was well equipped with a shower that had jets to massage you too. The bar was fairly lively as it was mid December but had a buzzy, friendly atmophere. Breakfast in the morning was great too with such a huge selection.I would definitely recommend this hotel to anyone wanting to stay overnight in London as the location proved very convenient and the staff arranged a people carrier taxi for us into the West End ( Oxford Street is 5 minutes away )	
Dec 27 2006	Great Hotel Homey Neighborhood...	Comfortable and professional are only two words that describe this little gem of a hotel located in the north western part of the Capital. Upon first sight of the hotel as we walked from the Kilburn Park tube stop, the hotel is a modest mid-rise that is situated directly in the center of a lively residential neighborhood. Upon entering the hotel you are immediately struck by the spaciousness of the lobby and the clean contemporary lines of the furnishings. In our 5-day stay over Thanksgiving 2006, the hotel staff displayed a high level of customer service and went out-of-their-way to meet and exceed our expectations. An unexpected joy we encountered upon checkin was that our room was on the Executive Floor and had many ammenities analogous to conceirge floors. Attached to the hotel is a spacious full-service health club and spa, complete with a huge swimming pool, aerobic and anaerobic exercise equipment, and friendly &amp; helpful staff. The food at the restaurant in the hotel was also quite good, and their breakfast buffet was stocked with everything that you could want in a full English breakfast. Our room itself had 2 queen sized beds and they were superbly comfortable to sleep on. The bath was well appointed and the marble and terazzo tile and gleaming chrome gave us a distinct feeling of luxury that most European hotels lack in this price range. And once again, I can't say enough wonderful things about the staff. From checkin to restaurant to housekeeping and maintenance, the staff went out-of-their-way to please us. Two notable things occurred to us during our stay here: The first involved the Business Center. The lock had been changed prior to our arrival. When I went to the lobby to use the Biz Center to check my email I could not open the door with my pass key. The front desk immediately called maintenance, and they ended up breaking the lock off the door so that I could have access right away! Now I ask you, how many times have hotel staff people addressed your needs like that? The second notable situation was, unfortunately, not-so-positive as the hotel conceirge gave us completely wrong information about access to a certain location using the London tube. Had we used that information we would have been hopelessly out-of-our-way in getting to our destination, but knowing London as I do I realized that he didn't really know the underground system very well. So overall, this property is very nice and our stay extremely pleasant. Comfortable room, professional and attentive staff, restaurant with good food and service, and the property nicely appointed with ammenities. I would definitely stay here again! On the flip-side, the location is a little different being in a neighborhood, but access to things in the community was facilitated by its location. For instance, there is a Tescoe Express within a couple minutes walk from the main hotel entrance that we went to daily. The tube stop, Kilburn Park, is about a 10 to 15 minute walk (and it seems longer with baggage and children in tow) but still convenient. I would highly recommend this hotel!	
Dec 23 2006 	Great hotel	We stayed for Fri/Sat night while in London for a friend's birthday. It's a great hotel and cost us about 110 pounds per night, including breakfast.Good points:1) Room was well sized, clean and spacious. The bed was extremely comfortable with about 8 pillows. We had a room on the top floor (7) and there was no noise from traffic or other guests even though the hotel was very busy that weekend.2) Breakfast: was included in our rate and had so many different choices. They had an omelette chef and the scrambled egg was delicious. Breakfast was also served until 11am which was really helpful espeically as we had sore heads on the Sunday morning!3) Location: 5 mins walk to Kilburn Park tube (Zone 2) and Bakerloo line drops you into town and the touristy things very easily in about 20 minutes. We drove to the hotel and managed to park the car for free on the street next to the hotel. Not sure what restrictions there are during the week, however they do have parking under the hotel for 17 pounds if you can't find a space on the street.4) Didn't eat dinner in the hotel, but we found a great Italian bar/restaurant called Osteria del Ponte which is just 5 mins walk further up Kilburn High Rd on the opposite side to the hotel. We had two main courses and a bottle of red wine for about 24 pounds.The surrounding area isn't the most salubrious of London districts, espeically Kilburn High Rd. However as long as you're sensible you'll be fine.	
Dec 19 2006 	Above average hotel; below average neighborhood	We stayed five nights last mo. in a deluxe room. The room included: king-size bed, two hairdryers, trouser press, full-size ironing board, full-size iron, digital safe, mini-fridge and high-speed Internet access. The bed was heavenly; and I mean great! It had six pillows and was so comfy with a feathertop and down comforter.You must pay 15GBP for 24 hours of Internet access; it is billed from noon-to-noon. We did this.We thought the hotel was clean, and its staff was very friendly. In fact, during the early morn hours, we were planning on walking to the nearest tube, Kilburn Park, and riding the tube to Victoria Station to catch the Gatwick Express with our luggage. The young man at the hotel counter asked us if we wanted a taxi. We said yes. Within five minutes, a private Mercedes showed up and took us directly to the doors where we boarded the train for 15 GBP. Coming from Victoria upon our arrival in LON, we paid another taxi driver 11GBP to get to the hotel. Not bad.I recommend this hotel for its amenities and staff. Be mindful of the neighborhood. Being in Zone 2 is no big hassle. It took us about 40 mins. to get from Kilburn Pk., though, to Victoria Station via the tube. Give yourself extra time if you are on a sched.	
Nov 29 2006 	I liked it	I had a lovely time. We stayed on my Birthday and had an executive room! Nice snacks and nibbles in the evening in the executive lounge. I felt very spoilt. We did'nt have dinner in the Hotel restauraunt, instead we went to Luna Rossa a nice little Italian just up the road and opposite the Tesco. I have to say that we had the best meal we have had for many years and the service was first rate. Go there and you will be fed well and under £15 a head including a bottle of wine!	
Nov 23 2006 	Horrible district poor hotel.	The hotel has nothing to do with 4*. The room was durty with badly equiped bathroom. The restaurant is ridiculous, the food does not worth a penny. The district is not only durty and ugly, but also dangerous. The only good thing was the service and the very very lovely staff.	
Oct 24 2006	Exceptional Bargain	If you are looking for a clean, modern, comfortable and friendly place to stay then the Marriott Madia Vale is a wonderful choice. My wife and I stayed here for over the night of October 14th and our stay exceeded our expectations. We found the surrounding neighborhood quite pleasant and safe; plus we very were pleased with the selection of nearby eateries. We booked a month or so in advance on Priceline for $110 (or 55 pounds with the current exchange rates). We'll be looking to stay here again the next time we're in London.	
Oct 6 2006 	Really Impressed	I first stayed at the hotel a couple of years ago and my experience was fine but I have to say that my most recent visit was brilliant.The hotel is based within Maida Vale, on the edge of Kilburn and is a 2 minute walk from the Bakerloo Line. We stayed for 2 nights and the staff and the attentive service were superb. Although the hotel isn't in the centre of London we found it a great opportunity to experience the &quot;real&quot; London and visited Queens Park (just one stop on the Bakerloo Line) which has fantastic delicattesens, coffee shops and organic bars! and has the most briliaint Farmers Market on a Sunday morning.The bar has a fantastic atmostphere, and no television with in sight, just really chilled out music and enormous comfy leather chairs to relax in.The staff were superb, nothing was too much trouble and a great improvement on my visit 2 years ago - I can definately recommend this hotel.	
Oct 2 2006 	what a great place	dont read any other write ups till you read this!!!!!!stayed for one night at end of sept 06 and have to say how nice, friendly, and polite staff where and how clean and posh the hotel was. From start to finish the staff helped me and my children, as i went as a single parent for my eldest sons birthday, they even brought a cake to breakfast on his birthday without being asked!!The room was amazing and clean and full of everything you could need and more, the gym and pool was clean and we used iit briefly,The location of the hotel was excellent just two stops on tube from paddington and in easy access of londons attractions, having never been to london before i would recommend the hotel for anyone it was a pleasure and i have rebooked for xmas.	
Oct 2 2006 	Great Hotel	I stayed at this hotel the last weekend in September and it was great. Friendly staff, lovely room and massive bed! The breakfast was probably one of the best I've had - so much choice, cereals, bread, toast, cooked food, smoked salmon, pastries, lots of fresh juices, coffee, tea, omlette station, fresh porridge, yoghurts, actimel drinks, fresh fruit - a really good way to start the say! The waiting staff are really friendly and served until 11am at the weekends so you get a lie in!!!I used the pool - a bit small if there are a few others swimming too, but a bonus to the hotel to have it.Hot food for room service finishes at 11pm but they were really helpful and dialed an outside pizza place so we could have pizza in our room and delivered too!!!!I would definitely stay here again. The tube station is only round the corner and the Bakerloo line gets you right into the centre of London so not far out at all.Very impressed with this hotel.	
Sep 13 2006 	Very Pleasant Stay	I stayed at this hotel for 2 nights at the end of august. Was impressed by the room having opted for an executive room which meant more space and different furnishings to a standard double room basically. Also allowed access to the Executive Lounge which was useful for an inclusive light bite to eat and late night coffee in nice surroundings. Room was clean and made for a very comfortable stay. Reception staff were a little cold in service but housekeeping staff very welcoming. The tesco express just up the road if you turn right out of the hotel was very useful. Breakfast was fulfilling and quite reasonable. Overall had a great stay at this hotel.	
Jul 9 2006	nice hotel and amenities	Stayed there in the first days of July 2006, and had a very comfortable stay. Room was very nice. Typical of what you would expect in a Marriot in the U.S. No surprises. They let you use a fitness center which is next door (you go through the hotel itself) and it was great. Especially the steam, sauna and pool. Helped after a full day of site seeing. The neighborhood is very nice. For those uniformed it is very arabic but we encountered no problems. Especially when coming home late nite. The hotel is centrally located to the underground and bus lines making it very convenient to get around from there.Breakfast was included on the weekend and it was great. Especially the day they made omelettes and waffles. Staff all around was very friendly and helpful.Would definitely stay again.	
Jul 5 2006 	Never again	I stayed for 2 nights, did not feel safe in the neighborhood and felt the service was marginal. Room requests (no smoking) not honored. The gym is a nice size with good euipment options. Italian restaurant on site was ok but pricey (£25 for a pizza, salad and water). Carpeting needs cleaning. Couldn't wait to get out of there. There are many other hotels in London that offer more secure locations, more hospitable staff and a more pleasant stay.	
Jun 25 2006	Passport Stolen	If you stay in this hotel, be very very careful. I paid $100 a night that I bid on Priceline. I thought it was a good deal, but in the long run, it wasn't. I stepped out of my hotel room for a few hours and left my passport in my room (bad judgement on my part). My passport was stolen from the room along with some cash. Be careful if you stay here! The hotel took no responsibility and was not helpful at all. They wanted to keep this very quiet.	
