	Great Location -- Nice European Hotel	Stayed here over the long &quot;Thanksgiving Holiday&quot; - first time to London and thought this is a charming, nice location hotel. I couldn't have been more happy. Compared to other hotels I have stayed in Europe the room wasn't SUPER small....	
Jul 11 2007 	Great boutique hotel - modern decor - fantastic location	Visited London for shopping trip with a friend, booked a Executive Twin Room. The service was very good, and concierge very helpful especially has I left my mobile phone charger at home, they were able to help out. The room itself was a good size, plenty of room to lounge about, had a study desk and sofa with views of the london eye. Beds very comfortable though a bit soft for my liking. Only complaint on the decor is the TV was not a flat screen which would have matched the decor better than the bulky version they had. Had a nice wall mounted cd player.warning about minibar is that all beverages have a plastic dome encasing each drink. If you take it off, you get charged for the drink. To prevent being charged you have to present the beverages at checkout!!!Also other minor detail is that the majority of the bathroom door is frosted panelled but has lines where it is totally see through, so like if you were with a friend staying, you could see them in the bathroom. Luckily in my case, there was a corner area.The night we were staying the next door neighbour was really noisy but other than that, pretty quiet area as Hotel is not on the main road.Breakfast was excellent with a great spread to cater for all tastes. Location is behind Fortum &amp; Mason and close to Oxford Circus so did all my shopping walking, which was great. Great value for money - definitely would stay again and currently doing a summer deal.	
Jul 8 2007 	great location and good hotel	ok so we arrived a 2am room not ready decided to go out for lunch and came back an hour or so later room still not ready, asked if we would wait 10 or so mins no drama, approached the desk after 20 mins room still not ready asked to wait a further 10 mins but within 5 mins we were allocated a different junior suite , no flat screen tv as per website but we were not there to watch tv so still no drama but you should provide what you promote. Staff were courteous and attentive at all times, the real good thing about this hotel is the location and it is value for money for where it is, had breakfast in bed both mornings and had no complaints at all, it was prompt,hot and good quality.Our room was clean and bathroom facilties where above average. We checked out a 12 which maybe the previous guests of our room did not so hence the intial delay. Have seen previous complaints about lift noise, fortunately the lift closest to our room was out of use but we did hear the odd sound like a lift but nothing that would annoy you. Would have no issue staying here again and look forward to doing so.	
Jun 18 2007 	A birthday cake	Just spend the weekend in The Cavendish. Only mentioned once, in my first e-mail, that we want to visit London to celebrate the birthday of my friend. The night we arrived we found a chocolate cake in our room. Compliments for their Reservations Supervisor Bridgette!We booked a twin exec. room. Asked for a room on a high floor. Got a room on the 11th floor (1111). They have 13 floors, the highest floor is numbered 14. Nice views of the London Eye, Big Ben and St. Pauls.A very good and varied breakfast. We haven't used room service and never do. Why should I? I'm not staying in the centre of a city like London to have dinner in a sleeping-room (I hope I don't offend the American reviewers).Clean room, very nice beds, a huge bathroom with nice toiletries (probably of a very famous brand). The location is the main reason to choose this hotel. Five minutes walk to Buckingham Palace, five minutes walk to Eros on Piccadilly Circus, the new A&amp;F store just around the corner at the beginning of Bond Street. Green Park underground only a few hundred meters.	
Jun 8 2007 	Excellent Hotel Brill Location	We have just returned from a weekend theatre break, staying at this hotel booked via Superbreaks. This is a great hotel for the money, particularly if you can get a deal with breakfast included. The location is perfect for walking to the theatre district and loads of the main tourist sights including Buckingham Palace and the London Eye. If you don't fancy walking, Piccadilly Circus tube station is a five minute walk away.The rooms have been stylishly remodelled and although a little small, nothing less than usual for a central London hotel. Nice toiletries and tea/coffee making facilities - very clean and comfortable beds.The breakfast was excellent although may be expensive if not included. Not a problem though because there are plenty of small places to eat nearby, including a Cafe Nero across the streeet. We didn't eat dinner in the hotel. Would say though that the drinks in the bar are very expensive - but again, you don't have to drink there.Definitely highly recommended and we will be returning next time we go to London.	
Jun 5 2007 	Fantastic Hotel!	Just returned from a two night stay. We had to change rooms twice when we arrived - the first time as the room was right next to the lift and then they put us in a room with two twin beds pushed together but moving us was no trouble at all. All the staff were very very helpful. The hotel is in a great location - very close to Piccadilly, Regent Street. Our room was very spacious and clean. The breakfast was amazing. We will definitely return.	
Jun 3 2007 	Great location!	Went on mid-week break with my husband. Location was superb with easy access to West End, Regent and Oxford Street. Staff were friendly and helpful. The room size (we stayed in a queen superior) was suprisingly large for London. Breakfast was also great with part buffet and part a la carte - recommend the eggs Benedict! Would definately recommend and will use again.	
May 26 2007 	Great hotel in fabulous location	This hotel has a fabulous location in the St James area of London and has been significantly refurbished in the last few years creating a stylish decor. The service is very good, everyone is very friendly and efficient. The room we had was very modern and well equipped and very comfortable. The breakfast is a buffet style but there is a very extensive choice of both hot and cold food. The other great thing about this hotel is the garage where you can park your car at a cost which is reasonable for this part of London.	
May 23 2007 	Great hotel	As a frequent London visitor this is my favourite hotel so far. The location is great, about as central as you can get but quiet enough that you can sleep at night. The rooms are nicely decorated, modern without being clinical and I've never had one without an excellent view. Beds very comfortable and bathrooms are clean and well designed. Staff were happy to help out with minor issues like a forgotten toothbrush and in general are very polite and helpful. It might be coincidence but on several occasions I have had the same room when staying in this hotel. Anyone travelling on business will know it's not the same sleeping in a strange place and in my experience this really helped.Room service food was good, not a great selection of side orders or veg but for a few days it is enough. You're in the centre of London so if you don't like what's there you have plenty of other options!	
May 23 2007	Smart Cavendish	My daughter and I stayed 7 nights at the Cavendish and loved it!. We booked a superior twin thru the hotel website and got a fabulous prepaid rate including breakfast. We had room 911(!) witha fab view of the London Eye. Our room was clean, comfortable and spacious by European standards. Nice comfy beds with down comforters The bathroom was great too with a wonderful, deep tub, seperate shower with grohe fixtures, plenty of room. Nice bath ammenities by Gilcrest &amp; Soames. The concierge was helpful and kind and the staff were all very nice. I liked the turndown service and fresh towels twice a day is a luxury. The area is nice with several friendly pubs and a EAT right down a side street, nice not to fight the crowds on Piccadilly, a Tesco 2 blocks away. The drawbacks? Not many, while I didn't hear noise from either of the adjacent rooms the hall noise was noticable, but that was minor and not at all a issue, it would be nice to have satellite T.V but watching english T.V is interesting and we only watched maybe 15 min a day anyway. We used the safe and the coffee making supplies each day ( Nice walkers biscuts replenished every day too). If you choose to stay here you will not be disappointed. Lovely hotel.	
May 21 2007 	Very nice hotel great views	We stayed in a superior queen room, breakfast included, for 139 GBP (advance purchase rate). The room was on the small size but very nice with modern decor. The bathroom was very large. We had requested a room on a high floor with a view and received a room on the 11th floor with great views of the Eye and Big Ben. The only thing the room lacked was storage room- the closet only had a couple of very small shelves and there were no drawers in any of the furniture. Other than that, it was a great location close to Piccadilly Circus and in easy walking distance of great shopping, the West End theatre district, Westminster Abbey, Buckingham Palace, and the Eye. Two tube stations are very close. It was easy to get to Heathrow via the Piccadilly line. We also purchased tickets to several attractions from the concierge to save time waiting in line. Breakfast was excellent (a full menu to choose from) and you had the option of having it brought up to your room. Overall, a great hotel that I highly recommend.	
Apr 25 2007 	Incredible experience- loved the Cavendish!!!!	We stayed there for 3 nights to celebrate my 40th birthday. We were given a room on the 14th floor with a magnificent view of Westminster Abbey and the London Eye. The staff could not have been more pleasant or helpful- the concierge managed to get us same day theatre tickets to a sold out show! The concierge also gave us two wonderful (lunch and dinner) recommendations that were absolutely wonderful! Breakfast each morning was great- there was a buffet but we could also order off the full menu.I would highly recommend this hotel to anyone visiting London- there was not a detail overlooked.	
Apr 21 2007 	Not impressed	Plusses: location, and a modern decor. Minuses: have to pay extra for internet usage (20 pounds a day!), limited facilities (no gym), very noisy rooms (most rooms have a connecting door that is locked but far from soundproof. Had to ask for a different room at midnight as the people next door were talking in a group not extremely noisy but as I said no soundproofing.For 200 pounds (400 USD) I expected something a little better. Also, my room had a CD player but honestly, who travels with CDs? something to plug in an MP3 player would eb much more useful.	
Apr 19 2007 	Fantastic Hotel	Stayed with a friend at the Cavendish for two nights in April.Fantastic hotel, very modern in decor, with a great location just off Picadilly Circus. Great for getting around London.The hotel was lovely, spacious bedrooms and bathrooms (not so sure about the glass door to the bathroom though!). Loads of facilities in the bedroom - tv, cd player, iron &amp; board, minibar and the only hospitality tray I've ever come across that included a teapot and wine glasses. The reception staff and concierge were exceedingly helpful and could not do enough for you.Breakfast was great with plenty of choice of hot and cold food although there was a wait for a table on Saturday morning - but only had to wait 5 minutes.Also tried the pre-theatre dinner one night which was a bargain at £15 for two courses and the food was excellent.Would stay at this hotel again and would personally recommend it to my friends.	
Apr 17 2007 	Lovely hotel great staff	2 of us stayed at the hotel for Bank Holiday Weekend. Just a short distance walk from where all the action was e.g. Plays etc.You can book in about 2 or 3pm but we arrived early (1pm) and they let us check in and we got a room on the 12th floor. Not a great view but at the end of the corridor there was a fab view of the Wheel and London.The bedrooms are quite small but lovely TV's/Beds/Bathrooms and especially the shower!!I would absoloutely recommend The Cavendish to anyone looking for a great hotel with excellent service!!	
Apr 12 2007 	Enjoyed our stay at the Cavendish	My husband and I stayed at this hotel whilst spending some time in London sightseeing with my friend over from America.I was very impressed with the hotel, spacious rooms with nice, modern decor. Clean, bright bathrooms. Nice reception area, well lit and welcoming, friendly staff on reception. We got there at about 12noon and check in was not until around 2pm but our room was already ready and they were happy to give us the keys straight away.Lovely location and many an hour was spent browsing at Fortnum and Mason, right across the street. We thoroughly enjoyed our stay here, it's in a nice part of London - close to the tube.Drinks in the bar were expensive but somewhat to be expected, hotel bar prices in London have always been high in my experience.	
Apr 11 2007 	Kindness of staff	We arrived 2 hours before check in time, but the very friendly and smily receptionist welcomed us and told us we would not have to pay for the upgrade to a superior twin which I had requested on the phonethe previous day. We only stayed one night, but it was a special theatre break for my daughter and myself. On the second morning I felt really ill having contracted a chest infection before our visit.My daughter asked if we could stay in our room so that I could rest until our bus departed in the afternoon and they very kindly said that would be fine. During our stay we had many opportunities to speak to staff and they were all unfailingly welcoming and polite. Our room was comfortable and spotlessly clean. We would certainly return to this lovely hotel which is very well positioned for all the attractions of theatreland and Leicester Square.	
Apr 6 2007 	Great Location	Fantastic Hotel - So close to Green Park tube station and within walking distance of oxford and regent street. Rooms very clean and if you are feeling lazy like we did - the room service is expensive but well worth it.There is a lovely little bar just inside the entrance - have recommended to friends and family and would defientely stay there again!	
Apr 4 2007 	Fine Hotel	Location, location, location!! Superb location is the greatest plus. This hotel was a block or two from Green Park Station and Picadilly, walking distrance to everything, pleasant street full of shops and across street from Fortnum and Mason.The hotel is lovely, good modern room with superb beddiing, clean, big bathsheets and modern bath. Toiletries were good. Concierge was helpful.Only negative was cost of internet access which was exhorbitant but it was a necessity. Everyone was pleasant, helpful. We got the wrong room but they changed it to our upgraded we had requested. Cost was high but that is London. We did not use the restaurant as the neighborhood was full of restaurants. No noice problem. View was of the London Eye but was obstructed.	
Apr 3 2007 	fabulous hotel	just returned from the cavendish after staying one night on a girly weekend.The decor of the hotel is very modern first impressions were a very clean modern hotel. The staff were very friendly and helpful, we arrived well before check in time 10am and one of two rooms booked was ready for us to check in to. the room was on the 12th floor and wow what a veiw, we could see the london eye, big ben, st pauls houses of p and westminster cathedral . The room was excellent we had a twin room it was very clean and light and airy. Facilities within room was great the hairdrier was a full sized turbo dryer better than mine at home!! CD player great for geting ready for night out with music. location excellent it took us 8 mins from hotel to piccidilly circus tube station.Breakfast was fab they serve till 12miday on saturday and sunday fab if you've been out late at night and need a lie in the next day. everything you could ask for at breakfast all hot and cooked well. my only moan if is it is one was albeit the staff were very helpfull the did look a tiny bit scruffy .	
Mar 31 2007 	Love The Cavendish!!!	This was my second time staying at the Cavendish. The first being in January for 3 nights.On my first visit, first impressions of the hotel were brilliant. Very modern, luxurious and the staff were brilliant. I stayed there for my 21st birthday. My mum rang up a couple of days before and said that it was a special occasion, so they gave us a better room with a fantastic view (of the London Eye - may I add) and brought us a yummy chocolate cake!! Our stay was excellent and I liked it so much I went back in March.Second visit - stayed for 1 night on 23rd March for my other friends 21st birthday. Again check in and service was brilliant. Our rooms were on the 14th floor with excellent views. Upon arrival I asked the receptionist if there was anything special we could have for my friend. 10 minutes later we had a chocolate cake delivered. My friends loved the hotel also!!The hotel is centrally located, just minutes away from Piccadilly, Leicester Square, Regent Street &amp; Oxford Street. The rooms were excellent - nice comfortable beds.My only disappointment on my second visit was that my room was next the lift shaft. It was very noisy throughout the night. Didn't get a wink of sleep. If I had of been staying for more than 1 night I would have asked to move rooms! Other than that everything was brilliant! Will definitely be going back to The Cavendish!!	
Mar 26 2007 	Fantastic Location Friendly Staff Good Value	My wife and I stayed at the Cavendish for the first time in March, but it exceeded our expectations and we will definitely stay there again. By booking with the hotel's own web site a few weeks before our trip we got an Advance Purchase Rate of £139 for a Superior room on a Saturday night, with a queen-sized bed, bath/shower, and full buffet breakfast. The hotel was easy to find and less than 5 minutes walk from Piccadilly Circus tube station - a perfect location for all the central London attractions. We arrived 9.30am, way before official check-in time, hoping to store our bags whilst we explored London. However, since a room was available, we were allowed to check in straight away and were given a room on the 14th floor with a wonderful panoramic view of the city. The hotel is taller than most buildings in the area so you can see for miles from the upper floors. The room was clean and comfortable with contemporary fittings, and included a CD player and large flat-screen TV. The bathroom was very nice, with a good range of complimentary toiletries. Not sure about the see-through glass door though... not good for privacy when, erm, answering the call of nature! Our room was right next to the lift shaft, which we thought might be a problem at night since I'm a very light sleeper and we aren't &quot;night owls&quot;. As it turned out, however, the lift noise wasn't very intrusive and didn't prevent us from getting a good night's sleep in the comfy bed. The buffet breakfast was excellent, with a good selection of hot and cold foods, and all the serving staff were very friendly and quick to help. It was also available right from 7am to 12pm at the weekend (6.30am-10.30am midweek). However, if the buffet had not been included in our room rate we would probably have eaten elsewhere since it's a hefty £21 per person if bought separately. On the day we checked out we were able to leave our bags with the consierge at no charge until we were ready to leave London that evening. All in all we were really pleased with the hotel, and found all the staff to be genuinely friendly, cheerful and helpful. We would have no hesitation in returning, or with recommending it to others.	
Mar 21 2007 	Perfect Location!!!	We stayed at the Cavendish for a weekend break in London (9th - 11th March). The hotel is in a superb location, opposite Fortnum &amp; Mason, on the quiet Jermyn Street. Most of the places that we visited were within walking distance, and being able to walk to and from the Theatre for Mary Poppins on Friday night, was a definite plus. We also walked to and from Covent Garden, Buckingham Palace and Westminister. If you plan to do a lot of different places in one day, then I would recommend buying a day ticket for the tube, I think this was around £5.50, bargain!Breakfast at weekends can be very busy, but to be fair, when we checked in the staff were very friendly and polite and gave us a little leaflet detailing their Theatre Menu and a recommendation that if we were on a tight schedule, they recommend you come down for breakfast before 9 or after 11. Now on Sat morning, we didn't heed this and waited about 20mins for a table, but on Sun morning, we arrived at about 8:45 and were seated immediately. Bring your free newspaper if you can't make it down before 9! It was outside our door on both mornings.Good array of food at breakfast, cereals, fruit, meats and cheeses. Fresh fruit juice, pastries and Scrambled eggs, bacon, sausages, mushrooms and tomatoes were also available from the buffet. You could order an array of hot breakfasts from the menu (including english muffin with poached egg, kippers, fried eggs etc.). As is the norm, toast and tea/coffee were delivered to your table. Again staff were very friendly and polite!The room was very modern and exactly what we like. Lovely bathroom with bath (superior queen room) powerful shower (not separate) and a lovely glass wash hand basin (and loo of course!) Lovely large fluffy towels and really nice smellies too, which are always a bonus. Room was small, but in most of the cities that we have stayed in, this has been the case, even the Waldorf in NY. Good supply of tea/coffee and biccies, in room safe, 1800w hairdryer and mini-bar! All in all, I could not recommend this hotel highly enough. Superb service from excellent staff, a fabulously comfy bed in a &quot;small yet perfect&quot; room and a 1st class location. What more could you want for a weekend in London?	
Mar 19 2007 	Great hotel if slightly compact!	Have just returned from a one night stay at The Cavendish and having read the previous reviews on this hotel I felt quite prepared on what to expect. On arrival we found the staff to be very welcoming and helpful. We were offered the option of an early check-in rather than leaving our bags with the concierge, but were informed that the room would be next to the lift, so we declined and decided to wait for an alternative.When we were allocated our room, we found it to be very clean, and nicely decorated. It was slightly on the small size, but I suppose this is standard of the hotels in this price bracket in London, although the bathroom was a good size and the room had everything you could need. The view was great - we were on the 12th floor - and could see the London Eye and Big Ben from our window. Breakfast the next day was fine and was served all morning, which was excellent if you needed a lie-in! We only had to wait a couple of minutes for a table to be prepared. The cooked breakfast wasn't to my liking, but there was plenty of other choices on offer and the staff were very attentive, asking us if we required re-fills etc.Overall, you cannot fault the location of this hotel (5-10 mins walk to Piccadilly or Leicester Square), and if you get a good room rate, which we did direct with the hotel, you should really enjoy your stay.	
Mar 13 2007 	such a let down	We read the reviews on trip advisor and were really looking forward to staying here. We visit london 5 or 6 times a year and have stayed in a number of hotel and chose this one as we wanted to stay in a different area. We found the staff here almost arrogant in dealings with guests.Our order of champagne in the room on arrival was ignored and then delievered after an hour, with little apology. The room was plesantly decorated, small as are most london hotel rooms, very clean, and the maids were very kind and helpful.The connecting door( which was ofcourse closed) meant we could hear every word the people in the next room said, even during normal conversation; being woken at 4.30 am by a couple returning next door did not make the 30 minete wait to be seated at breakfast any the more bearable. The lobby decore wasn't to our taste, but we loved the buildings on Germyn street, and the amazing Fortnum and Mason was as always a pleasure to shop in. In short the best thing about this hotel is it's location, the worst is the front of house staff's atitude.	
Mar 7 2007 	Very Nice	I stayed here for 3 weeks on business and I found it very comfortable and convenient. No issues at all with the hotel, it was clean, service was good and the location was excellent..being only about a 10 min walk to Piccadilly Circus.The room was a reasonable size for a London hotel. I had a comfortable Queen size bed. Finding a good London hotel in a good location can be difficult I know(I travel there frequently) but you will not be disappointed in the Cavendish.	
Mar 6 2007	Comfort at the Cavendish	Just returned from a weekend stay at the Cavendish and must say that we really enjoyed it. Check-in was easy and efficient and before the stated time. Our room 803 was what we expected - clean, fresh, modern and comfortable. The bathroom, although small, had both bath and shower and plenty of toiletries provided.At the concierge desk we spoke to Nick who was extremely courteous and helpful, managing to get us best seats for the next day's performance of The Tempest! He also arranged restaurant bookings for us and just couldn't do enough to help us!At breakfast on both mornings the staff were very friendly and attentive to our every need, as indeed we noticed they were with everyone in the restaurant and it was a pleasure to sit there looking out over Fortnum and Mason and enjoying a delicious breakfast.We were sorry to leave the hotel yesterday morning and, complementingthe duty manager on his excellent staff, we promised to return in the near future!	
Mar 5 2007 	A fantastic hotel	Well, we had an executive twin opposite the lifts and so did our other two sets of friends and, although you can hear the lift - it resembled a distant room using a tap - we had no problem with the noise. Great room and tea coffee selection. Amazing bathroom. Breakfast was fantastic and the cook to order smoked salmon and egg muffin is to be recommended. The weekend breakfast times were superb too. A lot of flexability. The location is within easy walking distance of many of the West End theatres and literally just around the corner from Piccadilly. The beds were the most comfortable ever. Our friends were allocated a floor 12 executive twin and had the most wonderful view.I cannot think of anything that wasn't spot on.	
Feb 19 2007 	Style over substance - as I said before.	I left a fairly bad review here before and have stayed there about 4 more times since then - the location and the price made me want to warm to this place! And I did, but only a tiny bit. To be fair, it is cheaper than most places in the area, great location and all rooms have nice biscuits, kettle and wide tea and coffee selection - not a given anymore. It is clean and clearly taken care of... HOWEVER it has lots of problems and I maintain that if they spent a little less effort on making it look like it is a class above what it is and more effort on the basics and service it would be MUCH better- I always ask for a room far from the lifts when I book, but always need to remind them of this when I check in. It is very very very noisy being beside or opposite the lifts. (the lifts are also very slow)- On my last trip I was checked into an OCCUPIED room (right beside the lifts of course)... yes, I was greeted by men's underpants on the floor... system error, the robotic staff told me. They really have no character; all seem very inexperienced and, well, just getting through the day. The uniforms are so sloppy too. I'm sure they think they're trendy. I got such a feeling of insecurity from walking into someone elses room that I think this is the last straw for me.- The beds are OK (only OK) but the duvet is quite light and there are no extra blankets in the room. I prefer an extra blanket to turning on the heat but it is too cold here.- There is no luggage rack in the rooms; you have to put your case on the bed or the floor - annoying and unncessary.- Room service: The menu is boring and the food poor - a caeser salad consists of crap lettuce with globby mayonnaise-type dressing. The gourmet prawn sandwich had 3 prawns, a few bits of lettuce and some mayonnaise on sliced pan. The menu said 'hand-cut chips', I got crappy crisps... it's a hotel in England so I expect English English and that chips therefore means chips. Side salad was a pile of assorted leaves, not cut and no dressing. I also got no cutlery or serviette last time I was there. No finesse, not worth it.- Some of the rooms are TINY. Whe I go for the larger rooms they are generously proportioned and much nicer.I give up. It's not an awful place but they have issues which i think are avoidable but it's the same every time.. it's frustrating, it could be better. if you're going privately and watching the purse strings, it's fine... as long as you go for a room on a high floor (nice views) and AWAY FROM THE LIFTS.	
Feb 13 2007 	Superb hotel. Do not pay attention to the bad reviews!!	We looked around for weeks to locate a well located. 'modern' decor hotel in London. So many hotels are either decorated in the 'old school' or absolutely miniscule in terms of room size and charge a bomb due to location. After booking and cancelling many, many hotels, we finally located the Cavendish. Needless to say we had not stayed here before and were quite aprehensive. Arriving early christmas day morning didnt help as the hotel has virtually no street presence and our driver couldnt tell where we had to stop. We did work it out very quickly though and were ushered straight up to our room (even though we were at least 4 hours early for check in).Our bags were brought to our room immediately and we had the most amazing view of big ben, the london eye, buckingham palace and london generally from our huge wall size window!!! We have stayed in London a few times and were surprised by the tremdenous view we managed to snag on this stay. The room we booked was superior and trust me, we have booked superiors etc. before in the UK and they have been nowhere near the size of this particular room, which was absolutely perfect!! It had a great marble-esq (I think it may have been vitrafied tiles) bathroom with a large tub and was tremendous!!We had room service due to our significant jetlag on our first night which was well priced and came really quickly. We dined in the restaurant (which had a pre-theatre really cheap menu available - (which we took advantage of)) one of the other 5 nights during our stay and were amazed by the quality, friendly service and price of the food!! The breakfasts were superb! We were always served immediately. Asked if we wanted coffee, fresh toast etc. and the buffet was constantly re-filled with lovely freshly cooked bacon, fresh fruit, eggs and UK fav's such as haggis etc. Th staff made sure they sat people away from each other (a change from usual hotels where they cram as many as they can into one space so as to restrict staff efforts)The reception/concierge staff were always extraordinarily friendly and happy to provide hints on where to eat, go etc. and the location was absolutely SUPERB!! Very easy walk to Harrods, Picaddily circus, Oxford circus, Shafetsbury (theatres), Trafalgar Square, Buckingham Pallace/Hyde Park, Big Ben, Parliament, etc.. all within 5-10 mins walk!! (which the most un00fit person can do!!) Although you should catch an underground train to tower station (if going to london tower)Having stayed at several other places in London and forking over big dollars for transport to the various attractions. I cannot recommend highly enough the Cavendish. You absolutely must stay here!!	
Feb 12 2007 	Pleasant and stylish stay	Booked a standard room direct with the hotel for £140. I consider this an average price for an average london hotel (ie Thistle, De Vere etc), so was pleasantly suprised by an above average experience. Entrance on Jermyn St is restrained to the point of being invisible. We were in a taxi, so were dropped off at the door. If we had been on foot I'm sure we would have walked past it a couple of times before noticing!Checkin was swift and hassle-free, though our room was not ready at 11am the concierge took care of our luggage. We did a spot of shopping on nearby bond st, had a bite of lunch, then returned at 1.30 to find our room ready for us.Room was standard london size -- not huge, but big enough. Bathroom was excellent, very clean and bright with excellent shower . Bedroom was nicely decorated, though a bit too much black and chrome for my taste -- in good order though. On thing I would say was that it was a little dim, no main light, just lamps. Could have done with at least one more lamp. Could see the London Eye from our room.One lift out of three was out of action, but this was apparently down to scheduled maintenance.We were given a note on checkin explaining that because the hotel was fully booked, breakfast was expected to be very busy, especially between 9 and 11 (served 7 to 12). We are early risers, so went down around 7.30 and it was very pleasant. A smattering of others, and a window table for 2 so we could watch the world outside coming to life. Standard buffet breakfast, but with fresh eggs served at your table. Acceptable quality, but nothing to write home about. Nice decor in breakfast room (which doubles as restaurant).Can't comment on the restaurant other than that, as we dined at Le Caprice, just a short walk around the corner. Very nice it was too.	
Feb 8 2007 	Fantastic little gem	Lovely little hotel with a fantastic location. Right off Piccadilly lies Jermyn Street and this hotel which looks rather inconspicuous from the outside. Pros:Excellent locationGood bathroom size (Superior Room)Quick room service and bar serviceFriendly staff and knowledgeable conciergeCons:Expensive (but huge and customisable) breakfastLounge service is terribly expensive and service is incredibly slow and stuffy (I'd written an entire agenda for a 2 hour meeting before I was even approached to take my order!)Check-in was painless, though there was a bit of a queue. My room was, however, ready for me more than three hours before my check-in time.Rooms were a fair size, not as huge as they looked on the website, but the bathroom was lovely. After phoning for an iron to be sent up, I waited rather a long time, but housekeeping were so apologetic. When I had the iron set up, there wasn't much room to move around the bed and desk areas. The wireless internet is through the roof, but is capped at a £20 daily maximum, thankfully.Room Service at no extra cost, which was useful - brings it alongside normal room service prices - the lounge was rather expensive.Right where I wanted to be in London and close to two tube stations (about equidistant). I believe I got a good rate on the room, at £140 a night, it was worth that for a night or two's stay in London, but anything more, it's a bit overpriced.If I could get a similar price and I was staying for a short break, then I'd definitely stay again.	
Feb 6 2007 	Can't Help But Be Disappointed	After reading the reviews I was really looking forward to staying at this hotel. As I was staying with my Mum I had booked a twin room. You can imagine how surprised I was when I checked in and discovered we had been allocated a very small room (even by London standards) with a queen size bed.I phoned reception and spoke to the member of staff who had checked us in. I explained politely that I had booked a twin room and she told me that I had not and that the system showed I had requested a room with one queen bed.I advised the member of staff that I had a copy of the email sent to me by the hotel which clearly showed I had reserved a twin room. She told me to come down to reception but stated again that I had asked for a queen bedded room.When we got back down to reception I showed her the emailed confirmation and she still disputed what I had reserved saying that the system quite clearly showed I had asked for a queen bedded room.I asked to be put in a twin room as I had proof that was what I had reserved only to be told there were none available unless I paid an additional £30 to upgrade. I queried this and managed to get the charge reduced to £20 but was and still am, unhappy at having to pay to rectify a mistake that the hotel had made.The walls are paper thin and you can hear every word of any conversation your neighbours may be having so unless you talk in whispers they can hear yours. If your room is near the lift, you'll be disturbed throughout the night by people coming and going.I remembered some advice from a previous post recommending breakfast in bed - we did this and had no problems - breakfast was delivered on time and was hot and everything we had ordered was on the tray. After breakfast, we tried to take a look at the main breakfast room but couldn't get near for the mass of people waiting to be allocated a table. When we came to checkout, I had been charged an upgrade fee of £30 and not £20 as agreed - this was corrected without argument although as I said earlier I don't think it was acceptable that I had to pay to correct the hotel's mistake.If you don't mind smoke-filled public areas, paying more for your room if the hotel makes a mistake and bedrooms with paper thin walls then this is the hotel for you.However, if you prefer public areas that are smoke free, a hotel that will not make you pay when you are not in the wrong and sound-proofed rooms then you may have a more enjoyable stay elsewhere.	
Jan 28 2007 	Well sited for exploring London. Helpful staff	Stayed for 1 night on a business trip. Upgraded on arrival to a non-smoking double room.The concierge was really helpful and very polite - even when being forced to multi-task! The room was well-appointed and good value. English breakfast reasonable for a Central London hotel.Underground car park is a very useful facility. I left my car for a night and business day for £35. I'm not sure whether that's good value or not; but very convenient.I would stay again.	
Jan 24 2007 	Just as good the second time around	I have previously reviewed this hotel (Nov.2005) and recommended it highly at that time to other Trip Advisor members.Wanting to visit London again, I thought it prudent to take my own advice and once more booked into the Cavendish.As before the stay was comfortable, efficient and good value for such a central and prestigious location. Breakfast was great and the concierge staff were genuinely helpful - thanks Tommy!The best thing about it is that St. James and Jermyn St. are so close to all attractions, yet set back from the madness of Piccadilly. The proximity of the hotel to some of the best shopping and London pubs certainly does no harm either.Again – highly recommended.	
Jan 15 2007 	Great hotel	Only stayed here for one night to take in a show. Wish it could have been longer! Hotel was clean and tidy, staff so friendly and informal, but very efficient. Room had everthing in it, plenty of tea, coffee, etc and even bottled water. Had a problem with our bathroom, but phoned reception and someone was there within minutes. Breakfast was plentiful and varied. Hotel itself is in a great location and would highly recommend it.	
Jan 14 2007 	Non Smokers Beware.	Do not go to this hotel if you are a non-smoker or you want your breakfast at a time to suit you.Myself and wife, and Daughter and Son in Law spent one night at the Cavendish, having pre-booked two non smoking rooms. We were both allocated smoking rooms and only after lengthy complaints, and therefore delays (which spoiled our tight timetable) were we moved to non smokers. I really don't think this would have happened at all had the duty manager not discoverd we were from the same part of the country as him.A later letter of complaint to the General Manager resulted in a response informing me that &quot;They did not guarantee non smoking rooms&quot; (this was the first we heard of that) there was not even an apology.I hadn't even bothered to complain about the ridiculous breakfast situation at this hotel. Clearly they cannot cope with this process which seemed to have taken them by surprise on the morning were there. I suspect the 20 minute wait we experienced is pretty much a daily event	
Jan 9 2007 	Best breakfasts	Stayed here over New Year - great location, managed to find cheap rates for the two days (although its expensive again now) - the breakfast was amazing. Room wasn't large, but it was good enough. Bar expensive, but all London hotels are. Wanted to go back again, but it was hard to get a good price.	
Jan 7 2007 	Excellent location	My girlfriend and I stayed at the Cavendish for 3 nights from the 2nd of January. We fonud the staff to be very polite and helpful and every need we had was catered for quickly. The room we stayed in was a superior double on the 9th floor. It was an average sized room and was well furnished.The bedding was very comfortable and the televison had Sky Sports. Which is always a bonus!The location could not be faulted: A stones throw away from Picadilly Circus and opposite Fortnum and Mason. Also, a little way down the road was a very convenient tesco allowing us to afford lunch!Fantastic stay.	
