	perfect	I was part of a group of 4 couples stayed in this hotel and would recommend it highly.The rooms were a very good size and the location could not have been better less than 5 mins walk to oxford street and bond st tube station.lots of restaurants within walking distance.Staff in hotel were very helpfull and gave us lots of recommendations for restaurants shopping ,sightseeing etc.The hotel had a very relaxed atmosphere away from the hustle and bustle .	
Oct 3 2007 	two twins does not a king make	my fiance and i stayed at this hotel on two different occasions. like the previous reviewer, we were not welcomed back either nor were we given a simple 'goodbye' on our way out. the front desk at this hotel is NOT warm and fuzzy in any way. HOWEVER, the concierge was pretty friendly as were the bartenders and the cleaning people on the 4th floor.we asked for a king bed and were given two twins pushed together. and for the price we paid each night, we expected better than 150 thread count sheets. and the overall smell of the room was odd.we had an average experience. the location is perfect. close to everything including the bond street tube.a sidenote: the ONE treadmill in the gym is extremely loud and is worn out. it desperately needs to be replaced.	
Sep 30 2007 	Luxury Hotel if a tad pompous	Lastminute booking and really good rates (£400 for 3 nights). The reception staff were a little stiff and sniffy but follow procedure I guess. The room was small but PERFECTLY formed, delightful. A window that opens, aircon from the dark ages but I never use it so who cares!. Comfortable bed with well appointed bedside lights not those horrid ones stuck in the headboard. All the amenities required for business - internet, phone and so on. Bathroom clean, bijoux, plenty of linens and a GREAT vanity mirror and good hairdryer.Some noise from other guests who forget themselves - yelling to one another in the corridor! - but quiet at night.Only had roomservice once it was fabulous and way above the norm for the usual room service offerings.Great location for food, shopping and walking to work in Bond Street.Excellent would most definitely return here.	
Sep 18 2007 	Incompetent staff and terrible room	My son and I stayed at the Millennium Mayfair Hotel in July and had a horrible experience. Although, London weather was mild the heat was turned on in our room to 78 degrees. We were unable to turn the heat down and 6 hours after we told the conceirge service about it a maitenance man finally showed up. He could not fix the problem and the assistant manager would not move us to another room. The management did sent up a room fan and bottle waters but the room was still sweltering. We were on the club level with guests yelling up and down the halls all night. Needless to say we did not have a good nights sleep.The next morning we were still not guaranteed a room change so we changed hotels. I had used American Express reward points to pay for the room and was unable to have them reinbursed.We moved to the Dukes Hotel where the service was excellent and very helpful. It is a lovely hotel and I would highly recommend it.Atlanta, GA	
Sep 17 2007 	Clean and great location	Nothing to complain about the hotel. Location was great, amenities were clean, hotel staff were friendly and helpful. One downside was the arrangement of furniture. After a long day walking and exploring London, one would like to catch up on the daily news or in this case, the World Cup. The tv faced the window and the sofa faced the bed. One would think that tv is usually enjoyed standing up in front of the window as opposed to sitting on the sofa or watching it from the bed.Overall, nothing to complain about about. We otherwise enjoed our stay.	
Sep 17 2007 	Nice Location Outdated hotel	We chose this hotel because of the central location and somewhat reasonable price (converted to US dollars anything is expensize). After being dropped off at the wrong hotel (the Mayfair) we arrived to the Millenium Mayfair on a Friday night, when a large event was taking place. The hotel entry is slightly hard to find, but it was packed with people. The lobby was nice and check in was fine. We made our way up to our room on the 6th Floor. We had requested a room with a view of Grosvenor Square when we booked the room and again upon check-in but we got a view of the motor court. It was fine. The room was nice size, but one thing I can't get over still is the smell. Every time we came back into the room the smell was terrible. A mix of old, smoke and something else I can't describe. The room was outdated, the lighting was poor, but the bed was nice and clean. The hotel does seem to have a lot of events and we couldn't keep our window open because it was so loud outside. It was a great location, very close to Hyde Park, Oxford Street, and in the heart of Mayfair. We don't regret staying there, but probably wouldn't stay again.	
Sep 16 2007 	FABULOUS TIME FANTASTIC STAFF EVERY 1 OF THEM THANKU	HI EVERY1 stayed 1 night 15 sep 07,i could talk and praise this place till i lost my voice i loved it that much, starting with the floor manager MR damien woods everything mr woods organised was spot on excellent great service thanks again damien and MR mohammed mazir floor manager again excellent great service made everything again spot on, also ALFIE at concierge so helpful thanku so much,the reception girls thanku so much the resturant food was awsome especailly the full english breaskfast ummmmmmmm was so lovery again staff were excellent,carking parking at hotel faultless especailly parking in the court yard staff again excellent ,we stayed in a deluxe room well that was sooooooooo nice everything was there for your ,room service was great food brought to your room was great we stayed on the 4th floor looking over the park fantastic BIG THANKS to everyone involved in this great value for money hotel WE WILL BE BACK mr&amp;mrs Goddard	
Sep 4 2007	Do Not Expect The Little Things That Count	This was my second stay in just over 2 months. A total of 16 nights. It will also be my last. Do not expect to be welcomed back as a returning guest! Forget that warm feeling when the front desk checks the computer and says &quot;Welcome Back.&quot; Do not expect any special courtesies; no note from the GM, no fruit bowl. You are just another body to be checked in by the mostly surly front desk staff. Booked an Executive Club Room. The unsmiling young lady at the desk (Linda) offered me the key to room 204. Nothing could have prepared me for the worst view from a hotel room that I have encountered in over 30 years of staying in hotels. It was a concerete block that somehow housed air conditioning units. To say it was was ugly would be an understatement. When I complained to the &quot;charming&quot; Linda that it was unacceptable she informed me I had booked an Executive Room and that this was an Executive Room! End of conversation. Had she never seen room 204? Or she could have aplogized in advance if the hotel was full? Passed on to the Manager on Duty we were given a room overlooking Grosvenor Square (one small window). A strange room that required illuminating the entire room to open the light in the bathroom. One light switch! Not very pleasant at night for one's companion. Too noisy, quite bizarre lighting and a sleepless night I went to the front desk at 6AM and asked for a change again. A new Manager on duty finally offered a nice room that despite the poor bed (every room has terrible beds) was pleasant. Do not expect the &quot;heavenly&quot;bed&quot; in this hotel. Springs and wires are the order of the night and very inferior linens. Club Room ammenities were nice. The staff in the Club Room were very very helpful and friendly in contrast to the imperious group at the front desk (one notable exception- Marina who is lovely and helpful). The less one has to deal with Linda, Andreas and the others at the front desk the more pleasant your stay will be. When asked for a late checkout (flight at 9:30PM) another Manager on Duty (yet another!) informed the charge would be 120 pounds. OK, 6PM is a late check out but often good customers are given a break. Not at this place! To add insult to injury, despite paying the charge we were locked out of our room for overstaying the check out time! The hotel is patronized largely by Middle Easterners and we were treated to a colorful and noisy Indian wedding. All of which makes the lobby a pretty hectic place. A perfectly fine property in a great location that is, in my opinion, poorly managed and does little to put the guest first. Is this the Millenium standard? Singaporean hospitality? This despite the many nice letters written to this website by the Front Office Manager who seems to care but who for some reason does not convey that same care to the staff. I really wanted to like this hotel (despite its rather outdated decor) and to make it my home on my frequent trips to London but one can never feel at home here. To me that is obvious after my last two stays. I shall move elsewhere. It all starts with the General Manager, whoever he/she may be.	
Aug 21 2007 	London Weekend in Mayfair	We stayed at the Millennium Mayfair for 2 days as part of a Cunard QE2 package. The hotel is located in a very quiet and refined area of London with Grosvenor Square at the back door and the American Embassy right across the street. The staff were extremely welcoming and helpful, especially the concierge who steered us towards great sightseeing (Hop on, Hop off bus at Hyde Park, only a five minute walk away) and several dining possibilities. The room was compact, but tastefully decorated and seemed recently renovated. We were on the motor entry side of the hotel, so we missed the view of Grosvenor Square. We had a very nicely done marble bath - one of the smallest bathrooms I've ever encountered, but well equipped. It was odd that the bath on QE2 was almost twice the size of the hotel bath. But ... who spends that much time in there anyway? The hotel offers an oriental restaurant and a 'celebrity chef' bar and restaurant. Prices are somewhat steep (about £20/$40 for breakfast) but there are several pubs and restaurants a short walk from the hotel that can save a good deal of cash for shopping (Bond Street is only 3 blocks away). I'd gladly stay with them again on my next trip! Very accomodating staff and a great location.	
Aug 2 2007 	Lovely hotel in peacfull surroundings	Just arrived back from London after staying in the Millenium Hotel and was really pleased. Some of the reviews had suggested the staff were very unfriendly and the rooms were small but, we didn't find this to be the case. The staff were very pleasent and when we arrived our room wasn't ready so they brought us tea to pass the time. It was then we seen the man himself Brian Turner whos restaurant is in the hotel. As a result the food is a little bit exspensive but, you have to treat yourself to eggs benedict and waffles every now and then :)The rooms felt like a mini flat with a big room and cumfy bed and a clean bathroom. Location of the hotel is really good not far from Bond street station about 5-10 min walk (doesn'y feel like it thou when the sun is shining) and just around the conrner from Claridges. Although its very close to the shopping hub, the park outside the hotel makes it fell like a tranquil place. All in all a really nice hotel and would recommend it.	
Jul 30 2007	good enough	nice rooms in delux. Bar at night was very nice an cosy. beds wern't the best. Most of the staff were perfect although girls on main desk wern't the most friendly or helpful. Food was above average. although one thing to point out, if ur a non smoker best not go the bar as shall i say the rules are relaxed at night, all round enjoyable night, good place to lay your head, row of cabs waiting outside for you, perfect!!	
Jul 29 2007 	Great Location	We stayed at the MIllenium Mayfair for 2 nights for the prologue of the Tour de France. The Hotel is a great position in Grosvenor Square and only 5 minutes walk from Selfridges on Oxford Street and Bond Street is within easy walking distance. We were also able to walk to Hyde Park to see the Prologue. We had a good weekend deal, approx £123 per room per night including breakfast, booking directly with the Hotel which we thought was great value for money given the location and size of the rooms. We were allocated 2 refurbished rooms on the fourth floor overlooking Grosvenor Square which were quiet and spacious. The staff were very good, particularly the concierge team, who managed to get us into The Ivy Restaurant on the Saturday night. There was a bit of a mix up with the booking, I am convinced it was the Ivy, not the Hotel, however the hotel made up for it by having a bottle of champagne on ice in the room on our return. We did not eat in the Brian Turner restaurant but there is a great Italian restaurant, 'The Spaghetti House' just over the square for an informal meal with a great atmosphere. It is part of a chain but you would never have guessed. I would definitely recommend this hotel particularly with the weekend deals and would not hesitate to stay here again. If in doubt, book it!	
Jul 18 2007 	OK but you can do better	We were booked into this hotel as a continuation of our transatlantic cruise on Cunard's QM2. The location is great--heart of Mayfair. Hotel looks OK and staff is exceptionally polite and efficient. But, rooms are a bit dated which was quite a let down after a suite on the QM2. The first room we were assigned overlooked the HVAC units, smelled and the A/C didn't work in July. Second room was newer, but much, much smaller. They are very proud of their premium restaurant, which has a headliner chef--Brian Turner--but, there is no all-day casual restaurant (contrary to what their material says). Food prices are beyond reason--20 pounds ($40) for a continental breakfast via room service. There are more reasonably priced restaurants in the area. While Cunard booked a number of English-speaking people into this hotel, most of the clientel seems to be Mid-Eastern or Asian. One of the channels on the TV was Al Jazeera, which I actually watch from time to time, but at the Millennium Mayfair it was in Arabic with no subtitles or dubbing. Not what I expected at an &quot;English&quot; hotel.	
Jul 9 2007 	Good hotel but room a bit dated!	Now I have got to say the idea of staying in Mayfair was really exciting the area was fab and very quiet and the hotel was within walking distant from Oxford Street and Piccadilly and other major attractions. The reception was very nice and clean with The Brian Turner restaraunt offering a very nice menu. All staff where extremely helpful and room service took about 10 minutes at most. The only dissapointment was the furniture in the rooms seemed very out of date, and for a 4 star hotel in Mayfair and how nice it was downstairs you would expect more. We managed to get this hotel for 2 nights for £235 on the 6/7/007. At the most I would pay £300 for two nights and no more. Overall average hotel with a fantastic location. I would stay here again.	
Jun 27 2007 	Great hotel in a great location	We stayed here on a Saturday and Sunday night whilst attending a gig at the O2 arena.Having paid just £135 per night for room only does colour my view a little - in addition we gained a free upgrade to a deluxe room!Good points:The hotel is clean and staff, friendly.Enormous rooms for city centre London.Some of the most comfortable beds we have ever slept in!Air conditioning that almost works (still not as good as even the cheapest American motel!)Amazing value for moneyBy far the most comfortable hotel we have stayed in in London, despite paying more in the past.Needs improvement:Bar prices are high, we had a couple of sandwiches at around 12.30am and the quality was not good. To be blunt, it was pretty awful. I understand there won't be a chef on duty at this time, but the ingredients were not up to scratch.There is a good cafe just off Berkeley square about 5 minutes walk away if the breakfasts look too expensive.Finally, it was interesting to read some of the hotel's history. It's great to be able to stay somewhere that has had a place in world events (the one that stuck in my mind is it is where the end of the Napoleonic wars was announced).Overall, I would heartily recommend this hotel to one and all.	
Jun 26 2007	Great Stay!!	We had a wonderful stay at the Millenium. The rooms are very nicely appointed, the beds quite comfortable, great pillows, upscale bath and all the ammenites we Americans are used to! Great staff; very knowlegeable and helpful. We really liked the location too. Definitely would recommend.	
Jun 15 2007 	Very good staff	Stayed here for 2 nights for an in-house conference in June. Surprised our budget ran to this hotel - must have been given a good deal! Excellent location, nice room (air con very quiet - perhaps I was lucky?), good shower and overall very little noise from either outside or the other guests. The breakfast buffet was fine; not huge but everything was fresh and tasty. Particularly impressed with the staff who were efficient and friendly, whether at check-in, breakfast or when just passing housekeeping staff in the corridors. They are clearly well trained. Only one gripe - we had a conference dinner there and the food was cold when it arrived. This may have been partly our fault though as I think the speakers over-ran. The lunches provided were very good. I just wished we could have tried the Turner restaurant as the menu was very appealing.  Overall a very good conference venue (and I hope we use it again) but I'd also recommend it for tourists.	
Jun 13 2007 	A good all-rounder	My husband and I stayed here for 2 nights to celebrate his 30th Birthday and our 5th Wedding Anniversary.We booked directly with the hotel and secured a good rate including breakfast. The service prior to our stay from the front office was superb and beyond expectation.Having stayed here before for my birthday last year we knew what to expect: The location is in a leafy area of Mayfair, directly opposite Grosvenor Square and the American Embassy. There is an exclusive and calm air about the place and it's within a quick paced 10-15 minute walk to the nearest tube station. The lobby is elegant and spacious. There was some kind of event/function going on over the weekend we were threre, which resulted in a minor chaos in the lobby but the delay wasn't too long. The room rate they had down for us at the check in desk was not as per the agreement but this was quickly sorted.We made our own way upto our room on the 4th floor. It was overlooking the car park so no view to speak of, but we weren't planning on spending our time looking out the window so this wasn't a problem.The room was of the refurbished variety (we were asked upon check in if we wanted a refurbished or non refurbished room). The size was smaller than our last stay but pleasant, bright and airy all the same. Large queen bed, sofa and chairs, desk, air con (louder than last time but efficient). There was the usual trouser press as well as an iron &amp; ironing board which were put to good use. Our tv didn't work to begin with but a pleasant engineer was sent up fairly quickly and fixed the problem.The marble bathroom is clean and functional with overhead shower with good pressure (not so great drainage). Plenty of towels and toiletries. Overall the room was above average, comfortable with some luxury touches, well sound proofed and a good size for London standards.Because of the event that was taking place we had a letter both days advising us that they expected the breakfast room to be extremely busy and advised to get there before 8am (no thank you) or order breakfast in the room. We paid the £5 surcharge each morning to have this and it was a much more pleasant and relaxing experience.The front office booked us dinner in Turners restaurant within the hotel for our celebratory dinner. Having dined at this restaurant previously and loved it we were not let down this time. Asparagus, smoked salmon, beef fillet, 'bangers and mash' , chocolate pudding and vanilla ice cream went down a storm with a nice Merlot. Service was superb as before with the great sommelier, Patrice, on hand. It was good to see Brian Turner in the kitchen too.One difference from our previous experience was that we were spoilt during our last stay. We were kindly presented with a complimentary bottle of wine in our room in recognition of my birthday and the hotel had also advised Turners restaurant of the occasion - they gave me my dessert beautifully decorated with candles and Happy Birthday written on it which was a lovely suprise. Even the check in clerk wished me Happy Birthday. Because it was an extra special occasion this time, I suppose I was hopeful for a repeat experience, especially as I'd been bowled over by the service received from the front office when making the arragements. The fact that this didn't happen did not disappoint us, nor did it detract from the overall good service and functionality the hotel, but it's the little extra mile touches (on the service front) that makes a place stand out for me.One warning. There were a few spaces in the hotels own small rear car park but upon arrival we were 'shooed' into the NCP car park, being told that these spaces were reserved due to an event that night. &quot;What happened to first come first served?&quot; I asked. That didn't apply today it seemed. Our car is a prestige make (just incase they were fussy about which cars are 'on show' ha ha!). Not particularly bothered, we instead parked in the adjoining NCP car park with ease. However, I wish we'd been a bit more insistent in the first place, because after 1 day 21hrs we paid the princely sum of £84 for parking! And I thought I'd become used to London parking charges.Overall, the Millennium Mayfair is an excellent choice for those who do not wish to be in the hustle and bustle but instead prefer a more relaxed environment to spend their time in London in comfort, be it for business or pleasure, and without paying ridiculous prices for lesser service (as I have in the past at Le Meridien Grosvenor House and The May Fair/Radisson hotel) The Millennium has the ability to go above and beyond what is usually expected. I rate it as a very good star hotel and will certainly consider it during my next visit to London.	
Jun 12 2007 	Nice hotel but slack staff	Good reception, quick, professional and polite.I had a club room which was GBP235 per night. Internet connection is another GBP20 and was very slow - I could just make a call using skype but the quality was bad.Poor sound insulation between rooms for an expensive hotel.Also half the rooms face out onto the square and the first night i was there was a car alarm which went for about 30 minutes from 9.00pm to 9.30pm. Room service rarely answered the phone and when they did they don't seem to want to give room service saying that the items in the room service menu were not available - for example there are 7 items on the Dersert menu but they only serve one(ice cream). I was ringing between 8.00pm to 9.30 pm and no one was anwering the phone.The Valet also doesn't answer their telephone as I wanted a suite dry cleaned and was ringing between 8.00pm to 10.00pm and no one answered.Other than the above this is quite a nice hotel but I think for the price I can do better.	
May 30 2007 	Loved the Millenium	I saw this hotel listed on one of the Travelzoo Top 20 lists, and decided to give it a try. I was hesitant after reading some of the reviews here, and even more confused after my mother told me she stayed here once and it was luxurious and wonderful. How could the reviews all be so different?I guess it really just comes down to a matter of taste,, and what you're used to. I agreed with my mom on this one. I loved this hotel. It was classy and elegant, in a beautiful area centrally located. Our room was huge....the bathroom large and clean.....the bed large and comfy. I could not have asked for more from this hotel. I felt wonderful and relaxed each time I walked back into the lobby after being out on the town all day.I don't generally stay at 5-stay, fancy hotels. I'm more the type to try a boutique, off-the-beaten -path hotel that offers slightly more personality than sophistication. That said, this may be more run-of-the-mill than I'm aware of - - especially for people who typically travel well. I thought it was just lovely, and I enjoyed every minute of my stay.The Mayfair area is very beautiful and upper-class. From the hotel, you are close to a few tube stops, the closest being Bond St. and Green Park. You can walk to almost everything -- hyde park and green park, picadilly circus, Covent Garden, Soho, the river, etc. Lots of shopping close by, including Selfridges department store and Oxford and Bond St. The hotel is tucked back into a more residential neighborhood, but it's only a few minutes walk until you're out in the bustling streets. I feel that's the best of both worlds -- a nice quiet oasis to sleep and relax in, yet close enough to get out into town.	
May 29 2007 	a dichotomy	First impressions of this hotel were great – the lobby / public areas were very smart, and the price we paid ( GBP 178 ) left thinking we’d gotten a real bargain.Reception staff were very polite &amp; professional. We were even able to get into our room despite arriving at around 11am ( I guess more to do with availability than efficiency, but it was still nice ).The room itself was a Club Room and was looking a bit tired – it could probably do with a face lift, but there was nothing wrong with the room. The A/C blew cold air, the lights worked ( a small gripe, the same with most hotels – more / better lighting in the bedroom please ).The bathroom was small but clean. The shower was powerful and easily adjusted.All staff were polite / friendly – always greeted with “good morning / afternoon”.But now the let downs : Breakfast – we had the full English buffet in the Turner restaurant. Personally I expect something better when a “celebrity” chef gives his name to a restaurant. Over all there is nothing I can say was “wrong” with it, but the scrambled egg looked a bit grey &amp; stodgy, the bacon didn’t look cooked ( a couple of other residents made similar comments ). The coffee ( decaf ) lacked any substance – it was hot &amp; just about tasted of coffee, but it was very weak. No knife available for butter / preserve ( easily remedied by taking one form the next table ).Breakfast was included in our package, if I’d been paying GBP20 for it on top of the room rate I would’ve asked for a reduction. Overall I’ve had better breakfasts at Holiday Inns.Housekeeping – When we returned to our room after breakfast the maid was cleaning our room. Great, we thought, they give it a quick tidy while we were at breakfast.Wrong – they were servicing it ready for the next guest before we’d even checked out. The sheets had been changed, the towels replaced etc. It left us wondering if this happens a lot &amp; in fact we’d spent the night in a room which had been serviced before the previous occupants had left !	
May 24 2007 	Highly recommend	Being from the US many told us not to expect much from the hotels in Europe. I would have to guess that these people have never stayed at the Millenium Mayfair. The hotel is in the perfect section of London. It is within walking distance to some of the best shopping in the world and also is surrounded by many great authentic english pubs. The breakfast is a little pricey so I would recommend a couple of the local places located within a block of the hotel. The rooms and staff are great. Listen to their recommendations. We never felt uneasy about the area our hotel was located in because it was very safe and nice.	
Apr 27 2007 	Fab Hotel	Before booking this hotel I spent a lot of time researching London Hotels, the major points that encouraged me to book this were the number of good reviews written and the fact that the hotel responded to criticism, which indicated to me that they cared.I was not disappointed, upon arrival we were given a room upgrade ( a good friend had tipped off the hotel that it was my 50th birthday). The room was large, the comfortable bed was large and the bathroom was large, with seperate bath &amp; shower.All of the staff, particularly the front desk staff, were extremely courteous and friendly (not always the case with upmarket London hotels).Will definately recommend this hotel to anybody looking for a good, well kept and central hotel.	
Apr 13 2007 	Absolutely Lovely!!	I cannot say enough wonderful things about the hotel or it's truly amazing staff. Although my husband and I have traveled to London several times before, this was our first time to take our twin 6 year old boys. I was looking for a large room (VERY rare in London) without spending the college fund. Every question by phone and email was answered promptly and graciously. When I enquired about the possibility of securing a small refrigerator for juice and water they suggested emptying the minibar for our use! We checked in at 11:00 am and our room was ready--minibar emptied, additional twin bed soon made up, extra towels and slippers...all without us having to request!!! My husband and I joked that we could not possibly make a request that the staff would deny---truly the most gracious, friendly hotel staff I have ever encountered in Europe!And, are you ready?? The college fund is more that in tact. We are still trying to find out how we stayed in what can only be described as a 4-5 star hotel for the fantastic deal that we were offered. The king-sized bed was very, very comfortable. Water pressure in the bathroom surprisingly good and all creature comforts provided.WE WILL DEFINITELY BE BACK!!!! Thank you for a memorable, stress free holiday!	
Apr 13 2007 	A luxuriously central yet peaceful find	Having just returned from a five night stay in London, my better half and I have nothing but good things to say about the Millenium Mayfair. Having sent a quick note to the Front of House Manager to make them aware of our early arrival, we were very pleasantly surprised to find our room not only available to us when we arrived but one much larger than we are to understand is the norm for London. The room had a wonderful view, a luxurious tub to recoup those weary legs after a day of exploring, safe/minibar/robes/large sitting area and other amenities you'd expect from a hotel at such a prestigious address. The location was also remarkably quiet and we heard little to no street noise during our stay. The concierge was very helpful on several occasions, most notably getting us reservations at the Savoy for tea. The hotel itself is small enough for the service to remain excellent, yet large enough to satisfy most every want you'd likely have on this type of trip.Situated 2 blocks south of the Bond Street Station/Oxford Street, and 2 blocks west of Bond Street shopping the hotel was perfect for a couple seaking to pay a touch extra (though we did get a phenominal deal online) for a location that is central to virtually everything you'd choose to do in London. It is less than a 10 minute stroll south to Green Park/Buchingham Palace, 15 minutes walk east to the theatres and excitement of the West End, and next door to Hyde Park.For the Budget minded there are a few nice pubs in the area where you can eat well with a pint for 20 pounds for two, and several cafes for a morning pastry and a coffee for 3/4 pounds each. For the Luxury minded, Gordon Ramsey at Claridges (a Michelin rated restaurant of international repute) is one block northeast from the hotel - though you'd likely need to book in advance.From the luxury and centrality of the Mayfair location, to the proximity to both the Canadian and American embassies (which are neighbours to the hotel), to the top-level service and attention, the Millenium Mayfair should make your shortlist of where to stay in a city so full of choices. We will return to London, and will stay here again.	
Apr 4 2007 	Excellent. Fully Intend to make this our base when in town.	Booked this direct with the hotel as a birthday treat for my 16 year old daughter to complement a shopping and theatre trip. It was EXCELLENT!!! When they knew it was a special occasion they gave us an upgraded room overloking Grosvenor Square, access to the Club lounge, and full English breakfast included. The facilities were lovely, the position excellent and the service first class. One of the things that impressed me prior to booking was the fact that the front house manager took the trouble to read and respond to review postings on this site. It was well worth a visit and we will stay here in future whenever we are in town (which, following this visit is likely to be a regular occurrence for teenage shopping......!)	
Mar 8 2007 	eeek a mouse	This hotel does have some plus points ie - the nice quiet location - within walking distance of Green Park and Bond Street, very nice bedrooms, very nice communal areas. On the negative side though it costs £9.00 for a glass of wine at the bar, but the major factor that will ensure that I never set foot in this hotel was A MOUSE RUNNING THROUGH THE RESTAURANT AT BREAKFAST!!!! To top it off the waitress very calmly said as it ran past &quot;Don't worry love, I saw it as well!!!!&quot; as if it was a regular occurance! Won't be back.	
Feb 27 2007 	Good time at the Millenium Mayfair	The Millenium Mayfair is a good hotel in a fantastic central location. It is comfortable and has a pleasant atmoshpere. The smaller bedrooms look a little more old fashioned than we like but that is personal taste as we prefer a minimal look. The public areas in the hotel look more modern.We had a couple of small problems with some street noise and a toilet which became blocked and told the reception staff. The guy at reception who dealt with this was extremely helpful and pleasant and offered us a different bigger room, complimentary breakfast and access to the Club Lounge. The new room was quiet and the member of staff could not have been nicer. In general the staff were very pleasant.This was our second time at the hotel and we would definitely go back.	
Feb 27 2007 	Don't Take Any Notice Of Negative Comments!	My husband and I stayed at the mayfair millennium for 2 nts from 21st Feb 2007 to celebrate my husband's birthday.Please do not take any notice of the negative comments posted on this site as this is a beautiful hotel in an excellent peaceful location,with plenty of character and we had an excellent stay.The hotel have taken every precaution, closing off the areas that were proved to be contaminated and this did not spoil our experience one little bit.So if you are thinking of staying here my advice would be go ahead as we will certainly stay there again on our next trip to London and would have no hesitation in recommending it to others.	
Feb 2 2007 	radioctive material!!	I stayed in that hotel for 5 days only to learn that that was the hotel where someone was poisoned(murdered) by a radioactive material (Polonium 210)! That is a very dangerous material and I was not able to confirm through management whether that represented any serious threat to hotel guests. I insisted that they show me some kind of document from goverment authorities whether the hotel was cleaned or not but no one even wanted to talk about it. Currently I am very worried whether I am exposed to this material or not. I ate breakfast, and stayed at the floor which i believe those events took place. It is really unbeliavable how British authorities allow this hotel to be open!! At least they should have informed the guests that this incident took place at the Millenium- I didn't know about it until my last day and I would have never chosen to stay there if I knew about it. I don't recommend anyone to stay in that place until the hotel can prove that there is no threat to public health.	
Jan 30 2007 	Good value for money in London	I stayed at the Millenium Mayfair for a long week-end in January and found it a very good deal for London. OK it is not a palace but the hotel is still very confortable and well decorated, a very nice 4 star luxury hotel. The lobby is fine, the restaurant's design interesting and the rooms are big enough to feel well, even if the furnitures in the room may be a bit more modern (the decoration is very British so it makes it quite typic). The location is perfect, Grosvenor Square is idealy located in the quite and smart Mayfair area, just 10 minutes away from Picadilly and Oxford Street. You are in the center of London but can enjoy a quiet night sleep, very enjoyable. The staff at the front desk and the bellboy were helpfull. A recommended adress in London.	
Jan 29 2007 	Excellent value and quality !!	Second time to this hotel and this time it was even better. Room excellent, quality throughout was very good and exceptional value for the location. Already planning to return later on this year.	
Jan 29 2007 	Ok in very nice part of London	My wife and I stayed at this Hotel for two nights. The purpose was a nice weekend in London. We booked the Hotel on the official website and got a Superior room for 275 pounds in total. For that kind of money we hoped for a clean, centraly located and nice Hotel. Mayfair is a very nice area that we both like very much.The Hotel is overlooking a small park and you can actually see the American embassy from most of the rooms. The room was kept clean and had a very small bathroom (considering the price that is) but the sleepibg area was nice in size. The problem with this hotel is noise from the street. The wndows are simply not sundprove enough. Even though we were on the fourth floor and the first night we were constantly awaken by the cars below on the street. We did find a solution the second night of our stay. We simly kept the aircon on all night which gave a constant noise in the room making it possible to sleep well. One other thing is that as mentioned in other reviews, the lobby is often filled with people partying. We were noth bothered in particular with that. But cheking-in late at night it does remove some atention away from the arriving guest at the Hotel. The staff is trying their best, but they really should keep the festivitas away from the lobby area of the hotel. A small prayer to the manegement, why not have a doorman on the street, all the other major hotels in this area have one?All in all a good hotel, but do leave the aircon on if you want a good nights sleep in the nice area of Mayfair, London.	
Jan 19 2007 	Booking procedures/Reservations	I was forced to stay in London on Thursday 18th January due to the terrible weather and the disruption this caused to travelling. Like many others, upon finding myself stranded, I began the search for a hotel room. My company uses a travel reservation company who found me a room at this hotel. The booking was secured using my credit card.Knowing that I had secured a bed for the evening I went for dinner with colleagues in a similar situation, arriving at the hotel later that evening. Upon checking in I was told that my booking had not been confirmed and I no longer had a room! My personal opinion is that my company frequently use this hotel group and therefore are able to secure rooms at a reduced rate. Given the number of people forced to stay in London for the evening I sincerely suspect that my room was resold at the full or even a premium rate.The desk clerk did make arrangements for me to stay at a sister hotel - a helpful gesture. In summary: not the service I would have expected from reservations at a top London hotel.	
Jan 16 2007 	Wonderful wonderful wonderful...	My friend and I have just returned from our exhausting weekend at The Millennium. I have stayed several times with this chain in New York and it was just such good fun.The concerige looked after us like gold dust. They where able to get us a booking for the Saturday night at Cipirani [not correct spelling] which was fully booked and buzzing with celebs. Expensive but so worth it.. They then had us booked on to the night club of &quot;Funky Buddha&quot;. The next day sunday we where booked once again into a fully booked Nobu and then into the Met Night Club. To those guys at the desk a big thank you. You made our trip..Even had hair salons ready for us on the day of check out.The only negative was due to the hetic night life we endured we missed breakfast on both mornings. The location was super as we both enjoy walking, it was wonderful to walk past Hyde Park and down to Harrods. If anyone likes Sushi. Yo Sushi in Harrods 2 just across the street is something else.Our room was very comfortable indeed, but perhaps a little on the warm side, the air con didnt seem to come on, perhaps in the month of January they dont expect you to need it.	
Jan 13 2007 	Millennium Mayfair Top Experience	I have stayed at the Millennium Mayfair several times. (For those worried, I have not glowed in the dark yet and absolutely intend to return this month.) I have also stayed in several other hotels in London over the years. Each time I have had a very good room at this hotel, usually large by London standards- a key element in choosing a hotel there. I have only had one very small room and after calling the front desk they were able and willing to quickly change that! The staff is helpful and responsive- not the case in every hotel I have stayed at in London. The food in the bar was just okay but I love the piano player. Another real plus in choosing a hotel when traveling for business. If you have to work late- this adds a nice relaxing end to the day. I recently heard this bar, one of two in the hotel, was closed. I hope it opens again soon! I also like the location- its an easy walk to the Central and Jubilee Tube lines and Starbucks. (Sorry but I have a thing against expensive hotel breakfasts when what I really want is a good coffee.) Also an easy walk to Oxford and Picadilly as well as Leicester Square/West End on a nice day.	
